class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Aug 2 2006 	 never ! 	 hi stay July 28 July 29th . start say location great . heart magnificent mile . enter hotel ground level . 2 elevator , couple chair , desk . man desk unfriendly say check 3rd floor . take small elevator third floor check . book Priceline . second time book Priceline time hotel get room directly across elevator ? coincidence punishment book Priceline : ) check catch another elevator room . elevator among slow small country . time take elevator wait 15 minute . know bad sign enter room earplug , soothe music cd , eye patch bed ! ! ! room small . breakfast one morning . super expensive . there ton hotel around . go ele ! 
 Jul 5 2006 	 Perfect need great deal ! 	 stay Allerton 6/30/06 nearby wedding , one night , not look anything place crash . pleasantly surprise Allerton ... book Priceline first time try ' name price ' deal . look high low several website could not come room $ 200 ... take chance bidding room $ 80 , give we Allerton . great ! staff nice also helpful - pull car entrance parking go inside , helpful staff member direct we 3rd floor lobby wish we enjoyable stay . check , ask king bed tell , & quot ; problem & quot ; . lobby nice , hallway elevator somewhat small , seem quaint . give room end hall ( room 1502 ) nice ... king bed , two tv 's , couch / sit area , desk , etc . bed kind squeeze , sit area make . bathroom bite small ... not bother we , much space put toiletry . also good location ... right Michigan avenue Water Tower great shopping restaurant . wish time enjoy area ! hope info help ! 
 Jun 18 2006 	 horrible really horrible ! 	 hotel right heart North Michigan Avenue . great location , crummy hotel . enter hotel take elevator third floor check . confusing . switch another bank elevator get room . parking $ 40.00 day . lobby hotel beautiful . bad rest hotel not measure . wait line watch overhear another customer argue check - in clerk . problem need room two bed , one . clerk tell customer & quot ; sorry book Priceline not honor special request . get give & quot ; ! ! ! ! HUH ? floor book Priceline . not ask anything special , quietly check . usually ask nonsmoke king 99 % 100 time hotel accomodate we . never encounter rudness . not say anything person check we huge mistake . check room 623 . room cruise ship large room right across elevator bank could hear everything . room size walk closet double bed . carpet dirty . linen bed wear . linen bed clean questionable . much & quot ; comfort bed & quot ; advertise . hotel not see room . phone not work window not darken shade . could see hook , window not one . call front desk , chance change room book Priceline , however say would send one see window shade . never show up . the window filthy . furniture nick wear . wallpaper wear . water trickle showerhead . Ugh , nightmare ! thank goodness spend one night . never ! other treat horribly book priceline . hotel employee go figure online booking portal stay not like , not release room book online travel website . hotel deserve three star list priceline travel website . 
 May 31 2006 	 Perfect Plaza Crowned Holiday 	 spend three hour internet one day look hotel five day Chicago - three hour well spend find Allerton Crowne Plaza . $ 65 night , two people king size room perk mod - con include ? catch , - arrive find perfect hotel perfect location - right Michigan Avenue near top - end designer store ( Tiffany , Armani etc . ) historic Water Tower square Chicago Tribune building , five minute walk metro station . price not include breakfast upmarket ( i.e . well light soul - less ) restaurant bar lazy stroll street one Chicago 's many brilliant eatery . spotlessly clean , utterly modern , friendly helpful staff , quiet , secure , comfortable . could ask ? 
 May 23 2006 	 wonderful experience Allerton Crowne Plaza 	 daughter take first trip Chicago past weekend . find hotel internet , photo look nice . love ! staff could nicer accommodate . pet friendly treat daughter 's teacup chihuahua like little king . drink bar first evening , complimentary snack mix bring drink nice touch . view nice , room comfy ... bed king size comfortable ... bathroom roomy love shower stall versus bathtub - shower combo . Maid service great .... plenty towel . everything request handle immediately . like old hotel well new one ... ambiance . location wonderful . would definitely recommend hotel be plan trip Chicago . fall love Chicago ... great city ! 
 May 18 2006 	 Good Value 	 stay one night hotel . excellent location right middle Magnificent Mile . attractive public space . elevator small efficient . get great pre - pay internet rate $ 89.00 75 % official rate . room small comfortable . since hotel old , character like lot . bed clean , comfortable nice great bed many hotel today . shade old would raise one window , shade window . problem noise . good airconditioning . bathroom small clean . nick wear spot , nothing unacceptable . overall , price , great deal . would stay pre - pay internet discount rate . would pay public rate . 
 May 18 2006 	 historic small room upgrade free internet boot 	 spend four night Allerton attend meet Sheraton block away . location wondeful , hotel clean , price reasonable busy time Chicago . rate change twice , know booking . check - in , greet pleasantly message & quot ; Mr. Traveler , ' ve upgrade suiite ! & quot ; courtesy think Prority Club status . room small , suite nicely arrange -- living room hide - a - bed , work desk , television short hall bedroom king bed . layout mean window three different wall room . the room clean comfortable , plenty hot water towel quiet end hall . restaurant quite nice look , food okay , many well place eat neighborhood . eat first night late . the room come wire high speed internet access -- think $ 9.95 day open laptop find few five free wi - fi channel available . use one name Observation 2 ( also Observation 4 ) . since room line site top Hancock tower block away wonder accessing . case , good strong , fast signal free . all great stay . 
 Apr 26 2006 	 Great Hotel 	 stay Crowne Plaza Allerton one night love ! location well ! pay advance get great deal ! staff friendly check check really fast . would definitely recommend . see bad thing . 
 Apr 23 2006 	 substandard quality Crowne Plaza name 	 recently stay Allerton Crowne Plaza business conference . hotel landmark hotel , reality translate tiny , slow elevator excuse keep re - use hideous fabric ' 70 . check - in fine , front desk courteous . complaint request king - size bed ignore , travel solo , settle agreeably queen . room small , functional comfortable . use internet noticing draft -- come window piece frame cut ! window completely close , metal frame along bottom cut . April , still get quite chilly night , take stride . addition , hotel immediate vicinity hospital , siren ambulance frequent noisy open window . never encounter something like , call front desk ask room change , seem unfazed guess 's norm hotel . ask room face heavily traffic street , say none availalbe . switch room , notice new room breakfast menu strew across bed one glass use . assume another guest switch room well . case , new room substantially well ( warm ! ) old one satisfied . order room service . speedy courteous delivery , short taste . order french onion soup lamb . soup salty , lamb bland . however , enjoy warm bread fry . cute little bottle Heinz . really , be little thing . night otherwise uneventful , sleep soundly . bed comfortable , clean , sleep - inducing . parting thought : look clean place stay , comfortable bed convenient internet access , overlook renovation progress , place . look luxury appearance conscious , look elsewhere - Peninsula around corner may alley . 
 Apr 22 2006 	 great service small room 	 like reviewer find room small . however , travel bathroom roomy . room clean fairly new furnishing . exercise room expect . staff exceptionally friendly accomodating . around corner f/ Michigan Ave . , close Northwestern Hospital . convenient . great place reasonable price . would stay . 
 Apr 14 2006 	 old Style Ambience 	 call advance guarentee King Size Bed - could get stick double queen . when arrive , upgrade we Suite 24th floor . Suite nice , spacious , clean . ( size normal room doubletree residence inn ) . please upgrade bedtime - early morning . think gym lot noise we . realize Elevator motor we really start move around 6 be people awake go floor . positive : Central LocationCute bar Clean Nice RoomValet quick get vehicledownside : Small WindowsNormal room smalllongish wait go ground level lobby . parking = $ 36 
 Mar 14 2006 	 stay ALLERTON ! 	 hesitate stay Crowne Plaza Allerton . location superb . staff go way beyond call duty make stay enjoyable . teen daughter stay Allerton Friday Saturday night . arrive hotel straight airport 11:30 hope bag hold check - in . much suprise , room ready upgrade we large room free . reserve Hotwire price $ 79.00 per night . person check we aware make difference go 3rd party booking . everyone treat we like queen entire stay . room clean comfortable . bed comfortable . yes , room little small 2 we perfect . picky traveler know switch room happy . switch concern ! elevator set - up mention post , really concern . yes , be unique way get lobby , problem . location Allerton ideal Magnificant Mile . right middle mile . walk everywhere need go hotel . perfect ! oh , can not forget mention , room service meal order delicious deliver fast . can not stress enough , please not hesitate stay ! 
 Mar 13 2006 	 small nice 	 stay Crowne Plaza Chicago - Allerton Friday night . great location club bar . walk nine block get Sound - bar , , RiNo , Spyclub , etc . find WAY around : friend take subway O'Hare Chicago ( red line ) stop walk 3 block Michigan Ave . Michigan begin search Crowne Plaza learn Michigan Ave technically -- enterance Huron . nine west shoe store share build front Mag Mile . enter Hotel , learn check - in THIRD floor use elevator right . want go room , get another set elevator third floor . go tap lounge , get elevator first floor leave . ROOM : small . check 5pm 's avalable room . friend see fit , not care not spend much time . standard bed ( full ) , small desk , tv tv stand . linen towel white clean . bathroom quite nice marble - ish floor see glass shower . , floor slippery ! room clean stock follow : -Shampoo , conditioner , soap , lotion , shoe polish - Hair dryer make - up mirror - on bed linen spray earplugs - Iron , extra blanket pillow closetSTAFF : helpful , bit sarcastic . least know get around city . also leave luggage check - out walk around city . 
 Feb 22 2006 	 way small 	 try one anonymous low price - room hotel finder first time last weekend . room narrow short . double bed , hollow end table , tv / cabinet hanging desk chair . knee walk across bed get end table side . window not fit air frigid . bathroom personal item , small sink , vanity , toilet , shower , tub . promise less queen sized bed standard feature . talk guest bar 3 other stay kind room . pay not try go cheap weekend . entrance hotel ground level , freeze . elevator either floor 2 , restaurant / bar 3 , lobby / check in / out . cross elevator go guest room . long wait elevator . room nicely appoint extremely small . check tell petite classic ask size bed ? double . say need queen sized bed , confirmation . ok , queen . bed double bed queen - sized headboard . 
 Feb 22 2006 	 Loved Allerton 	 first trip Chicago , be , please make sure know go get train . hard find foot , since not , people ask either tourist , people live , not friendly . finally find hotel , check - in breeze . go room 12th floor , open door , came soon realize claustrophobia go problem . room absolutely tiny . feel like closet . barely walk around bed get around . 's was- bed , tiny desk chair , armoire . bathroom look spacious , would recommend room someone travel business . husband two year anniversary . go downstairs see much suite . first , would recommend everyone use priceline.com bidding room . get $ 60.00 night . upgrade suite $ 60.00 night , trust , worth . spacious , two tv 's , couch , desk . hotel staff friendly , especially concierge . watch maids though . leave privacy sign door entire time room would walk without notice . guess assume vacant . would love go back hotel . everyone well help we find easiest way around Chicago . back ! 
 Feb 21 2006 	 overall Great Experience ! 	 award hotel one regular Priceline bid . ' ve share horrible experience bidding hotel , read review site , prepare bad . pleasantly suprise , however ... overall , staff polite -- even front desk . yes , tried upsell us suite upon checkin ( gently refuse ) . do , & quot ; handicapped & quot ; non - smoking room king bed rollaway daughter . ideal situation family 3 .. plenty towel , room clean , never wait long elevator ( hotel completely book ) .Yes , elevator small , hall narrow , room tiny ( judge fire escape plan [ hint -- ask handicap room ! ] ) . overall great experience , especially price pay . 
 Feb 8 2006 	 Traveler Beware ! ! 	 stay Allerton 701 Michigan Avenue begin end bad note . end pay $ 63.00 per night reserve & amp ; confirm quote . also one queen size bed short reservation six adult cause major inconvenience . give we linen two end tip someone get first set towel . the valet parking fee ( 38.00 per day + tip ) room occupancy tax ( 22.95 per day ) include room rate quote . Eventhough call day get confirm parking valet fee hidden cost tell include room rate give discount surgery ( transplant & amp ; recipient ) north western week . nothing tell phone true include room rate confirmation number useless . staff desk indifferent even surgery remove kidney entail ... thing say make week Chicago miserable stay Crowne Plaza . even contact lawyer recover cost . get anything say phone writing ... since word good . 
 Nov 14 2005 	 Allerton . digged . love . repeat 	 man not create equal , opinion differ . go Allerton , expect excellent visit . complaint . I Hotwire bid $ 90 / night ( worth every penny ) Friday Sunday . arrive around 5 pm , doorman take bag exit cab , give claim ticket inform would room 10 minute check ; ? YEP.Check 3rd floor , switch elevator go room . check - in hassle - free , staff friendly attentive , even though hotel obviously pack busy . elevator pretty small , U.S. standard , tell 's old building , full character charm . small elevator forget realize 5 , extremely fast , elevator car . the hotel obviously ' well do ' , tell moment enter revolve door bellman 's area lobby . get room , 6th floor , overlook Michigan Ave . , suspicion confirm . PERFECTION ! CHARM ! beautiful . entire hotel european feel , guest room include . the room small , delightfully decorate , full size bed , beautiful armoir , sit chair . bathroom cozy , full size shower fit shower head set high enough professional basketball player . place lack space , make charm comfort . it locate right middle Magnificent Mile shopping area , 4 block John Hancock building Water Tower , restaurant street around . can not rave enough place . definitely stay again . one thing , plan take train o'hare hotel , point must ' ve take wrong exit red line hail cab , however , walk Chicago station , close one Allerton , find walk way long anticipate , one carry - on bag ( though pack max , will 5 day ) knapsack camera personal belonging . ' m glad opt cab ride . may suggest get red line Clark station , completely handicap - accessible , hail cab hotel ? ride set back whopping $ 4.25 ! ' ve get bag haul , will thank ! 
 Nov 1 2005 	 Great Place Stay 	 return 2 night weekend stay Crowne Plaza Allerton problem . also concern stay read review understand people must expect whole lot . guess really look hard enough , might could see issue something complain . even book hotwire get great deal . still receive king size bed great view Michigan Ave . can not believe people complain go 3rd floor register . yes , elevator small , ? ? room might little small hotel , sleep change clothe . bathroom well light great makeup mirror attach wall . front desk staff fine . problem check . room book hotel , enjoy unless type person complain everything . 
 Oct 31 2005 	 little bit Europe 	 reading review , little hesitant find would bid hotel Hotwire get weekend $ 130 night . we usually stay 4 star hotel many full deal weekend take leap glad . although be far perfect many respect , say walk ride elevator third floor walk lobby , remind hotel stay Europe . lovely , tall window wide , pleasant seat area small reception desk third floor take different elevator room . arrive early , around 10 . Sara check we pleasant . say not king bed time , give we queen 16th floor view Michigan Ave . , small elevator small hallway small room remind one hotel particular stay Paris bring back wave memory . bed take room part charm . tall window could open . open crack fresh air could hear sax play corner street . coffee small table , desk , small closet safe tv cabinet . bathroom shower husband prefer . bath clean & amp ; provide small shelf toiletry . hotel also provide small bag lavendar spray pillow earplug eyemask relaxation CD . could see Chicago Place food court front window Michigan Ave . beach side window . Shades helpful night keep light busy city not bother city sound . hotel close ton great restaurant . arrive , cold rainy ( remind Paris ) walk couple block north ( Superior ) one block East little italian place call Joey Buona 's . hot bowl Minestrone Pasta Fagioli bake garlic cheese bread drip cheese look cafe curtain people walk umbrella . everyone hotel exception one seem personable willing help need . paper deliver door morning . thing hotel could make stay even well would keep room problem free possible ( little thing matter ) . room desk light broken outlet , loose make - up mirror , shade still work fine needed bracket hold rope work shade reattached bottom . ( leave note since think guest notify hotel order hotel attend thing ) . also would love towel large still say hotel charm 's . 
 Oct 5 2005 	 so - so 	 Allerton Crowne Plaza great location , Magnificent Mile lot store restaurant . hotel , however , over - price get ( pay $ 249 / night small room 1 king - sized bed ) . stay 2 night business non - smoking room smell smoke . window shade break first day ( although fix promptly ) room directly across service elevator emit ring noise every time use ( day night ) . room small shower bathtub 1 bar soap share shower sink . there free coffee coffeemaker , tea . would hope price . 
 Sep 30 2005 	 expect 	 second time stay , first nice . work travel often give nice room word mouth , however trip room tiny compare first , clean little shabby . tell parking would cover person sale come final day get car , inform long would pay . prepared pay . go hotel help basically say could call Monday see could . reimburse however hassle expect help offer . it good location though . 
 Sep 30 2005 	 many well hotel 	 stay one night business trip everything else book . queen room $ 199 . TINY -- barely enough room walk around bed , way two people couild use room . bed comfortable plumbing noisy night long . bathroom roomy well light -- quite nice . one chair , straight back desk chair . hi speed internet $ 9.95 / day . newspaper morning , front desk courteous understaffed -- never one person duty handel checkin / checkout , andswer phone , etc . 
 Aug 16 2005 	 Beware 	 beware bad business policy . stay hotel small room terrible staff . business . company work suppose pay . instead billing bill 10 month later ! ! ! ! ! ! ! careful ! 
 Aug 10 2005 	 less Tip Top 	 Reviews accurate . great location , iffy everything else . arrive check - in see small angry line people . Friday evening , line customer .... one person work 4 - place front desk . spend wait try figure everyone 's problem . turn problem , . Depsite King bed reservation , double bed availabe . & quot ; anything & quot ; ? . take leave , essentially . word & quot ; KING & quot ; reservation mean nothing . reservation make Crowne Plaza website , 3rd party . big deal , expect much base read , ' m post next people know . room nice , small . heard & quot ; double & quot ; know go tight . small , mean re - arrange furniture well use space . face 6 foot door feel like sleep hallway . one group actually get king room ( one 3 party ) 's nice room elevator bank . judge fire escape diagram , room look like be size . be beautiful , old building , be use old building ... thing like water damage around window , tiny bug room ( screen window ... not open unless want visitor ) , great water pressure 90 % time , intersperse ) water pressure b ) 20 - degree change water temperature . leave , doorman wave we away limo think take airport . & quot ; be someone else & quot ; be tell . well 5 min driver finally approach we find inde limo , thank buddy . sure seem lot hotel area , although inexpensive ' m sure could well . picture attach -- get great shot hotel nearby apartment . also take pic water damage streak kill bug ceiling . happy hunting ! 
 Aug 10 2005 	 not believe check 3:00 p.m . 	 arrive 5:00 p.m. expect check , shower 4 hour car break air conditioning , get dress go show dinner . lobby full people . tell could & quot ; preregister & quot ; room would available 1/2 hour hour . grumbling , wander around nearby shop . come back , wait line seven , tell room still not ready . apology anyone , everyone tell room & quot ; become available & quot ; 3:00 check - in time list web site . phone call housekeeping , tell room lack towel could let we . man counter act like we big favor . get room , bed not make could not tell bedding clean use . call housekeeping wait another 1/2 hour showering could come fix bed . woman housekeep incredibly nice apologetic -- staff meet . time able get , nearly 8:30 miss prospect see show , main reason decide come Chicago night . leave , man next we line second time get room , understandably , furious . staff still act like perfectly ok check someone late . room small little shabby clean . bed fantastic . sure will use Priceline Chicago not want get stick . 
 Aug 8 2005 	 great stay ! 	 stay one night last Saturday July . book two room hotwire know expect , small room house . 's par course get cheap rate , wonder sometimes reviewer forget . arrive early afternoon , bellman readily available handle luggage . upon go 3rd floor checkin , front desk happily oblige check see could check early able get we room . bell service bring bag within 5 minute extremely courteous . elevator wait 2 minute less , yes change elevator 's old building , that s way work lot old dowtown building . room small , extremely clean . standard crowne plaza welcome package eyemask , ear plug , etc always nice touch . bathroom clean small great walk shower must 7 foot high shower head , great tall people use sore back shower travel . plus location excellent , quick walk Michigan Ave nearby CTA El stop . would hesitate stay ! 
 Jul 31 2005 	 Charming 	 return 3 night girl weekend Chicago stay Allerton Crowne Plaza . say little concerned reading review . happy say wonderful experience . valet greet we friendly manner helpful . check beautiful 3rd floor foyer staff helpful attentive . room clean , big really expect $ 115 . location unbelievable , good location stay windy city travel yearly . call extra towel twice arrive door within 5 minute . call car pull front door within minute . staff courteous helpful direction recommendation . work room 25th floor nice . say enough stay . look clean , central location affordable price , highly recommend hotel . problem . 
 Jul 27 2005 	 great stay Allerton 	 recently wonderful 2 night Allerton . somewhat concerned reading review get hotel priceline ( $ 150 ) turn fine . arrive valet ( $ 36 ) prompt front desk courteous . assign room double bed ask could get king instead . king give we queen high floor . room clean perfect size two we . find room clean quiet . worried bathroom small accomodate hair makeup supply fine . shower spacious clean . eat hotel restaurant breakfast , little pricey tasty . wait elevator 2 min . overall , charming hotel excellent location , right heart Magnificent Mile . would love stay ! 
 Jul 20 2005 	 great ! 	 ' m Chicago go back visit frequently . ' ve stay various mid - range hotel downtown one rank bottom list . first , travel female co - worker time . book 4 month advance call several time request room two bed . tell make request check . well , low behold room one bed . not happy mention , guy check - in seem flippant reply , & quot ; well , can not give not have . & quot ; hotel room clean small particular room nice view fire escape . issue elevator system . 's old building entrance street level , one take elevator third floor reach main elevator room . elevator slow small . 23 floor guest wait get upstairs , 's rat race get elevator first -- stick stand long 5 min get room . say , Allerton 's save grace 's location -- Michagan Avenue 's Magnificant Mile . tourist , 's wonderful area stay -- walk distance Oak Street Beach one end Chicago river business dist . downtown . Chicago wonderful city & quot ; & quot ; . be use Allerton place rest head , will adequate . price , much prefer Palmer House Hilton . 's couple stop subway 's beautiful . 
 Jul 19 2005 	 Great Location - 's 	 stay Allerton last - minute business trip . every hotel area book solid . reason , Allerton several room available . arrive late , 11:30 p.m. exact , due series unfortunate event Chicago ' Hare . check take ridiculously long time . layout hotel odd - use series elevator get one area next , strange angle tiny . get room 16th floor clean since previous occupant leave . bed unmade , towel floor , window open . drag luggage ( never see bellman ) back third floor check - in give second room , 20th floor . room large seem nice . second look cracker floor bed well spare change . 20 little bug party ceiling , safe - not touch start beep second get shower . mention room service close 11:00 , dinner . blanket bed stain chocolately look residue . room dirty . complain someone come pick cracker stop safe beep . think hotel simply large staff handle . would not stay . 
 Jul 17 2005 	 Location Location Location -- nothing Else ! 	 hotel highly recommend co - worker . right sense location great -- center action . concentrate forget distaste front - desk staff condition room . book two non - smoking room two double bed two 14 year old one room , request adjoining room reservation , confirmation arrival . since request early check -- arrive noon front desk person give we one room . mention need two room together response & quot ; overbooke , check we later & quot ; . point feel thankful room change put suitcase . room ackward set - up , small clean , & quot ; lovely & quot ; view parking garage 's wall . great lunch Giordano 's , go back front desk , time speak female front desk employee tell give credit card hold second room 5th -- mention first room 6th floor ? check back hour different male front desk employee tell smoking room 11th floor ready yet . ask happen room 5th floor give credit card . light bit perseverance part , find paper sign , however , room available 5th floor . remind ( ! ) hotel 's overbooke situation say petite suite 6th floor one bed . time , realize close go get room take . dissappointe staff -- feel take & quot ; not care pill & quot ; come work . make clear begin two room close possible priority family -- however mislead reservation staff ignore front desk staff . clean friendly place top requirement , recommend hotel . location top requirement , go ! , stay hotel . 
 Jul 17 2005 	 great location staff ! 	 locate & quot ; Magnificent Mile & quot ; . close wonderful shopping restaurant . we suite quite large clean . dead spider floor bathroom least dead ! bathroom could large . the hallway elevator cramp need remember old building . the elevator also slow . wait one time 20 minute . know reviewer claim people simply pay attention elevator definitely case we . we find front desk staff courteous . ask direction several time time kind show we map . valet worker great , also give wonderful direction suggestion . I would definitely stay . see regular room walk hall impress . try suite possible . 
 Jul 15 2005 	 good location hotel 's dump 	 tourist , great location . good thing say place . check slow . reserve nonsmoke room . get , one , seem care much - give smoking room . go room , make disgusting condition . come back downstairs another 15 minute delay , give another room make . room small ( half size usual hotel room ) . bathroom also small - small hard move around . one towel . elevator small cramp slow . room price $ 260 night . ( maybe could get cheap ; book short notice ) . basically Motel 6 quality Ritz Carlton price . would stay . lot nice hotel Chicago price range . want MUCH well hotel location , try Fitzpatrick - friendly hotel nice room , good staff excellent irish bar basement . 
 Jul 13 2005 	 Fantastic experience 	 really enjoy hotel . great location - right heart Magnificent Mile - easy walk many shop , landmark great restaurant . find everyone ( bellhop , housekeeping , registration ) encounter pleasant always willing help . situation require we interact management not opinion . member Priority Club upgrade mini - suite large king size bed one room sleeper sofa . 2 kid one night stay sleeper sofa bit small fine . room locate end hall view 3 side building - 2 gorgeous view skyline could even see lake . bathroom fine - not think small glass shelf run length bathroom store toiletry perfectly adequate we . also , think rate good - book hotel 's website take internet rate ( restriction - cancellation ) - reasonable rate could find hotel location . car charge $ 36 / night parking charge last day not leave noon checkout . problem deal parking retrieve car need . 
 Jul 12 2005 	 great location okay hotel 	 stay Allerton Taste Chicago 4th July weekend 2005.we must get small single ever make . soon step hotel room , bathroom . see friend 's single decent . book room hotel 's website $ 150 night satisfied . I try hotel 's restaurant bar . pool . good thing hotel locate middle magnificent mile . the next time visit Chicago , Allerton . 
 Jul 7 2005 	 beware : worst Service Planet ! ! 	 rate 1 extremely generous level service provide Allerton ! could render 0 negative rating , definitely would . book Hotwire , call directly hotel three time ensure double bed room , confirm Allerton staff . arrive , front desk clerk inform we book we single room double room available . express discontent manager , attempt pacify we free breakfast . we even intense dissatisfying experience so - call & quot ; management & quot ; checkout . addition , charge $ 36 fee valet parking night car suppose valet . however , dismay , car sit front hotel ( left ) morning , never park ! look nice hotel great service , Allerton definitely place ! want waste money small room , terrible service , rude extremely incompetent management , risk safety car , kudo ... come right place ! enjoy disastrous experience ! 
 Jun 14 2005 	 Train wreck 	 stay terrible start finish . check - in disorganized . many family business people wait fluster staff attempt process visitor book week month advance . give we strange room even . two double bed room much wide length bed . bathroom 5 foot wide run length room . ZERO counter space bathroom . good luck lady . lose valet - check car rent upon chackout -- almost late airport due frantic search . understaffed , old , poorly manage hotel . it be location thing keep tear down . to top , price nice hotel . priceline deal . we never return . 
 May 31 2005 	 Great Hotel ... Clean Great Location ! ! ! 	 Allerton Crowne Plaza Hotel nice hotel . great location central everything . 2 block red line to / from airport , 2 block Hancock Bldg , block bar / restaurant Rush St. , across street bus stop museum park short walk navy pier . thing negative could say hotel room small odd configuration . 4 people cozy ... hotel pool could deal breaker . overall would definitely suggest anyone stay hotel . clean staff wonderful . problem anything . hotel even let we check 8 am save we really early flight . 
 Apr 14 2005 	 ok stay 	 stay hotel April 9 - 12 , 2005 . arrive approximately 1:00 p.m. , able check early . also tell upgrade & quot ; Junior Suite . & quot ; elevator small never wait one . push button , could immediately hear one come . I eat restaurant times meal great . service nice . everyone meet work hotel nice always speak I . this first trip Chicago when / if go back , probably stay hotel . Michigan Avenue close everything . problem hotel would enjoy stay . 
 Apr 11 2005 	 Perfect purpose 	 stay Allerton Crowne Plaza past weekend . get rate $ 116 hotwire . location hotel awesome - - corner Michigan Ave Huron . parking salty , $ 36 per night , not many choice . room small , fabulous - - everything extremely clean like new . drawback hotel lack pool . pool not important , can not beat value Michigan Avenue stay . 
 Apr 5 2005 	 High Standard Central Location 	 secong stay Allerton stay 5 year ago . hotel good still high standard . Yhe Staff extremely helpful moment arrive leave . room excellant bathroom work perfectly . location Hotel great shopping get travel pass get bus tourist location easily enought . say secong stay look forward many future stay future . 
 Mar 30 2005 	 Quaint ' character ' not cut . 	 reference review . Yes- elevator Sloooow . Yes- room small and/or oddly configure . Yes- desk staff rather abrupt polished quit bugging kind way . get pillow day affair ( one small & amp ; hard short 1 ) . sink kind work , toilet flush trickle tank trickle next 1/2 hour . hotel design early last century show throughout . towel also struggle . ask additional towel every day , apparently new shortage hotel towel cause stockpile . 3 room 2 towel not work . interior room date bit depressing , guess be suppose add & quot ; atmosphere & quot ; & quot ; character & quot ; hotel . experience traveller find hotel disappointing look weekend Chicago much well $ $ . 
 Mar 27 2005 	 Outsiders guide Allerton Hotel 	 point know Chicago well . located heart magnificent mile , nice hotel . clean room , update . shower pressure bit weak . staff friendly . surround restaurant mostly upper - scale . may may . find hotel south towards Art Institute , may find less swanky restaurant . ( ' Priceline ' reviewer : pay next nothing hotel , expectation ? ? ? ) different level room . small / non - suite room , either full , queen , 2 queen , 1 king bed . also group view Michigan avenue , view , near elevator , upper floor , etc . junior suite , king suite . pre - pay room , try upsell suite . also note motel 1/2 mile red train , connect blue line go OHare Airport . get red line , go Chicago Rd . also take taxi get directly blue line . 
 Nov 27 2004 	 million year ... 	 stay family member 's wedding , reserve part block special rate ( ~130 / night regular room ) approximately 3 month ahead time . arrive provide confirmation number , 1 ) reservation wrong name 2 ) give we much high room rate ( ~230 ) . front desk clerk , credit fairly polite , spend least 20 minute tell we must mistaken book late rate etc etc . certainly never offer give we correct rate even though record wedding rate proof make reservation time , offer find someone could actually help we . finally ask speak manager , unhelpful rude anyone ' ve encounter establishment anywhere . shocked . end parking front desk honor rate originally give we , take hour ( probably year life . ) , room together ( promise ) , room tiny could hardly scoot past bed , coffeemaker end flooding desk , wait least 5 minute every time take elevator ( one 3rd floor transfer another one get room , tiny 6 people fit , be without luggage . ) short , can not think bad hotel experience . recently take trip stay 1 - star motel , one far pleasant crowne plaza . 
 Nov 15 2004 	 Excellent Location great value 	 book room 24 hour advance Hotwire $ 90 . husband want stay Gold Coast / Mag Mile area , perfect . hotel right middle shopping N. Michigan Ave . the room clean , bed even comfortable bed home . this luxury hotel , ton amenity ( pool , etc . ) , be look nice room , great location great price , strongly recommend hotel . 
 Nov 15 2004 	 not stay ( will make hard book room ! ) 	 one Chicago 's good keep secret , get nearly perfect room often fantastic rate . absolutely fantastic bed linen , gorgeous little bathroom , quiet room , extremely helpful unobtrusive staff ( primarily european -- elegant , professional , intelligent ) , free high speed internet , crown mold perfect decor ... stay several occasion , find front desk staff extremely effusive charming , every request make attend perfectly . ' m sure be like check large group , not understand complaint other review . single traveller , appreciate lack busy lobby bar . fitness center bright , clean , adequate , additional sauna . laundry room guest use top floor . per complaint slow elevator : one occasion witness seemingly oblivious people stare blankly space elevator side staircase arrive take guest floor -- one occasion even announce arrival elevator hold door one group , one involve could grasp fact two group elevator guest floor ( leave right , confuse across hall descend motor lobby ) , eventually ride leave wait . business traveller understand basic modern convenience ( complicated signal like & quot ; ping & quot ; light ) want quiet , exceptionally comfortable , surprisingly affordable , low key hotel happen smack dab middle everything , not get well . would say nearly perfect luxury business hotel , family would comfortable big chain like Hyatt Sheraton , square footage outweigh small personal touch peace quiet . 
 Nov 5 2004 	 would not stay location 	 must say ' ve always good luck Crowne Plazas , bewildered arrive Allerton . 9 girl party , ask 2 room , state would need rollaway cot . upon arrival , inform we cot allow certain room , obviously something tell we beforehand . arrive hotel 11:00 pm want get settle ... 60 minute later problem solve , ask manager speak forever . people front desk EXTREMELY rude make first impression good one . however , say concierge , maid service , bell hop , etc awesome great experience . be look hotel great customer service , suggest look somewhere else . also , room spacious . 
