Great 	 conveniet downtow . hotel quite , clean confortable big lcd tv . hotel park cost little bit much solution , convenient . breakfast Starbucks close hotel . 
 Sep 12 2004 	 check early poor quality 	 stay hotel convention center McCormic Place . the Essex inn beautiful photo website - bad can not see stain / burn carpet . take shower water reach ankle ' do . room smell bad bed dust mite ( look crease bed go sleep verify sheet not blood bug bite previous person sleep ) .I want let everyone know condition management want listen claim . the hotel bad condition , not recommend anyone . 
 Aug 14 2004 	 Cute Hotel Perfect Location 	 Stayed Essex Inn recently . husband two boy love hotel location . hotel lobby small nice overwhelming . staff , particular Andrew , unbelievably helpful get we musuem nearby . also help we pick cute Chicago restaurant . room nice spacious . pool workout room great . thing would wanted able order drink pool . read post , understand workout room policy limit people 18 -- 's safety kid -- , consider positive , especially know young son . 
 Aug 12 2004 	 Change Mattresses ! 	 assign smoking room specifically request non smoking room . mattress old dip center . location good though , shuttle different area attraction . wish management knowledgeable late night eatery check late nothing open area . probably will not stay Essex . 
 Aug 10 2004 	 Essex 	 Stayed Essex last week July 2004 . Hotel ok , room small expect old hotel . bed small , think full - size . carpet need shampoo . dirty stain . pool area nice , beware peel paint bottom pool . daughter dove pool grab toy bottom paint chip wedge finger nail . mention desk people twice one seem want report management . another thing pool area , make sure room key acoste desk clerk / lifeguard . child age 18 , permit use new workout room . aware fact would pick another hotel , information list website ( could find ) . child teen allow use facilite . 
 Aug 9 2004 	 Best Deal Chicago 	 one good deal town . ' ve stay Hilton across street time decide give Essex try 's much less expensive . well , Essex turn much nice Hilton , tend run . essex good sized room Chicago view great . ask Lake view . close Musuems hotel convenient transportation . pool workout room well ever see . stay . 
 Jul 31 2004 	 good 	 second visit Chicago . book hotel theough Hotwire.com , iswho would pretty good deal . rate 71 $ per night . small lobby surely elegent modern , even though relatively small big hotel . staff friendly polite . chance check pool fourth floor , many people say nice . give top floor partial park view could see Navy Pier . room little bit outdated major problem bathroom . really need little bit renovation bath . , person would stay bathroom 10 minute , big deal . think rate service fear , consider location complementary service ! nice trip ! ! ! 
 Jul 29 2004 	 nothing special 	 stay Essex Inn two night , 7/23 & amp ; 24 find pretty average . combination good good . the good : great location visit Museum Campus . short , pleasant , walk ( 15 min . ) Field Mus . Shedd Aquarium . hotel provide free shuttle service Navy Pier ( Mag . Mile ) . nice swimming pool . helpful Bellman . help we bag , direction get wheelchair mother - in - law upon check - in . top notch service . decent site restaurant . eat breakfast . hard screw pancake french toast , imo . service . decent price . include taxis daily parking fee come $ 120 / nt . the good : room pretty worn around edge . less amenity usually get ( coffee maker , in - room microwave mini - fridge ) . noisy locale . maybe be typical downtown , El sound like right outside window . outside wall room floor ceiling window . , suppose , make room bright give nice view ( , though ? room face Hilton across street ) . think glass wall also let street noise . service without smile . Bellman 's professional manner , one else staff encounter seem act like enjoy work , much . attitude range indifference borderline resentment deal we . a pool convenient access Museum Campus two important feature want Essex supply . however , next trip Chicago , stay downtown , search around another place offer feature . 
 Jul 27 2004 	 good value 	 come Bayern Munchen v. Manchester United soccer game July 25th . room $ 109 2 double bed . big enough , husband , 2 kid . room not beautiful , clean price right . 
 Jul 26 2004 	 nice stay 	 Stayed Essex July 17th . town weekend see Cubs game stay Sheraton last time town want try something different . arrive early ( noon ) check time not 3 . room ready we , go unpacked . 4th floor right pool across elevator . little worried noise pool elevator not bother we . room little small sleep not really bother we . lunch Savoy restaraunt lobby enjoy much . love location hotel . close Navy Pier new Milenium Park . staff friendly helpful . would stay . 
 Jul 6 2004 	 Cheap smelly 	 stay Taste Chicago room ok bed smell like someone crap blanket . late not call desk get another , throw blanket try get sleep breathe awful smell . ok . 
 Jun 25 2004 	 highly recommend 	 stay Essex Inn 3 time past year . never stay anyplace else unless Essex available . little old hotel , room clean well keep . request need always take care quickly . staff friendly go way make stay enjoyable . knowledgeable area good assist need . shuttle service wonderful . take car garage except go home . staff pay attention detail . many remember often remember plan previous day ask go . definitely home away home . 
 Jun 21 2004 	 look hard spend 	 family ( 2 adult , 2 kid ) stay 4 night June . room tiny seem & quot ; clean & quot ; ( dirty harsh discription ) . know bed small double big twin . shower drain slowly wait 20 minute shower . sink bad . restaraunt mediocre good dirty ( spoon gunk , coffee cup lipstick ... ) . positive side : location excellent planning visit Museum Campus . hotel offer free shuttle convenient pool area great . for $ 100 night , inexpensive 4 night Chicago would prefer spend another $ 50 per night stay Hilton next door . 
 Jun 9 2004 	 great place great value 	 great value ! good hotel choose budget - minded . pool area excellent enjoyable kid adult . small hotel few amenitite , clean comfortable . would recommend hotel anyone ! 
 Apr 23 2004 	 great location good deal 	 ' ve stay Essex number time visit Chicago . great spot budget conscience . locate short walk Shedd Aquarium , Field Museum , Adler Planetarium , Chicago Art Museum , park ( music & amp ; take place ) pretty decent dining , would recommend hotel would prefer save extra buck use shopping & amp ; tour . we ' ve also use deli quick brunch head shopping district hit museum attraction . be bad , smidge would pay , say , Toledo fare fairly decent deal . this hotel rush - rush - rush like hotel area good bad , suppose . ' ve stay Chicago , first choice definitely one top choice money . 
 Apr 9 2004 	 Best Value Essex 	 go Windy City least year , stay almost exclusively Essex . location fantastic ! summer , dance / music festival inside Grant park almost right across street Essex . hotel , one easily walk Field Museum , Aquarium , Buckingham Fountain , Harbor , Chicago Art Institute . one independent hotel parking , not charge arm leg . when drive Chicago , take Interstate 55 end , dump Lake Shore drive , travel north block , leave , right ! , despite horror story regard traffic Chicago , hotel easy access . I can not say enough great thing establishment . , hand , good value . 
 Apr 7 2004 	 Friendly well keep secret 	 family really enjoy stay Essex Inn Chicago . price reasonable . room clean tidy . staff helpful anywhere stay . food Hotel good . another thing Hotel locate right bus line , make easy get around . shuttle hotel real nice benefit someone not know way around . first time Chicago would recommend hotel anyone . pool big lifeguard duty . 3/26/04 
 Mar 25 2004 	 Place will ever stay Chicago 	 hotel price great , room clean , staff courteous . could want . well , husband go one football package turn perfect . convenience football stadium unbelievable . also , hotel run shuttle shop within walking distance musuem . next trip need take kid good indoor pool . also , kid would enjoy musuem . 
 Mar 18 2004 	 Cozy 	 happy Essex Inn . arrive Friday afternoon stay Sunday . soon arrive , hotel Valet take car parking garage greet friendly bellhop carry luggage . check quick . 1 room 2 double bed 3 girlfriend . room small side decor little outdated everything clean cozy . price fantastic , even hotel far away much pricey . hotel free shuttle leave every hour take strip shop N. Michigan , Navy Pier , anywhere else want go vicinity . evening visit restaurant bartender fantastic . friendly great time converse . staff go way friendly helpful . can not afford luxury hotel still want amenity , highly recommend Essex Inn . plan come back summer 
 Feb 8 2004 	 RSNA come ! 	 travel 10 hour , pleased see home next 6 night & quot ; Chicago 's Essex Inn & quot ; . upon arrival , staff really welcome escort room . read review page , say pleasantly suprise ! two big bed , nice big tv en - suite bathroom . perhaps , let coffee & amp ; tea make facility , could make cold drink dispensor lift ! great location , walk distance Soldier Field ( Chicago Bears ) major museum . McCormick Place , conference hold also close . get downtown , courtesy bus run every hour great . & quot ; savoy grill & quot ; hotel excellent breakfast dinner , food really good , although smile waitress would not go miss ! 
 Jan 29 2004 	 good bargain nice staff room clean small . 	 clean room staff , nice . really appreciate free internet access . be look place rest head low price , okay place stay 3- * hotel . personally , though , chance stay 4- * hotel extra 20.00 do . room stay small feel bit cramp two people . hotel perfect solo traveller want save bit money . 
 Jan 6 2004 	 Essex Stinks 
 Dec 1 2003 	 good deal 
 Nov 11 2003 	 Great Location Good Kids 
 Oct 6 2003 	 could well 
 Sep 24 2003 	 Yuck ! 
 Sep 10 2003 	 bad hotel ever / zero amenity ! 
 Jul 16 2003 	 stay essex 
 Feb 4 2003 	 great value ! 
 Dec 31 2002 	 's Tradition 
 Sep 6 2002 	 Medioce Hotel Great Prices Great Location 
 Sep 21 2009 	 precio- calidad ! 
 May 28 2009 	 gute LageHotel na ja 
 Nov 25 2008 	 ? ? ? ? ? ? ? ? ? 
 Oct 21 2008 	 Nettes Hotel 
 Oct 5 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Apr 30 2008 	 Si vuelvo Chicago .... regreso este hotel 
