love 	 great hotel , staff lovely , great gym food cool . cheap . 
 Dec 18 2005 	 love ! 	 find K West search hotel near Shepherd 's Bush Empire . stay Hilton twice not thrilled , find Novotel Hammersmith uttlerly without charm . book KWest , bit concerned read mixed review site . glad barrel ahead . Pre - arrival exchange numerous email reception working package rate spa concern spa service class . friendly helpful . on arrival , room not ready , give complimentary upgrade large room . enormous , comfortable bed , nice linen ; good quality tv , dvd player cd player , although make use last ; couch coffee table , desk accessible electrical outlet mirror ; large closet one side hang thing , shoe suitcase open shelving mean could unpack somewhat without leave clothe strew around . finally niche minibar room water supply , nice kettle , tea supply , large glass , mug ice bucket . ( work ice machine across elevator . ) decor spare modern - probably would choose home . attractive , functional comfortable . Breakfast ( full , english ) wonderful , special mention leek herb sausage , fantastic . second morning , leave Heathrow 7:00 , time restaurant open , breakfast deliver room 6:15 ( order 6:00 6:30 ) . disappoint none lovely sausage . lounge serve great Cosmos . 8gbp , bit spenny , twice size similarly price one Marriott Liverpool . there free internet access . to address negative issue note previous review : somewhat concerned service & quot ; cool & quot ; factor . ' m middle - aged woman , distinctly uncool . find service KWest exemplary throughout : reception , restaurant , lounge . everyone could not nice . I stay Saturday Sunday night , hotel seem reasonabl full ; nevertheless , not hear sound elsewhere hotel . even window open , hear nothing normal city hum outside . the hotel locate short walk Shepherds Bush Green ( busy hour , apparently ) quiet residential area , past typical local pub . neither SBG immediate neighborhood could say least bit upscale , , frankly , feel quite comfortable walk back hotel , quite late Saturday , around 8:00pm Sunday . ask ( female ) bartender woman reception opinion , express reservation safety area . schedule , not able take advantage spa class offer , hope to . at 119gbp B & amp ; B , KWest top end budget , definitely think worth . 
 Dec 4 2005 	 K WEST ..... way go East ! 	 despite read review trip advisor ( mix good bad ) decide give hotel benefit doubt book special one night spa break treat weekend London . BIG MISTAKE . hotel modern quite easy get K * * * ( ' k stand ) . upon arrival half hour check room ready , decide leave bag rude somewhat incompetent staff . we check later direct room deluxe … .there nothing deluxe room . cheap cheap nasty . nothoing like picture rather tired . towel grubby soulless even modern hotel room . therefore decide would pay extra £ 35 grade next level – superior . unfortunately use hen party already book grade ( set alarm bell ) . way opt pay £ 150 + vat upgrade K suite huge much well quality honest really really nice . £ 305 little pricey could stay really nice room claridge Sanderson less . spa cramp staff rude , abrupt obviously attend charm school school matter . to top sir conditioning room faulty ' switch , broadband work hotel bar directly underneath room stay open till 2 morning loud hen shout pump house music . and breakfast , include room , rate run 11 am . Don ' give hotel benefit doubt terrible time . price pound stay somewhere much nice central ! 
 Nov 28 2005 	 soul - less Ikea Catolgue 	 Total Luxury Health Spa Day overnight staycheap Package Deal FeelI really happy receive gift voucher love spa ' experience , Berkeley Spa , Champneys Pennyhill Park really excited . book pedicure manicure extra , would allow trade facial . long suffer partner book room join evening . sadly start finish day total disappointment , hotel soulless badly maintain take Ikea catalogue.11.00 Arrive Hotel large bag room book . Porter available , direct spa . Spa Reception : hello welcome , tell harrowing journey , tell help tea garden room . garden room dull room two sofas bowl apple banana 's fresh flower magasine sight . they consider rename Hospital waiting area airport lounge , fact airport injustice . tell first treatment 12 lunch 12.30 menu ram hand . choose salmon . one explain format day I . I show change room ordinary . change swimsuit use Jacuzzi , get man discuss chlorinate smell make eye smart , get pink colour ELLE swimsuit bleed slightly . ( happen . ) mention reception note . SHOWER Facilities – crack tile , mildew , shower gel either cubicle could get shampoo work.11.30 – go purple room await therapist . explanation treatment back massage finelunch time , idea serve , wait dress gown staff reception finish personal chit chat , tell K anteen . two dress gowned lady , public restaurant , become uncomfortable oily hair robe place fill . food fine.12.30 – go back spa area , magazine read , price list spa brochure . 1 pm – take room treatment – small , show sign ware tear , water mark ceiling , noise intermittent drill , air - conditioning hardly concussive relaxation . manicure pedicure mediocre product use white plastic bucket . Facial explain throughout treatment sell , travel pack exceptional value , candle lovely , personal preference fan espa product say therapist several time . two hour ask glass water . it would nice know happen face rather happen.4pm leave claustrophobic room headache air - conditioning drill say go evening mud oil product hair . shampoo towel change area , lucky room book . I settle bill £ 74 nail treatment . the room 219the room last occupant rubbish , tv advertise flat screen reception appalling , complain . nothing do . plush white cushion room overall feel cheap Ikea catalogue . the shower fab though cut gunk hair . we go dinner return early use bar , seedy type make we feel uncomfortable go room . at midnight fight outside street , people adjoining room loud argument make usual way , hear clearly . 2 am lively crowd decide play football corridor outside room . I give try sleep leave 7 am , one concierge / reception help , taxi make way main road , journey home harrowing disappointing weekend . whilst K West anything location , great exhibit Olympia think could better house keep attention guest need . may suggest 2002 open K spa lovely experience need maintenance standard enforce . the hotel spa sell luxury package , certainly . £ 165 expensive travel lodge . 
 Nov 25 2005 	 still worth visit ! 	 ' ve stay hotel couple time past 2 year leisure purpose great , bit concerned read recent review book business stay week . I get great price 90gbp bed breakfast Airmiles website ( first last time will use service ) get nice double room clean spacious . the onsite gym great good selection cv equipment actually people use , create good atmosphere hotel gym . spa empty though therefore perfect ! can not comment roon service restaraunt charity expense budget would not quite stretch far , breakfast nice , little light . the area self not bad people make 's nice see 4star hotel next socially inclusive housing - nice walk Tube morning Londoners go work . 's also cinema complex supermarket close , handy be own . K West feel different compare couple year ago place change still comfortable place stay price right . will definitely go back business leisure . 
 Nov 9 2005 	 K - rap 	 K - west negative point : hotel build rice paper . hotel promote tranquillity £ 100 spa treatment somewhat ironic hear people breathe two room away . ' really help use car park coach park . understand would like sleep coach . perhaps would like rename place : Koach Inn . service awful . note staff : manner cost thing . please , require bill slip underneath door two day depart . ' relaxation . might well come round two heavy wield baseball bat . original feature : mean dirty towel , stain seat bed spread , look seedy hotel 10 buck night , may right street . price pay could least burn old filthy furniture . blurb say hotel house old BBC building . must set Young Ones . K - west positive point : ' London . albeit , Shepherds Bush , puke urine stain island surround motor racing circuit . Verdict : K - rap . 
 Nov 7 2005 	 hope 	 stay hotel get away one weekend , get rest thought would fun stay hotel hometown . book online . find hotel quick easily . immediate surrounding hotel great important inside thought ! check go room . room really cold , sofa bed throw stained , mini bar fridge leak contain list menu place , one towel also badly stain sample product already use put back third bottle miss . move another room . check 3 night morning second day find invoice slip door night mentionning quick check option available we . go reception , apology make explaination give - say mistake rip invoice . first day , come back evening find room window open really want could easily climb outside ! ! breakfast impressive either , neither us people around we share comment . finally noise inside hotel outside quite terribly - room get move ( also upgrade ) actually face car coach park ! hotel noisy last night phone reception 00.45 morning complain . 
 Oct 25 2005 	 good service interesting area 	 stay K West last weekend 1 night go Shepherds Bush Empire . search internet booking get good deal - worth look look around booking . arrive 10.30am expect leave bag come back later get room , tell would upgrade room one available immediately - brilliant . room well design good boutique / modern style without top . can not agree other staff really helpful friendly . slight gripe car parking - cost c£36 park car next hotel car park - yes website yes could go train still seem bit excessive . hotel 300 yard Shepherds Bush tube station road walk along get bit & quot ; shady & quot ; - interesting character go pub road , police stand guard house , another house industrial strength look metal shutter . 
 Oct 21 2005 	 hate rip 	 stay 5 days- booked hotel budget . surround area seedy- would avoid female travel alone . hotel extremely run , small room dirty bathrooms- 's bad part- make three phone call - two US 5 - 10 minute local call- use callng card get bill total almost 300 pound end trip . staff rude . avoid place 
 Oct 13 2005 	 great bargain experience 	 great bargain . room big staff attentive friendly . not lot time explore hotel facility , great time . fantastic english breakfast ! ! ! thank Tablet Hotels , website book hotel stay , vacation success . use three hotel recent trip Italy car . be really fantastic focus heavily provide great customer service important factor determine whether precious 14 day vacation would failure success . ' good know someone look we ! 
 Sep 27 2005 	 Nice Design Youthful Service 	 site look like former school house outside , ' ve do nice job make room boutique - y , modern affordable . though get 60 dollar upsell ( 30 pound ) show go executive room -- worth dine table room say addition Aveda beauty care product toiletry cool . oh yeah , reminder british tv channel , room comfy enough decide stay night , room service . way back Turkey US , stay night return . I ' m young guy , staff could not 23 , even desk staff , guess 's pay less room . eastern european staff right boat / train , one member not even know get Holland Road , next street . aware - know UK service already weak , take new level . overall nice room -- affordable day weak dollar . right tube , 's convient . travel Leisure 's description hip swank spot , la South Beach , way . not think cool London - er would ever step , could wrong . overall , 's modern design budget hotel , spa basement level . 's young staff , lack true character ( , 's former school house office building , something industrial ) make shy would put true 4 5 star Trip Advisor rating . I would recommend price look . 's . 
 Sep 22 2005 	 room = A+ ; however staff could use upgrade 	 husband stay K West final day honeymoon . spend 3 day prior apartment final two day K West . certainly nice change residential living . hotel modern , stick bit since 's situate residental area . hotel small , 5 floor , 30 - 40 room floor . enjoy accomodation immensely ! room situate 1st floor ( lobby # 3 ) rear property . first not crazy floor selection , get inside room , not want leave . room set like typical hotel room -- wide , deep usually expect . room large bathroom walk - in shower stall , terrycloth towel waffle - weave robe . room feature mini - bar / fridge ( lock ) , tea maker , ample sized closet , trouser press . addition , oversized desk , living - room size sofa , coffee table , king size bed , two nightstand , tv / DVD / VCR / CD Player . , nothing feel crammed room . lot natural light pour window light fixture around room . downfall , not bureau area place bag / toiletire ( closet ) . spa locate low level hotel , 1st floor ( stay ) . also , fitness facility , . not visit spa gym , find price spa service little bit range . hotel lobby double bar hotel 's restaurant sit bar . exception woman assist we check - in , staff leave something desire . level helpfulness teeter annoy barely enough . feel bar / restaurant area modern , hip metrosexual . bar spin techno house music ( loudly ) evening , seem popular young set area . say , not hear noise -- guest hallway -- lobby area . re : helpfulness staff : not type guest call front desk request -- exception wakeup call taxi , even seem annoy staff K West . ( would give 2 5 rating ) location : Shepherd 's Bush tube stop ( Central Line ) 4 - block walk -- doable . restaurant , bar , coffee shop small shopping ( mall ) area right near tube stop . tube ride 5 - 6 stop away major sight . all , not require staff member help often , want stay beautiful , spacious costly room , stay K West . think may find comparable hotel accomodate staff close central London possibly less cost . 
 Aug 22 2005 	 stop Bloody Moaning ! ! ! ! 	 wife stay part Theatre weekend . look tube map thought would long way centre city , case . outside industrial look inside chic mimimalist away London clutter . pay deluxe room upon arival upgrade executive room . spacious well think pretty much everything could need . the downside private function go ( probably reason upgrade ! ) room inaudible . as location , hotel 300yds Shepherds Bush tube central line take right heart city 15 minute . thoroughly modern approach hotel minimalist trendy thing expect walk sight front door , give miss . hand like thing simple funky , like well treat inobtrusive staff , give go . P.S . mother would not like ! ! ! ! ! 
 Aug 2 2005 	 really posh ... room ` ` ok '' 	 stay K - West base recommendation colleague . unfortunately , since business , not much time take advantage spa : - ( K - West hotel pretty nice . decor modern simple , room service arrive promptly . nice thing hotel large gym ( least much large flimsy closet call & quot ; fitness centre & quot ; Radisson Sussex ) . walk lobby , expect bedroom look like photo website . deluxe room couch plasma tv . room large , bathroom ... not seem clean . additionally , tv tiny . remind tv family use 6 year old ( color tv ! ) . be really tiny . , not matter , not big deal . I take tube Shepherd 's Bush Central London every day . not mind ride , colleague stay hotel mind . , not want pay approx 20 GBP per cab ride back hotel night Central London , K - West . however , be go stay Shepherd 's Bush area , highly recommend hotel . _ do _ suggest make sure get room clean bathroom though . 
 Jul 2 2005 	 wow ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 find ! ! ! stay 2 night gem within estate could not ask . bar stylish drink cost fortune - worth every penny though . room take bed lucky view real quaint old english wall . reckon must 30 year old ! ! not time use spa sound delightful . will back be sure . 
 Jun 26 2005 	 favourite hotel 	 outside look awful , step inside , be quite different story . chic , minimalist modern - oasis calm outside hubbub . staff front desk efficient friendly . room ( deluxe ) quite treat . decorate impeccable standard , could not fail impressed . room enormous ; good thing consider size bed , 10 foot width ! include flatscreen tv , cd dvd player . bar lively trendy , include breakfast wonderful . not buy spa treatment , however use spa room melt away tranquility . would highly recommend hotel anyone like chic minimalist look , together high quality standard service . 
 Jun 22 2005 	 Nice hotel shame location 	 stay special weekend rate standard double room spacious nice size bathroom . decor minimalist verge dull . comfortable king size bed & amp ; seat area . use gym good hotel cardiovascular section & amp ; weight separate room . continental option breakfast good range fresh juice , fruit , yoghurt , cereal & amp ; toast . cook breakfast not great . pleasant bar downstair get bit rowdy midnight . location good , near Shepherds Bush Green - even though 's minute Central Line , not feel safe walk around . 
 May 4 2005 	 Nice Hotel Location great 	 give hotel 3 star rating . love design room fantastic . also able book 10 am instead 2 pm somewhere leave bag . opinion either Love Hate hotel . either find thing tacky cut edge design . the location great however still 2 min walk tube . I would probably go visit becaue location . 
 Apr 25 2005 	 enjoy stay nice hotel 	 stay k west 3 night . outside look ok , nice dark , light change colour class . impressive . although strange location , middle sort housing estate , hard find . 5mins walk shepherd bush tube station central line easy get central london . room nice size , something notice hotel room clean . clean bathroom , clean sheet bed . I however little disspointe size tele ! say website widescreen tv , hardly widescreen tv , 14 - 16inch one . overall , nice hotel nothing special . 
 Apr 18 2005 	 Wicked Trendy Hotel 	 stay K - West , lovely trendy Hotel , pleasant staff , stunning room . must try K - West Burger delightful .. ! 
 Mar 31 2005 	 highly overpriced rundown hotel bad location . 	 recently come home three day disappointing stay K West . London great , hotel downer . base experience advise reader consider twice book . book room internet , mostly star ( 4 ) photo hotel , however compare hotel hardly believe K West 2 half star hotel , high three . go London day location far ideal . - use taxi , bus tube come major attraction centre ( tube 5 min . walk hotel , take approx . 20 minute get centre 45 min . bus ) . add , hotel locate rather grey bore neighborhood . yes , mall , nothing interest tourist even local ; - ) hotel room view fabric kind office building . strong feeling live fabric area middle nowhere . room : stay executive suit . nothing special room ( style fancy year ago , mostly wear look bit shabby ) . ' seem like do anything room since open . madra hard uncomfortable , compare hotel stay Europe USA . still think book room K West strongly advise book family room , room three ( extra madra like torture instrument madra , even child sleep kind madra ) .The bathroom little bit well , clean . roof bathroom seem like way , wear down . the staff : seem ineffective , bit kind , maybe much ? friendly , really unpleasant experience check . - staff wrongly add huge phone bill room , put much efford convince phone bill . upsetting experience receptionist act rude unprofessional ( even check phone number internet prove phone call make ) . even understand phone call , receptionist proud make real apology . spa : able use close 20.00 ( also gym close early ) . travel teenager child aware " child " 18 allow inside spa . breakfast : chaotic experience , friendly staff . wait half hour get toast first day . however , order muffin croissant etc . go smoothly K Lounge : not use bar restaurant K , part hotel look fancy stylishconclusion : highly overpriced rundown hotel , bad location . advice : stay away , much well price London ! 
 Mar 30 2005 	 K West Hotel+Spa - view 	 Read post book K West 2 night Easter . pay £ 82 per night standard room good size , great bed / bathroom well design . room 506 overlooked garden - pretty quiet although may able hear noisy people corridor like one occasion 2 am ! reception level 3 spa level 1 gym 2 try get room well away i.e . room number & gt ; 499.Key card system room / gym etc seem bit hit miss whether work . morning due check go breakfast find keycard deactivate prematurely - bit annoying . breakfast - continental style one take lounge reception area - times chaotic coffee / pastry / juice good quality . quite like setup think old people might ; - ) Staff - checkin reception bad quick either . staff generally quite young helpful / happy enough even could find booking arrival ( hotelpronto book agent ) .Spa + gym - well equip feel quite luxurious , particularly think hotel not expensive ( food though ) . gym rower , bike , stepper small free wieght / machine weight area . spa reception staff helpful / polite . Jacuzzi work high chlorine level - go 5 min anyway fine . Sauna steam room . nice contemporary decor . treatment start £ 40 £ 70 say 55 min massage . expensive ' package ' available e.g . facial , wrap etc . Neighboorhood - 2 min walk Shepherds bush tube ( central line zone2 fine ) complex fast ( ish ) food place / cinema / local shop . area bite grotty walk way i.e . turn leave K West progessively nice point 15 min Holland Park swanky . woman might little intimidated walk round night definately bad area . overall - pay would recommend place stay . price - stay quite tired place modern upbeat good facility . place add nicely 3 day stay London . 
 Mar 30 2005 	 laptop steal 	 hotel self good compare hotel london . pay though , one mroe expensive one . get good rate internet booking site though . check laptop bag hotel receive claim ticket . upon return claim , bag steal . give bag someone else . Police call issue currently investigation along lawsuit draw . laptop steal , along MP3 player , book various thing case . beware safety item ! ! 
 Mar 21 2005 	 Hip Hotel ! 	 read good bad thing hotel honestly say friend happy . upon arrival greet busy reception , reception hall K - Lounge bar . 3 receptionist busy deal reasonably quick . book quite large party kindly upgrade room Embassy Suite moon about . the room good size , check detail website . bathroom good Aveda product trendy fitting . strange thing glass practically see door bit embarresse sharing room mate rather partner ! spa quite small , jacuzzi , 2 steam room sauna . be ok us pop . not treatment due enough time . resturant call Kanteen eat evening , nose though look smart . not return hotel till early hour bar still buzz people , be young , hip kind hotel . continental brekkie follow morning quite casual affair - pastry , toast croissent etc fine . all think hotel good would recommend stay . staff pretty attentive may come across bit blunt foreign actually ball . 
 Mar 15 2005 	 Chic hotel 	 stay K West April 2004 . hotel chic modern . room roomy bathroom surprisingly big . bathtub trackless door , think nice touch . speak traveler London , feel quite lucky stay KWest hotel room London tiny bathroom dingy . since KWest fairly new , everything clean . the staff KWest general nice . aware order bucket ice , charge 2 GBP . quite shocked get bill . also , call make local international ( even phone card ) charge room . basically , everytime dial phone , charge fee . phone card , suggest use pay phone outside instead . KWest bar end go practically every night . play lounge music & quot ; chill & quot ; type atmosphere . see local come drink . 's nice crowd . decide eat , try grill chicken panini ... great ! also 2 computer internet connection ( free charge ) , often use book trip outskirt . negative thing say KWest location . located Shepherd 's Bush , within walk distance attraction . end take tube everywhere . , however , get accustomed tube 2nd day . rail system excellent . train color code clean . feel comfortable taking train night however , walk back hotel quite scary . would not advise anyone be go alone . go back London April 2005 decide stay Royal Garden Hotel instead since want close attraction . 
 Mar 13 2005 	 first impression last 	 see place , think terrible mistake . 's ugly building end residential road . go door , be painfully chic . nice . swish , lot people wear fancy french loafer important coversation public place ( probably medium pa ) . room big , restful . bathroom nice . avoid breakfast unless pay upstairs ( £ £ £ ) . ' continental ' breakfast serve bar difficult eat table low , unless want try look cool pick . consist croissant cake . personally , need good start day give miss . bit town , price fairly reflect . get impression staff use deal medium type ( try variety ) break sass attitude . feel sorry . crush doubt anyone work long time . reflect service . lack heart . 
 Feb 24 2005 	 4.5 star 2 	 stay 3 year ago -- place recommend friend work BBC . do major facelift everything bright shiny new great time -- quibble annoying glass half - door shower allow bathroom flood . pay K West return visit early month sorry see aged gracefully . bathroom could clean -- look like residue someone 's toothbrushing spray leave rough tumbled stone tile sink housekeep miss odd end nubby weave carpet . could not help notice previously clear sealant tub surround turn yellow strip veneer peel away bathtub clad droop onto floor , doubt moisture control issue . also , knob one headboard - mount reading lamp miss whole unit slide around scratch finish . may sound really nitpicky market design hotel choose kind high - maintenance design scheme , not immaculate , look shabby . lobby area bar look good , however . service generally good become uneven ( staff member North America well , surprisingly . concept customer service still pretty different side Atlantic , hotel restaurant -- get use ! ) big event hotel night arrive , Brit Awards , think , may explain hunt room service breakfast next day call 3 time get iron work , hotel suppose able handle thing offer bunch excuse . say everyone polite try helpful not charge breakfast yummy arrive , spa quite nice though lot business not time . not problem neighborhood -- boho - chic Notting Hill rough edge , would rather walk Bush Green Saint 's Road midnight sure ! be really far away Central London -- fifteen - minute tube ride , nearby Holland Park lot interesting shop restaurant . , would not steer someone away K West -- be still good deal money , would long enthusiastically recommend either . go , get even - number room one top two floor -- view definitely well . 
 Feb 8 2005 	 chic great experience 	 love hotel . stay Wimbledon love . room great hotel quite hip happen . front desk staff little full though , reason come ready ask autograph . get past , money well . also , be bit way well , cabbie take we , think kidnap ! place stay category price range , be great . 
 Jan 24 2005 	 definitely return 	 hype , expect something quite different hotel . the room ( single ) clostrophobic dimension , averagely furnish , locate directly street level view dark alley ( i.e . possible open window ) .As spa floor , stench humidity air , well moisture stain ( endlessly long ) hallway . the personnel come across bored unconcerned . the whole place appear serious need renovation . give creep - wanted get fast possible morning ( Shepherds Bush exactly place want hang London ... ) 
 Jan 3 2005 	 ok Room Terrible Service 	 room ok , clean line expect give styling . stay 2 night , move 1st evening due ' rodent type ' noise room . hotel staff claim rain - doubt noise trickle water ! ! terrible service staff particular duty manager , would recommend go friend colleague . location ok accept bus ( £ 4 ) , taxi ( £ 20 ) tube ( £ 5 ) return journey Picadilly Circus . initial impression hotel poor - external styling could make . 
 Dec 16 2004 	 Loved ! 	 first , direction hotel SHEPHARD 's BUSH TUBE stop : exit tube station turn right cross street . 's shopping mall right front . turn leave front mall . will see ramp right pub - head ramp . road split -- stay right walk street . will see hotel left - hand side . I love hotel . convenient tube line . shopping mall grocery store inside , movie theatre restaurant front step . shower awesome love bed ... comfy . complaint not alarm clock room ever husband try call United States , get voicemail . definitely recommend hotel . oh yea , neighborhood not sketchy reviewer state . LONDON ROCKS ! 
 Nov 25 2004 	 Good room 	 look great room , place , previously highlight , strange eye pull walk know right place .... reception slow , would walk away walk street look room , nothing wrong staff slow , general feel hotel good , not go Spa feel big hype , anyway crash bed night good room great , stuck though sure would good , breakfast also describe review , chaos ... need well system . hopefully change stay month back . worth visit get not book thinking want stay hotel two day . 
 Nov 15 2004 	 ok Fun Bar overall disappoint 	 Stayed friend weekend Nov 13th . mixed feeling stay . anytime spend bar fun , fairly good service great atmosphere ; rock star mill around make good buzzy atmosphere . room average - design ok nothing special - typical clean line modern ' trendy ' hotel . room badly design eg mirror , hardly socket , light poor . we order room service breakfast arrive wrong twice - complain do not pay , ruin relaxed morning . spa big disappointment - corridor dirty floor wall disrepair , shower dirty , steam room noisy machinery impossible relax . Sauna good , jacuzzi good local gym ! get deal room drink food expensive . I would not rush back except convenient location unless get good deal - do not great expectation wonderful design , service ' spa ' . 
 Nov 7 2004 	 staff r terrible 	 Hiya , go lovely weekend away get hotel grief . staff helpful , especially bar staff - wouldnt recommend - not worth money - gutte annoyed hotel , plus u do not even get shampoe - its stupid ! ! ! 
 Oct 28 2004 	 Light hearted fun Shepherds Bush 	 book deluxe room surprise treat boyfriend . midweek , quiet evening , use spa facilite retreat room room service dvd . spa relaxing , wander straight lift dress gown provide . ' m huge fan jacuzzi pleasantly deck dark mosaic 2 great steam room , one lemon eucalyptus good sauna . see 3 people evening . bed truly enormous , although find ' hypoallergenic ' duvet quite lumpy heavy . tv quite strange position , whereby could not watch comfortably bed sit area . never get round watch dvd , not prove problem ! not bother bar restaurant - formulaic design touch clinical side . room service - stick simple like burger - thai green curry watery bit waste money £ 16 fruit salad seem little tired . service prompt courteous . 
 Oct 27 2004 	 Style triumph substance 	 stay hotel last week not bowl expect early review . 's nicely deck usual designer style . studio room adequate size nice , big bed . however , desk staff ( although perfectly friendly ) helpful air boredom pervade reception . location hotel little odd - whilst handy enough central London central line station pretty close - end residental street reach kind dodgy alleyway . breakfast terribly chic ridiculously expensive . although perfectly fine stay would not rate top place stay London . stay MyHotel Bloomsbury instead . 
 Oct 26 2004 	 modern hotel 	 saturday night stay great present sister boyfriend . hideaway pakage inc , duluxe room widescreen tv , dvd player , cd player playstation.well check 2 pm find playstation be could not one although book , small selection dvds cd choose ok big fan 007 load . imprese decor , along corridor small tv screen wall , free internet access nice quiet area . the room great , extreamly big bed room clean . jacuzzi saunas good although be not much space lot people . order full english breakfast bed amazing lot be expect . lovely stay , staff plesent price nothing ordinary , would definatly visit . 
 Oct 18 2004 	 disappointed 	 good weekend London seem shame thing spoil feeling someone try rip . 's feel stay K - West . start get room browse breakfast menu £ 20 full English . top tip , great little cafe road great little menu . make way bar order beer . 10 % service charge add price drink . not mind tip bar staff , every drink . query , barman tell not pay service would take wage . work actually cheap drink mini bar go bar , incidently close one day private party . the room nice indeed . certainly deluxe king size , bed big enough four five people . 's shame clean staff neglect clean properly . spa , nice point . be great , number get past 8 , place feel little crowded . whole would say could well , though location ideal purpose . 
 Oct 5 2004 	 BAD experience . unprofessional messy hotel . avoid cost . 	 partner stay K West 1st & amp ; 2nd Oct 04 . mean surprise weekend partner 's birthday . want give partner relaxed weekend , choose K West due spa . instead destress , hotel staff good stress we out . I email hotel prior arrival confirm reservation , request non - smoking room , etc . email get back say ' ve book entry level room upgrade room deluxe £ 30+VAT per night . reply reject offer think standard room would sufficient . day arrival . partner stand front check - in desk fill form . receptionist ask want upgrade room £ 30 . put feel be keen sell upgrade time . also , ' ve mention 's surprise weekend partner , not think 's appropriate ask question front partner . the standard room ok apart bit dark . room amenity bit stingy side . shower gel bathroom . call reception ( wait 2 min somebody pick phone ) request shower gel disposable slipper . receptionist tell slipper £ 2 . said not want they . I complain duty manager Meena say not impressed receptionist check we ask want upgrade , cost slipper . not sound interested & quot ; lectured & quot ; London hotel . apparently K West policy ask every single person check want upgrade , etc . London hotel policy ? ! CASE MEENA ! ! ! stay London hip hotel many many time year , include Sanderson , St Martins Lane , MyHotel many London 4 & amp ; 5 star hotel . never ask . furthermore , work Sheraton , Holiday Inn Thistle Hotels . be never policy ask every single guest check - in want upgrade . the room include continental breakfast . 's complete chaos . 8 table 3 staff serve guest continental breakfast . 's self - service type time clean table ( be lucky enough even get filthy table ) . also , one person smoke fill area cigarette smell . put . I ask late check reception . receptionist tell will charge £ 10 per hour 12 pm want check . hotel incredible , care get money unprofessional manner . ' m sure business want money customer , surely subtle way achieve put people off . the spa hand good . clean well maintain . K West definitely spoil weekend . avoid cost . 
 Oct 1 2004 	 modern nice hotel 	 great 4 - night stay recently . interior impressive clean modern line . bar nice , could use couple draught beer . not eat restaurant use spa , though cardio resistance room look nice . good selection pastry , fruit , & amp ; cereal breakfast , well friendly accomodate staff . standard double room nice ... plenty space , nice bathroom , & amp ; comfy bed . complaint room near back hotel , long walk corridor overlook train track . train noise really problem , though . great convenient location near Shepherd 's Bush Tube Station quiet neighborhood . reasonable price get , especially London . would definitely stay agian ! 
 Sep 8 2004 	 great design shame ..... 	 be one people , maybe even couple prefer design hotel look somewhere stay K - west disappoint . however , spa will . my girlfriend much enjoy ' work ' gym head spa steam room ' relax ' room drink wine , eat olive read magazine book generally enjoy hotel . bother pay small fortune room spend time away ? spa bit let . cv room tiny one feel closed . resistance room next door leave cv room find , odd ok . Thistle Hotel New Hall well spa facility even not advertise much K - west ( see review ) anyhow , k west extremely well design proverbial ' wow factor ' . first impression bit mute hotel not particularly look much outside interior sharp . corridor lead room superb smell vanilla air . room good size , excellent design . bed huuuge ! ! stay one night breakfast include main complaint . free . seem everybody breakfast include room price also seem everyone go ' last one beakfast ' routine manic . top , could get seat ( march upstairs restaurant area give good ' do not even try stop we sit ' look ... work . can not stand eat ! ! ) unimpressed mayhem downstairs . guest spill coffee everywhere look really quite messy . top , lady downstair sit family , amid army guest , smoke ! ! ! ! 3 year old granchild sit opposite ! ! Ooh make mad . stop smoke food AREAS guys ! ! ! ! anyway , be trendy look interior London fairly affordable price ( last minute.com ) ok . near enough tube line seem quite safe night . Taxis plentiful . parking pricey . Ps : one final moan arrive , 5 reception staff must go strike leave one colleague check 10 we stand wait . good enough ! ! eventually one two stop resume check . apology even & quot ; sorry , will minute & quot ; . poor reception guy ! ! however , plenty staff around say hello every opportunity . see , simple thing want MR HOTEL OWNER ! ! would go ? probably spa . otherwise be alright . 
 Aug 1 2004 	 Modern arty great romantic weekend ! 	 Hubby book we wedding anniversary coincide Valentine 's romance package . despite concrete facade , lovely inside bedroom huge dressed like ready homestyle magazine shoot ! lovely modern colour , styling artwork . the clincher balloon bath , heart sequin bed floor , free ' kneetrembler ' cocktail bar . , wonderful ! 
 Jul 11 2004 	 Nice Hotel 	 hotel nice , neighborhood whole lot , need take tube everywhere . room nice spacious , real complaint room air work well . kanteen restaurant way price , eat breakfast 19 pound person , total rip . eat McDonalds Starbucks breakfast , not pay hotel breakfast ! would stay good value , not eat restaurant 
 Jul 10 2004 	 stylish modern room great deal available 	 great rate hotel various online booking site , property definitely average - much nice London hotel offer comparable price . modern , even small LCD tv hallway play BBC News ! 's quiet location , convenient tube well Kensington High Street shop . room fairly spacious european standard , nicely outfit , magazine hipster - orient local guide provide room nice touch . 
 May 23 2004 	 Nice room 	 stye K West last weekend April 2003 hen night . booking handle friend believe get good rate 99.00 GBP , would stay little far action . well central hotel cheap rate , review hotel . build concrete box know pictures frontage website . reception area blend bar area though bare cold . luckily room make lack warmth reception . bathroom decorate beautifully , clean spacious . decor room self modern neutral . will not get big room london money . tube two minute walk away wetherspoon around corner traffic light serve good value full english breakfast 2.99 gbp . overall good hotel , nice room , far away west end . 
