robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Jun 5 2009 	 IP Centrally Located Established 	 hotel need implode other , time pass place old showing 's age . location beat , sandwich Flamingo Harrah 's bored . check flawless desk staff courteous . find room hand horrendous , take we 30 minute eclectic design building , elevator slow many service hotel busy , expect . there starbuck Seattle 's Best Betty 's diner suffice coffee fix . there midnight cafe pancakes eggs hamburger joint ( not eat ) .The room relatively clean although dusty bed bathroom clean old ( wallpaper peeling ) .The clean lady well good job . ( hey People couple buck daily tip wonder sometimes ) order room service come promptly courteously . ( expensive 's vacation ) entrance hotel car nightmare , dodge people cross path art form , wait , never let get entry . word advice valet , self park self punish , see . the gaming staff ok , be hard grade one playing machine . cocktail waitress ok well yes tip well . the dealer - tainer entertain fun watch . no , stay 
 Jun 4 2009 	 HONEST opinion Imperial Palace 	 firstly , apprehensive book Hotel bad review give . husband stay , give totally honest opinion 8 night stay . checking - check - bit queue , take approx 10 min get , hey , Vegas , influx people coming go phenomenal . find check problem give choice king size bed two queen bed Deluxe Rooms . room - choose 2 bedded room smoking floor . room 18th floor - top hotel ( 1887 ) . bed actually two double bed , room fine . bed comfortable ( fussy bed ) . bathroom fine bath shower . shower spot . small balcony room ideal smoking husband non - smoker . way , smoking floor really affect actually say , be not bad i.e smell etc . problem find week , cleaner great . ashtray remain balcony never empty , balcony sweep . room fine overall get pay , people moan complain , would say , spend stay Mirage , Bellagio MGM . actually spend birthday night penthouse suite Mirage ( suprise husband ) absolutely fantastic - like stay Palace , price match get ! Casino - husband say preferred Imperial Palace Casino say lively compare casino 's find bit boring much atmosphere . IP Casino , dealertainer liven thing , laugh people around bar area 's . Casino 's go , everyone seem keep seem frightened & quot ; mix & quot ; .Food - eat breakfast hotel , comment , breakfast & quot ; breakfast & quot ; fine . good place eat would Magaritaville ( leave hotel ) - LOVELY . favourite Tony Roma 's Binnions Casino Fremont Street . absolutely fantastic reasonable . Ribs Steaks kill ( half Onion Loaf main course MMMmmmm ) . also find Buffet Harrah 's good ate time . load choose good . come absolutely stuff . many good choice dish , try ! ! ! Drinks Binnions Casino also cheap - Vodka coke JD coke $ 3.50 . could not belive ! also photo take free ( put nice folder ) $ 1,000,000 . great souvenier . tips - would advise casual clothe , comfy shoe lot walk . good way get around , find , deuce bus , run 24 hour one end strip . 24 hr pass $ 7 , well worth . pay get double decker bus . run every 5 - 7 min . Swimming Pool AreaSituated 2nd Floor think one good pool ever atmosphere fun . pool small patch pool hotel - fun . dj around pool play great music 60 's , 70 's 80 's many time people would singe dancing - great fun . burger around pool good too . elevator - SLOW ? ? ? ? 8 night never , say never wait long 2 min elevator . lucky ? know , problem experience we all . anyway , enjoy stay Vegas - . 
 Jun 1 2009 	 Location michigan 	 location strip perfect . walk distance many attration casino . yes elevator slow work ! grant high end hotel price see well value strip ! room clean , service good casino good variety machine play . take wale shoe enjoy ! 
 may 31 2009 	 eat elsewhere . 	 may little old , understand thing improve ! wife fly Vegas intend stay night drive Death Valley , Lake Tahoe , Yosemite San Francisco . second day sea bass dinner heavily spice . ill , wife suffer badly , effect last week . flight Grand Canyon completely spoil , drive Death Valley . service hotel almost non - existent help find one 's way around . room fairly clean , would hope . like Las Vegas , exterior showy , casino interior tatty atmosphere . 
 May 30 2009 	 would still stay price right 	 stay number hotel vegas year visit , number time hotel . choose cheap price central strip easy get attraction . room clean 2 big comfortable bed tv table chair . the parking however long walk elevator take long time come , 6 floor . pool area noisy . 
 May 30 2009 	 Grimy room perfect location 	 Cons : come World Series Poker tournament hotel one advertising special rate player . front desk staff , although courteous , aware special discount spend around 45 minute , top waiting line 30 minute , get sorted room . book non - smoking & quot ; deluxe & quot ; room King bed . aware budget hotel , get & quot ; deluxe & quot ; wonder pass & quot ; standard & quot ; . carpet mildewy , stain entire room reek old cigarette body odour . neither tub sink drain properly - disgust aspect stay . bed actually 2 bouncy twin wrap / hold together thin king fit sheet . bedding course cheap , scratchi type . elevator often service . mini - fridge room . old tube tv room . room service incredibly expensive - breakfast side start $ 10and go $ 15 egg . pro : Wifi available working cost . AC work fine . tv actually 4 working channel . dry cleaner offer alteration service . very convenient access monorail free shuttle service strip . thank god 's situate within walk distance Venetian . the lobby floor noisy , smoky cramp . overall feel resort outdate , fade , crowded disconcerting . would never stay . 
 may 30 2009 	 Aweful Place stay . 	 Imperial Palace definately hotel would stay again . the carpet room stain whatever . Bathtub dirty , old date tv , smoke alarm rusty , general appearance hotel terrible . elevator old , dirty chip rail . pool lounge chair old , mildew , disgusting lay . water pool heat little security use pool . I would eat hotel see decline appearance unsanitary condition . 's dump . 
 May 29 2009 	 Perfect Location ! 	 fault hotel ! may look amazing Bellagio Venetian , centre Strip easy get main attraction ! stay 6 night partner 's 30th , choice save £ 300-£400 stay Imperial , stay well hotel like MGM Venetian . decide would not hotel much anyway spend money shopping roulette instead ! room spacious clean , even mini balcony fresh air , pool area load sunbed . would definitely visit great value money . also recommend bar front Imperial call Rockhouse daytime beer pong frozen margarita ! 
 may 27 2009 	 dirty helpful staff 	 stay Capri room - after ask several personnel ( say hall ) find room 30 minute . sad direction get room walk long way get casino anywhere within main section hotel . room run feel dirty clean . one bad hotel stay . retro decor - look like be neglect long time - you get beyond stained carpet dirty bathroom . drain not work well . talk other capri room feel way . price worth value- 
 May 27 2009 	 Cheap good 	 want clean hotel room cheap ( pay $ 35 night ) , locate right smack middle strip , casino , food shop one place , . even free shuttle from / to airport . expect luxury , strictly functional stay . get clean bed ( trust , even take apart bed look bedbug , find none find new matress clean linen ) . want luxury , go Montecarlo accross street . check fast , arrive early bell boy securely store bag away check time . dealertainer remind nightly basis . casino adequate , kinda cram . great cheap base operation sojourn Vegas . tip : $ 2 tip pillow , get great room service . 
 may 27 2009 	 Loved hotel 	 first , read review skeptical . however , wrong . 1 . check - in line long . however memorial day weekend Fri nite . 6 station go . line move fast . get choose floor , loud quiet . get room happy . book deluxe tub room . clean , quiet . hotel big ( hotels strip ) . room clean never issue . every room balcony overlooks hotel pool great view Ceasars . I would truly stay . look cheap accomodation get room outside parking lot , inside main hote . however , , get regular room happy . elevator move kind slow , , lot people stay , expect . pool fabulous . live dj Sat , beer special awesome . overall , would definetly stay . issue . 
 May 26 2009 	 Better Thought would .... 	 husband get back day ago 7 day , 6 night trip Vegas . & quot ; big & quot ; spender come gaming ; however enter total Rewards card # back January , shocked find Imperial Palace go comp we every night stay except Friday night ( steal $ 49 ! ) not hesitate book trip , though admit pretty worried & quot ; Free & quot ; room would like . previous review give horror story room condition , prepare slip $ 20 front desk clerk going put we Capri room , try upgrade . turn , could happy room give we ! 15th floor , simple clean , fantastic view strip look right Harrah 's Carnaval Court ( heavy sleeper like go bed 1 be helpful get good night 's sleep ! ) water pressure shower unlike ever experience - nice strong , never want leave shower get ! staff friendly , pool facility adequate flashy ( bit difficult find first time around , consider warn ! ) breakfast Teahouse also Betty 's , place job , nothing extravagant . would like mention extra bonus check poolside luau show Tuesday Saturday night - get reduce price tix inside O'Shea 's save $ 15- $ 20 per person vip package . really enjoy show dinner . course beat location hotel ! negative would state really eat time , especially morning checking , incredibly slow elevator . twice take we 10 minute ( joke ! ) get elevator not pack capacity . , would hesitate recommend IP anyone look clean , friendly place lie weary head body long day gambling walking . well think would ! 
 May 26 2009 	 great value 	 great value price . elevator little slow good could fix . would stay agian 
 May 26 2009 	 bad customer service watch incidental charge 	 stern receptionist would not listen question , keep say & quot ; next line & quot ; .I pay supposedly & quot ; deluxe - plus & quot ; Suite TV break switch another room electrical problem . after trip review credit card , graciously charge extra $ 80 charge , admit mistake , would take least five business day refund .... watch ! ! ! 
 May 26 2009 	 well expect ! 	 read negative review , low expectation hotel not really look forward stay . however pleasantly surprise much like hotel . room spacious , clean , quiet comfortable . love patio overlook pool area . really enjoy entertainment casino dealer impersonate star like Alice Cooper , Michael Jackson , Stevie Wonder ... really fun watch create lively atmosphere casino area . location hotel perfect within walk distance good hotel hot spot . love pool area great lie drink . overall great time staff member come contact helpful friendly . would definitely stay . especially 's great deal ! one negative comment buffet horrible ! even cheap would never eat unless really desperate . food taste funny cold . 
 May 26 2009 	 enjoy second stay 	 Stayed 2005 know expect change much . still offer good rate great location ( centre strip really near Venetian , Paris , Bellagio ) . good hotel strip mean room fine issue . service adequate line bad checkin elevator . buffet breakfast bad worth go Bellagio cost maybe $ 4 much well . would stay . casino one smoky one strip non smoker may like less . 
 May 25 2009 	 items STOLEN ROOM 	 worst HOTEL WORLD . husband easy please like hell . husband take medicine illness . specifically remember leave bottle pain medicine table would need return . go , even 2 LOSE PILLS resting TABLE . hotel police assure drink employee do nothing . investigation do joke . fire siren repair time sleep ( daytime ) .... take 3 hour . next day kind drillle constuction floor we . casino took forever bring complimentary drink . 1 per hour . do not get sleep husband finish trp pain . problem quality staff hire , do not think half would pass background check . fine hotel smell musty old , try save money spend never stay . * * * * * * * * * * * * * * * * * * * * * IMPORTANT note * * * * * * * * * * * * * stay away timeshare presentation give free show attend . Wyndham Manager sleazy , sign mini contract say stay 2 hour get show ticket . would not let we leave without buy time share try tell sign deal writing state , & quot ; do not care paper say do not sign get ticket . & quot ; 6 hour ... 6 hours ! ! ! finally give dumb impersonation show ticket Cirque one promise . 
 May 24 2009 	 Excellent Location ! 	 stay 5 night Easter break . 's ideal time visit Las Vegas heat not oppressive ( unlike August ! ) .The IP fabulous central strip location . be little bit tired , money , ' m sure beat ! room big light airy comfortable bed small balcony lovely view mountain back strip . check , give choice room would recommend one back view - much quieter ! bathroom bite dark , shower incredible water pressure - give massage time ! excellent start day . the hotel like rabbit warren - get wrong lift walk around ! quite eating choice , reasonably price - although Las Vegas , go anywhere ! great base , could facelift perhaps ? pay though , great value ! 
 May 24 2009 	 love 	 spend 3 night delux love tub room free comp & amp ; love . great housekeeping service every day . fresh linen everyday . staff friendly & amp ; helpful . not impressed burger place spend time & amp ; find place eat . check bad part trip . spent hour line . would recommend anyone . 
 may 21 2009 	 expect $ 15 / night ? 	 get ridiculous deal one travel website flight way , hotel work $ 15 / night ! Split 4 guy look launch pad party Vegas ... can not beat deal like . anyways , get useful information . check - get 9 am Sunday ... line huge moving . one clerk busy tell every person come counter life story literally time take get one person check ... girl three ! try old slip $ 20 bill id / credit card trick ... not even take money not even acknowledge we ask upgrade available . first time ever happen . room - well ... hotel room ' m pretty sure looked stay last time ... 15 year ago ! really , amount time spend ... perfect . little deck stand smoke , a / c work like charm even little noisy . tv small work fine want find play Blackjack something . clean service great efficient , leave we extra towel ask even extra garbage use cooler . elevator - Brutal slow ... always pack around check time lot room begin . put four we ... not much room be exactly fatty fat fat . pool - one pool one hot tub . ( hot tub 30plus celsius weather ? thank ) little waitress quick seem know exactly drink ready refill ... look man , be use drink free machine / table ... get expensive sign bucket beer . food perfect poolside . burger dog . music seem like time warp 80 's fine . not want hear little old school Motley Crue be drink sun pool ? dealertainer - guy money ! one would pass actual celebrity be impersonate , able stay character deal card ... like Michael Jackson little spin house get Blackjack ... funny . nightclub - room key get free access bar across lobby ... 's worth look will say . ' ve never & quot ; hey baby & quot ; many , um , work girl life one location . ugh ... decent crowd though . Sunday Thursday night stop night . be always busy scene fru fru club Vegas . Shuttle Service - airport / Freemont / anywhere ... non - existent .... restaurant - eat Teahouse first day check ... 's lot like meal would expect truckstop . lots food , walk away full ... 's gourmet mean . , get pay $ 7 spend ... satisfied . Location - Perfect . Monorail right ... Freemont $ 15 cab ride want . be close Fashion Mall pick stuff friend back home . I would definitely recomend place guy go stag party need staging area night 's activity . would post photo ... trip happen Vegas ... stay Vegas .... 
 May 21 2009 	 Location location location 	 's good thing place . seriously need upgrade / overhaul . when reserve , tell bed Queens , full sized . the room not upgrade since last trip 14 year ago ! bedspread wear . with say , location awesome . also , please get new entertainment - see Luau , car museum , Legends 1995 already . 
 may 21 2009 	 stay terrible . 	 Stayed return hotel dirty go hill half restarant close room dirty find long hair alot bed get suite order pool never chair open late great location strip put charge son credit card never happen still await credit . do take stair way fire door come back bang door hopefully someone open elevator old slow . you pay ice machine . very disappointed return tell friend to . I hear New York hotel great . 
 May 20 2009 	 bad stay could do well money 	 arrive Wednesday mid - afternoon check fairly quick . staff friendly time hotel lack many way would hard recommend . layout room crazy other note , elevator slow many time one work 4 . room clean , bed comfy really surprised see 19 & quot ; tv . think dead . bring shampoo conditioner ever provide tear hair . food overprice nothing less terrible . would suggest eat anywhere . fold cool bag , pack . way least keep drink snack room . location good plus . easy walk distance great hotel place eat . ( buffet Treasure Island really good less $ 20.00 . ) gaming bad , prefer O'Shay 's right next door . choose not want spend much hotel leave money gambling . next time will stick favorite , Golden Nugget downtown . 
 may 19 2009 	 Centre Strip great location not spend much time room Vegas anyway 	 stay 4 night high floor strip view room . great view strip however loud , music still continue 4 morning . loud can not hear tv properly . come vegas though , not come spend time room great we . Great Drink price bar downstairs . smoking room ' m smoker smell bearable . occassion would come room could smell marajuana . obviously security building not care go room . not expect 5star hotel pool nice always pack use hotel harrah next door . ( fine own company ) . would great fridge room though . would stay ? ? maybe , probably pay little bit extra stay Harrah 's Flamingos right next it . this one cheap hotel strip , look bed sleep nothing imperial palace great . 
 May 19 2009 	 great work be budget pinch . 	 would say customer serive experience pretty average . elevator always incredibly pack . room outdate clean . little hair bathroom weird pink stuff wipe . family stay hotel floor we . sister say room disgusting brother say shower leak . 's great place stay , doubt be bad either . work we look something cheap strip , not think would stay . 
 May 18 2009 	 great bargain Vegas hotel- poker player 	 hotel not plush , not trendy , clean , small , perfect not room much , Poker player love . room clean , basic , bit old fashioned . also lot cheap other , spend lot upgrade flight , want make save elsewhere , great . like fact snobby , chill , bit tacky ( Dealatainers ) fun . great central strip location , super cheap rate . 
 may 17 2009 	 luxury clean great location 	 hotel offer basic : clean sheet , clean towel , hot water , cable tv . be look Vegas luxury , look elsewhere . need bargain hotel good location , stay Imperial Palace . 
 May 17 2009 	 would recommend hotel bad enemy 	 read several review recent trip Las Vegas still decide go Imperial Palace . think somewhere rest head city . well let start say arrive hotel around 9 pm . long line check 3 desk agent . wait roughly 30 min check room . long wait give wrong information desk agent set elevator take . take first set instruct front desk . walk around 14th floor 15 min find room . arrive hotel 9 pm step room first time 5 min til 10 pm . keep mind night one . well shower get ready herad night . one good thing hotel show head pressure . nice shower . anyway make way , love location hotel , near Harrahs Carnival Court , Jimmy Buffetts margaritaville , caesar , mirage , flamingo , within 5 min walk . first night head back IP want something eat . well thing open overprice Burger Palace . burger so - so , fry cool sitting . wake next day find whatever reason buffett close day , Embers & quot ; nice & quot ; restaurant IP open til 5 pm neither pizza palace . want food option burger palace . decline go next door Harrahs buffett . awesome . food quality selection awesome . several day unsatisfie IP way home , think , bump flight get another room one night , well choose Excalibur , love . regret chose excalibur entire trip . guess moral story want anything good Vegas Imperial Palace . would recommend hotel friend would recommend enemy . fun good food eat come location . thank goodness close actual nice place . wish like outdate place Vegas IP would torn make room something little upscale . 
 May 16 2009 	 definetly not stay elevator . 	 hotel prime hotspot location . price great definetly affordable BUTfor amount people room place , need get elevator fix . hotel weirdly design since walk maze get elevator get room , find elevator wait addititonal 20 minute get ride . 
 May 16 2009 	 reasonable accommodation great location 	 stay Imperial Palace We d 6 May We d 13 May manage get great deal online work less $ 300 7 night Deluxe Room . check We d morning – check 2 3 hour early problem - around 20 min wait check in . the put room view mountain ( old Capri tower ) – advantage noise level fine close Monorail plus back entry Harrahs . apparently room strip side get loud noise night club early hour morning . the room basic whilst everything clean / comfortable definitely budget room visit Vegas – although compare Bellagio / Signature MGM / Planet Hollywood / Ballys / Excalibur . for someone travel planning spend much time room want good location – think Imperial Palace good option . if travel partner would recommend upgrade nice room even stay somewhere else . the layout Imperial Palace bit confusing first eventually figure out . the casino quite cramp bit worn compare casino strip – good atmosphere especially " dealertainer " dealer play character entertainer get sing couple song throughout evening – Freddy Mercury Elvis Presley character always seem attract crowd . the sportsbook Imperial Palace actually locate third floor – would one bad sportsbook strip even though quite large never seem 3 4 people – unable take bet Boston Celtics game CEO Harrahs group associate team – often mean go somewhere else anyway . the poker room bad also quite hard get game time . the restaurant hotel great – buffet bad Vegas far variety service go – pizza place ok nothing special – Burger Palace seem 24 hour restaurant make reasonably good burger – often end venture next door Harrahs ' Sheas something quick eat . 
 may 14 2009 	 stay ! 	 spend 4 night dump ! stay get maid service , elevator scary room nightmare . gamble approx . $ 1000 receive $ 9.00 comp .......... pathetic . good thing hotel location , would rather stay MGM Bally 's monorail route easy get anywhere two location . Buffet horrible never stay Imperial Palace ! 
 may 14 2009 	 never stay 	 reservation get lose even though call confirm credit card already charge . everyone talk rude never get resolve . place dump . & quot ; deluxe & quot ; room look like would motel 6 . housekeeper come not even really clean . pool also piece crap waitress walk around pool horrible service . never stay recommend anyone . 
 may 14 2009 	 Much Fun 	 let say love stay IP . 's luxrious place town , make feel welcome everytime girlfriend stay . could stay hotel also own Harrah 's Resorts , always free , thing like IP . time around stay Deluxe King Suite compe whole time . room remodel nice comfortable large . also wet bar . recommend 17th floor . really nice view overlook pool great view mountain . love room . oh also large love tub mirror wall way around . bed also mirror ceiling . leave room sure explore hotel see . like Karaoke luck . karaoke every night . IP also several pretty darn good place eat good food hungry . IP also somewhat convienence store open 24 hour . sure go next door Harrah be also great duel piano leave town . could go beleive can not beat Imperial Palace location price . cheap place stay strip . question please not hesitate ask . thank great time choose Imperial Palace . 
 May 13 2009 	 Great Deal Strip Location 	 Stayed IP May 8 - 11th ... Great Deal 3 night 163.00usd Deluxe Room . basic room two queen bed . clean room , large bathroom . hotel room include balcony overlook Hahara 's Pool . all great deal location ! 
 May 13 2009 	 bad . 	 wow ! , read review hotel really impressed find arrive . people write bad review definately one . overall hotel nice place stay money . age , place good condition room spacious comfortable . casino floor always rock slot fair . view strip 14th floor night stunning . room overlook carnival tent listening band play great way wind late night . sure , lot people would like nice quiet place sleep , Las Vegas . unfortunately get eat dining spot , Burger Palace great burger beer always ice cold . bad thing trip minor problem elevator . , would definately recommend Imperial Palace good hotel stay . Dennis Lewis 
 May 13 2009 	 good value location FUN ! 	 Imperial Palace use show age much , stay dozen - plus time tell remodel room quite nice . keep mind , be book Imperial be 's budget property , base criterion , will hard - press find nice budget hotel anywhere . ' ve try Stratosphere , Downtown , flamingo , Excalibur low - rent property , nothing top Imperial Palace . 's something blackjack card deal Alice Cooper , Madonna , Prince Cher put smile face . go expect big - casino operation , will disappoint . nighly Karaoke , fun atmosphere , fair selection restaurant choice , truly fun rock ' n roll casino make feel like Carnival cruise Vegas set . right across street Caesar 's Palace heart Strip , be right want , price 75 % big boy . Count , Baby ! 
 may 12 2009 	 bad hotel strip 	 stay Imperial Palace like anything . first go check long line 2 people work counter . finally turn , surprize find $ 120 security deposit , leave we less spend money week . EAT BURGER PALACE ! ! ! ! ! ! ! ! ! ! McDonalds 5 star restraunt compare . try Emporers Buffet , horrible price . casino , pool , restraunt rather bore compare hotel . room old somewhat drity . foot BLACK walking room . exaderation take nearly 15 minute get front hotel room . hallway long windly maze find anyte hotel . take almost hour find room check . 6 people stay 3 room . 6 key simutaniously stop work . leave we walk mile front desk get work one , walk mile back room . spend extra buck get nice hotel would worth . 
 May 12 2009 	 not let poor review keep save ton money stay 	 return 4 - day , 3 - night stay Imperial Palace . base recent review , worried casino room would like consider book elsewhere . ' m glad save money stick IP . good place ' ve ever stay , , not , also not bad . get pay ! room basic bed comfortable even smoking room , not bad . bathroom fine housekeeping staff great job keeping stock plenty towel . casino floor not well close casino 's ( like O'Sheas Casino Royale cheap drink ) not problem . pool fine . plenty lounge chair . try Miami Vice drink poolside . tasty . stay next time come Vegas , probably never stay place twice . stay Harrah property . 
 May 11 2009 	 great hotel 	 back vegas could say bad thing hotel room large clean every day . would stay hesitation . 
 May 11 2009 	 Bad expecting 	 stay 3 night April 25 April 28 . check , announce would write review TripAdvisor prefer quiet room high floor . get Room 16128 16th floor back hotel . great view - parking lot back building NOISE . feel people stay front hotel , especially one low floor , lot noise strip . room look like 1970 's Holiday Inn room . 2 double bed , good tv local channel cable channel ( ESPN etc ) , table chair . a / c work fine . safe - a big negative update . bathroom standard tub / shower combo clean sink area . basic amenity shampoo soap . ice bucket also , free ice available near elevator , 100 foot away . sometimes drunk people hallway , could occur anywhere . elevator slow everybody state , never wait 2 minute . usually entertainment drunk guest nothing violent offensive . location fantastic convenient everything . breakfast restaurant 2nd floor . well compe base Total Rewards - a definite must anyone stay Harrah 's property . stay Paris last December receive offer ever since decide return , available place comp room Imperial Palace 's stay - so great price ( free ) . also receive coupon 2 free buffet Rio take free shuttle bus fantastic buffet something everybody . free shuttle leave Paris Harrahs next door . also give coupon book check get free Flamingos Harrahs tee shirt 20 minute slot . also discount coupon prime rib / chinese place Bill 's , not realize one eat first night chance return . casino not smoky expect , fun playing slot drink free beer . lose hundred great time . plan another trip fall hope stay another Harrah 's property continue sample . good luck ! 
 May 11 2009 	 Perfect location great value money 	 love hotel , recomende good friend know would ok , see review not high expectation . pleasently surprised turn , room 7th floor back view mountain , quiet night . location hotel spot , right middle thr strip , opposite Ceaser 's Palace - last time stay Excalibur far away buzz Strip . 's old school Hotel , date Casino think add experience Vegas - take old new say enjoy whole experience . Casino Celebrity look - a - like pit good Elvis ' ve ever see , Freddie Murcury excellent well . pool good frozen cocktail delishious.10 10 - recomend hotel everyone know go Vegas . 
 May 11 2009 	 can not beat place 	 stay may 4 - 6 . ask could upgrade check give nice suite 18th floor . staff friendly nice . bed comfortable pressure shower great . can not beat place value great location . thank everyone IP . 
 may 11 2009 	 great location 	 book 4th trip Vegas & amp ; stay IP 3rd time . remember get pay . location fantastic , ask quiet room check 's fine . although luxurious , room basic e.g toiletry , hairdryer , tv - anyway , much time spend room Vegas ? ? ? ? bus stop close , free shuttle Harrahs Rio , also starbuck late night coffee , Dennys breakfast . all good value place stay - money save expensive hotel spend trip , food , gamble etc . 
 may 10 2009 	 Working class crowd great location 	 stay five night start May boxing . the hotel middle strip across ceaser palace , great location . the atmosphere imperial great bar due work class clientele stay here . you drink laugh , problem , great fun . the hotel always busy add atmosphere . we strip view room great although noise carnival court loud last 11 am 3 want peace make sure do not get strip view room . the pool adequate . for budget hotel great location choose Imperial , ball . the hotel Vegas classier , ceaser , mandalay , mgm , etc absolutely atmosphere worth extra money ... 
 May 9 2009 	 pay dollar go somewhere nice 	 pay $ 50usd night get pay . room date feel dirty grimey . casino attract pretty dodgy crowd . go would pay $ 100 usd stay somewhere like venetian gorgeous . locate good spot strip . 
 May 9 2009 	 not believe bad review excellent ! ! 	 return Las Vegas stay imperial palace , do not believe poor review , hotel could not well locate , clean get everything need . right middle strip , well locate MGM Mandalay bay . hotel monorail stop convienient deuce bus well value stop right outside . imperial palace may poshest hotel need value money hotel fantastic location do not look anywhere else . 
 May 8 2009 	 ok .......... 	 check Monday night 05/04 , staff friendly . room 13th floor first seem ok , notice partially use complimentary shampoo leave tub shelf previous occupant . moth die front patio door STILLTHERE Friday morning 05/08 check , course assume room vacuum properly . Friday morning pack notice blood spot bedspread . not see prior , would bring itto someone attention . location fabulous . Burger place great . try buffet . many timeshare people right near elevator . would likedan in - room coffee pot . not hotel amenity ? dealertainer fabulous . it first stay probably last . bad , bargain price - wise , long business , see customer happy . 
 may 7 2009 	 stay time 	 really never issue , need people check in . I stay every time go Vegas never complaint . if want high classed room want pay price .......... would stay one hotel ............. want room clean inexpensive good location hotel ! pay hotel , would able spend money fun thing , shop certainly gamble . say : & quot ; location location location & quot ; sure ! 
 May 6 2009 	 Great Value ! 	 read review hotel book thought would take chance since good bad . wife real complaint . hotel locate great location , affordable , good time . stay 14th floor tell quieter section hotel desk clerk . noise definitely issue room . eat buffet breakfast average . sign post side serve big help decide whether eat . another plus connect mono rail . couple day walk strip , leg sore mono rail come handy ! say location great ! mirage across street , Harrahs right next door place like venetian , Treaure Island , Fashion Show Mall within short walking distance . people stay hotel mixture young old . really could not say age group dominant . also see review people talk weird smell place . neither wife notice . overall hotel great place we stay first trip Vegas . would stay , answer yes ! 
 May 6 2009 	 location excellent 	 great stay hotel , location excellent explore strip . complaint do not get room overlook Harrahs keep awake till 2 pm live music . room large , clean comfy would recommend budget hotel . 
 May 6 2009 	 Great Location 	 sister take vacation Las Vegas every year normally stay downtown . decide try stay strip first time year . great package deal IP . Imperial Palace great location . able walk around still go back room need . hotel room condition old clean . housekeeping staff great . always ask need anything pass . look forward stay IP next year . 
 may 6 2009 	 amazing location 	 read bad review hotel expect worst pleasantly surprised . ok get pay . 's basic hotel clean , shower wonderfully powerful room decent size . provide we somewhere sleep really need Vegas . go Vegas stay hotel room ! would hear room front hotel could noisy certainly could hear band Carnival Court quite clearly soon switch air conditioning drown everything else . not problem sleep . Imperial Palace forgive 's flaw walk onto strip middle everything . location amazing , price , hotel bargain ! 
 May 5 2009 	 great value good location great variety restaurant 	 17 year come imperial palace , never bad time.in experience year , average traveler great time without break bank . new hotel nice , not friendly feeling I.P . 
