fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Jul 27 2005 	 nice hotel staff 	 stay hotel 2 night mid july . first show small pokey room stank bbq ( ruth 's chris steak house next door ) . go back , speak reception say room unacceptable . ' show appreaciate ' man reception , walla new room jr suite beautifully decorate . bellhop great fun , doorman . room nicely decorate , appoint . great location . make sure do not stick ruth chris room .... 
 Jul 21 2005 	 would go back heartbeat ! 	 recently visit New York first time life , return proud choose right hotel . the location unbeatable , want see little everything . one block Radio City Music Hall , two block Rockefeller Center , two block Times Square , three block Theartre District .... MOMA , shopping , etc ... hotel nice , clean , service excellent . the room good size well . next time go , will book Michelangelo without even think . 
 Jul 20 2005 	 return Michelangelo 	 stay Michelangelo total 3 night . hotel upgrade room large room NYC great & quot ; urban & quot ; view - 3 window across 2 wall - NYC . might think would loud , must sound - proof window ... mention double blackout blind - comfortable bed / pillow make great sleep . bathroom lovely - plush towel - large . expect typical day clean pleasantly surprised addition standard daily cleaning , room & quot ; tidy & quot ; towel replace evening connection evening turn - down service . negative - minor one - include & quot ; italian - style breakfast & quot ; - one would re - title & quot ; coffee muffin & quot ; - , basic . say , be plenty place eat around hotel not big deal . generally speak , location can not beat want centrally locate . 
 Jul 17 2005 	 ' ve find hotel NYC ! 	 first trip New York , started splendidly soon reach Michelangelo Hotel . front desk staff friendly welcoming , tell first time city , upgrade Deluxe room Executive . keep get well make way upstairs enter room . huge ! soft classical music play Bose Wave Radio , room immaculate well - appoint , smell lovely . room 3 window , bright cheery day . blackout shade make pitch dark night sleep soundly . room large , include walk - in closet ! marble dressing area feature small cable televison vanity , separate toilet / shower area equip phone oversized tub great water pressure shower . comfortable terry robe include , night turn bed leave chocolate next day 's weather forecast . New York Times wait morning . hotel leave want nothing . quiet , clean , beautifully decorate , tend wonderfully friendly staff . location can not beat ; 51st Street & amp ; 7th Avenue , be block Times Square , Rockefeller Center Theatre District . definitely stay . 
 Jul 14 2005 	 dark room view wall 	 get room discounter , keep mind . arrive early , 10 am , tell room ready . leave , breakfast , walk around bit , ( come red - eye , exhausted ) return . room still ready . decide sit lobby , near check desk , ready . hour later give we room . stunk horribly cigar smoke . ask different room . next one like first , smell disinfectant . window room look onto brick wall . room dark day . lobby beautiful though . 
 Jul 5 2005 	 wonderful hotel Times Square 	 wonderful spacious , well - appoint room . great service housekeeping - everything spotless - real find NYC hotel . nice bar lobby . include continental breakfast European , i.e . sparse ; abandon first day head Starbucks next corner . not try full service la carte breakfast concourse level . the rate get ( Expedia ) provide excellent value price . excellent location want West Side Manhattan - edge Times Square within walk distance Time Warner Center Lincoln Center . 
 Jun 19 2005 	 il fascino di vecchio mondo New York 	 Loved hotel ! enjoy small , old world , hotels hotel . staff welcome attentive . work room well . morning coffee lobby delightful plus ( although fare typical muffin , italian pasty , still lovely ) . would recommend hotel fan " W " , would like go back timeless age . 
 Jun 18 2005 	 wonderful Boutique Hotel 	 Considering pay $ 250.00 per night average , thought room bit smallish ( maybe New York standard height tourist season ) . nevertheless , equisitely appoint quite comfortable . staff friendly professional . location terrific . upscale , low key , boutique type hotel thing , hotel stay NYC . 
 Jun 16 2005 	 keep look 	 visit New York solely go show / be near Times Square , honestly find pleasant accommodation chain hotel area - Marriott . amenity Michelangelo definitely disappointing boutique hotel - lobby nicely decorate , staff indifferent , room musty locate near noisy service area , iron available room , television reception poor limited , room service also limit , , due remodeling , dining room available . however , disappointing condescend attitude front desk personnel . upon turn bed early order take nap , unfortunately find mouse dropping sheet . report ask linen change , front desk clerk well disbelieve . although sheet eventually change , make feel do something wrong . receive apology ( although later receive voice message say sheet change ) . visit NYC @ 3 time per year , well travel frequently . honestly say unpleasant experience hotel - nontheless , one need hassle , especially pay premium price . 
 Jun 5 2005 	 Excellent ! 	 family stay two junior suite Michelangelo everyone love . location excellent , room spacious clean service good . we encounter rude behavior staff . front desk efficient courteous , room service prompt professional housekeeping fast unobtrusive . location definitely one good feature hotel . short walk shop Fifth Avenue , theater Central Park . plus , other say , Michelangelo tuck around corner busy avenue . step lobby , 's peaceful contrast outside bustle . the common area well keep hotel also sufficient elevator ( ' ve stay place feel like ' ve spend half time wait one ) . bathroom stock luxury product bath towel oversized . bed extremely comfortable , linen smell fresh . mini bar well stock promptly refill . overall , find Michelangelo excellent hotel look forward stay . 
 Jun 4 2005 	 need work upgrade 	 recently stay hte Michelangelo disappoint base upon glow review read prior stay . room bedspread furniture horrible odor , well room temperature could change room . speak front desk tell nothing well available time . bedspread , solution pile corner give another sheet . stay Holiday Inns nicer . also minibar refrigerator make rattle noise night view window except rundown alley wall . nicer courteous place stay NYC . 
 Jun 2 2005 	 Michelangelo Hotel : A+ 	 think one complaint hotel . location perfect first time visitor . room roomie clean . pick hotel base review website definitely disappointed . 
 Jun 1 2005 	 Fell Love Michelangelo Hotel 	 wife celebrate honeymoon New York week May 23rd speak highly enough experience Michelangelo Hotel . lot research choose hotel decide Michelangelo good overall choice trip . know several review indicate hotel 's staff unfriendly even sometimes rude experience . greet friendly doorman ( Cesar ) check - in attendant polite accomodate . receive free upgrade room , nice treat . we stay fifth floor corner room , away hustle bustle ... overlook 51st street . room clean , quiet , large ( especially NYC room ) . plenty room clothe bathroom roomy . two item really judge hotel room shower bed . Michelangelo disappoint- bed extremely comfortable sheet quite soft . chilly weather week New York ( night drop 40 degree F ) bed warm . shower pretty nice . water pressure great shower head leave want ( two setting ... stream massage ) . hot water stay hot wife 's shower . slight issue first night fuse blow bathroom . make quick call downstairs front desk fuse reset less 5 minute ( be service ! ) . turndown service alright , ' m picky thing like ... take advantage two night . breakfast morning lack ... continental breakfast coffee , tea , juice , assortment pastry ( muffin , danish , etc . ) . dozen great breakfast place within walk distance mood something different . the Michelangelo Hotel 's big highlight location , know important location city like New York . literally block landmark Times Square , Broadway theatre district , Central Park , 5th Ave . shopping , Rockefeller Plaza , many excellent restaurant . 's nothing well hit street walk around NYC visit many city 's popular site . many jazz club , restaurant , club , museum quick taxi / subway ride away . yeah , Michelangelo 's stadout feature location . overall , would rate hotel 5/5 comfortable setting , accomodate staff , proximity great attraction big room NYC . plan stay New York definitely consider Michelangelo Hotel . use Expedia book travel plan get great deal 6 night stay . 
 May 29 2005 	 5th stay ! always great ! 	 husband celebrate 15th anniversary last week . 5th time Michaelangelo great , usual . first 2 night , traffic noise bother we , move another room . staff helpful maids excellent job keeping room immaculate . and love Bulgari bath ammenitie ! ! 
 May 24 2005 	 absolutely fantastic ! ! ! ! ! ! 	 husband stay May 6th -10th . think hotel exceptional every way ! ! room wonderfully furnish decorate , even little thing like maid leave card bed follow day weather plan day ! location perfect , meter walk broadway . everything want see doorstep . day leave , husband happen mention one bellboy need taxi get we JFK evening . leave final day sightseeing , gentleman say would arrange someone pick we . Lo behold , 6 pm evening stretch limo wait we ! ! even well cost 10 $ regular yellow cab . well 's call service ! fantastic place . can not wait go back ! 
 May 8 2005 	 great hotel 	 hotel great come celebrate first wedding anniversary . big comfortable room bed 's need afer walking ' ve do . hotel staff great anything . impressed New York hotel make dissapointment city . 
 May 6 2005 	 wonderful option superb location 	 stay Michelangelo May , 2005 , mid - week theatre trip good friend . room rate little high agree maximum ( $ 325 ) , happy pay premium . first , location outstanding . heart theatre district block away , new MOMA three block north . excellent subway access within two block , short walk away Fifth Madison Avenue shopping . we , could well choice . room spacious well - appoint , lobby lovely welcoming . room rate include coffee pastry lobby morning , nice treat . plenty elevator , come go quickly . amenity could use little touching carpet upstairs hall -- otherwise , everything completely update . thing really make hotel stand mind excellent service . friend arrive early -- around 11:00 a.m. -- front desk gracious accommodate early arrival ( late departure later week ) . concierge , James , particularly helpful suggest restaurant , attraction , easy method travel , etc . lobby staff friendly accommodate well -- happy let we sit chat morning bagel bring across street -- problem . familiar enough NYC hotel know one lot well low $ 300 price range , would surprised many well option Michelangelo . 
 May 6 2005 	 good 	 start Flatotel Manhatten ... one word ... yuck ... change next day Michelangelo ... one word ... beautiful . stay without question every time visit . 
 May 3 2005 	 Loved ! ! 	 husband spend weekend Michelangelo hotel birthday love . book deluxe room arrive give studio . beautiful . king size bed , sofa , loveseat , cocktail table , desk , vanity area stool mirror - bathroom huge- even tv counter sink . valet car little expensive self parking well worth drive around . even hallway hotel beautiful mention lobby . drink evening go . location fabulous . close enough walk anywhere yet set apart little peace quiet day shopping , eat , show , etc . definitely go back . 
 Apr 29 2005 	 dissapointing 	 know stay 2000 , hotel bother time . 15 time 10 . book vacation family usually stay really nice place ( four season Hawaii , Kahala Mandarin Oriental , Westin Los Cabos , etc .. ) . book studio room two king . think room would great , since family four , idea two king great . also , much research hotel impress excellent review . dissapointe walk door . ask upgrade suite staff look we like insane . walk room , look great . however upon inspection , upholstery furniture wear . bed look odd well discover bed post match . one bed bed post least 4 inch high . automatically felt put bad room . bathroom bidet jacuzzi chipping paint . feel let family cry bathroom . next morning bad . mother love coffee morning , go dad complimentary breakfast get bring back room . get coffee , start head back room , get assault one member staff say would order coffee room service want . say appologetic manner rude tone . idea allow bring coffee upstairs absolutely insane . plus , complimentary breakfast rather disgusting go local bakery nearby ( another guest advise we go ) . W Times Square open dad go look love . room much nicer cheap . staff nice well , something seem foreign we ( since stay Michelangelo ) . hotel probably level three star hotel . nothing special place would never advise anyone stay ! ! ! ! ! ! 
 Apr 25 2005 	 Pleasant Hotel great location 	 husband spend weekend Michelangelo mid April , 2005 . book standard room Travelocity front desk upgrade we Jr. Suite like good sized bedroom ( wonder standard room like ) . unfortunately room near elevator ( could hear & quot ; ding & quot ; everytime arrive ) . also loud birthday party room next we whole floor smell like smoke . call management , someone promptly ask tone keep go back 4 am ( party finally end ) . ask different room tell hotel sell . tell management 4 am party checked not offer anything compensation ( not really expect anyway ) . free breakfast different type muffin , coffee , juice , basic . good part hotel location . easy walk Times Square Central Park . , husband not think worth $ 225 / night - San Francisco $ 225 would get nice room , be hard judge . bad experience . 
 Apr 18 2005 	 Quiet Comfortable Elegance 	 4 night stay April 13 - 17 , everything go smoothly . problem Expedia booking check - in literally take 3 minute . first impression hotel one understated elegance - nothing shout , be impressive marble , chandelier tapestry . room ( 520 ) quietly understate , quite large nice corner - quality furniture , bedding , marble bathroom good part huge tub , nice extendable makeup mirror toiletry could possibly want , little tv . nothing need improvement ! hotel perfectly locate Midtown half dozen theater within 3 - 4 block . always happy go back hotel every night escape 's quiet serene atmosphere . curiosity poke head hotel New York ( Waldorf , Pierre , Peninsula , Sofitel , Algonquin ) not feel like shortchange stay Michelangelo least . staff friendly hotel beautiful place stay ! will definitely stay ! 
 Apr 5 2005 	 Best Value ' ve find 	 Best Value find NYC . location good , service great room modern . , clean big . 
 Apr 4 2005 	 Excellence Theater District 	 grateful Tripadvisor reviewer help wife consider hotel . stay six night impressed size , cleanliness , quality , location Michelangelo New York . location excellent ! north crowd Times Square , close enough five ten minute walk theater . use subway , three different station within one two block . want quality hotel wonderfully quiet well manage center city , place . stay Michelangelo make we look forward next trip New York City . 
 Mar 24 2005 	 Fantastic especially price 	 stay two night , great . to call lobby ' nice ' bad joke , ceiling floor marble jaw drop quality . lobby actually grace cover Best World hotel magazine ! bathroom fantastic , location simply perfect ; middle craziness , close enough go 1 block want . staff great , , 's kicker , price amazing . want really fantastic stuff , course Ritz would thing , will also pay extra $ 250 per night . pay measley $ 225 per night , real steal get . I would stay , though , word wise , try avoid 3rd floor , window overlook square center ( complete enormous venting fan ) .... 
 Mar 18 2005 	 italian charm NYC 	 stay Michelangelo first trip NYC , afterchecke Le Meridien . the lobby simply stunning , peach marble exquisitefurnishing . almost feel not get money'sworth simply walk , plan spendsome time soak atmosphere , purtroppo , run time . the room furnish quite well , enjoy extralarge tub , small tv bathroom , one could watchny1 soak time ! turn turn service , could not see point , open bed - maid give methe chocolate next - day - weather - card , quite nice . service friendly , will help thing find great sushi restaurant late night advisingwhen hail cab JFK . two case , try hail cab rush hour , grateful theirdedication . if european , want Continential ambience themiddle New York City , recommend hotel ! 
 Mar 14 2005 	 overrate 	 stay Michelangelo past weekend base part great review post site . although stay not bad , nothing exceptional hotel . location good , lobby nice , room good size sort plain , bathroom nice , service pretty inattentive . compare Ritz ridiculous . overall , nothing wrong hotel would say room size fairly large New York City , certainly not think deserve sort rave ( especially service ) . particularly memorable . 
 Mar 13 2005 	 Best NYC 	 stay Michelangelo recently , extremely pleased . try many different hotel New York year , Michelangelo far good . luxury hotels New York , feel little pricey , want give try . glad . everything location room service perfection ! love european flair beautiful room . everything lobby elevator hallway room immaculate pristine condition . picky accommodation , nothing annoy we pay top dollar get top notch accommodation service pay kind money bring . many hotel stays year , always seem find least one two thing feel snuff stay . could find one thing wrong Michelangelo , say lot come two picky people like we ! like big & quot ; American & quot ; hotel like Marriott Hilton , . like luxury & quot ; boutique & quot ; hotel european feel give Michelangelo try - disappoint . 
 Mar 9 2005 	 gem . 	 1996 1999 , stay , average , two week per month Michelangelo . past week opportunity stay . nothing change : staff service superb - remember . though several year since last visit , staff remember . Michelangelo every hotel aspire . 
 Mar 7 2005 	 amazing 	 partener visit Michelangelo Hotel , October 2004.we stay juinor Suite , ( 2 style junior suite french style nice stay italian style room amazing ) location could not well , staff friendly , first day hotel manager ask want go drink friend ( nice man ) , service excellent . every thing amazing . the picture bar area room , living area . if question please feel free email . 
 Mar 6 2005 	 need keep look ... hotel ! ! 	 be look hotel NYC completely confuse stay , stop look b / c hotel exceed expectation ! ! ' ve stay several hotel NYC , say , hand , Michelangelo good hotel stay ' ve Big Apple . lobby incredible ... beautiful decor , warm inviting . room spotless , elegant yet cozy . smell fresh clean , raunchy mildewy odor . loved oversized tub marble bathroom amenity . comfortable bed clean carpet . staff helpful . call extra bath linen , someone within 5 - 10 minute . bellman friendly kind . I shock discover pay price stay hotel city could even begin compare luxury experience Michelangelo . 's conveniently locate , middle Theater District ... easy access several subway , restaurant , mention flare Times Square . I love NYC . visit often never stay anywhere else Michelangelo ! ! 
 Mar 3 2005 	 wonderful gem 	 stay Michelangelo 20th wedding anniversary October 2004 . immediately upgrade spacious spotless room every comfort . noise traffic first night bit disruptive get use . really central hotel great service complimentary breakfast big bonus . save time walk around look somewhere eat morning able get early tourist bit . hotel would definitely recommend . 
 Feb 26 2005 	 Awesome stay beautiful city ! ! ! ! ! ! ! 	 get back 4 night NYC , first trip , needless say spend many hour tripadvisor shopping place stay . Michelangelo well worth time effort find . review money . hotel right middle everything Big Apple . close subway stop include 42nd st exchange , get virtually train . multiple Deli 's , Bakery 's , Resturants close . couple block hell 's Kitchen 9th ave resturant plentiful . the Room super , large compare room look , staff friendly also . awesome place stay would highly recommend Michelangelo . pay 195 night , great bargin class hotel . definately stay . 
 Feb 22 2005 	 Ideal Choice 	 rush jump plane surprise wife 's birthday , realize forget toiletry . Michelangelo beautiful boutique hotel middle Times Square Theatre District , complimentary service whereby forget toothbrush , shaving cream , comb , brush , mouthwash , etc . , will housekeeping bring basket stuff house . spacious room really nice bathroom oversized tub . helpful ( though overburden ) concierge . cheap expensive stay NYC standard class hotel , could central everything . bargain get . 
 Feb 14 2005 	 ' ve never stay 	 ' ve never stay hotel . book room business trip , phone reservation treat rudely , constant interruption try ask question , never get feeling & quot ; heard & quot ; simple request ( no - smoking , parking , hold baggage ) .I could not get complete sentence , keep interrupting & quot ; answer & quot ; , ( never hear question ) not answer question ! ! ! book fave hotel instead , even though pricy way . 
 Feb 8 2005 	 Beautiful Rude employee 	 hotel beautiful quaint -- exactly boyfriend want romantic weekend . room perfect size two bed comfortable . hotel good location could ask . plus ammentie , include roomy shower / bathtub , great ! however , woman name Lindsay check we hotel one unhappy , unwelcoming , uncare hotel receptionist ever encounter . could not even muster smile even fake nice welcome . upon approach front desk impression hotel take dramatic fall . not even think word & quot ; welcome & quot ; & quot ; hello & quot ; utter emotionless & quot ; credit card photo i d ? & quot ; rush we process completely unfriendly . also encounter rude bartender . , stay great spent time city room . would consider return location , hotel MAJOR need attitude change . 
 Jan 28 2005 	 Good money 	 good hotel money often find hotel important caveat . pay 195 per night 240 Saturday night . would pay expensive time year hotel would shop around . get good rate compare 4 star hotel would stay would not pay premium stay . room nice clean . tv rather small difficult see chair / sofa provide . however nice sitting area NYC hotel . bath quite nice . I hear people say hotel staff . generally friendly rather abrupt helpful . service however term thing time twice daily maid service overall outstanding prompt . I pass free breakfast sound appeal . instead order room service . breakfast good although order cereal berry coffee morning hard mess come promptly day coffee quite good important . however order caesar salad calamari one afternoon god awful . I request room back hotel away street noise forwarne wind tunnel back hear . however light sleeper well street side would imagine . overall nice hotel earn 4 star . could outstanding entire staff helpful friendly not curt matter fact employee improve quality room service food . really want enter wonderful hotel category would think would use good thck glass window hear wind indicate exist glass great . the location terrific . be close everything middle madness Times Square Hotels . 
 Jan 27 2005 	 Fantastic Hotel 	 stay Michelangelo New Year 's holiday . travel NYC frequently , pass hotel always want stay . disappointed . the lobby beautiful comfortable bar . staff every part hotel friendly , accomodate helpful . room NYC standard large beautifully appoint . would recommend hotel anyone travel NYC . wonderful experience . 
 Jan 26 2005 	 love michelangelo 	 Husband stay weekend blizzard . the room great . problem first night room face street noisy . follow day move inside room highly recomend . ny times deliver door nice touch . Tvs could big . bathroom great . door man super can not enough you.conceirge service helpful little italian bar tender eve . love . will say . great great value . also check Broadwaybox.com Save broadway ticket charge . I get ticket STOMP $ 35 instead $ 65 . way AWSOME show . 
 Jan 22 2005 	 Impressed 	 Michelangelo amazing . lobby beautifully appoint rich , lush color marble everywhere . lounge area offer continental breakfast morning serve bar evening . minor detail , though . the good part Michelangelo room ! ! 's huge . 's also immaculate , well - furnish ( armchair , couch , coffee table NY hotel room ? unheard ! ) , turn - down chocolate special touch . little detail black - out curtain fancy cd - player alarm clock icing cake . bathroom ( also marble ) separate tub / toilet area sink / dressing area . ( curiously enough , tv sink / dressing area , . ) would highly recommend stay . ' ve & quot ; nice & quot ; hotel ( Waldorf , Hudson , etc . ) , Michelangelo favorite . Michelangelo worth every penny , well deserve 4 star rating . disappointed . 
 Jan 15 2005 	 would not stay anywhere else ! ! 	 fiance stay Michelangelo December 19 - 23 , 2004 . first trip NYC . make reservation two hotel decide one - base upon review site - perfect choice . room huge lot extra . not find check give upgrade - charge ! ! . hotel clean ( ' m health inspector ! ) friendly , helpful staff . limited breakfast not bother we , early day explore city . find great restaurant right around corner Broadway call Maxie 's . three huge pancake fruit $ 12 . really enough two share - could never finish one pancake . also delicious hot chocolate - go back twice to - go cup keep we warm enjoy city night . hotel convenient everything . 5 minute walk NBC want see Katie Matt morning , theatre , broadway , subway - right around corner everything ! ! great choice ! 
 Jan 11 2005 	 2005 begin ! 	 husband spend three night Michelangelo include New Year 's Eve . awesome . room spacious , clean , well - decorate . staff- housekeeping bartenders- efficient friendly . base one review , nervous might get cold shoulder be young couple dress casually never get cold shoulder . location perfect Midtown attraction walk distance . stay hotel really ice cake wonderful holiday weekend . 
 Jan 3 2005 	 Best ever stay NYC 	 ' ve NYC many time Michelangelo Hotel good bar none ' ve ever stay . hotel perfectly locate - 51st Rockefeller Center Times Square - perfect condition , room luxurious , clean - like new personnel front desk doormen chamber maid beyond friendly . pleasure interact witht ( New York ask ? ) . hotel private , quiet , overrun tourst kid . I simply look forward next time go New York - part experience hotel . 
 Jan 3 2005 	 hotel wonderful ! 	 husband return 3 night stay hotel . one review mention something treat rudely base upon dressed , say not experience . dress casually lot question parking car , checking , etc ... Carlos , wonderful doorman , could not nicer . actually much pleasant helpful people front desk , see lot comfortable ask question . room 5th floor face 51st corner 7th Ave . , could little noisy ' m sure . notice noise walk city day , still sleep well . not try breakfast room service can not comment . however , eat Europa Cafe across street , good . room clean spacious , turn - down service nice treat . also like personal doorbell , be probably like little thing . : ) other mention , location great , definitely agree . step away Radio City , Rockefeller Center , Times Square , subway , etc ... definitely return Michelangelo ... hopefully get great rate time ( $ 195 / night ) ! 
 Dec 6 2004 	 great location 	 Loved hotel fantastic room ( huge New York ) . Wish have know complimentary car financial district though , do not see mention anywhere . oh do not need guy reception make joke room ready 3.30pm have travel 12 hour . finally ready worth wait for . I would definately recommend hotel location , walk distance central park , grand central station , time square etc . 
 Dec 1 2004 	 Fantastic Hotel heart fabulous city 	 husband stay Michelangelo November 20th November 24th 2004 . excellent base explore amazing city . around corner Times Square Radio City Music Hall . couple block Rockefeller Center . room large huge bed ! bath enormous . come turn bed night leave lovely chocolate . room well equip everything would need even 2 tv . staff friendly helpful even provide complimentary car + chauffeur take financial district morning want , great visit Ground Zero Wall Street . offer complimentary pastry muffin breakfast . hope return soon . say , excellent ! 
 Nov 28 2004 	 Great Hotel 	 Unfortunately husband & amp ; stay 1 night N.Y. however , stay Michaelangelo Hotel make short visit great one ! read good review , decide book hotel . disappointed . location ideal , room clean comfy . certainly plan return future trip N.Y . 
 Nov 17 2004 	 pleasantly surprised ! 	 friend stay Michelangelo weekend pleased level service accomodation . bit nervous , normally stay Ritz Four Seasons , book New York time . room spacious clean , overly luxurious , nice . everyone extremely helpful , ecspecially James concierge . absolutely top everything we keep busy . even call lunch recommendation make hour wait not time ...... within minute call owner seat five minute later . dinner call make sure pleased send we champagne . also right across street & quot ; Mama Mia & quot ; hilarious ! morning coffee / capuccino pastry nice little touch like type thing . I would recommend hotel want stay Time 's Square area . 
 Nov 17 2004 	 GREAT HOTEL 	 stay one nite Nov. 13 , 2004 anniversary . request early check , call confirm reservation say problem . arrive 1 pm tell room would ready 3 pm . say tell phone early check would problem . room become available within minute . room nice & amp ; clean . surprised size & amp ; bathroom also . dinner resturant hotelI believe call limoncellos . food average & amp ; price reasonable . I apple martini $ 10.00 . location hotel perfect ! walk wax museum afternoon ( 9 block ) & amp ; 45th st & quot ; ave Q & quot ; show 8 pm . ( good show ! ) choose complimentary breakfast review site . ask bellman recommend good place eat . send we one block Stardust diner . 1950 's theme diner waiter & amp ; waitress get & amp ; sing oldie song ( fun ) hotel meet expectation & amp ; definitely back . New York City well ! ! ! 
 Nov 12 2004 	 Perfect Location ! ! ! 	 stay Michelangelo last weekend & quot ; couple weekend & quot ; New York . hotel conveniently locate Rockefeller Center , theatre district Times Square . able walk everywhere . 's beautiful hotel average room . room recess lighting , book shelf , Bose radio , marble bathroom , towel replace throughout day comfortable bed . negative room noise street - side hotel . recommend request room away street . breakfast okay , nothing great , sufficient . husband want Coke ice pay additional $ 5 . would definitely stay . location , cleanliness well - appoint room worth return visit . would also recommend book well advance order get low rate . pay $ 240 per night , speak other pay great deal type room . 
 Nov 7 2004 	 not ! ! ! ! ! 	 stay hotel 29th 5th November not recomende ! room nice clean ... good job ! good location , ............. people work front desk polite , never say hello good night , hotel complimentary breakfest pay beverage get small muffin . in rush hour get taxi location take we 40 min . nobody help luggage even doorman watch get taxi . if need help , ask pay .... nothing free hotel . you pay internet 10 $ every night every night problem call lobby send somebody , guy come fix problem call servise line charge , end trip even fault . I never stay .... check hotel Avalon 16 e 32nd str.-very nice , polite , complimentary breakfest - huge , compare Michelangelo , big room , biger bathroom , guy door always help anything internet free . you already pay 200 $ least hotel find good one , right ? good LUCK & gt ; 
 Oct 29 2004 	 Amazing Hotel 	 Michaelangelo incredibly beautiful hotel , large room impeccable service . room luxurious feel amenity fabulous . satisfied every aspect experience look forward stay future . want money fantastic location , definitely hotel . 
 Oct 19 2004 	 Exceptional Value 	 Deserving 's 4 Star rating . room service superb ! location great . definitely stay ! 
 Oct 13 2004 	 Best Value 	 girl weekend enhance stay Michelangelo . one block Rockefeller Center , one block Mama Mia ( 5stars ) , 3 block restaurant Row , one block Radio City .. get idea ? deli corner 7th avenue 50th st . ( & amp ; K ? ) good food , quick service , excellent price bkft / lunch . dissatisfaction Michelangelo comp breakfast . coffee , tea , dry pastry offering , juice yogurt , must eat lobby , coffee room . free ! ! ! sup deli morning . staff 5star well . luscious italian chocolate pillow . say ? ? 
 Oct 5 2004 	 Loved hotel ! 	 return 2 day stay Michelangelo perfect . staff gracious warm . tell 49th birthday first trip New York . ask want upgrade standard room suite $ 30.00 husband say yes . room beautiful , great bed , 2 bathroom one bidet , 4 television , kitchette , living room . provide toiletry bathrobe large bathroom . location excellent , walk distance almost great tourist site . breakfast ok , coffee tea many great place nearby breakfast . complaint price 2 drink bar one night ... $ 20.00 , expensive not recommend one bed ! check look bill never charge extra $ 30.00 upgrade , mistake decide nice birthday not know get great room great price $ 199.99 . try hotel will not disappoint ! 
 Sep 26 2004 	 nice 	 wife stay begin September . nice get pay . well deal around ( see review Sheraton Manhattan ) . room beyond beautiful spacious . expect little breakfast though . 
 Sep 10 2004 	 could not well ! 	 take wife NYC first trip .... little 4 day vacation . book everything Expedia , base hotel review tripadvisor . . nervous everything look great picture , get not look like place . needless say perfect . Michelangelo Hotel everything want . great location everything NYC offer . staff excellent , room large well furnish . would recommend hotel anyone want stay beautiful hotel right center NYC . 
 Aug 24 2004 	 Flawless ! 	 husband & amp ; decide last minute go NYC 27th anniversary . make reservation Fri 8/20 1 night stay Sat 8/21 Michelangelo Hotel , see guidebook & amp ; online . 152 W. 51st St . give great rate , arrival upgrade we suite occasion . arrive , dinner time & amp ; ask concierge recommendation restaurant . reserve table Remy we send we glass champgane . ( basically around corner hotel . ) meal delicious , staff attentive- obtrusive . concierge also make reservation we Gotham Comedy Club . 2 people away comedian ! ! ! wonderful time . reassure know everything take care ! hotel clean , nicely appoint & amp ; convenient . plan make NY homebase . 
 Aug 3 2004 	 AWESOME 	 Booked hotel base review site , hotel exceed expectation . perfectly locate , short walk anywhere want . time square close far enough away bustle central park well within walking distance . arrive 11 room ready call lunch 12:30 room ready early . room nice spacious . like book room base review go wrong staying promise . also , Ruth Chris steakhouse right next door awesome steak . many resturant well within walking distance . will not sorry stay . 
 Jul 7 2004 	 wonderful time NYC .... love Michelangelo ! ! ! 	 daughter stay Michelangelo senior trip . choose Michelangelo base trip advisor 's review dissapointe . ask room two bed bump ( small fee ) jr suite , two king size bed . room large , bathroom great well plenty closet space . friend ( trip stay Howard Johnsons ) amazed difference quality hotel ... course difference price , well worth ! like large hotel feel one crowd . stay Waldorf Astoria much prefer Michelangelo . price , room much large nice . doorman greet time enter leave ( remember ! ) . room service great , order pot coffee within 10 minute . twice daily maid serve nice well ( oh boy , chocolate ! ) . feel well take care intrude upon . location beat ! within easy walk distance 5th ave , theatre restaurant . drawback would coffee pot room . yes , go free coffee pastry , would rather stay pajama whole pot room . stay Michelangelo next visit ! love ! ! 
 Jul 3 2004 	 Fams NY 	 August , 2001 , take daughter wife NY first time , 20th , spend weekend stay week work . two room , girl could enjoy . spend several day hotel business , sure family would enjoy it . the weekend great ( play , restaurant , etc ) come Sunday . order car service , air conditiontioning , concierge . instead , hotel order stretch limo , charge low amount . huge treat girl trip LaGuardia , make leave tolerable . DB 
