perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 Aug 12 2005 	 spacious room accomodate staff 	 husband stay Fitzpatrick hotel follow wedding night - also number town guest stay well . everyone impress generous room size helpful staff . wholeheartedly recommend hotel ! 
 Aug 9 2005 	 delight ! ! ! 	 recent vacation Chicago , stay Fitzpatrick Hotel . bring family Chicago past 4 year , look something different boy . besides wonderful location hotel nice room offer ! wife take back decor room spacious . walk favorite store restaurant need drive . concern would cost valet park car . front desk agent advise we ; hotel control rate . wonderful trip Chicago thank Trip Advisor , able undiscover new hotel we use ! ! 
 Jul 18 2005 	 quiet comfortable spacious ! 	 hotel room city travel cramp . hear read good thing fitzpatrick , jump good online deal . I end stay queen suite two night nice . clean , quiet lot room . actually , room certainly need , refreshing change ! bed comfortable . I guess thing note ( would not call negative ) lack AC elevator ( 93 degree past weekend ) bathroom little small . however , know go ( read review , ) not affect overall stay least bit . the staff pleasant , overall , stay great ! would definnitely stay . 
 Jul 18 2005 	 great Spot Chicago Vacation . 	 enjoy review Tripadvisor plan vacation new destination . use site planning trip Chicago 4th July . must say , one main reason book hotel number six list . visit hotel ... I m sure get good rating .... would classify hotel solid 3 1/2 star . lobby small unimpressive . reserve room King bed .... upon arrival , force one queen bed . big deal . the room A / c limit low could turn . like cold , remove restrictive device . problem ... room large . bed comfy . bathroom small ... , confortable . the location outstanding ! ! ! ! great spot , one block North Michigan Ave . walk many attraction , catch quick cab jump subway block away . great spot shop hit bar Rush Street . would stay . think travel family extra room would perfect . never intracte staff comment .... 
 Jul 13 2005 	 great American Girl Package 	 take daughter girl 's weekend Fitzpatrick . loved & quot ; princess suite & quot ; complete doll bed , doll bathrobe , doll slipper , doll hairwrap . staff excellent take good care we . would stay next trip Chicago ... without doll ! 
 Jul 12 2005 	 nice stay update Needed ... 	 review target complement family 's stay Fitz four day . staff exemplary super - friendly , terrific young child . bedroom suite lack door , beautiful bed overlook sofa bed two child sleep . bit odd , though room spacious . yes , furniture bit sparse beat , , yes , bathroom cramp need renovation . , hotel nice , not update soon , really begin show wear tear ( other apparently already feel time arrive ) . location unbeatable hotel offer pool ( could clean ) guest ; child love opportunity swim . , , amazed relatively quiet room night , though ambulance hear . elevator small , like hall , air - condition , though room super climate - comfortable ! would recommend hotel other , also would look try Chicago hotel next visit , three time year . unfortunately , opportunity visit irish bar downstairs , though wife say beautiful . 
 Jul 8 2005 	 Fitzpatrick could much well 	 little disappointed outward appearance hotel . picture website make appear grand . lobby unremarkable furniture see much much well day . two people small front desk seeeme rather stress phone ring non - stop . room huge , undoutedly must one large room Downtown . like layout . open door wait / foyer area , step living area . right bedroom bathroom another area whatever . living room spartanly furnish -- however small television house display unit . the carpet wear -- apparently much cleaning , much bad thing . spread two cigarette burn , yuck . for huge room , bathroom rather small modern . all , update eclectic infusion , room could become one good Chicago . 
 Jul 6 2005 	 Chicagos well keep secret ! 	 stay Fitzpatrick hotel June year . get warm irish welcome arrive last throughout entire stay . staff friendly helpful . good mix irish american staff great . hotel room large one would expect downtown hotel heart city pleasant surprise . fitzer bar basement excellent - food great craic mighty ! ! hotel within minute walk major shopping street , restaurant , tourist destination etc . would highly recommend Fitzpatrick hotel leisure business customer ! 
 Jun 29 2005 	 low Key Boutique Style 	 stay Fitzpatrick two night one bedroom suite . daughter sleep sleeper sofa . despite disappointment , enjoy low key atmopshere location . great avoid crowd traffic find near large hotel . hotel easy reach car ( valet parking ! ) , everything within walking distance . good restaurant neighborhood ( see ) , include St. Clair street classic diner breakfast bakery cafe lot outdoor seating . room quiet , spacious comfortable bed excellent , bathroom extremely cramp average appearance . vanity area set , although plenty room suite one . decor tired looking , scuff mark wall , stain carpet miss floor trim piece . sufficiently clean . hotel use British Airways flight attendant pilot . staff friendly ( mostly irish ) well - train , always expect wait front desk . elevator small hallway narrow , give & quot ; boutique & quot ; feel . someone leave glass pop several cigarette butts swimming table hallway ( gross ) , never remove housekeeping stay . pub basement great , classy warm inviting atmosphere . outdoor table available well , although hot enjoy . leave clothe behind dresser mistake difficulty get hotel staff retrieve . eventually , pay return postage . leave hotel 6 , bell staff start shift . almost could not get car valet , bring baggage cart upstairs get luggage , front desk person deliver room bill . overall minor inconvenience , would consider stay . 's fantastic & quot ; authentic & quot ; syle italian restaurant street St. Clair Grand call Volare . stay Fitzpatrick , check lunch dinner ! 
 Jun 28 2005 	 Glad stay Fitzpatrick 	 recently stay Fitzpatrick Hotel Chicago stay great ! ! husband business get shop day long could ask well location . hotel wonderful fell love canopy bed window treatment . sure put request husband come back visit next time Chicago call . would highly recommend hotel assure leave great feeling ! ! ! 
 Jun 13 2005 	 Beware 	 make reservation Chicago Fitzpatrick use 800 number two night June . receive write confirmation cancelation policy , etc . however , attempt cancel reservation morning first night 's reservation , tell would charge one night stay . & quot ; 3 pm DAY first night stay & quot ; policy . even though hotel sell night would budge policy . common policy Michigan Ave . would advise make reservation someplace offer flexiblity emergency send write confirmation policy . expensive mistake part book hotel ! 
 Jun 3 2005 	 warm Irish Welcome ! 	 hotel take concept warm irish welcome new level ! hotel locate step Michigan avenue provide five star , yet personal service customer . recommend two previous visitor impress arrival . find staff helpful good knowledge Chicago restuarant , tourist attraction , store , outlet etc . room spacious immaculate . fitzer bar typically irish full irish menu ! would highly recommend Fitzpatrick hotel type visitor Chicago look forward visit soon ! ! ! ! 
 Jun 3 2005 	 proud ! 	 stunned read recent review Fitzpatrick . husband stay last couple year regular basis return 2 night stay Memorial Weekend . room large , spacious bed amazingly comfortable . meet many irish staff hotel always friendly courteous ( ancestor come Ireland always enjoy stay Fitzpatrick ) . obviously want hotel 's totally irish will go Ireland . lovely celtic print room , beautiful irish pub lobby little irish story book nightstand etc . subtle little touch give hotel nice irish flavor . also meet irish people Fitzers pub Friday Saturday night visit Chicago Ireland . husband love hotel , many friend stay past year . great location also good value money . continuue recommend whenever . 
 May 30 2005 	 embarasse ! 	 hotel shamble - furniture literally fall apart staff rude uninformed , nevermind lack security absence so - call amenity . & quot ; fitness center & quot ; oversized closet ! appal stay ! truly anticipate & quot ; warm , irish hospitality & quot ; short barman , one irish , warm hospitable ! manager unresponsive need front desk attendent incredibly rude make simple request . manager ( ? ) refuse come office call ask speak we . room pretty first glance dresser drawer fall major construction hospital next door begin 7:30am kind experience anyone could tolerate . call Red Roof Inn would insult RRI ! manager finally call we back soooo fake insincere would prefer call . thing go location worth trade - off . 
 May 3 2005 	 nice ! 	 room nice size , comfortable queen bed . get room chain toilet tank break , call front desk , maintenance person show within 5 minute fix . hotel staff friendly courteous . elevator quick large , change old downtown hotel . would hear hotel small room rude staff price have pay , hear complaint friend town wedding . stay hotel positive review tripadvisor.com not disappointed . Joey Buona 's restuarant next door hotel good food nice staff . not try hotel 's restaurant , many restaurant area . hotel 1 block Michigan Ave . 3 block walk Hancock Tower , safe . need WiFi access service $ 13 / day Waypoint , reliable fast . hotel 4 block Chicago Red Line CTA stop , walk 1 block south Chicago Superior , 3 block east . 1 hour O'Hare hotel CTA , take blue line O'Hare change Washington Red line teh Chicago stop . spend $ 1.75 well $ 35 cab ride airport downtown . would highly recommend hotel next downtown stay . 
 Mar 29 2005 	 little Gem ! ! ! 	 stay 3 night March 2005 absolutely love hotel . Michigan right heart Chicago . 3 us superb room 23rd floor . one kingsize bed pull sofa . would especially like thank really helpful doorman ( know discuss golf ! ) smiley really helpful . not believe negative - small , warm friendly hotel Bar / Pizza place next door also excellent . 
 Mar 22 2005 	 crack ! 	 live irish community Chicago big expectation Fitzpatrick . tell read would & quot ; irish hospitality & quot ; superior hotel . first get give we wrong room , door lock order . food fair appearance think would . expect see irish irish american employee work reception desk throughout hotel . & quot ; pale face & quot ; see bartender , everyone else minority . one employee tell 6 7 irish worker entire hotel past 3 year . accomodation neutral / average , nothing special . funny enough , week later St. Pat 's Parade Chicago ..... Fitzpatrick Hotel marching parade ..... however , hotel regular employee march day . instead irish friend walk parde , therefore give impression & quot ; irish hospitality & quot ; hotel . irish employee necesarily big deal , appear mislead potential customer something ! ! ! people may never make real irish hotel Ireland , may think Fitz next good thing , not . 
 Mar 11 2005 	 Fun time Fitzpatrick ! 	 cozy , charming , wonderful hotel . location beat ... right Michigan Avenue even 5 minute walk Water Tower Place . winter rate great , especially get suite . suite split - level huge -- perfect family . even regular room large would normally find big city . room public area feature traditional irish / English decor immaculate . every employee encounter extremely friendly . hotel restaurant offer outstanding irish breakfast . even cool irish pub low level draw great crowd almost every night often feature live irish music . menu offer good selection irish specialty food superb . be also great selection ale tap . highly recommend hotel pub ! 
 Mar 8 2005 	 Loved Fitzpatrick 	 husband recently spend one night Fitzpatrick sorry could not stay long . wonderful location close everything downtown Chicago ! book hotel website get fantastic rate $ 109 night . check go room realize must bump suite - lovely spacious . would definitely stay ! 
 Feb 21 2005 	 Loved Fitzpatrick 	 read several review ontripadvisor , husband & amp ; book one night Fitzpatrick . welcome sight long flight Barcelona Spain . would categorize hotel & quot ; boutique & quot ; . staff friendly welcoming , room spacious , clean update . bed unbelievably comfortable ! hotel locate close shopping restaurant . long flight decide eat next door Joey Buona 's Pizza ..... great meal huge portion . would like go back fitzpatrick long stay . look comfort , good location great accomodation , fitzpatrick great choice ! 
 Feb 20 2005 	 Brilliant Hotel ... first class 	 recently book & quot ; special & quot ; deal Fitzpatrick Chicago . price good stay many hotel inner city , expectation average , . give lovely suite way beyond expectation ( clean , comfortable stylish ) . staff friendly professional food Fitzers highly recommend . bar staff extremely professional . would definitely stay , doubt . 
 Feb 5 2005 	 not stay away 	 know everyone opinion , two recent & quot ; bad & quot ; review title sound like place horrendous . read summary two complaint : rude staff stain ... two observation would make warn other capital letter stay away . would think rat nesting pillow . unbelievable experience , suite gem staff accommodate cheerful . ( loved cozy pub bartender ) . three we stay hotel experience combine would rival world traveler . , companion would without doubt stay . 
 Jan 31 2005 	 Come see ! 	 imagine cause dismal review post last week . never encounter cheerful , pleasant staff Fitzpatrick Hotel ! third stay , always , enjoyable . hotel offer world class suite welcome warm atmosphere . food Fitzer 's surprisingly good decor authentic Irish ! ( , long flight West Coast , bed always something look forward ) . recall old saying .. & quot ; .. can not please people time & quot ; .. may true Fitzpatrick Chicago Hotel come close ! 
 Jan 30 2005 	 wonderful stay location ! 	 return hotel ... get suite king bed . everything excellent . stay hotel . Loved Fitzer 's Pub downstairs ! ! Beds AWESOME ! suite definitely nice ... could tell suite simply 2 room put together ( one separate wall ) could tell even regular standard room adequate size . anyone give bad review -- not get . ' ve stay numerous luxury hotel one disappoint . oh , read one reviewer say spider .... live creature room except we ! wonderful stay ! location can not beat ! 
 Jan 21 2005 	 stay away ... ! ! ! ! ! 	 stay away hotel . Front Desk staff rude unhelpful . & quot ; so - call ' suite nothing special old non descript furniture bathroom size post stamp . air conditionne old either freeze death end sauna - like condition . good thing place location ! ! ! 
 Jan 11 2005 	 GREAT HOTEL / GREAT CITY 	 wife fabulous stay Fitzpatrick New Year can not wait return . first visit America love city . visit friend move windy city year ago London recommend stay Fitzpatrick . book website get great rate ( currency differential really help ) . location could well make feel welcome everybody . room large comfortable . want take king - size bed home , comfortable . hope return Fitzpatrick next year . great city . friend settle well really happy . show we around lovely site , bar great restaurant lucky weather . 
 Jan 11 2005 	 Thumbs Fitzpatrick 's ! 	 husband treat long - haul shopping trip Chicago last November 18th 3 night . pleased Fitzpatrick 's Hotel , find staff friendly , Fitzers bar lovely nice , warm atmosphere good food . bed comfortable ' ve ever sleep , normally can not wait get back bed home hotel stay opposite trip ! location wise , be perfect . one small criticism - think bedroom carpet could either carpet - shampoo clean else replace stain little scruffy look . , great hotel ever go back Chicago will definitely book Fitzpatrick 's . 
 Jan 7 2005 	 Fitz beautiful exceptional hotel excellent service 	 husband stay Fitzpatrick Hotel Chicago anniversary last fall , base recommendation friend love . Chicago suburb want long weekend city , preferred hotel convenient location walk away restaurant shopping . the Fitz give we excellent , friendly service accomodate staff . room clean , beautifully decorate cozy . bed exceptionally comfortable pillow mattress , general atmosphere lovely . love extra touch Fitz offer , lush robe even umbrella , come handy one day ! also try pub lunch serve delicious food attentive waiter . we one good hotel stay memorable weekend . grateful friend suggest , would highly suggest stay anyone be look wonderful , unique hotel . know be plan go back . 
 Jan 7 2005 	 Fantastic Value -- best location ! ! 	 stay alot hotel never become & quot ; attach & quot ; one particular - stay Fitzpatrick . welcoming , friendly staff wonderful room ! location good hotel value find Chicago ! right Mag Mile within block good shopping country ! want feel though come & quot ; home & quot ; hotel room - stay Fitzpatrick ! 
 Dec 27 2004 	 fabulous Fitzpatrick 	 stay many hotel central Chicago past year , Fitzpatrick every time . friendly , intimate amazing room ( be huge ) . bellman right bar dining staff , everyone courteous , friendly , helpful polite . feel employee truly please assist appreciated business . also - location absolutely perfect heart Michigan Ave . thank FITZPATRICKS ! ! ! & quot ; back soon ! ! ! 
 Dec 17 2004 	 stay ! ! ! 	 Stayed Fitzpatrick , 4 year ago , ok . management great , staff kind , room clean . * * time promise self never go back ! ! new staff rude ! ! make reservation Anniversary internet , day check tell hotel staff reservation ! * * 1 ) transfer around back forth hotel staff reservation hotline . 2 ) staff extremely rude ! arrogant , rude ! like hate thier job.3 ) offer check 1 pm room not ready till 3 pm ! 4 ) stain everywhere ! 5 ) high sale room due popularity site , must hire cheap unfriendly staff . 
 Nov 27 2004 	 Fabulous Fitzpatrick Hospitality 	 always love travel wonderful city Chicago , never enjoy visit past weekend pleasure stay fitzpatrick ! though never hear Fitzpatrick , convince Chicago 's good keep secret .. staff wonderful , informative welcoming . special thank front door bell staff enthusiastic welcome time enter front door . believe 140 room , small intimate Chicago standard . boy , become apparent personal service receive every member staff . room lovely offer every amenity need weekend visit . ( canopy bed make we feel like royalty ! ) disappoint find arrive week holiday festivite kick , well plan next year ... definatley return Fitzpatrick Hotel ( also check hotel New York well ) . Bravo staff ... keep good work ! 
 Nov 23 2004 	 Excellent Price Excellent Service 	 stay property 3 night . centrally locate downtown Chicago . staff warm & amp ; friendly . long trip & amp ; front desk make sure room ready check . price affordable business person . would definitely stay . 
 Nov 23 2004 	 Love Fitzpatrick ! ! ! ! ! ! ! ! ! 	 pleasant surprise ! first time stay fitzpatrick love ! hotel choice travel Chicago . staff warm welcoming , go beyond make feel home . room beautiful , comfortable bed ever sleep . room great someone like travel business need space amenity . love pub , Fitzers , great food atmosphere . highly recommend stay property . 
 Nov 22 2004 	 beautiful hotel ! wonderful staff ! 	 return long weekend sister law . celebrate birthday Chicago pick Fitzpatrick Hotel review . thrilled moment set foot lobby walk beautiful cozy room . whenever need anything arrive minute . Joel doorman , adorable pleasure arrive back & quot ; home & quot ; greet ask day go . room comfortable bed ! ! ! ... bed well ' ve ever sleep hotel coast coast ! really feel guest someone 's home . thank Fitzpatrick . absolutely back ! 
 Nov 17 2004 	 Beautiful Hotel Fantastic Entertainment Fizter Pub Restaurant ! 	 Washington DC visit Chicago September 23 - 26 , 2004 . stay Fitzpatrick must say elegant affordable hotel magnificent mile ! dinner Fitzer 's Pub , food delectible , reasonably price . Katie Sullivan Band show phenomenal ! end stay entire show- lead vocalist , Katie Sullivan voice lark , soulful , energetic , passionate . enjoy irish pub music , oldie , Patsy Cline song , even Chicago blue . great night ! people dance restaurant beautiful spiral staircase lead Fitzer 's . leave Fitzpatrick Hotel sad check out- definitely stay March St. Patrick 's Day . dine , hope great entertainment like first trip - seem place secret treasure city , glad find ! 
 Oct 26 2004 	 GREAT HOTEL GREAT STAFF 	 fitzpatrick perfect location . staff friendly quite helpful . would stay hotel highly recommend . 
 Oct 26 2004 	 Great Hotel big lovely room great location Magnificent Mile . 	 fantastic time Chicago , fall Love beautiful City . try Altwood Cafe Loop , lovely Lunch Decor . B.L.U.E.S . Club Halsted N. Live Blues every night , fantastic Place , old Bluesclub City . 
 Sep 24 2004 	 great location 	 Fitzpatrick easy find location good . room nice , clean , comfortable , lobby manage young irish kid friendly fun . location close walk / ride path along lake well block street restaurant want dinner night ! bring bike want ride early Sunday morning . problem - get car even help we get bike together get us water ride . stay pleasant would definitely go back . however , would recommend breakfast outside bar lakeside path rather breakfast hotel , tho hotel breakfast fine . like outside well ! stay last weekend June , 2004 . 
 Sep 15 2004 	 Fitz ok problem . 	 book stay Fitz base positive review read . overall , happy experience , problem . first , room nice generally clean , , load spider . turn light night , spider would scurry hide . also , refrigerator work . next , pool filthy ice - cold . oh well . lastly , valet parker thief . steal rader detector DVD player car . could steal one else . cost $ 500.00 . keep thing mind book room . 
 Sep 14 2004 	 Great Hotel Credible Source 	 travel manager rate hotel US . recently opportunity stay Fitz Chicago . great staff greet walk door . bellman professional front desk helpful . my room beautiful spacious . Turndown service every night . great experience . Great Location . 
 Sep 13 2004 	 great base visit Chicago 	 stay Fitzpatrick end August read review Tripadvisor disappoint . drawback intial room allocate top floor subject loud drone noise come somewhere , stay one night ask move arrange without problem . room clean bed comfy . hotel also provide emergency razor , toothbrush etc missing case deliver . bar area pleasant staff take interest good job Reception staff bell boy breakfast supervisor . location excellent , able travel CTA train bus airport find hotel quite easily , visitor pass public transport well worth buying , get travel around local see real Chicago . find Fitzpatrick great base visit city . ( recommendatin visit city take trip Howl Moon one night , great musical entertainment ) . go back Chicago would stay Fitzpatrick . 
 Sep 8 2004 	 expect 	 also choose stay Fitzpatrick Chicago Hotel good review tripadvisor.com . expensive rate , really expect top - notch hotel . book room directly Fitzpatrick specifically request early check - in 1 pm . arrive 11 am tell would not room available 3 pm . suggestion : not offer early check - in can not supply . allow Brittish Airways Crews room pay customer . room not dirty , review state . bed appear nice tried sleep night . 4 1/2 star hotel , expect fit sheet mattress - luck Fitzpatrick . sleep , sheet flimsy blanket . want quiet room , not stay . hear door slam hour night , along sirens street 27 floor we . pool cold look like not clean 5 year . return room second day housekeeping find remote control go , Robe . robe provide stay , however , take , charge $ 75 ! mention check , tell would not charge , will not surprised . overall : expensive . probably could enjoyable stay Motel 6 . 
 Aug 30 2004 	 Bad experience 	 ironic -- go online post , read 8.26 review Seattle guest . sister much experience last week . extensive online research Chicago hotel , choose Fitzpatrick base positive TripAdvisor comment . idea place receive 4 - star rating . carpeting dirty stain , bedspread bedskirt . closet door nightstand miss handle . toilet flush properly ... pool small dirty . check bed sure not leave anything , notice metal bed frame break . list go ... stay many hotel would expect less expensive place , certainly highly rate place . child we want look forward nice room evening , stand rain Navy Pier not look forward return Fitzpatrick . pass hotel would say ' we could ' . sad negative affect vacation . buyer beware ! 
 Aug 26 2004 	 Huge Disappointment 	 stay Fitzpatrick result glow review TripAdvisor avoid normal corporate hotel . good location room dirty , last housekeeping . dingy : place need slipper provide . suite . also , refrigerator cake ice not work . furthermore , travel agent mixed date travel , show day late . hotel say not problem would not charge no - show night . travel desk verify hotel management day . fitzpatrick charge night refuse reverse charge many attempt resolve . neither corporate travel desk use Fitzpatrick . two dot 's good location lobby clean . ' m generally easy please slow complain bad . 
 Aug 24 2004 	 Fitz fantastic 	 stay Fitz 2 year row & quot ; Cubs vacation & quot ; . place top notch . location , room , staff , name , excel . will not stay hotel visit Windy City . great little italian Restaurant next door , friendly Irish Pub hotel . highly recommend hotel . 
 Aug 10 2004 	 great place stay city 	 want return favor select Fitzpatrick base review read site . ' m happy say expectation meet . great bed , clean , great location . ( small rooftop pool not invite not base choice stay pool . ) want add drink pizza next door Joey B 's roof even add pleasant experience . highly recommend ! 
 Aug 3 2004 	 absolutely wonderful ! 	 husband , daughter stay Fitzpatrick last week start finish absolutely wonderful time . Chicago fabulous city Fitzpatrick excellent choice stay . 
 Jul 29 2004 	 Dreamy bed 	 fantastic mattress ever sleep upon . want get - ever . 
 Jul 17 2004 	 Nice hotel great location 	 four day fitzpatrick nice . pillowtop mattress comfortable home . bathroom good size . good part location . hotel block Magnificient Mile free trolley stop right street . Hancock tower Visitor 's Center also within block . spend one evening watch star come roof pool . can not wait go back . everyone work hotel friendly helpful . hotel great value location . 
 Jul 16 2004 	 almost perfect ! 	 truly wonderful hotel ! research nearly every place stay downtown Chicago area . location price unbeatable . everyone kind helpful ! one problem air conditioning unit leak water onto carpeting . however bring manager attention compensate appropriately . bed heaven ! also one block American Girl Store wonderful attribute . surely back ! 
 Jul 16 2004 	 Top Rating well Deserved Fitz 	 Thanks TripAdvisor contributor , wonderful Chicago stay July 2004 Fitzpatrick . review correct , will not reiterate extensive praise . would dispute & quot ; cramp bathroom & quot ; complaint : be palatial , certainly big enough nicely appoint . a king suite 20th floor quiet think guest hotel . north - face ( back side ) window reveal upper 2/3 John Hancock build 3 block away , plus glimpse lake 2 block east . in - room coffee service typical ; small fridge chill refreshment nicely . Fitzpatrick 's value seem far well 4 - star downtown hotel : $ 169 Travelocity , hotel decline charge $ 30 per additional person teenager ( would still bargain ) .We like breakfast Water Tower Center ( 2nd floor food court ) two block north : full hot selection , fresh sticky bun pan , great strawberry , $ 6 , quick - easy - good . the Fitz close lake shore hotel see . reach boardwalk ( across Lake Shore Drive ) via pedestrian underpass near Chicago St. ( 1 block north ) . Navy Pier , next underpass , 15 minute walk south , pass little beach . you get 24 - hour CTA pass $ 5 , cover bus train ( 2 - 3 block hotel ) , even blue line O'Hare . CTA service great , except # 10 bus Museum Science Industry , limited service ( 20 - 30 minute bus ) . 
 Jun 25 2004 	 Wonderful Hotel 	 husband & amp ; stay Fitzpatrick early June 2004 birthday - great hotel ! location provide easy walk Navy Pier , Marshall Field , Michigan Avenue & amp ; John Hancock . Room seem spacious even though 300 sq ft . lot room bathroom ; comfortable bed ; quiet , upscale hotel . would definitely stay ! 
 May 21 2004 	 great hotel . great location 	 spend 4 enjoyable day stay super hotel , great location heart wonderful Chicago . suite attractive , spacious comfortable - view John Hancock Tower - couple block away . husband particularly appreciate twin tv ! staff friendly , helpful welcoming . minor ciriticism electric wiring need look . half lamp room work . 
 May 20 2004 	 well satisfied Fitzpatrick 	 Fitzpatrick good hotel good location . deserve accolade shower upon reviewer . stay five night friend two one - bedroom suite eighth floor . slightly disappointed room compare . back hotel look onto quite noisy extractor fan carpet somewhat soil place . remote keyboard internet access not work battery flat cd player would not function . contrast , friend well view front hotel , sensibly place furniture clean carpet . plus side , bed one comfortable sleep , reception staff wonderfully friendly helpful , breakfast buffet excellent , Fitzers pub basement comfortable serve tasty pub grub , location near John Hancock building would difficult beat ( dinner 95th floor Hancock excellent pricey nearby Spiaggia serve good G & amp ; Ts US tour ) . love Chicago would certainly return fitzpatrick visit . 
 May 13 2004 	 terrific business travel 	 Chicago business find Fitzpatrick ideal hotel business travel . plenty room executive suite , hotel quiet service well average . next time travel Chicago , plan stay Fitzpatrick . 
 May 9 2004 	 Hotels like ! 	 wife stay Suite Fitzpatrick one week start May . moment arrive foyer Hotel know make right choice . ( base research trip advisor ) .The Suite & quot ; wow & quot ; factor , minute open door . clean , fresh , quiet , well appoint spacious beyond expectation . even direct view Hancock building bit lake Michigan . staff genuinely friendly , helpful attentive fault ( minor ) deal immediately without quibble . breakfast hotel plentiful good value . the location perfect we , near water tower top end Michigan Avenue could wander around quite safely night day . my wife experience traveller travel regularly North America consider hotel far superior U.K - without doubt good ' ve stay wish benchmark hotel . my regret ! , not take home complementary bath robe slipper find room arrive ? day leave May 7th , roof top pool prepare grand summer opening . 
 Apr 13 2004 	 Cozy Convenient Regal e 	 stay Fitzpatrick Chicago Hotel Easter weekend terrific time . wife demand consumer one good hotel experience yet . pay $ 109 / nt plus taxis travelocity room 1502 ( small room type ) .here be like : - room design ( unique layout step lead bed area , great intimate lighting ) - Location ( near midpoint Magnificent Mile - premium Chicago shopping district good italian restaurant Benihana 's downstairs ) - room view ( room south side face N St. Clair St , give view 6 block long ) - full breakfast offer pancacke , sausage , scramble egg , muffin , danish , bacon , fresh fruit , cereal , coffee / tea , OJ , bagel , yogurt civilized dining room $ 9.95 / person ( cheap option go McD 's Chicago Place food court corner ) - great thing ; staff , furnishing , window / bed treatment , bed linen , 3 internet jack plus free MSNBC access via LodgeNet TV , mini fridge actually use . slight room improvement : - bed little soft back ( use thick pillow - top mattress , maybe ' m use ) - tv little small ( 19 & quot ; ? ) - vend machine ( go bar downstairs around corner Walgreens ) - Valet parking $ 32 / day in / out privs ( self - park less 3 place Chicago Ave $ 20 - 26 / day ) FYI ... Chicago tourist highlight : - Chicago Architectural Foundation walking tour ( http : //www.architecture.org/ ) - Hancock Observatory ( 94th floor , definitely splurge audio tour , cheap experience order drink lounge 96 ) - Marshall Fields flagship store ( amazing renovation , could spend whole day , free audio tour ) 
 Apr 6 2004 	 great hotel Central Chicago 	 stay hotel several occasion never fail anything delighted . Great Bar ( draught Stella Guinness ) upgrade end March last , good food , lovely staff , large clean room , comfortable bed , spot location Golden Mile , Joey 's Pizzas next door fantastic . ignore bad review read hotel author must either unlucky impossible please . highly recommend 
 Mar 3 2004 	 not go wrong Fitzpatrick 	 stay Fitzpatrick August 2003 took 11 y / o daughter weekend American Girl Place . pleased upon registration find lobby full airline pilot steward check lay stay . always good sign pick right place . love ! ! great location magnificent mile shopping close walking distance american Girl Place . clean , friendly staff , great bed . definately stay . PS : itallian restaurant next door good generous portion . area feel safe woman child . 
 Feb 25 2004 	 not believe hype 	 wife stay Fitzpatrick one night . book hotel two night end check early move nice cheap Wyndham . rave review bring we hotel wonder wrong hotel altogether . suite tired look bathroom incredibly small . mention smell smoke bathroom ( non - smoking room ) fact tub drain shower . stay hotel around disappointing , perhaps expectation high base review . 
 Feb 11 2004 	 great bed 	 love room . the sunken living room separate bedroom make spacious feel , mattress good one sleep anywhere , ever ! ! can not wait go back . 
 Feb 3 2004 	 Great Deal Great Stay ! ! LOVE Fitz~ 	 adore hotel ! be like second home , since first stay , frankly afraid book another hotel downtown . service , suite ( stay suite ) , extras .. cd player , robe ... great . 's hotel know reasonably - price , also delicious room service menu , well menus restaurant ... include good breakfast buffet . complaint ever ... 1 ) small wade pool , 2 ) ice delivery verses machine every floor , 3 ) small bathroom suite . although could improvement , suspect less feature add great price . look , Fitz large , elegantly understate , comfortable , fair price suite Michigan Ave . know never stay elsewhere downtown Chicago . thank , Fitz ! 
 Jan 31 2004 	 discover real Chicago 	 wife attend numerous seminar together . without doubt , Fitzpatrick enjoyable trip yet . able walk door , sample great sight , food area real treat . back soon ! ! ! 
 Jan 14 2004 	 Irish Eyes Smiling 	 ( wife ) stay couple different hotel Chicago three trip . recently spend 4 night Chicago Fitzpatrick July 2003 . room enormous , comfortable , clean air conditioning work ! room actually small suite fridge wet bar , two tv 's , cd player , trouser press , bathrobe even umbrella . bathroom really nicely appoint spotless . position hotel opinion perfect tourist visit Chicago staff extremely helpful friendly . book Expedia work perfectly , rate also available website fitzpatrickhotels.com . flight Chicago delay storm time arrive hotel tired , hungry fed . find beautiful suite wait we welcome pleasant reception staff need . love Chicago , definitely back definitely stay Fitzpatrick . 
 Jan 2 2004 	 treat like Gold Gold Coast 	 choose Fitzpatrick great location special rate disappoint . 's great step Michigan Avenue , behind Neiman Marcus , block Water Tower . frequently stay city , compare other high price less luxurious accommodation . secure comfortable room , especially clean convenient coffee , fridge , robe , slipper , hair dryer , pant press , iron / board . friendly , helpful staff seem glad assist . new favorite ! 
