Convenient 	 well locate 2 minute walk Tower London 30 second Tower Hill Underground Station 1 Minute Tower Gate DLR Station . Circle Line operation , not weekend , hotel well locate London . room overlook train line never hear anything . wife light sleeper never issue . bed comfortable , room large bathroom , good shower . staff helpful enough , friendly , probably owe limited grasp english case . continental breakfast include , basic good quality . toast bit let , put basket pre - make , bit cold . apart everything else good . not eat hotel dinner . plenty place around include nice place Marina near Tower Bridge . 
 Oct 1 2006 	 never intend leave never want ! 	 write scathing review , think would well check hotel website see claim . say : & quot ; Grange City Hotel spectacular new luxury 5 star hotel . superbly locate unique panoramic view City gemstone 's throw away Tower London Grange City represent first hotel standard City . & quot ; okay , begin . first , bit background . book Grange Holborn early meet Southhampton Row , i.e . solely location . would normally stay Covent Garden Hotel similar ( see review - wonderful ) , concerned enough make meeting unflustered state , choose Grange Holborn . write section Tripadvisor detail happen arrive , brief , cock , ' lose ' internet booking not room . solution dispatch taxi across London sister hotel Grange City Tower London . swallow frustration transfer hotel choose location venue opposite side City , accept apology , believe promise City Grange would give ' wonderful ' room look I . Arrival City Grange ' welcome ' experience hotel keen make guest . extraordinarily impatient brusque receptionist make eye contact , offer help bag believe sneer swoop hand serve direction lift . word foyer itself- brash , vulgar decor , arrive leave hotel , thick stale smoke guest appear smoke everywhere anywhere public space . way room 11th floor , two surly member staff completely ignore . room - , go ' lovely ' give problem Grange Holborn not ? er , no . Nasty tacky , fake wood , dark brown , dusty , small , stuffy , unclean corner , feeble hair dryer tethered drawer , uht milk cheap fitting . open mouthed audacity hotel claim room 5 star . would hard push see comparable 3 star hotel stay . ' spectacular luxury ' claim hotel certainly not find room . perhaps view would compensate ? look Tower London night could lift spirit frustrated traveller . hotel proud ' unique panoramic view ' state website . pull curtain , greet glisten Thames incinerator large office block look directly room . certainly ' unique ' view hardly panoramic . and come piece de resistance depress , wretched experience - sound first train thunder room . Yep , strangely hotel not mention build directly railway line . train ) loud b ) regular c ) finish late ) begin early . dinner deserted , weirdly smoke fill restaurant unappealing , ask concierge direction local restaurant . utterly uninterested good could muster Chez Gerard , nasty indian . city mean few dining option , seem unnecessarily uninspired . night accompany train , hotel really surpass ineptitude morning . saga involve order breakfast make shake head disbelief think several day later . , dress ' do Disturb ' sign door , interrupt persistent bang door turn window cleaner . I rarely leave hotel unmitigated horror level service , standard decor , cleanliness facility sense overwhelming feeling thoroughly rip . get taxi try make across London time meeting lead book Grange hotel first place . take 45 minute rather 25 hotel tell allow , fear , late . disastrous end utterly disastrous stay . so , short would agree wholeheartedly hotel 's promise & quot ; Grange City represent first hotel standard City & quot ; never , experience business travel , desultory standard hotel audacity masquerade ' five star ' impose unfortunate guest EC1 . 
 Sep 30 2006 	 pompous arrogant not live star ! 	 friend stay grange 4 night fourth week july year . the reviewer completely correct . 5 star hotel . * staff arrogant , rude , slightly condescend helpful . * room , prize star utterly standard . * food standard , hot arrive , late . the thing make stay good , spa health center . staff wonderful , full service . I disappoint stay , be really worth money . for business traveler internet good . get hook . concierge helpful , fluent english either , help there . other £ 10 day 's fine . 
 Sep 30 2006 	 great value weekend 	 hotel excellent value weekend . need catch early flight Stansted decide stay mile Liverpool Street station Stansted ' express ' . check - in ' upgrade ' enormous suite 's mini - conference centre . even take photo never see room big . appoint 5 room service deliver sumptuous breakfast two - one - delicious . excellent location near Tower Bridge tube - edge city financial district blissfully quiet weekend . 
 Sep 12 2006 	 well organize business meet 	 hot list client London , marketing manager carry meeting last month . surf net come across hotel ; Grange City London .I conduct business meet grand , magnificent conference hall hotel . room spacious chair well arrange around table make good corporate environment . deliver presentation effectively help LCD projector . due good sound arrangement audible everyone clearly . meet lunch break .We hearty lunch sort international cuisine . delicious . lunch incomplete without drink dessert world ' fine serve . hotel staff cooperative every stage . lunch resume meet . end guest disperse due honor hotel staff . car park discipline help move easily . 
 Aug 31 2006 	 fantastic view 	 stay Grange recently pay £ 80 include breakfast double ensuite room . however , check give executive room balcony 6th floor . see river , egg , Tower London etc . get one room high floor view . service generally excellent , check good . breakfast usual Grange & quot ; 5 Star & quot ; effort : wish would improve breakfast . City Inn use Loch Fyne product Clifton Ford Oxford Street well breakfast . grange breakfast ok : great . get well breakie 3 4 star hotel depend . swimming pool fab , steam room cool jacuzzi busy chance heat cool also . old thick work new entertainment system work ! fun Grange . Miki & amp ; Jerry . 
 Aug 29 2006 	 5 star appalling 	 appal standard service level disorganisation receive so - call 5 star hotel . stay 5 star accommodation , never experience sub - standard receive . guarantee night ' sleep look opinion ' stay ! husband decide would good idea stay London overnight , rather late commute home . however , prove nightmare , literally , shock woken 1.30am , shrill sound fire alarm . completely disorientate first second , fortunately , alarm soon stop . realise must false alarm endeavour return sleep . incredibly , 2.00am 3.00am woken shrill sound fire alarm false alarm . final alarm sound 3.00am husband , along guest , make way hotel reception , take stair lift action need establish actually happen emergency . night porter inform technical problem , investigate , could guarantee would alarm . next morning clear lot unhappy guest , however , appal apology offer . request speak Operations Manager inform fire alarm steam sensitive , people take shower , activate alarm three separate occasion . point receive verbal apology inconvenience , offer room upgrade book hotel future . would entertain stay hotel would recommend anyone stay , possibility ultra sensitive fire alarm may activate falsely people take shower night . I also much support comment , traveller , regard checking - out add insult injury . horrendous , wait 25 minute , mention manager , tell 450 guest check . feel like say problem mine ! honestly say receive high standard service Travelodge . stay one night , ' wish stay long . opinion worth money , far well available London 
 Aug 20 2006 	 good stay grange 	 decide stay London two night go watch England vs Pakistan cricket . pass Grange many time surprised find Laterooms quite resonable price . arrive early Friday , reception happy register we , hold luggage return later day . the room little small , clean well equip . view room pointless overlook fenchurch street station , careful opening curtain . despite right next platform , hear peep train ! service breakfast quite poor , restuarant busy . table fully make - one cup & amp ; sugar . continental buffet ok , good choice thing . very good location , tube doorstep , within walk distance City . pleasant stay . 
 Aug 8 2006 	 great hotel 	 stay Saturday night August 10 friend . room 2 double bed - lovely furnishing , clean . great bathroom really powerful shower . Molton Brown goody , bath robe + slipper . small wait check . Staff seem friendly say hello pass . check 2 pm arrive 10.30 room available we use straight away . very convenient tube , Tower London boat trip Thames . also short walk St Katherines Dock shop restaurant . feel safe whilst walk near hotel . breakfast fine - continental plenty choice fresh . no wait check 10.30am able leave luggage concierge train due late afternoon . would definately recommend hotel short break . seem child friendly well . 
 Aug 7 2006 	 Luxury price 	 arrive hotel promptly deal . room lovely soon realise bathroom properly clean , maid call minute . little issue stay great , use leisure facility excellent . DEF stay , prob full price , book hotel website £ 80 ! . Checkout not great , queue stay well worth ten minute wait . 
 Aug 4 2006 	 enjoyable stay 	 stay hotel group friend time ago , book room hotel 's website . sometimes special offer hotel website might allow weekend night stay rate £ 80 . anyway , lobby give immediately good first impression , get room not disappoint either . not much view window , except tube station - windows block noise not problem . room nice , breakfast . one drawback checking take long time time stay . would definitely , , recommend hotel future . 
 Aug 1 2006 	 definitely 5 Star 	 comment base fact hotel market 5 Star hotel , therefore near perfect . stayed end July 06 long weekend , attract location , price sumptuous description hotel web site . the first room offer stank cigarette not clean well still crisp carpet . upgrade cost nice room balcony look forward great stay . shower next morning discover one bath towel . make mistake thinking would rectify room clean later day . arrive back 5 room leave . come back room see show find bed make , single bath towel fold nothing else . call second towel deliver 30 minute later . find next morning cup use previous day not change either . take 20 minute check even though one person front we . having say , hotel really great location , long get good price expect 3 star service will not disappoint . 
 Jul 24 2006 	 vacation unmatched 	 . still remember vacation last summer . arrangement make Grange City hotel . impressed overall look hotel….grand , beautiful well maintain . reception help efficient porter let baggage concierge . admire way kid appear happy time enter hotel . book ticket reception tourist bus get ready 2 hour time . fantastic facility available room help everything go smoothly . press automatic , laundry problem , room service available instantly call . day Sunday nice time swimming pool . kid know bind child ’ swimming pool . husband conscious health chance try hand hotel ' gym . eat place hotel , Koto good . lutetia bar Roman Wall give perfect historic background enjoy favorite drink serve chill . comfort punctual service receive attract we come winter …… . 
 Jul 22 2006 	 great business travel tourist 	 join husband business trip , business traveller , tourist . hotel able meet need . the room small , nicely decorate clean . everything need , include hairdryer ( two room ! ) . service fine - major complaint . pool lovely - salt water . two people use . husband use gym time think 's nice . great outdoor terrace back want drink end day . also two restaurant indoor lounge . eat japanese restaurant - ok , good . if laptop , internet access room ( not know extra charge - probably ! ) leisure traveller , not laptop , not want spend 10 pound per hour use business centre hotel . find Kinko 's 7 minute ( walk ) hotel Fenchurch St. 's reasonable - 2 pound 1/2 hour . open 10 pm week . suggestion : travel three suitcase two week . since room small , might want bellman store empty bag stay , else trip time ! course , brilliant idea not come day check ! location great - right financial district , stone 's throw Tower London . Tower Hill underground station 30 second walk hotel , get anywhere city . lot good restaurant area well . want take city tour , catch Original City Tour bus Tower London - buy ticket catch bus street - handy . I would return Grange City Hotel - bad hotel . 
 Jul 20 2006 	 business pleasure 	 one recent business conference London stay Grange City . experience really different conference attend early . spacious conference room well illuminate natural day light comfortable . make presentation effectively computer technical assistance provide . connectivity datum , telephone , state art audio visual throughout banquet suit help presentation register well among people . ideal place conference banquet . double height flexible auditorium well accommodate another large dining hall arrangement supper make . really relish delicious delicacy taste also nutritious . end good time enjoy mock tail cocktail mini bar nicely display world ' fine drink hand away . 
 Jul 9 2006 	 wonderful ! 	 say little worried read review 5 * hotel . book special weekend rate £ 80 twin room continental breakfast arrival tell allocate room internet could twin room allocate would like offer we upgrade ( free charge ) suite - well not think really moan upgrade ( especially £ 80 - suite £ 300 per night ) .It absolutely fantastic - room huge least 35 foot long probably long , absolutely spotless mini bar coffee / tea facility well stock . leisure facility extremely well keep well equipped . on enter breakfast room wondfully peaceful night sleep ask want upgrade continental breakfast full english £ 7 . say look nice . continental breakfast brilliant , croissant , bread roll , toast , cereal , fruit , nut , yoghurt full condiment jam , marmalade marmite ! thing would suggest anybody stay hotel careful take anything mini bar computerise automatically add room bill - fine explain want see champagne take ! overall would completely recommend hotel - not think would pay full whack definitely worth special rate website ! 
 Jul 9 2006 	 magnificent pool - small room 	 ' ve stay Grange 2 occassion time room small side ( 5 star hotel ) , always spotlessly clean . view office block railway station overly appealing . good good thing hotel underground swimming pool hot tub ( sauna , steam room etc .. ) - bit gothic , also funky . nice couple . I find service extremely good . secretly order flower girlfriend promptly deliver room conciege . nice hotel , good central location , 5 star . 
 Jun 19 2006 	 ok great 	 hotel clean quiet , location good minute walk near tube . stay Executive Room nice size although bathroom fairly small nice . service mix . check - in fairly poor - baggage staff seem able communicate . breakfast fine , overpriced get ok . 25 m pool jacuzzi nice , change room clean ( little cold .... much air con ! ) ' ve stay 3 hotel London ( two 4 star one 5 star ) . good . London hotel go fairly good . relative 4/5 star hotel stay around world would say fairly disappointing . if go medium expectation not disappoint . 
 Jun 19 2006 	 great value money 	 book executive room £ 100 ( Friday night ) think must one cheap 5 Star rate around . room huge brand new everything - bathroom 2 shower , powerful , marble bathroom , huge bed , sofa , air con etc etc . location 5 minute walk Tower London , 30 second walk Tower Hill tube convenient . all one good hotel ' ve stay . service breakfast fine , although 5 minute wait seat ( however warn room pack receive ) . continental breakfast include room package problem . problem service either effiicient polite time . 
 Jun 18 2006 	 Staff seem low Morale 5 star hotel 	 call ask could check early , book desk fine phone , arrive staff desk different attitude , suspect & quot ; internet deal & quot ; stay pay full rate , service different . I tell could check bag concierge , whilst agree member staff unbelieably give lecture nowhere service people want check , wait finish explain front desk recommend , call phone early . seem really annoyed , , way go back later get bag give room key , ask we pick two bag back office , load bag place look bag agaiinst thief , could lift someone else designer bag would wiser . please believe five star hotel 
 May 29 2006 	 Great Hotel great price 	 Stayed Grange City whitsun bank holiday weekend , easy get 200 mtrs Tower Hill tube station . arrive 3 hour publish check , courtious staff immediately book . huge room nice huge double bed , clean everything need include safe . continental breakfast excellent never felt rush pressured eat leave , plenty staff hand background sort way . the health spa real bonus superb pool usually busy lovely way relax . read many review arrive experienced none problem reviewer list , wait breakfast even though hotel busy , plenty staff speak good english polite , would reccommend hotel hesitation , JD Wetherspoons pub within 200 m ensure pay 5 * price drink not want . 
 May 21 2006 	 good value money London ? 	 book night get double room £ 80 incl breakfast . Got upgrade exec room arrival charge , impressed hotel facility . pool huge ! ! gym busy v well equip . eat ISIS bar - good food , service slow side - v friendly though quick get bar . room nice generally find staff helpful friendly . hotel 30 sec walk Tube station view Tower Tower bridge . we breakfast 8.30 restaurant fairly busy trouble get table food . would definitely stay £ 80 ! ! ! 
 Apr 29 2006 	 fantastic hotel great service 	 stay Grange City Hotel last weekend speak highly enough hotel . partner run London Marathon obviously busy weekend hotel . request breakfast room 5:45 bring room exact time . room great faciltie room , good bathroom , great size room sofa coffee table complete good selection magazine . go breakfast restaurant around 9 15 sunday morning service great food . we treat well whole weekend . eat Isis bar part hotel food really good reasonably price . downside bar noisy , drunk football supporter marr enjoyment temporarily one staff soon ask quiet / leave . I note review hotel quite negative speak someone regularly stay hotel , find hotel great would definitely stay . suspect location hotel weekend could inconvenient want near hustle London hardly pub restaurant open Saturday evening bother we . ask pay £ 75 advance mini bar , mention we whatsoever understand happen guest write review . always find generally hotel staff happy help speak respectfully . I would congratulate management team great hotel would definitely stay . terribly busy weekend cope admirably . 
 Apr 29 2006 	 enjoy stay 	 stay hotel Easter weekend . husband , wife 10 year old boy . many hotel , get one double bed z - bed squeeze room , one 2 double bed , well 2 huge comfy armchair table front floor ceiling window Tower London view . fab . many review speak unfriendly staff - experience could not different . member staff pass without say hello , reception staff could not enough serve breakfast helpful , friendly always someone ask need something . ask additional towel housekeeping door minute bale towel we . beautiful bathroom , Molton Brown toiletry , power shower , hairdryer room ( bathroom ) . location make travel easy - fly London City airport , hop DLR hotel short walk station . arrive 10.15 expect leave luggage concierge later day , receptionist insist find we room ready ! would not stay anywhere else London ! pay £ 120 per night include breakfast . excellent value . 
 Apr 27 2006 	 service - especially breakfast 2 star 5 star ! 	 stay hotel several time business , whilst look shiny always good room service atrocious . five star hotel would expect modicum good service staff seem totally indifferent - be bother . breakfast bad experience hotel ' ve . staff hard locate - wait 15 minute could grab waitress ask cup coffee . buffet stock well cook breakfast dry obviously keep warm quite time . request fresh egg waitress locate another 15 minute still materialise give . £ 20.00 breakfast joke ! ' ve well service Gtreasy Spoon - not bother stay several hotel nearby ( Tower , Apex City etc ) cheaper well every way ! 
 Apr 24 2006 	 Appalling Service Appalling Hotel 	 hotel service appal disgusted staff overall experience dreadful . service room definately 5 star ! outrageous upon arrival every customer ask £ 75 towards mini bar , regardless whether plan use facility . refunded request refund checkout ( note - simply card authorisation , £ 75 take bank immediately ) . ask speak hotel manager could barely speak English rude obnoxious . nearly 45 minute heat unprofessional debate ask manager leave alone . proceed talk back 10 minute threaten throw we hotel pay £ 75 apologise call unprofessional . unbelievable ! hotel bar also poor atmosphere whatsoever . room exceptionally small towel rail fall . top thing fight inclusive breakfast accusse lie fact include package . person work behind bar , serve breakfast morning . 5 star hotel place manage like hostel . fact likely tol get well service hostel opinion ! happy , would strongly advise book hotel ! 
 Apr 17 2006 	 Fantastic Value ! 	 husband return Easter break London . stay Grange City impressed . weekend able park literally outside front entrance free ! pay £ 80 night great room , large comfortable floor ceiling window great view Thames Tower London . everywhere hotel spotless . staff friendly helpful even though english native language . pool gym every bit good photo . a word caution . stay weekend get breakfast early ! continental breakfast complimentary weekend great selection pastry , fresh fruit , yoghurt etc waiter happy bring fresh toast table , however arrive 9 am expect queue get table will not much selection display take time refill . wait staff work flat keep though . sign lifts bedroom warn delay weekend . also attempt remove mini bar item store wine / water . computer control item charge account . discover ! reception staff fine remove item bill . guess happen lot . in summary Grange City exceed expectation . great location , good size room , friendly staff good value hotel stay inside UK never mind London . 
 Apr 15 2006 	 Gorgeous hotel warn breakfast experience ... 	 21st birthday boyfriend decide go away weekend decide London abit hardcore shopping , begin search net good deal . eventually come across hotel bargin price £ 100 night double exec room plus continental breakfast ! hotel lovely typical chain still good condition room tidy comfy sofas great selection magazine , movie etc . also beautiful view tower london ( room 814 think ) surroude area . downer size bathroom , small bright clean fine we . I find staff friendly , polite helpful much relief ! check we promply good too . my qualm really location , quite far tube station shut 9 pm saturday night ! ! know location come , kinda weigh up - a fab night fab hotel far shop crappy night cheap hotel right Selfridges etc . end make right choice sure ! problem breakfast , queue horrendous hardly table party 2 seem weird . break be not great , end soggy toast dry fruit . whole thing buffet style never really get fill be not great whole . however enjoy hotel , would def come especially do not time swim pool mean fab ! would highly recommend hotel avoid breakfast unless strave ( £ 12.50 - cont , £ 19.95 - full eng ) otherwise end stale toast , rock hard egg 15minute wait cup coffee : ) 
 Apr 10 2006 	 good hotel money 	 book hotel one night stay 8 April 2006 . double include continental breakfast £ 80 . hotel 45 second walk Tower Hill tube station , fairly close West end though walk distance . check straight forward , staff reasonably friendly , seem Eastern European . room exactly like photo standard room website . bad point room were- LCD tv , normal one- Molton Brown toiletry , Gilchrist Soames- hairdryer room seem bizarre- safe not work- one fridge can not move item put stuff ( automatically charge room even pick anything ) small balcony , could see Tower London Tower Bridge one direction , could see Gherkin ( Swiss Tower ) .When go Saturday night 3 tray room service outside different room , not look good . breakfast next morning good , toast , croissant , cereal , fruit , yoghurt . small queue checkout 11 am , leave bag concierge swim . change room nice ( Molton Brown product hairdryer ! ) pool lovely . also spa , steam room sauna . relax ! seem space park outside hotel not sure park friend . overall , good hotel , especially time take advantage pool facility . would happily go back , £ 80 / night . 
 Apr 2 2006 	 Perfect Hotel right near Tower London 	 hotel perfect big surprise . 's 5 - star hotel definitely agree . large entrance clean lobby , close location Tower Hill subway station , room HUGE London hotel ( even large US standard ) , LCD tv , large window , nice breakfast . hotel also sale rate big discount publish rate . ' m sure always give cheap rate . the small negative entire staff foreign english native language . couple time difficult communicate receptionist concierge this . highly recommend hotel ! 
 Mar 26 2006 	 Decent 	 great location , mixed experience service . tv take repeat ( pleasant ) staff visit get work . charge 40 pound borrow ethernet cord plug - still wait credit . breakfast horrible value . - great location , nice room , nicely responsive staff , good restaurant . 
 Mar 7 2006 	 5 Star hotel 3 star price ! fantastic ! ! 	 recently stay sister hotel holborn , find position hotel far superior . know way round London , hotel prove perfect setting - opposite Tower London Tower Bridge 5 minute walk HMS Belfast 10 minute walk London Dungeons . Tower Hill tube bus route within 2 minute walk , access west end ( stop district line tube ) easy . room size large grange Holborn well present great double kingsize bed . bathroom modern clean Molton Brown toiletry nice touch . swimming pool large Holborn Grange checking , health club issue use facility afternoon . use weekend price low £ 80 double inc continetal breakfast . ( full english reasonable £ 7.50 supp ) overall , hotel fantastic value money . 5 star 3 star price ! ! 
 Mar 7 2006 	 5 star hotel ok 	 agree review certainly 5 star hotel . fortuntely price reflect . room - key card require insert slot door allow air - con lighting work ; hoiwever damage way could get work jam paper ! ( call friont desk 2 am ) . bathroom pretty grotty hotel overall , although generally ok , simply large , slightly anonymous business hotel . bad not expect great though . 
 Feb 27 2006 	 make memorable break 	 weekend break birthday want something memorable . deliberate hotel choose , go Grange City Tower Hill really glad ! arrive Saturday lunchtime reception busy ... perhaps chaotic ! however , receptionist great even upgrade room . great room ( 612 ) balcony view Thames Tower Bridge . staff come contact great helpful . swim pool probably well ever use hotel ( although bit dark place - light work ? ? ) . London hotel fairly impersonal place although exception , could not fault . well maintain , comfy , clean , great location , lovely continental breakfast - certainly come back ! make sure give try . 
 Jan 16 2006 	 Great Relaxing Business hotel 	 would definately use hotel , travel connection great , bedroom lovely condition , shower / bath hot water pressure make want stay day . two thing bear mind , neither would put use hotel again.1 . Front Desk Staff will not win prize pleasent ( simple mix room , make believe fault ) 2 . hotel right beside mainline train , bus , DLR Tube , without suffer associated noise , however come midnight Friday , bar open , provide look late night , close hotel , be elect . 
 Jan 1 2006 	 fantastic value weekend rate 	 stop new year eve 2005 , pay £ 90 double room 2 inc continental breakfast . very good value , well appoint room , clean , comfy bed , lovley bathroom . the health club & amp ; pool 10/10 , great pool , sauna steam room etc ... stay weekend - single yellow line around hotel parking easy free ! - park right outside entrance ! negative point : ( picky ) bit far west end . there ar not many bar / restaurant local area open weekend . checkout long queue . some staff could bit happy .... whole good hotel , perhaps good 5 * I ve stop , rate pay ( £ 90 ) fantastic hotel , do not think many hotel london standard price , would stop . 
 Nov 20 2005 	 worth visit 	 due stay Grange Langham Hotel situate near Oxford Circus main focus weekend christmas shopping . train journey London , contact & amp ; inform due maintenance problem ( flood ) would move Grange City Hotel . immediate reaction annoyance away . however , upgrade 4 star 5 star & amp ; treat superbly . hotel pay taxi 's & amp ; could not enough we . staff courtious & amp ; helpful . impressed room ( king size bed , sofa , coffee table , dress table , tea / coffee facility , hairdryer & amp ; iron board . ) downside bathroom small & amp ; pillow feather not like . turn , actually make time visit Tower Bridge immediately hand . St Katherines Dock area also lovely . usually go London twice year , like stay close main shopping area , however , would stay Grange City & amp ; travel little extra , worth . 
 Nov 15 2005 	 Return Visit - Still Excellent 	 Stayed year ago . return 3 night stay . time Executive room , much small club room , still big London standard . bath Executive room much small well - almost laughably small . room bath still spotlessly clean , robe / slipper / fancy toiletry . service improve . receive room w/ view Tower Bridge request , also problem w/ late check request . desk staff still unfriendly , end get job do . gym pool great asset . picky - complaint time deal rather green / agressive staff ... could still use little polish . example , rather aggressive MiniBar person feel appropriate request come room restock bar - kind almost push way - something not expect high end hotel ( also woman , alone room ) . also , call & quot ; conceirge & quot ; not answer , leave message simply phone back available , next thing know Bellman knock door , ask come room ( - woman stay alone ) try act concierge . finally , Disturb sign go unheeded . 2 member staff knock door sign ... overall place improve - try hard still one nice around . continue return . 
 Oct 25 2005 	 Grange City Hotel 	 stay Grange City Hotel 2 night 21st October partner . check slow enough staff member check we nice . reception staff counter not seem nice . room lovely spacious clean . Bathroom also spotless . not view room not bother we . pool health club facility excellent . fault hotel area weekend shut business district long walk find shop open . tube station 60 second walk away make location . would definately stay . 
 Sep 29 2005 	 Female Friendly 	 stay work conference book one female friendly room . 2 bed lot space , Molton Brown bathroom bath separate shower , staff pleasant room nice . good staying work play ! 
 Sep 26 2005 	 Excellent Business Traveller Hotel 	 stop Grange City hotel prefer supplier employer . check hotel prior visit live expectation . upgrade executive room provide little living space , sofa , working desk lounge chair . bedroom extremely nice marble complementary bath robe room service good value money . sure note pay internet access however , understanding include room rate . excellent location , 5 min fro Lloyds London , Fenchurch St etc . 
 Sep 9 2005 	 City Standard 	 stay grange several time business , one approve hotel firm . room vary shape size , always comfortable , good bathroom , comfortable chair sofa relax , good quality bed . gym pool handy right premise , staff generally quick respond problem . compare hotel London stay , find stay Grange pleasant trouble - free . need stay City , safe bet . as other say , restaurant nothing write home ; find restaurant french hotel across street ( sorry - forget name ) offer good food standard hotel price ( cheap London ) . good breakfast buffet excellent dinner menu , variety wine available glass . be budget , many take - out shop within 5 minute walk ( Pret Manger , etc . ) get quick reasonably healthy meal 5 pound . also , wake early morning jet lag , Tower London Thames 2 minute away perfect stroll . 
 Sep 8 2005 	 find another hotel 	 husband stay hotel business three week , time get pretty good overall picture standard . in way Grange City describe five - star hotel . room acceptable term cleanliness ( count balcony , boast seven discard cigarette butts throughout stay ) size , poorly maintain , good , adequately furnish . find bed uncomfortable , linen extremely average ( one reviewer put , motel - style blanket ) pillow atrocious . poor standard hotel carry though staff . housekeeping infuriatingly inconsistent , frequently forget replace face washer breakfast order form , constantly give we fresh towel , even though consistently hung ( per instruction ) woefully inadequate towel rail signal not want fresh one . ( much try right thing environment . ) sometimes turn - down service turn , sometimes not , leave we wonder hotel bother proclaiming existence service all . I call Room Service twice stay . occasion slow ( bottle beer ice take 20 minute arrive ) . one night rang ask breakfast order form ( second time would ) . point go bed discover have leave one room make wait half hour ( call twice ) one staff attend simple request . the Concierge also sub - standard ( call three time stay ) . first occasion call request breakfast order menu , person duty tell call Room Service . would fine three - star establishment , five star would expect take initiative form send , least put correct department . another occasion phone rang rang Concierge answer ... switchboard ... route back Concierge , phone rang age answer . simply good enough ! , , hotel charge ludicrous price . company rate GBP160 per night ; far much standard accommodation service Grange City provide . be fact company arrange stay , would leave Grange City within week find real five - star hotel . strongly recommend anyone consider hotel choose well accommodation . simply not worth considerable cost , constant irritation , would reluctant stay . 
 Aug 16 2005 	 ... could well 	 1 ) outskirt financial district . area get dead fast evening . 2 ) 5 star hotel comforter like , motel 6 type blankets3 ) fluff pillows4 ) never 5 star business hotel tell could not get cash charge room . o.k . maybe not normal protocol . least exchange $ pound . no5 ) tv small .... think be 17 -19 inches.6 ) entertainment selection horrible overall bad hotel ... obviously 5 star caliber . lot corporate traveler discount must significant still think $ 300 / night ( ~170 pound ) little rich average london hotel . 
 Jul 25 2005 	 excellent weekend value though central 	 probably really 5 star , though solid four star plus . particularly good value London weekend . accommodation clean reasonably sized , nothing exceptional . rate include decent buffet breakfast . contrary review , find staff curteous friendly , busy . downside location . excellent want see Tower London etc . little centre thing otherwise . 
 Jul 11 2005 	 excellent stay Grange City 	 husband book weekend surprise 10th anniversary treat . pleasantly surprised hotel consider modest room rate £ 80 . stay similar 5 star hotel pay awful lot . staff arrival courtious marbled entrance area impressive . room nicely furnish 6 ft bed , sofa area marble bathroom . view good hotel , however could see Tower London , Thames great architechture . interior design standard decor modern good quality . complaint . breakfast good , continental , include , juice , fruit , cereal , roll , pastry , yogurt , toast etc . husband opt full english enjoy . rush atmosphere relaxed . stay husband concern little far action West end . problem use Cabs get fare £ 8 Covent Garden . stay two day London bombing little reluctant use Tube . also use river boat get Westminster ( £ 13 return two ) enjoyable way get educational too . I would certainly stay Grange City would recommend anyone . 
 Jun 21 2005 	 Grange City Hotel 	 nice modern hotel right around corner Tower London . room nice , large . nice view , b / c opt take room early tired need shower long plane trip . staff seem adequate . hotel clean . main issue really business hotel locate near financial district . Tower London really nothing around tourist . tube station 1/2 block away catch pretty easily . night area around hotel pretty quiet . hotel bar open late drink pub close 11 pm . 
 May 26 2005 	 5 star ? 	 not ever wonder actually give hotel star rating ? anyways , Grange City ok 80 pound night rate , dazzle unforgettable 5 star experience would expect , hey cost 80 pound get pay . want peace quiet room remember post & quot ; disturb sign & quot ; , not begin visitor every 5 minute knockin door , first maid , guy say come check refrigerator see eat pringle . whole checklist slowly thing refrigerator even though room , think 5 star . third visitor woman offer chocolate nice , definitely third visitor put sign . yeah put sign . oh another thing , stay away mini bar beer - although nice crack one open room , ai not worth price pay check . 
 May 13 2005 	 good value weekend rate 	 stay 6 night allocate spacious room view Tower London , Tower Bridge & amp ; Thames . bed comfortable , although blanket rather duvet . bathroom small bath & amp ; good shower , excellent molton brown product & amp ; bathrobe . excellent pool & amp ; good gym . location great work City tourist wish visit Tower , Tower Bridge , St Pauls & amp ; Tate Modern - all within walking distance . tube 2 minute away access rest London . let hotel food - the breakfast poor quality & amp ; expensive . sushi bar ok great . service generally good , unimpressed one reservation team take 4 phone call whilst deal mistake bill & amp ; apologise . summary , would recommend hotel weekend rate , overpriced week . 
 May 2 2005 	 Fantastic Modern hotel 	 partner come back Grange City wonderful previous stay . time even nicer . look newly build modern 5 star hotel grange you . the room big average london hotel extremly comfortable bed , cd player , large marble bathroom . continental breakfast perfect morning.also mention location , look tower london , relax stay perfect , centre far . recommend friend book parent stay too . you get last minute deal website address £ 80 ( include breakfast W / e ) . attach photo room stay , take cam phone good quality hope help . 
 May 1 2005 	 perfect 	 hotel choose surprise weekend break fiance.he could not pick better.helpful staff , nice breakfast get 9 could bit wait.only downside local pub place eat open weekend monday friday train station right next door do not far go.would reccomend hotel anyone.by way people mention review 8th floor haunt , u notice ice machine room constantly make noise do not put noise certainly bogeyman . 
 Apr 26 2005 	 great value money weekend 	 stay grange city last weekend . really like location , step tower tube station 15 bus call many london sight ( also nightbus ) .the room excellent , huge bathroom , even c player room . room towards railway line next hotel find disturb all.the health club big pool nice , probably nicest ever see london . sure 5 star hotel understand opinion hotel side . staff helpful friendly . continental breakfast include rate 80 pound per night double . surcharge get english breakfast . like bar hotel , . nice pub restaurant walk distance next tower bridge old harbour area.i would definetly stay grange city hotel . 
