unique 	 love staff atmosphere Monaco ! relax , whimsical , great seat area throughout lobby lovely fireplace . wine reception 5:00 great touch , even serve hor d'oeuvre . Grand Cafe honestly good food eat , long time dine pretty extravagant restaurant . highly recommend hotel ! furthermore , great location two block shopping ! 
 always pleasure 	 stay long weekend November 2009 , eight year first stay . hotel keep distinctive guest room ( bright candy - striped wallpaper , dark wood furnishing ) excellent , personable service . free wireless internet ( join Kimpton loyalty program , easy free ) bonus , evening wine reception . location couple block Union Square right next Curran Geary theatre - people might jib proximity Tenderloin , fine . catch bus Golden Gate Park right across street . 
 Outstanding 	 say enough hotel . ' want spoil everyone find , ' able get room ' able afford one . wonderfully comfortable bed bath , breathtaking lobby , large fireplace lounge wine serve 5 pm coffee 5 ( great jet lag ) . 24 hour room service ( albeit somewhat limit wee hour ) ! ! incredible gym spa area . street Union Square action shopping restaurant . theater next block . one complaint would restaurant ( Grand Café ) attach . one order waffle one continental $ 40 . however , many place choose . everyone go Dottie ' around corner ( line door ) . olympic almost next door ' look like much good pancake ! give try . finally , car , park around corner 24 hour lot Taylor . see reason pay valet service believe work twice cost . 
 girl Getaway Weekend 	 5 fellow mom recently stay Hotel Monaco recently 2 night , satisfied . research many hotel ( 5 woman please , ) , relieve everyone thrill w / the choice . 2 adjacent room stylish fun . comfortable bed w /duvet cover good - quality linen . room spotless spacious big city . bathroom nice bright w/ Aveda product . location good w/ popular retail store w / in walking distance . service curbside desk absolutely excellent . Staff allow we leave car late afternoon , w / no extra charge . really appreciated , get car , find parking couple hour would hassle . problem arrive back hotel dinner Sat . night friend want dessert drink restaurant , rather lounge . approach maitre have , abrupt informed restaurant eat dinner . , despite many available table . employee 's credit , inform host 's behavior next morning , shocked , ask we would stay another day . unfortunately , get back home . , Monaco terrific hotel , definitely back ! P.S . small dog welcome . hotel even keep photo album canine guest ! 
 Sep 12 2006 	 Excellent Honeymoon Stay ! 	 husband stay wedding night terrible fiasco Inn Tide Sausalito ( awful place ) force we find another hotel ASAP . choose Hotel Monaco happy choice ! stay Monte Carlo Suite , look exactly , well , online . suite # 323 , two room , large floor ceiling window , fabulous fun decor , enourmous bed comforter , huge plasma tv , free wireless large bathroom elegant fixture two - person whirlpool tub . mention plentiful Aveda bath product , refill daily . everything stay top - notch . excellent customer service valet , front desk staff , room service staff , housekeeping . great wine hour offer free chair massage tarrot card reading . take advantage great time . also , offer large selection fine wine generous amount pour . we orede room service dinner wonderful . serve Grand Cafe locate hotel pleased . also offer nightly turn - down service nice touch . can not wait come back 1 year anniversary . keep excellent work , Hotel Monaco ! ! ! PS - would share photo room , look exactly one online . , website actually show get ! 
 Aug 27 2006 	 thoughtful Hotel 	 Rooms standard small size city , attractive fun decor . wine cheese even nice Chair massage cozy fireplace . bed comfortable Aveda amenity keep come back . resatuarant moderate pricey Brunch , worth great food convienant location . lot pillow towel room nice fitness center roomy indoor jacuzzi steam room . staff friendly helpful ( ask goldfish room go ! ) 
 Jul 25 2006 	 little disappointed ... okay lot disappoint 	 agonized day hotel pick SF Union Square area . without ever set foot Chancellor , wish have stay instead . pay $ 240 plus tax ( & quot ; bargain & quot ; AAA rate - thank goodness not pay parking ) , etc per night queen canopy room . know room would small , problem . cute , view nothing whatsoever , fine . however , request goldfish upon check - in guy look little distressed promise one would room later evening . course , not . next day either . really peeve hotel like advertise heavily website literature fun little thing like available not deliver promise . upon checkout , nobody ask everything okay , , would certainly tell goldfish . suppose sound silly , look forward Monaco experience much feel let forget simply wear short T - shirt . man check unfriendly , guess not look like wealthy like many hotel patron . people friendly enough , get overall snotty vibe place definitely will not go back , recommend other . surely well place stay amount less SF Monaco . 
 Jul 13 2006 	 Awesome Hotel ! ! 	 husband take quick weekend trip San Francisco soooo happy hotel . small , perfect . stay room 310 , room totally quiet- not hear sound . view , quiet . bed comfortable staff great . stay . highly recommend ! 
 Jul 10 2006 	 Great Location Fun Decor 	 great weekend San Francisco Hotel Monaco meet expectation . great location near Union Square , art gallery public transportation . sure room small 's SF - much time go spend room great city ? visual artist find decor entertaining . find great rate well many Union Square hotel . 
 Jul 4 2006 	 Super Luxe Pet - Friendly Hotel ! 	 come California World 's Ugliest Dog contest , spend last night San Francisco . check front staff super nice give dog , Lucille Bald , dog cookie . let we know complimentary Wine Cheese happy ( yappy ) hour 5 pm gorgeous sit room lobby . huge fireplace lot sitting room . People really nice fun talk to . our dog welcome join we really fun . 4 well - behave dog enjoy luxury hotel & amp ; happy hour owner . hotel absolutely gorgeous decorate beautifully eclectic mix . the pet - friendly room 7th floor really nice . bed linen top notch bathroom big really clean . nice waffle weave bathrobe available Starbucks coffee . the gym really nice great cardio equipment . eat dinner Cafe ( hotel 's restaurant ) impressed . service food excellent ! complaint entire stay smoke room 7th floor could smell smoke hallway . , hotel experience incredible would highly recommend ! ! hopefully Kimpton hotel expand Florida area soon ! 
 Jun 26 2006 	 Best San Francisco 	 property strickly class act .... property stay San Francisco . fiance ' first visit love . curb Bell Captain , reservation room ... top notch . great Spa , Grand Cafe AMAZING banana cream pie wonderous Pastry Chef Anne Blanchard . generally stay Ritz Carlton Hyatt property , Monaco league . watch swirl activity street feel like castle ... can not say enough hotel . good part ? find three year ago visit TripAdvisor ! ! 
 Jun 4 2006 	 nice stay Monaco 	 recently stay Monaco Memorial Day Weekend good friend . Rooms- small comfortable . stay junior suite . size size normal hotel room . would want small room . decor cute nice large window could sit . bed comfortable . stay near elevator do not hear noise . area - ever decent size city ; comfortable . never feel endanger . Dottie 's great breakfast ; wait 45 minute ( get around 9:15am ) . block great shopping . also accessible via BART . rode train airport walk hotel ( $ 5.15 trip ) .staff - staff amazing . greet we everytime arrive sightseeing . wise we well everytime leave hotel . concierge exceptionally knowledgable . overall - stay next time return city . 
 may 15 2006 	 business traveler prefer boutique 	 frequent business traveler , seek small , unique hotel amenity prefer - gym / spa , comfortable bed , quiet - additional small touch make stay much enjoyable . , day meeting - joy stay ' down time ' . Monaco especiallly good job , fair price , highly competitive SF hotel market . arrive Sunday afternoon , 12 hour flight delay . hotel provide first 8 hour sum return Monaco . Gym / spa - like many hotel , gym small , sufficient want lift weight , 3 plasmas look . cardio , bring running shoe head North 4 block Nob Hill , enjoy great Bay view PLENTY cardio hill . good part gym back - spa great steam room , whirlpool , hot sauna , small , quiet Zen - like environment . thank put lemon drinking water . comfort - ask upon check , receive $ 30 , deluxe upgrade - 's worth every dollar get sofa extra sq . foot . ' m 6 ' tall mini claustophobic . Sign Kimpton Intouch book . nice personal note Staff , tall bottle water chocolate wait room upon check - in - example extra detail boutique provide . king bed firm , yet comfortable , plenty goose pillow . free , fast WiFi , attractive decor add comfortable room . Quiet - noise , room 4th floor face Geary . window shut , sound proof adequate . go sleep 10 pm first night never traffic guest wake . guest see old , 20 something seek hip club - stay street Clift . touch - lounge area complimentary wine cheese afternoon Starbucks coffee tea begin 6 be , complimentary WSJ SF Chronicles floor elevator , daily bake cookie front desk , staff consistently friendly - typical empty attitude get large hotel ( New York ) .Neighborhood tip - want breakfaxt 7 am , take right , go 2nd light , turn Rt Lori 's Diner left - California omlet especially good . get great haircut meeting $ 9 - turn left door 1 block , cross Jones . 's leave , 1/2 way block - say $ 9 window . will pass 2 salon way - one $ 25 , $ 30 - keep walk - nice korean woman great job 1/3 price . like Thai ? leave door , 2 block right . Osha name . cheap good - bring BBQ Duck noodle soup back room . 
 May 8 2006 	 Cute 	 stay quick getaway . impressed moment walk lobby . 's lot attn detail decor . staff extrememly friendly helpful . room cute - small decorate feminine touch ( stripe polka dot , pastel green brown ) . complaint gym , unexpectedly small . overall , good stay . 
 Apr 29 2006 	 small 	 spend 5 night small room . could not even get coffee maker . otherwise staff great . complaint fussy , snooty maitre have restaurant seem happy make people wait - the guy jerk . 's expensive yes , ' ve make look attractive need space turn around . 
 Apr 26 2006 	 great service noisy 	 fiancee celebrate last weekend start medical school stay downtown weekend . Monaco absolutely beautiful , find service high quality . unfortunately , night noisy neighbor ( front desk inform different guest 2 night ) , mean 0 2 relax night . could clearly hear wall , bang door middle night shake wall headboard . would expect expensive hotel . 
 Apr 25 2006 	 nice hotel 	 ' ve stay Hotel Monaco several time everytime always enjoy stay . room , small , comfortable nicely appoint . staff always friendly accommodate love extra perk like wine & amp ; cheese hour , tarot card reading , massage , etc . ' ve eat restaurant time , although breakfast good . hotel location can not beat , everything within walking distance . would certainly recommend stay ; 's choice whenever ' m SF . 
 Apr 17 2006 	 like home away home 	 four - day stay Hotel Monaco fabulous . San Francisco attend conference , want place quiet comfortable . accomodation request , make month prior centralized conference coordination system , ask non - smoking room far away elevator noise - make device ( like electrical / mechanical room ) . hotel , request rarely grant ( ignore entirely ) . even though Hotel Monaco book solid check -- late , since flight delay -- reserve room ideally locate , per request . amazing ! hotel staff courteous , friendly , pleasant . atmosphere welcome , rarely feel relaxed hotel . come back room hour session , sit fireplace lobby , feel like return home rather return & quot ; hotel . & quot ; 
 Apr 11 2006 	 funky girl fun ! 	 daughter spend 2 night first week April ( rain whole time- retail therapy need ! ) love everything ! room cool even Goldfish & quot ; Belinda & quot ; sweet touch ! love wine taste Tarot Card reading unique right ! hope come true ! fun share ! near shopping provide we umbrella even . regret last morning discover Zen - like jacuzzi , Sauna Steam room . wished have check first minute would ' ve hang . Business Center could ' ve check e - mail not investigate . get good price ( think anyway ) Yahoo worth every penney ! stay again- can not wait go back ! eat breakfast Grand Cafe yummy . 
 Apr 7 2006 	 Excellent Hotel ! 	 stay Monaco one night April 6 . impressed moment walk , especially light fact stay previous night SF Mariott ( avoid hotel ! ) . 1920 's building nicely decorate Kimpton style , trendy well think . room small , exquisitely furnish queen canopy bed , DVD & amp ; VCR player , plus excellent stereo . everything hotel stylish ! host free wine & amp ; cheese party every evening 5 pm , free coffee newspaper morning . highly recommend place ; be one good San Francisco ! 
 Mar 28 2006 	 Excellent Hotel 	 stay 3 night WOW Whiskey event . surprise one comfortable bed ' ve ever sleep . large Bathrooms . staff good , line wait . convenient business center second floor workout room small equipment need . convenient Walgreens right across street . would stay . 
 Mar 16 2006 	 impressed room 	 location we great $ 423.00 night particularly impressed Monte Carlo Suite . carpet look dirty , drape drab couch uncomfortable . enjoy , however conceirge service fact able use spa ( highlight stay . ) bed probably comfortable ever lay upon nice flatscreen tv separate guest room . not think amount money necessarily worth ultimately get beautiful view Walgreen 's bum wander . 
 Mar 15 2006 	 Great Hotel 	 second time stay Hotel Manaco . service great , location perfect theater , shop restraunt . room clean tastefull decorate . ' ve stay place city feel not need try . ' ve spend less not find well . two thumb , will back . suggestion , go plan return , pay join & quot ; inner circle & quot ; receive bottle wine , choclate cover cherry free upgrade . feel special : ) 
 Feb 16 2006 	 Trendy Gem 	 stay Hotel Monaco around Holidays family really enjoy . hotel decorate tastefully trendy style . lobby common area particularly impressive . room large , comfortable . like common area , room decor interesting well do . give hotel staff high mark courtesy great attitude . entire staff go way helpful make stay pleasant experience . read review , somewhat concerned area around hotel . stay , actually like hotel 's close proximity great shopping Union Square feel area relatively safe . area block away hotel somewhat run , avoid parking hotel lot concentrate excursion Union Square side . would definitely stay Hotel Monaco next time ' m San Francisco . afternoon wine tasting free massage add great experiance . 
 Jan 16 2006 	 nothing special 	 stay $ 400 per night suite weekend SF dissapointe . room small stain drape , carpet duvet . ran toilet paper middle night tissue box also empty ! spa tub crack glass shower door come shower ! noisy & quot ; view room & quot ; overlook wallgreen yell steet people . will never go back . 
 Jan 13 2006 	 ... like ROYALTY 	 WHIM , BOOKED HOTWIRE ... delighted ! ! expect PLEASANT SURPRISE ; Hotel Monaco treat husband royalty ! celebrated husband 's birthday beautiful . amid bustle busy shopper city highlight dine dancecd romance , love ambvience 5 star service . will definately return ! 
 Dec 27 2005 	 great colorful hotel ! 	 Briefly return old workplace , choose Hotel Monaco b / c close destination rank well tripadvisor . although skeptical surround neighborhood first , disappointed . People travel pleasure could easily hop cab nearby Union Square , etc . the room clean nice amenity ( e.g . Wega TV , mini stereo , cordless phone , 4 poster bed ) . bed quite comfortable , notice noise room floor . entire hotel 's colorfully - theme wallpaper decoration give youthful lively feeling . much well run mill , depress mid - level hotel ( check hotel 's website photo ) . staff friendly , valet parking not cheap convenient . thank go previous reviewer instill confidence pick Hotel Monaco . definitely enjoy time , pleasant experience overall . would recommend traveler , pay room , can not say much bargain . 
 Nov 11 2005 	 Self - Service Hotel 	 hotel deserve praise try whimsical unique compare many & quot ; cookie - cutter & quot ; hotel . stay friend 's wedding , part & quot ; block & quot ; reserve discount room . deluxe queen 4th floor comfortable bed , well furnished . stereo nice touch . view dumpster , expect much since pay suite . still , light good . downside smell cigarette smoke come heating vent . bother we minimally since not room much , upon return , think housekeeping smoking room . realize problem hvac system smell become bad turn heat . the service friendly , overly . concierge offer excellent recommendation meal . front desk bell staff accomodate request , except forgot goldfish request . 
 Oct 5 2005 	 comfortable SF Hotel 	 spend 3 night Monaco . ask quiet room , quiet room near Union Square ' ve ever . comfortable king bed comforter feather pillow . european size room , comfortable place park reasonable price downtown SF area . evening wine cheese nice touch ; morning paper deliver room . room coffee maker starbuck coffee packet . offer AAA discount rate . 
 Oct 1 2005 	 Great Hotel 	 stay hotel book direct ' hot Dates , Great Rates ' offer make absolute bargain . 's great location Union Square cable car , although be quite close slightly rougher Tenderlion area . hotel staff helpful manage enjoy complimentary wine / cheese / cookie day . room comfortable , quite luxurious . not eat restaurant room service breakfast one day , excellent pricey . overall , ideal base fantastic 5 night stay San Francisco . 
 Sep 23 2005 	 enjoy stay 	 stay four night whilst tour California . lovely hotel . suite rather luxurious . I agree area bit scary detract lovely stay San Fransisco meet nice people enjoy wine cheeseI would return 
 Sep 22 2005 	 Excellent except one thing .... 	 stay 2 night September 7 8th . lovely room . staff accomodate friendly . food restaurant good room service great ( although bring one butter 2 order ) . 2 complaint - sink area bathroom minimal . enough room one person , let alone 2 people put toiletry , everything either keep counter overnight bag . complaint bed really uncomfortable . husband horrible backache get first morning . say something staff apologetic . not replace mattress , think flip . somewhat well second night , still great . would still stay loved room , staff location . would hope well bed ! 
 Sep 21 2005 	 right hotel wrong location 	 second husband step front door love Hotel Monaco . capable desk staff foyer ambiance hotel near perfection . king size corner room large new bath jacuzzi tub seperate shower . room elagantly decorate slight whimsical feel . afternoon complimentary wine service , morning coffee service , yoga / relaxationCD 's room , nice linen ( pillow small ) , free ten minute massage , tarrot card read wine serve . aware cost parking car overnight $ 45 . room taxis cause price jump significantly . ask taxis make reservation . two night San Francisco enough time . now negativesthe hotel two block Union Square two block & quot ; tenderloin district & quot ; . walk direction market street find surround drug / alcholic element . every corner near hotel least one person stick dirty paper cup face ask money attempt get eye contact . walk past nasty / sarcastic comment would follow . comedy club Broadway venue ( golden gate theater ) show Anniewere right heart area . safe night . S.F.P.D find . pan handler take . 
 Sep 16 2005 	 Loved Monaco 	 spend 5 night Monaco anniversary break . everything expect . room spotless comfortable little compact . service excellent . concierge , bell hop , doorman . eat Grand Cafe reason restaurant booking drink find 4 drink $ 50 little steep . location excellent 5 minute walk Union Square . walk dottie true Blue Cafe breakfast . two block away move less sophisticated part town , problem . definitely go back . 
 Sep 7 2005 	 good deal Town ... 	 find Monaco charming little hotel . moment pull curb every need attend . room lovely , nice decor , comfy mattress . think reasonably price location service . Monaco locate within easy walk distance Union Sq . shopping area , border seedy part town . also go Dottie 's true Blue Cafe breakfast . get 8:30am - ish wait 15 minute seat . bit disapointed read high praise site . french toast delicious , not super special . positive note , use real maple syrup important . also reasonably price . would go back Monaco ? heartbeat . 2nd favorite hotel little coastal trip . stay ( order preference ) Albion River Inn ( Albion ) , Monaco , Hotel Vitale ( SFO ) Ramada Inn Dry Creek ( Healdsburg ) . 
 Sep 7 2005 	 Monaco good . 	 spend two night Hotel Monaco , San Francisco . surprise wife 's birthday . come East Coast , arrive early ... around 11 hotel . room ready , fine . available ask time around 3 pm . Stayed Monte Carlo Suite sleeping area sit area . room good condition whimiscally stylish . extremely bold . gentle subdued color . bathroom large sink tub / shower . guest service good overall . polite courteous . question request well handle exception request new battery safe , could re - open long time battery . never rectify . comment , really like turn service feel provide price range ( $ 375 ) . hotel convenient theatre , shopping , etc . would stay . 
 Sep 5 2005 	 Loved Hotel Monaco 	 stay one night Monaco . Wished could stayed long . hotel great location , convenient Union Square shopping , museum , cable car , restaurant , etc . impress immediately walk lobby . decor beautiful . room spotless also beautifully decorate , although bit small side . comfortable king size bed room quiet even though second floor near front entrance . bathroom adequate size Aveda bath product . everyone hotel friendly helpful . morning coffee wine cheese hour evening nice . enjoy use exercise facility hot tub . restaurant decor lovely , not eat . breakfast , try Dottie 's true Blue Cafe one block hotel . plan stay Monaco next time be San Francisco . , 
 Aug 26 2005 	 Great Hotel 	 stay Monaco 5 night . Aug 10th 15th . ' m happy report expectation exceed . compare feel Monaco 's public area room would expect & quot ; W & quot ; service Ritz Carlton . stay Junior Suite give we plenty room stretch , free wireless internet bonus , honor bar in - room sundry shop . complimentary morning Starbucks paper lobby lounge afternoon wine reception complete mini - massage tarot card reader special treat . even provide hot baked cookie reception desk check - in check - out . doorman always open door hail cab anywhere need go . feel value get spend worth every dime . rate pay $ 239 per night include parking suite sized room . 
 Aug 23 2005 	 great staff 	 return two night stay Monaco book Expedia . rate good true sign going get small room corner . fear upgrade room suite directly hotel felt still get great deal . hotel average great bedding , pillow comforter room spotless . great Union Square location . restaurant good avoid . son order room service morning arrive timely hot ( scrambled egg ) . staff however , always polite greet name . afternoon wine cheese ok massage free , staff tell & quot ; recommend & quot ; & quot ; donate . & quot ; fine front . cookie other rave , could not find never put time specify one time find find empty plate never stock . staff sell point hotel . 
 Aug 22 2005 	 Spiffy every way ! 	 ' ve stay usual suspect S.F . be commit Monaco exclusively . got great rate include parking directly hotel website . staff sublimely professional gracious every way . revelation ! 's pretty hotel . complaint room really tiny , although try hard upgrade we complain . next time will book large room , absolutely next time ! 
 Aug 15 2005 	 Excellent hotel ! ! 	 come back four night stay Hotel Monaco . family four enjoy stay . hotel beautifly decorate immaculate condition . stay 7th floor . quiet , would think hotel ! room bit small four we , expect city hotel . bathroom however big spacious . Decor unique bright . drawback area although never feel unsafe , lot street people area . think basically apply union square area . eat Loris diner block away several time . food basic excellant . try go Dottys one morning lineup long . problem recommend hotel look nice place stay . 
 Aug 14 2005 	 Excellent Smaller Hotel 	 wife stay 5 night hotel . get great price Priceline . hotel spotless staff friendly . room little small side , comfortable adequate . find hotel quiet . wireless internet service little weak , able use ( free ) . want something downtown , convenient Palace Hotel , wife attend convention . 's 3 block Union Square major shopping . palace 6 block , plenty restuarant within walking distance . also walk Chinatown . get bearing desk clerk , area nearby avoid . without car first 3 day $ 39 valet parking fee hotel , really not drive anywhere . rent car couple day could drive Carmel Napa . plenty car rental place within block hotel park overnight $ 12 garage block half away . get around work well . try restuarant breakfast , good . general , restuarant downtown expensive , meal good . overall , good experience . would definitely stay . 
 Jul 24 2005 	 Perfect ! 	 husband reserve suite birthday Hotel Monaco beautiful . attention detail key . chocolate chip cookie front desk arrive , monograme towel bathroom , great bath product , complimentary wine & amp ; cheese hour ( free massage time ) , fresh flower bathroom , comfortable bedding , cool robe list go ! husband arrange 3 bouquet flower deliver room . exceptional . florist use world ! dinner Grand Cafe inside hotel . also amazing experince . seem though everyone hotel remember birthday everything could make extra special . pet lover even though Hotel Monaco pet friendly decide bring dog place able get gold fish bring room temporary pet . nice touch ! WONDERFUL place surely go back . splerge suite .... will not regret . 
 Jul 20 2005 	 Nice hotel - horrible internet service 	 Nice hotel Kimpton property horrible wireless network ? able receive wireless signal room , service provider idea access point can not change room ' m check email hotel lobby . 's ironic morning 3 green bar 2 yellow one ; exact place ! clue issue . 
 Jul 13 2005 	 Great Anniversary Weekend 	 Monaco need . book Executive Monte Carlo Suite great . jet tub huge washroom . sound proof great window gorgeous ( even little window seat ) . hear regular hotel room tad small peak one look nice cozy . we order room service first morning arrive 20 30 minute state . room always nice tidy get back day . wine cheese hour nice touch morning cookie . oh , must not forget since anniversary bottle champagne wait us room . I would easily recommend hotel anyone . 
 Jun 21 2005 	 Hotel Monaco 	 stay two night Hotel Monaco , prior week trip Napa Sonoma . love hotel . room king size bed , decor great . fresh baked cookie reception wonderful ! common area really comfortable , lovely decor . location nice - easy walk Union Square . walk Chinatown twice , without feel tired ! late flight back Houston trip Napa . even though not stay Hotel Monaco ( check previous Sunday ) , check luggage coordinate get town car take we airport , could go dinner one last time city . would definitely stay hotel . 
 Jun 15 2005 	 will back ! 	 return 5 night stay Hotel Monaco , 6/4 - 6/10/05 . love ! concern previous post bed linen run room small . book two room 5th floor find absolutely charming . book room two double bed one king . 's true room small , charming size not bother . linen definitely run . find staff delightful . past reviewer complain complimentary tart card reader massage therapist complimentary . favorite part stay hotel . yes , actually require fee 's fun remember , not use service . afternoon wine , cheese cracker , olive , wonderful way wind afternoon . actually would plan day able make . find guest attend friendly fun meet other hour . warm cookie serve front desk 5:00 6:00 delicioius . different cookie every day . go , Dottie 's must breakfast . love breakfast place part hotel . one couple block hotel , great area , get past be great start day . food fabulous . everything bake premise . 's tiny place , be always wait door , seem move quickly . close Tuesdays . stay Pan Pacific previous visit find Hotel Monaco cozier , friendly overall well experience . not pass place ! 
 Jun 13 2005 	 amazing fantastic sublime - hotel hook ! 	 base friend 's recommendation , mom decide stay Hotel Monaco . could please ! hotel GORGEOUS ! staff - mean every single staff person deal waiter cafe , bellman , well - suit gentleman wait front escort bag inside open door , folk front desk , concierge ( especially & quot ; Angela & quot ; one nice , organized individual ' ve ever meet ) , maintenance staff - everyone pleasant , friendly , unbelievably accomodating . the boutique - sized room beautifully decorate - would call decor & quot ; classically funky ( mean & quot ; funky & quot ; good way ) . & quot ; bed lush comfy . good shower pressure Aveda product bath . the free evening wine happy - hour relax way unwind ; generally get back day tour , lovely & quot ; living room & quot ; perfect place stop kick back half - hour so . the cafe offer reasonably price dining option , sculpture decor offer lot eye - candy . and yes , believe staff tell visit Dottie 's french toast . really amazing , not get 7:15am might wait . greek breakfast place okay decide sleep get Dottie 's decide wait . Max 's street also good alternative meal - 's lot food tho ' ! ask Hotel Monaco concierge & quot ; lady make mistake booking 1 day Yosemite / Sequoias tour Extranomical Tours . & quot ; & quot ; woof & quot ; tour ! closing , can not think anything would change Monaco . stay make trip extra special , 's Kimpton ( chain name ) hotel city visit , would definitely consider stay ! 
 may 25 2005 	 weekend remember 	 stay Monaco & quot ; date weekend & quot ; May 21 . moment check departure , treat like vip . Kimpton hotel , Monaco one , take excellent care guest . beautiful small suite king bed , couch , coffee table desk . bathroom jet tub . welcome note fresh fruit wait us room arrive . room quiet night , would never guess middle big city . read Sunday paper big easy chair front lobby fireplace , brunch hotel 's Grand Cafe Restaurant , excellent . hotel couple block Union Square , spend leisurely Sunday afternoon shopping . great San Francisco experience ! 
 Apr 29 2005 	 great hotel 	 spend week - end Hotel Monaco , wonderful time . location great , two block Union Square . package include valet ( $ 30 value / per night ) .The staff great , welcome complimentary wine cheese tasting . but good part room . decoration extravagant , could rent pet gold fish night ! anyway everything room clean , top - quality , like granite wood bathroom . I also like fact stereo room complimentary cd . a great experience overall . 
 Apr 29 2005 	 perfect stay 	 stay Monaco April 17 - 20 visit nearly perfect . arrive 1 pm pleasantly surprised learn room ready . comfortable luxurious linen . order room service first evening delicious deliver quickly . eat Grand Cafe , walk .. be beautiful bustle business . common area fireplace lot comfortable furniture . great place mingle Happy Hour .. read relax . concierge helpful , enjoy able access e - mail Business Center ( small charge ) . hotel completely meet need . attend conference encourage stay Marriott Hilton - one speak happy Monaco ! 
 Apr 7 2005 	 Pet - Friendly Hotel 	 reason choose stay Hotel Monaco allow ( cater ) pet . moment arrive , staff guest shower dog attention . concierge get we great seat SF Giants Opening Day game want arrive game early , allow check - in hour early problem whatsoever . plus , charge $ 85 per ticket go rate online least $ 250 piece . arrange pet - sitter great dog . Junior Suite $ 339 . like rest hotel , beautiful every way . bedding , particular , luxurious . 7th floor ( understand 's floor pet room locate ) . except street re - pave outside occasional beep car alarm , quiet . not take advantage nicety offer , complimentary town car , notice other definitely enjoy feature . 3 block Union Square , patch grass around dog feel comfortable enough potty . although location superb daylight one comfortably walk around enjoy fabulous gallery hotel Union Square , night different story , not walk around alone unaware night . want stay dog , order room service Grand Cafe . discover hotel 's room service menu little weak , request menu Grand Cafe . 1/2 hour , delicious duck deliver door . find wonderful hotel bring dog , return San Francisco every chance get . 's also good hair salon block away , Stephen Saiz Salon . ad phone book say rank one top ten salon country . Veronica give good haircut ' ve age . will back ! 
 Apr 4 2005 	 wonderful San Francisco Experience 	 arrive Hotel Monaco fly across country well check time ( noon ) . staff greet we warmly , helped put bag luggage storage area promised get back lunch friend walk around room ready we . once get check upon return , 4 pm , assign suite luggage brough room . could happy ! room great size , spotless staff respond every question . we also take advantage & quot ; rent & quot ; gold fish program , feel nice unique touch . we would absolutely stay Hotel Monaco . 
 Apr 3 2005 	 Perfect San Francisco Hotel 	 return Easter trip . family pleasantly welcome door man & quot ; Ken & quot ; give we tip area chat like dear friend . next approach front desk , greet warmly ! sweet & quot ; Benji & quot ; take we room ( home- sweet- home next 4 day ) request gold fish 8 year old daughter . thrill & quot ; Spacehog & quot ; thank ! ! amazed warm greeting ( name ) time pass staff . room charming style . great wine hour . nice restaurant . perfect hotel ' m picky . Tuscan Inn MacArthur Place could learn place . Miss Monaco already ! 
 Apr 2 2005 	 nice decor 	 Nice decor .. standard Marriott . big complaint room TINY ! ! ! stay get good deal , otherwise , go elsewhere . 
 Apr 1 2005 	 good showing age 	 return second stay Hotel Monaco last year . first visit impressive - great staff , sparkle room exquisite service . time visit little humbling . staff remain friendly , seem gap communication front desk housekeeping , valet , etc . addition , suite show distinct sign wear . furniture little stain tattered , trim look little worn . place , would expect , expectation Monaco always high . Monaco continue offer complimentary evening wine cheese hour ( feature tarot card read neck / shoulder massage ) . little extra make Monaco unique , expect well - equip fitness facility disappoint cramp , almost dangerous , workout area . the location great , staff wonderful , room small . accept condition , Monaco . fond Monaco , probably look elsewhere next time visit San Francisco . price , room need reflect taste charm make Monaco unique . recent visit , charm miss . 
 Mar 31 2005 	 Satisfactory every way 	 recently stay Monaco five day find satisfactory every way . strike one immediately stylish decoration place . one reviewer remark early , one place look even well picture web site . but addition room comfortable , everything work ( not , be fix promptly ) , staff friendly helpful . 's true regular room bit small , else one expect major city reasonable price ? junior suit much spacious , face onto Geary Street , mean street noise , mask heating / cool fan be noise sensitive . there amenitie room not expect ( like half - way decent fm / cd player addition standard clock radio magnifying mirror bathroom ) , impress . someone , seem , actually try make stay comfortable . the Grand Cafe quite good restaurant , way . breakfast several nearby place , breakfast hotel turn well . hotel two block Union Square , heart downtown SFO , place would like often . hope will back . 
