sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Jul 18 2006 	 Brilliant Hotel 	 stay hotel twice now . my partner take last year birthday love much go year . the hotel brilliant location , close tube station Oxford Street . every within walk distance London eye 10/15min away . I stay superior room expensive standard room big get massive shower . the problem shower do not get hot enough . we pay £ 500 2 night . one downside cost £ 40 day park car that s London price ! ! first night room service dinner . it expensive £ 20 fish chip food brilliant bring within 30mins . little extra 's like table bring flower table nice touch . the mini bar price expensive would advise walk 2 min street Tesco get snack . if dinner expensive million resturant within walk distance good price . the first morning birthday breakfast room . at £ 24 silly amount money afford would recommend it . you get way much eat good breakfast I ve have . worth £ 24 , maybe excellent same . as birthday partner get staff make cake bring room really nice . ( extra charge , would not tell much ! ! ) spend evening bar pricey , £ 9.50 cocktail . not really kind place like gentleman bar mostly business man , hear piano play reception really nice relax busy day 's sight seeing . we leak room ceiling report reception 10mins later maintence man came fix straight away . at 11.30pm feel hungry order food bring promptly 20mins quality food still excellent . the hotel busy street hear traffic room . the air conditioning room well ever experience . nice touch like weather chart , free water free newspaper make hotel special . on departure express check rush give excellent direction get back motorway . overall good hotel ever stay in . yes pricey afford not . I definetly go back ever leave , I m always sad go . the downside , personal note partner young . he be 21 I m 19.at hotel mostly old ppl sometimes feel like looked think afford ! ! beautiful hotel , excellent attentive staff , definetly 5 star . oh forget bed comfy . you sink bed . I want one ! 
 Jun 22 2006 	 good 	 stay hotel last weekend wife another couple . quite honestly say stay faultless . room pretty average size London hotel beautifully decorate amenetie would expect five star hotel , plus amazing bathroom . hotel two bar , use ' St James ' bar relax large leather sofas real fireplace . location great , right next leicester square , plenty bar restaurant right doorstep . Breakfast Brasserie Roux ( hotels restaurant ) wonderful , good egg benedict ever ! ! lovely weekend away London definately return Sofitel St. James far exceed quality five star hotel stay London . 
 Jun 21 2006 	 live expectation 	 property certainly meet high expectation stay recently . room service level high much talk bed duvet treat . would recommend people want stay St James area comfortable pay relatively high room rate . rate though reasonable give market . gym small access gym next door compensate . change room air conditioning work accomplish without issue . 
 Jun 1 2006 	 Fabulous Hotel -- great location 	 spend hour search net hotel good rate fussy . well , Sofitel St. James FABULOUS ! concierge incredibly knowlegeable helpfull . hotel full make early morning arrival , front desk get we room 9:30 check we early . Fellow check we recognize we evening ask rooom . room large , well appoint , lovely bathroom , lot extra , water bottle nightly , slipper etc . comfy bed , luxurious ! dinner restaurant food excellent reasonable , though weekend dinner special rate , set menu . sure also available week . fabulous would recommend go weekend & quot ; regional menu & quot ; ... French ( 24 pound appetizer , main , dessert , two glass wine , coffee ... really bargain ) also , hotel excellent rate weekend , 120 pound . Weekday rate high though . location perfect , minute walk Trafalgar Square , St James palace Piccadilly . highly recommend hotel . 
 may 29 2006 	 Excellent … try afternoon tea ! 	 return two - night stay Sofitel St James London , pick reading review , would mirror comment page . lovely Hotel right heart London attentive , professional staff small comfortable high - class room . expensive order room service sample lovely afternoon tea ( hey … I holiday ) feel much choice outside door ( area overflow great restaurant bar ) never spend money hoteli get reasonable rate room 160 pound sterling although stay cheap Hotels London modern set - up ( Plasma tv even pay - for - view ) hotel ideal quick getaway near everything would want see London two day defiantly consider . 
 may 22 2006 	 nice expensive 	 stay Sofitel St James regular basis business reason . the hotel perfect location , 2 minute away tube station . hundred bar , restaurant , theatre doorstep . the hotel nice room , afraid stay front room , well soundproof definately hear street noise all . room pristine condition , comfortable bed whole London . luxurious bathroom ( shower bath separate ) good amenity . turn service every night . staff rather freindly professional . Usualy efficient every request . but despite new hotel find Plasma / LCD tv screen , neither demand video , neither dvd player , experience lot problem internet . wireless either . definately late technology priority . and wish bring kid , do not forget playstation find one . guess business hotel leisure ( althought perfect leisure stay ) .But disapointe 's price room service minibar . Basicaly company pay charge . recently HQ run audit expense find bill increase . find surprise like bowl cereal £ 4 £ 6 still product nothing change increase 50 % , breakfast go £ 21 £ 24 .... ! Minibar charge £ 3.90 Coke , celebration chocolate30gr £ 7 ! want drink /snacks tesco road offer 1/3 price.nowaday breakfast pricey . well money waste , go room service , service efficient / fast high cost . anyway recommend Sofitel St jame . hotel true jowel heart London go . careful extras ( minibar ) 
 May 22 2006 	 Gorgeous Peaceful Hotel Great Restaurant ! 	 Husband take part theatre break birthday present June 2005 . initially look like course disaster hotel claim currently clean room available price pay offer upgrade insistence make good booking room suddenly become free . impressed hotel price husband pay priceline . bedroom reasonable size ( London ) bed soooooooo comfortable . we pre theatre dinner deal restaurant go see show . food price amase rib husband ever since take back . the small detractor cost drink hotel bar everything else perfect could not complain ! 
 May 15 2006 	 luxurious quiet oasis heart London 	 return 4 - day vacation . hotel live great review . large , comfortable quiet room , polite knowledgeable staff ( friendly intrusive ) , spectacular location . ( bathroom great - good water pressure hotel many year . ) look quiet , luxurious efficient retreat , place . ( , look bustle & quot ; hotspot & quot ; . ) also , like thing London , quality come cheap . ps- drawback pricey breakfast - skip , several excellent cafe block wonderful cappucino fraction cost . 
 Apr 21 2006 	 favourite london 	 travel London almost every week business . try many hotel area ( eg . & quot ; 41 & quot ; , cavendish ) think Sofitel far good . Likes- room navigable , clean modern design overload ( be easy find stuff spread room departure ) - comfy bed hotel ' ve ever stay ( Regent Berlin par ) - Terriffic shower - great location - friendly staff ( caveat : bar see ) , extend intrusive . like little bit anonymity : treat friendly fine . feel oblige small talk lady reception go far ( see & quot ; 41 & quot ; ) . - nice bar - good food- fast checkout- Professional conciergeDislikes- Expensive : lucky day get GBP210- get voucher welcome drink , bar man tend overly critical get . 's stupid . especially give room price . disappoi nt customer , not give voucher first place . - limited selection tv channels- care : pay TV- low quality beer mini bar ( picky , admit ) . whiskey . 
 Apr 7 2006 	 easily surpass high expectation 	 return States 10 - night stay start finish , everything spectacular easily superior recent weekend NYC Four Seasons . stay many London hotel , Sofitel St. James ' location superb close everything London . two - minute walk Trafalgar Square , Nelson 's Column , National Gallery , piccadily Circus top end Waterloo Place join onto Regent Street . Mall lead Buckingham Palace one block away , little Whitehall Westminster Abbey Houses Parliament Big Ben Westminster bridge cross south embankment London Eye ( big wheel ! ! ) highly recommend visitor try Eye one many cruise boat board along Victoria Embankment near Big Ben . Back hotel , quality service attention detail reception housekeeping magnificent well deserve five - star status . especially impressive friendly helpful consierge . star Danny truly stand - up chap go beyond call duty even remember name face - to - face time stop by . the deluxe room stayed tastefully decorate actually look well brochure / on - line picture . king - size bed truly comfortable ' ve ever experience four big pillow superb cover duvet - annoying top sheet . bathroom , , spectacular , , glass - enclose rain shower awesome . wife though prefer huge bathtub soft towel robe . room , attention detail little touch consistent day - to - day impressive . especially like benefit cordless phone very - easy - to - use voice mail system . plus , favourite mine in - room complimentary coffee / tea / hot chocolate daily newspaper choice . even hair dryer top quality . do not use somewhat pricey in - room fridge supply especially Tesco - Metro supermarket two minute walk road towards Piccadily Circus open late ' till 11 p.m. nightly plus vast wine / champagne selection too . other highlight often not elsewhere wait anything include fact hotel three individually decorate ( fast ) elevator . 24/7 gym adequate - depend weather , excellent walk / running circuit right outside hotel entrance . would nice , however , steam room remain open later 9 p.m. suggestion perhaps offer alternative large ( approx . 3'x5 ' ) canvas artwork adorn wall opposite bed modern block - paint style everyone 's cup tea definitely wake late night ! mention night life , hotel within easy walk distance many theater Leicester Square ( home rendevous good ice cream / yogurt / cofeee offer indoor patio seating ) . room window massive open fully feature excellent window treatment plus double - glazing make room soundproof night . would highly recommend Sofitel St. James business pleasure couple look luxury outstanding service not cut corner . thank wonderful stay . 
 Apr 6 2006 	 perfect place near Piccadilly Square 	 one good hotel ever stay . staff warm helpful . room impeccably clean - good size . bathroom fabulous - shower perfect . linen , robe , slipper lush . bed comfy . furnishing update , modern clean . absolutely noise guest room - stay top floor . Windows soundproof . great location near Picadilly Square many restaurant shop . beat path quiet street . we eat restaurant , menu look entice . 's quaint tea room near lobby . not go either guest tea look like nice relaxing time . 's also bar site look nice . I would definitely stay . highly recommend hotel . 
 Apr 3 2006 	 lovely location v expensive 	 great location , nice room sof bed ' ve ever sleep , exactly worth money . get good price , would recommend , list price maybe not . the harpist rise lounge great whilst coffee danish . 
 Mar 27 2006 	 gorgeous hotel ! ! ! 	 return hotel . book mum mother day . I say staff extremely professional room gorgeous . sometimes modern hotel leave room feel bit cold , room funky homely time . it true review say bed , like sleep cloud ! warn advise price mini bar . make sure check pig , present £ 20.00 bill 2 can coke , packet pringle little pot chocolate . on whole hotel amazing would definately stay ! 
 Mar 12 2006 	 Comfiest bed ever ! ! 	 stay executive room . lovely room / fabulous bathroom , immaculate . kingsize bed must comfortable hotel bed ' ve ever sleep ( imagine completely engulf fluffy , get picture ) . hotel great location entertainment - literally 2 min walk Piccadilly , 5 Leicester Sq , 10 Covent Gdn . not eat restaurant , can not comment , bar & amp ; snack ok . good breakfast room , nice staff . 
 Mar 11 2006 	 Superb Sofitel 	 stay Sofitel St James London 's Theatreland long weekend ( birthday treat ! ) , nothing much trouble excellent staff 5 * hotel . room lovely ; bed comfortable wanted take home ! breakfast , everything anyone could possibly want provide . even specialist diet cater Soya milk health food available , addition everything else English , american continental taste . breakfast service fantastic weekend , although noticed difference Monday morning , less staff , different ' workaday ' atmosphere constant refill coffee juice offer . apart minor point , love hotel ! would definitely go back ! ! ( Tip : find lot cheap book agent rather hotel direct price high ) 
 Mar 7 2006 	 superb room central London 	 Loved . comfortable , modern clean friendly service . room size much well room stay London . lady travel alone feel like well look ! 
 Mar 6 2006 	 highly recommend 	 look superb hotel amazing location central London , book St James . wife stay one night - good consider barricading room could not get we ! 's St James great we ( particular order ) : * bed . comfortable sleep anywhere . large ( king size ) definitely good . * shower . large overhead shower great water pressure . Perrin & amp ; Rowe manufacturer - good ' m go find get one ! * room . tasteful expensive decor , dark lacquered furniture . * toiletry . wife excite ; - ) * staff service . wife 's birthday , return room go food find delicious piece chocolate cake ' happy birthday ' make ice white chocolate wait we . thoughtful touch rarely find large hotel . * breakfast . Brasserie Roux . late , everything available fresh - delicious . 
 Feb 28 2006 	 small room many technical problem expensive 	 arrive 4 pm - & gt ; room available . got free coffee bar . Got roomkey 4.45 not work . go reception , get new key , not work either . 3rd try , not work . reception open room . go bathroom , sink plug . take 2 hour fix . blind not work well . alarm start 4 o'clock next morning . not say not set .. positive : design room locationprice / quality ratio terrible 
 Feb 21 2006 	 do 	 stay hotel least day month last couple year . stay business pleasure . love can not fault , want give point might help other make choice . the room staff excellent . highly professional , friendly unobtrusive . true , world , mainly France North Africa , ? 's french hotel try keep identity instead become identakit international hotel . kudo . some point may interest : - nice female business traveller : many hotel feel like exception clear mainly cater business man . not feel , atmosphere lovely little thing like big , powerful hairdryer make feel less like ' m man 's world ! - bed world ; complete luxury . light , warm , fluffy ... dream . lot pillows.- room quiet peaceful ; fans AC turn easily.- Decor throughout tasteful . - Housekeeping excellent . always extra towel room two fabulous robe . evening turn - down service lovely , water , weather report card slipper leave . free bottled water luxury day ! - room - service quick & amp ; friendly ; - bathroom fabulous ; shower great ; standard room walk - in shower , even bath - tub powerful . - door - man lovely reception staff professional.- two year cause complaint , happily , can not say handle ! fact alone rarity natural thing go wrong time time.- even nice Sofitel New York ; decor , room staff . SLIGHTLY LESS wonderful : - trouser - press iron get hot.- room end corridor Piccadilly side hotel little noisy seem air - vent run wall point.- Piano play 1st floor evening room near , sound penetrate.- Lighting subdue ; like lot might everyone 's liking.- bar ok , bit small , nothing get excite perfectly fine . 
 Feb 20 2006 	 simply fantastic 	 Excellent hotel kind staff . highly recommend . 
 Feb 20 2006 	 chic style location location 	 modern chic style unbeatable location make boutique hotel something special . although book Classic ( Standard ) Room truly exceed expectation . room ( 632 ) top floor situate corner building offer dual aspect , however view roof top back building - quiet . the room feature dark wood stainless steel fitting give modern feel , contrast perfectly old Bank building hotel house . Classic Room spacious big enough 4 day London . large Queen size bed , vanity table , write desk small easy chair . bathroom small elegant feature black marble sparkle glass silver fitting . bath shower combine . fault shower water drain fast enough bath mean stand water shower . the evening turndown service really well do individual bottle evian water slipper cotton foot - mat beside side bed , hand - write card advise next day weather forecast temperature . even relax music play radio greet we come back room evening . location great shopping sight - seeing alike . Piccadilly Circus 2mins walk hotel also close Tube station . fabulous restaurant Soho ( London 's chinatown ) , mention great theatre nearby . Trafalgar Square around corner shop Regent / Oxford Sts short walk . 15 - 20min walk take elegant store Bond St. the public area elegant well keep , Rose Room particularly beautiful , lobby . criticism , lobby Cigar Bar , smell quite over - power evening . this great small hotel excellent location , would stay again . PS . love shop great bargain , not miss visit Burberry Outlet Chatham St , Hackney ( tube Bethnel Green , bus Hackney Central , 5 - 10 min walk ) . Great Burberry bargain ! 
 Feb 15 2006 	 great central location wonderful room 	 London stay european business trip - wife accompany . immediately upon arrive front desk staff offer free upgrade room . room exceptional - large european standard ; lot closet space incredible bathroom . concierge staff friendly professional , go beyond expectation reserving table London restaurant . the negative , small one , somewhat aloof , indifferent , service lobby lounge . 
 Feb 13 2006 	 5 - star hotel 5 - star location 	 Reception : pleasant , cheerful friendly . overly well - inform : hear particularly well - know London department store . arranged concierge ring room info call come . price : reasonably good price obtainable booking line . 150 pound sterling approx . room hotel rank central London bad . room : automatically upgrade nice . superior room surprisingly spacious although perfectly comfortable clean . bed particularly relax . also respected request make booking , also nice . ask quiet room mean view brick wall , problem , room quiet . bathroom lovely , phone wall loo . showerhead impressive , bath tap design way water never hot . good range courtesy item . like turn - down service much next man please , dear hotelier , instead put tea - towel thingy floor bed turn light music ( scared life ) , please also arrange dirty cup glass remove wastepaper bin empty evening . minibar well - stock also terrify : touch anything computer system make sure pay . button door alert cleaning staff room free cleaning : mine work girl knock door 8.15 a.m. Breakfast : can not comment breakfast hotel . 23 pound head , exactly cheap cafe road . Decor : decor subjective - find bar foyer area predictable particularly distasteful , shocking pink sofas Rose Lounge bit hard stomach . location : could not better - within walking distance picadilly virtually equidistant National Gallery Royal Academy . would happy go back . 
 Jan 25 2006 	 Exquisite Elegance 	 hotel prefection every way . stay every time go London ( several time per year ) never disappoint moment step inside . late two stay month first grow daughter sweetheart . everyone speak impeccable English ( experience many employee british ! ) go way meet need . example : want sell theatre ticket couple night yes , premium charge obtaining , Concierge always find exactly need -- phenomenal seat , top . theatre request deal prior arrival solely email . danny , favorite concierge , always steer amazing restaurant . eaten true indian cuisine , ask tip . astounded . truly unforgettable . yes , place expensive . yes , drink outrageously price . everything , delicious gorgeous . floral arrangement alone die . love room amenity , slipper quality bath product . hotel invariably upgrade room roomy elegant . say enough show - stopper place stone 's throw action Trafalger Square , Picadilly Circus , upscale Regent Street shopping , entire theatre district . 
 Dec 14 2005 	 Beware Booking Online ! 	 book Sofitel Excellence Package 5th wedding anniversary online . package suppose include early check - in 11 am , late check - out 4 pm , champagne room complimentary english breakfast room . we arrive approximately 1 pm tell room not ready . point ready since 11 am receptionist seek help colleague . twenty minute later ( show take swipe credit card ! ) give key different room . room fantastic ( deluxe think ) , massive bed luxurious bedding lovely bathroom . champagne tell would put afternoonWe hurried Brasserie lunch reservation 1.30pm ( thought ) . turn we 1 pm give table away , not know 's fault take twenty minute check may make time . ask we wait bar ( receive bad service ever come across ) forty - five minute decide go somewhere else . we get back 5 pm still champagne call reception arrive 1 hour later . Went Opera come back room service . food delicious , may think 's bit pricey ( £ 15 club sandwich ) 's good . breakfast room lovely treat food pretty good not appreciate interrupted maid would come service room - seem let in . go ice skating Tower London return 2 pm could not get room . another trip reception get we back . finally check 3 pm try charge we breakfast take . not know would different book direct manage foul every single aspect Sofitel Excellence Package turn lovely experience bit sour one ( especially price £ 250 + vat ) .The hotel first class organisation ( particularly reception ) need work staff . may stay certainly will not pay £ 293.75 . 
 Nov 29 2005 	 Fantastic ! ! 	 stay recently incredibly impressed . soon enter hotel get feel go special . really stand Sofitel style - build old bank fabulous location near Trafalgar Square Picadilly circus - modern trendy inside . room & quot ; standard & quot ; , & quot ; classic & quot ; room ( although nothing standard ! ) deck black furniture , chrome fitting white wall . 's refreshing hotel central London modern style really work . Bathrobes , cd player etc .. room , even door bell switch & quot ; disturb & quot ; glow red not allow anyone ring ! bed wonderful incredibly soft luxurious pillow . may seem strange comment thing thing really set one hotel apart another . room short immaculate ! ! Dining Roux Brasserie great especially Sunday £ 24 get 3 course 2 glass great french wine , wow ! location excellent , walk Buckingham palace , Trafalgar square , Piccadilly , Soho , theatre etc .. minute ( even chilly November ) get £ 120 / night sofitel.com , last minute hot deal , watch site other ) . bargin ! ' ve stay London 5 * hotel not know other compare - although know pay lot tatty wear - out place tiny room . high expectation read previous review tripadvisor dissappointe one bit . room good size , staff friendly can not think complaint . highly recommend 
 Nov 28 2005 	 wonderful hotel . facility good price . great location . friendly ! 	 walk lobby , clear hotel go impress . upgrade we deluxe room check - in quality never fail show whole stay . everything would expect top hotel - dual bathrobe , slipper , in - room iron + kettle etc . lovely soap toiletry . modern funky design detail whole place feel brand new ( LCD tv etc ) .A late check - out problem , give we time enjoy experience . rate reasonable , although breakfast pricey , make sure include deal .... 
 Nov 22 2005 	 little Gem little minded manager 	 well , say , could little gem , staff management really set new standard , NEGATIVE ONES . product we stunning , bed world cleanliness ( round applause housekeeper ) great . expect mutli - national staff day ' m kid say entire place french , french ... quite scary , speak everywhere , even hotel literature first follow english . problem service recent weekend visit , request see duty manager , later find Sales & amp ; Marketing Director . awful . interest need say , make excuse constantly shrug shoulder . constantly tutue typical french pphhheeeuu . try say problem , probably will not get sort management present , arrogant , know great product charge fortune without service ethic . dress manager shabby , service expect potentially number one 4star hotel London ? anyway , obvious accor management need take current management team put major washing machine wake - up call , product great , food average , service ok need serious management . Shame really 
 Nov 22 2005 	 Great Service Great Location Great Hotel 	 stay Sofitel St. James Nov. 16 - 20 great stay . price room vary considerably weekend ( 45 pound / night less weekend ) overall cost five day low end 5 - star hotel , pleasant surprise . nice hotel . open 2002 's relatively new . almost entire staff french speak good english . staff professional polite . concierge extremely helpful we virtually anything assist need . ( fragile oversized item could not carry back check Concierge take care pack shipping back we leave . ) room nice size . Deluxe King plenty room . tastefully decorate , quiet , nice bath large soak tub separate walk shower ( killer water pressure ) . downer fact high speed internet not free even WiFi . need cable 15 british Pounds 24 hrs . service . hotel three elevator virtually wait get floor . Tea Room nice would rival top end provider afternoon tea reasonable price ( live harp music Royal Academy harpist make tea time even enjoyable . ) be theatre , could not ask well location . walk 5 minute put right center Picadilly Circus . 6 theatre within 15 minute walk hotel ( go weekend evening , walk get home much fast cab , hail one , bus . ' ve never see traffic crowd people November ! ) Fortnum Mason roughly 15 minute walk away fashionable Jermyn St. 10 minute . Trafalgar Square almost doorstep . thing not really convenient top end restaurant opinion , hotel cover internally . find hotel restaurant , Albert Roux 's Brasserie Roux , good two night eat dinner . food critic might berate , excellent food occaision . find place London , price could not beat provide . offer two three course meal . several selction choose course . opt three course meal time . meal include two glass wine 24 pound , 50 penny . may sound like lot , London fish chip sit restaurant run 10 - 12 pound , bargain . ( Tesco Express Grocery store 5 minute walk street need food item personal essential small cafe almost across hotel want inexpensive breakfast . ) would go back hotel heartbeat . 
 Nov 21 2005 	 Gorgeous hotel lap luxury amazing location ! ! 	 Valet parking special treat , take hassle away expensive . bar public area sophisticate , smart , great ambiance quiet buzzy amtosphere . bed comfortable ever stay . room beautifully decorate cosy . free prune ( ? ) room , fresh flower handwritten note weather next day . upgrade superior room partner birthday . staff beyond excellent . bathroom tropical rain shower lovely dark wood furniture . location second none - quiet yet 2 min Piccadilly Mall . great bar opposite call W'Sens - amazing cocktail really cool furnishing . pay £ 140 + vat - cheap pay get . excl . breakfast . 
 Nov 15 2005 	 good breakfast ..... bad breakfast 	 good review say . excellent staff lovely room . worth every penny sleep bed comfortable ever . even well Starwood Heavenly Bed . good packed suitcase ! ! ! Breakfast first day awesome . fresh even organic first class service . can not think many well hotel . second day opposite . think everyone must come breakfast time could not cope . end money bill certainly would not stop come back . 
 Nov 14 2005 	 Loved ! 	 stay special occasasion Friday 11th absolutely love . staff helpful friendly , nothing problem . the room stunning & amp ; comfortable location second none . will definitely stay . 
 Nov 12 2005 	 upgrade ! 	 arrive about4 pm room ready . do not complain single parent child ? take pity upgrade suite ! ! fantastic ... ralph richardson suite ... CHOICE 
 Nov 7 2005 	 Fantastic Location Good size room 	 London get much pay . recent stay pleasantly surprised Sofitel . fantastic location reasonable room size ( London ) room grand 's bed spread ! would stay ! 
 Oct 25 2005 	 Best London 	 simply good London . room not big , quiet comfortable . nice design . even though may lack grandure London & quot ; super deluxe & quot ; hotel like Ritz Dorchester , really lot well halve price . important , room good . crappy single room basement near noisy airconditionning unit . nice service good location imaginable . quiet corner behind Trafalgar Square . cheap sofitel worth every penny ( pence ) . 
 Sep 27 2005 	 good everyone says 	 agree positive review hotel . arrive early offer tea beautiful Rose room room prepare . room nice , classic Sofitel design . book junior suite large room , two . bathroom spacious nice although rain shower little much . traditional closet , instead two armoire look nice work well . room overlook Waterloo Place bright . many room hotel overlook small dark courtyard . door room quiet - Philly Sofitel take note - room , noise street . buffet breakfast delicious . gym nice small . staff friendly location great . 
 Sep 27 2005 	 Sofitel St. James Gem ! 	 stay 2 night Sofitel St. James Hotel central London absolutely love ! without doubt fine hotel ever stay . everything state - of - the art modern . room large comfortable . tv new , widescreen digital picture fantastic . hotel immaculate , staff highly professional , amenetie numerous . hotel provide slipper bathrobe , evian water every night turndown . big king bed comfortable warm not want get , even though hundred thing see London , half within walking distance hotel . theater cinema Leicester square / picadilly 4 block away , National Gallery within view street front Hotel . fantastic hotel , wish could stay many day live like king ! 
 Sep 12 2005 	 Sofitel near Piccadilly Circus 	 though reserve room discount travel site , front desk personnel extremely welcome professional treat though pay full price . excellent location , within easy walk distance Piccadilly Circus . concierge professional competent . bed super plush feather bed . bathroom heat mirror prevent fog shower use . tub / shower shower wand well overhead & quot ; rainfall & quot ; shower head . room large typical London . 
 Sep 7 2005 	 Great Hotel 	 return long weekend stay London . first time London , find hotel centrally locate almost everything want see . hotel staff service excellent . concierge make excellent dinner suggestion . try Foliage Square top dining . suite roomy well appoint . definitely return ! 
 Aug 31 2005 	 Excellent Hotel 	 wife stay hotel one night Saturday 27th August theatre break . the hotel fantsatic location shopping theatre - walk everywhere thoroughly enjoy . be also within 2 minute walk Piccadilly tube station . staff polite , friendly look happy serve you . room lovely - little small , be pay . get excellent rate £ 120 per room per night Saturday night class hotel London good . all round standard high would highly recommend hotel anyone wish stay nice hotel London . stay . 
 Aug 22 2005 	 Recommend 	 recently stay Sofitel St. James month , pleasant experience : excellent bed , nice bathroom shower ( try touch HEATED towel warm unless equip thick skin ) , lovely service , prompt room service , everyone mention : excellent location . on hand , view bit lack room , gym small , water drain slowly bathroom sink , hairdryer bathroom ( seem case UK hotel ' stay ) .Overall , lovely place , recommend . 
 Aug 1 2005 	 Great Location Good Value London 	 hotel beautiful lobby well appoint room glorious bathroom . usually pretty well price hotel calibur . good part hotel 's location . couple block picadilly Circus Trafalgar Square . great base trip London . 
 Jul 25 2005 	 Great Staff Wonderful Rooms Great Location 	 hotel must stay London . staff could helpful friendly . room large anywhere . bed soooo comfortable . go London stay . 
 Jul 12 2005 	 good Sofitel 	 pleasantly surprised high standard hotel , much well see previously Sofitel . location good , quiet spot close major sight . service kind ( could attentive dining room ) . breakfast good buffet , although , usual England , miss good - quality bread . here feature like less hotel : overly renovate interior , strange design room ( entrance hall large size room , shower bath bathroom deluxe room , hook bathroom hang robe , bed close window , part view Waterloo Place obstruct design window ) , small fitness room , corporate atmosphere . for centre London , give price overall performance , hotel deserve high rating . well , classier elegant hotel central London ( Dorchester , Claridge 's , etc . ) , also different price category . 
 Jul 6 2005 	 Great London hotel ! 	 Loved Hotel ! convenient many great sightseeing place , 100 yard tube station . big comfortable room , big sooooooo comfy bed ! great reception concierge . across street London visitor office , great little cafe get cook breakfst 5 pound - thus avoid 20 - pound hotel breakfast . stay next London visit ! 
 Jul 2 2005 	 Excellent spite blackout 	 mother stay four night June 2005 . love hotel location , service , comfort , outstanding . bathroom lovely , bed luxurious , service highly attentive . thing would change would give closet / drawer space wardrobe . bathroom quite nice . hotel 's public room handsome comfortable . restaurant service could bit organized , dinner Cafe Roux restaurant evening blackout . hotel generator break electricity , run water phone service ? 's happen we one night stay . well , begin 1:00 afternoon , end next morning . staff hotel good job could circumstance . we move Soho House ( pay cab fare ) one night . actually quite adventure , Soho House give we suite . Sofitel St. James pay difference cost . return Sofitel next day , try hard make necessary trip pleasant possible . ( get free drink , free breakfast item , numerous apology problem could helped really . ) dine restaurant evening blackout , attribute slight slacken service fact staff three hour sleep . would definitely return Sofitel . location ( near many attraction yet quiet ) make easy first visit London . sleep well hotel year . think god value , give dollar 's weakness . note , join Sofitel 's frequent stay program book reservation . get extra perk . cheer ! 
 May 24 2005 	 Elegant Centrally Located Hotel 	 thoroughly enjoy recent stay Sofitel St. James . bit pricey ( £ 300 + ) good price time . price generally much low , three us share deluxe room . many PROS con describe : pros:1 . unbeatable location : within minute tube station , hotel near many attraction ( i.e . National Gallery , Trafalgar Sq . , Piccadilly Circle ) . want watch & quot ; Phantom Opera & quot ; , theatre literally behind hotel . fact , hotel locate theatre district.2 . super comfortable bed pillow top - like mattress.3 . extremely clean room spacious bathroom , reflect relatively new , modern well - keep hotel.4 . attentive staff ( request fulfil within minute ) .5 . spacious deluxe room , even extra second bed room.6 . quiet location.7 . nice amenity , slipper free small bottle evian water . cons:1 . tub drain slowly.2 . hairdryer drawer underneath tv table instead bathroom mirror ( appear case many London hotel ) .3 . view office bldg hotel generator sort , even though hotel clerk indicate would garden view . really issue since sightseeing time . overall , think fantastic hotel clean modern . not give 5 - star , rating , opinion , reserve superior resort hotel true 5 - star hotel truly excellent service amenity match ( i.e . four season ) . 
 May 16 2005 	 excellent 	 Sofitel St. James hotel 12 th till 15 th may2005.We excellent stay hotel one nice ' ve ever stay . excellent location near Piccadilly . friendly staff . birthday upgrade deluxe room . good breakfast dinner sleep excellent bed . the room quiet . look forwards next stay . 
 May 9 2005 	 Brilliant 	 stay one night good rate book online Sofitel . could fault hotel way . room spacious , gorgeous everything need . staff excellent . look bag day check . within working distance Oxford Street , Covent Garden , theatre . do not need tube . return asap . one thing bed comfortable will not want get morning ! ! 
