always 	 stay wife 5 night early Nov. 2009 . always , room clean well maintain , hotel staff always pleasant . appreciate extra help receive Pedro , assistant manager . residential hotel nice neighborhood , able walk place want visit . room large , fully equip kitchenette . probably stay Affinia 20 time last 5 year . 
 Affinia Gardens Great Hotel 	 room service Affinia Gardens terrific . location ( E. 64th near 3rd Avenue ) perfect . staff people encounter various trip -- Krys , Latoya , Sam , Rhonda , Pedro Sal -- pleasant helpful . hotel configure like residential building hotel . like small , intimate reception area put directly onto 64th Street leave . fact , experience Affinia Gardens like residential hotel live Manhattan . highly recommend . 
 Jan 14 2006 	 excellent upper east side hotel 	 stay Affinia Gardens hotel East 64th St near 3rd Ave December 2005 . pay $ 300 per night week Christmas , one well deal available internet time year . third Affinia hotel stay New York , ' ve excellent . 's recently rennovate handsome , modern furnishing fixture . room large two bed , lounge chair , desk , plenty floor space full kitchen . staff extremely friendly helpful . coffee tea lobby , although restaurant , suprisingly good efficient delivery arrangement four local restaurant . function like room service except call restaurant directly . delivery make front desk put food charge hotel bill , hotel employee deliver food room . price reasonable access four large diverse menus breakfast , lunch dinner . like upper east side , excellent hotel area . 
 Dec 19 2005 	 huge suite good price fabulous wheelchair access Affinia Gardens 	 Affinia , formerly Lyden Gardens , first floor suit big Manhattan apartment ' ve see . the place ramp entrance , attentive staff room service several nearby restaurant range burger breakfast bistro dinner . the price point , Upper East Side location , phenominal . can not say enough Affinia property . not work chain affiliation , like sing praise rare property offer roll - in shower every amenity disabled traveler seek road . 
 Sep 22 2005 	 Lyden Gardens Affinia Gardens - 's good 	 Lyden Gardens . since mid - September , change name Affinia Gardens Hotel , reflect ownership Affinia Hotels group substantial refurbishment top bottom . ( Note TripAdvisor editor : well start new thread newly - rename hotel , perhaps ... ) wife stay first week new image , highly enjoyable four night . regular guest wife get talk say new look result significant ugrade hotel facility , maybe price rise reflect this . the hotel situate good part town , four block away subway , might well advise ask room back hotel , overlook road . fortunate enough first floor room back , come good - sized patio seat four . our room would big enough four double bed , let alone two . room facility small newly refurbish bathroom , kitchen fridge / freezer , gas cooker , microwave sink . the Affinia Garden reposition & quot ; Tranquil Hotel & quot ; , herbal tea available Serenity Bar front , opposite highly organise , efficient friendly reception . all , good place stay - would definitely return - expect price rise . 
 Mar 9 2005 	 beware ! get bump ! 	 make reservation month stay Lyden Gardens secure credit card . morning leave California fly Manhattan , call confirmed reservation use confirmation number . arrive Lyden Gardens night 9 pm inform Hotel oversell send Sheraton Meadowlands New Jersey . needless say , pleased . arrive Sheraton Jersey 11 pm . restaurant room service close . dinner ! next day make way back Manhattan noon . Lyden Gardens pay cab fare way . wait lobby one hour prepared room . essentially lose one day vacation . send bottle wine , pay two night ( seven ) lodging . one night pay night New Jersey . also pick tab one dinner restaurant corner . one thing gall experience ' show first night credit card would charge full amount . protect . ( consumer ) . 
 Feb 23 2005 	 Nice reasonably price place 	 Lyden Gardens fancy , overprice hotel . family love definitely stay . convenient , near Upper East , office , short walk Central Park . 2nd 3rd Ave mean neighborhood glamorous , lot restaurant , grocery store , dry cleaner , etc . nearby . Food Emporium nearby gourmet grocery , China Fun restaurant good crowded ( popular ) . Lyden Gardens lobby curiously small , clean desk staff always friendly helpful . good thing room large , nice sized ( Manhattan ) , separate kitchen . also , really appreciate broadband wireless internet connection , subscribe modest price . computer work anywhere room . room third floor face tree back , much nice view many hotel apartment Manhattan . also , exercise room well many hotel ' ve stay . 
 Jan 6 2005 	 Excellent Value Perfect location . 	 stay lyden Gardens weekend Christmas 2004 ( shopping ) , great time . hotel festive atmosphere , staff helpful , ask direction info would go way help . room spacious everything need meal , like mini apartment , clean tidy . it also excellent location , 5 minuet Cental Park subway , N r train take top bottom Manhattan within 20 minuet ( 2 45st 5 34st ) , also main avenue quite quiet good night sleep . I recommend Lyden Gardens anyone lookout great value do not sacrifice location quality for . I return next year . 
 Jan 4 2005 	 luxury 	 stand Lyden Gardens beggine December 2004.the hotel staff friendly helpful . room big ( stand 1 bedroom room 2 queen bed sofa ) . bed comfortable , sofa horrible sleeping . bathroom small little bit & quot ; old & quot ; , enough . think hotel option look luxury & quot ; look & amp ; feel hotel & quot ; .We recommend Italian Restaurant Room Service . food good price ok . thing take account room service hotel charge fee room service also make call order food ( outside call ) . small hint : try get room garden view ( street view ) silent room . 
 Dec 2 2004 	 Disappointed 
 Oct 15 2004 	 great find ! 
 Sep 30 2004 	 Great Hotel Great Neighborhood 
 Sep 23 2004 	 right 
 Jun 1 2004 	 nice bargain 
 May 10 2004 	 Impressed 
 Mar 13 2004 	 one 's wonderful welcome east side apartment 
 Jan 14 2004 	 Loved Lyden 
 May 12 2003 	 NYC apartment 
 Jan 2 2003 	 Best Manhattan 
 Nov 20 2009 	 Residence / albergo 
 Oct 13 2009 	 Cómodo bien situado 
 Sep 27 2009 	 Nuestro apartamento en el Upper East 
 Aug 23 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Aug 18 2009 	 mi aspettavo qualcosa di meglio 
 May 30 2009 	 Excelente Hotel 
 Mar 16 2009 	 Cómodo confortable excelente ubicación 
 Dec 18 2008 	 Excellent hotel allez les yeux fermés . 
 Mar 3 2008 	 Magnífico hotel 
