review 	 hotel nice . concierge great well staff bar / restaurant . staff front desk horrible ! ! ! ! wait 1 1/2 hour pass check time finally go third time room ready we . hotel beautiful , room nothing special , hotel close everything ... include hospital across street ambulance siren leave arrive time night ! ugh . 
 Aug 6 2006 	 great location ; good hotel 	 stay Wyndham 5 night would rate low & quot ; 4 & quot ; . location great . 's midway river water tower one block magnificent mile . therefore , be close wide range restaurant , etc . find worker friendly . & quot ; extra & quot ; elevator second floor lobby bother we . fact , Hyatt Regency Peninsula probably many other design way . room clean , bathroom large , bed comfortable . so be like ? room could bit large , towel bit thick , etc . mention , rug stain ; 's time replace . busy time . pay $ 250- $ 300 , would disappoint . pay 1/2 , give high demand hotel room , think receive good value . summary , would certainly willing stay , would probably look elsewhere first . 
 Jul 17 2006 	 nice room 	 stay Wyndham 3 day . room nice , clean large . join free prefer club b / c check free request waiting room . amstel light cheese & amp ; cracker . nice bar dining room , eat look like great place drink . parking expensive valet service quick friendly . location great , right Michigan ave . 
 Jul 8 2006 	 Nice locationvery arrogant staff 	 o.k . get big deal priceline . employee give feel worth staying location . Bellman e.g . accept 5 $ tip . Wyndham offer good price willing welcome kind guest . 
 Jul 2 2006 	 avoid 10th Floor 	 first , bad . ( 1 ) non - smoker , avoid 10th floor . stay anywhere else hotel 10th floor , ask room 1015 room right next . ? 95 % floor smell like smoke moment get elevator . little digging , find . room smoke free except one , room 1030 - man live year . obviously chain smoker smell like ashtray / mobile home trailer / white trash bar almost everywhere . staff kind enough move still walk crap . ( 2 ) pool tiny . 's size small room . ( 3 ) restaurant downstairs particularly exceptional , exceptionally overpriced . breakfast four cost $ 92 . save money walk block Corner Cafe . money burn people not . ( 4 ) place good service understaffe . checkout time enough bellman grab bag bring . easy task infant . ( 5 ) view anything except wall building . view thing , will need stay elsewhere . ( 6 ) be nearly $ 11 per 24 hour period use internet . courtesy . now good . ( 1 ) staff ( although minimal ) extremely friendly , greet smile service prompt part term concierge desk reception . believe request move another floor would accomodate . provide lot apple front desk . ( 2 ) GREAT whirlpool , sauna , excercise room steamroom . water pressure working order . ( 3 ) room clean nice . complaint . ( 4 ) like shopping , location ideal . be two short block Magnificent Mile , 3 minute run beach trail 10 min walk subway . runner , would stay different , non - smokey floor . ( 2 ) 
 Jun 30 2006 	 Fancy hotel great location 	 get Wyndham priceline $ 100 . feel hotel super . room 17th floor decent view Lake Michigan . room nice , clean , decent size . bathroom Wyndham well . would rate excellent layout first second floor pitiful . check 2nd floor ? ? ? staff stuffy other nice . also notice picture hotel website can not see almost totally surround building definately bad view window . hospital locate across street hotel , hear thing night . park block away parking garage $ 30 . pool little small . 
 Jun 28 2006 	 Problem double billing 	 check private credit card due & quot ; host company & quot ; late . host company along correct card & quot ; host company & quot ; couple day later , think . return home get bill guess & quot ; host company & quot ; hate spend time unscrew people screwup remember experience . ' almost two month problem still resolve spend time long distance phone call without success . Kurt Watson 
 Jun 27 2006 	 coorporate dormitory charm boarding school ... 	 Wyndham Chicago user friendly . architect ashamed clumsy design . locate heart Northwestern U. medical complex perhaps explain hotel purpose . visit start struggle luggage awkward revolving front door , search reception area without assistance preoccupy bellman take elevator second floor check - in . leave irritate first impression , check - in quick friendly . second elevator take spacious room adequately furnish plush king bed . grim view east side room stark concrete wall . depressing . internet access $ 10.+ . 4th floor pool small ! ! crowd child . adequate hot tub basic exercise facility . hotel well suit visit Northwestern Hospital . far well choice area . 
 Jun 19 2006 	 Decent Stay Far Subway 	 two night last week ( June 14 - 16 2006 ) , overall good stay . check good , quick mention priceline ( use stay ) . though request high floor room , sure give typical priceline room give wonderful view wall building . course , front desk person say hotel high .... well whatever . major concern elderly disability : considerable distance subway . would recommend hotel close Michigan Avenue State Street concern . otherwise , walk ( ) .no check problem . night , seem wierd occassional mechanical noise ( elevator relate maybe ? ) come hallway . make makeshift earplug . 9th floor . I use eat facility . internet problem . hope help ! 
 Jun 4 2006 	 Great Business Hotel 	 much nice hotel expect . Wyndham hotel hotel 's standard . annoying part take elevatoror stair lobby level different elevator hotel room . room clean well kempt . service average . front desk staff cool indifferent . offer information suggestion simply answer question . room service quick , come room pick tray without knock door . internet access work well ( fee ) . great location walk around shopping . would stay . 
 May 29 2006 	 great ... 	 excited stay Wyndham seem like really nice hotel not great thought would . build beautiful extremely clean . valet bellhop really nice pleasant . hotel convenient take elevator 2nd floor , walk bit next set elevator go room . room really nice think major problem heat . 17th floor extremely hot room , around 78 degree . try change would not work . call front desk talk Maintenance tell we nothing . shame bed heavenly ! mattress soo comfortable cover . could barely sleep heat . location great staff pleasant important part hotel sleep , could not really cuz heat . 
 May 29 2006 	 awful ..... avoid 	 think book four star hotel name like Wyndham could get great hotel room Memorial Day Weekend . mistaken . arrive hotel 4:00 Sunday afternoon tell ( several other ) clean room available . hotel checkout time 11:00 completely unbelievable ... especially busy holiday weekend . tell would call room become available .... call never come . visit Chicago site hot Chicago afternoon , return hotel 6:00 tell still room available . make clear happy , two room suddenly become available . tell romanian Soccer Team leave room clean room available . enter clean room , quickly find air conditioning system work well ... good thing weekend high temp 90 . ice cake item go miss room , room leave reentered course night . minus hotel include room service dish leave hallway hour incredibly long ( 20 minute ) wait time elevator elevator arrive usually jam pack . staff deal pleasant understand circumstance beyond control , choice many hotel Chicago say never return Wyndham Chicago highly discourage anyone else either . 
 may 12 2006 	 Great Location really nice hotel 	 great hotel , cool location . one block away Michigan Avenue ; 2 block walk Apple Store , flagship Crate & amp ; Barrel , etc . restaurant across street corner get good breakfast lunch . TGI Fridays step away . really like hotel lot . drawback take 2 elevator get room . otherwise 5 star . 
 May 4 2006 	 wonderful experience 	 stay conference four day , find price little less - quality hotel area .. admittedly , spend lot time room , amenity wonderful . do research website good room / view , easily give ask check . room good sized , bathroom gigantic ( friend actually say could consider waste space ) , view hope , service exactly need ask , bed warm inviting hope . enough desk space prepare need , nice office chair , nice relax stuff armchair unwind . choose hotel family member decide wedding , good time think worth try guest . disappoint , would gladly come back future . 
 Apr 20 2006 	 avoid ! 	 poor service maintenance problem . room service menus outdate contain many item ( food wine ) hotel long serve . one phone room work , expect $ 380 night room . many well choice Chicago . 
 Apr 6 2006 	 return 	 great view great staff . room nice bath big , bed nice extra linen closet . playstation room movie big plus . complaint noise , locate across street northwestern memorial hospital noise outside loud . still well lot expensive hotel close michigan ave . 
 Mar 30 2006 	 Great Location Average Hotel 	 nothing top 4 - star hotel . disappoint staff . man check we courteous helpful . other ... could do without , especially bellhop wait around tip take 40 minute get bag . room nothing special , although love hypoallergenic pack closet allergic . room definitely not soundproof could clearly hear conversation next door we connect door ( ajar ) . carpet room look stain old , decor ( especially light ) seem dreary behind - the - time . definitely not think hotel worth $ 180 / night end pay . book Embassy Suites . the location perfect though . be block Michigan Ave . shopping . 
 Mar 14 2006 	 ok - well one price 	 stay Jan. order miss expensive Christmas season . staff : hotel staff friendly helpful . lose credit card hotel notice receive call front desk . fact , call room numerous time let know . need anything concierge able handle ! food : breakfast great , get early enjoy buffet . excellent view quiet . location : great , right Michigan Ave . also , sure stop Dunkin Doughnuts front hotel . room : big draw back . room dark loud overlook emergency room . also request suite , worth . 
 Mar 3 2006 	 good value close ` ` shopping mile '' 	 hotel basically typical big - city , business - orient hotel ... however get good deal look around . room modern , spacious well - appoint , be free ( basic ) gym , hotel block middle main shopping area Chicago . 
 Feb 22 2006 	 heck happen ? 	 third stay , ' m pretty sure last matter cheap . service go way way . one person check line people , even though other ask manager , none ever show . friend try call we take 11 time actually get someone answer phone . get answer , say front desk put hold almost ten minute . not 2 am either , middle day Tuesday ! run hotel operator ? use love talk blond concierge always great restaurant review fun personality . leave place surly young girl suggest Grand Lux cafe alternative could not get Joe 's Stone Crab . be comparable ? let us forget guy fidget seem speed along , . great toiletry replace cheap stuff , replace filthy carpet lobby though . 
 Feb 19 2006 	 nice property could better 	 attractive property , one block Michigan Ave , near Neiman Marcus Crate Barrel . & quot ; Request & quot ; program bad , choice beverage snack waiting room , specify room attribute . room little worn , okay . nice bathroom , though . good breakfast buffet morning . People smoke allergy , 14th floor stench smoke noticeable low floor . Valet parking always expensive Chicago , hotel 's pricy .... $ 39.00 ! ! Auto Show full swing stay , hotel book , . 
 Jan 18 2006 	 okay price 	 stay Wyndham good value $ 99 . people front desk concierge nice enough , type room service average . first , take 45 minute three phone call bring toothpaste . second , husband submit suit drycleane 9 am day dry cleaning ( ie 7 pm ) . call twice deliver , 7 pm 11 pm . , room clean location okay- walkable suitcase bad weather . 
 Jan 11 2006 	 Average Hotel Good value 	 stay Wyndham night around Christmas . great location shop close many restaraunt . hear good thing Wyndham ByRequest program underwhelme . & quot ; welcome amenity & quot ; cheese wine deliver sometime dinner advance request extra towel local newspaper fulfil . express check - in . expectation ByRequest program , stay nice comfortable . kid love pool fitness room adequate . Booking Wyndham website , secured weekday rate $ 99 think great value nice room downtown Chicago . would consider Wyndham downtown stay could get price . 
 Jan 10 2006 	 Wyndham holiday 	 excellent stay week Christmas . weather cold , always excitement lobby group lady shop family bundle go outside experience Mag Mile . location Michigan Avenue block , right middle shopping , turn street locate corner huge Crate Barrel Michigan . use concierge lot , always helpful suggest unique , non - chain restaurant meal - big plus we . bit far walk Navy Pier cold , definitely do - able . nearby West Egg Cafe great breakfast restaurant , Volare good dinner . great family , couple , anyone else want explore part Chicago . 
 Dec 29 2005 	 love Wyndham 	 husband return 5 night stay wyndham , moment set foot hotel treat wonderfully .The hotel clean room spacious , 6th floor rarely experiance noise hospital , recomend corner bakery breakfast . fan new york christmas time little reluctant book chicargo would definatly go back stay wyndham 
 Dec 21 2005 	 Perfect Location Great Hotel ! ! ! 	 come Chicago group shopping trip . ask well location . many shop restaurant locate street , Magnificent Mile probably minute walk . Gino 's East famous Chicago deep - dish 8 block away ( w / in walking distance ) , well soo many place . hotel , staff friendly , place gorgeous , room spacious clean . bed comfy , bathroom huge - gorgous granite countertop ton space , beautiful tile shower , even phone bathroom ! fitness room also nice quite large . pool area rather small , although use , fellow traveller , say pool jacuzzi seem little dirty side . also nice restaurant on - site . breakfast , Dunkin ' Donuts McDonald 's w / in walking distance , well Corner Bakery directly across hotel , pretty decent breakfast , lunch , dinner menu affordable price . breakfast twice - you get anything bagel / breakfast pastry small breakfast platter breakfast sandwich , available dine - in to - go ( hint - if get order go , get right away , tell dining , sit table w/ number wait deliver you - I wait 10 min , toast bagel one time ! ) . would stay without doubt , rate get $ 99 / night , well - worth ! 
 Dec 6 2005 	 Wyndham Winning Experience ... 	 Chicago birthday present year . Husband & amp ; usually stay Monaco wait way late post decent rate decide try Wyndham . since know Chicago well know area great experience Wyndham . great customer follow - up stay . room nice size clean , bath nice , bed comfortable . thing miss usual view River , see little Lake Michigan . would definitely stay Wyndham . 
 Nov 19 2005 	 Great Location 	 stay Wyndham Chicago use american Girl Package . great location Michigan Ave . spacious room , elegant decor throughout hotel . negative side , front desk concierge helpful couple simple need . listen ambulance arrive hospital every 15 minute , must admit , notice much midnight . plus , much & quot ; atmosphere & quot ; hotel . 's place business traveler . maybe expect weekday October . get helpful rate , travel back Chicago , would not oppose staying , will probably look around different place . 
 Nov 1 2005 	 wonderful beautiful hotel 	 return one - night Saturday night stay Wyndham downtown Chicago ... wonderful time , room incredibly spacious ( huge bathroom ! ) , bed perfect view great . 11th floor complaint whatsoever ! check - in efficient woman desk friendly energetic ... express check - out nice touch . clean lobby hallway , quiet hotel . get military discount rate plus ! parking expensive ( $ 39 per night ) pretty much norm downtown chicago . great location , one block Michigan Avenue shopping galore . would definitely recommend hotel ... look travel special discount rate , especially government / military person ! 
 Oct 29 2005 	 Great Location Great Hotel 	 ' ve Chicage nearly dozen time last year stay Omni , Marriott , ( want save $ stay Mag Mile - big mistake ! ) ) day Inn Linclon Park ... Wyndham far good place ' ve stay ! make feel welcome , good accomadate need . though be right Mag Mile still get touch neighborhood . hospital noise rare compare traffic Michigan Ave 's actually quiet ! 
 Sep 22 2005 	 Nice Stay 	 stay Wyndham Downtown three night September . room 14th floor never hear much ambulance noise guest mention . nice room bit view lake Navy Pier . breakfast visit Corner Bakery opposite hotel , never busy . overall would recommend hotel , plan stay next year . 
 Aug 26 2005 	 please Wyndham 	 choose Wyndham review site excellent price ( less $ 150 / night ) . also enrol ByRequest program Wyndham visitor provide upgrade ( like free wireless networking , welcome beverage snack , etc ) . hotel location great 1 block Magnificent Mile across street hospital . room quiet - never hear neighbor street traffic . would stay . 
 Jul 29 2005 	 great time Chicago Wyndham 	 great deal price location . go american Girl package daughter 's sixth bday . hotel wonderful american Girl package call book via phone vs line . Book early go spring , Chicago busy . hotel give away free robe slipper doll . cute . great location clean hotel . 
 Jul 27 2005 	 Great City Experience 	 enjoy 3 night stay Wyndham . room large , comfortable , usual amenity . staff efficient pleasant . check breeze . problem reservation correct quickly . yes , lot hustle bustle outside hotel take expect activity & amp ; excitement downtown hotel big city . location perfect attested reviewer . prepare share hotel plenty little girl doll ! local tell hotel restaurant one good opportunity eat . one problem ( seem encounter often maybe be ) -- -- dirty stained carpet . 
 Jul 20 2005 	 Skeptical love Wyndham ! 	 husband decide surprise daughter trip Chicago , mainly american Girl Place . choose Wyndham AMG package , include bathrobe slipper daughter 's doll . room always clean , extremely picky cleanliness area . we stay Le Meridien several month love ! however Le Meridien $ 300 - 400 night vs. $ 170 Wyndham . take chance be glad . daughter love receive chocolate chip cookie arrival . also upgrade corner suite lake view free charge by - request membership . even able see fire work Navy Pier , since week fourth July . by - request manager , Ana , amazing ! always go extra mile we . thank Ana , return Wyndham , mainly hospitality ! 
 Jul 19 2005 	 quite nice 	 nothing complain . room big , clean , everything work . check - in simple friendly check - out super fast . 1 short block North Michigan easy walk Loop Navy Pier . Corner Bakery across street really convenient tasty . Chicago , 's Walgreens within block two everywhere ! 
 Jul 19 2005 	 extremely Disappointing 	 stay 2 night long trip two bad night sleep ever encounter ... bad night 's sleep Eastern Blackout year ago 90 degree north power . hotel good location get train could get White Sox Cubs game . walk long bad . hotel clean , August AC work . 4 people room hot August night , get stuffy first room would dip 78 degree . say fix downstairs .... change 2 hour later . staffer come look vent say damage ok ..... change . got different room next night different wing hotel ... difference . deja vu . stay Wyndams preferred member put bad taste mouth . almost like want turn AC want cut corner save money . Valet parking ok , take 45 minute get . front hotel chaos car box packed place . need organization . would never stay hotel ever Chicago area . almost walk courtyard block away .... alone would . 
 Jul 13 2005 	 Wyndham heart ! 	 husband live Chicago suburb want quick getaway . familiar city know stay . really heart excitement - Magnificent Mile , Navy Pier , Oak Street Beach ! great room nice hotel restaurant . pool disappointing though - not mean couple ... really suit kid small crowded . would stay highly recommend . 
 Jul 11 2005 	 Great Hotel 	 husband , 2 girl stay Wyndham July 4- July 9.the hotel nice , extremely clean employee courteous . room great . upgrade suite . ( pull sofa kid ) plenty room us 4 . bathroom average size clean also . the location could well . one block Michigan ave . short walk Navy Pier . room service good , corner bakery outside hotel great breakfast lunch . downside room near emergency room hospital next door . overlook nightly siren though , bother we much . we perfect stay would go back opportunity come . 
 Jul 7 2005 	 Wyndham great hotel ! 	 long time fan Wyndham hotel decide stay Wyndham Downtown Chicago recent visit Chicago . I book online Tuesday afternoon room Friday evening . Friday morning left find well rate Wyndham 's website happy give well two . end get suite less go pay corner king . upon arrival greet prompt , professional way always Wyndham hotel . check elevator room 5 minute . when reach room byrequest amenity wait . cheese merlot , well extra bottled water orange juice . the suite large apartment area . bathroom huge spotless . master bedroom nicely do double sheeting comforter ( tradition well hotel Europe decade ) perfect season . not heavy ( great outside temperature 90 degree ) . relax left see show , stop concierge desk ask dinner recommendation . nice lady tell we bistro 4 block hotel ( call Bijan ... something nature ) serve 4 am . ( problem & quot ; lively & quot ; downtown Chicago restaurant stop serve around 10 . yeah , nightlife . ) next morning breakfast well average left head home . staff friendly helpful time request inquiry . stay Wyndham next visit Chicago ! 
 Jun 16 2005 	 Good Value 	 find Wyndham hotel staff satisfactory . staff friendly , courteous , professional . room nice . real comfortable bed & amp ; bedding . good location . 
 Jun 12 2005 	 Great Location Average Room 	 husband stay Wyndham 2 night early June 2005 visit son , attend college Chicago . book special & quot ; take Daughter Chicago - American Girl Package , & quot ; offer rate $ 169.00 night standard room , $ 100 saving regular room rate . book room 2 double bed , think son might want stay we . package include Wyndham bathrobe fit american Girl doll . when check , discover hotel change reserved room 2 double bed one king size bed , preference join Wyndham ByRequest . want son stay we , pay $ 20 night fee rollaway bed . tired drive almost 600 mile day not energy protest . get kind upgrade ByRequest member , although get free small bottle wine cheese cracker snack . our room 8th floor , small side , adequate . ByRequest member , pay $ 10.99 fee internet access . room queen size bed ( promise king size bed ) , small sit area chair desk , refrigerator / mini bar . clean quiet ; hear conversation guest next room , hear street noise . my son decide stay we , ask front desk remove rollaway bed hour deliver . do promptly , check , charge $ 40.00 2 night 's use , ask removed bill . when first go room ( around 4 pm ) , full bottle beer hall door dirty dish empty beer box outside several room clear next day . housekeeping quite slow ; second day stay , room clean almost 4 pm . the hotel great location , within walk distance shop many area attraction . highly recommend delicious food Corner Bakery , locate across street . overall , hotel fine , really 4 star hotel . would stay get good rate . 
 Jun 8 2005 	 design Office Bldg . 	 look like office building , feel like office building , orginally build office building . around average hotel average size room commercial feel . Chicago full well choice . 
 Jun 4 2005 	 Great Hotel Perfect Location ! 	 husband stay Memorial Day weekend . ( live suburb outside Chicago stay city every . ) location fantastic ... within walking distance Navy Pier one block Michigan Ave ( shop heart desire ) . also within walking distance Readhead Piano Bar ( great low key piano bar ) nearby diner breakfast . room great . get corner room . everything clean nice . comfortable bed pillow - one good night sleep ' ve ever hotel . hear sirens times mean bother we . park structure block away ( $ 30 ouch ) 's normal Chicago fact could walk take short cab ride anything need make great deal hotel . 
 May 27 2005 	 great location .... 	 absolutely wonderful location , block michigan avenue . hotel nice - look building . unfortunately , staff disappointing . not think see one employee smile whole time . room nail stick one door hinge fade graffiti someone obviously try clean do good job . would definitely expect well consider price place . 
 May 9 2005 	 Fantastic hotel 	 love stay , service great , room large , clean great view . hotel locate one block Magnificent Mile premium shop could ever want . also short walk Navy Pier John Hancock building . loop 20 minute walk hotel . we join ' Wyndham Request ' loyalty service book ( be free ) think upgrade result give room top floor ( 17th ) hotel . we would recommend hotel highly . whatever , not visit T.G.I.Friday 's ' restaurant ' next hotel ! 
 Apr 29 2005 	 really help ... 	 Chicago Marriott & quot ; lost & quot ; reservation permit stay one night conference ( sell remainder ) Wyndham really come rescue . could enough find staff extremely pleasant . bar / dining room , wee bit expensive , serve tasty food great drink . two complaint member & quot ; club & quot ; provide certain amenity , none receive . need morning paper not , finally say something ... nicely , manager apologize profusely . lastly , hotel directly across Northwestern Medical Center ... try get room back hotel not hear siren night . 
 Apr 23 2005 	 Wyndham Chicago ok 	 book hotel base fabulous review get ... look strictly location - book Wyndham Chicago . could not ask well spot . walk front door hotel find fantastic shopping , restaurant - name ! hand , everything else hotel ok . staff particularly friendly - exception concierge , give crib little one not even proper crib sheet - simply fold full sheet place top mattress ! Holiday Inn , would not even mention . Wyndham well . 
 Apr 17 2005 	 everyone else try hard ! 	 park stay Wyndham upon return Mexico . charter flight get 1:00 a.m. Sunday morning . new advance would call hotel upon touchdown order shuttle pick we . take 55 minute three phone call hotel finally shuttle pick we . time hotel ; Ramada , Hilton , Holiday Inn , etc . already make multiple ( two three round trip ) pick - up traveler stay hotel . shuttle finally arrive , handful man shuttle . turn luggage . guess shuttle service use shuttle airport worker airport . not look & quot ; & quot ; - somebody little sideline business . excuse front desk upon arrival & quot ; be run behind & quot ; - crock .... bottom line , Wyndham worth price premium compare park / sleep / fly offering . 
 Mar 30 2005 	 Loud room 	 good hotel like sleep night . noise range conversation hall , conversation guest next door , ambulance go medical center across street . room dark clean . 
 Mar 23 2005 	 Nice Location - Decent Hotel 	 ' ve stay hotel two different occasion . time , staff accomodate room ( one bedroom suite occasion ) fine . ' ve stay Embassy Suites street also good choice Doubletree Delaware well Courtyard near loop Palmer House Hilton . money , Wyndham ( book internet internet rate ) offer good combination location , value dollar service . my complaint would room much dark . light low decorate dark color . course , mean dirt not get spot housekeeping staff , room clean full service hotel ' ve stay Chicago . none perfect ( low tolerance dirt ) ' ve acceptable . drive , understand charge $ 30 park car . self park less lot Embassy Suites couple block away be inclined . pool area old nicely maintain . gym nothing spectacular 's much well compete hotel area . location , leisure traveler be great . Navy Pier lakeshore within walking distance Michigan Avenue two block front door . also many good restaurant price point within two three block hotel . although , many good choice Chicago , would recommend invest cab venture out . while be level four season similar luxury property , , think people would happy Wyndham . be nice moderately price hotel . 
 Mar 21 2005 	 Loved Windham ! ! ! 	 daughter stay last week could not agree positive review . great location shopping Mich. Ave . hotel clean staff extremely helpful . bar one night mention want get info Jazz & amp ; Blues club , next thing know Jorge bartender come back list concierge . Corner Bakery across street bonus , great eat & amp ; run breakfast . will not hesitate go back . 
 Mar 16 2005 	 Good Choice 	 book online get excellent rate corner room . beautiful hotel great location 1 block Michigan Ave . Bellman gladly loan we umbrella . good amenity . would stay . 
 Feb 7 2005 	 Loved ! Perfect Location ! 	 use site time , want share experience . Stayed Wyndham first week January . first , PERFECT LOCATION ! ! ! everything within walking distance short cab ride . breakfast right across street ( Corner Bakery ) Ice Cream Doughnuts 1/2 block away ( Baskin Robbins & amp ; Dunkin donut ) open 24hrs . late night munchie . Pizzeria uno Due short walk MUST ! ! hotel great service , extremely comfortable bed , clean , pretty , ETC & gt ; ! ! hotel bar GORGEOUS great view . lay back comfy big velvet couch chair relax . great place b4 dinner drink . Read closeness hospital noise emergency vehicle night . problem we . hear twice morning really problem . would stay HEART BEAT ! ! 
 Jan 31 2005 	 great location - wonderful stay 	 return day hotel . first trip Chicago ! ! choose Hotel base trip advisor review disappoint . overall wonderful stay keep comment friendly everyone wherever go city ! ! v. centrally locate block Michigan Ave . service accomodation great price . simliar Wyndham Properies stay Boston & amp ; Phoenix , Arizona know expect decor wise etc . join Wyndham ByRequest free welcome gift ( drink / fruit ) . yes , true pool & amp ; hot tub small handful people time make quick dip fun - small sauna also relax long day ! ! another reviewer suggest , bypass taxi / shuttle bus option take CTA ( Chicago subway ) Midway Chicago stop redline walk 10 min Hotel . think $ 1.75 way v. $ 25 would pay taxi way . CTA suprisingly easy use . take we 45 min Hotel door Midway Airport way home . love close proximity Hotel Corner Bakery , TGI Fridays & amp ; beautiful , must see ..... Grand Lux Cafe ! ! food delicious . would stay Wyndham Chicago . 
 Jan 20 2005 	 wonderful stay would return 	 hotel block Michigan Ave Erie St . service accomodation wonderful price . entrance grand second floor check . Loved Corner Bakery TGI Fridays across street block . Join Wyndham ByRequest get free stuff . chance upgrade hotel not book full like weekend . take Trolley tour time allow . avoid cab transient bring trip . amaze Chicago not something abou walk cornerstone shopping area . cleaness street nothing like New York clean New York . 
 Jan 18 2005 	 pleasantly surprised 	 husband , daughter return long weekend Chicago . book stay Wyndham read several favorable review site . also believe & quot ; could not go wrong & quot ; Wyndham hotel . pleasantly surprised check find upgrade & quot ; junior suite & quot ; . ( joined & quot ; request & quot ; suggestion site book trip . one percs - free upgrade . ) room large clean king bed queen sofa bed . bathroom extremely large also call front desk extra towel extra blanket someone door within 10 minute . people friendly hotel convenient . able walk Michigan Ave , Water Tower Place even Navy Pier . definately stay return warm weather . 
 Dec 28 2004 	 Service refelective 4 star quality ! 	 accomodation okay ... clean nice looking . however , service okay ... something would expect 2 star hotel , 4 star . not allow early check - in ( check - in 4 p.m. ) not allow late check out ( need 45 minute ! ! ) . valet service really slow expensive ... stay Chicago number time usually pay $ 30 $ 38 . like say , stay okay , would rather pay less 2 star hotel expect kind service rather pay 4 star hotel get 2 star service . also , pay phone call ! ! ! never expericence pay 1800 # hotel room . $ 1.50 first ten minute pay $ 1.10 every ten mintue . ridiculous ! ! ! nothing really wrong per se .. not anything go way make feel appreciated business . not value customer would rather go elsewhere ! 
 Dec 28 2004 	 contrast experience 	 facility nice quietly comfortable . widely vary service create feeling uneasiness two - day stay . upon arrive , bell person start unpleasantness state like unreasonably high valet parking charge self - park car . unfortunately , neither realistic thoughtful give self - parking locate block away weather windy zero wind chill . friendly courteous front desk person concierge warm we . let poor room service several brusque , unfriendly hotel employee . perhaps set expectation high Christmas . 
 Dec 22 2004 	 Nice Hotel Great Guest Program 	 great location right Michigan Ave . find well rate another booking site check match price give first night free . find well price -- -- -- -- match give we first night free . book online thru reservation center online free breakfast coupon . already member Wyndham request upgrade corner king room nice carpet little spotty . light lamp bright evening . large bathroom wonderful . welcome choice mixed fancy nuts water pop . nice treat . parking $ 38 night in & amp ; out . park next time use garage across street $ 32 access car without call valet , know car park garage onsite . you use two different elevator get guest room beautiful decoration view problem . check second floor valet desk first floor . this 6th hotel stay go back good someone budget , book direct , upgrade Wyndham request treat well worth . give WBR people book site , book good deal , ask match great deal . corner king $ 125 night book king $ 89 site match $ 79 get beststay plus $ 2 service charge give we first night free since book 2 day . pay $ 81.18 plus $ 38 night parking . great deal . take printout email good thing need free night hotel bill night , correct copy email say request match low price honor . walk Dicks Last Resort lunch Giordios pizza dinner . Dunkin donut Burritto Beach subway chinese within walking distance . great hotel great price book direct ! 
 Dec 15 2004 	 central location fail safe hotel 	 suprise see mixed review hotel , stay 5 night find room clean well present , food average staff friendly . the hotel good world , certainly long way bad . its central location big plus , look fail safe hotel offer mid range accommadation mid range price hotel you . I tempt rate hotel average well location deserve 1 star alone ( central ) . 
 Nov 19 2004 	 Loved Wyndham 	 site helpful planning recent trip Chicago want reciprocate provide additional info Wyndham . despite fact think person not get upgrade room ( lol ) , positive feedback hotel . location Magnificent Mile excellent concierge helpful provide info bus route , etc . join Wyndham request ( would recommend ) welcome snack nice treat . make reservation hotel 's site , also able print coupon free breakfast . nice buffet breakfast rest time place across street . one additional nice touch business center free computer could use access internet . would definitely stay next time ' m Chicago . 
 Nov 15 2004 	 great 	 husband stay Wyndham past weekend , disappointed hotel accomodation service . frequently travel around USA typically stay upper class hotel least 20 time year . unfortunately , bad experience year . drive Michigan call hotel ask parking facility . tell valet parking available , lady rudly hang phone . upon enter hotel , lobby small carpeting bit ragged . room , though junior suite extra regular room except square footage , yet cost $ 40 per night . poorly light right across hospital specifically request locate . soon walk room , contact front desk say nothing could location appologize . next day husband go shopping come back early evening room clean . rest room , hotel employee open door walk , even knock ! disappoint , money spend could stay MUCH nice place . top , hallway cake dust along edge floor desperately need vacuum . partner hotel 's prefer guest program seem help . MUCH well experience Wyndham hotel , frequently stay one Texas . however , next time Chicago , take money another place ! 
 Nov 3 2004 	 Excellent accomidation 	 partner , return weekend getaway Chicago . please stay . location great service consistant hotel clean conviently locate Michigan Ave . defenitely stay ! 
 Oct 30 2004 	 ok hotel -- nothing great 	 previous reviewer mention hospital across street siren . understatement ! ! NIGHT long awaken siren . emergency entrance hospital across street hotel . room good size , bathroom major need good cleaning . thankfully get great rate Priceline , would request money back ! ! 
 Sep 7 2004 	 Inconsistant service 	 get room priceline $ 75 . room nicer Hyatt Regency half cost . upgrade regular room executive suite $ 45 extra per night . room clean quiet , although room starting show little wear . however , know not treat guest book room online site like hotwire priceline well . not know many time hear word : & quot ; sorry book priceline ... & quot ; also , valet good . patiently wait hour car another guest scream head head valet car within 20 minute . , course get compe valet right away . struggle . problem , not nice . scream yell make fool treat guest . 
 Aug 4 2004 	 Excellent Location 	 location Wyndham , Chicago excellent . one block Michigan Ave . Magnifficient Mile , 15 minute walk distance Navy Pier . room clean spacious , include bathroom . hotel front hospital , siren hear day night . problem air conditioner . movement sensor turn automatically , turn even though room sleep . also night sleep feel sweat . well turn get use . 
 Jul 25 2004 	 enjoyable stay 	 spend two night Wyndham enjoy much . location great close shopping restaurant . staff friendly helpful . definitely stay . side note , be 20 minute walk Navy Pier . walk St. Clair Ohio St. Ohio street pedestrian underpass go Lake Shore Dr. get side park . Navy Pier right . 
