good 	 mom recently stay Ramada Eastside Thanksgiving enjoy Macy 's parade . hotel good location could walk everything . continental breakfast include room price , nice . room compact clean . coffee maker ( rare NYC ) , flat screen tv , comfortable queen bed , price location , would definitely stay . want cozy , nice , quiet , clean , safe , convenient , reasonably price hotel Manhattan , Ramada eastside good value ! 
 Mar 6 2005 	 bad great price ! 	 overall , good experience . receive 10 % AAA discount book room , need bring card ! ( little key ring AAA card , full side credit card size AAA card ) .anyway , room average small size , clean quite managable . stay overnight Saturday near end February 2005 . check clerk excellent , hold bag locked area view city get we room early . return back later check couple we , clerk not nice . start tell AAA rate 5 % want hear explanation . next day , original clerk give we 10 % , deal nonsense . scheme thing , not big deal , principle ! get great price room ( 100 dollar ) subway 3 block away . 24 hour diner visit next morning breakfast ( name & quot ; Moonstruck & quot ; ) not bad ! tip : use subway ! buy one day unlimited ride pass subway station 7 buck ! Ride day card save money . ask NYC guide Ramada 's desk inside find subway bus map unlimited $ 7.00 & quot ; Metrocard & quot ; cover mass transportation . take 4,5 6 train ( subway ) uptown hotel direct stop Grand Central Station want jump Metro North train back home ( be CT ) .anyway , good experience stay . be go May , rate 30 % high since season full swing tourist ! take care enjoy fabulous New York City ! go Yankees ! Mike 
 Feb 27 2005 	 Bargain ! 	 stay Ramada Inn Eastside February 10th 12th 2005 pleasantly surprised , especially consider price pay ( $ 89 per night ) location . room top floor ( 11th think ) noise not problem . room clean comfortable , although quibble would erratic nature shower - underpowered little temperamental . , complaint whatsoever . the room not huge , perfectly adequate , like NYC see sight rather hang room , not consideration choose hotel . the Empire State Building block away , subway around corner . I can not comment hotel breakfast however NYC visit cousin eat breakfast local diner plentiful cheap . all , great value excellent location . 
 Feb 2 2005 	 great value location 	 hotel locate excellent position , great value ( 89 $ per room per night ) . room clean , daily maid service , breakfast include , nice staff . nothing ask want cheap holiday New York ! 
 Jan 22 2005 	 Good Property 	 stay 4 night Jan.13 - 17 . room clean King size bed comfortable . stay Comfort Inn ( maybe Quality Inn - same company ) room street pretty noisy . time room away street much quieter . , noise bother you - ask room away street . location bad , close Macy 's Empire State Building , pretty far Time Square . would recommend anyone not mind walk little , not mind ride subway . 
 Dec 31 2004 	 great value 	 great value New York . located 31st Lexington , hotel 2 block 6 Subway , one stop Grand Central . room well price ( $ 159 4 adult 2 queen bed ) . room clean , bathroom adequate . pleased room get match picture website . numerous great indian , italian resturant within walking distance . one good bagel shop NYC around corner . hotel 20 minute heart times square , easy get . 7 day subway / bus pass trouble get around . they also deal parking lot around corner $ 20 / day ( privlege though ) .We not check , boast fitness center . the continental breakfast pretty basic though ... bad bagel , donut , ok coffee fruit juice . this part chain budget new york hotels -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -I would definetly stay . 
 Dec 19 2004 	 great place stay 	 Booked hotel prefer spend money New York rather spend 5 * hotel . go budget always risk , rest assure - Ramada Inn Lexington prove 's worth take risk . the reception lot olde world charm character , staff helpful . room , whilst massive ( budget hotel remember ) adequate size cater need . bed comfortable room clean . breakfast complimentary continental breakfast - bread , bagel , donut ( ? ) , cereal fruit . tea , coffee juice also include . the good part hotel though location - door see Chrysler building . 30 - second walk right provide view Empire State Building . Grand Central Station 15 - minute walk away Times Square well within walk distance . we stay 9th floor view window stunning . yes , road outside , trust , noise not bad , anything add whole ' New York character' . in short , hotel definitely worth staying not want spead fortune accommodation . want go New York spend time hotel swimming pool , gym , feel free fork additional £ 's . 
 Dec 18 2004 	 Excellent Value 	 pay $ 89 night December ! great value , clean comfortable room , friendly staff , free internet access , small gym ( use ) continental breakfast ( delicious fresh donut ! ) . close subway , ESB Macys . can not fault ! 
 Dec 15 2004 	 Comfortable Hotel 	 Booked Ramada Inn via Apple Core website base review tripadvisor let . nice comfortable simple hotel clean meet expectation . great location explore midtown Manhattan still little bit outside hectic tourist shopping area catch breath . ten minute walk Empire State Macy 's . handy small internet cafe right next door lovely italian restaurant side ( seperate business ) . staff helpful able leave luggage check without problem . also book us cab back airport great . would hesitation stay next time NYC . 
 Dec 6 2004 	 nice place stay . 	 second time ' ve stay . price can not really complain , plus hotel couple year old good condition . room small last one still okay size double , build wardrobe decent sized bathroom . plus many New York hotel give breakfast include price , even continental one ? Location Lexington 31st low end midtown handy Empire State Building , Macys Herald Square . overall , good location explore New York . the staff courteous happily store bag securely check noon - useful european flight usually leave New York evening . small cafe ( separate business ) locate building entrance . handy get snack , paper use internet . 
 Nov 29 2004 	 nice little hotel ... 	 relatively small hotel ... staff quite nice , well service ... room bit old , hey ... NYC ! problem whenever turn a / c would come hot air ... overall ... be worth price ! 
 Nov 23 2004 	 everything expect 	 book hotel back reveiws site disappoint - good clean hotel , nothing special amazing position really not need anything else . go somewhere boring want lounge ina gorgeous hotel room day , go Ramada Inn want see New York . 
 Nov 14 2004 	 excellent hotel 	 excellent hotel . stay New York 4 time good hotel . clean , quiet cheap . great location easy access metro Empire State . inclusive breakfast also bonus . would stay . top mark . 
 Nov 10 2004 	 tiny room horrible shower 	 hotel okay room TINY , typical size european hotel room water pressure shower barely get luke warm . call someone come make sure work properly tell . try adjust water temperature , faucet knob literally fall ! cheap price feel cheap . would stay . neighborhood bad like indian food lot indian restaurant . 
 Nov 4 2004 	 PLACE GREAT ! 	 mom stay hotel first trip NYC . book hotel mistake ( want Ramada Plaza ) . turn fraction price would stay ! read review really nervous , turn well could hope ! staff friendly accommodating . hotel safe . room clean ( ' m really picky ) stay 11th floor great view . look like room must renovate year ago . travel quite bit first hotel ever stay not stink ... smell fresh clean ! bed great quiet every night ! location great want get real NYC experience . ton great indian restaurant spice shop around . like curry eat curry hurry around corner , be GREAT . hotel 2 block subway station . buy & quot ; fun pass & quot ; $ 7 / day unlimited ride , great~ make sure good map subway run ! hotel locate residential area get see people REALLY live NYC nice rest hustle bustle Times Square . * TIP : be take cab airport make sure tell driver 30th & amp ; Lexington , say Ramada Manhattan likely take one . I LOVED NYC one BEST trip like site - see shopping ! feel free e - mail question , will happy share info ! 
 Oct 14 2004 	 Scandalous - Better Business Bureau call 	 still loss word . even confirm reservation ( credit card number tell could change within 24 hour ) , call day arrival confirm hour , arrive NY Ramada 11 pm learn give away ROOM ! even confirm twice , day day ! ! manager tell hear call early , understand colleague tell space available know give away . serious ! give away , tell call confirm , come airport find ROOM , despite tell day could cancel within 24 hour credit card would charge ! furthermore , ask help find hotel tell use public phone hallway . the manager tell would pay cab stay family NJ come back follow night . I never experience entire life . customer service could help either - tell close could place hotel Bergen county NJ - hour outside NY ! absolutely scandalous , furthermore , apology management . moreover , young woman NY , luggage hand , qualm tell would street . I still beside . never life ever stay NY Ramada anywhere world . incomprehensible , would wish bad enemy . it bad end evening , even call police . day , news management . avoid cost ! 
 Oct 13 2004 	 Exellent Neighbourhood Decent Hotel 	 price , bargain . staff helpful friendly , place clean enough ( one roach spot ) . real trouble hot water , run twice stay . wonderful neighbourhood east side Manhattan , close good restaurant / deli 's ... try Tibetan Kitchen 3rd Ave great meal . hotel also near subway stop Park Ave . good location decent hotel price . 
 Oct 11 2004 	 great value 	 think hotel great value . price good problem room staff . price range , choose hotel . 
 Oct 5 2004 	 good value expensive city 	 spend age trawl web look hotel decent review reasonable price end plump Ramada . could not really complain honest . be pretty basic be expect huge room , big bathroom , 5 star restaurant look elsewhere . 's ideal people budget NY one expensive place . walk distance Empire State , Grand Central , 5th Avenue . couple block subway attraction afield . 's ideal location . pretty basic free breakfast not going fill anything price city good NY can not complain . oh , book via Ramada website . 
 Oct 5 2004 	 indian rhapsody 	 stay sept 24 - 27 yes roach yes girl front desk always sleepy location room okwe back ! good place indian lunch westof new deli block away 
 Sep 15 2004 	 nice place ! 	 first trip NYC , love hotel ! tourist - y part get chance see cute part city . close walk distance many thing , neighbourhood multi - cultural . also great restaurant beside hotel- cute spot warm breakfast . university student budget , hotel offer price comparable hostel , much comfortable retro classy feel . definately consider stay ! 
 Sep 8 2004 	 Nice Price Ok hotel 	 stay week August . NYC , price hotel nice . especially location Upper East Side . room small clean . street noise not bad . free breakfast not anything special . like bagel - you be luck ! 's offer besides bruise banana apple . coffee not good , either . hey , be free . staff average . control AC annoying - either freeze high switch roast . . good walking distance Empire State Bldg , 3 block subway entrance . great location catch cab . also charming italian restaurant right next door call Belvadere - we eat several time , wonderful salmon steak . husband love NYC . sure visit Met lunch Central Park ! 
 Sep 8 2004 	 one problem hotel BIG one 	 Ramada Inn comfy quiet , room nice , staff excellent helpful ... one big problem . surprised good review hotel . bad roach problem . see least 8 - 10 roach room three night stay ( first week Sept 04 ) overall , even roach counter checking . yike . maybe be par course New York City , not know . least stock room RAID ! management tackle roach problem , would great little hotel . 
 Jul 26 2004 	 work ! 	 place great price . mom NYC first time not want waste money hotel plan spend little time . stay hotel two night find staff unfriendly not turn . room small , clean quiet . even great view . continental breakfast good love bagel cream cheese . overall , would stay . 
 Jul 21 2004 	 cheap 	 great hotel price : clean , cool renovated building , friendly staff , decent ( & amp ; free ! ) continental breakfast . & quot ; taste & quot ; city family / large tourist group Times Square hotel experience . room corner 2 window sunshine view neighborhood street . tip : Expedia charge Ramada website ( weekday $ 89 ) tip : 1 thing hotel could improve , 's towel . need fluffy , thick towel dry hair , bring one . not care , not worry , be fine . transportation : cab always available . take healthy walk Union Square Times Square , 6 train close Grand Central Station . take M101 / M102 / m103 bus Lower East Side . 
 Jul 7 2004 	 great price . clean deal 	 Hotel close subway . clean . quiet . good part affortable ( ny standard ) . wife July 4th weekend . also love fact hotel see movie & quot ; Terminal & quot ; . even though room bit small , compare hotel city , perfect 2 we . 1 street away lot restaurant . highly recommend price . 
 Jul 4 2004 	 affordable quiet comfortable 	 happy NYC . first visit Big Apple , hotel wonderful . close subway , friendly - staff , comfortable room . thank much ! 
 Jun 25 2004 	 good value good location 	 ' ve New York , hotel good value money , good location ( near empire state building ) . room clean , comfortable , en - suite bathroom nice , big tv ! staff helpful enough , breakfast decent - bagel , doughnut , ceral , fruit ... can not remember exactly pay , well price find hostel . would definately recommend . 
 Jun 23 2004 	 good choice 
 Jun 16 2004 	 great hotel really great price ! 
 May 14 2004 	 great value nice clean room . 
 May 12 2004 	 Thumbs Ramada . 
 May 6 2004 	 great ! ! ! 
 Apr 30 2004 	 Nice Hotel 
 Apr 27 2004 	 Nice Budget Hotel 
 Jan 31 2004 	 nice place stay 
 Jul 25 2003 	 good value 
 Jul 5 2003 	 great value 
 Nov 20 2009 	 Ottimo hotel 
 Oct 19 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 28 2009 	 Cherchez pas ailleur . 
 Apr 30 2009 	 ne peut plus parfait pour son prix trés attractif 
 Apr 19 2009 	 ottima posizione ottimo prezzo pulito 
 Nov 22 2008 	 Bien pour New - York 
 Oct 15 2008 	 wow ! 
