perfection 	 family 3 stay 4 night long Thanksgiving weekend . warmly greet Frances check we without problem . room excellent , yes , window - seat cool ! nice cuddle blanket cup coffee watch shopper scurry around street . we traditional Thanksgiving dinner McCormick & amp ; Schmick 's , less 5 minute walk hotel . starbuck coffee lobby morning wonderful , wine reception evening nice . hotel set Wii kid enjoy parent sip wine relax . the hotel amazingly friendly comfortable . everyone staff smile face , even Thanksgiving day . mean much . finally , location . else say ? perfection . 
 Good need little updating 	 ' ve stay hotel time always good experience . recent trip , notice floor smell musty . room good wallpaper peel wall generally need little TLC . 
 May 24 2006 	 Monaco First Rate 	 stay Monaco four day middle May . never stay Klimpton hotel book Monaco base customer review . pleased decision . doorman desk clerk bellman friendly helpful . real effort make guest feel welcome . room first class . bed comfortable linen . closet big hotel . bathroom clean towel thick . like shower never problem hot water run . television adequate number channel good reception . fifth floor Wabash problem street noise . would prefer in - room coffee maker starbuck coffee lobby every morning . selection newspaper lobby include Chicago Tribune , Wall Street Journal Financial Times . USA Today door morning . location Monaco plus , be one block Michigan short walk across river Magnificent Mile . look Klimpton property future trip Monaco make back Chicago 
 May 20 2006 	 thank god jacuzzi tubs 	 husband stay one & quot ; Mediterranean Suites & quot ; lovely ! overly swank , comfortable , pretty decor two unbeatable feature -- great two - person jacuzzi deep , wide , curtain - off window seat could sit read look river . really can not find anyplace else Chicago price . would definitely stay . 
 May 18 2006 	 way cute 	 wonderful stay ... doorman housekeeping service , could not nicer ... room upgrade even ask .... fun eclectic decor could not resist mix cd . Room overlook Marina City river , beautiful especially night , window seat fun cozy sit watch city . drawback , bed hard side , say stay afford ! 
 May 4 2006 	 one good hotel ever stay ! 	 spend 4 night wonderful Hotel Monaco business trip . great place government rate ! location perfect -- within walk distance Magnificent Mile , Millenium Park Art Institute Chicago . decor hotel room spectacular -- quite funky refreshing . room comfortable clean nice view river ( # 809 ) . staff extremely helpful friendly , especially Barnette doorman . know hungry Chicago information , concierge literally go way meet greet suggestion . wine serve afternoon reception Grade ! cheap swill . definitely hunt Kimpton Hotels future visit American 's large city ! ( wish digital camera photo show . ) 
 Apr 18 2006 	 Happy Easter Monaco 	 spend Easter weekend Monaco 3 young kid fabulous time . Monaco kid friendly , staff great , love location . especially cool unique window ... practically separate room love in - room goldfish . neat touch . definitely stay . thank Monaco great weekend ! 
 Apr 17 2006 	 Nice Stay 	 stay Monaco one night business . not stay Kimpton property pleasantly surprised . extremely friendly check - in staff , comfortable lobby make homey feel . interesting room decor . greatly enjoy dinner attach South Water Kitchen restaurant . stay . 
 Mar 11 2006 	 fun whimsy Hotel Monaco 	 return two night Hotel Monaco Chicago . love decor room - pale green cream stripe wall , white polka dot gauzy curtain , gold upholstered chair - sumptuous luxurious - feeling , fun time . cute thing honor bar , like stuff animal etch - a - sketch , addition usual gourmet snack . bed beautiful red gold cushion headboard , staff provide wonderful little touch like bathrobe lay bed , fill ice bucket , television turn relaxation channel come around turn - down service evening . everything immaculately clean . favorite part room meditation window ( actually two room - one large enough lie ! ) . be sit , feel like be float entire city . together , element make experience stay Hotel Monaco unlike . not wine evening reception , coffee thoughtfully lay lobby morning , 6 9 . conference , really appreciate staff 's helpfulness printing document morning presentation , not trek nearby Kinko 's . everything perfect ... wish could stayed long ! 
 Mar 6 2006 	 comfortable friendly 	 comfortable room , friendly staff , wonderful location . would stay . 
 Feb 12 2006 	 Rock 	 staff service make stay Hotel Monaco unbelievable . go off - season family event , staff provide we great reservation rate upgrade we Rock Star suite . place awesome CD jukebox , deep two - person whirlpool , giant king - size bed comfortable sitting room Keith Moon tv - through - the - window decorative piece . relative take standard room find clean , quaint comfortable ... less raucus . can not say enough great thing stay Monaco . valet lightne quick retrieve car busy , snowy downtown street . desk bell staff attentive sincere . complimentary evening wine tasting relax pleasant . adjacent independent restuarant suitable food range choice cab jump away . ditto sightseeing . even season rate higher may prefer , would advise indulge Monaco try different style hotel service . 
 Feb 8 2006 	 stay live Suburbs Chicago ! 	 whenever husband special night stay Hotel Monaco . Valentine 's Day New Years Eve . town guest stay well town guest ! customer service second none room incredible spotless . eat breakfast hotel stay food always good . good choice nice location . loud truly downtown Chicago hotel . beware parking charge , even car . 
 Jan 31 2006 	 Bachelorettes love Monaco 	 go Hotel Monaco 3 girlfriend Bachelorette Party . organizer , appeciate friendly demeanor in - house reservation team . feel price reasonable 's downtown location . love individuality hotel cookie - cutter hotel . decorate nice , goldfish leopard - print robe fun addition . enjoy large window seat overlook river . bathroom nice spacious- definitely plus 4 woman get ready hit town . unfortunately , shop complementary wine reception not early enough enjoy complementary Starbuck 's Coffee ! concierge helpful planning go evening , supply we plenty free pass . can not wait go back ! ! ! 
 Jan 31 2006 	 amazing place stay 	 Hotel Monaco probably favorite hotel Chicago one good hotel ' ve stay anywhere . location excellent - walk distance loop business , Michigan Avenue shopping , River North dining . 's far subway station . cab relatively cheap Chicago , be easy get around . I get lucky : slow week stayed upgrade huge suite Kimpton member . room come plush robe Hershey 's minature pillow . bathroom ample space toiletry . bed excellent , ' m picky sleeper . especially like window seat . minor quibble : suite , spacious , bit oddly lay . & quot ; Interesting & quot ; use space common issue boutique hotel . happen like funky room , see other might . closet near door , away bedroom bathroom , bit inconvenient suite . desk place sit area way sort block entrance bedroom . also kind small pile Kimpton brochure hotel info make kind hard actually use without move lot stuff around . but none aspect bother much . small business center free internet access hotel , never bother clean desk . one meal restaurant bar , fine . service check - in prompt courteous . would definitely stay . 
 Jan 31 2006 	 enjoy stay Monaco 	 enjoy stay Monaco mid - Jan. 2006 business trip . love atmosphere hotel although unfortunately quick business trip able enjoy many amenity ( wine reception , goldfish , etc . ) eat hotel although food good service somewhat slow . area short cab ride away client 's office convenient get Midway airport via CTA train . think favorite part window seat enjoy view window . great way relax enjoy city . 
 Jan 22 2006 	 underwhelme 	 read read great review Monaco expect - especially high price . hotel ' ok ' view . initial impression arrival uninspire . room ok . view window seat nice . restaurant attach ( maybe separate management ) pretentious , over - price distinctly ordinary . hotel never real feel close anywhere wait valet parking every time want go pain . use car time anyway , business pleasure take Chicago , usually stay town save small fortune . 
 Dec 29 2005 	 name Goldfish Myrna ! 	 love Monaco . arrive early expect hotel hold bag afternoon , room ready let we checkin 10 am ! arrival request goldfish , deliver return shopping , afternoon . name Myrna . our first night , turn service include wrap truffle full bucket ice ; next night offer tootsie roll pop . return shopping offer fresh baked cookie . style conscious hotel fill little nice surprise . the Doorman know we name , even though one interaction , admonish we wait line Garretts popcorn , would happy take care that . I can not say enough concierge . deal two , woman . one aptly take care issue airline , point we shopping discount coupon hand . we eat breakfast restaurant . food service good although nothing extraordinary . the room quirky feel . honor bar include usual item silly putty stuff goldfish souvenier . there question stay Monaco return trip Chicago . fantastic location hospitable staff , become time favorite . 
 Dec 28 2005 	 Great Hotel Fantastic Locations Friendly Staff ( ) 	 ' ve stay Kimpton hotel Hotel Monaco Chicago live expectation . 's great location Chicago , block Michigan avenue block want catch play . all staff extemely friendly , always stopee say hi , enjoy stay . expception female conceirge - conceirge ' ve talk , one rank rude unhelpful - definitely not ruin stay . 
 dec 23 2005 	 wonderful 	 lovely find ! check Thursday evening invite warm wine reception ( good wine friendly sommalier ) concierge help we make reservation four star restaurant . staff unpretentious courteous . unfortunately , babysitter call let we know son fever 105 . immediately check manager say , & quot ; not worry charge . & quot ; never get stay night appreciate generosity ! definitely reschedule ! 
 Dec 13 2005 	 Fantabulous Monaco ! 	 return first trip Chicago , could not wait tell everyone stay Hotel Monaco . the Monaco small , boutique hotel locate possibly one good location downtown Chicago . moment walk small stylish lobby , greet warmly cordially everyone . front desk resemble old Louis Vuitton steamer trunk - one many bit whimsy find . staff friendly , courteous knowledgeable . room clean , spacious comfortable lovely view river . overall first impression last throughout stay . the Monaco 2 block north Marshall Fields , 5 minute walk ( ) theater district , minute Michigan Avenue shop northeast Chicago Art Institute southeast . convenient everything ! hotel stylish without pretentious eco - friendly . aveda product , animal print robe pet goldfish keep company disposal . relax fun ! definitely stay highly recommend anyone go Windy City . 
 Nov 27 2005 	 Loved Monaco 	 lovely hotel . friendly helpful staff . room clean spacious . great location comfortable bed . can not wait stay 
 Nov 20 2005 	 absolutely flawless 	 hotel fantastic . year stay generic convention hotel Hyatt Marriott , honestly say far well option . hotel charming modern , luxurious causual , quirky comfortable . will not believe amenity wait room ! gorgeous decor - catalogue everything towel lamp . be seriously consider purchase one mirror ( room ) home ! 's small hotel relatively small staff remember duration stay help absolutely anything imagine . everything brand new course 's sparkle room fantastic sound - proofing . could not hear siren ambulences Wacker ! fantastic location - 3 block heart theatre district Marshall Fields , 3 block direction North Michigan Avenue area . Water Tower 15 minute walk north Art Institute distance south . can not wait stay be recommend friend ! 
 Nov 18 2005 	 go go Monaco 	 stay Monaco way ski Easter & amp ; love . Staff helpful & amp ; friendly , room huge fantastic view river . central location , 5 min walk el.adjoine Restaurant / Bar , great food & amp ; service . I stay expensive , supposedly well , hotel Chicago , good . thank Monaco , will back . 
 Nov 7 2005 	 give hidden gem try 	 stay hotel twice . sister bring kid chicago air water show every August . lobby small comfortable . front desk staff helpful accommodate . bellman helpful knowledge area . room rather large decor exceptional . bathroom clean spacious . kid excited see fish bowl room ! unique touch . think be like much . & quot ; run mill & quot ; hotel stay . location bonus Mag Mile 1/2 block away . hop free trolly go Navy Pier . recommend hotel anyone want unique hotel great location excellent staff . P.S . hotel pet friendly . hotel manager bring dog cocktail hour . cool . ! ! 
 Oct 17 2005 	 FIne 	 nice property , clean people friendly . call twice towel never receive . good location . would stay somewhere else next time , not place would say , ' m go back . 
 Oct 10 2005 	 great stay Monaco 	 stop Monaco follow recommendation Tripadvisor not disappoint . great location , attentive friendly staff comfortable room . would recommend hotel other . 
 Oct 6 2005 	 wonderful Chicago Hotel 	 stay recently Business . nice , attentive staff ; clean functional room . lobby invite fire , free newspaper morning coffee evening wine . location great many room nice view Chicago river . not goldfish available , 's minor disappointment consider . 
 Sep 16 2005 	 Perfect Location 	 Monaco Chicago perfect hotel location business leisure travel . property locate walk distance Michigan Avenue shop , dine wander . hotel clean funky ... everyone extremly kind helpful . room two double bed , large bathroom nice robe . room windows extended building , mini - cubbies lie read gaze ... cool place hang . workout room tiny , efficient .... tv watch sweat . Starbucks Corner Bakery around corner hotel restaurant draw quite lunch crowd ... food really good . love hotel make first choice stay travel Chicago . 
 Sep 16 2005 	 nice ... highly recommend . 	 stay friend long weekend August love hotel . enjoy free nightly wine happy hour , accomodation quite nice ( bed soft comfortable ) . excellent view river room . location wonderful seeing sight around town , easy access public transportation nearby . friend actually receive goldfish upon request , enjoy . noise could heard room nearby , minimal . price seem resonable us location . certainly return Windy City plan stay . 
 Sep 15 2005 	 nice overall ... bit pricey 	 stay Monaco five night March 2005 . room tad small side , appointment quite nice overall , though decor may whimsical . suppose pet friendly hotel take mean chihuahuas much else . nevertheless , not hear bark dog . March exactly peak season Chicago vacancy rate probably bite high side . room little ledge overlook street , be kind nice . convenience store locate across street , pretty much anything need term food supply easily cheaply . location good : El CTA stop within walk distance want come O'Hare Midway . place near Loop also easy get . Michigan Ave block half away . I would say Monaco average experience , though feel get fantastic deal price . 
 Aug 23 2005 	 Service ? 	 love Hotel Monaco chain ( especially Seattle ) Chicago terrible . stay August 19 - 21st find service lack staff apathetic . request make stay take hour . Friday Aug 19th request yoga basket room 5 p.m . arrive 7:45 p.m. dress leave dinner . told & quot ; will send one immediately . & quot ; Saturday Aug 20th arrive back room 4 p.m. find hotel goldfish dead 's bowl . call front desk tell would send someone & quot ; immediately & quot ; get . 9 p.m . take dead goldfish 's bowl front desk receive comment staff all . my pillowcase old mascara ( makeup stain ) white clean look . I ask conceirge recommend great italian restaurant ( Chicago ) . refer upscale bennigan - like Nick Tony 's chain around corner . Saturday night leave hotel go evening ( single woman alone ) hail cab corner doorman could not bother . the advantage boutique hotel chain service . despite review great service Chicago Hotel Monaco , not see . definitely taint opinion Kimpton hotel unfortunate . 
 Aug 23 2005 	 could want 	 check Hotel Monaco Chicago follow exhaust wedding ( mine , someone else 's ) . valet bellman , concierge front desk - staff excellent accomodate helpful , especially consider run crazy due large number guest town air show weekend . I make reservation quite advance get reasonably good deal ( $ 179 ) . ask room high floor corner away elevator . get room 1401 - large room ( albeit view - look brick wall ) - top floor SILENT - scream child , noisy neighbor , nothing . consider hotel 's 4 star reputation , would expect little bathtub ( small apartment tub home ) , clean , good working order good water pressure . I order room service breakfast , although pricey , reasonably price option , HIGHLY recommend pancake . $ 12 , get 4 enormous buttermilk pancake fresh fruit , real whip cream , real maple syrup . also get cappucino breakfast find like . overall , get money 's worth hotel - well within walk distance theatre district , shopping area ( Mag Mile State Street ) . great find ! 
 Aug 9 2005 	 comfortable hotel expensive nothing amazing . . . 	 hotel comfortable , service fine . fairly expensive ( book last minute business travel $ 249 one night $ 299 next night ) . lobby funky , large . stay 71 , right around corner early stay . room get 71 fabulous view , would probably try 71 next stay end section town . one cool thing yoga channel tv -- endless loop yoga class . unfortunately , yoga gear promise ( mat , accessory ) room , not bother request . 
 Aug 8 2005 	 wonderful hotel 	 reviewer note , service hotel top , room nice comfortable , include bed . shower work well . bath product nice . pay 190 dollar room worth . location good . only complaint , check early hour 11 kind find we room available hour , unfortunately offer we bad room hotel right across elevator 2nd floor . quickly change request . one morning ate attach restuarant forgot we . food decent . 
 Jul 27 2005 	 great value great location wonderful ! 	 stay back June . celebrate 5 year anniversery Chicago reserve suite jacuzzi . price suite reasonable , consider block north Michigan Ave Magnificent Mile would ' ve cost couple hundred dollar per night . location great . short distance Magnificent Mile north musuem south Michigan Ave . the people work friendly helpful . suite FANTASTIC view . be plan come Chicago shortly plan stay . next time though , be take dog we . mention place dog friendly ? ; - ) 
 Jul 13 2005 	 Places stay chicago Embassy Suites 	 please say stay lot hotel Monaco affordable , nice comfortable , relax hotel suite jacuzzi bathroom close club restaurant magnificent Michigan Avenue . recently stay Embassy suite also comfortable , affordable relaxing lobby outstanding walk seem like still outside party atmosphere lobby . great restaurant right downstairs also locate nightlife chicago offer . look affordable plus comfortable place definitely place would like stay . 
 Jul 7 2005 	 FANTASTIC hotel -- fun stay 	 extend family stay Hotel Monaco celebrate wedding city . disappointed . every aspect hotel wonderful . eclectic decor , friendly staff , free coffee morning wine evening , comfortable lobby -- hotel element excellent boutique property . room large window seat , excellent reading , relax , watch busy Chicago traffic . the concierge give we excellent tip nearby eatery , help member party find way museum . would echo reviewer say hotel 's restaurant , South Water Kitchen , disappointing . food less stellar , overpriced , service slow . the hotel , however , outstanding . would definitely stay . 
 Jul 5 2005 	 Charming Hotel ! 	 husband stay Hotel Monaco weekend getaway . hotel staff courteous helpful suggestion dining , transportation , etc . hotel room lot character charming . downfall trip hotel 's restaurant , Southwater Kitchen . wait 45 minute breakfast serve restaurant finally get leave . would definitely stay ! 
 Jun 24 2005 	 Anniversary Surprise ! 	 anniversary wife surprised stay Hotel Monaco Chicago . awesome time . room ( suite ) spacious whirlpool tub 2 nice touch . bedroom living room fun eclectically furnish . get lot use window seat overlook river ( Chicago River ) corner room . staff great valet guy good ( mention go U Duluth ... live ! ) . look forward stay . 
 Jun 20 2005 	 enjoy stay ! 	 stay Hotel Monaco Memorial Day weekend nice . staff wonderful ... helpful friendly . fly red - eye flight San Diego therefore arrive hotel early morning . front desk staff willing check we early , willing go king size bed , would view river , . unfortunately two friend travel together , opt wait afternoon check , could two double bed . room adoreable , bed extremely comfortable duvet . two window seat room , make great relax time , especially view river city . bell staff conciege also friendly helpful give we good recommendation dine / jazz club / etc . Chicago , try RUMBA restaurant hubbard street . unbelievable live music dance Saturday night . make reservation dress well ... be pricey well worth . b 
 Jun 19 2005 	 terrific place ! 	 first trip Chicago . Monaco fabulous . check check simple . check - in ask give room view river . romantic room , good sized beautiful decor . afternoon wine great - wish less shy take advantage chair massage offer . concierge great - got us reservation classy restaurant John Hancock building firework last minute . location , location , location fabulous . easy access museum , Magnificent Mile , river cruise , Millenium Park . major sight walkable hotel even blister ill - fitting shoe easily accessible bus Michigan Avenue . not miss & quot ; bean & quot ; Millenium Park . definitely stay Kimpton Hotels - impressed . although terrific Kimpton hotel Chicago would stay Monaco super location river view . 
 Jun 13 2005 	 Excellent ! 	 live Chicago suburb need day ' away ' stay Hotel Monaco . excellent hotel great service stylish clean room ! Hotel 's location could not well Millennium Park , Michigan Avenue , Loop Navy Pier within walking distance . complimentary evening wine taste nice really cool ' companion ' goldfish deliver front desk call ' 9 p.m. goldfish run ' . ask ' quiet ' room avoid loud late night folk elevator . also , use excellent concierge seem know sale store hour place area . visit sister - in - law stay Swissotel Wacker drive time . room well view , not half character excellent service enjoy Hotel Monaco . I ' m become big fan Kimtpon Hotels own Hotel Monaco really interesting fun ' boutique ' hotel Chicago around country . 
 May 16 2005 	 Nice Hotel 	 stay Hotel Monaco May 12 , 2005 conference . check painless . staff friendly helpful . room quiet , non - smoking , spacious , furnish king bed , read chair , desk chair television hide large cabinet . bed comforter many pillow . wildly colored bathrobe closet . towel large thick . in - room safe , refrigerator . wireless internet free fast . offer goldfish keep company night interesting try , call twice 9 11 pm promise goldfish , one never show . one colleague report similar experience . take advantage overnight complimentary shoe shine . morning , go 8 meeting , shoe back . come back 15 minute call request . meeting room fine . service food meeting terrific . food meeting abundant good . nice hotel stay good one meeting . 
 May 1 2005 	 Nice Hotel Great Location 	 romantic , comfortable , quiet , room , view Chicago River , great location . check cordial , afternoon wine tasting bonus . since Chicago one good walk town world , location fantstic- within walk distance jazz club Hubbard St. , sjhop Magnificent Mile , park Michigan Avenue . 
 Apr 29 2005 	 Memorable Monaco 	 Stayed Monaco romantic weekend getaway simply fantastic . convenient walk museum , shopping park nearby . room great box window sit enjoy view . also request goldfish pleasant surprise add charm uniqueness hotel . helpful staff , wifi , Aveda product , decent restaurant downstair brunch , easy get taxi nothing beat location . would definitely recommend stay hotel , business pleasure . 
 Apr 12 2005 	 Good Value Great Location Terrific experience 	 return first stay Monaco . read review , curious impression hotel staff would . find staff friendly helpful ( even concierge desk several reviewer blast ) . room cheery , clean , spacious . hotel locate around corner el - line Metra , get around easy . far complaint far walk Michigan Ave . , reviewer must walk home . Michigan Ave . five minute walk . would definitely stay hotel . everything want four star hotel good value price . 
 Mar 28 2005 	 ok 	 stay Monaco Seattle , Chicago Monaco nice -- staff helpful . concierge joke . recommend mostly place find glossy hotel magazine dining . room bizarre layout -- difficult bathroom use door barely clear tub sink small shower ever use -- include cruise ship . Mediterranean Suite . not hold candle one Seatte . stay . many nice hotel choose . great location , though . 
 Mar 20 2005 	 New Favorite 	 love Chicago Kimpton Hotels since last stay Hotel Monaco decide new favorite . check breeze , ask room size clerk tell want big room view could price . huge ! two comfortable king bed , two comfy chairs ottomans desk armoire t.v .. Bathroom not huge manage . Foyer large accomodate luggage mess sleeping area . Decor funky fun . afternoon wine hour hit lovely common area fireplace . concierge helpful valet team . one bad thing bad full day shopping return room 8:00 quick change dinner reservation room clean fresh towel nothing . call immediately send somebody room w / towel finish leave evening . despite definitely stay . 
 Jan 19 2005 	 Wan na go Monaco ? 	 husband stay Hotel Monaco 2 night celebration 10th anniversary . everything fabulous ... room overlook Chicago River , great french Deco furnishing , Luxury bed linen , great service , walk distance everything . icky thing & quot ; pet goldfish & quot ; , cute perk stay Monaco , belly upon return one night . replacement fish find condition follow night . Yuck ! get good laugh plan return . 
 Jan 9 2005 	 Fantastic Monaco 	 writing room Hotel Monaco end long weekend January 2005 . , hotel live high expectation ! towncar transfer arrange perfectly , check - in breeze , room know . request , high floor room overlook river , great view window seat . decoration room hotel general colourful , nice change generic chain hotel without fall annoyingly try - to - hard - to - be - hip . bed comfortable , nice bathroom Aveda amenity . one thing like hotel add amenity . every morning free coffee tea , free wine evening , turndown service , etc.etc . staff polite . nice touch also discount card get , redeem next stay Kimpton Hotel ; incentive , frequent guest program need stay numerous time benefit . location hotel also great , within walking distance everything - contrary reviewer find walk Michigan Av absolutely problem . would highly recommend Hotel Monaco ! ! 
 Jan 5 2005 	 Alright price 	 ok , husband stay Chicago Hotel Monaco New Years Weekend . man front desk cold , woman concierge ... actually DESK . location be not bad , next time think stay directly Michigan Avenue . walk be not bad first time , could not move time finish shop Magnificent Mile ( comfy shoe ) take $ 5 cab back hotel continue take cab rest stay . hotel restaurant , South Water Kitchen , great breakfast , bit pricey everything pricey area . order extra shampoo towel ... never receive . mini fridge stock well , little goody bin look like goody year . Dusty crumble wrapper . bed comfortable love comforter , bathroom decent size . window seat great touch , except stain pillow top . pay $ 160 night think decent receive ( hotel $ 200++ ) . time be not bad . lobby small nicely decorate , free starbuck coffee lobby strong , , front desk rude . overall , pay $ 160 less , less get ok deal . would suggest put couple extra buck nice hotel Michigan Avenue everything happen . oh , try world famous popcorn ... great popcorn worth 45 minute wait line . Navy Pier nice ! 
 Dec 30 2004 	 Pleased 	 stay Chicago Monaco Halloween night 2004 . location great . easy walk shop & amp ; restaurant & amp ; far bus stop . usual Monacos beautifully decorate . enjoe excellent service & amp ; evening wine reception . restaurant South Water Kitchen serve wonderful breakfast & amp ; delightful staff . pet friendly hotel well . offer business center allow free access internet . room little large normal . would return hesitation . KA Snodgrass AAA Travel 
 Dec 22 2004 	 Superb ! 	 family satye Monaco one night wondeful time ! hotel center . staff friendly form check - in valet . love window seat spend morning lookig . suite let we . color vibrant inviting , comfy ! bathroom wa also gorgeous . jacuzzi relax bath product scented room whole stay ! overall , wonderul ! 
 Dec 14 2004 	 best ! 4th stay 4 year ... 	 hotel gem . visit Chicago Thanksgiving every year least 10 year find Monaco . 's hotel choice . perfectly locate betw/ Mag Mile & amp ; State ( close Ronnie 's Steakhouse breakfast ) . window seats w/ river view die . staff always nice . wait elevator . complaint can not get Hot Rates , Hot Dates summer could really enjoy Millennium Park , short walk . Wish could afford become permanent resident hotel . 
 Dec 12 2004 	 good value 	 spend two night Monaco . good hotel , would stay . criticism thread unfair harsh ; e.g. , fwiw , front desk LV replica shabby . I prize follow hotel : value , convenience , cleanliness ambience . pro con see it:1 ) Convenience : arrive Midway Southwest 0920 . take carryon bag straight Orange line , $ 1.75 fare one way . make mistake transfer State line , although end new Pedway exit Marshall Fields -- wife think good thing . hotel block two away El station , easy walk even bag . gate door time 40 minute , 30 minute departure since take Orange line directly airport . think Chicago easy town navigate , hotel location make extremely easy . room map make find eat location walk strategy easy figure . concierge give accurate estimate long would take cab Charlie Trotter 's ; find cab wet Friday evening December challenge ; walk Wrigley building catch one 5 minutes.2 ) cleanliness- room spotless . aware old building sound transmission hall room . room 1212 excellent view river , even early check . bay windows nice . noise actually come guest think nothing allow door slam behind . staff polite appreciative give tip end stay.3 ) ambience- pretty good effort . like Kimpton approach , stay Argonaut summer San Francisco . kind eclectic decor . room comfortable , bed fine ; be 25 cable channel ( HBO ) . dine hotel adjacent restaurant . eat Corner Bakery street . staff fairly friendly . Business Center third floor free internet access printer ( printer front desk computer ) could checkin Southwest online get boarding pass ahead time.4 ) value -- one city 's busy weekend ; discount significance . pay $ 199 per night feel good checkout . pay two half time single meal Charlie Trotter 's ( , incredibly , feel good ! ) . question ' ve stay hotel high mark , often notably high price tag . stay Ritz Carlton Chicago like , would return Monaco first . Kimpton group usually willing exceed discount find Net , sure ask book . if be reasonable guest fair expectation ( unlike whine ' ve read ) , think will good time . 
 Dec 7 2004 	 Snotty -- -- -- 	 Disappointed ! first time go Chicago stay Hotel Burnham . hotel fabulous , room exquisite service impeccable . result , want try another Kimpton Boutique Hotel see review , decide stay Monaco . first arrive front desk staff rude act inconvenience ask add touch pet goldfish . care chic instead job . room nice large fiancee love little alcove could stare activity outside . next morning room service late receive new glass iron board return original location . addition amenity Monaco provide complimentary wine hour . hour , go across street White Hen pick juice morning . return hotel front desk staff advise we wine hour . politely say may come later . look juice , emphasize we wine hour & quot ; FREE & quot ; insinuate cost factor we cheap . night wanted eat italian restaurant concierge recommend place 2 minute away state staff eat regularly . food Nick & amp ; Tony 's , GRILL ROOM , horrible unless TATSEBUDS . eat two bite decide eat sandwich White Hen . next day eat much well location lot well price Michigan . great time Chicago true hotel experience stay Burnham . 
 Dec 5 2004 	 little disappointed 	 wife bring daughter downtown blowout & quot ; American Girl & quot ; Weekend choose Monaco 's glow review . arrive late maybe be put second - stringer , feel unwelcome desk staff -- like intrusion . will never understand -- be hospitality business be inhospitable ! ( get picky , reception desk cleverly design look like vintage Louis Vuitton trunk need maintenance . repeat & quot ; HM & quot ; initial peel -- look like use rub - down silk screen durability ) . get room find maid 's ratty work shoe foot bed ( yuck ! ) . ' m still try figure scenario . ashe -- ' ve rule spontaneous combustion . also , disappointment daughter , much - advertise goldfish MIA . bellhop ( apologize shoe ) explain take away fish turn bed & quot ; ... ok ? & quot ; say . think proper response hotel like would bring stink 35¢ fish make tired 5 - year - old happy . side , room nice over - the - top decoration daughter love ( & quot ; would like live ! & quot ; say ) . bed comfortable -- wife want brand . bathroom nicely appoint quality material good strong shower -- except cheap fall - apart - while - you're - using - it toilet paper . come Kimpton ! much decent roll cost ? view towards river great ( try get one ) daughter love upholstered wide ledge window -- close curtain & quot ; club house & quot ; watch world go high city . short : nice hotel -- desk staff night could nicer ( would not cost anything would make maid 's shoe ! ) 
 Dec 3 2004 	 must ask large room 	 website give impression two , two , type room : regular suite . room actually come wide variety shape size . check , ' make specific request , get narrow room bed big , view boot . Lesson learn -- specifically ask big room , river view , least view Wabash Avenue . also , definitely take offer free pass gym street , exercise " room " like closet . curb front hotel get crowded , drop luggage adventure . bellhop well , someone direct traffic would well . 
 Nov 29 2004 	 wonderful location / decor 	 return Chicago stay Hotel Monaco . great experience . hotel great location , close shopping theatre . decor really great , different boring hotel . even give goldfish stay want one -- unique . 5 pm 6 pm wine hour beautiful lobby . staff friendly Concierge helpful . would recommend hotel anyone plan stay . 
 Nov 19 2004 	 amazing hotel every respect ! ! 	 June 2004 , hold client conference amazing property . one coordinate everything conference , invest property even lay eye hope well . hardly disappoint ! moment arrive ( chocolate chip cookie ) everything perfect ! staff energetic extremely helpful . room amazing , decor top notch meeting facility superb ! pre - conference planning post - conference follow - up , could well experience . the room extremely comfortable ammenitie top shelf . aveda product bathroom , window seat spectacular view ( one Suites ) river , amazing bed linen functional workspace ( highspeed wireless internet boot ) ... could not ask ! will back next time vacation will bring family . 
 Nov 1 2004 	 lovely . lovely . lovely ! 	 Outstanding ! Chicago performance Chicago Theater delight find charming hotel couple block away . hotel staff pleasant , decor quirky wonderful . we stay Mediterranean Suite ( Room 811 - highly recommend ) . high ceiling , three cozy window seat face Wacker street , comfortable bed , lovely bathroom big whirpool tub , Aveda product , etc . perfect . also make request one pet goldfish care Shedd Aquarium . fish fun addition wonderful stay - even mini - bar item terrific ! 
 Oct 24 2004 	 clever friendly hotel 	 really like Kimpton hotel , like - decent value , boutique feel , fun , sleek even tongue - in - cheek furnishing . room nice , would expect , really nice view Chicago river downtown . 's favorite Kimptons , be still nice ( interesting ) experience business ( leisure ) hotel will stay . note : full menu room service end 9:30 pm -- bummer be fly late . 
 oct 22 2004 	 Perfect location spacious room great price ! ! 	 nine lady grade school friend celebrate 50th birthday 2004 take trip celebrate reconnect . find Hotel Monaco SW Airlines web site , get great price . fabulous location , friendly staff , large room , great ( fun little funky ) decor , cheap nice restaurant bar attach seat front great . happy hour wine lobby great well ... could not well trip ! 
 Sep 25 2004 	 lovely ! ! ! 	 Stayed Valentine 's Day , love everything . staff efficient extremely helpful , service - top notch . enjoy room - tasteful decor , albeit little small side . go , Kimpton ! 
 Sep 25 2004 	 fine hotel good price 	 stay Hotel Monaco four night early September . pleased . staff friendly . room , large , nicely do . room overlook river could sit large , cushion window seat watch world go . hotel within block els loop tranportation easy , , far enough train noise . also block Michigan Avenue , thus close park well shopping . jewler Row Marshall Fields also near . 
