way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Sep 4 2005 	 's true folk 	 stay room 721 . ' m much appreciative level service quality , location accomodation receive . return New York get business . thank Hotel 17 Barry 
 Aug 11 2005 	 New York 's fine ? ! 	 daughter , 16 return 6 night stay New York City . want experience one hotel decide stay Hotel 17 , mostly price , info read book . first night Portland Square Theatre District , ok , thrill bathroom , figure go well three , wrong ! arrive Hotel 17 instantly fall love , quiet little street seem quaint personal , ooze tourisim . lobby & quot ; neat & quot ; aspect word actually feel like boarding ride Disney 's Tower Terror . hotel european looking guess dark wood , thick trim old mirror , wonderfully restore . our room look similar two comfy bed , think comfy New York tired bed anything would feel good ! bathroom hall , think 10 room share two bathroom , never wait even see another person , super clean , sign anyone shower , smell , totally change view share bathroom dread part trip experience change mind . all great experience . daughter stay hostel say hostel ! would reccomend anyone . go Chealsea Star .... read review ! 
 Jul 27 2005 	 good value 	 Hotel 17 defintely experience ! price ( $ 79 / night ) , be great value : location superb , easy access Union Square , Greenwich Village Gramercy Park . desk staff friendly helpful . my single tiny bit dingey , think pretty clean . extremely clean bathroom hall . amenity spartan : in - room tv small , towel almost worthless ice machine downstairs . wall thin enough neighbor complain shut door loudly . but cost location general condition room can not beat . want safe , cheap hotel NY , especially be travel alone , definitely worth check ! 
 Jul 17 2005 	 awesome 	 place hostel like suppose , european - style hotel bathroom hallway . fine since well keep one person time could enter , total privacy . $ 75 per night amazing deal . bed large regular twin , 6th floor great view , air conditioner . also , provide free soap , shampoo , even body lotion ( dry summer ) . want maid come put sign knob door . fresh towel sheet everyday . like wallpaper , ask new bedspread , mine light stain , bring beautiful clean one right , even match retro wallpaper ! next time NYC , would like stay Hotel 31 , sister establishment , close Broadway , sure identical Hotel 17 . GREAT PLACE . GREAT DEAL.P.S . Utilize Super Shuttle service . ask friendly helpful deskstaff info . 
 Jul 13 2005 	 ' LL BACK 	 first , can not beat price . be young budget like , be worth every penny . pay location nothing else . Union Square short walk . what lack amenity , detail , service , location low traffic make . really not know many thing offer besides room toilet . remind dorm life . half floor share couple small bathroom , never run anyone way john , ever wait . wonder guest assure around . the room clean . rat , mouse . not even notice smell . wa dark old mansion kinda way . call ambiance . never take elevator . bed not great , fine . blanket would nice . AC work well . view outside window , not need one . not wireless internet , someone close ... lol . have buzz swipe certain time hassle . drink much one night , friend bring back . come , make we pay third person spend night . $ 10 , think . check easy problem keep bag awhile walk city catch flight . all , 's frill roof head Manhattan actually afford . 
 Jul 10 2005 	 mouse would great 	 register stay Hotel 17 five night . say first three night , pretty pleasant . hotel staff nice . give extra pillow . bathroom always clean . night four however , problem mouse . discover two room . move different room , not problem , decide change hotel last night . 
 Jul 6 2005 	 Hotel 17- Young Heart 	 friend take trip NY college Grad Hotel 17 one good memory trip ! lil hesitant stay hotel share bathroom , mention star role Woody Allen movie entitle , Manhattan Murder Mystery : ) turn great place price . 4 bathroom per floor- always one available pretty clean- ( wear flip flop though ) bedroom two twin bed think double . room spacious interesting sink room helpful . keep mind couple thing , hallway hotel general smell pretty smoky- can not deal w/ would recommend . also , place old not surprised open drawer handle fall ! hotel also good location 15 min subway ride times square , bad figure subway system . typically young crowd , would recommend place open - minded , adventurous want cheap sage place stay ny.just willing try something new not let lil thing bother will great experience , FUN ! ! ! PS- Raymond front desk rock ! 
 Jul 5 2005 	 like 	 1 week may 2005hotel 17 one hotel be not sure go like , find lonely planet book usa book internet . and really like , price little wary would like , do not mind share toilet shower another room , clean every day keep clean , will enjoy . look room sleep new york rest time explore , bed sleep place , great location well , easy walk subway nice neighbourhood . simple , clean , comfortable : ) 
 Jul 4 2005 	 small 	 room small . front office staff ok friendly . not want spend much time hotel , fine . move Murray hill suite 2 day stay hotel comparison , though price . Murray hill suit 29th street well ; roomy clean . shared bathroom another thing might want consider stay . good hotel couple family . student single may like . 
 Jun 29 2005 	 Eclectic no - frill quiet marvelous 	 look clean , eclectic , no - frill , inexpensive hotel , can not recommend Hotel 17 highly enough . stay week mid - May , 2005 . double size bed comfortable ( age 58 ) husband ( age 60 ) permanent back hip pain . quiet bathroom share keep clean throughout day . room clean plenty space unpack week 's stay . enjoy european service room make want trash empty new towel . staff helpful question local restaurant . one elevator bit slow , 's hurry ! take stair elevator ! wonderful city park across street . neighborhood lovely take nearby subway section Manhatten . long take get anywhere Central Park take 30 minute couple transfer . would not hesitate stay Hotel 17 . 
 Jun 21 2005 	 Perfect 	 stay 9 night may -like lot . nice staff , clean quiet room count : 14th street 's 10 - minute - subway - ride Brooklyn . perfect ! 
 Jun 16 2005 	 love 	 first time we NYC . love little hotel stay 8th floor . bathroom clean times . one time wait bathroom . hotel small old , really , nice . price can not well . pay $ 75 / night right center Manhattan . neighborhood nice feel safe time . subway station two block away . satff helpful nice . recommendation : let hotel call limo service ( set fee $ 40 ) probably charge $ 10 extra , possible call limo service take one yellow cab . defenitely stay . 
 Jun 13 2005 	 exactly say tin ! ! 	 hotel perfect location we , easy walk distance Times Square Village , good world really . although weary share bathroom never issue , sink room shaving etc , bathroom always seem clean . staff not overly friendly that s way like , need pushy . long remember budget hotel will not disappoint . overall , one well hotel New York stay would thoroughly recommend . 
 Jun 6 2005 	 ok value ..... 	 yes be relatively cheap location great East Village Soho , pigeon nest air conditioner fine want get ie . 5 am , good want sleep later . could not reach due mosquito net window , staff say would move nest . stay 4 night ask day , nothing . 
 May 21 2005 	 Quaint Clean Reasonable European Influence 	 hotel great bargain expensive New York convenience tourist would need explore energetic city . book triple hotel week arrival $ 99 tax midweek . easy find , couple block away Union Square . hotel small overall , staff nice helpful . room adequate , contain double single , window view brick wall , old television sink . room in - room bathroom , share bathroom hallway remind hotel find London . guess common old city hotel share bathroom . hotel clean , include room bathroom . overnight , little noise hear except pigeon roost window morning . bed firm comfortable , springy loud . shower late morning , instead use bathroom expect , sparkle clean completely dry . guess staff must clean bathroom thoroughly use , think amazing . check little slow , hotel desk busy people check . kind enough hold luggage day check out . overall , hotel good experience . definitely worth 's price consider New York standard . would much rather stay glitzy hotel get amenity historical touch . hotel room New York use sleep . time spend hotel room explore great city ? ! 
 May 18 2005 	 perfect need ! 	 look website book hotel , unsure expect variety positive negative comment . however , stay , decide put 2 penny / buck worth . yes , hotel little dark , maybe room little small , however , little time lounge around hotel room plenty see / do New York ! share bathroom never dirty think wait show week pretty good go consider hotel fully book night ! location wise , could not well place . close subway ( Union Square ) quite good subway line take pretty much everywhere . nice local pub / bar visit convenience store pretty close . get visit mouse , fault leave food ! bother not think return lock chocolate away ! , good budget hotel , well suited someone not particularly fussy luxurious room . go back New York , pretty sure would consider stay ! 
 May 16 2005 	 trying set record straight ! 	 try decide whether stay read many conflict review , stay think would try put balanced review hotel up . I think bottom line long know expect , nice little hotel . firstly location fantastic , friendly quiet ( NYC ! ) area , 4 block Union Square , major subway station - make easy get around . hotel bit dark , bathroom share , wall fairly thin . say , not keep awake people bathroom immaculate . room not big , let us face - be big apple , be sit hotel ! would reccomend hotel 's price location . be situation ( twentysomethe budget day explore new york ) can not go wrong . maybe be bit old , use ensuite bathroom creature comfort bind well place . oh , incidentally - midnight visit mouse , freak might like reconsider . serve we right leave chocolate bar suppose ! ' m write , might also reccommend small deli East 17 St. towards Union square supply we food many cheap delicious picnic . call Connelly Corbett , well worth look . 
 May 16 2005 	 everything front desk 	 great place ! ! clean , great location , confortable , quiet ... staff ok , Rosa maid nice other floor service . the reception awful , hotel guy would fire . welcome , info , help .. nothing ... realise common attitude many touristic place NY ( empire state staff good example ) .if hide cross reception great place rest NY . 
 May 12 2005 	 good deal around - clean ! 	 read variety comment site , hold breath cross finger ascend stair Hotel 17 . first , late check ( nearly midnite ) absolutely problem . ask ok move we original room ( w / a share bath ) one private bath price . fine we ! room tiny cozy spotless . bathroom gleam ! many NY bathroom say ? location could not well - stumble show Irving Plaza , get food Gramercy Cafe grab coffee Irving Place ( particular order ) . will definitely back ! 
 May 10 2005 	 adequate — charming quiet nice area ! 	 can not say enough Hotel 17 . first - time New York tourist , little worried stay inexpensive hotel . expect filthy bathroom , roach stain carpet — good case scenario . from moment spot awning hotel 17th Street , feel comfortable , welcome . the front desk staff — man name Raymond — friendly accomodate beginning — even give large room one originally book — additional charge ! elevator — many note — incredibly slow . however , hoof stair , always quick case luggage not involve . my single room , include full size bed , night table , sink , cable television desk , cozy sufficient . bed incredibly comfy , light warm soft carpet clean . Maid service prompt offer request , major benefit morning need sleep in . the hotel typical institutional , boring day Inn . be quite charming lot dark wood trim , antique wallpaper light fixture . nonetheless , be obvious improvement make area comfort hotel concern . bathroom ( 4 floor ) modern , clean excellent water pressure . never wait shower shocked find bathroom still spotless morning fill shower guest . must maid hiding closet ! perhaps impressive aspect hotel part town locate . situated quiet street , three block Union Square ( major subway station ) , Hotel 17 perfect place escape tiring day run around city . area residential ( flank lot neat brownstone row house ) , offer plenty cafe , shop even theater . , can not say enough hotel . even could afford expensive place , would still return Hotel 17 . stay one enjoyable aspect trip . 
 May 2 2005 	 back soon ! 	 ok , first ever trip NYC go worrying thing right outset . originally , book New York Inn via Expedia - little realise dump suppose . find via website ( thank Trip Advisor ! ) . anyway , get back Expedia find next one list - Hotel 17 . , obviously find bad hotel originally , taint experience bit - go review website decide bite bullet . make , nothing bad New York Inn ! go ahead book ... arrival , weary flight get taxi hotel . driver seem know straight away thought must good thing , could popular . drop right outside hotel - not really look like much honest . hotel look nice day . ( see photo ) must say , upon arrival , meet member staff . will not give exact name , call & quot ; & quot ; . & quot ; & quot ; disappoint meet usual enthusiasm would expect generally Americans experience past . hello would go long way . card fill simply shove face really tell could find room ... wonder speak english , ask , , england & quot ; stiff upper lip & quot ; make feel awkward .... anyway , hotel remind old fashioned hotel would find film . little worried go get ... think coachroache rat etc . however , slow elevator journey , find room . originally , think bit dark - room soon grow we . need sleep , maybe take mid day rest . hotel Expedia seem share bathroom - guess norm . whole concept work well - bathroom always spotless - rare occasion busy , simply walk next one floor . bathroom nice size - enough room get dress shower etc . the maid service excellent - fault ! not smell ratsdaily , eat Gramercy Cafe stone throw away - find excellent service . shop nearby , several 24 hour always find something open grab drink snack . also , try Mumbles - excellent steak ! subway 3 block away ideal journey around Manhatten . use subway get back JFK ideal location . phew - anyway summarise : - excellent value money - ideal location , surround area access shop , cafe subway - characteristic comfortable decor - rat - shared bathroom , clean throughily regularly . - good - not expect Hello Mr & quot ; & quot ; . 
 Apr 23 2005 	 yes 's basic 's clean cheap 	 stay two week March 05 whilst visit NYC - say review pretty accurate , 's basic hotel gloomy feeling place - , clean though , must ! staff pretty dry , be NYC ! ! ! ! share bathroom constantly clean two week visit , one experience wait shower - think pretty good . I single room ground floor do job fine , tv comfy bed - room quite dull not bother much . I read one review whilst can not comment rat experience , tell mine . it old building ( like other Manhattan ) , obviously mice building - see one stay , food room , ditch , never see hear one again . I ' m sure rat customer see , likely mouse . if be look cheap comfortablel place stay , area absolutely fantastic - right middle Gramercy district mean minute away action East Village ( 4 short block ) Union Square ( 4 block ) - Greenwhich village 15 min walk away - Gramercy Cafe must breakfast , lunch dinner ! great food ! hope help . 
 Apr 17 2005 	 basic fine 	 pay £ 40 night plus tax 7 night - give mixed review expect something basic , - single room bed , desk , mirror hangar rail clothe ( plus tv radio ) - sink , though think room since saw happen pass room . share batthroom always claen never wait 7 day . room do not get much natural light , get stuffy , literally sleep - get back early monring , wake go . purpose fine . do not really see guest , though clearly full . towel bit small guess , new one every day.great location - 3 block union square cool area interm bar etc - new york month stay round times square - area much fun . see rat / mouse mention - do not see week , though see rat / mice poison room desk guess time time , though doubt unusual old building new york , london . would rather see try something leave ! ! will not get private room much cheap new york , would stay , though imagine summer would little unbrearable heat . price location make reservation however . 
 Apr 6 2005 	 well expect 	 back staying weekend Hotel 17 say much well expect ! room & amp ; bathroom clean location 3 block Union St 4,5,6 Subway . room lovely warm find staff helpful friendly ( look bag Sunday ) .they also rang car bring friend JFK flat fee $ 45.only downside one elevator take age come , towel give tiny bathroom quite busy day check out . stay away Gramercy Cafe 1 block away - eat tasteless food ever taste . bland . if budget could pick well location . 
 Mar 30 2005 	 nice hotel price rat ! 	 difficult find hotel nyc bathroom unless willing pay 200 $ US per night . place good price consider this . we love neighbourhood , find share bathroom clean , clean day . my problem third night stay , awoken small rat luggage look food . chase door.they immediately send someone set trap , next day move we room top floor & quot ; rat & quot ; get compensation lose sleep .... , problem . would suggest keep food room . know Manhattan problem rat , see subway , compensation would nice . if book room , make sure get top floor . 
 Mar 30 2005 	 pleasantly suprise 	 find hotel Travel Advisor decide give try base price location pleasantly suprise nice . neighborhood wonderful , full restaurant close Union Square . female travel alone , always feel safe walk around , even dark . room small clean , newish carpet brand new sink even nice view . bathroom clean time never problem find empty one . like whole feel hotel , seem fresh paint wood polished . people front desk friendliest ' ve ever encounter not rude either . want throw two cent think hotel great value expensive city . 
 Mar 22 2005 	 awful awful awful 	 read positive review Hotel 17 , book long weekend NYC . however , aware room share bathroom facility service truly awful . tell would not bathroom room , bathroom hall hair drain guy hall puke night long . staff accomodate , basically rude . can not even change reservation front desk- online . sure know be pay for- even though worth $ 30 night , like hostel . 
 Mar 11 2005 	 nice place cool guy 	 well , bear mind budget hotel well locate ny.the hotel service nothing 3/4 star modern hotel . I ' ve book double room 3 night Expedia . arrive , alone , give single room . clerk tell & quot ; ' ve turn away lot customer today , full , sorry & quot ; ( lucky room anyway ) . room small ( see photo ) get double room next 2 night ( without compensation first night course ) . double room far comfortable single . this hotel well locate , 3 metro line nearby , among green line ( 4,5,6 ) run manhattan north south . I find room calm bed good , ' ve sleep well ( earplug ) . bathroom clean , clean regularly , even night . remember notice someone take shower 10 pm bathroom clean 5am . what might like ambiance . hotel dark . lobby fact corridor front desk , feel little bit miserable first impression . painting poster wall , decoration , room corridor nude quite old . so , expect like modern hotel , disappointed go hotel cost least twice price . cool , not mind share clean bathroom not mind kind gloomy atmosphere due lack decoration light hotel small budget . keep luggage free leave 12 am . 
 Mar 3 2005 	 stay away dump 	 book room Hotel17 1 week read positive review read Woody Allen use location one movie . I really understand people give high rating place . the room give small dirty , bed poor condition AC inefficient . the room also noisy . I ask change room unpleasent staff , long animate discussion , & quot ; threw & quot ; key 3 room say free choose well ... not come show room . I see room really horrible , bad one give . oblige stay night late share room bathroom NY size COCKROACHES ! next morning try leave cancel booking card already charge refuse give back money . stay nite left hotel even pay week . avoid PLACE ! 
 Feb 15 2005 	 nice cosy clean place 	 feb 2005 two child impression would get room three single bed . instead , share double bed daughter son single . three single bed would comfortable . also mouse room not harm . window not shut well , night wind blow loud cold draft room . pleasant stay Hotel 17 . lovely cosy place lot style excellent location ! quiet bathroom clean ! would love come back time ! 
 Feb 10 2005 	 small cosy . 	 not understand negative review Hotel 17 seem get . stay hotel 17 friend october overall impression good . hotel good location good breakfast restaurant surround neighbourhood . although room small ( barely manage get extra bed ) clean , share facility . get stay Hotel 17 sister hotel Hotel 31 mess reservation . , however , get friendly greeting Hotel 17 really save stay big apple . 
 Jan 18 2005 	 Problem 	 please not let anyone talk book room Hotel 17 . find service adequate , certainly can not beat price . example service : find one toilet overflow , front desk problem resolve IMMEDIATELY . sure , room small , bathroom share , 1 ) be NYC get , stare furniture 2 ) except one aforementioned time , never problem bathroom . be look centrally locate place hang hat ( cap ) , $ 75 night , love NYC , . 
 Jan 5 2005 	 horrible customer service 	 not risk ! pay little go reputable place good business ethic customer service . guy make feel like business mean nothing they . we show Hotel 17 bag hand weary full day worth travel CA . , find ? hotel 17 overbooke we room reserve 3 month prior double - check 1 month prior arrival , available . huh ? ! much advance book room ? ! get bad news , Hotel 17 call around get we place somewhere else , promise we price quote Hotel 17 would honor new place . boy , snow one . end shell additional $ 100 new place . new place basically say Hotel 17 give business mean honor price initially quote . one point conversation person Hotel 17 , say , well not like , be bad go somewhere else . , first time NY much preparation possible , be possible will not place stay ! ? say put we rock hard place would put mildly . please , travel across country mercy guy . I tell front area check small , dimly light smell musty . far worker , think foreigner run 7Eleven 's QuickMart . rush , rush , rush , absolutely customer service . ( not NY thing . plain rude thing . ) 
 Dec 29 2004 	 pretty much great ! 	 grow - up daughter planning day trip NYC . last minute book room . little hesitant share bathroom thing , decide hell . great ! great neighborhood -- city -- certainly accessible public transportation . room ( 411 ) big room last year & quot ; name - brand & quot ; hotel . shared bathroom first . bathroom absolutely spotless . first check three young woman desk complaining want change mattress like sleep wood . tell daughter perfect night 's sleep . would definitely recommend people need amenity go high - end hotel . 
 Dec 9 2004 	 Great Location - Great Budget ! 	 lobby european feel . room small decor bit bare . however , room big much expensive Hudson Hotel . brand new sink room . several new , clean bathroom per floor share guest . never problem get bathroom . clean bathroom every hour . door bathroom bit noisy first night wake every time someone go bathroom . however , noise encounter get use quick - maybe ask room one end . right across one bathroom . otherwise , quiet clean . can not beat location . block Union Square close train . get anywhere Manhatten quick ! also great restaurant nearby . great sushi basement Washington Irving 's house right street . 
 Nov 19 2004 	 Shabby Chic 	 Hotel 17 charming hotel West Village beat price . PROS : ( 1 ) hotel great location , quiet residential street , near several park , restaurant , shop , major subway station ( 14th Street / Union Square ) . ( 2 ) although room small , hotel charming vastly preferable many chain hotel ' ve occupy . ( 3 ) share bathroom problem . exceptionally clean even though hotel fully book , never wait . ( 4 ) price ! every hotel Manhattan ( even Comfort Inn Best Western ) want least $ 175 night . hotel 17 90 buck night ! con : ( 1 ) check 3:00 one person registration desk . lucky get right crowd come . ( 2 ) not know non - smoking floor , definitely not one . hallway room reek cigarette smoke . ( 3 ) first night , room not clean . talk front desk tell leave Maid request tag door ( even though not one ) . okay , fine , next day , leave tag door , return room 6:00 p.m. -- room still clean . call front desk ; inform room still not clean leave hour , could clean ? , would send someone right , stand around hallway room clean . but can not everything $ 90 night ( holiday weekend , less ) would definitely stay Hotel 17 , already recommend friend . 
 Nov 14 2004 	 17 star rate ! 	 gem ! let us keep secret , okay ? clean , nice clientele & amp ; staff . 
 Nov 9 2004 	 great value 	 like other read ( ) negative review hotel little apprehensive . however event please . Basic , yes . small , yes . service little grumpy ( satisfactory ) . room tiny washbasin . bathroom shared never see another guest except wait taxis lobby . location great . old downtown atmosphere oppose modern concrete clone hotel theatre district . value money make Hotel 17 useful find people visit NYC money . definitely place worth remembering win lottery . 
 Nov 4 2004 	 Nice hotel good location 	 friend stay Hotel 17 two night Oct. 30th 2004 . stay first four night Chelsea Inn switch Inn available last two night . love cozy Chelsea Inn , sure enough , curious Hotel 17 would . honest , not really anything big complain small thing . hotel room 8 floor , stay 3rd view wall build next door . try get room high floor , hotel elevator . room quite big , two bed , tv , phone sink . unfortunately much put clothe . smallish chest drawer closet , kind wardrobe four hanger . clean , also share bathroom , really new nice . twelve room share 2 bathroom , & quot ; rush - hour & quot ; time often wait use . location hotel great , close Union Square East Village bar restaurant . thing really not like icecold room . ask reception tell we heating would turn night , not . defense , tell we want , could give we little heater , come home quite late night not want bother they . on day departure , able store luggage extra room entire day , really great . 
 Nov 4 2004 	 love ! 	 gal get together NYC every year halloween always stay 's good . location rock ( usually spot celeb two walk hood ) be around corner good sushi restaurant ( Choshi ) Irving 19th . ramon front desk total sweet heart whatever make sure great stay . not love little european charm hotel especially big north american city ? LOVES double extra large size . 
 Oct 25 2004 	 great value money 	 great experience hotel . originally book Hotel 31 , sister hotel , due flooding problem , book Hotel 17 . give $ 5 cab get everything go smoothly . hotel 17 newly renovate exceptionally clean shared bathroom . also something distinctly stylish narrow tastefully decorate hallway . room bed sheet clean room tv sink . staff also friendly . location bad , close couple subway station , supermarket EXCELLENT corner deli ( try bacon cheese bagel morning , fresh sizzle hot grill ! ) . give price one usually expect get NYC , place great . would certainly return hotel future . 
 Oct 21 2004 	 Excellent location 	 visit alone NY 15 day October 2004 . read review decide go hotel 17 . excellent central location , close trendy Union sq . , could walk Manhattan , Chinatown Central Park , safe area , clean bathroom . make clear , bathroom like house bath , mean turn private bathroom lock i.e . like airplane bathroom , like Youth Hostels . 12th night , small adventure cought little harmless mouse eat peanut butter cup ( chocolate bar Herseys ) . cover hole mouse enter , , since reception guy suppose come fix problem , call , simply show ! justify & quot ; mouse case & quot ; one time serve amazingly fast reception guy . New York impressive city hundred thing alone . find good , big chinese food ! plenty walking see NY 12 day . last tip : yu want room prepared maid let know twisting card hang door side & quot ; disturb & quot ; & quot ; please make room & quot ; . otherwise ... forget . nice trip . enjoy NY lot go shortly . kiss 
 Oct 16 2004 	 New Favorite Place 	 review place seem pretty positive , still , not quite sure expect . pleasantly surprised . extra clean bathroom , clean room , quiet , safe , good location , friendly staff . money , think hotel get right . obviously luxury , be read hotel like , be serache luxury , right ? lobby , hall bathroom recently remodel place definitely cute , quaint feel . room little worn , nothing complain . bathroom share , room sink definitely make thing easy . hotel pretty much sell never see many people hear much noise . win lottery , will stay . 
 Oct 13 2004 	 love Hotel 17 	 stay Hotel 17 , September 2004 , 7 night , room clean reasonable size , share bathroom problem two close proximity clean . staff friendly helpful , two miinute walk Union Square , close east west village , nice part ny . would definitely stay cheap compare hotel ! ! 
 Oct 11 2004 	 great ! 	 recently stay hotel . say nice . would definitely recommend hotel anyone budget planning visit NYC . bathroom keep clean room good size . staff nice friendly . would stay . not complain . experience great . 
 Oct 11 2004 	 Cute Cozy 	 stay week summer plan visit ! research Hotel 17 , think might affordable Manhattan . however , staff friendly , room decent . . .no bug , comfortable atmosphere . * also nervous & quot ; share bathroom & quot ; . turn pretty clean . maids clean 3 4 time day ! not expect newly remodle room . decent every aspect fancy respect ! can not beat price . 
 Oct 6 2004 	 nice lovely location 	 Slept 4 night . room bite small clean . shared bathroom en toilet problem . checkt almost every hour always clean fresh . price reasonabel voor NY city . location great , minute walk union square metro station . even Empire state buidle Flatironbuilding less 15 minute walk ... nice restaurant area , really must try Casa Mono ( get table , go early ! ! hotel union sq . ) 
 Sep 27 2004 	 good smoker ... 	 spend 2 night Hotel 17 . place ok provide pretty good value money . however , even though make reservation non - smoking room , put smoking room - rather unpleasant , say least . try change room tell non - smoking one , give away first - come , first - serve basis . staff friendly , not mind smokey smell , Hotel 17 bad pick . 
 Sep 18 2004 	 exactly expect 	 let start state review anything online character ; however feel compel return favor come review Hotel 17 . base solely review people site stay hotel mid Sept 04 one night , find appraisal stay quite accurate . price , hotel accomodate comfortable . little staff encounter , actually couple gentleman front desk polite courteous . hotel include common area , room , share bath visually clean well keep . seem enough bathroom space sharing issue never become problem . neighborhood pleasant safe well close everything especially transportation . far good $ 100 spend city happy take money . review actually compliment Hotel 17 , also site service provide . ' m sell ! 
 Sep 1 2004 	 Excellent hotel ! 	 hotel great ! GF split stay ny 2 hotel . night Hojo @ Penn Station night Hotel 17 . hotel 17 well aspect ! staff great . price right . book hotel -- - price fluctuate day day get cheap . room stay 810 . great room . shared bathroom problem . think wait stay . bathroom super clean . neighbourhood great ! could not well experience . would recommend anyone . 
 Jul 27 2004 	 reasonable Polite Friendly Clean Great Location ! ! 	 great hotel ... doubt ! reasonable , clean , comfortable place stay city . fancy enough . good location 1 stop away Grand Central ! NYU neighborhood always fun interesting . nice staff , cool room ! 
 Jul 19 2004 	 great property great location great price ... bad desk staff . 	 Hotel 17 great hotel- great accomodation , great location near Union Square , terrific price , lot character . drawback hotel desk staff . exception guy name & quot ; Dave & quot ; , terrific check , front desk guy completely ineffective , uncommunicative , provide misleading information . hopefully work weekend , actually witness one tell customer complaint bull * # @ * ! would stay ? ? Absolutely- Hotel 17 great overall one always hope management hire employee skilled customer service future . 
 Jul 19 2004 	 Horrible 	 stay Hotel 17 year back , must say bad experience ever stay hotel . thought know city pretty well , grow NY , wrong . floor share bathroom , woman 's room order . floor smell like pot , bedspread look nasty . stone girl wander hall . seriously feel go get shoot night . would strongly advise look another place stay rather stay Hotel 17 . 
 Jul 12 2004 	 Hotel 17 - ambiance cleanliness affordability 	 easily favorite hotel New York ; character , ambiance , short walk Union Square mercifully quiet night . single woman , keep safety forefront travel decision Hotel 17 's attentive staff safe policy really impressed . share bathroom sparkle clean every day ( , impressive feat ) room obviously luxury , clean comfortable budget traveler . likewise , stay brownstone hotel feel oh New York ... can not get Hilton . 's convenient several market deli late night food meal budget traveller easy obtain . staff also helpful considerate incredible degree . so , New York , enjoy bit character near Union Square enjoy Hotel 17 . 
 Jul 10 2004 	 New York 's good keep secret 	 great place stay . hotel staff friendly helpful . stay . 
 Jun 21 2004 	 lie red carpet ! 	 clean , quiet , quaint -- hotel excellent pick we . not think room small ( unless course plan dance Tango ) , rather cozy . even wall paper grow ! price economical NYC , place sleep , shower , rest weary foot need ? hotel staff pleaseant even give we brand new red carpet welcome ( recarpete front step ) ! 
 Jun 21 2004 	 Good Value 	 stay week , look apartment New York . somewhat skeptical sharing bathroom other , fine . hotel clean , desk staff friendly ( although could little knowlegeable thing area ) . overall pay $ 75 / night place check $ 200 thought deal . great location . one thing .... hotel little noisy would like . constantly hear door slam people talk . 
 Jun 9 2004 	 clean hotel great neighborhood 	 stay single June 6 - 9 . room small , neede sleeping . problem share bathroom . place clean nicely decorate . clean place . great location . can not beat price . 
 May 25 2004 	 good value location 	 budget property fine value NYC . small room ok someone not want spend ( not ) lot money accommodation . ( would rather spend money food shopping . ) furnishing wear adequate . share bath convenient clean . location block Union Square , center sort urban activity crossroad several subway line -- rest Manhattan easily accessible . although tiny room air conditioner -- believe -- may something inquire . not big deal may may issue August . money save buy pair really cool shoe Barney 's ! 
 May 24 2004 	 fantastic deal ! stay ! 	 get back short trip NYC . pick hotel base review fact cheap could find East Village decent review . LOVED ! 's centrally locate East West Villages Lower East end . pretty much able walk everywhere want ( walk alot , keep mind ) . be also safe quiet location . price incredible , share bathroom clean , whole place kind victorian ( almost creepy , good way ! ) vibe . sure , furnishing not new , absolutely love crown molding ( unworkable ) fireplace room . AC work well , hear nothing neighbor , staff friendly helpful . go NYC see show indie East Village could not happy place . please note young music ..... may affect decision whether stay ! 
 May 23 2004 	 great sudent / tourist 	 go New York Dec ' 03 . hotel 17 fabulous experience room tidy , share bathroom ( reservation ) always super - clean rate great student budget . location couple block away Union Square , location hotel much residential anything would find near Times Square . personally , want safe , reasonably price place sleep city- not hang around hotel much . front desk service little slow time weird smell elevator , overall , great place budget . plan stay next time vist NY . 
 May 22 2004 	 Decent Budget Hotel 	 stay Hotel 17 back March 2004 many change present , rather good thing not like . ' ve stay hotel since 1998 come every year since 1998 2 - 3 month basis visit hotel staff area great . though , could easily pay 500.-700 dollar night W - New York corner Park 17th use like staff , old Manager nice guy ever meet . name James also like assistant Manual lot . neither one fellow work Hotel 17 anymore disappointed . when first come Hotel 17 back 1998 James interesting conversation new Artist meet , Manual talk club like . people mainly James really cool , someone would never meet CT , even W - New York Hotel . know NYC downtown inside , good club , rest / bar , gallery , NYC general ! hotel 17 lose James another Hotel Hotel 17 lose great employee , work ? ! ? ! NYC lose James another city town NYC lose prominent East Village pop - culture figure ! ! hotel offer service , little clean , decent budget hotel staff boodless boring @ ! 
 Apr 25 2004 	 excellent 	 Hotel 17 basic place fill need people look clean room place sleep NYC . room comfotable bathroom clean . location great staff helpful . fact , Expedia make mistake book we Saturday instead Friday , staff call Expedia manage get we room without additional charge . for price , hotel excellent . 
