great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Jun 30 2005 	 Disappointing ! 	 arrive early evening lengthy trip UK direct ' Executive Room City Views ' . room small cramp could not open suitcase one time . although nice toiletry provide bathroom basic , slide door not slide . bed large comfortable lack air - conditioning problem . still seriously jet - lag next morning stumble Cortez restaurant breakfast long wait cup coffee ask ' voucher ' . leave restaurant go reception obtain - ask voucher breakfast explain rate pay include continental breakfast ( paperwork prove ! ) inform hotel offer package include breakfast ! ! cut long story short , not stay breakfast , fact not stay . check Adagio Grand Hyatt Union Square nightly rate $ 169 . much superior hotel far nice district . 
 Jun 28 2005 	 good hotel aware district 	 First - location . reviewer make point dubious area . true , come London surprised number homeless people , beg poverty Tenderloin district SF . local wil tell , rough neighbourhood - point felt threaten also bustle district , really close theatre Union Square . hotel comfortable , bar always buzz complimentary tea cookie lobby every day nice touch . staff so - so , great , other friendly . overall decent hotel - check online much well rate front desk offer ! 
 Jun 28 2005 	 Attitude 	 hotel superficial . yes , look nice outside decor ' spanish modern ' entire package not work . see major problems:1 . neighbourhood euphemistically describe & quot ; gritty , & quot ; surprising actually Tenderloin -- notoriously bad part town . local friend worry safety.2 . front desk staff unbelievably uninformed neighbourhood . ask could laundry , meet blank stare real effort make assist find place . minute reconnaissance around neighbourhood reveal two launderette within two block radius ! needless say husband go laundry early evening , worried homeless person would run clothe , worse.3 . restaurant , trendy , quite expensive service friendly . 4 . overall attitude unwarranted pretentiousness place . really , worth money stay . 
 May 24 2005 	 Penthouse -- ' Pretty Woman ' recreate 	 want surprise wife birthday trip , use & quot ; pretty woman & quot ; theme . our travel agent find penthouse room price comperable regular room swanky hotel . not balcony , really great . hotel penthouse awesume . penthouse beautifully furnish nice sized bedroom , separate bathroom not palatial , good sized , huge living room fireplace ( burn candel , wood ) view every window . room quiet hotel bend backwards make weekend special . arranged wife 's fav flower room provide nice bottle complimentry wine . great handling reservation direct we good way go various destination . even get we two restaurant supposidly difficult get reservation for . would go back ! 
 may 21 2005 	 Awesome Hotel 	 Staying Hotel Adagio highpoint 3 week hotel across northern west coast . staff excellent - friendly accomodate . valet usually RAN get car , always smile . bed HEAVENLY . design much taste like - modern , masculine earthy color . word hotel border less - than - desirable neighborhood , reality LEAST BIT unsafe . 2 block Union Square , easily accessible anything . parking attend night . feel totally safe not see anything sketchy anywhere nearby . could not happy . thank Hotel Adagio ! 
 May 9 2005 	 Attractive Hotel Unfriendly Staff Noisy 	 visit Adagio start well since direction give email confirmation wrong ( turn post onto Geary ) person answer phone hotel impatient unhelpful . almost hour one - way street frustration , face pricey valet - only parking ( tell would cost $ 29 actually $ 29 / day + 15 % sure ! ) . , must say hotel lovely , clean chic . hallway kind spooky - long , narrow somewhat cramp - feeling . room large comfortable bed ever sleep . - could sleep . Sirens shout noises night long make sleep impossible . old building open window air . bathroom bathtub small clean . nothing shabby hotel . different location , hotel might nice . free internet service lobby great convenient . we pick location close theater ticket want walk . , accost transient homeless every 10 step . hotel 's fault guess . all , not think would return hotel . staff snobby unfriendly - not may made lot . 
 May 5 2005 	 certainly different ! 	 choose hotel read Trip Advisor review . go show different view . think location bit dubious , quite number homeless / beggar around . would feel uncomfortable night area . Union Square seem less threatening , despite people 's comment . the hotel nice enough , first room offer double bed book king bed room . offer another room delay , much well , suffer street noise , especially night window open air . note air conditioning room , although big ceiling fan . might problem summer . room quite stylish furnishing comfortable . usual facility provide internet access complementary . we use restaurant breakfast disappoint menu selection , rather buffet style - waiter bring wrong order ! staff helpful & amp ; friendly valet parking efficient bit pricey . cheap public carpark nearby . I not think would stay , hotel clearly matter personal choice . 
 Apr 27 2005 	 great hotel great location 	 Hotel Adagio fantastic location . far Union Square ( 3 block ) far enough get away noise . room 12th floor clean quiet . bed bit soft personal preference . facility good include free internet access lobby afternoon cookie . really please stay near Union Square rather Fisherman 's Wharf . able walk everywhere include downtown , Financial District , Chinatown , Nob Hill , even Coit tower . would highly recommend hotel anyone stay SF . 
 Apr 19 2005 	 Best Hotel Choice SF 	 incredible hotel exceptional service ! ! 
 Apr 11 2005 	 Best keep secret SF ! 	 stay Hotel Adagio 2 night September . food , service , overall experience excellent . thing slip radar chose hotel life around hotel . Adagio walk distance downtown kind nightlife ! 
 Apr 8 2005 	 Fab ! 	 live San Francisco treat boyfriend weekend Adagio birthday . service room great . great dinner Cortez . location perfect San Francisco nightlife restaurant . 
 Apr 7 2005 	 Adagio Amazing 	 Adagio truly unique experience service , color environment texture . entire package pleasure experience . decor feel warm comfortable hotel employee beyond reproach . say stay another hotel visit San Francisco . location also wonderfull section town easy access good part city . 
 Apr 7 2005 	 Adagio Place stay 	 partner stay Hotel Adagio Valentine 's Day -- not disappointed . comfortable spacious accommodation friendly , attentive staff , Adagio not disappoint . addition , prime SF location trendy on - site restaurant ( Cortez ) make ideal place stay whether local resident look celebrate special moment out - of - towner looking upscale , yet affordable accommodation . we highly recommend Adagio traveler ! 
 Apr 7 2005 	 Hotel Adagio : one good ! 	 beautiful hotel ! must admit , sure area , exact block either , walk hotel incredible ! soft , muted color tone burst orange ! classy , nice ! room even well , well manicure clean , yet , cozy ! stay 30th b - day great time ! accomodate hospitable . highy recomend stay , go back sure ! 
 Mar 27 2005 	 great choice ! 	 overall , great place stay . room ( King bed ) adequate size comfortably appoint . loved corner room offer several window lot light . nice touch , like hot water kettle plenty tea / coffee room , coffee / tea / candy lobby . cortez restaurant wonderful dinner . staff friendly helpful request , include upgrade second floor room ( queen ) available . thing find curious despite advertisement , not really consider hotel ' in Union Square ' , though 2 block walk fine . would definitely consider go back , consider great price pleasant experience . 
 Mar 27 2005 	 place definately rock ! ! ! 	 San Francisco many time last fifteen year , ' ve got say impressed . hotel good location hip vibe . time comforable homey . staff friendly helpful room good sized . junior suite one upper floor . quiet little street noise . we check trendy Clift Hotel block half away expensive . seem kind sterile comparison Adagio . not bother ! Adagio less expensive warm feel . we grateful Trip Advisor help we find great hotel . Michael David 
 Mar 27 2005 	 Potential need work 	 stay six night hotel , cheap $ 125 / night rate , might look elsewhere . frequently stay boutique - type hotel love , hotel polish need justify charge $ 200 / night . return . service : great . one time front door open we , time want park car walk alley call valet street . front desk indifferent , unable provide management support weekend , contact week , management nice enough sincerity miss . take bag upon check , wait long go back get . also experience fire alarm 1:45 , word apology , explanation attempt make . ROOMS : room true photo web site . bed comfortable , sheet little itchy , nice duvet , pillow could use feather . bed roll caster – housekeeping ' get turn right way lead stub toe split toenail , fun walk around city watch step . air condition rainy day lead hot room , even window open fan . course , window open get noisy sure bring noise machine light sleeper . bathroom great sink ( faucet set back way far though , tough get hand underneath without get water everywhere ) nice Aveda shampoo , conditioner , soap body lotion . wall bathtub / shower look like ' update hotel take , except shower curtain . tub small old , wall tile grout turn black water pretty soft shower decent pressure . hot water kettle innovate coffee server nice touch , overall room give sense try minimalist feel , forgot finish it . location : Valet parking available $ 30 / night . walk distance Union Square ( chain department store / specialty shopping ) , theater , cable car , BART MUNI . walk city find beggar neighborhood anywhere else , still feel safe . 
 Mar 23 2005 	 great find near union square 	 find adagio great choice . friendly comfortable hotel every level , guest room way average design detail . room terrific , comfortable furniture mattress , atractive color nice quaity fabric , really good lighting , overhead fan . convenient outlet datum port , good minibar set new clean hot water kettle complementary tea coffee , well design mug glassware . bathroom nothing spectacular , little small , clean new , right amenity : frette towel , q tip , aveda product . catch cold flight delay stay one day - partner room service dinner - great steak plate warm fresh bake chocolate chip cookie . service good . thing like : coffee candy cookie lobby , two computer internet business center , morning newpaper door , guides SF request , good dinner breakfast Cortez ( service little slow ... bad ) . great find , good positive review make . 
 Mar 23 2005 	 's hospitality ? 	 recently spend three night hotel never companion greet come go course stay . twice ask restaurant transportation recommendation meet complete indifference . fire alarm go 1:45am one night finally reach someone front desk get , & quot ; sorry folk , false alarm & quot ; - chuckle . pretty unnerving say least . even upon check - out not ask visit thank stay . guess be use little hospitality , plain common courtesy . happy room - bed comfortable , location good . , money , would prefer front desk staff least acknowledge presence care ' m stay hotel . 
 Mar 21 2005 	 great design Air Conditioning spoil stay 	 wife stay Hotel Adagio Friday March 19th , check Saturday morning could not get sleep . room Air Conditioning even though cool outside ceiling fan High , still warm . open window siren bus keep night . hotel nice modern nice perk . staff helpful , $ 215.00 per night , expect good night sleep . check go Clift Hotel accross street $ 235.00 comfortable bed great A / C ! get rate $ 150 ok without AC , Adagio nice stay . would not come back , though . 
 Mar 17 2005 	 great experience 	 bf stay hotel end Jan. great experience . conveniently locate near union sq . room spacious nicely decorate . complimentary internet . aveda amenity . Frette bathrobe . nice food Cortez . 
 Mar 17 2005 	 Adagio great ! 	 recently stay Adagio . room great , nice large size , well appoint stylish . staff friendly helpful . problem luggage airport ( lose ) , staff everything could make sure get promptly . even give we discount coupon shop Union Square help we buy outfit get luggage . sweet ! definitely keep come back recommend other . also , Cortez , restaurant , still amazing ! 
 Mar 7 2005 	 Bravo Adagio ! 	 cool hotel ! staff match decor perfectly - fun modern . room surprisingly spacious bed comforable . free internet convenient . wonderful view city room . cortez restaurant bar great food drink - great crabcake prawn ! would definitely go back ! 
 Feb 25 2005 	 right ... 	 stay one year anniversary celebration . excited , upon check feel since young , receive service expect . & quot ; jacuzzi & quot ; ( promise ) regular tub . staff quiet offer help we even acknowledge enter leave hotel . nothing bad , nothing spectacular either . 
 Feb 3 2005 	 lovely hotel great location 	 stay Hotel Adagio 3 night mid - January 2005 . wonderful boutique hotel great location . Union Square block away . lot homeless people , can not avoid San Francisco , especially area tourist . never feel unsafe , even walk night . hotel staff friendly , patient , funny . lobby beautiful intimate . check light fixture - clever . room comfortable well decorate . room face back , street noise . workout room nice equipment plenty tv . breakfast ( include room rate ) Cortez seem little expensive , receive lot money , delicious . well worth . tazo tea available lobby , bring cookie afternoon . bed comfortable room seem big hotel large city . would definitely stay Hotel Adagio next trip San Fran . 
 Jan 19 2005 	 beautiful hotel fantastic staff 	 husband stay Hotel Adagio short trip SFC summer way Hawaii , end well part trip ! hotel TOTALLY worth cost . arrive , little early room yet ready . hotel concierge not even bad eye - look immediate availability , find upgrade jr suite , let we room extra cost . staff perfectly attentive - never really see hear always need . room clean , bed one good ' ve ever sleep , towel / sheet wonderfully crisp white ( pile pile ) . bathroom accessorie aveda . bartender exceptional friendly well . room decor classy - minimalist little extra money put choice go long way hotel . even elevator cool . entire hotel sense hipness without pretentious . HIGHLY reccommend Hotel Adagio anyone visit sfc - treat ! 
 Jan 16 2005 	 Excellent location 	 stay Adagio Halloween 2004 enjoy almost everything . despite problem restaurant 's kitchen stay mean closed , manage get last night food excellent . we read review concern us location think excellent . even 5 minute Union Square foot although pass couple homeless way always feel safe enough . room excellent staff friendly . confused reviewer say rather rude unhelpful . absolutely case . perhaps something way deal ? California three week get quite hotel one far good . 
 Jan 6 2005 	 impressed hotel adagio ! 	 read good review look website think Adagio perfect hotel weekend getaway . the architecture lovely , room clean comfortable . the coffeemaker include total joke plastic container use boil water ! bathrobe suppose include call front desk tell do not think left . finally one send . people work hotel 2 talk rude lot bad communication staff get different answer different people simple thing would think staff know work hotel . do shuttle service airport ? get 1 yes,3 no . I do not find coffee maker room ? 2 yes there,2 be not room . I go really be not worth , think plan stay do not say warn least one reader . the staff need work people skill good work ethic ! 
 Dec 22 2004 	 good location comfortable ( except electric ! ) excellent food Cortez 	 stay Hotel Adagio oct.04 , first time SF . good central location , appreciate mini guide offer check . room nice & amp ; spacious , problem electric . use hairdryer whilst partner watch tv boiling kettle , blow fuse ! happen twice short stay 's practical bathrobe trying find phone pitch black & amp ; call reception ... anyway electrician come time within 15min replace fuse . say happen time time suggest do not light switch time ( ? ! ) apart , room great ( comfy bed ! ) communication hotel so - so . arrive pre - book via internet 3 night request extend stay 4 night . gentleman reception say problem make note revise check date . however 3 day later call reception ask we have not check ! end lady find note leave colleague day sort , sort thing expect hotel . dinner restaurant Cortez absolutely amazing , would definitely recommend ( book ) . overall good place stay . 
 Dec 22 2004 	 cheesy run - of - the - mill hotel room 	 stay Hotel Adagio Feb. 14 , 2004 . Hotel Adagio great ! room not cheesy floral bedspread match drape , like many hotel ( eg . Motel 6 , Holiday Inn ) . sheet curtain nice earth tone . bed comfy comforter . bathroom well - stock Aveda product . room service food restaurant downstairs also great ! super close Union Square . highly recommend place ! 
 Dec 3 2004 	 enjoy Adagio much 	 stay Adagio Thanksgiving weeekend enjoy hotel much . upgrade queen king , room comfortable nice couch , large desk good sized bathroom . aveda product bathroom extra treat . room back hotel , away street quiet . would definately recommend hotel . 
 Dec 1 2004 	 Fantastic Adagio 	 Adagio terrific ! boyfriend stay late August , 2004 5 day love ! whole place hip vibe . room always clean thouroughly , staff courteous , .... good .... long day treking & amp ; San Fran 's hill , usually complimentary lemonade wait we lobby area . be also great location , central lot thing . glad choose Adagio , ice wonderful vacation . 
 Nov 22 2004 	 great stay look frowar staying . 	 like location , room decor detail . food Cortez excellent service throughout hotel . 
 Nov 10 2004 	 Wonderful hotel 	 surprised boyfriend trip San Francisco birthday thrill Hotel Adagio . staff excellent : make recommendation , prompt request , reservation , friendly helpful beyond expectation . experience problem mechanical failure guest write . room clean , airy , roomy , well - decorate , pillow top mattress extra plus . stay king suite large private balcony overlook city -The view breathtaking . fact , would not mind live . Cortez Restaurant great ! want avoid 300+room , overdecorated theme hotel one intimate set personal service , stay Hotel Adagio . 
 Oct 30 2004 	 Perfect perfectly comfortable 	 wife stay October 15 - 18 part anniversary trip head Napa . read review would say find kernel truth extremely positive review extremely negative review hotel . fourth floor street , indeed loud -- particularly Friday Sauturday night night club across street . write typical big city experience ... every large city ' ve ever stay loud burb . shut window , get little well -- room indeed get warm without window open . other , room comfortable clean . not in - depth interaction staff , dealing pleasant . one unfortunate incident one evening around midnight fire alarm go ... fire truck pull start stairwell wonder earth happen , janitor yell false alarm . bit unfortunate ... hotel 's location make great taking foot , though . enjoy San Francisco , feel like get good deal money compare SF hotel . would say want convenient , comfortable place sleep be tour city , Adagio ideal . be luxury hotel expect & quot ; nice place sleep , & quot ; make different choice . 
 Oct 26 2004 	 treat 	 spend three night Adagio 10/5 - 10/7 . although find cheap accomodation near Union Square thrilled quality furnishing , location overall ambience hotel . we make request book form e.g . high floor ( escape street noise ) roll - away bed , forthcoming arrive . however quick visit back reception move fourth floor eighth roll - away bring promptly . ( note : window inner outer pane - realise find room noisy first night - morning , daylight , realise could close outer pane well street noise totally alleviate ) .The aveda product bathroom treat fresh lemonade reception area afternoon , quench thirst long day 's touring . the minor complaint bath drain toilet flush . although housekeeping call , 9 pm no - one fix problem . however repair next day . the room exactly portray website never comfortable bed hotel . the room free high speed internet access ( bring laptop ) .I would highly recommend Adagio business holiday traveller . 
 Oct 19 2004 	 long time enthusiast hotel 	 enjoy hotel El Cortez Shannon Court . since renovate Adagio , like even recommend friend . never experience like mention negative review : staff always friendly ( recognize , even though six - time - a - year patron ) helpful . new room decor modern minimalist ; comfortable ; bathroom clean ; everything new . use exercise room ( usually not use hotel ) . new small - dish restaurant , & quot ; Cortez , & quot ; bar serve interesting food . hotel 's location perfect . though close one side undesirable Tenderloin district , walk neighborhood direction . many small art gallery , elegant shopping around Union Square ( 3 block ) , theater , nearby drug store grocery , restaurant . parking conveniently next door ; privilege . 's favorite hotel ! 
 Oct 11 2004 	 recommend 	 read many comment decide Hotel Adagio , pretty much get expect . room 6th floor , refurbish design similar picture available . room spacious everything could hope . bathroom great , tv cable channel selection good . one minor point advertise cd player merely small clock radio type player consequenly sound really tinny - not use it . the hotel block Union Square - handy location . the hotel gymnasium quite decent . I think hotel location quality good value . 
 Oct 5 2004 	 lifetime 	 contact hotel prior arrival ensure early check ; tell problem whatsoever . arrive front desk clerk ( male dark hair black rimmed glass ) proceed arrogantly inform guarantee early check in come back later . rest staff desk pleasant . return around 3:30 check . Executive Junior Suite 12th floor ; minimalist & quot ; pier one - ish looking . drapery & quot ; paint & quot ; ; panel TV . & quot ; floor heater & quot ; drape one wall cut fit heater different length second panel . aesthetically pleasing ; interior designer ? Saturday morning 8 , listen door slam corridor two hour thought would lose mind ; Rooms sound proof . good part stay , Saturday morning leave day leave use towel bathtub . return , towel hang back towel rack strategically place toilet ( designer ? ) could tell towel wet one hole . $ 219 night , like fresh towel without hole . cornered maid hallway demand new towel . ask say anything supervisor ; not . bathroom : wall extendable vanity mirror attach dire need fresh paint wall bathroom toilet dirty . management read , room 1209 . would never stay . usually stay Palomar Mandarin Oriental ; book . 
 Oct 4 2004 	 Front Desk Staff Lack Customer Service Skills 	 staff terrible . purchase pamp package directly website , arrive tell not purchase . next day pay previous night 's bill notice charge pamper package . front desk staff not helpful ask credit . fact , look we doubt though fact receive voucher pedicure . go back forth several time , finally receive credit . find still overcharge . room great , big room SF not big . hotel invest customer service / satisfaction training front desk staff . unfortunately , would recommend hotel other , would stay . hundred hotel ' m sure much friendly staff . 
 Oct 4 2004 	 stay Adagio ! 	 worth money ! find bathroom small dirty . hotel obviously remodel , forgot remodel bathroom . bedroom decor nice ( like picture ) . staff make several error stay - not clean room , not deliver complimentary newspaper . little thing make stay unenjoyable hotel . 
 Oct 1 2004 	 Decent quiet hotel u must go dottie 's cafe breakfast ! ! 	 CA not RECOMMEND LITTLE CAFE ENOUGH ! minute 's walk hotel . always queue worth wait want decent home cook breakfast / lunch without air grace . owner cooking - heart ; ) ... try fresh pancake ! ! Closed Tuesdays open 7:30am -3pm . enough back hotel ! ! ... great location hotel nice feel . although perfect ( room decent , good size , modern bathroom look little worn place ) . Liked lounge area business meeting - wireless , lot plug socket laptop reasonably quiet . service excellent . they also hand form arrival select category want info ( eating , romantic place , good walk ... etc ) . good . also recommend Cha Cha Cha Cuban restaurant . try warm spinach salad ! take local , good food without price great music ( like anyway ! ) reggae , latin dancehall ... dottie Cha Cha Cha detail provide hotel . would stay ... also like look Clift hotel far away - look bit noisier less suitable business meeting though . 
 Sep 28 2004 	 adagio string attach ! 	 check numerous hotel San Fran area prior booking , major difficulty find anything completely objective give good overview area . location Adagio super , close Union Square ( 2 blocks/5 minute walk ) however , border Tenderloin district little rough side many panhandler street , although fair not really bother we . reasonable eatery locally breakfast / dinner , , serve much fare . back hotel ! nice , clean hotel lose mark 's location , hence 3 star , not let put many high grade hotel close . overall return SF would probably stay get good deal reasonably happy value money . 
 Sep 17 2004 	 lovely ! 	 husband spend first five night honeymoon hotel . room extremely comfortable ( lucky enough get corner room ) , service impeccable , air - conditioning ceiling fan fine . location perfect well . first night realise not need go far find good restaurant bar . edge Tenderloin mean get occasional homeless person pass . frank , show major city not homeless people even nice area . thoroughly enjoy stay would happy return . 
 Sep 10 2004 	 never ! 	 two night - never ! aircondition , sloppy service , unsafe neigborhood , extrem noisy hallway ( door automatically slam shut ) , could go . believe flood positive comment post ( funny show first week August CA , seem hotel employee spare time post . . . ) .there dozen well choice SFO . 
 Sep 10 2004 	 Great Hotel + Staff = great experience 	 wife stay hotel 4 night one good experience term lodge . room great size San Francisco renovate give trendy look , yet still comfortable . staff helpful make sure pleasant experience good recommend place dine , visit , get around city . the hotel near Union Square enough block away away noise still close walk . back San Fran , stay . 
 Sep 1 2004 	 many choice .... pick one 	 want find something special 6th anniversary rely heavily review post . lucke ! ! ! ! pick hotel challenge since wife Flight Attendant spending 18 night per month hotel . chain hotel start look quickly cookie cutter style perfunctory service would win point . adagio good location near Union Square , chic appeal decor , good sized room ( executive suite ) , comfortable bed sqeaky squeaky clean bathroom . free in - room safe relatively cheap mini bar wife love Aveda product bathroom . the service desk helpful attentive . restoration building impeccable . a special note Cortez , adjoining restaurant . the service friendly personable would invite people house . small plate food concept provide excellent opportunity sample innovative cuisine . eat classy uptown restaurant amongst apparently well - heel clientele concern might treat well 4 year old ( well travel 4 yrs . old nonetheless ) us dinner dress walk city . wrong ... treat like royalty . waiter take time greet we waiter even time dinner perfectly could enjoy experience catch car airport time . we highly recommend Adagio , exceed expectation . 
 Aug 30 2004 	 Nice hotel 	 like stylish hotel , choose Adagio comment : room : big well furnish decorate . design modern simple , excellent selection tea coffee minibar low price . bathroom ok , nothing special . staff : really can not understand everybody like staff . find front desk staff impersonal courteous enough . work deluxe hotel Rome know exactly , even get angry guest treat proper way know right expect . check boy friendly . follow morning call say sink work properly tell would fix hour . return back evening , course nothing do nobody apologise . expect , follow day well action take . complain , stay 4 night total . parking : really expensive San Francisco . hotel spend like 35 dollar per night , really comparable good rate hotel . anyway , not choice car . restaurant : service excellent , staff great food good . 2 week fast food mexican food , really enough , want try restaurant San Francisco . notice lot local client , stay hotel , always good sign . food good , price adequate . I would definitely return hotel , despite front desk staff . 
 Aug 29 2004 	 Adagio charm higher price place ! 	 wife San Francisco week absoulutely love Hotel Adagio . stylish , hip , charming , maintain cozy , homey feel . look hotel , even visit many , think Adagio style . room spacious ( compare area ) , bright airy day , ambient night neat lighting . color scheme fantastic . bed comfortable bathroom clean practical . staff mostly young , sociable , extremely helpful accomodating . far location , central convenient Union Square many site . note travel site , homeless people panhandler area , seem case EVERYWHERE SF , least . common sense alertness necessary avoid trouble , particularly keep right direction . staff happy help good way get site attraction . note , also stay Hotel Palomar , Adagio hold right alongside hip popular hotel . 
 Aug 23 2004 	 Fantasic Value 	 come conservative modern city , experience Hotel Adagio excellent say least . staff attractive helpful , receive service smile time check day check . room excellent value price . expensive taste typically five star resort hotel beautifully do . room Junior Suite , gorgeous . ( even Aveda product room ) travel San Francisco quite often business pleasure , stay within city range place . would recommend Hotel Adagio far hotel within area . fabulous restaurant bar , free internet service friendly staff . ask ? 
 Aug 21 2004 	 August 2004 Adagio 	 great time hotel last week . clean , well - maintain room friendly staff central location . room minimalist decor welcome contrast overblown approach comparable US hotel . could quibble neighbourhood Adagio inside boundary creep gentrification Tenderloin . sure encounter street people whenever step outside , hooker operate couple block geary shooting not get close . never feel unsafe evening reasonable precaution - location worse many US city hotel class much well stay . not prissy , accept SF kind city focus 's inside hotel - excellent value . not miss breakfast either - french toast brioche knockout . 
 Aug 13 2004 	 Great Getaway 	 enjoy weekend stay Hotel Adagio , room lovely , staff friendly give we great recommendation restaurant . location close shop good dining . hotel reasonably price outstanding accommodation . we would definitely stay future ! 
 Aug 6 2004 	 Place Hotel Adagio 	 place several business associate love . service impeccable hotel stylish . Front Office Manager helpful staff go beyond call duty . if travel bring city bay , stay here~ 
 Aug 5 2004 	 Loved Adagio 	 wonderful experience ; close Union Square - impress uniquness hotel decor reasonable price cost room . staff helpful . would definately come back stay ! ! 
 Aug 4 2004 	 enjoy Hotel Adagio 	 think Adagio quite pleasant . location could close want go . staff nice , room clean peacefull stay . would definitely stay Adagio already recommend friend family . , Holiday Inn Double tree Marriot , .... 's good thing . unique . 
 Aug 4 2004 	 beautiful adagio 	 Hotel Adagio absolutely beautiful . view city wonderful . staff extremely courteous . would recommend hotel anyone want enjoyable experience . 
 Aug 4 2004 	 great hotel San Fran 	 go people San Francisco long weekend , luckily stay Hotel Adagio . room incredible , service impeccable , restaurant amazing ! pretty picky hotel , place really great . literally not want leave . plan stay whenever go San Francisco . 
 Aug 4 2004 	 Stylish Hotel Friendly Staff 	 stay Adagio wonderful experience . staff friendly helpful . room outstanding , fresh contemporary design set apart run - of - the - mill hotel price range . bed extremely comfortable , room great view . ' m definately stay next visit San Francisco ! 
 Aug 4 2004 	 Hotel Adagio rock ! 	 service stay wonderful . need something bring room , within minute . would recommend Hotel Adagio friend relative . 
 Aug 4 2004 	 absolutely fabulous ! ! ! 	 Hotel Adagio absolutely FABULOUS ! location key , staff ever accommodate , room extremely spacious visually appease earthy tone , aveda spa product , hot - spot restaurant locate right lobby , timely valet service overall hip upbeat atmosphere . would definitely recommend property friend travel SF area - already . adagio everything would want upscale boutique hotel experience . thank provide wonderful time boyfriend 's birthday weekend ! : ) 
 Aug 4 2004 	 Amazed Adagio 	 service Adagio restaurant Cortez impeccable . room well appoint beautiful detail not typically expect boutique type hotel , especially consider size room ! try stay Adagio next visit SF . 
 Aug 4 2004 	 always Adagio ! 	 good time Adagio ... food great , staff ! highly recommend one & quot ; Hot Spots & quot ; SF . 
 Aug 1 2004 	 pretty disappointing 	 non - smoking room smell like smoke , hotel door slam shut ( be way close quietly ) hear people coming go night , housekeep vacuuming hall 8:30am . far bad place ' ve ever stay , annoyance far outweigh charm . 
 Jul 12 2004 	 little expensive get 	 really complaint hotel , staff courteous , room clean ( although small ) . sheet bed sub - par , would not complain except fact pay $ 180 night . overall , stay plesant would stay get significantly discount rate . advice check Chancellor Hotel ... close union square , size room service , half price . difference two Chancellor 's lobby be not nice , carpet old Chancellor well . 
 Jul 8 2004 	 good value minor issue would recommend 	 stay July 1 - 3 , 2004 despite minor issue , would recommend hotel . ' ve stay far bad Union Square area think Hotel Adagio good value . yes , be edge bad neighborhood , not Union Square area ? yes , not AC , hotel SF not -- hardly ever need . ( get 50 's night July . ) AC big deal , please read hotel website carefully call ahead ask ! issue , good good:1 ) ask non - feather pillow prior check - in call housekeeping check - in get . 2 ) book via internet ( sometimes worry regard room type ) receive corner room large expected.3 ) light bathroom could improve ( common issue hotel ) . 4 ) water pressure unexpectedly good 11th floor . 5 ) not see list available travel guide provide hotel day check - out . wish point we check - in . 
 Jul 5 2004 	 great place good value 	 husband stay Adagio April 2004 . live Bay Area 3 year also stay several SF hotel . love hotel decide stay end trip . hotel beautifully design , great restaurant friendly staff . location excellent , homeless people everywhere around Union Square need accept . downside - lack air conditioning rarely problem SF freakishly hot weather feel ! valet parking service poor service bit inconsistent . however hotel price range excellent value , especially lover modern design . 
 Jul 5 2004 	 much well expect ! 	 read several review Adagio unsure expect . book 3 night stay fly - drive California . however , pleasantly surprised . valet come straight car arrive service receive stay attentive courteous . room smell little smoke ( request no - smoking room ) however everything else room clean nicely present . comfortable bed minimal nice bathroom . one good thing Adagio new Cortez restaurant . amazing food great atmoshpere . 's obviously popular local . maybe expectation lower read unfavourable review , enjoyable stay . 
 Jun 30 2004 	 ruin trip 	 start ? surly service ? charge $ 25 per night rate sign ? cheap quality furnishing ? drove SF planning stay several night visit friend family . use live SF know neighborhood good , figured hotel would since 4star rating . first , wait front valet several minute . 5 pm street swarm commuter traffic . Husband go hotel luggage , staff laugh together behind check counter ( probably we struggle bag ) . minute , one come forward valet take car key . next surprise rate agree internet $ 25 low rate print invoice want sign check . point , desk clerk say snobby tone & quot ; quite good rate , assure you . & quot ; point frustrated people , want get room , sign take key . room seem nice , view , see highly visible stain linen . immediately ask clean room , send hall tiny dark closet room clearly less valuable room . still , prefer clean view . the next morning , go front desk ask manager . tell not 11 am . go back , manager still mysteriously available . end change trip 2 night instead 4 . would never , ever stay , encourage anyone look elsewhere want clean room friendly , helpful staff . 
 Jun 10 2004 	 Nice hotel good price 	 stay late May 2004 reasonable rate ( half Tripadvisor 's display rate ) . trendy atmosphere staff helpful . attach restaurant Cortez also trendy nice . not think 's air conditioning ... charge we mini bar thing not use , promptly adjust bill . yes , homeless area , think nice hotel reasonable price good location . 
