poor 	 minute check Sunday , knew not go good stay . smell cigarette smoke especially strong soon walk door . lady reception say room would not ready 4 pm ( normal check - in time ) give room 2 Queens instead 1 king have order , could check immediately . question normal check - in time rude . said & quot ; not stay & quot ; reply , & quot ; do not & quot ; . anyway , room fine . extras frustrating . in - room internet cost $ 15.00 per day . gym cost $ 25.00 per day . overall would not recommend hotel . 
 Loved Paris Hotel Stay ! ! 	 return home 4 day stay Paris Hotel love ! stayed & quot ; Red Room & quot ; great . decor modern room clean . view absolutely amazing , able watch water show Bellagio daily ! bathroom large amenity stock daily love blow dryer attatched wall ! linen clean carpet clean , room safe handy although arrive room safe stuck open locked position call maitenance within 5 min someone door ready fix safe . casino fun full excitement staff throughout hotel helpfull pleasant . would definately stay . 
 great location 	 ask view strip Bellagio fountain get it . clean comfortable room . hotel great facility , bar restaurant shop etc . make use spa , find expensive , treatment good . 
 great place stay ! 	 first time Paris last . everything expect . Imperial Suite awesome . room clean amentie great . coffee pot life saver rush morning coffee . sure room coffee pot sure would save number people go elevator first cup coffee . book Paris central everything . pretty much walk everywhere go . Ellis Island restuarant two block away great place eat . check little slow checking breeze . 
 expect price 	 husband stay Paris November 2009 nice mini vacation . trip book quite thrilled go stay Paris virtual tour make room look beautiful . dissapointment room great . seem old weather . view horrible . could see parking garage roof hotel . ask could change well view tell room available time . bathroom not clean either . say concierge desk amaze helpful question activity . staff great well ... friendly . lobby casino really beautiful ! romantic feel really walk street Paris . location strip perfect ! right middle easy walk distance see everything . view Eiffle Tower amazing night ! would say vacation turn great would stay Paris ever make Vegas ! 
 Location location location 	 say , Paris outstanding location , right center Strip . combine frequent rate deal excellent Vegas homebase . Access Bally 's monorail station ( beware , go though Bally 's get , man long schlep ! ) regular shuttle Rio keep hook many property . for & quot ; theme & quot ; Strip hotel 's human - manageable size apart Eiffel Tower replica contain extravagant attraction other seem favor ( zoo , garden , water attraction , ride ) use hotel , per se , definitely middle - of - the - road property . ( Part Harrah 's group ) . high - floor room get renovate / redecorate sell & quot ; upgrade & quot ; & quot ; Red Rooms & quot ; & quot ; , high price . ( premium actual Strip view ) Comfortable well appoint bathroom quite get attention would expect -- non - adjustable , cheap - look showerhead , separate tub small . person could well serve base room care nothing decor view . one hint give : unless intention pig , many senible people opt buffet -- pricey long line -- instead hit one standalone dining site resort . 
 May 19 2009 	 Rude Employees Poor Value Poor Service ! 	 Husband marry Paris Chapel one year ago return one year anniversary May . back May 2008 find staff pleasant towards we marry seem gay friendly time . remember lovely experience nice congratulatory staff , course Diamond card holder . return May celebrate one year anniversary experience pleasant , fact drastically different . diamond membership renew every six month renew April 2009 prior stay . due poor economic time not able gamble much prior year card re - establish gold member ( low tier ) hold Diamond status past 6 year . treat significantly average happen , staff rude gay friendly , receive one anniversary congratulation Paris staff inform reason return , simply look away not exist . room assign old run . Le Artiste dinner reservation lose , food quality poor extremely overprice area property , staff rude unorganized . game terrible taking without even small return , overall Hotel understaffe inefficient . bad service ever experience past 15 year travel gaming Las Vegas . not know happen would allow hotel run poorly bad . also player MGM / Mirage booking stay future spend money well . MGM own half strip always get treat well property . sorry say Harrahs seem want Gay traveler book Paris spend large amount money without return favor even much smile . feel uncomfortable Hotel gay man husband resort business extremely disappointed well . Paris expect people pay extravagant price provide extravagant service . 
 May 19 2009 	 Best Hotel ever ! love 	 terrible experience New York New York - check Paris . give we suite $ 158 night . devine . hotek atmosphere great , unlimited supply free drink great service gaming floor . shopping complex centre amazing course faux Eiffle Tower beautiful . everything work well - great service , wonderful room , nice restuarant beautiful pool . reccommend thsi highly enough ! 
 may 19 2009 	 Pleased Paris 	 really concerned stay Paris read review . despite read , really pleased . check 8:30pm go quickly . nice part upgrade suite extra charge . everyone friendly helpful . staff pleasant . really great location strip . make sure eat outside Mon Ami Gabbi ....... good food service . annoying part trip people hand card people try get see time share . good experience overall . would go back ....... location , location , location . 
 May 18 2009 	 LOVED paris 	 wonderful room , luxury room , big clean perfect - good food service ever . would go back heartbeat . 
 may 17 2009 	 First Time go back 	 stay May 11 - 14 50th . birthday . room comp . birthday upgrade free room view . view fantastic . could sit room look window watch fountain lift little windowseal part window could really hear music . hotel need upgrading , think fine . location great , people work front desk bellman really nice always smile face . great place stay would really thing stay . 
 May 17 2009 	 wow ! 	 basic Vegas hotel room , meet expectation . first , big . second , clean newer - look . third , really classy , french color fabric . fourth , ' ve notice year Paris still keep area really clean , include public rest room . finally , else Vegas , one get really feel like be city hotel name ? Paris . New York , New York ? fuggheddaboutit ! 
 may 14 2009 	 GREAT LOCATION DECENT PRICES 	 stay 2 night last Sunday Monday . 3 adut room find quite spacious comfortable bed . big bathroom , huge shower bath . breakfast include complimentary tea / coffee room . unable use fridge personal thing like water take anything long 45 second , even look , automatically get charge . good view towards MGM grand facility downstairs ok , overpriced . good buy food walgreen unless cash burn . staff helpful friendly . oh wait till see reception , wow ! another thing , wireless internet expensive yet super 8 be like get free ! ! 
 may 14 2009 	 enjoy Paris ! 	 11th trip Vegas first stay PARIS , Saturday check - in . try upgrade $ 20 tip work KING RED ROOM 30th floor . clean modern accommodation . friend lucky upgrade traditional room 16th floor also clean . room big flat screen , standard 27 & quot ; 12 channel ( not go Vegas watch tv ) room also little iPod stereo alarm clock excellent .... might buy one room ! bathroom nice separate shower . room coffee maker fridge coffee shop bottom elevator charge $ 6 2 large coffee . Mon Ami Gabi great restaurant overlook strip , eat breakfast . travel companion agree something share portion HUGE plenty big enough split french toast cost $ 5.50 , coffee $ 3 . pool plenty big enough lot chair , weekend dj . Paris location convenient strip , 10 minute IP , Harrahs , Flamingo 10 minute way MGM . little bit walk parking garage check - in get room casino strip pool quick easy . Paris nice casino Poker room , problem since Planet Hollywood really next door . would definitely recommend PARIS ! 
 May 14 2009 	 great staff great location great stay ! 	 wife spend 4 night Paris Hotel nothing good thing say stay . staff top notch always ask anything else need make stay well . upgrade room view strip give we view Bellagio fountain across street well free breakfast , couple free drink appetizer every night . think well worth price pay . flashy hotel Vegas price , location , staff would stay heartbeat . mystery charge bill checkout take care question ask . look nice hotel heart Strip , place stay . 
 May 14 2009 	 Disappointed ... 	 wife pay first visit Vegas late April stay Paris . on good side ; be terrific location . can not ask . architecturally , build outstanding . shop mall hotel Ballys quite good . find breakfast 8.95 include ham egg croissant coffee . 's good value . enjoy fantastic dinner Mon Ami Gabi , restaurant include outdoor patio strip . one travel companion eat several time recommendation fail we . want check duel piano lounge entertain ; well drinking bartender enforce two drink minimum . downside : smoky public area nauseate . can not tolerate smoke much not , thank legislation ban place . compare hotel , Paris 's ventilation system poor job clearing air . would not spend time casino reason . as service , less cheery front desk . possibly , character Paris ... room , basic variety : basic . refurbish , nothing cheer . decent mattress work safe , plus book ( travel fair amount ) .All , however , experience not wife expect . the Paris nice place visit , next time will stay somewhere else . 
 May 12 2009 	 Hotel Paris bit date excellent service 	 stay Paris 2nd time 5/8 5/11 Dave Matthews concert . previous trip 5 - 6 year ago . room smoking room bit war tear . wish think bring travel Febreze carpet freshen bit . although read review tv date , not think issue , give amount time stay room . bit inconvenient scroll 8 channel asian tv get CNN , tvs / furniture need update ( furniture scratch ) . Bathroom ok , nice remember , shower , 4 piece bath , bit cramp . floor service ( cocktail waitress , dealer ) GREAT ! prefer gamble Planet Hollywood hear music crap table Paris . buffet Paris ok , lot people enjoy crab leg , look good , somehte ' m . food , ( chicken / beef / pasta ) kind cold . dessert great ! St Louis restaurant mediocre service good , well food . one meal meal ticket bury entree ! not even take bill ! 
 May 11 2009 	 Non - smoker people like clean room would happy elsewhere ... 	 know 's Las Vegas , know casino smoky place since dawn time ... ... pretty disgusting . Stayed non - smoking floor , not really help . one smoky bar area casino floor right next main bank elevator - walk get anywhere . room thick layer dust / dirt carpet around perimeter room ( could see clearly carpet blue ) . guess maids not hear crevice / corner attachment . base price alone , would think Paris right Bellagio , Venetian , etc , visit place stay property much nicely maintain , air quality MUCH well . ( People smoke plenty hotel must work hard filter / ventilate , hardly notice . walk Paris , throat start tighten first inhale . be disturbing . ) bright side , location can not beat ( center strip , across Bellagio next Planet Hollywood great shopping ) , nice time around pool ( good music , friendly waitress ) . however , unless Paris upgrade air filtration , Vegas law crack smoking casino ( unlikely ) , would avoid place , especially price be ask -- even economic downturn . 
 May 11 2009 	 great position one good place stay Vegas ! 	 stay first three day honeymoon must say fantastic . initially choose Paris location disappoint - if want somewhere 's bang middle strip . unlike reviewer quiet book , although room not ready hour ( give we chance start gambling drinking ! ) . bit disappointed fuss make honeymoon although offer upgrade ... $ 90 night . would say not take room give excellent anyway ! bedroom massive , room nice clean . love cocktail bar next pool great sip mohito 's sizzle bake sun . eat buffet breakfast think fantastic . short , go Vegas first time would recommend Paris - it tick right box 
 May 10 2009 	 book 14 night stay 	 stay paris many time lovely hotel set great part strip always upgarade la mans suite pool fab food good staff greatwe always stay vegas 2 week take long time get ireland sometimes stay three different hotel one trip time stay 14 night paris catch free shuttle outside great night rio another favourite 
 May 10 2009 	 nice stay Paris 	 step sister stay Paris hotel two night . always want stay Harrah 's offer 2 night compe , could not pass . upon arrival , ask nice view high floor . quickly inform pay view . 65.00 night etra view kind . also offer upgrade we red room concierge level priveledge 150.00 per night . decline since not spend much time room anyway . place 22nd floor view Bally 's . room alot small worn expect . always assume since usually quite pricey , room large case . bathroom small nice . seperate tub shower toiletry smell nice . bed hard , comfortable . location awesome . love breakfast buffet Paris nice right stair . also love Planet Hollywood Bellagio ( 2 favorite gambling place ) close . overall , nice place stay would stay . 
 May 10 2009 	 get pay quality hotel 	 great location , great room , great staff high end hotel ripoff fancy reception room little substance . Paris like . quality everywhere make plesent stay . dinner effial tower great well 
 May 9 2009 	 vegas vacation ! 	 book hotel flight expedia 6 night get really good deal . hubby go vegas box MGM , book early ticket go sale get really good deal . pay £ 40 room per night basic room . must special deal night book come lot expensive follow day , may due box ticket go sale . stay excalibur last time go Vegas . Paris far superior much well location we . arrive 9 pm long flight , queue reception nice lady ask , tell tired long flight . ask want upgrade & quot ; red room & quot ; $ 40 per night . decline planning room much , far much see important thing sto spend $ , say thank , say understood feel long flight recently trip uk say would upgrade we luxury room premium room free . room still old style furnishing premium room well view . happy first impression hotel staff . room nice enough , clean spacious bathroom . could not ask well room £ 40 per night , full view pool , eiffel tower partial view strip bellagio fountains.we eat Cafe Ile St Louis time , queue 15 min , quick service good food . not eat place paris fussy eater find bit fancy . 's worth go eiffel tower veiw , use 2 1 voucher find free coupon booklet . casino nice enough feel lot less dark lot strip . also go Risqué nightclub , get free , sure expected pay , not get ask pay not complain ! sure u get free u stay Paris not show key card get let straight , queue .. anyways go usual , u not get seat u not pay $ 300 bottle service , stay drink , think around $ 20 2 drink . music good mixture . lovely hotel compare strip , maybe pretty bellagio , mandalay bay , venetion etc , get bargain happy , nice room , good view central location . p.s . reccommend cheesecake factory forum shop , amazing food , decent price amazing cheesecake ! ! also mix lounge top hotel mandalay bay . go 10 pm u get free get table , sit balcony , amazing view , pricy drink tho ! $ 23 corona apple martini ! ! ! great hotel u get good price , would stay . 
 May 7 2009 	 right middle everything 	 check easy . upgrade one remodel red room ask . additional charge . room huge flat screen tv 's seperate tub shower . plenty food option hotel . Mon Ami Gabi great food , outdoor seat great seat fountain Bellagio people watch . able walk everywhere want go hotel middle strip . excellent service spa , one good message ever . layout casino hotel restaurant shop make easy find . definitly stay . 
 may 6 2009 	 Disappointed Room 	 arrive not room available except handicapped accessible room ( 2:30 p.m. ) . tell we want different room , would wait two hour . since tired not want wait 4:30 p.m. , take handicap room , not amenitie regular room . clerk check - in little rude , curt , friendly . not offer compensation exchange waiting room . attitude basically & quot ; take leave it . & quot ; next time go Las Vegas ' m stay somewhere else . Paris definitely disappointment . on good side , dinner Bon Ami Gabi wonderful . table perfect , inside patio front opening face Bellagio fountain . food fabulous , expensive . not bother go Paris buffet dinner . uninspire food choice plus chair uncomfortable tall 5 foot . chair low feel like sit child 's chair . 
 May 6 2009 	 thoroughly enjoy Paris Hotel ! 	 select Paris Hotel due proximity monorail Strip , attend conference Hilton . ( husband could & quot ; stay play & quot ; conference . ) resort beautiful , room lovely . spacious , clean corner room 8th floor two large window , one face Strip one face Bally 's . ton closet space , bathroom huge , excellent shower tub . opportunity dine three Paris restaurant stay : Le Buffet , Le Cafe , Mon Ami Gabi . three great , especially Mon Ami Gabi . would stay heartbeat ! 
 May 4 2009 	 DREADFUL ! ! ! ! 	 simply disgusted ! ! ! lobby awe inspire , take we time check in- room not immediatly available offer another room . elevator well corridor - really , really nice ! enter 2 queen room everything go wrong ! carpeting completly run , hole bed sham , bathroom door knob fell hand , lamp attatche wall restroom piece break bulb tighten make flicker . top 8 am morning check - out , house keeper knock door , wait response , open door walk ask we time check ! ! ! completley dumbfound ... needless say report management thing offer late check ! recomend hotel ... alot nicer hotel money ! 
 May 2 2009 	 bad . 	 arrive Tuesday- able check right away . room much view . seem like room see well day ( large ding furniture , wear grout bathroom , slightly stained carpeting ) . bed comfortable . strange notice leave table state would shut power 12 am 5 am hotel could update . warn elevator would work leave light stick use . suppose happen 5/1 . interestingly , power never go ? ! ? room service housekeeping attentive . Mandara Spa give mixed review . get massage facial . massage good- think name Ovid . facial do Elena , course , try sell least $ 100 doller worth product . dress facial , notice slight rash upper chest massage product . bring attention , state not think anything facial . disagree , noticeable since go away . one major issue lady spa area shower . clean , dark side note 1 shower grout appear moldy . finally , one shower faceplate fall well show head leaky look like last leg . appear minor issue , fact charge much , expect excellence . probably will not use spa stay Paris . 
 May 2 2009 	 Paris ? Oui ! 	 mom spend weekend Las Vegas although heart set stay Mirage simply could deny great deal offer Paris . once never regret decision minute . location even well last stay ( Treasure Island ) con could find compare Treasure Island -- love -- bed nearly comfortable . bathroom great ! even touristy thing go Eiffel Tower Experience . think 12 dollar price reasonable come across one 2 - for-1 coupon around become obvious no - brainer . ABC Store conveniently locate Miracle Mile shop right beside , even well ABC store Fashion Show mall , be open till midnight grab bottled water breakfast next morning cheap . the Cafe ( Ile de St Louis ? ) late night deal midnight 6 am : 9.95 2 pancake , 2 sausage bacon strip , 2 egg , 2 biscuit gravy . bad deal be also 3.95 breakfast La Salsa Cantina ( Miracle Mile ) 2 egg , 2 sausage patty bacon strip , southwestern potato , 2 tortilla ( flour corn ) . plus 99 cent bloody mary . not want walk 9.95 deal still good . the creperie pretty good , . ' m big fan crepe hit spot want quick meal . I like fact pool roof . find awkward walk casino swimsuit , even worse wet . pool not big , like Treasure Island , job . give credit TI however attractive pool surrounding 
 May 1 2009 	 5 star peep 	 incredible staff ....... say , people great towards , ever bad time ....... Paris well ....... housekeeping , thankyou take good care we ........ 
 Apr 29 2009 	 wonderful stay Paris 	 celebrate 25 glorious Years book Paris Harrahs reward , regueste Red Room upgrade offer additional $ 60.00 / night . request p room additional charge lovely . large room , double floor ceiling window . great view moutain sunrise morning . large bathroom tub shower , sit area table 2 chair small couch . weather perfect 80 's pool crowd never problem find lounge chair . venture hotel , Paris perfect we , big big enough , table plenty even $ 5.00 table available weekend , unheard AC . good Mon Ami Gabi restaurant , worth wait sit outside watch Bellagio Fountains dining . good french onion soup , steak chicken delicious , affordable . Buffet Breakfast good . hotel like little french city inside cobblestone floor , beautiful decor . the Eiffle Tower experience add bonus 2 1 coupon find . great location strip 1st day walk toward MGMthe 2nd day walk Venetian . Maid service excellant friendly staff . we would definatley stay future trip . 
 Apr 28 2009 	 Smoky disgusting experience 	 stay Paris 4 night conference hold hotel . wait line hour check ( despite know several thousand attendee arrive , 2 , 3 staff work front desk hour wait . several colleague wait 2 hrs check ) . smoke overwhelming second walk door . floor non - smoking not matter - air quality bad casino . Disgusting . wheeze , sneeze , cough whole 5 day . awful . room wear exciting . bath quite lovely , though . staff rude helpful . maybe be try really recreate experience REAL Paris . well do . dislike real Paris , hate fake Paris too . the great food Creperie . Delicious crepe . Buffet busy great . Burger Brasserie average . meeting accommodation joke - tiny business center serve Paris Bally 's could deal conference attendee ' need . expensive wireless internet ( $ 14.99 / day ) , expensive business service . a dump overall . never return . 
 Apr 28 2009 	 blood drape .... yike ! 	 Service suck .... two counter people assist entire line people wait check . speak manager , never even apologize . basically say nothing could / would ! room , Room 1283 , blood curtain . go someplace else ! 
 Apr 26 2009 	 first tripnot bad 	 wife trip Vegas contest March choose stay Paris Easter weekend also 40th birthday . we see picture hotel internet read many review feel prepared . arrive around 1p.m . Friday 10th . take minute find check shuttle drop we side Paris walk whole casino find . wait maybe 5 minute line . lady check friendly problem get room . not mention birthday try $ 20 trick . get room fourth floor view retain wall . room clean big enough we . definitely & quot ; luxury & quot ; reservation like sup Econo - lodge . housekeeping wonderful job stay . not eat restaurant prefer take bus Fremont Street eat shop limited budget . check Monday 13th fast hassle free . hide surprise . for transportation recommend get round trip shuttle airport . time share spiel try , worth money . strip get 24 - hour pass deuce , good deal . there alot thing see strip mention , like go Freemont Street get bang buck food shopwise . overall , good time Vegas Paris fine we . 
 Apr 26 2009 	 Amazing Hotel 	 stay regular room 4 night last year absolutely love it . definately recommend Breakfast buffet Burger Brasserie . go back vegas soon , visit restaurant . great loaction explore strip . TOP TIP : cheap breakfast checkout cafe n PH mall , next tropical rainstorm . cheap quick food ! ! 
 Apr 26 2009 	 Paris - Vegas 	 travel Vegas several time year business pleasure . sometimes bring kid ( 12 , 9 , 8 ) sometimes . love Paris Vegas ! small casino , easily quickly get place around casino hotel . locate middle strip , great access casino - the Planet Hollywood ( great sportsbook , rockin ' music , flat screen tv everywhere ) . one good restaurant Paris - Mon Ami Gabis . ( highly recommend filet mignon merlot butter sauce . great french beer wine . ) piano bar Paris , rockin ' night . lot fun ! go every time Vegas . sport bar nice , usually beer special big game . Paris open stage casino , live music play one side casino . the bad : room get tired looking - not fabulous like hotels strip . pool get sun noon , water cold ( even summer ) . drink way over - price pool area . cocktail waitress open stage casino never nice , stop go . 
 Apr 26 2009 	 Excellent Hotel department 	 stay Paris Hotel April , second vist Vegas , last time stay different hotel . vegas friend wedding find Paris hotel excellent excel department . location superb bang middle strip right opposite Bellagio fountain . would certainly recomend buffet breakfast $ 17 eat vast choice food choose certainly set busy day sightseeing . would recommend get early queue quite long get quite quickly . find room spotless well furnish comfy bed huge flat screen tv . little niggle room one room yet instal seperate shower cubical shower head bath . tell we room process upgrading . find staff friendly willing help assistance . order flower wife get impression could ask deliver 3 am would oblige ! ! ! impressed go back deffinately stay . 
 Apr 25 2009 	 absolutely amazing time Vegas Paris Hotel 	 ' ve stay Paris 4th time ... never stay anyplace else . go husband brother sister meet we day later . compe room hotel opt pay $ 40 per night room view . upon check ask suite Amber ( nice Front Reception employee ' ve ever deal ) offer we suite 33rd floor $ 85 per night ( inclusive $ 40 previously mention ) ... take boy worth every penny . suite immaculate , bathroom stunning even receive 2 rolloway bed charge . service could not well . stay Paris , get well time . not see sign wear / tear housekeeping top thing like would believe . ask extra towel , blanket sheet deliver right away . mint leave pillow night room spotless return afternoon . everyone encounter nice helpful . eat dinner burger place fantastic also Mon Ami Gabi . restaurant everyone try Vegas ( whether stay Paris ) . steak world . one could easily find negative thing point really want guess attitude vacation unless something really wrong , let go try good time . shower pressure not good , sink mini bar not drain well not stress instead take extra minute take shower - mean , be big deal . vacation . would take time consider return Paris . great time reason , see purpose try hotel . else get great location , beautiful hotel , great place eat terrific deal . good . 
 Apr 23 2009 	 FABULOUS every way ! 	 husband first trip Vegas know get money little scary . kind wonderful wonderful place stay Las Vegas . fortunate stay find beautiful hotel Vegas . Paris comfortable , quiet room roomy bathroom , luxury mini bar would endulge exceptionally warm feeling . when enter casino area modest not send kind slot machine noise hell like . large casino back connect another casino . inside gorgeous setting like middle old France . detail remarkable ! food great staff friendly . hotel HUGE , 3 day still could not see ! go every swanky hotel see something offer Paris far make feel comfortable . real plus fact rental car company premise . come real handy since want go Hoover Dam there . I can not say enough good thing hotel would definitely stay ! 
 Apr 21 2009 	 Crowded Quarters 	 Las Vegas numerous time , trip decide stay Paris . one good town ( though bad either ) .Most people say love Las Vegas would not want live . say hotel - great place visit check trip , actually stay at . why say ? well firstly actual hotel feels crowd cramp . casino shopping area always bustle ' passer ' . quiet spot relax . find extremely noisy , cramp confusing compare casino . sense sophitication elegance one might associate thing parisian . bad still permanently feel like 's evening . great 's bright sunny morning outside . absolutely natural light buliding . even reception . the cafe restaurant almost always long line , even get breakfast feel like chore . one night ( 2 am ) decide want cup tea . wait line twenty minute seat , find cafe actually half empty . earth queue anyone guess . ? ? ? ( way - know make decent cup tea either ) end resort McDonalds breakfast . less wait , well taste tea , much small check ! room average Las Vegas . probably seem amazing anyone be never , take nothing special . bad design building also mean 75 % room face either side Bally 's Plant Hollywood . adjoining hotel . want strip view cost $ 65 extra night . worth opinion unless bag room high floor 15 . otherwise basically see pool Eiffel Tower . speak pool - distinctly average . one big round pool . 3 ft deep even centre . umbrella shade anyone , would well want fry sun . plus side nice cafe area . access guest , less busy actually fairly pleasant . management sense would utilise evening , pool side dining music . lastly say service overall good . exception buffet find server pleasant accomodate . can not reccommend hotel anyone really . want well casino environment opt Bellagio , Monte Carlo Venetian . 's great pool want go Mandalay Bay , Caesars , Pallazzo Flamingo . great shopping thing opt Caesars ( Forum Shops ) Wynn , Pallazzo Treasure island ( Fashion Show mall ) . want young , slightly urban feel opt Planet Hollywood Strip , Palms Hard Rock strip . think single overriding reason choose Paris ? sadly . be average respect . 
 Apr 21 2009 	 wonderful stay 	 first time stay Paris - room wasclean - everyone nice helpful - foodwas great ! ! ! alone feel safe -I would def . stay 
 Apr 20 2009 	 Fun girl 's vacation 	 visit Vegas girlfriend vacation stay Paris . great location center strip accross Bellagio . room huge large enough comfortable mini bar , small sitting area separate shower / tub bathroom . common area hotel decorate nicely . check fine check long Saturday afternoon . casino area large enough without overwhelming . bartender friendly opposed Flamingo one downright rude . Buffett restaurant good . one complaint , room service charge coffee base number cup request size pot . 
 Apr 20 2009 	 Got upgrade - Great Location 	 book reservation Harrah 's Friends / Family discount get room 2 weekend night $ 70 night . arrive late around 9:45pm line ... front desk say standard room 2 bed not want ... end tell be go check see get upgrade suite ... come back happily say ' ve upgrade p room .... huge room 2 people ! separate entry way closet , restroom toilet . come mini fridge coffee / tea maker . really great value really great location ! 
 Apr 19 2009 	 great location room show age 	 go mother 75th birthday , request Bellagio view . rather nastily , told & quot ; everyone come BD & quot ; , instead offer concierge level room $ 80 , plus $ 10 / day 2 people . also , one chair sit lobby ! room show age . , hallway smell musty . internet access $ 14 / day internet kiosk expensive well . buffet overprice . next time , will stay Bellagio . 
 Apr 18 2009 	 Fun Loving Hotel well design well situated 	 Right middle Strip attach Bally 's access Mono - Rail walk pass Flamingo Bellagio Cesears Palace . also short distance walk Planet Hollywood fun shopping store eatery . Mon Ami Gabi truely life - like experience Paris France . steak au poivre ( pepper ) succulent ! Village Buffet outstanding would say one good Vegas . Ile St - Louis also excellent . bartender casino bar friendly ! staff Napoleons bar attitude would recommend place . bad experience stay . would love try crap , roulette & amp ; BJ table shy . thing casino 's really not try teach explain keep away ! secret afternoon fun bar place Carnaval front Harrah's / Imperial Palace ( 15 minute walk Paris ) . pool Paris well lay ! check service excellent , friendly ! upgrade premium room wonderful view . concierge & amp ; bellman service excellent ! one good vacation stay ever ! 
 Apr 16 2009 	 Awesome Location detail 	 beauty hotel casino - literally transport we Paris cobblestone ( like ) street faux storefront paint ceiling , replicate eiffel tower etc ... . centrally locate strip easy go either direction . helpful staff good wait service casino . gamble great - much run money slot table $ 10 minimum ( bit much taste hope $ 5 ) . hotel nice , gouge we check claim smoking room available even though requste time booking verify 3 day hand graciously offer we upgrade smoking room 27th floor good view would pleased ( request view Bellagio fountain ) mere $ 40 night . pay $ 60 begin eager start vacation agree . room beautiful , one newly remodel Red Rooms - yes 27th floor offer georgeous view back Bally 's outdated hotel . pleased view whatever not spend much time room anyway . bathroom beautiful clean well keep . easy video check ability check bill tv screen - good thing charge we several mini bar charge even use . come find mini bar hook sensor move anything charge - well thing need keep cold move thing around set place hence charge , take call front desk dispute . overall good experience - learn lesson process nice hotel . 
 Apr 16 2009 	 wonderful location good clean room . 	 go 3 woman , celebrate birthdays . Paris , find nice . wonderful location , good clean room . service good check - in . let room 4 pm check time , probably Thursday room available . provide lot towel etc room we four woman share room . casino big , may disappoint , love location amenitite . buffet awesome Easter ! would go back heart beat . also , not miss duel piano 's bar Paris .... cool ! 
 Apr 14 2009 	 pretty ! 	 arrive hotel around 3:30pm Friday line check - in go quite fast . get non - smoking 2 queen bed room request . room clean not think enough light . be ok daytime curtain open not , seem like even turn every single light , be still bright enough . go pool hour quite nice . water cold pool area clean lot chair people use . drink bar pool area really good ... think kind expensive ! first time Vegas love location - central not long walk either direction . also get super deal think value great ... pay less would go 3 star hotel ! 
 Apr 14 2009 	 impress 	 Stayed Paris first time Easter weekend . able get room prior 4:00 pm check time , impressed room . ( $ 20 tip get we upgrade . wish staff consistant regard . lucky lady take money give we mediocre room . ) Hotel definitely wear . show age . price . detail fall armoire , carpet dirty , furniture room need cleaning . place bathroom hang towel get new towel everyday . much little card bathroom try go green use towel . great pool Eiffel tower view , hard see filthy window afternoon sun shine . location plus nice casino . stay . 
 Apr 13 2009 	 Great Location / Dated room 	 stay hotel vegas year , visit town 100 time . third stay Paris Hotel & amp ; casino least favorite . . not think room change since open show sign wear , date decor old tv 's poor cable package . bathroom still nice hallway room floor smell old carpet year trap chemical odor . { asthma sensitive overuse carpet cleaner , chemical & amp ; smoke . } one morning hot water shower barely luke warm . plan lot time room ok luxurious . check breeze { 5 minute } always plan arrival Vegas little early , [ usually 12 & amp ; 1 . find 2 - 4pm Las Vegas Hotels pretty long check line . the location hotel 1st time visitor good , near center strip across Bellagio connect next door Bally 's . use Las Vegas Monorail back entrance Bally 's get convention MGM day work pretty well . pretty good walk Monorail myroom Paris certainly good option getting end strip . pool area hotel ok , want pool scene would short list great vegas pool area . try Caesars , Mandalay Bay even Flamingo Hotel & amp ; casino pool time top concern . always make sure call ahead see pool area open . like Casino many town high ceiling make little less smoky atmosphere . I eat many Paris restaurant . the bar atop Eiffel tower terrific view cocktail . Mon Ami Restaurant quite good atmosphere terrific . also eat Les Artistes Steakhouse find food ok room quite stunning . walkway Paris Bally 's find less expensive food { bakery , crepe , buffet , etc } along spirited bar duel pianist one night stay . notice stay buffet line look ridiculously long morning walk . Paris good location room get little tired . go stay make sure get really good rate . need 5 star luxury room would like smoke free environment check Palms Place { high end resort attatche Palms Casino . stay about2 week stay Paris Hotel could believe different trip much money . good hotel stay ever Vegas . { Note Palms Place strip short 2 minute cab ride away . } 
