great 	 family suite two double bed separate room queen . spacious nice view Coit Tower , Embarcadero bay . front , settle street noise view worth . one block cable car route block Fisherman 's Wharf . love location . would definately stay can not beat free parking ! 
 Jan 6 2007 	 friendly clean 	 arrive San Francisco wet rainy day . take taxi hotel easy find . Near Fisherman 's Wharf bus stop outside hotel . free parking free wireless internet . staff friendly helpful . room big clean . basic clean bathroom . coffee facility room . ; suggest try coffee fan ! ! bed comfortable large . drawback room date however can not complain good value . overall , pleasant stay . 
 Dec 27 2006 	 Great Location ! 	 great hotel , especially price . nothing fancy , room large ( 2 queen bed , plus small table love seat ) . importantly , room clean . addition , charge parking , hard find city . view Coit tower downtown window . block walk Fisherman 's Wharf . breakfast , walk Mama 's Cafe Washington Square , get rave review , see ! staff also friendly helpful . price location , would definately stay . 
 Nov 19 2006 	 good find 	 Chose hotel read review site Hilton 's location good . room clean well serviced . side room bit noise otherwise o.k . near cable car public transport form bus . good position site within walking distance . staff helpful direction recommend place eat . although lack large reception area pub shop across street essential bottle wine . free parking although find use car stay San Francisco charge parking place . 
 Oct 30 2006 	 good place stay - excellent value 	 stay Oct 12 oct 15 2006 . book mix - up booking not exist . get us room one night manage fit we rest . staff helpful . complaint room . 's ice machine vend machine hall . include parking real bonus . area upmarket area perfectly satisfactory 10 min walk Fisherman 's wharf 20 min Chinatown . 
 Oct 16 2006 	 great little place stay 	 book four night stay base review site right . the location great , close everything . walk type public transportation ( include cable car ) give access city shopping , restaurant & amp ; culture ask . neighborhood safe , even dark entrance room interior corridor , be secure . be even grocery store block away ( along post office drug store ) anything might need close . walk Pier 39 , Fisherman 's Wharf , great North Beach restaurant cafe China Town . 's block Powell - Mason cable car block Hyde Street line . good access virtually whole city . use Muni get Golden Gate Park problem . our room large , back building , great view Coit Tower Transamerica Pyramid - nice look day night . extremely quiet , busy area & amp ; noisy , despite club next door fact fleet week town full . staff helpful . the thing possibly complain could use little vacuuming ( little agressive vacuuming ) . overall , be clean , safe , well locate place 's real bargain area . if need pool room service , stay else double triple night will pay . want clean , comfortable room without ton frill like bargain , place . 
 Oct 8 2006 	 great location ! great value ! 	 Columbus Motor Inn short walk Fisherman 's Warf , Lombard Street , Coit Tower , Pier 39 , short transit ride San Francisco 's attraction ! park car free parkade not need entire time . room clean spacious . downside fridge . room face Columbus Street , might bit noisy not use traffic noise , live close bridge not bother we . add bonus shower - high water pressure make want stay shower forever ! check - in check - out breeze - quick service mess around . ever go back San Francisco , will stay Columbus Motor Inn ! 
 Sep 20 2006 	 great location price beware room location 	 wife spend 4 night Columbus Motor Inn September , 2006 . everything read site true . location North Beach Fisherman 's Wharf perfect . room clean attractive , bed comfortable . parking bit tight amble free . hotel staff friendly helpful . price also great . however , one thing bit problem . room second floor face Columbus Avenue light sleeper , street noise really bother we . Columbus Avenue busy street , traffic never stop . bit advice street noise bother . ask room away street hope get bring ear plugs sound machine case not . everything else Columbus Motor Inn fine . 
 Sep 17 2006 	 Great Bargin 	 spend two night Columbus Motor August . positive experience . rate reasonable parking free . room clean pleasant staff helpful . it good location , close Fishermans Wharf , North Beach , Chinatown , etc . bus stop right outside entrance bus easy way get around . staff route map info available bus service . we feel safe walk neighborhood . I leave travel bag room upon checkout . contain prescription medication jewlery . hour later realize mistake call , bag already put lock & amp ; key . ship we next day everything arrive intact . if require turn service chocolate pillow Columbus not . ... want clean servicable room great price place . take money save room spend great meal . 
 Sep 12 2006 	 Best Kept Secret San Francisco ! ! ! 	 San Francisco 100.00 per night ... be well worth include free parking ! stay 3 night . it be clean ... neat ... almost like mini - hotel . staff friendly helpful . read comment everything say more . when walk room furniture oak ... wallpapper nice neat clean bathroom clean . towel fresh thick . always coffee ready use morning . Location PERFECT Fisherman 's Wharf / North Beach area . 2 block cable car stop . stand right outside door , 5 block North Beach . leave 5 block Fisherman 's Wharf . also near bus wherever . Beach Blanket Babylon 7 block away . what could ask ? course restaurant premise , close North Beach , could ask ? Stinking Rose 7 block away ? would stay recommend everyone stay Wharf area . I absolutely bad comment ! 
 Sep 2 2006 	 place stay San Francisco value 	 book hotel Tripadvisor . pleasant surpise . room CLEAN comfortable can not beat price . hope never change free parking policy second draw . walk past several hotel see parking fee know lucky find hotel . sure , stay hotel restaurant pool would want swim many thing see city literally thousand restaurant ? ? 
 Aug 30 2006 	 great find ! ! ! thank Traveladvisor 	 many hour look hotel online thru Travel advisor . decide family stay Columbus Motor Inn . hotel great . excellent location , feel safe hotel perfect . the hotel block away trolley stop , short distance Fisherman 's Wharf Lombard Street . good walk Chinatown 5 , 3 , 1 year old 83 year old grandmother . great time tour city . also excellent breakfast reastaurant two block towards Fisherman 's Whart great pancake ! ! way could enter hotel room key . parking free grateful hard find spot San Fran . not even need car tour city get anyway head towards redwood sister 's wedding . family suite perfect family . ( mother , grandmother , three kid ) seperate bedroom still together . room nice spacious . way back room ( husband join we ) spacious clean also . I would recommend hotel everyone visit . price great hotel ! ! thank Trip Advisor 
 Aug 27 2006 	 Columbus Motor Inn great find ! 	 stay two night Columbus Motor Inn please choose place . old hotel , public room restaurant , except small lobby . look reasonably price clean , comfortable room , convenient location , free parking , not think could top place . although room decor exciting , pleasant good condition . also spacious -- three us plenty room thing . tub / shower separate room sink vanity . two double bed , large dresser , small table chair . large window , could look street view , look distance see Coit Tower one direction San Francisco Bay direction . perfect location site - seeing . hotel walk Fisherman 's Wharf ( 4 block ) , Chinatown ( 8 block ) , crook part Lombard Street ( 4 block ) , Union Square ( 10 block ) . front desk staff extremely helpful -- old gentleman evening actually walk car curb give we parking direction , young gentleman day give we excellent restaurant recommendation . friendly helpful could . planning trip , determine waste money pay extremely high price lodge parking . hotel meet need perfectly . husband impress find place ! would definitely stay . 
 Aug 25 2006 	 Excellent Value Great Location 	 family five stay two - bedroom suite Columbus Motor Inn three night mid - August . suite clean spacious . hotel staff courteous helpful . hotel 's location North Beach convenient . easy walk Fisherman 's Wharf various pier , include Blue Gold Fleet take Alcatraz . Route 30 bus stop hotel , Powell - Mason cable car turnaround two short block away . the Columbus Motor Inn great value -- get two - room suite hundred dollar less per night would cost we single hotel room nearby chain hotel . free parking additional bonus . negative aspect stay street noise , since suite first floor face Columbus Avenue . however , noise not bad , problem sleep . 
 Aug 19 2006 	 great location value 	 extensive search reasonably price hotel stay SF , decide hotel . ' m happy choice . free parking , helpful staff , CLEAN quiet , great lacation . 
 Aug 15 2006 	 would stay 	 stay Columbus Motor Inn 7 night . hotel fancy perfect need . stay suite queen ( daughter love ) king bed . room clean , well keep front desk staff helpful give we great tip restaurant . hotel around corner Pat 's Cafe , eat breakfast one day ( great place really nice people good food ) . within walk distance major site attraction could not ask well location pick transportation part city . would definitely stay . 
 Jul 24 2006 	 well keep secret SF 	 good location -- Fisherman 's Wharf North Beach , free parking , great people , big , spacious bedroom free apple . would not stay anywhere else . 
 Jul 24 2006 	 great price location 	 spend 3 day July Columbus Motor Inn find clean quiet . staff helpful location beat . ask quiet room . come without view blissfully quiet ! would definitely stay . 
 Jul 19 2006 	 Fantastic Location 	 choose Columbus Motor Inn spend July 11 - 15 , last day CA vacation . look reasonably price hotel near Fisherman 's Wharf could easy access attraction family teenager would enjoy . find Columbus Motor Inn tripadvisor follow recommendation . glad ! main thing Columbus Motor Inn go LOCATION ! absolutely perfectly center everything want family . 1 1/2 block Powell - Mason St. cable car terminus , make grab cable car uptown Union Square Chinatown breeze . bus # 30 stop right front hotel take Palace Fine Arts one one end SBC Park . within easy walk distance Fisherman ' w Wharf , Pier 39 , Alcatraz tourist shop . within block great italian restaurant Pat 's Cafe around corner make great omellette . park car free parking garage attach hotel . buy 3 day muni pass use public transportation go ever want . standard 2 double bed room third floor quite spacious . clean , well maintain fresh fluffy towel day . bay window could see Alcatraz , Coit Tower , TransAmerica building . wow ! room not & quot ; extra & quot ; perks- refrigerator , microwave , guest laundry continental breakfast , location make . staff helpful set city tour , recommend eat place , give travel direction . great economical hotel heart want San Francisco . would definitely stay . 
 Jul 8 2006 	 excellent location + free parking 	 past May spend four night San Francisco stay Columbus Motor Inn please stay . location hotel ideal touring town real bonus parking include , mean ' use car . fact use take we Golden Gate Bridge traditional walk across bridge loosely follow 49 Mile Scenic Drive . room , clean large two queen - sized bed , sofa , always bonus . nice view SF skyline room . excellent value money would absolutely stay . Columbus Motor Inn ' pool we compensate free parking . inn also provide free high Speed internet access ( wire wireless ) ; bring laptop . also accessible within easy walk distance popular ( famous ) tourist destination , Fisherman ' Wharf . bus stop directly front hotel ( number 30 ) go downtown . jet29 
 Jun 13 2006 	 great location great parking 	 get back stay Columbus Motor Inn . book hotel reasonably - price hotel area free parking . upon check hotel , originally give room break air conditioner . call front desk , within minute , clerk bring key different room hall ( new , work air conditioner ) . room clean comfortable . nice round table balcony . sink outside bathroom , bathroom hotel room large . there bus stop directly front hotel use get Chinatown , Union Square , etc . front desk provide bus map . one - way bus fare $ 1.25 . also , cable car stop close hotel . Fisherman 's wharf within 2 - 3 block walk . the hotel also free WIRELESS internet access , fast easy use ( think network unsecured ) . , complaint here- would happily stay Columbus Motor Inn next trip San Francisco ! 
 Jun 5 2006 	 two block motor inn 	 spend two night hotel May 2006 ; good location ; email receive : two block ahead , breakfast : two block ; last one night terrible : customer next room rent deal ; silence make one woman threaten howl call police force ( customer .. night watchman ) ; two block , Holliday Inn Hilton next choice .. 
 May 20 2006 	 Great Motor Inn 	 previous post -march 16 - & quot ; & quot ; , little apprehensive check . need not worry , everything fine . two bedroomed room light , clean comfortable . ice - machine floor price , location great , far Fishermans Wharf . Turn leave leave hotel , right like , must jet - lag . also great little cafe around corner ( Pat 's ) great breakfast . 
 Apr 30 2006 	 Niest Staff San Francisco Far 	 April 30,2006we recently spend four night Columbus Motor Inn enjoy thoroughly . not believe ever nice , helpful staff fine folk . five star Hyatt Mariott comfortable , clean conviently locate couple block cable car . feel rate reasonable since location great , block Fisherman 's Wharf . I would recommend Columbus Motor Inn anyone look for'price , location , comfort friendly staff . Serta mattresse among comfortable ' ve ever always enjoy restful night sleep . do huge favor , make reservation ColumbusMotor Inn . will happy answer question might atradio87 @ yahoo.comthank wonderful hotel . Glenda love it . Larry 
 Mar 19 2006 	 Good Fisherman 's Wharf Hotel 	 Nice hotel . inexpensive location . room average size , nothing fancy clean . quiet area . can not hear people adjoining room plus . within walking distance Fisherman 's Wharf . free parking seem rarity area . staff friendly helpful . not restaurant , many area . would definitely stay recommend other . 
 Mar 19 2006 	 Location Value 	 stay Columbus March 9th 13th iffy S. F. weather . proximity Fishermans Wharf North Beach restaurant make easy walking enjoy well dine city offer well site like Bay Cruise , Alcatracz , Pier 39 , Ghiradelli Square , Coit Tower , Cable Cars , Hyde Pier etc . room come king bed free parking . room ample size , well furnished , clean quiet despite locate busy Columbus Ave . find staff extremely polite helpful suggesting tour provide drive direction many destination San Francisco convenient walk . receive solid value would recommend hotel moderately price , well locate , clean friendly place enjoy day vacation 
 Feb 23 2006 	 bad point columbus 	 read good review motel site decide make reservation hotel . make reservation request web site reply . try send fax reply ... point ' m concern ask credit card number time request ( web site ) ... 
 Dec 15 2005 	 Great Place - Great Staff - Good Location - Fair Price . 	 recently visit San Francisco stay Columbus Motor Inn . think room reasonably size quite comfortable . judge review ' ve see San Francisco motel might consider large . bathroom nothing special clean well maintain . location great . be four block walk Fisherman 's Wharf short block cable car line . buy MUNI pass ride cable car , streetcar bus anywhere . finally , staff great ! ! happy arrange transportation , tour , etc . pleasant informative . busy learn great deal city . stay . 
 Dec 13 2005 	 arrive SF place stay find hotel . 	 friend drive Los Angeles ( Canada visit friend ) July see show Cobbs Comedy Club street hotel . decide play ear , book hotel , find one go city . the first hotel walk , one , get two double bed room 4 we . clean , quiet , enough room we , stuff bring one night stay city . front desk staff helpful assist we direction etc . I recommend hotel , back SF next year , stay . 
 Nov 21 2005 	 everybody know .... 	 wish people would stop write positive thing Columbus . be like tell whole world find wild mushroom . well , know anyway ; , yes , be real find . basic , simple , clean , good value , terrific location invites walk around . 
 Nov 8 2005 	 can not say enough good thing ! 	 also choose hotel extensive search use website . look something tourist beat path reasonable price range . Columbus Motor Inn fit need & quot ; & quot ; . location ethnic neighborhood yet block Fisherman 's Wharf access Alcatraz , etc . look . room basic , clean . free parking huge plus . desk staff helpful . housekeep friendly competent . many good restaurant withe walk distance ... Walgreen 's , grocery , liquor store nearby ... perfect ! would stay s.f .... 
 Oct 6 2005 	 another Satisfied Stayer ! 	 return 2 - week trip include 3 night Columbus Motor Inn , choose extensive search net positive review site . satisfied property agree poster value cleanliness . -- location , location , location ! room 2 queen ( 3 adult ) also third floor back great view downtown , Pyramid , Coit Tower P & amp ; p church , beautiful , expecially night ! great time , leave car free parking entire 3 day enjoy city . front desk staff helpful direction restaurant suggestion . say Empress China still good ( eat 15 year ago ) indeed excellent ! also , Mama 's Washington Square breakfast worth hype ( long line Sunday morning ) ! great city great hotel need . 
 Sep 17 2005 	 Family Suite plus location make Inn BIG winner 	 family five spend week Inn , limited availability book , spend three day suite , two day two double room , last two day suite floor original one , expose we room traveler would typically stay single visit . individual room give fine , although face side / rear motel thus could compare bright , extremely spacious suite . suite , like room face Columbus Avenue , large window afford lovely view North Beach Coit Tower one direction Fisherman 's Wharf . comfortably appoint clean -- housekeep wonderful job . 's location , however , clinch deal : inn easy walk , bus cable car ride anywhere want go San Francisco , take great advantage proximity terrific cafe restaurant Columbus Avenue . border Chinatown , , block away . would definitely stay eagerly anticipate return visit . 
 Sep 9 2005 	 Great Little Motor Inn 	 wife stay Columbus Motor Inn Sunday Monday August 29 & amp ; 30 2005 recent San Francisco trip . motel excellent location close proximity Fisherman 's Wharf . free cover underground parking good benefit opinion . room locate third floor quite spacious San Francisco standard , clean . queen - sized bed , room overlook Columbus Ave . nice view Coit Tower , panoramic view bay Alcatraz Island . even though room overlooks street , noise minimal . ( expect little noise , afterall motel locate heart urban city . ) staff professional friendly answer question provide we restaurant tip . practically left car park entire time use Muni Buses , Cable Cars , simply walk around . feel safe walking around town evening , eat great italian restaurant one night name Capp 's Corner ( Powell & amp ; Green Sts . ) good tourism tip offer order Alcatraz ticket online , prior go trip . not , risk tour selling , especially weekend . if look high price , full service , high - rise hotel - this place . however , want stay clean comfortable room , great location , save little money thing trip , place . would highly recommend motel , would hesitate stay . 
 Sep 3 2005 	 Excellent hotel money 	 pick hotel base upon review trip advisor site . location within walk distance major tourist spot ( Wharf , Pier 39 , Ghiradelli Chocolate , China Town , etc . ) close trolley bus . hotel price location low area , extra charge cover parking . the hotel size roomy enough two queen bed , sofa , table , dresser . bed comfortable room clean . great basic frill hotel excellent location affordable price . 
 Aug 22 2005 	 great little hotel ! 	 hubby two teenager spend 5 day Columbus Inn August ' 05 , would definitely stay . clean comfortable , staff wonderful we . although restaurant attach , great little place around corner breakfast . central Fisherman 's Wharf Chinatown , cable car station block away . bus literally stop outside door , convenient get beginnne Chinatown , walk back . popular italian restuarant area mile away , easy walk cab ride . parking free , great . not even move car first 2 day hang city ! be travel kid , highly recommend stay one suite . queen bed one room 2 double bed , $ 180 / night . quite bargain San Francisco ! make sure book well advance high season . book hotel testimony reviewer page , sure not disappoint ! 
 Jul 23 2005 	 Great - Columbus Motor Inn 	 get Columbus Motor Inn recommend Trip Advisor glad decide stay . return 4 night stay would definatley stay . ideal location two minute walk Fisherman 's Wharf , Lombard Street Washington Square . free parking excellent . bus stop right outside cable car two minute away . staff really helpful give we lot tip get around etc . 
 Jul 15 2005 	 adequate room great location 	 second property stayed own little group hotel . I like location much - chinatown , North Beach Wharf . the room furnishing could stand upgrade , bathroom fine . underground parking include . bed little lumpy . friendly staff , price right . 
 Jul 13 2005 	 small friendly Columbus Motor Inn 	 be look clean , spacious room , good location- Columbus Motor Inn good choice . 2 - bedroom suite , wonderful family 4 . staff helpful . give advice bus route , restaurant , area attraction . great hotel not need frill ! 
 Jul 12 2005 	 like ! 	 take advice reviewer stay one night SF agree - great location , clean room , reasonable rate - satisfied experience . 
 Jun 22 2005 	 highly Recommed 	 going say great place , post say exactly go say . leave less crowded Cable car line 3 block hotel . real nice & amp ; quite area also , good ' ve stay . plan return ! 
 Jun 12 2005 	 Superb place 	 stay 5 night June 2005 read review site . pay $ 135 night free parking lot cheap hotel Fishermans Wharf . location excellent , 5 minute walk Cannery 10 minute Pier 39 . leave car cover parking area whole time catch bus stop right outside hotel cheap . bedroom spacious tastefully decorate corridor hotel . scruptiously clean fresh towel every day . bed comfortable bed ever sleep . would definately recommend hotel want stay Fishermans Wharf . 
 Feb 9 2005 	 amazing value ! 	 second stay Columbus Motor Inn good first time ! free underground parking ! immaculately clean room ! fantastic location ! walk Fisherman 's Wharf ! walk Lombard Street ! walk cable car ( either Hyde Powell / Mason ) ! $ 80 ? okay , be free breakfast , big deal . good deal ' ve find year . 
 Jan 4 2005 	 great budget motel 	 third time Columbus Motor Inn never disappointed . recommend family friend . ' m even sure find , ' m glad . location great . parking free . room always clean . staff always friendly helpful . Fisherman 's Wharf , Chinatown , Northbeach within walking distance . Powell - Hyde Powell - Mason cablecar line also within walking distance . muni bus # 30 right lobby door motel . stay . 
 Nov 5 2004 	 Excellent Value 	 family stay week begin Oct. 23 . two suite two king room total 14 people . size room great , large average space . suites corner room nice view Columbus Street balcony . free cover parking add bonus . number 30 bus stop right front hotel , convenient . Mason cable car line run , Powell line block north Columbus wharf . coffee maker room , small refrigerator suite , would nice . overall , money pay , consider location , size room parking , felt represent great value . certainly stay return San Francisco . 
 Nov 2 2004 	 BEST LOCATION SAN FRANCISO ! ! 	 4th trip San Francisco good hotel . spend 4 night Columbus Motor Inn Oct 27 - 31 . 2 bedroom suite , Room 313 . great view , 2 large window overlook back house neighborhood quiet . traffic noise whatsoever . hear neighbor within hotel either ! perfect Husband 2 teenager . kid love room . hotel extremely clean well keep up - to - date decor . 's small , frill , 3 - floor hotel maybe 40 room total . cozy . seldom see guest . housekeeping staff friendly . front desk staff courteous helpful question helpful make suggestion restaurant tour . you can not beat location . be right Fisherman 's Wharf North Beach & quot ; Little Italy & quot ; within walking distance . well Ghirardelli Square , Marina , China Town famous Lombard Street . 's Safeway Walgreens 3 block away well , small liquor store right across street . and good part ... free parking ... seldom find San Francisco . feel safe walk area parking garage night . hotel within 2 block Hyde / Powell Cable car line . also walk cable car line Ghirardelli Square . great restaurant nearby include , Pat 's Cafe & amp ; Joanies Diner breakfast Trattoria Pinocchio 's italian dinner . within walking distance Columbus Avenue . we great time SF definitely stay Columbus Motor Inn future . 
 Jul 2 2004 	 GREAT LOCATION 
 May 13 2004 	 Convenient Comfortable 
 Mar 29 2004 	 Great Location 
 Jan 8 2004 	 great value launch pad vacationer 
 Nov 6 2003 	 Perfect city day 
 Oct 1 2003 	 good value Fishermans Wharf 
 Aug 28 2003 	 excellent value 
 Aug 15 2003 	 great location 
 Jul 24 2003 	 Perfect locatioon 
 Mar 5 2002 	 Columbus Motor Inn 
 Jun 27 2009 	 Kein andere Hotel mehr San Francisco ... 
 May 21 2009 	 Einfaches gut Hotel Nähe zur Fisherman 's Wharf 
 May 19 2009 	 Excelentes instalacione un precio accesible buena ubicacion 
 Apr 23 2009 	 Hotel super - trotzdem gemischte Gefühle 
 Apr 22 2009 	 Kostenloses Parken zentrale Lage saubere Zimmer 
 Mar 21 2009 	 Buona Posizione 
 Mar 12 2009 	 ein schöne Hotel ... 
 Mar 2 2009 	 Hotel guter Lage mit kostenloser Parkmöglichkeit 
 Jan 18 2009 	 die perfekte Wahl ! 
 Dec 14 2008 	 Ein wunderbare Motel hervorragender Lage 
 Sep 1 2008 	 Muy buen hotel ... excepto ... 
 Aug 24 2008 	 Professionalità pulizia buona collocazione . Ottimo Hotel 
 Jul 5 2008 	 Super Lage mit Parkgarage . 
 Jan 25 2008 	 Gute location der Nähe aller Sehenswürdigkeiten 
