Best 	 WOW ! ! ! fantastic hotel . warm welcome staff arrival . room everything would expect 5 star hotel , large room dress room large bathroom . furnishing top quality . staff always helpful courteous could enough maid hotel manager . hotel like step back time impressive lobby seat area . every floor hotel like walk art gallery numerous piece art , well worth go wander check . staff dress uniform similar would worn colonial era . atrium impressive ideal place relax afternoon tea . hotel pool oasis hustle bustle Delhi . 
 Feb 14 2007 	 beautiful ! 	 Imperial ( Dehli ) -this hotel gorgeous . spend two night . breakfast delicious room spectacular . absolutely love marble hotel much . british Colonial decor really wonderful . 
 Jan 23 2007 	 Old World Glamour Great Chef spotty service 	 high - end hotel stay New Delhi , feel beautiful . history maintain old - world glamour . restaurant , Brasserie 1911 first class , service extremely attentive Chef , come check meal discuss background wonderful . however , breakfast , staff less friendly , seem annoyed work . be like not job , glass plate set front help either . ask tea least three time three separate people . return , pack luggage , ( specifically leave clothing change return ) take away , notice whatsoever think rob . ( request anyone take luggage , know would check day ) . compare Taj Mahal Taj Palace , service weak , overall , not bad . 
 Jan 9 2007 	 Beautiful Hotel 	 hotel REALLY LOVELY . season traveler really enjoy fine thing life . find Imperial nearly immpecable . entrance attractive creative fresh flower arrangement ( hat florist ) hall hotel boast many beautiful print painting . heritage room stay tastefully furnish colonial style period furniture ( 2 single bed ) . bed linen comfortable attractive . bathroom marble tub , separate shower . overall room pleasant light , sadly window ground floor room open get much fresh air . also tub clogged . make complaint , problem not get resolve . buffet breakfast great , lot selection hot cold food , well omlette station . Thai / indian restaurant fantastic , though quite expensive even hotel standard . room service great - always time always delicious . one major drawback horrible massage facility . noisy seem dirty - if must massage go inroom massage option . concierge well inform happen restaurant night club research . also remember Delhi everyone get kickback everything ! ! ! hotel well situtate near shopping restaurant . try really nice lounge / restaurant call QBA Coughnut ( spelling ? ) area . also do not forget shopping - Bargain ! ! ! ! overall whole hotel experience great . definately go back . 
 Jan 7 2007 	 really over - rate . 	 spend 3 day Imperial December 2006 . advance press tout & quot ; good hotel Delhi & quot ; ... sure look great . surface 's mediocre . staff seemingly willing friendly never manage deliver request . room windows interior courtyard mean be really quiet . get outside view room prepare lot noise . include bang bang staff fix chair be try recover jeg lag . Spice Route claim Conde Nast Traveller one 10 good restaurant -- - clearly reviewer eat even middle road fusion restaurant New York , London Los Angeles . good restaurant place win hand competition Spice Route . way staff attitude decidely unfriendly . let us talk price . every meal price riduculous offense imperial charge much bottle domestic indian white wine ( Sula ) import France California : US $ 60 - 70 something buy street US $ 8.00 . bottom line : price , rate , deliver . clearly contempt well travel target market enough experience know hotel sleekly package rip . 
 Jan 7 2007 	 Oasis 	 highly recommend due reputation , ' m actually fine practice keep pesky tuk - tuk driver premise . facility look opulent inside air smell lemon giner hall , refreshing come pollution outside . restaurant get costly . not think Spice Market restaurant anything rave . decent , pricey really dark ! pool nothing special . gym small , enjoy small hotel gym . build old course , window pretty thin one hear kind outside noise room . bathe quite experience : get dirty not bathe fill tub , water yellow ! top , rip taxis check - out ( base discount rate reserve room base full price ! ) management not care apologize rectify even lodge formal complaint . also , think people constantly open entrance door seem bit pesky impractical . install automatic door ? 
 Dec 28 2006 	 place pure luxury Delhi 	 stay top hotel India include Udaivilas , Rajvilas Amarvilas find Imperial hold . hotel full authentic old photograph furnishing thoroughly renovate high standard . particularly recommend heritage room stay child room beautiful large accomodate third bed . fact , decline heritage suite room good . food fantastic Daniell 's Tavern really enjoy life music . food among good ' ve India health problem . hotel also surprisingly quiet tranquil give bang centre New Delhi . frankly , place stay New Delhi . note another reviewer complain pricing never felt rip . hotel expensive deliver . security guard hesitant let autorickshaw least show make safe environment guest . 
 Dec 21 2006 	 stay reminisce past colonial glory 	 high expectation book hotel base past review previous traveller Delhi see hotel outside . the trouble start even get . pickup charge Nizamuddin train station INR 4000 ? ! ? take normal taxi train station instead ( cost : INR200 overpay ) .When get driveway , prevent stop front lobby . instead taxi direct away shelter porch like kind pariah . despite 2 year old son arm , call attention luggage . this happen 2 time take auto - rickshaw back premise rarefy & quot ; high - class & quot ; hotel even though obvious guest . bring issue hotel manager , unapologetic say thing many beggar India , auto - rickshaw ( run LPG way ) source pollution . I think really mean & quot ; proper & quot ; guest wonderful hotel use Tuk - Tuks . interaction staff characterise & quot ; well - than - thou & quot ; attitude . pay guest mind . obviously treat caucasian guest well ( ' m singaporean ) like kind thing , right home . even though stay suite , view , bathroom lousy ( shower spurt wrong place , bathtub stopper work ) . 
 Dec 6 2006 	 great service 	 absolutely beautiful hotel - ' museum hotel ' grandeur . service top rate ; restaurant world . stay five star hotel world would rate top list well overall . quibble anything would hard mattress minor complaint otherwise superb hotel experience . 
 Nov 27 2006 	 Pretty Much Perfect 	 travel North India work , hotel could lifesaver . room gorgeous comfortable - fantastic bed linen , beautiful marble floor bath , excellent amenity . excellent meal Spice Route ( must exotic decor ) french bistro . spend time bar work laptop - service attentive friendly . feel extremely comfortable hotel despite be impose public room - find service right tone . highly recommend . 
 Oct 25 2006 	 restore masterpiece 	 hear good thing imperial , still genuinely surprised hotel car airport drop we . would never second believe hotel 75 year old – look brand new . refurbishment total – every fixture , every fitting replace , whilst retain 1930 ' look . good Raffles Singapore , without horde pass tourist ( although tourist still seem make 90 % guest - suit ) . acre marble hundred artwork line corridor . five restaurant offer superb variety food around world . even location good ( tourist ) – right middle New Delhi . the problem surround original room , Deco Suite , seem cursed ! electronic door control ' work , air con would go , tv constant hum unless unplugged , cap , room overlook noisy equipment roof adjacent hotel building . move huge suite , combine steam room / shower Jacuzzi bath ! stay , recommend hire green yellow Delhi cab hotel rank day . cost around $ 10- $ 15 easy way get around New Delhi site – Gandhi museum , Nehru museum , India Gate , parliament building , Hurmayan ' tomb ( highly recommend ) Khan Market . flight depart late night , negotiate late check - out ( 11 pm case ) hotel charge . summary , cheap five star hotel Delhi none beautiful offer variety eat drink Imperial . 
 Oct 22 2006 	 Beautiful City Retreat 	 imperial beautiful hotel near Connaught Place . hotel Art - Deco showpiece beautifully appoint luxurious room . not opt Heritage Suites face courtyard atrium - leave room dark natural light VIEWS . exquisite expensive cave ' ve ever stay . pool especially nice one pool deep enough dive ( 11 ft deep end ) unbelievably noisy due street traffic regular waft urine smeel drift . food ok vary restaurant wine list poor horrendously expensive , Shangri - La , however , fantastic East asian restaurant well price food much well wine list . bar also much cheap . 
 Oct 21 2006 	 stay Imperial French ! 	 horrible experience . rude staff , downgrade overpriced hotel . assume not understand French , although wife do . we suppose get room upgrade available , tell none . next we french couple speak manager stand next . manager tell french couple French would upgrade , would tell desk clerk leave area . we never stay , go back Oberoi , really good hotel India . 
 Oct 14 2006 	 Excellent hotel although little price 	 hotel oasis calm sophistication live expectation . we book Heritage Room , beautifully furnish large . bathroom however little small room price ( $ 430 per night ) . room ground floor , despite hugest comfortable bed , hardly sleep due noise outside window . request move second night re - positioned identical room 3rd floor ; much well . the hotel furnish load antique , picture object make interesting place walk round . inner court - yard lovely place coffee cocktail outdoor terrace restaurant ( 1911 ) seem place Delhi lunch . find food 1911 Terrace lovely , service bad India . say , breakfast next day ( amazing – fantastic range food ) serve well . we eat Spice Route restaurant , exotic decoration . menu Asia food service good . find laundry service excellent . phone 3 pm 3 garment express ( 2 hour ) service . handing blouse point small tear , try show know tear , would blame . garment return 30 minute later , pristinely press tear mend ! overall , feel room slightly overprice would definitely stay Delhi . 
 Oct 14 2006 	 Luxury heritage hotel 	 Luxury Delhi . vaste room , great service . convenient location centre Delhi - Conaught place shop : tibetan market 2 min walk hotel ( great silk bargain hard ) , governemental shop- coutry cottage emporium , price fix ( careful exit hotel guy tell closed order draw shop ! ) . food try South East asian restaurant keep away italian one . 
 Oct 5 2006 	 do not come much well ... anywhere ! 	 would one start ? one fine ... worldwide . service get Asia . massive suite . superb restaurant ... def . try Spice Route Daniells . wonderful atmosphere renovate high standard . shall stay else Delhi . 
 Oct 3 2006 	 Imperial Blast -- one problem another 	 yes , overwhelmingly terrible . will one push envelope bit honesty not care popular . Delhi work extended period summer . try Spice Route week prior stay Imperial should ve take hint indeed hype - up thought -- horrible service , maitre d'hotel make we wait menus foyer 10 - 15 minute time dinner reservation ! stay two night : book heritage room request top floor , instead relegate ground floor -- claim suite book . fine . room ok , unpolished scratch - up wood parquet flooring -- would ve prefer marble floor upper floor . area rug vacuum everyday , even request . bath water yellow , call operator send plumber run water clear rust pipe ( wait approx 30 minute leave water clear ) . Shower water not drain fast enough stall , not particularly like soak foot shower water . dry cleaning service abominable -- ask remove stain newly tailor sari say item return condition . approach laundry guy , say could take back douse kerosene remove stain ! needless say , decline . dining experience hotel restaurant 1911 hugely disappointing . chinese dim sum dumpling stick onto banana leaf break apart touch fork , hamburger raw , lobster bisque smell plastic . Manager Bilbao come try smooth thing -- nice part stay enough undo damage upset hotel dining experience . owe we dinner ever force bring Imperial . check disaster : mistakenly charge water fridge -- fact bottled water buy outside since none first arrive . Buffet breakfast good , though waitstaff seem frenzy manager try show we farth table buffet sunroom hesitate request seat one nearer table main room . guest nice considerate . one family leave room door open matter echo hallway . oh , one last thing , Maria Shriver store breakfast buffet . rude ! 
 Oct 1 2006 	 Calm 	 living , study teach Delhi Dehradun Imperial Hotel become calm midst India 's seeming chaos . between year 1999 2005 celebrate partner 's birthday . enjoy hotel 's attention detail , importance guest 's every pleasure comfort . always touch fact either give room year year ( one especially love ) upgrade extra charge suite room like much unavailable . on birthday always find birthday cake waiting room ( extra charge ) , plus flower , favourite drink snack . make entertaining friend simple ! use hotel 's fabulous lunch buffet outdoor terrace , overlook private garden party friend . event go flawlessly . food be / be always delicious service always attentive yet overbearing . this winter trip India plan December , birthday party Imperial look forward much joy anticipation . 
 Sep 28 2006 	 Old Raj splendor 	 truly first - rate hotel , beautiful interior , great bar restaurant , luxurious room . personal service / attention top - notch , get comfortable ( complimentary ) ride airport . substantive complaint two : first , cashier put huge hold credit card linger even well check settle bill . quite annoying , may fluke . second , everything ridiculously expensive , minibar restaurant . still , rupee , well ! 
 Sep 1 2006 	 good hotel load 	 lovely hotel ; clean , good facility , excellent service , good food brilliant location . great contrast hustle bustle city good place relax . the downer slightly pompous clientele enormous price . owner place must make fortune ! 
 Aug 22 2006 	 good luxury hotel India 	 wife stay Imperial Hotel mid - August right spending two day outstanding no - tip Oberoi Amarvilas , Agra . Imperial seem high class tourist factory comparison . can not blame hotel well - heel rude guest , extended family occupy room next leave door open , make hall extension room convenience effusively happy guest well - wisher . false colonial atmosphere thin reality set . will sure experience costume doorman 's pregnant 90 - second car door close slow tip ever - helpful bathroom sink faucet turner - oner towel - hander . grand hotel show would charming staff faultless , all - too - human lapse never see Oberoi . one bottle water room check . one staff promise phone us information never . another get order boutique wrong . ask telephone operator connect Thai International Airways city ticket office ( tell name building ) . checked call back , ask correct number not tell . instead connect Thai International airport office , kindly tell number city office ( course , charge call airport ) . card room proudly offer special pillow , two kind request , one could locate 2 - day stay . buffet breakfast spectacular , food restaurant excellent , though good value Amarvilasi Agra , check , call porter get two large suitcase . 10 minute , wheel lobby porter run last four step take we . thing , include internet , work well , see other ecstatic Imperial . come hotel well train staff real heart . 
 Jul 18 2006 	 nothing else say - PERFECT 	 Imperial describe & quot ; amongst fine hotel Asia & quot ; hesitation say fine city hotel Asia . stay 2 night Art Deco Suite upgrade Heritage Room . rate $ 200 per night include tax reasonable particular comparison 5 * Star hotel capital around globe . suite beautifully furnish , spacious provide Oasis could relax . service impeccable throughout hotel single staff member run greet we smile . quite clear beginning staff take pride . eat Italien restaurant please variety food , quality particular affordable wine list . departure order breakfast room restaurant open 06:00am leave . breakfast room available 04:30am . make note breakfast card deliver 05:30am sharp instead usual 30 minute window hotel normally grant . , door bell ring exactly 05:30am ! , beautiful hotel even not stay worth visit could also function art gallery . 
 Jul 8 2006 	 old world charm 	 old world colonial charm except & amp ; wife preffere ultra efficient service & amp ; great sleep nearby Shangri La .back fromjaipur , ITC Maurya another let . 
 Jul 7 2006 	 Saved Imperial 	 stay Imperial come end exhausting time India . arrive 7.00 morning room be not ready - make another available immediate use . honey moon kitchen provide scrumptious chocolate cake . room lovely . suite sumptious luxurious . eat two restaurant superb food service - imperial service make Delhi memorable lovely way . recommend Imperial every time - people management experience - wonderful . 
 Jun 20 2006 	 enjoy Imperial 	 book imperial small agency handle independent itinerary Winter , 2004 Winter , 2005 . love location , helpful , smile staff , heritage , gleam facility sumptuous breakfast buffet . room not & quot ; Princess Diana & quot ; level , everything want . be definitely royal , feel like -- way treat . desk always change Rupee note small denomination without hassle . add plus able walk outside past gate right onto Janpath Road shopping trinket right wait bargain . leave bag stuff Janpath & quot ; treasure & quot ; leave luggage ( depart desert ) last night India return Imperial several week later -- handy . would stay imperial ? yes ! be return mid - October year . know 's fancy town , totally pleased . 
 Jun 1 2006 	 top property - beautiful artwork tasty restaurant 	 happy decide try Imperial instead one big International brand town . .. great 4 night business stay mid May heat wave . start well arrival helpful staff concierge / travel desk advise spend one day , arrange train ticket Agra , airport pickup . food service manager book Saturday night reservation well regard , Spice Route . airport pickup seamless - spotless Rangerover ( Landcrusier luxe SUV ! ) driver hotel rep , ice cold water , cool towel . stop rescue fellow guest whose hotel car involve fender bender make easy drive hotel less 20 minute . check fine - though especially warm . common area dramatic beautiful every inch hotel fabulous Colonial - era artwork display . pretty fountain statue several attractive restaurant . pool area attractive though nothing spectacular . beverage service efficient friendly . website promise Spa exist yet ( date TBA ) though tell small beauty parlor room massage available .... food service solid outlet , though bar server 1911 little harry one night leave everyone wait 15 + minute drink . dinner italian spot great - Basil sorbet fab dessert choice . Spice Route good . club sandwich well do 1911 . thali - style lunch Daniel 's really special . all - Bruschetta menu terrace courtyard interesting option light snack . Phew ! room : give smoking room instead request ns room , enough charm ( stale smoke smell ) not bother change . king bed room spacious tasteful furnishing , flat screen tv , well - design storage , immaculate bath . view internal courtyard - fine . pay low $ 149 / night . Business Center efficient professional though think price high - even International standard ( recall 250 INR per page fax - apx US $ 5.50 ! ) ... location good - short walk along Janpath shopping arcade Connaught Place easy taxi access anywhere . addition spa great ammenity travel India overwhelming beauty sadness . stay . 
 may 21 2006 	 Delhi Classic 	 outstanding experience start finish . airport transfer brand new limousine responsible driver ( be something India ! ) , 2 - minute check - in , elegant room ooze colonial splendour . eat Spice Route restaurant . generous portion , fine cook friendly staff . ' ve come back hotel time provide welcome relief usual 5 - star clone look feel . imperial character ! 
 May 3 2006 	 Hotel Fabulous 	 Mum stay part & quot ; big & quot ; india trip Dec / Jan 2006.It without doubt good hotel ever stay ( ' ve stay fab one ) . ignore early review . staff friendly - take time chat , great chat guy bar India general cricket particular . want visit one restaurant beautiful decor not open restaurant manager take time show we personally ... food excellent , surrounding gorgeous ( stay build spa - ' m sure even well . hotel full museum piece even tour artefact wish . I can not recommend hotel enough definitely stay next trip India . 
 Apr 14 2006 	 Nice hotel ! 	 stay 1 night & quot ; Golden Triangle & quot ; trip LOVED ! room quite large come nice extra like cookie , slipper , bathrobe , etc . bathroom also modern , clean , nice - compare hotel bathroom even U.S . definitely hotel luxury history . enjoyed walk around look artwork . restaurant nicely decorate good food . bartender make good drink . wish could stayed long . 
 Mar 11 2006 	 good 	 several review mine way accurate reagarde magnificent hotel . I would surprised write compete hotel . the imperial far good hotel Dehli . although oberoi prpertie rajasthan good world one Dehli even come close magnificent imperial hotel . great room , fantastic staff service . dehli dirty chaotic city poor introduction magic country -- do not get dishearten get well . the Imperial provide great oasis calm . beautifully restore sikh owner commit staff high level service . when Dehli stay Imperial . the much tout connaught place great government cottage emporium shop much tout guidebooks street joke . you buy good usa europe half price . shopppe Rajasthan much well .. 
 Feb 24 2006 	 average experience 	 spend 2 night Feb 20 & amp ; 21 Imperial New Delhi spend 3 night Oberio . 's take : bad -- room probably bad hotel . linen soil room extremely noisy . ask switch room within 2 hour never hear back reception . upon ask , story . good- great locating near Connaught Place impressive lobby great restaurant . dine Spice room 2 time 1911 twice well . food great disounte food bill 50 % use American Express . overall , experience average poor . Oberoi 's room much , much nice service well . 
 Feb 17 2006 	 not stay . go afternoon tea . 	 Imperial originally art deco hotel , build Luytens sign new India . today anachronism , like overdress dowager still wait 1920 's tea dance begin . problem 2006 dowager definately dotty strange idea world work . very little today boom optimistic India sense hotel waiter wear rather grubby regimental uniform , might give tourist pretty patronising picture miss point . the room vary widely within category . heritage room mean many thing . shower wonderful , although lack seperate conditioner , shampoo / conditioner combine , annoying . however , clearly price place comfortable special . advice go afternoon tea look stay elsewhere . the good thing imperial staff member know humourously exploit top nature place . bad thing , need hassle good room upon arrival tip hungry staff . at Imperial , feel like conveyor belt well heeled tourist . want luxury India , Oberoi 's good . 
 Feb 11 2006 	 top notch though impersonal 	 stay Imperial January 2006 . perfectly nice happy have arrange pickup airport . room look garden spacious comfortable . little disappointing pool close also restaurant fully book , New Year . hotel beautiful museum . complaint service quite impersonal - would come Ritz Singapore not level attentiveness interest . however landmark worth visit . 
 Feb 11 2006 	 overprice pantomine need clean 	 category " heritage room " cover multitude sin – ( ) rather nice room may exchange demonstration stubborn recalcitrance insistence face impassive explanation variation quality " heritage " room . true . the staff fawn uniformly service vary fair average home . expect requisite tip every interaction , payment service & quot ; maybe & quot ; hour . information provide often accurate – rather misleading omission . example : " yes madam ; swim pool round " rather make one expect find functional swimming pool water rather board construction site water . once disregard scruffiness enter pantomime quite fun – worth price . half price would fine . alternatively skip pantomime check shangri - la – real 5 star value money elegance position ( around corner ) . 
 Feb 6 2006 	 Served ... 	 hotel cut rest , stomach ten people serve time . entire establishment really throwback colonial times- architecture distinct feeling priviledge . say , room huge ammenitie never see elsewhere ( lint roller example ) , location great . desire might attend . tour creator group stay every single participant love Imperial . rave day ! forewarn internet access business center outrageously price , menu item . auto rickshaw allow onto hotel premise , step outside compund readily available great way get around real hurry . one last thing- pool currently closed- even peak it- garden pretty much non - exsistant due spa construction . 
 Feb 3 2006 	 difficult staff lesson fighting want 	 stay Imperial January 2006 share enthusiasm previous reviewer . lobby corridor stunning , find positive feedback stay whole . restaurant pricey , service hotel abysmal , room cold January , swimming pool close , breakfast opulent food dull uninteresting . problem service : faulty communication travel agent reception desk , 2 hour retrieve sweater lose find , 1 hour average response extra blanket . we use travel agent get room ground floor next service area ( therefore non stop flow staff noise front door ) . second stay , refuse room tell hotel entirely book , insist , show nice quiet room 1st floor . while hotel India challenge , Imperial require amount stubbornness unsurpassed travel . want stay , make sure know get term room prepared fight . 
 Jan 25 2006 	 one great hotel world 	 Imperial Delhi institution , one ride past laurel . 's great - embrace come dirty hot , soothe ache away . immaculate hotel , draw imperial past , not glorify . architecture strong art - deco influence , gardens pool nice . bar pull many time - 's old , perfectly train bar staff . make sure get room outside view - atrium face room little bit gloomy day . 
 Jan 21 2006 	 overprice 	 arrive room Imperial around 11 pm long travel day think expensive heritage room ok tired anything . night , heat work ( cold ) toilet would intermittently stop run water . next morning pull back curtain , see look upon ugly construction site . pay top dollar suppose luxury hotel & quot ; extras & quot ; heritage room . complain front desk seem disintereste finally someone agree would pack bag would move we nice room nice view come back end tour day . well get back nothing happen tell hotel full room . much complain consistent disinter hotel staff show 2 different room around 6:30 7:30 pm not nice one neither view . point tired move give since toilet seem work properly leave next day . never take responsibility keep say booked room view . course , issue much get great view , room expectation $ 360 pay hotel room would discount ugly construction window . really never offer apology unresponsive complaint . must say public space restaurant truly beautiful every way get good service Spice Route 1911 restaurant actually get attention waiter . peak room wandering hall note nice room . think quality inconsistent price value ratio place way . not know hotel option exist would stay get much well price somehow demand one update room . 
 Jan 18 2006 	 fantastic fantastic 	 worth every penny . . . . . must couple day luxury . . good Delhi . . pay £ 200 per night . . travel 3 week , have enough basic hotel bliss 
 Jan 18 2006 	 expensive unimpressive room 	 check heritage room 27th December dark dingy dirty rug . ask move tell hotel full . ask later show room outside hotel well noisy traffic noise outside . main hotel restaurant breakfast , service slow miserableSpice route restaurant , fantastic decor food extremely expensive well . drink price way overprice . 
 Jan 13 2006 	 one world 's top hotel 	 simple one good hotel world . sophisticated elegant , hotel interior work art . 
 Jan 11 2006 	 must good hotel India 	 stay imperial December ' 05.this top class traditional hotel . the building interior truly superb . staff professional helpful . be cheap look hard find fault . if visit first time would strongly reccommend hotel . beware cheap hotel Delhi may total shock system ! 
 Jan 7 2006 	 though Imperial Great ! 	 imperial first hotel stay India unsurpassed . hotel lot character - corridor restaurant repleat 19th century printing etching . also spotlessly clean hotel staff polite helpful time . hotel true hustle bustle surround city . enjoy buffet breakfast also eat dinner one night Spice Route night 1911 Restaurant . food delicious . whole heartedly recommend hotel . 
 Jan 4 2006 	 elegant 	 wide , well light corridor hotel interesting high quality painting India wall . room spacious . WiFi okay great . service excellent . probably good place stay depress city . Delhi airport frequently fog - bind Dec Jan . huge delay sub - standard airport . 
 Jan 3 2006 	 look good ... 	 imperial look nice indeed . room nicely furnish spotlessly clean . however , problem service hotel . blockage drain shower report arrival . anyone come investigate aware since problem persist throughout stay . also careful check bill correctly treatment barber / beauticians . also find staff could not really cope sudden rush people come breakfast . wait table wait considerable time toast tea order ( fried egg never materialise ... ) . hope not sound lovely hotel , little thing matter price range . 
 Jan 3 2006 	 Loved hotel 	 lucky two stay hotel begining & amp ; end holiday . I love hotel tranquil oasis set back hustle & amp ; bustle Delhi , could easily stay month . we book Heritage room stay , wonderfully clean , fresh & amp ; spacious . believe Imperial serve good breakfast India . wonderful fresh squeeze fruit juice , good selection cereal , fresh fruit yoghurt & amp ; home make pastry finish off . we unfortunate able eat spice route restaurant book conference . try italian San Gimignano & amp ; 1911 , restaurant pass expectation . good thing Imperial hotel add chilie powder every meal unlike other India . my wife & amp ; stay Raffles hotel & amp ; Imperial come close second . thank Imperial recommend anyone visit Delhi . 
 Dec 30 2005 	 Colonial spleandour well ! ! ! 	 return trip New Delhi hotel simply fantastic . I check hotel twice fantastic room occasion . service staff helpful nothing much problem . general decor hotel colonial spleandour well ! ! business centre always useful email access etc wi - fi connectivity imperial excellent . overall complaint , stay next time would strongly recommend hotel visitor Delhi . 
 Dec 25 2005 	 Indulge british Colonial fantasy 	 like reviewer , great experience Imperial . yes , costly , service , location , art decor worth indulgence . arrive via plane middle night , imperial staff pickup . bed / pillow comfortable . noise problem . complimentary breakfast ( cereal , yogurt , fruit , pastry , juice , egg ) available fine . reviewer note , Imperial also house restaurant tout Conde Nast one top ten restaurant Asia . decor presentation great , quality food well good thai/ SE asian restaurant US UK . restaurant serve good , pricey , food . 
 Dec 21 2005 	 Fantastic not cost mint ! 	 easily good hotel ' ve ever stay . review say - perfect service , gorgeous surrounding , fantastic food . , know not cost huge fortune ! get $ 249 rate room smallish , beautiful first floor , short walk lobby restaurant near business center email fax heart 's content . would recommend 1st floor , get , high hallway get shabby - per walkabout one day admire artwork . furniture ! antique buff , make whole hotel wander part itinerary , especially long main central hallway floor . well reward . also sure enjoy breakfast - silver service galore - Spice Route restaurant . contrary review , meal superb , decor miss . complaint noise . end , wall block road noise , sound wedding party outside . pool suffer road noise problem , kind renovation back , large part rear garden tear block . rate pay , still thrilled - plan return next trip . 
 Oct 19 2005 	 Perfect ! 	 Imperial wonderfuly restore old Colonial hotel . great location . terrific room . helpful , attentive staff . great breakfast ! large room - maybe junior suite . tall ceiling - peaceful , elegant . great amenity . walk great market Government Handicraft store nearby . ground beautiful . serve indian european food breakfast , always indian breakfast include fresh lassi fresh squeeze juice . clean . would never stay Delhi without stay Imperial . 
 Oct 10 2005 	 one good 	 stay recently 2 night wife wedding . hotel look amazing room excellent . wide marble corridor staff uniform make excellent setting . room excellent size furnishing find service staff top notch . real highlight however number painting hotel , full spent time wander huge hall look . nice find hotel something little different bland room often get top chain , imperial real character . imperial leave Australia stay numerous hotel trip wife feel imperial good lot . stay hotel Delhi think good hotel Delhi pleasure stay , indeed one good hotel ' ve ever stay 
 Oct 8 2005 	 Disappointed first 	 book Deluxe suite advance arrival check Deco suite . idea room look like know something not right . mention book deluxe suite woman checking say indeed Deco suite good one book . start make fuss call assistant room manager explain deluxe suite refurbish , doubted website state work take place come able book first place ? build work go may true .As not like Deco suite settle Heritage suite haggle price want pay would deluxe suite . nice hotel like place ' ve stay India need sort reservation system . fantastic place stay would say one good hotel . 
 Sep 29 2005 	 Disappointed 	 per previous reviewer problem Imperial . confirm booking , make 4 month arrival . meet we train station take we hotel without real problem . firstimpression great . however check advise room quite ready would wait . 10 minute later duty manager come advise large government delegation leave , could not find , ' m sorry room . ask general manager finally come give we story . however offer provide we car driver dine hotel expense . nice gesture , want stay hotel , quite result want . end call concierge Oberoi ( finish 12 day trip magnificent hotel across India ) find we room Oberoi . ( check report hotel ) .The Imperial still supposedly could not find we room next day , send car use offer diner & quot ; top ten & quot ; restaurant Spice market . not know 's special . food OK greatl get top 10 . ( Spice Market Bangkok Regent 4 Seasons , much well . ) none less , hotel architectural masterpiece . old world , British Raj style . recently renovate superbly . Gardens expect tho . design great british architect Edward Luytens ( famous garden seat ) . worth visit Delhi . Jerry Seinfeld put , & quot ; know take reservation , keep & quot ; .The Oberoi hand , know really look . 
 Sep 1 2005 	 Prepared ... 	 generally nice hotel , leave feel cheat lie - generally feel like walk wallet , although tip generously often , often feel like way much work get anything accomplish . staff constantly smile seem consistently confused . not common request receive airport ? sign good room available , not give promise . eventually able switch room significant premium . the food good . breakfast buffet mostly mass produce doughnut , muffin , etc . well bland fruit . we also eat restaurant downstairs , tout & quot ; one top ten restaurant world Conde Nast . & quot ; avoid restaurant possible , seat next noisy large group struggle appetizer move puzzle annoy look waitress . food mediocre ; good , definitely worthy & quot ; Top Ten & quot ; claim . similar expect local Thai take restaurant . ten time costly . price typical restaurant food India much low comparable meal US , price exorbitant . cost around 100usd dinner two . the pool small hotel , get quite crowded time use . also around dusk pool get bombard swarm fly bat skim inch water 's surface . never actually hit attack extremely unnerving . in general ground nice , although much small anticipated reading & quot ; sprawl garden & quot ; etc . ground consist 100 foot grass surround hotel meet busy street . be careful minibar , give small bottle water arrival , rest pay 3 dollar apiece . could add quickly since tap water potable . I not experience hotel Delhi , be possible bad , would return Imperial . 
 Aug 23 2005 	 place stay Delhi 	 ' ve stay four time would never stay anywhere else Delhi . 's possibly favourite hotel world - luxurious without lose 1931 character . Spice Route restaurant must , tour wide marble corridor see original early 19th century watercolour art deco sculpture . need great sleep soft pillow huge dose unbridled luxury tour India , stay - will not want step outside . 
 Aug 22 2005 	 highly rate hotel 	 one good hotel ever stay . almost exceed Raffles Singapore , be say something . room quite booked check get upgrade suite . two night , wish long . rate include meeting airport , go really smooth path - hotel rep driver professional get we hotel quick time rush hour . excellent reception fabulous doorman ( lovely woman ) . particularly strike wonderful fragrance meet enter hotel . every member staff encounter friendly welcoming . attention detail superb . could spend week roam corridor gaze superb artwork , furniture . IT / business staff superb , get online sad old laptop time courtesy loan wireless thingy . breakfast buffet ok , restaurant night excellent . try Spice Route , great food room world . really great food go 1911 drink bar ( good Bloody Mary ever , another really sure ! ) restaurant superb Provence style french food . whatever Chocolate Souffle - total indulgence one good ' ve , include France . room service ( kid ) among swift ' ve ever . pool area good , ground beautiful . road McDonalds , not go meat fix course beef . also opposite Central Cottage Industries Emporium ( do not believe hustler tell closed try get taxi take another store ) . buy manner carving , ornament clothe good price without hassle haggle price . could place Christmas ! not downside hotel think , except leave . pass Delhi would not even look another hotel . 
 Aug 3 2005 	 Wonderfull ! ! ! 	 wonderful hotel marvellously place . ideal environment colonial epoch , everything impeccable hotel commode room magnificent restaurant ( Spice Route incredible ) bar ( oasis inside city ) . adore . 
 Jul 22 2005 	 fabulous 
 Jun 3 2005 	 Imperial simply beyond slight reproach 
 May 22 2005 	 good hotel rtw trip ! 
 Mar 28 2005 	 truly 5 Star 
 Mar 17 2005 	 one Best Delhi 
 Jan 23 2005 	 great hotel tip 
 Jan 11 2005 	 Fabulous hotel -- look far Delhi 
 Nov 15 2004 	 imperial elegance well ! 
