Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Oct 6 2008 	 Fantastic Service great location 	 block away Union square reasonable price ? find hard believe .... true . Donatello comfortable hotel great location great staff . the Room clean comfortable , Microwave oven , toaster fridge store small snack . seventh floor room could hear road noise . great selection tv channel ( PPV ) . 
 Oct 6 2008 	 Donatello Rocks ... 	 wonderful visit San Fran include 2 night Donatello . great Boutique style hotel ! ! ! ! room large bed really nice . remind bed home .. location perfect block Union Square .. staff excellent helpful . Sarah concierge hook we fabulous italian restaurant & quot ; Fino & quot ; 2 block hotel . fino small romantic place nothing 27 $ $ $ . food service exceptional ! ! ! ! Great Combo ... Donatello & amp ; Fino 
 Oct 4 2008 	 Great Hotel - Excellent Location 	 28sep-4oct08 : check - in : arrive hotel 2 pm Sunday check quickly problem . base TA advice request , previous arrival , room high floor backside hotel get away noise . give room 1011 ( Floors 12 & amp ; 14 apparently VIP / expensive room ) . view poor expect , AC , never hear noise night , little day . loved . get information activity , give offer see Muir Woods free sit information spiel " update we use benefit " . thank ! ROOM ugly orange blue expect , spacious comfortable enough space put away clothe " stuff " ease . 30 " x 20 " refrigerator , small microwave , toaster , coffee maker , condiment , couple plate , cup silverware ; nice 34 - 36 " widescreen tv , dvd player , mini music center ; USA Today every morning San Francisco Chronicle available lobby . INTERNET : use everyday never experience problem . BATHROOM little small expected . 5x8 include tub / shower combo . whole room well plan , except waste space across bathroom . room entrance move center , bathroom could least 50 % large . toilet flush loud . the bed reasonably comfortable , little hard . spoil foam mattress home . end put extra sofa sleeper sheet closet top bedding / comforter , cover extra sheet blanket . sleep comfortably . continental breakfast : see pic - Reg & amp ; Nonfat milk / various coffee & amp ; tea / tasty OJ ; good donut / pastry / muffin ; banana / apple / orange ; bagel / cream cheese / butter / jam ; many TA folk complain breakfast . perhaps understand classic continental breakfast – buffet . nonetheless , hard add little cereal box ? regardless anything else , year 2008 poor yogurt , staple quick breakfast today . get first hour , food selection fine . , selection diminish quickly . selection also seem diminish week Monday Thursday , Friday Saturday decent . outside 2 table 4 & amp ; 2 chair , also 2 lounge chair . light jacket nice enjoy meal outside . inside 4 café table 3 chair , also 4 sofa chair one sofa . seating hit miss 7:30am . eat couple time , otherwise bring food back room . FITNESS CENTER : minimal equipment : 1 stair stepper , 1 stationary cycle , 1 treadmill , set free weight ; meager universal machine , scale water dispenser . small adequate separate saunas . may need turn wait 15 minute warm 3 occasion use . aluminum JACUZZI brand new bit small . first time could barely fit several people . next 2 occasion , never 1 person . towel , locker room , shower etc . LOCATION EXCELLENT ! block Union Square 5 block Powell Market . get half - price ticket TIX Union Square numerous play , comedy club entertainment venue . 1 block Biscuits & amp ; blue listen great blue . Ruby Skye club across street.1 1/2 block Colibri Mexican Restaurant great . 1 1/2 block American Conservatory Theater nice theater see " Rock n ' roll " .1 1/2 block Curran Theater decent theater see " Spring Awakening " . 1 Block Honey Honey Café & amp ; Crepery great sandwich burger excellent omelet crepe . innumerable eating , shopping entertainment establishment close . massage 4 block Union Square Stress Reduction Center ( Sutter Kearny ) get excellent massage $ 50 per hour – ' want spend ridiculous $ 105 per hour hotel . calf hurt like , almost necessity . if WALK place like love , couple day , highly suggest take cable car bus go upward downward . jog / walk couple time week . nonetheless , walk hill stay cause we significant unusual discomfort leg shin couple day . use sauna Jacuzzi 3 time , need use every single day . transportation : unless travel away San Francisco , drive completely unnecessary probably frustrating . public transportation fun inexpensive . muni pass $ 24 seven day . highly recommend City Pass $ 59 include 7 - day muni pass $ 25 admission California Academy Sciences ( must see ! ) , 1 - hour bay cruise cool , good attraction . last year stay Le Meridien Hotel Battery Street near Embarcadero Plaza Pier 1 . well hotel great location . however , give choice two price , would stay Donatello location well , free internet use explore SF every day . 
 Oct 4 2008 	 well worth 	 wife stay Donatello Sept 2008 great start California holiday . staff friendly helpful room large , bright , clean comfortable . really god bed , important we . use gym couple time little small functional . unlike reviewer , not problem noise street even though Friday Saturday could see entrance nightclub 15th floor window . the negative breakfast . 's fine be happy coffeee , croisant , bagel , fresh fruit gooey gunky sweet muffin , breakfast room small nowhere near able seat guest come end take breakfast room eat . , fine not mind something aware of . location good seem quite critical . pop look Hotel California couple block away one consider stay . couple block make big difference . neighbourhood take swift dive bad world liquor store downbeat people hang corner . exactly romantic . area immediately around Donatello fine . overall , nice hotel price great location . 
 Oct 3 2008 	 Felt welcome 	 second stay Donatello . make feel welcome nice hotel . staff friendly professional making stay pleasure . continuental breakfast provide room good could use variety fruit . want stay downtown San Francisco place stay look good room reasonable price . draw back one bed room make dificult bring family . 
 Sep 30 2008 	 good 	 stay Donatello many time . stay enjoyable . staff great deal hotel special place spend enjoyable weekend San Francisco . last say , must give cudo 's bell man & quot ; Carlos & quot ; . help couple special situation , beyond call duty . thank , Lon McCaslandRedding , Ca . 
 Sep 30 2008 	 make great stay s.f . even great ! 	 second stay Donatello certainly get future business San Francisco . great location , friendly & amp ; helpful staff clean , quiet beautifully decorate room . wife arrive late Friday afternoon settling room , relaxed concierge level & amp ; outdoor lounge area totally enjoy Friday wine & amp ; cheese party tradition Donatello . way start vacation set mood relax romantic stay San Francisco ! Donatello provide subtle little touch make stay much special -- morning newspaper , bowl apple lobby guest , free continental breakfast , nightly turn - down service chocolate pillow , access computer , discover celebrate birthday stay , gift bottle wine box chocolate send room . Donatello certainly contribute absolute enjoyment stay San Francisco ! 
 Sep 29 2008 	 would return Donetello 	 Hotel staff accommodate answer question ; location good proximity Union Square ; Room clean well keep . 
 Sep 28 2008 	 Frisco Find 	 stay Donatelo September 24 26 excellent ! location Hotel perfect seeing site San Francisco hassle . Location Location ! ! . room great ammenitie require include fridge micro , flat screen tv mini stereo , even dish ! Bathroomwas fine though small compare hotel need huge bath , like fact window huge open although view post card quality not matter . king bed comfortable . breakfast limited choice juice coffee pasterie bagel . fruit fresh could . complain anything serve food paper plate cup . hotel quality sub standard , know picky equate eat paper drag nail across blackboard ! staff top help answer question provide direction personal favoritie site see . night club / restaurant although eat ( numerous place around hotel ) go club enjoy entertainment . another note Frisco get 3 - day Muni pass get 7 - day pass . ride three cable car . try catch Masson Hyde line bottom Powel . go Macy 's catch & quot ; F & quot ; street car go way Garibaldi Park ride Hydye line back get Fishermans wharf ride Mason line . Ride Californiia line afternoon sun back picture look back financial district . stay Donatello good bang buck class . 
 Sep 26 2008 	 Loved Donatello ! 	 stay hotel 5 night . treat friendliness courtesy staff . concierge arrange rental car give we much assistance itinerary . room spacious , clean well equip refrigerator , microwave coffee maker . location near Union Square , 5 block Bart train near MUNI . hotel gem definitely return next trip San Francisco ! 
 Sep 25 2008 	 Great Hotel 	 boyfriend recently stay Donatello San Francisco one night . first time city pleasantly surprise hotel researching pay ! hotel definitely little gem , staff par extremely helpful accommodate we . location block Union Square 's magnificent shopping ! right heart San Francisco 's exciting city . hotel staff encounter extremely nice really make feel home welcome . thank Donatello definitely stay next time area ! 
 Sep 22 2008 	 Donatello - great choice ! 	 Stayed Donatello Sept. 14- 20 happy choice hotel glad decide stay Fisherman 's Wharf . hotel good location 5 min . walk start Cable Car get beginning , F Line Market Street use frequently . return waterfront , get Post one block away . pleasantly surprised large size room amount drawer shelf ( double closet safe 3 drawer entrance ) , also side tv stand open five shelf . unpacked completely stay 6 night live suitcase . microwave , toaster , bar fridge , coffee maker , sink glass , plate cutlery provide . staff extremely pleasant helpful question . good continental breakfast include - excellent choice 7:30 a.m. , however 9:00 a.m. , pick . coffee maker room make one large coffee , not problem - go morning bring two large cup room Club Floor . coffee available 24 hrs . sleep , miss food still get coffee . street side ( face Marriott Hotel ) somewhat noisy , sound sleeper , not bother we . light sleeper , may want request room face street . several nice restaurant within walk distance price level . smoke room , contact hotel directly , able assign smoking room . for price location , excellent value . 
 Sep 21 2008 	 fantastic hotel great location 	 great hotel locate Union Square . staff really friendly helpful room large , comfortable well equip . complaint would woken 5.30am last morning stay staff member knock door deliver final bill - idea feel need , not check 11 am ! , would not hesitate recommend stay Donatello anyone visit San Francisco . 
 Sep 20 2008 	 well keep secret heart San Francisco 	 Donatello perfect place begin tour USA . find hotel problem 5 minute walk Powell Street BART stop . 35 minute airport hotel total . room large comfortable . staff friendly , helpful knowledgeable , happy hour bar also welcome great value . the rate include buffet breakfast serve club room top floor overlook city . walk Embarcadero Pier 39 30 minute away , Donatello well locate . Gordon Michael 
 Sep 8 2008 	 good hotel great location 	 Good hotel , clean spacious room , friendly staff really great location . 
 Sep 1 2008 	 good hotel great location friendly staff 	 spend 3 night San Francisco tail end trip California , Arizona Nevada . book triple room , husband 15 year old son not disappoint size room , include massive queen size bed comfortable sofa bed still load room spare . room include & quot ; kitchen area & quot ; , microwave , fridge , sink coffee maker , great addition pretty feed eat restaurant . location good , block Union Square cable car stop . not use leisure facility Club Floor , although give guide tour friendly staff duty look fine . breakfast basic limited , complimentary , complaint ! general , staff throughout hotel helpful friendly , seem norm San Francisco . love would definitely make return trip . 
 Aug 31 2008 	 Excellent value money 	 stay hotel four night . cost stay use various website hotel 's site cost $ 100 large room travel teenage daughter . staff extremely friendly helpful , include night staff arrive late flight UK . hotel minute Union Square close variety transport link around city , include cable car . the room clean comfortable . continental breakfast include price good selection bread pastry . however , one complaint would breakfast room small morning enough place people sit eat . many people pick thing take room . coffee also always hot . say , would hesitate stay hotel visit San Francisco again . one piece advice anyone pick rental car San Francisco - not ! . use Alamo wait four hour get pre - book car ( although run car upgrade ) . Hertz next door hotel also extremely long queue people wait pick car mid - day . apparently common problem city summer . next time pick car airport . 
 Aug 25 2008 	 ~ è bello ! 	 check Donatello 3 night , August 20 - 22nd . hotel great San Francisco location : 3 block Street Car turn - a - round Powell St. ; distance BART ( Bay Area Rapid Transit ) Powell stop ; Trolley Cars Buses nearby . note : BART ride SFO ( San Francisco International Airport ) 35 minute , cost $ 5.35 one - way . 7 - minute walk Donatello . nice ! also : AVIS Rental Car Office 2 block away . nice ! hotel . . .very well - maintain . nice lobby . nice front desk staff . courteous . helpful . nice , spacious room . out - date . nicely furnish . microwave . fridge . flat - screen tv . clean , marble bath . great shower . small , nice , exercise room Club Floor 14 . nice locker man woman . Sauna . spa pool . clean . well - do . continental breakfast . one good ever . anywhere . fresh coffee . Juice . roll . croissant . fresh fruit . well - stocked . well - replenish . will not walk away hungry . negative : room 10th floor . hotel air conditioning proplem first night . window open , quite bit street noise . however , window close , problem . , city location , folk . also : breakfast , serve Club Floor , get busy . busy . serve 7 am 9:30am . find place sit challenge . outdoor patio also available limited seating . go ! ! 's & quot ; negative . & quot ; big deal , eh ? summary : Donatello fine hotel , nice amenity , price - right , first - class staff prime San Francisco location . disappointed booking Donatello nice visit one country 's special city . gustare ! 
 Aug 24 2008 	 Comfy stay Great Staff 	 staff Donatello professional friendly four night stay . check room 915 consider " quiet " room . afraid view would wall another building luckily half way decent view Clift & amp ; Hilton hotel block two away . leave could also see Ruby Skye nightclub get bit noisy . highly sensitive sleeper , sound machine save eight night noisy street sound SF stay another hotel near wharf area . room good size city , color scheme pleasant furnishing well do imo . room also fridge , toaster , microwave oven , cup , dish utensil . never approach time - share bump owner seem really love . one couple three week ! bathroom clean could use update tub caulk spot show & quot ; age spot & quot ; . one people picky thing , lovely hotel might you . my complaint shower really suck ( use word ? ) ; feel like shot fire hose ! like soothe shower long day shoot water canon like shower unpleasant . oh , toilet flush quite loud actually hear next door , uh , flush part though , lol . would stay . ' great location , staff welcome back afternoon / evening nice able go club top floor coffee , tea cocoa . location great price pretty good . 
 Aug 20 2008 	 Great Decor Great Location 	 really enjoy stay . bed good , room clean , shower nice strong , decor really cool . location site see great , especially be Union Square Chinatown . address really Mason Street valet car drop Post . staff friendly helpful . greet warmly ask remote dvd player , someone door remote within minute . good free wireless internet . view not much , would expect part town many high rise . weakness quality continental breakfast ... consist mainly bagel pastry . large selection tea coffee hot chocolate ... , hey ... whatever . we really like . 
 Jul 26 2008 	 Classy Boutique Hotel San Fran . 	 San Francisco last stage trip California stay Donatello 19th 24th April 2008 . choose study many hotel review well pleased choice . hotel refurbish contemporary style . room huge city standard . microwave , sink unit tea make facility . also CD / dvd player Hi - fi system . noise minimal . loudness orange colour room decor ! simple continental breakfast bagel croissant preserve serve beautifully furnish ' club room ' top floor . close Market Street cable car transport Union Square dining prove big plus point hotel . staff friendly helpful . would hesitate stay recommend friend . 
 Jul 16 2008 	 Confort SF 	 Nice hotel place couple block Union Square . room big microwave , coffe machine , toaster refrigerator . recomend it . Gianni + AleItaly 
 Jul 15 2008 	 Excellent hotel ! ! ! 	 first visit San Francisco . stay Jun 27 jul 3 . experience great Donatello . clean , excellent location , customer orient staff . the hotel walk distance great union square many shop , restaurant , bar even drug store . the room clean , confortable , a / c ( never use ) , noisy member report . bed great , nice pillow . 
 Jul 5 2008 	 Largest room SF 	 join chorus admirer TripAdvisor recommend hotel excellent location , large room , consistent service undeniable value . large , king - bed room high floor feature clean , small bath marble surface expectable amenity . told & quot ; Club Level , & quot ; may may indicate premium room premium price . bill still $ 200 per night last minute booking . simple complimentary breakfast , helpful concierge , easy transfer taxi airport -- really could ask anything . lack high drama Mariott 's top - floor lounge , Hanging Gardens Babylon inside Hyatt 's cavernous lobby . free several hundred dollar go , instead , toward food , wine , flight car - rental San Francisco . 
 Jun 16 2008 	 great stay fantastic location 	 love time -- central location beat . one block cable car line , walk distance ton restaurant shop . notice much noise like review mention , exept Saturday night . quite reveler town Memorial Day weekend . staff friendly helpful , free internet booth nice extra . disappointment remodeling jacuzzi make unavailable , bed comfortable lot space room . 
 Jun 16 2008 	 Nice hotel center city 	 3rd trip San Francisco , first stay Donatello . we stay 05/21/08 & amp ; 05/22/08 . room 9th floor . hotel staff friendly , courteous helpful . room clean . comforter bed probably heavy one ever find hotel . room bright colorful . entertainment center equip flat panel tv , dvd player stereo system . old hotel , pretty good condition . hotel also part time share company , know hand . a / c room work , although work , make low rattling / vibration sound little irritating . end open window let air night . cool enough work . since hotel right middle city , noise outside night long . this bother , partner . Bathroom ok , great hand hold shower attachment . free continental breakfast leave lot desire . consist bagel doughnut . cereal , milk , anything protein . end go breakfast morning . Mason St hotel Lori ' Diner & amp ; Café Mason . eat Café Mason . busy , get seat 5 minute . good food . quaint restaurant . hotel locate SW corner Post St & amp ; Mason St . Entrance Mason St. one block Post St Union Square & amp ; Powell cable car . however , since short distance cable car start , usually completely full get Post St . suggest walk Powell Market stand line catch cable car go towards Fisherman ' wharf . 
 Jun 7 2008 	 Great Hotel excellent service 	 choose Donatello base good review Trip Advisor . arrive hotel around 10.30am disembark cruise request early check - in . impressed reception staff clearly expect we room ready - excellent ! room show website , clean , spacious comfortable . roof terrace nice make use simple continental breakfast complimentary . must add area could get crowded breakfast 7 am problem . hotel excellent location particularly people not want keep walk hill hotel . we feel Donatello give excellent value money . 
 May 29 2008 	 Fantastic experience 	 nowadays be tough find nice hotel amenity big city $ 200 night . well , Donatello exceed expectation . service prompt , efficient , friendly . room spacious , clean , comfortable . hotel provide service large chain , upscale hotel include concierge , bellman , spa service , etc . , provide free continental breakfast , free wifi , free use fitness center -- upscale hotel despite high room rate , also charge additional fee service . downside think place also timeshare , wary & quot ; free wine cheese reception & quot ; Friday afternoon ; 's sale pitch buy timeshare . hassle . also fitness center tad anemic ; three cardio machine one weight machine -- like say , be free , also man 's woman 's sauna co - ed jacuzzi ( though service ) . be six block BART station , great shopping neighborhood ( Union Square ) close Chinatown . overall , great stay would recommend anyone . 
 May 21 2008 	 Great Hotel 	 love Donatello . staff Great ! ! ! ! ! big clean room . room microwave refigerator really come handy . location perfect . safe . say staff Great ! ! ! ! complaint street noise weekend club across street . bring ear plugs prepare sleep fine . would think twice stay would recommend . make sure get top floor away club . 
 May 18 2008 	 Great Service ! ! will back ! ! 	 Glenn Concierge great ! plan whole trip begin end we hour hour , dining , theater , sightseeing , everything . felt see everything San Francisco offer yet still time enjoy vacation . house keep particularly friendly aspecially Thelma Damaris . Jesus front desk always witty one - liner keep wife laugh . make long story short , friendly service go abouve beyond make Donatello good place Union Square visit . 
 May 15 2008 	 Great Hotel ... Bad Tour experience 	 Hotel Great , not book tour concierge . book one include Muir Woods Wine country . concierge hotel use tour company call Extranomical Adventusan Fransico . send 8 passenger van put 15 people . bad , get take tour . tour company say refund cancel 72 hour advance . 
 May 15 2008 	 Great Hotel 	 Super hotel . big bed great sized room . really convenient - block Union Square bar / eatery . 
 May 8 2008 	 Great Location . Great Price . 	 check hotel website Sunday night special . ( close weekend , low price get long room . ) King Suite : King bed ( comfortable ) , sit area ( couch , chair ) , entertainment center wet bar ( sink , refrigerator , microwave , coffee maker , real cup glass , silverware ... ) noise problem Sunday night . pleasant helpful staff . great location ; easy walk distance Union Square , Curran Theatre , trolley & amp ; - try Max 's restaurant short block away - reasonable hotel 's restaurant great food ( breakfast , lunch dinner . ) negative decor - ' m talk UGLY ! clean good quality - turn light 3 + star boutique hotel 1 - 2 star price ! beware & quot ; stay & amp ; park & quot ; deal - pay $ 5 parking package deal go hotel pay $ 28 per day parking . ( might want call hotel booking compare package regular parking time . ) enjoy 
 May 8 2008 	 do not take room look Post Mason 	 Great Hotel , previous review staff wonderful helpfull , breakfast also orange juice , bagle ( could toast ) along pastry , coffee several type tea . big fall noise Ruby Skye across street start @ 11 pm 2 finally doze thought garbage truck @ 4 am wake smash glass . lay 15 minute get take look see heck go garbage truck make noise people go garbage look can glass , yes garbage picker go garbage look glass can throw back pick truck . go 5 loud 7th floor corner room , get make sure window close loud . hotel could find way sound proof window would resolve noise issue . second night ( Saturday sleep pillow head help ) light sleeper like take room look street ask move right way . issue , do not change room 3 night total , know side hotel loud , make sure take room side street ! great location everything post travel tip near future 
 May 5 2008 	 wonderful amenity 	 Donatello great ! location perfect , enough beat path feel relaxed walk away Market Street crowd . staff incredibly friendly helpful . love little kitchenette empty fridge . even microwave toaster room , plus plate glass . dvd player easy use . window shutter could open . thermostat work . love color scheme orange wall . bed pillow comfortable . think incredible value worth far pay . 
 May 5 2008 	 Best Hotel ' ve visit 	 location hotel great , staff great , housekeeping phenomenal , love convenience hot beverage throughout day , & amp ; noise factor room . enjoy stay immensely . go San Fran birthday , & amp ; per suggestion reviewer , call hotel let know , & amp ; request room balcony . get , pleasantly surprised hear able honour request ( since select room balcony ) . Asides occassional police siren , hear noise , perhaps location room , & amp ; fact weather cool enough we sleep window close . get welcome pkg upon arrive , call day later we pick . busy pick , not know 's . also , despite guest 's comment , never bother attend timeshare . breakfast nothing special . say be well buy cereal & amp ; milk Walgreens & amp ; eat morning eat sugary offering . also puzzle @ would offer orange juice , & amp ; choice juice morning ( boyfriend & amp ; can not orange juice ) . bad back , & amp ; not usually like hotel bed , bed second sleep - number bed offer @ hotel . the location great , not need rent car , close everything . housekeeping vacuum , & amp ; thoroughly clean place every day . even dish wash ! Turndown service everynight lovely come back long & amp ; tiring day sightseeing . it rain one night , & amp ; hotel lend we umbrella ( ask front desk ) even give we complimentary bottle wine birthday . my boyfriend & amp ; also @ another hotel trip , enjoy Donatello much ! tip : AAA member , check website hotel direct book find book direct use AAA discount cheap on - line travel site . wonderful hotel , guess good book hotel low travel season be less likely get stick bad room . 
 Apr 28 2008 	 noisy room face street specially week - end 	 stay Hotel three night April 23rd . room quite large advantage small refrigerator sink microwave . nevertheless , two pillow supply ask two . a / c good able sleep window close . 3rd night , Friday , could sleep , street noise ( even though 9th floor ) . another couple travel we inside room hear noise . Continental Breakfast ok , 4 - 5 table rapidly occupy . breakfast , although end 9:30 , sometimes run food 9 am . our valet parking good , would call 5 minute prior leave car ready . & quot ; Welcome Package & quot ; never present we upon registration , suppose - get call two day later we pick - . staff friendly warm . proximity Union Square Powell Street make convenient shopping transportation . 
 Apr 25 2008 	 great Stay ! ! ! ! 	 wife travel numerous location throughout US Mexico . say Donatello great hotel . staff excellent , especially front desk concierge . read numerous review want dispel rumor & quot ; noisy & quot ; . yes club across street maybe room location something sleep every night window open bother one bit noise . return Donatello two week would never think stay else San Fran ! 
 Apr 21 2008 	 Noisy 	 despite read previous review noise take chance . hotel well located- block Union Square . room clean freshly decorate . everyone staff friendly competent . just one significant problem- noise . 9th floor ( high hear anything think ? ) 10PM midnight Friday Saturday night noise nighclub Ruby Skye sound like riot go . commotion front club cause traffic problem . ( shout , scream , etc ) wee hour clean - up crew would dump load empty bottle recycle bin every 15 minute . ( crash ) -I would guess 15 time . the real shame noise would strongly recomment hotel . if would call police make & quot ; disturb peace & quot ; complaint . 
 Apr 8 2008 	 LOVE Donatello ! 	 Shell Vacation Club member Donatello part SVC 's network . really pleasant surprise , ' ve always hear small room SFO . room / suite incredibly spacious good bed ever ! also like stereo dvd player room . location really key . donatello couple block Union Square less mile walk Chinatown . easy get around bus trolley ( bus definitely way go , not need buy $ 18 week pass ... 's $ 1.50 bus 2 hour transfer free ) .My complaint hotel jacuzzi tub break ( apparently since November 2007 ... repairman town ? ) , pool . busy sightseeing everyday not impact we least . staff incredibly friendly ' ve get pretty darn good happy hour everyday lounge . absolutely recommend ! 
 Mar 31 2008 	 love Donatello Club 	 stay Donatello week St. Patricks day,2008 . weather sunny course little chilly nh think great . impressed Donatello . staff friendly time . food Restaurant 2nd floor great much enjoy delicious pastry , coffee juice serve upstairs Donatello Club level . room clean , large , bed comfortable . bathroom marble tile decor , reminicent italian style . location near shopping district Union Sq good area , hilly right . parking garage need , use public transportation , streetcar cable car . cable car ride outside stand . be fabulous ! Hertz rental car shop right next door , convienent ! ! highly recommend Donatello would go back second ! ! 
 Mar 30 2008 	 Wonderful Hotel ( Watch noise ! ) 	 wonderful hotel . stay 2 night . arrive , hotel staff amazingly helpful . big negative hotel noise outside . ask quiet room could still hear crowd club across street . not enough keep we awake , imagine room face street , would pretty bad . ask room high away street ( view , quieter ) . restaurant food also really good eat twice . wine cheese taste big deal , pen house lounge nice sit relax , drink tea , etc . real & quot ; work space & quot ; desk room , though , find space use free internet might difficult time . work bed . inclusion little kitchenette cable movie channel free ( pay - per - view ! concept ! ) , though make minor deficiency . really good 4 star hotel 5 star service . highly recommend . 
 Mar 25 2008 	 Loved Donatello 	 fantastic location , staff ever friendly especially Jesus , honeymoon without thought upgrade give bottle champagne . downside room little tired clean , ' m honest sleep much San francisco . definitely recommend stay - not bother breakfast though - danish not cut mustard . 
 Mar 24 2008 	 disappointing unorganized 	 summarize hotel one word would : UNORGANIZED ! maybe ' little jade high expectation ( read great reveiw ) disappoint beginning . hotel good quality , minor improvement could make lot well . bad : date room , poor communication check , questionable housekeepingthe good : good location , lounge coffee tea , Free Wi - fi ... part make sad : checking , call see could get assistance , celebrate anniversary want get idea restaurant listing . well , call several time keep transfer someone else , someone else , leave voicemail ( never call back ) , ' big deal . get hotel ( long trip flight delay ) 15 minute check time , ( perfect mind really want check relax ) . get , say room not ready yet people room previously request late check . proceed call housekeeping room clean . say room would ready 15 minute ( take clean room ? ) ; could seat lobby go lounge 15th floor coffee . elect go lounge say would send someone key . well , half hour later , still wait , ask concierge lounge could check see room ready yet . answer , yes , almost ready , would go back downstairs get key bellboy busy . please keep mind drag luggage around whole time . ' bother apologize thank we wait . finally get room . usually happy person . happy move around back forth fail plan well … they let someone else stay late make we wait it . I stay many hotel SF , appreciate recognize difficulty come antique building . expect thin wall even though 11th floor , able hear traffic outside . expect . however , kind surprised large gap bottom room door , allow quite bit light ( make hard sleep ) , cover towel . room show age , clean well , document last guest leave room . couch lumpy look nightmare ; cushion ' seem fit right . seem pretty cheap . hotel book website list free breakfast , " breakfast " actually $ 4 1 glass orange juice 2 pastry . spend money elsewhere ; ton great restaurant SF . housekeeping staff leave somewhat puzzled day day . day , would receive replacement toiletry , day ' . get , 1 bathrobe ( 2 people ) , nice enough bring another one request . another day , take robe ' replace . even give we use shampoo one day . maid also come " disturb " sign up … say thought leave . unusual experience , figure oversight .. ? side note regard housekeeping , come across coffee spill lobby ' clean 2 day … sure regularly look around clean … and 2 day check , charge $ 1 soda ' drink . call ask , get transfer 3 time tell , & quot ; well , ' $ 1 & quot ; would ask see could refund " courtesy " . ' even drink soda . ' fault miscount something . ' care dollar , travel hotel industry , expect different standard . part make happy : concierge ( downstair upstairs ) friendly seem willing help . wi - fi room , well computer lobby guest use nice . hotel pretty good location , close Union Square ( SF ; beggar anywhere go ) , lounge upstairs nice view . lounge also coffee , tea hot chocolate day . small little perk really like , especially consider cold weather . also umbrella room case rain . room nice size SF . safe room big enough laptop ! New TV ' s … there lot nice thing hotel , need tighten employee organization issue . 
 Mar 16 2008 	 highly recommended- place awesome ! 	 lot research hotel book vacation . ' ve San Francisco several time , husband 's first visit want good experience . Donatello highly recommend other TripAdvisor site , appear location amenity look . extremely SATISFIED stay March . property quiet , clean , staff friendly ( front desk , bell desk , concierage , clean staff ) helpful room large ( high ceiling ) well appoint . expect room large , king size bed welcome sight end day lot walk . turn service nice cleaning staff super friendly . mini fridge , micro wave , wet bar in - room safe ( free easy use ) come handy . free in - room wireless nice flat screen tv dvd cd player . the location awesome- easy walk dining , shopping , cable car , bus stop , etc . high class place ! nearby Cafe Mason ( good italian food ) , coffee shop , live blue place ( Biscuits Blues ) , live jazz restaurant ( Les Joulens ) , Walgreens , etc . plenty place eat , drink , socialize . do sway occassional review comment make light complimentary breakfast . continental breakfast fine . , be free buffet , include gourmet coffee , tea , fresh squeeze orange juice pastry ( muffin , scone , crossant , doughnut ) serve top floor ( club level ) day . stay 8 night would estimate half day also fresh fruit tart . think fine . coffee tea available late evening , find nice touch . though minor , one annoying thing front desk concierge ask we several time attend presentation another Shell property ( time share ) exchange free gift car rental . not big deal , ask check call next morning ask we . decline , drop ask again . the bell desk staff helpful arrange shuttle back airport we ship package postcard we . concierge also recommend number tour we . instead go grayline large bus tour , actually book online incredible adverture , offer small , 12 person van pick service hotel . website : http : //www.incadventures.com/ . take two tours- Yosemite tour Muir Woods & amp ; Sonoma wine tour . John , tour guide excellent would recommend company other . the Donatello 's super friendly staff much appreciate . would DEFINITELY go back , highly recommend stay Donatello would like nice , quiet , relax stay . 
 Feb 26 2008 	 great stay Donatello ! 	 stay two night President 's Day weekend & amp ; love Donatello ! ! RCI exchange . staff could not friendlier helpful ! lobby concierge Shari great , feel like old pal time leave . room huge ! club level really nice get cup tea & amp ; would ' ve nice sit outside weather nicer . great little cafe across street ( think La Tezza ) , lot yummy fresh food , soup killer ! refrigerator & amp ; microwave room , along kitchen amenity make easy skip restaurant . tip : go ferry building & amp ; get wonderful cheese , sourdough , & amp ; wine & amp ; little feast . the Donatello GREAT location & amp ; easy get transportation ... make sure buy Muni pass airport , take BART Montgomery Station & amp ; walk straight Post Street hotel , 5 easy block . not get Powell Street , especially drag luggage , crowded , crazy people , folk beg . always go straight Post Montgomery / Market , catch underground Muni Embarcadero & amp ; ferry building , catch F - Market , old streetcar take along Fisherman 's Wharf . -- although easy walk Market ferry building . taxi right across street Donatello need one , fare $ 6 ferry building ( run late Napa tour ) fare $ 9 end fisherman 's wharf Maritime Museum ( foot could not take anymore walk / standing ! ) although venture Powell begin cable car route , fun way see different neighborhood & amp ; heck , be San Francisco ! ! 8- ) tip : get Muni pass airport , good underground Muni , street car , bus , even cable car . the Underground Muni BART , even though share terminal , BART train take airport , RT Montgomery $ 10.70my fav . travel book : Dummies Guide San Francisco , give kind great tip ! great tour napa : [ - ] wonderful guide , Orion & amp ; nice ferry ride back ( pick cheese & amp ; sourdough ferry building ! ) 
