perfect 	 Hotel quiet , street quiet night . hotel close pretty much everywhere will want go . short walk Bryant Park , Grand Central Station . little long walk short subway cab ride Rockefeller Center , Central Park Lower East Side . room pleasant enough room move around , leave luggage floor , put thing away , etc . window actually open nice touch hotel offer . able easily open window get little cool air packing . bed comfortable lot extra pillow ; side bed little table lamp . hotel decor happen exactly style bright color ; make everything feel cheery . excellent breakfast buffet reasonable price NYC . complaint . staff friendly helpful . seem brief problem heat . least be tell deliver space heater notice problem . never need use . heat work fine hour later . also nice find superb rate Kayak . offer park reasonable rate Manhattan , not even need use . got great advice park car get free parking space within 2 block hotel weekday weekend . not know will ever able afford hotel , would love go back . 
 small room yes comfortable . 	 go New York City third time October mom great aunt . teenager , quite bit travel experience . say , Roger Williams hotel second hotel one trip . switch two day stay Novotel . arrive Roger Williams , kind concerned location ( location time square ) , not know nearby . walk hotel impressed . exactly like website show ( sometimes website bit improved ) , comfortable feel , warm lighting . pleased entire stay . yes , hotel room small , compare last hotel not mind . hallway colourful , room white colour . bathroom quite small , yes , light not good . still like . modern , comfy . shower leak floor , detachable shower head over - head one not work . veiw not good , room service kind weird . still , nice hotel compare leave . look feel safety hotel room , guarenteed . oh , add : bed amazingly comfy ! 
 Apr 5 2006 	 well ' heavenly ' bed ! ! ! 	 love playfully - color room super - comfortable king - size bed ! ! usually can not wait get home bed , bed make want stay hotel room day . doorman always friendly attention , front desk people smile helpful , even get fantastic deal entire weekend . easy access subway , good delis , cafe , fantastic korean food nearby ! wish could get paper deliver door instead go find one , elevator bit roomy , many thing sale scatter throughout room . otherewise , comfortable , cute boutique hotel stay , would definitely go . 
 Apr 4 2006 	 warm welcome trendy hotel 	 return 6 night stay Roger Williams . everything perfect . long tiring journey arrive warm , friendly helpful staff really make excellent start holiday . the hotel well locate - near subway , short walk Empire State Building plenty good delis restaurant nearby . could ask . get great rate room make extremely good value money . room bright colourful bed comfortable . agree review , bathroom tiny , shower roomy good . this really lovely hotel would certainly recommend . 
 Mar 30 2006 	 wonderful hotel ; super - friendly helpful staff ! 	 everything perfect ! ! husband stay end March ' 06 . great room , clean , give NYC standard , decent size . bed comfy ! bathroom bite small ; 's New York . all employee quite nice helpful . feel well - take care . european breakfast unexpected delight -- excellent food , beautiful dining area . do not throw negative review . well - PRICED , chic hotel mid - town ! 's gem ! ! 
 Mar 15 2006 	 Great Service Cute Clean ! 	 sister stay Roger Williams weekend March 10th . late flight not arrive 1 am , restaurant / bar closing . staff helpful get we check several recommendation late night food area . also receive upgrade garden terrace room penthouse floor ! room small ( normal NYC , hear ) , , like rest hotel bright cheery , clean , comfortable . staff ( desk clerk , doorman , clean staff ) friendly helpful . breakfast bit pricey , really much New York standard good selection pastry , bagel , cereal , fruit , coffee , tea . we really like area town , . mostly residential , feel safe quiet night 15 minute walk $ 5 cab ride good shopping busy attraction Madison . block Empire State Building , too . overall , really like Roger Williams . great value know would definitely stay . 
 Mar 6 2006 	 little funky great value 	 wife stay weekend March 3 - 5 really enjoy . book rate website ( $ 219 night ) great room good color big bathroom NYC standard . hotel boutique hotel color look like California Florida . the service excellent complaint . gym good machine , flat screen tv make good use space . eat drink , bar open 1am . self - service parking valet parking around corner big help also . neat little area want get Times Square explore Murray Hill within walk distance shopping 34th Street great eat Union Square . 
 Feb 22 2006 	 Trendy Friendly Hotel 	 Loved stay Roger Williams Hotel . convenient Midtown well Chelsea & amp ; village close subway . room bit small well design colorful furnishing incredibly comfortable bed ( soft cozy ) .Great view Empire State building ( watch light go midnight ! ) . elevator small waiting time experienced weekend stay . pay great interenet rate ( saturday full price sunday free ! ) treat wonderfully friendly staff . problem request two double bed , room view , allow early check - in . aware daily surcharge per person . 
 Feb 22 2006 	 wow - great hotel . 	 get back NYC - stay Roger williams . wow - great hotel . great decor - modern , clean look . room pretty big ( NYC : ) ) , bed super comfortable . staff friendly . also gym restaurant / lounge ... drink bit pricey nice chill anyway .... also - great location . totally worth price : ) 
 Feb 21 2006 	 Nice Boutique hotel - Good value 	 stay : Feb 19 - 21 , 2005 good : hotel character . lobby nice - modern colorful spin ... love color throughout hotel . room spacious ( deluxe king ) comfy . Loved NYC travel book room use stay - find great spot base recommendation . free WI - FI . great lobby . friendly staff . CLEAN recently remodel . aveda product . good location - middle everything , middle everything . flat screen tv . good value location . would stay . bad : coffee maker room . cold room . bit loud due construction . concierge recommendation so - so . candle throughout room nothing light . ton goody - snack , lotion etc , $ $ $ . bathroom small ( average NYC size ) . warning : room cold . loud due construction next door . 
 Feb 21 2006 	 Great Hotel Excellent Location 	 choose hotel read glow review tripadvisor . hotel room clean , sleek modern . lovely , cozy lobby . cab door . sight within easy walk distance . unfortunately , around 25 degree entire trip brisk walk we . take trip Empire State Building block away night see city sparkly glory . the bed comforter high quality . supply AVEDA bath product - nice plus . eat breakfast right across street TASTY cafe . fancy get good bagel , coffee OJ $ 5.00 hard come NYC pricewise . husband definately come back stay Roger Williams Hotel . also , staff service friendly , efficient helpful . 
 Feb 20 2006 	 Hip hotel great location 	 stay Roger Williams one night Christmas New Year 's . room small stylish , bed heaven . one elevator break , repair everything else -- service , etc . wonderful . location blissfully quiet night ( sometimes hard sleep city not ) yet convenient sight . watch charge add - ons -- extra basket goody bathroom cost extra use breakfast serve morning free intimated check . get excellent internet price would definately return . 
 Feb 16 2006 	 Fabulous Hotel 	 lovely hotel friendly service everyone reception doorman . comfortable bed relax hard day . really destination restaurant ok want grab bite eat without venture . good cocktail though buffet breakfast . stylish reception area . 
 Jan 30 2006 	 good hotel 	 husband stay Roger Williams long weekend . really like location subway station close could also walk lot place . review mention , bed really comfortable . think room anything special . really small view . like hotel , would probably try different hotel next visit . 
 Jan 3 2006 	 great service- great deal ! loved ! 	 return overnight stay Roger terrific . staff particularly pleasant welcoming . arrive early expect / much early check time give room fuss question ask . House keep great , super - quick ( almost immediate ! ) response request extra towel . the room nicely style , great tv load station , clean smallish standard size Midtown hotel . plenty storage space closet lovely bathroom fantastic shower . note incredibly comfortable bed bed - could sleep day ! great place come back long day night town . hear hotel prior visit . take chance Roger -and ! 
 Dec 29 2005 	 wonderful Hotel ! 	 two child enjoy stay Roger Williams much feel need tell everybody . Philip reception greet we helpful . room good size , spotless . look leave window good view Empire State Building , night , lit look amazing . the comfortable bed await we every night , give we fantastic night sleep . the Breakfast little expensive , enjoyable . family deams return trip ..... 
 Dec 28 2005 	 wonderful Boutique Hotel ! ! 	 moment walk Hotel Roger Williams ... atmosphere beauty friendliness . door open we ... welcome came bid ' good day ' walk ! room different . make reservation ( month ! ) , ask large room have 3 adult . upgrade Superior Room extra charge ... be like rate bargain rate ! room expensive ... location superb . boutique hotel , cookie - cutter room . room decent size NYC standard , small city 's standard ! 2 double bed , desk , large tv , tiny closet include shelf clothing , lot lamp , nice area SPACE spread stuff ! bed bench foot ... put suitcase . room decor primary color - nice awaken ! ! bed wonderful - comforter nice quilt . windows & quot ; cool & quot ; - electric room darken shade , screen slide shut instead drape . bathroom nice - nice sink , nice shower stall , mediocre water pressure & quot ; rain showerhead & quot ; well showerhead hose . hotel corner 31st Madison . able walk everywhere - location wonderful ! spend many late night laptop Mezzanine Lounge - entire hotel wireless . lounge small lovely ... meet overfriendly business people ! numerous private little conversation nook main lobby ... velvet curtain , leather contemporary table .. invite ! ! case not bring computer , laptop lobby welcome use 24/7 ! print ... anything want ... ! also nice workout room hotel ... not use ! : ) ) security : can not push button elevator without insert roomkey . would highly recommend hotel can not wait return . NYC hotel little bit affordable .. would nice . keep eye open special Hotel Roger Williams may run . notice one check ! overall , HRW get a+ rating ! 
 Nov 22 2005 	 highly Recommend Hotel Roger Williams 	 stay Hotel Roger Williams week Nov 13th . good experience ' ve ever hotel . many time see pictures hotel website really look like picture ? ? ? ? every single thing see internet room exception bathroom . ' m guess bathroom picture website different guestroom . still pleased bathroom get . linen bed clean comfortable . matter fact get back trip go shop bedding . never hear noise , tv 's etc , come room . flat screen tv great . staff professional . every time would leave return hotel would greet name . complaint hotel . would definitely stay . 
 Nov 1 2005 	 stylish place stay 	 check one night hotel 14 Oct treat disappoint . hotel stylish , individual fantastic central location . hotel staff extremely friendly helpful ( special mention door staff ) room feel fairly spacious , compare hear hotel generally NYC . bar mezzanine serve reasonably price , tasty food ( although not go breakfast ) . one constructive comment make - people room come go throughout night , door slam shut time make hard get sleep stay asleep . perhaps hotel rectify install slow closing mechanism door . put aside , enjoy stay Roger Williams would recommend . 
 Oct 10 2005 	 Awesome 	 hotel totally exceed expectation . reservation - make thru checkout . call make reservation agent , explain package , give direction , even upgrade husband anniversary . check , friendly doorman help we taxi help luggage arrive room 5 n\minute . guy desk ( philip ) assist we dinner suggestion checked call back upstairs make sure evrythe par . ... bed comfortbale terrace romantic . eleveator slow worth it . I see many negtative review know hotel newly renovate still work transform even well stay 
 Sep 14 2005 	 enjoyable stay 	 fiancee return week stay Hotel Roger Williams must say keep 's high standard . it 4th time stay Hotel past 18 month always impress place courtesy staff .............. especially doormen always jovial happy assist . room spacious , bed fantastically comfortable enabling get well earn rest hard day Manhatten . opinion bathrooms standard New York City , corporate clean tidy enough space fall foot . it also good see easy use safe within room keep money / valuable safe whilst venture Manhatten . another good point hotel location fairly central Manhatten 2 minute walk Empire state building enable get uptown downtown without real hassle ......... preferred stroll around Manhatten take sight cheap easy get cab not fancy walk much . the negative would say patron Roger Williams couple year continental breakfast Mezzanine levelwhich honest rip - off price wise would advise get breakfast outside hotel . hotel use free breakfast / hot drink service 's renovation think endear feature especially reasonable high price stay ......... sometimes small thing make difference . Overall Roger Williams well worth look think stay New York say everytime ' ve stayed 's professionally run ' ve great time . would definately recommend stay Hotel Roger Williams eat breakfast elsewhere ! 
 Aug 16 2005 	 great Stay Roger 	 Stayed Roger Williams past weekend two friend . stay room two double bed . bed & quot ; extremely & quot ; comfortable , adequate amount sheet ann pillow ( 2 large 2 small ) . goose comforter also comfortable . AC unit work great , keep room temperature want . staff friendly helpful . far european Breakfast , find bit overprice offer . sug skipping breakfast traditional New Yorker thing - Bagel Cream Cheese coffee neighborhood Deli . I would definetly recommend hotel anyone . 
 Jul 17 2005 	 Great Modern Feel 	 Roger Williams pretty cool place great location . room small average offer great modern amenity include , flat - panel TV 's , free high - speed internet service friendly staff . suring stay doorman gracious enough offer direction , weather prediction rememberd name everytime enter establishment . everything clean , bed comfortable , room great lighting room self - control heat / air . would reccommend hotel anyone . the drawback 's size , elevator small slow time bathroom room stay could barely fit one comfortably . 
 Jul 11 2005 	 pleasantly surprised 	 recently make first trip NYC weekend , stay Hotel Roger Williams . find staff pleasant accomodate , room clean , well appoint comfortable . rain arrive hotel provide umbrella use walk around city , much appreciate . the bed comfortable , fantastic provide 4 pillow bed ! feel like sleep marshmallow comforter pillow . 4 we share room 2 double bed , not cramp space . drawback frost - glass enclose bathroom , slightly uncomfortable other room shower time . while could hear street noise , not enough keep awake . course , pillow head drown snore travel companion . ha ! air - conditioning keep room rather cool , way like , bright quilt bed perfect weight keep comfortably warm . almost buy one check . room iron board , safe , complimentary Aveda bathing product ( smell wonderful ) , flat screen tv , desk area . bench foot bed , work perfectly luggage stand . shelf run length ' entryway ' large mirror excellent use additional vanity area . the lobby area comfortable , decorate beautifully . lounge area also quite nice , service friendly attentive . european breakfast spread delicious looking , could not fathom spend $ 12.95 pastry croissant fruit . husband enjoy , though . the complaint bathroom , explain elevator , run slowly time . I would recommend Roger anyone , would definitely stay . area clean , safe , centrally locate destination . also , fairly easy access Lincoln tunnel . 
 Jun 27 2005 	 Misadvertising 	 First , place clean , look nice . wife stay one Penthouse suite . shocked saw & quot ; Garden Terrace & quot ; call . picture show website even close get room . could step onto & quot ; Garden Terrace & quot ; , even chair wedge little nook , would not want sit , stand , one person could not get around . tiny . & quot ; lovely & quot ; view apartment building . & quot ; Garden Terrace & quot ; name certainly garden ( unless consider plant box garden ) , ledge railing would well way describe terrace . look ledge saw & quot ; Garden Terrace & quot ; advertising , apparently room people resident build . beleive may use picture room , hence , false advertising . tell square footage room 250 300 square foot book room , quite large room might find NY , quick measurement foot ( not take long ) maybe 170 square foot . picute might find internet wih modern bathroom , wrong .... bathroom porceline tub shower curtain . also , leave room lock door , come back 6 hour later , door open . apparently card reader fail . nothing miss , thank god . needless say mislead picture description . also , find fact clutter room thing use get charge arm leg completely disgusting . needless say , stay somewhere else next time . 
 Jun 20 2005 	 great stay Roger Williams 	 stay Roger past Friday night - town night check next morning , wonderful stay . staff extremely pleasant go way help we dining suggestion , question subway cab hold luggage we walk around city day check . LOVED bright , modern decor , lobby nice jazz band playing night . room , slide japanese screen window really cool . keep close b / c give room nice effect . flat - panel tv great bed super comfy ! ! ! def comfortable bed ' ve ever sleep . love comforter . Bathroom small , do not expect anything else - hotel bathroom NY be not exactly roomy . shower head great though - one one hang top ceiling get rainfall effect . also like Aveda bath product . hotel noisy , face building next we maybe be do not hear street noise ... do not hear noise hallway room either . oh , room in - room safe , someone another post mention safe think would add . def stay Roger Williams ! 
 Jun 6 2005 	 horribly rude staff tiny room thin wall 	 often go New York stay unpleasant experience ever . staff rude make sister cry . ask whether could hold laptop security reason refuse . apparently in - room safe safes office . 's incomprehensible something guest anything fact condescend ask something completely question ... shocking , absolutely shocking . make thing bad room small could even fit two small suitcase . put bed . bathroom dark nasty maid shout day long foreign language right outside door . 
 Jun 4 2005 	 pretentious good description 	 stay wife birthday holiday . hotel generally clean staff pleasant . not experience New York Hotels , first visit . however , guess could find equal , well , accommodation price . Roger bill luxury hotel , much window dress really mid range hotel pretention something else . the room clean , tidy well serviced , not nail pay extra . $ 10 daily charge wireless access , gym access amenatie use would guess normall traveller use . depite complain availed charge add credit card bill . advance notice this . the bathroom standard room small cramp wash basin akin something would find plane train luxury hotel . hard control water temperature get scald flush toilet whilst shower run . if stay clean tidy staff pleasant . choice - look hotel first 
 Jun 1 2005 	 nice place 	 stay mid - May 2004 . end stay need change travel date , hotel originally plan use long available . hotel cost bit want pay , still , glad stay here . the room lobby nice , furnish simple stylish blond wood . room , everything seem work fine , although difficult keeping room temperature consistent ( sometimes bit hot , sometimes rather cold ) . hotel provide free breakfast buffet ( bagel , cereal , coffee juice ) ; also internet workstation lobby ( although might wait peak time ) .The hotel locate nice part Manhattan , plenty shop restaurant within walking distance . subway around corner cab bus plentiful ... 
 May 24 2005 	 horrible bathroom 	 Roger Williams add unadvertised $ 10 day & quot ; service charge & quot ; bill amenity one certainly use . standard room small cluttered although attempt modernist king bed small description . temperature hard control ( though open window work well ) . however , easily bad feature bathroom shower big enough get two people easily compromise contortionist use toilet literally behind underneath washbasin . poor design luxury hotel . ' ve stay equally well - design much cheap hotel NY . 
 Apr 26 2005 	 Loved Roger ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 staff helpful , guidance city help print voucher etc work bagel breakfast . we speak highly enough visit , make first trip New York perfect start . room service prompt tiring day walk food worth stay for . the Decor amazing fresh , excellent layout dam confortable . the bed .... good ever sleep , even own . if want excellent midtown location , close everywhere , friendly service , smile everyday mix sexy sleak look , Roger one . our first trip New York pick winner . 
 Apr 14 2005 	 Loved New ROGER 	 husband frequent hotel past . however , much inclined stay ever ! since Remodel Roger , room transform charming modern studio . absolutely love new lobby . new restaurant bar uphold excellence Roger . staff warm welcome service devine . definitely come back . 
 Apr 12 2005 	 good service Roger Williams 	 go 10 & quot ; 30 something & quot ; girl bachelorette weekend .... cool , boutique hotel . arrive 8 am head housekeeping go way get 2 room ready we right away . friendly , helpful doorman , room service , front desk staff . two room 11th floor air conditioning , though . window open fan cool we . room 5th floor A / c work well . great shower , small comfortable , hip room . money , would stay hotel ! 
 Apr 12 2005 	 Construction Woke . 	 stay Roger Williams first weekend October 2004 . accompany boyfriend conference New York . work book somewhat pleased saw website . check room shock see small really person . barely enough room we unpack luggage , etc . definitely negative . construction go hotel . elevator slow ... often would walk wait long . seriously wait 20 minute day check could not carry bag . give breakfast voucher deli across street . usually would breakfast buffet hotel . not bad deli pretty good choice . would usually grab thing head back room eat breakfast . convenient actually . 2 complaint though . one construction go hotel . NYC , stay late night . probably would not go bed till 4 5 am . construction start 7 am maybe 8 am . seriously jackhammere something loud . awful . ruin day . could not get back bed not stop . second complaint ... maybe boutique hotel room close wall thin . night would watch tv neighbour would bang wall tell we turn tv . not even loud . could barely even hear bed . happen every night . need wind watch tv could not construction wake early . one upside least Aveda bath product . haha . 
 Apr 11 2005 	 Nice Hotel 	 stay Roger Williams 1 night April . hotel modern comfortable goose bed like . problem loud techno music downstair keep 3:00 - 4:00 . also room locate outside stairwell elevator bank keep wake . hotel staff friendly make we feel home . would recommend hotel want modern hotel good location , however ask move away elevator . 
 Mar 19 2005 	 small deluxe room . stinky hallway ! 	 stay hotel disappoint size deluxe room . service bad room SMALL size hallway stunk like cigarette smoke . like clean , spacious room hotel . 
 Mar 17 2005 	 $ 300 night well 	 son fiancee leave tour Iraq , want treat nice long weekend New York . nice weekend , wish have choose different hotel . the room adorable hotel attractive , convenient location . surprised see & quot ; complimentary & quot ; drink little bar area add hotel bill . mention waitress bring we array snack not order , go bill well . advise pretty basket goody table not complimentary , either , 's price list find . candle bathroom cost $ 8 burn it . I not impressed staff , either . husband arrive son fiancee . & quot ; ahemed & quot ; time , clerk hang personal phone call check we . explain two room book , pay one credit card ( handed ) , son would check later . son arrive , get call . desk clerk check we make aware situation ask credit card pay reservation . ask please bill room charge credit card give . ask credit card , even though already run first room . became condescend , not appreciate , consider polite incompetance . my son fiancee tickle hotel room , live Army barrack Baghdad past 6 month . husband , however , visit NY frequently go back Roger Williams . not like snotty desk clerk not like nickel dim . 
 Feb 17 2005 	 great view lovely room ! 	 stay July 2004 hotel rennovate . we lovely deluxe ( rennovated ) room amazing view Empire State building . room clean large ny , tv great . when decide nip local store water midnight snack door man make sure get return safely . great tea shop couple door amazing italian restaurant couple block away - even table cram ! find staff hotel mostly helpful book we great car take we airport . 
 Feb 15 2005 	 cute comfortable ! 	 Roger Williams Hotel cozy boutique hotel . staff attentive ' ve ever see . come early day , surprise , room available . lobby colorful modern comfy couch everywhere . even though room pretty small , design calm , eclectic style every amenity think . room even offer intimacy kit couple . course , thing like extra cost , beauty be available . nice cotton white robe , nice shower , flat screen tv mount wall . lot comfy pillow , great blanket . hotel block Empire State Building , great view city 86th floor . go night , breathtaking . hotel also 15min walk Times Square . Roger Williams definitely worth money . 
 Feb 15 2005 	 dishonest practice sour lovely small hotel . 	 stay last weekend Roger Williams . stay often since first become hotel , interested see new owner do . ' ve do lovely job redecorating , staff even nicer usual , $ 10 per day ' Service Charge ' bill check . nowhere warning charge would apply . ask , tell new ' amenity ' : wireless internet ( advertise ' complimentary ' ) , availability fitness room ( use ) , unlimited local phone call ( also use ) amount charge relevant . deceptive dishonest practice forewarn factor decision whether stay Roger Williams , hotel own group . 
 Feb 14 2005 	 grow smell cook oil ..... 	 would advise stay - room smell cook oil , . definitely ventilation problem hotel change number room eventually 12th floor still problem ! ! ! room kind weird , ' ve try make trendy place look like cheap ikea tack - plastic lamp bright blue carpet . bathroom tiny move wrong way whilst sit toilet , injure sink . ingrain cook oil smell everywhere default make want avoid restaurant . 2 lift ( elevator ) sometimes wait , kid , 8 minute one come stair take ( emergency stair ) .The positive thing hotel go 's great location - pretty much walk distance anywhere time , also be friendly staff - can not help ventilation system suck . try renovate hotel avail . avoid . 
 Feb 2 2005 	 beautiful hotel outside noise much ! 	 hotel stylish beautiful . look like something Wallpaper magazine . room dissapoint . large New York , bed fabulous minibar . bathroom clean comfortable . problem noise . get great room 3rd . floor go room take quick nap immedietly notice noise . garbage truck , cab honk , etc . know New york loud able sleep room . call front d ask quieter room . give room 8th floor go day . get back night well midnight yet , noise level high enough could hardly sleep . point stay watch t.v . 3 . fall asleep upset spend $ 240 great room much noise outside . not make sense . staff attentive professional , room state art , ruin loud garbage truck noise maker permeate street late 3 morning . stay make sure bring ear plug stay one top floor . 
 Feb 2 2005 	 go somewhere else 	 review long overdue , want warn people . stay last fall regret . day unseasonably warm , room stiffling , evening arrive , go turn air conditioning -- luck . front desk inform us air season would turn . tell we open window remedy . try sleep midtown traffic blaring night ! not pleased cleanliness bathroom , either . plenty place spend money ; not spend Roger Williams . 
 Jan 1 2005 	 pleased indeed . 	 get back stay 2 night Roger Williams . little apprehensive negative review read trip . turn , fear unfounded . hotel clean nicely furnish except couple time , wait elevator quite minimal . hotel staff friendly helpful time . request extra towel glass two separate time time send without delay . would definately recommend Roger Williams anyone prefer small hotel personality large , impersonal environment . 
 Dec 13 2004 	 like reservation problem place ! ! 	 return 3 night stay Roger Williams Dec 3rd Dec 6th . ofcourse start peak holiday season . book penthouse room back July . ( yes , JULY ! ) confirmation reservation penthouse room write , even talk reservation specialist hotel make sure room available . give confirmation book penthouse room would available stay . arrive hotel small , modern hotel . lobby couple place sit , yet right next door get little chilly . fireplace . tiny bar upstairs . staff helpful check bag room clean . come find reservation book . give deluxe room , penthouse room confirm . give ridiculous excuse woman book room work 2 day . maybe bad excuse ever hear . , end take deluxe room , make sure give room rate back July . thing accomodate we . explanation happen reservation . ? ? ? ? ? ? like shady reservation , place stay . want take chance get different room book , stay ! ! room nice though . would definitely reserve deluxe room . plasma wall . bathroom small , like everywhere else NYC . elevator soooo slow fit like 4 people . good luck ! ! 
 Dec 5 2004 	 Fun Hotel great deal ! 	 stay NOV 2004 . great location friendly staff . decor ultra modern really interesting color scheme . room decent size NY city hotel represent extremely good value price range . food good staff helpful . negative elevator take forever . room flat panel tv comfortable bed . 
 Nov 13 2004 	 Boutique Hotels future ! 	 stay NY Marathon 2004 say hotel superb . although gym close due renovation ( extend ) still offer pass local gym . the room really comfortable , modern nice touch make feel home Aveda product , iron board CD player . advice would drink hotel water , free ( think complimentary room ) cost amazing $ 9.00 per litre . hotel perfect business leisure , round corner Empire State Building near two subway station ! really nice hotel prefer boutique hotel oppose mainstream accomodation . 
 Oct 4 2004 	 worth room rate 	 stay Sept. 30 , 04 couple day . construction , get lobby pain , staff front helpful time overwhelmed . service worth $ 250 night . construction keep we free breakfast hotel , free internet one computer front desk , room fully do , slow elevator , vend machine ice machine . would recommend friend . 
 Sep 25 2004 	 Nail everything move 	 England do not complain often place enough make pope curse . stay 6 night .. second various thing mysteriously go miss room ( party 4 room total ) . nothing huge value lot well hide 3 day march front desk confront . shrugged shoulder response ... leave trap day go sightseeing , pack cig , half bottle Gin , cheap perfume ( buy Canal St fro plan ) .. lot dissappeare ... must gang cleptomaniac work there . so advice .. apart stay somewhere else .. find , lock everything cos will not return . 
 Sep 25 2004 	 Nice Hotel Great Neighborhood 	 stay Roger Williams late August 2004 renovation , find everything fine . minor inconvenience , expect hotel renovate . room clean comfortable , find staff polite helpful . if like enjoy walk around city , Roger Williams excellent location . walk Chelsea Piers , Village , Times Square . not like walk lot , subway station couple block hotel . my criticism hotel not ice machine vend area . ' ve never stay hotel not ice machine . buy small bag ice corner market $ 3 ! maybe renovation do , hotel install ice machine . overall , though , enjoyed stay Roger Williams would gladly stay . 
 Aug 25 2004 	 would highly recommend 	 family stay Roger Williams 21 July 2004 seven night . thoroughly enjoy stay despite hotel major renovation go . staff friendly helpful although not renovate room , comfortable clean . location excellent , within walk distance many tourist site , shop subway feel safe walking night . free breakfast enjoy real bonus . would recommend hotel anyone -we please overall would love come back . 
 Aug 24 2004 	 renovation 	 first night get air conditioning work well . make difficult sleep . the follow morning toilet break . take two hour get fix . air conditioning work well outside temperature cool , could tolerate room . the hotel renovate worker share elevator guest . make long wait crowded elevator . actually change carpet one midday leave one usuable quite awhile . new orange carpet ruin soon worker drag something it . on second morning greet note ( slip door early a.m. ) . notice continental breakfast shorten hour . wecalled complain tell wedding party book use room . one worker try take coffee reach sugar . apparently 10:02 close 10:00.as prepared take shower , toilet break . take another two hour . the cappuchino machine nowhere find . mezzanine renovate . the hotel locate area restaurant . close Sundays . like room service , place stay . the floor clean room , forthcoming towel . they operate hotel close renovation . when elevator speak worker . complain management 's inability communicate . worker take brunt frustration experience guest . we give $ 75 reduction bill inconvenience . 
 Aug 20 2004 	 central hotel near subway Empire State Building 	 stay 8 night New Year - Dec ' 03 - Jan ' 04.great service - door open , friendly staff , always willing help , be wherever go NYC probably good way judge thing . room large , clean , although breakfast bit free morning ( self - service ) difficult find seat wait food peak time ( 08:30 - 09:30 ) .Empire state build 3 block away - ever go , get ticket first website will save big queue / line . 
 Aug 8 2004 	 generally good 	 pretty good hotel although renovate moment ( July / Aug 04 ) . renovate room nice - large , comfortable bed , good bathroom good sized room . overall good value money . the one problem elevator . seem run basement penthouse back - regardless whether people wait . result slow service often crowd elevator . may sound small thing annoying . hope rennovation include fix . 
 Aug 4 2004 	 great deal good hotel ! 	 great stay Roger Williams . get good bargain room rate hotel disappoint . room comfortable clean . staff friendly accomodate . special request meet check - in ( comfortor pillow removed room replace cotton item fridge place room ) . staff friendly helpful . would recommend hotel anyone look nice hotel great price . 
 Jul 28 2004 	 enjoy stay 	 Stayed rw late July work trip . loved minimalist lobby -- staff room welcome stressful day delay cancel flight . room small , comfortable tastefully decorate . bathroom not perfect , small spotless , nonetheless functional attractive . 11th floor , view apartment building , not expect great view . continental breakfast great , think front desk staff particularly friendly helpful . location also good , walk distance subway stop , feel safe night . would highly recommend hotel , especially be picky hotel connoisseur . comfortable pleased overall stay . 
 Jul 20 2004 	 great hotel NYC ! 	 stay Roger Williams 11 - 15 Jun find excellent property . staff helpful request always greet we smile . room lovely , contemporary design good size , quite difficult get NY . view building NY expect . free breakfast internet access plus . work travel yet stay hotel USA receive breakfast without pay fortune . overall happy rate pay property . clean , centerally locate pleasing eye . would not hesitate recommend . 
 Jul 20 2004 	 enjoy stay 	 husband spend weekend Roger Williams would rate 3 - 1/2 star . room 15th floor , renovate . small comfortable- new comfortable hotel bed ' ve ever use . location great room face away street quiet . serve complimentary breakfast suite temporarily renovation , base condition suite would definitely recommend request renovate room ! husband stay Roosevelt Christmas prefer it- depend look . Roger Williams basically lobby restaurant , staff friendly couteous room clean , quiet modern . read review think satisfaction depend whether get renovate room . 
 Jul 11 2004 	 average 	 go mom dad ... room 8th floor . view building . room come two clean full - size bed . room weird smell . bathroom frosted glass , feel uncomfortable know parent could see take shower ( glass see - through ) . bathroom door , also frosted glass , lock . tile bathroom dirty , edge grow mold something sort wear flip flop shower . need three towel , always give we two . drawer break . hotel give complimentary bottled water ( deceive website : rogerwilliamshotel.com ) . breakfast everyday , enjoy croissant cereal . also enjoy free cappuccino two three time day . hotel 's location convenient . be two block 6 train ( local green subway ) . 's church right next hotel , around corner leave ( exiting ) would recommend . ( nothing hotel , think would sneek ) . Fitness & quot ; studio & quot ; tv , exercise bike , two old tredmill water bottle holder , bathroom . many halogen light fitness studio make room hot , open window . like free access computer internet lobby . people work hotel nice . ask see penthouse room glady bring we see one ... nice ! ! ... come flat screen tv , clean bathroom DOOR , big bed , nice view , patio / terrace . mezzanine , food , big room . light hotel dim ; think dirty spot scratch everywhere not noticeable . $ 130 night , hotel good deal . real problem bathroom , maybe smell room ( get use ) . hotel tell we would complete remodeling hotel september , think say would do september 2004 ... ' m think will raise rate / night , hotel probably nice . review . ' m say stay Roger Williams , ' m say not stay Roger Williams . 
 Jun 27 2004 	 never Return Roger Williams 	 although room rate great $ 115 nite , room leave lot desire . management need complete review room , i.e. , black mold side sink ; toilet floor bathroom heavy rust stain show leak ; lightbulb floor lamp keep flicker housekeeper keep leave clean spray bottle room . ice machine floor -- - ice bucket Mezzanine level available 24 - hour . bellman bring - up ice ( remember request forward ) . hotel provide ice trough mezzanine level . video library out - of - date 5 - year old movie . room face side brick building noisy . would spend little money next time well accommodation . 
