great 	 staff amazing . the breakfast dinner perfect . save we ton money perfect kid . great location ! 
 Nov 30 2006 	 good stay 	 location great , staff friendly helpful . rooftop pool huge hit kid ( 3 6 ) , exercise room decent well . could go next door Crunch gym free , busy stuff great restaurant nearby time . restaurant nearby include PF Changs , Pizzeria Uno , Rock Bottom brewery , Buca De Beppos , Rainforest cafe , hard rock cafe , cheesecake factory , great Thai place call Star Siam . 's also Jewel / Osco one block west . the room full kitchenette fridge , stove , microwave , sink , toaster , coffee maker , plus utensil dish . room queen bed sofa bed , bite smallish kid . 
 Nov 28 2006 	 wonderful stay ! 	 return home stay Homewood Suites Nov. 23rd-27th . Chicago family reunion . book five room minor complaint . review indicate location excellent ! walk distance major tourist attraction . plus , love close redline Unos Pizza . the customer service exceptional . bellman always extremely friendly willing answer question get cab . specifically would like say thank & quot ; Ryan & quot ; manager making stay personal one remember . the pool nice kid group , spa . the breakfast excellent . morning large variety option , include waffle make . impressed variety quality . our room perfect . living room area large allow we eat socialize together . overall , would HIGHLY recommend Homewood Suites . ( use Entertainment card get great deal . ) 
 Nov 3 2006 	 Location Location Location 	 Real Estate 's 3 word apply . 2 block Mag Mile , 1 block state , 1 block Red Line Grand station . free internet , USA Today , impeccably clean , wonderful view , hot breakfast , great staff . only thing lack carport . 
 Oct 18 2006 	 excellent choice family visit ! 	 everyone else say , location excellent . centrally locate trolley ' l ' , nearby chocolate factory emit heavenly ' fresh - bake - brownie ' smell street surround hotel evening . , lovely day tour city , would arrive back Homewood swoon lovely smell street ( not enter room building ) . none staff know come . say Hershey store , be retail quite way Michigan Ave . to get O'Hare , take cab ( around $ 20 pp share ride ) shuttle ( around $ 16 - 18 pp depend many party round - trip ) take CTA ( Chicago Transit Authority ) blue line train $ 2 pp . train ( go ground ) immune huge traffic backup ride take 45 min get town ' loop ' area . transfer red line Washington , go two stop Grand , get stiar , Homewood block away . from Midway , take orange line Loop area transfer red line above . the free breakfast wonderful . several hot item , change menu daily , usuall cold item , fresh ( ripe ! ) fruit , good family need . at night , order take - out PF Changs . 's right corner . would bring back room , would order movie room lovely quiet evening rain , rest tootsie . recommend salt - and - pepper prawn , name strange taste divine . side spicy green bean . not spicy delicious . happy fridge microwave utensil room reheat leftover . do not bother tv internet service . basically unuseable . bring laptop use free WiFi . Chicago . great town . favorite discovierie , besides hotel : water fountain inside Water Tower Place . humorous ! kid crack watch listen go bloop , bloop . also , Chicago Cultural Center , house inside former Public Library across Millenium Park . wow , mosaic work elaborate TIffany glass dome ! build turn last century , opulence goal , skilled craftsman plentiful , labor cheap , optimism high . come stock market crash war . love mosaic tile work , Washington St entrance one beautiful example word . follow amazing stair way fifth floor Bridge Sighs replica . by mean , everything power see Wicked . terrific show ! forget young one prepare watch Wizard Oz leave , miss many reference . story become quite part culture , be important kid know ! especially be good inside joke get plane return home , take deep sigh say , everyone unison , & quot ; 's Place like Home & quot ; .I certainly return hotel .... make great trip easy ! 
 Sep 18 2006 	 good bit pricey service level 	 stay Homewood suit three night last week good experience overall . minor glitch annoyance , staff go beyond try satisfy . seem staff simply need training ( seem language barrier ) . example : one feature interested Homewood one cook , love . upon arrival , notice pot pan ! also , sponge soap ( liquid dishwasher powder ) clean anything cook . coffee , decaf ( BOO ! ) . corkscrew , wine glass . call desk , since late ( 10 pm ) , opt dine night , ask item question deliver next day . proper coffee lovely pot pan arrive , clean item . also , receive juice glass lieu wine glass . good laugh , feel strongly be pay $ 349 plus taxis per night , staff able distinguish difference juice wine glass . call desk , nice young man arrive red white wine glass sponge , well bottled water cookie ( peace offering ) . charm quickly forgave error . another negative front desk staff housekeeper helpful , gent concierge desk need little prompting . one particular , Hanna , seem resent ask anything . ask , though , guy seem snap hail cab , book tour say , & quot ; welcome back & quot ; , return day out . my room 17th floor gorgeous view Wrigley build sliver - sized peek river . upgrade studio one bedroom without even ask . nice . room spotless bed certainly comfortable hotel ' ve ever stay ! laundry facility 7th floor ( hotel floor 6 - 19 building ) , rooftop deck / pool 19th floor , great view ! guest allow use & quot ; Crunch & quot ; gym downstairs . not partake breakfast offer morning , smell great fellow traveller seem rave . Monday - Thursday evening , & quot ; happy hour & quot ; , food beer / wine free . mexican buffet one evening smell terrific , save appetite dinner . room service provide P.F . Chang 's restaurant corner -- bad deal ( food great ) .I would stay could get well rate . 
 Sep 5 2006 	 must stay ! 	 terrific place , honestly ! room 2 - room suite full kitchen area . separate bedroom area livingroom ( pull - out couch son ) . staff extremely friendly helpful . fact ' ve never see people work hard please . free breakfast dinner buffet include stay nice bonus . huge spread , offer good ! hotel locate & quot ; free & quot ; blue trolley line run year round Navy Pier . red line trolly extremely close . hotel across street Norstroms , block Weber Grill , eat one night . walk Millenium Park one day , another walk back Lincoln Park Zoo . centrally locate hotel , cab fare never overprice choose travel way . come back , 1st choice ! ! ! ! 
 Aug 30 2006 	 great location would stay . 	 stay hotel two adult three child . impressed size suite ( give downtown location ) fact provide real crib pack play . breakfast great surprised dinner also offer week ( gourmet hey , free ) . location can not beat , ( right across street form Nordstrom ) staff helpful hotel clean . would highly recommend . 
 Aug 20 2006 	 great location Good Value 	 wife combine business trip pleasure trip weekend August 18 - 20 , 2006 . air show . this good property term location . across street Nordstrom 's entrance Grand Avenue , easy escalator ride street level . Withine one half block Red Line Subway Stop take see Wicked . also buy transportation card bus . the six floor lobby quiet . street entrance get bit crowded checking in . the free breakfast ok . crowd , take name call table available . nightly light meal offer . like Homewood Suitie Properties good need alot food . within one block grocery store . plenty restereaunt within walk distance . the room clean . one disappointment , rain one night take cab back dinner . employee street level , watch wife try get cab open umbrella get drench . , business weekend good value , large room , good location , easy travel . 
 Aug 15 2006 	 Great Hotel ! ! ! 	 love stay Homewood Suites Chicago . location attraction restaurant perfect . kitchen separate bedroom right family . great hot breakfast every morning right hotel . part family ready breakfast morning to - go container available food could bring back room . evening able enjoy glass wine beer go dinner . eat dinner hotel nice everything need . kid love pool look car pass street . would highly recommend hotel family . 
 Aug 12 2006 	 Homewood Suites - like home 	 time pull curb check , treat like royalty . luggage unload first floor car valet park . check sixth floor . although originally feel $ 35.00 per day steep park , get money back . first , car safe , week , definetly not want self park . the manager 's reception evening ( mon.-thurs ) incredible . & quot ; snack & quot ; consist full course , hot meal . , open , self serve , bar . room restrauant food spend two hour socializing . breakfast even well , possible . Eggs , ham , sausage , bacon , cereal , fresh fruit , danish , yogurt , juice , etc . , serve coffee . need search table , enter dining room , greet staff member assign table . one available , sit parlor sip coffee table ready . Normal wait , less five minute . table clear instant vacate . bed pillow comfortable ever sleep . kitchen stock utensil need cook meal ( incline ) . complete Health Club next store literally hundred peice equipment disposal ( include stay ) . want nothing hotel . stay September . good Homewood Suites stay . 
 Aug 4 2006 	 Great Location 	 Stayed Homewood Suites 3 night 2 adult one child . the staff friendly helpful . hotel clean great location go theatre watch cub ( ) . 1/2 block redline.the hotel full stay . drawback wate elevator ! ! able take advantage free meal . room small be not enough seating . take to - go container room wait 10 minute elevator eat room . overall hotel great great location . 
 Aug 4 2006 	 always stay . 	 Chicago live southern part state 20 year . year want son ( age 9 ) husband see wonderful thing downtown area Chicago offer . stay Homewood Suites terrific . safe area conveniently locate close great restaurant , shopping grocery store . room clean seperate living room fold couch kitchette , give we plenty space enjoy time room also . enjoy great breakfast buffet choice change daily . pleasant surprise evening dinner buffet include beer , wine , salad bar dessert . great way unwind day . food good buffet could get go box want eat room . staff freindly observe attentive answer question guest . ESPN zone downstairs around corner . ball play video arcade game . cool place family also hang . shuttle Navy Pier corner . also trouble catch cab directly frount hotel . hit museum include King Tut exhibit cost cab ride hotel never exceed $ 9.00 . pool 19th floor beautiful view city . one neat thing family come meet us dinner downtown could beleive great location benefit hotel offer . hotel get thumbs us town guest Chicagoans also . girlfiend plan holiday shopping trip deffinately stay . 
 Jul 30 2006 	 great stay great location ! 	 stay Homewood Suites Downtown Chicago 3 night inearly July 2006 . almost everything stay positive . arrive early room ready yet , luggagestorage , store luggage head day . roomwa ready return check - in easy . bedroom avery comfortable bed , although pull - out sofa bed ascomfortable . bathroom nice large , although anon - slip mat put inside tub . fridge nice thatwe could store drink snack . breakfast morning good lot food . Eggs , corn beef hash , sausage bacon , waffle , fresh fruit , bagelsand yogurt . need go breakfast . onlydownside breakfast room bite small thehotel guest , sometimes short wait get seat atable . the staff knowledgeable area provide we goodsuggestion dinner ( Weber Grill restaurant Rock BottomBrewery close really good ) .The unpleasant thing stay noise come thefloor room . 16th floor corner room andthere may boiler room utility room we therewas bang noise like thunder we almost time . wethought ask room change , not room longenough get really annoying . check - out simple since flight later night , westore luggage day spend last day thecity . overall , would highly recommend hotel anyone . be one blockfrom Michigan Avenue close shopping , restaurant , trolley & amp ; busstop El . would definitely stay . 
 Jul 26 2006 	 Perfect Location Shopping ! 	 great hotel shopping . clean . food good . location great , subway hop 1/2 block away . 
 Jul 11 2006 	 Fabulous 	 hotel one good ever stay . staff incredible . bent backwards help we . everything spotless . can not say enough great hot breakfast . many choice ... everything delicious . & quot ; Welcome home & quot ; reception evening enough make dinner . pool warm , clean beautiful view . top , wireless internet service include free . hotel area charge much $ 16 day . planning trip near miracle mile , place stay . 
 Jul 10 2006 	 Great Location Good Hotel 	 stay anytime goto Chicago . 's good hotel ' ve ever stay pretty decent . suite 3 kid , great location large room love . great breakfast ' ve always clean comfortable room without issue . 
 Jun 24 2006 	 excellent hotel - major complaint . 	 Homewood Suites Hilton all - suites property locate near - perfect location , tuck away retail area couple block away Michigan Ave . 's grand entrance , small entryway hold elevator go lobby ( 6th floor ; room floor 7 - 19 , lead reduction street noise ) , brochure odd end . the lobby area actually quite lovely , & quot ; lodge & quot ; -like feeling not come impersonal force ( word , not feel like generic , chain attempt lodge feel . ) 's cozy , plush couch lobby area free coffee / tea available wait . reception desk end lobby hold two three check - in desk . little surprised , fairly quiet day , imagine , check - in counter , fairly decent line time . check - in pleasant uneventful ( wait minute , understandable , 'd convention town wrap night ) , although check - in time bit dismaying - rather late 4pm.for room . the room assign right elevator , not complain , have pay less half $ 200 - a - night price luckily find hotel Hotwire . couple instance elevator opening could hear , truly minor really could not even hear tv on . the room quite nice , 1 bedroom room offer large , open kitchen area , living room couch / chair TV , bedroom w / additional tv , dress area w / sink finally , additional small area w / toilet shower . kitchen area fully stock , dish pot silverware . be also dishwasher , microwave , oven , frig , plenty cabinet space small dining room table . refrigerator ice maker freezer , not wander hall . 's also coffee machine . as refrigerator , 's Jewel grocery store State St. block hotel ( half block north corner State / Grand , west side St. ) additionally , thing not jam together - 's quite bit space kitchen area living room area . not try high - speed internet , sign note complimentary outlet right next dining room table / desk . the tv offer plenty channel usual assortment pay - per - view movie . Shower offer 4 different setting bathroom area clean generally well - maintain . toilet tad noisy w / the tank refill , otherwise everything fine . overall , room fresh new . refrigerator spotless inside entire kitchen area look crisp clean . aside appear small drink spill stain rug barely noticable , room seem worn way . hotel build 1999 , 7 year seem much , look even little fresher that . the room not offer much view ( pretty , nothing astonishing ) , give location , not think room build go offer great view , although high up may better . be definitely go look brick wall , think 's generally look across nearby building , well view surround area . pool area top floor quite pretty - giant pool , nice enough one provide pretty nice view surround area . also mid - sized fitness room floor , well . small laundry room 7th floor . 's small gift shop area next reservation desk . Homewood also offer breakfast every morning 7 - 10 ; be nice selection egg , meat , bread , pastry , cereal , juice , pop ( Diet Coke part balanced breakfast , least accord ) . really surprised extent area - dining area quite large quite lovely ; be quite bit seating not feel be cram in . additionally , hotel serve dinner reception Monday - Thursday . not try Friday , impressed wide variety option offer ( be different kind food day , note calendar refrigerator room . ) not want hotel 's lot kid run around loud unsupervised probably go find . family - friendly , way hotel set - up not allow lot run - around room ' m guess family opt either nearby Embassy Suites property . like stay Marriott Residence Inn ( another all - suites property downtown ) bit North hotel ( Residence Water Tower Mall ) , hotel seem much fresher modern offer . that say , really like hotel great deal . 's keep well , comfortable , nice staff , big room terrific location close Michigan Ave . without right . be also subway block away State / Grand . definitely good choice family traveler look additional amenity ( kitchen , breakfast ) space . 
 Jun 10 2006 	 Perfect hotel ! 	 third trip Chicago finally find perfect hotel ! location excellent , walk distance many sight great shopping . abundant restaurant choice within block . GlobalComm conference shuttle bus McCormick Place pick we everyday right around corner . would advise valet parking . rate expensive , car necessary anyway . room one small suite , cozy well - appoint . cleanliness impeccable . staff friendly , efficient , helpful . convenient full kitchen , complete dish , utensil , etc . housekeeping even empty icemaker check - in , get fresh ice . housekeeping load run dishwasher everyday . fresh linen towel give everyday . king bed comfortable fit sheet ! hotel bed flat sheet pet peeve mine . towel thick soft . nice pool top floor great view . 11th floor overlook Nordstroms . leave curtain open night light surround tall building make nice nightlight . free hot breakfast phenominal ... egg , bacon , waffle , potato , sort pastry , fruit , etc . great get take - out tray eat comfort room . not try evening manager 's reception , endeavor next time . wireless internet work great Mac laptop . disappoint one help luggage arrive , make way , watch airport shuttle handling baggage we . recommend Cosi Restaurant across street lunch . Mary 's Cafe Grand Ave side Michigan good not want hotel breakfast . Buca 's italian Restaurant corner excellent , inexpensive , friendly . overall , could not find well place stay . 
 Jun 8 2006 	 good location wonderful breakfast 	 Stayed Thu / Fri business conference . great location - lot restaurant shop within easy walk . hard find driving - sign big . Valet parking deal - $ 1 / day parking - definitely worth it . carpeting room bit shabby , bed excellent everything seem clean . use kitchen except keep drink cold , everything appear good shape . I try evening meal ( available Thu ) , eat breakfast morning nice . could make waffle , plus cereal , pastry , sausage , egg , corn beef hash one morning , etc . also fruit , juice , toast , yogurt , potato , etc , etc . nicest include breakfast ' ve while . staff friendly , room quiet good drape block city light . be look something area , would definitely stay . 
 May 29 2006 	 Love Homewood Suites 	 stay Homewood Suites May 26 May 27,2006 absolutely love . location close everything want , bed fantastic , staff extremely accomadate price comparable hotel nearby . pay $ 199 / Night . convenient kitchenette disposal . go nearby store ( White Hen ) buy snack , milk , Pop , etc refridgerator microwave fingertip . big surprise free breakfast morning . tell we buffet breakfast , think cereal donut . pleasantly surprised find full breakfast egg , potato , ham , biscuit gravy , juice , cereal , everything could possibly want .... suite pleasant impeccably clean . definately stay . 
 May 26 2006 	 Yuck ! 	 Dad book we hotel chicago , let love use internet save money . time , arrive dirty , tiny , almost fall apart suite week . pay $ 350/ night stupid waste money , sheet old crusty blanket come apart . kitchen old moldy . hate it . good luck ! 
 May 12 2006 	 Reliable Hilton - Brand Lodging 	 stay business May 4 . also scout family trip August nicest three suite type hotel visit . Hilton quality control evident staff appearance behavior , clean comfortable room , create overall good feeling hotel . living room little tight suite ( sofa bed fold would tv screen , room narrow ) . Kitchenette nice touch bedroom bath nice . not avail breakfast evening food / drink nice touch also . rate vary : pay $ 245 Thursday business stay book room $ 170 Wed - Sun stay August family , check different date , AAA discount , etc . get good rate . hotel next train station sightseeing . 
 May 7 2006 	 great affordable hotel especially conference stay 	 recently spend three night ( four , airline problem ) please quality stay especially kindness everyone encounter . although room not ready check , give bottle wine treat well . happen know hotel fully book due huge conference think hotel staff handle well . breakfast full , hot breakfast good . not take advantage free dinner , etc . room clean good shape . sufficient stay comfortable . not high - end sophisticated romantic luxury stuff ...... great shopping business trip . location terrific . 
 May 1 2006 	 real gem shop good rate 	 quite find Chicago . good location ( across street Nordstroms ) , hot breakfast include clean & amp ; quiet . place full family travel school group never hear noise . place intimate rendezvous ! amazing rate January - go stay April triple price . 
 Apr 28 2006 	 good value nice location 	 family four stay three night satisfy overall . good location town walk distance Michigan Avenue shop , John Hancock Building , Navy Pier , free trolley public transportation . room public area clean nice decor great view . slightly less expensive area hotel , free breakfast make even well value . food weekday & quot ; dinner & quot ; mediocre , enjoy free beer soda chip time . free high speed internet access work well , complimentary admission Crunch Fitness next door ( include class ) ice cake . room small side even though large 1 BR suite . enough storage group four ( one three - drawer dresser closet 10 hanger ) . kid enjoy pool top floor - great view . real complaint - bag hold check sightseeing , assure would place secured area . return hour later , behind bellman 's stand first floor entrance area - exactly would consider secure consider open public always attend . fortunately , nothing steal laptop one suitcase . 
 Mar 8 2006 	 great stay 	 clean room , great breakfast , friendly staff , great location , nice pool ( bit small 's pool ) would recommend hotel anyone . 
 Jan 1 2006 	 Pool Hot Breakfast make hotel stand ! 	 hotel pretty good value . king bed bedroom , large bathroom , live room / kitchen pull - out sleep sofa actually comfortable . kid love cookie , bottled water , popcorn give guest . location excellent . bloomingdale , Nordstrom , ESPN Zone , several great restaurant within block . free trolley run Navy Pier . drawback mention early . use VALET parking ! ! ! thing put storage compartment scatter floor van . forunately not leave anything value van not notice anything miss yet . 
 Dec 15 2005 	 good value downtown 	 Stayed Homewood suite weekend ( Nov 11 ) fine . good location , good condition , clean large room , nice kitchen separate room . complaint . would stay anytime . 
 Nov 14 2005 	 Best Overall Value without major sacrifice 	 good value dollar downtown hotel , be come pickey , critical frugal traveler . try stay whenever ' m Chicago - research ton place . good : 1.prior check request corner room ' X18 ' ' 18 's ' corner . check smooth room not would request . call desk change room right away without hastle . 2 great view downtown light quiet 2 . room clean arrival , clean properly daily ( leave small coin around see good cleaning crew ) , linen change daily ( put little & quot ; x 's & quot ; corner - tell pickey ) .3.New soap daily too.4 large refrigerator ice leftover . 5 . staff friendly willing help direction suggestion buy thing wine restaurant take . 6 . location great - could walk everywhere downtown , convention center 7 . breakfast provide really nice include everything - egg , cereal , yogert , fruit , juice , bread / roll / bagel / etc . , coffee , skim milk , tea , etc . banana , orange , apple could take ( lunch ) .You could even get take plate fill breakfast want take back room ! 8.the afternoon / early evening food include beer / wine / soda + snack + light dinner , like baked potato choice multiple topping example . could really altogether avoid restaurant want . 9 . elevator work fine . downside - well,1 . bathroom tile travertine marble 's phone side toilet 2 . shower head 7 ' high rotate pulser not work well setting 3 . bedroom small - could stand bed reach 3 4 wall . 4 . sit area couch , chair , coffee table , tv stand , write desk chair small side 5 . decoration silk ivy plant taste . none negative egregious book . 
 Oct 30 2005 	 beware valet service 	 stay 2 days/3night park car valet service . nice hotel came get car watch miss . manager , well 1 5 , try help other inconsiderate . say nothing could except file complaint . 2 month later still nothing . one never go back hotel . disappointing valet service would steal precious belonging . 
 Oct 10 2005 	 nice downtown hotel 	 Homewood excellent choice go stay downtown Chicago . hotel expensive city , get lot money . suite spacious , full kitchen , desk , couch , television entry room , separate bedroom large attached bathroom . other mention , lobby hotel actually sixth floor , friendly valet direct . since room upper floor , kind view city every room . serve light & quot ; dinner & quot ; evening , hot breakfast buffet morning egg , biscuit gravy , bacon , sausage , etc . unlike free hotel breakfast , server bring coffee ! location quite good , train stop right across street . homewood right one main shopping district Chicago well , Nordstrom directly across street many store restaurant within short walking distance . not necessarily feel & quot ; five - star & quot ; hotel , experience representative , expect nice stay reasonable value . 
 Sep 20 2005 	 good location family orientation 	 be visit Chicago family , perfect place stay . will room spread many Chicago attraction within walking distance . entrance hard spot street cramp . 's lobby , spacious welcoming , actually second floor . two elevator , usually crowded number family stay . get adjoining suit two - bedroom accomodation available . ( seem unusual we . ) however , hotel helpful making sure suite next , quite accomplishment Labor Day weekend . will couple block free trolley - great way get loop - Pizzaria Uno right across street . put name , go back relax , show pizza hour half later . everything , include lodge , expensive Chicago worth . 
 Aug 29 2005 	 great deal location family 	 stay husband 2 child ( 4 1 ) 2 night recently . perfect location , close free trolley regular bus line , couple block Michigan Ave , right middle downtown area . the kitchen area great - full size fridge , oven , microwave dishwasher . problem noise , living room area big enough pull sofa bed 4 year old set pack - n - play 1 year old problem . free breakfast good -- several option , egg , french toast , potato , several cold danish / doughnut selection , cereal , fruit , etc . not trouble either morning get table , other say , also get takeout container take back room . would definitely recommend hotel family anyone look good deal hotel heart downtown . definitely stay return Chicago . 
 Jul 23 2005 	 home ( wood ) away home 	 reservation Hilton Garden Inn July 4 weekend due flight delay move Homewood Suites . room good size , clean super quiet . staff courteous helpful . location perfect . able walk everywhere want go , include Grant Park , Museums , Navy Pier , shopping , restaurant . the price reasonable include breakfast buffet morning . Sunday wait quite long table provide carry container enjoy suite . elevator wait could long large group check . choose take stair ( 19th floor ) rather wait . great view room . 
 Jul 21 2005 	 great stay Homewood 	 husband stay Homewood Suites Mon - Wed 2nd week July . location superb . free breakfast hit spot morning , even to - go box bring back room . fridge , microwave , dishwasher stove make & quot ; homey & quot ; we . pop popcorn one evening ( complimentary ) . $ 35 day park drawback . would definitely go back . 
 Jul 9 2005 	 ` ` 5 Star '' book ! ! ! 	 absolutely nothing complain . location # 1 . talk convenience . Trolley Pier right outside door . O'Hare get red line , go step hotel right . Shopping Mich Ave step away . facility new pristine . suite 17th floor . large , spacious spotless gorgeous view Wrigley Building Chicago River . furniture brocade carpet beautifully carve . never hear hotel offer full hot breakfast everything imagine , full dinner evening ( Mon - Thur ) include beer , wine , dessert . pool large olympic size lap pool ample towel bowl fruit everywhere . build upscale outside doorman bellman . free internet service suite quiet feel like soundproof room A / c almost silent work well . ask . People find fault hotel get head examine facility flawless . always come stay Downtown Chicago . service excellent front desk extremely respectful friendly . work hospitality industry wish encounter pleasant Homewood Suites . well run ! thank 
 Jul 5 2005 	 Good Hotel Problems 	 stay Homewood Suites one week late June / early July 2005 , price $ 149 . per night . all - suite hotel excellent location two block Michigan Ave . two block subway stop . shop restuarant choice within easy walk distance . hotel occupy 6th-19th . floor , strongly recommend ask room floor 15 - 19 view well noise reduction height . ( get stuck suite 706 708 . room adjacent hotel 's one coin - op laundry room guest . way , washer dryer work well ! ) homewood offer good hot breakfast buffet , get crowded time . suite include full - size refrigerator mike separate kitchen area . shallow pool 19th floor also nice - area stunning view Loop . room air conditioning also work well rather quiet . problem hotel stay include : long wait two elevator ; minor problem maid service ; stain rapidly age carpet furniture . also , mattress , pillow bed linen subpar - even old budget hotel . please aware thateach & quot ; suite & quot ; large enough comfortably accomodate 2 - 4 person . able get good deal hotel - many empty room stay . business seem largely depend tour group conventioneer . recommend - reservation - budget . 
 Jul 5 2005 	 excellent stay Homewood Chicago 	 visit Chicago last week June 2005 , decide extend stay couple day . Hilton full due July 4 weekend crowd , registration clerk Hilton suggest book Homewood suite . excellent find we . two room suite kitchenette . bed BIG comfortable , lobby nice service excellent , even though hotel full . pool really nice also- glass enclose nineteenth floor excellent view . Breakfast include . excellent rate $ 189 , think weekend rate . think real great stay , especially travel kid want space hotel room provide . 
 Jul 5 2005 	 great location / ok hotel 	 stay Homewood Suites 3 night 4th July weekend . location hotel excelllent . two block Michigan Avenue . subway ( red line ) one block west . room size ok . configuration room great . access bathroom main bedroom good setup family . Embassy Suites stay bathroom separate entrance well setup . kind problem water system hotel . noisy ( loud clunk bang ) guest use shower bathroom . wonderful folk next door use shower 3:30am . hotel pretty busy long wait elevator occasion . great Crunch gym next door free hotel guest . pool hotel nice . overall ok stay definitely could well . 
 Jun 2 2005 	 Great Place Families 	 hotel great family , especially young kid , especially budget , has:1 . nice swimming pool . # 1 kid satisfaction list.2 . free , full breakfast seven day per week variety hot cold foods.3 . Free & quot ; business reception & quot ; Mon - Thurs evening . really mean free , hot buffet supper ( choice limited , sometimes less tasty breakfast ) .4 . full kitchen room microwave , stove , dishwasher , sink real ( empty ! mini - bar ! ) refrigerator . 5 . nice city grocery store ( Osco / Jewel ) two block away stock kitchen ( want ) . 6 . separate bedroom mom dad . pull mattress fold - out couch & quot ; living room & quot ; put floor . two young kid enjoy & quot ; camping , & quot ; everyone get good night 's sleep , not go bed time get time . 7 . great location : two block west Michigan Ave shopping bus service , one - two block south & quot ; Restaurant Row , & quot ; one block north east - west bus Navy pier.8 . free wireless internet access.9 . small workout room hotel , plus free access large workout facility ( & quot ; Crunch & quot ; ) next door ( get away kid swim parent . ) 10 . nice , basic clean room . pay room rate ( $ 200 ) garage fee ( $ 35 ) , cost totally control : eat hotel food , eat food , eat cheap eat well . use car , take bus , take cab , take train , ride boat . free breakfast , get kid , go , fed museum bus 10 am . the Homewood Suites & quot ; home away home , & quot ; 's place honeymoon ( kitchen ! get real ! ) romantic getaway place cater every whim . bring guidebook computer homework . recommendation : get CTA Visitor Transit Pass ( 2 , 3 5 - day ) Marriott Hotel gift shop next door . get transit map print one computer . have Lincoln Park Zoo day : take bus 146 Michigan Ave . Lincoln Park Zoo . walk zoo , farm , Conservatory Cuthbaert Nature Museum ( butterfly room ) . go nice playground across street one block south main entrance zoo wear kid good night 's sleep . the Wendella Tours boat dock four block hotel Michigan Ave . meet river . 
 Apr 25 2005 	 Great Price Location 	 wife , 2.5 year old son travel Chicago vacation 4/14 - 4/21/05 stay seven day Homewood Suites . perfect we . like suite stay ( i.e . Residence Inn , Hawthorne Suites , etc . ) suite small kitchen , living room bedroom . son stay living room sofa - sleeper wife stay room . private work great . room good view river River North . location great , close Michigan Ave shop well various restaurant , include Joe 's Steak Crab , Pizzeria Uno , ESPN Zone , etc . red line ( i.e . subway & quot ; L & quot ; ) block away . moreover , great thing hotel provide breakfast 7 day week M - Th dinner well . good thing aspect provide take box want bring food room ! convenient something never receive either Hawthorne Suites Residence Inn . would wake go bring food wife son continue rest . please note although staff generally nice attempt helpful , Four season not expect . example , staff make reservation restaurant , give phone number . , price ( $ 139 / not , discount stay least 7 night ) , not big deal anyway . telephone system work well , . charge dialing number particular area code ( i.e . within loop ) . visit Chicago , would definitely stay recommend Homewood Suites . also , would recommend take subway O'Hare hotel . would take blue line ( entrance right baggage area , fly AA ) transfer red line , believe , Washington , go North , two stop later get walk hotel block . issue young child , little bit walk go stair long tunnel back stairs transfer , $ 1.75 person ( verses $ 35 taxi ) can not beat price ! also subway fun kid . careful various individual travel subway , like big city . watch bag , wallet , etc . as get around city , overall , realize Chicago convenient city get around . actually fairly confusing . subway not really go near many museum . bus seem bit convenient , system bit confusing . Taxi apparently one big way travel , cost issue . find walk fun rather enjoyable , albeit tiring , nice way get familiar city . restaurant , would recommend Joe 's Steak Crab . good food , nice service . waiter Scott treat we well . also eat Morton 's believe Joe 's far well steak place price little well . pizza 's personally like Pizzeria Uno , convenient location . prepare wait table pizza hour . wife like Lou Minati ( sp ? ) . not particularly like Gino 's East much . pizza price $ 5 . museum , get city pass actually go 6 destination . good museum kids Museum Industry Science . get , take Metra $ 2.05 . would walk Michigan Ave Metra station right across Cultural Center get ticket . remember Metra similar Amtrak certain time train come . like subway . wait 45 minute get one train . drop .5 mile Museum ( recall actual Avenue take ... 59th ? ) nice short walk . museum great kid enjoy train , airplane , etc . son love train incredible toy train system go well two train within museum . could spend number hour museum plan accordingly . museum particularly like Adler Planetarium , rather boring . aquarium nice kid well . would say probably comparable Monterey Bay Aquarium . dolphin show okay . Field Museum okay . probably well old kid . surprised see dinosaur exhibit okay . Sue nice see ( t - rex ) , , not much else way dinosaur . feel , however , field well Natural History Museum New York . actual exhibit seem date NHM New York . Art Institute really kid . go son well , get bore pretty quickly . Hancock Observatory nice well . date go museum , line great time overall . as thing see , would recommend Wrigley Field tour , neat inside look stadium . get check locker room , dugout , field , press box , bleacher , etc . also take Wendela cruise line take onto lake Chicago River great . cost 90 minute tour 60 minute tour take onto Lake Michigan . would recommend . cost $ 19 person . another great place take time Lincoln Zoo . be actually nice well keep zoo also free ! quite honest , ' ve San Diego Zoo number time , although sd Zoo much large , actually prefer Lincoln Zoo . size huge , atmosphere actually nice pretty kid friendly . get Lincoln Park , however , bit difficult , would recommend bus . subway go nowhere near location . could walk , pretty difficult trek River North . one thing note travel kid , child seat apparently require . plan taxi renting car , keep mind . be one reason walk lot take bus subway . seven day good amount time Chicago . another 2 - 3 day would chance take look Oak Park ( home one Frank Lloyd Wright home ) , college ( i.e . Northwestern U C ) , take trip either Wisconsin Indiana . fact , Lincoln Museum apparently open , Springfield probably good 3 - 4 hour away car . hope help . 
 Mar 8 2005 	 Excellent Hotel 	 husband truly please stay Homewood Suites Downtown Chicago . great location problem find way around area . get great rate quite fitting amenity service provide . staff friendly helpful joy interact . room quite cozy comfortable great veiw city room window . ever Chicago area surely look Homewood Suites first choice . 
