impressive 	 stay girlfriend / now fiancee ( propose London ! ! ) 2 night November 09 , receprion area walk stunning check - in efficient ( I ve lot place one smooth ...... trust ) . room great , bed huge everything clean , also huge tv room system could play mp3 player . gym small adequate , pool area / gym / sauna / steam room great really easy find huge hotel ! location absolutely brilliant tube station 30 second away 10 min oxford street , definitely back ! ! ! ! 
 perfect hotel location 	 stay week may deligte stay . book n / s family room 2 double bed hard find london . room assign corner room large many stay north american cite . room bathroom clean bed incredibly comfortable . hilton always brand one trust . already recommend hotel family friend due easy acce tube short walk oxford street . well excellent coffee shop , supermarket restaurant doorstep . definitely stay future staff could helpful interested making stay memorable . congratulation staff superbly manage run property expertise . 
 may 24 2008 	 avoid 	 large hotel huge number coach tour stay . hotel 23 story tower old , slow small lift totally inadequate hotel , expect long delay get room . the price reflect quality room - pay lot badly maintain room clean room . the breakfast facility enough hotel size , cope large group coach tourist want breakfast time . stay different hotel ! 
 May 21 2008 	 could not get taxi 	 Booked weekend break parent celebrate dad birthday ..... theatre ticket could not get taxi hotel get tube .... miss start Phantom . the staff pleasent hotel busy . take long check out . queue everything include meal . 
 may 20 2008 	 Closet size room 	 recently stray foe 3 night hotel , part group basically option choose different hotel , give room main building size big closet . king size bed hard billiard table barely fit inside room . bathroom small ' stretch arm without touch wall . also location good tourist , want walk place interest 25 block away . entire surround neighborhood middle eastern decent restaurant shop area . 4th time London would definitely never stay . 
 may 19 2008 	 big Busy Good Service 	 book short weekend break Metropole . several Hiltons London choose one family room consist two double bed , ideal three we . hotel , british standard , huge thousand room . make busy lobby public area . quite number bus tour use hotel London base . hotel 's employee polite pleasant despite put lot hard work certainly contribute stay . the hotel reasonably well situate underground station literally doorstep though central . Oxford Street fifteen minute walk away , Hyde Park . London landmark afield easily accessible public transport . immediate locale Edgware Road appear London 's lebanese quarter short stroll take past numerous restaurant many client sit outside smoke hookah pipe . room West Wing , good size perfectly adequate . view not much sound busy road outside penetrate window . bathroom fairly basic well stock La Source toiletry room usual trapping hotel standard . tv UK 's five terrestrial channel , couple news channel foreign language stuff . Sky Sports available , presumably due cost . bed fine though not overly generous number pillow offer . not normally avail hotel 's restaurant except breakfast trip need feeding hurry day . Nippon Tuk restaurant situate top tower block afford great view central London . food good well . asian fusion style , well present good quality . also rather pricey . main restaurant lobby offer general menu less cost . pretty good well service bit stretch busy time . breakfast full english buffet always get day good start . Saturday overflow room ( king Suite ) open breakfast main restaurant get somewhat overwhelmed everyone turn time . two bar , general one lobby sport bar next restaurant . other nice touch include ice machine floor . Common US , european hotel seem slow offer useful service . however , want soft drink drop ice either get pay fortune get mini bar nip road nearby supermarket . good ' extra ' extended check - out , useful us evening flight catch . overall reasonably impressed Metropole . not luxury accommodation provide want , London 's standard , reasonable price . 
 May 19 2008 	 Loved Metropole 	 husband , 2 child age 10 7 love hotel . arrive early , give room straight away . book bed breakfast option evening meal first night . evening meal disappointing , kid meal lovely . breakfast amazing . load choice lovely clean . husband child 6 go pool ! normally wake kid ! 7 year old cry leave . usually go Florida holiday , want stay Hilton ! London busy hectic , lovely come back nice room . second day , cleaner put new product bathroom . room small everything , not much choice t.v . , complaint , find hotel money well spend , husband intend go back soon ! 
 May 17 2008 	 good deal ! 	 book hotel call HIlton Hotels give airline staff rate $ 215 plus tax ( ' m employee major airline Hilton give we kind discount ) . find room bit small , everything look pretty new carpet tv . barely room weather beautiful , turn tv go theater night barely channel . would big complaint . my mom Hilton Honors give we free breakfast . breakfast buffet wonderful ! also order Fish Chips late night Room Service . pricy tasty ! indoor pool gym well equip . good workout . the hotel conveniently locate near 2 tube station . also Mark 's Spencer across street want grab food go . we find staff accomodate nice . overall pretty decent mother get gobs Hilton point stay . 
 May 7 2008 	 hideously Unfriendly 	 stay Mum day whilst shop . experience strange . unfriendly sterile , ok business not mind rush overlook would stay family / friend . food fantastic , make lack service . room comfortable , spacious clean , bit basic . 
 May 4 2008 	 Hmmm experience good . 	 read review hotel surprised . husband , daughter stay 8 night last week please hotel . not Ritz , not pay Ritz price . room 11th floor West Wing . arrive little early give we room right away , could unpack enjoy rest day London . room much nicer expect . real problem people unnecessarily loud . always amazed inconsideration people hotel nothing hotel . People noisy 2 3 morning loud early morning . think breakfast nice , although find food London mediocre good . guess spoil Americans . husband enjoy atmosphere lobby . People seem enjoy comfortable furniture hanging . not high end luxury , certainly nice 3 * . 
 May 2 2008 	 Good Standard 	 stay one night business . stay 11th floor West Wing impressed room . bathroom extremely clean , bed comfy proper iron board iron greatly appreciate . the entrance well keep always plenty staff around query . not sample food restaurant , always look busy . central location , £ 4.50 taxi Paddington Train Station . 
 Apr 30 2008 	 ask 10th floor high ! 	 seem pay mentioning study Tripadvisor checking ! book Metropole web three night April . bit horrified review photo make previous guest mention deal young man check . ask hold minute offer we upgrade 20th floor , overlook town . room view fantastic ! skip breakfast queue long . one night treat us cocktail bar top floor . drink good view stunning . sadly atmosphere right cause bartender treat guest like intruder . everything else make we feel welcome certainly come back ! 
 Apr 24 2008 	 Nice Central Hotel lot room ! 	 stay fault , walk distance Oxford Street . hotel huge get lose . room large , clean comfortable hotel offer good rate . would recommene hotel would stay . 
 Apr 20 2008 	 P. U . ( literally ) 	 ' ve stay hotel several time period last 4 year , get bad every time . hotel divide three wing ... East , West , Tower . East West wing relatively new , large room recent update . Tower wing avoid cost . Rooms Tower almost overcome mold mildew , bath , around air conditioning unit ( rarely work ) , window wall . recent trip , mold severe actually develop respiratory problem time check . flatly deny change room front desk staff seem unable unwilling assist . write hotel management twice , yet receive response . 
 Apr 8 2008 	 get pay 	 stay hotel 3 night , April 1 3rd , 2008 . read previous review hotel , leery staying . business companion book standard twin room , GBP 129 / night , mine GBP 154 / night , include breakfast morning plus dinner one night . get hotel first , tell room indeed tiny , could barely move around room since furniture fill . call & quot ; cozy & quot ; fact , everything need , although say room service guy difficulty get around room order put breakfast tray . compare dorm room . unwilling stay & quot ; cozy & quot ; room , immediately upgrade executive king , additional GBP 50 / night , base read , ask room either East West Wing . give room East Wing , well worth extra $ 100 / night large room , great view City London Eye . room nice , clean , shower bathtub . street noise could bothersome , face , be big city , big city noise . agree prior poster breakfast , certainly not worth $ 30 . get coffee croissant coffee bar lobby , even well , go across street Marks Spencer . I not like pay extra order get decent room . 
 Apr 5 2008 	 avoid hotel 	 avoid hotel cost . stay 2005 Globus tour . hotel room could see flower pile across street tube station terrorist - relate subway bombing occur . first hotel room put window would lock . take long time switch another room . needless say , hotel timing tour London , awful trip . I return 10 day London ( 3/08 ) wonderful experience . London not bad Hilton Metropole make think . go London , stay elsewhere . would stay Metropole offer cost . Globus , need establish another London location . 
 Apr 5 2008 	 good stay 	 travel extensively business - having stay 200 hotel / resort last 20 year . , relatively unimpressed top - notch hotel since encounter problem top hotel discount hotel . expectation hotel ( matter rank ) stay there . we stay 3 week hotel . family 4 , several criterion : -reasonable price London ( hard get since London rank one expensive city world ) -cleanliness - definitely , clean roon , 2 double bed , clean bathroom - service every day - we stay newly refurburbishe wing , room overlook canal - safe - which work - food - we buy breakfast Marks Spencer , Costa , Starbucks : lunch take outing - buy & amp ; S - do find area seedy - just ethnic - close Edgware stn paddington , bus - so travel exclusively public transportwell - suit we would return . 
 Apr 1 2008 	 Easter Weekend 	 recently stay hotel Easter weekend . would agree previous review close proximity tube station give great access London . although engineering work problem catch bus various attraction . the room good size extremely clean . breakfast morning & quot ; overflow & quot ; sit third floor opt rather restaurant problem get table straight away . as mention previous review , last day ( raining ) notice quite strong smell sewage foyer would one negative point . overall great deal pricewise 5 room Easter weekend . 
 Mar 30 2008 	 Nice Stay 	 family spend week hotel family vacation kid ' Easter Break . price fairly reasonable , not expect & quot ; bargain & quot ; Great Britain give current state U.S. dollar . arrive hotel early morning overnight flight U.S. , pleased able check room immediately . staff polite courteous . concierge desk helpful , though seem slightly understaffed morning hour many guest need assistance . sport bar hotel lack quality service ( staff seem ignore patron sit table ) limit T.V . view option ; food good , however . principal hotel restaurant ground floor offer good service quality food . room decent size . bathroom roomy enough , though one electrical outlet ( supposedly shaver use ) . shower one room seem never produce anything beyond lukewarm water , though shower room problem . T.V . room small definitely old , offer basically 9 programming channel ( 2 english language base ) . room internet access available cheap . room service fail clean one room one day . lot hallway noice , street noise seem constant ( especially police / ambulance vehicle ) .being locate near Edgware Road Paddington tube station big plus . area surround hotel definite middle Eastern flavor . experience personal safety issue move , even night . not mind walk , certainly plenty see general vicinity well . 
 Mar 27 2008 	 good transportation access 	 arrive Easter Sunday . find access multiple tube line holiday weekend major advantage . hotel front door block half two Edgeware Rd station . one give accesss Hammersmith City line Circle line provide access Bakerloo line . track maintenance often take place weekend especially holiday weekend . Sunday Easter Monday Circle Line service Hammersmith City limited service . access station convenient . also , travel 2 daughter . great decent sized room nice view . would skip breakfast deal weekend , line every . skip walk local coffee shop , save money time . likely cheap room available London seem reliable source clean , nice sized room good location . grant , much close walk distance term eat establishment Oxford St. far . 
 Mar 25 2008 	 get nice upgrade 	 spend Easter Saturday hotel go see Mamma Mai ( great fun show ) afternoon . I get fantastic deal Hilton 's web site £ 106 B & amp ; b downside pay upfront . we book midday Hilton Honours desk , get upgrade executive room , nice indeed , quiet large London base hotel , comfortable king bed , 2 comfortable chair watch tv , nice bathroom include walk shower . nice indeed . we accsess executive lounge , go drink , cake , cookie fruit , around tea time finger sandwich cake . 6p.m 7.30 p.m lovely selection nibble filo wrap prawn , little pizza , dip , vegiterian strudle , mini rumbaba , sandwich smoke salmon ham cream cheese , fantastic cheese platter , wine , spirit . could see people dinner there . we dinner Fiamma Restaurant nice , special price want either help salad bar begin follow main course Main Course selection after buffet £ 18.50 per person . Breakfast Easter Sunday busy fantastic much large normal Hilton breakfast , include waffle pancake . if need accomadation London definatly return . 
 Mar 22 2008 	 great stay - high price 	 travel UK , need place spend last night London , opt stay relatively near Paddington Station could take Heathrow Express airport next morning . hotel 2 block Edgware Rd London Underground station arrive Liverpool St 's Network Rail station . check quick easy , get desk clerk confirm elevator west end build near convention center bit challenge . perhaps start work day , take tour premise . the room great . late booking leave choice , take executive queen room . include two comfortable bed , nice well light bathroom , pant press , safe , iron board . television behind time , selection channel limit . the desk internet 15 GBP per night . ridiculously overprice , connection solid . next time UK , think will buy TMobile broadband dongle pay even though country . I skip restaurant , cross street Marks Spencer buy yogurt fruit since try avoid calorie price restaurant meal . the room come $ 395 usd , bit pricey , location convenient since weather pleasant , next morning walk Praed St Paddington . 
 Mar 18 2008 	 Mediocre 	 switch hotel stay Hilton Waldorf day think terribly over - price deserve Waldorf aura . place issue well . ask quiet room canal side assign room look directly build . refuse room , give room city side turn noisy could hardly sleep night . hear sirens night , especially weekend bad , hear bus idle corner night . get tired complaining point , not want pack yet . besides front desk always mob people seem junior unable really take care customer . ' m Hilton Honors member book executive room . honor . pool fitness room ( cramp window ) close 7:30 weekend - , whose convenience ? certainly guest - hallway , like London hotel grimy dirty woodwork outdated carpet . bad thing really noise . forewarn . unless good reason stay , not . find Renaissance good western hotel stay ( like get point ) fitness center like closet . 
 Mar 15 2008 	 Nice hotel shame area 	 hotel choose overnight stay base Seminar . plush , clean clinical standard room well lay , well furnished , clean comfortable . a good selection courtesy product make available extra easily obtain milk , coffee etc . the downside horrendous smell sewage main foyer seedy area situate . underground station [ Edgware Road ] directly opposite access taxi 's outside door 24 hour . tussaud waxwork short walk away Oxford Street . a word caution , bar price scale , £ 8 glass white wine ! ! ! buy bottle Oddbins around £ 4 ! ! ! 
 Mar 6 2008 	 Best Deal hotel week 	 get hotel 3 night Priceline $ 105 + vat tax night use method learn & quot ; permutational bidding & quot ; biddingfortravel . arrival , request twin bed , non - smoking plus free breakfast . give huge room West Wing , 13th floor , two queen bed , crisp white linen , duvet , clean , great large bath hand - hold shower , great bath amenity , huge towel , USA electrical outlet . use anything mini - bar use phone . problem room sun bright hot glass wall morning since electricity power put room key wall slot , room get hot day take long time cool evening . breakfast bar huge everything could imagine breakfast , include chef standing custom egg order . hotel large Hilton Hotel Europe 1000 room . lebanese area London delicious falafel & quot ; Fatoush & quot ; restaurant block hotel . underground station near . attend son 's graduation Oxford University stay three hotel trip far well least expensive . 
 Feb 29 2008 	 great 	 stay major conference , business use hotel fine - facility would expect , standard room unimaginative , everything expensive - coffee downstair cafe £ 3.50 small cup , example , room service expensive . my main gripe lift - stay tower section , serve three four lift , hotel busy , lift take literally 20 minute come . stair emergency exit one ( metal , cold little corridor ) be stay 18th floor like , walk 18 flight joke . one morning , wait wait suddenly lift stop - rang enquire go , apparently fire drill test , although alarm sound warning give . can not say staff terrible helpful either . fine , bland , expensive - lot place London cost around £ 200 mark like way , way well 
 Feb 27 2008 	 shoddy room hide charge rubbish service . 	 stay hotel couple night celebrate 23rd Birthday . book standard room breakfast , dinner include 1st night . arrival , offer upgrade Deluxe Room - assure would large quieter room , rear hotel , & quot ; nominal fee & quot ; £ 30 . special occassion , agree . however , leave , tell fee £ 30 per night ! Buit already sign check ( none information print ) would not agree reduce cost . get room bit underwhelme - view block flat , 3 construction site ! cabinet TV scratch mark , hotel information room i.e . check , time breakfast , number call etc . bad night sleep ever bed hard . woken construction site 7 am .... window room permanatly tilt open , sticker window saying lock could move . therefore room cold comfy all . on checkout , staff confrontational extremely unhelpful ( said not know construction go around hotel .... ? ! ) . motto & quot ; Customer Always Right & quot ; obviously never hear , definately return . 
 Feb 25 2008 	 2nd time ... never ! ! 2 star well ! 	 book hotel stay . last time get really nice room floor ceiling window west wing . time check 11.30pm . ask credit card , ask reason need . say 's take deposit incase chrage room . inform firstly credit card secondly , deposit nearly £ 800 take credit card make advanced purchase booking internet . disagree show print booking . could believe ! ! finally could see deposit take proceeded check . obviosuly annoyed put bad room hotel . send tower block room 510 , look wall , broken tv , smash lamp shade , pubic hair bathroom , break drawer unit ... really wear room . 12.30am , decide go reception complain . man say book standard room , that s shoud expect .. say tv work send engineer . long story short , engineer come , could not fix tv , do not return , rang reception demand new room , 2 , move new room ! ! JOKE ! ! ! want well service need book executive room , standard room , expect standard service ! ! 4 star hilton ... like 2 star motel ! ! sort ! 
 Feb 23 2008 	 Busy Hotel 	 stay Hilton Metropole 2 night business . diamond vip member lucky enough get upgrade executive floor lounge . really make difference I . the whole hotel call ' conference hotel ' full people mull around main area , reception area , bar resturant . therefore able take Executive Lounge basically cut rest hotel make difference I . the Executive Lounge busy indeed breakfast really enough seat cater everyone especially busy time . breakfast simple buffet typical Exec Lounge breakfast Hilton 's . evening drink snack available lounge busy , guess 's London Metropole you . the hotel room fine slightly cold well warm . stay hotel last year room look Edgeware Rd noisy make impossible get sleep . time room look back hotel noisy . I would stay would room rate well nearby Hilton 's . 
 Feb 21 2008 	 try Executive Club 	 ' ve write previously TripAdvisor use Priceline - especially & quot ; name price & quot ; facility , work advantage unbeatable price . before leave US London end January make bid 5 night get 4 * hotel . Hilton Metropole one ' forget ' hotel London little bit north centre actually well locate many function . physically look room decide good 14th floor view , little compact . the friendly desk staff sort quickly offer executive room upgrade price gbp30/ night . as include use executive club continental breakfast , drink etc use business email computer opt take it . I glad ready make return visit London week later Priceline allocate hotel . upgrade - time GBP10 / night - apparently upgrade charge depend much pay standard room . GBP10 per night quite delighted . thumb Priceline time . while club provide sandwich etc mid afternoon go across road Marks & amp ; spencer range excellent sandwich reasonable price . alternative dinner plan eat hotel restaurant nearby establishment correctly identify generally arabic . get around Metropole simple - regular visitor London find economical buy Oystercard allow bus tube travel . Edware Road station underground one minute away stop Barbican City . range bus pass front door take Oxford Street Victoria Station . Paddington railway station ( 15 minute Heathrow ) roughly 10 minute walk , thankfully , flat surface route way - important schleppe heavy bag . sadly not time use fine look 2nd floor pool , also open executive club member . I real complaint hotel - except maybe might upgrade tv service 5 UK three continental channel . 
 Feb 19 2008 	 bad hotel good location 	 stay 2 night London . have room 17th floor good view London Skyline - even little show put neighbour , that s another story ! room good - clean tidy ! Breakfast fineThe location hotel good - Edgware Road tube station 2 min away . the downside parking price £ 30 per day . hotel congestion charge zone ! ' ve stay Tower Hotel previously charge £ 14 per day base right next door Tower London . 
 Feb 19 2008 	 Hotel ok Food good 	 stay long weekend family . hotel reasonable condition pleasant furnishing . room carpet starting show wear . otherwise ok . eat restaurant Thursady evening awful . send food back . bad steak ' ve ever attemte eat . hotel good 15 - 20 minute walk Marble Arch tube station 2 minute walk away . much around hotel . mainly lot middle Eastern shop reaturant interesting see different food . I not think will stay . 
 Feb 18 2008 	 great view loacation wear 	 partner stay double room tower part hotel . view London impressive loved location . Edgware Road great late night waterpipe tea walk back hotel night dining . however , room pretty basic quite small worn , standard expect Hilton Hotel . hotel huge feel quite impersonal , even though staff friendly helpful . also problem elevator , sometimes wait quite time elevator come . room 19th floor keen start walk . 
 Feb 18 2008 	 slightly disappointing 	 book twin executive room ' weekend away ' strength quality Glasgow Hilton , comparison quality ! room allocate we miniscule , look well row window opposite view whatsoever . could understand room class ' executive ' ( pay considerable supplement ) .After register disappointment , executive lounge manager move we ' deluxe ' twin West Wing ' two queen - sized bed much big good view city , although room well clean , badly need refurb . Carpet hoover every day always lookeda bit grotty . eat ground - floor resturant first night find food disappointing ( compare Glasgow Hilton ) . breakfast fine staff helpful friendly , whole place need good overhaul . Executive Lounge comfortable staff friendly the'afternoon tea ' food pretty terrible . tasteless sandwich ! would consider go back property thing improve generally , although previously indicate , staff helpful kind . 
 Feb 17 2008 	 Great 	 Stayed must 10th time - least ! although large , impersonal . Laszlo ( doorman ) Harriet ( check ) chambermaid great . ( laszlo good job expect soon reappear Ritz ! ) stay west wing corner room . lovely room - east executive room book . would opt room again- many option breakfast elsewhere . stay 16 yr old daughter . walk Edgeware Rd . fine - friendly , interesting , great value fun , way threaten reviewer suggest . one - not go near mini bar ! ! ! area fine , transport option many . 
 Feb 16 2008 	 everything could want 	 stay husband , daughter 16 , parent London Metropole two night celebrate parent golden wedding anniversary . really want lovely weekend , Hotel let we . two de - luxe room two queen size bed , 10th floor wonderful view London . room spacious , modern clean extras . large hotel well organise . evening meal restaurant excellent , staff attentive . breakfast incredibly organise take table immediately . choice food fantastic wait anything shortage . drink hotel pretty expensive expect anyway London hotel . hotel large plenty comfortable bar seating area . central area close tube station , would definately stay hotel . 
 Feb 9 2008 	 distinctly average overall . one return . 	 ' m afraid can not write lot hotel , certainly nothing would consider praiseworthy . my room ready arrival , & quot ; deluxe & quot ; room West Wing . & quot ; deluxe & quot ; aspect length room . door window one long trek . facility , however , far deluxe . bed underwhelme , bathroom surprisingly small , shower nothing spectacular tv channel ridiculously limited . non & quot ; deluxe & quot ; view build site outside not help , especially 8 a.m. wake call 's machinery . housekeeping quite under - par also . complain twice & quot ; Magic Customer Service & quot ; team due waste bin empty , toilet roll supply replenish - small thing , let us face , one something expect contact Housekeeping - 's two basic aspect job . floor cleaning bathroom appear little cursory say least also . good point ? well , proximity Paddington central London one . transport link Edgware Road station good plentiful bus underground choice . Marks Spencers across road useful food , local store . nearby dining option also plentiful . however , can not come anything outstandingly good Hilton London Metropole finish . not horrendously terrible sense , certainly would hurry return , definitely would pay full rate either . 's bland mediocre , unless get discount , would recommend keep look . entire hotel build equivelant shrug . look good Hilton ( see review Hilton Amsterdam ) excellent . perhaps one doom damned fact good one say not hate . 
 Feb 4 2008 	 good rate like location lot glitch 	 ' ve stay twice , recently 8 night $ 110 plus tax bidding Priceline 4 * Regent 's Park . 's large busy convention hotel think long stay drove rate bit . always check Bidding Travel bidding Priceline . perhaps ideal location 1st time visitor someone like London many time , several daytrip Paddington , location great , close Edgware Road tube station , within walk distance Paddington Station . able see highrise Hilton either tube station , one serve Bakerloo line , serve Central , District Hammersmith line . also catch bus along Edgware Road . Suzan 's Cafe breakfast June 2007 visit close several place along Praed Street serve full english breakfast . look lunch dinner , Edgware Road line middle eastern / lebanese restaurant plus near Paddington Station find two good kebab shop , Lolita Flames . 's Marks & amp ; Spencer within block food hall also sommerfield grocery store block south hotel Edgware Road plus Woolworth 's . room - I think bed little uncomfortable 4 * hotel , mattress top wood frame double twin room . twin double room small claustrophic . minibar , tea service , room safe , tv limited channel . pay extra want refrigerator . bathroom - good water pressure plenty hot water shower , full range toiletry include shampoo , conditioner , bath gel , soap lotion . decent towel , hair dryer . we quite service glitche January 2008 - our safe locked could not use , matter try could not clear blink message light phone , door key reset three time elevator would occasionally reset start go opposite direction . call service 4 5 time get safe phone reset result , something would expect Hilton . overall , ok Priceline rate way would pay full price Hilton , Hilton standard . 
 Feb 4 2008 	 Good Location Great Price ! 	 realized never submit review hotel . stay last September four night book Priceline unbelievable rate $ 80 per night . hotel conveniently locate 5 - 10 minute walk Paddington Station ( convenient take Heathrow Express ) , across street Edgeware Road station . we arrive early although room yet available courteous staff offer store bag we could travel unencumbered . our room triple 19th floor . ( have call Metropole make book request twin oppose double assign triple ) . large room compare hotel room ' ve experience London . room clean decor business - like ( gray taupe ) pleasant enough . mini - bar unfortunately charge £ 20 empty , choose make use fridge . my remark 19th floor , morning could take quite time elevator make way lobby . hotel busy ! booking come breakfast stagger £ 18.95 pp english breakfast , opt eat elsewhere . abundance small cafe area choose problem . overall hotel clean would generally expect Hilton . & quot ; charming & quot ; book Priceline certainly great value . would stay . 
 Feb 3 2008 	 Good price 	 average compare Hiltons outside U.S. average compare Hiltons U.S .. however , hotel price low among 15 Hiltons London area . location bad . Edgware Road tube stattion across street ; bus stop outside hotel . also 10 minute walk Marble Arch / Hyde Park . room expect ( include safe , iron , dryer ) many channel tv . HHonors Diamond member , able use lounge second floor serve average breakfast two computer free internet access . I little upset fact give we room face indoor pool ( bad ) even though request room view . reckon room outside great view London . really large hotel little impersonal . 
 Feb 3 2008 	 nice hotel 	 stay short break London , pleased . staff really helpful , food delicious location superb - directly locate minute 's walk tube . able walk Edgware Road Hyde Park 10 15 min - Oxford Street within walk distance too . we use pool steam room - surprise big hotel . 's nice size pool . we eat Fiamma Restaurant , Lounge Bar stay include buffet breakfast - food , expect - really nice . this lovely hotel - well worth visit . 
 Jan 31 2008 	 great rate good hotel problem whatsoever 	 great stay Hilton Metropole London 1/18 -1/23 . get rate Priceline $ 135.00 night . arrive overnight flight 10:00am thrilled breeze though check - in give room immediately ! ! non - smoking ( request ) absolutely stunning view London . old section hotel ( Tower ) find room well - equip everything need . bed fine . bathroom roomy . room tad small Hilton USA might , overall complaint . importantly , room quiet ! never hear sound room hallway . good thing rate include breakfast daily ! expect , book Priceline . welcome surprise . breakfast quite nice , actually . buffet hot cold option , plus make order egg . lot option vegetarian , please girlfriend . coffee bit weak , complaint . free newspaper make available daily , nice . breakfast room get bit crowded never wait table . despite good intention , never actually make gym pool , though pop head look par . the lobby bar nice large - one late nightcap . bit expensive truthfully - be well go one nearby pub , Chapel , Great Western Royal Exchange . cheaper interesting far . overall , hotel nice feel . quite modern , staff friendly , concierge helpful question may . area slightly off - the - beat - path terribly . be 7 minute brisk walk Marble Arch , Hyde Park , Oxford Street , Baker Street . two tube line within 2 - 3 minute walk ( check line need b / c actually two separate station connect internally . ) Food City market across street convenience food , beer , wine , snack drink , well internet 1 pound per hour - not pay hotel 's internet rate ! also , like ethnic food , will find lot tasty middle eastern cuisine area . come across delicious lebanese place , though name escape . halfway Edgware Rd towards Marble Arch right ( face marble arch ) . would definitely stay , particularly get another great rate . 
 Jan 27 2008 	 problem big hotel ! ! ! 	 husband spend one night last night ( 26th Jan ) hotel . attend function room rate help prepaid ( nice ) .it BIG hotel , choice pay happy impressed aspect 24 hour there . brilliant location right Edgware Road . room 16th floor Tower Wing lovely view acroo London , especially see London Eye light night great . could spend age gaze window watch world go street ! room clean , ok size ( small double bed ) bite worn place . bathroom fine , clean plenty hot water . mini bar room horrendously price . £ 2.95 sprite , soon remove something bill automatically account .... beware . there & amp ; opposite suggest could stock goody pay lot less . very busy , lot staff help everyone come across friendly helpful . breakfast serve restaurant downstair big buffet . great choice full english cook , cereal , continental choice , fresh fruit pastry etc . well organise busy place . there small car park locate underneath hotel , £ 30 24 hrs though weekend £ 15 24 hrs London vey good . Nippon Tuk Asia restaurant locate 23rd floor stunning view City . Menu look nice reasonably price . Set menu £ 33 per head.health club locate east wing fine need . good 24 hour away , would stay 
 Jan 25 2008 	 safe choice memorable ! 	 hey , be Hilton , right ? know be go get . large , busy , impersonal clean , modern amenity . I will honest , book London rate pretty good . not normally & quot ; & quot ; sort hotel avoid safe choice . we dine main restaurant one evening decidedly average include self service starter dessert ! breakfast buffet serve room . incredibly busy breakfast . asian fusion restaurant well high floor not see it . there two bar ok enough hardly cosy . service staff mix absolutely fine . our guest room large climate control bathroom little disappointing . to sum - not really like , hindsight not likely be usually ok large brand hotel fine decent value . 
 Jan 24 2008 	 good stay Christmas 	 husband stay hotel 6 night win bid priceline.com $ 100 / night Christmas . happy hotel price pay . room large London standard , comparable size North american hotel . although detail room quite 4 star ( housekeeper often forget supply certain item ) , hotel immaculate large . take advantage pool , although discover one premise . tv selection also great ( basic BBC channel non - english european channel ) , disappoint 6 night . however , spend great deal time hotel many thing ! location central -- right & quot ; Lebanese & quot ; quarter near Edgware Station . prove convenient Christmas many restaurant convenience store open late ! be look cheap snack , try Somerfields street . be also Marks Spencers right across road . view hotel room ( 16th floor ) great quiet . great stay overall ! 
 Jan 23 2008 	 great stay 	 stay 2 night celebrate brother - in - law 's 30th birthday , book 3 double room directly hotels web site package include dinner first night stay . sister email hotel , see would possible arrange something special husband birthday advise would grade room sort cake meal evening . surprise upgrade 3 room birthday boy ! ! decorate table evening meal bring cake end meal promise . room comfortable , two king size bed great view . room include safe , mini bar ( expensive ! ) good selection toiletry . the service receive staff hotel top class , stay several london hotel year far good friendly service . the swimming pool , steam room sauna good way spend hour relax end busy day . this hotel great location , excellent access Edgeware road tube station . handy arrive train Paddington . would use hotel without hesitation would highly recommend . 
 Jan 21 2008 	 Great Location ! 	 stay Metropole Jan 18th 2 night . 30th birthday plan weekend London . wife e - mail hotel ( without know ! ) , see could make weekend special . check , 6 we , wife , sister fiance wife sister husband . Katarina , relation manager , arrange we upgrade delux plus room 13th floor lovely view London . on Friday night , evening meal include price meal , staff arrange bring birthday cake sing Happy Birthday ! side hotel drink price expensive . order drink , still pay 10 % service charge ! bottle house white wine work £ 25 ! ! swimming pool , sauna steam room nice relax hectic day walk around city . the Edgware Road underground station ideally situate nice . overall lovely weekend hotel make good we also . would recommend Metropole would use price pay . 
 Jan 20 2008 	 great location 	 wife & amp ; come weekend anniversary , room 11th floor give great view london . tube station perfectly place directly opposite hotel walk top end oxford street 15 minute . find hotel perfect stay , swimming pool steam room sauna excellent . bar top floor fantastic view hotel drink extortionate . would go back would recommend anyone 
 Jan 15 2008 	 Wonderful Service 	 past month spend week London way Nebraska , middle US . must say , nice stay . service nice , especially lose card key , clean wonderful . make bed , fold clothe ground , ect . room bite small ' m use , tell normal european hotel . either way , love room decor nice . big closet plus , shower head good water pressure ' ve ever see shower . view less desireable ( oh look , wall ! ) otherwise stay wonderful enjoy London . 
