great 	 return three day Holiday Inn Bloomsbury Nov 27th . could fault hotel . room 429 right opposite lift problem sleep three night . location great , Euston Station 10 min walk away , mess taxi 's arrive leave . lot place eat within walking distance , make sure take walk Bunswick shopping centre right hotel , really nice lot good place eat . eat Giraffe Strada could fault . would highly recommend use Big Bus Company tour get around , pick bus main road buy hotel , drop Trafalgar Square collect bus different attraction , brilliant way get around , 48 hr pass two we cost £ 50 well money worth [ one ten minute taxi ride back strand cost we £ 10 around 10 pm traffic busy ' m sure price would lot high . sum great location , great breakfast , nice staff , would highly recommend . 
 Oct 22 2006 	 never ! 	 good aspect Holiday Inn Bloomsbury , London , England around corner Russell Square tube station one - way journey Terminal 4 Heathrow one hour away cost 4 pound . it definite feel american chain albeit staff charming polish employee . room litter piece paper advertising various Holiday Inn product , want write paper time breakfast serve , nowhere find . soulless noisy frantic weekend fun - love body cheap package ! keep awake Saturday night/ Sunday morning ( 1:30 6:15 ! ! ! ) party antic couple seem swoppingaround room . book much expensive executive room , perhaps spare ? full english breakfast good serve fast food atmosphere . next time stay dignified old Russell Hotel . 
 Oct 4 2006 	 great location well price hotel 	 stay hotel many time year , always pretty good experience whole compare many hotel London price range . hotel reasonably price book directly website . the staff courteous ( be always odd exception hotel ! ! ) , car park conveniently locate hotel say London hotel breakfast always good , pricey hotel . location great , pleasant 10 - 15 minute walk Covent Garden plenty go surround area . try many hotel London ever use hotel place park car , central base get Theatreland bed night , always find good rounder ( give price ) . 
 Sep 24 2006 	 wonderful location thank goodness Tesco ! 	 ( family four , two kid 12 ) stay hotel 2 night August/06 , en route Europe . good thing go 's location across street Russell Square tube station . take tube Heathrow , luggage , manage schlep across street bit hotel without much problem . there 24 hr supermarket call Tesco across street well , buy food . fridge room , able stock without incur outrageous price restaurant London . hotel okay , lobby nice floor . room queen bed double pull sofa , make bed , stand ! room really small , sleep four us lot european room will not . rate get cheap north american standard tell get good deal London ! rate , since room change sleep , okay . really go location Tube station Tesco nearby . also , get decent rate , would recommend without hesitation . 
 Aug 31 2006 	 living suitcase 	 prepare future trip check review . stay Virgin Vacations Holiday Inn must take . problem except dresser shelve unpack clothe . live suitcase . complain Desk say room like . wonder thing change ? 
 Aug 31 2006 	 great hotel great location ! 	 pleasant stay hotel early August , 2006 . can not beat location Russel Square underground ( easy commute Heathrow ) 24 - hour well - stock Tesco grocery around corner . 's short walk numerous & quot ; tourist attraction & quot ; many pub Theater District . two room clean , well - supply show sign wear tear . staff friendly helpful numerous question ask . complaint . I totally agree point last review . Holiday Inn folk - nice one ! 
 Aug 22 2006 	 Great Value Location 	 ever notice someone feels slight ( real imagine ) staff person , slight color entire review cleanliness room furnishing . Holiday Inn , be Ritz . ' ve stay three time pleased . location can not beat , room although small ( London , Detroit ) furnish well , bed comfortable , bathroom spotless , a / c work fine . never problem check - in bill . staff desk clerk housekeeper always pleasant helpful . amazed poor review . not money , not eat breakfast hotel . mini - mart step hotel purchase oj , milk , cereal , etc keep well room fridge . room also coffee tea maker . room delivery newspaper ? instead harass poor housekeeper ( wonder room not service properly ) , get butt go lobby three different London daily available free . finally , seem number bad review hotel stem problem hotel restaurant ( food , service , ) . stay Holiday Inn sleep perhaps take late afternoon nap . fact anyone would go London eat dinner Holiday Inn boggle mind . people really lazy would go London research place go good , reasonably price meal lieu meal Holiday Inn . not want spend fortune good meal lot cheap hotel restaurant , go indian restaurant , Pizza Express ( Pizza Hut ) , ask italian restaurant , Mr. Kong 's China Town , get dim sum Royal China Queensway . forewarn : will actually go outside . 
 Aug 20 2006 	 brilliant 	 check efficient alarm bell rung weredifferent people complainimng whenever go lobby . hotel clean adequate . room small , bathroom . really squeeze pasteverything . night noisy outside air conditioning unitsand also internal door bang . car parking good hotel go rate London £ 17.00per day . beware booking price quote include taxis , thinkHoliday inn recently begin , use year isthe first time check confirmation email website say miss . plenty eat place Russell Square Southampton Row , covenient fortube . probably would use hotel . 
 Jul 24 2006 	 disappointment ! 	 browse hotel online , seem like perfect location . many hotel ( bread breakfast ) London not bathroom room , cramp , not offer many facility hotel offer location ( restaurant , baggage check , etc . ) . also , review seem complimentary regard staff housekeeping . book stay 20 day , well advance , figure have nothing worry about . although room generally state , instantly see problem stay . free breakfast clearly list hotel accomodation ( book American Express Travel , bring printout we evidence , though aware booking come offer ) . poor college student , brother could not afford eat every meal , try take advantage offer . time go breakfast , turn away speak manager , would constantly assure we issue would take care , would usher we back restaurant . end stay , 7 breakfast charge ( whop 52 pound trip ! ! ! ) bill , although every duty manager assure we issue resolve . even speak general manager hotel , still not receive satisfactory solution night leave . service continue problem throughout stay . housekeeper , unwilling deliver simple item like newspaper , would give we haughty rebuke one instance actually hang we ! item promise room wound include ( many toiletry plaque bathroom insist take advantage ) . although generally neat people try cause little hassle staff possible , often find room unvaccuumed , towel sticky , bed stain . one occasion , return meeting manager , find 2 housekeeper room door close ( general rule , hotel seem insist upon one housekeeper per room , door OPEN ) . nothing turn miss steal , run - in unsettling return to . in instance , try let complaint know politely frankly possible . place unnecessary demand upon staff , though complaint , manager seem hold grudge we . office phone number general manager actually withhold we duty manager must infer call complain , experience trouble ( hostility ) . end stay , entire managerial staff know would interrupt we could say word ( even not try find ! ) . complaint not lie small issue ; realize mistake happen one perfect . however , find staff extremely rude condescending , unwilling rectify issue . not meet general manager satisfy , even gen . man . take break discussion , apparently order phone duty manager question confirm story . phone call , tell problem ( especially concern breakfast , would continue visit know one moment price would not waive ) already discuss we , nothing could done remove bill ( eventually show enough evidence prove contrary ) . hotel stay extremely try , not worth hassle ( especially consider price ! ) . location wonderful , be bind find well hotel similar area less money hopefully less stress . 
 Jul 21 2006 	 bed flea 	 four word sum hotel : Bed Fleas . ' Nuff say 
 Jul 21 2006 	 satisfactory 	 enjoyable stay clean well run hotel . room small functional , air conditioning work beautifully ( happen London hot spell ever record ) . location could not convenient Russell Square tube station ( 1 minute walk ) , picadilly line ( ~1hr heathrow ) 2 3 stop Covent Garden . theatreland pleasent 20 - 30 minute walk hotel accessible tube . the buffet breakfast well lay , plentiful , staff helpful even provide free newspaper breakfast . problem hold baggage 5 hour day leave , would much recommend . 
 Jun 18 2006 	 much improve 	 stay hotel number time year employer account Forte Posthouse . location great , round corner Russell Sq . tube Euston Kings Cross station short walk away . not like bedroom . that change since Holiday Inns spend time money redecorate upgrading bedroom . go dark furniture strange print wall deck plan sail ship central London hotel ? ) place light wood furniture bright decor . room look lot nice , 's shame bit small one usually expect Holiday Inn . definately stay . 
 may 27 2006 	 enjoyable stay well locate 	 stay early May 2006 - first time London . although arrive 1400 check - in time , allocate room straight away . the hotel well situate - close Russell Square tube - convenient Piccadilly line - take Heathrow Airport . believe , not want change train tube luggage - many station not escalator lift . I find check - in staff little cold clinical , deal twice . bar staff fantastic friendly . Callaghan 's , ' ve genuine & quot ; Irish & quot ; pub Sydney ! however , beer good , bar food ok . quite eat drinking option nearby , explore beyond hotel . my room 1st floor , find quiet comfortable . room wooden panel door close not get morning light also reduce street noise . my complaint would order taxi Monday morning 0400 - get Victoria Station get Gatwick Express short visit Poland . taxi arrive late , night staff not seem bother - even though have order night , end miss 0430 Gatwick Express wait 0500 next train . this small blight copybook , however , would definitely stay . 
 May 21 2006 	 pleasantly surprised ; wonderful stay ! 	 stay Holiday Inn Bloomsbury week late May / early June 2005 . not realize expense hotel would receive nice package deal Priceline . exterior building look fairly basic box - like , find room inside fairly large european standard , cozy , comfortable double bed fairly spacious bathroom shower & amp ; tub . however , bring washcloth hotel provide . fyi -- English call washcloth & quot ; flannel & quot ; need request purchase somewhere . property keep clean cleaning staff , though speak good English , always courteous thorough cleaning . the view room spectacular , sleep bathe come city tour . first arrive , give room inner side hotel , look interior rooftop hotel . request external view move , wish not could sometimes hear bit noise street ( 3rd floor ) . mind , noise mainly occasional ambulance , noise not constant bother . the area around build good restaurant pub . Russell Square tube station directly across street rear hotel , prove convenient . small grocery store also right , would stop way hotel evening buy snack drink evening . hotel room mini - bar fridge empty still operation use keep drink chill . could get good deal room , would definitely stay . be convenient , safe , clean , comfortable . 
 May 10 2006 	 evening well morning 	 cost £ 106 one night , double bed single occupancy , room only . pros : room clean , spacious , well appoint . good size bed bath . beer cheap home ' Callaghans Bar ' ( £ 2.45 pint Guinness ) .Bar food ( steak ) good value area ( £ 9.95 , correctly cook , trimming ) .Front office staff exhibte grace pressure ( arrive busy time ) .I stay business , close many tourist attractionsbutalarm function TV fail . early morning call never happen . Newspaper deliver . wait 15 minute breakfast coffee . breakfast good value ( £ 14.95 okay buffet breakfast ) 
 Apr 23 2006 	 Good Vakue 	 Booked online get £ 65 per night weekend rate two we , breakfast include . room small , looked recently decorate . buffet breakfast great . Russel Square tube couple minute away area quite nice . Covent Garden two tube stop away . I ' ve pay time bad room , bad location London . 
 Apr 19 2006 	 great location - nice place stay 	 3 - day city trip London January 2006.We book Holliday - Inn Bloomsbury theirwebsite quite convenient . the location hotel fantastic , quite area , nearby tube station Russel Square reach attraction within minute . the room typical Holliday - Inn style , clean comfort need , rather small . we take breakfast hotel include price expensive ( 18 £ per person ) .We good breakfast neighbourhood for8 £ only . it nice stay correct price ( London ) .We would really recomend hotel look decent hotel location farfrom main attraction . 
 Apr 16 2006 	 good value centrally locate 	 friend stay hotel 6 night enjoy stay . stay hotel Europe , find room big expect . room bathroom clean . shower provide good water pressure plenty hot water . book non - smoking room double bed take advantage internet special , arrive ask could 2 twin bed instead . hotel able grant we request . staff helpful able assist we whatever need i.e . booking shuttle airport , restaurant recommendation , etc . location hotel great . right around corner Russell Square tube stop within walking distance Oxford Street , Covent Garden / Leicester Square . tesco grocery store around corner across tube station well another grocery store half block . two internet cafe , 2 post office restaurant within block two hotel . problem encounter stay noise first thing morning construction across street . also , breakfast include price room end eat breakfast morning arrive . feel breakfast bit overprice figured cost U.S. $ $ . otherwise , pleasant stay hotel would recommend other . 
 Mar 28 2006 	 Nice hotel London 	 get discount rate Priceline great bargain . staff friendly , accommodated request twin - bed , non - smoking room . room look like newly refurbish . slight oversight one wine glass ( could ask two , wine ) , real crystal . bathroom fine . amenity could improve bit , soap available dispenser use hand , face , body , hair . important , bring own . the location convenient , near Russell Square tube Piccadilly Line , near many bus , walkable numerous museum even Camden Market one end Covent Garden , want . Tesco Express grocery store around corner open 24 hour per day , Boots pharmacy across street need . would definitely happy stay . everything go smoothly stay , nothing significance complain . 
 Mar 20 2006 	 excellent hotel 	 stay holiday inn bloomsbury one night find review helpful make choice . I agree review regard hotel , friendly helpful staff , good location sightseeing , good breakfast , room clean , ask extra milk give jug full milk . irish bar good good menu relativly cheap . we book -- -- pay £ 79 one night 's stay . along voucher also recieve leaflet discount various attraction london . find useful , 2 price one London Dungeon British War Musuem enjoy especially due fact save we £ 24 normal admission price . 
 Mar 20 2006 	 bad Hotel stay UK 	 like souless , 70 's build hotel view courtyard house air - conditioning unit place . & quot ; basic & quot ; room could bad advert MFI . previous review mention refurbishment place look tarnished . breakfast fine line full english Breakfast Greasy Joe 's cafe ! boast pillow menu ask no.4 replacement tell none leave . pro . the room clean enough . the cleaning maid nice friendly . the location handy Tube . have Tesco 's around corner handy . 
 Mar 3 2006 	 make sure check bill 	 first good news . location great , short walk away Russell Square tube . 10 minute walk king Cross . Tesco Metro ( supermarket ) opposite tube station need look after . check in============ok . special desk Priority Club member . lady desk interested person phone . much warmth engagement I . double check get room book not want end smoking room . I stay hotel several different room . Platinum Priority Club card never result room upgrade , tend avoid stay , unless happen need part town . the room=============as not want rely Platinum Card book Exec room well worth small amount extra . some room stay clean , fray edge , paint chip wall / door . however , Exec Rooms nicely do seem well maintain . one first floor one quiet side street . decent size clean , mini bar tea coffee facility room . the bed==============comfortable , pillow selection always good HI . nice duvet . the bathroom==================decent size , clean , nice shower . plenty towel . the gym==============there access Fitness First gym across road hotel . full service gym facility pool . food bars=================ca not comment not use they . the bill=============i book hotel use InterCon 's website . use time rarely issue prepaid rate . one odd time happen genuine mix hotel sort problem . not hotel ! hotel bill twice , pre - pay check . two email hotel resolve go unanswered . a call hotel get sort result & quot ; bill & quot ; . extremely poor service attempt resolve end . hope would straight forward resolve direct hotel . however , sadly , . American Express hand excellent , see hotel put two charge reverse it . so , please stay , ok , check bill not expect help problem ! 
 Feb 25 2006 	 nice hotel 	 good clean hotel stay kid pull sofa bed , room bathroom clean good size . breakfast nice large choice would stay 
 Jan 13 2006 	 unexpectedly impressed Holiday Inn Bloomsbury 	 read mediocre review , little uneasy one night reserve ( via Priceline ) two room . mother 's 60th birthday , call hotel advance confirm room request assist helpful young woman pre - assign adjacent request room type . check - in smooth ; even though hour early , one room ready could leave bag go , happily know room would ready upon return . mention make Priceline method reservation / payment – often case hotel chain – treat well staff . spend time relax sofa extension lobby spacious calm . room fairly standard ( i.e . overly spacious ) 3 * London hotel room , spotlessly clean , well - equip bathroom ( complete ' Dove ' soap / shower cleanser ) . , give competitive price pay , convenient location ( step Russell Square tube 24 - hour Tesco grocery shop ) decent range eat place within walking distance , speak highly enough hotel . 
 Jan 1 2006 	 Nice Find 	 stay 4 day Holiday Inn Bloomsbury complaint . room large english standard . room clean room quiet except elevator room near elevator . not enough issue request room change . eat breakfast restaurant good cheap . price breakfast 13 Pounds Sterling find average London hotel . find good number restaurant couple Tesco 's within easy walk distance . eat Hasan Raja Southampton Row enjoy meal . park nearby Russell Square nice find . also close walk British Museum Charles Dickens mueum hotel . 
 Sep 17 2005 	 holiday inn people ... 	 stay Sept 4 night & quot ; upgrade & quot ; executive suite ... room small clean ( housekeeping come even disturb sign door ) bring alarm clock wake call work half time . pretty authentic british pub hotel not eat hotel restaurant - terrible overprice ! ! definitely 4 star hotel convenient underground ( 1/2 block ) within walk distance Covent Garden ( theatre district ) picidilly Circus ( Times Square London ) try indian food restaurant block ( 3 ) hotel great ( Chowki good 3 ) prepare sticker shock US pound worth 2x dollar right ... everything price comparitively dollar pound double price ... 
 Sep 16 2005 	 enjoy stay great location site 	 hotel 14 day ( August 27 - September-10 ) enjoy every day . close every attraction , Big Ben , W.Abbey , London Tower , B . museum other . basically 15 minute tube location part tube , train come quickly , ride could less time . far hotel : people reception desk helpful exception one two know . need anything would go lady Joann help night , man name Henry . breakfast hotel 15 pound okay 2 day . breakfast fresh tasty . Dinner Callahans , pub hotel fantastic juicy well cook hamburger , great taste banger mash also pasta dish good . even take drink room away hotel outside picnic area question drink away bar . stay away NACHOS , good . grocery store nearby ( TESCO ) , would prefer eat great taste cold sandwich store 24 hour . location across street RUSSELL station short walking distance hotel . look good housekeeper change linen every single day fluff pillow , dust vacuum , mention keep bathroom stock towel clean day , make sure get floor Olive ( female ) housekeeper . one truly lazy would beg change sheet hide current would choice put new one . one thing , need ironing board something restaurant employee happy bring quickly . staff helpful getting need recommend thing . 10:00pm , elevator shut use access badge get make feel safe . enjoy hotel . stay March 2006 . cheer ! ! ! 
 Aug 20 2005 	 pleasant stay 	 , wife , 16 year old son stay Holiday Inn Bloomsbury 5 night recently - pleasant stay . pay 90 pound room double bed double - size convertible couch ( surprisingly difficult find hotel 2 double bed London ) . include full breakfast day . room rather small ( expect ) good condition clean include small refrigerator . breakfast good . 1 block Russell Square Tube station ( reopen bombing ) easy walk distance British Museum . would definitely stay . surprise bill , 1.5 pound charge access USA - direct number . 
 Aug 9 2005 	 Nice hotel locatin 	 reading review , reluctant stay . pleasantly surprised . hotel nothing special , room small , adequate . location great unless want directly heart touristy part London . love residential neighborhood little restaurant nearby . 20 minute walk west end theater , Russell Square station underground block away ( close stay terrorist bombing ) . overall , nice place good location . 
 Jul 11 2005 	 Excellent Hotel 	 London nice Hotel , go London lot business Hotels , even big chain horrible , use Trust House Forte Posthouse , Holiday Inn total refurb , be not bad , compare other . use time would take family . Bloomsbury safe area , British Museum . underground car park . around corner Russell Square Underground station piccadily line 15 minute walk Euston Mainline station . 
 Jun 28 2005 	 terrible Stay Good Location 	 one infuriate hotel experience ever . hotel lobby look nice , nearly nice enough make everything else hotel lack . room small locate seem London 's Noisiest Street . sleep disrupt ( deep sleeper ) almost every night voice , car , loading truck come outside . housekeep bare minimum , even bother supply we additional bathroom tissue almost last roll ( afterwards 's kleenex come handy ) . bad part ask wake - up call 6 am fail give we one , cause we nearly miss flight Barcelona morning . hotel staff little reaction error part far apologetic . despite good location , would never consider stay hotel . 
 Jun 23 2005 	 great hotel ! 	 Holiday Inn Bloomsbury fantastic hotel . clean , locate close Russell Square Tube station ( line Heathrow airport ) close many major attraction . staff friendly helpful . also great pub call & quot ; Goose & quot ; across street . food drink cheap ( 3 pound burger , fry , beer ) . would recommend hotel anyone ! 
 Jun 2 2005 	 look - clean nice - size room 	 experience european traveler , enjoy stay Holiday Inn Bloomsbury . British Museum , British Library , Dickens House within walking distance . Camden Market short bus ride away . Russell Square ( lovely small park ) Russell Square Underground station block away . short tube ride Holborn stop , get anywhere city quickly . Southhampton row plenty restaurant pub ( look alley sidestreet ) . room large England standard , fine size american standard 2 people . room shampoo , hand lotion , soap , hairdryer trouser press provide . also notice bathroom list small toiletry item provide request . ask want upgrade - say . not pressure . inside room noise not problem , not business internet not problem either . hold bag we check could additional sight seeing . really , can not ask much price ( around $ 120 / night - book Hotwire ) 
 May 27 2005 	 awful . Nasty . rip - off . 	 first good news . room clean . rest horrible . when first show , early , say room full wait unless want upgrade & quot ; additional 50 pound night . & quot ; beg put right room right street noisy hear think . ( 230 pound night ! ) go back complain nicely , another room mysteriously appear . pretty good hotel & quot ; full & quot ; , eh ? happen , also someone else wait line ( frequent occurence ) next day . different clerk use language price ' only 50 pound night ' likely practice deception institutional policy . I say different clerk clerk change day day , even within shift . assume awful place work , keep anyone . virtually one work british ( european nation , african two , clean staff East European ) suspect also trouble pay enough . the room large enough navigate without turn sideways . serious . clean attractive institutionally modern way , puny , price absolutely outrageously expensive . internet access huge hassle overprice . staff know work likely give misleading information cost ton . internet shop two block away 1/4 price , open 11 pm . friendly . some front desk people unbelievably surly nasty . one actually scream & quot ; ! & quot ; plug electric plug & quot ; internet desk & quot ; use overprice wireless connection . treat guest pay dearly hostelry . ( hostile - ry ? ) get sense hotel exist grind every last penny profit every unfortunate guest employee . amenity room : even shampoo put . chocolate ? forget ? trouser press ? nope . : iron emit steam ? sorry , want 210 pound night ? bring iron : walk around wrinkle sign say , & quot ; stay Bloomsbury Holiday Inn . ' the good thing neighborhood get . nowhere would want eat shop . ask someone restaurant recommend local place dinner . & quot ; mostly place breakfast sandwich shop . & quot ; dirty dangerous : boring . tube stop nearby transfer point convenient , small hassle . I try restaurant , pseudo - pub . full cigarette smoke usually waft lobby . tough imagine one would find quality value , base hotel . this place reek bad energy . one bad hotel ripoff ever see . favor : stay away . spend amount money real hotel exist reason separate money everyone misfortune crossing threshold . sorry stay place . 
 may 10 2005 	 great room price 	 husband stay hotel week . get fantastic deal Hotwire ( $ 107 per night ) pay $ 200 ( whole week ) upgrade executive room . room bathroom spacious clean . staff helpful nice . location fantastic -- minute 's walk ( ) tube . 's area many hotel . 
 May 2 2005 	 tiny room 	 basic hotel . book family room climb get bed . impossible bath child bathroom without getting knock door toilet . never tiny room bathroom . must better family room London £ 100 . staff surly unfriendly make feel hinderance . would say avoid place . 
 Apr 26 2005 	 Forget hotel be business 	 ' ve travel lot admit fan Holiday Inns , tell one UK different . stay business 10 day miserable . they set business . example , access internet , lobby , aggravate hefty fee privilege - inconvenient irritating . brochure room boasting & quot ; yes spirit , & quot ; however , give lack service , offensive . small request take average 10 minute conversation staff everything could avoid assistance . seem company policy avoid give service beyond check people . use stay business hotel , take wide pass . qualify statement say live London 10 year experience due lack understand british custom . although centrally locate clean , would stay vacation either . 
 Mar 9 2005 	 good deal price pay ( $ 75.00 ) 	 spend past weekend $ 75 per night thank Priceline BFT . find hotel well several & quot ; 4 star & quot ; stay Paris . reasonably sized room , decent furniture , nice bathroom ( although great toiletry - skip consider price 4 star ! ) . supermarket right across street tube station , 200 meter hotel . not try hotel food . fallback : elevator seem work press button , housekeeping staff speak English one seem know work individual temperature control room . none bother enough mention reception desk would go back split second ! luxury mean well average ( European Priceline standard ) price pay . 
 Jan 18 2005 	 great stay 	 return london stay hotel 4 nite .. get great rate priceline .. picadilly tube line across russel square tube .. easy , easy get ... many pub sure eat b4 9 pm day 7 pm sunday stop serve food serve beer ! ! ! ! ! ! 
 Nov 8 2004 	 great location 	 husband stay 6 night AA package could not please . great buffet breakfast include , location superb .. pub , safeway , several restaurant , tube station block away . room small .. remember London , clean desk , chair , tv , wonderful fully tile bathroom shower . always new towel plenty hot water . room quiet stay . much personality , could not beat value . 
 Oct 25 2004 	 great value 	 not stay hotel frequently will probably love hotel . 's two step away tube station , clean tidy staff try well helpful . however , room tiny , show sign wear £ 100 + night hotel severe lack information hotel service area room mean take quite orientate . could got spacious comfortable bed & amp ; breakfast less . frankly , remain appalled hotel still charge high - speed internet access . trust guy , be big differentiator business traveller choose hotel . 
 Sep 26 2004 	 Booming night Bloomsbury 	 location hotel great . room clean . tube station minute away lobby . however , bathroom small . if book hotel , get room side hotel docking station waste container keep . every morning , start early 4:30 , horrific noise hear room . sound like metal scrape across floor heavy metalic object dump street . last 8:00 - every morning . never exhaust life . keep think nice would get home enjoy uninterupte night ' sleep ! try change room tell upgrade would cost additional 25 40 british Pounds . 
 Jul 30 2004 	 would not ! 	 tour group stay three night July 2004 . book room two twin bed . arrive hotel overbooke several we get room find one double bed . complain , promise bring rollaway . go evening get back 11 pm still rollaway room . call desk tell & quot ; sorry , ' ve run rollaway , & quot ; end . tell two unrelated adult go share double bed . much dither , finally find rollaway bring 12:30 . apologize profusely promise move we & quot ; executive & quot ; room next two night . flip coin roommate spend horrible night narrow , saggy rollaway . next day , apologize dither delay , move several we new room . not get promise executive room least get two bed . other group get executive room , still one bed ( least king ) .The room small adequate , management chaotic totally unreliable well make meaningless apology fix problem ( prevent first place ) . will recommend thing group tell tour company : well option place ! 
 Jul 26 2004 	 Holiday Inn Bloomsbury Coram Street 	 die stay B & amp ; B London husband insist american style hotel stay Holiday Inn glad . five year ago trip London stay horrible noisy , cramp , grimey place westminister cost fortune . summer get really good price bore old Holiday Inn really clean spacious . staff helpful breakfast restaurant good . really swinge part town far tube would take we anywhere . next time go London would definately stay Holiday Inn normally fan Holiday Inns . 
 Jul 26 2004 	 Good room Tiny Towels Dirty 	 relatively good hotel location however way much smoke lobby good thing . towel room dirty tell lot place dirty towel . otherwise , good basic hotel . get room 40 GBP per night ok deal . 
 Jul 17 2004 	 lovely honeymoon 
 Jul 15 2004 	 surprisingly good hotel 
 Mar 15 2004 	 awful Awful Awful 
 Feb 24 2004 	 Nice Hotel Price 
 Feb 12 2004 	 agree hotel pitt ! 
 Jan 7 2004 	 mediocre hotel 
 Nov 12 2003 	 comfortable hotel 
 Jun 10 2003 	 terrible hotel ! 
 Jun 2 2003 	 Great Location horrible hotel 
 May 15 2002 	 Holiday Inn Bloomsbury Experiences 
 Sep 25 2009 	 gradevole e comodo 
 Jul 16 2009 	 Muy buena ubicacion 
 Jun 9 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Apr 30 2009 	 Bien situé et confortable 
 Apr 8 2009 	 Emplacement idéal mais prestation standardisées 
 Apr 8 2009 	 très bon emplacement proche du metro et des commerces de proximités 
 Apr 2 2009 	 ottima rapporto qualità prezzo " 
 Mar 26 2009 	 Troppo poco per un 4 stelle 
 Jan 9 2009 	 ottima rapporto qualità prezzo 
 Apr 24 2008 	 hotel très bien placé et calme 
 Jun 30 2007 	 Senza lode né infamia .. 
