good 	 make reservation take advice traveller site . arrive 11 hour flight midday , quiet room look court yard ready we . room overly big , clean comfortable bed , great shower clean bathroom . nice decor good amenity . thoroughly recommend Cafe Pescatore adjacent hotel food good . ideally locate Fishermans wharf , cable car , plus supermarket across road . staff friendly helpful ( even buy we English Tea hot water ) .The wine reception great idea nice meet traveller great access free internet access room . 
 Jul 11 2005 	 Loved ! highly recommend ! 	 can not say enough good thing hotel . location fantastic - block Fisherman 's Wharf , everything nearby . grocery store drug store across street . hotel walk Fisherman 's Wharf , Pier 30 , Cannery , Ghirardelli Square , Coit Tower , Lombard Street , Chinatown , many location . staff courteous professional , concierge helpful . hotel nice boutique feel , partly due lobby fireplace , wine taste every evening , biscotti breakfast . room extremely clean window actually open outside . courtyard view tree flower . room furnish tone dark red black , include bolster pillow sham . hallway clean nicely light add boutique feel . the hotel eco - friendly , like . change sheet towel everyday request . not want change , still remake clean room . towel nice sized thick , plenty . shower head pretty high great tall traveler . also curve curtain allow room shower . especially like aromatherapy bath soap , lotion , shampoo , conditioner . we get great night 's sleep due comfortable bed quiet . never hear sound room besides door next opening closing . search find anything wrong hotel , could say one side toilet paper holder loose . can not recommend hotel enough , definitely stay visit San Francisco . also recommend highly everyone know ! 
 Jul 9 2005 	 never 	 start ? arrive long journey go room fourth floor . one small room Best Western stay . decore nice clean , bed comfortable fridge . however window wide open break . ask front desk say would send someone 10 minute , 1 hour later sign ask move room . concierge useless - un - helpfull waste time . tell we vegaterian restruant close year ago , dry cleaner also shut . new room , double glaze god could traffic . dumper truck , bus etc 4 am .... much sleep . rate price . good hting location . ashamed call 's self Best western . 
 Jul 7 2005 	 high rating place ? 	 best western website hotel advertise refrigerator every room . special food need , book hotel understanding , plus receive high rating - good hotel Wharf area . July6 - 9 ( still ... unfortunately .... ) get hotel , disappoint incredibly small room , location great . Website also say room recently redecorate - guess forgot 2 room - kind shabby . cheap furniture . outdated outlet - could not plug cell phone charger except one place desk . hair dryer bathroom constantly fall sink 's holder anyone use door room . finally unplugged leave tiny sink space . bad part fridge room advertise . quasi mini - bar dorm - size fridge tell front desk could empty without charge content . ask speak manager , hour wait one come talk we . want get tourist decide wait . ask next morning - still tell could not empty - offer pull website laptop still show fridge come room not want see - wanted say room never fridges not know BW advertise . tell would wait maid come take stuff fridge later day - like ' m really go waste tourist time . BEGGED able remove thing leave desk - say would talk manager - say great would - say idea ! ! ! ! ! totally unwilling help we way . worst BW ' ve ever stay far service go . 
 Jul 4 2005 	 love location 	 second time stay Tuscan Inn Fisherman 's wharf . go 15 day alaskan cruise San Francisco . Tuscan Inn short walk cruise ship terminal . get cab luggage . stay 15 year ago still wine cheese 5:00 - 6:00 p.m. nice touch . 
 Jul 3 2005 	 sorry - 4 star 	 good thing hotel cosy reception open burning fireplace 's stop . worth £ 115 ROOM per night pay 4 night - absolutely ! ! ! ! want stay Fishermans Wharf stay Argonaut . Alcatraz worth visit would recommend book far advance night tour fascinating . I would not recommend hotel - really not great . 
 Jul 1 2005 	 Nice PRice 	 get hotel ( 3 star ) Priceline try get Radison ( 2.5 star ) . stay Tuscan Inn last week June Friday night Monday morning . reserve two room . save money fly Oakland International Airport . wonder , cab ride OIA $ 53.00we arrive late , fact Saturday , greet Quinn check we . Quinn friendly . stay , speak Quinn Neal front desk , two valet attendant , Daniel Concierge . friendly courteous , quickly answer every question ask . we never try restaurant hotel , plenty option block surround hotel . the hotel conveniently locate , two block Fisherman 's Wharf , close cable car , trolley stop , Blue Gold fleet ( Alcatraz tour ) . $ 6 round trip take nearby trolley China Town , Nob Hill , Union Station , Powell Street . want see Golden Gate Bridge , rent bike two seater four seater motorize vehicle place within two three block hotel . bridge 3.5 mile hotel . walk Gold blue fleet tour around bay , Angel Alcatraz Islands , Muir Woods . also , Super Tours office block two North Point . one morning walking , gentleman annouce folk wait lobby & quot ; Grayline Tours & quot ; .The room stay bit tight . actually two room , sofa bed , desk , coffee table , television first room , bed , dresser , television seperate room . bath room fine , extraordinarily big , cramp either . shower . con limited space bedroom . not lot space luggage . however bed extremely confortable . overall , happy room . the room , reserve mother , single room , much space . happy room . attempt include picture room . we stay three hotel trip San Francisco Las Vegas , say do , hotel agree good stay overall . hotel stay Las Vegas Holiday Inn Express couple block street . price equal , would recommend hotel Holiday Inn Express bed alone . 
 Jun 30 2005 	 great stay ! 	 husband stay Tuscan Inn Memorial Day weekend . great - pretty , clean , nice staff , great wine hour every evening . room little small nicely decorate clean . would definitely stay . 
 Jun 28 2005 	 Great Location 	 PROSThe location wonderful . two short block cable car , 1 block electric trolley step bus . never use car explore city . pier 39 , Fisherman ' wharf , Cannery Ghirardelli easy walk ( kid ) .Our room quiet well . nice listen car bus throughout night guest . CONSWe initially give smoking room although request nonsmoking desk clerk argue smoking room , smoking floor … ashtray room . switch room eventually even bellhop think smell horrid room . small room , could barely fit two adult two child room . also find kid friendly . couple family child there . the concierge knowledgeable like squeeze water stone get information . also look like interrupted sit ask question . overall though , location great hotel nice . would consider staying return without child . 
 Jun 16 2005 	 Great Location 	 stay Tuscan Inn 3 night April . great location , room clean comfortable manager wine hour welcome bonus . there problem though hotel receive request twin room end double first night . despite 3 request 3 promise rollaway bed , never arrive . night front desk personnel disintereste could bother , although day personnel lovely sort another room we . if plan time SF , would definately recommend hotel . want relax hotel , would well choose somewhere else . by way , hotel 's restaurant great . food lovely staff friendly . 
 Jun 1 2005 	 Good Location 	 hotel conveniently locate 2 block Fisherman 's Wharf . old hotel , keep well room satisfactory . morning Starbucks coffee lobby nice touch . I would recommend hotel resaurant . eat breakfast one day appal slow service , rude waitstaff , overprice breakfast food . plenty place eat within walking distance hotel . overall , would stay ( avoid restaurant ) ! 
 may 30 2005 	 Great Hotel ! 	 stay May 15 - 21 impressed hotel . first get room not ready yet since early hold bag call cab go sightseeing . come back room still not ready upgrade room king - sized bed extra charge . can not beat ! room nice , clean well - decorate whole hotel . staff friendly , courteous always offer extra help even check 4 am catch plane . breakfast dinner times restaurant join hotel , Cafe Pescatore , think food service good . you also can not beat Tuscan Inn location . close Fisherman 's Wharf great restaurant view well several tour office . I thoroughly enjoy week Tuscan Inn . would definitely stay would highly recommend anyone . 
 May 29 2005 	 great location reasonable price 	 wife take two trip San Fran 2004 stay good western time . first week January . hotel location great . fly San Fran airport , take BART downtown , take cable car stop 1 block hotel . do not need car do not deal parking car believe $ 30 day -- par city . hotel clean neat , room clean comfortable . critical room could use little updateing , big deal . front desk friendly , however terribly knowledgeable -- would assume high turnover . location great , active person walk everywhere hotel , fact take long run shore -- crissy field accross golden gate bridge . North Beach start block away head north , skip touristy fisherman warf area . restaurant everywhere , however eat tuscan restaurant hotel . far convenience -- cable car stop 1 block away along outstanding bus system get everywhere need go . plan visit city often , plan stay location foreseeable future . 
 May 23 2005 	 great roomslocation 	 husband & amp ; spend day San Fran . stop week long trip Napa . wonderful . room great Service wonderful . Wine / Beer serve 5 pm nice . locate 2 block wharf outstanding consider parking hard come . complaint Valet service . horribly pull nook big . wait 10 min help vacation , 's hurry , right ? ? ! enjoy stay . ! 
 May 10 2005 	 Great Room - Appalling Front Desk 	 room build quite nice - location excellent . front desk bad service year . take 45 minute check not wait line . wait , desk clerk stop help we talk guest , never apologize interruption , never look . also train serveral other manner - night manager ! ! ! ! ! dreadful service ! ! ! ! room clean well appoint - maid staff excellent . I recieve credit card bill , two extra charge total $ 20.00 . call , desk clerk mumble phone ask right number .. snotty tone , imformed & quot ; know , accounting day . & quot ; would stay change management . 
 Apr 29 2005 	 great location reasonably price 	 family stay Tuscan Inn April 20 - 25 two connect room . reasonable price hotel allow we book 2 room , thus give 4 we bit space 2 bathroom ( teenage girl , important ) . other say , bed wonderful . plenty room bathroom . air conditioning unit one room noisy , nothing terrible . concierge helpful , Happy Hour fireplace bonus . Kimpton Hotel , expect upgrade bit near future feel like less good western . the location perfect walking attraction . visit Alcatraz , Coit Tower , Cable Car museum , Lombard Street , Muir Woods Sausalito . eat dinner hotel restaraunt 3 time , mainly exhausted night , enjoy food . discover fabulous restaurant Chinatown - Hunans Home - 622 Jackson Street . highly recommend . reasonable , compare restaurant visit . although come big city , three negative observation SF : expensive , dirty far homeless people ' ve ever see Phila . 's say will not return - prepare , especially bring child . 
 Apr 25 2005 	 nice folk 	 much research hotel stay SF prior cruise , finally decide Best western Tuscan Inn near Fishermans wharf . nice , folk helpful -- let we check early without much frown -- polite eager help way . would love go back stay -- time little long . 's easy catch taxi anywhere want go , bellman helpful . bed comfortable nice comforter . food good resteraunt also . good place start cruise ! ! 
 Apr 23 2005 	 Great Hotel 	 spend six night Tuscan Inn nothing rave review hotel ! location perfect . walk distance Cable Cars , Wharf , Bus 47 F Line . great restaurant friendly staff . everyone pleasant helpful . nice clean room spaciousbathroom . anxious return ! Mary Jack Scituate 
 Apr 23 2005 	 Great Location 	 spend two night hotel . 5 minute walk Fisherman 's Wharf . good base explore local sight . generally quiet hotel . wine 5 pm nice treat . room slightly big typical room . substantive complaint hotel , area improvement include : $ 29 / day park car seem like lot . plumbing bit noisy . otherwise , pleasant place stay good part SF . 
 Apr 19 2005 	 oh gosh good bed ! 	 stay 2 night last week please . book hotel Priceline $ 85 per night feel like get great deal . give room king bed , peekaboo view Coit Tower quiet well keep . the lobby intimate charming , always bit activity . comfortable place . staff beyond kind helpful . the good thing BED . heavenly . back neck issue , first time year wake without pain . could slept day fact many thing wanted see short stay . the room small .... not realize small would , especially 2 adult one teenage son ( slept rollaway ) . would not hesitate stay , husband , son come , would want upgrade one suite . only 2 negative . air conditioning room essentially non - existant , room bit stuffy warmer would like . hotel restaurant food service ( opinion ) awful . thankfully eat one breakfast ! last visit ( 18 month ago ) stay Hyatt FW & quot ; fine , & quot ; Tuscan inn much charm , terrific staff ! 
 Apr 7 2005 	 great place stay 	 stay 4 night June 2004 disappointedAfter reading review decide stay . reviews correct . find staff friendly drink evening add bonus . Central everywhere would go back . 
 Apr 4 2005 	 Jerks 	 husband always try get away anniversary child 's death , March 31st . read Tuscan Inn book well advance arrival . sound like great place occasion . we take train Santa Barbara , know go arrive quite late . look forward assurance lovely room await we . turn , arrive around 3:00 a. M. totally exhausted . suppose arrive around 10 p.m.but guarantee credit card , know could get go sleep . well arrive sold ROOM ! totally shock . the snide , sadistic clerk desk completely unapologetic sarcastic . QUINN . said find we another room like one would reserve non - smoking King . also always look free wi - fi . take another hotel room totally reek cigarette , smoking room , 2 twin bed . almost 4:00 A.M. internet access free . I upset angry , desk clerk nothing black hole Best Western 's public relation . & quot ; MISTAKE & quot ; -there & quot ; MISUNDERSTANDING & quot ; abundance ill greed . if late arrival guarantee meaning , honored hotel , trust hospitality code ? never crappy experience hotel . really feel sized we decide try wield power , nothing could do . I tell friend , , despite Quinn 's assessment social status , bunch unsophisticated hillbilly . this way terrible . 
 Apr 4 2005 	 absolutely fabulous 	 big , clean comfortable room great location . free wireless internet room - fantastic ! 
 Mar 31 2005 	 not often give compliment 	 wife stay three night March 2005 . room face Courtyard . Quiet well design . good feature freebie drink reception 5 - 6pm . meet couple part world interesting chat several glass wine . not bother italian style cafe attach hotel . well near breakfast Wharf Inn Beach St , block away ( chinese run ) .Another english couple know stay since departure confirm opinion lovely hotel , well situate delight Fishermans Wharf 
 Mar 23 2005 	 great room fantastic location great service ! 	 husband stay 2 night march , concerme number comment regard size room - yes little small size 2 we plus toddler daughter find adequate family friendly ( particularly like lock mini bar / fridge door house seemlessly endless supply candy ! ) bed comfortable great room overlook street bay distance ( overly noisy consider location ) valet porter friendly nothing seem much trouble staff ! overall fantastic stay would hesitate book , travel agent picky nature work , would DEFINATELY reccomend hotel first option client want stay San Fran . would also urge vistor prebook Alacatraz Blue Gold Fleet direct website arrive San Fran pick ticket self service machine without miles queue ! 
 Mar 21 2005 	 everything appear okay 	 stay recently . everything go well . really like place . hotel pre book check nothing else pay . however , return home , discover hotel charge credit card $ 1.63 without knowledge day check . small sum money concern steal anything hotel use stuff bedroom bar ! hotel claim however & quot ; item remove & quot ; . other access food drink cleaning staff . suggest anyone stay make sure know take credit card leave hotel . I honest person stay many hotel Europe America never experience insult like this . my credit card company supportive refunded money aware . could lot money involve . word remove item ! 
 Mar 15 2005 	 spend three night last week 	 inside room , face onto courtyard . room small , mostly due king - sized bed rather large piece furniture room . bed really comfortable . staff friendly attentive . drive , disadvantage choose valet car unlimited & quot ; & quot ; privilege . think pretty pricey $ 29.00 per night plus tax . good feature hotel location , location , location . love could easily stroll Fisherman 's Wharf , Pier 39 North Beach . will likely stay . 
 Mar 10 2005 	 return 	 back ! stay San Fran visit college aged son . hotel first feel totally comfortable . staff friendly hotel appear outside . Kimpton Group take believe , give shakedown ..... comforter ...... gorgeous lobby friendy restaurant lounge . food & quot ; Cafe & quot ; quite & quot ; hotel - like & quot ; service make ..... plus SF food town ! many place explore hotel ! place geet major reccomendation . stay . 
 Mar 5 2005 	 Great Hotel brilliant location near Fishermans Wharf 	 stay Best Western Fishermans Wharf Hotel June 2005 really love everything . warm welcome arrival nice suite although room quite compact , however understand common Fishermans Wharf . suite locate inner courtyard Hotel lovely quiet away possible traffic noise . highly recommend Restaurant attach Hotel breakfast dinner . great Hotel stay reasonable cost close action Fishermans Wharf . free internet use reception area great touch . 
 Mar 2 2005 	 love 	 recently stay Tuscan Inn great experience . staff helpful , great location , charming . complimentary evening wine reception great , nice chance find 's good good . probably stay return May . 
 Feb 28 2005 	 good outweigh bad 	 husband spend 3 night January 2005 . believe pet friendly motel , would account overwhelming smell animal urine nearly knock we every time enter room ! motel full New Years , able move another room . apart , staff friendly helpful , room nicely decorate , bed comfortable . also internet access fee main lobby . we would probably stay , location also good . 
 Jan 19 2005 	 great 5 day 	 return several day san francisco want record regard tuscan inn , comfortable welcome kimpton hotel fisherman 's wharf . room clean charmingly appoint ; staff could friendly , knock make guest feel welcome . daily wine hour 5:00pm warm way end day ease evening . hotel winner ! 
 Jan 12 2005 	 Fantastic San Fran ! ! 	 spend 2 week ( gather quite long time ! ! ! ) Tuscan Inn Sept 04 & amp ; great time . the hotel lovely - really clean friendly helpful staff & amp ; fantastically situate North Beach & amp ; Fishermans Wharf . we room face inner courtyard first floor & amp ; find quiet & amp ; comfortable . we really could find fault either hotel San francisco , & amp ; would hesitate stay . ps .... miss Alcatraz - book advance ! ! ! 
 Dec 25 2004 	 Bargain Hotel Class 	 spend 4 day good western Tuscan Inn , Fisherman 's Wharf San Francisco week Christmas . book room Expedia , , hotel would not credit Best Western Gold Card either point air mile . price great small comfortable room . room 3rd floor sidewalk street North Point . windows crank operate , thin , street noise city bus 5:30 morning 10 night . heavy sleeper not really bother we , seem bothered reviewer . hotel italian mediterrean theme everywhere , entrance , lobby , garden courtyard , restaurant , room . staff 100 % present attentive every need . friendliness remind much Aloha spirit Hawai ` ian resort hotel . lobby small cozy gas log fireplace , perfect take away chill cool , foggy walk waterfront . guest actually talk one another morning coffee , free hour wine 5 pm . highly recommend hotel , quality economy . we buy food one 3 grocery store block hotel . i'ts 2 block Fisherman 's Wharf , 2 block cable car turn - around , 1 block F - line trolley car , 3 block Pier 39 . like start end day walk sea lion k pier Pier 39 . also take Blue Gold ferry Alcatraz , suggest everyone visit S.F . see sight ferry boat ride , rich history lesson . another day trip rent car drive Monterrey Bay . 
 Dec 14 2004 	 Excellent 	 stay November ' 04 , love ! convenient wharf , trip Alcatraz . helpful staff allow we check 4 hour early , continue impress ! complementary wine taste evening bonus ! ! recommend . 
 Nov 28 2004 	 top mark tuscan 	 great hotel , great staff , great location problem ever . keep good work ! ! ! ! ! ! ! 
 Nov 20 2004 	 Convenient well manage 	 stay three night October . hotel conveniently situate pier . whole place give impression well manage . staff helpful attentive , room quite spacious whole place looked care . room open onto garden quiet . event adjoining street busy . rate reasonable certainly stay return SF . 
 Nov 18 2004 	 mixed Bag 	 can not beat location stick , & quot ; suite & quot ; awfully small . thermostat give we choice baste chill frosty . at $ 80 - 100 4 star $ 150 night look little . 
 Nov 17 2004 	 place 	 tuscan inn great place spend week since locate away noise action wharf also close cable car travel around city . early flight arrival actually let we room check first many plus hotel . hotel wine hour day great way relax day touring also meet other . friendly service evident day gentleman conceirge patient helpful . grocery store right around corner nice grab juice pastry rather full scale breakfast . could recommend place return tuscan next vacation california . 
 Nov 15 2004 	 tuscan inn wonderful 	 stay 3 night last week . room small nice . staff friendly location great . got & quot ; good rate & quot ; good deal . 
 Nov 13 2004 	 enjoy stay 	 really enjoy Tuscan Inn . staff extremely friendly helpful . coffee morning great . & quot ; happy hour & quot ; 5 - 6 great touch . enjoy drink wine meeting guest . close Fishermans Wharf . basically 2 block water . minor downside , other mention , bathroom / sink lighting . room little small , totally fine two people two full sized suit case . stay hotel next time San Fran . 
 Nov 9 2004 	 wonderful Hotel ! 	 husband stay hotel October 29th November 2nd , 2004 . book hotel recommend Frommer 's travel guide . also look review tripadvisor also help make final decision . our room average size , especially like fact couple chair table . hate watch tv bed ( tough bifocal ) . bed comfortable bed think ever sleep , not know mattress new , great . also comforter bed several pillow per bed , hard get morning . actually look forward get back bed . the room everything need , bar , refrigerator , big tv , shampoo supply , hair dryer , iron board iron , umbrella extra pillow . also keyboard wireless internet ( extra fee ) . also request courtyard view room keep noise ( although early everyday anyway ) . lobby free coffee , tea biscotti everyday wine snack 5 p 6 p daily . newspaper desk everyone . eat adjoining restaurant - impressed . the hotel centrally locate attraction , 2 block wharf . nice . lot restaurant around , lot souveni shop . pier 39 spend lot time watch sea lion ( everyone else ) .All enjoy stay would hesitate recommend anyone would certainly stay . staff nice . 
 Nov 9 2004 	 Excellent ! 	 return week San Francisco Tuscan Inn think would give view excellent stay . have pick hotel review site couple other please choice . the room medium size - 4th floor nice quiet , chiller useful bed comfortable - surprising hotel . the location 1st class , minute wharf attraction , close Safeways Supermarket ( open 7 12 pm ) handily place bus , tram cable car . the staff seem pleasant efficient whenever dealing , indeed quibble bell boy front little undermanned occasion let alter view hotel overall . do not miss complimentary drink give Prescatore visit good value . want breakfast site would recommend IHOP nearby , although get busy weekend may wait . my final thought - 1 recur image week ( 1 Nov - 7 Nov ) staff demonstaration outside number prominent hotel , many day long vigil many noisy - good news Tuscan 1 ! 
 Nov 1 2004 	 love Tuscan Inn 	 wife stay Tuscan Inn four night , October 16 19th , 2004 . room small clean nicely decorate . slide shutter two window could open fresh air . location perfect first - time visitor Fisherman 's Wharf lot nice thing place eat . transportation close ride cable car , streetcar bus anywhere want go , Little Italy Golden Gate Bridge . concierge even give we pair City Passes someone turn four day still , ride everywhere free . staff friendly coffee & amp ; biscotti snack morning wine late afternoon nice . lobby calm look potted flower small courtyard . soft italian music play lobby pleasant . concierge arrange many different tour provide map help we get around city . rent car Budget , block away convenient . would definitely go back Tuscan Inn easily recommend . 
 Oct 13 2004 	 shatter image Best Western 	 stay last week September 2004 . lovely hotel front desk staff warm welcome we arrive -- tired still NY time . room pretty plantation shutter view small courtyard . travel 2 kid ( 4 & amp ; 6 ) . good place kid -- smallish room , overprice restaurant ( though good food ) pool , would stay 2 we . crowd time hotel -- several tour bus ( much old people -- be 30 ) . wine reception evening potential nice , crowd old folk , walker , etc . , rather smallish lobby . coffee biscotti a.m. nice , . good thing location , close walk wharf place . good ( inexpensive ) sushi place around corner -- not deter appearance , helpful Walgreens across street . pleasantly suprise & quot ; Best Western & quot ; always think Best Westerns motel - type place . 
 Oct 4 2004 	 easily accessible wharf 	 close proximity Fisherman 's Wharf . room small side nicely decorate extremely comfortable bed . like bathroom light shine bedroom ( door alcove ) . staff accommodate friendly . enjoy morning coffee 5:00 p.m. cocktail hour . 
 Oct 4 2004 	 Clean Close 	 tuscan another couple 9/17 9/18 . go positive TripAdvisor commentary disappoint . room bite small clean nicely maintain . bed firm -- like . take advice past guest ask 4th floor room quiet . location perfect Fisherman 's Wharf adjoining area . price : quality ratio excellent . staff friendly vino hour evening nice touch . 
 Oct 4 2004 	 great location 	 stay 5 night would definately recommend hotel . check - in get busy although get lucky queued couple minute . check - in clerk not particularly friendly busy polite . the room good size location , couple block wharf excellent . afternoon wine / beer great idea , free morning tea / cofee . note car , overnight valet parking $ 26 right next door car park $ 15 take 30 second get car back hotel - pay $ 26 ? greedy hotel . we small problem hot water 5 pm often run ( many guest get ready free drink hour ) . bit frustrating enough spoil stay . all , definately recommend hotel . 
 Sep 29 2004 	 Great Location ! 	 return 4 night stay Tuscan Inn . convenient Fisherman 's Wharf easily get location city via muni system . cable car bus within walking distance . hotel clean staff friendly . take alot tour pick we right hotel . California Jeep Tours ( 2 - 5 people ) city tour Great Pacific Tour Company ( 14 passenger van ) Carmel / Monterey Muir woods / Sausilito . tour much well big bus tour . great time ! 
 Sep 28 2004 	 love bed ! 	 love bed ! comfortable bed , almost hate get . room somewhat small well appoint . great location , close everything . wonderful coffee ! staff nice . would definitely stay . 
 Sep 27 2004 	 Nice hotel 	 second time stay Tuscan Inn . hotel nice clean , convenient location , staff friendly helpful . negative bathroom area little small . stay next time San Francisco . 
 Sep 25 2004 	 great relative 	 live city , folk stay hotel town . submit something would not stop talk ... really enjoy complimentary wine hour , massage table nice touch , especially wear - out leg . big breakfast fan , rate egg benedict french toast among good city ! will back ... 
 Sep 20 2004 	 Great Location small room 	 first impression walk room - ? ? extremely small . also , plan sleep , not . not dark curtain hotel . large mini - blind not keep light . every morning get around 7 : ooam put pillow head sleep later . difficult garbage truck ( ? ) could hear almost every morning around 5 6 . ouch ! ! location good . close wharf . walk almost every night . stay 5 night . not really impressed staff . nobody go way make we feel welcome . it not terrible bad experience , would not stay . 
 Sep 7 2004 	 great location 	 great location Fisherman 's Wharf hotel homely , personal touch . room clean , warm comfortable not expect great view room . use foyer free drink 5 - 6pm popular especially fellow Brits ! find staff helpful especially lady concierge supply map bus route Lincoln Park . walk Ghiradelli Square would highly recommend stop Buena Vista Cafe evening irish coffee .... two ! 
 Sep 7 2004 	 Recommend accommodation 	 Tuscan Inn , Fisherman 's Wharf district , San Francisco . this hotel get 4 star recommendation we . character hospitality belie typical best western chain . the complimentary evening wine reception , lobby end quite lovely , give inn european style accommodation . for first timer Best Western Inn consider great place stay explore beautiful City bay . 
 Sep 2 2004 	 Great - Loved ! 	 Superb . lovely hotel excellent location . room ( although suppose small US standard ) cosy everything want inc . heating ( yes August ! ) clean bathroom . fortunate enough courtyard room gather well option . free coffee biscotti morning nice touch never make back time free beer wine 5 - 6pm . valet guy extremely helpful friendly check in / guest service staff whole uninterested unhelpful . concierge say stand chance get ticket Alcatraz ( walk around corner find agency selling ) - perhap ' ve offer $ 20 tip ? ! Tip - book Alcatraz - www.bluegoldferries.com - $ 16 pp rather inflated package cost tour agency . get stick car hire overnight pay $ 25 park - bit steep car park next door less - doh ! overall though top hotel excellent location . make sure make 15 - 20 min walk Stockton Ave Little Italy not get totally distract Fishermans Wharf ! 
 Sep 1 2004 	 Honeymoon 	 location nice . service need help ! tell since honeymoon would recieve champagine basket never happen . the front desk clerk rude ! suite small pubic hair bathroom floor ? ? ? ( know ) act get flower deliver room place corner . pay park garage evan stay 5 day . thing nice say be . on fourth floor every morning cleaning lady would greet we smile Good Morning ? one else place know thing . 
 Aug 30 2004 	 great place stay 	 recently spend 8 night love . bed outstanding ; room lobby attractive ; enjoy italian restaurant adjoining hotel . think location excellent -- attraction San Francisco one spot , hotel adjacent everything want see . able take bus cable car place far walk . Golden Gate Park Sunday favorite place -- 's entire universe activity go 
 Aug 23 2004 	 good Stay 	 nice hotel close action ; however , like location - close Wharf , area hotel seedy . return would try downtown take public transportation Fisherman 's Wharf . 
 Aug 23 2004 	 Loved ! 	 Love hotel ! location could well - 2 block Wharf ! ! ! room small , invite ! decor nice , comforter , honor bar , etc . view brick wall next door , room night not matter . garden view would nice option get . highly recommend hotel ! ! ! 
 Aug 19 2004 	 Average Stay 	 stay one night Tuscan Inn . hotel could well location -- can not beat ! ! check smooth . room ready comfortable . nicely appoint room . suggestion : wooden blind not keep room dark enough sun rise , street noise bit loud ( buy set ear plug . ) remote tv not work ( new one set promptly . ) bed comfortable nice thick comforter . courtyard full bloom beautiful flowering plant . not get chance sample afternoon wine go day . valet quick get car garage helpful direction . hotel restaurant bit price good service good quality . would stay would highly recommend . 
 Aug 16 2004 	 would stay ! 	 courteous , responsive service great location ! Wish could go wine hour always sightseeing . room outer perimeter get street noise , not keep we sleep well . consider close Fisherman 's Wharf , surprisingly quiet ! , great stay would stay . 
 Aug 16 2004 	 Location Location Location 	 stay best western Tuscan Inn August 6 - 8 , 2004 . visit San Francisco first time love Fisherman 's Wharf , hotel might place stay . central Pier 39 , Ghiradelli Square .... walkable ... need ride cable car drive Golden Gate bridge , Golden Gate park , Union Square Chinatown . hotel overall clean ... room small ... nice clean ... bathroom little old side .... great .... service okay .... lot restaurant shop nearby .... Cafe Pescotta next hotel .... food good .... check .... good hotel ... worst either ... average ..... want convenience stay .... want luxury go somewhere else 
 Aug 10 2004 	 Nice hotel great location 	 stay San Fran 4 night Tuscan Inn . hotel good , room little small clean bed comfortable . location excellent- close touristy thing . manager little grumpy first check rest staff extremely friendly helpful . would recommend hotel anyone . bring woolie though coz San Fran sooo cold ! ! 
 Aug 4 2004 	 great Birthday stay ! 	 great stay birthday last February ! service good , wine service evening nice ( though somewhat crowded lot sit space ) next fireplace , location awesome ! room small , big enough 2 adult 1 child , yoga supply nice touch . would definitely stay . 
 Jul 29 2004 	 comfortable hotel 	 stay 9th - 12th July . comfortable hotel good location ferry Pier 39 . check quick efficient . book one room King size bed sofa bed 2 teenager , think sofa bed put back day would space 2 Queens . price prohibit book 2 room , do Vegas Anaheim . regret , sofa bed pull little space maid put back day . sofa bed one blanket daughter cold , request extra blanket still cold , request duvet ( quilt ) despite ask twice never appear . glimpse room contain 2 Queen bed seem space . pleasant stay , room clean , bed really comfortable reception staff friendly . free morning coffee evening wine reception good opportunity meet guest . adjoining restaurant good agree previous reviewer Tiramasu well ever taste . pity not serve buffet breakfast , go across road Sheraton restaurant breakfast good . also use I - hop round corner . another dissapointment request courtyard view could see 2 pot plant corner , could also hear noise street late night . think would stay 2 we sharing room , sure would really comfortable . agree previous reviewer need warm clothe San Francisco , evening trip ferry Alcatraz cold windy morning trip Muir wood cold damp ! however , sun burn mist pleasantly warm . book coach tour Muir Woods Sausalito jeep tour San Francisco internet www.alcatraz.us excellent . 
 Jul 28 2004 	 worth 	 room tiny still decorate 70 style . bathroom need face - lift also . happy hour okay guest age 55 - 75 not fit . want $ 25 plus tax park . people desk cold helpful . luckily let we leave first night get well deal airport . 
 Jul 26 2004 	 great hotel 	 return vacation first stop Tuscan Inn . 4 child book two adjoining room . agree reviews room small side , think hotel great overall . service friendly helpful front desk , conciege deal good . need direction offer find . , great place stay , especially kid . 
 Jul 22 2004 	 impressed 	 good experience Best Western lately presently surprised spot . greate friendly helpful valet . give we great local place eat thing see . yes , room small money pay location wonderful . stay room San Francisco ? cable car street make easy get around . would definitely stay 
 Jul 20 2004 	 ok 	 ok hotel , small tight room , nice lobby good location want tourist get draw wharf , good part hotel- restaurant downstairs corner , little pricey good breakfeast dinner . want center city , check location different area . oh yeah - bring sweatshirt sweater warm jacket , pretty cold , something would never expect California Mark Twain right accord bus driver good time visit Sept/ Oct , fog burn see beautiful sun 
 Jul 13 2004 	 Great Hotel 	 great place stay convenient . be locate near Fishermans Wharf blocks away , be still quiet . room nice small ask room face courtyard . every afternoon 5 wine serve nice way relax day sightseeing . hotel wonderful concierge extremely knowledgeable helpful . 
 Jul 8 2004 	 wonderful experience ! 	 daughter stay Tuscan Inn early July 2004 two night love ! staff friendly helpful , bed comfortable , room clean , location convenient . really enjoy evening beer wine reception give we opportunity meet visitor share tip visit ! also love chair massage ! would definitely stay recommend friend . comment room small Tuscan , issue we ... see city , hang hotel room ! 
