trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Aug 25 2005 	 Hotel charge Credit Card Cancellation 	 read terrible review hotel ( blood sheet ? ! ) , boyfriend decide stay . call cancel reservation well cutoff period ( 24 hour advance ) charge anyway ! call tell hotel staff mistake tell sorry inconvenience , will not credit credit card . guess policy not set stone - least benefit customer . 
 Aug 25 2005 	 Thieves Dream Hotel 	 cancel reservation Dream Hotel still get charge night . contact hotel management tell since staff failed provide cancellation number , would responsible room . quite disturbing since hotel fail follow procedure elect penalize mistake . bad hotel experience ' ve ever . not even stay . 
 Aug 22 2005 	 worth money 	 really excite visit hotel . spend 2 month planning trip New York girlfriend , read 4 start hotel , see review ( good bad ) not phase great deal & quot ; sounded & quot ; like experience . wrong . plan never hotel , livable couple day . room literally big college dorm room . sarcastic . enough room bed , small desk two night stand . girlfriend turn sideways walk past get thing luggage . also window . 's ? fake window cover piece paper look like decoration behind fish tank , rip , also . also make big deal egyptian cotten sheet bed . well , bed different ; pillow top lining make bed soft . like previous review , also airconditoner leak . not bother we , make room smell wet . funny part room full length mirror , room small , mirror weird place room feel like circus mirror squat see . staff nice , every night turn bed put apple orange pillow . , private party upstairs bar weekend . even guest could not get . think pretty crappy guest right go bar hotel pay . New York several time stay hotel Waldorf Hilton Holiday Inn Dream . hotel let . like say , plan outside tour city , thing not bother enjoy extra saving hotel great location . , WOULD HIGHLY RECCOMMED spend extra $ 50 night different HOTEL like Hilton . Dream HOtel worth money . plan romance wife / husband highly dissappointe hotel . 
 Aug 22 2005 	 neither Pleasant Unpleasant 	 originally book hotel like decor / look website . plus side , bed comfortable like something would home ; hotel staff friendly efficient ; bathroom nice ; tv great amenity . negative side , website advertise room equip Bose speaker iPods may rent . bring iPod still expect put $ 400 deposit rent cable plug speaker . room hour , interrupt hotel staff insist clean glass room & quot ; would not tomorrow & quot ; . elevator slow death Penthouse guest usher front guest wait elevator . concierge seem lose confront train take downtown . , neither pleasant unpleasant experience , future pay $ 300 / night , definitely opt & quot ; safe & quot ; hotel . 
 Aug 17 2005 	 please read ! imagine Hotel bad 	 read several bad review , decide give Dream try anyway . sound look great website , call make reservation , accomodate easy deal . please trust one ... hotel bad could ever imagine . upon arrival learn private party hold site bar open hotel guest . since one mention we , plan stay hotel dinner drink , big disappointment . room notice air conditioner leak . call let front desk know . also ask ice well ipod dvd player call air conditioner . tell would half hour decide leave hotel dinner . stop buy dvds way home watch room . get back 3 hour later , air still leak sign dvd player ice room . call front desk tell run ipod , dvd wire short fit tv outlet , come give we ice one answer door . offer pay $ 60 money spend dvds , however , decide do not want stay horrible room ( small , leak a.c . , movie ) . good thing say tell go leave reason , refund we full night . please go somewhere else ! go Sheraton times square 100 time well ! 
 Aug 17 2005 	 careful ! 	 make reservation 35 wedding party Ava Lounge rooftop Dream Hotel , room newly marry couple night . arrive 11:30 pm , reservation time , guest advise table space 7 stand room remainder guest . age party 20 - 90 , many overseas town . manager duty tell we good could , way handle reservation . method & quot ; handling & quot ; reservation disclose time booking , , would obvious good choice group . amount discussion Bride attempt reasoning could exact solution . guest leave process become apparent room reservation Ava Lounge . -- -- wedding party , end rather upsetting note . direct lobby lounge , guest use , rooftop lounge reserve . we request drink comp , refuse . Dream Hotel Comp hotel room night wedding couple . reccommende venue ! 
 Aug 13 2005 	 really really nice ! ! ! 	 recently stay dream hotel ten night ! review expect worst get pleasantly surprised . upgrade big room even get $ 39 dollar extra / night everyone talk tiny size room . room big , clean , comfortable - absolutelty complaint . good location , friendly staff .... absolutely complaint ! stay hudson , W Hotel Sheraton Manhattan definetely . 
 Aug 8 2005 	 Dream great hotel 	 get back spend night New York Dream Hotel . concerned arrive negative comment read . fact , great . reserve medium room , totally comfortable husband . bed one comfortable ever sleep hotel . bathroom fine . room quiet black shade make pitch black could sleep late . front desk staff helpful , include tell we could find garage right across street much cheap use hotel valet service . get ipod well two drink voucher use hotel bar . stay Dream next time New York , especially easy walk theatre district . 
 Jul 22 2005 	 Loved ! 	 fiance love hotel . bellman front desk extremely nice courteous . love decor hotel room ( small , be NYC , expect ? ) . great in - room amenity . definitely stay . 
 Jul 22 2005 	 one Absolute Reason would never go back 	 hotel wasn'st bad . even totally overpay tiny standatd room book last minute . the staff friendly . check super fast . show room within 10 min , , check around midnight . Staff seem short handed . whenever call front desk concerige , put hold quite . room tiny , surprise warn . thing could understand room deco would put huge desk drawer tiny room . oversized desk drawer take half space room . bed take half space , really struggle little nevigating around room without bump furniture . could utilize space lot adquately sized desk slimer / shallower drawer . freaky neon light desk ? blue neon light bug hell keep turn . maid keep turn back everyday , sometimes twice day . later gave live light . Plasma tv mean nothing one sit around watch tv hotel NY . infinite choice flick grimi Indie chic - e retro NY , pay generic movie hotel ? besides , go night . time watch tv . good thing , excellent location . well , would prefer town , boutique hotel affordable one right F/ NR/ 1,9 train convenient location transportation . the room bathroom clean . linnen crisp comforter . fruit thing weather forecast cute helpful . bathroom average clean well equip . magazine holder front toillett magnifying mirror , towel good . not bring toillettery check boutique hotel , quite happy find Molton Brown one . make problem go away one . the absolute reason would never go back there . there full length mirror ! Come- oooooon ! coudl call boutique hotel without full length mirror ! People choose boutique hotel conscious look other . could anyone leave important detail . never mention boutique hotel , ' ve never hotel without full length mirror . 5 day , idea look like . whether heel match jean new pair jean would go top bring , etc , etc . 's crime really . furious . would gotten hell next day move another not pay whole 5 day advance Expedia , non refundable term . choose little mismatched blow 1300 $ . , impress Expedia either . reason , would never ever go back impost boutique hotel . even though , can not imagine , people live without full length mirror go . 
 Jul 18 2005 	 rate 	 hotel ready prime time . book confirming & quot ; large king & quot ; sized room , nonetheless , place tiny tiny room twin bed . call downstairs complain quickly place proper & quot ; pay & quot ; large size room . excuse get Hotels forward reservation & quot ; standard & quot ; room . obviously true , Hotels send multiple email various place list room & quot ; large king & quot ; . New York , need speak get ' ve pay , spend $ 300 night . passive , would spend night tiny box . the hallway way dark , narrow hot . nightclub hotel hallway ? small hallway ever see . air conditioning could feel floor , lobby . air conditioning unit room occasion , loud , keep wife awake . Plasma TV 's cool , handful channel , premium channel in - room movie purchase available , Plasma not big deal . like Mercedes without wheel . coffee maker room . room service inadequate . wife order large pot coffee , send one cup . muffin come without butter , jam jelly . one ask & quot ; many & quot ; room service order . the bathroom show style , fact , bland first word come mind . for price pay , well hotel New York . 
 Jul 17 2005 	 will definantly stay 	 stay Dream 5 night read bad review rather worried stay , nothing worry . upon arrive staff polite show room straight away . although room small big enough two we sleep enough space we hang clothe , room fully decorate modern . bathroom decent size stock full towel molten brown toiletry . although ipod room still plasma tv channel watch night . enjoy stay Dream would definantly stay . 
 Jul 8 2005 	 great hotel 	 husband stay dream find great experience . arrive dread stay , review site . room small , modern nice . room keep clean piece fruit place pillow every night weather prediction next day . never wait 30 second lift fish tank reception amazing . side Ipod room request one tell . beware airport shuttle service concierge arrange , book ride night , ride fail show ' bother ring let concierge know come , cost 40 dollar end cost we 70 dollar end take private taxi airport . apart , great time definitely stay hotel . 
 Jul 8 2005 	 Absolute Nightmare 	 boyfriend decide stay Dream Hotel newly renovate , regardless bad review . soon arrive , Dream quickly turn & quot ; Absolute Nightmare & quot ; . bellman door help we luggage hotel front desk staff unfriendly accomidate . wait 3 hrs check & quot ; Tiny & quot ; room soon find & quot ; huge & quot ; roach room . , move we second room find blood stain white bed comforter . demand speak manager site time ( 1 pm ) wait around awhile . finally move we suite great worth trouble encounter . even hotel staff ( front desk ) nice accomidate , room worth price . room tiny , bathroom also tiny decoration impressive even & quot ; cheap & quot ; plasma tv . however , bed comfortable location great . , get well deal plus free breakfast Libary Hotel Mansfield Hotel little money , Royalton absolutely dream hotel ! ! ! 
 Jul 7 2005 	 great weekend City ! 	 boyfriend stay Dream may find great rate Hotels . lobby cool room , although small , clean modern feel . location close everything ! disappointment rooftop bar not open yet . Otherwise- make great weekend ! 
 Jul 6 2005 	 hotel dream rip . 	 stay DREAM one night , far bad purchase ever make NYC . room complete finish . Carpet missing area room . pre - load iPod speaker ( hotel boast available room ) available . hallway air - condition rather foul odor . rooftop bar , ava , open . neither fitness center . front desk seem motivated help way whatsoever . shower bathroom hot water . sum , money well spend establish hotel category W Hotel chain . 
 Jun 27 2005 	 little Room could - 	 accompany husband business trip check room face 55th street king - size bed . yes , square footage relatively small , , design room well think nice point really appreciate . window two shade , one block light second opaque privacy - window open . plasma tv installation save space . place headboard 7 - foot square upholstered plether - comfortable sitting bed . bed solid sheet , etc . good quality . desk / vanity glass top can not lose item drawer . bathroom nicely design detail toilet paper dispenser opposite commode - twisting paper ! excellent magnifying mirror set sink , side . save well last - someone extraordinary lighting . recess light ceiling dimmer switch . closet light . two full sized architectural light fixture either side bed excellent reading lighting . underneath bed long neon tube attach bracket . Flip switch next bed soft purplish / blue light cast around perimeter room 10 inch ground . not annoy - like settle glow aquarium . ultimate night light - perhaps , like worry get middle night , may disoriented trip something . light eliminate worry . hotel family - 's nice hotel individual couple want stay midtown . 
 Jun 21 2005 	 not stay ! 	 hotel awful ! leaky air conditioner ask stay room , instead move another room . wait 30 - 40 minute bag come room lie location bag . room small ... queen size bed 185 square foot room consider medium room ! ! DREAM website also misleading ( square foot room equivalent small room , could fit queen size bed , consider medium room ) ! never stay would recommend hotel anyone . suppose stay 6 day , check two day go different hotel . try give chance , awful . 
 Jun 20 2005 	 False Advertising avoid ! ! ! RUDE ! ! ! 	 website advertise medium room 235 sq ft , 42 & quot ; plasma tv , queen bed . aware , however , get could get room small 185 sq ft considered & quot ; medium & quot ; room long queen bed . happen we . small room , rude front desk people ! ! poor service amateur appear remodel . relatively cheap , get pay . absolutely would stay . cancel last 4 5 night intolerable . advertise provide . also small hotel ( 12 floor ) view possible . 
 Jun 20 2005 	 Excellent hotel 	 boyfriend stay hotel 2 night June 05 . room small nice modern . unfortuantely view brick wall not much problem . huge plasma tv room lovely impressive fish tank lobby . elevator bite slow get eventually . nice bellman name Edwin friendly helpful recommend great chinese restaurant we . also helpful concierge kindly rang airport arrange pickup car we , could get phone hotel room work , even ring back change booking realise get wrong flight time . good hotel would stay . 
 Jun 6 2005 	 Nightmare 	 truly bad hotel experience ever . hotel try way hard cool - not work . loud ( door slamming night ) not sleep two day . mysterious black grease door get clothe . go call security 4 am listen kid run hall night phone dead . 's safety ? take forever get elevator . skip one unless be insomniac like listen people 's music thumping wall . 
 Jun 2 2005 	 Fun Dream 	 recently spend two night husband Dream . friend make orignial reservation book 2 double bed . husband , 275lbs . linebacker one share double bed ! try change cancel reservation phone unsuccessful . arrive hotel eventually speak GM get great room . back corridor quiet . keep want wake early never wake 9 am ! far NYC hotel go one clean spacious normal standard , nice size NYC . decor chic fun . 's fish tank two story high nice lounge first top floor . open spa soon add lot well . friend stay across street dump 's comparison ! terrific bellman name Edwin help every way could enthusiastic really friendly . pretension staff kinda funny since scratch surface 's much . ( i.e . concierge could not spell Westchester ) spend last night W Lexington room much small lot small problem . would definitely stay Dream , although would probably still look around . 
 May 31 2005 	 Overpriced hotel 	 get hotel 2 pm drop luggage room . come back hotel room around 11:30 pm closet room air conditioning ( May 28 , 2005 ) . staff transfer we another room , inconvenient . room upgrade , still small . toilet leak , bed comfortable . tv room flat screen tv . hotel restaurant good food , overprice , like room . staff hotel not customer service , friendly . little disappointed pay keep car , price include room complimentary . 
 May 27 2005 	 avoid nightmare 	 stay Dream four night May . disappoint . room small keep bump leg corner bed try walk . two lift , wait time go come room . evidence ipod room indeed promise Deepak Chopra spa . hotel gym hotel allow access gym road . complimentary breakfast advertise breakfast Serafina complete rip . roof top bar loud full drunk , suited city boy last night firealarm set someone get stick lift . evacuate hotel reassurance staff go . instead surly bouncer tell we go back room . recommend . 
 may 27 2005 	 worth checking 	 stay dream one night business trip . find room comfy clean . restaurant site good dinner however pretty busy . breakfast service could bit attentive . like new property 's worth check becasue everything new , date clean . plasma tv room nice touch . front desk staff accomadating request include 2:30 checkout allow conference call . room book quikbook . find nice Time , Paramount nice Muse . 
 may 25 2005 	 place avoid 	 well , & quot ; terrible & quot ; , far & quot ; Okay & quot ; either . prepare small room , expect , justifiably price , believe , tininess space would compensate modicum luxury . instead , cram intio white cubicle , even picture wall . & quot ; luxury & quot ; flat panel tv , mount exceptionally tasteless impractical way . incidentally , not work , take call mintenance get fix ( 20 minute ) . doorless closet , enough room even bring along two - day stay . third - rate bathroom , plastic shower curtain , counter space . 10 minute wait hot water . slide door bathroom bedroom would helped avoid thye necessity carefully plan movement room prior open bathroom door . the bed comfortable , read light awful . irritatingly , window shade useless , waken dawn light pour room . no coffee maker . request one elicit suggestion order cup coffee ( tea ) room service ( $ 7.00 cup ) .Apart ridiculously pretentious decor corridor , level accommodation $ 50.- airport motel , whre airline put flight cancel travel coach . the service personnel slightly haughty , professional polite . 
 May 9 2005 	 Dream ? like nightmare 	 come Dream expect great thing , due excellent web site ( nice one , Sri ) , immediately disappoint & quot ; not give damn & quot ; attitude majority staff tackiness lobby . understand mean indian feel , opinion appear tacky . the room small , even NYC standard , extremely limited clothe space room store empty luggage . pay - on - demand movie cd player . request IPod , room service eventually deliver , calble order play thru Bose radio . the service breakfast first morning bad say least , service lobby penthouse bar rude unprofessional ( charge drink room ! ! ! ) . check early go stay Royalton enjoy wonderful service attention .... suggest , Dream experience definitely need repeat . 
 Apr 29 2005 	 's design 	 hotel design . 's might expect find hip hotel Milan . staff friendly dressed designer french/60s uniform . large column hotel lobby double exotic fish tank , eclectic furniture , current music emanate speaker lobby , attractive clientele , provide chic atmosphere . hotel well locate plan take Broadway show , visit Central Park check local museum . other say , bed quite comfortable , feather - bed - type , nice linen . orange pillow case make atypical turn - down experience . side , pay $ 319 & quot ; large & quot ; room , would say would quivalent small room hotel . imagine small & quot ; standard & quot ; room must Dream . room rate mid- $ 200s , hotel would good value . high $ 200s , low $ 300s , many hotel mid - town Manhattan probably well value , traditional atmosphere . Carlyle ( block away ) Helmsley Carlton House ( Madison Avenue across street Barney 's near high - end shopping ) come mind . 
 Apr 25 2005 	 Dream keep get well 	 second trip Dream first stay enjoyable , late experience fantastic . seem work open kink track deliver fantastic guest experience . Chopra Center open September , definatly make return trip ! 
 Apr 21 2005 	 underated ! 	 read review , skeptical book hotel . pleasantly surprised clean room , ultra modern decor . 42 inch plasma tv great use high quality bathroom product . price great NYC , especially consider great location . book small room ... small . 
 Apr 17 2005 	 Great experience 	 get back wonderful trip ny . go twice year , try stay new place time . nervous renovated hotel , intrigue , give shot . deal solely one front desk staff throughout stay . , try get take care check . sure name , intend find write letter behalf . scandinavian ... believe , blond , attractive , extremely extremly efficient accomodate . kept cool midst busy check - in / out rush . 4 day , see two woman desk ... fabulous . handle thing go beyond courteous . female traveler get irate poor customer service , truly appreciate that . the room tiny other say , linen comforter well ' ve see long time , night piece fresh fruit place pillow turn . apple , orange , pear . first concierge deal good . handle confirm Nobu reservation skill , get right back . second concierge miserably inept .... not know answer basic question ask he . request room Broadway ... noisy , although take earplug use anyway . location hotel ideal recreational traveler ... central . elevator small .. little slow ... since never terrible hurry not care . Doormen not open door we much stay ...... giggled everytime walk ... not important we . Serafina restaurant nice option afternoon cocktail . ava lounge like frat party Friday night venture up . I think might break rule stay , base care front desk person , comfy bed , great location , great toiletry . 
 Apr 10 2005 	 worth Try 	 stay one night solo business trip . aside early morning noise garbage truck cold bathroom floor , enjoyable stay . top floor lounge great view Broadway , fairly busy Tuesday night . feature stand quality bed , linen , toiletry , definitely location . go New York would say be worth try , like stay different place time go . 
 Apr 5 2005 	 Fabulous Hotel ! 	 tastefully understate , wonderful hotel , excellent location , staff delightful . would recommend anyone .... anytime ! can not wait stay . 
 Mar 31 2005 	 find Dream one 	 quick note let folk travel NYC check Dream Hotel . great ambiance , great service , GREAT PEOPLE . 
 Mar 21 2005 	 average 	 Good Location decent value money . concierge service little average . make sure get room face street ; otherwise , think New Orleans 3 am 
 Mar 17 2005 	 Nice hotel 	 around nice hotel . average service receive concierge . 
 Mar 12 2005 	 really dream 	 stay dream 3 night ( 3/7/05- 3/10/05 ) . book online Dream web site ( dreamny ) . rate $ 212 night plus NY taxis , etc . , push price close $ 250 . low price could find Expedia , etc . supposedly single bed . ROOM : small , 14 x 12 little room anything queen size bed . everything paint white help make room seem little large . nice 37 & quot ; Panasonic flat screen mount wall couple foot end bed . may seem like nice tech touch , not think room could handle regular tv , would place put . thus , flat panel tv almost necessity . movie channel offering ; basic cable . front desk tell would get movie future . room also nice Bose wave radio see ask iPod suppposedly available room . bathroom compact . closet barely big enough fit hangar . bed , comforter , sheet pillow first rate ... good real asset room . become popular hotel , especially bed & quot ; & quot ; room . small work desk tech port plug locate next bed . internet access $ 11 day . LOBBY : small underwhelming . dream obivously go hip hotel image . look like try pull limited budget . be bad , doubt will impressed . service : friendly ... problem . ( wife ) lot interaction staff .... check handle luggage . RESTAURANT : visit either Dream 's 2 lounge eat trendy Sefafina restaurant . food good , restaurant busling week night . location : east corner Broadway 55th . location great ! always prefer midtown location NY would good any . overall : Dream bill 4 star hotel . would put close 3 1/2 although bed location certainly pluse . not anything really negative positive say . read Gayot rank NY hip hotel list # 1 . many thing NY rank high deserve ... 's NY thing . & quot ; Dream & quot ; theme carry minimal expense ; dreamy / hip blue white backlit photo greet step elevator floor & quot ; dreamy & quot ; blue light bed work desk room . never feel like dream . not nightmare ; perhaps Dream comparable decent night 's sleep . bad . 
 Feb 24 2005 	 arrive girlfriend leave Fiance ! ! 	 take girlfriend new york 30th birthday , whole experience dream ! hotel . impressed service people friendly . the room like photo see . location hotel spot 5 minute walk central park times square . I arrive ar Dream girlfriend leave FIANCE ! ! would like thank dream help dream . top mark ! ! ! 
 Feb 10 2005 	 may want check building work complete ! 	 book stay September 2004 , Expedia . arrive 6 pm Saturday night building site room open . say Expedia ' fault , Expedia say Dream . either way bad experience Dream nothing help find somewhere else – poor service ! 
 Feb 5 2005 	 much hype little follow thru 	 hotel fabulous location look great outside - wait till step . tiny room , pastiche color lot hype offer . be okay squeeze closet ( cool stuff sure ) New York ton well choice begin Bryant Park Hotel 40th street Chambers 55th ( ? ) street . 
 Feb 2 2005 	 Loved Dream 	 impress experience Dream . concierge able make reservation Spice Bar Friday night . know New York , close impossible . impressive ! overall , fantastic stay . 
 Feb 1 2005 	 Dream Hotel NYC - disappointing 	 hi , truly compel idea Dream Hotel . design Vikram Chatwal ? golden - light lobby cave - like underground lounge ? blue light every room ? sound like surreal adventure ! fast . overall effect creepy worst , try - too - hard good . place overall seem unloved / run - down , honest . mention size room ! TINY ! two outstanding thing note hotel , however : _ GREAT _ , swanky , fun bar . must see ! amazingly comfortable matresse . happy hotel hunting . . 
 Jan 27 2005 	 price Dream 	 wife stay Dream Christmas 2004 tail end honeymoon . book purely recommendation british newspaper even open extremely impressed . despite arrive day late due flight problem staff accommodate upgrade we King size room upon check - in . the midtown location perfect Broadway , well know shop Central Park ; within walking distance . staff efficient , room superb , bed good get , little extra room bathroom refreshing change norm . 2nd floor room 55th Ave traffic noise problem all . you must check Penthouse Bar guest 13th floor . music ambience perfect view Broadway towards Times Square excellent . be smoker , not fret 's balcony crafty cigarette . well worth visit . we be already look forward next visit . highly recommend ! 
 Jan 25 2005 	 faulty tower read ! . 	 well come back dream hotel , nice bedroom stay large two double bed opinion be not large neither small . the staff helpful go one bad thing . the people 2 bar hotel rude unfriendly also night club.so please check dream worth stay.thank 
 Jan 20 2005 	 enjoyable stay 	 back today 5 night @ dream ... wary stay read review site . take plan great stay . book large room king size bed , ring ahead specify smoke non ... staff fantastic , heplful lot local tip , concierge gift .. room , never use heating consider -15c room never get cold do not know people r talking ( turn heater n make racket u will never need ) bed heaven , tell unreal ! ! ! location fantastic ... would problem recomende Dream ... make hotel perfect would add i - pod , dvd player , channel tv big bath ( ' m 6 ' 3 & quot ; 2 day walk want bath could not fit .. ) 
 Jan 19 2005 	 good location staff need manage 	 firstly hotel reservation team know offer agree HSBC HSBC premier customer . neither marketing team - send fax detail . fair person call back explain person deal offer pass detail . evidently offer related discount rack rate - specify offer . hotel modern expect . lift work ok - problem previous review . hotel open 2.5 month still number teethe problem . staff main friendly helpful . seem problem communication bellman concierge latter could offer car airport charge $ 130 + whereas bellman order one $ 65 ! ! ! ! fault plasma tv however fix within 5 min report fault . room service tray still corridor 12 hour place . overall matter require attention overcome promise good prospect Midtown Manhattan . 
 Jan 17 2005 	 go back Dream ! 	 enjoy Dream Hotel great deal . find room quite spacious New York hotel . quite bit street noise , 's part course alot hotel city . find staff top game . concierge helpful finding restaurant , make reservation . even serve glass champagne courtesy concierge one restaurant . find impressive . the amenity room replace every day . love Molton Brown product . bed one comfortable ' ve ever sleep . pillow like sleep cloud . I chance eat Sarafina , chance go cocktail well . enjoy experience . Dream Lounge cup tea , alittle dark . penthouse Bar nice . view city fantastic there . all , experience good one . would recommend hotel anyone . , would go back instant . location great , experience even well . 
 Jan 16 2005 	 not think ... 	 sooo happy read site . call cancel person soo unprofessional . start argue would charge cancel . say one work elevator . say , . ' two ' working elevator . wonderful ... refuse admit work do hotel . push , offer cancel hung . although quick , call tomorrow make sure really cancel . btw , website * * say room come preloade ipod . anybody stay print out . -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - ? also , review hotel hilarious almost consider stay would funny story .. maybe another time feel like waste time . ; ) 
 Jan 15 2005 	 keep Dreaming want service 	 bad , change hotel first night think pay top dollar get horrible service . will give short recap pay $ 300 king ( Christmas week ) : put we smoking room b / c & quot ; can not guarantee smoke non , bed size . & quot ; move nonsmoking room full - bed , ask discount king rate , fight $ 40 . toilet paper finally get room , call iron ironing board suppose room . either hit head poorly design shelf sink , make mess try splash water face . bring we second room still not right , bell hop nothing nice say management concept customer service . not pay attention important detail expect pay rate . I would recommend stay somewhere else visit Dream 's penthouse bar awesome view times square 
 Jan 11 2005 	 Dream ..... guest come last ! ! ! 	 okay , I m big first impression . arrive Nightmare Hotel ( Dream ) . excite nice little weekend getaway NYC . well , Everytime exit hotel litterally walk around DOORMEN open door .... problem open door , thing ... one either Cell Phone , talk cheap guest tip enough , want stay heat lamp keep warm . occasional smoker problem anyone smoke , must say look little trashy doorman outside smoking cigar . pay rate stay hotel room 's also HOTEL Experience .. room ... yes size bathroom home ... do not mind since live space . also seem like rush job ... like bathroom tile shower paint tinstead replace ... alot break crack sheet rock room lobby . closet litteraly 2x2 ccould fit two shirt pair pant 2 pair shoe ... can not even store luggage it . ipod room ...... ! bring think ity base plug ... ask Front Dest say & quot ; do not know everybody think Ipod room & quot ; write magazine do not mean .... hmmm false advertising ! ! Serafina ....... want eat nice meal get horrible service ... that s place . food good Service soo sooosooo bad . Room Service Breakfast .. order egg come choice bacon , sausage .... egg useless without strip bacon .... like peanut butter without jelly ..... kid phone say sorry do not offer ... do not even think bacon .... low behold 2 order ez egg 2 cup coffee .... refill ...... $ 56.00 ..... hotel prfere property beyond ...... like trendy Holiday Inn .... least that s staff work ... like service industry .... get ! 
 Jan 9 2005 	 dream come true 	 check Dream Christmas day admit nervous read scary review web page . well view Dream Hotel . we arrive 2130 Christmas day check friendly member staff impress decor lobby . we go room instantly say wow ! lift door open huge light photo cloud front lift . these diffrent floor . our room large room two queen bed , fair sized bath room cupboard . room invite long flight London 's white sheet blue light . very trendy restful . from read review seem room large other hotel really get pay life location fantastic hotel offer want large room dig deep pay offer hotel . the tv disappoint ton channel choose from . the room clean every morning always spotless , toiletry replace every day , maid turn bed night leave apple evening nice touch . in answer previous posting temp room yes bit cold -5/-8 Christmas New Year put heating room right time return . the location could well 5 min Time square far Macys metro station corner top good cheesecake ever taste deli right around corner . all wonderful time New York Dream hotel would like say go Dream soon enjoy ! know will go back send friend family aswell . 
 Jan 9 2005 	 never ! ! ! 	 quite use thing really bad experience . 2 night pay 770 $ get : - small room ( 107 square foot ! ) , even partner almost 6,5 foot . single room , fact one bathrobe , one amenity set make quite clear . also old fashioned sheet bed , small stay awake night.- even worse , room old fashion , absolutely see website . old cupboard , oldfashione tv , painting grandmother hang wall etc . hallway tiles broken floor wallpaper come wall . clearly room book , one dream conceptipod , flatscreen , blue light ? ? never see ! Ofcourse complain reception desk manager , excuse hotel fully book , book via Expedia get bad room ! ! needless say home , letter write . we disappoint ... 
 Jan 6 2005 	 tiny room modern do cheap . 	 room box . friend hard time move around . blue neon light cheesy . room clean , toilet nasty debris float . great location . friendly staff . cool view Times Square . 
 Jan 6 2005 	 really disappointed ! ! ! 	 return week hotel , extremely disappointed overall service staff quality bedroom . prior even arrive hotel , already appal unhelpful staff . contact hotel numerous occasion try see hotel anything New Years Eve , put wrong department 4 5 time tell hotel hold anything . however , arrive re - informed fact event hold New Years Eve . subsequently , informed reception happen assure would contact immediately information event . disappontingly , never hear member staff throughout holiday . furthermore , room exceptionally small even move fractionally large room , still space put clothe put majority desktop inconvenient . the sheet also dirty , room freeze . heating system , however make much noise force keep heat throughout night keep wake we up . lastly , ipod room , tv channel watch . to credit hotel , excellent location , bar restaurant lovely . however make overall experience hotel . 
 Jan 4 2005 	 blue light not make W 	 Dream badly want hip W , not come close . Dream want distract slapdash refurbishment job ( bad plaster work , two different color white bathroom , hole , etc . ) shine blue light room put plasma tv . cheapjack refurb old majestic fool anyone 21 thinking be W , succeed cutting - edge badly Dream fail . my wife stay day New Year 's . know trouble ask much - tout iPod 's suppose come room , tell iPod . strike 1 . not ask smoker , simply place we smoking room without ask inform . strike 2 . ok , 2 strike within 15 minute check in . then little stuff start pile . concierge rarely around . someone around , would give wrong information ( e.g. , send we restaurant brunch not serve brunch ) . guy put paper outside door 4:30 not set door , instead throw door . will get random number towel bathroom completely random quality . window ill - fitting almost impossible close completely , let copious cold air heating system ill - equip combat , also let significant noise . strike 3 , Dream . other reviewer correct 2 3 function elevator never come be compete staff , noisiness low room . love pete , put low room face 55th street , insist new room * immediately * ! ! garbageman stop directly across 55th hotel every night random time 11 pm 4 , although staff never tell . be one low floor , wreck 30 - 45 minute sleep middle night . insist stay hotel , hold something upper floor face Broadway interior . last straw come night checkout . need check 1 pm rather noon due timing flight . however , night clerk tell we could not give we late checkout , & quot ; girl & quot ; ( word ) morning . would see sometime 7 . great . Fairmont , would trivial clerk handle time . ask time manager arrive morning , think would speak management . told & quot ; nine , maybe nine thirty . & quot ; statement unintentionally summarize lackadaisical attention service dream staff . on plus side , location great ; bellman professional efficient , two bar hip hotel desperately want , maintain much well level service hotel . enter unmarked Dream bar leave door lobby front front desk . 
