great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Aug 27 2008 	 possibly one London 's Finest 	 ( significant ) stay weekend January celebrate anniversary . I search high low find decent hotel half - decent location London affordable since October . tall order , Apex City London far exceed expectation . the hotel convert office building ( pretty standard 's locate ) , stone 's throw away Tower Hill tube station - get incredibly easy , not misjudge distance tube hotel walk right past ! check hassle , reception staff extremely friendly ( arrive 10PM ) happy help query , concierge service also spot - on . to say hotel clean understatement , sparkle - 's spotless finish everything , even rubber duck state room book keep ( think know people would take anyway ! ) . room clean , crisp modern décor rather large comparison London hotel stay in . the hotel prime location tourist - 5 minute walk bring face - to - face Tower bridge Tower London , well dock Thames Clipper . 
 Aug 21 2008 	 modern bright hotel 	 hotel right Tower London great place stay , especially plan see attraction . near tube station couple mintute walk & amp ; 's District line attraction never far away . want stretch leg right Thames - take 20 - 30 min walk river London Eye , ( discover one night tube line ! ) hotel lovely - clean modern , friendly staff , great room . upgrade arrival , always bonus ! thoroughly recommend comment bar restaurant use - look nice ! tower area quiet weekend , nice pub near ( eg & quot ; Hung , Drawn Quartered & quot ; - do not let name put friendly pub ! ) restaurant near . quiet , everything need tube make everything else near anyway London . eg perfect weeekend London - Arrive Friday , check nice ( Apex ) Hotel , head Covent Garden dinner show . Saturday , Tower London ( make sure yeoman tour , full knowledge joke ! ) go pub great british footie match pint local , onwards curry . tempt ? ! would definately stay think value money excellent . 
 Aug 19 2008 	 great find ! 	 discourage high cost lodging London 3 week stay UK would end , Apex quite find . reasonably price well locate near Tower Bridge underground , slick , spotless , roomy feel upscale . cafe always disappointing , ' m sure London know dining experience . 's great pizza place far , will find great italian fare . hotel terrific would go back heartbeat . 
 Aug 18 2008 	 Excellent value money 	 stay one night transit hotel suitably impressed . room huge good size incredibly clean tidy . staff friendly helpful . , great experience consider option London , excellent value price . 
 Aug 16 2008 	 great getaway weekend 	 Booked hotel Theatre weekend partner also ruby wedding anniversary present parent . previuosly stay Apex City Hotel Edinburgh strength stay excellent decide stay . not disappoint . room large comfortable include sofa front tv make change sit bed watch tv . excellent large powerful shower nice accessory . rubber duck nice touch , Edinburgh duck little friend now . view window not great .... overlook office block back not gawp window not big deal . one small criticism ......... look forward couple nice cold pint lager come theatre have gone run ! ! ! ! great stay thoroughly recommend . 
 Aug 14 2008 	 perfect stay gem hotel ! * service . 	 doubt Apex City London hotel one nice hotel stay . ' small enough feel personal ' boutiquey ' large enough provide luxury extra could hope . moment check – greet smile staff , know go great . treat wonderfully reception staff , even getting upgrade lovely deluxe room . room gorgeous – big , airy spacious . everything could possibly need night away , bathrobe , lovely smell toiletry , mineral water snack , cd player / DVD / TV , squishy sofa magazine newspaper wonderfully large comfy bed ! ! room service breakfast last morning – wide range delicious thing , hard choose ! arrive exactly specify really fresh tasty . also cocktail bar one evening , lovely – extensive list , friendly helpful bar attender . musical addict , stay London quite regularly never come across hotel good Apex - especially good rate ! worth every penny . stay weekend underground service really poor ( half station close ! ) every reason grumpy - second walk door hotel remind least one great element trip ! ! absolutely stay hotel next visit encourage everyone else ! ! 
 Aug 12 2008 	 unexpected surprise combination accommodation quality service food 	 stay hotel son weekend 8 August 2008.the review perfect already . hotel indeed truly perfect . combination quality service , kind , helpful service minded staff make worthwhile return hotel . good tube connection 2 minute hotel . quality breakfast / dinner / room service good . will definitely stay recommend hotel other . 
 Aug 12 2008 	 Attention detail attentive staff 	 book room part package include admission London exhibition please . first class room great attention pay small detail friendly , attentive staff make pleasurable part weekend London . locate close Tower , be worth cross bridge foot stroll Queen 's Walk ( ? ) Globe . also recommend use quick river taxi tube alternative . 
 Aug 11 2008 	 Style class Apex 	 Check Apex . reasonably price within short distance Tower Hill tube Tower Bridge . hotel modern classy room fantastic . great thought give customer comfort staff really friendly . definitely hit we well worth visit . 
 Aug 11 2008 	 Excellent hotel 	 stay wife weekend happy find . book base review find exceed expectation . expectation hotel receptive staff , efficiency reception , good night sleep . meet room far well price suggest , service generally level would expect location great . I would definitely recommend hotel friend family . stay London . 
 Aug 11 2008 	 Loved Location 	 book direct hotel reading review , want something central modern pay £ 100 double room . check easy . room 413 view office block , can not open window either air con soo noisey turn wake boil hot . room really clean bathroom lovely one hotel I ve actually bath shower powerful . mod con small fridge handy bottle wine . 
 Aug 8 2008 	 really friendly hotel 	 book hotel ' mystery ' hotel Lastminute weekend break , pay £ 102 room Saturday night . it be great location , tuck away easy walk distance Tower . it be obviously gear business traveller , weekend seem try really hard fill room like we . reception staff friendly give we voucher two drink bar 50 % restaurant . almost seem bit desperate actually , not get chance use already arrange go . would quite happy eat though - look fine . the room modern plush , clean plenty nice little touch free mineral water even rubber duck take home ! would happily go back , preferably Lastminute mystery rate ! 
 Aug 6 2008 	 Brilliant 	 ExcellentWe first see hotel Edinburgh hear good thing , want try one London . check simple , look bag room ready . first room lift loud speak floor announcer , good avoid room near lift . we move well , quieter room fuss . back room special view get traffic noise one front . the room clean well decorate , even fridge ! useful hot weather day . air con good , essential heat July London ! separate shower bath . not enough hang rail towel tho . duck lovely addition take souvenir . we evening meal hotel excellent . good choice wine cocktail . breakfast lovely , continental variety would expect . anyone want full breakfast , scottish ( Braveheart ) breakfast include haggis ! highly recommend anyone want good value style City London . 
 Aug 1 2008 	 gem sea mediocrity 	 finding fault hotel really realm picky . bathroom silly , light illuminate half face , towel rail handy shower . window see well ... draw blind unless really want entertain builder office worker outside . wardrobe space tight two - iron board fill half . phone fall apart try use ; usual & quot ; Philip Stark , eat heart & quot ; stuff not need passe year . rest , staff exceptional , food terrific , location unmatched ( pop church next door say hello Sam Pepys ) spotlessly clean - i.e . press button , pricey week ( although enjoy eavesdrop City banker worry job ) steal weekend . part town , be really toss - up Swissotel Apex , swissotel desperate need upgrade Apex clear winner , despite Swissotel river view . 
 Jul 29 2008 	 another great stay ! 	 stay two night weekend package include continental breakfast . arrive early ask could store bag tell room available we have upgrade ! also give two drink voucher hotel bar . the room great - clean , large standard room sofa , huge comfy bed , bathrobe slipper lovely bathroom deep bath separate walk shower . toiletry good quality - smell nice decent sized bottle . breakfast good - continental breakfast help buffet cereal , yoghurt , fresh fruit , bread pastry , meat cheese 's plenty fill . tea , coffee toast serve table find wait staff friendly helpful . there be free wireless internet hotel although signal bit weak room . cable internet access though , work fine . we able leave bag hotel 's storage area check , really helpful . this second time ' ve stay Apex visit enjoyable . 's favourite London hotel far ! 
 Jul 28 2008 	 Stylish London Hotel excellent all - round service . 	 excellent proffesional service employee 's hotel , reception bar . room spotlessly clean spacious bathroom . good selection tv channel available include sport movie . hotel gem , real find return stay next time ' m London . 
 Jul 25 2008 	 excellent value around corner Tower London 	 Apex City London find , minute walk Tower Bridge tube station , Tower Pier , Tower London . room spacious , spotless , beautifully decorate . staff gracious helpful . excellent value . 
 Jul 24 2008 	 Great Location - generally good hotel 	 stay hotel two night . location excellent , offer greta view Tower Bridge also handy Tube . hotel clean modern decoration . room good , although little small side overlook back offoce block . shower massive , although room lack little extra make good hotel good hotel . breakfast good . overall good hotel , although stay well London around price . 
 Jul 23 2008 	 Excellent Boutique Hotel 	 Excellent Hotel friendly helpful staff , room excellent , large , modern extremely cleanwith everything could wish for . Excellent Location , perfect stroll embankment , try find London address mayor office excellent night time view Tower Bridge . highly recommend stay get free rubber Duck ! ! ! ! 
 Jul 21 2008 	 Faultless 	 friendly helpful staff , nice room , excellent breakfast good price - great London hotel . location tad way , excellence everything else make . Tower Hill tube couple minute walk away anyway , maximum half hour taxi get West End . reception staff concierge exceptionally charming well - inform . room reasonable size , bed huge comfortable . bathroom nice , decent shower , nice upscale toiletry like free bath duck . Decor clean modern . will definitely back . 
 Jul 20 2008 	 hello Ducky ! 	 great place stay London , quiet , yet near tube station get around easily . right Tower , river , walk along path near river , nice day . great shame engineering work day book , ! room spacious , relaxed atmosphere . freind room huge shower , bath ! freind say , ' run round shower get wet ' ! bath enormous , one criticism safety bath mat , moved not feel safe get out . the toiletry good quality , generous size . LOVED duck place edge bath , great touch ! illuminate room number outside room really helpful , especially try find way back room night ! staff freindly helpful , sometimes feel intimidate hotel , everyone professional well freindly look one senior party member , well . the food reasonably price , tasty , breakfast , think room service menus reasonable too . we look gym facility , not go use equipment ! would agree may suit family well , range aged 50 - 80 party , still think London different world come ( Ooop North ) . enjoyed stay , luxury great way start end recent holiday . thank staff , would like owner / and'or manager know great team people work . 
 Jul 16 2008 	 Great Hotel 	 great hotel . large room 32 & quot ; flat sceen tv , love seat king size bed . large bathroom large tub shower big enough friend . room modern , clean . if use provide robe slipper , will get clean one next day . bed linen replace every day . staff quick meet need . the hotel near Tower London require ride Tube bus get central London day ticket problem . tube bus short walk hotel Fenchurch railway station . I would recommend hotel everyone except small child . 
 Jul 15 2008 	 lovely hotel good location 	 lovely hotel locate close tube station . ideal visit tower london place eat nearby . quiet peaceful . toiletry good free rental DVD 's . 
 Jul 14 2008 	 great place stay 	 fantastic hotel , fabulous service excellent room ! lucky enough obtain room upgrade check make 10th wedding anniversary stay special indeed . room spacious incredibly clean , staff friendly helpful overall complaint ! would definitely stay would not hesitate recommend friend family 
 Jul 14 2008 	 great hotel budget traveler 	 book hotel , # 1 tripadvisor ... sure be drop # 6 ! hotel mainly suit business traveler 's locate business district . husband go London weekend getaway , love hotel . stay basic room around 90 pound per night . room small , bed King , room walk around . flat screen t.v . wall dvd player , remember play UK region . happen U.S. movie not work . bathroom huge european standard . impressed ( know probably insignificant reader ) shampoo conditioner ! country give shampoo , frustrating not want pack product weekend trip . design room incredibly nice price hotel could probably charge lot still get many reservation . the hotel also next Tower Hill tube stop . great first day , city close Circle District line rest weekend ! upset walk 20 minute next station walk around city weekend , last thing want walk 20 minute tube stop . course stubborn take taxi .... use Dollars ! check transportation book hotel next tube stop plan take tube stay . apparently close several major line frequently weekend work . summary : want stay nice , trendy hotel spend 100 pound per night , place . 
 Jul 9 2008 	 nice family 	 stay Apex one night ( flight Gatwick next morning ) . hotel cater business traveler primarily in / near business district . however , walk Tower London London Bridge hotel . cater business clientele , hotel well keep . however , would recommend hotel family extend stay . walk hallway , eerily quiet could imagine business folk lock room busy work . , try keep little one quiet . , room immaculate . king - sized bed , love - seat , bathroom tub huge shower stall business desk . room quite large european standard rate 100 GBP / night . , one night , great deal thoroughly enjoy spaciousness room last night London 8 + hour transatlantic flight await we next day . therefore , nice able spread bit . stay hotel , cleanliness near top list APEX disappoint . say , suited family . 
 Jul 9 2008 	 fantastic stay APEX ! ! ! ! 	 partner stay Apex City hotel weekend much enjoy experience . the hotel staff extremely efficient professional able check quickly easily . lucky enough upgrade room stay , room extremely spacious clean modern decor . luxury toilettrie provide bathroom - along complimentary APEX rubber duck ! also give voucher claim free cocktail hotel bar evening - nice welcoming touch . the hotel perfectly locate Tower Bridge 5 min walk Tower Hill tube station . night walk ( 10 min ) St Katherine 's Docks bar restaurant , open breakfast include rate . I definitely stay hotel would not hesitate recommend . 
 Jul 8 2008 	 great hotel 	 stay apex hotel one night wish long ! room 7th floor great view take landmark tower london , tower bridge swiss tower . room fantastic , immaculate , modern chic . consist bathroom , living room area , bedroom veranda . room spacious ( unlike many hotel room ' ve ) stock everything need enjoy stay . staff great helpful , especially like complimentary cocktail arrival ( delicious ) . already recommend hotel friend would definately keep apex mind future trip . 
 Jul 7 2008 	 Loved Apex City London Hotel 	 Booked Apex City London Hotel 2 night base review Tripadvisor . disappointed . nice hotel ' ve stay London date . good point hotel staff , room proximity tube station . staff hotel helpfull request . I stay . 
 Jul 1 2008 	 luv duck 	 arrive apex city london 11.55 friday 27th june thinking could leave luggage 2 oclock check time hotel come back later , go reception , greet big smile staff ask name tell room ready go wow service . enter room second floor gasp size bed , facility would need stay , nice flat lcd tv wall dvd player glass shelf alarm clock radio enter bathroom nice power shower separate bath think light dimmer switch wall fact volume control sound tv whatever channel happen watch . cater every eventuality room .oh yes duck bathroom . breakfast excellent nothing much trouble staff beck call anything need , well exactly say tin dissapointe hotel back fully recomende friend , short walk underground tower hill , quiet weekend soul . Mr & amp ; Mrs Oldfield 
 Jun 27 2008 	 amzing 	 second stay within year . time special occasion buy along 11 people we . age mid tentie lat sixty . everyone member group wonderful time love hotel . location one good , short walk river , direction 's less five minute tube short journey centre town . the room maybe small side , perfectly form still swear good hotel bathroom ever . the staff high standard make feel like true guest without fake smile non fake chit - chat hotels train staff speak . I can not wait stay would recomend hotel everyone . 
 Jun 24 2008 	 Reeeealy nice room 	 nice hotel room ' ve stay .. location quite decent well . 
 Jun 22 2008 	 really impressive Value Money 	 daughter spend two night Apex last week . look decent , convenient cost - effective hotel center London . check TripAdvisor decide try Apex . not sorry ! five minute walk Tower Hill tube station , breeze get Tower London early morning beat crowd . room decor modern new ( include flat screen tv ) , climate control work great , free wifi bonus . free breakfast ( cost GBP 13.50 ) price right nevertheless . would definitely stay . 
 Jun 22 2008 	 great hotel city 	 partner stay Apex Saturday 21st June 1 night , pay £ 111 superior king room . we check 1.30pm quickly efficiently assign room 618 6th floor . check - in super efficient friendly . the room extremely nice , good quality linen , gourmet coffee , big tv dvd player , fridge , air - con etc . quality fixture / fitting excellent . the bathroom pretty special . huge , spottlessly clean bath complimentary rubber duck wait , along good quality toiletry massive size . also large seperate walk - in shower excellent . hotel really excell attention detail . surround sound bathroom mean could listen tv , heat mirror prevent glass steaming etc , really set hotel apart many other stay London , especially city area . I absolutely love local call free room , well huge selection dvds reception could borrow small returnable deposit . staff excellent , efficient friendly , especially reception staff . perhaps one negative comment would go downstairs bar quiet drink find football match play tv . assume since bar area quiet , football match benefit bar staff . that aside , stay fabulous look forward stay . would definitely number 1 choice would recommend family friend instant . well do Apex hotel staff ! ! 
 Jun 20 2008 	 nice Apex 	 stay Apex 2 night January 2008 , overall , good stay . location good though central , tube 5 min . walk away bring anywhere need . Tower London also 5 min . away , City worth visit contemporary architecture old neighbourhood lover . the positive staff , always friendly . hotel contemporary chic , sleek design , although cold . deluxe room corner build 3 window 2 wall overlook City ( 5th floor ) ... lovely view night ! room spacious ( king size bed , sofa , coffee table , big closet , desk area , nice decoration item ) , bathroom also big ( tub , separate walk - in shower ) . much space usually get London price , really little & quot ; studio & quot ; feel attach . amenity kettle , tea , coffee , iron , iron board , nice closet lot shelf , hanger , drawer , nice toiletry lovely Apex rubber duck bathroom . tv dvd player , nice selection DVD 's avaialble free reception . big plus , small fridge room . minibar , fridge , empty , store wine food & amp ; hand cosy aperitif long day hit town ! less positive note , clean , though ok overall , perfect : dust frame , bedside lamp .. nothing dirty , give odd impression 4 star ... also could hear lot noise water run even middle night ( ? ) , airco system also quite noisy always blow cold , even put 25 ° ... comment bar , restaurant room service always eat outside bring everything back we & amp ; ( 5 minute walk ) .so , definitely recommend Apex room space , nice decor , real & quot ; chic & quot ; atmosphere elegant feeling . 
 Jun 17 2008 	 Fantastic Hotel 	 thoroughly enjoy stay Apex . room spotless large average London hotel . staff friendly food delicious . already look forward return . 
 Jun 16 2008 	 Loved Apex 	 hotel modern stylish , everything could want luxurious stay . the bath enormous walk shower complimentary toiletry , bathrobe slipper top off . the bed comfortable crisp white sheet . nothing much trouble staff find everyone helpful . on downside hotel good situation weekend away majority around weekend close mostly use business man woman week . however Tower hill tube station 2 minute walk everything accessible Original Tour booking across road bus stop it . we lovely meal tapas restaurant across Tower london 2 minute walk hotel , would highly recommend . would reccommend Wetherspoons ( right around corner ) anything drink . 
 Jun 10 2008 	 Smashin hotel great location 	 stay two night absolute pleasure . hotel locate 2 minute Tower Hill tube station make easy get around London . the room nicely decorate ( modern ) great shower lovely toiletry . even cute rubber duck ! bed nice comfy air conditioning mean good night sleep even though really mild . some nice bar restaurant nearby too . only problem find something eat come back foo fighter gig - everything shut midnight ! 
 Jun 9 2008 	 could not ask ....... 	 excellent value ( London price ) luxury stay . initially disappoint fail barter full english breakfast price say ' impressed quality , service else , continental breakfast include price ! awesome ! 
 Jun 6 2008 	 Great Hotel - love 	 Apex City good business hotel find perfect weekend London . city quiet weekend , hotel easily accessible Underground . staff friendly room comfortable clean . nice stay , surely come hotel next visit London . 
 Jun 4 2008 	 great staff location 	 Excellent hotel quite location beside Tower Hill Tube Station . the staff pleasant helpful particular dining room staff . accomadation clean , modern bright . eat delight .I would recommend hotel tourist visit London 's ease access London 's underground Tower London 
 Jun 2 2008 	 clean bright modern 	 Checking great , room ready early . room nice clean lovely toiletry ; although say much hot despite use air conditioning . bed comfortable , nice crisp , white bedding . staff helpful friendly , especially young chap reception give we map direction , could helpful . we choice cook continental breakfast . good choice fruit , bread , meat , fish , juice . vegetarian first day ask vegetarian breakfast arrive , consist tomato , one mushroom , 2 tablespoon bake bean small potato cake . normal breakfast without meat minute portion . Think could give mushroom tomatoes bean compensate ; veggie friendly ! second day , waiter get confuse veggie breakfast offer we pancake , accept . unfortunately arrive cover bacon waiter remove bacon unable remove bacon fat unable eat pancake ! ! ! nice hotel nice staff , lovely clean fresh combine theatre ticket ( package ) costly room look right brick wall . would expect well view money . little bit difficult get around location , say , stay Covent Garden Oxford Street be not help fact severe disruption circle line saturday night sunday station line disrupt engineering work ( although fault hotel ) . look map see location suit need . 
 Jun 2 2008 	 Lovely Hotel down ! 	 really impressed hotel arrive . check - in quick friendly & amp ; hotel staff extremely helpful . room nice - quite spacious clean , ridiculously hot . two room unbearably hot . air conditioning not seem much . the bathroom nice - beware shower head - be secure force water push mine wall almost hit - be big metal baton - like thing ! ! ! first day , breakfast delicious . sort fruit yoghurt , meat fish , bun , bread , croissant , pastry , cereal cook breakfast option . 2 party vegetarian order cook breakfast meat fine , however 2nd day , much fuss make breakfast meat guy offer we pancake instead seem much effort order we 2 vegi breakfast . when pancake arrive , stack high bacon , naturally , say ; eat bacon 's pancake - , take pancake , scrape bacon return we , cover bacon fat . hotel situate near Tower Hill station fine . go London see Lion King Hairspray find ok get theatre , bit tricky get back ! Fantastic London hotel , mishap ! 
 May 31 2008 	 Pefect Hotel staff room 	 Apex hotel warm , friendly modern . first trip London first hotel stop . wish one stay . arrive , staff friendly helpful . go room , lovely clean . figure turn light ( use hotel room key slot ) stay great . location prime . walk distance Tower London , Tower bridge St Paul 's Cathedral . staff always ready help give . Hotel 's restaurant nice staff nice . say enough good thing hotel . pricey side , worth . nice , quiet location could access London via Tower Bridge dock , bus tube . get next hotel , thought leave something Apex hotel email straight away . manger , Yousif Al - Wagga , send response promptly find item . hesitate book . Thank Apex staff make stay memorable one . 
 May 23 2008 	 great boutique hotel quiet location 	 regular visitor London ' ve misfortune stay Tower Hotel Radisson West end - depressingly date . however fortune stumble upon Apex hotel stay several time last year so . it be locate east city , close Fenchurch Street Station beautiful quiet square . traffic noisy pub , club clientele . close also Tower London Tower Hill station . its relatively small , new . room ' ve stay modern small lounge area desk , tv , dvd player . large bed , second tv plenty wardrobe space . bathroom clean , modern good size - bath well shower . usual nice touch - 2 bottle water night , bed room prepare evening , towel , slipper dress gown leave . order room service twice time excellent . breakfast fine , little pricey - London . there usually gym ( small ) order couple month refurbish - hopefully make big . give complimentary membership local Virgin Gym though , close excellent . staff appear mostly eastern european , whcih cause wee problem time time - scottish accent not always understand ! however , without exception fantastic - friendly helpful . downside price . £ 255 night , vat £ 45 top , make expensive stay 2 night . however , London , be great location excellent hotel . worth pay extra . 
 May 23 2008 	 great Stay London Apex Hotel - Great Price Value 	 stay Apex Hotel Pentecost Week end really enjoy ! unfortunately land London Luton take we 2h get ( use nice taxi company call ladycabs negotiate price way ) , arrive safe sound . reception helpful checkin luggage store start visit surrounding . room large comfy nice large en - suite bathroom . view back really quiet ! large buffet breakfast different bread viennoiserie , delicious fresh fruit , ham , egg , cheese ... ask margarine , apparently ( name margarine England call Flora , fyi ) one dinner restaurant . service nice food good ( be pricey ! ) . brasserie , serve simple food , good price quality . overall , would recommend Apex hotel - for great location next London Tower close tube , good price / quality range service . however , definitely close look CreditCard Detailed account ( see review ) ... case ! 
 May 21 2008 	 good review 	 Perfect location Tower London , although tube ride main attraction see sight . hotel modern , trendy , clean spacious . staff general service excellent . continental breakfast really good quality lot choice . lot nice touch make special stay 
 May 20 2008 	 great round 	 Stayed one night hotel could fault . staff reception courteous helpful . room great nice facility brilliant stilll able book smoking room health concious day . would use def . 
 May 20 2008 	 beware theive 	 really enjoy stay hotel , think room breakfast excellent . consider location , think good value money well . however , problem . booking , receptionist insist take credit card detail , even though everything already pay . look next statement , find somebody use detail evening purchase two lot jewellery on - line . also require 3 - digit security number , person position girl reception . bank refunded money , write head security hotel . response completely dismissive , simply say hotel responsible , take credit card company . interest identify responsible , could do easily check rota ascertain delivery address jewellery . would put stay . 
 may 19 2008 	 good review 	 use TripAdvisor help we find hotel one evening . pleased say hotel live expectation . hotel conveniently locate near Tower Hill tube station nice quiet location bar restaurant nearby . customer service excellent , room . much large room hotel stay money London . sofa room front tv DVD player choice free dvd reception . room amenity excellent . we also choose room service breakfast deliver time helpful member staff . I would thoroughly recommend hotel stay next trip . 
 May 15 2008 	 A+ APEX ! ! ! 	 stay ( decribe 4 / 5 star hotel ) year London honestly say one come anywhere close quality hotel . ok location not well look plenty night life ( especially weekend ) City ! ! ! ! Asides PERFECTION ! ! ! ! staff friendly , room loveley . bathroom modern clean . personally go waste time look website website different London hotel future ..... go book Apex time time . trust ...... regret ....... go book ... know want . 
 May 13 2008 	 Fab hotel 	 partner stay hotel Saturday night one nice hotel stay . get noon allow check straight away although probably couple hour early even upgrade superior room lovely unexpected . it tastefully decorate , clean contemporary . bed extremely comfortable , one comfiest bed ever sleep . bathroom fabulous double end bath walk shower , would recommend use . nice toiletry cute little duck bath . also iron , iron board hairdryer room handy . we try hotel bar evening , great , staff provide excellent service . can not comment restaurant food not go give 50 % discount voucher eat check breakfast anything go ' m sure restaurant great . we book Travel Republic get great deal hotel include continental breakfast , simply one good breakfast hotel , can not comment cooked breakfast obviously suffice say would not go hungry continental one . staff attentive could choose croissant , pain au chocolat , bread , cheese / ham / salami / smoke salmon , fruit , cereal youghurt . delicious . when check allow leave bag whilst wander round London head back home . one thing note right hustle bustle London not many bar open round area 's week day trade , Weatherspoons nearby Tower Hill tube stop 2 min walk away easily walk Tower Bridge get side drink River Thames . also impressed contact stay , fill feedback card send email follow day Manager thanking feedback ask whether comment make . all fabulous stay partner even say would bring mum stay . definitely stay visit London . 
 May 8 2008 	 Apexcellent ! 	 partner one good hotel stay ever , anyhwere hotel ( ' ve stay 5 - star Dubai Sydney much less ) ! book room via hotel website look website , stay something look forward - disappointed . friendly staff , great location , wonderful room fantastic price ! add , good sleep ' ve ever hotel ( perhaps get brand - name mattress ? ? ) .Despite hotel City , quietness area weekend welcome change hustle bustle Oxford Street could walk around admire great building area . get bite eat problem get different place could not easy Tower Hill Monument tube station nearby . tell friend great find definitely look book hotel next stay London ! 
 May 6 2008 	 love hotel 	 hotel gem London -- great group staff , friendly sincerely attentive need . room clean , sleek cool modern great bath fabulous toiletry . well think design incorporate alot extra . location block tube Tower London easy get around . really great place stay ! 
 May 5 2008 	 lovely hotel great value 	 home 3 night stay Apex - excellent ! ! well appoint room , really comfy bed & amp ; pillow . proper , sensible hanger take wardrobe entirety , rather daft one leave metal bit behind ! good shower plenty & quot ; oomph & quot ; , lovely toiletry ( 125ml bottle , replace every day , keep we supply age ! ) . also nice big bath . complimentary paper ( Independent ) every morning . we not eat hotel , drink bar , quiet , service good . slight issue check - reception could not find reservation , give we complimentary drink sort , apologetic , not problem . quiet location , couple minute walk Tower Hill underground . definitely use hotel , recommend anyone will listen ! ! 
 May 4 2008 	 Amazing Apex 	 stay Apex one night . excellent value money , plus get upgrade arrival . room much large expect . nicely decorate , sleek modern . lot nice touch like toiletry , big selection tea / coffee , free dvd rental , rubber duck ! clean new looking . service brilliant . can not fault . definitely go back soon ! 
 Apr 30 2008 	 great hotel ! 	 stay London marathon April . room bathroom great . problem could not see tv bed big cabinet face little sofa - but people might like . Decor perhaps little gloomy , bright airy novotel kid room & quot ; normal & quot ; arrangement . tv look bit date , big old flat screen oppose LCD Novotel round corner . £ 142 include full breakfast . staff great , breakfast really good.tow bridge tower short walk away . in really quiet street , really good sleep . we love hotel , try book next week full . 
 Apr 28 2008 	 2nd time even well . 	 second review Apex say thing probably get even well since last visit . check swift ( Sunday night ) find room large clean everything work fine . in past comment price wireless internet , include price room rate - excellent news ! bar 1 draught beer could not really choose well one Pilsner Urquell - ahhh ! sample room service 2 occasion , time delivery swift food excellent quality . staff friendly helpfull , greet everytime front door . I fault hotel be stay City area London . I certainly stay , wish could affiord use half leisure hotel rather business expense trip : - ( 
 Apr 20 2008 	 good clean hotel 	 Stayed weekend . good hotel would stay , staff friendly helpful , room clean & amp ; well equip , bed comfortable . situate two minute walk Tower Hill underground station . do eat hotel breakfast weatherspoon around corner third price . 
 Apr 18 2008 	 L @ @ k book Apex City London 	 100 % recommend - stay London 2 - 3 time year never return hotel , one reason another . look stay APEX CITY LONDON HOTEL . value money - lovely large clean room , tastefully decorate , beautiful clean bed , super shower room - find staff helpful front house cleaner friendly - location great stone throw Tower tube station - close good bar resturant want change hotel - feel safe around area - think one thing could improve stay . thank staff , can not wait come back , oh thank duck love . recommend family friend , see soon . Mr & amp ; Mrs JacksonCounty Durham 
 Apr 16 2008 	 5 star price 3 	 stay one night , need last minute hotel room conference , check late . wish time definitely return next visit London . Room immaculate nicely furnish lot nice touch like robe bottled water . bathroom almost big room - separate tub shower great ( along rubber duck ) . hotel quiet . my reservation include breakfast next morning selection wonderful great service . the Apex easily beat $ 800 night hotel also stay time London far service extra . my two minor complaint - check , clerk explain need slip key card slot room light ( take minute fumble ) . also love toiletry provide , big include carry - on bag ( 100ml size ) . 
 Apr 16 2008 	 Superb . 	 Excellent hotel . great location round corner Tower London , close 4 nice bar / restaurant hotel nice bar restaurant . Tower Hill tube 200 m away stop regular 24hr no.15 bus service bright light West end ( via St Pauls , Palace Justice , Fleet Street Strand ) also round corner . often , no.15 London classic , routemaster bus jump on / jump platform back . transport connection international traveller within easy reach . Circle Line tube Victoria station ( rail link Gatwick Airport ) , Paddington ( Heathrow ) , Liverpool St ( Stanstead ) St Pancras - Eurostar plus DLR ( London City airport ) stop Tower Hill . hotel : room quite small room bed much extremely comfortable bathroom nice separate large shower . service excellent professional friendly staff reception restaurant . one annoying point bar charge £ 6 service bill two glass wine even though sit bar . question ( would almost certainly get refund ) not . 's something watch for . I usually go London weekend ( city whole seem get well every trip .... except price ! ) will stay . well , New Dawn Hotel . can not decide . close call . 
 Apr 15 2008 	 Apex City - Brilliant Hotel 	 read good review hotel not disappoint stay . worried would far really not far travel tube take advantage location explore Brick Lane Saturday night Spitalfields Market Sunday really interesting . the staff hotel helpful look bag check check . room comfortable , everything need , even proper iron board iron stylish . £ 98 Saturday night , include breakfast book via GTA hotel . ' m look forward stay . 
 Apr 14 2008 	 great hotel 	 great hotel , great location . everything could possibly want room - proper decent hair dryer , iron ironing board , well locate plug socket , free WIFI , complimentary newspaper , excellent tv channel selection , good amount towel bathroom product , complimentary water friendly efficient staff . even email manager thank bother fill satisfaction questionnaire room ask anything feel miss stay ! stay good number hotel pretty hard impress , shall make Apex regular London hotel ! 
 Apr 14 2008 	 wonderful stay 	 moment walk reception , staff helpful knowledgable nothing much trouble . marathon everyone go extra mile ensure look . location great tube sightseeing , room pleasant lay back feel hotel . there nothing find say hotel whole stay absolutely top quality . would definately return . 
