great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Sep 29 2005 	 can not beat location room good service ok 	 nothing fancy , average Holiday Inn . location fantastic , plenty dining option nearby , food store , drug store , cleaner , everything would need stay NYC , 2 block major subway station ( Columbus Circle ) , Time Warner center , great whole food market , also great cheap way eat . walk distance 5th Ave shopping , 2 block Central Park ( South West ) safe area walk late night out . when arrive , service prompt courteous , issue rate get Holiday - inn correct immediately , even check inn early suppose , room ready . room nice clean , bathroom renew , would say around 6 month ago . spacious , get double room , far big NYC standard size room . get great rate date , " Best Breaks " promotion holiday inn , basically would get $ 10 per person breakfast ( $ 20 2 people ) . use every day 6 day stay , food great plenty , pay average $ 5 per day ( tip include ) , order omelet coffee , OJ day , would bet anyone , cheap Manhattan , let reiterate GREAT ! ! ! loved city , would definitely stay , totally recommend . ' believe everything read hotel , try . 
 Sep 25 2005 	 Great Service Holiday Inn Midtown 	 spend 2 night Holiday Inn Midtown Sep 2005 . service support frontdesk great . congratulation . the room huge ( 2 double - bed ) even though travel . room 15th floor positve surprise , take shouer pleasure ( hot water moment tab switch - even 5 * hotel trouble ) .Location great . Don´t miss walk Columbus square night . two thing improve : lift slow aircon need clean efficiency -enhancement . definitely recommend hotel . 
 Sep 25 2005 	 real nice hotel ! ! ! great location 	 really nice hotelon great locationroof top swimming pool greatwe lunch bar really nicea big room bigscreen tv nice view streetnear Park also Times Square 
 Sep 19 2005 	 good hotel New York 	 return 3 night business stay Holiday Inn , west 57th St. the hotel pretty handy west side town , 15 minute walk Times Square handy business head Javits centre . the room huge , room 1418 , well maintain although little tired , great air condition plenty work space . the bad point lift , keep demand queue 30 minute get lift lobby . bar small adequate , little seat front lobby . good price location expensive city , would use . 
 Sep 18 2005 	 ok price nothing special place 	 request room renovate tower , get one ( eventhough membership card , read requirement accore early review hotel ) room expect , can´t find anything complain . pay 195 usd room four people . we serve lobby three staffmember , two really nice helpful , one even search internet call find we near Ihop restaurant . one however really rude , would fire would charge ( service mentality ever ) one major complaint however elevator , really slow , far fue care big hotel . stay 16 : th floor , good thing , elevator would empty arrive , would stop almost every floor go . happen every morning . the hotel two block Columbus circle subway station . 
 Sep 11 2005 	 good value ; good pool ; Rooms ok ; good location 	 stay Holiday Inn Midtown three night September 2005 - 2 adult 2 child age 16 12 . plenty space room clean standard Holiday Inn style . Wall paper come away bit bathroom apart - good round . South Tower excellent access pool . middle summer , worth stay get pool great view nearby skyscraper . NYC hotel pool . pool clean warm nice sun terrace . criticism open 10 - 6 could open much long . we pay around 160 dollar night internet advance purchase excellent value location , facility comparison hotel could accomodate four us room . staff helpful able check 2 pm rather 11 be usual . location good - couple block metro central park . lot restaurant nearby good access excellent CNN tour Time Warner building . we would return . 
 Sep 6 2005 	 Excellent Room Value 	 spend two night Holiday Inn end August , 2005 . room large , spotless , great value $ 156 night ( AAA rate , Monday Tuesday night . ) true , Holiday Inn ( thin towel plastic glass ) ' ve stay bad place money New York . some guess room good : register Holiday Inn website , travel site . price , cancel bet get well room . use Priority Club number . choose read review , make nervous , go ask particular tower , forget one . wound Tower , guess right choice . friend live Queens visit , say friend stay hotel time . will return , assume price stay good . other plusse - block half train , good restaurant nearby ( include cheap place breakfast . ) price room service menu seem reasonable , not try . recommend hotel highly . 
 Sep 2 2005 	 warning ... 	 although reserve ( credit card ) double room ( $ 219 night ) week advance , get tell available & amp ; switch single , without even reduce rate . take 1 1/2 hour get hamburger via room service . condition filthy , e.g. , remote & amp ; phone layered scum & amp ; toilet clog . bad , would get back 3 4 afternoon want shower & amp ; short nap evening 's activite , housekeeping never touch room , even though second day agree clean room call left . management could not care less . parent company ( ichotel ) will not even respond email complaint they . I not expect much money NYC , real burn . 
 Aug 20 2005 	 great deal 	 Ny husband , along sixteen - yer - old daughter return two night stay Holiday Inn Midtown . travel New York frequently , first stay Holiday Inn . hotel reasonably price frill . room clean maid service daily . staff polite helpful parking cheap NYC ( $ 18.00 day ! ) . room big two comfortable double bed , desk chair . 's romantic , be everything need day sightseeing viewing show night . book . 's really need . 
 Aug 19 2005 	 Adequate hotel unfriendly staff 	 stay 3 night July 2005 . arrive hotel 2 am morning absolute nightmare trip airport aboard & quot ; supershuttle & quot ; blue minivan service pre - booked ( recommend ) . upon arrival go check one ounce friendliness staff . even & quot ; hello & quot ; anything . & quot ; 's name ... & quot ; regiment . come Australia pride customer service think New York would even well say bitterly disappoint ! hotel pleasant enough . bed comfortable air conditioning work well . think newly renovate block help . bathroom average , take work shower enough get wash . all Holiday Inn Ok . staff need good kick bum provide friendly service - almost treat though favour ! ! unfortunately find case wherever go New York . location not fantastic well within walking distance Times Square . 
 Aug 17 2005 	 never 	 stay 2 night god long ! unfortunately time load teenager stay - presumably school trip . what follow listen hall way . another great delight ice bucket machine opposite room door not closable room - lot nice noise . the room huge fantastic . bathroom grotty look like need good clean down . I barely see staff around honest go receiption get suitcase not seem bother take upstairs even though portage include ! go breakfast not organise , food look manky cold host not speak English . walk head Starbucks close by . if not care class want stay cheap place ideal - bad location be will say first trip hotel stay New York not make want go back time soon . 
 Aug 13 2005 	 many error 	 trip August 2005 receive wrong room , return twice lobby get correct room . small slow elevator . check charge room talk manager get resolve . blame computer system . room could clean . food good staff restuarant nice . would choose hotel 
 Aug 7 2005 	 Great Location 	 Good point : Location Great , front desk staff nice friendly , room small clean , elevator small read review never wait 3 minute , buffet breakfast good . bad point : restaurant staff rude visitor speak English , ( coul not help overhear time ) , prepay breakfast coupon $ 20 cover breakfast day buffet ( add $ 8 $ 28 plus tip much much pay ) , bathroom - side toilet seat 3 inch away wall toilet paper holder jam knee ! would design ? , last least - clean staff understand meaning & quot ; Disturb & quot ; . become quite annoying ! overall : would definitely stay , especially husband speak vacationer tour city . tell we hotel horror story shock say least . homework husband go Honeymoon pay ! ' m glad choose Holiday Inn . 
 Aug 6 2005 	 fantastic 	 visit new York first time decide go holiday inn cheap option . go hotel exspecte much average hotel , although wrong think get hotel terrific ! ! . lobby cleen staff helpfull polite , information site hotel desk find information go New york . e good thing hotel view hotel window room great view mid - town manhaten . room excellent clean . location mid - town manhatten couple block away central park 10 min wark away times square . bus stop right side hotel undergroung station ablock away . would say hotel excellent cheap quality . 
 Aug 4 2005 	 pool worth permanently stain smelly bathroom ? 	 return trip New York stay bad hotel yet . feel like travel back time . everything 1970 's ( include shower curtain ) . really , much would cost replace shower curtain . know reasonably price hotel expect thing clean . tub permanently stain bathroom general quite odor ! save grace pool bed decent . pool worth really bad bathroom ? 
 Aug 3 2005 	 Great Value 	 definitely plan stay soon . hotel newly renovate , clean within walk distance Central Park , Lincoln Center Roosevelt Hospital ( ) . also feature pool roof top , restaurant , , much well average Holiday Inn . New York City hotel expensive , disappointed one . 
 Jul 29 2005 	 disabled friendly ; close Time - Warner 	 moderately price hotel near Lincoln Center use stay closed , book good rate ( $ 141 , non - refundable ) directly hotel last January . last March break hip , although doctor clear travel June 1st , still quite disabled . call hotel ask shower chair grab bar bathroom . although & quot ; ramp & quot ; ( wheelchair , need ) room available , upgrade disabled room extra charge ( King bed , need , large room ) . although shower chair , sufficient grab bar feel safe taking shower , although beware marble floor . Holiday Inn moderately price chain , expect anything special room , large expect ( also need , nice ) . ramp lobby , bar . Priority Club member need wait check . bellman nice get cab one even suggest take private car airport ( limo ) trip tire thought would easy , , $ 15 more . although build old , pristine pricier hotel , certainly adequate . hotel bill 8th Avenue , actually mid - block 9th 10th , put close microneighborhood would venture alone night , disability heal , would feel reasonably safe walk back Lincoln Center 8th 57th . think use pool , enjoy relaxation sightseeing , never see afraid might fall . the housekeeping staff understand keeping & quot ; disturb & quot ; sign time keep come back hotel day rest . somewhat depressing view room building across 56th Street , take figure operate drape air conditioner . never figure operate television ; certain channel work certain time day other , never figure operate alarm clock travel . in - room coffee bring own . there pleasant bar , pleasant staff , drink performance , although normally would eat hotel restaurant , disability time food service acceptable pleasant . there noisy event hold 4 day stay , affect bar restaurant area , audible 5th floor room . hallway little run , price pay think good value . plan another visit New York March 2006 definitely stay hotel . 
 Jul 29 2005 	 Location Value 	 Hotel standard Holiday Inn . clean , good size room andstandard feature comfortable stay . enough room family five room two double bed roll away . wearrive early 10:30 expect check bag return laterto get room . surprised clerk verify reservation put we room right away , even though check - in not late afternoon . pool , bar , summer cafe near pool , gift shop , room service , restuarant , valet parking , bag / bell service tourist info $ 200 night bargin nyc.the location away times square , 5 minute tobroadway another 10 minute get square . itis plush Hotel , perfect family look comfortablestay reasonable price . 
 Jul 21 2005 	 Manhattan 's Best Kept Secret ! 	 use live NYC get ask time , & quot ; be nice place stay , cheap ? & quot ; . not answer . would recommend Holiday Inn anyone . sure , be basic , 's clean roof top pool fantastic bonus ! great location . 
 Jul 18 2005 	 bad front desk world 	 pay upfront february 2 room ( many kid one room ) july.2 hour check , give 2 room 5 floor apart.30 min wait access safe deposit box reception.cheap cheerful 
 Jul 14 2005 	 good location 	 great location . block subway station 5 block Times Square . clean good size room . 
 Jul 7 2005 	 Rude Staff kid friendly 	 take group 63 NY stay 7 night . carpet walls dirty hotel generally run . good location rude staff . eat drink lobby chair . room nice size price reasonable . book December we 5 different floor scatter throughout trip end June . would not book unless quite bit cheap everywhere else . 
 Jun 23 2005 	 solid value good location 	 Holiday Inn west 57th pleasant surprise . little worried reading review . room quiet , clean large two double bed plenty room rollaway bed . even though hotel sell , never see anyone else floor hear . rooftop pool nice , hour limit 10:00 - 6:00 , kid get enjoy three time . location good fairly quiet neighborhood , one block CBS Broadcast Center . walk street one morning , invite see Ringo Starr perform ! ! ! lot good neighborhood restaurant nearby . try Cafe 66 , Moonrock Cafe Broadway Diner . 20 minute walk Times Square , 25 minute Macy 's , Empire State Building . three block beautiful Central Park new Time Warner Center . , solid deal approximately $ 200 night ( bargain NYC ) . 
 Jun 14 2005 	 Convention location good 	 Stayed cause conference attend put . nice quiet street hotel undergo badly need renovation . automatic door handicap doorman helpful . room standard , clean fairly quiet . would not first choice return NYC group rate ok . 
 Jun 3 2005 	 good hotel near Central Park 	 complaint room , clean tidy , restaurant disappointment . like use hotel 's buffet breakfast rather waste time look somewhere outside . hotel come across USA breakfast buffet . waiter service , expensive . service great shake ; order cereal produce tiny Kellogs box bowl , instance , service would get buffet breakfast . fast food time day thoroughly recommend huge selection food court Time Warner Building Columbus Circle , minute walk away Holiday Inn . 
 May 23 2005 	 great price . excellent staff ! 	 stay May 16th-20th . city virtually sell get room 159 night 3 night 169 last night . request king nonsmoking room renovate tower rollaway 2 night . tall request accomodate we problem whatsoever . elevator small big deal . room large NYC standard clean . lobby huge decent bar also serve food , two computer pay internet useage , find helpful b / c need check email . every request make front desk staff , clean staff , valet accomodate smile . several tour group hotel hotel work well . room pretty close elevator still not bother they . the hotel great location- several subway stop within block . eat breakfast Morning Star 3 time great food service good price . 9th street closeby ( short walking distance ) ton really restaurant kennedys pub 57th great irish pub / restaurant well . all , hotel great value NYC . typical chain hotel , decoration average do not bother . reqirement hotel trip : decent price , good location , safe , clean . Holiday Inn Midtown meet requirement . 
 May 17 2005 	 love 	 pool definitley plus . not luxury decent be go actual city . one major perk place less block away Morning Star restaurant . ' ve visit NYC make note eat . food awesome , service quick & amp ; efficient , staff great ( helpful , ask direction ! ) .You be far subway either , bus run often . 
 May 8 2005 	 Clean Room Great Location problem .... 	 spend seven night Midtown Holiday Inn 57th Street . give 25,000 point per night Priority Club point stay . lot point , get Crown Plaza room amount , expect lot . room big housekeeping staff great nice job cleaning room . location hotel great term midtown activity . positive . the week stay temp 87 degree one day hotel decide turn room heating system . night get temp 40 degree room cold . try use room heater not work . next morning complain manager inform turn heating system turn air conditioning system , not reverse due effort take make change . offer we extra blanket cold night . one night run two hair dryer , iron , shower hot would go warm room blow breaker switch floor lose power half hour . elevator really slow small , make sure floor 3 - 8 come upper floor usually full wait finally squeeze onto one . place eat drink . & quot ; Ralph 's & quot ; southwest corner 56th 9th avenue . great italian resturant . great house wine great food . also , & quot ; Jake 's & quot ; bar grill northwest corner 57th 10th avenue , street . great place go late night drink . CBS folk hang across street . Met interesting folk 60 minute one night . also , MorningStar Cafe northwest corner 57th 9th avenue really cheap place eat breakfast get burger late night . pretty good food quick cheap NYC . 
 May 3 2005 	 Great Location ... 	 location great , staff friendly ..... hallway stunk stale cigarette ... sure mean non smoking ... look somewhere stay central location would recommend place ... maybe bit old need bit update ... airconditioner constantly go room - probably not notice smell ... 
 Apr 29 2005 	 ok customer service nonexistent 	 budget traveler hotel great . get upset one point clean staff not even bother clean room . actually nerve take & quot ; please clean room & quot ; sign throw room put & quot ; disturb & quot ; sign ! ! leave late day obviously lazy person not want clean room . staff friendly act like favor . new york attitude come , not customer service whatsoever . positive however room service quick , price right decent . room clean large ny standard , overlook street building , nice . can not beat price ny . not spend much time hotel normally $ 140 night ny steal . next time go would probably stay elsewhere could find something $ 200 night . overall would reccomend someone not care much staying want clean place sleep shower . 
 Apr 28 2005 	 Holiday Midtown Great Place Stay 	 group , 28 Boy Scouts leader , stay Midtown 5 day . great experience . staff friendly courteous go way assist we need . lobby spacious make great way place we gather take tour city . room also spacious nicely maintain . one morning , wife forgot bring Disturb hanger . return 4 pm short time , bring hanger . intention housekeeping take care room . return later night room clean new towel etc . many hotel / motel do ? two buffet breakfast Midtown also . well do ! possible downside number room 18 floor vs. 3 elevator ( small car ) . Pre - planning leave hotel work good morning use stair ( unfortunately , stair use go - odd , huh ) .we recommend . 
 Feb 28 2005 	 clean nice experience ! ! 	 read critic ny hotel mess ! ! went expect ! ! ! clean bed nice bedroom , noise good shower , else ask well locate good price ! ! highly recomende . 
 Feb 9 2005 	 fantastic first visit new york city 	 trip nyc lead believe choice hotel good , slightly worried reading comment website . however , arrival greet friendly helpful staff . hotel clean tidy room everything could possibly need iron / iron board coffee maker . enjoy stay would stay , shall certainly recommend hotel other . location great , short walk times square . 
 Feb 4 2005 	 nice stay 	 avid NYC visitor - 's always hard determine whether good judge NYC hotel experience . many year stay overnight NYC - far good ! hotel clean , modern obliging . attend NYC film festival - convenient hotel Lincoln Center walk refreshing . staff welcome kind hold bag shop stay city well check time . bar lovely cocktail well . 
 Feb 1 2005 	 Variable hotel good value NY 	 like gamble , stay . sometimes will get room pretty worn tired ; time will get nice big refurbish room upper floor king bed view . might coincidence , since finally gave sign Priority Club ( will not give mile airline card ) , see latter . place go right balance value location . west 57th St , be close Broadway stroll Times Square 15 - 20 minute . go way will Central Park 10 minute . get internet price around $ 140 room ny pretty good . also get access impressive basement gym extra charge , though be probably well eat drink ( shortage choice ) avoid hotel price . three star 's outstanding way ; be good base reasonable price . 
 Jan 27 2005 	 $ 130 midweek great deal . course nothing fancy ! 	 price , average . specific need 1 ) high speed internet access ( not dialup account anymore ) 2 ) clean 3 ) centrally locate , short walk safe subway station 4 ) $ 150 nightholiday inn fufille critieria . Hilton , Marriot , Renaisance Hyatt come $ 220 + mid week rate , $ 130 rate exactly look for . ProsLARGE room . clean . convenient . Bathroom recently completely renovate . new & quot ; boutique & quot ; hotel New York open recently tiny , tiny room . several small grocery store breakfast place one block away , convenient . consi ask room change , hassle , even though non - smoking room , previous person clearly smoke . wall paper room peel bit . Rug upholstered chair tired . staff bit New York attitude grow San Francisco use big city perfunctory service . long efficient reasonable attitude , that s enough . good value money , summary . 
 Jan 25 2005 	 great place stay 	 daughter pleasantly surprise size room 7th floor block . lot space clean . staff great - allow we check early check late . tourist info helpful . Morning Star Restaurant across road great breakfast . would recommend hotel anyone . 
 Jan 22 2005 	 escape Hotel 	 stay hotel December 30 2004 January 2 . first stay Park Savoy Hotel 58th street flee soon could . Park Savoy dirty , small dangerous ( fire escape ) . stay Holiday Inn 57th able get we room short notice busy period . good hotel , great . room big , New York city standard . real bath bathroom , shower . everything clean staff helpful . like walk get Time Square 15 minute . also take bus subway . 
 Jan 11 2005 	 also dissapointe 	 stay hotel Jan. 2005 3 night dissapointe . read advance Tower recently rennovate arrive , verified check tell Tower B one rennovate take room instead . room rennovate , would hate see beforehand . also , towel practically thin papertowel pillow much thick . bad , housekeeping - first day go Carnegie deli put leftover sandwhiche ice bucket . end put ice last morning , still bucket . maybe next guest hungry appreciate ? ? cup tea remain top tv entire stay well . speak cup , amount money location , expect make glass , least one tea / coffee styrafoam plastic instead . will not stay . good thing location , worth poor condition . 
 Jan 9 2005 	 ok stay Holiday Inn New York City West 57th St . 	 stay Christmas 2004 Tower B . allegedly recently refurbish wallpaper already peel next heater window . room nice large plenty hot water powerful shower . however , glass provide washbasin clean tooth make plastic / polystyrene cup take bedroom table provide coffee / ice bucket . $ 160 night would cost provide glass rinse mouth cup saucer coffee machine , incidentally one coffee sachet provide ? although non - smoking room clean clean room whilst smoking smell there . the staff friendly helpful ask local New York phone number tell we dial Directory Enquiries local payphone expense . however , ask extra pillow arrive within minute . unlike review never problem delay lift . go back JFK hotel , ask bell boy concierge arrange limo taxi $ 55 much yellow cab lot comfortable safe . we would stay . 
 Jan 6 2005 	 disappoint 	 Stayed 12/27/04 , original reservation 2 night due condition room 1122 Tower , check early . reservation request non- smoking room , walk room , air reek stale smoke . bathroom smell sour towel , wallpaper room FILTHY ! ! furthermore carpet lose life 5 year early , fade , dirty smell . ask front desk change room , response smug , room available . fill capacity . 203.00 night ! ! never stay . 
 Jan 3 2005 	 New Years Manhattan 	 three friend stay Holiday Inn 57th new year 2005 . room Holiday Inn room nothing special diffently $ 250.00 night pay , staff nice extremly helpful , ( tip right ) although concierge informative bell door man . would stay probally price pay . 
 Dec 26 2004 	 Decent Holiday Inn Fair Rate 	 stay Holiday Inn Midtown west 57th Street:12/16/04 - 12/20/04 ( first 3 night $ 190.00 rate last night $ 160.00 ) - room 5th floor 6th floor.12/21/04 - 12/24/04 $ 160.00 / night - 10th floor . big room ! important point remember hotel ! bathroom - nice strong hot water . restaurant - okay - nothing special - eat one meal hotel restaurant . other folk mention staff door - think - go open door - never ! 
 Dec 10 2004 	 good 	 good clean hotel , situate quick walk form Columbus Circle Metro station Central Park . expect much pleasantly surprised room . make sure ask renovated room . hotel like 700 room expect personal reception service personal working , room dissappoint . would go . 
 Dec 8 2004 	 great value 	 really can not believe review hotel , get back NY five night stay fab hotel . arrive late day , receptionist quick nothing much trouble . email hotel 2 week stay ask newly renovate room block , get . staff friendly especially Carl consierge , real credit hotel . breakfast hotel last morning wish go , waiter quick , polite nothing much trouble . stay New York Grand Hyatt 42nd street , hotel grand indeed , far compare room go holiday inn , much large , cleaner cheap . on whole look good quailty hotel , without pay th earth Holiday Inn . 
 Nov 25 2004 	 Pleasant Surprise 	 cross - country trip , decide stop NYC night find pretty good rate hotels.com Holiday Inn . expect lot , pleasantly surprise nice hotel . lobby nice terrific bar . assistance baggage , nice . without ask , receive room great view . there great rooftop swimming pool , eager try . 's really neat enjoy New York skyline take dip pool . room nice size good condition . my criticism would valet parking service . staff overwhelm quite rude deal get people 's car . need something car stay get bad attitude ask retrieve . even offer get . attendant bring wristwatch sunglass request , also give digital camera would leave car , think might want well . really nice touch customer service least expect it . if go New York , would hesitate stay . 's good location , quick walk Central Park . 
 Nov 24 2004 	 Okay 	 stay week Thanksgiving . agree recent review . downside : front desk staff nice - seem rush impersonal . exterior hotel really shabby - look like something right 1970 's . not even know doorman ! always seem employee stand around lobby one ever bother help open door assist luggage . stay 11th floor tower . interior hotel shabby . carpet old door actual room horrible . stop 2 - 3 inch carpet light hallway come room night hear people hallway like room . also steel / aluminum door look like door elementary school - dinge bottom door floor look like kick open every vistor ever stay . get room , door look dirty dingy afraid look room . sink faucet never stayed turn water , slowly get slow slow stop . room hot - keep window open whole time ! could not seem get room cool enough . the upside : room alright - large ( king - size bed ) . clean clean staff really great . pleasant nice , always say hello leave enough towel . problem shower . shower toilet separate sink nice . overall , nothing wrong room - impression get appearance hallway , elevator outside building make somehow seem dirty really not . location great - close subway ( 2 block ) , Central Park , 5th Avenue shopping . recommend 9th avenue eatte though . many place eat great bar watch sport . I would stay know expect . 
 Nov 23 2004 	 Nice hotel 	 come New York four night marathon - weekend get room 3.floor A - tower . read lot negative review hotel New York also Holiday Inn Midtown . surprised : room spacious clean . hadn´t much contact staff friendly . another traveler write , sometimes elevater slow . big problem 3 . floor . location great close Central Park . traveler get need would return hotel . 
 Nov 18 2004 	 Dowdy Shabby 	 really disappointed hotel . whilst room generally clean spacious whole place , include corridor public room , ' shabby ' badly need refurbishment . shower nearly always seem run hot water evening hand basin never hold water . bit difficult trying shave . curtain come away curtain track . first night whole room smell strongly disinfectant reception staff interested . the bar staff appear take pride work . glass top table nearly always sticky dirty , certainly could put anything . 
 Nov 17 2004 	 another relieved traveller 	 like last couple writer , apprehensive hotel follow negative review last month say pleasantly surprised arrival last week . while hotel mean fancy ( 3 * Holdiay Inn ? ! ) , room party allocate large , comfortable clean , want . we find staff hotel efficient amiable . request additional pillow , deliver room within 10 minute phone reception desk night check - in . negative experience lift slow certain time day , one morning shower cold day check - out reception area quite chaotic insufficient staff deal number bag retrieve leave luggage . advice respect latter would give additional time get bag back - not end pay wait charge driver airport . all , quite satisfied hotel term value , comfort excellent location ( close Central Park , subway station within walk distance Bloomingdales , shopping ) . 
 Nov 16 2004 	 hotel read comment 	 first visit NY recently stay Holiday Inn W 57th , daughter . Priority Club member purchase ticket another entity . come red eye , stand Prioity Club check - in line . even ask could help , ask pc Members ( one else lobby . ) indicate hope availability early check - in & quot ; recently renovate tower . & quot ; Front Receptionist rude , however , remind we indeed New York City ! Receptionist tell we renovate tower Priority Club member , remind Member even offer provide number . state room available tell we return 12:00 noon . explore area ( great location , lot small restaurant , Starbucks 1 block away ) , come back noon . stand regular check - in line nice Receptionst assist we give we room renovate tower without ask . location great explore city , two block Metro , Columbus Circle , Central Park , Theater District , however , hotel staff helpful . first arrive , Doorman watch we take luggage taxi reception area , even assist we opening door . occur throughout stay , even hand full shopping bag . semed people stay hotel helpful . room comfortable , although shower sometimes would easily shut - off . room always clean bed make every morning leave . often would return late evening hotel feel relatively safe walk area . market 1 block buy fruit water . 2 block several restaurant ( chinese , Steak ) , stay open late . even small clothing store next Starbuck 's buy glove . watch doorman check . run late ask taxi wait . lead outside luggage place Lincoln , proceeed tell we much . since short time , say ok . not - so nice check - in , decide use hotel sleep . love NYC return next year , however , stay hotel . could really great hotel , someone would teach customer service hotel staff . 
 Nov 15 2004 	 Decent hotel money - no problem 	 stay Holiday Inn group tour October . room fine - nothing fancy clean . hotel probably little old , problem . ask extra towel tell could hand we desk , would send . someone door less 5 minute . would definitely stay hotel look decent night 's stay fairly close action without break budget . 
 Nov 9 2004 	 relief ! ! ! 	 Phew ! ! person review hotel - email advance check - in request room Block . read terrible review hotel . get ask ! ! ! hotel room excellent - 2 double bed , clean comfortable ! carpets lobby seem ok ! bit noisy front 57th street guest inconsiderate let bedroom door slam hour morning . hotel employee ok - think problem speak second language ( english ) ! bar quite expensive hey , be major city expect ! pay $ 5.50 ( £ 2.75 approx ) bacardi coke , pretty strong . problem get bag room anything . bar snack large portion , cheap careful be hungry . would definately go back saty hotel visit NY ! ! ! 
 Oct 30 2004 	 relieved traveller 	 must admit read mixed review arrival bit hesitant . take note hotel refurbise emailed hotel ahead ask newly refurbish room get . room spacious location hotel able sleep night . shame forgot give bathroom ceiling coat paint . take note refurbish part tower stop time due busy ( info one manager ) .a couple reception staff day ( everyone ) whole pleasant . confirm say customer advisor , pleasant helpful would give Liz Taylor run money ring finger . try Applejacks Broadway breakfast market 8th Avenue Saturday craft shopping . want pay respect people die 9/11 go New York City Fire Museum Tribeca , thus avoid people sell Disaster magazine Ground Zero . husband go tenth wedding anniversary see hotel consider situated , glad choose Holiday Inn 
 Oct 28 2004 	 terrible hotel ! 	 stay 5 night 10 October , 2004 . check hotel , ask lady front desk privilege Priority Club Platinum member , like complimentary room upgrade complimentary continental breakfast . reply grumpy unfriendly way , & quot ; , get point already , get point other since platinum member & quot ; . find rude , course not get privilege hotel . service ! besides , lot doorman stand front door arrive taxi , none we intend help we carry luggage . pay taxi bill , colleague help unload luggage taxi trunk put ground behind taxi , one doorman even push away luggage intend help someone else ( guest already check ) load luggage taxi trunk . none even say word colleague need assistance luggage . probably think Asian not like pay tip hardly make complaint , try ignore we ! 
 Oct 13 2004 	 Reception bar ripoff ! ! ! 	 already reservation hotel arrive leave waiting desk even though someone ( count till ) behind desk , never greet we said & quot ; someone would we soon & quot ; call anyone . wait someone come back . go straight bed tired flight wake 3 be loud ring noise , first think fire alarm run hall nothing go , rang receiption tell we would investigate probably lift alarm . room near lifts . ring go another hour stop , next day complain move another room . room fine . reception hotel nice carpet dingy , also order brandy glass water reception bar charge $ 18 ! Ridiculous 
 Sep 27 2004 	 awful ! 	 please stay hotel . Holiday Inn Midtown may cheap good location room terrible staff unhelpful . first room allocate dirty full damp ( much bed wet ! ) . complain inform standard ( ! ) . second room much well either . white plastic curtain fit window lamp shade cover burn mark . I certainly recommend place stay sure find well deal money ! 
 Sep 8 2004 	 cheap consider poor quality 	 New York last stop month long honeymoon / world trip . book Holiday Inn generally know ' what get ' NY Hotels general quite expensive . stay luxury hotel around world , want budget could ' trust ' know would not hotel much many city sight take ! .... disappointing rather expensive compare quality find australian hotel ! desk indifferent abrupt towards we , tour desk guy nice though helpful . childishly grumpy man ( seem hate job everyone encounter ) take luggage last day check , flight back UK late afternoon . let stand time bag ' fiddle around ' ignore , practically demand tip - despite rude unfriendly . speak completely ignore , grudgingly answer question husband ! say would tip collect bag genuinely cash - not happy ! thankfully someone else ( tip ! ) return get bag ! not care much people ' rely ' customer tip US , limit book - ! .... downright arrogant nasty nothing earth would force hand money so - call ' service ' provide ! room shabby badly stain ceiling , bed clean , threadbare place , seem shampoo ration replace , bathroom dark tiny . Poorer expect . good Holiday Inn wish spend somewhere else ! overall think staff annoy shabby room , shame ! location fairness spot easy enough walk time square , central park etc .. 
 Aug 19 2004 	 room infest BED BUGS 	 room infest bed bug fiance receive 80 bite bed 4 hour . hotel pest control measure place caution anyone plan stay hotel . 
 Aug 18 2004 	 great Room Nice Design Interesting Staff 	 great bargain . ' ve stay Pierre Waldorf work , seriously , room Holiday Inn large pleasant . lobby redone lately chic . make summer month , be nice roof top pool Manhattanites & quot ; hang & quot ; fee . one manager dapper fellow double breasted suit , two tone shoe , curly white moustache . clearly revel role Manhattan hotelier . look listen pleasing NYC accent . Times Square , Park , Columbus Circle , ton stuff quick walk away . 3 kid , pleased . place deserve business . 
