nice 	 usually use Hilton New York , newly open Hilton Garden Inn two block office make sense try out . I book two week back find room 2 night $ 219 night + tax seem like bargain . due personal reason delay trip one day change resevation online price go $ 359 + tax would make room little pricey considering . helpful reception quick checking . room nice ( albeit little small ) hd flat screen tv , microwave , coffee machine , iron board , etc . wifi perfect free . breakfast good include make order omelette . would certainly use would expect pay little less $ 359PS . bad point breakfast coffee ( european ) terrible . tea taste coffee expresso available : - ) 
 Excellant Hotel Location 	 clean , attentive staff well service room . outside front door Hotel see Macys right Empire state leave . Superb . 10 - 15 min 's walk Times sq . easy reach & quot ; attraction & quot ; Rockerfeller centre , 5th Avenue , central station , etc etc .compact reception area bar certainly adequate . not eat restaraunt far many great place eat outside . ! would hesitate reccomend . 
 Perfect choice 	 Hilton Garden Inn strategically locate heart Midtown Manhattan perfect location business leisure purpose . the whole property 100 % smoke free facility . cleanliness outstanding ( change bedlinen every 3 night ) . room quiet , though small medium size seem rule NYC.Neighborhood lively apparently safe ; subway station around corner major bus stop ( MTA ) front Hotel . Trusty website / brochure . we definitely recommend Hotel ! 
 Apr 9 2009 	 Excellent value 	 stay five night king - size bed room 11th floor face 35th street . stay hotel perfect : * open March ' 09 , everything brand new . room really look advertised website -- something not experience hotel : - ) also take look hotel photo contribute traveler * fridge , microwave , coffee maker , small closet ( iron & amp ; board plenty hook ) , board drawer , desk ( LAN cable ) , two phone ( one bed , one desk ) , bathroom big shower hairdryer . room small still enough space move around comfortably . * bed comfortable lot pillow * flatscreen HD tv set 40 channel ( incl . HBO ) , High Definition . * bed device need press & quot ; Rock & quot ; & quot ; Pop & quot ; etc find music taste . also standard stereo jack , mean plug personal audio device ( iPod , walkman , etc ) . * wire wireless internet available , fast , free pain charge . * new window keep street noise room . luxury NY . * mess around vent 200 - year - old A / c device . simply set desire room temperature digitally . * three fast elevator , usually take less minute lobby room . however , seem bug elevator software : two occasion wait like 5 minute . * workout room basement * Breakfast include room rate . however evident note booking , surprise . * location unbeatable . subway entrance right next hotel entrance N , R , W , Q , V , B , , F train ( 35th St & amp ; 6th Ave north - east corner entrance / exit ) , another block west 1 , 2 , 3 , 9 , , C , e train . couple block east access 4 , 5 , 6 train . within couple block distance access almost Manhattan subway line , local express . simply perfect explore area NY . Macy 's , Madison Square Garden , Penn Station also around corner . * area busy day night , weekday weekend , feel safe time . * korean restaurant bar irish pub street * value / price ratio good . pay $ 139 plus tax per night , special rate charge advance cancel change . not know special offer , LOT cheap standard rate default cancellation policy . finally , not need hotel service , since everything work . Microsoft hotel , 's Mac 3 - star hotel NY : - ) 
 Apr 8 2009 	 Rip 	 stay three night weekend never stay . room small clean . continental breakfast anything . pay 17.95 breakfast . elevator small take forever move . reserved room Visa debit card pay cash find day later take 600.00 checking account hold make sure nothing wrong room nothing take . bounce check somethingf else need attach account take three day get money unfrozen . do not tell check say kind NY Law . never problem hotel NY . want stay 35 th street , go next door Hampton Inn across street Comfort Inn . Hampton least free breakfast . stay away Hilton Garden Inn 35th Street 6th Fifth Ave . 
 Apr 8 2009 	 Brand new hotel great location ! 	 stay Hilton Garden Inn 2 night . location great -- MSG avenue away plenty restaurant choose . Macy 's also close plenty store shopping . room comfortable . flat screen tv , microwave , refrigerator , desk ergonomic chair . mattress heavenly -- will not want get bed ! ! dial head side mattress change softness/ firmness level . amenity Neutrogena . shower great water pressure . snafu run room tidy . go morning housekeeping clean room . quickly remedied call front desk . however , amenity replenish . guess hotel work snag . lobby small business center four computer , free use . also 2 printer . parking garage across street discount stay hotel ( pay $ 35 2 night ) . fitness center also site . many restaurant 35th street -- several korean restaurant crowd people , always good sign . also pub street . restaurant site breakfast eat . Times Square far away plenty eat way . overall , Hilton Garden Inn comfortable would definitely stay . 
 Apr 8 2009 	 GREAT choice Herald Square 	 one several new Hilton Garden Inns open Manhattan . nicely appoint room include microwave , refrigerator large flat screen tv . hotel new , everything work . room bit small , even New York standard , really ' problem unless spend almost time room . hotel staff great ; friendly efficient . Hilton Garden Inns full service hotel therefore amount public space limit . nonetheless , nice fitness room state art cardio equipment small business center free internet three computer . restaurant small , pleasant bar . eat restaurant breakfast ; good , extraordinary . surmise meal likewise . plenty restaurant block , let alone within block , real need restaurant all . the location great ! across Herald Square Macy ' , block Penn Station Madison Square Garden , number bar , restaurant , store , etc . nearby . subway access great – entrance Herald Square station 20 yard hotel . all , hard imagine well experience price range . great choice . nb : good place eat drink Docks 3rd Avenue 40th St. , short walk hotel . 
 Apr 6 2009 	 great value great location 	 poster , really great experience . stay 2 night ( fri+sat ) 19th floor - 10 room per floor , 6 face street . little noise . think 30 floor . we fantastic view Empire State building macy's . subway handy . bed comfortable , flat screen tv excellent . also power socket bedside / desk light - handy charge ipod / phone , still use . fridge handy store milk / juice etc . microwave equally handy.re : elevator . problem morning go , reckon stay 15th floor issue . reception also great . free WI - FI also plus . 3 pc 's + printer + fax machine business centre . print boarding card continental flight back Europe - walk right huge queue Newark . save least 30 min queue time . have dinner O'Reilly 's bar 100 metre road - USD75 2 , incl drink , tax , tip , 1 desert . re breakfast - cost USD18 + tax + tip hotel . '' package split out . on morning 1 , get breakfast deli near , bring back room . hotel free coffee / tea lobby , take away . on morning 2 go cafe nearby , USD18 2 we . also , arrive 8.15am , could check room , great . leave luggage room small , store bag restaurant breakfast serve . Bathroom contain brand toiletry . rate excellent - around USD138 per night , per room + tax . will try post photo later . 
 Apr 4 2009 	 Fabulous FLAWLESS FANTASTIC ! 	 stay 6 night room 9th floor face street NOISE . location great walk distance practically everything subway station outside hotel however hardly use subway everything close . bed comfortable , agree previous review elevator take long arrive also tiny . hotel brand new new smell soon step elevator . service also great Frederick particular helpful go way help we . free WI - FI also plus . would definitley stay . 
 Apr 1 2009 	 3 great night 	 10 minute walk time square . right next Empire state Madison Square Garden . room clean new . complimentary internet include well . think bed great ! 
 Mar 31 2009 	 Perfect replacement bad hotel ! 	 recently stay brand new wonderful hotel group leave another hotel deplorable condition . upon walk , could smell newness place , tell thing still pristine shape staff want keep way ! minor problem staff , mostly new ! ! problem include room key misprogramme twice , change , misquote actual closing time bar , positive award Hilton Honors membership . , minor little annoyance quickly resolve undoubtedly fix within short time . complaint elevator Vermont Maple Syrup slow ! dude , be talkin ' SLOOOOOWWWW ! ! among many positive fine new establishment : -great central location close Empire State building , Madison Square Garden , Macy 's , 7 8 minute walk Times square.-wonderfully clean room , good air conditioning , nice bed , refrigerator , microwave , fantastic showerhead good towel nice bathroom fixtures.-great , flat screen televisons.-free internet service.-simple , good breakfast buffet . overprice $ 18 + tax , 's Manhattan , expect kinda stuff everywhere . certainly hotel will gladly stay future , long rate reasonable time ! 
 Mar 30 2009 	 go 	 would recommend hotel people . location hotel great people want go around Manhattan Downtown . empire State Building 1 block away , also get chance take tour bus go north south . Macy 's 2 - 5 minute walk distance Time Square 7 block away . room price may slightly high , save money take cab . soon step outside , several place eat . breakfast hotel expensive , step outside breakfast van sell food lot cheap . customer service excellent room clean . book hotel next time go New York 
 Mar 30 2009 	 ideal location 	 brand new ' little ' gem hotel ideally locate Midtown . although be right next 6th Avenue expect noise , find fine . be also block Empire State building get room high floor would able see window . room 15th floor . annoyance sometimes extend wait lift . 3 get busy time . breakfast would recommend go elsewhere one offer hotel pricey . free coffee tea lobby morning nice addition . I / we would definitely come back ! 
 Mar 28 2009 	 good value 	 husband enjoy hotel . room like new clean . quiet staf friendly competent . location beat . good value price . 
 Mar 26 2009 	 Great Location Great Deal 	 stay one night Hilton Garden Inn W.35 . regret one night . hotel perfect -- reopen renovation new clean perfect . can not say enough good thing property . relief find place reasonably price well locate NYC . rate $ 171 taxis , happy . staff helpful pleasant . location hotel also fantastic . right Herald Square , walk distance Penn Station , Korea Town , Macys , etc . , another huge bonus : subway station step outside hotel 's front door . can not ask much . get Chinatown Times Square without transfer minute . free wireless high speed internet access include room price . room litle fridge , handy . 
 Mar 26 2009 	 Good Hotel Great Location 	 initially , find really good rate ( $ 139 / night ) hotel Travelzoo.com . however , hotel 's web - site , find even well rate ! ( $ 129 / night ) . also pay upfront parking discount rate $ 35 / day . garage literally across street ... convenient . , be something comfort brand new hotel ( everything new & amp ; clean ) . room decently size NY hotel ( King Evolution room ) .here thought room.-i think bed comfortable nice linens.-the room nice furniture . include : comfortable chair corner , nice desk Herman Miller chair & amp ; small refrigerator / coffee pot / microwave area attach desk.-the 32 LCD HD always nice touch.-the bathroom great . nice tile shower , marble counter - top & amp ; Neutrogena products.-The free WiFi also nice . by far , one nice thing hotel 's convenient location . mention early review , 's subway stop right outside hotel ( Herald Square ) . 35th Street & amp ; 6th Avenue ... pretty prime location . utilize bar restaurant ( many option right hotel ) . overall , great stay ! would definitely stay . 
 Mar 21 2009 	 bed great like sleep rock ... 	 stay Hilton Garden Inn Mar 19 - 21 , 2009 . get back today . great location , staff friendly hotel still new smell . find bed uncomfortable . FIRM softest setting . linen nice duvet . bathroom good size comparable hotel chain outside city . shower great ( water pressure , temperature size ) . room thermostat excellent keep room exact temperature request . king city view room 2104 , 21st floor . view ok . could see & quot ; AC & quot ; & quot ; MACY & quot ; . could see top Empire State Building hang upside bed . stay would request high floor . room safe complimentary safe deposit box key behind front desk lobby . room smallish comparable Manhattan room . room clean , decor nice , furniture new , flat screen tv great . never need housekeeping two night bathroom stock lot towel . come Grand Central take cab $ 4 's well hoof change train 2 - 3 time luggage . avoid lobby breakfast previously suggest eat delis , pizza place ( corner ) pub ( Playwrights - Shepards Pie Dublin Fish - n - Chips great ) within block hotel . avoid deli Pax McDonalds night least . fiance stop 8 pm go extend salad bar . $ 6.99 per lb . go upstairs eat find rowdy , safe feeling , makeshift bar scene interesting & quot ; character & quot ; . 
 Mar 18 2009 	 Excellent location 	 nervous hotel book review . pleasantly surprise nice clean hotel . Checki smooth . fresh chocolate chip cookie wait check . room typical NYC size room . clean . clean bathroom nice shower . Neutrogena toiletry provide . bed not comfortable still bad . free wireless internet . free business center 24 hour printing faxing . hotel also 24 hour fitness center . the location well ! subway station step hotel entrance . Macy 's less block away ( across street really ! ) . lot bakery , cafe restaurant nearby . definately stay . 
 Mar 17 2009 	 Wonderful Hotel 	 Wife really enjoy hotel . room clean . stay 5th floor never hear street noise . check inn breeze hotel staff helpful professional . eat hotel resturant price ( $ 18.00 ) , several nice little resturant area within 2 3 minute walk . subway 100 ft away Macy 3 minute walk . great hotel return stay . conceigre knowlegable everything helpful . 
 Mar 17 2009 	 wonderful stay Hilton Garden Inn 	 husband stay Hilton Garden Inn West 35th Street March 11 March 14th wonderful experience . hotel brand new reflect guest room public area . stay room 29th floor — there 31 — where wonderful view Empire State Building front Macy ' Thanksgiving Day Parade occur year . imagine low floor limited view surround building . the guest room typical size Manhattan hotel . bed extremely comfortable , major selling point hotel us small refrigerator . convenient one wish stock choice beverage visit . well - stock market / deli conveniently locate right around corner 6th Avenue . room also include microwave large HD flat panel television well free internet access nice amenity city hotel . thermostat work properly easy keep room comfortable temperature . widow also crack open one wish fresh air hear city sound . window closed room practically soundproof , plus busy area city one desire quieter environment . negative find room one person sit desk almost impossible walk behind without climb bed ; limit space bed desk . however , look photograph hotel ' web site appear room set different manner . possibly gain spectacular view small room . also , room shower tub show photo gallery , notice safe . neither important we ; room serve purpose well . rarely except shower sleep , sleep quite comfortably . the hotel three small elevator , never encounter wait . however , occupancy hotel stay around 50 % , know elevator might pose problem hotel full capacity . lobby small functional seating area bar . breakfast cafe , never visit . one responsible get one ' cab , affect we return airport , cab drive soon step curb right front hotel . ( notice cab along West 35th Street frequently , one would problem hail one 6th Avenue front Macy ' dedicate taxi stand ) rest visit walk ride subway . hotel locate excellent area take advantage public transportation . subway station locate throughout Herald Square Madison Square Garden area ; one station literally step front door hotel . besides attraction Macy ' , Empire State Building , Madison Square Garden , numerous shop restaurant area , Times Square Theatre District short block north . return hotel rather late several night feel perfectly safe subway foot . now staff . visit New York City quite time , never stay hotel friendly accommodate staff . time walk door greet smile time leave , everyone encounter smile , speak we , tell we nice day pleasant evening . encounter hotel management well maintenance staff throughout hotel ; lobby , elevator , hall , everyone speak we smile . experience always case New York City , make trip pleasant feel welcome stay Hilton Garden Inn . 
 Mar 17 2009 	 great central location 	 go NYC last 5 - 6 year enjoy stay place different everytime . stay Omni Berkshire , Crowne Plaza , Best western President , Marriott Residence Inn . year stay Hilton Garden Inn 35th Street ( 5th 6th Ave ) March 13 - 15 , 2009 . originally book Marriott Residence Inn locate hotel TravelZoo $ 139.00 night . stayed 15th floor , room 1509 room face uptown . room rather large NY standard . room microwave , coffee maker , mini refrig . bathroom large shower awesome . also room offer wire / wireless internet charge , 32 inch hdtv , niced sized work desk . hotel 3 elevator wait always mininum . hotel also offer concierge , small bar , restaurant , pantry snack food beverage , also provide free coffee morning . parking garage across street hotel , along one block .... original parking price around $ 42.00 24 hrs , though get ticket stamp Hilton price around $ 35.00 . hotel subway station ( Herald Square ) right around corner . empire State Building locate one street away , Macy be across street , Times Square 's short 7 block walk away . hotel offer breakfast buffet , though bit pricey . great restaurant ( Andrew 's Coffee Shop ) locate street 35th St Broadway offer breakfest , lunch , dinner reasonable price . excellent choice year stay . 
 Mar 14 2009 	 great new hotel great deal ! 	 reservation book Residence Inn T.S. , however , check Travelzoo , day trip , immediately cancel Residence Booked Hilton Garden Inn , get king city view room 1509 , 139 p.night Travelzoo ! ! ! fabulous . hotel open 2 week ago . Checkin 3 , however , arrive 12:30 go right room . 300 sq . ft . awesome bed program desire firmness . large bathroom Nutrogena bath product . room m. wave mini ref . coffee maker . staff nice . hotel right accross Macys , subway right . handy , breakfast buffett quite pricey , however , find great coffe shop homecooked breakfast block away . stay . FYI , Travelzoo stil offer great rate forapril well . go wrong Hilton Garden Inn ! . oh , WIFI room , charge 
 Mar 14 2009 	 buen hotel 
 Mar 14 2009 	 Idéal ! 
 Nov 19 2009 	 situacion perfecta compensa si logras una buena tarifa 
 Nov 19 2009 	 recommander pour un séjour à New York 
 Nov 17 2009 	 Uitstekend hotel 
 Nov 4 2009 	 Tolles Hotel . komman wieder ! ! 
 Oct 30 2009 	 Supert hotell ! ! 
 Oct 18 2009 	 nice ? location ! ! 
 Oct 15 2009 	 très bon hotel 
 Oct 14 2009 	 Excelente 
 Oct 8 2009 	 Service moyen mais emplacement en 
 Sep 27 2009 	 Tolles Stadthotel ideale Lage mitten Midtown 
 Sep 25 2009 	 Fantastico ........ 
 Sep 23 2009 	 Estupendo 
 Sep 19 2009 	 excellent 
 Sep 13 2009 	 Ne Pas Hesiter - C'est top 
 Sep 8 2009 	 Ottimo hotel 
 Sep 6 2009 	 Excellente situation 
 Sep 5 2009 	 OTTIMO 
 Sep 2 2009 	 Muy buen hotel excelente precio 
 Aug 31 2009 	 traumhaft ! 
 Aug 28 2009 	 Consigliabile ! 
 Aug 28 2009 	 Service De qualité 
 Aug 13 2009 	 ottimo hotel ottima posizione 
 Aug 6 2009 	 Acertamos 100 % 
 Jul 26 2009 	 Bueno relación calidad - precio 
 Jul 17 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 7 2009 	 Le meilleur rapport qualité - prix pour un 4 * à Manhattan ! 
 Jul 5 2009 	 Excelente hotel ! ! muy recomendable ! ! ! ! ! 
 Jul 1 2009 	 Hotel confortevole e dall'ottima posizione 
 Jun 29 2009 	 buon albergo ottima posizione ci tornerei sicuramente 
 Jun 19 2009 	 Estupendo 
 Jun 16 2009 	 très bon hotel 
 May 23 2009 	 Neues Hotel Top - Lage 
 Apr 22 2009 	 Comodísimo por su ubicación 
