GREAT 	 read several review , pleasantly surprised . agree coffee maker room would nice amenity . room large , carpet stain , room overall clean ; linen , nice . bed comfortable . housekeeping service great ! would definitely stay . Location North end strip , be nice busy . easily access bus monorail . 
 well ' ve stay nice place sure .... 	 actually casino . Thanksgiving . suppose short handed help could not even get cup coffee casino . be not coffeemaker room inconvenient also fridge microwave . view good part room . woman Club Sahara helpful black cashier disrepectful rude . bored mind go WASTE money tight slot . money get me.to housekeeping ..... guest room completely clean stay F -- - room rude . 
 get Pay 	 not really sure expect booked trip Vegas . figured hotel would deal ... unfortunately , get pay . concur previous poster problem bed bug . also weird stain wall room . huge one odd place , like wall windows . can not even begin explain could get . also paint chip woodwork room . aside bug , bed comfortable though stay quiet . not think see single person floor . check - in / checkout line somewhat joke . seem like one two people work line stretch entire length lobby / hallway area . one huge positive proximity monorail fact casino not massive maze need figure . would stay can not get past lack cleanliness . sorry ... oh , also internet somewhat expensive not work great - go Vegas sit online anyway ? 
 Mar 13 2008 	 good first timer 	 stay summer think awesome price . ' m come way Jersey Vegas first time . thing stand way catch cab . roller coaster kick ass be gamble place table gambling . far food ok . favorite meal burger fry . sized portion . drink horrible . good thing store locate hotel handy . pool awesome resturant speed way ok . resturant lourds horrible 's suspose scale . ! go CIrcus CIrcus Steak house ! that s good meal ' ve ever eat ! lot luck slot well table . room recieve view $ 40 buck night great . perfect view mountain . 's good buy . 
 Mar 13 2008 	 great value money 	 one old hotel bit way main hotel find monorail make that . we stay Sahara 7 night , check ask could upgrade extra cost , not afraid ask ! ! end spacious room view Stratosphere . the buffet hotel awful Caravan Cafe fine House Lords restaurant delicious . if decide stay hotel ride roller coaster , be well one New York New York Hotel . all hotel great value money . 
 Mar 9 2008 	 Rat Pack would not approve 	 first time Vegas . town weekend March 1st . travel buddy . sort know go to special arrive line - up least 50 people long . two check people . one seem quite confused concept . take 45 min take shine hotel immediately . overall hotel dark gloomy . buffet industrial quite mediocre . pool fine . drink cheap hotel feature liquor store . staff seem care much . particularly friendly . the room dingey . clean . shower toilet work fine . the Casino pretty standard . nothing compare new one . crowd like say , bar cheap . it nice near monorail would long walk anything want go to . Loved Vegas . will not grace long line - up Sahara ever . 
 Feb 29 2008 	 bug infest 	 starve arrive airport . ask bell boy hold bag could get something eat . great hold luggage could eat . staff recommend eat restaurant hotel . though restaurant look extremely date , decide could mess burger fry . drank shake serve meal , cockroach atleast 1 1/2 inch long come run kitchen . even mortify . cockroach climb waitress ' leg back turn take order . complain manager , make excuse bug large considering could grow three inch . say Vegas problem cockroach . speak , different bug come crawl bar area ! stomp run . would never recommend hotel anyone would ever stay . 
 Feb 27 2008 	 cheap reason 	 will pro first scare everyone awaypro : cheap - 4 night standard 2 double bed room $ 315.on stip Monorail Station - get way end strip 15 minute this . pretty fun rollercoaster . Hair dryer , iron , iron board . double bed short comfortable mattress nice pillow . the Grind Coffee Shop - nice quick coffee service - good Starbucks though many option . no Bedbugs - believe know check look - room - check stay here . CON:1 . Shabby - never see much rust hotel room . peel wallpaper , not even look bottom doorjambs bathroom , 2 . window crank break ( yes window open - good luck getting close ) .3 . personal favorite - heat AC control - little plastic sign dial allow controll speed fan states & quot ; controll heating air conditioning , air flow , temperature dertermine outside temperature & quot ; freeze room . can not imagine would like hot months.4 . good luck get room reserve - & quot ; oh , want non - smoking room king bed ? non - smoking 2 double bed & quot ; point pay room advance ? ! ? husband 6 ' 1 & quot ; get sleep foot hang end bed . pro take blanket second bed keep freeze night.5 . charge internet access - even standard Motel 8s free internet.6 . $ 4 fee per day charge upon check - way tired even argue - ' m sure count that.7 . may fault - casino not take change machine anymore - not get Vegas much not know . save change little gambling money get find can not even exchange - tell go local grocery store Coinstar - nice.8 . Caravan - manage take flavor food Vegas style price - waitstaff friendly painfully slow service . ok - end - cheap know everyone say get pay - feel worth less pay . would stay - . would recommend anybody anything tightest shoestring budget - no . if stay get Monorail ticket use place sleep shower . 
 Feb 25 2008 	 pretty affordable 	 people vegas activity spend day hotel room . hotel old functional , look 1st class service forget . look take shower sleep fun vegas would definitely recommend Sahara . 
 Feb 25 2008 	 cheap reason 	 check late Monday night staff pleasant courteous . good part stay . reserve room hotel website recieve coupon food drink . bar drink get never open , least go walk elevator take room . coupon food available certain resturaunt , thing explain either staff hotel website . get room realize pay less average rate hotel room expect room least nice house . house nothing fancy . first thing notice air conditioner full blast 1 walk foot long tear carpet . think fix . staff great stay would recommend people look elsewhere room . 
 Feb 24 2008 	 bad experience evere encounter 	 hotel state website , brochure select deluxe room new section , new section 18 year old ! . room date , worn , poorly maintain . hotel 55 year old ! Las Vegas term hotel ancient tear replace . hotel one time nice place , time come replace , also include management . first trip Vegas also plan wedding hotel 16 family member come event . room , staff , casino , restaurant far par anything would expect monie pay . move room & quot ; suite & quot ; many issue , ( card reader work , room king size , etc ) . rent wrong room 2 man ( think old room ) room occupy time sleep minor girl . issue room , safety , security offer comp we 2 night stay . price minor girl safety worth Sahara ? $ 168 . spend $ 3,000 hotel room , chapel , wedding dinner etc . 
 Feb 17 2008 	 people really tight budget 	 hotel really old need major repair . would suggest hotel anyone really tight budget . great area walk around late night~ Nascar resturant join Sahara . stay else 
 Feb 10 2008 	 adult play Ground ! 	 hotel one less & quot ; grand & quot ; hotels strip reflect good price get . hotel spacious amenitys would expect . hotel be not date much old fashion decor . room large , clean kingsize bed . buffet hotel cheap great breakfast etc , however part fun eating hotel . large pool great pool bar drink snack ideal . find ideal cheap place stay explore Vegas ; importantly monorail make easy get around . time fantatsic . 
 Feb 6 2008 	 many problem little TIme 	 travel city want enjoy , last thing want hotel get way . how Sahara garner three star rating hotel hard understand , convenient nothing spend day Las Vegas attempting get destination rather enjoy stay . the monorail convenient hotel , $ 15 per person , per day - expensive ! aside room sub par , crack floor leave gap doorway caustic staff 's interest helping make stay comfortable all . take pass one , dollar well hotel well worth . 
 Feb 5 2008 	 good place budget 	 stay May nice . check quick Memorial Day . enjoy play casino . thing like hotel patio look pool . fault bath tub drain water slowly shower patio door not lock . contact front desk situation take care except door . offer move another room not guarantee patio , high safe way one could climb patio door refuse stay room . enjoy stay would stay . 
 Feb 2 2008 	 get pay Sahara ! 	 choose Sahara work / fun trip couple reason . main reason price . close behind proximity Las Vegas Convention Center work take day . also like fact hotel monorail line . finally , ' ve want stay . ' ve make handful trip Sahara recent & quot ; fun & quot ; LV visit take advantage low - limit gambling . early landing get hotel well check - in 9 Las Vegas time . thought would try see room available , least , get check room assign later ( LV hotel do past ) . reach check - in desk , clerk simply turn away tell check bag come back 3 pm . mostly put attitude toward , react like make unreasonable request possible . first many example poor service get hotel . the next three day continued trend . in - room internet connection not work . follow on - screen instruction laptop call front desk . first call not answer ring couple dozen time . finally get , operator everything power make believe problem fault . finally convince internet service not turn room . finally sigh & quot ; try & quot ; hung . indeed work ... find error . follow process next day 24 hour first connection . business traveler , internet connection room necessity . hate feel like beg it . other annoyance add . slow service nearly empty cafe 10 . room key card stop work reason . poor quality buffet . big little issue add prove Sahara hold candle neighbor far service concern . the room interstate motel quality , expect . consider pay 1/3 - 1/4 would pay property , fine quality . can not stand staff amenity live room quality . I will not return Sarah business . oddly , would recommend traveler simply want cheap room bed shower serve base operation explore rest Strip . monorail let get away well property without pay lot transport cost . otherwise , pay little extra stay Ballys , Flamingo , Excalibur budget property . 
 Jan 30 2008 	 pretty sad hotel 	 okay price suppose completely renovate room . quite idea re - model . 4 night business carpet never sweep . shower curtain smell sour hair bathroom floor . not change sheet everyday either . whole hotel rather depressing . food restaurant awful . expect conference price $ 65.00 per night 2 ? never . 
 Jan 29 2008 	 stay away 	 book last minute trip Vegas New Years Eve . choice Sahara Golden Nugget . figure Sahara $ 200 cheap 4 night good option . never hotel bad ! carpet room numerous iron burn , addtion patch stain ( patch well mind ) room right dirty . sheet stain hall room smell like wet dog . occasion could smell smoke although non - smoking floor . long story short , move Golden Nugget ( pay extra $ 250 since REALLY short notice ) , well worth . stay away , stay away stay away ! 
 Jan 28 2008 	 horrible basic 	 stay 1/25 - 1/27 total $ 100 . book couple hour check - in expect bad reading review , look cheap place get away family , second cheap town , include off - strip ! arrive 11 p.m. , two lady work check - in desk , take least half hour get front line . , check quickly pay $ 4 per day hide fee cash . we stay Tangiers tower , right check - in , room look exactly like photo show review one . expect stink dirty damp feeling , probably one scentless place ' ve ever stay . dirty scent , clean scent , scent . everything clean little rust bath . the one problem room completely lack information . not Las Vegas magazine list attraction even brochure showcase hotel 's feature many place . bunch menus local pizza delivery place floor arrive , figure Sahara 's replacement room service . room clean , menus go , call send give runaround transfer different department . finally find hotel not distribute , actually room service , someone housekeeping run room service menu we . really not understand not available room first place . we end use room service deliver quickly , everything order make correctly . we also try cafe buffet , average . actually like buffet much , eat cold item like salad fruit , boyfriend eat lot cook dish hate , complain cold undercooked . feel awful eating though . also one pick dirty plate . overall , Sahara clean decent place stay price , would never choose special occasion . also , since live not really use close access popular Vegas site , not complaint location . however , might since far north strip , monorail access take center south strip . good luck ! 
 Jan 28 2008 	 room great 	 recieve room comp 3 day Sahara Casino resort . read many bad review hotel reluctant stay . one review read mention ask upgrade . . put 27th floor hospitality suite charge thing . this definitely one old casino hotels strip . show 's age . the monorail start hotel travel end strip . there alot pan handler end strip ' ve learn alot travel get want since read review web site . 
 Jan 27 2008 	 good cheaper rest ! 	 buddy stay dec.15 - 18th boy weekend Vegas ! main reason stay compe 3 free night ! stay 2 time always gamble litlle every visit Vegas . hotel basic accomodation , room clean bed comfortable ! casino large big variety slot machine . $ 3 blackjack roulette also . the buffet large nice variety good quality food . use player card $ 6.99 dinner buffet 12.99 otherwise . also breakfast Caravan Cafe one morning food really good large portion ! flapjack well ! not eat Paco 's mexican time , previous vist good mexican food get anywhere town alot cheap large portion ! Nascar , ( ' m ) Nascar Cafe lot Nascar memorabilia . location far end strip near Stratosphere not matter we since rent car could go anywhere . could use monorail though since station Sahara . if look good nightclub age group go Polly Esters Stratosphere . 4 different club one music 70 & quot ; music present day . also deal include admission club drink $ 40 10 pm untill 4 am ! ! ! walk back Sahara long night party worry drive cab fare ! old Vegas hotel Rat Pack era probally implode someday make room new high dollar corporate greed hotel like rest become high price room , food , drink , show , etc ! overall hotel good ! want real fancy price ammentie stay one new hotel . money place fine ! 
 Jan 27 2008 	 cheap average hotel 	 room 1178 . clean quiet . for price pay o.k .. 
 Jan 24 2008 	 Mediocre Hotel - Tired staff 	 stay Sahara attend CES convention . first impression : 1 . hotel need remodel - everything wear 2 . staff ok , far friendly even happy there . problems:1 . hot water 2 hour morning check water much period . unable contact Front Desk report problem & amp ; finally end call Bell Desk talk Engineering . toward end , Front Desk call tell water , turn tap none . wait bit , water come back . point , ask person phone long Hot Water would restore . said & quot ; hot water go house , long take get back & quot ; . fairly typical attitude encounter deaile Front Desk throughout stay.2 . check , Aleksa print bill , tell internet service go night ( charge extra ) . say wished tell early , go refund money . apologize . continue berate tell soon enough internet service problem rework bill ( even apologize ) . finally tell enough & amp ; not want hear it.3 . Jason promise would contact Hotels.com , book reservation , get refund one night . instead , get offer mail one free night 's stay next time town . trust , never stay Sahara . 
 Jan 24 2008 	 stay last resort ! 	 need last minute hotel call Sahara hotel book . told & quot ; call back morning . & quot ; unprofessional . instead opt book search engine online & quot ; deluxe room . & quot ; Sahara locate strip , direct monorail stop . however , last stop far strip close none hotel / attraction . line check - in take way long entire hotel smell like smoke . hotel not appear remodel within last 50 year easily see rate inexpensive . & quot ; deluxe & quot ; room small nothing special . ask bellhop & quot ; regular & quot ; room say & quot ; not want see . & quot ; non - smoking room smell like smoke hall smell like old food . be look place merely rest head , . be near nothing smell outdatedness , will not want spend time absolutely necessary ! 
 Jan 24 2008 	 worth money 	 stay Sahara one night . check Saturday take 30 - 45 minute get front desk . ( maybe weekend caucas ) . assign room FREEZING . try turn heat none . tile bathroom ceiling stain . sprinkler cover dust . assign another room cold heat room could adjust manually . since issue first room decide take look around room baseboard bottom wall DUSTY . one slide door work cIoset . opinion hotel need invest another heating system ( possible ) case get cold Vegas next winter . would recommend hotel anyone . ' ve stay Motel 6 well place . sister issue advertisement buffet . post around hotel buffet $ 9.99 . get front line seat tell $ 14.99 . mention sign around hotel inform say start $ 9.99 . 
 Jan 23 2008 	 Sahara 's hotel 	 lot money Las Vegas Strip hotel , Sahara 's work . get home 3 - night stay , pleasant . Sahara 's old classic hotel casino go rennaissance sort . first time get comp'ed room . hotel guest regular earth folk . hard work decent smuck want little fun affort stay lavish hotel . think Sahara 's lot nice amenity : * convenient entrance Monorail . * many slot table game . * buffet , snack bar , restaurant 24 hour restaurant . * across street nice strip mall McDonald 's . * clean room professional maid service . I two complaint Sahara 's # 1- slot way tight . hard win bonus round ! # 2- coffee snack bar waaaaaay WEAK ! ! ! 3rd time stay Sahara 's stay Sahara 's , without comp'ed room . I highly recommend Sahara 's cost conscious traveler . 
 Jan 22 2008 	 Terrible Hotel World stay Sleep Car 	 would rather sleep back car . terrible , service wasnon existent communication front desk possible filthy room . water pressure shower . location suck ! positive thing decent low limit poker room . stay ! spend couple extra buck , stay somewhere nice , sleep car , place beyond terrible . 
 Jan 21 2008 	 Keys room give stranger 	 5th year stay Sahara always recommend friend cheap place stay . monorail proximity nice go end strip happen . however , year problem . maybe 1st 3 night promotion price , do not think owe decent service . 2nd night , awaken asleep 2hrs somone try get room . ignore awhile think drunk person persist . finally get tell wrong room . still kind freak since single girl stay alone ( friend come next day ) . ten minute later try go back sleep , room phone rang . caller want give name do not think suppose room ( ? ! ) . hesitate give name since could anyone call room ( turn mgr ) . stop desk next morning complain , mgr tell call . apologize offer nothing else calm fear give people key room . deadbolte door , would even disturb experience . can not keep room assignment straight , take care aspect hospitality ? ? ? mgr do acknowledge concern , would upset would sure stay somewhere else next visit . 
 Jan 16 2008 	 bad experience 	 return home stay Sahara . ask renovated room . however , room assign shabby , aged unrenovated Carpeting huge bad stain . due pipe break , entire hotel without water washing toilet second morning stay . room computer access ( extra charge ) flaky unreliable . hotel computer checkout . bill send home , arrive mail several day later . 
 Jan 10 2008 	 room good well 	 stay Sahara Dec. 07 National Finals Rodeo . room nothing fancy . sure could use update room , casino & amp ; restrautant fine . enjoy buffet morning . price fine . want place sleep shower . , room basic beat furniture etc . call room vaccume clean . I would probably stay due neat place choose ... 
 Dec 31 2007 	 Good Value Old Vegas Style 	 Sahara 50 year old show ; nonetheless represent one cheap way actually stay Las Vegas strip , one last remain bastion & quot ; Old Vegas & quot ; style . the hotel 's new ownership claim room recently renovate , room Tangiers tower indeed sport new wallpaper , carpeting , paint . addition , linen appear new well quality note previous stay . on negative side , furniture replace definitely show age . elev ator slow sometimes break . amazingly , line check Friday 3:00 pm . subsequent observation indicate catch lucky break , line normally quite long . we experience problem stay - service front desk , parking valet , player club bell staff average excellent . enjoy excellent steak outstanding service House Lords , mention plenty aforementioned & quot ; Old Vegas & quot ; ambience . however , Caravan Coffee Shop leave much desire , food could charitably describe mediocre good . good thing say buffet really cheap . Paco 's feature adequate , albeit americanized mexican fare . eat Nascar Cafe . while Sahara never mistake one new megaresort , represent excellent value someone look old Vegas ambience would rather save his / her money table . 
 Dec 31 2007 	 Couch surfing ... 	 book room advance Sahara . ask king size bed , tell late check , approx 1:30 morning would problem . arrive wait line , two people check guest , tell room available bed , couch avaialble pulled bed .... never wildest dream would expect Vegas hotel couch guest sleep . walk strip hoping room . prepaid talk employee prior make reservation make sure room , bed , would hold .... case . sleep , rather toss turn couch night . unbelievable . late would try book another room somewhere else , bed . I stay Sahara ever . want risk sleep couch . something keep mind think stay . might wind couch , mention anywhere website , person speak mention possibility . 
 Dec 30 2007 	 stay ! ! ! filthy terrible service ! 	 even consider hotel stay Vegas , cross list right ! horrendous ! ! know suppose closing totally redone nothing make people happy right . room filthy , service terrible bell hop busy judge woman pass . want hear disgraceful place ask ! 
 Dec 26 2007 	 okay could well 	 review long check line true ... reason check line always long , give impression popular hotel , look number personnel manning desk blow away impression . I stay tangier tower good view Vegas . toilet flush enough water pressure use , wait time could use .. ! ! leave room 11 Saturday , make bed , give we fresh towel . the good part hotel access monorail , allow get heart strip 9 $ day fee . I think get well price Vegas 
 Dec 19 2007 	 problem Sahara fine great value 	 purchase deal Hotwire , $ 49 deluxe room . treat extremely well front desk , give bunch useful coupon quickly deal . $ 4 energy fee add check in . we visit LV one night , quick trip San Francisco area anniversary , see Spamalot Wynn . explain nice lady , Alicia , visit anniversary ask manager could upgrade suite . get suite enjoy . read Tangiers tower good location , offer view strip , bit hesitant accept suite knowing would locate . not want seem ungrateful effort though , not say anything . suite one old tower ( Alexandria ) , view Stratosphere back alley industrial portion property . stay one night likely would ask king room Tangiers . suite well keep , clean , date . single pan window let lot noise draft . night temp . high 30 's , run heater night . bed excellent , be thrill many property seem go comforter route . since use home , love vacation . not mind date , stay dirty . clean . the buffet good , especially $ 10 coupon . walk Wynn , 25 minute walk , well light wide sidewalk . nice thing Sahara extreme end strip , hassle dirtbag hand pornography . find distasteful stay Mandalay Bay last year , people seem congregate towards center strip . I would stay Sahara , $ 49 + $ 4 feel great value . FYI , print boarding pass business center $ 7 ! free wireless , available fee , ( think $ 12 ) . tv 's small , probably 17 & quot ; , many channel . great free wireless airport , really appreciate free connection there . oh , Spamalot great ! 
 Dec 16 2007 	 pleasantly surprise 	 receive 2 night stay Sahara comp timeshare presentation . not tell hotel arrival timeshare reception office December 10th . find Sahara , heart drop . know old hotel prepared find accomodation even pay pocket . upon arrive Sahara , Delia , clerk check - in give we upgrade kingsize bed upper floor . room gorgeous pleasantly surprised . clean , big perfect every way beautiful view strip . also stop monorail go end strip breeze . also find everyone work pleasant . guess smile say & quot ; thank & quot ; worker treat respect kindness . never bit problem attitude anything else . would stay . 
 Dec 15 2007 	 Superb Sahara 	 first visit Vegas stay Sahara November 28th December 5th . stay room floor 24 Tangiers Tower . beautiful room , clean , spacious , fantastic view Strip great size En Suite . find member staff friendly welcoming . little old - fashioned add hotel 's atmosphere . casino great eat lunch Caravan Cafe cheap food delicious . monorail stop Sahara mean literally minute away anywhere Strip . would happily stay Sahara . Vegas - WOW . 
 Dec 14 2007 	 Sahara : tale two visit . 	 get back trip Vegas Arizona stay 3 night Sahara - 2 beginning trip one near end . two experience could not different . when check first time delighted friendliness staff please receive automatic upgrade Tangiers tower . the room pretty good size , clean comfortable decent en - suite . Extras include pretty good hairdryer iron ironing board . whole pretty please - particularly give ridiculously low price pay . a week later , return tour Az one additional night prior move Harrahs . oh different experience . check - in staff rude , ill inform almost deliberately unhelpful . book non - smoking King week previously discover none available . first desk clerk deal ( mistaken ) impression book room outside agency leave we doubt bottom food chain result . pointed have actually book direct Sahara grudgingly give twin Tangiers additional fee . room prove ok ' queen sized ' bed small ' ve ever experience spend ' snug ' night result . visit casino check - in reveal dealer & amp ; bartender similar mood desk clerk . certainly not sorry check follow day . the reason difference welcome pretty clear , first time hotel half empty second time rodeo town have fill . quite simply , Sahara fail basic test , consistency service . 's easy friendly professional handful guest , good hotel deliver good service matter occupancy level . patchy service aside ... Sahara remain pretty good budget option . monorail link ' the deuce ' solve isolation problem . table limit low strip casino -as one old remain relic old Vegas - place certain shabby chic . the thing worth mention dining hotel . not . try cafe breakfast buffet dismal . the bottom line be take chance choose Sahara ; could either strike lucky strike . 's Vegas , right ? 
 Dec 14 2007 	 not waste money Sahara 	 always enjoy Las Vegas go Cowboy Xmas . air room , 3 elevator 2 work , 3d break 20 min stick 19 floor . know hotel old expect thing work properly . real shame . the shower run hot water never see happen hotel ! pay $ 37.00 hamburger french dip Cafe , crazy . eat place . 
 Dec 14 2007 	 bad hotel ever stayed 	 stay dec 8 th , bad hotel , room unclean . bath room bad , low quality maintenance . I never stay hotel . 
 Dec 4 2007 	 good value money issue 	 Sahara offer room reasonable price . room ok service good . thing like charge call ' energy tax ' time check . might well include price book at . also , little mid strip action . 
 Nov 30 2007 	 great value - base hotel 	 stay Oct 5 - 7 , 2007 . Booked standard room Orbitz , & quot ; $ 20 trick & quot ; front desk , upgrade Tangiers tower room penthouse suite . bad ! be smoker , every casino smell smoke , hotel good job minimalize it . our suite nice , clean , good view northern part strip . hotel quite walk & quot ; main & quot ; strip downtown , & quot ; deuce & quot ; bus stop directly outside hotel . $ 5 , ride strip go downtown day long . casino small , comp program great ! not pay single buffet . Tahiti Village leech full force , careful ( be timeshare condo people ) . & quot ; Elvis & quot ; show horrible . not pay dime see ( not , , comp terrific ! ) . 
 Nov 28 2007 	 many choice besides Sahara 	 stay Sahara ' implode . would reason stay hotel . like other , find property severely lack general maintenance cleanliness . room acceptable staff friendly . pool area look nice standard hotel ( Las Vegas mega - pool area , mean . ) rest casino depressing . compare rate , especially Hotwire , likely find much well accommodation $ 20 - 40 . 
 Nov 27 2007 	 good value 	 stay December 2005 , know much later ' m go back Vegas make think . room WOW , like $ 25 night something . end stay , beautiful view high floor . room fine . staff nice . take cab casino every day club bar . totally save us lot money completely happy Sahara . next time though , ' m go one really nice hotel , ' m definitely go end pay . want cheap hotel 's still nice stay ! 
 Nov 23 2007 	 really nicegreat stay ! 	 stay one week September really enjoy ! pay standard room request upgrade check - in - offer deluxe room extra $ 40 whole week worth . nice , quiet room = clean comfortable . hotel quite far strip still within walk distance fashion show mall Stratosphere . bus stop near catch Deuce ( strip downtown bus ) Downtown Freemont Street Experience ( $ 2 one way , $ 5 day per person ) - highly reccommend Freemont - superb light show ! much cheap eat , drink gamble downtown ! would also reccommend visit casino strip = Palms Rio - Rio VooDoo Lounge meal excellent ! ! Stewart Catherine - Scotland UK . 
 Nov 20 2007 	 Excellent hotel rate pay 	 return journey California , Nevada Arizona . Sahara hotel lovely hotel . get comfort room 24th floor stunning view Las Vegas comfort able expect two double bed . bathroom clean towel change every day . the pool nice palm tree phantastic hot spa without many people . resturant buffet wide choice food italian , mexican , american , fruit , cake , drink . for price 12.99 get nice meal . location great beacuse station monorail hotel explore whole Strip daily pass . for value 55 dolar daily room get one excellent hotel . 
 Nov 20 2007 	 miss cell phone charger/ slow shower drain 	 leave cell phone charger first room smoking room .. smell cigarette night ... Swiched nonsmoke next night . go front desk , security , housekeeping supervisor , even extreme knock old room wake single woman . cell phone charger never surface . nonsmoke room 1755 slow shower drain . water ankle time finish resonable length shower . would stay . 
 Nov 18 2007 	 Sahara 	 Sahara need makeover . room ok not par strip . also far casino . stay one night not big deal . the buffet average , bad great . 
 Nov 14 2007 	 great value Great Hotel ! ! 	 stay Sahara week Anaheim , arrive check - in ask upgrade available put high floor well view strip ! find room clean decent size two adult . two double bed , dresser , table two coomfy chair decent sized bathroom . window also open little bonus ! staff friendly casino area enjoy player club comp come ! ! evening buffet complete suprise people put enjoy , player club price $ 6.99 ( half price ) . also eat caravan cafe late one night ( early one morning ) enjoy also ! another bonus duece monorail easy access hotel , Stratosphere Circus Circus ( recommend champagne sunday brunch ! ) , really like walk strip ! ! would definitley stay , still ! ! 
 Nov 5 2007 	 good place stay 	 good sized clean room . staff - especially bell - hop desk - helpful give excellent advice get around enjoy stay . see well Buffet Restaurants much choice around not matter . whilst location middle strip find great get access area Las Vegas . must 24 hour ticket $ 5 Deuce Bus , stop outside hotel , run every 8 - 10 minute go one end strip - end free shuttle Las Vegas Outlet Mall . 
 Nov 4 2007 	 Alright Bargain 	 may bit jaded , well review couple year old , ' m write anyway , ' ve find site helpful upcoming trip caribbean . the hotel staff friendly , people especially dealer . first time Vegas , personally want stay centre strip access well nightlife casino . from understand casino around since 50 's ? , sure look like . ' m also sure hotel go non - smoking , fairly keen sense smell could still smell smoke . the dealer great , help w/ basic crap , end walk away w/ hundred dollar thank guy w/ hot hand . Bonus Sahara monorail ( remember 's call ) stop , convenient . , nice place not want spend hundred night nicer hotel . show age . 
 Nov 1 2007 	 Sahara Las Vegas 	 return Sahara . book beginning year lot bad review . someone normally stay 4 5 star , family satisfied accomodation . location might know slightly north strip maybe 40/50 min walk main strip , however taxis cheap approx $ 10/15 dollar main strip . yes would stay food opion good . also go show Stratoshpere enjoy . weather hot even October . 
 Oct 30 2007 	 good hotel good value 	 like everyone else seem wary stay reading review hotel actually quite pleasant , especially $ 60 / night . not know traveler willing pay extra $ 10 / night stay deluxe room randomly bad experience stay quite pleasant . admit upon check not room w/ king although let we check early & amp ; girl quite nice . room clean , nothing like one describe 's review . agree w/ previous review though room quite hot , would advise traveler turn air way & amp ; make sure close curtain completely . staff Nascar Cafe ignore we nothing negative say hotel stay . would definitely recommond anyone stay want peace & amp ; quite resonable price . complaint book Priceline . although price room drop unable receive low price room prepay . & amp ; can not change anything cancel reservation book way . perhaps Priceline good booking flight something sort would recommend hotel . 
 Oct 27 2007 	 Beware 	 arrive 10/19 two night . call ahead King non - smoking late check - in . arrive inform King bed non - smoking . say would move we next day go room . room something awful . stain wall , carpet filthy , dresser fall apart , toilet overflowing , water bathroom , tub faucet leak . call front desk say would move we . next room even disgusting . smell like someone vomit gotten clean . & quot ; mystery & quot ; stain vanity bench ... gross . think 3 star hotel ! needless say panic attack . redeem quality hotel staff . helpful upgrade we suite turn clean ; bed pull back still kill week later . least SUITE CLEAN ! ! budget traveler ... regurally stay anything 3 star far bad hotel ' ve ever see . pay $ 138.00 night town full last weekend . never . 
 Oct 24 2007 	 problem Sahara 	 stay Sahara September . 23 , 2007 - October . 3 , 2007 . arrive Sunday afternoon , check breeze . 5 people ahead , line go quickly . check suppose 4:00 pm , 3:00 . problem ever . Liz great . request advance , Tangiers Tower , smoke . problem . get room right away , Tangiers Tower smoking floor . ( thank previous poster , know ask ) .I agree hotel date , room clean , stain carpet . elevator quick . not forget get pay . know get go . fortunate enough get upgrade charge . know fee air conditioning etc ... , know get . give desk clerk grief fault . job . usually work public thankless one , opinon treat human being be . all staff encounter great . nobody front desk look unhappy . door always hold open we ( travel person walk aid walker ) .The negative thing say hotel lack handicap parking . able use last night , six spot . elevator parking garage bit sketchy . dire need repair . slow number inside elevator work either one . there alot security riding walk around parking area . nice see . 
 Oct 22 2007 	 good money 	 average $ 55.00 night 7 night , ok . read website claim & quot ; Renovated room & quot ; , take chance . ok . need new carpet furniture sure . long lineup checkin also . 11 station 2 open . also , & quot ; self check - in & quot ; machine work . good self parking around though . close , long : & quot ; where s car & quot ; search . elevator close . like morning coffee , coffee maker , buy one $ 9.99 make 7 night . cheap go coffee place casino pay $ 2.00 cup . room need makeover / reno , price right , stay comfortable . Buffet decent , player card $ 7.99 array food . could never eat one everything . service checkin good quick get front line . casino staff wonderful around . drink easy get , large casino waitress come often . use Valet parking first 2 day , wonderful cheerful also . leave article clothing behind , send letter , receive response yet . .... 3/5 star we ... would go back base price . spend short time room anyway . 
 Oct 19 2007 	 Pool Area 	 fourth stay Sahara new management since August year . major improvement noticable yet hotel still good value money overall . one word warn though forty age group intend stay avail swimming pool area , take good set earplug can music horrendous request tone experience bring slight short live improvement . Ross & amp ; Maura Haworth UK 
 Oct 19 2007 	 room break 	 4th time stay hotel obviously major problem before . this time different . on check unhelpful clerk tell non - smoking room request 6 month make book available . despite insistance not find acceptable choice take smoking room agreement would move we non smoking room next morning , make we stand in- ( long ) check line ( always ) several time next day eventually do . because mess around fail get safety deposit box sort ( stupid know ) -they front desk room fact clearly know would thief & amp ; yes guess return room find money steal ! reprte hotel sercurity ( & amp ; police - who take 3 hour come ) we write report & amp ; last hear they - no contact hotel management & amp ; ask see sercurity manager several occasion fobbed ` ` investigation '' would take 7 - 10 day & amp ; someone would contact we . we still wait . the police tell we 2 room rob day surpose happen quite reguarly hotel . I never stay again - they not regard guest . 
