nice 	 recently stay Excalibur Thanksgiving week . upon enter hotel able go straight check - in , plenty friendly attendent take care we . ask view thing airport , hubby plane watch gambling ... lol ... request meet easily . arrive early due time change ... 10 am , check til 3 pm able get room immediately . room one old room yet remodel . neat clean , exception little finger print window . bed comfortable clean . casino bright active , drink service could alittle available . nice place great location . 
 great spot cheap price ! ! ! 	 location perfect . price great . time share propaganda annoying . $ 29.95 eat day buffet excellent . 
 beware Mandatory charge 	 book trip cheaptickets.com go online print confirmation , find unwelcome surprise - & quot ; mandatory hotel charge collect hotel checkout : resort fee $ 20.00USD per Night taxable - include fitness center access , free drink more . & quot ; know mandatory charge time booking , would able compare option well . far concerned , dishonest pricing policy - include fee part hotel charge ? will not stay will certainly lookout hotel future . 
 Nice Hotel full kid 	 bad hotel find room 23rd floor tower 2 playground kid nighttime think hold elevator funny ! ! hound upon check go claim free gift redeemable give $ 40 deposit attend time share meeting new resort next day tell bring credit card form idendity ! ! go figure ! ! 
 Excellent Excalibur Experience 	 arrive & quot ; remodel widescreen room & quot ; find partial remodel . new tv , low - end remodel bath , new pillowtop mattress . warn thin pillowtop . sheet clean , stain . blanket dirty double sheet . however , request extra sheet . room furniture appear original . third day , hall fill 8 scream kid run knock door . security arrive contact security manager 2nd time thing calm . cocktail service casino horrible . plus find excellent maintenance staff ; good service Sherwood Cafe , location . overall , recommend hotel unless budget - conscious . step Circus Circus , stay elsewhere next visit . 
 great Time Las Vegas 	 problem Excalibur even though comment make negative . book online get great deal price include admission & quot ; Defending Caveman & quot ; .The staff relax friendly reception , room , 25th floor , Tower 2 , face tower , clean quiet . issue whatsoever . the one thing bit annoying fact people look like work hotel approach offer free show ticket turn try get attend & quot ; time - share meeting & quot ; . not hotel 's fault , annoying . 
 May 31 2009 	 bit tacky good value Strip 	 stay Excalibur 3 different occasion , include 2 recent visit month May . every time stay hotel stay old section hotel ( Tower ) . hear new room ( Tower II ) much well usually extra $ 20 night . check 3 time fairly efficient short line . forewarn though around 1 - 2 p.m. line tend get long . see line look hour long . old room ( see new room , stay ) definitely date . functional , tell room use extensively . basic cable tv , obviously intentional want stay room . bed bathroom nothing special , clean , functional , serve purpose . entire room area functional clean , expect Bellagio . the hotel area casino area bite tacky good blackjack game . obviously like Vegas casino drink overprice , good food court area McDonalds Quiznos , cheap alternative . good value Excalibur far Roundtable Buffet , food good good variety food . get day buffet pass $ 25 , quality food steal Vegas . also get 2 1 deal 2 p.m. - 6 p.m. , great deal . would definitely recommend Roundtable Buffet . the pool area refurbish overall nice . 2 pool area , fully guard , 2 hot tub ( surprisingly actually good temperature ) area . obviously Vegas also couple bar area small restaurant , look good . pool towel complimentary also fitness center incredibly nice great view pool area . fitness would definitely recommend fitness area . Excalibur spa service utilize service . check quick simple , real problem checkout . concierge desk sometimes line fairly informative . one big negative , like Vegas hotel , timeshare entertainment people entrance pounce couple people arrive . simply ignore bother , get good deal show attraction get Vegas 24/7 guide taxi . I pay $ 25 / night , steal consider Excalibur right Strip convenient New York New York , MGM Grand , Tropicana , Luxor , Mandalay Bay , Hooters , Monte Carlo . room basic casino good , customer service good , food good , pool area great , rate give right , beat . would pay $ 75 / night stay Excalibur , get room less rate , say go enjoy Vegas ! 
 May 29 2009 	 good price 	 room good size clean . staff front desk helpful request booking request away elevator try put we next door one . also request put next friend try put we different floor even though book month ago . forceful request ensure get want . find casino smokie last time . fine pool area close early even though still warm . lack shade pool area . 
 May 28 2009 	 great location bit tacky fab pool ! 	 stay friend May year , slightly slow check , guide Tower 2 , boyfriend Tower - heed word warning , stay make sure book Widescreen room Tower 2 ; end upgrade first room small , damp view onto lovely brick wall . $ 105 upgrade , 6 night fair much , god worth ! second room large , airy , view onto strip ; like different hotel . casino amazin , price pay think great place stay strip budget . pool area gorgeous , plenty room 3 huge pool , also fab mexican place eat call Bajas - good burritos ever ! return Vegas sort budget , would stay ( Tower 2 ! ) 
 May 27 2009 	 great hotel customer service great ! 	 stay excalibur May 9 - May 16 . go get marry . experience great really good job make day wonderful ! rest employee think not like job ! check go good , stay tower 2 remodel room excellent~ way well tower 1 room .... say room old wear comfortable ..... tower 1 .... specific floor devote smoker floor seem little like dungeon room floor ... ( one guest stay smoking floor ) . casino nice kinda small other post really smokey , not think smokey compare casino ... hey ! spend good amount time casino good I . , ... thank goodness ! pool nice , newly remodel four pool one water slide kid rent cabanas $ 60 day , bad especially group split cost ! housekeep ok also , tip well want good service ... housekeeper keep make bed stuff .... i.e book leave bed one day make bed .... another day article clothing .... little odd . maintenance department also good ... come right away problem , need light bulb . thing problem customer service relate : mother day , want order room service mother law : would not let .... say could not deliver food someone else room even pay room deliver room ..... italian restaurant un accomodate large group food gross ! 13 people dinner put table together we literally elbow room table ..... would not let we separate check one bill ... figure bill end confusing ... service take forever ... try give & quot ; dining & quot ; experience long day vegas want dining experience .... kid also we sleep table ! take we 2 hour dinner price food not good ! take kid kid friendly stuff .... keep mind cool thing kid pool possibly tournament king ... not I m sure kid would love . midway nothing like picture website , date lot game not open not work ....... worth go circus circus midway 100 % well feel well waste money ... haha ! steak restauant however really good food , service soooo slow ! front desk not really know go ..... suppose credit room prepay rate go .... credit supp $ 20 upon check $ 14 , day leave decide add late checkout time tell credit $ 16 ..... pay difference , day later notice 1 .... something charge excalibur credit card .... overall really like hotel amenity .... would definitely stay , hope employee receive raise something boost well service . would assume economy would try boost business way possible try small thing accomodate guest .... convenience new york , mgm , luxor , mandalay bay really good since handicap people we not venture heat see thing besides hotel . take bus get northern end strip save foot time take sometimes worth rest ! Ohh taxi 's take long route possible unless tell otherwise ... make sure tell take expressway go anywhere strip . take taxi courthouse back 25 way ! automatically get charge 3.30 pick u ! time share people bring ugly everyone , watch ! annoying ! think bad review people not ever happy , really happy stay , expect regard customer service . 
 may 27 2009 	 bad Hotel Experience ever encounter ! 	 call inform hotel late arrival tell would not problem would still room we . go check find room give away , & quot ; accomodate & quot ; we try put we down - grade room without compensation ! finally get supervisor , put we type room reserve 2 bed instead one , fine . got & quot ; NON - Smoking & quot ; room could smell nothing smoke . call switch room basically tell put , room available ! get supervisor put another room ! room end decent complaint . after return home realize leave wife 's purse one room . lose find security office helpful , untrue front desk ! every interaction front desk , EXTREMELY RUDE ! first check , try get wife 's purse back . overall service horrible , room worth price . ( & quot ; up - grade & quot ; view room ! ) good thing say hotel ; wife find slot machine really like play , view room nice ( look New York New York ) , spa treatment terrific ! 
 may 26 2009 	 room need makeover everything else fine 	 stay Excalibur 18 ' 23 ' May . town exhibition leisure . got room Tower 1 , easy see people live room , clean problem stay . big bed nice bathroom . the staff hotel nice , respond request without hitch . I contact ' timeshare ' people , one ever approach walk casino to / from room . as eat possibilite , try italian restaurant 2'nd floor , decent food ( huge portion ) low price . if look decent hotel excellent pricing , Excalibur hotel . ( pay $ 35 night .. ) 
 May 26 2009 	 Decent hotel 	 problem Excalibur . stay Luxor previously want try different hotel . check , lady say room sell , upgrade we suite free ! ! room nice bed super comfortable . stay couple day , love . 
 may 26 2009 	 first stay - exceed expectation 	 stay one night . use casino first stay . stay tower 2 , receptionist describe refurbish room . pretty good , two double bed , clean , comfortable , big flatscreen tv etc . quite good location South strip ( near MGM , New York New York etc ) . handy airport . would use stay end strip good rate available hotel . 
 May 24 2009 	 Decent Hotel - 	 wife spend 5 night Excalibur - room quite large - 2 queen bed - chair table . bathroom also good size . hotel may show age seem hold well . the day Buffet 25.00 great deal . italian restaurant also good value - chicken parmesan quite good . the casino busy - none casino busy . the show & quot ; Defending Caveman & quot ; funny - must see . suggest hotel get rid people solicit time - shares- extremely annoying . major complaint - wall thin - go hall , also go next room . general , stay good , would likely move Strip next trip Las Vegas . 
 May 24 2009 	 wedding chapel 	 husband marry Canterbury wedding chapel ( Excalibur Hotel ) . excellent experience . could ask wedding day . 40 family friend we . chapel large enough fit we . chapel amazing pastor traditional ( cheesy ) . package reasonable like look chapel good . look chapel Vegas . we room reception Bally 's hotel executive suite . large enough guest plus room dance area . 
 May 21 2009 	 Underrated Strip Hotel -- get Pay 	 ' m reasonably experience traveler Las Vegas , know book room bargain - basement rate Excalibur quick three - night jaunt , not stay Bellagio Wynn . still , trip , wonder bad review hotel often receive . traveler seem impression stay Disney property , complain smoky casino nearly - nude dancer may encounter en route elevator . come on , folk , Vegas ! leave kid home stay off - Strip locale not want sight smell sin ! traveler expect luxury accomodation Strip Super 8 price ; sorry , ai not happen . experience somewhat shopworn deliberately tacky hotel staff work hard make inherent shortcoming , generally succeed , certainly reason expect price . check - in check - out fast courteous . upgrade one Tower II & quot ; Widescreen tv & quot ; room without ask pay . AC not seem work well get room , believe , maintenance guy show within ten minute deal . room clean ( maybe get lucky ) quiet , get view crazy turret . call guest service , answer quickly responsive informed . traveler complain food Excalibur , say love breakfast buffet ( maybe ' m southerner appreciate well - make grit biscuit , maybe be relatively cheap ) , be something say 24 - hour Krispy Kreme outlet . two word caution : ( 1 ) wireless internet available price anywhere Excalibur complex -- , starbuck stand , either . since work vacation , wound go next - door Luxor ( easily accessible walkway ) buy three - day wireless pass , something like T - Mobile Hotspot access , go another hotel Mandalay Bay . annoy less money , security undeservedly - more - pretentious Luxor hassle plug laptop hallway outlet -- though sight 56 - year - old man use laptop quiet corner major threat & quot ; classiness & quot ; place whose bar call & quot ; Cathouse . & quot ; ( 2 ) happen buy give ( fiancee ) Excalibur & quot ; gift card & quot ; use , prepare blank stare whenever try use . must new promotion ; tell work like debit card ( technically ) will eventually get , cash easy . all , traveler reasonable expectation want stay Central Strip without spend lot money room likely happy Excalibur . definitely . 
 May 21 2009 	 Watch ' timeshare ' sale people 	 TRULY disappointed time walk room & quot ; accosted & quot ; overzealous & quot ; free show & quot ; timeshare sale people ... travel WANT approached SALES person - want see show - find ticket whether cost $ 1 $ 200.the room nice - average - first night toilet tank begin refill 3:30 a.m. not stop - call front desk response - shut bathroom door second night - Food Buffet satisfactory - 
 May 20 2009 	 amazing trip Hotel HORRIBLE ! ! ! 	 friend go Las Vegas week birthday . look relax vacation . flight perfect . get hotel one bell person door wait help luggage . walk find check - in desk lady desk did'nt even welcome we , ask ID 's . finally find elevator room , get room find put we non - smoking room . unpacked go lunch . return decide shower find glob hair shower . gross . go evening get back hotel get ready bed comforter could tell fresh clean . cover yellow brown stain .. ready leave . work hospitality want cause big scene would talk someone . tired long day travel . internet access room extra charge $ 15 per day , pay use fitness facility ... next morning decide go try buffet . pay $ 25 us breakfast .. discover food cold yet probably great would hot .. worth pay . go concierge desk ask question take 20 minute find one thing ask . make good everyday spend time else strip . even go Treasure Island see Mystere .. ( definetly must VEGAS ) 3rd day decide go gamble little . sit slot never get ask drink . go bar pay drink ... never see waitress 45 minute ... friend go play table thing , even dealer little frustrated . night want play pool still one waitress wait we even ask want drink .. ( horrible service ) decide would play elsewhere . day check bring luggage check flight night bellman check luggage rude . could barely speak english get mad snap we hard time spelling name . tell could get shuttle airport 8 pm . return get shuttle say available , stop 2 pm . end take cab . give warning planning trip Las Vegas , not stay . Vegas never go back hotel anything . 
 may 20 2009 	 Identity crisis 	 ' ve stay 18 hotel Las Vegas , one little disappointing . the Excalibur not know want . 's obviously good kid - friendly casino ( like Circus - Circus ) , can not let go idea cut edge , go - go dancer reveal outfit dance next gaming table . idea work Hard Rock Hotel , 's theme ( girl pretty ) . family - friendly thing like joust dinner show , Spongebob 4 - d ride , etc . , need 100 % family - friendly . instead go - go dancer , maiden flow dress . knight walk around pose picture . huge castle - theme playground kid . ( be stretch ; lot mcdonald - type playground casino town , like grandparent - friendly Station Coast casino . ) heat pool year - round . pool new water slide , 's good start . daughter pick hotel stay first trip town , quickly became forget , replace Stratosphere , Circus Circus Golden Nugget . enough adult - orient casino town . one miss opportunity . room great , bathroom nice . FYI- shower instead bathtub . rate fantastic , location great , could much well experience . 
 May 20 2009 	 Decent certainly great 	 ProsThe politeThe place cleanThe Time share presentation thing absolutely worth 3 hour say . lolConsThe evaluator confuse easy accidentally get elevator not go floorThe maid service speak understand ZERO English seem ... manifest throw away Wife 's marriage document well important document ... Registration Lines long service counter space closedThe AC either freeze hot hellhigh speed internet cost 15.95 per still crappy slow 
 May 19 2009 	 Best Value Strip 	 far good value dollar Strip . stay total 4 time past 2 year planning stay next month . say good value far total cost stay can not go wrong . room value price , note : strongly recommend stay Widescreen Tower Rooms , renovate nice , basic room old nasty . food 24hour cafe excellent taste price game low minimum even weekend . 
 May 18 2009 	 Awesome Stay Excalibur 	 absolutely love time Excalibur . we originally book old Standard Guest Room , book room hope complimentary upgrade . upon check - in inquire free upgrade tell unfortunately not offer time . state stay extend trip wedding hope comfortable room . attendant kindly say would upgrade we . Lesson learn , ask go long way ! extremely pleased update Widescreen Room . include two comfortable queen bed , large LCD television wonderful view pool . great place return long day walk Strip . sister , also Vegas time , stay hotel Mandalay Bay . pay close double stay feel room similar . Excalibur 's Widescreen Room 's definitely top quality accommodation . would love stay , find week , be quite walk get central strip . still amazing value option point Excalibur , have happy stay ! 
 May 18 2009 	 clean comfortable quiet convenient 	 attend DMB show Vegas get great rate Excalibur Thurs - Sunday stay . upgrade remodel room room clean , quiet comfortable . Room Tower II , 12th floor ( think ) . staff quite friendly . pool clean well - staff , though water bit warm taste ( Vegas experience heat wave time , though ) . Buffet ( $ 25 day ) nothing spectacular , cheap plentiful . close NY NY MGM Grand , important we . overall , would stay price . 
 May 17 2009 	 Value Money 	 great location strip easy access neighbouring hotel . you seem able get great price deal hotel . would suggest people get wide screen tv room . old room cheaper though dingy noisy . parent holiday we origianally book old room though saw upgrade , update room really quite nice . the casino seem smokier loud other , though can not fault buffet place get snacky food . 
 May 16 2009 	 place great 	 not know folk stay , think Excalibur great every way . check - in quick although get 11 a.m. , able get right room . room plenty big clean bed comfortable . air conditioning work great . restaurant bit pricey , offer special , not hit wallet hard . Buffet delicious expensive . also , McDonald 's , Pizza Hut , mexican chinese fast food outlet money saver . other store hotel pricey , though . pool great price pool - side restaurant reasonable . casino not smokey review say dealer helpful entertaining . stuck . could $ 5 table , though . overall , great stay . can not beat place $ 40 night . will definitely back ! 
 May 16 2009 	 dirty old tired .... nice place stay anymore 	 generally stay Hilton Properties , stay becuase family function . room old , tired , moldy , hole wall , bathroom old broken mildew . overall , good place stay . well option money . note : stay first open year later , room always small little dumpy bad shape 
 May 16 2009 	 good value money 	 stay Excalibur Sun 26 Apr We d 6 May manage get good deal work around $ 50 per night 10 day there . check Sun afternoon – check 2 3 hour early problem wait check less 10 min . Tower 1 Excalibur still old room Tower 2 recently remodelle include widescreen television - put Tower 1 fairly high floor ( Floor 19 ) good view MGM Tropicana room . the room fairly basic everything need . room reasonable size ( comparable Las Vegas strip room various casino ) everything cleanke bed comfortablehad table 2 chair plus separate lounge chair Plenty drawer wardrobe space clothe etcbathroom nothing spectacular everything need . housekeeping efficient every day always do time return room . if take partner sure would like room someone travel room need reasonable place sleep perfect . there restaurant hotel food ok without anything special . they deal buffet pay $ 25 give day pass include breakfast / lunch / dinner – hear guest one bad buffet town decide give miss . they also food court escalator include McDonalds , Quiznos Subs , Pizza Hut , Krispy Kremes , other . the casino quite large – sport book one well one strip find surprising – poker room bite different use Poker pro electronic table – tournament day include $ 20 buy 9 am generally get least 50 player . in term location Excalibur pretty decent . just south Luxor Mandalay Bay – either short 5 10 min walk also free tram available 3 casino – find time get tram quick walk anyway . just north New York , MGM , Monte Carlo within 10 min walk . Planet Hollywood 20 min walk Bellagio 25 min walk . the Deuce Bus service run strip good way get north Mirage , Venetian , Wynn , Stratosphere etc – actually go way Fremont Street - price $ 3 single trip $ 7 want day pass – head north need go across road wait bus stop Las Vegas Boulevard outside Tropicana . 
 may 15 2009 	 great relatively inexpensive grow we 	 Excalibur sensational outside , definite attraction Strip . inside , first impression good ; everything look tired dingy . casino smoky other Vegas , clientele seem stag hen night volume right . bedroom ( anyway ) continue dingy theme , 's decor , thankfully room clean . would not stay even though spend little time room Excalibur . not eat . good breakfast close House Blues Mandalay Bay , stroll two stop train ride away . pool ok old fashioned bit basic . 
 may 14 2009 	 old stay 	 go Excalibur price room . hotel change since last time October . frill hotel , basic amenity . also , good price buffet go 2 6 p.m. cost two one price . 
 may 13 2009 	 good place stay ... 40 buck night .. expect ? 	 choose Hotel friend stay place think would give try . check ok check like 11 pm not busy . guy counter sorta grouchy . one employee go way make we feel welcome . casino smell terrible cigarette smoke . know 's Las Vegas , surround casino bearable . seem like not ventilation . room alright . not like decor ... definitely 70 's something . bed uncomfortable pillow way soft ( luckily always bring ) . bathroom clean . disappointed get coffee pot . air conditioner room loud keep blow curtain around . luckily not room much needless say not stay casino either . not get chance use fitness facility pool , hear remodel . add casino ... 's boring . much go place . dead week . ' ve stay New York Venetian definitely go back one . stay ' m believe say get pay . look cheap place stay do not mind cigarette smell ( mean terrible ) room place ok . want fun upbeat hotel , stay New York .. price not bad . 
 may 12 2009 	 stay 	 bed make itch ! awful hotel . kid love pool . 
 May 12 2009 	 great location strip room little date bed tired 	 overall great value money ( pay $ 40 / night ) . would disappoint pay premium price room . bed sag little , furniture 70 's ( literally ) . look , clean , safe place sleep , excellent . locate perfectly strip anywhere want go . LOT attraction within walking distance , also free tram couple place . 
 May 12 2009 	 nothing horrible . get pay . 	 choose hotel becuase cheapest one heart strip . go mindset really disappointed . check - in Friday nice quick , room satisfactory ( even though one horrible review tower room ) nothing complain .... comfortable bed , spacious enough bathroom , room clean properly day , etc . customer service average , food choice average , pool average , casino little average look value strip . yes , go next time probably fork extra money place like Mandalay Bay , cheap hotel heart strip , completely satisfied . 
 May 11 2009 	 good .... price Great ! 	 wait check - in seem long , mostly waiting open . start , move fairly quickly . the room clean , nothing fancy . would say well Super 8 , less Hampton Inn , big . yes furniture bit worn , tv old , go Vegas look furniture watch tv ? bed new comfortable . problem noise room service . room safe . for $ 20 per night , could get remoldele room Tower II . decide , would recommend want use pool / spa / fitness center often , not cross casino floor get there . eat Sherwood Forest cafe , impressed . $ 25 eat day buffet look great either , k 's restaurant Vegas , would want limit ? new Baja Fresh Casino floor fresh , good , cheap . food court good . casino fancy , fine plenty penny slot . video Texas Holdem poker vegas- dealer , large table screen console player . like play it . two huge shape pool , shallow pool slide waterfall , bar / restaurant , fitness center spa area . nice ! GF get massage , 50min/ $ 105 . , say great . use spa last day , extra $ 5.- cozy , Zen inspire white jade tile , steam room , sauna , hot tub sit area , another small siiting area w/ TV . different scented shower station . new age music background- relaxing ! Strip location great- low walkway right Luxor . another walkway NYNY , lead MGM Grand Duece bus stop . Monorail go Exc . , Luxor Mandalay Bay . next time would prob . pick another casino experience new one , would recommend Exc . price fly RT East Coast + three night price three night Super 8 home- can not complain ! 
 may 11 2009 	 spend little extra go elsewhere ! ! ! 	 ' ve Vegas 4 time stay different hotel time . far , Excaliber bad . perk hotel convenience & quot ; 4 corner & quot ; strip accessibility casino . extremely rude , room dirty get room choose unless be stroke luck . try get Vegas tight budget , hotel may . afford extra $ 20 night , stay MGM even Tropicana across street , almost price Excalibur , much well customer service pool . back August stay Flamingo MGM . 
 may 11 2009 	 tolerable smoky 	 town 3 - night want something reasonably price accessible town center MandalayBay . arrival seem well outside upon enter Tower 1 inundate smoke . ventilation horrible , thank goodness room not maintain smell . check - in check - out not bad . staff overly welcome get job do . stay Tower II suppose recently upgrade , ! ! new thing widescreen tv , oh toilet , everything else old worn ( carpet , drape , sheet , & amp ; furniture ) . disappoint since short stay not go room much , make due . offerring casino area not impressive although buffet Sherwood Forest Cafe pretty decent general purpose eat . pool close 6 pm ( never hear thing ) security station tower entrance man anyone could walk - in . definitely reasonably price hotel strip well amenity atmosphere . 
 May 10 2009 	 Birthday Romantic Getaway 	 5 horrible day ! ! ! 3rd time Vegas always stay Excalibur SPA room ( previously Tower 2 ) time book cost $ 125.00 previous year ( 2005 / our first time month ) . tell 2 spa room one Widescreen tv ( one book ) one yet renovate ( $ 35.00 cheap per day ) . seem good get check counter , staff rude . tower 1 time thought must tower renovate ... wrong . key work well take 5 try let we . go back point , tired 6 hour drive get . walk notice tv Widescreen SPA room pay . go check clerk help we tell room pay informed SPA room available , ask speak manager tell unavailable . could come back later speak ( would give name ) . go back room start unpack find could use 1 drawer dresser handle break one ... keep clothe suitcase . go back check counter ( 6 hour later- different girl - rude ) ask speak manger tell unavailable . informed girl happy room pay Widescreen SPA room , could refund difference get we another room could come back tomorrow one widescreen SPA available . go @ 1:30pm next day see manager yet could move we room pay ( girl first day ) refund room change . try everyday get us refund speak manager . happen ... call Excallibur booking desk get home tell reservationist happen give manager general manger name address tell write letter . send letter teling dissappointment stay even far make sure know ask comp call note appology . never HAPPENED . call back 2 week later tell recieve letter job return call letter patron ... let make clear never show anger rudeness either check clerk . not stay not care money refund even error ( never get refund room rate difference ) . misersable stay . 
 May 8 2009 	 Excalibur make first trip Vegas perfect ! 	 book stay Excalibur three month advance trip recommendaton friend . find bathtub worried bit together read negative review . however , everything read ... hassle free friendly early check - in ( 11:00 ) book King Bed smoking view room . view ! ! ! ! love sound traffic roller coaster scream remind ' Roller Coaster Tycoon ' . room clean , shower big bed pillow super comfy . never interrupt hallway room noise . sheet towel change everyday , even shower drain slow one morning alert maintenance fix time return afternoon . hotel locate perfect spot ; walk direction use monorail deuce bus well . atmosphere casino really good find busy livi hotel walk . really feel like heart Las Vegas ... everything ever imagine ! 
 May 7 2009 	 think awesome 	 room nice , bed comfy , big bathroom ( relatively ) one old room . food 25 buck 4 day buffte never leave hungry . eat prime rib good Mac cheese ever . later go Wynn buffet anyway . location awesome , convenient ... mention ... place cheap ! way could lose price pay . far solicitor , huh ? ? blew ... walk right past ... sorry ... interested . huge casino , plenty slot , poker room electronic , take getting use , later go elsewhere . place make big money slot donkey ... serious gambler get cheap . pool weight room nice . , get 2 free weightroom coupon , , 20 buck . still not find hotel w free internet get old , 15 day ... that s ridiculous .... good . may bad MGM hotel , be plenty good 4 ! ! busy count money elsewhere really complain . deuce bus right outside ... place make great & quot ; Mother Ship & quot ; gambling trip . 
 May 6 2009 	 look deceive 	 ok forgive May hot mean hot ... not swim great way cool ? pool open 6 pm . every hotel ever stay open atleast nine . next room : book room website . expedia , orbitz , Excalibur.com . book king non smoking . go check want put two double . claim request . umm ... site say . secondly work hotel Night manager auditor several different company apply reservation make travel website , . end get handicap king room argue clerk really not seem care . bed actually not bed pillow comfy . not like grate fall a / c bathroom door black mark . also like people bring laptop , cell phone , blutooth headset . friend . enough outlet room safe could accommodate one laptop . decent food court ... love Krispy Kreme . quick access MGM ride monorail . overall not bad hotel look . 
 may 6 2009 	 totally recommend ! 	 skeptical hotel reading review since book hotel 4 month advance already pay entire 5 night stay , choice go . rate exceptionally good ... 5 night pay $ 295 US ( be Cdn ) . upgrade renovated room . location perfect . everything connect problem walk one end strip other . check fast , people ahead us line , even though arrive Saturday afternoon . charge we resort fee $ 5 every night . try get avail . not know people get hotel . the room basic hotel room clean . room face pool . washroom large enough two people get ready time . Shower HUGE . bathtub , not plan soak tub either . issue sheet change entire 5 night ! towel replace room otherwise tidy everyday . our safe also stop work passport , camera $ $ end locked right need go . call hotel desk tell someone would within hour . someone within 1/2 hour fix problem we . construction noise early , early morning be Vegas ! not go sleep anyways . it seem smoky hotel strip though . notice hotel casino not smell bad Excalibur not know consider child friendly . would bring child smoke fill atmosphere like anyways although see many child baby . irrresponsible pareant imo.overall satisfied happy would definately stay Excalibur . 
 may 5 2009 	 keep expectation low - will fine 	 Disclaimer - Vegas convention Mandalay Bay - stay price , gambler enjoy Vegas food showsfirst good -- price - usually one least expensive place strip pay $ 36 Weekday $ 72 Saturday- Location - SOuth end strip , close Luxor , MGM , Manadalay Bay , etcThe not - so - goodcheck - in - arrive 1030am - absolutely check allow 3 even likely room ready . thier process - 1 . stand 30 person deep line check bag day2 . leave go day3 . return - stand 15 - 20 minute line get bag back - tip bellman4 . go 30 - 40 minute line check hotel - 330pm room ready settle room book ( upgrade ) wait 90 minute stand line againroom : old hotel live medieval theme . room clean , matress spring expose . tv work fully . long not plan hang room much , will fineClientele - inexpensive hotel folk match ambience , low end property mandalay , Luxor , Excalibur trioFood - say close lot place outside hotel good , 's reason buffet $ 25 eat day ! 
 May 5 2009 	 lucky ! ! ! 	 really soooo lucky ! standard room upgrade suite ! ! ! not spend extra charge . room big place live ! huge jacuzzi , 2 bathroom , living room king bed ( maybe even big ! ) . hotel clean thing need perfect journey . stay one night eat italian restaurant ( good , pasta over - cook , sink water ... say ' m italian ! ) hotel free parking , next entrance . 's connect hotel 2 different metro - rail . location perfect . 
 May 4 2009 	 last time ' m interested timeshare ! 	 room dusty old , plan stay hotel room long . day one ask 6 time want free ticket show exchange time share pitch . happen Excalibur , New York , Monte Carlo mostly . bad morning target couple . decent pool new music . all - day buffet good deal , food bland . drink server table slot come around often . expect 1 free drink every hour two . buy drink bar expect $ 5 - 7 beer $ 20 pitcher . not notice many kid run around , overall disappointment . 
 May 4 2009 	 absolutely fine 	 stay attend conference - hotel fine , clean staff friendly.pool v good . one gripe , vegas , hotel- mean get around ? taxi unreliable / impossible strip . good university town . 
 May 3 2009 	 oh dear let 	 fancy stay chav 's , trailer park fraternity etc choose gawd awful place . go elsewhere thankful . redeem feature . 
 May 3 2009 	 depressing 	 minute walk lobby attack staff try sell ticket show . exactly whish long day road ! sorry say - procedure haunt almost every time pass unpersonal noisy lobby . check personel almost throw away vouger San Diego Hotel . apologise , complain long hour desk . endless dark corridor get room . room date overall badly clean . air condition noisy filthy . Felt really depress beeing room . positive hotel it´ location right strip . first time visitor Vegas - maybe expect hotel . case do not ´ think ` ever go back ... 
 May 2 2009 	 great place stay 	 last stay Excalibur six year ago find good value money try time . complaint , room clean comfortable , staff nice efficient , good location . time share pain , collar we offering & quot ; comp & quot ; first thing go desk . however soon realise time share make exit . pushy end smile walk past . one lady actually stand front we wave hand make we stop - however killer glare soon make hasty exit . would stay . breakfast Sherwood Cafe warm greasy , buffet fine Mandalay Bay far superior . day MGM Grand good . 
 May 2 2009 	 ` ` child friendly '' - way ! 	 stay 4 night wife 2 kid ( 10 & amp ; 7 ) , lure cheap ( ish ) rate strip location . also read good hotel family kid . check - in quick easy , staff particularly friendly . get room go past Dick 's Last Resort restaurant & quot ; Party Pit & quot ; place would wish expose kid . Dick 's last Resort woman wear paper hat make wait staff pithy saying & quot ; breath smell like ball & quot ; , clearly cater Bucks / Stag party , college kid party . & quot ; Party Pit & quot ; home gaming table catwalk behind chick underwear dance . would complaint , kid tow different matter . the casino smoky certainly top - end establishment . go get coffee early one morning come across one woman play slot pyjama , cig hand neck beer 7 am - class ! room clean quiet , widescreen room , $ 16 per day internet access bit steep , not bother . pleasant room real view smart bathroom . fridge coffee make facility force trip ( expensive ) coffee stand food court . pool area adequate , cold beer snack easily accesible biled room , free towel way . pay & quot ; resort fee & quot ; $ 19 day , little charge certainly add . plentiful free parking useful feature . I would stay . would fine party crowd . hindsight Mirage good value great location degree finesse , maybe next time ? 
 May 1 2009 	 great value great experience ! 	 back GREAT stay Excalibur ! admit , think change hotel read review , ' glad ' . price right , everything else . newly remodel widescreen room . clean super comfortable king bed . linen nice , especially fluffy towel . spend extra $ 10 remodeled room – well worth ! clean important , nothing complain . public area like hallway , casino , especially room – sparkle . check - in take little long ' like , nothing unreasonable . ask quiet room give " inside " room 26th floor tower 2 . ' know " inside " mean , turn perfect faced tower fun castle - look part hotel . add street noise – welcome break constant ka - ching Vegas ! food court handy quick meal – say Krispy Kremes ? ' eat buffet Excalibur , ' comment . late - night sandwich Sherwood Forrest café , pretty good . see " defend Caveman . " ' pretty funny , showroom set show like - sit sideways stage crane neck whole time . also , show short . would spend money one again . all , great location , great room , great time . would hesitate stay Excalibur recommend friend . ' take negative complaint site seriously ; go somewhere look bad time , . find much happy bad experience describe review . 
