disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Aug 30 2005 	 Great Hotel -- would stay 	 hubby go Chicago weekend getaway location Amalfi ideal . not walk far find thing do . the lobby not really look like typical lobby see sleek look staff friendly accomodating . prior arrival , call ask bottle wine room surprise husband . check , bottle wine courtesy desk quickly remedied actually send complimentary bottle wine along brie cracker . the room quite spacious modern flare . also offer wonderful robe slipper stay . bed wonderful along softest sheet pillow ' ve ever sleep . bathroom offer dual headed shower head spacious vanity . even think hotel not offer in - house dining -- offer room service restaurant across street -- Harry Carry's . the hotel also offer free happy hour 5:30 - 7:30 every night 6th floor . 's small room fill quickly . be great place meet new people get gear hit street night life . warn ! make REALLY STRONG drink ! ( try Amalfi - tini ) be already plan next trip back stay hotel . 
 Aug 26 2005 	 heaven ...... 	 hotel great . husband come see friend find deal travelzoo . ( 139 night ) stay 6th floor great view near nightly reception . special martinis breakfast every morning . great restaurant close . good steak town CHOP HOUSE walk distance . Michigan Avenue 2 block away . one drawback , hear neighbor bathroom . take shower sound like someone bathroom . , secret , do not say bathroom . bed fantastic . typically like soft bed heavenly ! recommend stay . come back October stay special rate special rate ! ! ! ! ! ! ! ! ! 
 Aug 23 2005 	 delightful ! 	 lovely visit last week Amalfi . first trip thousand year Chicago , need lot help navigate city meeting . upon check - in , staff make sure transportation plan arrange . point right direction dinner several night get table Alina last minute . room spacious comfy -- love robe much ! gratis breakfast yummy convenient every morning , cocktail hour much appreciated evening . location , quite adjacent MIchigan Ave , fab transportation , shopping restaurant . business center tiny totally functional w/ computer , printer , fax copi . ' m sure great staff would help need anything business center could not accomplish . delightful hotel chic set beyond - helpful staff . 
 Aug 23 2005 	 Loved Amalfi Hotel Chicago 	 stay Amalfi Hotel July celebrate daughter ' doctorate degree . hotel employee etxra special catering need weekend . pleasant surpise hotel send bottle wine , chocolate , card daughter room celebration doctorate . would stay hotel . family friend stay hotel could stop talk service , beauty hotel . thank everything ! Driver Family Michigan 
 Aug 23 2005 	 great service comfort 	 stay Amalfi one week end July wonderful . normally stay good hotel ( W , Century Plaza , etc ) Amalfi top 's personal service throughout . doorman greet warmly return housekeeper smile sincerely offer bed turndown make sure room spotless . every member staff seem genuinely like make guest comfortable make great hotel . evening reception particular treat - normally skip hotel & quot ; wine reception & quot ; Amalfi , serve top shelf drink make taste , great antipasto - find fellow guest fascinating eclectic mix . amalfi atmosphere make gathering comfortable place businesswoman travel alone relax enjoy good conversation great drink end day . the folk front desk also make superb restaurant recommendation unexpectedly guest dinner - get we great patio reservation last minute Friday evening . bed great , ammenitie top notch - shower amazing . morning breakfast buffet let grab juice coffee way meeting - add free wifi model hotel take care business traveller . now company move Chicago , plan book occasional weekend & quot ; getaways & quot ; Amalfi fun treat well ! 
 Aug 9 2005 	 Michigan Avenue ? ? ? 	 recent trip Chicago couple girlfriend , job find hotel would swallowed major tourist remain vacinity Michigan Avenue get shop do . read Amalfi Hotel Trip Advisor decide stay . well surprise hotel wonderful , mislead information hotel around corner Michigan Avenue . boy walk heat humidity Chicago welcome we , happy camper ! ! think hotel would close favorite shop not ! next time must little research select hotel accommodate need . 
 Aug 9 2005 	 4.5 star hotel ..... 2 star price ! 	 stay weekend August 5th , two night . first sure many visit wonderful hotel ! first impression upon enter lobby , WOW ! player piano play music , give ambience elegance class hotel . soon discover , ambience end ! check traditional & quot ; check - in desk & quot ; . instead , like concierege . arrive rather early ( 12:30pm ) , hotel let room 3 pm early . ! give room key , ask need dinner reservation show ticket . offer service bellman deliver bag room . politely decline , small weekend bag . enter room instantly impressed ! room bathroom HUGE ! amoir 27 inch widescreen television , Dvd player , build wet - bar ! king size bed pillow - top matress , 500 thread count Egyptian Cotton linen , make want sleep day ! comfortable hotel bed ever sleep ! bathroom HUGE ! beautiful black granite countertop , fogless , light makeup mirror , tub / shower dual shower head , type shower curtain bow , not stick ! maid come back afternoon offer turndown service , freshen room . another fine example immaculate service hotel ! still end . every day 5:30pm 7:00pm , complimentary Managers Reception lounge 6th floor . addition free drink , wide array complimentary finger food : cold cut , cheese , bread , stuff olive , olive oil , etc . one minor area improve upon , lounge quite small , open duration reception . would nice open later , even charge drink 7 pm . we start enjoy , leave . morning , offer nice continental breakfast every floor next elevator . offer wide variety pastry , bread , fresh fruit , juice coffee . would also nice also offer milk cereal , , minor area improve upon . location perfect well . directly across street Harry Carry 's House Blues , couple block Michigan Avenue . much enjoy stay , DEFINATELY back ! 
 Aug 8 2005 	 great value location style 	 Amalfi one hotel actually exceed already high expectation . find everything near - perfect brief 2 night stay . fact , wish could stayed long . the location great . Michigan Avenue across street House Blues . fly Midway Airport , 25 - minute orange line train take airport State / Lake station , 3 block away , $ 1.75 . , walk State Street Amalfi ! good deal town . the room comfortably appoint well furnished . free high speed internet , dvd player , Aveda bath toiletry nice Amalfi robe among room highlight . breakfast serve floor ( nice touch ! ) consist pastry , juice fruit . evening cocktail reception great italian cold cut , cheese , etc . along signature & quot ; Amalfitini & quot ; cocktail choice . Kenneth host seriously overwork Friday night line long free drink maintain smile throughout . I ' ve stay hotel . will return Amalfi . 
 Aug 7 2005 	 upgrade we suite free 	 anniversary hotel find husband call ahead ask arrange flower room ( also wonderful ) . checked ask could wait half hour think weird since Thursday , go get lunch check bag . get back check figure wait - give we two room suite corner entire wall window pay double . staff great - amalfi - tini 's cocktail hour wonderful even croissant breakfast moist . great time ! ! 
 Aug 3 2005 	 will back ! ! ! ! ! 	 wife book online . picture look great arrived hotel meet expectation . decor lobby cool , room beautiful . anyone fence price : open bar 5:30 7 . help offset price worry . nice touch plentiful breakfast spread across elevator floor . delicious pastry , bread , juice coffee tea . one thing notice : every member staff encounter greet we . 's something not happen lot . hotel locate around cornere Michigan Avenue , 's plus . overall , great experience back . 
 Aug 3 2005 	 great hotel even well location 	 wonderful five night stay Alamfi enjoy every minute . nice breakfast floor , robe slipper room , Aveda product nice happy hour . try amaltinis . reception get crowd Friday evening people show weekend point week small number people . train ( red ) within block willing walk five block take train either airport ( save thirty - five dollar cab ride ) . plenty great restaurant around . try Giordano 's pizza quick lunch grab sandwhich one many Potbelly be around . fun bowling alley across street House Blues call 10pin . swanky matini bowling alley . also , chance , check Bobby 's bike hike . couple three hour bike tour available perfect way orient city see seven mile worth without wear foot . Keefer 's excellent well lunch version Keefer 's cafe ( right outside door hotel ) . two hour wait common Harry Carry 's stop drink one afternoon . redfish little overrated ( own Friday 's expect ) . take el Cub 's game go check young trandy neighborhood like Buckstown . guess good thing hotel location , middle Magnificent Mile madness get close enough everything . Wish could stay long , really want go Gangster tour . hotel also set reservation achitctural tour reccomend eat three morning . 
 Aug 2 2005 	 Spectacular Stay Amalfi 	 husband stay Amalfi 7/28 - 8/1/05 . everything incredible . room fabulous view Lake Michigan downtown . bed comfortable ever sleep hotel . Dozzy , Experience Designer , amazing . anything need , set we . get us entry table new , hot nightclub town , Victor Hotel . breeze past wait line . the rest staff also fantastic . take advantage complimentary cocktail hour Sunday night , believe avoid crowd . Kenneth master bartender . we love complimentary continental breakfast . delight walk hall pick pastry , juice fresh coffee - serve cheery staff . our check smooth seamless , wait . thing check . seem mistake charge , need responsible oversee thing . point , charge take off . do not let less perfect review keep book stay . incredible wait go back Chicago Amalfi . 
 Jul 30 2005 	 lovely design 	 stay Amalfi Hotel three night July , delighted visit . hotel still feel new -- public space room beautifully design & amp ; decorate -- nice break convention barn kitschy theme hotel . room comfortable size , bathroom well - appoint ( roll bench / seat , Aveda product , curve shower rod ) . bed comfortable , sheet great -- not understand use poly bedspread , look nice , be fold away housekeeping staff turn bed night . breakfast bar great convenience -- small thoughtful touch choice nice glass mug to - go cup good coffee . decent pastry , fresh fruit . evening cocktail hour wonderful . Amalfitinis small well - choose antipasto bar exactly need long day gear night town late dinner . contrary poster , room never pack . central location mean could easily walk shop State Street Michigan Avenue , well restaurant River North area . also walk Field Museum Millennium Park . ambitious , still do - able . cab everywhere , bus stop short walk . staff adequate . check check go smoothly quickly . however , ask suggest restaurant , tell ' anywhere ! & quot ; . hmm , exactly helpful . , discover nearby restaurant enjoy -- Harry Carays ( well expect , chop salad delicious ) , Frontera Grill , Brazzaz ( new brazilian place , even vegetarian could fabulous meal ' salad ' bar ) , Smith & amp ; Wollensky ( old - school steak house ) . small annoyance local daily paper offset free in - room wi - fi . bring laptop read news plan day online day . , Amalfi delightful . remind W , small , warm feel . will not disappoint little gem . 
 Jul 29 2005 	 nice stay could great 	 book 5 room group we stay Chicago area . usually stay Allegro thought would try another hotel read several positive review Amalfi . trouble check hotel . four five room ready . typical front desk , rather & quot ; Men - in - Black & quot ; like figure sit desk front small laptop help . . .be prepare wait weekend , two help time . wait 45 minute check - in without apology . . .bad start ! find everyone else polite helpful exception front desk . checking , told & quot ; reception & quot ; 6th floor . . .DEFINITELY GO ! ! ! ! room small , windowless rarely find seat . however , host/ bartender - Kenneth - heck job make perfect top - shelf cocktail snack great ! reserve room ask 2 5 special room first anniversary 40th Birthday . reservation person note request would event person call help special arrangement . . .I never receive call back . room small , dark , face brick wall . . .most 3rd floor . think room non - smoking , heavy smell smoke hallway . . .happily , room though . wall thin hear door slam loudly . decor nice - comfortable clean - nothing special . bed ultra comfortable nice pillow quality sheet . bathroom good sized like two shower head decent water pressure . aveda product nice use . there limit continental breakfast serve morning outside elevator floor . . .coffee , tea , bread , muffin , fruit . also nice touch ! wish good experience check - in consideration special room request . final bill wrong room rate movie charge . .. check express checkout invoice ! location & quot ; extras & quot ; make good destination , important attention detail go unnoticed . . .otherwise could great stay ! Maestro ( General Manager ) call back concern troubled negative impression front desk . promise correct billing mistake give little concern lack attention special request room . say busy weekend ask contact future stay personal attention . 's hard repeat special occasion , may want look elsewhere need assurance perfect moment attention detail . 
 Jul 27 2005 	 Amalfi great value 	 stay Amalfi Hotel July 05 . check smooth quick . room large lot window , however view , 3rd floor , build right outside window . bed comfortable , pillow top mattress , feather pillow , nice quality triple sheeting . reception hour wonderful . great bartender appetizer nice . room small , much seating , , acceptable . location we perfect . take advantage free trolley , run Memorial Day Labor Day . 
 Jul 11 2005 	 Unpretentious Comfort Style Chicago Friendliness 	 hotel top - rate every point view . front desk / concierge staff genuinely want helpful , continually suggest activity , try book ticket restaurant , etc . , etc . staff welcome friendly : mention Kenneth , wonderful barman 6th floor lounge . hotel quiet side street , walk distance many fabulous restaurant River North area , far enough away North Michigan ( 5 - minute walk ) . room sleek comfortable . bed ( important feature ) cozy ; sheet soft , bath towel . turndown service . guest room , see host try think every little thing would make stay nice , thoughtfulness make big difference . good part breakfast , appear silently 6:30 weekday morning , 7:00 weekend , hall elevator -- coffee tea , roll , muffin , danish , croissant , fruit , juice -- complimentary , take back room unhurried start day . offer robe slipper , DVD 's , cocktail -- else get experience like ? ? ? reasonable price , believe . 
 Jul 8 2005 	 Best Hotel Chicago 	 amalfi hotel Chicago awesome . ' ve stay twice time not want leave . pricing range $ 99- $ 400 / night , sometimes special website . 's River West District , near everything want near Chicago . anyway , staff super , room totally comfortable , think small stuff like Aveda shampoo . stay be great . free cocktail hour night pastry morning . will not want go home . 
 Jun 21 2005 	 great find Chicago ! 	 end Amalfi 3 day weekend . staff extremely helpful gracious . continental breakfast first rate really enjoy happy hour . room good sized bed super comfortable . location convenient travel Loop , Lincoln Park Gold Coast . lack restaurant large lobby problem . overall , great stay represent terrific value ! 
 Jun 9 2005 	 Superb Hotel ! ! 	 one good hotel ' ve ever stay . stay May 27th - May 30th . service excellent , worker extremely friendly polite . single worker ever walk without say hello . complimentary breakfast hallway wonderful , nice variety fruit , pastry , bagel , juice , coffee , etc . welcome reception evening also great touch . 5:30 - 7 pm , alcoholic drink , meat cheese tray , etc . bartender extremely polite despite large crowd serve . anytime question somewhere go city , could tell go get . room also great , comfortable bed , huge bathroom , dvd player , nice jazz music . really could ask well hotel city Chicago ! 's hotel definitly must check ! 
 may 29 2005 	 great stay Amalfi Chicago 	 wife return 3 night stay Amalfi Hotel Chicago enjoy everything Hotel . importantly room perfect plenty space , great jazz CD 's room , wonderful bathroom one comfortable bed ' ve ever sleep . staff helpful every request . Amalfi offer great continential breakfast every floor morning good coffee great selection pastry 's , fruit 's jucie 's . also enjoy manager reception one evening offer great choice complementary cocktail antipasta 's guest . would highly recommend hotel . 
 May 20 2005 	 wonderful hotel wonderful city 	 fabulous stay Amalfi hotel . location great ( Harry Careys , House Blues within block ) hotel staff extremely helpful nice . room beautifully decorate shower ( two head ) refreshing . large room , nightly cocktail hour , complimentary breakfast , unheard onlite rate , make trip Chicago one never forget . 
 may 9 2005 	 Amalfi Hotel Chicago wonderful 	 get back 4 day 3 night Amalfi Hotel Chicago love way treat , love room breakfast lovely continental spread fruit , pastry etc . lay floor 's convenient . travel nice stay hotel not hustle long line large chain . the staff friendly accomodate . check little early problem since return plane leave late allow we later check out . the hotel great location walk everywhere great restaurant within walk distance plus couple block wonderful shopping . all pleased stay hotel definitely stay return Chicago . 
 may 6 2005 	 Amalfi Hotel Super Duper 	 place one nice ever stay , say lot much travel . accomodating , kind , room soooo comfy . we arrive early flight O'Hare arrive hotel 8am day check - in . normally would major problem , allow we check - in extra fee . great want lay get early . room nicely decorate clean . bed wonderful . sheet must 400 thread count , feel like silk . mattress like giant pillow sleep like baby whole stay . perk room dvd player dual headed shower . also stock Aveda product bathroom , breath fresh air consider hotel use . we find hotel central thing want see Chicago . never take cab train anywhere walk problem . nice close everything . hotel offer complimentary breakfast serve every morning floor step room . nice go grab breakfast pajama ! also complimentary cocktail party lounge guest . dirty martinis offer spread snack italian cold - cut , bread , cheese , olive , etc . italian ! hotel leave anything feel like great value money . wonder rannk high among Chicago 's good hotel ! stay ! will not regret ! 
 may 4 2005 	 look 	 extremely clean hotel ! room incredible . first time stay hotel wake ache pain . probably comfortable restful night sleep ever life ( ' m 24 ) . bathroom , especially shower , amazing . be think visit Chicago , place stay Amalfi Hotel . cherry top location hotel . can not think one negative thing say . , people extremely helpful , sweet . 
 Apr 29 2005 	 great place stay 	 stay Amalfi Hotel 3 night January 2005 . be great hotel ! every person work speak . lady lay breakfast would chat every morning go get coffee , pastry juice robe slipper provide . room comfortable , great bathroom hotel centrally locate downtown Chicago . 
 Apr 28 2005 	 Great Hotel 	 stay Amalfi 8 night , great location central downtown , staff friendly ' enough help . the room well furnish high standard , load extras , like dvd player , CD 's etc . free dvd loan . complimentary breakfast serve floor , help return room . free internet free cocktail evening lounge . price lot less call top hotel service standard beat all . have stay many hotel , Amalfi rate one good . 
 Apr 26 2005 	 wonderful stay ! 	 boyfriend stay Amalfi Hotel past weekend , love . book reservation read positive review Trip Advisor , disappointed ! hotel great location - easy walking distance State / Lake & quot ; L & quot ; station ride Midway , Grand station ride Wrigley Field , several restaurant ( Morton 's Coco Pazzo two try ) . & quot ; Experience Designer , & quot ; Juan , absolutely terrific - arrive tell would love see Second City show get ticket Bulls playoff game possible , time get back walk Millennium Park take care we ! also helpful transportation recommendation dinner suggestion . everyone encounter hotel super friendly . room offer nice view Marina Towers across street , bed bathroom exceed expectation . aveda bath product dual shower head nice touch ! complimentary continental breakfast every floor nice feature , food well continental breakfast ' ve hotel . , wonderful experience , would definitely stay ! would happily recommend anyone plan visit Chicago . 
 Apr 19 2005 	 Love Hotel ! 	 hotel amazing ! beyond hotel stay long time travel alot . staff friendly helpful - remember name . room spacious , modern comfortable . bathroom shower great . cocktail reception everynight unexpected bonus . still can not believe great rate get either . book directly hotel . rate lot less hotel city room lot nice hotel . impressed stay . 
 Apr 1 2005 	 great experience 	 transit O'Hare many occasion wife take opportunity spend long weekend getting know Chicago . choose Amalfi positive Trip Advisor review not disappointed . location hotel great accessing shop sight foot . room large maintain high standard . complimentary breakfast provide fill start day comfort room . happy hour 5.30 - 7.00pm offer selection cold snack wide range quality alcoholic non - alchoholic drink . staff friendly extremely helpful . two individual particular spend great deal time effort get couple bull ticket short notice . great hotel would hesitation recommend anyone . Chicago ? 's cool city visit . clean friendly people , non - threatening feel plenty see . ever return will Amalfi week ! 
 Mar 18 2005 	 Great Place ! 	 stay enough place downtown Chicago know like like Amalfi . doubt unlimited budget obtain luxurie available hotel . cover review ; view , room service , pool , spa , etc . suppose important , available price elsewhere . amalfii utilitarian mean . be look generously - sized , nicely furnish room gracious low - key service be thing city , Amalfi truly great . wife find close everything . leave car park , except one excursion could save money w/o valet service . advise check - in self - park available ( $ 22 ) without in - out privilege . receive assurance security extra $ 13 / day need allow 15 minute retrieval . many well know restaurant nearby ( within 5 minute walk ) access mass transit . will definitely make return trip . 
 Mar 17 2005 	 Great Hotel Great Location 	 love Amalfi Hotel . room wonderful , almost not want leave ! location could not well , block train station great shopping Chicago Landmarks . serve nice continental breakfast every morning floor take back eat privacy room . also free coctails happy hour lounge . great experience great value . 
 Mar 9 2005 	 warm welcoming 	 stay hotel International Kennel Club show February . two little dog we , staff even make feel special . even give we little bottle doggie bubble bath check in . we three , long hard ( successful ! ) day show , warmth room relax . we get back room late take advantage cocktail reception , stay July ( fun ! ) , hope try then . the warm color room deep , soft carpeting comfort long , hard day show dog McCormick place . the room sound proof ( within hotel ) mean dog not hear kind noise . help ( we ) settle relax next day . be River North make easy we find place eat dinner ... even not get nearly 11 p.m. one night . try Vong ( VTK ) one block north . 's stylish , French / Thai . nice place relax . Mambo Grill , two block away , feature latin american cuisine . also good hip . if travel avec chien summer , Brasserie Jo ( country French / alsatian cuisine ) let dine dog sidewalk table . even serve complimentary steak tartar canine clientele . 's popular treat area dog lover likely see shape size dog dining gusto , deliver restaurant limousine . I two minor complaint regard hotel . first , ( mostly fault ) forgot take privacy sign door leave . ask one desk people please tell housekeeping make mistake . unfortunately , request not communicate come back long , hard day dirty room . I mention front desk soon send someone empty trash can freshen towel . guess attention detail , one reviewer mention , concierge , thing may hair overstate hotel promotion . the small complaint late Fri . night , street around hotel still noisy ... one downside hot nightlife location . I wake couple time car alarm , loud voice , etc . street . say restless overly tired , may oversensitive point . next night , sleep fine . before sign , mention Aveda toiletry thick , soft towel . appreciate respite tiring day . I really get impression hotel try thing little bit nice average chain hotel . lot reason try , return . 
 Mar 9 2005 	 strong candidate solid night 's sleep really hotel 	 hotel mixed bag , wildly over - rate reviewer , still offer real positive consideration traveler Chicago . 's fringe River North , opposite Harry Caray 's block half W River North ( former Nikko ) . consequently , be within walk distance Oak Street 's fancy shop North Buckingham Fountain everything south . stroll Shedd Aquarium nice day well within reason . 's multi - line subway / l stop three block away Clark / Lake . position thus great , although anyone stay also understand 's Michigan Avenue , area know bar , adult book store , like hotel south Geary ( Hilton , Nikko ) San Francisco . 's big deal , be there . the room decent size good bed pillow will likely ever encounter . fabric new attractive . sheet not bad . 's real closet , deep enough hang clothe carry bag , week 's worth wardrobe . tv enormous , clear , many interactive amenity . air conditioning highly responsive quiet . 's great night 's sleep . the big negative room bathroom . perhaps ' m one people America care bath , not think . not know still make 9 & quot ; deep bathtub , Amalfi manage find whole warehouse full . find travel tire take bath every night town , object bathtub short shallow can not cover knee private part water simultaneously . bathroom also dark , little light , might say room whole , 's departure norm bathroom . I find breakfast cocktail hour , free , plus . not like lobby , basic make hotel seem even less fancy review would suggest . where come price good , travel alone ( ) intent sightseeing , 's fine choice , would rather bring wife . 
 Feb 28 2005 	 next good thing chocolate 	 need hotel like one every , good sleep ' ve year . amafi hotel new home away home . Tamaria Williamson , Detroit Mi 
 Feb 23 2005 	 absolutely loved ! ! ! 	 experience . almost hate write great review fear secret . first time ever felt truly get money pay . complaint would managers reception Saturday night waaaayyyy crowd room . everything read true , amazing conceirge , incredible breakfast , helpful doorman , etc . can not wait go back stay . anyone ever say subpar stay Amalfi lie . desk person ever DVD 's we sit room watch ( recent relasese even ) tired . stop rave hotel ! ! ! ! 
 Feb 16 2005 	 good hotel experience ! 	 wife stay Amalfi last weekend could not happy stay . read excellent review Amalfi stay , not prepare experience . entire experience start walk door , greet friendly & quot ; Experience Designers & quot ; small stylish well appoint lobby . experience designer also make reservation night dinner give we priority seat coupon Gino 's East save we hour wait . room also spectacular , warm invite extremely clean luxurious . room look brand new , stain tear wallpaper find hotel . collection magazine , book , CD 's room we use , could check dvd lobby play room 's dvd player . bathroom equally clean nice , Aveda product huge bonus . location good restaurant hunting shopping , locate right next House Blues river State St shopping . also couple block Michigan Ave . good thing pay $ 118 night one nice hotel Chicago . could not happier wait go back ! 
 Feb 15 2005 	 friendly hotel 	 love hotel . homely feel . staff friendly helpful . room well think , lovely bathroom toiletry . cd player range cd choose . breakfast pastry juice add bonus . impressed hotel would stay . 
 Feb 6 2005 	 Best New Hotel Experience Years 	 travel frequently business pleasure Amalfi good new hotel exprience ' ve year . room stylish comfortable , feature especially high quality sheet towel . also provide ethernet wireless internet access . complementary breakfast buffet floor notable especially good fresh fruit , pastry coffee . complementary cock - tail hour reception include excellent ante pasta premium liquor . staff uniformly pleasant helpful . finally , location could hardly well access theather , music , museum shopping . will back . Rebecca David , Haslett , MI 
 Feb 5 2005 	 great stay ! 	 hotel wonderful ! college student go mom weekend like ! pro : FRONT desk STAFF ! ! ! -helpful : know great place eat get therebreakfast : pastry , coffee , tea , muffin , etc : FreshDrinks + hor d'oeuvre : Yummy ! ! room -clean -well decoratedlots people different age stay therecons : far museum 
 Jan 27 2005 	 Perfect location price amenity ! 	 stay Amalfi last week 2 night read review website . pour review hotel finally decide one . could not happy choice . room large downtown hotel well decorate . bed comfortable . similar Westin 's & quot ; Heavenly Beds & quot ; . dual showerhead bath Aveda product . also nightly turndown service . love breakfast provide floor . could take want back room instead hang restaurant morning . staff friendly helpful . proximity Michigan Avenue shopping museum sightseeing perfect . would highly recommend hotel . 
 Jan 17 2005 	 Top Shelf 	 get back Chicago . pleasure Staying Amalfi Hotel . check , wonderful . lobby really cool . although small , Bright color make feel good even though 4 degree be outside . check really quick ( literally 3 - 4 Minutes ) roll suitcase room 413 . beautiful . king bed huge love color Room . Bathroom Great . really big double headed shower , feel good long day shopping . set lovely Breakfast spead elevator . help goody . evening time , Lounge 6th floor serve Cocktails Snacks . try House Martini Loved . also serve really good Meats Cheese 's everyone rave . entire Staff Awesome . really helpful nice entire time . can not say enough good thing Hotel . Michigan Ave , really appeal . able walk Stores want shop . 2 block Nordstrom 's , really great time , shop 2 day row , one day 5 hour , go back checkout rest Mall . lunch Cafe Nordstrom 2 time really good . budget , portion big enough 2 . Tomato Basil soup die . lady , big store visit 70 % many item , Shopping Hell . really could ' ve damage Man 's American Express , not want give heart attack , ruin chance next trip ' m already plan . Chicago , try Amalfi Hotel . disappoint . 
 Jan 10 2005 	 enjoy immensely 	 really enjoy stay Amalfi . within walking distance almost every major attraction downtown Chicago ( one mile less ) . really enjoy upscale touch bed linnen , dual Speakman shower head , small selection cd magazine along free continental breakfast floor daily cocktail party appetizer . staff friendly attentive . room sleek contemporary much like lobby , although overly large posh . find Amalfi 130 dollar night Orbitz agree real bargain get term service amenity . 
 Dec 22 2004 	 Warm Cozy 	 return weekend trip visit relative stay Amalfi . intend return again . Chicago C L winter : 4 degree outside warm toasty inside . lobby one point , need go block away . not coat , desk staff offer coat . another time need Diet Coke ( coffee drinker ) instead point $ 2.00 vend machine , produce two spot . dig pocket pay say , be we . the room big small . right contain large bed incredible mattress . bathroom spacious well appoint . free breakfast high quality , convenient generous . cocktail reception feature nice snack quality swill . particularly like Peroni . best location . smack middle good part Chicago . great restaurant . great shopping . much see do . go . . 
 Dec 22 2004 	 good ! ! ! ! 	 stay birthday . hotel superb ! ! ! well hotel NY pay $ 400 / night . amalfi great bed , excellent shower two head , wonderful night gown , free breakfast happy hour drink . martinis great , three beer free . free DVD 's rent also . want go salon , call make reservation we really great salon . lot great place around eat drink . truely exceptional experience . 
 Dec 17 2004 	 birthday 	 sister stay birthday april 2004 . thing say problem coffee maker . really stupid place . tv entertainment center . could not pour water without make mess . try figure unplug mind bender . refridge not work , come back nice size piece prime rib steakhouse put fridge , realize not work packing leave morning . go eat sit really warm fridge night . kind irritated , , would stay . little bar next store riot . alot fun . definitely back sometime soon . 
 Dec 6 2004 	 exceptional ! 	 amalfi great place stay Chicago look upscale atmosphere plan enjoy accomodation ( sleep ) . hotel european flair make stay even enjoyable . take plus minus : offer great breakfast spread assorted juice , coffee , tea , fruit , pastry ( include favorite chocolate croissant ) find 6:30am 10:30am foyer floor opposite elevator . run room grab food jammie be dare ! stay corner room ( foyer ) king bed ( ever comfortable ) great light necessarily view ( surround neighborhood ) . , can not vouch ( would assume small ) room . two showerhead ( enough ) bathroom consider generous amount space mini vanity area include , plush towel . loo think little close bathtub ( nonetheless ... ) .a fee - free business center available access computer , internet , printer fax service although locate one floor single use time . the decor spectacular , appearance top , ambience one - of - a - kind . carpet bedding appear clean . although ice machine floor , find ice bucket could mini - bar access key . not plan opening anyways , since might charge add unlocking . love pamper , also bed turn - down service leave tasty chocolate pillow ( need opinion ) . magazine rotate room browse pleasure ( another extra not need ) . closet rather small think well . great Cajun restaurant , Redfish locate outside entrance hotel . awesome food ! takeout dine - in . easy access Magnificent Mile ( two block ) foot . pricy too . enjoy ! 
 Dec 1 2004 	 great Stay ! ! 	 recently stay Amalfi Hotel Chicago really love eclectic , yet boutique style . grant , posh lobby bar , room absolutley wonderful . wonderful pastry , fruit coffee available floor every morning . cozy , complimentary Happy Hour night make feel part special community . extremely comfortable bed turn night , delicious chocolate perfect end night town . staff extremely friendly helpful . perfect location Chicago many attraction . would definitely stay . lot nice little suprise . 
 Nov 10 2004 	 nice experience ! 	 cool . sophisticated . hip . affordable . minimalist lobby asian overtone combine urban deco . Cool jazz room , sleep cloud bed . Aveda product wow Mrs. everyone say previously , right amount continental breakfast enough touch prevent thinking & quot ; cheap & quot ; . enjoy happy hour night . enough crowd , top friendly service generous libation . definitely stay . oh , everything walk distance , help burn great area food . thank , Amalfi ! 
