value 	 hotel look location , price , cleanliness , 5 star . hotel central park west , 2 block subway , basic clean , helpful staff , fuzzy tv reception , private bath , request room balcony overlook central park , get . pay tax $ 134 nyc november . see hostel share bathroom price . 
 Sep 3 2006 	 not stay ! ! ! ! 	 recently visit new york decide stay , ( horrible choice ) anyways soon get smell like barbershop , room really small , smell cigarette smoke . also find COCKROACH nightable . show people front desk , demand refund , check night stay different hotel . hotel also want keep $ 199 first night , hotel literally 40 minute . 
 Aug 23 2006 	 good basic . 	 stay hotel 4 night August wife daughter . little apprehensive first arrive , initial impression favourable . say Staff helpful friendly . hotel clean comfortable . room basic quite small . Aircon little noisy give weather get . tv reception appalling , look like signal splitter not work . give UK airport security situation wife 's inherent fear fly , able pick news problem anyway , need TV New York ! position little want budget constraint limited flexibility anyway . subway service downtown fine . Taxis wer not bad either . marginally expensive get subway three us to / from Columbus . overall , would say Hotel good , staff great , not expect much . oh complimentary coffee always empty whenever wanted / need ! 
 Aug 3 2006 	 great money 	 take two teenage daughter night . room clean spacious . staff super friendly helpful . area safe night ok day . evevator bit slow . nice extra herbal tea , hot chocolate etc lounge . would definately stay . 
 Jul 24 2006 	 okay Hotel would not stay ! 	 hotel ok , brilliant ! stay room central quad look onto room room basic cheap . not mind not go New York see inside hotel room . facility basic hotel clean stay quite present . however , main negative fact plug bathroom sink bath not work noisy air conditioning unit basement room make racket night difficult sleep . 
 Jul 24 2006 	 Loved Astor Park - gem ! 	 stay Astor Park 12th-19th July 2006 . consult bible a.k.a trip advisor choose hotel NYC . budget , want something 3 star , clean , tidy total overprice rip . pleasantly suprise . stay mother quite fussy . book online get twin room 2 queen bed $ 89 usd per night . private bathroom . can not argue . People moan lack room stay London Tokyo NYC hotel know space tight , way go . space also tight pay $ 250 - 300 usd per night . Astor locate central park west , ( park road ) way residential noisy Times Square / mid town . ( moron would stay ask ) doorman sweet helpful , especially Hamid Algeria . hey , even reception staff ( load people bitch prev review ) great . act pyschotic towards , rude back , ... life . polite totally professional back . plently fluffy towel hair dryer bathroom . borrow iron board need . also coin operate washing machine dryer basement need washing . vend machine basement free coffee tea . 3 internet terminal . bummer cost 1 $ usd 5 min . bad , convenient . find nice chinese resturant call Pearl something like 100th street , short walk . subway 3 small block away 103 street . pleasant time Astor Park NYC . think people whinge hotel prev review problem & quot ; expectation & quot ; book Astor 2 - 3 star expect facility go along 5 star hotel . on bad side , not anything major , couple small annoyance . yes lift quite small really slow , especially 30 strong german tour party try check 9 am . location nice quiet right alley cross 106 street , way town . use subway big deal , use cab , trip cost little . rush hour need work bit get cab . leave plenty time check way airport . peak problem . cab subway . say , would hesitate stay Astor , fact book next nyc trip April 2007 . not include photo one website traveller actualy photo trip advisor spot . see get . 
 Jul 5 2006 	 not get scared away ! 	 book hotel family last week . live New York know area fairly sure good deal . read negative review freak . truth : room nice , clean , roomy , quiet . sure , compare Howard Johnson suburb , TINY , know anything New York , will know room actually roomy . actually , bathroom big New York bedroom . AC work well , dirty noisy . right next elevator never hear single sound hall neighbor . area great ... Central Park West pretty much upscale part New York . staff also really nice . give great direction come together go completely beyond call duty suitcase break . probably would reconstructed suitcase hour let . conclusion , fantastic hotel great location .... price STEAL . not believe negative review feel confident stay . 
 Jun 29 2006 	 great hotel friendly staff 	 ' m surprised negative review . stay hotel eight night June , think great part . negative comment , seem , may come people never stay hotel New York -- nearly hotel New York small ( , honestly , not think room particularly small ) . important thing hotel cleanliness -- hotel certainly clean . bed comfortable , bathroom excellent ( , compare hotel New York stay ) a / c window unit , yes little noisy ( unit tend ) , actually appreciative helped block street noise Central Park West ( another common problem New York ) . three - star property , one not surprised find particular service ( e.g. , room service , traveller 's check cashing , etc . ) -- indeed , many three - star property not offer type service ! hey , New York City -- be hard find something eat 24/7 . , location bit problem , see would wonderful people . right upper west corner Central Park -- park definitely lovely morning walk , people watch day . , thing want West Village Midtown . subway great day , may wait bit switch late night service 11:00 p.m. ( mean theatre may take little long get back ) . know go , could not pass amazing rate find online ( $ 87 / night hotel Manhattan ! ) . frequent traveller New York , though , pleasant surprise find thing part town never visit ( walk Dakota CPW 72nd Street Rosemary spawn devil baby , John Lennon shoot ) .another possible negative elevator little slow morning -- especially housekeeper start use . , stay property New York elevator , roll it . all , great experience , little nervous give rate ( bad review read ) . also want say actually New York week seminar accomodation provide . , make several reservation , visit property see want . Astor , far , least expensive ( also reservation Hotel Pennsylvania , Ramada New Yorker , real dive -- Chelsea Star -- twice price Astor ) far nice lot . would stay -- yes . 
 Jun 28 2006 	 see get 	 Astor Park basic hotel minimal facility ( i.e . tv , Cd Player , fresh towel daily , pay per minute internet ) receptionist meet 4 day stay , one kind word even hint smile . rather unhelpful ask money exchange direct we incorrectly wrong street . concierge friendly soon realise work commission base sale trip end stalk , navy seal style reception morning avoid . taxis hotel fortune end stay night bed picnic beer Reese 's Cupakes . bed comfy think may health safety issue regard heating . on / off dial ancient red hot . burn try switch room reach sweathouse heat . ok budget traveller expectation . 
 Jun 26 2006 	 nice little hotel 	 obese clostrophobic , want stay ..... find fine little hotel visit . everything hotel tiny : lobby , elevator , stairway , hallway , room ..... clean , staff friendly helpful , bed comfortable . problem window air conditioning unit cool well would like , tired wandering city sleep great anyway . please note hotel near famous attraction ..... mere 3 block subway stop take anywhere ! ! many restaurant within 6 block walk . find hotel charm quite suitable need ( sleep , bathe ) New York City . reasonably price , would stay . 
 Jun 12 2006 	 avoid hotel 	 arrive Astor Park Hotel ( 465 , Central Park West , New York ) 10 pm Friday 2 June . tired , hungry fractious journey Newark Airport . arrive guest remonstrate receptionist effect ' she would stay another night hotel ' . alarm bell start ring , make loud receptionist 's comment hotel room service . air conditioning unit room loud unable sleep 4 night . even remove plug socket would stop . complaint meet resign shrug . unit jammed bottom window , glass break accommodate , bottom , side , clear space outside , must freeze Winter . radiator prop precariously block wood . poorly fit electrical socket plug hairdryer bathroom , surely contravention safety standard . additionally , hotel basic facility traveller would expect - facility change traveller ' cheque , safe guest leave valuable refreshment - make facility room . plus point - well clean bed comfortable , despite 50 centimetre wall either side . balance would suggest keep well away hotel - stay guest house UK far comfortable . 
 Jun 9 2006 	 really nice hotel 	 ' ve 4 night ( 16 - 20 May ) ; ' ve really great time ... room ( 803 ) quite large 2 people , also 2 single bed price double room ( 584 euro ) . toilet clean towel always fresh ! room deadly quiet , staff friendly , always give we hand ! ! ! 2 subway station nearby , good restaurant ... anyway , would stay next trip NYC ! ! ! great little hotel ! ! ! 
 Jun 5 2006 	 ok single/ budget traveler 	 friend stay 2 night Astor Memorial Day weekend $ 200 / night . time , average go rate decent hotel Manhattan least $ 250 , decide save money chance . tell get pay . book stay online get confirmation room 2 double bed . arrive , force room 1 double bed , receptionist say overbooked . decide camp unacceptably small room 7th floor ( 3 people ) work get room actually confirm ( end Room 702 ) . doorman nice bringing luggage room end help we get room need 2 double bed . picture hotel 's website display simple modernity within small room , accurate portrayal room really like . clean livable , bathroom exceed expectation ( e.g . hair , rust ) . towel freshly launder . even tv , not see website photo , although reception not great . bring cd , cd player nice touch budget hotel this . what hotel not would nice ( suppose could consider luxury ) concierge service water . need phone number tribeca restaurant not want spend money use internet basement downstairs , call front desk never get call back . also thirsty middle night , water hotel ( vend machine juice soda ) . cute mom+pop convenience shop street 107th make great sandwich good would need snack . also , elevator small , mean may take arrive floor , exepct crowd people luggage trip . read review several people also experience overbooking dilemma , prepare bad . check 5:30pm , go room freshen come back lobby 7 pm , lobby jampack traveler arrive waiting room assignment . location also not great want head main part city Lower East Side - cab ride could cost upwards $ 20 seem like many driver reluctant drive far north Central Park West . hail cab evening dressy night not want take subway , day subway closeby ( 2 blockst away ) convenient , although weekend schedule limit take 30 minute get Soho beyond ( seem long try squeeze lot activity catch early evening bus back DC ) .In short , ' ve stay much posher hotel far well service , Astor Park pale comparison , money , not bad value . would stay travel solo not need help travel plan city . 
 Jun 3 2006 	 feint hearte 	 Astor Park , New yorkwe spend 5 day hotel although price give game away review read go seem ok.our experience doorman , helpful try get trip - get specific information go place map already informative . the room clean need tlc , eg hang space / shelf unit wedge place keep balanced . information room 713.The last two night visit blight four youngster next room we call loudly use inappropriate language . yes complain hotel second night tell could not move room get good night 's sleep prior journey home . the morning departure meet manager Robert chance express surprise not allow move room , something say would look . offer we room shower later day recompense . we would recommend hotel anyone could possibly spoil enjoyment New York . 
 May 24 2006 	 nice view ... need sort fine point ... 	 issue booking . book twin room tell arrival mistake one available . offer we queen bedroom possibility go another ( unseen ) hotel . point receptionist apologise mistake give impression rather annoy we whole thing . stand ground time eventually ' find ' room we 7th floor double bed bunkbed . room quite big cleen , carpet wet one side room . internet access basement useful quick bit expensive $ 1 4 minute . the location great - easy travel brilliant want spend time Central Park . budget hotel acceptable brilliant . 
 May 8 2006 	 great little hotel money 	 return stay Astor Park 4 - day weekend trip NYC . great little place stay money . room small , ' ve stay much small London Paris . clean , linen towel change everyday . apparently recently remodel bathroom look brand new plenty hot water every day . complimentary coffee tea basement . staff nice friendly . able use computer basement check online flight , fabulous ! catch cab breeze . step hotel raise hand . close two subway line . Broadway block ton restaurant . course , Central Park directly across street . would definitely stay . 
 Apr 29 2006 	 great stay New York City ! ! 	 first trip New York City stay Astor Park Hotel . hotel nicely locate Upper West Side Central Park right opposite easily accessible Sub Way , find great way travel around city ! find hotel reasonable price pay nice clean . room 4th floor average size comfortable double bed , air conditioning , sky tv , wardrobe lovely en - suite bathroom . negative point fact room could ' ve do lick fresh paint , view brick wall opposite ! ! ! whilst stay hotel hour hot water electricity , needless say sort straight away ! facility hotel actually provide tea / coffee & amp ; vend machine also internet access . find staff Astor Park accommodate friendly , especially doorman , Mohammed give we great tip advice ! ! ! ! overall would say hotel quite basic good base sleep change , need stay New York City ! ! ! would definately stay Astor Park Hotel ! 
 Apr 27 2006 	 Hot Water Hole Wall 	 find Astor small , small hotel , eruo style furniture , carpet upgrade unless keep shoe entire time get bed . nice front desk staff , helpful . subsequently hot water . pay two - hundred night two - thousand night even two dollar night .. expect hot water .. explanation Astor . work .. ok work boiler .. Astor need work bill ... front desk access computer make bill adjustment , etc .. place child , , expect pay internet access bring laptop .. location ok view hotel outside .. overall . never advise recommend horrific place anyone .. even doggie motel .. learn reveiew .. 
 Apr 19 2006 	 Nice Suprise ! 	 read negative review , other say little concerned . but worry soon forget ! hotel ideal require , grant room small side , bathroom shower sight seeing day , bed need . the subway short distance away aa shop / delis resturant need breakest dinner . the Hotel staff friendly helpful . all memorable first time New York ! 
 Apr 6 2006 	 Value money 	 despite read negative review , 2 friend stay hotel 4 night . contrary previous reveiw , staff pleasant helpful . concierge especially good - recommend local restaurant trip . room small , New York hotel , give key two room choose well . two night manager give we large room become available . room bathroom clean traffic noise outside . problem noisy pipe either . hotel ideally locate Central Park - directly opposite . five minute walk subway six stop downtown . if be stay hotel , great little cafe , bar restaurant within 5 - 10 minute walk not go downtown eat . if want good , value - for - money hotel NY 's problem Astor Park . 
 Apr 4 2006 	 great price ! 	 little skeptical hotel reading review fiance decide chance . book Astor long weekend Mar 30 - apr 2 . extrememly fussy pleasantly surprised arrive . lobby bit small check breeze . People front desk ( night day shift ) nice . careful doorman , be little pushy bringing bag . elevator bit small , fitting 4 average size people . extrememly suprise opened room door . yes room small , private bathroom remember NEW YORK , want big , get to pay big . everything , include bathroom , impeccably clean . check every single spot room decide perfect . room , 1005 , small balcony face building . nice view ok we . bed sheet comfortable yes , wake around 6 a.m. Friday morning rattle radiator last 5 minute not happen rest stay . subway station either side hotel , perfect get around . little far attraction subway close , problem . end , actually prefer way stand front Hilton Time Square @ 2 a.m . check quick offer make arrangement transport hotel airport $ 18 p / p , bad already make arrangement . perfectly honest , think steal $ 89 night would definitely stay . 
 Mar 27 2006 	 really really bad ... 	 truly terrible experience hotel , picky . beyond teeny tiny room pipe bathroom hot literally burn skin , radiator make horrible noise early morning hour ask front desk something tell later day & quot ; engineer & quot ; go look . tell could whomever want check , not want awoken . call front desk evening make sure take care assure sure enough next morning 4:30 start clank loud woke , . call front desk report go tell not buying & quot ; engineer & quot ; story second time , guy come bucket , empty radiator water within . top entire experience , pack bag leave see huge roach crawl bed . really horrible anywhere else worth little bit go spend . 
 Mar 17 2006 	 bad price 	 pay $ 81 / night get double bed room 3/10 3/11/06 . arrive check , one night thankfully print expedia confirmation . staff call expedia quickly resolve issue problem . room cheap great , quiet location ; 's bus stop right front hotel 's metro stop 103rd st 110th ( hotel 106th & amp ; 107th ) . staff friendly happy assist request . room tiny ( would recommend room anyone expect spend lot time hotel room ) closet , safe comforter bed - be new york city would want spend lot time coope hotel room ? use room sleep shower . room neat bed & amp ; bathroom clean . staff helpful arrange transportation airport checkout ; take limo la guardia $ 45 friend take bus airport New Jersey $ 20.this room perfect budget looking spend money shopping dining . save money cab stay hotel room ! would definitely stay - make sure bring copy confirmation receipt ! enjoy , fun NYC ! = ) 
 Mar 17 2006 	 Prepare get 6 am every morning ! ! ! noise problem 	 2 Main Problems ! ! stay 3 night early March . firstly , day time receptionist lady extremely unprofessional , unfriendly unapproachable . secondly , pipe problem noisy enough wake 6 am morning . stay Room 210 , request room change , receptionist REFUSED change room state due hotel building old , every room would problem . , clearly already know problem despite live - able room available , choose give room . speak night time staff able change room , Room 1004 , turn perfectly fine room without pipe problem . somehow , day time staff nightmare night time one completely opposite . would say give price pay , quite bargain . would recommend hotel prepare minimise interaction hotel staff little possible . 
 Mar 17 2006 	 bad suggest 	 stay Astor last week first trip New York must admit , bit worried negative review post . first night , seem like come true ! whistle radiator , nowhere nearby eat ! good night 's sleep ( bed clean comfortable ) shower ( shower really nice ! ) feel much well set explore NYC . 's realise Astor ok place stay . learn use subway explore city , Astor become really nice base . two decent cafe two street behind hotel , grocery store nearby course , hotel right opposite park , lovely morning ! trip , find central New York rather Central Park West ( location hotel ) residential area sight main attraction downtown - much , will hardly want stay hotel area ! get use noise room clean , towel good . would say expect hotel breakfast , extras hand , Astor . however , already know New York well want enjoy city need simple base rest , prepared find way need good starting point , Astor fine ! one tip - use subway get hotel , go 103rd street catch ' c ' train local nearer hotel rather ' ' express land 126th ( happen we walk block back ! ) 
 Mar 11 2006 	 Great Hotel Stay 	 girlfriend stay Astor end February early March 2006 . book hotel Holiday Genie flight separately British Airways - save load money . pay £ 18 per night 6 night really good value ( midtown hotel £ 100 per night ) .The Astor locate 106th 107th Street Central Park West . far Manhattan mean really quiet night , always get good night sleep . hotel close Midtown noisy way expensive . hotel 5 mile heart New York . however M10 bus stop right outside hotel , 24 hour subway 103rd street make easy get downtown . room fine . originally put smoking room ask change , staff move we problem . find staff really friendly polite . even arrange transport back Airport $ 20 , load cheap cab ( $ 45 ) .the room small like wardrobe , many hotel New York probably small room . find room really clean well keep , sheet clean bathroom really tidy well , complaint . remember safety deposit box though , put valuable suitcase lock leave . we use hotel base , leave early morning not return evening , New York much offer want see . use Astor shower sleep . it first trip New York go see everything . way girfriend see thing , go see New York , hotel . need place crash , Astor Perfect . I would hesitate use Astor again . PS - Helicopter ride get chance , well worth money . 
 Mar 4 2006 	 whistle radiator ! ! 	 stay astor 4 night october literally nowhere else room whole city . absolutely amenity within hotel , room small find clean enough.one problem control central heating constantly night . every half hour , radiator go bit mental start whistle hiss , loud enough wake ! try open window room hall outside ... promptly fall ! needless say do not let know , even 2 day , have not notice window leave lie corridor floor ! hotel pretty poor , arse end nowhere , do not want touristy thing anyway , set tour bar restaurant upper west side harlem find really cool full local rather tourist . 
 Mar 3 2006 	 okay money less noise ! 	 pay reasonable amount week 's stay . but amount could make continue bang night . as go February cold heating make noise like someone toliet hit pipe hammer . after four night none sleep ask change room , complaint . after holiday begin . there clean towel every day room reasonably clean . BEDS CLEAN.The subway near , staff helpful , coffee tea downstairs free , ask heater cold , plenty hot running water . I read review notice people say near shop people willing explore two block behind hotel load shop husband walk night something eat . so not mind little buzz money right room hotel worth money . my friend get hotel time square could not sleep siren noise 's thought ! 
 Mar 3 2006 	 get pay ! 	 stay hotel heavy snowfall February , heating not work properly , , banged night , guest get annoyed noise start bang floor 2 am . hotel staff try fix heating , come hour night really enough give sub zero temp outside . not sleep much due noise guest noise heating . the hotel clean tidy bed make every day , room basic price expect more . staff friendly helpful keep bag hotel last day flight not evening . beware use car service airport get travel sickness , person take we JFK manic driver ill end journey . nearest underground station couple block away not trouble use it . this hotel suitable people budget . 
 Mar 1 2006 	 Astor bad even discount price . 	 ' ve New York many time , not feel need stay middle everything . ' ve never NYC really choose hotel close action . spend extra cash enjoy hotel . one leave LOT desire , hardly worth inconvenience location . we book Astor reading . request room overlook park suggest . first night not one , move we next day . stay inside . heat break room - keep window open noise outside unbelievable - traffic , people yell outside night . Noise INSIDE hotel bad . radiator bang drilling noise lot one evening . be light sleeper , not expect much peace . wall paper thin hallway adjoining room . since 's discount hotel , expect lot young hotel guest . could get ahold anyone front desk - ever . could not get wake call , someone explain we set in - room alarm clock . could not get deal noise . could not get fix radiator . could not get fix television . ( exhaust one night want night , dice - tv not work room noisy sauna ) could not get anyone phone anything . staff mill like college student class . gossip amongst complain employee . loudly , be ignore . not know anything New York . couple actually speak english . be difficult get direction drink machine , never mind direction Times Square . staff unprofessional , hassle non - stop doorman - different one , could find one - book in - house limo airport . 's thing care . eventually use limo , time get JFK ready boot . smell , lack suspension chaotic driving make ride hell . book car service free internet terminal downstairs - highly recommend skip car service . housekeep great . room always immaculate , towel nice bathroom spotless . linen also good quality , bed quite comfortable . nothing go miss , tip end stay . be low maintenance , may good bet . expect kind customer service hotel , not book Astor . the subway quick walk Astor , although would not want night alone . shady character loiter subway entrance quite often . one night man across we go womans purse discard thing . cab 10 dollar time square . great restaurant start w90s , go block - 's nothing residential almost way park , even starbuck . you get coffee , sodas internet access basement . store far , NOWHERE eat block block . stay , sure walk Harlem Amy Ruth 's restaurant 116 Lenox . 
 Feb 28 2006 	 good value budget 	 stay astor five night pleasantly surprise read bad review go . room clean ( little small side ) good view central park . staff friendly helpful , particuly Felicia reception . hotel near Harlem top end cental park west , however subway couple block away 103rd street take New Yorks attraction within matter minute . tell go hotel offer continental breakfast , fact free tea coffee basement . however reasonably price deli short block away . next time go New York would stay somewhere bit central would definately recommend astor anyone budget . 
 Feb 27 2006 	 Travel Agent 	 work First Choice Travel agent , treat mum christmas shopping break , feel ashamed booking dump , way walk distance shop , restuarant , bar anything excited , hotel bar resturant , staff completly useless , room little heating lift suitable size hotel . hotel well parr would sell customer , bad receive full refund , please promise book hotel , 
 Feb 23 2006 	 bad could well ! 	 stay friend couple week ago not bad not think would go back there . the staff helpful not reservation end room amazing view Manhatten . I would warn people concierge try sell we something everytime step foyer - even interupted phonecall ! lift nois unreliable lift ' ve ever come across . confirm leave break trek ten flight stair . concierge help we bag though . they also decide start bang hole wall half way stay not great , leave place bit mess . be warn group american teenager might stay shout ' drink , drink , drink ' night . I would stay somewhere else next time could central , although easy enough get subway . oh maid throw away bag food have buy . go tell reception guy serious sincere suspect take piss complain something small . couple towel also go miss one ever get back we . not leave thing lie around . I ' m bit unfair though . hotel suit we fine never really - go city accommodation . want reasonable , budget hotel not mind hiccup along way will fine - get free coffee ! enjoy New York - 's fantastic ! ! 
 Feb 20 2006 	 Absolutley horrible 	 everything reservation location elevator horrible hotel . travel extensively hotel shabby year . would reccommend . 
 Feb 18 2006 	 HOTEL HELL ! ! 	 read many poor review Astor park , definately live 's bad reputation ! .When arrive check room 5th floor one elevator was'nt working . we were'nt offer help luggage all . when get room open door discover somebody else already stay it . my husband go back reception area tell person allocate we room break come back nothing could do . after wait half hour husband re - appear key another room , say relieved have travel 8 hour . sadly short live enter room clearly filthy urnine toilet seat , dirty towel floor , need say more . we finally get room break shower clang water pipe . book different hotel follow day amazing stay . Astor park may good young couple try club scene New York that s all . if afford little 's definately money well spend ! . 
 Feb 16 2006 	 Read u book ! 	 dubious Astor Hotel read review however really not bad ... well room not . amazing view park Manhattan balcony . make feel ' lucky ' big room ( double bunk ) decent size , bathroom clean , bed clean towell change daily . however check not reservation ( possibly tour operator 's fault ? ) . sort within 1/2 hour though . the staff fairly friendly ( conceirge maybe bit pushy tyring sell we trip etc ? ! ) help luggage etc , even lift broke - bring next bugbear - noise ... ' ve never hear noisy lift ( be 1 slow , tempremental lift ) door corridor bang night long . bear mind young group may stay describe frat party upstairs . also small wardrobe storage clothe etc u may well live suitcase , literally , iron board room . it be close 103 subway park maybe bite close Harlem . really much area tourist apart park . the trek city get weary though taxis frequent area . my advice New York general ? take comfiest trainer / flat boot / shoe , follow itinerary will wicked time . 
 Feb 15 2006 	 great price great view 	 stay Astor week Thanksgiving . first room smell paint - front desk happily move we new room . new room balcony overlook Central Park give great skyline view city . room queen size bed use sleep twin sized bed use luggage . housekeeping staff amazing job - clean everyday . tv get channel ... come city watch tv ? ! ? ! elevator tiny slow . if look clean room sleep , Astor work . 
 Feb 14 2006 	 like ' m really fussy ! 	 ' ve come back New York stay Astor Park six night two girlfriend ( be age 22 - 23 ) . not mind admit ' m really fussy honestly dread stay read review website , however need not expect bad hotel fine we . for facility level typical ' chain ' hotel England modern style . bathroom really nice , new clean , room ( 1001 ) good size view Central Park Manhattan skyline balcony staff also friendly . there subway station 103 street three block away five / six stop take Times Square , although maybe not ideal people shorter break we get feed trek back hotel get change go night . I not want make seem bad review thing aware : lift - bit scary woke night every time door shut . break last day walk tenth floor although fortunately staff help we case ! not take towel might end hotel laundry like mistake ( be good anyway ) . location not great restaurant , shop etc . nearby although train run Downtown night 's handy corner shop end block . also impression lucky get big room ask 1001 's four two not mind bunk . enjoy New York 's amazing ! 
 Feb 13 2006 	 stay away 	 picture not justice room super small service less frendly event snow storm mother nature problem get good check weather stay brooklyn 
 Feb 6 2006 	 will back ! 	 room SMALL , normal city . room clean shower great ! next time need stay city will back Astor . 
 Feb 6 2006 	 really relax Hotel ! 	 stay hostel 3 day come Astor , wow great change- reading review area size room , well room stay , 508 , could not agree all - our room amazing , perfect size , anything alot room need , clean - bed really soft comfortable . 3 block near metro - buy metro card week - its $ 24 7 day really worth , scary would think ! area nice enough , do not see problem - but fair do not walk harlem area do not see side . 2 fault hotel 1 . ) quite noisy , could hear almost every car , truck , bus outside - but ok , 2 . ) think camera take room - as memory card full left camera side , next day be not there - so warn keep thing safe . make sure go uo GE Rockefeller Building , hide gem NYC great view empire state central park - which alot less crowd empire state . 
 Feb 1 2006 	 completely satisifie 	 spending hour hour line , read review & quot ; reasonably price & quot ; hotel option NYC , finally choose Astor Park . not look anything fancy - simply want clean comfortable decent price New York . be exactly get . room ( # 904 ) look park , Manahattan skyline . spotless clean , cozy bedding , thick nice quality towel , great hot shower , new attractive carpet . room REALLY small , bed double , need space , not place stay . locate way top Central Park , 2 subway station within block , be quick jaunt downtown . service genuine , helpful friendly . couple computer get on - line ( pay ) get wireless signal room . pay $ 70.00 night ( reservation lastminutetravel.com ) . 2 24 hour parking garage within 2 - 3 block , pay + /- $ 13.00 per 24 hour park . bad New York ! would definately return , thank nice people Astor helping make trip pleasant . 
 Jan 29 2006 	 good hotel new york 	 hotel top class staff helpful , room nice well keep . bad thing get top empire state building quick get 7th floor astor ! ! really enjoy new york fine hotel.it locate across central park short tube journey central manhattan . find nice walk central park times square , quite far scenery make ! Gilbert good concierge ever , would go way help we . overall holiday 100 % already talk go back new york .... stay astor course ! 
 Jan 22 2006 	 regret 	 do not quite know expect read review . pleasantly surprised . staff come cab collect bag deliver room , way home get we ride airport plush sedan car price yellow cab . always courteous . first impression room positive . basic clean telly alarm clock , bathroom small , stylish pristine . first night gasping drink , do not realise drink machine downstair reception - find leaving , doh ! also two internet pc chocolate vending machine . around corner grocery store that s get morning drink from . I think people expect much essentially place sleep store shopping . I ve pay room literally half size Blackpool ! bus stop directly outside , subway 4 short block away , could go pretty much anywhwere interest without even change train , way Battery Park . a walk back hotel mean 2 mile trek entire length Central Park , well worth foot stand , location sometimes make bit drag need dump shopping freshen . hand get experience thing would not normally , like fantastic breakdance troupe subway train head downtown . 
 Jan 15 2006 	 Christmas NY 	 completely average , think motel rather hotel . budget accommodation . room basic , tiny clean . central heating poor , request additional portable heater . catering vend machine basement . old building receive recent face - lift . minor irritation poor quality finish . good picure would suggest . in opinion bit far town 106th St. some room park view , nothing special happen end park . experience visitor need somewhere sleep , would fine . first time visitor big apple , pay extra get close city.we would use hotel . 
 Jan 5 2006 	 ok get head not expect Ritz ! 	 friend stay & quot ; Astor & quot ; weekend Christmas 2005 . despite read mixed review TripAdvisor , one place leave low price range . Astor locate opposite Central Park Upper West Side . neighbourhood fairly quite , expect grab taxi subway want get anywhere interesting . subway ( 103st ) 4 block away ( 5 min walk ) . line get Times Square 10 - 15 min find easy journey . the Astor not pretty hotel . lift , stair corridor small pokey . room ( 210 ? ) quite small drab , manage squeeze 2 double bed , small tv wardrobe . room one window look centre building let natural light , make room quite gloomy . natural sunlight would made world difference . due high - rise nature New York 's building , quite common unless be pay mega - buck . the bathroom however look excellent . well expensive hotel stay . marble - tile good quality fitting , clean towel good quality miniture . perhaps hotel undergo refit ? problem . we couple problem . radiator room ( heating system appear steam power sometimes bit noisy ) small leak , toilet get block ( common problem Astor seem ) . also foudna couple small cockroach bathroom . occasion report reception apologetic fix problem without hessitation . reception staff excellent , polite , helpful friendly commend . there restaurant food service Astor , not expect room service . find great place breakfast & quot ; Pancakes Columbus & quot ; Columbus 108th . Free Coffee / Tea / Chocolate serve basement every morning evening . it be ok place get head , somewhere would want bring sweetheart romantic weekend ! two single guy town sightseeing Nightlife , would embarrass bring anyone back room ! whole , would probably try stay somewhere else return NYC , Astor place available , certainly would not end world . 
 Jan 3 2006 	 Mixed 	 visit NY Xmas New Year 2005 last minute thing not much choice hotel price range . Astor Park boutique style hotel , bit far could expensive not use subway use Taxi 's instead . find small clean . heating system noisy wake 4.30 morning clanking . bizarre experience first night . go bed wake find water pour ceiling . immediately call reception change we different room travel nearly 24 hour door door not need . next day complain try tell issue go agent ( Lastminute ) seem like load rubbish - hotel leaking . fair hotel staff upgrade we ( us moan ) noisy heating not get well - not like try pass buck . 
 Dec 29 2005 	 Great Place stay 	 reading review second thought , wrong . Astor great hotel situate nice neighbourhood . walk towards 110 - 112 street find lot nice bar restaurant Columbia University district fill fun people . it easy catch sub hotel downtown area ( 15 minute ) nice come home quiet neighbourhood ny - noise . go city plan shower sleep hotel , a - ticket , hotel clean friendly morning coffee . if look stay time hotel room , go , cause cable television , movie channel room small . fun ! 
 Dec 20 2005 	 Disastor Park ! 	 great position 3 4 block away subway catch b C train top Central Park . small room clean nice bathroom . fresh towel tidy room return hard day shopping . tea coffe availavble bsement room advisable buy milk ususally forget buy ! handy buy breakfast go to walk block get - help way . plenty designer clothe toiletry none steal use etc - however keep money we time . eat get back also good idea many place eat immidiatley close hotel . Harlem quite near direction tourist want go , ie shop etc . vigalent great time amazing city . 
 Dec 20 2005 	 small room decent value price 	 stay 23 - 25.nov.05 week Thanksgiving Astor Park . location close daughter 's apartment price good also . Astor hotel jack quote price 2 holiday ( Thurs - Fri ) stay , 3 night price . room small clean ; window view Empire Chrysler Buildings nice . elevator little jerky make adventure go lobby . hot water take little arrive scald plentiful come . advertised feature not occur free morning coffee , none available morning . location good , easy catch cab subway close . will likely stay go back NYC . 
 Dec 18 2005 	 terrible ! ! 	 choose hotel line . honey moon . think quite beautiful ( see picture etc .. ) unfortunately didnt't know would find . although expensive , dirty , bad - smell . find cockroach either washing room either bed . bad memory marvellous city call ny.i really suggest stay away . RG 
