North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 Apr 8 2009 	 Best Steak Restaurant Bally 's 	 Stayed Bally 's 2 year ago . accommodation , .... good value money . breakfast resto old though . hope improve ambiance plus food choice . like good Steakhouse groundfloor . yummy steak Strip . ' ve Lawry 's .... like Bally 's way well . be come back Vegas next month ... try new hotel ... definitely ... dine Bally 's Steakhouse . must try old new Vegas traveller ! ! ! ! ! 
 Apr 7 2009 	 need facelift 's good deal great location Strip 	 get back 7th trip Vegas . two us time - mom . book 3 week get great deal Bally 's , use promotion receive mail Harrah 's . get two night free two total $ 110 ( weekend ) , definetely can not complain price ! first , get , service check - in counter slow . woman end check we nice take . plus , request non - smoking room could not find one time , end say would take smoke one ( actually not mind , something know people feel strongly ) . room Classic Room think consider South Tower . room waaaay hallway 23rd floor . hallway old need TLC . also kind bad smell - like dingy old smoking lounge . every time walk hallway , room service tray outside room ; sit one night next afternoon -- really gross . hallway aside , room actually pretty nice basic room . decent size room pretty nice bathroom . two queen bed comfortable everything clean . also desk room need make phone call use computer . view room toward parking garage back hotel strip much brag ( can not expect strip view price get ) . one disappointment coffee maker room want coffee morning , buy expensive coffee stand downstairs ( plus we , long walk coffee ) . amenity -- cold trip use pool look decent saw . also , fitness center free . fee use fitness center ( include sauna , think ) extra $ 22 day . as location , want stay strip plan make way , think Bally 's good spot . mid - strip , right across Bellagio next Paris . be gambler , Bally 's not really big casino floor . slot machine table game . table pretty small section , variety limit ; even find $ 10 blackjack Saturday night since casino not overly crowded . Bally be also directly connect Paris , head casino well without even go outside . overall - would recommend hotel value . will not find luxury will get nice , clean room good night 's sleep head onto strip day ! 
 Apr 7 2009 	 Best Price / Location Value Vegas 	 wife stay Ballys dozen time past year , stay week time . not Wynn , Bellagio Venetian ! trade luxury reasonable value . Ballys ordinary Vegas standard . fact , spot somewhat marginal . however , room generally clean . bed comfortable . , good , staff helpful usually friendly . exception every rule , experience . additionally , convenient center strip location , not force $ 30 cab ride every time want leave property . , not perfection . . . excellence value many thing recommend . season Vegas visitor , choice dollar stretch value Strip . 
 Apr 6 2009 	 good location Strip 	 stay 9 night March ' 09 . previously stay Harrah 's Hotel ( also property ) definitely prefer Bally 's . good location Strip - opposite Bellagio fountain , adjoining Paris hotel , Le Village Buffet , good breakfast Vegas ! casino Bally 's small mega - resort nearby carry advantage get lose / separate travel companion ( ) much . several nice bar casino floor attentive staff keep fuel free playing anyway . room amazingly spacious North Tower , close street , noisy . check - in efficient , housekeep excellent room well appoint . value money big draw , midweek price Bally 's low $ 65 per room . can not find fault hotel , save maybe air conditiong corridor ramp bit high March . Doubtless would welcome June July . 
 Apr 4 2009 	 Location Location Location 	 Vegas many time Bally 's one good place stay consider location , cost type accomandation . room large vegas & quot ; strip & quot ; standard , comfortable almost always cheap casino around Bellagio , Ceasars , Paris , Planet Hollywood . casino bit small $ 10 table . Paris Bellagio short walk . monorail access east side strip would rather walk . Shop Forum shop ceasar watch Bellagio fountain . 
 Apr 4 2009 	 great place ! 	 get back Las Vegas , time stay Bally 's . place great ! rate sure . old hotel keep mind , room clean quite large . marble bathroom . surprised little shop place eat . like Tequila bar though , bad service burn food . complaint . yummy pretzel place downstairs go pool , check Satisfy Sole love shoe . place great ! pool area quite nice pool clean . great thing Bally 's attach Paris , walkway Bellagio . center strip well , close everything . course place fancy like Bellagio Caesar 's Palace , give 5 star . 
 Apr 3 2009 	 enjoy ! 	 stay Bally 's March 23 , 24 2009 . usually stay Excallibur never stay center strip . price right stay Bally 's two day finish trip Excalibur . stay old section hotel . look clean , confortable room not spend much time room fine . look exceptional , room . everything go well Bally be completely satisfied . room clean serve purpose . nice center strip . hate new building put block view look strip . see MGM , NYNY , Excalibur anymore new building go . honest , start think stay downtown next time . strip get commercialize shopping mall ! . love Vegas go every two year . fun place Bally 's nice central hotel good price . 
 Apr 1 2009 	 good trip Vegas long time ! 	 go friend stay Bally 's weekend belate birthday gift . room nice , clean , nothing extravagent . service fine not problem also not go way we . favorite part proximity favorite slot machine room ! ! ! fact not crowded . go back soon upgrade suite Bally 's enjoy stay much . definitely recommend ! ! ! 
 Apr 1 2009 	 Sterling Brunch 	 awful ... worth $ 85.00 pp .... 3rd yr last ... 1st yr , food wonderful , include lobster , caviar , champagne , etc . last yr so - so , decide give 1 chance , big mistake , bad ever ! ! ! go .... 
 Mar 31 2009 	 great location terrible customer service 	 son 's girlfriend stay son stay Cliffs Peace Canyon trip , stay hotel 2 night . conference day . stand line check , amazed amount people line . 100 people . never encounter line hotel ever stay . could not get go somewhere else already credit card number . wait one whole hour get front line . irritate . wait hour , get front desk guy tell we not room available , would take suite one night move next three . acceptable we ( make move one night ) nicely tell man , whose name William , unhappy , plus long wait , apologize say nothing could . ask speak manager , want something we , hour wait room , already charge credit card . man name Dennis come , say manager , ' m still sure . still nice little mad point . tell Dennis whole story say move next day another room acceptable . ask could keep suite whole time trouble . say could not , get even perturb , say we hold , go back , come back room . ask room come , not 15 minute ago , make story people check late . true , would not clean ready . well , whole scenerio take 1 1/2 hour least . the location great , easy , easy . also , pool close 6 , early , especially weather 85 ' . 
 Mar 31 2009 	 Ballys Harrahs get Old Tired 	 Mr. Bill Harrah would not stand condition casino . Harrahs famous 4 star facility service . another casino trying make buck . March Madness will not go next year . $ 2.50 Pepsi machine . can not find Coke . Piano Bar Harrahs 2 piano be not dust week . remember couple year ago everything fresh clean . plant around Ballys entrance die die . never case past . ' ve go budget . know ' m ramble simply disappointed . 
 Mar 31 2009 	 bad stay ever ! 	 Thought get great deal ! boy surprize ! first check take hour , check treat rude , want pay cash stay instead use credit card . ask could see room ! ready ! try push pay 20 buck night , tell could see upgrade room , 15min . see , get back desk tell want ! glad do not take , nothing special room south tower , south tower odd # room good view strip see thru dirty window ! wait anouther hour bellman bring luggage room , call several time see ! next day discover camera take room ! alert security , could check matter , security good could help ! pleasant deal , unlike staff ! bathroom flood twice , wait around 40min get clean ! also see go room plunger mop ! not gamble alot , spend 1500 , sport book , say busy give credit reward card , never receive point room cost either ! however couple restraunt give point ! last night see show love ! do not get reward point either ! check next morning , even take 30 min , personel do not ask stay , say , good day ! would subject anyone disappointing stay ! ! ! ! ! clearly waste 5 night , one many trip make las vegas ! go ! housekeeping can not even make bed ! be pathetic ! beg read ! stay property own bally ! ! ! not give damn ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Mar 26 2009 	 Bally 's Fear ? 	 come back vegas today 4 night Bally 's little concerned stay Bally 's reading review . great , arrive also Sunday 22nd 11 am , long line check , take 10 minute . check - in lady nice ask want smoking non - smoking . tell matter say take smoking would upgrade free could get room right instead wait till 3 . say great . room nice , smell really fresh smoking room . tv 's need upgrade , fridge wish slide glass window would open . everyone come contact work Bally 's , Paris , Harrahs Imperial Palace freindly , one compling , dealer talkitive . food little pricey way vegas inline casino 's . would stay Harrahs Casino . really bad expeince last 10 year one , year ago snotty floor manager ( go ) sure bad review use stay new big casino 's ( wynn , Balligo , ect ) might happy look clean room casino freindly staff Bally 's way standard time ... : - ) hide pluse Hertz car rental booth return car instead airport rental booth pick , thus save worry money get back hotel return . teller also nice . 
 Mar 26 2009 	 great stay ; perfect place we 	 wife retrune 5 night stay ( 3/19 - 3/24 ) Bally 's . deal flight delay day , last thing want hear 10:30p checking - in ( take 5 minute ) , Deluxe NS room reserve available . promptly upgrade suite night , however , extra charge , move Deluxe NS room update North Tower 10:00A next morning . room large , clean comfortable , King bed , plenty closet space quiet . coffee maker , however . Bally 's ideally locate center strip SE corner Las Vegas Blvd Flamingo Rd . connect Paris ( another Harrah 's property ) , Belagio ( fabulous fountain ) directly across strip . Bill 's Casino / Hotel ( hide gem ) across Flamingo Rd N , next door Flamingo , Caesars across strip Bill 's . Planet Hollywood , Harrah 's , Venitian , Treasure Island Mirage within easy walk distance . Bally be also offer free shuttle service Rio ( another Harrah 's property ) .We find staff freindly helpful . room always promptly service would leave morning . restaurant good , although service Sidewalk Cafe rather slow time . excellent food service Al Dente . also eat Le Village Buffet Paris ( excellent , highly recomend ) well Seafood Buffet Rio ( good , little pricy ) .The casino area , although extremely large , open relatively smoke free comparison casino visit , wide variety slot table game available . if look & quot ; party place & quot ; , . want ambiance fun classic vegas style , Bally 's perfect place . definitely would stay . 
 Mar 25 2009 	 enjoy trip 	 enjoy trip Vegas . staff nice always smile . room normal room expect . casino . enjoy go Harrahs property excellent benefit spending . would go back Bally want stay . would recommend . 
 Mar 24 2009 	 Weekend trip Vegas 	 Vegas several time prior , even Bally 's . however , see great sale online January decide give try . we arrive Friday afternoon . crazy March Madness action go , not wait long check . originally book South Tower , ask upgrade available . clerk bring picture book room , tell we upgrade price , opt upgrade suite . , however , upgrade we cost North Tower . room spacious clean . could see little bit fountain Bellagio . overall , pleased room . the property connect Paris walk often . downside pull luggage mall area . do eat on - site , see & quot ; Price Right . & quot ; give 25 % discount hotel guest . location also good Strip - right want - Planet Hollywood Bellagio far walk other . we good price would definitely consider stay . 
 Mar 24 2009 	 Perfect Location 	 10th trip Vegas stay strip . trip stay first time Ballys . upon check , ask upgrade view room get problem . room face strip fountain Bellegio . convenience everything strip big plus property . average walk strip sight casino . local transportation easy obtain although wait deuce quite long taxi ride anywhere high . expect pay $ 20 get downtown taxi , quick . $ 3 get downtown Deuce $ 7 ride day , time patience . Food & quot ; pricey & quot ; everywhere unless compe gaming . drink also expensive unless gambling . take Ballys pool pay $ 18 18 oz . drink . charge everything room upon check ask comp , receive 1/2 charge . wife take Donnie Marie show happy preformance . budget look convenience , try Ballys . 
 Mar 22 2009 	 basic 	 room , basic . coffee pot fridge room . nothing include room , pay everything - internet ( $ 13 day , per computer ) , workout center ( $ 22 day ) , coffee ( $ 3.50 cup ) . get pool , walk casino & quot ; mall & quot ; , awkward bathe suit . time add cost extra , probably get nice room hotel thing include , especially travel other . 
 Mar 22 2009 	 Nice Old 	 stay non - renovate south tower room . furniture definitely old room significant remodel 20 year ( evidence MGM Grand evacuation plan door -- MGM Grand become Bally 's 1985 ) room clean maintain . bed comfortable room large . one concern - three member group develop symptom like come cold - symptom would fade stay room day return morning get bad week go . never figure cause illness suspect allergy something tower . the staff friendly helpful one exception - front desk clerk checking . seem want anywhere . & quot ; Doc & quot ; cafe standout one good waiter ' ve see . entire team pool also incredibly friendly . overall , Bally 's stack well old property would not stay room rate much high comparable hotel like Sahara Tropicana . 
 Mar 21 2009 	 nice 	 hotel nice , room clean large size ( North Tower ) . non - smoking floor someone smoking room . item could understand food tray leave outside room floor . could see tray leave three day one staff would remove . 
 Mar 20 2009 	 leave lot desire 	 room ok ; upgrade jr suite $ 20.00 night ; ok ; , not even coffee pot ; friend stay tower jr suite exactly kind room coffee pot . leave note maid next morning ; note ignore ; housekeeping do poorly friend one day houskeeping service . finally get coffee pot three day later night check ! ! ! ! ! ! ; probably would not bother much not pay $ 20.00 upgrade inconveinence every morning go stair buy coffee ! ! ! ! ! ! 
 Mar 20 2009 	 e.g . Loved every minute 	 choose Ballys stay Ballys Atlantic City please overall accommodation . however , please Ballys Las Vegas . ask grade put North Tower . view side street window dirty , could see view well . wish take upgrade ; South Tower close strip . however , overall location Ballys great . centrally locate . 
 Mar 19 2009 	 good value mush food hallway long boring 	 arrive first night three tell full move high level room . fine , smoking room asthma . they unable give we another room , force open balcony door ( remove two screw instal prevent ) could breathe . both we terrible headache morning . we give non - smoking room next day . some room service food item leave hallway 24 hour . fairly distasteful . window filthy enough obscure view . overall , ok hotel , theme fairly boring . Paris next door connect walkway , go food , fun , etc . 
 Mar 19 2009 	 Great Deal Great location strip 	 stay Ballys 3 - 16 3 - 18,2009 . hotel center strip , next Paris , across Bellagio Ceasers Palace . room nice , tell old room , do not spend much time room . bed comfortable bathroom clean .... towel funky smell , never complain , window dirty view would nicer ( view Paris Eiffel tower Bellagio fountain ) .We use safe one day charge 3.00 take fee . 
 Mar 18 2009 	 Great Value 	 great value , large spacious clean room . service great , staff cordial , friendly helpful . would highly recommend hotel definitely visit . kudo staff - run anyone cheerful . thank great time . 
 Mar 18 2009 	 Superb 	 stay several hotel strip must admit , truly impressed service hotel . staff friendly , courteous , helpful . room service delightful food , OMG superb ! recommendation would anyone look value service stay Bally 's Las Vegas ! truly , truly superb ! ! ! ! ! ! ! ! ! 
 Mar 17 2009 	 great hotel good pricw 	 Vagas past October first time ever . tell love go back every year . hotel good , casino clean always pack . mostly play poker almost never line , always right amount table open . good thing hotel location . right middle strip across Bellagio fountain ( could see room ) . everything walk distance hotel make easy get around . time go Vegas think good place stay hotel right centre strip ( Bellagio , Ceasars , Paris Bally 's ) . 4 mention hotel give good deal week close enough other walk attraction show quick . next time go Vegas ' m hit hotel ( unless win lotto , ' m go Wynn ) 
 Mar 17 2009 	 good enough ! ! ! ! 	 check Bally 's @ 8 pm 3/9 take 20 minute line 2 people manning desk . get room 64th floor right next elevator ... REALLY LOUD everytime elevator move ( offered move we , sleep 2 night stay night 3rd night ) room large , clean , come wet bar/ mini fridge . bed hard , pillow soft . use spa service 3/10 completely satisfied facility massage . slot tight , poker player loose ! ! ! ! ! make $ 300 3 hour Tuesday night . overall compe room great . 
 Mar 15 2009 	 decent 	 Vegas fan . since business available ... Bally be turn well thought would . room suppose non - smoking room turn surprisingly smoke free . last time Vegas everything smell smoky . even casino bad . food cafe decent . 
 Mar 14 2009 	 great stay Bally 's 	 Bally 's new favorite hotel . check ok . compe room tell phone north tower renovate room available would get one . however , chek ask want upgrade north tower $ 20.00 night . chance get free . anyway , take upgrade . nice room . huge , almost like suite . like layout Bally 's . everything easy find . good place eat , nice lounge good band . dealer encounter friendly . great location . back . oh yah , also tell phone safe free got , charge $ 3.00 day use . 
 Mar 14 2009 	 not get suckere pay extra money 	 check various time day ( arrive different time ) get different story pre - pay room rate good room pay $ 21 extra per night would great renovated room . Room renovate , window dirty could see layer dust shower rod bathtub . they even charge $ 3 day use in - room safe hotel give free . pool also close go way Paris Casino use theirs . hotel location great stay want cheap room sleep . otherwise go pay $ 79 night might well stay another hotel . 
 Mar 13 2009 	 need renovation . 	 Hotel need total haul . save room book 1 bed room suite , look like step back early 90 . furniture Tv 's , bathroom ... WHOLE PLACE need update . money guess ok place sleep . much Party hotel ... old crowd late 40 80 's .... AC system hotel Lobby great ... Smoke Thick ... two power outage ... reset everyone Machines ... be not fun . ok place sleep ... look elsewhere fun . slot pay though .. guess that s good thing ! 
 Mar 12 2009 	 one good trip ever 	 let start say read mulitple review Bally 's Las Vegas , expectancy low . change step inside hotel . check - in line long check Friday afternoon , would say wait time 10 minute . lady desk extremely friendly courteous . boyfriend ask room view exactly get . able see Eiffel Tower Paris beautiful Bellagio water fountain , stay South Tower . tray hallway enter room , time unpacked walk start fun fill evening , already pick case entire weeke . room bit old fashioned , expect classic hotel . size room great . roomy . location awesome able walk conveniently everywhere want go . bathroom also nice full size mirror great . also love fact Bally 's connect Paris able walk casino get hotel . must say wonderful time Bally 's , get mind blow rate wait come . choice hotel . 
 Mar 12 2009 	 great hotel perfect location clean 	 really enjoy recent stay Bally ' ( 4 night , Mar 6 - 10 ) . look forward stay Bally ' really like location ( centre strip ) fact connect Paris . receive email Bally ' promotion , get really good rate south tower . upgrade north tower arrival $ 20 / night , really happy room north tower . the RoomThe room quite large . two queen size bed , large desk two chair , another table chair . nice amour tv . even one cup coffee maker . bathroom good size , lot towel , nice tub / shower . everything room clean fresh . bed linens duvet style , prefer since get little nervous comforter hotel bed . room extremely comfortable clean , overly fancy , suit we quite well . the CasinoThe casino small typical Vegas casino , however , liked mean could easily get around . location north tower room great . go elevator far monorail ( convenient ) short walk walkway Paris . ' take long get strip either . tipsif looking buy bottled water , snack , alcohol , etc , consider make short walk Bally ' Stage Door ( street Flamingo ) 7 - 11 Koval ( beside Ellis Island , great place good food ) . save lot money , gallon spring water 7 - 11 $ 1.99 , small 500 ml bottle Bally ' $ 4.overall great stay Bally ' , likely stay . price reasonable , room large clean . 
 Mar 10 2009 	 Pleasant Hotel Best Location 	 first stay Bally 's probably will not last . book South Tower due player 's club status , upgrade North Tower room partial view strip . room classy spacious compare 's standard strip . plenty room spread comfortable . service great every deparment : bellman friendly , checkin fast easy , housekeeper rock valet get car we quick . two point keep Bally 's five - walkway casino . walkway get strip get nerve . not use main entrance set really far back strip either way , long hike nothing worth seeing get actual complex . casino , 's boring ! slot selection weak casino personality . save grace cocktail waitress . constantly ask order always come quick . despite shortcoming , would stay . average price , Bally 's great deal location , heart strip . overrall package hard beat ! 
 Mar 7 2009 	 Good Value Great Location 	 return 4 night stay Bally 's . many reviewer say , Bally 's good value , perfect location mid - strip . obviously good hotel , term 5 star status , price pay , definitely average . one set back , however , check . wait couple hour & quot ; upgrade & quot ; North Tower room ready , finally enter , find room clean yet . management respond upgrade , charge . obviously right thing , keep we form bad opinion immediately , small mess up . the room move North Tower well ( North Tower remodel tower , tell ) . nice , humungous . probably 700 - 800 square foot . big King bed , sit area . couple step bi - level bathroom / jacuzzi area . huge , huge jacuzzi . two vanity , closet , two private commode room , one standard toilet , one bidet . nice . only nit - pick bathroom area seem miss remodel . example , marble tile work . rose - color marble / travertine still good condition , bit date . grout area little dirty , etc . hey - dey , brand new , ' m sure room penthouse caliber . age , lack right maintenance , come slightly run - down feeling . , still average , need additional remodeling / updating . rest room fine . new carpet , new furnishing . good repair . room service good , . try several time , time positive experience . so summary , Bally 's definitely great choice , go right perspective . money object , want well good , pass Bally 's . nice property LV . like upscale place ( say 3.5 - 4 star ) perfect location , budget factor equation , want go wrong stay . 
 Mar 7 2009 	 great Getaway 	 look top line resort Las Vegas , stay away . however Ballys great place stay Las Vegas . location perfect , almost middle Strip Strip centre action . walk either direction short time . many choice dine , enough keep happy . lounge evening nice , casino entrance fee ( buy two drink ) . casinio always busy . one night Wynn pretty quiet come back Ballys busy . service great . arrive around midnight tell room available upgrade right away next room size . 's service . would hesitate go back . 
 Mar 5 2009 	 good location good value 	 stay 5 night NASCAR weekend . 16th floor North Tower . room nice big . problem toilet shut one morning , housekeeping take care promptly . the sfaff friendly knowledgable , location can not beat . I ' ve always feel casino kinda & quot ; blah & quot ; ( still . ) lot money trip will gladly put & quot ; blah & quot ; ! drink service good hour day . I enjoy stay Bally 's . not Wynn Bellagio , be pay kind price , either . Bally 's good value . not go expect Wynn will fine . 
 Mar 5 2009 	 great Stay price 	 wife stay 3 night 4 day . upgrade room north tower . room new north tower . everyone pleasent helpful . perfect location strip reasonably price $ 53.00 night . room large king size bed comfortable large bathroom . would reckomend location everyone ! ! ! ! ! fun ! ! ! ! ! ! ! ! 
 Mar 4 2009 	 great value Strip 	 stay one night fluke . plane cancel find last minute accomadation night- Bally 's cheap availability Strip . since one ngiht , bump we large suite . room gigantic - could three room put together . full bar / kitchenette area , powder room , large living room 3 couch , dining area , completely seperate large bedroom two closet , grand bathroom ( sink , toilet , bidet , tub , seperate shower . ) decor old , early 80 upgrade since . large well sleep airport terminal ! 
 Mar 4 2009 	 home 	 Las Vegas unique way build monstosity casino designer shop glamorous statue / ornament compliment . Ballys stay small original without fancy glitter . access room reasonable , food vegas offer - succulent around . Ballys everything Vegas offer , especially center strip accessible Vegas ' world adult serendipity . feel home Ballys , , would feel lose mega casino Bellagio MGM . casino big staff care consider actually . ' ve Ballys 7 time , second stay dealer boss still employ remember name drink . 27 year old definately & quot ; whale , & quot ; usually bet house minimum . 
 Mar 4 2009 	 nice place pay enough 	 stay Bally 's 5 night , wish could forget first night . lobby smoky casino dull . assign regular room South Tower . smell smoky faintly sewer . walk room , still toilet paper toilet . room dingy old celing floor . not want take shoe . see long blond hairs linen cover ' m brunette ! everything negative review say would . sleep fitfully hard lumpy bed think flea . however , nightmare become full reality wake 7:20a.m . cold water shower . complain , front desk explain & quot ; happen everyone shower . & quot ; um , , ! ask have willing pay extra $ 50 / night stay suite new part building . figure $ 200 / night , must hot water . feel like completely different hotel . fresher air , new carpet tile , even large accomadation . realize skimp everything old room : big toiletry , actual coffee maker , new furniture fixture . large tiled bathroom area sink jacuzzi center . even put bidet , interesting . completely different room . even well , hot water matter long shower . since stay end February early March , not deal long line check . overall experience nice . however , visit friend ' room Encore Paris decide standard room much nicer though little small . must pay internet , use fitness center , use safe . aware thing stay . also , lobby nice sister hotel , Paris . think would prefer Paris hotel , suite room big nice ! tip Vegas : & quot ; Rent car part package deal & quot ; : parking free , everything far apart like nice dining sightseeing , ie Hoover Dam , rent might pricier . & quot ; eat outside Strip & quot ; : everything go price , not tasty . ( Excaliber huge buffet 's $ 25 all - day / all - you - can - eat $ 19.99 early dinner 2 , be great bite ) . & quot ; comfortable shoe : & quot ; walk like nowhere else . stair bypass walkway , run lobby lobby check awesome hotel , dancing club . not even bring & quot ; nice shoe & quot ; will walk barefoot second night . & quot ; cheap poker O'Shea 's . & quot ; $ 5 table low max bid . be get poker not want lose shirt , try go midnight . table fill ! & quot ; friendly cab driver : & quot ; give free pass hot club like Pure Caesar 's Palace . fun Vegas ! 
 Mar 3 2009 	 dissapointe customer service 	 friend convention assure bally great choice since stay many time ... arrive 3.30 , check girl counter appear know stand 15mins stay already pay , aggravate ask take long ... apology give key ... go bed since convention couple hour ... sit lunch pay card get decline ! ! waste time , multiple call bank show ballys overdraw extra 400 dll account plus 3 night already pay , dissapointe upset since idea stay ... go counter figure would something resolve quickly ... give we run around say would get fix day not ... next two day multiple visit representative counter promise never happen . short rude fault ... march still fix mistake keep money belong , embarrase see friend stress call everyday try fix , know amount money throw automatic payment overdraft fee cheap add quick .. result customer many year last stay never recommend friend family .... 
 Mar 3 2009 	 great palce great location 	 luurious place Vegas , Bally 's perfect loaction , great staff , clean comfortable room . hard go wrong ! 
 Mar 1 2009 	 Acceptable - decent choice $ 	 choice stay Bally 's conference . stay 12 year . nothing change , sure decor . looks date . everything hotel ok , nothing exceptional . room big luxurious . everything room clean functional . there nothing really wrong stay , spend money much prefer stay nice property town . 
 Mar 1 2009 	 great location price 	 stay 2 night return Grand Canyon . arrive We d 25th.at approx . 4.30pm.check quick ( 5 min ) . ask could nice view possible celebrate husband 50th birthday .... end room 7333 .. top floor face eiffel tower Bellagio fountain .. wonderful . I need thank & quot ; racegrrl & quot ; put amazing promo code forum ... $ 35.00 night ! ! ! . room huge , although modern , clean bed comfortable . we would definatly stay , cheap rate , location friendly staff . 
 Feb 28 2009 	 outdate furniture 	 get back trip LV . stay wonderful , room comfy , although , huge & amp ; bathroom . furniture outdate , not seem clean either . not spend much time room anyways . table dealer & amp ; bartender extremely friendly though , great . 
 Feb 27 2009 	 great location 	 small hotel vegas , not bad thing . long walk room breakfast . perfect location center strip . 
 Feb 24 2009 	 love 	 spacious room , excellent view , wonderful staff , back , perfect hotel stay strip central mall hotel .the show ( jubilee ) excellent overall stay bally'swas perfect go back time llove . 
 Feb 23 2009 	 great location ... center strip . 	 Bally 's locate center strip Bellagio Caesars Palace accross street . price good . hotel room North Tower large room love seat , king bed , desk large bathroom . South Tower might well view room nice North Tower . casino small scale , compare monstrositie strip . overall good value , location 's connect Paris , short walk . would stay . 
 Feb 23 2009 	 lovely spacious room wonderful strip view 	 check request 2 adjoining room high floor north tower , ( use $ 20 trick ) . room 21st floor spacious well maintain wonderful view Bellagio fountain Eiffel Tower . bed comfortable always plenty fluffy towel . the coffee maker add bonus . central strip location excellent , walkway Paris . casino appear date could upgrade . excellent band bar evening . thoroughly enjoy stay Bally 's . 
 Feb 21 2009 	 Good Location 2 	 Review title good location Octoberbride experince hadthough stay 2/16 2/20 
 Feb 19 2009 	 good location 	 go Vegas Sunday Wednesday . room okay , wall paper peeling , put stuff shower , ect . least 3 room service tray hallway least 2 day . hotel okay perfect location . terrible , though , every time come someone hound go look Harrahs new condo time share . little & quot ; cafe & quot ; eat breakfast . run plain bagel 10 am get ( open 7 am ) egg sandwich terrible . restaurant see Sbarro monorailWe do not use fitness center way way pay use . also pay $ 3 safe everyday use it . I would recommend hotel price location . look high class place stay . 
 Feb 18 2009 	 go downhill fast 	 ' ve go Vegas Super Bowl large group last 20 year . majority year stay Bally 's . amazed change see one year . hotel look shabby . 's peel paint general lack cleanliness place . check Sunday . get eleavotor , table window , styrofoam container someone 's half eat carry - out dinner inside . when check Wednesday , still . hotel 's restaurant situation bad . buffet deli close . eat steak house one night . very expensive , quality suffer . order Chateubriand serve , believe , potato chip . first . not everything bad . front desk staff poker room friendly effecient . , course location great . unfortunately , 's hotel . 
 Feb 18 2009 	 Perfect place stay 	 bit nervous stay Ballys read review , worry nothing . arrive 11 am , check go smoothly offer we upgrade $ 20 night , clerk suggest take go use room sleep . old room perfectly fine - comfy bed , awesome view - can not get well . would definitely stay ! 
