's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 May 24 2005 	 Wan na taste New York City ? 	 first disclaimer - I friend management ( travel website deem review & quot ; Trip Advisor & quot ; write folk ) . say , be budget traveler , place fine . be tourist look coddle , place . actually , one NYC , spend one moment hotel room , except sleep write postcard ! highly recommend ( one afford ) get room private bath , though check & quot ; share bathroom & quot ; seem clean little damp due lack venilation . previous review Hayden , still renovate hotel , however , quiet time stay ( maybe quiet -- none NYC hustle bustle ) . East oppose West coast , people smoke , would crack window room -- smoky air come hallway . room clean , queen size bed , nightstand , chair , iron ironing board small closet , huge tv cable ( interesting view overlook typical postage stamp size back yard ) . staff friendly , helpful , accomodating , , other stay hotel . hayden great location : Central Park right outside door subway short walk away . feel absolutely safe come back Village late night ( early a.m. case may ) . also , one need & quot ; emergency & quot ; clothing ( luggage lose , dress not seem right occasion ) , Filene 's Basement right corner Broadway . highly recommend shopping bargin . bottom line : satisfied would definitely stay Hayden . 
 may 21 2005 	 good price 	 read prior review post hotel , almost tempt talk place compensate -- keep real . hotel Waldorf - Astoria Plaza long shoot ... definitely circa-1975 Bowery flop house number prior reviewer make be . the room small ( especially US standard -- Europeans would find typical budget hotel large city ) , clean , maintenance do daily . elevator slow , small , bit archaic . room w/ share bath -- common bathroom facility floor clean , actually touch stylish ( slate panel wall floor ) . restoration seem mostly complete -- seem like main thing leave refinish hard wood floor hallway . the location ( Upper West Side high ' 70 ) praise even folk nothing else nice say hotel -- would back , w/ one caveat . one reservation serious parti ( you all know ... ) would well stay downtown , proximity village surround neighborhood . Upper West Side upscale , respectable part City -- , however , quite well connected subway . in short nice tourist class hotel . would stay travel expense account -- worth rate . 
 May 18 2005 	 Bad 1 Star Hotel 	 stay Hayden Hotel night last . hotel Manhattan $ 500 ( not completely scary ) due huge convention . I know neighborhood good . Seinfeld suppose set & quot ; ' ve get mail & quot ; film several location near . within walking distance anything could want term eat , shopping , sight - seeing . I book Expedia clearly take advantage demand rate pay twice hotel literature show . call hotel hour arrive verify reservation check see room & quot ; renovated & quot ; section . assure first floor do . the lobby terrible shape , ' m sure fix eventually . elevator old scary arrive upstairs bad . walk stair avoid scary elevator couple time could tell floor necessarily shape , close . stairway mess . the 5th floor public area good shape , bathroom pleasant surprise . new tile fixture / shower . lock door . Shower / Toilet room . clean . another bathroom door people not wait long . my room single new sink room tv dresser new , bed . not terrible , slanted bit . linen definitely new , clean . cigarette hole bedspread , room smell fine . you hear people come hallway outside room , not extremely loud , room floor anyway , part , quiet . 79th street not one NY 's busy , be loud like would stay Columbus Broadway . consider claim renovated recently , clearly do bathroom new thing , re - paint ! think odd . room old banged paint , stairwell . pay less $ 100 place , would probably good deal . stayed sell situation city . usually get decent room private bath Manhattan $ 135.00 cost . 
 May 18 2005 	 Hayden Hotel : adequate pick upper floor ! 	 stay hh end March , Easter weekend . read review online , girlfriend jokingly refer hotel & quot ; Hades , & quot ; 7 night not bad , consider price / value location -- right Central Park West close subway . yes , hotel renovate shoddily , upper floor , anything 5 , finish . make sure insist get room 6th 7th floor . mother reason get one & quot ; suite , & quot ; mean actually nice view two interconnect room . really pretty . bathroom also clean functional . the peeve : noise outside . wall paper - thin , hear every sound next room , hall reverberate step wooden floor . door not close unless throw shut . really use violence . one point intervene marital tiff next door around midnight . could hear every word woman yell several time let go , knock door . couple stop fight . Hooray . the radiator work whenever want . either not work stay cold turn hot can not touch . night make strangest sound , hiss knock . desk staff reasonably polite , excessively . woman check we want add another $ 10 cab fare put pocket , call we cab JFK , sure call cab . fare set $ 45 plus $ 5 toll , expect pay $ 60 tip . stop 4th floor , see nasty in - progress renovation shady people shuffle along hall . strange character seem inhabit floor 1 3 , permanent dweller , seem . upset english couple tell we elevator mouse room 5th floor . demand break room rate , not get much sympathy , could hear front desk . bottom line : Hayden / Hades great value expect get pay . location can not top . insist one upper floor ! even share bathroom 7th floor look okay clean . 
 May 5 2005 	 Midnight visitor 	 check late Friday 4 night . wake 0445 catch plane walk city ( 79th St East Village ) exhausted finally check . pleased find small clean room newly remodel bathroom new carpeting . room look brick wall . lobby hallway little noisy need remodeling place great potential . last night stay little problem . bring dinner back room , ate turn early . midnight wake rustle sound bathroom . remember throw garbage ( include 1/2 slice pizza ) plastic bag place bathroom . mind start process information start freak , imagine type creature could make noise . wake daughter lie minute arguing would go see bathroom . finally get , grab umbrella weapon head bathroom . clap hand tiny mouse run bathroom around foot . jump bed , scream ( EEK - a - mouse ) mouse run door hall . put garbage end hall . imagine little hard fall back sleep . would stay ? Maybe- love neighborhood proximity park price excellent . would leave food room . look back make funny story ' m relieve visitor Stuart Little Templeton Rat . 
 May 3 2005 	 well lead believe ! 	 6 os we stay Hayden hen weekend 29th April 2 night . concerned would like read previous review turn fine . victor reception lovely little tired ( say work lot hour ! ) check quick take little lift twin room 4th floor - hotel still decorate do not look bad need lick paint hallway ! room fine - plain decoration , two comfy bed right rest weary leg lond day sightseeing neat little bathroom need nice big tv ! floor wooden bit echoey wake times first night could people walk around slam door ! learnt lesson wear earplug next night ( airplane ) sleep perfectly ! nearly little shop could buy bottle water etc , round corner lovely coffee shop subway block away . convenient ! check Victor arrange luggage lock luggage room also convenient flight be not evening want sightseeing ! hotel bad review make . fine need , nice place rest head ! good value money ! 
 Apr 14 2005 	 pleasantly surprise 	 return 5 day stay pleasantly surprised . Booked hotel Oct. worried reading review take chance . actually not room w / private bath arrive , decline share bath , book we room nearby Comfort Inn even offer cab fare move 1 night . return next day upgrade room difference Hayden Comfort Inn adjust bill . staff , esp . victor , gracious friendly . room nice price get Upper West side- clean , problem w / noise , water , heat , etc . hotel still renovated not find inconvenient . great place want safe , clean place sleep . doubt find anything like less neighborhood . 
 Mar 26 2005 	 not know poverty use place 	 ok , ' m prude stay 5 star hotel . ' ve travel Caribbean , Italy , Spain , Thailand etc opt 2 - 3 star accomodation hotel priviledge even get 1 - star rating . ' m UK live work nyc 2001 due September 11 , parent unable come stay . April 2004 see cheap deal Hayden review website , thought look decent book . boy , wrong ! arrive , look lobby know make mistake . smell old furniture wear . male receptionist miserable could not even find reservation , take 30 min sort . book 2 double room stick we room 4 people consist broken look pull bed , faulty plug , chip rusty wall door , dirty carpet , break chair , window unable open view brick wall sink main room ! ' ve say , ' ve live new york visit friend live kinda run area ' ve never see room like . even take picture send tour operator book show kind hotel advertising send apology e - mail unaware condition hotel ! bad , actually end spend first night try look another hotel stay ! overall , hotel ruin , suppose , fun trip family spend time street nobody want go back hotel unable find something else easter everywhere book . good thing say thank god not use share bathroom nasty obvious cleaner not really job can not complain either one saw not speak english . the people discuss poor student live hotel can not afford live elsewhere . acknowledge place dump not even advertise place hotel , fact , broken hostel not allow fool . trust , travel New York , stay decent 2 - 3 star hotel wan na feel like live real poverty , hotel prefect choice . otherwise , spend little bit extra somewhere actually liveble ! hotel mess need knock . shame not know site early warn people hope not many disappointment past year hotel , especially people travel far distance use decent standard 2 - 3 star hotel . 
 Mar 21 2005 	 cute clean cold noisy 	 husband come NY quick getaway go broke choose Hayden price , location photo . know would not spend much time room ( close Central Park ! ) , lux room really care . get late , park right around corner , expensive , give key . lobby small nice , old slow rickey elevator give period charm rather fear factor . room smallish bit spartan , adequate love bathroom ( shower divine ) . problem sheet polyester bedspread bed heater seem know job . - finally settle start get warm , people start come back clubs- could hear everything ! ! ! hallway wood floor seem insulation around door ( see light ) like people hallway room ! cold noisy hallway ( foodstep wake sooo many time ) barely sleep . cute clean , cold noisy . be stay next weekend bring earplug quilt : ) 
 Mar 12 2005 	 not believe old bad review ! 	 stay hh last weekend ( March 6 thru 9 , 2005 ) great . staff friendly , room small clean up - to - date , location perfect sightseeing . staff lock luggage room case need leave bag checkin checkout . we see couple roach NYC ! tiny not bother we bit . hot water take heat building old , forgive . midst renovation construction go day , spend time hotel instead city waste vacation . all experience great price . complaint would permanent residential dormitory middle floor resident could little loud . want vacation somewhere without roach , loud people room character , go visit Holiday Inn Wichita . Hayden hall great authentic NYC experience . 
 Mar 3 2005 	 Ignore Old Reviews - Place wonderful ! 	 boyfriend stay Hayden long weekend . return New Yorker , low expectation place ... , wrong ! charming building lovingly redone . staff friendly , helpful energetic ... never feel impose , although expect fact several time . knowledgeable neighborhood able give clear direction great recommendation . & quot ; hostel & quot ; feel hotel . share bathroom long wait elevator create certain comraderie among guest . however , far detracting general elegance place , create even & quot ; old New York & quot ; atmosphere . because bad weather , unable completely fulfill reservation ( reserve room double bed , end settle two twin ) . , however , incredibly gracious even apologize check - out . nice see not simply do forget . , point GREAT attitude staff . 
 Mar 3 2005 	 get well ! 	 stay eight day late February . room third floor recently remodel everything one could ask place sleep : firm bed , working & amp ; new tv set , functional albeit small bathroom hot shower . staff reasonably friendly . only con : renovation still full swing , prepare noise people around hallway . otherwise , due great location good pricing , place might become one NYC 's good deal . 
 Feb 3 2005 	 Visitor Chicago 	 book hotel line photo reflect room . go friend girl weekend give we room one bed . able change small room two single bed heat barely hot water . toilet could flushed hour . also learn hotel home many people NYC medical treatement live hotel . building seem potential remodeling overall place crash . look relax room place . 
 Jan 17 2005 	 think walk back time 	 imagine live NY early fourtie , hotel amazing potential . location wonderful , around corner every scene ' you ' ve get mail' . the bad curtain share bathroom window 7th floor . like go camp share bathroom . I love Old building amenity except free shampoo hand lotion . might stay ... definitely share bath , US Europe ! 
 Dec 2 2004 	 bad people make ! 	 nervous stay read review , take one person 's advice call prior leave request finish room . after expect bad friend find room clean warm . ok 's Hilton can not complain pay peanut great location . refurbishment nearly complete top three floor look amazing . we find staff friendly , suggest place breakfast visit every day stay . Don ; put early review , really not think will disappoint Hayden Hotel . 
 Nov 7 2004 	 bad ... 	 stay Hayden Hotel 3 night late October 2004 . read review page would book hotel , call ( several time ) make sure get renovate room . room 6th floor small , finish ( except door trim ) decent standard clean , shared bathroom . room working sink appear new . linen clean change 3 night stay . front desk staff reasonably friendly . still construction work happen hallway 6th floor comment hear guest , floor well . talk guest stay room run water . overall enjoy stay Hayden . be not bad , great location , good value ( pay $ 85 / night ) . make sure ask renovated room ! probably would stay hotel could not find anything else price range , first would try : Larchmont , Hotel 17 , Belleclaire , East Village Bed Breakfast Broadway Plaza 
 Oct 13 2004 	 Pleasant Stay 	 stay weekend town friend 's wedding . stay one hotel 's new room . nice , clean spacious . chance go American Museum Natural History street . 
 Oct 12 2004 	 people operate place put jail ! ! ! 	 crook operate property put jail . not fool picture room web site ... stay . room bare light bulb hang wire 's light source . electrical wire run wild throughout room . levelour blind bent broken . flea infest , bitten , mouse . blanket bed . toilet paper place floor due lack holder . never life stay anyplace utterly horrible . emphasize enough , stay ! ! 
 Oct 11 2004 	 run ! run fast ! ! 	 Run run away fast garbage dump ! room stay ( 418 ) absolutely disgusting thing ' ve ever see . carpet moldy , stain old . wall stain God know . bed not mattress pad could hope sheet clean . clincher rat trap bedroom . could not sleep well see . know else live hole hotel . 's pity charlatain owner pit not take pride great location . let reiterate ... run Hayden hellhole . 
 Oct 10 2004 	 think ' House Arrest ' Soviet Russia circa 1966 half way 	 thank god Trip Advisor help disgruntele traveler like we find closure get screw . ok , know find decent cheap hotel NYC feat . find good location whole ordeal . come city vacation book hotel w/o see review site , course , luck would . get reasonable ( NYC ) deal room bathroom . could not bite bullet share , not even want know would like . see pic website would think would kind similar , luck . let paint little picture ..... outside bad . pull , think , ok , could bad . posh part town , Central Park West . cute shop restaurant abound . great ..... til enter . staff fairly surly depend check . elevator smelly small , 's elevator- 's time machine . sudden transport Cold War Europe . renovation underway buliding crap around . hardwood floor hallway provide way noise bounce around nicely guest room . say Cold War Europe , kid . art wall , dirty scuff . mold around door , room nice drafty hear maid trill early morning . not even provide & quot ; disturb sign & quot ; get know maid would like admit . the bedsheet threadcount 2 . glad not uv Light see . God know wash . really thin , use scary scratchy blanket provide warmth . bathroom do particularly clostorphobic shade grey tile make feel small already , proabably special Home Base . so highlight stay palatial retreat . feel well 's chest , maybe persuade away Hayden Hotel . 
 Sep 27 2004 	 bad hotel ever ! 	 book room hotel online , describe & quot ; first class hotel & quot ; & quot ; beautifully appoint guest room create air tranquility . & quot ; Rate quote 130 night single . give room third floor . read bed , two mouse come bedside table , dresser . ran around floor . , light , not seem care . neither management . travel NYC every 3 week , absolute bad , disgusting experience hotel ever anywhere . stay away ! ! report NYC Dept Health , hope close . 
 Sep 25 2004 	 terrible hotel 	 terrible hotel , unfortunately not know site therefore could not read review . come hotel late night shock . toilet room not work properly think twice use ( know mean ) . room fall apart ( old dirty cupboard ) noise go constantly due renovation floor . ' go hotel not try save money well add $ 20 rent normal room go hotel . 
 Sep 13 2004 	 bad Hotel ever imagine ever stay . 	 list issue Hayden ... 1 ) blanket bed disgustingly stained.2 ) sheet little black hair them.3 ) paint peel walls.4 ) something brown splatter substance wall room.5 ) randon sink corner room would convienient consider share bath actually hooked . girlfirend actually pour rest drink drain find drain floor . 6 ) tv non - functioning remote . the hotel overall dirty dump . claim renevation , see review say 2003 ( hmmm ) . hotel employee absolutely interest help we issue . , understand get pay . rate hotel cheap . without major ammeditie , put plain unsanitary condition . believe try dramatic say picture mind crack house would look like , Hayden Hotel fit image perfectly . 
 Sep 11 2004 	 would not bother go back 	 ok jus recently get back hayden hotel reading review go really scared ... upon arrival building do not look nice mean I m eager see room .... hotel lobby ok ..... upon arrival room renovation still do floor ( 3rd floor ) .. room smell old musty ok spacious enough 4 people ( 4 girl ) ..... shower bit small running water ..... bed , sheet towel clean change everyday ... stay 21 night last week that s wen problem start ... start get big cockroach ever ... summer window open could maybe accept ... start get mouse / rat whichever ... that s thing get really bad .... move we room get away mouse ... move room mouse well .... supervisor not give toss ... rude ... compensation ... nothinafter hotel beginning might considererd go back see mouse way .. mean u go holiday u do not stay hotel anyway sumwhere rest .... cleaner nice none thing steal .... opinion not stay pay else ... people post site get hotel nice hayden price , please post name f hotel know lok next time . 
 Sep 7 2004 	 absolutely horrible ! ! ! 	 give Hayden even hint consideration plan vacation NYC . group promise first class accommodation . bad place ever stay travel . promise world deliver nothing . place floor renovation begin every morning promptly 08:00 . tell ahead time , guest stay floor work . tell first class , 3 star hotel luxury , half price , completely untrue ! believe anything tell , true ! ! place old , dirty , construction staff non - responsive need . pay extra 20 dollar night stay someplace else , thankful . 
 Aug 20 2004 	 could well 	 stay September 2003 , still seem renovation go although not hear construction room . different floor look like varied widely far along update . maybe hotel would worth try 's remodel , would stay . price , expect luxury accomodation . however , expect basic standard cleanliness , hotel . example , sheet room change entirety 7 - day stay ( could tell noticeable hole , along small blood stain ) , bed make half time . share - bath room , huge hairball drain shower several day time . keep get big big ! not disgust want safe convenient location , mean , stay . would not . still get little queasy thinking . 
 Aug 2 2004 	 Old Hotel 	 not read review either ! ! would well stay tree house Central Park ! ! staying feel like middle Urban Renewal project . stay 3 night , 3 many ! 5 pm one nite maid decide come room & amp ; tell rest finally stop try knock door ( knock door try open first ) . would like see hotel finish let people stay price subway ride ! ! regret tell people check we run fast tree house Central Park ! OHHHH 'S GREAT HOME ................. 
 Jul 29 2004 	 wet carpet cockroach ! 	 friend stay hotel may 2003.the room small blind dirty would not come . one day stand bare foot carpet notice wet leak shower ... guess mold sponge huge . the tv barely work . friend spot cockroach big hand one day hallway . our room adjacent next room separate thin plywood door . next door neighbour try get room probably think wardrobe door . towel bite dirty humid . the good location , pretty close 79th street station 1 - 9 train . Won´t come back ! 
 Jul 28 2004 	 disgusting rat 	 ok , say 3 star hotel expedia nice pic . turn wrong . wait 2 hour check , see many disgusted guest leave another hotel . mouse come room crack floor would not leave . look like jail cell . add $ 5 stay real hotel . sign site * * * * * hotel cuz nasty . 
 Jul 26 2004 	 Good Bad 	 also book reading review . sooooooooooo scared stay , right budget . go think outside look nice , check area nice ( old - fashion look like ) check guy slow really seem know , checked pay ( require full paymet check ) step small , smelly , slow elevator get scared . squish people one scetchy weird guy , look like may live stay ... anyways lady get 2nd floor see bit hall . stain , dirty , gross . , expect room . well , get 5th floor outside elevator stain , step aside go hall quite surprised . 5th fllor renovate , floorss hardwood , pretty wallpaper fresh , paint lovely light fixture . victorian / old - time looking . seem make alot room , perhaps one time room spacious . alot door ( room ) eash floor . room 516 ( deluxe w / private bath ) small room surprise . nice looking , furniture matching , nice print wall , clean floor , etc . bed however hard rock : ( bathroom small ( may closet ) modern nice enough ( kinda weird smell , flush kinda airplane like , serve purpose . ) think may originally room room otherside hall , cause could hear tv like room ( mean hear ) , long keep door close room pretty quiet someone hall . room work TV A / C.We problem get towel maid service . check 2 bath towel , figure would get next day make room . go desk get would give we 1set ( rain point flood NYC Friday 7/23 , need towel ) maid even come make room 2 3 night , make bed ( change sheet ) take dirty towel soap leave . go get get , give 1 towel need other check , tell maid problem like believe we care . open bag soap stuff notice lotion open half used~ , clearly reuse leave stuff ! well room - wise expect , expect get normal amount towel . customer service need improve maid service need regular something . like saw hear , like seem make room people check of . it fine budget , think would stay unless $ $ wise . would bring towel ask room ( 516 ) already know ok , really would want gamble reading room . 
 Jul 16 2004 	 review pretty accurate 	 , like many , unfortunatly read review book trip . make check without much misshap ... think ! midnight check ( lobby shabby , perhaps wrong apprehention ) . hallway 4th floor still construction zone drywall dust partly paint stuff everywhere ( ok review right ! ) . open door already someone sleep bed awoke start scream we ! ( Sorry Buddy ! ) lug stuff back lobby , clerk not seem surprised appologetic either . tell we last room discover really another room available ... not run water sink ( least plumbing ) ... ok fine ... though another couple steam lobby happy , also tell room also pre - book ! ( problem book also true . let us say happy find new hotel MIDNIGHT ! ) get new room discover wall truely thin . three people normal conversation next room feel like 2 foot ! old spring bed like sleep hammock bed , hey , tired place LOOKED reasonably clean . communal shower morning back though , stand 4 & quot ; water ... next day ask change room due lack water renovation construction zone . move 7th floor marginally well , room STUNK water , pipe connect sink either . second night decide stay friend rather bare kakalaka inn , re - name it . the next night expect friend , though hotel not know . upon return room , hear voice room . due shocking experience last time , decide knock enter ! friend ( thankfully ! ) , tell we tell front desk friend stay 702 . front desk staff say , & quot ; friend XYZ ? & quot ; , & quot ; Yes & quot ; , & quot ; want key ? & quot ; ! remember staff know expect people . security strong point obviously ! think would let anyone give room number . anyway , rest stay ( 5 night ) tollerable . bathroom 7th floor well , though last morning shower door fall ! sheet clean , towel plentiful . elevator slow ever encounter develop opinion must bunch donkey top building pull rope operate ! take stair even walk day MUCH fast ! hotel one would recommend faint heart . staff willing much fact water room , yet pay . must admitt , location great squeemish , budget planning stay room much , would tollerable could likely well . make sure consult trip advisor booking next hotel ! think skip stay Hayden , enough . 
 Jul 15 2004 	 room okay Common Areas Undersirable 	 picture hotel internet site truly depict condition room common area hotel . outside hotel attractive , especially night . hotel go renovation step inside , seem either management short cash require complete renovation , go wrong manner . stay two different room stay , clean . bathroom highlight room renovate . furniture old mismatch . common area lobby , elevator low floor hallway appear dirty stained carpeting , old fashion furnishing . hotel , base pricing , bad deal , inexpensive weekend trip great NYC neighborhood . however travel business impressive romantic weekend , spend additional dollar upscale accomodation . 
 Jun 23 2004 	 terrible 	 one bad hotel ' ve . mean stay two night check one . lift work ( 7th floor ) , bathroom could barely fit toilet , shower clean consist two piece plastic ( would think floor would get rather damp ) , room fall apart dirty renovation noise go constantly . the redeem feature complain rate reduce night . 
 Jun 23 2004 	 never 	 ' m still nightmare ! room would expect price , however , constant circular sawing drilling hall outside room . originally intend stay 2 night , however , toilet back elevator break within first 30 min quickly make arrangement move next day . mean course carry / drag luggage 7 flight stair , management reasonable enough give we full refund 2nd night , manage get 1st night half price ... long list complaint . 
 Jun 19 2004 	 get pay 	 budget Hayden 's price fit bill . hotel nice neighborhood number place grab quick bit 24/7 . enter lobby strike dingy dacor . attendent curteous . inform elevator service walk secopnd floor . halleay lead room dingy lobby . wall water stain piece wall board fall onto floor . open door room stark remind college dormatory room . television barly work cable connection . bed mattress rock hard . bed linen clean . sink middle room . discivere later bathroom room . community bathroom hall . bottom line : want save money Hayden fine , however pay little stay someplace else . 
 Jun 1 2004 	 fine money / location 	 read review hotel book two night . let tell scared death staying , arrival everything settle . renovation currently full swing -- stay fourth floor already room redone . hall flux , ? bed comfortable bathroom , admittedly tiny , give plenty hot water . room clean tidy , dust- bug - free . in - room a / c unit work fine , although tourist high summer might want bring small fan . disturb noise foul smell feel safe room . price location , think reasonable . management nice , , offer cough drop allergy kick upon arrival NYC . quite courteous . place definitely Ritz , budget - minded traveler travel singly pair , hotel great place hang hat end long day sight - see . remind bit pensione stay Florence , necessarily bad thing . 
 May 27 2004 	 clean adequate pity shoddy renovation . 	 MAY 18TH-21ST 2004 read review , pay full three night stay alpha - bed , dread go Hayden . become even concerned contact representative alpha - bed say could guarantee room would clean ... say never could comment . feel advertise accommodation fail meet basic standard . have cancel have lose £ 50 anyway visit imminent concerned would not get anywhere else Upper Westside keep reservation . son go equip bedding towel fear bad . in event room ( 710 ) clean , new carpet , new bed , nice enough furniture , nice picture wall , clean bedlinen towel , air conditioning unit staff nice ... especially Jolande ! side , renovation extensive poor standard ... bedhead nail wall fall attempt move bed , sink room attach leak plastic pipe water simply gather cupboard underneath couple hot day begin smell , drain shower high base water not drain properly become offensive heat , shower cabinet makeshift rail hanging . general decor pretty poor . light could switch pull ceiling cord ( 5 ' 5 ) could reach , fortunately 6 ' 2 son could .... light room . greatly relieve Hayden bad have fear . however , leave feel disappointed owner/ management sit gem great location make hash renovation . improvement make last ... new mattress protective cover plumbing fitment workmanship awful ! ( 50 + ) might return 23 year old son definately will not ! ! ! ! 
 may 25 2004 	 absolutely filthy 	 filthy , disgusting , unsanitary hotel ever stay . would well pitch tent Central Park . room air conditioning , fail mention website , temp . night low 90 's . room mice ( plural ! ! ) full roach . bathroom hole wall allow see right pipe neighbor 's room . wall paper thin . door , huge crack , paper thin secure . feel unsafe . check stay one night ! 
 Apr 21 2004 	 Good Basic frill hotel 	 get back stay Hayden leave , read review ( negative ! ) expect worst get . stay 412 shower / toilet although small could do lick paint , clean , meet need . lady reception nice housekeeper friendly ( big shout Yolanda ! ) english first language ( hispanic ) try learn bit spanish , ( Hola Gracias ! ) go long way . room clean everyday fresh towel leave sheet change couple time 5 night stay . look something cheap clean got . would rather pay less hotel , consider amount time spend room save penny shop ! great location , right next central park subway close , good shop coffee bar right round corner , deffo go back next time go ny . communal bathroom clean slowly re - decorating place . safe clean cheap ( NY standard ) hotel . wide variety people stay , people meet stay .... can not bad ! ! 
 Apr 21 2004 	 bad hotel ' ve ever 	 go April 2004 - place dump . dirty , lot thing break damage ( like window not close ) , shower enclosure window break , curtain , filthy carpet , electricity wire open etc etc - list endless . place health hazard close . well spend bit get decent place , regret staying place . 
 Apr 8 2004 	 ok price 	 stay one Saturday night August 2003 . location awesome - right near Central Park , Natural History Museum great Sunday flea market . expect price - place starve artist might live . ( make feel like real struggle New Yorker & lt ; g & gt ; ! ) room decent size , functional tv , wash basin , two twin bed ( push together ) even private toilet - around $ 90 ( include tax ) . toilet crack though - small airplane toilet obviously add afterthought . walk one step large person would fit ! one complaint elevator take way long get floor ( near top floor ) keep take step . I stay one night able tolerate room b / c location nice . even find free parking right street step hotel ! 
 Jan 26 2004 	 almost acceptable 	 pleased girlfriend first arrive hotel -- location good ( right next Central Park , two block Zabar 's Sarabeth 's , close couple different subway line cross - town bus ) room tiny perfectly fine . problem come night , realize everything next room ( previous poster say , obviously part room , partition thin sheet plywood ) audible us wall . 2:00 clearly hear TV ( X - Files ) , conversation ( hot manipulative girl one ) , cell - phone argument ( someone Chicago , time someone 's sister get home date ) , nose - blowing , mysterious steam sound -- everything . though late taste , talk tv - watch particularly loudly . end push bed side fo room , head window sound next door little drown traffic noise . also , minor problem : cosmetically renovate bathroom cheap enough plumbing sink gas trap . bathroom smell sewage . 
 Jan 6 2004 	 oh GOD ! 	 bad hotel ever stay . understand point poster be make , i.e . want luxury pay , stay Paris ( x3 ) , Amsterdam , Barcelona , Cologne many budget hotel always enjoyable experience . usually like spend quite lot money go away , prefer spend restaraunt , bar , shop etc think budget NY hotel would suit fine . always think hotel primarily place sleep , , want go NY spend time hotel room ? always think kind guy would happy anywhere long could get head night .... wrong ! ! book Hayden yahoo.co.uk travel . arrive 13:00 Thursday able check straight away . sit lobby two guy happen ' m London . leave get airport . tell not good , realise attempt understatement year ruin holiday tell truth ! immediately bite suspicous none desk staff speak english , go room could not beleive actually book . absolute disgrace , half imagine would see prostitute crack dealer roam hall ! first night go state panic thought go back hayden seriously consider book Hilton rest trip . one save grace Friday night / saturday morning ( 4 am est ) rugby world cup final go watch Clancy 's pub . therefore do not actaully go bed friday night manage grab couple hrs sleep saturday morning suppose technically spend 2 night hayden . anyway , summise , round horrible experience would advise anyone stay well clear . find much well price , alternatively , really worth extra buck nice hotel . 
 Dec 12 2003 	 fair well price . 	 Hayden rather run . renovation activity go visit , room see , include , top flight . the private bath rather jury rig affair neither invite comfortable . appear hasty installation hotel originally private facility . the room drab , bare light bulb . good side , staff fine clientele mostly middle - class people look bargain . for price , get well accomodation , willing look . 
 Oct 29 2003 	 Hayden Hall good enough ! 	 not problem . main thing feel safe . be real picky , certainly can not beat price . tend walk lot NYC anyway , bed lie exhausted body go next day good enough . 
 Oct 24 2003 	 Best Hotel ever 	 good hotel ever . jacuzzi room bring compimentary breakfast room morning . excellent service . 
 Oct 21 2003 	 * * * not stay hotel * * * 	 book single room one night Hayden Hall hotel , New York 13th September 2003 . website quote check - in time 15:00 . upon arrival witness disturb scene . french visitor ask personal valuable receptionist . give empty box . try ask receptionist look , receptionist brusquely tell . another wait guest look french visitor understandably become irate receptionist , make effort & quot ; take another look & quot ; . correct box find ... wait guest tell room ready yet . stage , time 14:55 . tell could leave luggage storage room . witness disturbing scene , reluctant . end , much arguing wait 15:15 receptionist check we . ask name , receptionist refuse give surname . would divulge first name ( Robert ) probably not real name anyway . fortunately , wait guest officer probably give we bit leverage . room 7th floor . floor decor extremely unkempt old room . everything room least 10 year old . paintwork , fridge , tv , ceiling fan ( air conditioning ) bed . towel stain . bathroom also condition . take shower , wait 10 minute hot water come tap . bathdrain block almost immediately leave swim soapy water shower . funnily enough , venture onto floor night since share toilet occupy . find bathroom / toilet 6th floor completely different story obviously recently refurbish . can not say whether room floor different mine seem get pay . wait guest pay lot room get room 4th floor . advice steer clear hotel unless really strapped cash . spoil night New York uneasy safety factor . 
 Oct 19 2003 	 possible bad Hotel New York 	 need place West Side World Series game . check picture Website , figure go spend 7 hour room anyway- let us give shot . arrive Thursday evening . front desk clerk multilingual ... every language except English . 1/2 hour check , go room . luckily , New York comnfortable 60 degree room heat . not mean heat not work ; room actually lack radiator removed floor leave pipe expose . warm bathroom , let blow dryer run 30 minute . wood floor filthy rug not much well . bed actually comfortable though t.v . phone work . furnishing speak . actually quiet 3 a.m.until 7 a.m. awaken opera singer adjoining room . would advise staying want good New York war story . bad could not disinfect location great right Henry Hudson Parkway exit 79th street convenient subway Lincoln Center . would bring bedding next time along gallon Odo - Ban start drink heavily pass time . not jinx we . see good 7th game history we Yankee fan Yankees tear heart Boston Red Sox yet another year . 
 Oct 15 2003 	 Holy * * * * ! bug bed ! 	 brother stay January 2003 . small black bug bed , duck tape hold break slab glass make window , face towel acting gap window window sill . bathroom rarely toliet paper , break shower slide door jammed- ( scary can not get bit ! ) heat work , front desk refuse give we second blanket middle bloody winter ! AHHHH ! sake , find another place- will put way -- -I have rather sleep floor lobby , room pay .... filthy . 
