ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 oct 9 2006 	 good bed world ! ! ! 	 get back stay hotel . deluxe double double room lovely . room lot nice little touch , bathroom really nicely decorate . the good thing hotel bed - comfortable hotel bed ever stay , marketing literature say , ' we sell sleep ' . certainly ! location fantastic , walk major attraction time , close Grand central station make find way around really easy.i would definitely stay , would certainly look hotel stay different city . not understand place get bad review . 
 Oct 5 2006 	 Noisey 	 Noisey , stay business business traveller ... put penthouse room ok yet keep awake every hour lift . room right next lift shaft finally give 4 am person deliver paper throw door bang . end change room 4.30 morning . staff do not apologise room . find next day three people do exactly ! apart , nice clean bar staff friendly . Foord drink little pricey got . pay , may stay , business , never . 
 Sep 28 2006 	 Good Value 	 great value NYC . room small average 's New York city , not want get room little ? first time hotel Kimpton chain like offer money . 
 Sep 15 2006 	 good price location - nice touch 	 hotel seem get bad review good experience . location - good , walk many place interest tourist close shop grand central station . room - nice , small european standard , bathroom cosy lot mirror helped feel big ! Decor nice lot gadget , frighteningly large plasma tv ! main complaint probably complexity everything ! feel like wire everywhere ! turn light feel like bit chore ! restaurant - tried , lot nice place closeby too . lobby - nice area , free laptop access plus day day planning trip . guest make comment lift ! seem ongoing problem , one operating trip slow thing , especially hotel busy . evening wine reception seem nice idea never take advantage - much sightseeing ! service - overall good , complaint , not challenge way . overall nice place perfect location fancy midtown area . would certainally recommend price favourable . 
 Sep 11 2006 	 go downhill 	 stay hotel come NYC , say go downhill fast . ok , travel time work ' pick tab ' m workinghave stay previously love place , stay one sister hotel ( kimpton range ) Boston call nine zero ( love ) say ' unhappy . list- room service guy keep come back pick tray / collect tip tell too- well thumb , wear menu , travel guide etc- ridiculously price ( even corporate rate ) - $ 17 glass wine deliver room ( not get ask glass bottle ' put poor humor ) - Elevator come service- $ 10 per night internet- espn entire stay ( miss Monday night football ! ! ) - Excuse - ' it be whole hotel'- tiny bathroom ( funny , not notice last time round maybe b / c not issue ) - Minimal towel not particularly softi could go ..... find somewhere else use $ $ $ save dinner bryant park somewhere else fun . 
 Aug 8 2006 	 great boutique hotel mid town 	 wife , two teenage daughter spend week 70 Park locate 38th Park Avenue Murray Hill area NYC . hotel park Kimpton chain nice small hotel find around country perhaps 10 city . find Kimptons great chain ; 70 Park need . stay Aspen , Denver , San Francisco ; find corporate concept hospitality luxury perfect we . upgrade deluxe king room increase wife comment size deluxe queen room ; girl deluxe double double ( two double bed ) spacious . room totally upgrade newly decorate , welcome change normal tired , small , boring NYC hotel room endure . cost unreasonable quality , staff wonderful . concierge make reservation delight , doorman keep track daughter , manager ' free wine taste afternoon lobby give we chance meet many traveler compare note . hotel choice NYC . 
 Aug 4 2006 	 Good Choice Regrets 	 not NY hotel experience compare hotel , simply walk around downtown area , ' m convinced location guest want business - like stay , away hectic , noisy , touristy area . think city nut , escape crucial ' ve take . I stay hotel 98 - 102 degree day city could conserve energy avoid blackout . hotel one work ( slow ) elevator power company impose mandatory shut - down elevator - least hotel 's explanation . true , 's circumstance beyond control . staff good could - walk stair misfortune guest staff . pressure , staff perform well . I would not call hotel 4 - star luxury stay . simply nice pleasant . clean , comfortable bed , great tv mediocre air - conditioning . negative opinion wi - fi additional charge per day , although lobby provide computer free internet access - coffee maker provide room - room service limit menu . Kimpton hotel spoil opposite . NY city , everything cost money . 
 Aug 1 2006 	 price right 's fine 	 spend weekend July 29 - 30 , 2006 70 Park . location convenient . staff polite . build room clean . decor tasteful . 70 Park price range good great hotel , be fine place stay . if consider 70 Park possible luxury accomodation , be . room small - place would casually lounge extend period time . bed linen top class would find luxury hotel . bathroom small - mine probably 4x8 foot , thing like toilet paper holder bathmat constantly shift use bathroom . number electrical fixture room work . one two elevator service , make long wait . pastry coffee offer breakfast lobby step motel 's , huge step - certainly good could purchase shop area . polite staff particularly friendly helpful , one two doorman . few five knock door maid service morning check - obviously know enough wait check . list complaint , illustrate 70 Park may pretention luxury boutique hotel , 's reality good , limited , small hotel . be look luxury , be likely disappointed . be look splurge , place . 70 Park 's price seem reasonable good small hotel central location , will satisfied . 
 Jul 30 2006 	 agree OK 	 agree recent review 70 Park Avenue ok , great . I arrive Friday afternoon assign room 1709 . like idea top floor . one elevator order leave 1 passenger elevator freight elevator . however experience especially long wait . room back hotel . view nothing special , suppose relatively quiet regard outside noise . upon enter room immediately hit smell mold Lysol . pleasant . a / c unit dirty black substnace louver assume mold . wipe much could , could see inside unit filthy . open window let little fresh air help little bit . go evening bring mold smell attention front desk . return smell like Lysol , pleasant . the room ok sized NYC , nothing write home . plasma tv nice touch since take less space , incoming signal nothing special . try use dvd player play audio cd , could not get sound even follow direction . wireless internet extra $ 10.95 day , think ridiculous . two computer publicly available downstairs free . there lot hall noise night want sleep late morning forget housekeep early make noise hallway . happen set trash collection point right outside room quite noisy . the bathroom decent size . bathtub drain not work properly seem partial clog . also tell front desk one fix issue . overall pay special rate think ok value NYC , sure , nice property price range . 
 Jul 24 2006 	 be ok . 4 - star level 	 boutique hotel 38th Ave Park . location quite convenient Times Square area ( 30 - minute walk ) . staff helpful friendly wife generally happy stay . however , not think claim 4 - star hotel . the room size normal base New - York - hotel standard clean well - lay - out general . Plasma tv nice addition ( high - definition channel offer ) . however , sound tv keep cut time time take 3 visit 3 day fix . another thing expect put utility closet right guest area . wife constantly awaken open closing closet outside room room - clean hour morning . also concierge service helpful . end book afternoon tea Ritz Calton . summary , think good hotel stay ; however , expect pay attention small detail 4 - star hotel claim 
 Jul 23 2006 	 okay great 	 spend weekend 70parkave hotel neutral experience . book hotel 's website & quot ; hot night & quot ; package , insist room third floor - third floor noisy street . get quieter figure window 's track get close properly . concierge steer we mediocre restaurant discribed & quot ; terrific . & quot ; bathroom good one , two girl - cramp . wall thin . pretty good neighbor , loud moment give we sense could . think try different hotel next quarterly visit NYC . 
 Jul 19 2006 	 first class 	 nonsence hotel everyone door man clean person well make sure pleased . can not wait go back NY stay Hotel . 
 Jul 17 2006 	 another good kimpton experience 	 city travel kimpton hotel , usually stay . think provide consistent level service reasonable price . opinon reaffirm two night stay 70 park avenue . travel family two room . one queen one two queen . NYC room decent amount space , include desk big flat screen tv . staff friendly helpful suggestion . 70 park ave nice location reach much manhattan easily . unless willing shell $ 500 + per night , think 70 park ave great choice manhattan . 
 Jul 10 2006 	 Nice Boutique Hotel convenient quite location 	 get back one night stay July 8 , 2006 . experience good exception noisy family share door room . hotel , beware share door room stranger . kid loud think play hallway . approximately 1:30am , finally decide enough enough get ask neighbor keep . surprise , one hallway . realize light shine underneath 1 - 1 1/2 inch space floor adjoining door , noise come behind door . ' ve stay plenty room adjoin door never experience . think maybe carpet rather tile flooring , noise would possibly bad . late switch room pray noise would stop soon . the room stay nicely appoint average size NYC standard . clean . bathroom small be share fine one person . another note , good place breakfast Moonstruck Cafe 48th Madison . 's one block hotel . good , decent portion low price ( least low NYC standard ) . location nice 's convenient Times Square , Theatre District , Bryant Park low Manhattan . would stay again . Hope review help someone else . 
 Jun 2 2006 	 Delightful Oasis will Sad Leave 	 stay long weekend ( sat.-mon . ) trip mix business pleasure . way short . hotel top comfort convenient . great neighborhood friendly people ( yes , New York ) . within walking distance many New York landmark . want go afield ( ) , subway station block away . think everything -- even umbrella robe . 's basic room . ' ve stay expensive hotel U.S. Europe not begin pay nearly much attention detail . hotel 's long list amenity not begin telll story . people make hotel induce smile . example , leave one morning doorman volunteer not go rain ( despite forecast ) -- right ! work marketing 20 year , ' ve become little jaded . hotel impress sock . second - generation tightwad can not believe ' m say , well worth pay extra stay . 
 may 24 2006 	 great little hotel 	 get back 3 night stay 70 Park Avenue .... echo every one else say great little hotel . friendly staff , comfiest bed , plasma tv , good location great little chargable candle call Candela good create nice ambiance . downside would dark corridor , fact ask room view - although get corner room 3rd floor [ 2nd floor brit ] could see Park 38th - see height traffic light - rather noisy night ! breakfast walk two block 3rd 38th go Daniels ' Bagels apparenlty good bagel cream cheese town ! would recommend stay . 
 May 12 2006 	 want feel welcome New York ? go 70 Park Avenue Hotel ! 	 long trip ( 8 1/2 hour flight plus bus trip city ) , friendly staff smile face real sight sore eye ! reservation smoking room , also ask Park Avenue view ( want face dark alley back ) . staff convince available smoking room nice Junior Suite reserve since table front hotel smoking permit , take advice . the room large ( New York standard ) . fluffy bathrobe , fluffy towel , great shampoo body lotion large bathtub / Jacuzzi ' ever see New York hotel ! forget mention flat - screen tv , cotton - sheet , plumb pillow extremely comfortable mattress . this hotel deserve ' 4 star , even though hallway bit dark dinghy door could use paint . lobby small , want spend time , free coffee morning , free New York Times apples grab lobby . the bar / restaurant renovation , drink breakfast available weather nice enough grab coffee sit outside ( starbuck 3 door , case want breakfast 7.00 ) .Having live New York , know Park Avenue quiet night although usual New York traffic day long , sleep window open night . a great place well worth money ( get much special rate , book last minute ) - thing consider , 400 $ well spend would definitely stay . 
 Apr 17 2006 	 70 pa : excellent under - rate 	 stay 7 11 April , pick $ 195 / night Priceline , little apprehension give review post . enjoy splendid time : great location , couple street Grand Central , without quite frenzy hotel , say , 5th/6th Avenues ; enormously welcome staff , particular concierge John could hardly enough guest ; terrific room , extraordinary - eye - 42 & quot ; plasma tv , comfortable bed , adequately sized bathroom . street noise Park Avenue minimal interruption adjoining room corridor . stay previously Sofitel , Bryant Park , Barclay Inter - Continental , Hilton 6th Avenue , Chelsea , Algonquin , would put near top list , probably tie wonderful Sofitel . $ 195 / night .... ! 
 Apr 14 2006 	 love 70 Park Avenue 	 four we get home six night stay 70 Park Avenue thoroughly pleased . location convienent quite . room clean , bed comfy love flat screen tv . staff exceptionally professional , time friendly helpful . would defiently recommend 70 Park Avenue Hotel , would stay return trip . 
 Apr 2 2006 	 good time 70 Park 	 recently drop NYC one night visit stay 70 Park Ave . travel two dog select hotel pet - friendly also locate close activity plan trip . upgrade room end hallway room large , clean beautifully decorate . flat screen tv definite plus want catch Final Four action . bathroom surprisingly large well - not expect much especially read review . room face Park Avenue not hear lot noise window shut . however , warm building ( apparently , not turn bldg AC ) window open part evening . definitely hear street noise not anything would keep night . plus bed comfy , be hard get good night 's sleep . overall , great time . service excellent definitely come back . 
 Mar 6 2006 	 definitely go back 	 like lot reader , not sure expect 70 Park Avenue read good bad review . honestly say ' m happy not let bad review change mind stay , moment walk door well look . stay King Deluxe room comment room type room beautifully decorate , spotlessly clean tidy . admit bathroom bit small side , adequate . bed possibly comfortable bed ' ve ever sleep . first night tired flight decide go far , end dine Silverleaf Tavern inside hotel , probably enjoyable meal 5 night New York , anybody dine definitely recommend pork . overall would recommend hotel every person go New York , ok , Times Square like many hotel , literally 10 minute walk around corner action one direction 10 minute direction Empire States Building , nice quiet Park Avenue location make seem like world away hectic Times Square area . 
 Feb 20 2006 	 great - little pricey ... 	 terrific stay 70 Pk Avenue . alone , opt small bed therefore slightly cheap room , reward huge bathroom ! colleague king size bed , tiny bathroom , be worth check get advance . overall tho , really good stay . 
 Jan 19 2006 	 one avoid 	 stay hotel favourite hotel ( Regency ) book part trip . first room give noisy a / c system outside window result barely sleep first night . move another room much well room small . the standard maid service poor , room not get properly clean . staff front desk helpful would basically ignore deal somebody else - acknowledgement wait ' will soon ' type comment . I safety deposit box would bring place front desk , privacy . really not like go safety deposit box publicly . I regret stay hotel would not . 
 Jan 16 2006 	 depend room ! 	 always curious hotel either rate one dot 5 dot - . $ 200 Kimpton gift certificate want cash . always good experience Kimpton property , bit hesitant read one dot review . stay 70 Park Avenue , understand point spread - depend room . partner stroke luck . assign room 902 . bellman mistakenly take we room 910 - look number door , maid leave use pass key . room great . clean , well decorate , large NYC standard , nice plasma tv - directly front bed , ok size bathroom nice french product . love room ! first time many visit NYC want spend time room . room face Park Avenue bit noisy , great ! return room lunch key work . check key envelope realize wrong room . go room 902 key card work . difference ! 902 small , window faced wall , tv front bed , side ( would impossible watch bed . ) fortunately , management let we keep first room . understand people hate hotel other love - would please small room . make reservation , ask room face Park Avenue - worth put street noise nice room . service good , wine reception nice , guest staff friendly . want go back . pay $ 225 / night special & quot ; hot rate & quot ; list Kimpton web page . 
 Dec 17 2005 	 never return 	 stay hotel several time business pleasure . never , ever go back . first time , room door not close lock without repeat slamming . another time , a / c break , room unbearably hot , refuse service restaurant , empty , plan order full dinner , tv room break , staff rude , laundry trolley hall , 4åm fire drill ... another time , heat even though 70 be outside , front desk staff promise would window a / c give room none temperature 80 . staff consistently rude pretentious . room clean ( bath jaccuzzi black gunk come jet ) . other ' ve speak tell expose electrical wiring water dripping . price pretension , expect much . 
 Nov 16 2005 	 Depend want want ! 	 first hotel clean , nice & quot ; drink & quot ; welcome wine ( 17h & amp ; 18h30 least friday saturday ) . get room 8th floor view brick wall room ! . room ok term size bathroom extremely small , even regular bath . ok not go NYC hotel bathroom travel wife would like add romance touch take bath : forget ! need room get sleep walk day , perfect . well locate . , clean . want hyp NYC , pass on . we pay 350 $ night ( kind last minute trip , not help , guess ) . price , would expect Design hotel ... NYC seem ... plus , pay 42 $ night parking valet guess , bring back car 12 & quot ; inch white scratch passenger door . say garage pay ... still pende news ! always thing : good ? always come back basic : look ? maybe last factor much pay ! next trip , would try somethiong else , look design Hotel ... 
 Oct 28 2005 	 room small side comfortable 	 Stayed august . hot outside room actually nice relief heat . although little small side , invite accommodate . service nice , personable . 
 Sep 22 2005 	 will stay every time come ny 	 female business traveler be sample several hotel ny , truly appreciate rare find -- bright , light , clean , well - situate hugely expensive hotel feel safe pampered . great neighborhood , spotless room , friendly staff good recommendation local eatery ( 's restaurant , not try -- want good pizza ) . room small ( typical ny ) well - thought - out ; be plenty light working reading ; nice flat - panel tv . room 3rd floor , lots street / traffic noise , not bother , might bother other ; never hear another guest . reviewer note odd placement toilet next radiator sort , turn little sideway 's leg clearance right , , complaint . bed literally good ' ve ever sleep hotel -- linen nice mattress dreamy . 
 Sep 11 2005 	 Happy Kimpton 	 ' ve stay Kimpton hotel Boston San Francisco enjoy boutique feel warm touch unique Kimpton wine tasting , massage San Francisco . I say , trip must call modify stay less 10 time . illness family thing air . every time representative speak professional , helpful even thoughtful . change have make certainly would room error , , able check early - room request ( away elevator high floor ) . quiet kind hard come , Manhattan . would much rather view little noise . love comfy , soft , invite bedding . robe great extra , love Thymes product bathroom . color scheme sophisticated throughout newly renovate hotel . everyone encounter hotel professional curteous , even friendly . room service breakfast efficient tasty . retrieve car take amount time bellman say would . concierge make dinner reservation promptly we . Bellman always smile . yes , room small - time room , not matter . we will definitely stay Kimpton . 
 Sep 3 2005 	 extremely disappointing 	 although appreciate New York hotel room sometimes small side , room size ridiculously small ! husband turn sideways enter bathroom , even one person could stand use facility . husband actually injure back negotiate wardrobe bathroom . hallway dark often block laundry trolley , negotiate get room . ask move , tell room available unless want pay lot money upgrade . expect think 4 * hotel ! would stay hotel , recommend . 
 Aug 5 2005 	 Quaint Hotel Great Location Nice Stay 	 return 4 night leisurely trip NYC . trip turn wonderful weather great plenty time see everything plan . the hotel average . pleased location , Park Avenue 38th street . upon leave hotel lobby , look Park Avenue see Grand Central Station facade Met Life building . starbuck 39th Street one block Park , go every night nightly walk . exhausted go much : ) hotel room quite small , quaint lot nice detail . example , bathroom , toiletry average , fixture nice , shower great tile good water pressure plenty mirror . hair dryer iron provide room , pretty important wife . hate pack kind stuff . robe closet thick cozy . robe person , wear one every night . bed 70 park wonderful . huge body pillow , unique we . pillow , comforter blanket sooo comfortable . make easy fall asleep long day sightseeing . also full size mirror ( huge ) one wall , do not normally see hotel room . con : plasma surround sound system work well . sound keep crackling volume would vary loud soft flip station . seem like station volume control . inside outside hotel little noisy . housekeeping staff constantly slam door go room linen closet . outside hear typical blaring horn even though 15th floor . review site mention toilet flush radiator . room . issue ( room 1504 ) . another con add one computer guest use . however , whole hotel Wi - Fi although do not laptop take advantage it . the staff friendly come go hotel concierge help we couple different occassion . recommend good restaurant Century 21 shopping Trade Center site . hotel hold bag couple hour last day flight 6 pm . also , room ready 2 hour check - in , pleasant surprise . anticipate wait . many pluse minus . would highly recommend hotel get good rate like ( Orbitz ) . 
 Aug 4 2005 	 nice neighborhood okay room 	 first time ny - expect small room , small drawer space ( one drawer ) okay - sized closet ( 10 wooden hanger closet , iron board iron , safe ) . bathroom decent - sized , good toiletry , shower great water pressure temp . hot , A / c work well , cool room probably 75 - 80 degree ( low - mid 90 stay ) . plasma TV great ( room regular tv ) , bed linen comfortable . friend room two single / double bed much large ( & quot ; queen & quot ; bed ) . love neighborhood - great pizza breakfast couple block away , good shopping well . 10 - minute walk Times Square - like main hustle bustle , able walk easily . concierge helpful , like wine taste late afternoon , bar make excellent cosmo . eat restaurant first evening , food good . hotel also 24 - hour room service , come handy long evening . service good , always someone helpful front desk , two computer use lobby , everyone friendly . I would stay get good rate - would definitely stay Murray Hill area . can not wait go back NYC - wonderful time ! ! 
 Jul 25 2005 	 good 3.5 star boutique 	 first , pro - lobby room decorate nicely , minimalist / modern / european styling comfortable . room decent size New York standard , be go able throw party . not dresser , decent sized armoire . bathroom large well stocked . bed comfortable . everything clean . first hotel stay plasma screen tv , nice . second , con - hallways narrow dim , old building 's forgivable . room bite rough around edge , scrape , rough trim work , etc . service , overall , sporadic - sometimes door open , sometimes not , sometimes bell hop around , sometimes not , sometimes wait front desk awhile ( check ) , sometimes help thing right away . finally , one two elevator break Saturday evening not get repair checkout Sunday . 20 minute plus wait get 17th floor Sunday around noon - good ' ve somewhere , like airport . will not happen time , boutique hotel old building , thing like happen . overall pro outweight con - 's solid 3.5 star boutique - get good price , worth many 3 star hotel NYC . would stay . 
 Jul 24 2005 	 comfortable stay . 	 Overall enjoy stay much . staff fine although room quite small comfortable . downside slide bathroom door difficult use , lack storage room next linen store lead we getting wake early every morning . excellent location , bed tv . never use restaurant appear bit pretentious side . would definately stay . 
 Jul 19 2005 	 overall decent hotel 	 book hotel Priceline , bit worried reading review . overall , pleased stay , acknowledge complaint . first , writer indeed accurate toilet ( right next heater ) closet ( small ) . would also argue four star hotel , three star . give pay Priceline , feel get good deal three star . pay full price King Deluxe room , would feel overprice . room also bite noisy , could hear street noise 15th floor . however , much problem . also problem air conditioning , bed extremely comfortable . I disagree rater staff , cleanliness , room size . find staff friendly helpful . also see evidence dirt dirty room service dish . hotel room spotless . room also reasonable size NYC hotel . stay much small room NYC , happy . king deluxe , ask upgrade , can not speak size standard room . overall , good deal price pay . would stay . 
 Jul 7 2005 	 impressed : Nice small 	 Awesome service expensive , consider fact , bar , 's activity hotel room small without even mention size bathroom . even though nice clean coveniently locate trouble A / c . hot temperature could not adjust without help . 
 Jul 2 2005 	 Bad Great Depending Room 	 Kimpton reservation agent treat we badly call request double bed no - smoking , say not note request people book Priceline . say would take left check - in time . would even make note late arrival say would hang call hotel directly , could transfer we . lie ... next agent speak happy make note even transfered call hotel . first room noisy machinary outside window ( noise 24 hr / day ) , sound tv keep go , air conditioning work . room temp . go 85 degree finally move another room . send bellman help poor attitude . new room noise free , comfy , everything work . check - out ask we stay express displeasure first room , snotty reply thankful upgrade get second room . ... basic room terrible , upgrade one good expensive end . 
 Jun 22 2005 	 disappointment - recommend ! 	 book hotel ( priceline ) 4 star hotel . idea give hotel rating . due respect reviewer , fact bathroom villeroy & amp ; boch sink glass tile make 4 star hotel - particularly shower full black mold / mildew bedding shabby . 1st day stay trickle hot water , morning , water . addition , A / c woefully inadequate . 12 hour water , finally tell we could & quot ; use bathroom & quot ; room next we . finally , agree could move another room ( offer help we move , fact , require go downstair exchange room key ) . 2nd room even small first , yes , true bathroom small sit sideway use commode . wall heater right next toilet - also wonder would happen winter room . housekeeping service atrocious , clean room 1st 24 hour . dirty room service dish sit hallway 2 day ! also vacuum , clean cart , etc . leave hallway day night . hallway already cramp challenge get room , especially luggage . hotel live promise 4 star service , yes , noisy although construction go time visit . would definitely recommend hotel . one exception bad experience concierge give we excellent advice restaurant chinatown . 
 Jun 8 2005 	 be ok less 	 first ; ' m demand customer . hotel ok ; staff quite friendly location ok , great tv room room clean not scratch . would not avoid hotel future would not go way stay . 
 Jun 7 2005 	 check check leave ! 	 see photo , hear say & amp ; even see hotel Conde Nasts & quot ; good & quot ; list recently , feel confident make home 3 night recently . one we even go trouble call hotel directly & amp ; ask manyquestion ie : room size , view , bathroom , possible package & amp ; . also learn , like many experienced traveler , check room commit & amp ; . room ( one see site ) large , view Empire State building promise . view street . boyfriend promise jacuzzi tub view Empire State Building , see believe . regular tub & amp ; tile bathroom . nice , nothing fantastic . , sigh & amp ; realize promise something really special & amp ; find , . debated & amp ; figure 425.00 night could well . go Omni , find old & amp ; even less desirable . walk & amp ; look & amp ; low & amp ; behold find Jolly poperty right around corner several room ( check time ~ we lucke ) & amp ; find jr . suite large marble bath & amp ; glass shower , 2 sink & amp ; even bidet . book full suite Waldorf rest trip & amp ; can not tell fabulously spoil feel . room service impeccable & amp ; room know ( 5 large room own ~ you will feel like rock star , least someone really important ) & amp ; corner Park Ave . ! upshot ? upgrade , worth ! 
 Jun 4 2005 	 Beautiful Hotel ! 	 everything hotel amazing ! room beautifully decorate cozy . flat screen tv ! amazing ! staff polite staff ' ve ever encounter . lot travel pleased . location perfect . trying think bad thing say ...... , not thing . 
 May 27 2005 	 Great Hotel ! 	 take trip NYC last month ask girlfriend marry , stay Hotel 70 Park Avenue . location great ( block Grand Central ) , room beautiful , staff friendly helpful . be loss meal , would highly recommend hotel 's concierge . know go ask girl marry show Avenue Q carriage ride Central Park , not sure good restaurant area would , concierge find long show take care reservation two romantic restaurant near theatre district . helpful ! yes , get engage . my complaint would sound tv keep go nothing apparent reason random interval , minor compare great thing 70 Park . 
 May 24 2005 	 great thing say ! 	 stay 70 Park Avenue 3 night May , 2005 . although small , complaint . & quot ; King Deluxe & quot ; room find top small . bed super comfortable ! sheet high thread count cotton comforter . mattress also soft ! room spotless enjoy toiletry , include lip balm ! also enjoy flat screen tv DVD player . service excellent front desk staff always friendly willing answer question . bell staff also helpful , know area offer help need direction , etc . would sure reccommend stay 's 2 people , get big room ! 
 may 22 2005 	 side right 	 wife business Manhatten pick 70 Park Avenue great location many positive review Tripadvisor . notice negative review , reservation , go . experience May 2005 postive negative comment right . good news : staff courteous , knowledgeable helpful . ask something happen right . even bellman give we great recommendation dinner . room appoint tastefully , feather bed , Villeroy Boch sink , glass tile shower hugh flat - panel tv sound system . bad news : room small noisy . latter common Manhatten traffic noise concrete canyon . , 39th Park Ave . noisy indeed sort road excavation city cover huge metal plate . CLANG every time bus truck go . room 1005 , first , corner room unbearable . addition , room small unmanageable two . closet , example , consist 18 inch wide opening . bath room small toilet flush wall heater one sit sideways . sure would work heater . request room change accomplish . Room 1216 , two one - half floor ( yes ) , big , adequate armoire bathroom , spacious , big enough use . although quieter , still hear CLANG night . like Kimpton chain , say tripadvisor review , kimpton create equal . will not go back 70 Park Avenue . , New York , go Washington stay Monaco good get . 
 May 21 2005 	 excellent location great staff . 	 great thing hotel : staff friendly , efficient capable - nothing much trouble - everyone meet smile say hello . travel single woman feel completely safe . room spotless , definitely large NYC standard several nice touch - plasma screen , dvd player . bed comfortable . food - good . order room service prompt , , friendly . location also plus subway taxis close by . now great - heavy working / drilling / street noise morning . not mind sound traffic even ubiquitous honking cab ( New York ) , extremely loud drill pleasant . not really hotel 's fault - be New York probably will not room much anyway . all thing consider would definitely stay - room comfortable , location perfect staff go way ensure welcome look . 
 May 19 2005 	 complaint ! great place stay ! 	 shock bad review hotel . read review keep mind sometimes one time mistake construction street always hotel fault . nice little boutique hotel Murray Hill . quiet area NYC , close many attraction . room extremely comfortable GREAT flat screen tv . hotel staff helpful . wine hour complimentary wine . sure every night weekend . lobby small cute . fireplace table everyone seem hang thi laptop . free internet access hotel . drink bar . bit pricey , typical hotel bar . really enjoy stay highly recommend hotel . 
 May 4 2005 	 Avoid - stay W Tuscany 	 check three night plan 5 night stay . thing start go wrong check . Kimpton website offer free upgrade subject availability , check tell upgrade available . query tell could one $ 40 night . eventually offer free upgrade room ( call premier one ) still small bathroom even small . moreover , tiny amount cupboard space live suitcase . while room clean flat screen tv nice , common part hotel shabby . one decent night sleep , City Hall decide dig water main street right outside room 3 ! ask change room next night assure hotel staff drilling work would . night work continue 12 am . check next day tell lack 2 night sleep hotel would charge early departure fee . offer reduce room rate make . finally , check bill find charge $ 120 two overseas phone call , despite check phone rate hotel operator hand , wrongly quote we local call rate . give mobile we could use particularly annoying . Moved W Tuscany ( next block ) rate much much well . great room , good service far stylish . stay mid town avoid Kimpton stay W Tuscany . 
 Apr 5 2005 	 Great Stay 	 want stay 70 Park Ave great great hotel . research possibly every single hotel NYC , settle one , partly great review great price website . room spacious ( though view ) awesome flat screen tv , big bathroom , etc etc . read many review room tiny NYC one big ( 2 full bed ) comparable hotel ' ve stay around country , nice , stylishly decorate . the location central- close tourist attraction , many walk , subway quick cab ride . staff helpful , even check we room arrive red eye flight around 7 am morning- expect pleasantly surprised since tired wanted crash . so , , recommend hotel visit nyc- nice mix tourist , business people , hipster , etc . 
 Mar 17 2005 	 Kimpton standard . 	 like other stay , experience heat go full throttle Thanksgiving week . staff accomodate , nothing could really compensate hotel heat 80 degree . even window open fan go could bring temperature . ' ve stay Kimpton property enjoy . miss mark . hope work thing hotel potential . 
 Mar 6 2005 	 Great Place ! 	 stay 70 Park Avenue 3 night Feb. 20 - 23rd . impressed ! staff exceptionally friendly room great . bed super comfortable great view Empire State Building window . bathroom plenty big enough . eat restaurant pleased food service . staff pleasant attentive . would definately stay ! 
 Mar 2 2005 	 adore 70 Park Ave . 	 able give hotel 500 star , would . mother , aunt , cousin stay 70 Park Avenue last weekend ( 2/24 - 2/28 ) birthday . moment arrive greet nothing warmth , kindness , utmost helpfulness ... room : room wonderful . great view , 3rd Floor not really expect one . bed comfortable bed would ever sleep . comforter , pure - soft pillow ; heaven . 42 - inch Plasma tv jewel . also dvd player cd player wish use . bathrobe also room , absolute must 're lounge room . bathroom fairly small , water pressure heavenly . come Thymes Limited toiletry ; soothe . service : service impecible . impressed everyone work remember , party , everything trip . epitome friendly . concierge , John , beyond helpful . make sure set weekend , give we information need . birthday , bellhop doorman remember birthday wish happy birthday . John even get ' birthday pie ' card . , ' ve many hotel ' ve never see anything like . highly impressed . the Location : location great . 4 block Grand Central Station . walk distance Empire State Building , Chrysler Building , shop , restaurant , 5th Ave . recommend go Grand central purchasing cake / pie Little Pie Company . delightful . next time go ny definetly stay 70 Park Avenue ... 
 Mar 1 2005 	 lovely room great service 	 stay 70 Park ( 2/05 ) , another great Kimpton hotel . room stylish , clean , comfortable ; bath jacuzzi jet . room average size little large price NYC . service incredibly cordial helpful ( doorman front desk restaurant ) . nice drink appetizer restaurant cozy nook . later , restaurant close ( theater ) get excellent local recommendation another place dine . cab easy get Park . 
 Feb 24 2005 	 Charming Hotel 	 Splendid hotel locate charming quiet neighbourhood Grand Central Station New York Public Library . location ideal make easy travel . room modern average - sized , New York standard . bizarre reason , bathroom large actual room ; bathroom splendid replete requisite toiletry ammenitie man ( woman ) could want . staff extremely helpful -- concierge John recommend arranged reservation one affable delightful italian restuarant City . short , staff make hotel experience worth repeat . 
