absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Nov 21 2005 	 Great Place Stay ! ! ! 	 little worried checking plesantly surprised ! ! ! stay sure ! arrive time check find computer little slow . , staff friendly find we room . exactly reserved . one - bedroom suite , 2 double bed , non - smoking . room 707 suite huge ! bed nice ! everything clean well - keep . daily maid staff great ! guess maid report light bulb , someone come right fix ! even wash dish leave pleanty tea / coffee coffee maker ! kitchenette fully stock plate , cookware , etc ! even dish soap ! sponge pick market along food supply : ) option make something great help ! make breakfest , save money sure . stay 4 night 2 friend stay 3 4 find crowded . sofa really fit 3 people , leave 4th sit floor one dining room tyle chair , work well . seem remodle go suite next door , worker Sat Sun leave 4 ish weekday . check hour kill bus back Boston front desk even offer bag check ! nice ! would recommend hotel stay ! 
 Nov 18 2005 	 neighborhood 	 three thing outstanding Beacon : 1 . Location 75th Broadway , 3 block express subway , directly across Fairway Market Citarella . 2 . complete kitchenette prepare nice breakfast thing buy across street . 3 . guest laundry hide away 6th floor . room big enough , in - room safe , bed old serviceable . desk clerk friendly helpful . problem : concierge not job , whatever may place , , badly . , get cab difficult doorman , delivery truck park long time front lobby . Cross Fairway join crowd New Yorkers take grocery home , will get cab there . in sum , always stay become neighborhood NYC , home sort lose need wait hand foot . and be nice walk Met back everybody else . 
 Nov 18 2005 	 job 	 Beacon Hotel good value really handy location subway wonderful 24hour fairway market accross road . hotel old though NY hotel , foyer modern part ! room , sparkle clean - mould tile bathroom , crack fixture fitting ; say , mini kitchen great maid service make eye . one thing aware - two different room two different trip neither curtain ! ready wake sun ! 
 Nov 17 2005 	 amazing ! ! ! ! 	 hotel great value money would recommend everybodyI stay hotel three friend quad room , lot space . it clean staff friendly . I go back NYC next summer definitely stay Beacon hotel ! 
 Nov 14 2005 	 perfect place ! 	 stay four night prolonged weekend , primarily performance Metropolitan Opera . choose hotel primarily strength review site , subscribe find hotel excellent respect , particularly need full - service hotel , not , like get around . good ideal location , hardly better , subway station two block away ( 72nd street ) comfortable walk Central Park , Lincoln Center Times square . neighbourhood ( relatively ) tranquil , feel totally safe time ; walk alone Lincoln Center Broadway ( 10 - 12 minute ) around midnight three night row without feel least uncomfortable . staff corteous competent room adequately furnish , clean well keep . definitely recommend hotel wholeheartedly traveller . price pay hardly beat . 
 Nov 8 2005 	 fantastic location ! 	 stay Contiki Tour . room clean room kitchennette microwave fridge stove top useful ( fantastic market right across street open 24/7 ) . starbuck corner caffeine addict like ! bathroom spotless . 2 double bed room safe . tv load channel . pay tv well although not time watch . hotel 5 minute walk 72nd Street Subway Station express local line 1 stop Times Square . walk Fifth Avenue back hotel take 25 minute - slow walk . 
 Oct 31 2005 	 wonderful place stay Manhattan 	 arrive home three night stay Beacon . three we share suite two double bed , fold sofa small kitchenette . room huge Manhattan standard . able save money eat breakfast room . hotel close subway , Central Park , Museum Row , Lincoln Center bad walk Broadway theatre district . staff front desk concierge helpful . always try stay Beacon NYC . 
 Oct 23 2005 	 brilliant location 	 spend 9 day Beacon Hotel vacation UK last month . well review local guide book , comment forum make mind . reviewer already state great deal facility comment internet use provide not try . however , Viand cafe next hotel excellent breakfast . not suite , 2 double bed room large . microwave , fridge , stove etc eat 2 3 night excellent market across road frequently comment . addition market deli etc around hotel . in addition positive point real bonus location - brilliant ! arrive Amtrak Boston hotel room via subway 35 minute . subway 5 minute walk away take virtually anywhere . bus go past front door Times Square pleasant 25 minute walk . see expensive hotel midtown , patch area , residential nature much pleasant & quot ; feel & quot ; . 
 Oct 21 2005 	 Location location ! 	 spend week Beacon Broadway 75th St West , surprisingly pleased . room not big ( not spend holiday room ) , clean , comfortable , mod con , good view west ( 21st floor ) little kitchenette microwave , oven , toaster etc could save money get breakfast . but location thing . three - minute walk 72nd St subway ( 1 Train Times Square , one stop Lincoln Center ) , five - minute walk Central Park , good shop restaurant cafe round . staff pressure ( short - staff reception desk small ? ) friendly helpful . we definitely stay . 
 Oct 18 2005 	 great location clean nice hotel ! 	 stay Beacon hotel 3days & amp ; 3 night last October 11 - 14 , 2005 . hotel 1 1/2 block away 72nd train station . arrive early , 6:30 , cold rain lobby warm . could not check - in staff allow we store luggage use restroom refresh . check - in , room cute kitchen equipment + coffeemaker : ) two full comfy bed ; bathroom good size clean ; shower good water pressure ; tv cable channel . 3rd floor , could not see view . room quiet stay right temperature . location greatest ... surround market ( across street ) , bank , diner , souvenir store & amp ; shop . viand cafe right side great -- great food & amp ; service ! come home Time Square around midnight cafe still open , coffe & amp ; desert wonderful . overall , complaint . highly recommend ! 
 Oct 17 2005 	 Comfortable Stay 	 arrive home US trip rate Beacon comfortable place stay NYC . location good easy access subway . fairway market open across road 24 hour . stay expensive hotel downtown say Beacon facility make stay enjoyable reasonable price . 
 Oct 12 2005 	 Beacon great base 	 enjoyable three night stay Beacon . enjoy large room self catering facility . great food store opposite able make breakfast room day . must disagree another recent post -visite diner next door number occasion good food service . it obviously popular like atmosphere . 
 Oct 6 2005 	 good location shabby date 	 Beacon Hotel excellent location . husband stay Beacon Hotel 2 occasion , July August . in July give fresh , clean somewhat date hotel room , different story August . in August room shabby , date could do clean . staff occasion particularly approachable elevator ( necessity 7th 8th floor ) work July August . the lobby hotel swanky , go probably disappointed . 
 Sep 29 2005 	 love Beacon 	 family four impressed Hotel Beacon . room spacious exceptionally clean . the kitchenette god send , fresh tea coffee every day . the location perfect , good selection shop restaraunt moment hotel , Fairways supermarket wide variety food drink , available 24hours day . Times Square 20 minute walk 5 minute subway New York offer . also Central Park 5 minute walk away great kid hard day shopping . all would reccomend romantic weekend 2 like we 7 nite stay touristy thing family . we definately stay recomende friend family . 
 Sep 20 2005 	 Moms take Manhattan -- Perfect Location ! 	 group young mom enjoy Beacon & quot ; Moms take Manhattan & quot ; adventure ! room ideal 4 us rate work $ 65 person . can not beat ! room newly renovate , clean . complaint air conditioner NY unusually hot stay . unit control & quot ; motion detector & quot ; turn motion detect room . everyone still b / c asleep , a / c would turn . lead random , ritual look movement throughout night get a / c kick -- leg lift , pillow toss crazy wave arm get job do , wonder part hide camera show ! never hear motion drive unit -- -we make good lot laugh ! truly complaint ! great location easy subway access wonderful neighborhood feel . highly recommend ! 
 Sep 18 2005 	 location location location ! 	 arrive hotel , immediate impression , well location thought , prove wrong . check problem . give we top floor , must ! room 2511 . view window , well fantastic , room clean tidy everyday , feel like apartment , kitchenette- go chotic supermarket across road , experience delicious goody ! access subway , 72nd street great , 100yrds . local bar , dining , shop etc , behind hotel great , amsterdam street , especially weekend , get true feel new york , rather plastic time square . the bad experience call dinner next door , attach Beacon , Vinard , bloody awful service , attidude ! ! love place , never think would go onto something like , , yes , tell other ! 
 Sep 10 2005 	 reasonable hotel convenient location 	 stay hotel five night September along wife teenage daughter . location wonderful surrounded shopsand restaurant , short walk subway . find situation perfect long day walk Manhattan baking temperature , come back rest drink ( nicely chill fridge ! ) walk local restaurant load cover every price range taste . well stock wine store two door away excellent 24hr supermarket straight across road . regard hotel situate right Broadway suffer traffic noise , delivery truck garbage collector seem appear around 3 am every morning . seem luck draw room get 15th floor consist two good sized bed small kitchen , microwave , fridge ( useful ! ) cooker kettle , plus bathroom air conditioning . fair say room need update , perfectly adequate . to summarise want reasonable hotel convenient location ideal . kitchen useful especially family budget get four people one room cut cost . there facilitie hotel , bar restaurant . we would recommend hotel would stay , depend priority , incidentally pay £ 90 per night family three think good value . love New York can not wait go back ! 
 Sep 8 2005 	 good basic accomodation 	 Beacon Hotel use residential hotel / room place still permanent resident . room self - cater suit common area reception . like motel hotel . fact people cook suite mean corridor smell bit pungent time . we 2 room 14th 25th floor . view 25th amazing . furnishing bite dowdy kitchen really cheap unit already begin look bit batter find room immaculately clean . hint bug , staff helpful , self - cater really useful air - conditioning effective . the Fairway Market fantastic - cater vegan vegetarian daughter well normal range . location good . I would recommend place highly sightsee - er family need base place self - cater . appropriate anyone look hotel hotel service . 
 Aug 25 2005 	 great base explore NY 	 stay August heat think location great . easy access subway , walk distance Central Park Lincoln Centre , good choice restaurant nearby superb food store directly opposite . space suite great - welcome 3 adult negative comment would decor little tired . overall , though , quiet , pleasant hotel great location - would certainly return . 
 Aug 5 2005 	 well ever 	 stay many time time exciting able stay renovated room ( 1217 ) . funky color green , gold pastel . bed thee comfortable overall feel pleasure . guest state place need cleaning , suggestion would individual get glass place spotless undesireable people resident hotel safe relaxing place . try will not disappoint 
 Aug 4 2005 	 Best Beacon 	 reading review individual bias ! love hotel ! live Hawaii try visit New York often possible . one favorite experience stay Beacon . staff truelyoutstanding . go way help way possible . room immaculate thanks wonderful housekeeping unit . youmake reservation via phone , manger staff try toaccomodate request even busy holiday . shop dellight . you need go downtown find special goodie , especiallylove grocery store excellent eatery . convient viabus train see New York . truth ! go tothe Beacon 10 year . think like visit family . have fun New York Beacon . Aloha . 
 Aug 2 2005 	 someone need clean 	 hotel pretty drab not understand favorable review website . need put little style room give floral bed spread . ultimately thing matter clean room definitely happen . also seeem dirty look people live hotel , ? ? ? ? 
 Jul 29 2005 	 graet time Beacon 	 request room top arrive late & amp ; give refurbish room 12th floor . fantastic room everything mean everything brand new , bed not even sleep ! great air con thanks GUYS ! ! ! 
 Jul 24 2005 	 great location well - suit family 	 Hotel Beacon exceed expectation stay June 2005 . excellent loaction - one stop via express # 2 train 42nd St . walk Central Park . Mid - Town madness . Kitchennette grocery store across road result saving . 
 Jul 4 2005 	 delightful hotel neighborhood 	 select Beacon hotel - wife two adult child - proximity Beacon Theatre ; usually stay Theatre District . reserve two room upgrade us suite . room spacious comfortable . staff friendly helpful . , reviewer note , location excellent . close 72d Street subway station , neighborhood relaxed Theatre District . within easy walk distance also Lincoln Center Central Park , two eat , seem lot good restaurant nearby . we return Beacon next time visit City . 
 Jun 26 2005 	 Great Hotel great neighbourhood 	 stay Beacon week end May great . second stay 1999 . plan recent New York trip first think choose hotel downtown . read positive review decide go back glad . stay already start great upon e - mail send Beacon trip , get room request one upper floor back hotel . room 18th floor great view ( even catch glimpse Central Park ) . spacious many reviewer enjoy small kitchenette . staff always helpful friendly . one morning tell tv work properly arrive back room afternoon fix . ' also great , location . next subway station two short block away ( Central Park Museum Natural History 3 block ) neighbourhood offer lot nice small affordable restaurant shop ( incl . supermarket usual suspect man ’ woman ' apparel little pre - dinner shopping ; - ) ) . day sightsee hectic noisy " downtown " Manhattan , enjoy step subway stroll around Broadway , Amsterdam Columbus Ave . breakfast recommend upstairs bakery Fairway supermarket ( many reviewer ) also Viand Café ( connect hotel ) . Monday Friday offer breakfast special find reasonable price good quality . really hope Beacon team keep standard definitely choose Beacon . 
 Jun 7 2005 	 Good Location OK Value 	 ( family 4 teenager ) stay 5 nights- May 31 - June 5th . location good want get hustle bustle midtown . short walk subway ( expect long block ) . area around hotel seem safe even late night walk back sub . room 1 bedroom suite locate 11th floor back hotel . not & quot ; good view & quot ; , ok since not listen noise street . large storage closet locate hallway hang space rear , along 2 closet , one hall one bedroom . bedroom 2 double bed , living area regular size sofa bed , even though tell queen sofa . enough room clothe , etc . kitchen great , especially travel teenager want eat middle night . check hotel , walk across street Fairway Market stock snack , drink , breakfast food . however , not recommend go typical rush hour work , horrible try find item check . read one complaint roach , buy box large storage zip bag store food , along keep food / drink item refrigerator ( 3/4 size regular refrigerator ) . hotel supply dishwashe liquid , wash thing ( glass , flatware couple bowl / plate ) thought would use keep refrigerator also . turn bug ( 2 small roach ) see bathroom . we find employee helpful quick respond request . call room kind leak tub area , maintenance man room less 5 minute . call we back report find correct . constantly ask bath towel , always deliver less 5 minute . several time , leave note housekeeper leave extra towel , leave actually use . the negative thing room bathroom clean could . lot mold tub -- around caulk tile meet tub , corner go tile wall . result , make whole tub / shower area feel dirty . bathroom small ; 1 person time . furniture living area old , upholstery stain grimy look . light bright could , keep window wide open help light . pay $ 235 + taxis per night , think little high , extra space , worth end . friend stay Times Square area last summer , pay $ 195 + taxis per night , room TINY . like location , restaurant area good , would consider stay know furnture would well shape , along clean bathroom . 
 Jun 4 2005 	 great place family 	 stay Beacon mid May 2005.we be family 5 really like space room great location hotel ( close river Park ) .I ' ve see review slag decor - well bit fade matter guess not stay Beacon . if however need good location , good price great space family would definitely recommend Beacon . other thing interest:1 . fairway market great2 . nearby Boat Basin Cafe , Hudson river , great meal drink 
 Jun 4 2005 	 good renovation 	 stay 4 night 10th floor room large , clean full natural light , wireless internet room big plus well . lobby room . neighborhood beat staff pleasant . love place . last day notice another room work staff person tell we model room would come . show we room nice upgrade style decor . back check new room next time . highly recommend place 
 May 31 2005 	 good hotel ... 1970 maybe . 	 stay hotel 3 night end May 2005 . short summary hotel junk couple , maybe suited family . first trip NYC get cheap rate honest would never stay , would gladly pay next visit well hotel . lobby : nice lobby . soon get floor wallpaper show age , door room much least 20 year old ( lock upgrade keycard system ) .room : room BIG , that s good point , child another person would easy live comfortablt . also mini kitchinette microwave , good want save $ , NYC , be worth catch subway back time square heat something .. new york .. pretzel $ 1 , enjoy city . furthermore , alot place around hotel good food hour . location : upper west side : subway approx 3 min walk 72nd street , catch express train times square . ( one stop ) . fairway supermarket across road water , snack want . plenty restraunt around neighbourhood . 's quieter midtown hustle bustle sometimes good thing . other expierience : get room , safe do not work . send tech replace battery . Unpack settle bit , notice bathroom properly clean previous occupant ( bin unemptied , shampoos soap ) . call housekeeping tell , say would send someone right away . wait , want turn heater , heater do not work . 50 min wait call housekeeping , annoyed wasted time first trip NYC tell forget . not even ask room change staff do not seem interested . Figured would enjoy great city sleep hotel . next day early morning room make CLEANED stock . however bare lack heating . internet : offer internet , check mail first day tell go level 2 computer room . next day 1 am also want check email / flight , go front desk , time tell charge $ 5 per half hour ? ? mention yesterday ask , chap say ok that s fine unlocked pc room . not know want pocket $ 5 system be . conclusion : hotel ok get $ 125 night .. worth $ 1 more . the save grace family , see kitchenette may benefit want cooking room . couple 3 night want explore manhattan , hotel crack . cleanliness sharpness room fail rate . 
 May 28 2005 	 Beacon grand ! 	 stay Beacon Hotel 5 night May 2005 . party two adult one child . request double room . room consist two queen bed huge ! ! closet electronic safe ( handy ) . kitchenette micorwave , cooker hob fridge . great 3 year old tow . bathroom grand . toilet flood get block second time staff asap unblock clean . clean room brilliant , come every day . AC great . drawback noise traffic outside . 8th floor . 5 6 every morning noise lot nyc do not mind much . when exit hotel turn leave continue subway station 72nd street , dead handy - go straight Times Square . also great funky clothe store near station , Urban Outfitters , cute stuff do not get Ireland . also exit hotel turn right walk 79th street find Feline 's Basement shop , good bargain . there also great market directly opposite hotel supply . all hotel great . even let stay room bit later last day evening flight . also arrange transportation airport you . would definately stay . 
 may 22 2005 	 3 night long enough 	 Beacon hotel great choice anyone new New York . find relax room nice large . nice small kitchen need cook amazing market opposite call Fairway could spend fortune baggage allowance permit . eat though . good wine shop 2 door . hotel upper west side usually walk place ( time sq 25 min ) get gray - line tourist bus around cost 50 buck 2 day hop on / hop loop ( uptown & amp ; downtown ) , great guide ! restuarant connected hotel not use always look busy Amsterdam Ave behind load bar place eat plenty restuarant nearby deliver . the Beacon cheap hotel district pay £ 106.00 per night . knowledge , would probably look somewhere little cheap ever return . 
 may 18 2005 	 Lincoln Centre Central Park kitchen 	 Beacon old hotel offer large , well - furnish room upgrade bathroom . kitchen really come good supermarket across road , even well , Zabars three block away fresh orange juice croissant breakfast one many choice dinner readily , reasonably economically , available . be also first - class wine store next hotel . it be thirty minute , interesting , walk Broadway , less Lincoln Center 15 minute Central Park . nearest subway three block . you get good hotel cheap , eg , Pickwick Arms , find extra worth kitchen . would stay . 
 may 16 2005 	 little gem right middle 	 get back great time . staff probably accommdate hotel ' ve . neighborhod peacefull stop subway away action . lobby neat cozy room large vey clean . kitchen huge plus make food saving time hurry , market right across street help compliment stay . definatley back 
 May 6 2005 	 depress Depressing Depressing 	 know , choose hotel friend stay base review site . come on , convince Hotel writing review . place could never garner & quot ; adequet & quot ; review anybody . mean without doubt least attractive hotel neighborhood . room dreary depressing go downstairs desk ask well accommodation tell newly renovate room . be true thy need new decorator . also many unsavory people hotel tell someone later many live hotel . what think snooker probably owner hotel , truth less average hotel matching rate , surely top third hotel New York . who be kid ? 
 Apr 27 2005 	 Beacon great 	 stay Beacon week early April . book hotel basis good review website disappoint . room spacious clean two double bed little kitchenette . first visit New York wonderful time . end busy day heartening know return lovely comfortable room . loved location well ....... wish ! 
 Apr 26 2005 	 try Hotel ! 	 hotel easily accessible , clean kitchen area within room excellent . echo review would recommend hotel . huge market across hotel , situate Broadway shop nearby great . try Utopia Restaurant excellent affordable food . 
 Apr 22 2005 	 Loved Beacon 	 Beacon Hotel great ! Broadway near subway- near 5th Central Park room comfortable roomy . kitchenette make difference - not go every single thing eat drank . right opposite marvellous shop call Fairways sell food / drink - everything ever think much . deli amazing buy lot interesting thing try room eat dining table room . bbecame quite addicted Fairways would find perfectly good reason live NYC ! also launderette . staff polite friendly recommend highly . Chrissie Kent UK 
 Apr 17 2005 	 Good Location 	 excellent location although 7th floor front hotel , extremely noisy . road noise go night , Fairways Market opposite good deliver hour . definately ask room high back hotel 
 Apr 12 2005 	 Beacon perfect position 	 return 5 - day trip New York stay Hotel Beacon . first vist New York go back definitely . stay . staff friendly helpful . room clean spacious . ( think Holiday Inn standard ) add bonus large fridge two ring cooker , microwave coffee maker . although ' cook great making drink keeping drink fruit . beacon great location Broadway away tourist . residential area lively real New York buzz . area feel really safe fact whole Manhattan . coffee shop , clothe shop , numerous restaurant , bookshop stay open 10.00pm ! 10mins Central Park , 10mins Natural History Museum ( must kid , especially planetarium ) , 1min near subway ( 72nd St ) take right bottom Manhattan Brooklyn without change train . famous Zabars road make special mention Fairways Food market opposite Beacon . get everything may need foodwise . weather nice get picnic Deli head Central Park . great cafe upstairs get good breakfast ( kid love pancakes maple syrup ) 5.30 turn restaurant candle tablecloth . go fabulous meal decent bottle red $ 18 ( £ 9 ) ' not cheap ! thank New York fantastic holiday see next time . 
 Apr 10 2005 	 Loved Hotel Beacon 	 Hotel Beacon truly find - glad take Tripadvisor 's advise book stay . excellent value NYC offer , clean , comfortable spacious accommodation . room generously size 2 double bed , bathroom kitchen area . gourmet 24 hour market opposite hotel fridge , microwave hob room , easy self catering . also laundry room , washing , come handy . also great din next door , food excellent good value . hotel also convenient subway situate pleasant part city . highly recommend stay would not hesitate stay . 
 Apr 9 2005 	 Family Trip Big Apple 	 Family four w/ 2 kid ( age 10 & amp ; 5 ) ... room excellent w/ 2 double bed ... kitchenette mini - refrigerator , microwave , two burner stove , small sink , coffeemaker , toaster , eat utensil .... handy able heat leftover tired go eat night ... fairway grocery store right across hotel , plenty reasonably price diner / restaurant area ... museum nearby , etc .. b / C subway 2 - 3blocks west towards Central Park , 1/9 subway 3 block south 72th St ... price right , get room $ 150 / night thru AAA .. 4 star rather 5 ... big cockroach sink ask non - smoking room room stank ... 
 Apr 7 2005 	 Hotel Much expect -- definitely recommend . 	 book hotel base review site recommendation Fodor 's . many NY hotel - expect , base price , clean acceptable . instead find wonderful , large comfortable room . sister take parent city first time . book one room suite give free upgrade two room suite without ask . room large sit area small fully equip kitchenette , two full bath two large bedroom two double . thrilled . across street wonderful 24 hour grocery serve food need restaurant scene . subway stop less two block away taxi easy get right door . find location convenient siteseee shopping . definitely recommend friend family . 
 Apr 3 2005 	 great hotel 	 stay family last week March . would previously 2002 . be refurbish ( big bright lobby ) . two room 25th ( top ) floor - great view . decent sized room amenity , include safe closet , microwave , kettle , coffee - maker , fridge , electric cooker , colour tv load channel . Maid service every day . service friendly & amp ; helpful . fairway market acroo road everything need ( cafe upstairs ) . La Viand restaurant next door serve meal day night . eat three time . plenty good eating place within walking distance . ten minute walk Central Park . brief walk 72nd St. subway . catch 2 3 subway train ( express ) , be non - stop Times Square . actual JOURNEY time 3mins 30 second ! ! ! ( bad 30 block ) .When check , appear give discount second room - can not bad ! ! would happily stay would recommend place anyone . 
 Apr 2 2005 	 Hotel Beacon great ! 	 husband daughter stay standard double room delight clean pleasant room . kitchenette come handy . get fantastic rate $ 135 per night daughter visit Columbia University . like neighborhood . lot shop good restaurant nearby . staff always friendly . can not beat hotel convenience price . 
 Mar 22 2005 	 great student Spring Break 	 three friend stay Beacon Spring Break college class trip . agree user hotel may bit date appearance , general lobby nice ( ramp rolling luggage ) staff even nice . stay 8 night , call lot thing ( blanket , pillow , wakeup call , silverware ) though desk give we & quot ; 30 minute max & quot ; answer , always someone five minute . we never problem bug trust , lot food room , fridge counter . often overflow trash sitting kitchen wait pickup next day , problem whasoever . the room good size ( get 1 bedroom suite ) feel safe . kitchennete quite tiny ( 5 ' 1 fridge short ) enough one person move around . bed could use update : rickety extrememly comfortable . the price moderate , great special site pleased service ! great location two block 1 9 subway ! 
 Mar 22 2005 	 great location great hotel - one NYC 's good ! ! ! 	 stay back November 2004 week . great location - 74th/75th Streets , away midtown / downtown tourist trap . lot great diner , restaurant , market & amp ; shop area Upper West Side . fantastic subway link ( 72nd Street 3 min walk ) . hotel good - average size room , one kitchenette tea / coffee & amp ; morning bagel slice toast ! ! internet facility hotel , friendly staff good . definitely worth visit ! 
 Mar 20 2005 	 place jam 	 Allman Brothers show start place run fan . staff manage keep order boutique style lobby . plus group kid school well . room huge clean . staff always pleasant accommodate . back next year , however will not around time Allmans play 
 Mar 20 2005 	 big fan Beacon 	 get ready stay Beacon 5th time past 2 year . recent visit January 2005 . teenage daughter LOVE hotel . reasons:1 . location - Staying Upper Westside gives feel live New York instead tourist Times Square . Upper Westside ton good , reasonably price restaurant within walk distance hotel subway stop away . subway 3 minute walk hotel Grey 's Papaya - BEST hot DOGS NEW YORK - 5 minute walk . great supermarket across street stock refrigerator room desire . 2 . room neither trendy luxurious , clean nicely size comfortable bed . would recommend suite although could get double room last time fine . room kitchenette small range , microwave , sink , full - size refrigerator coffeemaker . big plus.3 . price - rate reasonable.4 . staff - Professional courteous . guess thing like hotel not feel like hotel , feel like home away home Upper Westside let experience real part New York . 
 Mar 3 2005 	 5 visit never problem 	 5th stay Beacon . find staff always excellent , friendly helpful . room generously large . lobby ( recently enlarge redecorate ) comfortable attractive . definitely favourite place stay New York - free wi - fi access ( not know ! ) diner downstairs excellent 24 hour market across trhe road Fairway , gourmet 's paradise . 
 Feb 24 2005 	 fantastic place stay 	 stay Beacon Hotel five six time since 1998 think fantastic . staff always friendly , room always , clean never complaint . standard room decent size little extra upgrade suite huge nicely decorate . could quite comfortably sleep 6 suite . bathroom quite small nice . fantastic location near subway 25 minute walk Times Square straight Broadway . supermarket across road handy feel like part action oppose tourist ! ! ! love place wait come back 
 Feb 23 2005 	 yeah ok 	 stay Feb 2005 . good thing hotel location . walk distance Central Park subway nearby nice area . bad thing lift ( elevator ) 3 serve 20 something floor . try go morning , every lift come full people upper floor . try get high room get first low room use stair . staff ok . room good . choose kitchenette . fridge microwave holiday great . supermarket opposite good place eat easy walking distance . 
 Feb 14 2005 	 great stay 	 ( large group student ) stay group leader must admit everything great try patience housekeeping frontdesk multiple request meet smile . room large , clean kitchen God send . go Hotel Beacon will not disappoint . 
 Jan 31 2005 	 Roach Motel ! 	 choose Beacon Hotel day research stay New York City one night personal extension business trip December 2004 . review site give thumb 's , also various travel publication well . say location property good , be walk distance subway Central Park . lobby also presentable , small . problem soon get elevator , hall musty , ugly run . know treat get assign room . arrive outside door room , door handle break therefore , key work . good sign . go back front desk another room assignment , give new room floor - oh joy ! upon enter room , expect see condition hallway . room rundown dowdy . size room adequate , bathroom small . may rate hotel high mark due kitchenette every room . learn lesson future never stay room kitchenette due kind & quot ; visitor & quot ; attract . after spend one sleepless night , wake morning find roach room bathroom . table , chair , bathroom floor sink ! totally freak open luggage . quick exit , get room soon could totally disgust ! need ride LaGuardia airport , ask concierge assistance . busy help other obtain ride contract tell good bet catch cab . help hail cab , tell go across street since cab side road time day . pour rain , two suitcase handle . gee , thank warm send off . after trip , vow stay away Beacon Hotel , never stay hotel kitchenette ! 
 Jan 30 2005 	 Absoultely fine 	 wife 11 year old daughter lucky enough get room Wednesday Thangiving Day Parade ( 2004 ) . hotel absolutely fine recommend , especially value location . somone say little date perhaps , run mean , . everything clean . plus room refrigerator microwave teriffic advantage , especially leftover . room may bit large hotel class convert apartment , believe . ( , maybe date ) . location excellent . parade , block away Central Park West ( get parade route 6 stake spot ) Upper West side great location , walk , eat ( grazing ) . not spend fortune eat NYC . example , several & quot ; upper crust & quot ; place breakfast , brunch , etc.in general neighborhood , Sarabeth 's good enough Eat . , also nearby ( 78th Amsterdam ) & quot ; diner & quot ; call Shining Star . breakfast food excellent account . pancake $ 3.95 -- can not beat anywhere USA much less Upper West Side . open 24 hour , full fledged diner . plus . may & quot ; fashionable & quot ; neighbor , be still place neighborhood folk go , get plenty NYC flavor . not overlook place . also cheap eat surround area : Fairway supermarket ( Cittarella 's ) across street , excellent Greek / Meditteranean place ( Nikos block away , Zabar 's ( NYC institution ) 80th Broadway , corner cafe supermarket , excellent appetize counter also prepare food go , fairly price . great pastry try Le Pain Quotidien 76th Amsterdam , 72nd Columbus , fantastic bakery 90th Broadway ( Georgine be ? ? ? ) . alternative Beacon Hotel , check Lucerne 79th Amsterdam ( post review ) . excellent choice value . beacon room bite big advantage refrigerator microwave ; Lucerne may perceive & quot ; step & quot ; guidebook , maybe fraction step ( fridge ) . will fine either . final note . beacon -- leave cell phone charger . call , locate send back Fed Ex -- cost . nice representative hospitality . 
 Jan 26 2005 	 Adequate accomodation 	 stay Hotel Beacon last September economical choice safe neighborhood ( important woman travel alone ) . although lack real style , room bathroom clean large ( New York ) kitchenette nice . 's close subway , Central Park , Lincoln center lot good shopping . another plus offer discount day pass adjacent health club . say , quiet hotel . garbage truck side street wake 3 4 . , be still good value . 
 Jan 24 2005 	 Beacon Hotel live reputation 	 teenage daughter return week 's stay suite level 17 Beacon Hotel ( 6 - 13 January 2005 ) . room large , well maintain clean , although hotel win award style ! locate Broadway fantastic excellent 24/7 gourmet deli right across road ( Fairway ) . grocery store wonderful selection fresh fruit , vegetable , pasta , bread well wide range general grocery . ability prepare simple evening meal busy day good tourist invaluable . laundry locate building also bonus . Beacon locate close subway station within walk distance Central Park Natural History Museum . hotel staff ok although gift deliver arrive mislay one want claim liability go miss . would stay recommend practical traveller look convenience , location sound value money . 
 Jan 21 2005 	 good value money 	 stay 4 night hotel week Christmas 2004.to New York standard room Hotel Beacon big . locate 14th floor 2 queen sized bed . small kitchen include good microwave . room clean , be important we . room could bit modern like shower separate bath , everything work fine ( like t.v . , airconditione , heater ) . hotel relatively cheap well locate ( 5 minute walk Central Park , 5 minute walk + 5 minute underground be 42nd street ) . free newspaper every morning . ever go back New York City ( oh yes , ... ) hotel . tip : & quot ; Sushi eat & quot ; 20 dollar 3 minute walking distance ! 
 Jan 20 2005 	 Excellent choice 	 stay two night January 2005 . extremely quiet apartment ( bedroom lounge , tv set room ) 9th floor , large new york standard . 's restaurant , ok , still believe one good choice nyc , consider price neighborhood . 
