smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Jan 20 2009 	 Time London 	 base2stay situate excellent location short break London . within easy walk distance underground station museum . staff friendly efficient sort us room even though arrive hotel early . accomodation excellent - large comfortable bed , super shower mini kitchen would need make snack . room immaculately clean well present . would recommend hotel anyone need central location city . 
 Jan 12 2009 	 place2stay away 	 problem check , nothing major still inconvenient . room cancel get back contact via email , important contact via telephone mobile home number provide , new girl behind reception helpful understanding . room : room clean small shower oversized slight , room clean daily ( towel replenish 3 night stay ) .location : close local shop , restaurant train station , within walk distance . overall okay stay ideal 4 business people would not stay . 
 Jan 11 2009 	 great value heart London 	 find inexpensive hotel London next impossible . be pleased find Base2Stay . be near Earl 's Court tube , area around not particularly cool , great access everything London . look hotel minimalist chic , make property feel much upscale price tag would indicate . room small might confine long day , spend much time room London anyway ? comfortable , quiet , enable we get around easily without spend bundle . highly recommend ! 
 Jan 8 2009 	 not hesitate book London 	 wife , son arrive London New Year celebration - big attraction base2stay unlike many London Hotels keep price normal rate excellent value normally , exceptional time year . reception staff friendly room perfectly clean decorate really high standard . son settee bed , good quality comfortable . room even clean new Year 's day staff wait go lunchtime maintain room . location five minute walk Earls Court tube link across London great - even New Years eve back hotel 20 minute . I use hotel previously business would hesitate recommend business leisure - brilliant . 
 Jan 6 2009 	 modern hotel historic building 	 great experience base2stay . 's nice location , 5 minute 's walk Earl 's Court tube station ( convenient access Heathrow - 45 minute tube , direct ) . be quiet ! plus : excellent decor , furnishing . modern interior , well - design . 's historic - look build beautiful neighborhood . room feel big since everything well lay - out - waste space ! bathroom excellent - one good hotel shower ' ve use . nice complementary toiletry well . internet access via wireless via tv ( big , flat - screen ) . comfy bed . nice elevator , stair well . professional , helpful staff . efficient check - in / check - out process ( not seem automate checkout though ) . minus : lousy view ( air shaft , corner ) , plus side , super quiet . not spend daylight hour room not care . not think restaurant , room come kitchenette . load restaurant pub around anyway ( include wagamama 5 minute away ) .No significant complaint - mainly , pleasant surprise . ' m pretty picky ! 
 Jan 4 2009 	 tiny room various technical fault 	 even consider price pay ( 100 pound night ) room tiny . worse , suffer constant technical problem . first , internet connection keep break , cause ( usual hotel ) problem charge mechanism . also keep problem room - access card , heating seem respond control television break . report matter staff get letter manager , acknowledge & quot ; issue & quot ; say put right seem unable write word & quot ; sorry & quot ; & quot ; apologise & quot ; . disappointing . 
 Dec 31 2008 	 BRILLIANT Hotel ! ! ! 	 27th - 30th December 2008.We find Base Stay via internet absolutely delighted facility staff . want family break & quot ; Twixmas & quot ; 2 adult 12 yearold - celebrate 13th birthday whilst away ! room Superior room , large double bed unusually hotel , comfortable single bed . we love fact load space room . unlike cheap hotel , wardrobe door , everything neatly hide away . small kitchenette , also hide behind door , fridge , sink , kettle microwave , enable we cook breakfast evening meal ! bathroom spotless shower hot powerful . what quite unique interactive tv , free air digital channel , plus free intenet access , internet radio , mini & quot ; i - tune & quot ; manner cd 's game pre load free play . movie cost £ 2 . know London rather lot attraction , nice come back room plenty entertainment whilst relaxed . the unique feature fact 3 , totally uninterrupted night sleep ! slam door , shout corridor , heavy footstep room , despite hotel full stay . area feel safe night . & amp ; waitrose 2 min away Earls court Station Harrods 15 min walk along Cromwell Road . we definitly return summer another short break . 
 Dec 29 2008 	 small hotel Earl 's Court 	 3 we stay triple room base2stay 3 night . pay GBP 160 per room per night , work GBP 55 per person .... bad bargain central London . the hotel exactly Kensington name suggest . grant still Borough Kensington Chelsea , Base2Stay Earl 's Court road - cross road Earl 's Court tube , turn right , walk Earl 's Court Gardens turn leave first junction . base2stay refurbish series townhouse , narrow hallway ladyrinth room . decor clean , modern blend well white - wash column wall outside . room small rather cramp 3 person . would nice double . evident room design double 2 standard single bed diven headboard et al one , foldable / collapsible single bed squeeze work desk 2 standard single bed . to save space , small kitechenette build wall like cupboard space save furniture use , e.g . wall mount LCD telly , half - size stool place chair sofa etc . the bathroom , thankfully , decent size . furnish good quality overall , stay comfortable , albeit little cramp time . base2stay unlike horror story townhouse - convert - into - hotel part central London peel paint , overhang wire generally , dingy decor order day . 
 Dec 21 2008 	 Brilliant Base2Stay ! ! ! 	 stay one night base2stay whilst visit International Horse Show Olympia ( one stop away tube Earls Court ) .The hotel 3 min walk Earls Court Tube street full restaurant , take away , licence , supermarket , really handy want something eat drink . vend machine hotel chocolate , crisp , can drink etc . check quick ever , queue people , nice greeting receptionist . we standard double room 3rd floor , everything need - lovely comfy bed , nice clean modern bathroom , nice flat screen tv position perfectly watch bed ! , mini kitchen cutlery plate / cup / glass / microwave , free internet tv , good storage space . the whole hotel clean modern tastefully decorate , even christmas wreath front door classy ! would def recommend place visit / work place West London . 
 Dec 16 2008 	 Good Place . . . let us keep level head 	 good place stay . small room , clean . fridge mini - kitchenette closet . good location 2 minute Earl 's Court tube station . agree other 's good place think may little overhype . place London cheap also quite adequate . much - ballyhooed internet service tv set annoy practically useless . pay - for internet service work well . 
 Dec 15 2008 	 can not beat location price staff 	 stay beautiful weekend December . hotel location great , 3 minute walk Earls Court station tube place would want go . within walking distance Chelsea , Kensington , Hyde park etc . hotel clean , tidy reasonably price . I stay three year ago think staff pretty poor unhelpful . difference could not mark - keen help , friendly welcoming . Ill stay every time go london ! 
 Dec 11 2008 	 seriously good simplicity ! 	 introduce Base owner really enjoy simple , yet comfortable surrounding great location . package rounded team friendly , helpful accommodating ! altogether unique experience would happily recommend . 
 Dec 1 2008 	 great value location - love ! 	 friend stay Base2Stay November 6 - 12 girlfriend getaway , pleased choice . look hotel £ 150 per night , Piccadilly line , short walk near tube stop , two bed , in - room safe , mini - kitchen . Base2Stay tick every box some . we pay £ 134 per night twin room , decent size - large , ample room two we . room clean , modern appearance ( think Ikea furniture ) comfortable pleasant . mini - kitchen discretely hide behind set door , small desk flat screen tv internet . kitchen equip microwave , kettle , mini - fridge , include plate , silverware , glass two , well decent corkscrew . limited free internet access provide , find setup slow cumbersome . friend patience , use send email evening . the room bathroom clean , carpet furniture good condition . room come iron , request one deliver promptly along iron board . complaint sheet change six night stay . one selling point we arrival base - rent room £ 15 hour upon arrival , would allow freshen . not need use though , since short wait room ready , despite arrive 9:30 . still , think great option early morning arrival . we find staff accommodate friendly , happy put half bill onto credit card . hotel quiet neighborhood , not hear street noise anything surround room . I like Earls Court area variety shop restaurant . cater resident tourist , street not fill tacky souvenir shop . great meal 's greek , overpriced & quot ; OK & quot ; meal Mr. Wing 's ( could least serve chinese mustard spring roll instead plain old yellow ) . nice bakery , post office , cheap internet café across tube stop . Earls Court Exhibition Center Brompton Cemetery ten minute walk hotel . I really please accommodation location , would highly recommend Base2Stay . 
 Nov 24 2008 	 Great Base 2 stay 	 absolutely loved ! fantastic location short stroll Earls Court Station . Picadilly Line lift ramp road easy arrive directly Heathrow luggage . fab resteraunt , Pubs , & amp ; food supermarket , post office , ATMs Laundromat within easy walk . queen Bed room Kitchenette facility whilst compact exceptionally well design easy live . simple thing like space bed suitcase make . internet via tv useful even though slightly cumbersome . Decor room entire property calming , fab find . would highly recomend definately return . 
 Nov 23 2008 	 ABSOLUTE must ! ! ! 	 base2stay Kensington , BEST hotel / apparment ever stay . clean , spacious , nice bathroom , comfortable bed , great kitchenette . else could ask ? ? ? LOCATION ? ? location outstanding , close supermarket , heap restaurant / cafe , underground garden . share big room whole building suite big bathroom king size bed + balcony . t.v awsome ! ! absolutley freezing get london , get hotel + room lovely warm . RECOMEND EVERYONE ! sensational . 
 Nov 17 2008 	 Recommend one 	 wife use base2stay 2 night attend seminar Ibis hotel Earls Court ( hotel would recommend ) friend also attend able get 2 adjoining room ground floor joint terrace table chair . seminar finish quite late , , although restaurant around hotel , seem mainly fast food type , great kitchenette cupboard room crockery , cutlery glass . Marks Spencers food shop pace away ( stay open quite late ) able buy micowaveable meal reasonable quality cook eat meal terrace ( quite sheltered weather cold , would not recommend outdoor meal 's raining ) offer & quot ; breakfast box & quot ; , be full Kellog 's product long life milk juice . buy stuff Marks Spencer use micowave food . good bathroom power shower . tv internet capability ( test ) Air conditioning heating work well . change usual multinational high rise hotel aroud area . highly recommend attend anything around Earls Court . reception / concierege staff great , security good - hotel door lock 11p.m . need prove guest I.D . get . 
 Nov 15 2008 	 Great Hotel ! 	 Love hotel location ! ' ve order stay 7 night , single room . stuff nice help need . room bit small clean cozy . small kitchen useful - really place eat room - use fridge . disappointment lack wi - fi cell phone , surf web tv option uncomfortable . location gr8 - close Earl 's Court tube station , right district ' circle Piccadilly line ( way Heathrow ! ) would love come back ! 
 Nov 9 2008 	 great stay 	 9 - year old son book & quot ; bunk & quot ; bed room main floor . it nice , extremely small western standard . perhaps next time , will book twin room . the bathroom facilitie excellent . we pay 97 GBP include VAT.My complaint could hear noise banging room we . overall , would recommend hotel style cleanliness . 
 Nov 3 2008 	 base2stay continue Impress ! 	 see positive review hotel decide spend little normally would night beautiful Kensington . impressed will probably stay come back London . it conveniently locate ( 1 block walk ) Earl 's Court Underground ( Tube ) station , make Heathrow 3 pound one - way fare per adult . lot 's luggage , train / taxi might well . we book double plus single sleeper 157 pound ( $ 256 ) per night . happy room friendly service . hotel definitely priority right we . central , quiet location combine stylish design make we easily forget room service workout room . the tiny gripe hear people walk around . get top floor possible one disturbing ! ; ) place definitely worth extra , be try watch spending . 
 Oct 31 2008 	 will back base2stay ! 	 lucky find base2stay ! reservation room bunk bed receive confirm efficiently via email inquiry transportation Heathrow also handle well . when arrive , find clean , well - keep build two minute Earl 's Court tube station ! room clean exactly website promise ! wonderful & quot ; base & quot ; location trip London , helpful , efficient staff ( thank Vinny ! ) , free internet access , dreamy shower , efficient use small room - perfect two adult not necessarily want share bed . definitely stay ! 
 Oct 25 2008 	 Loved ! 	 return three night stay Base2stay London . location three minute walk Earl 's Court tube walk hotel safe . single person one could feel comfortable walk alone evening . room super clean , great bathroom shower , kitchenette great . easy pick breakfast food Marks Spencers almost right beside tube station . pub close , also italian greek indian resturant within 10 minute walk . great value trendy type place . 
 Oct 21 2008 	 looking 	 book first time Base2Stay base TripAdvisor review disappoint . small ( expect course ) & lt ; & gt ; efficiently lay room . great shower . little kitchenette wonderful . ability search web tv not look actually turn useful checking status Tube morning , book show , check weather . quiet & lt ; extremely & gt ; clean . pleasant staff front desk . key card recharge one point , slowly sort lose ability open door , recharge problem . could feel spring bed somewhat ( room 502 think ) , really not affect sleep . location fantastic - plenty restaurant nearby , Marks & amp ; Spencer Simply Food store grocery . atm , bakery , Earls Court tube . within 1 - 3 block . tree park . next time visit London not find place , ! one thing would good - little map web site show actual ocation . way street label area little confusing . 2 segment Courtfield Gardens ... 
 Oct 11 2008 	 amazing staff 	 arrive 8 am 24 hour flight Australia thrill able use room . mention previous writer room small nowhere store luggage consequently sit floor jump ! complaint mattress tired say least ( stay fourth floor ) .The location , cleanliness helpfulness staff make bed would definately recommend . 
 oct 9 2008 	 Great Base 	 stay 8 year old son Thanksgiving last year . stay room bunk bed ; love every minute sleep top bunk . kitchenette great heat cereal morning . nice walk museum restaurant ' . favorite Nandos great chicken dish good price . short walk tube fantastic take train Heathrow glitch get train Earls Court head wrong direction . shower fantastic nice tv wish cable . next trip London definitely stay . 
 Oct 6 2008 	 base2stay great place2stay ! 	 please base2stay . room , though small , comfortable . stayed 3 different room ( different leg trip . ) -- two room clean third ( maybe old part hotel ) water damage , acceptable . the bathroom , power shower , wonderful . toiletry provide nice . kitchenette helpful useful budget traveler , like ! also much appreciate free web access room . the location , near Earl 's Court Tube station- ( Marks & amp ; Spencer , OddBins , boot , couple good bakeshop pub ) -- great . staff exceptionally helpful friendly . would definitely stay ! 
 Oct 5 2008 	 modern comfortable good location 	 Base2stay handy location , close tube modern comfortable . room ( standard ) really little small we , next time would upgrade superior . kitchenette great storage adequate . although little thing like shower cap , tissue face washer would appreciate . staff kindly & quot ; hunted & quot ; lose expensive spectacle post we . gripe double charge debit card call & quot ; blind & quot ; transaction take lot time money sort , discover already Paris . manager apologise wary . use & quot ; dot dot & quot ; shuttle service airport impress . 
 Sep 26 2008 	 even well expect ! 	 return 2 week trip include stay several european city . although pay CONSIDERABLY supposedly superior 4 star hotel least two destination , feel base2stay clearly outshone competition price , location , room cleanliness bathroom quality . kitchenette added bonus . Base2Stay could expand european country , would never research stay Europe ! keep great work b2s ! 
 Sep 26 2008 	 Great Place 	 decide stay last minute ( gbp 147 twin / double ) - disappoint - room small ( room London not ) meet need faclitie food room save buck . service receive front desk well ' ve ever - every question answer smile not know - look call back - 's service . great big screen tv include free access internet ( provide use remote keyboard ( mouse ) room ) - bonus one learn nagigate without mouse ( use laptop charge ) -they say charge small fee local call not remember fee use alot . area Earls Court nice - stay occasion always feel safe lot people around main street - hotel 5 minute walk tube trust - 2 woman 3 week France / London belt - nice 1 block ! ! ! ! lift event one need ( bonus luggage ) picture post soon get upload . less expensive hotel nearby - look modern , update , clean , well take care , fridge , mirowave , sink , dish etc great service - stay - will not disappoint . 
 Sep 24 2008 	 fabulous base2stay 	 Base2Stay great place son say work nearby week . well - equip , clean nicely furnish . plus easily accessible city staff friendly . love shower - far good month travel ! 
 Sep 24 2008 	 perfect base stay 	 stay colleague week business trip . location perfect ( 2 minute walk Earls Court tube ) really safe quiet plenty amenity near . room small reasonable london . furnishing modern hotel well present . free internet available tv take get use great checking internet banking simple task . plug internet fast expensive . wireless available would great addition . kitchenette great usually rush diy breakfast . clean immaculate . staff fantastic helpful even unusual request bandaid stamp ! overall , perfect base definately stay great value money . 
 Sep 23 2008 	 great small hotel room improvement 	 personal choice stay London . small , efficient room small kitchenette , great location , close Tube , quite location , expensive , could desire . stay , grand opening , notice two minor glitch . first , mattress room could use replacement ( stay room 201 ) , inform management first night . got response though . second , maintenance could well bathroom , 20 second turn shower , find stand 5 cm water . otherwise , great choice . 
 Sep 22 2008 	 good Kept Secret ! ! ! 	 great modern & amp ; chic hotel excellent location ( 2 min Earl 's Court Tube , lot restaurant around ) . super friendly staff . Staff go way make sure answer question . room clean . great facility inside room .... flat screen tv , high - tech bathroom , also include equip kitchen . hotel energy - save friendly , total plus+++The suggestion even well free wireless internet . 
 Sep 19 2008 	 Fantastic 	 actually book BW shaftesbury kensington shambolic . however send . Thankyou ! ! ! staff great , place immaculate quiet . really handy tube seem quite safe . the room small functional big enough short visit . inside wardrobe surprise find microwave , sink fridge . would quite handy stay whilst working week . I would absolutely stay . 
 Sep 14 2008 	 Modern hotel convenient location good value 	 stay 4 night Sunday Thursday . overall would highly recommend hotel would definitely stay again . accessibility : Earl 's Court tube stop nearest one hotel . fly Heathrow , ideal line ( Piccadilly ) transfer need . Earl 's Court , elevator ramp easy luggage . hotel 2 block away . hotel elevator well . facility : reviewer comment , hotel room do modern minimalist standard , although room ( single room - 114 ) small , space use efficiently layout work well . bathroom full - sized , sure appreciate traveler . kitchenette come useful save money food shopping store breakfast item fridge . area : Earl 's Court Road ( tube stop exit ) full shop , cafe restaurant : somerfield supermarket , Marks Spencer Simply Food , boot , Starbucks , Coffee Republic , Wagamama ( name ) .The comment would make - management traveler - consider change mattress one feel wear probably due replacement . also notice housekeeping staff replace towel everyday even hung ( instruct order save water / energy ) . 
 Sep 4 2008 	 pretty darn good ! 	 hotel clean staff nice . accomdation small compare american hotel ' ve stay , right amount space . complaint crumbs plate cupboard . one little item , stay superb , staff helpful location great ! would definitely stay recommend other . 
 Sep 1 2008 	 Great Hotel Great Area London 	 wonderful hotel . stay 6 day ( two adult , one child ) clean , ultra - modern comfortable . double pull chair daughter . bed comfortable airconditioning use every day stay . nice option open window day air night sleep . kitchenette adqueate , however rail miss could not fill like want toaster coffee maker . lift small excellent much appreciated child . check - in check - out efficient fast . hotel accommodate we early check try accommodate we one night double room available provide two single ( agree instead move another apartment complex one night ! ) . hotel staff professional efficient . slight blip go check balance stay room available we tell would leave . staff day realize unhappy rally together get we room could get theatre district time play . the room small comfortable bathroom large would see London hotel . half shower door little perplexing water squirt side floor not careful shower head . heat towel holder luxury would not expect small hotel would trade toaster coffee maker . maids excellent quickly bring item need ( iron board , iron ) staff attentive helpful picking restaurant , find transportation , book venue ) . internet difficult figure really want access mail addys - lot little internet cafe close book venue online - check mail etc ... use internet mainly read mail , check weather etc . free tv internet freeze occasionally cumbersome use mouse feature keyboard . staff try help show use slow cumbersome . keep mind compose yahoo mail use flash open pdf file look tourist site . compose mail facebook work fine . bring laptop .. would ideal keep mind charge .... close proximity Earls Court Tube ( 5 minute walk ) two really great grocery store ( TESCO Sainsbury 's ) restaurant recommendation excellent get discount really appreciate ) go greek restaurant recommend - 's good greek food ever eat anywhere ! wagamama 's fun .... great kid ... italian restaurant superb ~ you please stay Base2stay ... 's lovely residential area 's easy get around use tube bus system . if go back London - stay Base2stay .... hotel could bring toaster ..... certainly drink tea instead coffee caffeine fix really miss toast crumpet breakfast daughter use part morning meal . I hope hotel keep pricing moderate .... really edge affordable exchange rate pound . 
 Aug 28 2008 	 great place stay 	 husband recently stay hotel three child . love hotel . location great close tube . several restaurant area grocery store . hotel offer 20 % coupon many restaurant . kitchenette extremely handy . book two room , one superior three child king / double husband . room , although small well appoint . bathroom shower great . beds linen also nice quality . two room connect large patio outside two table plenty chair . weather great London , take advantage eat breakfast outside . staff friendly , pleasant helpful . free internet also handy . problem husband could connect personal e - mail account . the hotel clean well maintain . I would definitely recommend hotel would stay return London . 
 Aug 27 2008 	 Wonderful Place Stay ! 	 husband stay Base2stay twice July . everything exactly describe website . hotel locate quiet neighborhood -- minute away Earls Court tube station . room clean comfortable . one stay , little patio outside room . staff friendly helpful . opinion , base2stay rate & quot ; perfect 10 . & quot ; 
 Aug 24 2008 	 would come back . 	 small clean room perfect location . locate near Earls Court tube stop , easy access anywhere . small room everything need , fridge , tea , microwave , internet access room via flat screen TV . deco decor . lot great restaurant within walk distance safe suburban neighborhood . would come back . London expensive American 's nice break we . 
 Aug 12 2008 	 Great Hotel definitely come back ! 	 stay Base2Stay four night last month girlfriend visit London . hotel locate right near major transportation hub give easy access London 's amazing bus subway system , incredibly easy we get around city . hotel immaculately clean , although room not huge , everything lay thoughtful manner space far ' functional ' ordinary hotel room . love modern design generally appreciate attention detail – nice flat screen tv 's ; outlet cell phone , computer , etc ; little kitchenette save money breakfast . lot research choose place , can not imagine find well value money . London get expensive base2stay give far ' bang buck ' hotel . highly recommend place definitely stay come back London . 
 Aug 8 2008 	 base stay .. 	 choose book stay July 08 recommendation another trip advisor member . review positive comment , really not worry neither . hotel everything say . one issue point since underscores helpfulness staff . impression could use hairdryer straigtener adaptor / converter since work Spain , France Italy . turn London not case suspect not really hotel since ' ve hear similar story people visit London North America . anyway , straigtener break blow fuse room . staff attentive fix problem even direct another room empty could dry hair . time would use hairdryer supply dinky hairdryer .. quite good hotel provide - even nozzle make blowdrye easy ! recommendation manager ... notice sink washroom not seem drain well perhaps might want check . also notice shower would turn use would internet / tv . assume conservation mechanism I m except middle email quite annoying especially since keyboard quite difficult use begin . really thankful free internet big issue figure constructive criticism good ! ? sum , go London want reasonable place stay , look not believe get well value money anywhere else . 
 Aug 6 2008 	 Perfect Place stay London ! 	 return 5 - day stay Base2Stay teen daughter totally agree review ' ve read last 6 month ! easy get - get Oyster Passes ( easy / cheap way ride Underground ) Heathrow , take tube right Earls Court , walk short block hotel . even though early , immediately get room , impressed : spotless , nicely furnish , great bathroom facility , wonderful little ' kitchen ' , find night , superb bedding . staff wonderful , room wonderful , neighborhood convenient , many interesting place eat , close bus underground .. extremely pleased ! 
 Jul 30 2008 	 nice ! 	 stay hotel four night , two adult small child . love . hotel nice , modern , pleasant staff convenient . room small , expect London . easy walk distance tube grocery store / coffee shop . walk museum nearby think neighborhood pretty quiet . family room ground level please also private patio- nice plus ! would highly recommend hotel . London unseasonably hot week town happy book hotel air conditioning ! 
 Jul 26 2008 	 Great Place Great price 	 second stay within 6 month . first time , stay 5 night & quot ; standard double & quot ; . room right size two people . although , definitely need space bed luggage room move . second stay , stay 3 night & quot ; double / twin & quot ; room . room almost twice size & quot ; standard double & quot ; . place always immaculately clean . in - room internet access handy , take getting use can not view pdf file . location great short 3 min walk near Tube stop ( Earl 's Court ) ton restaurant . also two handy self - serve laundry facility nearby ( street tube stop ) .As long quality keep , not think will use place whenever visit London . one quirky observation : first stay see face front desk even see train new person upon check - in . six month later , not see people time train another new person upon check - in . 's complete turnover staff within 6 month ? 
 Jul 25 2008 	 good place explore London 	 stay hotel nearly 2 week end May . seem hotel run french speak people , try friendly helpful . every thing clean much bad wear . hotel conveniently locate Earl 's Court tube station several supermarket within block . my room basement , seem case everywhere single , little noise room floor . kitchenette good purpose , although not count make ice frige . would take several day water freeze claim clean ice tray every guest , one frige look like not clean long . free internet tv little cumbersome use , small fee direct hook - up laptop . desk little small multipurpose intention ( desk , nightstand , table ) . bathroom spacious , light little weird layout make difficult get within 2 foot mirror . shower great - good pressure plenty hot water . power room will not work without key card little slot , least keep lose card . infact , problem key card consistently inconsistent . re - key every day . know reuse card , think limit many time card reuse . purpose not spend lot time room , everything work well . overall , good experience good location . 
 Jul 23 2008 	 Excellent London base 	 Excellent value price . beautifully modern , small compact well organize - barely know good kitchen space ! central tube , close v etc . definitely use - friendly helpful personnel , clean , good ac , thing negative . 
 Jul 22 2008 	 regret ..... 	 son stay July year . try 2 different room . one twin bed bunk bed . room amenity . give chance return hotel would choose stay whole time bunk bed room . bed comfortable cost would less . son 16 problem sleep climb top bunk . would like repeat other say relation hotel . staff helpful , hotel clean well care , location close tube many nice restaurant nearby . favorite Zizi 's Earls Court tube 5 minute walk hotel . good italian restaurant ' ve would definitely return . one suggestion would person take wonderful museum close within walking distance . really enjoy London charm . 
 Jul 21 2008 	 Nice Amenities - Location Teriffic 	 ater reading rave base2stay , decide book night 's stay part month - long visit England year . previous guest state , room equip modern , clean decor amenity , air - conditioning , kitchenette , luxurious towel bed - sheet . double room indeed tiny , night , glad depart large dig , find room small stay duration awake . 's one chair , two people want eat room ( microwave , fridge , etc . , seem guest encourage .. ) , one person must sit bed squeeze tiny space desk / table . the location hotel factor keep we return . yes , be close Earl 's Court tube station , Marks & amp ; Spencer mini grocery Starbucks , etc . , not really within walking distance anything besides retailer Earls Court Rd . enjoy park , museum , walk LondonWalks , etc . , must rely public transport get want go . immediate area around hotel residential , be nowhere hotel guest except tiny room restaurant / Starbucks Earl 's Court Road ! Earls Court tube - 's fine long be run . meet delay suspension service station , , way , require user really clear direction be head want travel Circle line . observe perplexed visitor well local station , due unclear direction . Gloucester Road South Kensington tube stop become preferred mean transport Circle District line . 
 Jul 16 2008 	 good night sleep ever London Hotel 	 go concert O2 concern suitability hotel regard transport accessibility . we need concern 5 min walk Earls Court tube . the room quiet good , facility include fridge , microwave etc excellent . bathroom powerful shower -great . staff welcome profferred advice , nice change . I stay many London hotel mixed experience say probably BEST.On top concert , Neil Diamond , fantastic 
 Jul 13 2008 	 Excellent hotel 	 stay hotel twice , stay faultless . room clean modern , bathroom real luxurious feel . upon arrival staff really efficient helpful , check within 5 minute . air conditioning room good , everything clean . room also microwave , small kitchenette , cutlery sink . hotel well design , feel like 4 * 5 * place . in term facility , hotel offer free internet tv , also 18 digital channel , music , radio pay film ( £ 2 ) . , everything feel like value money . hotel not restaurant , guest decent ' breakfast box ' deliver room morning £ 4 . fine , cereal , fruit , muesli bar fruit juice . actually quite like get dress eating ! hotel close Earls Court tube , town anything Piccadilly District Lines well place . overall , recommend without hesitation . 
 Jul 11 2008 	 gem hotel ! 	 stay hotel four time business trip London consistently excellent . concept one & quot ; limited luxury & quot ; basically mean unnecessary / expensive extra dispense favour excellent core facility clean stylish room bathroom etc . location excellent explore central London since Piccadilly Line minute away either Gloucester Road Earls Court Tube station . surround area pack full bar restaurant room even galley kitchen facility prefer cook . ' ve stay many different London hotel year good long way . would always first choice business leisure trip due unique combination value money comfort . 
 Jul 8 2008 	 Great Choice 	 group 6 stay base2stay late June 5 night part european vacation . 2 room ( triple ) . one room low ground first floor . room modern , clean , quiet , pleasant . kitchenette convenient . presence small fridge , microwave , kettle , plate , utensil make visit London much easy , since able breakfast room . save lot time morning could head early enjoy London . also make thing easy evening snack etc . the location hotel good . Piccadilly line ( direct Heathrow ) , take Underground Tube airport hotel easy economical . tube station & quot ; Earl 's Court & quot ; 3 minute walk . area feel safe . hotel mostly residential area hotel shop mix in . Earl 's Court Rd ( exit tube ) many little store place eat ( include subway sandwich , Baker 's oven , fast food ) . Marks & amp ; Spencer simply Food especially convenient little grocery store . purchase item breakfast night . also wide selection ready eat meal ( frozen ) microwave room choose . Barclay 's bank ATM machine post office directly across street Earl 's Court Tube station . coin laundry nearby street . useful we need laundry continue vacation Paris . the location great taking tube London 's big attraction site . important totally eliminate need take expensive taxi . Earl 's Court tube station 2 key line ( Picadilly District ) underground system extremely easy use . we 2 minor incovenience hotel correct first evening . bathtub / shower drain extremely slowly ( case room ) . staff use liquid product drain improve well next day . fridge unplugged room , take long time cool . realize grocery , check make sure fridge plug first check . plug behind garbage inside kitchinette closet . overall happy base2stay . I hope review useful . enjoy trip . 
 Jul 6 2008 	 great comfort superb value 	 recently stay Base2stay London week love ! stay many hotel never experience welcoming , accommodate charming staff . hotel also beautiful , Zen - like . room offer every amenity need include a / c , mini kitchen , real bonus expensive city like London , large flat - screen TV easy connect internet notebook ; bed comfortable despite 5 hour time difference US , feel jetlagge usually . travel London quite often first time stay Base2stay , however , ' last . truly enjoy time , without hesitation , make hotel choice time visit beautiful city . 
 Jun 26 2008 	 gem ! 	 spend 2 night May 2008 . take Tube Heathrow long flight Australia . short walk road Base2Stay . staff friendly helpful . room second floor smallish beautifully modern smart . bathroom superb modern appliance amenity five star hotel . small kitchen huge bonus . not want eat London ( would ) buy whatever nearby supermarket in - room catering . place gem ! already recommene two people make booking . 
 Jun 24 2008 	 excellent modern hotel 	 stay base2stay 4 night May 2008.room warm cosy nice modern decor . loved mini kitchen , esp microwave great clean daily . bathroom good - love shower . easy get Earl 's Court tube stop . heap place eat nearby plus supermarket etc . a nice stay pleasant , clean hotel good location . 
