woooooow 	 make one short sweet : ) Vegas magical city whatever heart desire ... long cash ! speak world class dining , over - the - top vip treatment club , high roller treatment casino , uber luxurious spa treatment . on actual review Planet HollywoodFIrst , location PRIME ! ! center strip . locate across bellagio new City center construct . plan see whole strip would good place stay , near middle strip , plus Miracle Mile mall attach shop essential ( alcohol , food , pharmacy stuff ) rite downstairs without pay resort price . get resort room view bellagio fountain pool area . complain huge room , movie theme little weird , Baywatch , cool pic baywatch fan . also , real complain room position tv ; face bed , could not move bed , could watch chair . good part room washroom , huge , big bedroom , sink , side , separate side boy toiletry lady side vanity work . middle huge open space , giant soaker tub , standup shower seat course toilet door . the atmosphere rockstar - ish , everytime go downstairs like party go . good place get drink people watch , pleasure pit always fun prive nite club well think go . pool area little PH style , seem little bland almost family orient , nice view paris tower though . eat earl sandwich , good place grab bite , cheap . try spice market buffet , second fav buffet Vegas , reasonably priced consider get . the overall impression good one , hip trendy , still work , upgrade pool area want . service friendly throughout hotel , one issue maid , would not give towel thought need . room amazing , vibe amazing , location amazing , dining amazing ! ! ! Planet Hollywood ROCKS ! .p.s . Holly Madison start headline Peepshow ..... woooooooooooow ! ! 
 Planet Hollywood Las Vegas Review 	 huge room , great location middle strip buffet amazing ! ! ! free bottle whiskey wine also help ! ! 
 highly recommend perfect location Strip 	 stay first part nine night trip States 16 November . hotel locate right middle strip make get around easy . check not queue whole process take less 5 min . room 31st floor view strip two queen size bed , large bathroom spotlessly clean . room also connect door ask could move room without one , upgrade even large room luxurious bathroom inconvenience move . whole complex big bit confusing finding way around everything soon click place find bearing problem . ever lucky enough return Vegas would stay Planet Hollywood without hesitation . 
 Vegas 	 beat hip , gear towards young crowd . still adult . 
 Jun 30 2009 	 good young crowd 	 visit Plant Hollywood 18 - 23 June 2009 offer upgrade room ( Resort Room ) travel agent . however , check ( slow staff ) find upgrade question eventually change room . the room great , large , albeit other say dark need light even day . the bathroom huge complain housekeep hot water . we use Spice Buffet breakfast couple time huge range food choose much cheap place prefer within Miracle Mile shopping Mall adjoining Hotel . we also eat Plant Dailies pork dish great course plenty Starbucks . the Fitness Centre good gym , jacuzzi steam room cost extra $ 25 per person feel cheeky consider pay already get voucher arrival allow one free pass one day one person . the pool area nothing special honest weekend feel like herd cattle lie row . husband like loud music even think volume excessive - day - non stop young crowd love . ok couple hour get place bit peace read book . weekday be well still constant music background music - loud nightclub volume . the hotel 's location great walk everywhere there . we get ticket Bette Midler Caesars Palace brilliant . overall wasa good holiday going relax sun day like quiet read pool would pick another hotel . 
 Jun 30 2009 	 would choose different hotel return Vegas 	 spend two night Planet Hollywood . find one less attractive hotel strip . Dark oppressive . need walk dark dingy casino get almost scary , exit sign , would case fire ? noise public area ridiculous - even lift music blare . attach Miracle Mile shopping centre ...... shopping arcade . room dimly light little cramp - dark wood furniture not help ambiance , although bathroom area large plenty toiletry towel . theme hotel suppose ? reference Hollywood tacky poster wall small table item film . Hollywood ? 
 Jun 29 2009 	 good location okay single would rather stay elsewhere travel husband . 	 , can not really complain check , upgrade enormous room overlook Bellagio fountain , could watch one 2 window bathtub . ( book standard room last minute think probably high rate $ 250 / night . ) room large 21st floor . complaint room size , auto upgrade , view ! room itlself linen clean , leave old wrinkle room service card stuff like table , bed , etc . , think gross , cheap , take hotel notch view . also shower head really gross , cover lime deposit . detail would take care , would see hotel favorably bad first impression . not personally love decor Planet Hollywood , clubby / trendy . would fun group single bachelor / ette party . , although husband young enough appreciate style , not think romantic . trendy look not do high - end , elegant way . the location - across Bellagio - right LV Blvd . ( Strip ) good , like good hotel . guess hotel amenity need , gym $ 25 / day / person . pay high speed internet . although not eat restaurant , not really interested available . ( eat PF Chang ' m home . ) pool ( 2 next ) fine , remarkable - bell whistle like lazy river wave pool beatiful decor write - 're pool . scene pool like nightclub - lot booze , hormone , tattoo loud music . 's entertaining 2 day , want retire nice clean uncrowded pool . for price pay room ... consider use hotel room ... would rather upgrade stay hotel pretty , clean room and/or really nice pool downgrade stay Bally 's right next door , still clean room excellent location , less amentice , trendy scene . finally , conceirge would recommend restaurant hotel property . instead direct strip ! word advice : want figure good restaurant club , good research hotel recommend 's property sister property . MGM group own 8 hotel Vegas , Planet Hollywood . would recommend hotel twenty thirtysomething - especially single - travel Las Vegas nightlife . would recommend hotel family ( definitely would not want take kid pool ) , old couple , couple travel romantic weekend nice dinner show . next Vegas trip , go plan nightclub want visit make reservation not wait line . also plan see Cirque du Soleil show , hit pool 10 12 , shop 1 6 , research good restaurant dinner , follow show ! 
 Jun 28 2009 	 great 10 girl whim ! ! ! 	 blast PH ! panaorama suite amazing ! great view south strip , could see fountain bedroom . enjoy bar , decor mall . something everyone we ! casino tight ... find luck Luxor . waitress PH far . Club Tatoo mall awesome ! ! ! guy nice ! ! Loved Yard drink food hotel great . Koi superb . negative thing say run shower 15 - 30 minute could get hotwater . sort drag 10 girl two shower . definately bring husband back ! ( would love pleasure pit ) 
 Jun 27 2009 	 simply Brilliant 	 return 7 night stay Planet Hollywood say other book love it . we get take 15 min check , get room 19th floor perfect view fountain . bed good , really bot want get bed day . cleaner come everyday complaint there . pleasure pit good , never see much silicone small area casino ! ! ! shop , restaurant top notch . complaint holiday end . 
 Jun 26 2009 	 Amazing Bachelor Party ! 	 stay bachelor party June 3 - 8 6 guy . great time ! perfect location . center strip . great value ! room - we upgrade suite couple guy get penthouse suite . regular suite really nice ! well expect PH . huge bathroom , comfortable bed , flat screen tv … the Penthouse really nice . something would find Wynn , ' huge , Hollywood theme amazing view strip ! bit dirty / wear though . casino really nice . ' recommend old traveler . lunch buffet pretty good – get voucher check - in make bill come 12bux amazing ! Koi japanese restaurant incredible ! highly recommend ! prive – bottle service every night Vegas fun . sure attribute remember music really good … pool – basic look pool . , dance music always blast . even good tune though . could tough get chair pool day . 
 Jun 26 2009 	 love hotel1 	 great hotel mall inside . ton restaurant miracle mall inside casino ! , conveniently locate strip ! great atmosphere , feel excitement second walk lobby casino . room large bed really comfy ! def stay ! 
 Jun 26 2009 	 great place stay 	 room amazing , bathroom enormous , bed comfy everything accommodation great . first trip Vegas fantastic . feel casino area target young set . 
 Jun 24 2009 	 great location shopping mall ! reason not like aussie ... 	 really happy place arrive , room really nice ( tad small have expect ... still ok ) . 2 night stay though arrive back night find room stink ... well ... faece ! way describe ! take bit negotiation phone reception get change room also upgrade we ( basically demand , going give we room low floor - not think ! ) . reception staff not friendly really give minimum require attention . location really great though , not even leave building get miracle mile - shopping mall GREAT . be get restaurant theatre well . side note : would not bother shopping outlet , waste time ! also be australian not get freebie offer .. be constantly approach people try flog stuff give stuff away , whenever say australian honeymoon staff would walk ! also recommend japanese restaurant paris next door , great ! 
 Jun 24 2009 	 brilliant 	 first time vegas will not last defo back planet hollywood silver wedding anniv complaint hollywood hip room 36th floor fountain view do not matter still good view room be not dark must fortunate quiet around room floor planet dailie big breakfast bit much hugeo pf chang chinese first class within planet hollywood love casino noisy noisy good music love sit heart bar people watch . go review timeshare say thank that s go prob sum , vegas lay back visit hotelson strip atmosphere planet defo good ps bette midler well worth money go see poss cheer 
 Jun 24 2009 	 good place stay Vegas 	 stay Planet Hollywood friend June . first time Vegas say good hotel stay . hotel right middle strip beside everything . 40 want get good vegas stay here . as four us room reception upgrade large room . view face pool room good . plently place eat within hotel food excellent , staff also friendly helpful . large shopping mall joint onto hotel call miracle mile plenty shop cater everyone taste . on next trip vegas definitely stay . 
 Jun 23 2009 	 Great Hotel 	 come back 2 week stay Planet Hollywood , great holiday love Hotel comfortable , clean staff helpful . one downside quite noisy especially around pool . live DJ 's weekend , rest hanover , music echo around pool 5.00pm . great location go back would maybe try another Hotel not quite noisy . 
 Jun 22 2009 	 not stay soon 	 travel Vegas often , ' ve stay everywhere , however could not pass great deal Planet Hollywood giving via TripRes , recieve bottle alcohol every night , recieve two free dinner buffet , let tell ' m buffet person free decide check , amaze - stay next trirp , pay thi buffet . mention Pinks hot dog bar , awesome sandwhich shop call ' Earl Sandwhich ' BEST sandwhich ' ve ever huge cost 5.95 hello fresh ground Kona Coffee 24/7 great coffee ! ! hotel kid pole dancer casino ( good look lady though ! ) - fountain room part free upgrade TripRes sit watch Bellagio fountain every night room .. many shop choose , high end high end , like bath body work : - ) favor stay least ! ! bed comfy ask ! 
 Jun 21 2009 	 Great Location 	 stay 3 night June . great value great location . right centre strip ! room sizeable , clean movie theme . casino one modern visit . restaurant good attach mall offer option eat . forget shopping . pool area good also . would definitely stay . minor gripe pay internet room , consider 's Las Vegas let go ... not mall instead sit Coffee shop ! 
 Jun 21 2009 	 great location fun youthful atmosphere 	 find PH great hotel , stay resort room wonderful request room front view Bellagio fountain . Tip advice use tix4tonight buy restaurant voucher return next day vip line long original receipt will not wait queue chance get show ticket want see , 3 time save queue get show want 
 Jun 19 2009 	 great value 	 wife stay December 2008 . use starpoint value great . shop casino nice show terrific . room spacious clean service great . buffet bit crowd try PF Changs delicious . location hotel perfect ' ve stay Caesars , Paris venetian past . love lighting throughout hotel wife get kick dancers casino . great couple group friend . Stomp Yard whatever call awesome entertaining . 
 Jun 18 2009 	 great 50 's 	 recently spend 3 night hotel love . kindly upgrade Bellagio fountain view room although window large view somewhat limited ! room locate level 16 everything want , plus clean well lay . good large bathroom separate bath shower spacious ! try one restaurant average . small complaint constant loud music blare throughout public area pool area fairly uninteresting . well locate strip . would highly recommend 50 's . 
 Jun 16 2009 	 Loved bed 	 love hotel casion , bed well ever bathroom nice big . slot pretty loose . thing not like lot & quot ; work girl & quot ; hotel . go see Peep Show really enjoy . overall nice place stay . fyi ... night bring & quot ; pole dancer & quot ; card table , do not like kind thing place . 
 Jun 16 2009 	 week ` ` Hollywood '' 	 stay Aladdin , huge change think may lucky . arrive 10 pm Thursday – queue check , however every time go past check stay huge line . free valet ideal , never wait long . check ask view week . offer King Size non smoking ' ask 2 queen bed good view house non smoking . go first , advise near lift may little noisy would change happy . lift audible Bellagio fountain problem . room great view north side – Paris Bellagio . Room base Warren Beatty . room good size , bathroom – fault shower useless – plus shower head come hand ! ( funny time ) hotel busy put shower 10 min get . tv huge hd channel – available – time ! Casino ok , ' slot player hit jackpot Bellagio day ! end even . pay $ 13.99 24 hour Wireless really quick , would stay , bed super comfortable huge . really recommend Earl Sandwich ( Chicken Noodle soup yummy ) Mexican inside Casino excellent – pork Chop good pork chop husband ever eat good waiter ( Todd ) ' come across long time . 
 Jun 16 2009 	 would definately recommend super duper hotel ! 	 amazing stay would definately stay ! ! hotel good location , right middle strip within easy walk distance bus ride main attraction , definately worth stay middle strip do not want spend forever walk spend fortune taxi ! do not sample food really require service , although concierge book we show , lady really helpful , can not really comment thing there s many place eat LV would not wan na stay hotel anyway ! casino fab , really big always busy , young fun crowd posher hotel , would definately recommend people look party ! room big , comfy bed really good bathroom , room bit dark really high level bit pain see spend 20 hour whole 6 day trip room really can not complain , fab base get ready sleep hour that s want , LV amazing place , want stay room ? ! pool quite small good crowd , enjoy dj enjoy sunshine ! ! sum , & quot ; young & quot ; hotel awesome location , get reeeeeeally cheap expedia round winner ! ! 
 Jun 16 2009 	 fabulous decor helpful staff great food choice slightly grubby room ! 	 stay Planet Hollywood first part Honeymoon whole think great hotel ! staff really friendly , polite helpful upgrade us strip view room overlook Bellagio fountain free honeymoon . the decor throughout hotel casino plush modern food choice excellent - especially Spice Market Buffet breakfast lunch Planet Dailies 5 am snack night casino ! pool gorgeous lively - exactly would want Vegas regular cocktail waitress take drink order . the downside - minor - bathroom little bit grubby lot hair cigarette ash bath ( non - smoking room ) someone 's falsh eyelash shower ! ! ! Apart would definitely recommend hotel price , location facility . 
 Jun 16 2009 	 fantastic hotel great location ! 	 husband stay Planet Hollywood 5 night . hotel superb . could not ask well location , be right middle strip . check quite slow get desk , ask receptionist could strip view . quick look system upgrade we superior room without we even ask ! staff friendly , helpful polite . eat buffet restaurant time , fantastic , every taste cater ! eatery seem bit expensive sell plenty place outside hotel eat . room spotless one huge ! fantastic hotel , great location ! 
 Jun 16 2009 	 complaint Plantet Hollywood we ! ! 	 stay 4 night 3 night trip San Fran . arrive 4.30pm Mon 8th June ( birthday reason 2 friend vegas 1st time ! ) check take 15 min . book hip room ask one good view birthday . receptionist lovely give we room 28th floor fantastic view fountain two queen bed . room Wesley Snipes room relevant memorabilia . do not find room dark tv well locate . room service charge already include cost room . problem safe arrival rectify within 20mins calling desk . after drunken night celebrating , go Spice buffet breakfast , use $ 5 discount . however 10.50 miss breakfast serve lunch food lunch time price ! next 2 morning time breakfast . find food varied plentiful . last day steak special breakfast Bill 's gambling hall - recommend ! visit pool area couple hour . say previously need get early bed round either pool , sun do not get main area 11am . the mile shop excellent gambler , comment casino . check line problem . enjoy stay PH would recommend . 
 Jun 16 2009 	 get job like ... 	 everyone else say - yes bed comfy . sad good thing hotel . unfortunately staff wish somewhere else . great american service hear ? hotel noisy . get married service good whatever think be go spend - treble . 
 Jun 15 2009 	 great resort 	 room great , shop great , hotel great stay away dinner buffet 's hot mess disappoint 
 Jun 13 2009 	 good location + big room 	 ' ve stay 3 night Planet Hollywood happy stay . 's big hotel casino , room large bathroom . like . not try room service swimming pool . other option , big buffet downstair call ` ` Spice Market Buffet '' different type food , good , Starbucks ` ` Miracle Mile Shops '' . location great , right Las Vegas Boul . , near everything , recommend stay Las Vegas . 
 Jun 11 2009 	 second stay 6 month .... still really like place ! ! 	 travel Vegas 6 - 8 time year different reason . hotel / casino great location . walk ton thing . standard room well imo . bathroom good standard room ' ve stay . comp freebie sign A - list well casino strip . play table average amount time , still send free night free buffet regular basis . keep close eye , may catch celeb two location . bad think wall little thin hotel / casino sister hotel / casino Vegas visit switch thing . 
 Jun 11 2009 	 Geared Young 	 hotel great location , attach Miracle Mile Mall ( 170 store & amp ; 15 restaurant ) . hotel truly beautiful appearance . hotel service responsive pleasing . room large , clean , modern . loud hard rock music play lobby casino , hotel seem gear toward young . unfortunately , timeshare agent everywhere go hotel , constantly stop timeshare tour . hotel buffet rate price . upon return Las Vegas , stay different hotel , due timeshare agent , dark room , loud music . 
 Jun 11 2009 	 Great Time 	 stay PH family connection hotel , take advantage connection past think cheesy place stay . stay Venetian , Belogio , Flamigo , Mandalay Bay , four season , Imperial Palace , Treasure Island . enjoy music play Hotel , much well elevator music hotel . loved size casino , not feel like half mile walk side , coupon book 2 one drink give we 16 drink 5 buck , enough 3 day . lot penny machine play , pay little could play long time . room ok , not alot . go Tina Tony show couple drink bar overlook casino ball , even buffet food good . go show know corny jump dance silly , hey know ? overall would stay , great location great atmosphere . PS travel vegas 4 cup coffee maker prepackage coffee disk , love coffee bed want . 
 Jun 11 2009 	 Great Location strip 	 enjoy stay hotel little negative say . like ...... decor ... restaurant eat good , especially Yolo 's ... miracle mile shop ... favorite place shop Vegas ... room service come quickly good ... large bathoom , comfortable bed , flatscreen tv tub ... middle stripThe part not like ...... room 6th floor view ! could see roof casino window . I stay Bellagio Orleans . compare elegance Bellagio step Orleans . overall , enjoy stay ! 
 Jun 10 2009 	 first time Vegas probably last stay PH 	 will keep short simple . we go Las Vegas group friend family wedding PH ( Maid Honour husband Best Man ) . wedding party & amp ; family stay PH Resort & amp ; casino make thing easy . first time Las Vegas try objective & quot ; bad & quot ; thing sure similar fault find resort Las Vegas Strip . also last vacation caribbean south america nice go somewhere could drink water ! haha ! good : -beautiful hotel casino - room huge quiet - room movie theme - kinda cheesy hey 's vegas ! think cute . ( & quot ; die hard & quot ; themed - see pic detail ) -The wedding reception hold & quot ; Panoramic & quot ; room HUUUUGE ( big condo home ) view gorgeous - the Miracle Mile neat shopping ( love Bettie Page store ! ) bride great breakfast tiki - theme restaurant miracle mile ( can not remember call staff wear grass skirt ) morning wedding . service friendly fast great mimosa ! - bed room super comfortable- heart bar middle casino meet - up place entire trip . staff really nice comfortable ( expensive though ! ) - wedding turn really nice brother sister law great day . wedding cake DELICIOUS ! - pool look nice busy wedding stuff not really get go swimming . check day wedding hot go ( pool full sun ) .The & quot ; Great & quot ; - main - pretty much - beef big one : Customer Service leave LOT desire . people check we great , staff various bar , restaurant nice ever problem room something , forget , not care . would also like mention GALL charge we $ 300 U.S. 24 hour rental dvd player ( wedding reception prepare little video show ) . REALLY ? ! could buy one give Goodwill shop afterwards less ! know going charge we much would tell put dvd player rent pay family member without tell cost . anyway , lesson learn future wedding party / good intentione maid honour , not bother dvd player rental PH.BUT WAIT get well ! rent amazing $ 300 dvd player , do not work properly ! would think price would come set oh , not know , make sure work reception - . luckily many we wedding medium biz able fix call reception ask help cut , transfer multimedia department instruct leave message , never get call back . - wedding nice turn beautiful issue bride groom allow bring photographer hire ceremony . hotel would allow use photographer - great picture turn lovely spend money hire photographer slightly upset . luckily one bride groom hire take we get great shot around strip wedding not total waste.- hotel expensive . look deal expedia itravel priceline planning stay here.- $ 30 per person day go gym hotel ? do not think . although hear pretty standard Vegas will not fault that . other great time Vegas experience PH still good stay . however next time would stay different hotel . many group stay New York New York Imperial , maybe not & quot ; fancy & quot ; PH , certainly not pay much stay that s worth . hey , try different hotel everytime anyway right ? 
 Jun 10 2009 	 Good Bad - would not stay 	 take boyfriend Vegas 30th birthday first time . look hotel good location , good atmosphere decent price . find thing Planet Hollywood . however , issue would make go elsewhere next visit . first though , good : - mention , location - 's close monorail want head far north perfectly situate decent walk south - good atmosphere casino - definitely party atmosphere many casino music , light Pleasure Pit- sign player club , $ 50 free $ 5 slot play give e - mail address . be couple week since come back home not receive communication not think 's go problem.- Miracle Mile Shops - huge convenience shopping dine close room like everyone say , 's wonderful Earl Sandwich ABC store nearby ( thanks former forum user . ) also eat breakfast Cantina couple time . - Rooms ( good thing ) - comfortable bed , spacious bathroom enough lighting . grumble really dark sarcastic , boyfriend go around room turn light tada ! plenty enough light able see whatever want see . could ' ve even read book want .... ( turn light people . ) , bad : - room - wall thin . wake first night scream girl room behind we say V - i - p baby ! ! ! ( first drunken think Hollywood Hip room Planet Hollywood ... ) anyways , able clearly hear every word every conversation & quot ; neighbor & quot ; 2 day .... take - service - call ask could change room lack ability sleep ( know 's Vegas would like get sleep recharge future play ) , tell would possible , extra $ 120 / night top already pay . warn book package deal Travelocity Expedia directly PH , may able get refund go somewhere else either . purchase non - refundable package stick room crazy girl behind bed . make miserable first half trip . ( hey , least could hear plan day could avoid spot . ) also , 4 night 2 , come back random trash outside room . one day open jug water Walgreens sit plastic bag front door next two empty glass . , room clean hallway seem ok , sure put trash directly front door.- pool - not get pool early , get really crappy place lie . two small pool chair go quickly . , option lie fake grass pot plant fake lamp post block sun like every 5th chair . also , early day hotel block sun end mostly shady pool area . be far bad pool ' ve see strip . we get 5:00 p.m. long line able check quickly - problem . overall , would say noisy girl check vacation improve beware wall paper thin . next visit back stay somewhere nice come back PH gamble . 
 Jun 10 2009 	 Fantastic Location Great Atmosphere ok room 	 stay 3 night Dad . member group staying hotel . Memorial Weekend Vegas Hotel busy . Checkin easy find initial room substandard - strange musty odour . trip back reception secure we nice room high floor . definitely need lighting room - really compliant . great bathroom bathtub , brilliant view SUPER comfortable bed . wireless internet free fast . order room service one drunken evening GREAT - well food eat Vegas . when could not open safe , security we within matter minute . the casino public area lot gear young set brilliant . none tire granny glamour see Paris , Caesars Bellagio . pool area great , cheap drink great DJ weekend afternoon . all , wonderful Vegas experience - would stay heartbeat . 
 Jun 9 2009 	 great young couple group friend 	 return Planet Hollywood hotel 16 bloke stag doo . arrive quite bit drink plane check quite quickly . room nice enough . quite dark Vegas care room . location hotel good . casino lively pool dj time . get club hard work . let mate think Johnny hard way talk people . want get put go somewhere else . Earl sandwich ok change . bottle bud $ 6 . tip ...... put dollar slot drink lady come order drink tip free walk away drink . would stay want quiet hotel do not stay . 
 Jun 7 2009 	 good stay Hip Planet Hollywood 	 first advise ... use valet parking ! free parking hotel 's real long walk pass Miracle Mile shop . a bit line check overall quite fast guy friendly courteus . the room really large enought , two queen size bed , round table armchair , spacious working desk big lcd tv , hip decor . View Strip . some movie stuff room , picture , fake bomb , leather jack use Arnold Schwarzenegger .. funky touchesthe big marble bathroom two basin , separate shower tub . thank free coupon Spice Market buffet , go breakfast good ! excellent choice , live cooking stand , good service . the hotel stand middle strip , perfect location . overall good experience PH ! ! 
 Jun 5 2009 	 experience ` ` ok '' 	 stay Planet Hollywood Hip room 2 night early month . since check around 10:30pm , not line check - in . check - in process quick person deal we pleasant . request high - floor room give one othe 17th floor . room spacious one king - sized bed , however movie theme room . bathroom spacious big bath - tub . also shower stall , however seem dirty quite match theme room . first glance , room great , however upon close examination , could tell room completely clean / organize housekeeping staff . floor mat shower stall miss soap . however 2nd day , thing bathroom return room night . $ 5 resort fee charge per person per day quite rip - off since include 2 bottle water , newspaper unlimited local call . day , newspaper deliver . day check - out find newspaper door morning . bed comfortable . package also include $ 15 free - slot play , however soon find need spend $ 40 slot & quot ; earn & quot ; $ 15 free slot - play another rip - off . early week stay MGM be give $ 20 free slot - play without spend anything . location hotel great midddle strip 's close everything . overall stay ok , really enjoy comfy bed , however probably stay elsewhere next time . 
 Jun 5 2009 	 Great Location 	 first trip las vegas really enjoy stay planet hollywood . stay hollywood hip room great size huge bathroom bite dissapoined view can not everything . bdes mega comfy .The location strip really good 1st day breakfast one restaurant ther mall cost $ 40 dollar . discover earl sandwich PH really cheap nice approx $ 15 3 breakfast sandwich . go spice market buffet ok give $ 25 dollar money coupon . planet daily also ok . the one tip would give bring comfortable pair shoe blister prove strip foot ! premium outlet mall briilant guess , juicy couture , coach , ed hardy , tommy hillfiger , ralph lauren approx $ 150 shop spend whole day go back last day ! ! strastosphere brillant although personally leave scary ride leave 10 yr old boy . 
 Jun 4 2009 	 Planet Hollywood - Out world ? 	 return 3 night stay Planet Hollywood . know reviews site mix , get good rate since good location Strip decide try . ( stay Aladdin ) . good thing room great bathroom ! large , separate large tub , shower , room toilet well big vanity top . bed comfortable , room clean , although window small size , nice view pool partial view strip . near elevator hear noise . & quot ; disturb & quot ; sign make hung doorknob maid came put print one key opening . ( think 's odd sign room ) ask extra 45 min . extension checkout , cheerfully give . eat several time Planet daily - portion quite large split breakfast order plenty 2 we . internet service available room $ 13.99 - I think free . Miracle Mile Mall attach big plus . 2 ABC store find reasonable price misc . item , Coffee Bean store free WIFI ( slow , free ) also nice able shop without go heat . duece Bus stop right front hotel convenient go Strip . I not impress Casino - maybe ' m old appreciate Pleasure Pit . all , maybe world , certainly good value money . 
 Jun 3 2009 	 Loved Stay ph one bad flaw ......... 	 stay PH Memorial Day weekend ( 5/23 - 5/26 ) part enjoy stay . room clean enough room move around ( 4 we , 3 girl , 1 guy . thank goodness large bathroom : ) ) . Room also look like picture . arrive 11:30 morning immediately check . staff friendly . planet daily good food reasonable price . location hotel good middle strip . walk hotel onto strip decide want go leave right : ) also love Miracle Mile Shops . nice able walk around pick anything may forget . casino nice well do not spend lot time . go pool , PH think upgrade pool area since equate get pool backyard . complaint PH night club Prive . try go Sunday night terrible experience . stand line hour ( mind even start let people right front ) get crowded club , one host try get friend try get jump line . make long story short , walk we say & quot ; move move & quot ; , word exchange , instruct client , quote , & quot ; knock & quot ; really turn big scene . big mess people work prive ignorant disrespectful . lot witness incident people wait line actually club many walk could not believe happen stand line wait hour well . actually pick choose go let club do not look certain way , well get . really sad witness type discrimination 2009 , say . club let would like . suggestion people color , old couple , foreigner ( unless asian ) , people willing pay bouncer $ 100 plus get pass rope ( still pay get get escalator ) , people do not like go naked reading , go another club do not waiste time Prive . security PH helpful incident provide we corporate number address call lodge complaint employee Prive employ PH . something do , probably , never ever attempt go prive . PH may want careful instance like continue , future guest may associate prive PH decide stay ph ever . 
 Jun 2 2009 	 Nice Location 	 staff nice hotel , even upgrade we strip view . room lot small thought would , make glad decide get ready wedding friend 's room pallazzo . deep tub heaven send foot 3 day non - stop . nice affordable mall resteraunt attach hotel . far night club , ready come early stand line majority night . suggest & quot ; Jet & quot ; Mirage . fun , music great , line keep move . 
 Jun 2 2009 	 Great Location - Poor Execution 	 stay 7 night Memorial Day weekend . upgrade resort room large standard room . overall impression hotel great . love look feel place however design really put negative stay . casino area imposible navigate . various exit hotel strip . see exit may towards back hotel lead shop . due architecture casino floor walkway lead centre casino hard find way back right elevetor area again . pool area ok , big flat patch concrete sunlounger two raise pool area mostly full people want look good room use pool intend purpose swimming . we eat Planet Dailies Earl Sandwich . pd great quickly seat fed price . EOS ok really worth money personally prefer cold sandwich grill one complaint quality . connect mall 2 ABC store great look round filling drink snack compre hotel shop vend machine price . get lot 1litre bottle water ABC 99c , good value find compare Walgreens CVS.Overall would stay recommend would much well deal surround hotel stay location perfect need . 
 Jun 2 2009 	 never go back Planet Hollywood ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 PH bad place could stay Vegas . reserch find place good . room nice . plain small . clean . staff rare . find one much help . staff deal rude , help much basic request . phone work . pool cramp . stay MGM Signiture Suites year ago , good place ever stay . PH could use lesson 2 MGM suite . planning trip Vegas , favour stay away ph . realy disapointe . never go back ! 
 Jun 1 2009 	 need work ! 	 hip , trendy hotel complete beautiful people , good shopping , variety dining option , great location . downside , room 26th floor could not help notice hotel along room bit shabby . not know result hard partying go need attention . pool ( call ) joke . 2 small pool flank concrete astro - turf common area break lounge chair . padded lounger look drink spill onto . make want sit . choice package deal available strip , stay somewhere bit luxurious least somewhere fantastic pool . definitely . 
 Jun 1 2009 	 Flashy outside dissapointe inside 	 stay 2 night ok , point could definitely well . book room ( non - smoking , fountain view ) 3 - 4 month advance hope everything would secure . upon arrive , receptionist tell we room indeed view Bellagio fountsin , not non - smoking one first night . not really mind , since something can not guarantee 100 % book . enter room , negatively surprised : room not clean ! leave previous tennant leave , bed undone , ashtray full cigarette , etc etc . first time something like happen go straight reception apologise put we another similar room . later find situate next elevator could not get decent night 's sleep noise . next day ask move non - smoking room promise away elevator . move we another one . overall , location hotel great , 's centre Strip , right across Belaggio next Paris . view also amazing , Belaggio fountain Strip . room quite dark clean . fact , toothpaste stain sink , shower not look clean . stay best western hotel San Francisco , supose budget hotel & quot ; resort & quot ; PH , amazingly clean well - decorate compare one ! furniture carpet look worn wonder hotel really refurbish . could spend bit money make room look bit decent . finally , 2 phone call San Franscisco area book another hotel rest holiday , last around 2 minute . charge we 65 dollar ... ! ! ! ! complain say 's charging , phone company . unbelievable ! 
 May 29 2009 	 hotel awesome ! stay ! 	 love hotel . stay shopping , nightlife , partying , gambling , general good time . issue really , fitness center extra $ 25 / day fact housekeeping staff ( one phone ) terribly rude we . 5 day , room clean 1.5 day . .5 came room day call repeatedly room clean , able clean bathroom . besides classless person end housekeeping ( tell we housekeeping would & quot ; get get & quot ; , staff magnificent . front desk , bellman , man call taxi ... awesome . Vegas , tell class hotel availability random people around help direct hour . PH definitely top class . location also prime . across Bellagio , easy access fountain show . mall hotel ; Miracle Mile . next Paris Hotel , block Caesar 's Palace . would recommend hotel ( do not ever ask housekeeping come back ... 's guarantee ) . 
