purely 	 stay throughout 10 day stay along colleague , say pleasant stay . stay single room , though hotel big family room spacious comfort , even though spend much time work sightseeing . hotel one quite by - lane main london , tell one bomb blast happen right front hotel . actually not take taxi even bus get client 's place matter wherever wanted go , restaurant dinner near tube station , much with - in 5 - 10 minute walking distance . could walk crowd place London , Piccadilly square 10 min still come back hotel , right opposite silent beautiful park Mahatma Gandhi statue . overall hotel conveniently place kind activity mention helpful staff helped advise rightly we everything approach , direction indian restaurant nearby book we taxi odd time airport . thank well - define process place guest . 
 quite comfortable . 	 stay Tavistock week comfortable . room clean , water bathroom hot , bed fine , thankfully , lot light bed read . check really hot ask turn heat immediately . breakfast copious . 's true be friendly not need lot personal attention . want stay spring concerned review single traveler bunk people someone show door middle night . hope management read review . 
 value money great location 	 friend stay overnight way Eurostar , arrive 11 pm leave 6.30 follow morning . rather worried mixed review , room perfectly adequate , clean well - equip bathroom . staff friendly helpful . although leave far early breakfast , start 7 , staff reception anxious least try arrive ten minute early could probably accomodate - happen , leave early tea coffee facility room need . staff reception cheerful friendly left , could not fault . would happy stay . 
 good money 	 book Tavistock last minute give good room 8th floor , complaint clean adequate , face front hotel bit road noise not keep we awake . room warm cosy tea coffee make facility , haridryer tv . stay apparently switch tv near bed . the Bathroom clean well equip towel soap shower gelThe reception staff helpful courteous , lifts fine , restaurant staff friendly , breakfast good - plenty eat complaint tin tomato ! ! excellent location near EustonWe not read hotel would not stay would miss good clean reasonably price hotel London . 
 Jul 12 2006 	 's ok price . 	 wife stay Tavistock London work . stay twice three day . 's good reliable price . room smallish , big London ? furniture see well time . hotle Air Conditioning hot night must window open , even , inside temperatrure 27 deg ! yes , lot siren alarm go night long . cleanliness . near room see tray half sandwich entire 24 hrs . could see sandwich wilt heat . something simple correct give customer bad impression . the front desk correct unhelpful find . smile see . talk number time . smile . oh well , expect centre London 61 pound , breakfast include ? way , breakfast quite good : egg , bacon , sausage , bean , fruit , juice , bun bad coffe . service restaurant much well reception desk . the coffee bad : come back Eastern Europe coffee terrible , whithout exception . try bad coffee Chile . one thing : hotel close Russell tube ( underground , subway ) station quite close great British Museum . big bonus . 
 Jul 5 2006 	 good location good price good hotel 	 stay two night son . hotel 5 minute brisk walk Euston station - good location travel North . large property occupy whole south side Tavistock Square . spacious stylish art - deco entrance . efficient check good lift . our room eighth floor overlook square beautifully woode . room small , possibly even cramp comfortable . bathroom work well . good deep bath good quick supply hot water . bath shower good pressure thermostat difficult control . light throughout conceal fluorescent work well good bedside control . air condition necessary even hot condition . south face room may difficult . fitting seem newish , good condition clean . Breakfast include good . serve canteen style include cereal , porridge , fry scramble egg finan haddock . 
 Apr 28 2006 	 back time 	 sister stay Tavistock hotel one week - April 13 19 . good news arrive hotel 9:14 fly night Canada could go immediately room . thank much ! exhausted . room small , clean . decor bit mis - match modern , sort like stay old house . bathroom two part - w / c ( toilet ) one part sink tub part . hotel bring 2 clean bath towel everyday - supply washclothe , hand towel . room sixth floor face street , hot , window open night . street must somewhat close hospital siren night long . sleep restfully . boy conceirge pleasant helpful . hotel close Russell tube station , several small convenience store restaurant within walking distance , city tour bus company pick near hotel . disappointment accomadation , nothing exciting either . 
 Mar 26 2006 	 basic fine price 	 can not expect luxury London £ 61 ( single ) £ 82 ( double ) Tavistock fine want bed night - night - convenient location sightseeing activity . bedroom bathroom clean functional , though without usual & quot ; extras & quot ; one might expect day ( frig , hairdryer , shower cap et al ) . Russell Square tube station ( useful Piccadilly line ) couple block away , be good access lot major location . first sight , think public area ( reception area / lounge , bar , breakfast room , small restaurant ) look bit dowdy compare modern hotel . realise virtually everything ( reception desk bar mirror light ) genuine Art Deco - absolute delight anyone interested twenty thirty - like transport back early age . 
 Mar 16 2006 	 take stock Tavistock ! 	 first nervous , friend recommend , website look dowdy photo make seem bit less grand . less grand- wonderfully cozy hotel . concierge - cute blonde one anyway , seem know less London , would always answer question put . room not large , find one London affordable ! wonderful time quiet dignified gem hotel . the good way Heathrow take Heathrow Express Paddington get cab . cost bit , smooth sailing , would minute ! nice little bar , super fancy congenial , meet several nice traveller , Irishman Scot- smart savy visitor London . also good choice student group . 
 Mar 13 2006 	 budget hotel 	 Tavistock -as already point members- reasonably price , well locate clean . £ 82 per night double room much London . : room matchbox size one towel per person provide . hair - drier either ( floor well equipped ) borrowing housekeeper involve £ 20 ( repeat 20 pound ! ) deposit : however refundable , find extortionate old thing get anyway pay price well equip room . need adaptor £ 5 deposit , Pc plug £ 2.50 . check leave bag storage room , pay £ 1 ( non refundable ) . exception , staff could kind . breakfast bit boring certainly keep go quite , avoid coffee coffee - lover ( pop next - door tasty variety ) . 
 Jan 26 2006 	 outstanding budget accommodation 	 stay Tavistock Hotel regularly do last two year . provide outstanding budget accommodation , can not imagine will want book anywhere else . every time ' ve stay room spotlessly clean , staff friendly helpful , room quiet 's reasonable expect central London . not many frill , be comfortable , warm winter , room nice enough spend evening be stay week not want every night . area safe convenient public transport , hotel feel safe secure . London 's easy pay lot get lot less . ' ve recommend hotel several friend also satisfied . 
 Jan 12 2006 	 Great value - comfortable place stay ! 	 Stayed & quot ; Big Barn & quot ; twice . great location , short walk Russell Sq . Tube Station . plenty store , pub , etc . , near . money , be perfectly nice place stay . bed , tv , big bathroom ( european standard ) , hot water , good water pressure . breakfast include , get boring couple day . make sure observe dynamic among dining room staff especially ( dare say ) Maitre - d other . anyway , bowl cereal , off - white egg , mystery meat bunch coffee fortify 11:30am Pub run start ! bottom line , look american standard price , will not happen . happy nice comfortable room , good staff , wonderful location . 
 Jan 11 2006 	 good last time still ok ...... 	 daughter stay time last year three night happy , brother London one night way home , course decide stay . time however , not nearly happy . starter , short time London , want see much possible dark . delay plane underground , happy finally reach hotel get start site seeing . apparently train new staff member , check - in take twice long , detail explain step step . not know hurry , can not really blame , frustrating . when reach room 4th floor somewhat disappointed . small room high floor last year , bathroom tiny ! much , much small one last year . everything seem clean though . however , take bath night , find hair bathroom , include tub not belong we . towel leave lot desire . two thin , rough towel nothing else . wash clothe , know sometimes normal , not even extra towel dry hand wash they . since rain , dark , nearly attraction close , Victoria 5:30 a.m. next morning , make short night , back hotel 19:45 . stop front desk way room arrange taxi next morning . tell , almost rude way , need porter desk . turn , come nobody , go front desk first place . turn back tell probably back . finally get porter attention , tell we call back 21:00 night shift porter would . Glad not go bed early ! could not take information pass ? rate , wait , call porter 21:00 arranged taxi 5:00 a.m. also request 4:00 a.m. wake call . last year , problem traffic , low floor , corner near busy intersection , be hear night long ! know must slept , sure not remember . feel like awake night long listen traffic ! 10 minute 4:00 , wake call come . thank goodness extra time , 15 minute 5:00 , hear honking outside , look see taxi wait we ! grab thing dash elevator . get , meter running ! tired argue complain glad get home . leave early breakfast , like everyone else express , be last year , be well skip anyway . all , price , location , overall quality ( know still somewhere , maybe 4th floor perhaps ? ) can not really beat hotel . staff not nearly pleasing , hotel staff come go , could new staff next time . I will give one chance , really hope somewhat negative review recent , not sign thing come , really great little hotel ! 
 Jan 10 2006 	 work 	 get back vacation girlfriend stay Tavistock London . book British Airways Holidays website , get good discount . reason stay third generation stay upon visit London . feel duty age grandmother stay , funny enough , thing say hotel . postive ... -location great . Steps Euston Station British Museum , walk distance everything . tube stop ( Russell Square ) Piccadilly line not need tranfer go Heathrow aiport.-cleanliness . room always clean always seem housekeeping change room . negative ... -breakfast general . Restaurant Staff unpleasant , breakfast unpleasant . waste time money.-the bed could comfortable , think hotel would benefit nicely remodel , maybe bring least 90' . all , not expect Hilton , handle set . London , meant wake , leave hotel return late crash . 
 Jan 4 2006 	 pull fast one us 	 vigilant enough , sneak currency conversion right charge credit card . put term conversion receipt , verbally point sign . needless say , conversion rate good get credit card . feel like ' ve cheat . otherwise , place ok . 
 Dec 13 2005 	 great location wanted 	 spend 5 night Tavistock last week , Dec. 6 - 11 . excellent location , easy access tube bus , regular turistic . British Museum Petrie Museum hand , Covent Garden Theatreland wakable distance . we make book october , spanish internet service Rumbo . check e - mail one week arrival everything ok . ask double bed non - smoking room high floor get everything . the room ( fith floor , main entrance ) small US standar , clean well keep . double bed , one chair , closet , desk three large drawer bathroom . also tv , water heater toilettrie ( 3 soap bar every day ) .The staff helpful , not ask anything reservation . phone rate , call US , Canada western Europe , 1 GBP / min . a double UK socket room , 220/110 v soket bathroom , shaver . just Russell Square tube station , buy anything Tesco ; close also good pub ( Friend Hand , Lamb , Lord John Russell ) restaurant convenience store . only two warning : room heat night , temperature controller ; sleep t - shirt , top sheet thin blanket . continental breakfast boring stay long , toast , bread roll , butter jam . 
 Oct 27 2005 	 Value money 	 recently spend two night Tavistock Hotel near Russell Square London . book British Airways website . cost single 61 pound sterling double 82 pound . sometimes small discount available online , good price London . what like : lift ( elevator ) . public room , room bathroom spotless . room always smell fresh obviously clean thoroughly every day . water pressure shower excellent . staff helpful , especially boys concierge desk . suitcase split zipper day travel find heavy duty tape mend flight . also help insert sim card new mobile phone . also help luggage want . lady appreciate thing . I give room two single bed ( sure room one bed ) price 61 pound . bed , cupboard hanger , desk unit drawer clothe television . also enough room move around without bruise . room look onto Tavistock Gardens front double glaze combat traffic noise . area handy everything . Russell Square tube station couple block away ( picadilly line come Heathrow ) , walk Tottenham Court Road Goodge Street Station also within walking distance . easy get sight without spend age tube . area seem safe always plenty movement due proximity London University . coffee place , laundry , pub restaurant around area . internet place couple block away , well Waterstones bookshop buy map guide London need . short : cleanliness , location , value money . like : breakfast person breakfast issue might other . price room get continental breakfast . consist basket cold , fresh , roll table . get glass juice . little packet jam butter . member staff bring tea coffee cup . tea delicious . remind don´t like breakfast anyway leave make small dent roll take two sip tea . pay cook breakfast cost 5 pound , also good price . buffet seem everything might want didn´t . think staff dining room less nice staff hotel . waiter even argue whether order tea coffee . so , like breakfast , buy cook one visit one many coffee place nearby . 
 Oct 14 2005 	 great . 	 Tavistock safe , quiet area within walk distance almost everything . however , room quite utilitarian clean could . filthy , not fully north american standard . example , not vaccuum room every day . tub elevate slanty , careful , definite safety hazard . breakfast detestable . sleep miss , really not miss anything . thing resemble edible food hard boil egg . fruit , toast white freezing , remainder food greasy overcook . would well go Pret Manger start day . price pretty good London , 's desirable hotel say do . also , concierge desk completely useless . will not even offer call somewhere . , budget , not care food , would fine stay Tavistock . 
 Sep 26 2005 	 tiresome experience 	 fussy one , need able sleep pay 3 * hotelroom . that´s idea , yes ? ? get double bath . bed full double . bad - could sleep one time bed hole middle . try sleep side would roll middle sure , kid ! agree reviewer , lobby stink stale ciggarrette - smoke . room , beee non - smoking room ok . air ventilation force we window open terrible noisy street . apparently police - station nearbye could hear siren every 10 minute . breakfast good ( continental ) , could pay extra full english breakfast . could wait long time well . tv small reception bad . many channel . also wait long time get room - check - in time ! sit smokey lobby wait nerv - wrecking . go walk British Museum convinient near - bye return one hour get promise room . still ready ( 3 o´clock ) tell come back another hour . hour , still force wait good 20 minute could give we key . also try change room bed , twin room example . say beds hotel . lie , read review person stay twin ! bathroom separate WC wich good thing . unfortunatly wasn´t much hot water ! careful , water end floor run hallway soak carpet . got unhealthy , think mold ! 
 Jun 27 2005 	 pretty good 	 Tavistock pretty good - traveler aware couple thing . first , good . 61 pound per night include full breakfast single , good deal London . stay 3 night . room double bed , full bath , tv , tea / coffee - making , hair dryer , phone internet outlet ( not use ) . room clean ( minimum requirement budget accommodation ) , lift work feel quite safe . breakfast , certainly find need fortify morning . location excellent . food shop , restaurant around corner , nice park doorstep , five - minute walk Russell Square Tube station ten - minute ( ) Tube ride central London . staff sometimes little clueless quite decent . tv work fine . now , warning . air conditioning . 8th floor unusual heat wave . hot floor . window open , able sleep night . make sure read phone charge card one drawer . charge 1.50 pound connect phone card line . breakfast buffet , pick choose . scramble egg large chafing dish watery unbelievably bland . coffee undrinkable . go tea . poached hard - boil egg okay . Use toast make egg sandwich . cereal good . , however , quite boring stuff every day . also , distinct odor cigarette smoke lobby allow smoking . 
 Jun 25 2005 	 Excellent Value 	 wife stay 4 night hotel recently find every thing fine . 6th floor face room . room recently renovate , quiet , clean comparable size average canadian american mid price accomodation . staff friendly helpfull numerous pub area reasonably price well dinning . purpose sight see hotel perfectly locate 66 pound double per night via sunwe bargain . 
 Jun 12 2005 	 Excellent value 	 recently stay Tavistock 10 night visit London . it excellent value - great location , friendly staff , clean - bed sheet change every day ! breakfast ample . tv hairdryer room work well . visit London frequently year find Tavistock one good price range . 
 May 28 2005 	 good value clean simple room . frill . 	 £ 61 B & amp ; b central London - expect bad , pleasantly suprise Tavistock Hotel . easy walk distance Euston lovely green square . hotel reception welcome efficient . room 6th floor spotlessly clean , especially bathroom . two single bed , tea / coffee tray . tv not work , report check overnight . do not breakfast , colleague tell ok . highly recommend budget business stay , take hairdryer toiletry . couple bar soap supply . 
 May 24 2005 	 Good Hotel 	 stay Tavistock 05/05 . have expect stay friend fall , check , think would stay one night find something cheap . soon figure not going find another place great location , walk distance everything , 61 GBP ( even bill dollar bank would not add charge exchange currency ) . be basic , comfortable , clean hotel , safe single woman traveler . first stay room two single bed 6th floor , overlook street , street noise much . front desk staff ( nice , helped restaurant recommendation ) move end room one bed refrigerator , also 6th floor , view rooftop room , quiet . overnight trip town , check hotel near Paddington Station ( Ashley ) cheaper get good review site -- however , immediately check allergy attack due dust / mildew / mold , go back Tavistock . room two single bed 7th floor ; hole wallpaper , still comfortable . criticism , really , awful english breakfast , thin wall . however , find great place call ICCO Goodge Street , short walk away , excellent coffee . order hot drink noon , also get free croissant . wish have find early always skip free breakfast hotel ! thin wall not much problem vacation go sleep early . stay seven night total , would definitely stay . 
 may 20 2005 	 clean simple good value 	 stay one night business . room book single fairly large two single bed . plenty wardrobe space toilet separate bathroom fairly unusual meant space well use . the room spotless bed comfortable although bed spread whilst clean quite worn . noise traffic outside bit intrusive even though window secondary double glazing 's quite common London even expensive hotel . the staff reception porter 's desk friendly helpful ; less dining room breakfast bit shambolic . tell simply take want buffet sit table need clearing . rate include English breakfast not hot ask tea drink come form one cup tea rather pot tea usually serve hotel . all hotel bad probably well consider simply make affordable stay London rather make want stay . 
 May 17 2005 	 Best ! ! ! 	 Location , location , location - easily walk distance 2 tube station + rail station . great area shop , pub , restaurant , - close everything . many room overlook park . room basic , clean , comfortable pretty big - room nice sized square . room not noisy . bathroom clean well not tiny . staff nice , friendly helpful . love hotel lot - much Corus Hyde Park , stay well ... breakfast decent - lose continental breakfast card , guy front desk give we buffet breakfast card - nice ! : - ) price ( $ 88 per night per 2 people ) - can not beat ! ! ever go London - will stay Tavistock ... 
 may 15 2005 	 Art Deco good value 	 book Imperial Hotels website , advertised price single £ 61 include english breakfast tax ( 17.5 % ) . hotel excellent value compare current London price . attractive location overlook Tavistock Square impressed 1930s public area , genuine art deco panelling , light motif . room two single bed , tv , kettle sachet tea / coffee ( poor quality , coffee drinker recommend one bring small plunger buy coffee ) , trouser press . sure single rate automatically provide twin bed , not complain . the bed rather narrow , guess standard size . bedspread seem little tired could due replacement . quiet location apart occasional siren motor bike race Southampton Row . bathroom simple , basic fine one 's need - frill . powerful shower plenty hot water . the english breakfast offer poach scramble egg , English back bacon , sausage , tomato ( tin ) , bean , porridge , cereal , orange gapefruit segment ( tin fine ) , toast even haddock . think excellent all - in price . guest prebooke include continental breakfast , pay £ 4.50 English . exhorbitant ! would recommend hotel other Imperial Hotels group ( Imperial , President , Royal National etc ) . cheap other include Royal National , next door , enter think resembled barrack ! big absolutely appearance charm . breakfast room remind hostel . Tavistock much demure dining / breakfast room delightful , , straight 1930 . I would definitely stay recommend anyone budget look luxury ( price ) . 
 May 4 2005 	 great location ! highly recommend traveller budget 	 stay Tavistock Hotel 4 time last 6 year , pleased stay . room , although fairly small , comfortable clean . time location upper floor rear hotel , quiet . full breakfast quite good , breakfast room nice . pleasant waitress time stay hotel . location great . near ( 5 6 - minute walk ) Russell Square Underground Station Piccadilly Line perfect arrive Heathrow . also nearby Euston Underground station ( 9 10 - minute walk ) . various bus stop near hotel : route 68 91 . Euston King 's Cross Railway Stations within walk distance easily accessible bus . I would recommend hotel anyone budget want convenient location . comparison hotel London , especially expensive one , Tavistock Hotel good value spend . 
 Mar 17 2005 	 good price 	 overnight - really enjoy art deco reception area , - functional , simple clean . room reasonable size , bed small ( 6 ft 2 & quot ; foot edge ) - book single room two small single bed . bathroom shower good . staff helpful . location - great want ( work need ) - near Euston Station . guess price pay £ 69 good value , can not complain - consider put well quality bed nice bed linen - worn , pink candlewick bedspread really let room . 
 Mar 16 2005 	 great price decent room central location . 	 since make choice hotel base excellent review Tripadvisor , think write review help other ..... must go thru numerous site search hotel near Russell Square ( go local tour Contiki tour , near Russell Square ) .while there s shortage hotel , B & amp ; Bs around , price way budget , , pay extra bath , even toilet attach ! ! ! ( come place even lousy hotel attach toilet ! ) imagine happy find BA site advertising room Tavistock US $ 88 double ( partner ) .. really good deal come across .... going go detail room condition ( find plenty review , different opinion : - ) ) , pay , go rate room London ( attach toilet mind ! , ) fantasic bargain .... great because:1 ) first timer London ( like ) , link directly Heathrow Airport Tube Station Russell Square tube station . there confusion do not require one change tube line , anything . just hop Heathrow Picadallly Line , 45min , reach Russell Square . then five minute walk hotel.2 ) location really near attraction London . one probably walk place , since unsure , use tube time . its couple stop away major tourist spot , eg Oxford St , Big Ben .. British Musuem around corner . plus nice quiet areanot quiet extent feel dangerous walk street , near university hotel , there s many student , tourist walk around ... nice get tired hustle bustle London .. 3 ) there s Tesco Convinence shop front Russell station . no need compare price .They sell cheap beer , mineral water , snack , etc etc anyway around .. stock reture hotel.4 ) can not confirm everyone , manage get check 10 am , arrive early London tell would check early , 6am . the reception good , check without fuss . I suppose lucky room available .. probably summer , would wait till standard 2 pm . be not able get late checkout though come back tour , guess , hotel fully book . but able leave bag 50 penny day , pretty reasonable.5 ) probably guy would find thru website Royal National , Imperial , Tavistock belong chain hotel . the Imperial probably expensive , follow royal National , tavistock.not much difference price quailty , Tavistock small hotel . thus believe could offer personalised service , compare Royal National 's thousand room . I tour companion stay . maze tell I . all , satisfy place stay , would definitely return therewhen go back London . Hope review help small way like way previous review help me.cheers 
 Mar 9 2005 	 Attention Budget Travelers ! stay ! 	 find list hotel website least could return favor budget traveler . stay hotel Feb 23 - 27th head Paris . book British Airways Holidays ( flight United ) pay $ 88 / night hotel BA Holidays . arrive advertise GBP 88.00 , double exchange rate . reason give hotel * * * * search hotel three month . hear lot bad service tiny hotel room . $ 88 decent sized room , hot water , contintenal breakfast toast & amp ; jam , roll , tea , coffee , hot tea maker room , decent night sleep . one day get late continental breakfast dining room close , manager accomadating sit we , ask chef make new toast , insitste server give we tea coffee . hotel ideal location . 's close Tube active , walk lot sight . 's Ritz , plan sight seeing day , need extravagence ? great deal room please money get we . hope someone find post helpful post see several month ago . Bon Voyage ! 
 Feb 15 2005 	 absolutely perfect - 150 % satisfied - good deal London 	 get back last night . Stayed Feb 9 - 13 2005 . go back forth hotel ask LOT people site opinion not sure read hotel review - get say , hotel unbelievable deal would definately stay ( unless course come ton money mindlessly blow trendy boutique hotel ! ! ) pay 264 US , include tax breakfast never use ( rather experience something differenet day ) , BA 's site . hotel 8 floor probably 40 room . stay room 835 HIGHLY recommend . 100 % clean , good size locate inside , face courtyard noise . heat problem room . hotel room EU expect size . room simple spotless bathroom tub hot water great pressure ! ! ! ! wish tiny apartment NYC kind pressure ! look luxery . however , look clean room enough space companion unreal location deal , hotel . locate right piccadily line Russell Square Tube . 50 minute ride tube Heathrow . one way ticket approx . 7 pound 2 people . lift Russell Square tube 10 stair - big deal , course depend size luggage , age etc . 30 year old live NYC lug luggage train stair , take train plane small apartment blood , feel right home . can not justify spend lot money hotel room literally sleep showered - never room - much spend money hotel . boyfriend 's first trip western Europe first reaction room & quot ; wow great room , clean , really get great deal . & quot ; staff nice arrive 10 am let we check early treat need cause take 3 hour nap ready roll . last night ( Saturday ) go late get back hotel 10 ! ! ! let we extend checkout 2 pm free charge , pay hold luggage 2 pound ready hit road 5 pm . toiletry bathroom soap , usually bring shampoo conditioner anyway bring & quot ; squeegie & quot ; wash sponge toss trip . outlet bedroom , none bathroom , fine . dry hair mirror watch BBC . not check floor , notice hallway get warm walk toward elevator ( room , 835 , locate corner end hotel , maybe low # room warm ) feel room high level may well condition , however , base elevator door open floor 5 4 noticing decor door . , ask 8th floor room 820 - 835 . post picture hotel specifically take site . enjoy ! ! ! also , imperial hotel near take quick look would def . say would take Tavistock . other ( imperial , president , bedford national ) look much rundown , locate main street ( Southampton ) oppose side street like Tavistock expensive can not imagine well . , 150 % satisfied . travel lot year Iceland Rio Cali Prague far good deal . highly recommend hotel . not waste money room never - go great dinner , see play , splurge cool stuff . feel like get deal century . have happy answer question hotel trip general ! ! ! GREAT time ! ! ! 
 Feb 15 2005 	 great bargain Central London 	 stay Tavistock last month 2 friend . book triple room British Air $ 308 7 night , pretty fantastic London , especially central London ! ( obscene exchange rate , certainly appreciate saving accommodation area ! ) give triple room ( 3 single bed ) overlook side hotel , view speak , , be look window , be actually go outside . room nice size , ample space fit 3 adult 3 suitcase . 2 closet plenty drawer space , not live luggage either . room also equip tv coffee maker . the toilet separate wash area , helpful . tub shower , fantastic pressure clean . hair dryer room , get one housekeeping refundable 20 pound deposit , adapter 3 pound . I agree central heating , could oppressive night . however , nothing simple open window , deal quite easily . package come free continental breakfast , really worth . roll , toast , coffee , tea , juice . think absurd could not even cereal unless pay full English , complete rip - off . go find nearest non - trendy cafe pub get proper English less . server friendly though , head breakfast , be sure engage conversation ! Russell Square tube station short walk Piccadilly Line ( easy transfer northern central line , take right Heathrow ) . sometimes construction do lift , way get line , sometimes wait inconvenience 's crowd traveller wait one . come back tube close , 's night bus drop close , bus run day along Upper Woburn Pl . ( east side hotel . ) issue walk back late night area Soho , people would probably want , unless know way around well . : - ) hotel 's surrounding lovely ; Tavistock Square Russell Square tranquil green area ( wonderful sit people - watch ) .The area close British Museum , love walk , easily reach Oxford Street central location . also internet cafe post office area . overall , would highly recommend Tavistock want stay close center , especially get great deal like ! 
 Feb 1 2005 	 good place stay 	 look forward visit london begin january , , shopping sale period . pay 54 GBP nightly doublebe room.we ask stay smoking park hotel give room # 502 . come across smoke section hotel . nor breakfast room open 7 am . room look like recently renovate match photo imperial hotel website . include Breakfast basic ever , plain toast ( butter varied fruit jam ) .Though could take much toast eat . serve friendly waitress tea coffee , find good . also help orange juice ( although be not squeeze ) good.as treat last two day upgrade full english breakast.that cost us 4gbp pp time . room temperature get unconfortably hot unless open windows.thankfully room neat system double window allow regulate entry winter air.we also use space window keep goody buy grocer cool.with window open however hear ambulance ( hospital nearby ? ) .the room good size bathroom large.our room tv kettle closet.we make use luggage room last day ( 60p per bag ) many time london tavistock one well hotel category . plan use hotel . 
 Jan 27 2005 	 everything expect 	 first would like admit sentimetally involve Tavistock Square area , use , student , live Hall Residence overlook square Tavistock Hotel . ever since , visit London several time four time stay Tavistock . , know expect hotel . my last stay January 19 - 22 . book single room overlook square three month ago phone . arrive 10 19th recertionist manage meet requirement check IMMEDIATELY give room 418 ( actually twin room charge single ) , fourth floor , large curved window overlook beautiful sq . I highly reccomend room single traveler non smoker . ( smoker , smell around hotel bother ) . room space enough single , carpet good condition , bed comfortable , bed cover - blanket , ( last visit bad ) , rest furniture average , tv set remote control show english channel + four radio channels.one socket , boiler tea - coffee ( bring ) bid capboard . window double fourth floor hear clearly ambulance , fireengine , police . bathroom enough space , bath - shower , hot water execive pressure , shower gel , ( bring TOILETRIES ) . central heating could stand , sleep without blanket daytime window little open . I pay english breakfast consist egg , bacon.saussage , red bean , toast bread , kind jam , enough fill energy hour siteseee . the rest public area nothing special , anyway never use they . location pefect , Russel sq . tube 5 min . walk d. British museum , Covent Garden etc less half hour walk . very SAFE area night , minute away horific king Kross . in general , spend day ( London full temptation keep foot day ) Tavistock hotel adequate compare filthy b & amp ; b 's nearbybut , think like American , ( hotel centre vecation room must equal house room ) go Savoy pay happily 250 GBP night ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jan 18 2005 	 much needed facelift 	 , go straight point . overall bad consider price pay ( approx . Stg55 / twin room per night ) , unfortunately negative comment still outnumber positive ones.what be good Tavistock .... 1 . location ( central , close british museum russel sq . station ) 2 . plenty hot water ( time ) good water pressure.3 . helpful reasonably polite staff ( allow free 3 hour late check ) 4 . room clean everyday , towel also change daily.now 's bad .... 1 . room extreamly small ( walk bed ) be carry one suit case think cos either sleep leave bath tub . 2 . furniture old , bathroom door break handle . carpet bed cover desperate change . room also internal door adjoin another room . hear every word room next door . wallpaper ceiling paint come . window rusty.3 . whole hotel smell cigarette smoke , actually stink smell , one suffer ashma 's place probably get attack.4 . breakfast - yes course include price worth . plain toast butter , orange dilute water ( yeah that s right otherway round water juice ) absolutely horrible english coffee / tea.5 . hot room temperature ( unbeleivable true - sleep window open - mid January ) air suffocating6 . bathroom ( bar stinky soap supply ) . shower curtain - dirty sticky . small order close door stand toilet bowl ( one room 714 ) 7 . night long hear irritable banging pipe walls.8 . 1 spare power socket room , shaver bathroom . 
 Jan 18 2005 	 stay 4 night 	 stay Tavistock 4 night . hotel clean , room okay . room get common thing need . breakfast special . continental breakfast toast juice . miss hotel ; staff helpful . , what s make difference . staff eager help , give advice . ask help , help get . think look new hotel next time . 
 Jan 9 2005 	 Central Location 	 book Tavistock BA holiday site pleasantly surprised . Hotels London generally overprice BA offer reasonable rate able stay Tavistock five night Christmas . first , plus . the hotel great location , heart Bloomsbury , minute away British Museum surround lovely square . ( , get room overlook Tavistock Square bust commemorate Virginia Woolf statue Gandhi ! ) fairly cheap indian chinese restaurant block away hotel Russell Square tube station two block away . additionally , bus catch close hotel take various major sight . our hotel room small clean staff helpful , suggest bus route provide we lot useful information . on minus side , breakfast offer room dreadful : burn white toast indeterminate can juice . would well get breakfast elsewhere . still , great find would definitely go back . 
 Jan 8 2005 	 pleasant hotel 	 enjoy stay here.its two star compare 2 3 star use continent well kept.our room bath & amp ; toilet clean . lobby nicely decorated.the member staff fluent english cheerful always ready witty joke.russel sq picadilly line - tube direct heathrow , changes.on downside mini fridge ( could keep beer windowsill keep chill ) ; also seem lot ambulance pass nearby ; standard breakfast spartian ( unless pay £ 4 extra daily tempt english breakfast ) toast butter / jam / coffee / juice , eat much like get carbohydrate day same.sunday reason breakfast start 7:30 instead 7.no hairdryer room ( do not ask available borrowing ) -we kettle & amp ; tv though . hotel late night grocery / souvenir / sandwich / everything tourist need shop could eat cheap.when feel like treat starbuck 6 minute away opposite brit museum something traditional like North Sea take away 250 m north east hotel.for £ 5 ( eat price ) get monster portion really good cod & amp ; chips.opposite russel sq tesco shop also find handy.all good stay . 
 Jan 3 2005 	 tiny room poor breakfast 	 three couple Greece , visit London December .We choose hotel comment trip advisor good recommend British Airways .We highly dissapponte . the hotel old look old . the towel clean use . the room tiny .continental breakfast poor english breakfast charge four pound per person extra .the good thing position , close Russel tube station . 
 Jan 1 2005 	 close british museum 	 friend stay tavistock two occassion find great could walk euston station . close british museum walk distance main sight . hotel clean occassion room right main door look tavistock square . look cheap clean pleasant hotel throughly recommend tavistock . 
 Dec 16 2004 	 reasonable budget hotel 	 Tavistock reasonable lodge solutionin London saver . find hotel BA holiday website , 88 $ per night 2 adult , inexpensive ( rack rate double ! ) . 's basic hotel - clean , friendly stuf , . shmpoo bathroom ( bath tab ) .The continental breakfast poor ( tea cofee , roll , toast , butter jam . additional 4 pound ( $ 7 ) egg ( atyle ) , ham , sausege , cerial conserve fruit . fresh fruit vegetable . 
 Dec 6 2004 	 great price room 	 close Metro , 5 min . room small , clean . clean private bathroom also . $ 88 / night baholiday , great deal budget traveller . concerige service soso . free & quot ; continental & quot ; breakfast turn free toast orange juice , bit disappointment . , nice place $ . 
