charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 May 4 2005 	 Excellent hotel heart NYC ! ! ! 	 get back week hotel 31 lovely stay , hotel clean well situated could ask price . stay groundfloor great window view we really matter 5 minute outside hotel could see Empire state chrysler building glory . the staff friendly helpful room small really need , clean every day fresh towel leave , share bathroom always one free , bathroom clean shower powerfull hot ! hotel character nice place retire day hit street shop . quite cable channel keep entertain quite good film one check NY1 go weather news city event etc ... would absolutly stay , right centre city room clean price excellent ! thing would say hotel room phone quite expensive use call UK time get quite shock bill ! ! tip tourist ! walk everywhere good way see city ! 
 Apr 25 2005 	 ` ` Happy Stays '' Hotel 31 ! ! 	 firstly , hotel spotless , room immaculate . room quite small hey NYC ! ! space premium town people tend forget visit . say adequate room comfortable , ' big issue . bathroom perfect , clean every day , room . although on - suite , rarely see share bathroom occupy , spotless . always hot water supply towel ( ' going use share bathroom , ' supply ) . secondly , find staff really helpful pretty friendly . arrive , guy desk keep we chat age ! service fine , detail ' find lack organisation comment forum . hotel location outstanding 33rd st . subway entrance 3 minute walk away , plenty little coffee shop grocery store immediate vicinity , recommend " Cosi " -a coffee shop corner 31st Park Ave . brilliant spot breakfast fast , friendly service . complain page static electricity hotel - and yep alright ! honest , give location , cleanliness price ' small fault - just pull sleeve open door ! ! ! hard ? ? also , yes , lift small ( slow ) , , c ' mon , much issue ? come New York see lift ! ! ' view room , ' plan spending week stare hotel window ! lift window issue really bother you - then obviously ' much else worry ! ! hotel safe location pretty quiet night , save odd siren distance . full day sightseeing shopping city , guarantee will not hear anything alarm go morning ! speak , provide clock - radio nice touch ! tv fine , good channel , ' watch much though . intent watch film , cinema 3 4 block , walk east hotel way along 31st street . ' remember name exactly , ( think might Lowes Kips Bay 570 second avenune 31st street ) keep walk along 31st street easterly direction 10 - 12mins can not miss ! there s also couple grocery store , pharmacy branch " Borders " bookshop area . overall , would recommend Hotel 31 good base explore experience NYC . literally 6 minute walk Empire State Herald Square / Macys ! plan return , ' stay hotel 31 . 
 Apr 14 2005 	 small room good location 	 Hotel 31 good location , unusually quiet NY pleasant ! room clean ( clean come everyday ) although quite small still comfortable . I find elevator quite enchanting & amp ; think add atmosphere hotel . have deal staff coulpe times & amp ; helpful . would come back hotel visit ny . 
 Apr 12 2005 	 Nice hotel great location ! 	 stay Oct. 19th-21st - clean , quiet , nice staff . room small , hey - 's NYC ! ! could even choose room . location simply great - Times Square , UN , ESB , Penn Station , MSG ... walk distance . 5min next subway station . opinion one good pick traveller budget . 
 Apr 12 2005 	 good location value money clean . 	 twin room bath . room spacious ( one single double bed ) thoroughly clean every day . small lift perfectly acceptable we hardly ever wait . noise street outside , even double glaze - must ny . little cause deal hotel staff , ok , exactly friendly - attitude common ny.location good , try Luncheonette 28th street excellent breakfast . vietnamese restaurant French bistro within 5 minute great ( will spot ) . 
 Apr 11 2005 	 Decent Hotel Price 	 stay room one night bathroom . room clean . hall bathroom clean . elevator small . worth $ 80 pay . good location . 
 Apr 6 2005 	 bad 	 partner stay September 2004 . private bathroom fine . complaint would room quite small air conditioning unit extremely noisy . either sleep hot sleep air conditioning unit loud . positive note location fantastic convenient everything . staff also friendly . 
 Mar 25 2005 	 never ..... 	 begin ? ? boyfriend stay Hotel 31 two year ago fairly satisfied get . however , return New York Hotel 31 March 2005 ( love NY much ! ! ) say stay Hotel 31 . problem reservation , receive double private bathroom seventh floor view Empire state building ( stuck neck bathroom window ) firstly * lift tiny always occupy . arrival departure extremely difficult us fit lift luggage . door / gate situation joke , be awkward . * static electricity horrible . maybe we , use foot try open hall door . * ' romantic red blind ' mention ... romantic . block light . light sleeper awoken 5.30 combination sunlight dawn chorus siren . people hear double glazing ? ? * crazy old man front desk ' cute ' ' charming ' . like irritate . make comment boyfriend appreciate . * first stay toilet get block . surprised find thing occur second stay . coincidence ? ? think . pleasant experience . * bed enough room fit two we , . tiny ! mattress v. hard uncomfortable . stay seven night mattress , back sore . situation bedcover farcical . one sheet , bedspread kind foam - type cover , huge hole burn . also feel linen change regular basis , come rash feel itchy bed . * would say hotel renovate . wallpaper peeling , carpet come away wall . positive note , location fantastic , could not recommend part Manhattan . subway less two minute walk away be close everything . be look true budget accommodation , will find hotel 31 , would recommend spend extra dollar something comfortable . 
 Mar 7 2005 	 Hay 's ok 	 review base stay 28th Feb 6th March 2005having book another Hotel read dreadful review site ( yes know backward way thing ! ) change book 31 base early review site . good thing hotel . it be great location - short walk lot thing would want see , entry 6 train ( local Lexington Ave service ) less 5 minute away ( be entry 33st station corner 32nd Park Ave ) . walk everywhere Hotel - block Chelsea , block Times Square . the neighbourhood seem extremely safe surprisingly quiet . the lift cute - fit four people bag ( well guess depend people bag - doable ) .The share bathroom clean throughout stay . wait twice one occasion staff clean . floor two bathroom - easily use one side indeed another floor can not wait . the rest hotel also clean , room also clean day . the room tv carry quite tv channel like WB , CNN , Cinemax , Fox 5 movie channel . also couple spanish / mexican channel reception poor . basically enough channel keep entertain short period will room enough news / weather channel let plan day . the room also sink always freshen bathroom busy . point consider . we stay 7th Floor 8 ( us wrong side view Empire State could see bathroom floor ) . room small . enough room double bed small chest drawer . couple not really problem ' on top ' speak . room clean little old look drawer little last leg . ok . the bathroom whilst always keep clean little old look wear tear start show - much would not want shower , consider volume people use good - not expect showroom bathroom . water pressure little poor side - not expect power shower water always hot . if cheap place stay safe clean , close could want thick action distraction choose place . plush hotel look elsewhere . this hotel would highly recommend room little big purely personal point view shower little well . 
 Feb 24 2005 	 great price pleasant stay one surprise 	 part , problem hotel , experience generally good , know expect base previous review . look mostly price , location cleanliness , base three thing , disappointed . complaint room two twin bed book ( make sure bring print copy reservation ) , end single double bed , least set fold bed four night . president ' Day Weekend , Gates Central Park , think thing busier normal . the room clean well daily , share bathroom also quite clean , washrooms floor occupy . elevator small little slow , fit two people bag well enough . wall thin , bother much guest . location good , safe , enough place eat nearby , 6 train close . would stay , good rate four day pay por good steak dinner Broadway show . 
 Feb 23 2005 	 Native NYer love Hotel 31 	 ' m NYC , know well & amp ; always stay friend - live Brooklyn & amp ; Queens - visit . since trip ( mid - January ' 05 ) 5 day long , think would treat hotel convenience Manhattan location . cost , neighborhood & amp ; generally good review Hotel 31 determined choice . also know option thing work . since room available early , able check hour official time ( welcome red - eye flight ) . find comfortable , charming ( love Art Nouveau elevator , tiny may ) , roomy enough & amp ; extremely clean . come 11 Saturday night , member crack custodial staff check bathroom hall . the heating usually reliable & amp ; quite sufficient , hot water . ( nothing be perfect . ) never wait bathroom , although room floor appear occupy . desk staff courteous & amp ; helpful ( even long check - out , call couple item think left room ) . get sick toward end stay , spend little time room plan . sick hotel room & amp ; still feel home , 's good testimonial place . neighborhood safe , convenient transportation ( uptown & amp ; ) & amp ; fill place eat . ( extra view room nearby Empire State Building . ) hope stay Hotel 31 return ny.p.s . make sure leave decent tip custodial staff . really work hard keep room & amp ; share bath spotless . 
 Feb 22 2005 	 make sure backup 	 make reservation Hotel 31 full month schedule tripto New York past weekend . call week confirm myreservation . arrive Saturday morning confirmation printout inhand tell reservation room hotel . happen weekend room available city due Gates exhibition , visit Olympic committee begin school vacation week . man desk shrug shoulder say could not help . arrival back home email hotel thanking stay . make reservation risk - shameful place indeed . 
 Feb 21 2005 	 Deception ... 	 go Hotel 31 2 year ago really happy . really frill , location great , price exellent . decide go beck NY Christo exibit Central Park , reserve phone 1 1/2 month ago , credit card , give reservation number , drive 7 hour Montréal , guess : overbooke ! well , hotel small , do not know loose track number available ! dozen people behind , situation . president weekend , ... man send we another hotel , say allright , get , one night , need two nice pikwick arm . finally end atthe Brooklin bridge Marriott Brooklin 200 $ night instead 60 $ 31 , park 13 $ day weekend , instead 20 $ near 31 . concierge lady everybody nice . 6 different subway line goind rapidly anywhere want goSo , Hotel31 , nice wile last , love story , tell everybody tell love , bad really ! 
 Feb 21 2005 	 even price great . 	 arrive find double room book confirm three month early fact twin hey problem - & quot ; push together ! & quot ; say porter . great start . the floor ( 8th ) 1 bathroom order stay meaning wait several occasion bathroom , fair always clean . wall paper thin , hear everything go next door room . heating also make constant noise . light sleeper avoid . maybe catch bad day , none staff friendly could barely speak English . try order taxi easy task . overall yes hotel cheap location good , be bit crabby many bad point - would either ) spend somewhere else b ) stay Habitat hotel - much well price . 
 Feb 13 2005 	 frill great location good value 	 romantic getaway hotel lot extra , look elsewhere . , ( two adult , one 7 - year - old child ) stay July 2004 complaint . room clean cramp , staff courteous , location great - block one main street Murray Hill ( vegetarian indian restaurant Curry Hill ) , block two subway . rate four star instead three price affordable . 
 Feb 2 2005 	 good budget hotel 	 stay hotel , must expect pay . get excellent rate share bathroom room please . bed comfortable room clean . small , room set suitcase need . small tv writing desk cable . need like watch news morning . room sink well light mirror could get ready fully room every morning . share bathroom clean well maintain . shower good pressure quite adequate . never wait line use . problem : first check toilet share bathroom back . call downstairs notify worker leave room ten minute later someone work . fix time return hour later . find good service.this would pick luxury vacation , couple budget perfect . splurge two broadway show since save money hotel room . worth money private bathroom ! 
 Jan 31 2005 	 cat two would scare away mouse . 	 stay Hotel 31 sister hotel , Hotel 17 book . come highly recommend staff . well , never ! room large , misfortune awaken mouse 2:30am ! call front desk explain construction next door mouse come hotel ! even & quot ; move & quot ; gesture , nothing , nada , zero . chuckle & quot ; yea mouse problem & quot ; attitude . disgusting ! never never & gt ; stay away mouse infest hotel . 
 Jan 27 2005 	 Great - return 	 stay Hotel 31 week commence 14th January 2005 . read review post beforehand slightly worried reservation would lost , room go small could not fit something . however , get ( quite late evening ) guess name booking straight away check we within couple minute . get lift , mean smallest ever see , fit , friend two large item luggage easily , room . room warm cosy easily enough room us luggage . decor , admit , little date , anyone actually stop hotel decor , word sad come mind . double bed , write desk mirror chair , bedside cabinet lamp , chest drawer , hang rail sink mirror / towel / hair dryer etc . room clean bed make daily . share bathroom always clean day night never wait use bathroom . shower nice warm pressure amazing - need soothe ache muscle walk hour . hotel great location . get cab back walk back rest time . generally walk back 5th avenue 31st feel perfectly safe . really useful general store round corner Lexington want bottle water snack great diner call Pellana also Lexington fantastic breakfast . concierge call we taxi take we back airport 's cheap hail one , get huge white Mercedes . ride style ! ! , enjoyable experience will not hesitate stay next time go New York . 
 Jan 18 2005 	 Mixed Emotions 	 book online Jan 04 - 3 night stay private bathroom Dec 04 , anticipate quite long time advance book confirm e - mail Hotel 31 week arrival & amp ; receive confirmation e - mail say yes room still book . guess - arrival booking find ! give spare room share bathroom arrival ( luckily one spare ) get distinct feeling think lie ( - mean go walk hotel NYC & amp ; pretend make reservation would somewhere like Plaza Hotel 31 ! ! ) anyway , would not move we room would book last day mange find internet cafe & amp ; joy present print confirmation e - mail ( point room private bathroom leave ) quite nightmare . I must say though concierge Bob absolute hoot , friendly & amp ; try help we . room not clean 3 day though & amp ; whole corridor strange aroma - pungent mix urine & amp ; coconut . apart though - ok basic hotel - make sure take confirmation booking ! ! 
 Jan 12 2005 	 Brilliant cosy friendly 	 stay Hotel 31 December boyfriend . double room private bathroom lovely . although decoration date room cosy comfortable . shower fine hot water every morning night . Room clean every day bed linen change daily . perfect location within walk distance everything gorgeous pizza place 2 minute road . staff friendly help 24 hour day . lift small work perfectly . would definately stay . waste money posh hotel one everything half price . 
 Jan 10 2005 	 awful 	 2nd bad hotel experience life . cramp . dirty . Noisy . smoky . zero amenity . staff TERRIBLE service attitude boot ... although other actually somewhat helpful . weekday staff helpful weekend staff ... least , experience . in Manhattan , get pay . cheap price ( Manhattan , ) set warning bell go , justify . reason stay spouse 's chilhood friend pick place guidebook New York City make decision base mainly price alone . trust : money , SPEND stay somewhere nice . would not go far call place total dump , not pleasant experience nonetheless . one important piece advice air traveler : plan stay Hotel 31 planning bring large piece luggage : n't . large luggage may fit tiny , tiny elevator , open elevator & quot ; cage & quot ; close automatically . fortunate enough get private bathroom , private share , bathroom TINY , bedroom . the location Midtown Flatiron district make relatively easy access either uptown downtown , 's size . people Indian / Pakistani / south asian food , Hotel 31 2 - 3 block away large neighborhood indian , pakistani , middle Eastern shop restaurant . 's even tibetan restaurant block & amp ; half away . otherwise , neighborhood unremarkable . bad , fantastic either . for people whose big consideration cost , suppose experience stay would depend tolerance low budget lodging . maybe ' m spoil . we grow accustomed degree luxury , however , would advise spending money keep line be use . think . 
 Jan 10 2005 	 right busy visit 	 perfect place stay intend spend much time rest hotel room . decor amenity strictly minimalist , be clean extremely convenient . linen clean , threadbare . get room private bath , quite nice , share bath always look available . tv small , functional . close 6 - line subway lovely neighborhood . 
 Jan 8 2005 	 will stay ... 	 wary would find Hotel 31 reading negative posting site . long bus train ride airport , dread possibility find poor hotel find accomodation . could not please . stay three night everything could hope . bathroom floor always available , daily room cleaning do excellently , view Empire State Building sixth floor west face window perfect ! review thin wall could issue people . ' m fairly light sleeper turn a / c unit ( fan mode ) listen closely , sound could hear . white noise create fan eliminate , slight inconvenience ( call ) well worth enormous saving quaint , cozy hotel great location . will stay Hotel 31 next time visit Manhattan , many time . 
 Dec 28 2004 	 Hands bad hotel experience entire life ! 	 make reservation via unknown website ( know hotel ) hotel 31 two night . charge show VISA immediately make line reservation . upon arrival , hotel refuse honor pay reservation make pay credit card . suddenly occur stay hotel last year around time also double - bill . take five month get hotel refund money knew bill fraudulently . in addition , promise writing room private bath deny also upon arrival . room filthy linen wear . I report double billing issue hotel , Hotels VISA . investigate issue well ethic hotel . true , rate NYC phenomenal also truly matter & quot ; get pay . . .even pay double . & quot ; Hotel 31 tell hotel charge & quot ; incidentals & quot ; find particularly interesting since much vend machine entire property . may suggest Edison Hotel , fine reasonably price hotel Midtown high level service , wonderful restaurant bar , clean room . 
 Dec 25 2004 	 Excellent hotel one warning 	 Hotel 31 excellent hotel many way : price quite reasonable NYC , location central everything , room - definitely budget side - nevertheless quite clean . however , be one important factor take consideration booking : wall pretty thin be extremely easy hear 's go hallway room next door . be heavy sleeper noise not bother , can not think reason not stay . noise issue , would recommend consider stay somewhere else . three night stay , spend first two stay awake due tv , conversation , constantly slam door next door neighbor - course many people come room 5:10am . second night , ask front desk could move quieter room put 7th floor , not guest next . acceptable , also matter luck ; book people floor , might much change noise - wise . - noise level matter , would suggest another hotel . 
 Dec 22 2004 	 Perfect 	 real Gem place . girlfriend stay 13th - 19th december double room ensuite . location perfect start , less one hundred yard subway , 5 minute stroll Empire State 10/15 minute Times Square . location quality absolute bargain ! room great . read review bit wary size room , certainly exceed expectation . double bed , single bed , tv 20 channel , load room storage , clothe etc , water always hot cleaner without fail every day change bed & amp ; towel . the staff superb ! complete nonsense people say New Yorkers staff Hotel 31 anything go , friendly bunch ! able get takeaway deliver room nice touch ! could not recommend place high ! ! 
 Dec 21 2004 	 great stay problem . 	 stay two night Hotel 31 January 2004 . staff professional friendly . lobby looked renovate well - keep . room clean , complete sink tv plenty channel keep entertain . see rodent . first time stay hostel , concerned shared bathroom situation , find bathroom clean well . fortunately , never wait use . convenient good grocery store corner across street , well Domino 's pizzeria next . pleased discover Hotel 31 locate good neighborhood . great place highly recommend anyone look stay Manhattan budget . would gladly stay . 
 Dec 20 2004 	 Excellent Value ! 	 place fantastic ! 's clean , bathroom always available . neither we wait use , ever . man front desk ( regretfully , not get name ) joy , friendly , helpful . the complaint could not control temperature room . approximately 40f outside . room roast ! window open air conditioner running night . minor inconvenience though . this excellent value ! 
 Dec 18 2004 	 good price good character 	 arrive pleased hotel , remain throughout stay - typical old ny , dark wood , maroon pattern wallpaper . even crazy old lady stare we lobby seem make authentic ! ! room clean comfy , good sink room bathroom always free . like feel whole place would recommend . 
 Dec 11 2004 	 good budget hotel nice location 	 day holiday , place * conveniently locate ( 2 min walk Empire State 28th/33rd St. stop 4,5,6 metro line ) * small room , much ( though place put clothe , aside small hanger ) * absolutely no - frill small tv handful viewable station , internet , independent heating - actually room bit cool side ) * reasonably clean ( 100 % spotless okay ) * budgetwise convenientI would recommend max 3 night stay , be mostly city ( may case happen curse rain 3 day row ... ) . 
 Dec 11 2004 	 Great New York 	 Alot expect , Hotels New york Expensive student could not really afford untill find Hotel 31 . hotel 31 offer chance see New York cozy hotel . room small right 2 people , share bathroom never problem always vacant need always plenty hot water pressure ( 2 thing girlfriend scared ) . bathroom always clean daily . not feel like blow money hotel still desire nice stay good location ( Near Subway ) recommend Hotel 31 . 
 Dec 8 2004 	 great 	 's HOTEL 's nice stay Hotel 31 . visit NYC november great . room little small nice . robert lobby helpfull . return ! 
 Dec 8 2004 	 Fab place budget 	 greet receptionist Richard , helpful . room small , clean cable tv . not normally stay room long enough worry size . hotel nr Empire state building ( 2 block ) find easy get hotel , subway around corner . Richard even arrange limo pick we aswell . fault hotel . 
 Dec 5 2004 	 Perfect traveler 's hotel ! 	 wonderful little hotel traveler budget , like , like stay NYC overnight not want lot fuss bother . hotel 31 clean , friendly , cosy charming . build old many & quot ; quaint & quot ; feature . room small , still invite perfectly comfortable . cute little tv , bed lamp , desk , dresser , sink hair dryer amenity coat rack . not problem share bath ; bathroom like bathroom home , shower stall like . hall quiet , location excellent price can not beat . definitely stay . oh ... promise Richard would mention name - 's evening guy front desk helpful personable ! 
 Nov 26 2004 	 great budget choice 	 Hotel 31 excellent budget option be Manhattan enjoy city . amenity ( even cable tv ) ' m NYC , wake moment spend room waste precious time could spend street enjoy city . want safe , clean room bathroom ( share bathroom option fine ; be clean frequently never wait long minute shower ) plan spend time enjoy city , Hotel 31 excellent choice . tend hang room want waste time watch tv , go elsewhere . rating & quot ; average & quot ; take account location , safety , cleanliness value vacation dollar . be far nice hotel room amenity alone consideration . would cost least $ 300 / night NYC find basic amenity would get average hotel city . $ 85 / night room Hotel 31 , spend spend price difference least one play high end meal day . 
 Nov 26 2004 	 great ! ! ! 	 stay Hotel 31 New York City November 17 November 21 , 2004 . please location hotel . room little small clean . bathroom door never wait . bathroom always clean . price pay , think great deal . highly recommend Hotel 31 . staff nice helpful . surely stay future . 
 Nov 25 2004 	 Great Hotel price pay ! ! ! 	 stay hotel 4night , think excellent . be really cheap , clean , helpful friendly staff . side 's share bathroom , turn problem . be also clean , sink room . I would recommend hotel anyone budget people willing waste money fancy hotel , nice , great location ( two block empire state building ! ! ) also luggage room , not drag case around last day , resonable check - out time mid - day ! thank wonderful stay Hotel 31 ! 
 Nov 9 2004 	 would stay ... 	 husband stay Hotel 31 3 night mid - October . room small , much time spend room fine . share - bath room , conveniently locate 2 bath , never wait except , would hotel room . bathroom clean , room clean enough , surprisingly quiet hotel consider room full . the location convenient we , building Park Ave . neighborhood fine even late night , though not travel alone . ' m glad stay cheaply - would rather spend money fun thing NYC . 
 Oct 29 2004 	 FANTASTIC 	 stay Hotel 31 21st 25th oct could not fault place . arrival offer room right next bathroom view Empire State Building , escort room ZIGGY look go 's bit mad . room bite small clean good condition , maid come every day room always clean tidy get back . location exellent whith subway station 33rd street around corner buy Metro card $ 26 give unlimited use week handy get around . would recomend Hotel 31 anyone look good hotel budget 's well worth pay stay . 
 Oct 23 2004 	 great wee place 	 stay five night Oct 15th 20th , fault hotel , indeed stay hotel cost two three time Hotel 31 beat they . I go write anything new simply agree everything good already write . what comment issue previous review raise , mainly share bathroom delay hot water , say neither issue way stay , morning night hot shower instant hot water ( power shower pressure ) , never wait bathroom . hotel 31 absolute bargain staff unbelivably friendly , give one example , come small scottish island New York subway something wary ask reception staff could explain use , astonishment take near subway station explain uptown downtown station . the location Hotel 31 icing cake , go NY see central want feel real smug look price hotel nearby . we need clean decent safe hotel charge reasonable rate Hotel 31 deserve far high list 
 Oct 22 2004 	 Amazin stay Hotel 31 	 stay hotel 8th October 15th 2 friend . upon arrival greet friendly guy front desk call Robert ! fantastic make sure everything sort we . room fine problem ever room first couple night change room we great . private bathroom problem , love hotel wallpaper layout perfect . student price fantastic definitely get pay . hotel like right around corner Empire State building mean complain ! ! ! neighbourhood area feel fine problem girl 17 bit worried problem walk round local Walgreens store snack stop 10 pm . lastly , staff fantastic friendly helpful especially Robert ! ! he s fantastic definitely worth stay ! ! brilliant time NYC stay ! ! hotel like home home ! definitely back next year use hotel can not wait ! 
 Oct 18 2004 	 Top Quality Budget Hotel 	 be go go New York City budget Hotel 31 place . girlfriend stay October 12th 15th everything hope . little wary thought share bathroom , clean . stay bathroom floor occupy , not need moment not pose problem . room small , go New York City hang hotel room anyways ? sink mirror room also convenient . location 's three block Empire State Building , seem , safe neighbourhood . 
 Oct 7 2004 	 allright . 	 stay Hotel 31 Sep 30 - oct 5 2004 think hotel average . stay 8th floor share bath . share bathroom problem room right next bathroom constantly clean . compliant room would not cable . 4 basic channel work fuzzy . call front desk say not cable satellite get basic channel ... whatever ... also , floor pretty creepy especially walk hallway wait elevator . meet lady check check day 'cause place kinda give creep . , okay place stay cheap . 
 Oct 7 2004 	 Charming ! 	 husband spend long weekend NY stay Hotel 31 . book trip Expedia originally book another hotel . read terrible review place really dirty spooky , research tripadvisor read terrific review Hotel 31 . change reservation 31 disappointed ! hotel 31 clean CHARMING ! 's small old fashioned hotel lot character . hallways dim narrow , immaculate ! budget want stay somewhere well locate clean yet inexpensive definitely place ! little bit worried share bathroom , fear erase get . two single restroom floor . bathtub shower , sink toilet . community bathroom would find college dorm . stay least one restroom available time need shower , etc . must clean several time day . room tiny , be expect inexpensive place . room sink , tv , desk , AC comfy clean bed . even though early October still get little warm time time window AC wonderful ! would highly recommend place anyone want charming old - fashioned clean place great location . would also recommend Moonstruck Cafe block street ( away Park Avenue ) colorful great breakfast . also , COSI corner 31st Park Ave . perfect grab bagel juice morning . definitely stay Hotel 31 ... afford stay Plaza ! 
 Oct 4 2004 	 poor value money 	 read review site lead expect something much well get . have expect hotel unnecessary extras , get $ 85+tax , opinion , flop house . decor room spectacularly awful . look decorate circa 1918 . dim lightbulb , gray / brown wallpaper , view brick wall single sink ( toilet room ) depress . acient air - conditioning unit not work . sheet place straight matress . almost hot water . surprisingly , though , hotel full check . short , feel one lose luxury ( hot water call luxury ) not make cash save . hotel 31 seem good line & quot ; not terribly post - modern pay top dollar stay flop house ? & quot ; make capital fact sister hotel use location Woody Allen film ( want old fashioned sleazy New York hotel ... ) . sort thing appeal maybe could understand would like . long trans - atlantic flight check Hotel 31 welcome lose one 's luggage overcharge cab - ride . 
 Sep 15 2004 	 great spot . 	 place great . staff helpful . old guy that s reception bit mad good laugh location great . thing slightly wrong room little small , that s nothing much complain about . we would stay week terrible Carter Hotel Times Square head Boston back New York . return stay . 's great place breakfast 2 minute away night five minute walk 3rd great restaurant bar 26th 30th . hotel great location price , worth . keep mind will fit 2 people luggage tiny elevator though ! 
 Sep 9 2004 	 great place 	 daughter stay three night July . good location , clean room . we would stay . 
 Sep 9 2004 	 31st Street 's wonderful little Secret near Park Avenue 	 make last minute trip NYC Labour Day weekend . book Hotel 31 directly company 's website $ 75 night ( pre - tax ) . cheap affiliate - website sell room hotel offer on - line time . think lesson shop - and - compare - and - shop - some - more . find hotel cinch ! near 6th Line 's 33rd Street station . hotel within walk distance Empire State Building , Grand Central Station Penn Station . Little Korea five minute stroll ( be internet cafe Little Korea charge $ 2 per hour , case be interested ) . hotel 31 's immediate vicinity clean safe . area west hotel dot many self - serve buffet eatery ( hint : tipping therefore save $ $ $ ! ! ) serve wonderful array yummie anywhere $ 4.99 $ 5.99 pound ( Sept 2004 price ) .initially , concerned share bathroom total stranger . well , turn non - issue . fact , experience kind remind would use house 's bathroom . much time single , young people spend washroom typical day anyhow ? hotel obviously round - the - clock cleaning schedule , washroom always clean whenever use . also sink hair dryer room , really convenient am ( ' m guy , shave dry wash hair ) . one time bathroom floor occupy . go another floor . air - conditioner work , tv 's bit small , hey , NYC watch tv . weather channel CNN really need background am shave . elevator 's education onto . really quite charming . I truly complaint . staff great courteous . chek - in , would mention research TripAdvisor.com favourable comment website . check , notice front desk staff ( Bob ) seem impressed . think common sense let service provider know customer take old latin addage & quot ; caveat emptor & quot ; seriously ; way , believe , increase chance receive serious service , even low - cost hotel . btw , front desk person really nice tariq . let know be famous , thank website ; ) definitely stay ! 
 Sep 8 2004 	 quite good ! 	 spite discourage review hotel , book one night hotel quite satisfied welcome receive room . bedroom tiny quite clean shared bathroom clean regurlarly . AC work well ( great service hot wet weather ) , even little bit noisy . all hotel staff polite kind . good bargain NY ! 
 Sep 4 2004 	 outstanding 	 first time leave California . hotel 31 extremely clean staff beyond belief . almost major attraction want view nearby . next trip new york , plan stay Hotel 31 . 
 Sep 4 2004 	 small hotel 	 small room , go New York hotel room . it locate great location near mant point intrest . the tv 10Inch 's bed rock hard . the room meet $ 85 room rate , please spend $ 20 - 30 extra stay somewhere decent . 
 Aug 27 2004 	 delightful experience 	 skeptical review , however , delightfuly suprise nice little place . small room , not hang room . perfect time room . great view top empire state building . bathroom always clean almost always available . staff extremely nice helpful . not see single bug . relax happy decide stay . go back stay . not believe bad review ! ! 
 Aug 16 2004 	 want comfortable cheap 	 place recommend recommend . be like spend night relative house . nice clean room friendly staff -- -I not problem w/ staff except ask extra pillow . not receive follow evening . also not little friend room ( e.g . roach , mice rat etc . ) ' ve get to love ! ! ! ! want stay Ritz place want couple night favorite aunt uncle 's house ' ve get room Hotel 31 . 
 Aug 3 2004 	 Yep ! ! ! 	 stay Hotel 31 May 2004 . read mixed review mostly seem people say staff rude - well .... 's New York . anyway , personally like rustic hotel long CLEAN . room Hotel 31 clean . room spacious thought would double single bed . air conditioning work great . bathroom small fine . hotel old hotel small elevator . fit maybe 3 people bag . 's old slow original fun . really enjoy old charm hotel happy room cleanliness . staff fine ! 's Ritz want something clean comfortable little odd charm - stay ! would stay ! ! 
 Jul 28 2004 	 cheap clean hotel ! 	 hotel well locate , near major point interest . cleanliness important took & quot ; Shared Bathroom & quot ; type room . room pretty small clean every day . bathroom clean often always able take shower . wait . 2 bathroom floor . staff kind price , will not get well Manhattan ! ! ! highly recommend people budget ! 
 Jul 23 2004 	 Bad ... 	 know ' m kind late writing review cuz ' friend stay yr ago 2003 . hotel nice $ 80 nite . Clean Room never wait bathroom ( although recommend bring like bathtub spray clean tub cuz ' see pubic hair lol ) altogether decent . 
 Jul 16 2004 	 like ! 	 location convenient seem safe . staff courteous helpful , even give umbrella guest rain . room bathroom clean air conditioning work well enough . good value money NYC . notice follow problem : elevator break hour two people use stairway fix , hot water o.k . really hot . still would stay . stay place NYC ( Washington Square Hotel , Holiday Inn Financial District ) , like place well . 
 Jul 11 2004 	 pretty good money 	 bad place . good location , close Empire State Building far subway . recently remodel , everything be nice new . problem even though front desk guy say room nonsmoking , room still smell like smoke . sorry smoker , know 's true ... smoke bad persistent stench . clothe stank like pack day smoker two night . never wait bathroom . never even see anyone else use bathroom . 
 Jul 10 2004 	 charming ! 	 stay Hotel 31 partner recently two night . great time ! decor charming - new york - old - fashioned elevator great . view empire state building window . not find hotel noisy . share bathroom , never problem - partner go shower bathroom close we occupy , another little hall free . sink room help . everything clean tidy , never see bug anything like . location good , feel safe , short subway ride walk everything want go . quite convenient we . overall , definitly stay hotel 31 next time visit new york ! 
 Jun 26 2004 	 Great Location reasonable price 	 stay double share bath one day double twin private bath three day mid - may . the double room small view ( face wall ) basic like tv , alarm , air - con , etc . share bath clean not need wait . maybe since use around mid - night , not problem inadequate hot - water supply . the double twin room spacious worth extra $ 40 , especially since 3 person stay . view city . overall hotel small clean , staff friendly helpful . not need big room anyway since be come way New York hotel stay ! location safe convenient , many attraction restaurant within walking distance . be also close subway station . would definitely recommend anyone travel budget . 
