hotel 	 arrive hotel noon room not ready yet ( early ! ) decide first go check surrounding . come back evening ( already dark outside ) enter room could say ' wow ' ! high Floor Corner King balcony really call ' room view ' . view amazing ! night also day . the rest hotel room nice : 2 lounge chaire , tempur pedric matrass , shower great , ... unforgettable experience ! 
 mixed bag 	 Positives : love neighborhood , cool design , sweet staff ( move we nice room without ask ) , comfortable relatively clean . negative : NOISY ( Friday night , 5th floor street side , outside reveler 4 am sound like window open ... manage ignore partner sleepless night ) ; also , tempur - pedic mattresse everyone , steam shower ( interesting feature ) smell bit moldy due lack ventilation . bottom line : would stay high floor rack rate . 
 edgy exciting 	 great place stay want see real NYC . love edgy Lower East Side daily walk hotel conference venue Greenwich Village take Little Italy , Chinatown really interesting old tenement area . , single female , feel intimidate danger - even walk back late night ... sooo many people around really friendly . hotel different staff - particularly doormen - helpful friendly . room contemporary well - equip . thing miss extremely well stock minibar earplug ... city never sleep district partying prepare noisy , thoroughly exciting stay ! 
 Apr 5 2006 	 Jaw - dropping view ! 	 neighborhood around hotel look little scary ; lot 's spray paint grafiti litter sidewalk , not fool ! soon sun go , block around & quot ; THOR & quot ; crawl beautiful , well - dress scenester . metal - gate storefront open hip design bar restaurant . when check , room not ready , wait deserted restaurant one lonely server bring we cappucino . 12 hour later , could not believe place ! morph party - loud reggae music lot 's people fashion magazine spread ( none believe hotel guest ) .The first big surprise view 19th floor & quot ; large & quot ; room . truely different city . look like two different room - type Rivington - roof - line , . spring upper room , view alone worth . also nice escape club scene lobby peaceful little room . ( rather small $ 400 / night ) nice tub , small balcony / terrace nice surprise . mention VIEW UNBELIEVABLE , go sleep night watch flash bulbs cameras Empire State Building 50 block away . the staff , though overwhelmed times ( spanish operator & quot ; accidentaly & quot ; hang twice place hold call connected room - service ) , truely helpful friendly . disappointed not sell cigarrette hotel ( illegal NYC ) , bellhop volunteer run pack . ( ! ) overall , staff seem young . manager - look be like 's twelve - overhear husband say anniversary , send free bottle champagne sweet note apologize wait get room . effort ! 
 Apr 3 2006 	 Hype unique Lower East Side 	 part honeymoon Hotel Rivington . special occasion first trip NYC , ask special room . get & quot ; large & quot ; one 18th floor . room incredibly great : view , space ( really large ) , gorgeous bathroom shower deep japanese tube ( really deep big : two us side side ) .design room pure , ultra modern : superb , not know would year ? great time thing important say : breakfast include other review tell , not take : expensive poor food lovely design plate ( around lot fancy cafe bar delicious breakfast brunch ) .Second thing : part staff seem interested haircut guest 's pity beautifull place . want clear : part staff act way , great experience front desk ( reservation we VIP list electro party ) also technician come install dvd player ( free way , kind attention ) . resume : be super trendy ask trendy thing , get . be pragmatic customer ask plug adapter , may call back time get ; - ) ! be 30 love nightlife original place love maybe , place everyone . 
 Apr 2 2006 	 hospitality hotel 	 pregnant , travel alone busine . return Rivington Hotel several meeting downtown & amp ; great bath tub , request several email hotel arrival . upon arrival , ask man hotel desk , claim manager , hotel program frequent guest , travel city every couple week . manager 's negative answer obnoxiously rude , shocked travel induce stupor . never come across anyone condescend entire life . although hotel seemingly empty , would accomodate request bathtub without double rate , even though bathtub last stay rate . ' m sure problem fact book quikbook , , manager Hotel Rivington treat contempt , leave even see low level tubless room . never return hotel keep treat guest disrespect , not think Hotel Rivington business much long anyway . 
 Mar 20 2006 	 Hotel Rivington Mixed Bag 	 return stay Rivington mixed emotion . stay call & quot ; large & quot ; room 17th floor . hotel overcharge big boy rate deliver big boy service . front desk understaffe phone ring barely get check . expect issue , toilet run , key room work stuff like .... also , hotel restaurant disaster even try , even breakfast . room great , japanese tub heated floor nice although tell place hastily build put together .... carpet poorly cut , tile job second rate ect ) would expect $ 450 night ... hotel remind Hotels South Beach , high cool factor , low service level ( try consistent , need hire manager first rate hotel ) ... bad could really great hotel could put together .. say , love location alternative getaway NYC vibe overall enjoy stay ... business hotel . patience want experience NYC East Village great spot ... prepare bump road .... 
 Feb 27 2006 	 love -- everyone 	 stay Manhattan two three night every month , lot experience hotel scene . although Hotel Rvington seem little risky , intrigue book three night get home yesterday quite tale tell . first adore interesting , comfortable , clean , & quot ; different & quot ; oter hotel , people ( staff ) friendly knowledgeable , bed wonderfully comfortable , location wonderful ( downtown fun exploration ) , subway plenty good eat shopping close , & quot ; happening & quot ; , sophisticated , interesting scene noisy , obnoxious , intrusive one . got ? hand : cheap furnishing border & quot ; stark & quot ; . hotel cater many partier go wind funny smell hall . like bounce bed ( , uh , travel circus troup ? ) will not like temper - pedic . give bu not bounce . , somewhat ironically , mini - bar stock usual & quot ; safe sex & quot ; packet , prettily - package kit contain -- - . also two book deck card guarantee uncomfortable query impressionable child , out - of - town parent foolish enough put here . I , want stay forwever ( not feel like three night hotel , even Ritz - Carlton downtown ) . would feel uncomfortable hving daughter here . I mention well service incredibly good . valet parking carefully show everything room work , polite friendly maid service not mind work around worked laptop , front desk people provide ethernet connection , cell phone charger , drink resident 's lounge although fetched elsewhere , thorough respectful discussion room charge possibility get & quot ; universal design & quot ; room next stay , never good , intelligent , knowledgeable service . I can not wait go back -- might right spot everyone . 
 Feb 21 2006 	 unremarkably unremarkable 	 first last stay Hotel Rivington completely unremarkable . check - in handle smoothly bellman friendly offer suggestion thing around neighborhood . " regular " room locate fourth floor hotel , face Rivington Street , minimal street noise , even late night Thor get hop . room generously size New York standard , include king - size bed sit area two small coffee table , well cool electric curtain discourage peep neighbor . bed , Tempur - pedic mattress cover Frette linen , comfortable luxurious . however , nothing wall except small flat - screen television color come diminutive vase two flower , décor straddle line minimalist chic unacceptably stark . plus , $ 315 night , alarm clock might nice . bathroom quite large , wonderful steam shower high - end toiletry . however , think whole room feel shoddily construct ; tile bathroom ' line wall baseboards uneven , reveal unfinished part construction remain hidden . hotel offer guest free daily New York Times except , apparently , Sundays , rather disappoint pretty cheap . Manager appear cheap , -- request late check - out would require additional half - day charge ( literature room indicate would complimentary occupancy - permitting depart 5:00 ) . Hotel Rivington undoubtedly good place stay Lower East Side . consistent experience well value , would choose one establish property Soho Tribeca ' set below-14th Street experience . 
 Jan 29 2006 	 good place stay NYC 	 first , let say would definitely choose hotel Rivington next time ' m New York , second , let say hotel major kink work , mostly staff training . staff deal uniformly nice try help , hotel seem pervaded sort cluelessness ( many review note ) . favorite example : checking , woman counter keep wait minute deal customer complain food - poison room - service breakfast , chat colleague tell ... really something front another client ! ( also order room service problem . ) really vastly outweigh hotel 's many charm . vew New York full - wall window unbeatable , Rivington benefit tall building area ( something can not get midtown , matter price ) . curtain shade retract press bedside button . bed top - notch though little strange ( tempur - pedic memory foam ) . bathroom product excellent . free WiFi work seamlessly . great minibar . reasonable rate . neighborhood new New York favorite , close downtown ( SoHo , East Village , tribeca ) real culinary renaissance go right , lot exciting new restaurant club within block . be still little rough , would not ideal people scare urban grit , feel safe walk around even late night . staff hit groove , five - star hotel sure ( rate likely climb ) . 
 Jan 24 2006 	 great experience european style boutique hotel 	 spend long weekend Rivington great experience . service doormen front desk housekeeping room service staff polite attentive . hotel recently finish 21 story glass high - rise great view 8th floor . decidedly modern design everyone , room huge soaking tub take full advantage , temperpedic mattress , lot space NYC hotel room boot . mention clean ? yes ! view specatcular day night really not think view really problem 2 set curtain close view and/or light feeling expose . back ( south ) side ofthe building problem lounge around room there . the hotel bar / restaurant , THOR , decidedly hipster hangout weekend . noisy , pass way elevator . food drink expensive good bargain neighborhood . separate lounge bar second floor next front desk , 's guest ( weekday ) mellow quiet part . location right Houston Ludlow East Village . bustle , young vibrant neighborhood time scary unsafe , unless consider occassional drunk coed fall heel bump late Saturday night dangerous . ; - ) lot little shop cafe bar ; really cool upcoming neighborhood . will surely back ! 
 Jan 20 2006 	 okay hotel bad hood see 	 inside hotel , okay . neighborhood place take stroll dark . place really like even day . bench 215 lbs still neighborhood go dark . the outer wall make glass . like glass office building . different . remember , see world , world see . especially true night bathroom . one thing view NYC , another thing view NYC . 
 Jan 19 2006 	 take review consideration 	 service attentive pleasant ( except charge almost $ 200 check 4pm ) . room remarkably spacious view 14 floor breathtaking . bed mattress linen phenomenally comfortable . first room check broken shower . immediately replace room break window handle . will probably come back . avoid restaurant unless be interested miniature modern art paint plate . 
 Dec 28 2005 	 think outside Ratrace 	 pre - honeymoon , avoid reality trip immediately wed , choose somewhere away mess Midtown Manhattan - want somewhere little bit different - try Rivington ! stay Unique Suite 183 , floor ceiling window face due north - spectacular view ! good part thermapedic bed ( NASA one ) - suite stand alone bathtub bathroom size bedroom , water fill ceiling tub .... nice . the neighbourhood edgy norm - worth 2 night wine / dining relaxing / un - pretentious hotel . high floor must view , restaurant nice ( THOR ) neighbourhood great type bar / restaurant / cafe - gym place - toiletry great also Paul Lebreque ... nice . 
 Dec 19 2005 	 send staff customer service school 	 intrigue hotel look somewhere new interesting stay NY October . although hotel convenient neighborhood , still give try check room decor . the staff check - in front door nice , although clearly experience . room interesting feature ( heated floor ) , electric shade . open month , however , decor already show quite bit wear - dirty worn carpet , scratch floor elevator , worn drape , etc . the big problem come , however , try get help front desk . try get help book dinner Balthazar . hotel advertise & quot ; special relationship & quot ; owner Balthazar Schiller 's . try book dinner , could . ask & quot ; special relationship & quot ; , tell concierge not really one . little surprised ( give advertise website ) ask manager . manager basically get argument could expect get hot restaurant night . continue explain problem false advertising failure get reservation . proceed become belligerent rude yell call classless . basically reduce tear , ask hotel management school possibly leare proper way treat customer say life . life learn - nice life know yell scream customer . do not waste time money . place need buy company know run hotel clean remodel . 
 Dec 11 2005 	 average 	 hotel still reflective many comment write . try hard can not manage detail . upon check , three room try charge colleague $ 50 per night room . challenge ( reservation make Quikbook ) , woman registration literally make comment reservation probably never confirm specific room category dollar amount & quot ; . pull write confirmation suddenly price go $ 50 . low category room reviewer note , room fine night two quite inexpensive Manhattan standard . remind much Paramount . bed great , nice linen , overall room feel beat wear little dirty . issue several time could get taxis front , even great effort door man . location not seem attract taxi unless drop another guest . 
 Nov 27 2005 	 Great Hotel hip location attentive staff 	 first , consider worldly traveler . ' ve take 50 international trip 3 year ( vacation ) . ' ve stay good hotel world . lot research travel always pay . prefer boutique hotel vs. well know brand . not New York City several year . last time stay upscale Upper East Side . originally book well know expensive 5 star hotel Upper East Side decide cancel little research find Rivington . read review sound like problem sort problem new . ' m & quot ; industry & quot ; since own / manage upscale apartment Buenos Aires , Argentina . decide make reservation several month arrive November 2005 ( Thanksgiving week ) . hotel not cheap $ 350 / night plus taxis . look map area Lower East side thought might little sketchy seem convenient photo website convince fine . thing sell email ask reserving room answer email immediately . thing feel be important get back client immediately . sell . immediately book week stay one room upper floor . actually , ' m still take break . ' m night . this vacation especially important stay great place get good service . first fly Rio de Janerio arrive Brazil . flight Brazil get USA early around 7 . not think would allow check - in early since normal check - in 3 pm . go American Airlines vip lounge take shower upon landing reason would shower store bag hotel . call hotel ask exact intersection girl answer friendly . even suggest take taxi tell fix price . arrive friend immediately greet door 3 doorman . help bag . take we check - in desk one floor ground floor level . friendly woman promptly check we ask could store bag room ready let we check - in room even though 9 . really impressed . bring bag room . everyone friendly 's clear owner really stress employee treat guest special . hotel ooze cool hip . hotel not look big outside 100 room 19 floor . get room amazing view . bed comfortable pillow . small plasma TV mount wall ton storage room . be clear employee new . cool dual electronic curtain system automatically open / close curtain guy bring bag not know use . fact , not even know electronic system . ' m industry ton renovation could clearly see electronic system , however guest might know could force open possibly break might want tell employee work . engineer come show we switch . ( near bed ) bathroom great shampoo / conditioner / lotion / bath gel . great job bathtub / shower . even toilet high end toilet . complimentary wireless internet . not know normal internet . try wireless really bad slow . call ask immediately offer send cable access Internet via normal connection fast . there plenty closet space . light dim 's difficult see tiny switch dim . might want show guest check - in call immediately explain . turn service night bring little treat nice touch like 5 star hotel . keep mean hit bar night 's always pack room end go somewhere else . lot beautiful people bar / restaurant . be clearly trendy place . always doormen front door find really nice touch . fact , usually 2 3 guy front door . come go lot not think open door entire time . usually girl / hostess stand near bar area . every time smile face really beautiful . great touch . ( time make wish not girlfriend be another story ... ha , ha ) . dead one night order room service food good . order tonight annoying keep hold get order take . swear wait 10 minute give . call front desk tell call room ready take order call back 5 minute later . service good attentive . everyone really friendly . mention , ' ve stay great boutique hotel around world . be clear see really trying become contender strong boutique hotel great service . still kinks work good job . last time feel like Gault Hotel Montreal Today go business meeting print document . tell email would print . end bring laptop nice offer . also deliver complimentary New York Times daily nice . area totally fine . might 2nd thought upon arrive compare area like Upper East West side 's totally cool . look dead day night ton cool bar / restaurant open full life . upcoming trendy area . subway station ( Delancy Street station ) around corner easily take everywhere want / need go . buy one week subway pass $ 24 recommend compare $ 2 way ticket . hotel Rivington Essex street . I complaint : wireless internet not work well free high - speed internet access via cord complaint all . no breakfast include ( day many place not include ) .Maid service seem fairly late compare hotel . day room not clean 5 pm day one time clean room . happen one day though . the office chair REALLY uncomfortable . really put comfortable chair computer desk area . put pillow chair since be uncomfortable . the refrigerator really great sized deep shelf . 's sell stock drink expensive $ 4 plus tax coke buying drink store next door put fridge 's really cold drink not cold . not bother call ask 's possible make colder . look control switche not see one . honestly though really small detail . view incredible room . think time goes improve various thing . area develop well . from experienced traveler give really positive rating . keep good work Hotel Rivington . night hope enjoyable first several nights.mike @ apartmentsba.com 
 Nov 17 2005 	 Cool decor major staff blunder attitude 	 would go alone heartbeat lose weekend someone love , definitely business travel . first impression : beautiful people dine hotel 's street - level THOR ( Hotel Rivington , get ? ) restaurant . whole place ooze air elegant dark suede . checkin second floor near disaster : send clear email ask two room , reserve one . fortunately still another one available . room fascinating electronic everything light dim curtain draw . flat screen tv enable maximize space . closet sleek ample . bathroom dark strange soap , shampoo , etc . excellent real steambath one explain ( gee 's strange pushbutton thing shower wall ? ) . last opportunity try tempurpedic mattress , be awesome . 1000 thread count sheet yummy pillow deliciously comfortable helped mitigate street noise still come outside . room service fine , even phone call never pick tray . upon departure find misplace luggage , delay almost cause missed flight , one bellman wonderful make sure reunite bag time ride airport adventure itself . taxis rare street , leave ample time snag one neighbor street watch heroic bellman hail . not much hurry . hotel savor , put test tight schedule . 
 Nov 14 2005 	 live expecation ! 	 NY trip , decide throw extra cash stay cool place . great view , bed , shower , service . free wi - fi great amenity . hot water , PLENTY . not know w / the review . upgrade we corner room tell 1 year wedding anniv . 
 Nov 14 2005 	 Gorgeous Run Hotel ? 	 okay , Rivington complicated stay ' ve long time . be like gorgeous boyfriend come short many way yet live without . think & quot ; ' m sort feel little attractive right simply ' m yet be really try last nerve moment . & quot ; be know , first foremost . nothing else , know Rivington hot . first room 19th floor , penthouse . stunning view Manhattan . positively breathtake . furniture room tasteful minimal shower window floor ceiling show bridge ( think Manhattan Bridge -- not ask , sorry ) . anyway , phenomenal . bed ... mean will know check be proud . be one Tempur - pedic ( sp . ? ) bed like sleep cushion love comfort . switch room ( super loud construction . awful . bang middle day . find workman end sight , tell Front Desk intolerable move right away . look gorgeous get right ! ) . second room , ten flight , way even well . grand view speak , room soak tub DIE . give damn bath ( ) care hot water , pressure , bubble , immersion hot water , demand room tub . regret it . what be wrong ? heat close impossible control ( though fastidious send people help ) . contribute problem sun beats like -- -- not keep shade draw , room easily shoot past 80 . get come might crank AC blast vent toward bed cause quite draft . yike ! talk bad air karma . really fix stuff . another thing be right : people Ground Floor seem little like know hotel work . let explain . walk , 's signage . idea be be get & quot ; dark W & quot ; B.S . happen bit disorient . ask woman turn hostess hip happenin restaurant check , look positively perplex not know get elevator go lobby . person ask . not doormen tell people check go ? be busy check people sidewalk . 's . else ? ask pot tea side milk honey . honey arrive . call ask stationary ( none packet give ) guy not know & quot ; stationary & quot ; mean . ' m kid . opt utilize offer keyboard bring room work television screen ten dollar charge , thing hard navigate jam constantly . hand , tell dissatisfied , not charge . also read material could rent computer . well , can not . guy front desk seem shocked anyone read junk know suppose option say not run yet . first room SHELVES ! second room , instruct hungover hot bellboy curtain could open closed press button next bed . guy come room -- call . could get curtain close way matter tug -- realized not tell . say , & quot ; someone tell you . & quot ; ' m like hungover bellboy guy ? please . 's exhausted ! till like 4 Libation ! 's thing . feel sorry level . be hip cool not know hotelier . totally true . mean ask iron , come within five minute . argue point bill , change right away . ask concierge make ressie street , do immediately . really work . 's be top , behave lose . confused . speak , ask get manicure . girl Front Desk send total scary place . 's great place Rivington , head West might Stanton . 's also nail place Ludlow Houston . need homework . think know area much well . know afford stay , might want go nice place get mani / pedi ( might might , Rabbit ) . fix uncontrollable temperature sitch . make really super easy check room . say , find shortcoming tolerable . smart NY handle little self - sufficiency , might conclude , , be worth . gorgeous boyfriend , Hotel Rivington , worth high maintenance . main reason ? be cool stay different area . Rivington tremendously interesting . unique specific store restaurant bar . bear raise NY live Manhattan five year , positively treat discover part city . really feel like traveller first time forever . know , even though people W Union Square seem top , truth , place dark never feel clean not ever really fix anything . 's irritating . least , special kid try . mean . might get right , even know ( grow ) request half time , try care . get to say , would stay . albeit , would prepare well . would maybe expect much model . essential draw back : bed rock , tub rock , view rock area rock . come 1 a.m. 's big party downstair be game , be invite . 's think , ' guess ' m hot default . ' p.s . like W Mexico City like Hotel Rivington . 
 Nov 11 2005 	 highly recommend 	 huge amount research stay New York short list include 60 Thompson , Bryant Park Hotel , Soho House Gansevoort . hotel Cotswolds couple trainspotter come work stay rare holiday ! end decide stay Hotel Rivington reasoning money would save incredibly reasonable room rate would outweigh ' poor service ' ' shoddy workmanship ' mention previous review ( could put money save towards great meal shopping ! ) .We little nervous arrive expect unimpressed could wrong . welcome doormen ( three ) invite quickly check - in show fabulous room . we corner large double 15th floor floor ceiling window view staggering . balcony could see beautifully light Financial District low end Manhattan way Empire State Building beyond . bathroom large vast bath ( take hour fill ) separate shower - do black slate really stylish . toileterie good quality replenish daily . bedroom well design large , brilliantly stock , not - so - mini bar . good wardrobe space . decent sitting area . bed ludicrously comfortable going get similar style matress home ! ! contempory over - style comfortable . also turn - down night cute little biscuit marshmallow chocolate . the bar buzzy throughout five night stay food Thor good . well think room service menu note provide 24 hour basis ( advertised site ) fly Europe prepare hungry wait morning - start serve 7am . whilst taxi ride get anywhere else ( 10 min 58th Street - cost $ 9 ) great deal see immediate area . really top restaurant ( try wd 50 Schillers ) coolest bar whole New York . area certainly up . we would definitely stay sad leave . service charming helpful throughout . yes , example ' shoddy workmanship ' corridor poorly light . , come , not Four Seasons Soho House not pretend ceratinly not charge silly price . go take look hotel short list really happy find make right choice . 
 Oct 29 2005 	 Beautiful - would stay ? ? 	 stunning view , beautiful architecture , great room appointment , extremely comfortable mattress , mention interesting location . however , shower COLD , limited water pressure , front desk forget wake - up call . guess would say 's interesting venture , perhaps hotel well leave people actually know run . 
 Oct 18 2005 	 great view little else offer 	 think stay hotel exciting . great review Travel Leisure . website include wonderful , stylish room promise great hotel experience perfect neighborhood . thing ` great hope . as soon enter room , feel overwhelming , stuffy heat . word , air conditioning work temperature reach high 90 outside . I want take shower hot water . decide contact front desk help , indication phone button press assistance ! ! ! go lobby communicate problem . the repaiman came complain twice front desk ! ! ! many great hotel Manhattan , ` stay . 
 Oct 18 2005 	 amazing hotel 	 go New York City first time last week . night get engage splurged get room Rivington Hotel . spend week trip advisor look hotel . pick one view . stay one night think view city would better star - quality treatment . get . service amazing . request iron less three minute . front desk call make sure deliver . hail cab every time need one . day check hold bag day could explore city . upon check - in escort we room give we tour explain everything work ( dimmer switch light , tub fill ceiling ) . service really wonderful . room tremendous . nervous 's modern taste not . would not put bright yellow carpet tile house , great . unique room soak tub separate shower . huge . dim light soak bubble bath look light city . beautiful . bed die . want get morning . definitely come back . 
 Sep 30 2005 	 Greedy ! 	 can not believe pay room charge breakfast ! ' ve stay hotel world 's first time happen . Rivington charge everthing . find greedy . 
 Sep 19 2005 	 style horrible service 	 hotel flaunt 's style , absolute bad service . upon enter hotel , 3 doorman stand outside gossip without actually 're suppose : open door ! service front desk initially polite , evident staff young groomed . drive crazy , , room key card 2nd day would not work . complain front desk try 2 replacement , attendant say service man happen desk , front 6 waiting guest , & quot ; would please escort woman room 162 let ? & quot ; single female traveler , ' m attuned tremendous breach security sorely disappoint . breakfast next morning , 4 server walk we smile wait one seat we . good morning greeting , offer help seat we 5 minute , dining room clearly busy . location - ok , hoof get cab . 
 Sep 15 2005 	 Unique 	 real unique hotel . extremely comfortable - slept like baby ! ! ! tempurpedic mattress & amp ; bathroom big . loved steam shower ! ! ! ! ! ! ! ! ! ! ! ! ! ! hotel great view NYC & amp ; great location experience new york night life . bar & amp ; restaurant open . food fantastic . I definately back fun soon . 
 Sep 9 2005 	 nothing special 	 recently return 3 night stay Hotel Rivington . think people stay hotel bit self important . hotel try really funky . elevator line leather find really stunk . room ok , sparse . comfortable bed nice sheet . amenity great . the service ask , feel like hotel run kid . much experience overly friendly , fine . after initial glitch ( call room service 1 morning : wrong room , etc . ) actually improve . ask conceiarge question well answer two surprise lovely breakfast hotel restaurant last 2 day . all , really choice area , really hotel . love location . suspect hotel may disappear oblivivian really try hard , yet nothing special . really hope make work . 
 Sep 8 2005 	 Booking 101 	 read review service Rivington Hotel thought would still risk make book pretty lay back thing . make book internet . two day past not receive confirmation booking . ring hotel ( wait appropriate time make call Australia ) . booking manager say not get around answer email would reply hour . receive confirmation 2hours later . unfortunately change travel plan could make New York . email cancellation request confirm cancellation ( credit card detail ) . week hear . rang hotel speak someone booking say understand need cancel would send confirmation . two day later ... response ! ! ! send strongly word email capital letter ! finally day later , receive email confirm cancellation . drama booking & amp ; cancel unlikely attempt stay future . 
 Sep 4 2005 	 unless ( think ) rock star ... 	 stay one night . one night late August . hotel still renovation mode believe come long way past month . check late night initially think wrong spot . feel like night club entrance . lobby , dim light several dark suit greet we . check lobby turn 2nd floor process quite smooth . what surprised room . feel like simply paint wall white roll dark carpeting , look wear already . bedroom & quot ; smallish & quot ; feel like sleep next window since gap bed window - wall less 6 inch . electric curtain fun play surprised light actually leak edge curtain ! , awaken morning light , curtain close , morning call . overall , want party late night enjoy rock - star lifestyle , hotel great . want get sleep morning , perhaps grab cab door hotel ( cab morning ) , avoid morning traffic uptown , may well stay Soho midtown . 
 Aug 22 2005 	 Work Progress 	 hotel great location well design . unfortunately , appear work first - time hotelier not handle project size yet work kink . hotel still full construction worker day many & quot ; finished & quot ; area need redone repair damage do crew still site . note review , workmanship generally bite off . although staff friendly , not able help ask move room tub balcony ( ask time course 4 day stay find hard believe room tub balcony turn stay ) stereo iPod speaker room advertise . similarly , maid service never get room late afternoon . while none thing major problem , combination slight annoyance definitely detract stay . one pleasure good hotel detail handle THOR quite there . in addition location highlight hotel excellent continental breakfast , Frette linen , good bed helpful doorman . as stand , reduce & quot ; soft opening & quot ; rate seem right . ' m sure return rate increase significantly , simply many hotel NYC provide well service comparable style price . 
 Jul 29 2005 	 real life experience . 	 come back three night Hotel Rivington say complete confidence website not exactly lie , not tell whole story . New York Times article June 21 mention , quality workmanship hotel questionable definite wear everything . token , hotel great value . room incredibly comfortable thoughtfully lay , bathtub shower exceptional , balcony turn nice asset late night cigar . service issue ( everyone get red carpet treatment doorman ) , insurmountable . housekeep exceptional turndown service -- lovely piece fruit night -- nice touch . perhaps one thing Rivington far exceed expectation quality free breakfast : fresh fruit juice , drinkable coffee , granola , variety tasty baked good keep hum along morning . stay place still affordable : grand opening September may good price value choice . 
 Jul 21 2005 	 Unacceptable Problem 	 hotel supposedly cater many " celebrity Europeans " inconceivable room way keep people come . actually unacceptable hotel especially one NYC . dead bolt use inside , unlocked master key ! ! ! ! ! ! bad ' , " lock " room give false sense security . master key unlock dead bolt type guest key ( credit card type ) key make hotel . would manual latch type lock inside door like hotel NYC beyond I . I learn hard way … maid walk room night ! ! ! ! Maids Maintenance may may master key . management give darn issue treat unreasonable bring . claim maid " house key " unlock dead bolt , could explain one get room though lock dead bolt . word activate dead bolt inside enough claim lock . they quick point extensive background check worker , work field know " background check " never 100 % accurate individual foreigner ( Rivington ' ) completely useless . even background check accurate individual " clean " , ' want someone love first victim one worker someone obtain one master key float around . 
 Jul 18 2005 	 worth check get old 	 get back 3 night stay thor . room 195 , outstanding terrace view midtown Empire State building . room bit small though ' large ' , bathroom not window . hotel clearly work progress ... worth every dollar time , probably long : building room may age well . Carpet already stain ( bright yellow , ) , terrace exterior wall scratch rust mark ... net , great neighborhood , fantastic view , nice people ... worth check open ... get old . 
 Jul 17 2005 	 good time ... 	 room great ... crisp , cool clean . one cheap room without view , not go New York sit inside look window day . 's basic - bed great , air condition quiet kicking cold , bathroom huuuuge ( shower lovely ) , plenty closet storage space , pack snack cabinet stack mini bar ( one honor bar breathe , oop , instant $ 6 charge Coke ) , bath product nice , towel robe great ... maybe ' ve lightly use , complimentary breakfast treat turn - down service bedside plate plum nice touch . neighborhood quiet feel little uneasy vulnerable tourist way walk East Village dinner one evening . would stay . oh , can not forget mention amazingly helpful doorman hail we cab way , way , way street . , nice . 
 Jul 12 2005 	 plus outweigh minus 	 wife spend Saturday night Rivington late June 2005 . make reservation week advance , hotel nearly sell get medium room desire standard room , think probably medium minus gorgeous view everyone talk . room fourth floor overlook alleyway tenement front Essex St . tiny balcony lock , room oversized NYC decorate minimally . however , bed comfortable , pass room 's armchair long day walk City . bathroom also large , new clean , shower leak wall carpeting bedroom . huge inconvenience one night , demonstrate unfinished nature building . scuff dirtmark wall window room , seem strange recently open hotel ( albeit & quot ; soft opening & quot ; ) , something easy deal . lobby nice hotel offer great breakfast ( include room ) , include scone non - doughnut pastry , fresh fruit , cereal coffee / expresso / cappucino , Times / Post / Newsday etc . agree reviews staff bit flighty ( think cool factor outweigh actual hospitality experience receptionist hiring process , doormen good guy ) . LES bit sketchy , , be part charm . 's subway station one block away Essex & amp ; Delancey Sts . , there s several good restaurant bar Rivington ( Essex corner Essex & amp ; Rivington awesome Sunday brunch include food three margarita bloody mary $ 16 per person ) . overall , size room , location , breakfast price largely outweigh rough edge hotel still construction . 
 Jul 11 2005 	 Glamour Funk -- Rivington deliver 	 hotel appreciate cut - edge design , hip attitude , first experience something new . room sleek minimal , bathroom spectacular . Mattresses Tempur - pedic . sheet towel Frette , bathrobe well ' ve ever see , toiletry Paul LeBrecque . complimentary breakfast include pastry Balthazar , fresh squeeze orange juice espresso . staff gorgeous ( check Jonathan , bartender ) helpful . $ 235 night ! would pay double price uptown . bring we potential downside many : hotel Loisaida , central many typical tourist site . neighborhood rapidly gentrify , trendy , funky area tenement , population artist , Hispanics , Chinese . f train around corner , like stroll Met , . 
 Jul 10 2005 	 Unfinished understate 	 overall feel unfinished . room view amazing def like hotel . lobby practically non - existent staff seem bit inexperienced . want grand ritzy not place . indie hip polished trashy glam . chair room stain , carpet cigarette burn spot edge carpet meet wall crusty paint . first glance everything beautiful . can not trust website description . tell would soak tub phone , not also rooftop wine taste Thursday night . lot stuff advertise not actually . also going get medium room instead Large get first time medium double bed , site say something different actually offer . medium not balconie , soak tubs high floor advertise . good location , bit dirty 's expect . 
 Jul 6 2005 	 Hip need work 	 hotel look hip -- totally black hallway , bright red carpeting , floor ceiling window everywhere , fabulous black tile bathroom -- however , even grand opening , wear tear showing . nasty scuff mark wall , carpet shabby shaggy , lobby furniture look like last year 's over - use Ikea . place ready renovation . $ 285 per night ( include by - now - to - be - expect upgrade suite ) hip , minimal design couple plasma tv enough make shoddy housekeeping maintenance . plus side , include breakfast terrific -- fresh fruit , super bagel even designer tea . staff young , good - look friendly , terrifically efficient . crisp , white bedding also fabulous . good view city afford floor ceiling window . 
