excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 May 27 2005 	 Great Location clean safe ! 	 read review go hotel happy say accurate . midtown clean , safe great budget hotel want nice spot sleep shower . lobby clean front desk staff helpful friendly . breakfast also great , enough start day ! location can not beat literally step away Times Square 's short walk Rockerfeller Square 5th avenue . we would definitely stay ! ! 
 May 14 2005 	 great value location clean ! 	 stay 4 night may please result glad trust review site . everything great ... location , cleanliness , staff , continental breakfast great AAA price can not beat . look anything fancy want clean , decent place sleep shower ... place . would definitely stay . 
 May 13 2005 	 great location ... beware claim AAA discount 	 second stay - time 4 night . location great room tidy clean . beware claim AAA discount . NRMA member entitle AAA discount refuse honour despite numerous call faxes NRMA AAA . end give despite pay extra $ 160 US . 
 may 9 2005 	 sure 	 Comfort Inn comfortable ! particularly sure cleanliness lobby spot cockroach . may one come outside . room feel clean enough needed bit renovation . also , step outside really frustrating arrive tired threee heavy bag . doorman around help . also hotel particularly close subway station . never breakfast notice busy - probably good sign . free internet access bonus . 
 may 7 2005 	 Immaculate Convenient 	 husband stay 5 day may would definately stay . entrance modest , lobby elegant . room tiny , rear building , quiet . would never know one block Times Square . since window face brick wall , call friend actually find weather day . care , not NY stay room . everything immaculately clean , nothing disrepair , bathroom tub great shower . breakfast donut weigh pound piece , delicious free . everyone friendly price right . we never figure radiator heating system , not cold , not matter . , happy Comfort Inn . 
 May 3 2005 	 Great Hotel 	 11 year old daughter stay 3 night April . come mother daughter getaway . research hotel near time Square trip advisor making decision .. prove helpful . staff extremely friendly helpful . room extremely clean . 1st night room view brick building next door . room relatively small expect . downfall bathtub . way evening ask room contain shower . tell 2 . ask possible switch room know hotel sell . also ask corner room request originally . offer move one a.m. warning would noisy street side . daughter prefeere love noise NY . move room 2x size previous one . rest stay prove enjoyable . look forward return 
 May 2 2005 	 Comfortable Comfort Inn ! ! ! 	 pleasant surprise hotel . excellent location staff well many find pricier site . breakfast buffet fresh - room immaculate -- tub - so need ? ! step right Times Square - go leave block 46th street become know Brasil Row - fabulous restaurant - then walk little 5th avenue . never scare female travel alone NYC - that small thing . hotel stow bag arrange ride LGA late afternoon - effortless able squeeze last minute shopping . not pass gem whether business pleasure - your company glad save $ $ nickel - you shop EATING ! @ 
 May 1 2005 	 good money 	 money place can not beat . far perfect clean convenient . staff friendly breakfast adequate ( free ) . provide free internet access ( hook ) . DSL , be slow 6 day able access email twice ! time connect , unless lot time , be worthless . room rather small bathroom really dark - could use high intensity light . 's hard make dark bathroom , believe , stay lot bad lot ! can not complain price ( $ 125.00 mid week ) not spend much time room anyway - would definitely stay . 
 Apr 30 2005 	 Fantastico Location 	 stay 11th Nov 5 night , NY birthday treat mother , lot consideration choose hotel . I could fault anything , room clean , staff friendly buffet breakfast fab . yes room get bit overcrowded , consider rare thing get breakfast include New York , surprising ? ? yes room small average , New York , would room long enough size bother ? ? would stay without doubt , would hesitate reccommend anyone - think fantastic , location could perfect . 
 Apr 17 2005 	 great hotel 	 check trip advisor book hotel week city . really glad review honest accurate . arrive tell would front room room generally quite noisy . offer another room straight away want could try change follow day prefer . take 2nd option yes , could hear noise street ( even 4 am ) think room great size reluctant move . guess , must sound sleeper noise not bother we end although ' m sure could really bother other . everything else great . fantastic location , clean bedroom bathroom , comfy bed , great breakfast free internet . would recommend hotel anyone hopefully back someday . 
 Apr 13 2005 	 great motel price 	 stay Comfort Inn Midtown Apirl 8 - 11 . pick location read review website disappoint . 's nothing fancy , 's affordable 's perfect location . arrive noon room ready could check early . room small thing ' ve ever stay , read review know expect anything big . bathroom decent size nice . ... look something affordable perfect location , place stay . remember take AAA , get nice discount room present card ! 
 Apr 11 2005 	 live review ! 	 fully endorse positive review site . great find - great location near Times Square , clean bright room , staff friendly free Internet access breakfast . would certainly stay . 
 Apr 9 2005 	 Great Location / non - smoking / non - smelly 	 generally stay 3 star hotel . read review expensive hotel ready spend extra money hotel barely go stay . review 3 star actually scary . grade two star excellent rating . seem spend little people $ 160 . night . really enjoy hotel non - smoking hotel . many time even stay non - smoking room lobby hall old hotel odor . note hotel , think , policy . locate back 7th floor corner room . notice noise except rain one night come onto air condition unit kind loud . unbearable . couch lobby tattere . think antique . not sure would find room find everything say forum true . clean room . clean white towel . Maid service everyday . family use breakfast room satisfied lunch come . room 9 every morning back shortly dinner get ready go evening . everything always put back together rush shower . we room bathroom tile . small 3 inch step we trip couple time . bathroom clean , mold visible new soap put everyday . room not especially pretty , location great . would stay . sixteen year old could watch tv want seem sport channel game available . I use stair computer print boarding pass night leave . also , morning check flight make sure time . hotel charge service hotel free . could check email never seem occupy . hey vacation could wait return . 
 Apr 8 2005 	 Careful 	 stay three night first week April . careful price charge ! make reservation , quote price arrive charge $ 15 night claim discount good ! taxis , end pay extra $ 75 three night . room 4th floor . tiny clean arrive . second day give towel make - up . also noisy . never good night 's sleep . hear door slam also personal hygiene noise room . doorman friendly staff member encounter . never eat breakfast can not comment area . elevator run fine -- -I never issue -- -and location nice . not need fancy upscale hotel , like cleanliness quiet . all -- -- not care price , room size cleaniness -- -it would good place stay . want know will charge correct price , towel actually clean -- -stay somewhere else . I never stay , would never recommend place , informed company recommend employee come town . 
 Apr 5 2005 	 will back 	 7 we stay St. Patricks day .... great stay .... nice folk around helpful .... nice clean room , decent continental buffet ... location , Location , Location : walk Lion King Phantom Opera , parade , St. Patricks , Grand Central Station , everything ... agree would stay next time ... even legendary elevator seem quite quick enough , thank ! ! ... thank Trip Advisor tip ! ! 
 Apr 5 2005 	 get pay 	 return hotel . breakfast great always sit window seat lobby eat breakfast watch world go dining room full . staff excellent especially lady incrediblky friendly nice throughout stay . room front noisy til 1130 8 morning new york busy would slept anything . go Spamalot , La CAge aux Falles , Opera ( fabulous italian opposite lincoln centre ) , go see knick , go see jackie mason , book helicopter ride , thefront desk give discount bus tour . enjoy new york . hotel cheap , cheerful incredibly well locate . 
 Mar 30 2005 	 lovely warm hotel 	 love hotel much ( NEW YORK ) clean people lovely warm enjoy muchthank lot 
 Mar 27 2005 	 can not say Bad Thing 	 well feel owe hotel site review since main source info hotel trip . book hotel 3 month ago 3 night stay ( march 17 - 20 ) . get rate $ 107 night AAA . constantly look site new review see hotel measure think $ 107 night , nice could really . read consistent good review , decide give shot . let say glad do . my mother go NYC want place clean safe neighborhood . want something centrally locate hotel could not well location . yard away heart Times Square locate near theater subway , could not well . request room 2 twin bed corner since hear big . tell not corner room twin bed , check room seem significantly big room floor . room 307 back side building . bit hot room not want heat noisy ac unit , open window crack let cool breeze . let say like country . noise whatsoever ... would never imagine yard Times Square . room keep clean tidy 3 day everyone super friendly , especially breakfast man . ( not forget bring money tip ) . lucky get table morning breakfast , seem quite full busy time morning . one elevator .. problem see . 3rd floor often walk stair not bad . all hotel great would definatley recommend anyone look heart city , clean room , breakfast include save money room never fine thing NYC offer . Thank Trip Advisor .... may review help someone else make informed decision . 
 Mar 18 2005 	 take earplug ! ! ! ! 	 come back Comfort Inn Midtown - stay 9th March - 16th March 05 . good hotel , clean comfy bed . goo breakfast , bagel , doughut , toast , banana , yoghurt , OJ etc man look breakfast room helpful , do not forget tip ! unfortunute enough get room front , allthough may roomy , need earplug . the noise night horrendous horrendous horrendous . times woken night terrify loud thunderous noise ! also hotel Times Square NY version Leister Sqaure - tacky busy awful . avoid cost bubb gump Shrimp Times Square , service bad , food edible can not see window dirt . must however drink Marriot Marquis . bar / restaurant & quot ; View & quot ; 48th Floor view fantatsic . dinner though . buffet small plate apalle service . the good restaurant opposite comfort inn call Le Tre Veneizie . good italian excellent customer service - rare thing ny.sight : Empire State : busy gift shop view . huge let down . sky ride : do not . Statue Liberty : worth lookCentral Park : wonderful sunny , Zoo brilliant , avoid horse draw ride , get 20 min around front bit park $ 40 , disapointe . Pier 17 & amp ; South Street Sea Port : stop clam chowder . Brooklyn bridge : walk view - brilliant . New York public Library : good 10 min kill . grand central : Loved . good affordable place lunch . Macys : busy hot good bargian : go Visitor counter , show passport get card give 11 % everything store include sale item . for dinner get cab Greenwich Village Little Italy . overall , New York okay place go trip would go back . want go somewhere romantic break eat good food go . lot money american version London without culture . 
 Mar 16 2005 	 Second Time around 	 second time ' ve stay motel Times Square . value location terrific NYC . staff , helpful pleasant . room , though small , fine . clean w/ amenity pricy motel . still give average rating . 
 Mar 8 2005 	 ok great 	 come back New York stay Comfort Inn Midtown . never New York 's hard say hotel compare NY hotel . everything else ok heating make irritate noise . could not sleep night wake quite often . stayed 9th floor . 
 Mar 5 2005 	 wonderful hotel ! 	 great place stay , plain simple ! girlfriend get back 5 - night vacation New York City , stay location . go price positive review site . know want minimize cost ny stay decent hotel , place fit bill . , let us get review , will try detail well possible , since get back today ( be still fresh mind ) .The lobby area elegant enough . nice marble floor give way concierge dining room , use abundant breakfast item ( nothing fancy , bagel , doughnut , apple , banana , various cereal , strawberry yoghurt , coffee ... ' m sure ' m miss anything , since eat 2 5 night ... ) small exercise room hall bit , treadmill , bicycle machine , believe stairmaster . overall , good lobby amenity . nothing ordinary , , be do well . we stay second floor back . view nothing write home , simply face brick wall . beware , little light come black - out curtain brick wall . want wake early go sight - seeing , since real amount light make room , hard time get , since comfortable lazy cozy bed . course , ensure get good night 's rest , little noise light come room ! room amenetie excellent . quite large , decent tv , 35 channel . comfortable , queen - size bed . nice chair table . drawer . beautiful painting hung bed . little thing find every hotel , do well well . furniture , far tell however , run seem would break instant , good sign . bathroom excellent , shower stall modern - look basin . hair dryer well . water shower good , cold hot , pressure good . the room keep spotless , thankful . clean towel every day . clean sheet every day . amenity replace need , new soap bar . vacuum every day . wonderful , live without cleanliness . ' ve hear horror story hotel , ' m glad not one they . the cleaning lady one sweetest lady ' ve ever meet . will know see . sweet , little accent , tell we room would ready , always greet we warmly whenever see we . nice touch , especially meet lot people city rush care little nicety . warmthness also extend staff member , definitely person stick head . oh , guy encourage eat breakfast heartily . keep encourage take food ! also nice guy . staff front friendly helpful one time ask help , take subway get airport . can not really comment . seem generally friendly though , always ready answer question have . overall , great value hotel . clean room important , . oh yes , plenty space move freely around room . be big room , be big - enough room comfortable enough . love , definitely stay . highly recommend . 
 Feb 28 2005 	 Excellent hesitate book be budget ! 	 use website guidance book hotel , feel 's fair post opinion ! simple : be New York low mid - size budget , simply go wrong hotel . location perfect - 20 yard stroll be Times Square . 's great position main attraction ( Empire State , Guggenheim , Central Park main shopping district within 10 minute walk ) conveniently place subway area . 's excellent choice Deli 's restaraunt around hotel ( check Guinness irish bar next door ! ) hotel .... well , be pretty good , even aside location . yes , room small . expect $ 99 per night - butler ? ! bed comfortable , shower hot clean , tidy pleasant . internet access free downstair small selection exercise machine downstairs ( no - one mention ! ! ! ) breakfast big bonus . doughnut , bagel , roll , fruit , yogurt , cereal tea\coffee , apple orange juice . not know people complain - 's load , find service friendly perfect way start day . many New York hotel offer breakfast , 's real benefit . staff friendly , helpful polite . able check hour early , keep bag we day check out . look , absolutely nothing wrong hotel . want lap luxury - sure , be much well hotel . pay - ! ! ! price , perfect , go wrong . I scour every review book , naturally suspicious praise heap cheap hotel . need . everything people say true , go wrong place budget ! ! ! ! save $ 100 per night spend shopping ! ! ! ! ! ! 
 Feb 21 2005 	 great location room superb would stay 	 book hotel July watch tripadvisor review constantly arrive . stay six night , Feb 11 - 16th . hotel everything review state . room clean , spacious since corner room . view outside window exciting care , seldom room . bathroom spacious two always clean towel , fresh soap , etc . internet work fine , problem . television great . heat somewhat warm turn radiator . desk staff great . rojo always smile willing help . never eat continental breakfast , table always full not want wait around . can not comment that . talk close Times Square , could not ask anything close convenient . if ever get opportunity go NYC , will stay hotel . go Plaza Suite not feel near welcome hotel . thank tripadvisor ! 
 Feb 16 2005 	 Perfect Budget Conscience 	 Booked hotel first trip New York . perfect location near Times Square Subways . clean room plenty big ... although corner room read big . shower great water pressure , never problem heat , like reviewer mention . free breakfast great ... bagel , doughnut , apple , banana , cereal , coffee , juice ... would definitely stay ... can not beat price ! 
 Feb 15 2005 	 Great Choice 	 almost reluctant write review , not want hotel become busy accomodate great fashion . room corner room , plenty large 2 people nicely update . course street noise , request room face street . sufficient computer printer customer use , along nice little exercise room , energy leave enjoy New York City . always go due breakfast time , can not comment . staff helpful , ride arrange JFK $ 45 2 people ! definitely stay ! 
 Feb 15 2005 	 Perfect place stay 	 daugther stay four night February , must say perfect choice . location , hotel . read nice review tripadvisor , expect good place stay , even pleasantly surprised . first , hotel really clean nice furniture , color , nicely decorate etc . look fresh believe renovate long ago . corner room bite large other be lucky . tv big one right front bed . room 7th floor face street , noice minimum sleeping excellent ( nice firm bed ) . room big enough also bathroom . even cold february room warm , put ( noisy ) a / c machine minute every morning get fresh ( New York ... ) air . cleaningwoman man breakfast room friendly we , staff desk could helpful though ( complain times internet work reaction barely visible ... ) breakfast great , bagel , cereal , donut lot fresh fruit . free coffee whenever want day . , think hotel give great value money ( us 100 dollar per night plus taxis ) course unbeatable location really close Times Square . really recommend hotel anyone come New York . stay hotel New York far good value money . 
 Feb 14 2005 	 great price location 	 hotel , small , give european air upon arrival . get 10 a.m. expect leave luggage since check time til 3 pm . give we room right away . staff friendly . room small clean . bed pillow outstanding . turn a / c room warm also help drown noise below.the location well . right outside times square . forgot cord high speed interntet access loan one.the breakfast adequate.this hotel find nyc . 
 Feb 14 2005 	 good value ..... great price ..... excellent location 	 book room base Trip Advisor review , prove quite accurate . the location outstanding . can not get close great sight NYC . room small , expect , nicely furnish extremely clean . not normally check cleanliness everything look ok , lose remote tv somewhere room , search everywhere find nightstand .... room , clean . as previously post , sticker window say open . well , like fresh air , give try , would fully open . ask front desk sticker , tell pigeon tend fly room open window , screen . about 99 % write review accurate ... breakfast , door close , etc . add 7th floor , west side , right next church . whatever reason , church bell would go day strange time . hourly event , could never understand bell ring .... function time . perhaps church service something , never problem . it 15 minute walk hotel airport express bus drop Grand Central Station ( good way get LGA JFK ) . would definitely stay . great price , great location , quality room , free wi - fi , free breakfast . 
 Feb 6 2005 	 gem ' m glad find 	 first time hotel will not last . satff friendly helpful . room clean , comfortable warm great bathroom fit super shower . noise insulation next room 's plumbing could improve view window - go New York sit hotel room look view ! one lift mean short wait sometimes . complimentary breakfast first class plenty . hotel 's location 46th Street location could not well - Times square subway station end street , less minute 's walk away . restaurant aboud area . value money , hotel can not beat will certainly use . 
 Jan 27 2005 	 Great Value money . 	 book hotel review Trip Advisor . we ( boyf+i ) 10 night , 11 jan 21st Jan . room spotlessly clean . service every day fresh towel , bin empty etc . room corner definately big room beside we be not . ask room corner . oh Location location Location ! ! time square 10 door step away . subway 42nd 49th ! breakfast also bonus . cereal , juice , toast , bagel , donut friut . much like . staff helpful need . little noisey side .. city never sleep all . I would not hesitate reccomende hotel other . 
 Jan 26 2005 	 Comfort Inn great price ... count lot . 	 stay 3 night week past . allow we early check - in attendent extrememly pleasant ... even get smile despite reviewer write ! room okay ... nothing spectacular , expect ? ! heat terrible ! absolutely terrible ! get employee bring space heater we help eyesore nuisance foot give size room . front 3rd floor warn would noisy ... trouble sleep all . the breakfast consist fresh bread ( may well brick ) , donut powdery fruit . hey , free ! go elsewhere breakfast , be worth investment . the location awesome . hotel stone throw Times Square , half price ticket booth , subway Broadway . probably invest high grade hotel next time . budget , pretty sizable bang buck . 
 Jan 26 2005 	 could not ask 	 would highly recommend hotel , stay 4 night . lucky enough get corner room big other . room comfortable , like bedroom home . bathroom clean also . breakfast adequate fault staff . thing really sell hotel Location Location Location ! ! ! Times Square virtually 's door step , 5th Avenue Rockerfeller Centre Radio City block away . would recommend TFI Fridays corner Times Square highly recommend Europa Cafe ( door hotel , take left 's end street ) . great burritos juice . information centre Times Square also sell reduce price theatre ticket not want queue TKTS booth . all highly recommend hotel would definitely stay without hesitation . 
 Jan 16 2005 	 great value compromise 	 location superb . room clean , spacious NYC standard . go group 10 , everybody issue temperature control room . noise a / c unit , wake we several time night . other could not cool room enough , another couple could get fresh air . room 7th floor quiet ( except a / c ) ; noise street . breakfast terrific , yogurt , bagel , cereal good coffee . we would stay , Tylenol pm .... 
 Jan 13 2005 	 average 	 spend seven night Comfort Inn Midtown : positive : Location ( couple block Times Square ) , clean , nice bathroom , continental breakfast include , excellent value price ( AAA discount 89 + tax ) . one computer available free internet usage main floor . negative : room ' view wall ' open window ( sticker window say : " please ' open window , need assistance call front desk " ) .The idea lack fresh air unpleasant . front desk staff may need little training smile , good exception man help breakfast , always polite kind . definitely return hotel . 
 Jan 11 2005 	 Great Location 	 stay hotel January 5 January 10 , 2005 . overall , find good place stay midtown Manhattan . major benefit : great location ( half block 7th Avenue Times Square one side three block Rockefeller Center ) , clean room bathroom , excellent price ( pay $ 80.99 night myriad taxis add ) good , free continental breakfast ( include , cold cereal , bagel , toast , yogourt , donut , coffee , milk juice ) . breakfast alone could easily cost $ 10.00 local eatery . ( try get breakfast table window watch action across street W. 46th St. , include Jacqueline Kennedy Onassis High School people come go Muse Hotel , pay two three time amount . make breakfast taste much well . ) one elevator nine - floor building , slow . , one low floor , stairs easy navigate . complaint relate : noise ( surprisingly , inside hotel , outside action - room well soundproof room door bang loudly , especially 2 a.m. nightclubber return ) layout room ( small , television side wall , result literal pain neck ) . five - star hotel ? . find excellent value city likely will not spend much time room ? definite yes . ( could fix slamming door ! ) 
 Jan 10 2005 	 Good Location average hotel 	 choose hotel great review Tripadvisor . location hotel excellent , round corner Times Square . quality accommodation average extremely overprice sub - standard room amenity offer . be keep awake 3 night constant noise hot water tank seem share everyone floor produce loud gurgling noise whenever anyone another room turn water supply . also , advertise tea coffee make facility room - room antiquated coffee machine locate bathroom ! .breakfast awful remind staff canteen hotel staff watch every move check not take fair share food . try one day , opt eat breakfast outside . I feel hotel generous review trip advisor distinctly average . 
 Jan 6 2005 	 ok first time 	 husband stay Dec 27- Jan 3 . first room room # 702 small . stay New Years eve return room # 704 much big . room 702 small window shut . also could figure turn heat . one desk guy come help we . put towel window . room 704 large noisy front hotel . 702 - bathroom shower stall clean 704 tub . little mold . nothing shower sandal solve . 1st , husband get fight guy front desk we check early . one thing say , New Yorkers not fold easy . hold ground get shout match . customer service ? rate husband -- -- -- want stay someplace else would charge . plus , guy already promise we large room . stay . basicially , discover New Yorkers tough bunch folk . always seem scam someone make sure get scamme . service suck restaurant . time treat like we favor serve we . much communication . make , will make anywhere true 
 Jan 4 2005 	 go ! 	 stay Comfort Inn Midtown Nov.28 - dec.2nd satisfied overall . location amazing , quiet hotel even though close action . breakfast perfect quick start day . room small ( max 2 people / room ) , bathroom nice size renovate nicely . besides , NYC , spend much time room besides sleep shower . elevator slow big deal , extra minute nothing value give hotel . 
 Jan 4 2005 	 friendly staff 	 read previous review see downloadable brochure picture little worried expect get . first , may say brochure picture not hotel justice . hotel clean tidy . staff friendly room adequate size consider New York . ideal spot we walk distance Macy 's plenty diner / pub walk distance fancy fry breakfast oppose free continental breakfast provide . also nearby Macy 's multi - screen cinema call Loews screen big name film not short thing night . say , absolutely brilliant stay NYC hope go back around time year much want see will stay . 
 Jan 3 2005 	 comfortable clean . 	 narrow entrance hotel fool room , though small , plenty room get around bed without trip anything . want clean place sleep night . bathroom good size warm tile floor . nice . look window give view two close building keep light come give good rest . good cup coffee hot tea bagel cereal give good start day . would stay . 
 Dec 29 2004 	 clean great location good rate 	 hotel provide expect . room 10 15 , plenty large enough sleeping , clean . shower great -- hot water , great pressure . continental breakfast fresh donut , bagel , roll , real butter available , well cereal , fruit , juice , yogut , coffee . breakfast room 8 table might get crowded hotel full -- least crowd last day . ask bring food back room -- good idea consider challenge keep creature Manhattan building . expect great view : 9 story high middle long block , will see much . room window side building . money save go one reataurant fancy hotel . noise room little street . even small exercise room 3 machine . parking , $ 20 night , door ; , good price midtown Manhattan . room temperature good , although outside temperature vary 60 25 . window air conditioner , would bother summer . 
 Dec 24 2004 	 good deal 	 Positives : Location ( couple block Times Square ) , clean , nice bathroom , good lighting , continental breakfast include , excellent value price ( $ 135 + $ 20 tax 2 queen bed ) negative : small room , antiquate hot water heat ( open enclosure turn knob , thermostat ) . cold outside ( 5 degree F ) , cold room . 's window A / C unit , cold air blow thru vent . bellhop show we trick stuff drape around window block A / c vent . 
 Dec 22 2004 	 Excellent value money 	 stay conference instead expensive conference hotel . room smallish , clean well - appoint . find staff helpful responsive . water pressure shower first morning not good -- let know next morning , fix strong . breakfast hardy normal continental fare . highly recommend people budget . 
 Dec 21 2004 	 bad 	 wife stay one night December . stay Park Savoy ( read review ) four previous night , switch hotel last night ( pre - planned , disappointed ) . Compaired PS , room immaculate gigantic . ' m exaggerate , room decent size bathroom looked remodel recently . complaint : room rathner warm open window . air conditioner night , not cool room stay warm . view consist brick wall window air conditioner , least quiet . finally , one elevator TINY . overall , Comfort Inn Midtown great location ( 2 block Times Square ) , staff friendly , room clean able actually move around . aaa rate taxis $ 165 , pretty reasonable location . great place look place sleep , change shower , be look pamper . would probably look try different hotel come back NYC , would definately stay could not find something else interested . 
 Dec 20 2004 	 would recommend anyone 	 look place stay safe , clean conveniet . exactly get . single complaint stay . would highly recommend hotel anyone look bargain near Times Square . 
 Dec 15 2004 	 will never stay 	 well , first let say know would get pay far room size . extremely small , least clean . usually stay nice hotel try save money time . learn lesson though always pay quality stay . do not even think make complaint manager . air conditioner freeze miserable night 's sleep care offer compensation - make US feel stupid front lobby full people know & quot ; properly use window unit . & quot ; incredibly rude currently go high - up get resolve . I would pay stay somewhere people actually care customer . 
 Dec 8 2004 	 Great - definitely recommend 	 find hotel brilliant although front desk staff may need little training smile .... hey , little niggle ! room away street find great - quiet room big enough clean . stay 3 night room service good standard every day . complimentary brekkie bonus well - quite basic ( cereal , fruit , donut , bagel ) sufficient . location superb ! ! literally around corner Times Square . would stay would recommend friend . 
 Dec 7 2004 	 Friendly Hotel 	 return first trip New York . pick hotel Tripadvisor please . location perfect staff could not helpful . first arrive room offer hot ask move problem . room comfortable clean . buffet breakfast good . feel safe leaving bag last day member staff check happy we leave late afternoon . would recommend hotel anyone . 
 Dec 7 2004 	 Loved ! would stay minute ! 	 perfect hotel need . room small , spend lot time room NYC right outside ? ? room clean , bathroom clean well , small , cute . complaint . far location , could perfect . walk 1/2 block Times Square , easily catch taxi go uptown downtown . staff friendly , eager help way . continental breakfast nice suprise , small , inexpensive hotel . price room reasonable , even holiday weekend . would recommend hotel friend family - nice , basic hotel good location decent price . plan stay ! 
 Dec 5 2004 	 good hotel 	 first visit ny , stay 4 night fiancee sept 2004 . hotel clean , room nice enough staff helpfull . location simply ideal price moderate . would definitively go ! 
 Nov 30 2004 	 right heart Manhattan 	 stay three night last month . fantastic location , quiet street consider 200 yard Times Square . clean , spacious room . friendly , helpful staff great continental breakfast include . within walk distance heap major attraction . highly recommend hotel . enjoy . 
 Nov 30 2004 	 pleasant room noisy 	 stay Comfort Inn Midtown twelve night October . hotel pleasant enough , perfect location , find front - face room look 46th Street extremely noisy . hour day night , garbage truck would pull door street stand hour , grind refuse . fortunately would bring ear plug , come handy regularly wake 3 4 morning . also permanent roaring , whoosh sound come outside - possibly big airconditione unit build opposite . plus side , room spacious , definitely nice quieter small stuffy room back hotel , look directly brick wall , decide rather put noise . the breakfast include price also plus , unlimited internet access available little computer room lobby . also enjoy coffee - maker hairdryer room . however , next visit NYC , will probably go back Portland Square Hotel ' ve always stay . 's round corner 47th Street , location perfect , price far less - $ 105 standard double ensuite , compare $ 162 Comfort Inn . ' ve always ask street - face room never probem noise , least open window get breath fresh air , can not Comfort Inn . room might bit wear - look , spotlessly clean towels linen change daily , bathroom pristine , usual toiletry provide . also air - conditioning , cable tv in - room safe - handy . , breakfast include , one get cheap , delicious breakfast Evergreen Diner right across street , 's problem . also in - room coffee - maker , always carry little immersion heater , , problem . , yet discover well deal New York City , Portland Square Hotel , value money 
 Nov 29 2004 	 Best Time NYC Macy 's Parade 	 Trip advisor well ! start make plan June daughter visit Macy 's parade . not sure expect , Trip Advisor right money everything check . Comfort Inn Midtown great - high price , people nice helpful . room little small - spend much time room be New York ? motel within walk distance toalmost everything ! walk one block parade Times Square . Rockefeller Center , theater district , Macy 's , Empire State building close . great time hope day ! 
 Nov 29 2004 	 great wee hotel 	 say ? book hotel review , certainly disappoint . one front face room top floor 9th , room really big , ask tront face room possible . CLEAN maid clean every day , new towel every day . staff really helpful advise we area . really decent price consider 20 yard time square . Breakfast include normally go Evergreen 47th st . would definetly use 5 * * * * * * * 
 Nov 26 2004 	 Great Value ! ! ! 	 can not say enough hotel . entrance might grand hotel cost make . find hotel clean , quiet quite roomy ( compare Chicago hotel use stay . ) really center everything within easy walk distance several subway station course Times Square . would highly recommend anyone , stay ! 
 Nov 25 2004 	 excellent choice location 	 hotel offer everything look for:1 . economy rate 190 per night2 . comfortable queen size bed3 . excellent shower & amp ; good sized bathroom4 . good sound proofing5 . location - 1 minute Times Square , walk distance Broadway show , Macy 's , etc.6 . clean rooms7 . everything work room ( tv , clock , air ) 8 . reasonable breakfast ( however choice Manhattan eat ) 9 . free local phone call / free safe box front deskthey allow we check early give room available . suggestion could make management security system add elevator evening hour seem nobody look we whatever time come left room . room small exactly expect . would recommend hotel anyone lucky get back NYC anytime soon would even bother seach accomodation . 
 Nov 18 2004 	 good value NYC 	 nice little hotel , close Time Square ! become Choice privelege member right leave allow we 2 pm checkout also check we right arrive , hour early . staff pleasant , room small clean . good free breakfast , deli street offer bit reasonable cost . stay Ameritania year ago ... soooo much well reasonable . would stay 
 Nov 17 2004 	 Location Location Location 	 although room small , spotlessly clean . bathroom appear recently renovate shower , bath , excellent condition . staff friendly helpful . half block Times Square , within easy walk distance theatre , Fifth Avenue shop , excellent restaurant . would definitely make hotel choice week - end getaway . 
 Nov 16 2004 	 Excellent excellent excellent ! ! 	 husband return 3 night Comfort Inn ever book hotel Manhattan place.1 . excellent location - two minute tkts booth . get early Thursday Sunday - LONG line even 2.20 . Monday Wedensday line short well choice show . see Producers one night Irish not really cup tea - different humour ! lot people say enjoy great review maybe be we . went see Slava 's Snow Show last night - absolutely brilliant ! be really different anyone see Cirque du Soliel production , show ' clown ' show . 's real ' feel good show ' smile hour afterwards . GO SEE . 's braodway ( 14th Broadway Union Sq . ) every bit good well Broadway show . try get ticket ground floor mezanine ( will see go ! ! ! ) - subway couple block away . two stop Macy 's ( come extremely handy ) toy r we etc . use SUBWAY buy day travel ticket $ 7 ( compare $ 2 / ride ) . 2 . great breakfast.- need waste time look somewhere eat early morning . get bit busy 9 am not problem . always get seat guy set helpful . however , feel like fry - up big breakfast great place 47th st ( be call Evergreen something like ) . also GREAT indian place - Bombay something 49th st.3 . clean roomsOK bit small care . cramp anything stay small . anything make we keep everything tidy there s closet shelf put purchase . room really hot air- conditioning ( turn 10 maximum 1 ) . fan make little noise 's nothing really worry about . yes towel fairly thin small fine.4 . other . we not ask corner room maybe room might bit big view ( look brick wall ) . bonus brick wall - noise ! get check 10.30am problem even though official check be not 3pm . they also store bag 8 pm problem . stay ! 
