feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Feb 27 2008 	 nice ! 	 go New York City family since 10 . usually stay Crowne Plaza Midtown , decide time stay . great decision ! hotel probably nice staff ' ve ever encounter . moment pull left , service excellent ! could helpful pleasent . plan make & quot ; NYC home & quot ; ! 
 Feb 26 2008 	 Amazing Stay 	 book two night Priceline $ 130 . room overlook roof , also Waldof Astoria . the hotel beautiful . staff super friendly . great location big flower arrangement ' ve ever see lobby . complaint business center free internet . need check something real quick internet not want spend $ 7.95 15 minute . , definetly stay , provide get priceline not think could afford stay full rate . 
 Feb 23 2008 	 Nice Property 	 good 2 night stay property . 's elegant hotel upscale furnishing ambience . NYC mid - town , room small , bathroom small , 's lot soundproof historic construction . $ 300 night , however , find real dump area , would recommend Barclay . staff courteous friendly . location outstanding . 
 Feb 17 2008 	 second time charm 	 second stay . overall third time NYC . cover point : location excellent can not beat . almost everything within walk distanceroom great comfortable well keep . housekeeping really good . like other mention bathroom small sid . much time really spend anyway ! staff overall great . Frontdesk helpful , would like single Jose helpful . concierge excellent willing help reservation . big thank scott Julietta . one point mention leave , go pick bag 20yds away . doorman rush pick . even though want assistance . spare cash tip alot shopping ! go leave stand way , say problem . problem tip visit America many time . find unacceptable . point partner find intimidate . 
 Feb 15 2008 	 Barclay home run Hotel 	 wife attend conference New York City late January 2008 . start check hotel price find deal unless low standard tourist type hotel . previous trip New York stay nice Hotels , Waldorf , Mandarin Oriental , Essex House never Barclay InterContinental . friend recommend make reservation . wow , diamond ruff . property beautiful . moment enter lobby greet pleasant good afternoon welcome Barclay . wife could believe size beauty flower arrangement Lobby . check swift room ready understandable since hotel fully book . front desk agent informative time room ready even offer make dinner reservation we local Italian Restaurant . go meeting return around 6:00pm . quickly receive key say luggage would sent right . nice large room sit area clean , bright allow we spread . luggage arrive minute nice informative bellman hung hang bag get we Ice answer question . thing real treat comfortable bed pillow . great night rest . next day departure smooth , & quot ; thank stay we & quot ; Bellman Front Desk Agent Doorman . everyone come contact nice last person speak Barclay name tag . Barclay hit home run we . figure Hospitality . give six star scale one five . 
 Feb 13 2008 	 five star hotel - refurbishment need urgently 	 look many review book 2 night stay hotel , comment positive ignore warning . wrong . hotel never ever five star hotel . lobby nice , minute enter room feel good 3 star . room small , bathroom even small . everything room ( furniture , carpet , bathroom suite etc ) old give impression 1970 hotel never update . apparently , hotel due refurbishment next year , would wait till revisit . 
 Feb 12 2008 	 well expect 	 reading review , little nervous expect . everything turn well . book via priceline ( $ 120 ) one night stay sit Feb 9th 2008 . staff friendly , room clean bed super comfortable . thing hotel , traveler mention , wall thin window open , noise could issue . clock / radio room ipod dock also pleasant surprise . use help road hallway noise . overall excellent stay would stay . 
 Feb 7 2008 	 great attention ... need upgrade . 	 family 5 stay 2 room 5 day . Hotel nicely locate , elegant lobby superb attention staff . however , beware room corner street , noisy make terrible sleep . bathroom really small couple thing work - hair dryer lock . hotel concierge Intercontinental Club level . would say service average , stay 12 different intercontinental , advice one bit overall experience . hotel , room amenity need prompt upgrade . 
 Feb 7 2008 	 Fantastic Hotel 	 travel friend November - say ? faultless . beautiful hotel - public area stunning , room superb staff fantastic . housekeeping staff never stop clean ! even return hotel 1 am , still clean staff hallway . door staff concierge lovely make we feel truly like ' guest ' hotel . can not wait able return . 
 Feb 6 2008 	 Loved ! 	 return first visit New York little anxious everything include hotel reading review . tell one good weekend ever . hotel fantastic location , check staff friendly efficient room , locate 14th floor , delightful . clean tidy , exremely comfortable bed personal safe much appreciated . mini bar expensive , would find hotel anywhere world . breakfast delicious happy pay little extra convenience . not put buffet service Sunday . order egg style , freshly make chef . certainly set we busy day sight seeing . the location hotel great get around doorman always happy get cab . for decent bar try p J Morans 48th St East , 2 block up.we certainly intend visit New York soon would not hesitate book hotel . 
 Feb 5 2008 	 okay 	 hotel nice staff friendly . pretty good location . complaint cleaning staff . Disturb sign call see wanted room clean say & quot ; & quot ; . 15 minute later walk not dress husband not . little annoying . overall , nice hotel . would say nice one city not quite expensive enjoy stay . 
 Feb 5 2008 	 's Palace decent hotel long weekend 	 background : couple 30 2 year old daughter long weekend see friend . previously live NYC 5 year stay variety Manhattan hotel well . pro : Value money - book Hotwire get excellent rate . would easily pay $ 100 + per night comparable NYC hotel go directly / use like Expedia . ambience - lobby nice buzz good condition term decor . restaurant lobby area , serve reasonable brunch . seem non business folk not problem . location - pretty handy midtown location , Park Ave . great usual touristy stuff / shopping . room - , going get large room ( be NYC ) big like Hudson , W , etc . room good condition . con : Noise - yes , NYC noisy city ( live long enough notice ) relative NYC hotel stay , seem bit excessive . 9th floor could hear constant noise street throughout entire night ( window not seem effective ) room close lift , also pretty noisy ( lift , guest ) .lobby staff - generally friendly largely absence help need . normally doormen rush get bag get taxi - bring lobby completely unassisted seemed norm . conclusion : definitely good base NYC trip get discount ( eg , Hotwire ) 's class something like New York Palace ( claim , matter ) . 
 Feb 4 2008 	 convenient location 	 stay last week January , find hotel clean , comfortable welcoming . lobby public area lovely , room large average experience New York hotel room . would agree reviewer bathroom seem small , problem - not go vacation spend much time anyway ! would hesitate stay Barclay , would reservation recommend hotel friend 
 Jan 29 2008 	 highly recommend 	 husband return 6 night stay Intercontinental Barclay Hotel . stay first class beginning end . hotel extremely clean , offer good service staff contact , expecially concierge willingly book Helicopter Flight us short notice provide direction several place interest . first stay New York warn hotel room often small . case room average hotel room size gorgeous , huge , bed bathroom bath shower . hotel within easy walk distance many must see sight . Chrysler building clearly visible walk front hotel . eat outside hotel every evening . restaurant visit high standard TGI Fridays 5th Avenue favourite - happy Hour 5 - 7 weekday visit evening ! Bud Lite Margharita Cocktails $ 3 half price Appetisers ( approx . $ 5 time ) , could not go wrong - try - disappoint ! not forget wave family back home Times Square Webcam outside TGIs Times Square ( one next door gift shop ) . also eat revolving restaurant Hotel Marriott Marquis Times Square - another amazing experience - food buffet style include huge chocolate fountain fresh strawberry marshmallow dip ! cost $ 30 dollar - worth every penny ! view 48th floor View Lounge bar amazing . fantastic stay New York memory last lifetime - enjoy . 
 Jan 29 2008 	 nice hotel good location 	 must admit little nervous base past review . hotel clean offer fine service . location close New York 's good shopping , sightseeing .. ie Central Park , Rockefellar Center . people negative review expect spacious room maybe New York City place . 
 Jan 23 2008 	 nice place 	 get good deal hotwire hotel . stay two night January 12 - 14 , 2008 . room small , could hear street noise , buy NYC . lobby nice , in - room ammenitie nice well . arrive red eye flight around 8:30 a.m. let we check room eventhough standard check time 3:00 p.m . overall , think hotel great value , especially consider location . clean comfortable . book hotwire get room $ 170 per night ( include taxis ) . 
 Jan 23 2008 	 great position 	 good hotel great position look tired . staff pleasant helpful . Got upgrade suite ( Ambassador Platinum elite card holder ) complaint size room . bathroom tiny poor advert hotel want belong serious league . free wireless internet ( public area ) also helpful . however , breakfast buffet expensive good value money . , beware - Sunday morning 's available - la carte . , , good value money expensive NYC . 
 Jan 19 2008 	 good location . nice hotel . comfortable bed 	 receive phenomenal rate Priceline hotel list 4 - star Midtown East . location great . be actually right around corner Waldorf Astoria . shopping , Grand Central Station , restaurant attraction within close walking distance . room 3rd floor overlook 38th ( ? ) . base review fact Christmas week , fully expect street noise . none . also expect common area room need update since hotel little old . surprisingly , area seem fairly update new carpet , etc . pleasantly surprised . well shape Omni Shoreham stay Washington dc.the room quiet bed quite comfortable . good size room NY city standard . plenty room stretch . even little reading chair tuck corner . work space lot outlet cell phone , camera pc charger . alarm clock iPod docking station nice touch ! bathroom bite small experience bathroom NY quite small . someone remove hairdryer call front desk bring one immediately . check -in line long late afternoon . since check around 1 pm , 4 people front we . everyone take inordinate amount time check - in . , however , key less 3 minute . restaurant overprice get . theater snack ( close 11:30pm ) impressed . find later 24 hour diner right around corner Lex . New York , , city never sleep . summary , good thing : - Good location- attentive front desk service- nice size room- comfortable bed- iPod dock station- lot desk outlet camera , pc phone chargersthing could use improvement : - check process- Restaurant- big bathroomall good stay Barclay . nothing exceptional RAVE nice . would stay good rate . 
 Jan 17 2008 	 Perfect Hotel every way 	 stay Intercontinental four night mid January 2008 . King Deluxe room look East 49th Street ( room 1147 ) .this hotel superb every way . reception staff friendly helpful ( go review consider booked room lastminute.com ) , lobby grand worth picture two . restaurant bar staff friendly attentive . anyone use wireless internet access lobby , need access code simply pick card business centre ( not need ask anyone , grab card ) . room clean , comfortable well look . television not great way , however , 's New York . bathroom large large shower , bath . many complimentary gift travel pack bathroom useful . free New York Times paper drop outside door , whether want one ( ) . hotel situate 111 East 48th Street great spot . 's yard away Park Avenue ( great shop ) Grand Central Station subway path ( station around corner little Park Ave ) . great view around corner west , include Metlife building Rockefeller Centre . problem walk , Times Square 5 - 10 minute walk West along 48th , pretty much anything within walking distance . area safe quiet compare area Manhattan . good place eat west south ( endless restaurant area ) . make sure visit Rockefeller Centre night , look great . the hotel perfect hub four full day Manhattan - area , staff , room , restaurant ( though slightly pricey ) , business centre fitness centre need perfect stay new york . I definitely recommend . 
 Jan 17 2008 	 Nice Hotel ... shame Restaurant 	 come back fab 5 day New York City . hotel excllent location Manhattan Broadway , Theatre District Central Park within easy reach without think cab . second stay & quot ; Barclay & quot ; . room perfect apart small bathroom , maid lovely , reception staff little stuffy soften enter conversation . Extras expensive ie internet , dry cleaning not get carry away minibar ! checking take two second take money however find overcharge $ 54 dry cleaning , take age we get money back ! restaurant staff & quot ; unhelpful & quot ; leave nasty taste one evening waiter return bill explain leave enough tip ! ! unfortunately & quot ; gratuity & quot ; US take different meaning back home . embarrassment aside , breakfast meal good quality , however night meal not particularly good expensive . last least , & quot ; Bell Boy & quot ; marvellous . friend obviously shop drop pointed case far heavy - give perfectly good spare case lighten load middle busy foyer - us girl never learn ! review subjective opinion TripAdvisor member TripAdvisor LLC * edit review submit . 
 Jan 16 2008 	 favourite 	 Quite simply favourite hotel NYC.I ' ve stay three time , add almost 2 month hospitality . staying amount time would expect see aspect hotel , let . staff fantastic , room huge compare rest midtown , beautiful decor burger good ! ! expensive come extras like dry cleaning restaurant , without doubt good value would always look book first . 
 Jan 15 2008 	 large room ever NYC whole place hum warmth . 	 simply wonderful location place stay . every employee job happily without noticeable error . bed whole lot comfy Westin 's Heavenly Beds know call . great decor , outstanding room overlook street , well - maintain reasonable City . 
 Jan 13 2008 	 Fantastic ! 	 mum stay Barclay 6th December - 10th December enjoy every minute stay . the customer service exceptional beginning till end . we standard deluxe room exceed expectation breakfast delicious . one big attraction hotel location within close proximity everything ! recommend hotel anyone . certainly staying go back December . 
 Jan 10 2008 	 worth discount rate 	 receive excellent deal directly intercontinental website pre - holiday long weekend NYC . 3 we travel , book corner suite separate living room bedroom . positive : grand old hotel beautiful foyer public space . excellent location midtown . comfortable bed -- even pull - out sofa bed living room quite comfortable . suite decent size far Manhattan suite go . negative : hire staff ! ! peak hour holiday , front desk 1 - 2 person work give time . check - in line snake around entire lobby . ' m IC Ambassador member not expedite process , also nobody staff Ambassador desk . want avoid queue check - out attempt television check - out , not work either . prepare long wait ever reach person hotel , whether telephone person . call 3 time span 1.5 hour extra pillow deliver sofa bed . slow expensive internet service . wire available room 12.95 / day ( plus tax ) . speed fast dial - up . pathetic ! wake start offer complimentary internet access like chain do . the bathroom ridiculously small , give size suite . impossible two people get ready time . time replacement furnishing bathroom . everything look worn , stained , need repair . noise -- quite lot street noise 11th floor . imagine be much bad low floor . invest proper double triple pan window refurb do . would stay receive another super deal . rack rate offer , many Manhattan hotel would get vote . 
 Jan 9 2008 	 terrific hotel 	 stay 10 day Christmas 2007 . could look well . staff universally friendly helpful ; concierge staff especially , despite hotel quite busy . knowledgeable deal various request efficiently . room clean bed extremely comfortable . bathroom small decor somewhat date . gym small well equip never busy . check check efficient . location ideal mid - town . problem noise last stay upgrade nice quiet corner room . excellent experience . 
 Jan 9 2008 	 Excellent 	 say Barclay 3 night Xmas . check procedure quick efficient . Suite book roomy , clean well present . bathroom clean well present slightly small . noise level street outside high expect ( New York ) .We arrive hotel difficult journey UK two suitcase miss . concierge staff absolutely superb tracking miss luggage without persistence sure miss luggage would first never locate secondly never deliver hotel . thank guy . breakfast service bit chaotic day departure quality food good . hotel well situate shopping sightseeing . in short great stay . 
 Jan 8 2008 	 one Favorite Hotels 	 stay hotel many time year work function love . hotel classy sophisticate . great location Midtown Manhattan . 's right accross street famous Waldorf Astoria . 5th Ave & amp ; Madison Ave . shopping within walking distance . Theature District & amp ; Times Square also within walking distance . service food excellent although little pricey . room comfortable relatively quite considering 's NYC . 
 Jan 6 2008 	 Old World Elegance- Excellent Value 	 well maintain old / renovated hotel atmosphere quiet elegance . excellent price obtain Hotwire make great value hope repeat someday ! 3 day vacation trip teenage daughter & amp ; friend- happy comfortable . clean room & amp ; bathroom , comfortable bed , excellent quality linen , & amp ; thermostat work well . lovely quality soap / shampoo / toiletry product . request receive non - smoking room 2 double bed . noise level traffic , etc . typical New York City hotel- complain noise NY need change expectation ! ( be city never sleep ! ) discernible noise adjoining room hallway . staff members professional & amp ; friendly . convenient location E. 48th St. & amp ; Lexington . eat hotel use service , comment additional detail . overall , perfect stay : bad part leave ! hotel deserve high rating TripAdvisor ! 
 Jan 5 2008 	 great location - old wear 	 reading review sure stay x - mas could either amazing , rather disappointing , review either top - noch not . we arrive , ignore bellman , try hide away . reception check - in fine , like lobby hotel . receive upgrade due Ambassador membership , receive & quot ; Executive King Size Room & quot ; , face dead - end , side Waldorf Astoria Hotel . noise , extremely small room small corridor , tiny bathroom , bed , desk , old tv drawer section well seperate closet . bed good ( important part we ) ; 5 five - soft , large excellent linen ! finish room poor ! chap edge , unfinished edge , crack paint , dusty corner , ... 5 star . the bathroom amusement we , since use large bathroom rather high price pay room ( 240 usd per night stax , excl . BF ) ; bathtub´s drain clogged , pour extra water shower rest would run slowly ! toilet amusing part , build closely wall , simply could sit normally , sit sideways ( slim ! ) . definitely 5 star trait ! aspect like rather cool staff annoy we anymore , could care less ; nice , ` . really disappointed , intercontinental manage prepare simple birthday cake surprise ( even slice ) one day prior notice . Guest relation reply : & quot ; ... ny need order 1 week advance & quot ; ! laugh ! send sweet eventually ... , 5 star . since american Breakfast cost 40 usd + + p.p . run away place around weren´t bad . be frequent traveller , must say one disappointing stay , recommend hotel due experience holiday 2007/12.i suggest check Marriott Lexington Av . , advertise newly refurbish room , Hyatt Grand Central look bad , neither Waldorf around corner . 
 Jan 4 2008 	 quite comfortable old 	 room comfortable bathroom small interior quite wear . staff not hat friendly either , internet access expensive unless bring laptop . hotel locate 48th Street 2 block away Rockafella Center , still 15 min walk Times Square . 
 Jan 4 2008 	 really comfortable hotel 	 good location . good sized room New York . helpful staff . 
 Dec 31 2007 	 Brilliant 	 Thanks Peter check 27th Dec give upgrade make stay good experience family ever . hotel heart everything New York offer . would recommend anyone . the Beaumont familye mail beaumontderek @ hotmail.com 
 Dec 30 2007 	 Big Impersonal Cold Intercontinental 	 well say .... nothing really good bad . big , impersonal cold Intercontinental standard . like big Marriott attract convention . good location , price pay , go different luxury hotel NYC . 
 Dec 28 2007 	 renovation need great Priceline Rate 	 land hotel $ 140.00 per night Priceline weekend 12/14 - 12/16/07 . felt get great rate busy weekend NYC . bid get accept less one week stay , although try $ 160.00 every day , one month arrival . I enter grand lobby bustle people . line check - in , wait 10 minute till make front desk . clerk courteous professional unable honor request room 2 bed . put Room 1447 - 14th floor high floor hotel . I take elevator enter room . look fairly standard king size bed , tv , fireplace . immediately notice noise Lexington Avenue wind wipe fireplace flue . call desk see could get quieter room clerk say full . course think strange accept PL reservation hotel full . the room somewhat drab . carpet look old worn , thebedspread seem date , tv flat screen . room nearly nice one W Grand Hyatt previous stay . check bathroom small adequate . highquality bathproduct towel soft fluffy . also , bed comfortable soft sheet nice pillow . except noise room ok . nothing spectacular would . read previous TripAdvisor post know would expensive use hotel 's wifi check see available elsewhere . able hook Marriott 's wifi across street . signifcantly cheap $ 9.95 per day work perfectly . use hotel 's food beverage facility since areso many deli 's restaurant near hotel . notice diner 's area bit pricey walk Lexington allow find cheap spot breakfast around hotel . want spend ten buck egg could spend four dollar similar meal . hotel decent fitness area locate third floor . chance use aerobic machine weight . also sauna man 's locker room . appreciate luxury . so , ok stay overjoyed - hotel could use upgrade - 140 buck midst Christmas season - well itis tough complain 
 Dec 27 2007 	 good pricey 	 first time visit NYC want stay middle Manhatten hotel offer range comfort facility . thus choose Intercontinental Barclay hotel offer travel agent . book accommodation late little restricted availability . location great - Lexington Ave hotel look grand enough . not expect warm personal service unless grand , be quite anonymous desk staff polite reserve . room small although quality fixture good , price everything . one even get impression little zealous shampoo would charge ! could honestly say hotel well good Holiday Inn Marriott - pay location course . view scaffold Radisson opposite wall hotel next door guess expect . ground floor restaurant serve good quality food excessively price . always possible get cab outside hotel . porter helpful polite . summary , nothing wrong hotel , not wow factor . - - need ? 
 Dec 26 2007 	 Excuse Poor Customer Service ! ! ! ! stay ! 	 even CLOSE 4 Star Hotel ! people scam artist ! stay HORRIBLE ( diva mean ) , shock find credit card charge room even though pay month ago ! customer service worst ever encounter . bellman terrible , leave luggage lobby 6 hour ! opt take luggage , tell we difficult route include stair spiteful . manager Dominic totally apathetic fact lock room break could get access room hour ( long day sight seeing ) . treat we disdain like inconvenience offer excuse instead sincere apology . room unremarkable . bathroom totally cramp , outdated . room decent enough size , nothing special . nice people housekeeping staff . everyone else terrible . hotel care customer could not pay stay . 
 Dec 19 2007 	 Beautiful Hotel - Bad Customer Service 	 beautiful hotel great location 30 minute LaGuardia - Room small clean nice . purpose trip see & quot ; Color Purple Broadway & quot ; . - disappoint hotel offer service allow we print ticket show . pay $ 10.00 print ticket . however , later learn & quot ; Intercontinental Hotels & quot ; offer Worldprint service allow print room - one inform us - learn searching & quot ; guest service & quot ; feature tv . business center Conceirge inform we service . room service horrible - order pastry basket breakfast croissant cold stale - danish look like come school cafeteria . order local restaurant service deliver room . & quot ; Comfort Cafe & quot ; great menu deliver free min purchase $ 13 ( pear gongozola salad excellent ) - want eat room skip room service place order . the Concierge impossible get touch even 5 am rec 'd busy signal . hotel pretty expect well service hotel expensive . 
 Dec 17 2007 	 Great Hotel NYC 	 one good stay NYC . old world style , elegant hotel , great staff . the room much big come expect city , beautifully decorate . clean bed comfortable . the staff coud not nice . every request meet smile right answer . restaurant recommendation right money , everything perfect . the location ideal . far enough craziness , close enough walk everything . there several iffy review hotel Trip Advisor , must perpetual complainer . travel two week month business pleasure , great hotel great value . highly recommend ! ! 
 Dec 12 2007 	 Horible service make terrible Time 	 show taxi two child , treat like problem . theatre time 20 people fight taxi . People try get taxi one child even . bellman take half luggage leave we half . horrible experience . drug two car seat lobby treat poorly front desk person . room small , well appoint . call Concierge recieve recording call back . call crib recieve one 2 hour later . go see concierge person , rude condesending . see people like child thier hotel , even well behave one . complain next morning knock water take mini - bar . bottom line , money get MUCH well location , big room , MUCH well service . prefer rude treatment hotel . 
 Dec 10 2007 	 bargain ! 	 family stay Barclay NYC weekend getaway summer . location excellent , price bargain ( believe around 275 night ! ) . upgrade us suite . pro : large room , cleanly , high end finishing . con : Miniscule bathroom slightly outdate ( tv least ten year old ) overall : good , nothing truly notable . 
 Dec 4 2007 	 international intercontinental standard ! 	 Barclay even relate intercontinental standard . staff ground floor friendly good ! room basic . tv channel frequently shake ! bathroom tiny keep clean . room service number always busy ( stay four day ) . obviously staff cater size hotel ! ! try 20 minute get answer room service ( private dinning call ) answer ( try thru operator ... thing ) . keep mind may need 30 minute get taxi airport . in summary , worth price ! 
 Dec 4 2007 	 Good Position Nice Lobby .... stop ! ! 	 arrive Barclay Thursday 22nd November around 2 pm . 3 we ( man ) sharing call triple room request 3 bed . apparently NY triple room tell NY ' Triple ' mean sleep 3 , 3 bed . they would budge , ask rollaway room .. NOWe ask 3 single bed instead 2 double ... nothe option upgrade junior suite extra $ 120 night . realistically be not expensive , £ 20 per night , principle matter do not want pay choice . we go room following:1 double bed1 double sofa bed1 Mattress floor decide call ' the Dog basket'there tv face double bed guy sofa bed screw watch anything . lighting room terrible , would bright Bangkok opium den 1970 . the next problem heating .... lack bedroom area , bathroom hand like sauna heater could turn . could sit toilet without bang shoulder sink , tiny . after read review expect room dirty be not bathroom . Hotel pro : location fantastic , 10 min walk Times Sq etcLobby lavishfree internet ( know ! ! ) Hotel con : room small ( NYC ) bathroom even small Staff seem offhand unhelpfulconclusion : would stay due location cleanliness think staff need politeness training maybe lightbulb would help ! 
 Dec 1 2007 	 average poor value 	 price certainly well hotel ( sofitel example ) . terrible place stay poor touch like internet pay , someone hoover upstairs 3 am , date gym ...... would expect 600 - 700 usd night .... way 
 Nov 25 2007 	 absolutely love Barclay 	 return 3 night stay Barclay . read recent post , reservation . hotel wonderfully situate within walk distance almost everything . check smooth friendly , room huge spotlessly clean . prbably big bed ever sleep . thrid floor great view lexington chrysler building . street noise ok troublesome . restaurant bar mega expensive pint beer cost $ 10 not use either plenty place around eat . ( try pj Moran w48th 5th Park Langans e46th 6th 7th ) . would go back barclay trice give chance . 
 Nov 24 2007 	 could happy 	 first trip NYC choose Intercontiental Barclay location price show hotel website . read review appear make reservation concerned . however , stay could well . six night Thanksgiving Holiday . staff helpful pleasant . room clean daily , extra towel provide upon request location EXCELLENT . would caution anyone make reservation website pay close attention price . low price show end two day . 
 Nov 24 2007 	 hotel reviewer ? 	 Booked Hotwire $ 199 night , stay 2 . come Wednesday stay Friday ( Macy 's Parade ) . lobby beautiful , arrive 5 pm line least 40 people check , system go , serve evain water pastry us line , time wait way room 25 minute . thought handle quite well notice anyone upset . room 1319 , king size bed plus rollaway bring immediately upon check . tow kid ( 7 16 ) , room looked freshly paint renovate , bathrooom fine , bit small nothing live review . clean , maidservice wonderful . towel large fluffy , even came bring we . love soap . bed comfy huge . breakfast buffet Thanksgiving morning , great selection even bite pricey , cheap tastier buffet Great Wolf Lodge . could eat everyday , holiday great go parade . think do least lifetime . amazing , weather 65 people 3 million strong ! ! wait go back Barclay . wonderful trip . 
 Nov 19 2007 	 ok fray around edge 	 major complaint , get feel hotel need bit upgrade price charge . carpet past due date , water pressure good , rather unpleasant disinfectant smell enter room . upside : good bed linen , quiet room . , however , nothing get particularly excited hotel . 
 Nov 13 2007 	 always love IC Barclay 	 fall love InterContinental Barclay 30 year ago . much posh stay business week , weekend price great . place not change , remain charming , luxurious hotel great staff . room spacious beautifully decorate . small bath immaculate . perfect location 48th Street Park Lex . walk everywhere . restaurant surprisingly nothing , 5 menu item dinner , atmosphere . room service breakfast absolute perfection . walk hotel make feel special every time . 
 Nov 9 2007 	 lovely hotel 	 stay Xmas 2006 . lovely room , good location.very good value room , obviously sadvertise 5 star restaurant , bar room service expensive want stay hotel ur new york ? ! 
 Nov 6 2007 	 good hotel let poor bar bell staff . 	 stay wife 's 40th birthday October 2007 . hotel excellent location close attraction Manhattan . the building impressive , well decorate clean throughout . superior room comfortable amazing king size bed find delight . the staff reception desk concierge area friendly efficient , say opposite Bell Boys staff bar , find rude , lazy generally unwilling work hard . particularly gall expect tip time visit bar ! , nice hotel , spoil couple staff . would stay , would ensure would drink Irish Pub around corner ! 
 Nov 5 2007 	 stay ! ! 	 let preface say stay many hotel Manhattan wide basis comparison . go : imagine excite Hotwire reveal hotel ( truely excited / happy ) .check - in - Noone checking arrive . sterile / mechanical greeting include calling & quot ; Mr. Miller & quot ; 5 time one minute conversation . one request part - - one bedded room . & quot ; Sure can not Mr. Miller & quot ; . ' m sorry - - hotel 700 room noone else check time - - means clerk simply pick first thing come screen unwilling actually additional one minute work require fulfill request . would prefer give opportunity wait room desire - - go happen .. ( hint : book opaque service - Hotwire , Priceline , etc . -- good resist tell preference . well shoot not - - bad ) .room - look nice first glimpse , two bedded room double bed ( queen ) . big guy like , mean sleep bed spouse . bathroom ridiculous . ' ve stay many small bathroom NYC hotel - - take cake . measure maximum 15 Sq Feet -- toilet undersize ( small standard ) pedistal sink oversize , edge sink actually poke shower / bath tub toilet space . - - big guy major difficulty take care business . housekeeping : able sleep past 9am hotel . wall paper thin housekeeping staff love chat loudly work room next - - include bang wall vacuum . next - - ring doorbell wake 9am . yell , & quot ; Minibar stock man & quot ; ring doorbell 9:15am.checkout : experiment . go downstairs personally check desk . get obligatory & quot ; stay ? & quot ; asked & quot ; rhetorical question & quot ; really want know . take back - - finally undrstood , assure interested concern would even report hotel manager need . give comment card fill vs. listen respond issue - - course , question comment card anything issue ( space comment ) . experiment work - - response / treatment expect . you , , soso , sooooooo much well NYC place . think way - - Intercontinental & quot ; high end & quot ; & quot ; Holidy Inn & quot ; chain . need say ? .Oh yes - - lobby absolutely gorgeous give away amenity bathroom nice . 
 Nov 1 2007 	 Nice hotel ! 	 stay Barclay 3 night August . check staff helpful welcoming - can not fault . show room quickly think whole hotel beautiful grand . room small ( bathroom ! ) although elegantly decorate clean . the room clean bed make everyday , although housekeeping staff seem forget restock towel quite lot involve we constantly call front desk ... food hotel restaurant good , although expensive . prefer eat deli across road superb value . as location - great ! prime position get sight within minute walk . return New York would probably stay another hotel although enjoy experience Barclay . 
