Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 Apr 28 2008 	 well expected 	 stay 5 day Las Vegas Hilton . hotel choose attend conference hold . read review , must admit rather worried . not take long realize worry unneccesarily . friend choose upgrade $ 75 night . good decision . room clean quiet view strip . upgrade give we internet access $ 13 day . give we use workout facility access vip lounge happen 3 room our . this room food breakfast , snack lunch dinner . unlimited coffee , tea , juice assorted beverage . terrific place rest gather instead lobby room . staff hotel terrific friendly . however , staff vip lounge could beat . make stay feel comfortable homey . go back Vegas , stay Hilton , definitely upgrade primarily due vip lounge staff . the side , late night difficulty find decent food hotel . 
 Apr 27 2008 	 nice stay First Time 	 Las Vegas Hilton one stop shop . find every thing , except club . club thing miss . wife would say stay nice . encounter problem heat room not work . call front desk four time . tell someone would fix heat . leave gamble still come back cold room . make phone call . someone finally come room four fix problem . Star Trac show close . Hilton still worth stay . live performance shop fine resturant find pretty much every thing need . hotel strip . fee ride monorail back hotels strip . recommend MGM Grand one first stop anyone try first visit . go back MGM will stay . Las Vegas Hilton lot slot every thing else think . recieve comp . game play $ 25 play $ 25 . wife hit penny slot $ 150 piece time . great time . 
 Apr 25 2008 	 problem bad 	 check Las Vegas Hilton late Sunday night around midnight . line quickly check . book standard room part package . ask upgrade Hilton Honors guest tell ; level high enough rate upgrade . volunteer manager give direction Diamond level guest would upgrade . without word , state rather flippantly , get pay . great start ! ask put refurbish room curtly tell update . as many previous guest state , old property could use modernization . stay property year ago little change . carry bag go check room . my room 21st floor central tower . offer view Hilton Sign Strip . room decent size . cleaning leave something desire item floor several location vacuum . air conditioning sputter . , go back front desk ask item address leave 2 blanket room . go self - park valet back cruise casino briefly head back room . two blanket room , housekeeping / maintenance item address . close 2 am decide call night . the carpet room wear , scary dirty . room desk chair , dresser flat screen 37 inch tv ( poor reception ) . bed adequate nothing special . linen fine . bed comforter several decorative pillow . basic room . bathroom small sink outside ( nice ) . showerhead low duck get water head ( face matter ) . anyone 5 foot 3 would . bath linen fine relatively soft . other note previously , loud noise carry lot . someone enter left room nearby , exceptionally loud . fact next door directly across hall , jarring . comment item leave hallway long period time ( room service tray glass , etc ) see thing . many entryway need vacuum short stay . the next day ( Monday ) stop check - in desk noon share concern see getting upgrade possible . help man name Jason quickly apologize upgrade we room 27th floor north tower . 180 previous experience . upgrade . room give we similar view nicety . room seem little small , nice bed , nice linen decorative pillow , compact refrigerator , large soak tub , automatic ( sheer ) curtain opener , nice carpeting . light well clock radio . room also well insulation . slam door muffle . air - conditioning also work well . room also little clean previous room . on Tuesday , late night , awoke water ! read occur March ! use bottled water wash face brush tooth . go front desk explain problem tell could move another room water problem . ask good would problem water new room . lady help we go back come back state water floor 22nd floor . would hour . ask would allow entrance Resorts Club Room inconvenience . say , ask check manager . grant access remainder day . after another late night town , return room 2:30 relieved water . unfortunately , hot water . call front desk forward Terri housekeeping . tell run water 20 - 30 minute . state hate waste water , tell could reach maintenance would tell . also , Terri say would lucky maintenance respond within hour . run water 25 minute sink shower . water tepid good sink , colder shower . allergic smoke , shower option . take cool shower . much well wife shower . next morning , still hot water . Wednesday morning way , happen see several people hall take picture . gentleman nametag say manger building maintenance . tell water issue suggest inform desk check . say leave fix next guest issue . ask report . tell sorry , since stay part package could make adjustment . say want anything . offer two free buffet . decline . all problem ( challenge ) aside stay bad . put second room initially water issue , would satisfied . 
 Apr 23 2008 	 great location value 	 stay Las Vegas Hilton National Finals Rodeo . its location near cowboy Christmas short stroll hotel , make easy let wife browse , zip make way back visit friend . hotel arrange transportation rodeo , make trip heavy traffic easy . we great room look like recently refurbish . hilon old hotel , well maintain staff excellent , check room service . eat steak house cafe good experience place . I 
 Apr 23 2008 	 expensive poor service virtually amenity 	 stay Hilton Las Vegas 4/18 - 4/23/08 conference . first , make arrangement late check - in make reservation , call day check - in & quot ; remind & quot ; plan . front desk say record could accommodate . arrive late check - in tell room preference could change room next day , fine . room date , bathroom cover mold ( tile grout pink mold ) , showerhead terrible low . the next day , call front desk room change quickly tell call back 1:00pm could change . call 1:00 say , & quot ; Come desk give new room . & quot ; , maybe common , & quot ; 4 star & quot ; hotel , would expect send bellman luggage cart new key . instead , wait check - in line 30 minute get desk request new room , move luggage myself- offer bellman . we get new room surprisingly much update , bathroom moldy shower awful could not get shower work strictly shower- bath spout also gush water tub fill ankle quickly drain slow . speak bathroom , toilet run continuously . one big complaint room beautiful new flat - panel tv , tv service ANTENNA ! basic channel picture awful- almost look bad high - quality tv.the food Hilton extremely expensive good . order frozen margarita pool not think alcohol it- consider $ 10 ( tip ) , disappoint not even finish . food restaurant option limit ridiculously price . fitness center business center . room internet service $ 12.95 1 - day , buy hour . pool crowd close 6 pm ( even though light least 8 ) .The meeting service good , find staff much helpful front desk , walk smoky casino get they . I shock service amenity Hilton believe rate 4 - star resort . 
 Apr 21 2008 	 enjoyable Relaxing Stay 	 girlfriend stay two night weekend big boxing fight . enjoyable , relax stay Hilton . stay premium room . linen bed really nice bed comfortable . plasma television nice upgrade . view golf course city ( strip ) . view green relaxing . experience noise issue outside within hotel ; quiet stay . order room service twice , morning late night . love room service food , particularly breakfast ! bathroom somewhat small probably downfall room . although , bathroom look fairly nice well - keep bathtub / shower fairly big . pool / jacuzzi area awesome hotel amenity would recommend anyone stay hotel . valet bag check employee provide good , reliable , timely service . casino leave desire ; pretty small ton gambling option . , big gambler , mind much . big disappointment probably customer service check room ready normal check time . wait least hour room ready clean stay . nothing offer inconvenience front desk people real friendly deal we . hotel desirable location term strip casino . however , monorail , pick inside Hilton really convenient take casino strip . end , monorail probably save we walk lot , normally happen stay one casino heart strip . overall , would go back would recommend Hilton look relax stay look hotel value . think little $ 150 per night expensive Vegas weekend ( fight ) get great room , great pool area , pretty good customer service ( except check ) , opportunity gamble little bit conveniently get casino want see . 
 Apr 21 2008 	 disappointing stay Hilton 	 recently stay Hilton conference . first put room noise elevator sound like train come every minute . ask move move another room . room tub faucet run non - stop . call housekeeping say someone would . hour later one come tell come next day late . ever show despite repeat call . call last day say never intention fix plumbing , . surprise say correct , order fix plumbing problem hotel , would turn water half day wait day low occupancy . tub shower never work right , lampshade tear , carpet look filthy generally hotel seem run . one seem care interested help guest . other office similar experience . 
 Apr 21 2008 	 LV Hilton Class 	 everyone slate place ? ? ? ? ? Stayed Oct 07 5 night wife . check take 5 - 10 min max , request room strip view , view get . room huge ( extra cost ) walk closet , king bed , 2 sofas , room safe . stay next door HGV Club kinda know hotel lay - out . eat option Hilton good , steakhouse one good ' ve , buffet breakfast nice ( good Paris , well worth trip ) casino playing area always fun , good clientele , good staff , importantly ..... fast service cocktail waitress ( keep tip ! ! ! ! Sat play bonus poker one day 3 - 4 hour waitress seem side whole time . Hilton casino small comparison big strip casino , make easy find way think . overall summary Hilton would be great hotel , well price , good value , excellent pool casino , bear part $ 10 per person per day ( come folk 10 $ ? ? ? ? ) monorail right outside ready take anywhere strip . stop slate place , think rock ! ! ! oh wife early thirty , be couple old fannilow ! ! ! ! ! travel Vegas Scotland 5 time , stay Hilton , Mirage , MGM , HGV Club , Excalibur . hotel great , room great , 's Vegas , go enjoy , be happy , stay home ! ! ! ! ! ! ! Viva Las Vegas ! ! 
 Apr 21 2008 	 Grossly dirty Room - Pool full Trash - Horrible Service 	 use Hilton Honors point book room . move condo Las Vegas Hilton single night . room ready 1 - ready 3 - still ready 4 . check - in people deal indignant curt . finally receive key 4:30 find room vacuum bathroom clean . specific … hair various length bathroom floor tub . wait 45 minute luggage deliver . bell desk staff luggage staff extremely rude unhelpful quest track luggage . pool area grossest ever see . much trash ground pool . windy day trash blowing around ground eventually end pool . pool staff walk around trash never bother pick . gross ' go near water leave 15 minute watch napkin cup blow around beside chair . tv limited channel advertising event show Hilton Las Vegas . 
 Apr 18 2008 	 not get bad review ! 	 not understand negative review . well travel , picky person hard please find nothing wrong hotel . first hotel stay Vegas ( take parent couple year ago treat see Barry Manilow - Excellent show ) back every year twice since . long return another stay fault anything . room lovely comfortable , staff always friendly , food good personally think casino perfect . think real reason people complain whole 's directly Strip . put , issue . hotel connect strip monorail stop hotel , want could walk strip 1 block away . speak experience , ' ve walked not tend like walk long distance . please bear mind staff hotel human . treat respect would like treat , treat return . always bear mind polite people . result excellent service every time . all , think hotel perfect . many opportunity stay Strip resort ( Bellagio , Wynn , Paris , MGM ) never really feel need . return Vegas November stay Hilton . look forward . 
 Apr 15 2008 	 excitment ; 's boring hotel 	 many well choice every traveler . receive special rate , pretty big 1st night . still worth . 1 ) 's far action . 2 ) exciting eatery on - site . 3 ) entertainment ok ( except Barry Manilo - incedibly awesome show ) . 4 ) cocktail waitress old ( 50 's & amp ; 60s ) , slow , unpleasant . 5 ) comp minimal . 6 ) whole place boring . staff ok , room ok , casino ok , even pool ok . want vacation , business trip ? we . many new hotel & amp ; come , disappointed stay matter price get . ... unless , maybe , work convention center next door . 
 Apr 15 2008 	 honest review LV Hilton 	 Las Vegas Hilton April 7 - 11 2008this first experience Hilton likely last . expect . maybe word ' Hilton ' name throw , think well ( bad ) hotel stay year ( Imperial , Orleans , Gold Coast , Circus , Sahara , Rio even 4 Queens ! ) honest review : Noise -staye 26 floor end hallway far elevator , yet could still hear elevator along everything else go hallway room next door , mean word word conversation , every toilet flush every ' ' thing well . place build sound proof room ? ? cleanliness - casino floor well keep hotel hallway . always little bit something need clean even 24 hrs later still . one example drinking glass lie side front room across hall mine sit day half remove , time maid room . trashy look dangerous well . start pick want see long take housekeeping staff get . well 24hrs ! housekeeping – ask housekeeping service ( 4 night ) , call request extra pillow , one set extra towel tell end table lamp ' work try change bulb still ' work . tell problem everything would taken care . also sound thrilled room ' attend 4 day . well receive pillow towel never come lamp . staff – staff pleasant helpful couple exception . check ask chance upgrade , reason make woman ' demeanor towards we change , let ' say , ' get upgrade ! also woman box office helpful : ticket Game show Spectacular , get feel ' bother ' she . pool area – ' let website fool . nothing great area either . good sized oddly shape pool nothing fancy , small hot tub large hotel . ' roof top ' area , ' THIRD floor ! room – uncomfortable bed ever ! ! ! 2 thing tub area fall apart simply need gluing , little counter space , hairdryer rip wall sound toilet flush make jump ten foot air . also itch moment get room till get home . ' know wash detergent fact rip replace carpet floor , one hell rash . a small issue overall anything really wrong place , great , expect . want clean , comfortable quiet , ' much ask , receive either . would stay recommend ? ? free $ 50 / night ' worth . 
 Apr 15 2008 	 would recommend 	 stay North Tower Hilton big gamble whether elevator would arrive . Slowest ever see . request extra towel arrival never get . 3 night . tub drain nigthmare ! Paradise Cafe ( hotel ) bad service . slow together unorganized wait staff . way expensive get . stay impressed . 
 Apr 15 2008 	 ` ` LOVED 4 DAY stay '' 	 absolutely love Las Vegas Hilton . 1st time . 10 famile , attend cheer competition . April 10 - 13 . get great deal player Club pay $ 147 3 night total . lucky get remodel room . nice ! bed comfortable , except double bed bit small . tub bathroom oversize ( huge ) . 3 child ask rolling bed , say would pay $ 30 per night say yes . said not pay . room 1673 16th floor East Tower . family north tower room nice , update / remodel . room look like picture website classic room . eat Margaritas ( mexican restaurant ) great food ! also think call Paradise Cafe serve breakfast / lunch / dinner day , also good food . small arcade kid . check fast everyone nice ! not see bad review . free valet parking . pool small , nice . close 6:00 p.m. ( early ) . stay Excalibur ( update room ) Luxor Mandalay Bay . stay Hilton price nervous negative review . pleased stay major complaint . stay hotel , like connected need drive anywhere walk . drive get another hotel want visit eat somewhere else take monorail $ 15 24 hour ticket . email question ! 
 Apr 14 2008 	 be well use ... 	 stay property recently early morning meeting next day across street . Marriott Suites meeting hold want $ 169 one night . Hilton $ 95 ... easy decision . LV Hilton throwback old time Vegas ... mean come ... Barry Manilow perform ridiculous Star Trek theme make chuckle everytime walk see die - hard trekkie like connection William Shatner bunch slot machine different plastic insert front . check - in fast . room clean . bed great . pillow terrible ... pillowcase thick pillow . 's standard fare hotel industry nowadays . watch NCAA championship game Sportsbook ... great Jayhawks . Rock Chalk Baby ! not eat property sushi bar Benihana not open Mondays . ( ? ? ? ) anything ever close Vegas ? , take $ 100 dinner expenditure N9NE steakhouse Palms . money well spend . all , LV Hilton ok property . thing truly save property wreck ball proximity LVCC . fact alone mean old hotel continue get old old . 
 Apr 11 2008 	 go back every year 	 Awesome hotel ! sure ask stay one remodel room ! great staff vip lounge ! issue hot water one night , put we different UPGRADED SUITE charge -- excellent customer service ! wonderful Casino , crowd smokey - and say big , fact leave . it be strip price 24 hour monorail ticket , worth . go strip anytime , far enough away stay Hilton 's face 24x7.les best hotel host planet earth ! GREAT limo driver name Tim , AWESOME well . I would recommend Hilton anyone - just sure ask remodel room . Buffet could skip ... fyi ... 
 Apr 11 2008 	 deserve Hilton Name 	 live Hilton Standard , sure spend Millions dollar refit . look 20 year ago ! get good deal , pay get , can not really moan ( pay $ 100 ) , pay would dissapointte . room ok , nothing special , Air Conso noisy , neigbour , wall thin ! check ok , overfriendly , lady Players ClubDesk , rude , almost do not bother , think forget serve we customer ! Hilton Hotel , 
 Apr 7 2008 	 least monorail 	 room fine surprisingly comfortable bed though miss extra - dress gown , mini bar etc . food ok , fact really quite good Quarks bar . good bit proximity monorail , hotel may strip ( hence reasonable price per night ) monorail make get around easy . would think stay . 
 Apr 7 2008 	 will not stay 	 friend stay suite east tower . check - in terrible ! ! ! six hour plane without decent food , expect get breeze . room give we room reserve . wait another 30 minute get correct room . find one room STINKING CIGARRETTE smoke ! ! ! FLOOR 's supposed NON - smoking . get roll - away bed sleep friend 's room . bathroom room dusty ! say one block strip ? define one block ! pay monorail ( expensive ) get strip ! staff friendly expect hilton ! will not stay even conference . 
 Apr 4 2008 	 hate ! 	 hotel really outdate ! reserve tell totally re - do check realize bathroom 80 even 70 ! nice flat screen tv new carpet remodelling do . AC work either ... control temperature , old thermostat also 70 . opinion hotel meet regular hilton standard .... book 2 night want need stay one rate $ 700 ! ! ! could believe ... take red - eye home ! would go back . 
 Apr 3 2008 	 terrible service poor overall experience 	 stay LV Hilton conference Las Vegas . conveniently locate next convention center , hotel avoid unless want proximity convention . I discover 2nd day phone room not work . leave note let hotel staff know - note take phone still not work . call hotel front desk cellphone whole time . order room service breakfast couple day , person line rude short . come close saying & quot ; heck want bother ? & quot ; could hear voice . kind attitude housekeeping ask could bring toothbrush . lack service attitude downright obscene - could get well treatment stay Motel 6 . 
 Apr 1 2008 	 improve room 	 reading review Hilton , worried would get rundown room . happy get nice remodeled room . a new flatscreen t.vA comfortable bed . a nice size bathtub golf . the food mexican restaurant good , also enjoy margarita . however , negative find casino . old crowd . be not much fun . go Hard Rock casino blast . if gambling , Hilton good deal . 
 Mar 29 2008 	 Fantastic 5 - day stay Las Vegas Hilton 	 return 5 - day stay Las Vegas Hilton . great 's .... arrive early Monday morning promptly check - in . request low floor give Central Tower . room lovely ! double bed , modern furnish .... absolutely lovely . I leave room 3 hour casino fun return room , noticed humid . apparently plumb issue , IMMEDIATELY upgrade another room , compliment Hilton . upgrade room 18th floor spectacular view golf course , room refridgerator nice furnishing . bed soooooooooo comfortable . room ( room ) nice large flat screen tv ! night staff place chocolate candy pull back bedding . the food Paradise Cafe delicious sandwich sport grill huge tasty . highly recommend pastrami / corn beef triple decker ! view Las Vegas Hilton luxury hotel practically everything need . matter fact , leave hotel 4 day later ! staff area hotel professional , accomodate hospitable . one day , bed completely make reason , one call supervisor resolve issue expeditiously ! security prompt escort upgrade room . the bellhop prompt deliver package shipping . my complaint tv menu come time checkout . I wonderful stay Las Vegas Hilton . 
 Mar 29 2008 	 wonderful place stay 	 return 2nd stay LV Hilton . really love . give gorgous room , comfortable bed ever sleep . Hilton strip catch monarail hilton within couple minute right strip . hotel clean good customer service . employee helpful nice . room good price , even compe room trip , big spender ! 
 Mar 28 2008 	 comfortable stay ! 	 book Classic , basic room hilton locate Central Tower . room clean spacious , queen bed two long sofas . suprise room three sink two closet , big enough 4 5 people . room get nothing fancy , still look quite modern feel really CLEAN . even though never sleep Murphy bed , good night 's sleep . the casino nice well casino personnel encounter friendly helpful . slot tight though , lot selection . would stay , good value Las Vegas ! 
 Mar 27 2008 	 go somewhere else 	 far beat path . room old school Holiday inn'ish complete tiny bathroom . meet get box bellstand business center continue nightmare . many place Las Vegas stay much nice remember customer . 
 Mar 26 2008 	 would recommend 	 thing begin badly Las Vegas Hilton , , middle night first night , water main broke hotel without water 13 hour . maintenance crew plan repair age pipeline , fault property 's - however , hotel Strip draw backup water supply , Hilton set way , blame long outage rest bit . last thing want be Las Vegas sit room can not shower . hotel would comp half night 's stay inconvenience , acceptable , guess , stay less stingy property . * * staying week , * * gambling , , be not get back . would recommend stay backup water supply alone - tell high guest ' comfort priority list . oh , mention bottled water room , typically $ 4.00 pop , offer free ( could afford part ? ) . also give room connect door next room , threshold ( lack thereof , case ) every sound , even casual conversation , permeate room next door . reason not check head Palazzo price right . prepare trade saving grief another main burst talkative neighbor . 
 Mar 12 2008 	 bad hotel ' ve ever experience ! 	 bad hotel ... ever stay ! ! family book multiple room family event . book 4 month advance notify hotel would arrive late night . tell we problem room confirm late arrival . arrive 3 , tell clean room available would wait least hour room would ready . exhausted long drive dress ready attend event 9 . desk clerk inform we happen TIME nothing could except offer we free dinner ( want dinner 3 ? ) could try find another hotel ( sure thing , holiday weekend ) . reject ridiculous offer , complain loudly enough finally get room miraculously find we wait half hour , instead hour ! much chagrin , morning , rush shower ready time , find shower back , tub water quickly rise . complain later afternoon wait hour someone come fix . hotel management already know shower back arrive room one bother take care fixing complain . obviously , HIlton care one iota inconvenience guest . point make reservation room go arrive ? 
 Mar 11 2008 	 avoid hotel unless convention 	 ' ve stay LV Hilton regularly since 1995 , usually 2 - 3 per year . gamble , many free stay . last year ( 2007 ) last stay . change Paris . the Hilton use friendly , somewhat shopworn ok place get free room . neither food room extraordinary - byt free breakfast gold memeber ok . know many dealer pit boss like $ million blackjack tournament . then , property sell Resorts - bean change bad . many old timer leave job . new staff experience friendly . finally , last stay , well - $ 3,000 . room Murphy bed , safe , money stash laptop case , well ' hide plain view ' - two separate envelope tuck away sight . also leave ' tell - tale ' - item place laptop case . when return , tiem move . look envelope $ 40 go one , $ 200 ( write amount ) . maid serviced room . call security , send detective tell whole story , show evidence , etc . write , leave , . realize legally responsible , think give something . , carry money . later , get questionnaire stay , repeat whole business . nothing . even sorry . I frequent traveler world rarely anything take room ( 3 time , past 2 year , US , money ) . stay Paris - nice place - also free - keep money safe . 
 Feb 28 2008 	 not expect service ! 	 first good news - rate good ! HH Diamond member , usually get vip treatment . stay Hilton standard . make feel like report one 2,000 room go away . got upgrade ordinary room . amenity two free bottle water per stay . coffee maker , shampoo ration one per day , shower gel conditioner unavailable , robe . special Diamond member desk , make simple request every day three day never get response checkup . spa nice otherwise not recommend want place sleep . 
 Feb 28 2008 	 somewhat minor start fantastic stay 	 hotel two website , Hilton lvhilton website . lvhilton website possible book executive room suite . make reservation well advance general Hilton website expensive room available , deluxe Strip view . Diamond HHonors member would get upgrade . check - in desk HHonors , vip ' young woman assist . yes , would get upgrade , deluxe Strip view … … … …… deluxe Strip view ! ! ! find hard accept say Diamond member normally would get executive room access lounge Hilton hotel . refuse go away talk superior . 10 minute return , ' give upgrade . tell know would book standard room instead expensive one , agree let pay less room , accept . arrival use valet parking , convenient good ( free ) service . also use luggage service ; first - class well . within 15 minute arrival call room , luggage deliver . room great . room north wing 27th floor , luxury good bed whole trip . bathroom marble bath big standard one . nice amenity ' mud ' sea soap , good quality shampoo ' . refrigerator coffee / tea facility , really miss . view spectacular , Wynn Hotel limit sight Strip . use monorail go Strip , get last station MGM walk back till Wynn hotel . take taxi back Hilton . ' mind hotel away Strip . evening go Buffet restaurant , good , somewhat expectation . next morning Breakfast Buffet however fantastic ! enormous variety , think 20 , different kind fruit , kind hot item , egg way , also many cheese etc . Buffet free Gold Diamond hhonor member , $ 4.99 p.p . enormous deal , highly recommend . , handle misunderstand upgrade client friendly way , say excellent stay . hotel many room course hard get personal attention , whenever Las Vegas future , certainly book Hilton . 
 Feb 24 2008 	 bad experience ! 	 shock bad Hilton service could . arrive hotel around midnight ( 3 time ) , call early tell would late arrive plane . get people complain room , remain optimistic . finally get room , think great - large room bar , couch , dining area - , bed ! ! ( husband nearly hour point ) call 12:30 say would bring hide - a - bed . mention room around 50 degree , thermostat not work ? ? around 1:30 make two phone call bed , husband march front desk . make long story short , hotel overbooke room renovate room want use night . threaten pay another room another hotel , give we night free , get we another room ( miraculously ! ) course 3:30 ( 24 hrs . straight , 6:30 convention stuff . never return . isolate incident , either ( many convention attendee issue . 
 Feb 24 2008 	 nightmare ! ! ! 	 avoid Las Vegas Hilton cost . place nightmare . begin reservation get mess . suppose 3 night free 2 night @ $ 75 ea . finally got straighten prior arrival . arrive limo driver help take luggage bell staff available front entrance . front desk staff utterly clueless check - in take 45 minute 3 people line ahead . upon arrive room , discover dirty .... bed strip trash dirty sheet still room , bed unmade , wet towel everywhere . room non - smoking room even though request smoking room tell indeed go smoking room . call front desk 45 minute later send bellman key new room North Tower . move suite also non - smoking room 1 bed 3 people . call front desk tell ok smoke non - smoking room send ashtray . tired decide make well unpacked everything ! ! ! next morning come back room breakfast message front desk move another room due plumbing problem . move 3rd room ( less 12 hrs ) notice message phone ... previous guest move plumbing problem room . spend remainder stay room 1 working lamp , tub would not drain , toilet back , windows filthy could barely see . upon check charge $ 2 per bottle water . course refuse pay .... mention charge bottle water ever make . get 3 free buffet one $ 75 room charge waive inconvenience . however , never stay even free . staff behave bother assist anything . positive thing whole property casino great variety game ... however casino block 3 day change carpet . old carpet least problem . place old , worn , bed fecal stain . room service cart leave hall day . want great value clean room friendly staff stay Luxor . leave Hilton enjoy rest stay Luxor really go way . 
