Great 	 hotel great find consider Manhattan , love Broadway part reason come NYC , stay . close broadway theatre ( especially Gershwin , & quot ; Wicked & quot ; play .. one block away ) . room small great travel alone spouse . would recommend hotel child room single twin bed double twin bed . , rate great although hotel restaurant , find expensive cheap place eat , need walk around explore find something appeal . 
 Apr 22 2006 	 hotel staff wonderful room small clean 	 NYC many time past , first time stay wj hotel . strict budget trip pay total $ 301.00 per night ( 250.00 room bunch taxis ) . room extremely small , bathroom even small . think iss size average cruise ship room bathroom ship large bathroom . also heat air control hotel hot cold call come adjust temperature will . the hotel good location show , shop , eat central park . feel safe . 2 block e train take Queens ride Q33 bus LaGuardia Airport . ( cost $ 3 4.00 way vs taxi . trip take we 50 minute total hotel step terminal ) staff excellent , helpful plain nice . way . room clean bed comfortable firm . would stay . get & quot ; small room & quot ; shock , wonderful place stay budget . 
 Mar 27 2006 	 third time year still quite happy ! 	 third time stay less year ( be stay be town show ) quite happy hotel . staff recognize we check - in , quite nice . room ( room 390 ) quite large one cheap room - even sufficient spaceto successfully sit toilet ( something not first visit ) . bed pretty comfortable ( ideal , still sleep soundly , room clean , ( say ) , servcie friendly prompt . real problem 6:00am Sunday , sound like take trash dumpster thirty minute . still return spite . price location ( 1/2 block away Gershwin Theater Wicked playing ) , be great place stay . 
 Mar 26 2006 	 small worth 	 partner spend 2 night W - J March 21 - 22 , 2006 . room small clean , adequate $ 145 / night . place little shopworn ( carpeting blind stain tear ) , provide much way amenity ( useless ironing board ) , location perfect . staff helpful need never unpleasant . go see Wynton Marsalis Lincoln Center within walking distance , Times Square , hotel . ride subway Harlem Village . subway stop area . room bathtub , never keenly aware people take many bath , especially spend limited time NYC , become read hotel review Tripadvisor . would return W - J , problem . 
 Mar 26 2006 	 Gem Manhatten 	 boyfriend stay Washington Jefferson end Jan early Feb. book base price previous review disappoint ! easy find get via public transport ( suitcase , hand luggage ) although get suitcase around subway not always easy . the room cosy ( read small ) , need time , bed comfy little short ( 5 ' 9 & quot ; 6 ' 1 & quot ; ) always scrupulously clean . staff polite helpful . hotel also 5 min walk Times Square & amp ; theatre district . the bad point would say hotel may warm summer air conditioning . mild Feb ( 2.5 foot snow ! ) warm enough window open night . would recommend couple / single want clean , comfortable base sight see . 
 Mar 18 2006 	 Room W J Room W J ? : question 	 hello . name R.C . stay Washington Jefferson MidTown Manhattan , Tuesday , March 14 , 2006 till Friday morning , March 17 , 2006 . shall begin ? aesthetically , pleasing place . decorate fine , outside exterior okay . not rundown look mean . hotel old building reconfigure hotel , obviously . say , convert old building hotel , obviously able space particular room . stay least expensive room ( NYC standard ) . ' m tall person ( almost 5 ' 9 & quot ; ) , goodness gracious , room seem build Munchkin ( i.e . movie , & quot ; Wizard Oz & quot ; ) . little surface space put store / place thing . bed size okay . combination comforter / bedsheet soft , kind bulky . would prefer standard hotel bedsheet . end bed , tiny bit space , could place luggage , two piece . small closet dresser average . tiny bit surface space top , much . inside closet , small iron ironing board . ( not use , way know would sputter clothe . ) good feature entire room security safe . type punch four digit number open close safe . like . door dresser / closet quite close side bed . talk bathroom ? nice decor . think take bath , fuggedaboutit . stand shower , surround glass , around . water pressure fine water nice hot , prefer . the vanity / sink ? oh ! . , Munchkin would LOVED one . tiny sink , spigot protrude three quarter way middle sink . want splash face , careful splashing water floor . include tiny little container soap , conditioner body wash little groom kit . ( course take home . ) lobby : nice , cushioned seat sofas . glass entry door . usually two gentleman help . normal check time 3:00 p.m. ( usually mention online site ) . get around 12:30 p.m. manage check around hour later . hotel divide two section , section elevator . room second floor , could either walk room use elevator . aside room safe , good thing place location . since ticket & quot ; Wicked & quot ; , Gershwin Theatre block half away . plenty place shop eat . around corner , Rite Aid ( pharmacy / store ) . love eat place call Cosmic Diner , locate 888 8th Avenue , corner 52nd Street . price reasonable , plus be open 24 hour day . subway / Metro station locate 50th Street , close hotel . use subway brief stay , bus taxi cab . pay $ 7.00 single day card ( good till 3:00 a.m. next day ) . quite useful . conclusion , ever go back NYC , Washington Jefferson . although ' m claustrophobic , feel bit constrain inside room . nearby , Hampton Inn 8th Avenue . may check next time . think would rather pay little $ $ $ guarantee room comfortable size . W J okay , would rather space . speak safety , hotel locate safe area . bit garbage bag waiting pick . also , be wee hourrs morning , expect show room card hotel personnel door . make sense . enjoy stay NYC ! 
 Mar 13 2006 	 try different hotel 	 ultra small room . room bed two foot space side . no / AC bath tub , shower . box spring mattress . top mattress sheet lumber . chair room . coffee maker ice room . two star good . 
 Jan 6 2006 	 well expect 	 stay wj boyfriend friend 5 night . high floor ( room 636 ) room 2 queen bed . room clean size fine , although could use closet space . bed nice , bit firm side . shower bit small adequate staff extremely helpful . able check late arranged cab departure . expect luxury hotel , disappointed . want boutique hotel close many great attraction , wj . 
 Jan 5 2006 	 great find NYC ! 	 love stay WJ Hotel ! staff friendly accomodate , happy check bag shop 5th Ave bus ride home . Maria Pia across street look great , get reservation ! host could not seat we , send we thi restaurant 47th ( Scarlatto ) , fantastic ! location wj perfect , 8th Ave , close theatre . 5 minute brisk walk Schubert ( 3 starbuck way ! ) . clean room , excellent linen well decorate . problem would door hard close ( require good slam ) small proportion everything . be look great view spacious room huge bathroom , place ; thing cozy ! location value can not beat ! excellent hotel stay sightseeing NY ! 
 Jan 1 2006 	 Adequate SMALL room 	 travel NYC several time , know go 4 star , take travel life hand . Washington Jefferson adequate , room terribly small . hotel clean , staff effective courteous , room two twin bed squish tiny tiny space . even bathroom similar airliner give little space ... even New York standard . decent hotel business travel look place lie head night , plan spend non - sleeping time room , prepare feel clostrophobic . 
 Dec 29 2005 	 Unique Boutique Hotel Theater District 	 small side street Broadway Theater District small , compact hotel elequent small lobby excellent , friendly service . give room & quot ; Renovation & quot ; area . althought would completely insult , adventure . go seperately & quot ; one man , one bag & quot ; elevator ( door look like closet door ) , actually take stair 3 flight , hallway instruct take 1st door right ( truly look like service door enterance ) . hall right gutte room , wire hang , room long - term , pre - renovation tennant complete eviction notice ! see gate & quot ; Oz & quot ; see new door brass knocker handle .... walk room could touch opposite wall lie flat arm overhead . window look enclose area fire escape look like scene Westside Story ( expect see Maria Tony ) . room extremely small ( average New York ' m tell ) upgrade top line bed , bath fixture , etc . unbelievably fantastic location ... 1/2 block subway , walk Times Square , Rockefellow Center , etc . great experience ... Plaza , excellent adventure . 
 Dec 4 2005 	 location location location 	 Nice hotel , fantastic location , small room will not spend much time inside room . room clean , nice fresh sheet bed , toiletry bathroom lovely , bed comfortable good sleep whilst goose quilt extremely warm . air conditioning would not advise stay mid summer , stay November 2005 26th till 30th warm leave window open night central heating switch . good bar couple door away nice plenty food place 24 hour store around corner . subway also around corner feel well locate . ideal location attraction New York , Times Square Broadway block away . bellboy nice could not enough help - love much return next year . 
 Nov 17 2005 	 Bathroom Lilliputians 	 hotel redone do - up quite aestheticly well . bed linens & amp ; toiletry wonderful , bathroom exceptionally small even turn around ! heating either extreme window ( street side ) single pane seem feel like open outside . location good walk mid - town . 
 Nov 16 2005 	 low price - Small Hotel - Excellent service location 	 clean nice little hotel heart New York . hotel excellent service , location min walk Time Square , Central Park St. Patrick ' . room small , almost small - comfortable clean , spend time hotel room visit New York City ? 
 Nov 9 2005 	 have well Bates Motel 	 know trouble hall reek disinfectant radio blaring next door ( continue next twelve hour ! ) .room 302 nightmare . room WJ Hotel deem & quot ; Superior Guest Room & quot ; ! desk , chair , closet . place store luggage put clothe . pile mine floor . room maybe 8x5 . impossible two people change clothe time . one person lie bed wait person finish . huge hole wall roach greet we cramp bathroom next morning . room could challenge & quot ; Fear Factor & quot ; ! luckily , able find accommodation spend one night . 
 Oct 30 2005 	 Surprised ! 	 decide get hotel NYC Priceline , success . & quot ; & quot ; dollar amount $ 205 per night hotel would accept ... hotel WJ . Friday night , understand high price ... come NYC two week prior able stay Radisson spacious room two bed $ 199 Sunday night ! anyway , find hotel wj , come read review . floor . try get , unable . reviewer give poor rating , since take parent East coast first time , not want cruddy room . decide warn ahead time would SMALL not even sure neighborhood . turn worry nothing ! yes , rooom small . yes , elevator slow walk six flight ! room clean good condition , quite pleased . would choose Radisson wj price ? yes . wj not complete horror thought would . consider would paid $ 300 buck night return Radisson Friday night , WJ not bad . 
 Oct 23 2005 	 scratch list NYC hotel 	 stay W - J three seperate time past two year scratch hotel list NYC hotel . know room small one back hotel quiet window open inner court . time bug ( possibly cockroach ) room could not regulate heat blast afternoon evening turning room sauna ( good middle hot flash . ) Convenience Times Square Broadway not enough counter bug heat ( sound like stay desert . ) 
 Oct 14 2005 	 really good hotel 	 reading review actually quite concerned stay hotel , honestly say lovely trip , spend 5 night boyfriend lovely time , room large , high comfortable bed , sofa , wardrobe small , live case anyway ! bathroom huge whirlpool tub amazing shower , everything clean goose comforter fluffy new towels.hotel toiletry excellent , smell heavenly stealable : p girl front desk intelligent woman world , truth know , however receptionist bell hop helpful , check bag late flight chatty pleasant.our view brick wall , need view be five minute time square , everything clean well appoint , great stay great location . 
 Sep 15 2005 	 great room price 	 reading review hesitant stay hotel . however , pleased . location could well . room small clean previously state NYC not room ! disappoint 2 twin bed instead queen king 's enough keep stay 
 Sep 3 2005 	 be go back ! ! 	 thing think complaint would street noise get little loud . hospital street every ambulance would screech street love hotel . front desk staff awesome ( Bobby well ! ! ) . stay extra night give deal . room clean bed comfortable ( firm ! ) . shampoos soaps smell yummy . be close everything great italian place across street ( Maria Pias - try crab cake ! ! ! ) . love place much ' ve already book trip New Years since be right around corner Times Square . think enjoy hotel not expect huge room 's New York not spend lot time room ! ! 
 Aug 31 2005 	 great value excellent location 	 stay Washington Jefferson Waldorf Astoria recent visit NYC , impressed hotel , be look affordable accommodation central location wj , staff not overly friendly helpful answering question , assist cab 's etc . the room comfortable recently renovate , small large London hotel room ' ve stay . bathroom contain great shower , view surround room , great directory room contain alot info New York , include history local area ( Hells Kitchen ) walk Central Park , Times Square , Broadway theater Subway every day night , would recommend city sightseeing bus locate nearby daily tour , plenty place eat locate nearby , quiet hotel , traffic noise . overall would definately stay 
 Aug 30 2005 	 wj okay ! 	 book WJ Priceline , bit nervous read bad review . overall , quite happy wj would stay . staff courteous let we check early . room nicely decorate , bed comfy , A / c blasting clean . need ? white noise A / C happy noise level . could barely hear street noise place ' ve stay NYC much louder . the sink slow drain not mirror room - bathroom . minor problem low price nyc.our checkout absolutely hassle store bag we quick efficient . the wj okay ! 
 Jul 27 2005 	 Great Location not expect sleep much ! 	 wife take first trip city never sleep quite literally . room ok ( exept hot water first ) horribe bang noise heater night long . give we new room upper floor even small first one . location great . one walk everywhere - Times Square Broadway show couple minute away . 
 Jun 27 2005 	 A / c ! Customer Service ! 	 mom plan trip NY hear hotel internet . assume room would small .. small ! could barely move . first night 98 degree AC break ! call front desk three time finally bring work one . customer service horrible . offer apology ask refund discount first night rude say ! . one help we bag . barely even speak we . would recommend place anyone . thousand hotel NY ... leave one list ! 
 Jun 16 2005 	 shoe box ! 	 book room young sister June last year . pick stay Sheraton block street find fairly good deal ( airfare Europe + hotel ) . website seem nice room quite modern . book single bit worried size think adequate . first trip NY not intend spend much time room . what shock get ! room size cupboard . look neat tiny . never see anything like . discover size room realize deal bit rip ! part hotel renovate noise start everyday around 8.30am . nevertheless great time location hotel great short stroll Times Square . would not book . 
 May 4 2005 	 Great Location 	 definitely concern hotel arrive . much close find another hotel week arrival . find review useful setting expectation 3 like 3 dislike hotel.1 ) great location , subway hop skip jump away . Times Square popular theatre well within walk distance.2 ) room comfortable bed good shower . two essential ! 3 ) friendly helpful staffokay great things:1 ) room quite small , lot room two adult . , ' ny ' expect spend much time hotel room right ? 2 ) window ' open . little fresh air would nice.3 ) luxury , basic hotel room . tea / coffee , fridge , bath , full - length mirror . this good hotel need basic room fairly inexpensive we sterling . 
 Apr 22 2005 	 great location great hotel . 	 good thing hotel centrally locate . walk Central Park every day , eat restaurnat row often could , never worry traffic . arrive remodel , something hotel fail mention speak confirm reservation . call twice time confirm room ask . get correct room check . wait elevator lobby 15 mintue , amidst move debris , night manager finally recognize would need elevator 4 bag carry . offer help make we . room swelteringly hot way control opening window , one instal properly . bathroom could barely contain sink , commode shower , let alone addition 2 people toiletry , etc . closet , small armoire allow clothe hang poperly . room safe also small armoire , try imagine 2 suit , 2 tux various item dry cleaning 2 people fitting . 4 day staff never bother greet either us exception check check . good point : lobby nicely appoint , sushi place good location perfect leisure trip ny . definitely corporate / business hotel . 
 Apr 9 2005 	 stay 	 everyone say & quot ; remember NY & quot ; prepare small hotel room ...... not know even compare horrible hotel anything else . stay MANY New York hotel far small room ever see . one help bag way - despite fact bellman present simply chat wtih desk clerk . room 100 degree can not adjust temp . open window hear neighbor night long ( lucky someone next door cough 1 a.m ) . room dirty - stain carpet , lampshade . remote control not turn tv climb top bed adjust volume . bed uncomfortable - super hard . ask move room twice tell could pay $ 50 different room . book orbitz pre - pay ( LOT comparatively ) not much leverage . 3 STAR HOTEL ! 
 Mar 18 2005 	 Cruddy hotel refuse stay 	 arrive hotel business / holiday stay family , give room 90 degree , smell like someone throw . room advertise family / double room , even 200 sq foot , will eat sock . small mount ( tiny ) tv ceiling . closet . room even clean . complain management , offer put another room exactly . refuse well , go Hilton book room spot . wj charge card anyway , refuse refund generally ridiculous whole thing . not care guest , money . it be crummy neighborhood well , lot sketchy people wander . book Hilton , may 5 star , least know expect . this bad hotel ' ve see NYC , price actually hotel well . 
 Mar 7 2005 	 great location 	 read mixed review site , little nervous booking WJ . , upon arrival delight . located edge Hell 's Kitchen ( P.C . renamed & quot ; Clinton & quot ; ) , hotel clean great location . EASY walk Rockefeller Center , Times Square , long , enjoyable walk Central Park Met . restaurant Row ( W. 46th Street ) boon ! excellent italian Thai food around corner . check pre - theater price fixe menus . Coffee bagel shop along 8th Ave . that be location . public space hotel clean nicely furnish . free NY Times . restaurant hotel -- sushi place . one elevator , marble step easily manage . stay 6th floor . room exactly find photo -- nothing ! room small , space walk around , put bag , cramp . bed comfortable . noisy ( back side hotel ) , usual noise -- street noise , door . bathroom spotless toiletry nice . remember , old building . space small average american hotel , not mean not nice . ' ve ever boat , appreciate efficiency room ! also notice bathroom hall think may room without bath handicap access . I would stay . would not pick hotel staying week , weekend . smallness might start wear . price much less hotel nearby can not think anything lack it . try wj ! 
 Feb 3 2005 	 bad ! 	 room small staff friendly . great location would stay ! 
 Dec 20 2004 	 pleased wj 	 little worried read negative review , finally get room worry go . yes , room small could fit 2 suitcase without fall alot shopping mean lot bag , still room store . bed comfy sleep everynight really well , window open little . bathroom nice clean , find inhouse movie service great , perfect rest foot ! would recommend hotel other . People remember , New York , city never sleep ! long hotel clean comfy , find one , not worry rest . plenty restaurant close hotel 's like go starve 's restaurant hotel , also order room service . would go back hotel future , be clean comfortable great location . 
 Dec 19 2004 	 wj FANTASTIC ! highly Recommend ! 	 little worried reading review , compliant WJ ! staff fantastic , location perfect , price right . room small , unbearable . clean bathroom . staff extremely friendly , always willing help . within walking distance Central Park , Times Square , Macy 's , Empire State Building . look clean hotel , highly recommend wj . 
 Dec 18 2004 	 Nightmare 	 hotel ? hostel would much appropriate name - restaurant , bar , gift shop , even shoe shine buffer . room # 1 : find pair use sock bed . ' wardrobe ' outline hoteldiscount , actual fact three coat hanger back bathroom door . room # 2 : identical room # 1 ( minus sock ) - try again . room # 3 : old part hotel - actually really nice room , 11pm awake periodic loud noise ventilation system ( resident ghost ? would not surprised ) - time move againroom # 4 : must previously wardrobe adjoining room one stage - ' m joke ; ' ve stay Hotels big bathroom . like set ' b ' movie , wall move every time door close . if not pay full front , have check first night make way Metropolitan Hotel . still , fantastic trip - will not stay ever . 
 Dec 6 2004 	 live hell WJ hotel 	 not make mistake stay wj hotel w.51st . room tiny , noise terrible , ventiliation non - existent staff rude . make matter bad , not even ice machine , coffee machine drink machine anywhere place . room service ( contrary info give ) hotels.com least bit bother misleading info post . favor go elsewhere not go . 
 Oct 31 2004 	 disappoint 	 return 2nd trip New York , leave late book limited hotel choice . read review prepare worst , unfortunately experience . positive - good location , load hotel vicinity . staff friendly , facility not quite sure apart check - in . clean sheet towel every day . clean ( tiny ) Bathroom , comfortable bed . negative -The hotel rate far expensive non - existent facility poor standard accomodation . feel like hostel hotel . the decor dingy depressing . lobby look really nice , step communal hallway feel like negelecte public building . drab wall carpeting make bad musty smell . room smell vomit keep we time- want spend little time hotel possible . 
 Oct 19 2004 	 Tiniest Room ever stay ! 	 web deal room way small . room clothe item . bathroom almost unusable . 
 Oct 19 2004 	 great location - good value money outstanding staff 	 although room small one tiny elevator , hotel adequate . interese theatre , location fabulous . also close subway Central Park . many good restaurant nearby safety never issue . make hotel great outstanding staff . helpful , friendly willing make stay enjoyable possible . would hesitate stay . 
 Oct 16 2004 	 wj okay could well 	 little disappointed wj . location great room comfortable stay restaurant renovate nowhere hotel even get cup coffee . one day come back sightseeing 5.00pm find room service . never experience many year stay hotel . ask staff follow - apology . staff friendliest hotel staff ever meet . okay cheap expect basic well . 
 Sep 26 2004 	 nice place enjoy stay 	 feel write review since last 3 post negative . think wj nice , clean place great value . 3 positive : safe security guard door every night ; staff pleasant we ( concierge walk block street hail cab we ! ) ; update room . also , location ideal . block Times Square , theater , Restaurant Row , subway station . yes , room small expect old hotel large city . , unless want pay $ 300+/night hotel room NYC , something sacrificie . sacrifice small hotel ( lobby also tiny restaurant ) small room . however , block two NYC 's amenity . would definitely stay recommend place other . 
 Sep 24 2004 	 problem ! 	 first trip NYC can not really compare wj hotel . read previous review , expect bad . however , prepare small room picky , turn good place stay . close many attraction ( ie Times Square ) also close subway . the room clean smell good . staff quite friendly . overall , think NYC much offer term entertainment never really stay hotel room except sleep . ( mind , come NYC alone .. nocturnal even diurnal activity plan someone else , hotel room may give freedom & quot ; play & quot ; ; ) ) 
 Aug 26 2004 	 Terrible Disappointment 	 room represent web site . staff uncoperative . never recommend hotel . 
 Aug 25 2004 	 Bad News ! 	 room definitely advertise . ask move another room , advise would cost additional $ 50.00 per night similar room . staff incredibly rude . 
 Aug 25 2004 	 not even consider 	 represent ; horrible room ; extremely rude staff ; unsafe environment ; not even consider stay ! ! ! 
 Jul 21 2004 	 Postage Stamp Size ! 	 room enough space body , suitcase carry . closet , dresser drawer , extra . Bathroom small compare hotel , large compare room size . room consist twin bed , tv mount ceiling save space , small table , thin floor lamp , wastebasket ( put table need room luggage ) . be claustrophobic , not stay . 
 Jun 28 2004 	 late Washington Jefferson 	 read several review hotel board . not mind VERYsmall bedroom ( reasonable sized bathroom ) , will enjoy hotel . construction work limited use elevator . price reasonable location ok although ideal . there be little room place luggage . staff courteous overly helpful . 
 Jun 4 2004 	 u know u get ok 	 stay maybe 5 time , viste friend relative another 5 time , see many room last 2 - 3 year . room decoration nice - think lot hotel city renovate ( old building , modern styling - ' W ' style - see Moderne , Ameritania , Avenue etc . ) . yes staircase , back half hotel not great ( though even back look well recent visit ) . room small . single room time touch side wall lie bed . generally need move something else put something . like cruise ship , overlooks airshaft . location great - block away office close everything . hotel spend alot time lounge . reasonable room great location , clean decor . lemon room leave , staff not accommodate either . big gripe . 
 May 16 2004 	 good value money 	 yes room small , maybe metre around side bed two foot , bathroom great , bed comfortable everything really clean . room back refurbish ( April 04 ) hear people complain area , get room front ( number end * 32- * 37 every floor ) think 's well worth . 5 min Times Sq , subway station next corner , great italian restaurant across street . bad money . 
 may 12 2004 	 pleased Washington Jefferson 	 Fear come read review , question do right thing booking room Washington Jefferson weekend April 17th , 2004 . research internet price seem fair reasonable . location , dream . catch . yes room small thank review learn brace . plan spend entire vacation room , thing might get bit clausterphobic . elevator small slow . come New York impressed elevator . stay single room top 6th floor , could wait elevator , mind take stair ( really ! ) . solid restful sleep love white comforter . appreciate modern french decor room small pack helpful item room safe ( admit think microwave first ) , iron ironing board , radio , t.v . ; little thing like fresh rose desk table . personal taste say miss full length mirror . maid cordial doormen kind . whole experience remind hotel stay Europe . yes way , feel safe . this recreational Disneyland hotel ( Disneyland happen step outside hotel ) , rather functional one . hope not get wise raise price . plan stay . 
 May 2 2004 	 great location + nice room price 	 stay WJ June ' 03 . make book online , surprised find room much tinier expect photo . ' ve travelled stay enough postage - stamp size room city like London , Bombay , San Francisco etc be quite willing trade size room great location + reasonable price , hotel certainly . also , room clean , comfy , fabulous bed & amp ; linen , decorate quite taste . tiny bathroom fine , mostly due stand - up shower . would say stay go without hitch - problem reservation , rate quote charge , staff , courteous professional . know will go back someday . 
 Mar 24 2004 	 Loved wj 	 admit read reviews hotel , petrify stay . pleasantly surprise not picture mind . yes , room small , room not New York ? room clean , bed extremely comfortable , shower fantastic ! ! ! staff friendly helpful . will not get well location ! ! ! definitely stay hotel . 
 Mar 10 2004 	 great hotel great location 	 plesant lobby area , helpful accomodate staff , nothing much trouble . hotel room small not wardrobe not exactly ruin holiday , iron & amp ; iron board not look scruffy . ensuite shower room lovely , small , large shower cubicle . location hotel brilliant , excellent restaurant bar street close . thing would like see tea / coffee make facility room . hallway get room smell bit musty room door shut fine . window NYC seem dangerous careful open ! 
 Feb 10 2004 	 old wj 	 discover useful site look hotel NYC , curious see people say WJ . stay 4 year ago , & quot ; renovation deal . & quot ; assume passage time high price place would totally change . apparently ! funniest ( retrospect ) part stay sick bed front desk phone ask would okay people come look room . explain sick staff person graciously say , problem ! sure enough , minute later knock door couple suit squeeze room look configuration discuss renovation , huddle bathrobe . sound like attitude still prevail . 
 Feb 10 2004 	 Adequate 	 hotel great location Broadway , Times Square , Tourist Information , place eat etc . hotel reception nice - pretty much photo perhaps little small expected . however staircase elevator room far less plush could certainly redecoration . hallway also real need redecoration . room small could also do lick paint new carpet . view window . room warm heating system old radiator hard adjust . shower room fine - marble finish clean . Maid service good - towel replace every day wastepaper bin empty every day . staff front desk pleasant little cool occasion . hotel suitable place base planning short visit - shopping see Broadway Show - would prefer something little up - market long stay . hotel reception plush far rest hotel - room corridor . impressed free flight check facility tv room - allow check time flight departure . 
 Jan 11 2004 	 make mind ! 	 partner stay Dec 2002 . hotel good location although street look rather dodgy ! staff friendly enough , might expect class accomodation . yes , room small nicely kitte . go NYC shopping trip like , be not enough space bag . think shopped abit could got money another hotel . 
 Dec 22 2003 	 trick Washington Jefferson 	 washigton jefferson hotel horrible . wife book room back July 03 , also pay July , book # 14515824 , go check 12/13/03 , tell pipe break room . ask manager could see room believe . say could see room . book room someone else Fri Sat night Sat night . wife Chemo year , look forward trip . way make feel even wrost . people run hotel make money , not care guest . please not stay , may . 
 Dec 5 2003 	 small ROOM ! room smell like puke 	 stay one person WJ . single bed room hot smell like someone throw floor . 's good location though 's fine will not stay long . room small hot coud not control heat . sink tiny . 
 Nov 14 2003 	 smallest room ' ve ever see ! 	 ' ve stay small hotel room one league ! Hotel well decorate , clean wonderfully locate , room small comical . be talkin ' tiny . well price . 
 Nov 11 2003 	 hotel hell 	 prison cell ( room come close ) small accommodation . example : small tiny tv hang ceiling . small place even night stand ( never mind closet , chest drawer . ) leave clothe bed door hook . chair table . room uncomfortable narrow bed - nothing else . SMALL & quot ; bath & quot ; ( be tub , course ) 6x8 ft . & quot ; room & quot ; , really cell , slightly large 8X12 ' . golly , size prison cell , close initial summary . owner greatly mis - represent bed refer tiny single bed & quot ; double . & quot ; think place must flophouse one time , fairness half house renovate May 2003 , inspect UN - renovate half , , indeed flophouse , appearance one . floor linoleum , scarred pit wooden door , one bath floor unrenovated part . also , odd loke people walk time . cheap price not merit torture humiliation confine house horror city never sleep . 
 Nov 9 2003 	 nice staff nice lobby wait get upstairs ! 	 staff nice . lobby lovely . be say WJ.I quote one price , charge high one . they put unrenovated side hotel -- roughly translate & quot ; side 's still tenement & quot ; .community bathroom permanent resident , awful odor , write wall . the room TINY -- not smell great room floor . I not recommend unless need place crash hour , location fabulous . 
 Aug 28 2003 	 Loved WJ Hotel ! 	 first time NY love Washington Jefferson Hotel . great location , right heart everything . staff helpful friendly even though room small ( like NY hotel ! ) comfortable modern everything could ever need . bed great comforter ! also locate right next GREAT Irish Pub ( B & amp ; B Doyles ) perfect begin end evening ! would definitely stay ! 
 Aug 26 2003 	 not judge book cover main phrase . 	 & quot ; not judge book cover & quot ; , main focus review . when look hotel outside lobby right away think seem like good place stay . wrong . hotel may fancy look outside , stylish lobby nice website , room small poorly design . my room 2nd floor . get elevator ( look like 30 year ago , wooden door main metal door ) turn leave right . right see nice look hallway nice red carpet door . turn leave ( room ) see cheap look hallway old door , 2 share washroom maybe 4 5 regular hotel door . ( ugly wooden one people live build permanent resident ) .going room see 2 twin bed maybe 1 foot , maybe even less . small cramp work desk nice look hotel brand paper pen ( chair though ) little armour safe hanger . drawer clothe . room smallest ever see . view room terrible , look window see dirty dindgy building . one bed position wall right near air conditioner . course , open blind get cool air enter ( be in - window air conditioner unit ) air blow across bed , make dificult sleep wake 3am . the next morning take stuff check Novotel West 52nd street friend go stay . great time Novotel never return th wj again . the thing hotel good people want stay 1 night , little nap leave . want good hotel around location , stay Novotel West 52nd Sheraton around area . as return hotel first last night stay , see crew El Al ( Israel Airlines ) loading baggage van . maybe not like ! pretty lousy place great airline crew El Al stay ! 
 Aug 26 2003 	 great time definitely go back 	 spend 3 night ( fri / sit / sun ) wj past weekend quite enjoy stay . stay 680 ( twin room ) rate $ 99 night money well worth . room spotless , bathroom equip modern fixture stand - up shower actually prefer , rather tub curtain always get way ( take bath hotel anyway ? ) .the reception staff helpful polite , chad doorman definitely surpass doorman expectation . helpful friendly always ready give advice direction every time leave hotel , wish well way . thank chad , be good ! back room - yes tiny , 5 & quot ; 2 , big room would waste anyway . truth know , do not spend much time anyway - new york city ! bed comfortable goosedown duvet , furniture deco tasteful air conditioner work properly ( although get bit noisy night ) . view not anything great ( room look onto adjoining building ) although happen get nice good look attractive young man get shower.anyway , would give hotel overall rating 4/5 , partly due fact could never seem reach housekeeping , do not bottle opener available . luckily bathroom doorjamb open corona bottle fine.i definitely stay next time back nyc . 
 Aug 24 2003 	 surprisingly pleased 	 book wj hotel sight unseen . fact .. never new york . little sceptical area thing hear . begin tell pleased . area everything imagine New York . right center theater district , walk distance central park , time square , many sight . arrive first real cold spell winter . room , although small , comfortable . comforter worth stay alone ! staff friendly helpful . return New York , definately stay wj . 
 Jun 23 2003 	 small ? 
 Jun 6 2003 	 Nice Hotel Good location 
 Feb 19 2003 	 watch cheap internet price 
 Feb 16 2003 	 Impressed 
 Jan 3 2003 	 Good Bargain 
 Jan 2 2003 	 not expect much 
 Dec 16 2002 	 ' guarantee ' reservation no - show ! ! 
 Nov 14 2002 	 price right ! 
 Oct 16 2002 	 Loved wj ! 
 Sep 4 2002 	 Great Hotel ! 
 Sep 13 2009 	 Catastrophique 
 Apr 29 2009 	 posizione strategica 
 Apr 18 2009 	 Pratique et sympa 
 Mar 19 2009 	 Muy Recomendable Washington Jefferson ! ! ! 
 Feb 24 2009 	 posizione ottima peccato il termosifone 
 Feb 15 2009 	 Hotel war sehr Ordnung 
 Feb 15 2009 	 ? ? ? ? ? 
 Feb 11 2009 	 recommander san PB : excellent rapport qualité / prix 
 Jan 15 2009 	 bien situé 
 Sep 15 2008 	 hotel totalement deconseiller 
 Sep 9 2008 	 sistemazione economica ottima posizione 
 Jul 24 2008 	 Comodo pulito e 2 passi da Times Square 
 Mar 27 2008 	 e il wireless ? 
 Feb 11 2008 	 Meglio di 
 Jan 13 2008 	 Le meilleur de Hell 's Kitchen 
 Aug 2 2007 	 cher et pas extra 
 May 21 2007 	 Parfait ! 
 Aug 18 2006 	 très bien situé ... 
