pricy 	 forget many time ' hotel . location convenient we . this peaceful hotel ; ' big busy , however well locate restaurant , bar , disco , shop etc . like Sheraton Hotel room refurbish , clean cozy . overall service staff decent , great , due language barrier ' fully bilingual . staff member would require refresher course customer relationship . overnight interior self - serve parking $ 20.00 , park nearby exterior parking lot less $ 10.00 . food quality price venture local restaurant vicinity , choice variety remarkable . M & amp ; L , Ottawa 
 Jun 25 2007 	 girl ' get away weekend 	 friend plan girl ' get away weekend . Booked Sheraton Hotwire amazing price . go ahead , adventuresome . terrific hotel , perhaps little dated $ 89 night great deal ! huge room two heavenly bed . housekeeping leave little desire important stuff take care . hotel close everything include train stain . Walk Cora 's breakfast must absolutely go Gibby 's Old Montreal dinner . Gibby 's sit downstair restaurant would prefer upstairs . enormous portion . montreal visit Thursday 's . laugh non stuff . long live Montreal , be outstanding ! 
 Jun 4 2007 	 Great Location Good Hotel 	 room two adult one child two night . could not get two double bed , king fold sofabe , make great sleeping three , little crowded sofabe open . staff helpful . sort thing want know ( e.g , near Metro get poutine ) fellow carry suitcase people want suitcase carry knowlegeable enough not bother concierge . aside , be Montreal eat poutine least , be quite tasty , eat cardiologist along standby . number attraction near hotel Montreal subway system super , even not near would like , get . enjoy botanical garden , think Old Town beginning get little bit key westish T - shirt shop general enjoy city hotel . canadian dollar hit recent high dollar , U.S. citizen Canada not quite inexpensive year ago . 
 Jun 1 2007 	 great stay Sheraton 	 great 3 night stay Sheraton le centre Montreal . received terrific deal per night upgrade get Sheraton club floor offer nice breakfast buffet evening snack lovely top floor room overlook city -- -37th floor . easy walk St Catherine street ( 2 block away ) shopping -- also 2 block away Queen Elizabeth hotel train station locate . Montreal easy cheap get around Sheraton 's location good fine hotel . our room comfortable , great mattress , clean , safe , mini bar , coffee / tea maker -- bath room bit date terrific view city . highly recommend hotel . busy place nice ground floor bar -- complete starbuck . check line good deal . 
 May 16 2007 	 solid spectacular 	 travel Montreal business frequently stay 7 - 8 time last two year , include return 4 day combine business / pleasure stay . I always find hotel would expect typical large city Sheraton -- dependably solid spectacular . repeatedly return ( 1 ) convenient meeting , ( 2 ) get good corporate rate , ( 3 ) like starwood point . unquestionably well hotel Montreal , hotel fine . room relatively large , clean , easy work . bed comfortable . always find staff helpful . depend reason visit , 's location excellent -- smack middle business district , within walk distance much Montreal offer easy access cab metro rest . ( get pretty good view city , depend room get ) plan trip solely tourist , might look hotel around Vieux Montreal ( consider , example , St. James St. Sulpice ) , location not bad either . perspective , be 5 minute/ $ 10 cab ride 20 minute walk heart Vieux Montreal . 
 May 10 2007 	 quite nice stay 	 stayed travel business . find location agreeable , walkable restaurant , shop downtown location . clean comfortable , good service . 
 may 7 2007 	 go Club Level ! 	 2 - night stay last August . average upscale city hotel , room small - one small hotel room ' ve see outside Europe . room would ok one person , tight two . room seem limited king bed , able avoid small room request double bed . ( see normal - size room two bed . ) however , fortunate upgrade Club Level ( Starwood Gold member ) . real treat - club level lounge nice , locate top floor huge wall - to wall window overlook city . free continental breakfast quite extensive , excellent croissant , make lovely way start day . ( unfortunately , schedule permit we take advantage evening offering lounge . ) ever tempt spring Club Level room , good place go ! 
 Apr 25 2007 	 find good rate 	 review business - orient hotel pretty accurate – observation . good deal : bid $ 70 US accept Saturday night stay – typical regular rate night $ 200 cdn in . not really 4 star : perhaps reason bid 4 star room accept really ' 4 star hotel . like 3 half . furniture little beat . room ' update recently . window - style heating cool unit ( wall mount thermostat ) – mine full garbage inside . toiletry 4 star level . Archaic Parking System – * must * pay room invoice show parking attendant pay parking time check . parking 24 hrs weekend $ 19cdn . big brother mini - bar – claim sort infra - red device minibar know take something . seem work , keep mind like poke around . decent bed : little soft taste linen look new . conclusion : big hotel lot room fill probably get good rate room look . good value money . 
 Mar 7 2007 	 ok hotel ... cookie cutter Sheraton nothing special 	 First get room $ 90 night ( include taxis ) -- -.com 2 night stay . arrivd 7 pm simple check , request high floor ( usually ) grant one next elevator . I m happy elevator , quiet hotel never problem . the room standard hotel room , do not hate love , simply hotel room . internet $ 13 usd 24 hour tv be not good come reception . know Montreal French speaking region , english channel tv blessing , course one static CNN Headline News CBS Vermont . option , many . we never order room service ... guarantee delivery room 30 minute free . that s nice since wait hour pizza Wyndham Boston . the Sheraton Sweet Sleeper Bed comfortable big , queen size . bathroom need makeover , stick late 80 early 90 old looking wallpaper . the room horrible lighting ... mean be not sleazy motel highway , one popular hotel Montreal downtown . one lamp do not work one dim lighting . we great view build construct distance ... sarcasm ... view cool snow ( Montreal March ? way ! ) ... worker continue work wind snow -10F day top 30 story structure . right Mont Royal . big window light room day . they store ( Montreal touristy crap like shirt , mug , magnet etc ) one level lobby ATM next . also jewelry store level lobby . the hotel close main train station VIA Rail Amtrak locate . 2 block away around corner Crescent Street full bar / restaurant shop . also check St Catherine Street shopping ( FCUK , Mexx , Gap , Hugo Boss , Zara ) two place eat . Bistro Le Boulevard open daily 7am-2pm Le Bistro Bar bar / pub grub place welcome giant wall size window comfy seat couch . be not sport bar jukebox ... sophisticated chic styling good french fry Montreal ! stay 2 day ... like state early ... nice hotel ... nothing special ... would stay return Montreal ? likely yes ... unless get stick Priceline bid . 
 Feb 23 2007 	 Nice Hotel . 	 travel 2 kid stay week . will break everything down . location : pretty good central location , across Bell Centre . Eaton Centre Rue St. Catherine short walk away great shopping also lot restaurant nearby .. Hotel Ambiance : upscale high rise hotel , business like family orient . variety store basement , expensive . restaurant call Le Bistro main floor . pricey , much choice , food okay . room : two double bed , room small . roomy 2 adult 2 kid . bathroom okay far bathroom go . bit outdated . room clean daily maid , good job . would say room dissappointe $ 170.00 night . 1 tv 2 phone . need 2 phone ? would rather another t.v . local phone call $ 1.49 + tax . ouch ! video game console pay . order system movie not work . internet service free anywhere hotel . $ 16.75 24 hour . hotel give free . 20th floor beautiful view . fire station road beside hotel , hear alot siren fire engine ambulance times day . bed heavenly ! never sleep hotel uncomfortable , first hotel literally like light . sweet sleeper bed awesome ! staff : excellent , professional , courteous , nice helpful ! Orsola concierge desk make sure never bored . ask will give plenty idea along map ! 's awesome ! Merci Orsola ! ! ! ! ! bar : nice pleasant staff . petite dejeuner ( breakfast ) . offer Starbucks coffee , croissant , pasterie , muffin , cookie , fresh fruit , yoghourt , bagel . 2 pm finger food . pool : nice , also sauna parrott name Cecile . thing bother parent let kid jump splash act like maniac . leave one day really bad kid . kid freak . staff friendly not keep kid splash jump sign say prohibit so . thing : Biodome , Insectarium , Planetarium , Notre Dame , Bell Centre Tour , Shopping Rue St. Catherine & amp ; Eaton Centre , lot great restaurant , movie theatre Rue St Catherine offer movie English . hotel say child 's activity , see . metro easy take way less expensive taxi 's . jump one Peel McGill Eaton Centre . go Chez Cora 's breakfast , be really good ! , hotel nice expensive pay everything . free breakfast either . really nice , professional hotel close everything . not know would stay , might try something else less money . great however business people , lot meeting room , hotel central everything ! 
 Feb 11 2007 	 great location little flavor 	 stay couple friend back October 06 . nice hotel location fabulous . short block metro stop well Crescent street . staff helpful - recommend good restaurant bar well accomodating need extra bed quickly . cafe bar great place get away fellow travelmate . two drawback . lack local flavor . bar close fairly early . overall though , great deal great hotel . 
 Feb 1 2007 	 excellent service 	 experience problem room 
 Jan 28 2007 	 Hard Beat Value 	 stay hotel Oct 2004 3 night cruise departure return Nov 2005 Canadiens game . hotwire frequently offer price $ 100US price bed keep come back . location great worth note excellent portugese restaurant call Ferreira within walking distance . ' m Starwood member ( not even many point ) upgrade Club Floor time . Club Lounge offer free breakfast happy hour appetizer spectacular view city . lastly , spa take appointment 10 pm offer surprisingly low price service . 
 Jan 23 2007 	 good perfect 	 visit Montreal 5 - 6 time year return first stay Sheraton , book bid priceline . plusse room size , great bed , cleanliness , decent location - close Bell Centre , St. Catherine Street Crescent Street . minus part start show age . place certainly run stay renovate Hyatt last 3 trip place definitely show bit wear . room big crack bathroom countertop small crack wallpaper room . hyatt definitely nicer , except poorly design bathroom . one disadvantage one downtown hotel direct connection Metro underground city go outside block 2 either direction get back indoor . summer could care less winter mean carry around coat day like spend day convention center . for price pay certainly satisfied full price well Montreal , like Marriott Hyatt . 
 Jan 15 2007 	 Loved Sheraton Le Centre 	 get great deal room Sheraton Le Centre . first visit Montreal say hotel make special . room view fantastic , bed comfortable ever sleep staff lovely . food restaurant really excellent , breakfast anyway , staff make really feel home . not get single bad thing say , definitely look stay Sheratons travel abroad . 
 Jan 8 2007 	 EXCELLENT EXCELLENT Location ! ! 	 stay Jan 6th-7th . location incredible ! ' ve stay several hotel downtown montreal far good ! Montreal Canadiens game . Bell Centre literally across street ( 1 minute walk ) , shop St. Catherine , right around corner , plenty place eat well , Crescent Street 2 block away , train station 3 block away , 5 minute walk . room nice clean , standard . big bed ! beautiful view city . check put we floor fill university student , however quickly realize error send someone switch room quieter floor ! even get late checkout 3 pm ! ! would definately stay ! 
 Dec 29 2006 	 great stay great location downtown . 	 stay hotel 3 night - 3rd night free ! ! make unbeleivable value money ! hotel really nice .... room spacious well keep modern amenity . bar hotel beautiful bar large leather chair . restaurant also good catered well coeliac : ) pool also lovely great way end day walk street - even though parrot pool side frighten life : ) overall - excellent stay would recommend hotel . 
 Dec 26 2006 	 good choice . 	 wife stay mid September . location ideal walk metro , downtown attraction restaurant . originally plan stay near convention hall , not able book room time . fortunately make choice instead . area around convention center little seedy not much restaurant choice oppose Sheraton Le Centre . not eat dining establishment hotel many choice within walking distance not get use facility exhausted tour city stay . staff hotel friendly professional . overall good choice visit Montreal . 
 Nov 27 2006 	 pretty good 	 Good Location , nice pool whirlpool sauna , nice exercise room . not like bar could take son beer end day . crazy law say can not take kid kind bar kind bar . also , advise use valet parking . not end wait half hour parking lot attendant scratch head try figure parking bill two car ahead . 7:00 Sunday morning . also , watch minibar . little sign say move anything minibar charge . see sign , pick bottle beer look put back worried weekend would charge . fortunately charge . staff reasonably friendly helpful . also , book hotel Hotels.com bill US dollar . not know get tax back canadian Government . 
 Nov 5 2006 	 good value Downtown 	 hotel great lobby bar friendly staff prepare put fact speak french . room little tired probably time refurbishment terrific value money . breakfast slow good central need rush . will stay 
 Nov 2 2006 	 would stay 	 everything fine . check - in quick accurate . hallway well - keep quiet . room well - equip clean . heating system go quickly action . although yes , room 's decor bit old - look , old appeal cozy way , like stay someone 's grandma 's place . old kind dilapidate / grungy way . nice . bed comfortable . towel clean , bathroom amenity adequate . room service dinner grill cheese sandwich tasty . breakfast fresh berry fresh would serve kitchen , ' m afraid . 's probably complaint . I would stay ! 
 Nov 1 2006 	 hotel trick nothing . 	 Good Central Location room could make - over . compare Sheraton Toronto poor example . room 20th Floor , great view room look little jaded , clean . have good fun Bar , enjoy Kir Royale , excellent service nice chat too . great indian top Rue Stanley - Le Taj - outstanding . Hurley Irish Bar , worth visit atmosphere . Notre Dame wonderful Brother Andre Basilica , worth short Metro ride . all , transit hotel little atmosphere everything traveller need . 
 Oct 23 2006 	 good hotel nothing special 	 stay one night October way Quebec City ! room 24th floor ; great view ! ! nice clean ! ! problem - hotel like not leave mark ! be boring , look leave , barely remember ! ! 
 Oct 19 2006 	 good value great location 	 find terrific rate last - minute weekend getaway SPG website . nice stay year ago even though shine wear hotel since , not really enough diminish recent stay . we drive Boston area bellhop , parking valet front desk staff quick efficient . lobby always rather urban business hotel look I - no avant - garde , over - the - top luxurious detail , though , hand , be barebone hotel glare light fake plant . busy , yet hush lobby bar never seem closed matter late return evening . ( though not quote ) room comfortable clean . afraid bc fabulous rate have receive might translate inferior room room , linen furniture seem well - keep . ' m happy hear hotel may receive renovation though room indication , wonder could not put long ? , , perhaps satisfaction comes pay reasonable price . problem housekeep wknd . the location great . be walk city enjoy walk city though Montreal fairly large still access many city 's sight foot hotel - Mont Royal Old Port , shopping , restaurant , McGill University even & quot ; red - light district & quot ; dare . Montreal many , many , many fabulous hotel ( Nelligan , St. Sulpice , St. Paul ) -especially ' boutique ' category . special weekend , would absolutely recommend research -but quick comfortable weekend stay convenient location , Le Centre Sheraton fine choice . 
 Oct 17 2006 	 Loved Le Centre Sheraton 	 October 2006never Montreal , difficult time decide stay downtown area , recommend friend . decide Le Centre Sheraton TripAdvisor review regard location service . disappointed . location perfect , within walk distance historic old town , downtown , various neighborhood , mountain . walk everywhere . I stay Club Floor concierge club lounge include extensive continental breakfast , hor d'oeuvres evening , panoramic view . wonderful place meet socialize friend . also offer free internet access . room panoramic view river city , large , nicely appoint . well worth slightly add expense stay Club Floor . the service average . answer wake - up call shower , hotel call second time , send bellman room knock door . hotel staff helpful every respect . ambiance welcome one . would certainly stay future visit . TripAdvisor member , San Francisco , CA . 
 Oct 15 2006 	 desperate need love 	 ' m Preferred Gold , stay one Starwood Preferred floor . room indication give good customer , feel bad guest . get great deal room AAA promotion be run , would letter - write campaign corporate have pay anywhere close retail . while bed comfortable Sheraton Sweet Sleeper , similarity recent stay Sheraton brand hotel . chair fray & amp ; well - wear , carpet stain , bathroom dimly light poor fluorescent lighting . hotel desperate need full room renovation . one point make : unlike full - service urban hotel ' ve stay , security hotel somewhat lacking ... especially night . security personnel station ensure hotel guest take elevator guest room . bizarre encounter someone knock door 4:00am morning require call security resolve . 
 Oct 4 2006 	 good get well 	 stay Sept 16 - 23 great time overall . hotel great location , within easy walk distance everything . be right across street Bell Centre , right near St Catherine St nightlife , ton great restaurant nearby , etc . yes , even adult entertainment Montreal know right nearby . hotel orient towards business traveller tourist . some previous review note hotel need renovation . . 's new Sheraton standard . good news accord front desk staff , hotel schedule renovation December 2006 ! imagine nit mention remedied then . I double room 11th floor great view St Catherine 's St Mt . Royale . bed linen , etc , nice , although ( previous poster mention ) one double bed seem old mattress ( squeaky ) one new . furnishing room nice - exceptional , nice . yes , bathroom need update , much . wallpaper seam seperate year steam . yes , towel kind industrial soft fluffy , everything work fine . bonus curve shower curtain rod room shower ( ' m big guy much appreciated ) . room still nice marble . staff : great service everyone encounter . friendly , eager help efficient . two complaint though:1 . interactive tv system could check bill order movie work 2 7 day there.2 . price room service . know , know . travel lot usually stay & quot ; Westin level & quot ; hotel use high price room service . sheraton absolutely outrageous ! night get order burger fry , another side fry , coke . total ? $ 42 ! ! ! ! regular breakfast easily cost $ 30 . come guy , be outrageous . result , never order again . overall would definitely stay , especially renovation , would not stop stay even . recommend ! 
 Sep 30 2006 	 Great Bed - Rubbish Service 	 well , never bad service hotel ! ' m afraid go sound like real moan - want explain sort service expect .... start right arrival , sort luggage , check - in simply hand room key left work floor - info meal , facility , package book - despite queue people wait . not really appropriate , consider price hotel charge , be mean 4star . the next morning pleasure cleaning staff hold loud conversation outside door 7.30am ... morning well , not happen 8 am : - ) Breakfast also mess every day - check - in man forgot give we coupon , mean leave table , queue front desk get whilst coffee go cold . despite ' full american ' include package , not get thing three day stay - item miss , swap around , forget ! phone request housekeeping clean towelling robe ( one provide dirty ) ignore , despite promise arrive 5 minute ... annoy us mention complaint service check - out , attitude member staff ' oh well ' . much Sheraton promise ' if be happy , will sort compensate ' ! positive side , room nice , bed huge comfy , plenty fluffy towel . pool / whirlpool / sauna also good ( free ) . handy shop basement - concierge know lot local restaurant / attraction - can not fault : - ) location quite good - close ice hockey centre downtown shop . Overall - 's ok ... nice hotel , shoddy service . really worth 4 star money , opinion . 
 Sep 27 2006 	 good hotel 	 valid 4 star , slight pain backside not room morning 3 night stay ! rang room second time reception - charge we $ 1.10cdn ! ! Cheeky , could not bother arguing . another small thing - park hire car hotel car park , checking not charge one night , not notice try leave carpark attendent make like cheap - bloody carpark stuff hotel ! luckily cash , otherwise ? ? ? ! ! location good , Montreal 's ok , nice day , great night . many beggar , ' ve ever see anywhere . Toronto be well . I would stay , get great deal Hotwire ( £ 62 night ) . perhaps not leave room time , sure . send people room towel sort . hotel bar nice . 
 Sep 13 2006 	 perfect stay 	 arrive Sheraton Montreal hotel impressed walking . check without problem . walk room room well keep organize . stay convient downtown Montreal . everything walk distance . bed king size bed good bed ' ve sleep hotel . order room service room service quality food average . amenetie , especially teh swimming pool refreshing . definately use swimming pool next time . definately come back Sheraton Montreal . 
 Sep 13 2006 	 ordinary 	 hotel call LOBBY meaning get fool nice lobby n bar etc room ordinary . bathroom sink crack whole bathroom need upgrade . bed ok bad . location however great . would recommend hotel get price btw 75 - 90 dollar priceline worth 135 . 
 Sep 8 2006 	 okay stay need renovation 	 overall okay experience hotel . main complaint hotel need renovation . lobby nice get floor room , different feeling . stain carpeting hallway ( tell carpeting long time .. atleast floor ) . bathroom seem bit date ceiling need clean stain . we room two double bed . one bed comfortable one lumpy . hotel staff great . nice helpful . pay $ 18 / day parking . restaurant food average . ( french onion soup creme brulee good main course good ) .this hotel # 1 choice booking receive good rate room go . pay room think would disappoint , get pay for . even though complaint hotel , wonderful trip hotel spoil fun . ( admit wish go # 1 choice ) visit would try another hotel . 
 Sep 5 2006 	 Great Value Montreal 	 hotel great value book Hotwire Priceline $ 100 . room clean efficient , even couple old stain carpet . plus get room high floor , view rather nice . location good since close Metro stop Centre Bell around corner St. Catherine shopping street . be Habs fan , recommend stay Sheraton hockey season since across street Centre Bell . several good restaurant pub within couple block include Ye Old Orchard , McLean 's Pub , Peel Pub . lot great nightlife area highly recommend make trek McGill University , especially Frosh Fest . great taste Montreal , consider make way Eggspecation olive + gourmand old part city . be Latin Quarter St. Denis , sure stop La Brioche Lyonnaise good patisserie outside Europe . 
 Sep 1 2006 	 tired need renovation 	 compare Sheratons , think one way average . the room bite rough around edge need update furniture , soft good , bathroom . the Sweet Sleeper bed great , hotel upgrade bedding day , hardly big deal . I change room twice large room still find small fresh . I would go elsewhere next time ' m town . 
 Jul 31 2006 	 Quite good ! 	 Le Centre Sheraton well upkept modern hotel . lobby modern classy , beautiful skylight / greenhouse overlooks Starbucks . pool incredibly beautiful , wall mural classy feeling . life guard relatively attentive , parrot occassionally greet you . the room clean large . particular room mini - bar , careful ! much even touch snack , infared sensor immediately charge . floor non- smoke high one superb view . Sheraton & quot ; Sweet Sleeper & quot ; bed not comfortable however , stain one pillow . washroom date wallpaper , clean . Overall Centre Sheraton classy , ambient hotel worth re - visit . 
 Jul 12 2006 	 good enough 	 book two room 6/30 part road trip Priceline $ 110 per room ( processing fee tax ) . prior trip , contact hotel request King size bed non - smoking room . however , customer service representative not helpful phone book room priceline . check , not get king size bed . non - smoking room front desk claim smell like ash tray . part not happy . construction go front entrance hotel . room clean spacious . swimming pool basic , nothing fancy . location pretty decent . bit far old Montreal ( 20 minute walk ) , one black away big shopping street Rue st - Catherine , maybe 3 block away rue Crescent ( plenty restaurant / club ) .Overall , be bad deal price pay , would definitely pay full price . 
 Jul 11 2006 	 Excellent 	 hotel great ! room big . bed comfy ! view beautiful , good , location excellent ! walk distance everything ! even walk old Montreal hotel 30 min . complaint hotel staff . definetly recommend ! 
 Jul 5 2006 	 mixed feeling ... 	 stay Le Centre Sheraton July 4th weekend ( 4 night ) leave disappointed . first , ' ve stay hotel number time , time result book either Priceline Hotwire . previous visit well recent experience , take note . my main complaint put smoking room . not smoke never request smoking room , hotel insist reservation smoking . popular weekend , hotel book claim could move non - smoking room . offer send ionizer room , effectively nothing smell . return home , contact Hotwire tell Hotwire guarantee non - smoking room , beware use Hotwire . aside issue , room fine except bathroom . although begin renovation hotel ( hotel bar much well ) room ( bedspread new ) , really need focus update bathroom ..... tub spout leak daily , reserve tank toilet overflow number time , florescent lighting sink half towel badly need replacement . on good side , location ideal , particularly event Centre Bell , view room excellent . $ 90 / night generally pay Hotwire / Priceline , think hotel ok , highly doubt would pay $ 200+/night book direct . 
 Jun 10 2006 	 could not ask well location folk 	 wife stay hotel memorial day weekend , must say one good location hotel Montreal . drive Albany NY saturday 5/27 ( take 3 hour border crossing ) , get hotel around 7 pm , park underground parking lot $ 18 CAD 36 hour parking . Rue St Catherine couple block away entrance underground city . Sunday take bus tour Montreal $ 18 CAD last 3 hour worth every penny Driver drop we Notre Dame Basillica , take $ 5 get . walk Old Montreal back hotel 15 20 minute walk . way tour start Rue Peel Dorchester Sq also couple block hotel . room hotel small sufficient 2 people , bathroom clean , 30th floor fantastic view city . people hotel courteous , bartender lobby bar make mean vodka tonic . room well stock mini bar price ridiculous ( $ 9 one bitty bottle booze ) . pay $ 187 CAD room AAA well worth . please email anybody question . 
 Jun 2 2006 	 good location ok room 	 good part hotel location , able walk main shopping district , bell centre even old montreal . drive oympic stadium garden . hotel nice , room . nothing extraordinary . also small . small . room fit bed , entertainment / dresser , desk , chair ottoman . less foot space . however really room sleep shower . enjoy beautiful city montreal . weekend every chance get ... however , plan lengthy trip spending time room may want find big room . overall please , look nice clean hotel relax , near location want see , would recommend , know type person comfortable space look home feel would recommend . hope help enjoy trip . 
 May 16 2006 	 never stay 	 hotel tired need reno . room small practically trip bed walk room . smallness aside , bathroom tap leak charge everything top room charge . , bad make room . go afternoon come back 4 pm room do . speak manager assure we room would do go 6 pm . return 12:30am room still do . call speak night manager say could move we another room give we 500 Sheridan point . want change room time night be tired stuff unpacked want Sheridan point never plan stay Sheraton . 
 Apr 24 2006 	 good value 	 's nothing really wrong hotel , not think good value . room o.k . , bed squeaky desk lack ergonomic chair . bathroom large . internet connection expensive ( $ 14.50 day ) nerve charge phone call technical help not function properly ! charge extra everything -- internet , 800 local phone call , newspaper , parking ( charge high average ) . one happy exception indoor pool gym free much well average ( pool large enough lap -- , family not block lane play hotel 's supply beach ball ! ) . attend conference hotel , would suggest stay less block away Best Western Europa . 
 Apr 24 2006 	 Good Great 	 stay Sheraton Montreal 3 night . nothing exciting , nothing really wrong either . one big plus - breakfast server restaurant . everyone cheerful helpful everything try breakfast delicious . accommodate . fact everyone hotel friendly . 
 Mar 24 2006 	 great hotel 	 stay several time hotel good corporate rate . otherwise would stayed elsewhere . not think hotel particularly good value . nice Sheraton 's stay at . I arrive find lobby deserted -- bell boy help suitcase one behind counter reception . also manage loose laundry . room could clean . Noisy A / c.some reviewer say good area find downtown Montreal dirty full beggar unsavoury character . 
 Mar 21 2006 	 comfortable convenient 	 stay second time four night February . get good , quick service small need ( new lightbulb , extra blanket ) . fantastic view upper floor , nice swimming pool , reasonable rate . outstanding location comfortable bed . room smallish , adequate typical kind hotel . tiny quibble : last year , breakfast not particularly good , hour not work we . problem many good inexpensive restaurant along St. Catherine elsewhere nearby . favorite ( even picky child ) Basha . 
 Feb 21 2006 	 Great Hotel 	 stay hotel Feb , town hockey game . location perfect two block Bell Centre . hotel active , room quiet . staff accomodate . travel small dog treat well . room fair size , bed comfortable duvet lot pillow . would stay problem . 
 Feb 7 2006 	 Good 	 stay 2 night ( Feb. 3 - 5 ) find nice . nice Montreal 's boutique hotel pretty good . everything clean bed terrific . 21st floor offer nice view city Mont Royal . bar also chic bit trendy . room ready noon even though check - in 3 pm . self - park garage ( $ 18 ) .vs $ 24 valet . location perfect , since hockey game . Bell Centre basically across street Crescent / Bishop street 2 block away . St. Laurent St. Denis scene 's bit haul ( approx . 10 block ) . Metro stop close underground access . want great steak , La Queue de Cheval right next door . we issue charge & quot ; express checkout & quot ; bill leave door clear without problem front desk . would definitely stay . 
 Jan 1 2006 	 Best New year ever ! ! 	 come montreal celebrate New Years hotel make stay enjoyable . friendly staff , great hotel room big bed super warm . lobby area great , ate resteraunt yummy bar great atomosphere reasonable price . next time Montreal 100 % stay Sheraton Centre . 
 Nov 29 2005 	 Fantastic Hotel Stay 	 stay Sheraton excellent ... close hotel Bell Centre , 5 minute walk major shopping area . service fantastic bed super cozy ! ! overall , wonderful stay ! definitely stay . 
 Nov 13 2005 	 great hotel good location 	 ' ve stay many different hotel Montreal ( Delta , Inter - Continental , Omni etc ) far favourite . every time come service excellent , get room high ( 25 + ) floor , get good rate - $ 129cdn AAA . room little small side , well furnished ( amazing Sweet sleeper bed ) great view . even give pre - occupied room mistake ( first day new computer system ) get sort quickly fruit basket send room . location great , block St Catherine St , couple block Bonaventure Metro . gripe parking ridiculously overprice ( $ 30cdn / night ! ) force u take valet , mean another couple buck top tip . usually park elsewhere take metro , help avoid Montreal traffic ! overall , love hotel return . 
 Oct 26 2005 	 Starwood Platinum 	 Excellent location downtown , can not get much well actually . room bed usual standard brand hotel lack character . 
 Sep 21 2005 	 Convenient Location Large Hotel 	 return 2 night stay Sheraton Centre Montreal . large hotel recently renovate , adequately sized room , smallish bathroom scenic view city upper floor . 's major asset location , 2 block St. Catherine ( shopping ) , 2 block Peel blue line station , 2 block Bonaventure Orange line station . adequate service get job do much . 
 Sep 1 2005 	 close everything downtown without hussle great wonderful bed ! 	 location close everything want downtown without hussle & amp ; bustle : subway , Rue St. Katherine underground mall shopping , McGill , train station , starbuck , Rue Peel Rue Sherbrook walking distance ; two rental - car next door , direct bus service to / from airport several restaurant around block kind cuisine ! Old Montreal 10 minute walk distance enjoy day take taxi dark less 8 CA dollar . the room clean comfortable soft Sheraton 's signature bed . plenty room great view Rene - Levesque Blvd . Bathroom ok , plenty towel need wall cover update . staff nice : quick check - in get nice welcome gift part fare - package find Casino de Montreal website ( 50 % discount third night plus full breakfast day ) . deal post hotel 's website higly recommend check . concierge helpful recomending restaurant , bar & quot ; scene & quot ; . staff breakfast restaurant quick attentive breakfast plenty option watch diet . the indoor pool nice feature walk use every day along jacuzzi relax dinner . & quot ; small & quot ; fitness facility basic feature . if want great downtown location expect Sheraton 's feature $ 199 day full breakfast include ( check fare add - on ) place . back value / quality / location want . 
 Aug 10 2005 	 LOVE BED ! 	 every Labor Day weekend , husband stay hotel . we enjoyable time . hotel walk distance subway busy downtown area ( St. Catherine St. , Cresent Street , McGill ) . love it . it extremely clean impressive hotel . lobby die marble . gorgeous . staff accommodate come everything . 
 Aug 3 2005 	 great hotel love bed ! 	 stay Le Centre Sheraton July 30th weekend friend great . get amazing corporate rate room , $ 117 plus taxis . check - in fast efficient , hotel quite nice . location great shopping along St. Catherines Sherbrooke , little bit far Old Montreal ( Vieux port ) St. Laurent / St . Denis area . however , be Montreal , Montrealers -- walk everywhere ! ! Sheraton great bed ( ' ve soooo nice ) billion pillow . even express checkout , do not need go front desk check ! will definitely stay . 
 Jul 18 2005 	 great location ! 	 stay husband Saturday July 16/05 . check smooth , staff accommodate & amp ; efficient . one note : need pay extra car park - $ 20 CA / night . ask room view end 25th floor overlook entire city , great ! ! ! room clean nice , average size . 27 & quot ; television armoire . bed ( important ! ) wonderful .. absolutely plush comfortable clean ! great night 's sleep . order movie new release $ 10.99 CA ( add bonus fact get preview movie order one ) complimentary coffee in - room safe . 2 bottle complimentary water . washroom nice . location great - hotel one block St. Catherine 's street , find lot shopping ! really good deal street , many international name recognize . ( ie/ Mexx , Esprit , etc . ) hotel right downtown , close many thing . go lunch place St. Catherine 's street call Reuben 's great ! lot item menu - toast club sandwich 3 - 4 inch high shave meat , great pizza , etc . etc . would go sure . problem hotel start hear buzzing noise 6 , noise came go . disrupt sleep .. tell clerk check - out give we 30 % pain . happy . really great hotel , clean , comfortable perfectly locate . 
 Jun 23 2005 	 enjoyable stay 	 Stayed Le Centre Sheraton past month really enjoy fully . location good close downtown metro system outlying area . concierge staff extremely helpful recommendation along help we book ticket casino show . also must order breakfast one morning room service delicious reasonably price , complete fresh flower . finally price $ 98 hotwire per night wait get back Comedy Fest next month . 
 Jun 18 2005 	 's bad compare hotel Montreal 	 & quot ; 4 star & quot ; rating give hotel vicinity comparatively bad . note people , location good , 1 block away St Catherine 's . however , lot strip joint close may bit uncomfortable small child . , lot restaurant choice even out . I get nice corner room coffee maker not bathroom . be in - room safe . HVAC central one outside job . definitely surprise that . reception / concierge helpful , problem encounter . maybe ' m SPG Gold ? all - in - all , would come back . 
 Apr 29 2005 	 good location 	 good enough hotel good central location . Room Club floor ok Club Lounge beautiful . parking exploitative . disappointing thing Montreal - city seemingly catch timewarp . building 60 design street seem covered beggar junkie . shop good return . 
