every 	 book 4 night think would King Superior room . hindsight check reservation email carefully , state King Interior . something would go , say email miss that . on arrival , give room 2nd floor right back hotel , room big nicely furnish clean . view back courtyard . suppose call King Interior ! time day , go discuss disappointment room , 's location , view lack fairness Hotel , offer we alternative , upgrade cost even room sister hotel road . praise Staff that . sadly , initial contact / room Hotel make mark we want . leave Hotel consider refund accomodation pre - pay bill go walk . let consider room put we ....... view , small , 2nd floor back corner HotelWe go Marriott , couple block near Union Square $ 70 cheap Orchard Garden 2 night $ 2 cheap 2 night , able secure room much large , 19th floor wonderful view even well furnish . even throw Exec Lounge facility couple day . back Orchard Garden , eventually agree refund last 2 night accomodation accept promptly move Marriott . for initially pay room Orchard Garden initially give we , value money . yes accomodate room , not stay long enough sleep . read review need take account alongside previous guest review . 
 great hotel 	 like reviewer write : lovely hotel , comfortable bed , friendly staff great location . 
 Apr 18 2008 	 Pleasant stay . 	 choose Orchard Garden Hotel base high number positive review . travel two child comfortable two adjoining room 8th floor , one room suite . bed extremely comfortable , long desk mini bar , good shower / bath bathroom . find inconvenient bathroom nowhere keep toiletry kit , except sink . shelf small table would help . the breakfast include basic buffet juice , fruit basket , bread basket , boil egg olive ! location terrific Union Square shopping , well downtown Embarcadero . overall happy stay . 
 Apr 16 2008 	 wonderful stay City minor suggestion 	 Orchard Garden terrific hotel fantastic location . walk distance top Nob Hill , also easy walk Ferry Building . nice people , excellent service . comfortable bed quiet , spacious room . reasonable price $ 200 weekend , . not visit restaurant , use fitness equipment . spend time city instead . would recommend one thing : rooftop terrace could benefit improvement . opinion , rooftop space , make guest feel comfortable oasis within city . see Hotel Vitale SF Hotel Giraffe NY . great rooftop . visit Orchard Garden 's rooftop night , lighting not work . also not much landscaping not invite overall . not even really fit atmosphere rest hotel . , really like hotel overall get first call next visit . everything else great price location hard beat . 
 Apr 14 2008 	 great HQ SF visit 	 stay 4 night partner mixture business leisure . main thing like : -decor - hotel brand new , build decor , everything - room - plasma tv , great marble style bathroom , eficient quiet aircon , light airy room -helpful friendly staffWe probably small room hotel ( base plan back door ) would nice large room not enough issue ask move . thus size room must quite large ( estimate 350 - 400 sqft ) .There nice patio area top floor good view city . free wireless . an encounter illustrate helpful service hotel : last night fancy go burger . burger , nothing else would ! quite late spotted assume bar manager chat one collegue outside front hotel . ask good place get burger consider quite late . sugestion useful . however give getting offer rustle good burger us hotel restaurant want chance late . nice hotel restaurant realy aim quick burger fry market ! nevertheless , extreemly nice burger glass wine elegant surrounding hotel restaurant excellent helpfull service . little thing like make want return . case study good customer service . the location probably good base explore city . see review old sister hotel , Orchard , couple block away . if want great value , high quality hotel heart SF , look . 
 Apr 13 2008 	 Loved Orchard Garden 	 staff really nice helpfull . hotel really clean comfortable . dinner root really love . highly recommend Steak dinner , delicious ! location great , however , park little hectic pricey . would stay , hand ! 
 Apr 8 2008 	 comfortable hotel great location 	 hotel great location less ten minute walk Union square three minute tram stop . the hotel spotless staff friendly . there lot place eat drink within one minute hotel starbuck across road . the bed extremely comfortable hotel quiet night . we standard room view ok we . car parking ( valet ) hotel expensive 33 dollar per night park road Stockton Sutter car park less half that . overall really good hotel reasonable price . 
 Apr 8 2008 	 Charming Peaceful 	 everything go without hitch moment pull valet moment say goodbye valet . I particularly impressed & quot ; Green & quot ; hotel live 's philosophy standard . the room lovely , serene , comfortable quiet , clean . staff friendly helpful available need . bed comfortable pillow . flat screened tv wall , dvd player , cd player , lot fun stuff read . bar cozy Darrin fun accommodate . hotel prime location . breakfast downstairs Roots food good , service . not miss roof garden . take coffee drink enjoy view . kudo entire staff . shall return . 
 Apr 7 2008 	 honest review 	 girlfriend stay hotel 5 night end march.after long flight ireland lovely greet smile arrive check . five day hotel staff helpfull really nice friendly people.the room interesting , americans make big deal Green & quot ; key card & quot ; common europe year I m going get excite that.the good thing room bed ! wow huge comfortable.the room big city centre hotel never big.the point bathroom . ( 1 ) slide door dose fully close . really bug ( 2 ) shower terrible green fine still meet basic requirement honest girlfriend think would well chance washing hair rain.i think big winner hotel location staff.you close everything short cab ride fisherman warff.if pick hotel stay would consider somewhere else hotel suppose cover basic need like shower silly might sound really get nerve . 
 Apr 6 2008 	 Amazing Bed 	 good bed ' ve ever - go way San Francisco Florida nap ! 
 Apr 6 2008 	 Pleasant City Hotel . Good Location . 	 room compact well organize comfortable bed pillow , good light adequate storage . flat screen tv free wireless connection spotless , modern setting . bathroom well appoint Aveda product . water pressure seem weak , perhaps save water . the window open drawback want fresh air . although AC / heating system work well , noisy . also , avoid room adjoining room door . door soundproof , efficient staff move we right away quieter room . also prefer room face street room wall another building view . the buffet breakfast disappoint boring . well get rate without breakfast eat elsewhere ( french cafe across street ) . also , gym small claustrophobic . in many respect prefer sister hotel , hotel 's leedcertification emphasis sustainability appeal . hopefully , become industry standard . overall , staff helpful friendly making stay enjoyable . 
 Apr 4 2008 	 Perfect Hotel 	 great hotel good price location . loved modern decor bed great . single complaint hotel . good restaurant nearby , Union square far , public transportation within walking distance . would definitely recommend . 
 Apr 2 2008 	 Green credential 	 new hotel claim range green feature , seem stretch point somewhat . however pleasant stay particularly firendly helpful staff . minus point size bedroom ( small ) ; slide door bathroom not pretence privacy ; high bar price ( $ 14 glass wine ) exorbitant parking charge ( $ 37 per day ) public facility block ( $ 24 day . ) overall , good exceptional enough make want go back . Darrin , bar steward would make want go back though , entertainment value . scream ! 
 Apr 1 2008 	 good hotel 	 quite green . example room key card put near door inside room turn electrial equipment room , automatic turn thermostat upon leave room . comfortable bed , high - quality towel bed , good well - locate , good european breakfast include we , generally efficient warm service . 
 Apr 1 2008 	 Great Hotel ! 	 husband recently stay Orchard Garden Hotel . pleasantly suprise quality service provide hotel . rent car stay San Fran , comment parking rate . location close BART Montgomery station . block away close enough walk to . the staff friendly . greet we every morning leave every evening return hotel . also helpful providing map , direction , assistance ask . always smile face . room cozy . small . enough room husband . also request away noise get room not great view , since not plan stay hotel room htat long , matter much we . bathroom nice size well . one thing husband really impress hotel 's move & quot ; green & quot ; . husband knack forget turn light leave room , ' lightswitch ' activate hotel key nice touch . come really handy two reason : helps conserve energy able control light one switch , also helps always remember room key , allow ' turn ' light leave room day . & lt ; -- GREAT FEATUREMy husband impress price minibar , usually always expensive . also not use room service restaurant , fo rthe price . subway sandwich form across street sell footlong sandwich 5 dollar . hard compete . hotel price food also usally high begin . overall , enjoy hotel . would definately stay come back San Francisco . 
 Apr 1 2008 	 ` ` Great Stay '' 	 whole process simple start finish . start easy check room 707 ( king w/ view Bush St ) . room decorate cleanm tasteful . everything feel clean . main ingredient look hotel ; clean comfortable . overall stay great , except one thing frustrate last night girlfriend . want go dinner mission date meet friend ask Conceirge would suggest look like five head ( upper scale hotel spot come suggest restaurant ) . explain freind suggest Foreign Cinema Quince try make reservation place book . man stare stutter ask know anything similar might try . nothing ask map hesiatate second like do not understand . grab map luckiliy business center book reservation via open table Garcon . way quite quality meal . little blip quite satisfied would recommend hotel anyone . 
 Mar 27 2008 	 Love hotel 	 great green hotel great location near Union Square . ' ve stay hotel several time would go back . 
 Mar 26 2008 	 great experience staff room ! 	 wonderful stay Orchard Garden Hotel . room tastefully decorate spacious . front desk staff helpful friendly . provide great restaurant suggestion travel direction . also enjoy roof top terrace view city . hotel much energy conscious hotel stay . take care property impact environment . offer recycle room energy efficient technology regulate much electricity use room . may 100 % organic green every single aspect come pretty close . upon speak staff hotel , apparent great effort take sustainable . way ahead hotel LEED building . greatly enjoy stay great service great location . hotel brief 5 - 10 minute walk shopping near Union Square close financial district . not use , hotel offer complimentary town car service financial district . also 10 minute walk BART station ( Montgomery St. Station ) . hotel excellent stay next time visit San Francisco . 
 Mar 24 2008 	 beware 	 hotel come highly recommend look forward stay beautiful green hotel . upon arrival , quite favorably impressed room . room actually large San Francisco , quite clean lovely . the first thing distress hotel fact one Clif bar , find none mini - bar snack organic . stay green hotel inn around US Europe , lack organic food big surprise . hotel 's restaurant also say nothing organic food menu , although note use sustainable fish hormone - free meat . eat dinner anyway food quite delicious , disappointed not consider really & quot ; green . & quot ; come bad part . check ( one night stay ) find parking one night $ 38.00 + $ 5.32 tax . live city high parking fee , seem excessive . whatever -- be play money vacation anyway . find , arrive airport , give we wrong car ! ! ! ! ! ! ! another guest rent identical car give we . car still sit $ 2000 painting back . call hotel speak young man seem try put blame ( not notice wrong car ? ) . never apologize , ask want pay shipping painting . ? said not think pay -- ship cost , came damage pack carelessly . tell manager would call let know everything take care , , course , never get call back . there be . day later , find charge $ 100 credit card . husband call hotel say record charge , agree incorrect . charge suppose $ 43.32 ( overprice ) parking , operation manager say would refund we parking fee ( since give we wrong car ! ! ) .Big mix . today check card make sure give we refund . oh . not refund we % 100 + , charge we another parking fee ! Gee whiz , dip fund time feel like ! hotel not really green , will not apologize something go wrong , wary give credit card , otherwise be nice . 
 Mar 24 2008 	 Great Location Clean Hotel 	 one good clean hotel ever stay . hotel staff knowledgeable friendly . location good , next Chinatown gate . hotel room bit small manage enjoy . bathroom clean far good hotel bathroom ever see . business center nice touch fitness room really small . doorman always willing grab cab help whistle . also fresh fruit front desk nice walk grab something go . local pizza place two block Uncle Vitos nice place enjoy pizza . another nice place eat call Stinking Rose . great food good price . 
 Mar 21 2008 	 great location 	 Location great , right edge Chinatown Union Square Columbus Avenue within easy walk distance . not try food always go - plenty restaurant ( breakfast cafe ) within easy walk distance . room small well equip - bathroom big bedroom . 
 Mar 12 2008 	 Great Hotel Great Location 	 return form business trip stay Orchard Garden Hotel . clean , quiet comfortable bed . staff friendly helpful dinner reservation . 's 10 minute walk Convention Center minute Union Square . lot shopping restaurant nearby . negative water pressure . & quot ; green & quot ; hotel , low . sure actually save much water take 5 minute get shampoo hair ! also , & quot ; fitness room & quot ; treadmill , bike eliptical machine . however , get plenty exercise walk everywhere . minor issue we . stay ! 
 Mar 12 2008 	 Excellent Value 	 refer hotel business colleague . rate great location , book . incredibly impressed cleanliness hotel convienence offer . definately stay next trip . 
 mar 9 2008 	 Loved stay Orchard Garden 	 be business person look hotel either short long stay , must check Orchard Garden Hotel . come San Francisco work conference day enjoy stay hotel . room spacious , bed comfortable , clean hotel / room staff helpful ! ! location great - right near entry gate Chinatown , short work Union Square cable car . 's also small cab fare anywhere . would definitely stay ' back town ! 
 Feb 22 2008 	 Fabulous Stay ! 	 treat stay Orchard Garden Hotel . pick hotel business pick tab ' m quite pleased choose hotel ! upon arrival , promptly greet bag stow since room yet ready . get back car return several hour later room wait remember we hand we key bag w/o even ask we . Valet service exceptional ! never wait long car , worry rental car park . worth $ 37 24 hour ! go back forth quite lot complaint staff . room comfortable bed amazing ! bathroom nice accomodate nice ammenitie . not know provide Aveda product , nonetheless fine . great bathrobe , plenty shower space . check dvd front desk ( small selection something everyone ) also use iPod clock listen tune . room always clean enough towel provide . quite pleased cleaning staff ! also like hotel recycle bottle newspaper . location excellent . short walk BART , restaurant ( Starbucks , Subway , lil ' coffee shop across street BEST hot chocolate ! ) . front desk quick show we cost effective route wharf , restaurant , etc . never get lose commend front desk give we direction . downside not pay $ 250 + room , be like $ 200 less , be always find good rate ! internet little slow , big deal ! be look great stay place . 
 Feb 22 2008 	 right next Entrance Chinatown 	 one well hotel experience ' ve . bed extremely comfortable hotel immaculate condition . super quiet even though middle bustle city . room clean spacious . hotel staff helpful service friendly quick , especially front desk . bed turnover service available come home clean room chocolate next bed . order room service menu ( believe restaurant hotel next front desk ) food pricey expect not anything special . overall , great hotel stay would definitely stay . 
 Feb 18 2008 	 Nicest Boutique Hotel San Francisco 	 want luxurious sleep - outstanding service reasonable - well San Francisco - downright bargain - price -- Orchard Garden Inn hard beat -- beautiful green hotel -- outstanding 5 star hotel like service -- right gate Chinatown - easy walk distance virtually everywhere bay bridge side city . room cozy - modern - clean - bed amazing - comfortable not want get . would highly recommend gem . 
 Feb 18 2008 	 Oasis Business Traveler 	 experience two exceptional stay Orchard Garden recommend highly . truly & quot ; oasis & quot ; business traveler , offer high level service beautiful accommodation . staff helpful friendly , make even pleasure . fact also & quot ; green & quot ; hotel make stay even priority . 
 Feb 15 2008 	 little thing count ! 	 moment step travel - weary body hotel , instantly rejuvinate . shuttle door open luggage bring inside quickly check room . throughout stay greet employee request outlandish . complimenty newspaper outside door , great Aveda product , selection dvd 's watch flatscreen tv luxurious bath make difficult leave room sightseeing ! bed extremely comfortable bathrobe worth buy little luxury home . location - wise , hotel relax 10 minute walk Union Sqaure right next door China Gate . cab easy come valet service available car . room - service breakfast delicious would like atmosphere lovely french - style cafe across road . starbuck one block lovely sushi bar way . there fair amount homeless people part town never feel unsafe - even walk night . shuttle service arrive time take airport , lovely concierge offer towncar extra charge . look forward next stay lovely hotel . 
 Feb 11 2008 	 San Francisco Treat 	 stay Orchard Garden wonderful . husband Northeast Ohio book hotel surfing web reading . come Friday evening check Sunday morning . hotel exactly look . bed great ... comfortable room perfect . view book AAA generally interior room . other mention small room review size room issue we . fine couple spending weekend San Francisco . color calm soothe dvd relax night sleep . staff accomodate , particularly young man name Davis , certainly go way we couple travel . location could well step away Chinatown , two block walk cable car trolley streetcar . also cab hotel doorstep time .You also block italian North Beach neighborhood way Union Square .. several good restaurant street . .Sunday morning husband go Mass choice attend two beautiful catholic church within two minute walkas dress - winter dressy casual ... lot layer , glove scarf jacket , maybe dressier coat evening . whole S. F. Orchard Garden pretty casual . we definitely stay , much see . 
 Feb 8 2008 	 great value can not beat ! 	 wonderful boutique hotel great location step Union Square Chinatown . staff friendly helpful , room tastefully appoint comfortable . love Aveda bath product , California King size bed , cozy comforter , perfectly - weight robe . free internet access dvd add bonus . also appreciate recyle container room free newspaper deliver door morning . finally , price good , get great value money . fantastic experience would take lot convince stay anywhere else city . 
 Jan 29 2008 	 full mark 	 hugely impressed hotel - wonderful big room bed ; spacious bathroom ; please colour scheme ; fabulous breaktast . next Chinatown . eco - credential ; would say Orchard Garden set standard ( locally sourced organic food ; recycle bin room ; reclaim raw material ) hotel follow future . be cheap - neither boutique hotel reach similar standard city . 
 Jan 29 2008 	 Great Bed 	 spend several night find hotel comfortable , pleasant well price good location . bed super - comfortable . actually sleep night - amazing 28 week pregnant woman toss turn try find comfortable position . only two minor complaint . since multiple night stay , would like little variety , day day , breakfast buffet . , elevator ridiculously cold . , thumb 's . would go . 
 Jan 27 2008 	 top notch ! 	 recent stay Orchard Garden Hotel simply superb ! gem . truly beautiful hotel european flair , super friendly staff , great location boot ! room pure heaven super comfortable bed stunning bathroom . loved cushiony robe ! fact , mean buy set . the word warning would room rather small - other - sure ask see room case wish upgrade . since wife 's first time San Francisco request big room , also much well view -- amazement , Jim , manager time , make sure charge upgrade ! great ? thank Jim ! ( hope not get trouble ) .All , super delightful experience Orchard Garden Hotel . needless say ... WAY highly recommend ! ( pic come ) 
 Jan 23 2008 	 great location explore city 	 fantastic location friendly staff . hotel right near gate chinatown couple block shopping Market Street . would definitely stay next time ' m SF . big breakfast environmental consciousness plus , . 
 Jan 3 2008 	 wait go back ! 	 great find . perfect location , good thing hotel . beautiful , staff amazing , appointment furnishing lovely , Leed Certification way future unbelievable value . 
 Dec 31 2007 	 Lovey hotel return ! 	 beautiful , clean comfortable hotel . 's problem : climate inside room dry stuffy . choose hotel & quot ; green & quot ; atmosphere . room power place key inside slot near door . hotel also new allow smoking room plus often smell cigarette smoke air conditioning system . 's new hotel , apparently build code permit window open . place seal shut . assure new & quot ; state - of - the - art & quot ; AC system able adjust even allow outside air circulation . certainly case . buy cheap humidifier Walgreen 's attempt get moisture room . help bit . guess ' m confused description & quot ; green & quot ; overall phobia outside air . be green tip : also cut energy cost shut AC opening window ! 
 Dec 31 2007 	 fantastic location great service . 	 Super around ! hotel locate gate chinatown walk distance great shopping Union Square cable car line Fisherman 's Wharf . would expect SF , small room work 1 - 2 adult baby crib ( bring son we . ) portacrib fit bathroom . nice flatscreen HD Tv 's , comfortable bed , Aveda toiletry . would definitely stay recommend hotel highly . 
 Dec 30 2007 	 Best Kept Secret San Francisco 	 wow say ! 3rd visit , keep get well visit . room great , amenity nice , Staff incredible . free breakfast treat . previous stay , miss due sleep late . time make sure go eat . love fact hotel eco friendly ! great walk China town , right . 's close Union Square well . 
 Dec 17 2007 	 Comfortable eco - friendly convenient 	 first business trip city , choose environmentally friendly Orchard Garden , 3 block office away home . bed breakfast package good value -- fruit , cereal , baked good , cheese meat hard boil egg available . staff friendly , recommend sushi restaurant 5 block away instead one across street . room beautiful , clean , everything expect business - class hotel . will back ! 
 Dec 12 2007 	 Loved Orchard Garden Hotel SF ! 	 lovely gem .... minute walk Chinatown Union Square , hotel good place ' ve ever stay SF . small enough maintain intimate feel without sacrifice amenity . light bright , clean , beautiful room , nice staff , good food be not enough , be first completely & quot ; green & quot ; hotel ground . though inexpensive , value find worth every penny . look forward make permanent home base visit - business pleasure - San Francisco ! 
 Nov 28 2007 	 excellent hotel 	 husband love take road trip vacation stay many hotel across country . hotel GREAT ! nice location , central many place san Francisco nice part town . staff accommodate friendly . almost quite young still professional helpful . nice tv room , bed comfy . room overall cozy . would highly recommend stay ! 
 Nov 27 2007 	 great experience 	 great location . cute boutique hotel . Park Shop package , buffet breakfast include , amazing value SF . 
 Nov 21 2007 	 great hotel great location nice staff 	 nice hotel well run , hotel staff cordial helpful . housekeeping also polite care room invite bright - good lighting- perfect location downtown everything , able walk everywhere.sheet towel good quality . good value price pay . would recommend . 
 Nov 16 2007 	 nice cozy 	 comfortable bed ( + ) , like green hotel . nice tv . cozy room , typical san francisco . $ , sure can not well well . location great . also enjoy restaurant . 
 Nov 12 2007 	 come back 	 wonderful stay . room clean quiet location great . staff pleasant helpful . reason not give 5 star due attitude one staff person . ask direction , front desk person tell we go use business room print . explain hurry , person ignore we . thankfully , another staff person come help we . however , minor thing compare overall visit . come back ! 
 Oct 29 2007 	 Lovely Little Boutique Hotel 	 husband stay Orchard Garden Hotel part honeymoon 09/10/07 - 14/10/07 . 's small boutique hotel staff always helpful friendly . 's fantastic location ; right next door Chinatown . Union Square Financial District within walking distance , shop Westfield shopping centre . room clean ' green ' hotel separate bin room rubbish , bottle paper . view Bush Street not particularly attractive expect middle San Francisco ? ! ? ! safe wardrobe along iron ironing board ; also get free WiFi laptop . room also Flatscreen tv , IPod dock station coffee machine . mini - bar tray snack sensor . not eat use mini - bar soooo expensive . get option turn service night ; not bother 's nice touch . bistro downstair call ' root ' serve breakfast , lunch ( think ) even evening meal . breakfast include price room really nice . choice pastry , muffin , bagel , fruit salad cereal ; along tea , coffee variety fruit juice . also room service . also roof garden , closed stay ; not realise though go anyway ! give fantastic view city night . whilst one lift 's broke bit annoying suppose thing happen ; mean one lift work wait long usual . WiFi also go due flooding street ; thing happen , be really something hotel control ! mainenaince guy work night street try get problem sort though . main reason give hotel 4/5 gym . tiny room treadmill , crosstrainer bike ; someone work 6 day week bit let . use nearby gym think $ 15 per day quite pricey not bother . bar staff friendly , one even give we free tequila ! staff recommend restaurant well ask helpful regatrd direction etc well ; also book taxi 's / city car get airport etc . lovely stay hotel would definitely stay . 
 Oct 22 2007 	 return hotel definite ! 	 new hotel Bush Street , around corner gate entrance Chinatown Grant , really well put - together . hotel ' green ' , receive LEEDS certification . room small functional bed extremely comfortable plush . one two elevator particular indication would repair , honestly not mind . rate get include breakfast say breakfast great would not pay $ 14.00 not get rate . staff efficient friendly non - intrusive . rooftop garden nice place sit glass wine friend head dinner . would definitely come back hotel next time trip take we San Francisco . would hesitation recommend hotel : GREAT LOCATION , CLEAN , COMFORTABLE , right ! 
 Oct 18 2007 	 Okay 	 love & quot ; green & quot ; aspect hotel , stay nothing special . room small , really small we . hotel also problem result leak , one elevator work ( long wait ) roof garden available . the hotel staff nice , particularly helpful . example , need cab , suggest walk block another street find one . another example , want go movie ( rain , would already enjoy two museum ) ask nearby theater ; theater name give totally different list paper . figure , late go movie would want see . 
 Oct 18 2007 	 overall good impression 	 overall , pleased stay Orchard Garden . place perfectly locate block away Union Square Financial District , right next Chinatown . property impeccably clean , overall green - yellow color scheme soothe sophisticated . personnel generally helpful everything exception single minor maintenance request never attend , eve n despite extra reminder . tiny fitness room couple machine , business center hugely overrate & quot ; roof garden & quot ; basically use cast iron furniture - try seat one chair two minute fall butt frozen , change roast two minute summer . room 1005 - top floor king - spacious light . bed , mattress linen wonderful two - layer bath robe - local company & quot ; Telegraph Hill & quot ; - easily well ever worn . bathroom quite large , full bath vanity mirror . room safe , tea / coffee maker , hdtv unit , dvd player ipod docking station ( = alarm clock ) room . air conditioning unit effective noisy . reservation include complimentary breakfast - unfortunately , selection five morning row . valet parking $ 32 + tax . there two specific concern would like bring fellow traveler ' attention may quite annoying . firstly , room access card deactivate time use access business center . trot front desk card reprogramme visit business center . another - potentially quite embarrassing - concern slide bathroom door . lock inside , 2 1/2 - in gap around whole door panel opening rest room . bear mind exciting bathroom sound - smell - , strongly doubt solution correct ... summarize , apart two ridiculous flaw discuss , wonderful hotel , much recommend . 
 Oct 17 2007 	 New Favorite Hotel 	 San Francisco conference wife find hotel internet . web site appeal location within easy walk distance convention center . also locate next active area City include Chinatown Union Square . , attract we mostly hotel & quot ; green & quot ; , construct guideline United States Green Building Council . book room . from time arrival departure , disappointed . design modern exceptionally clean . staff ( staff ) helpful friendly . wife prefer small hotel large chain Orchard Garden fit perfectly perception . room exceptionally tastefully furnish include large , flat - screen television king size bed . many energy conservation measure incorporate construction hotel apparent appreciate include power on / off room key , low - flush toilet , flourescent light bulb , etc . room price include breakfast staff accommodate meet special diet requirement . regret regard food opportunity eat dinner restaurant . menu appear wonderful . this stay whenever San Francisco . new favorite hotel . 
 Oct 17 2007 	 Wonderful Hotel ! 	 nice hotel , incredibly friendly , extremely helpful staff , lovely room , nice breakfast buffet , great location , good value . would definitely stay next time ' m San Francisco , would hesitate recommend other . 
 Oct 16 2007 	 Loved Orchard Garden Hotel 	 visit Orchard Garden Hotel October 5th , 6th 7th Friday , Saturday Sunday . find & quot ; green & quot ; hotel internet decide give try . exceed expectation . upon enter hotel , find decor beautiful fountain calm hectic day travel . front desk staff friendly efficient take minute get we check room . typical hotel smell . lobby room smell fresh clean look . bed one good part visit , comfortable sheet feel soft look like new . buffet breakfast Roots Restaurant inside hotel excellent get we way day happy full ready great day site see . location hotel perfect . Entrance Gate Chinatown step away , easy walk Ferry Building catch wonderful weekend market . also , hotel far public transportation . busy day , enjoy drink bar root long talk bartender . staff great would definitely stay . 
 Oct 15 2007 	 clean convenient ! 	 start 15 night road trip honeymoon 5 night Orchard Garden . book room hotel open get good rate . room spotless , lovely king size bed great view onto street . bathroom quite spacious , not keen slide door . agree poster annoyance room put water fridge provide . Breakfast include say good selection . staff friendly , overly . location wise 's perfect . minute road cable car stop hill Union Square . would recommend hotel would stay right price . 
 Oct 14 2007 	 good base explore San Francisco 	 new hotel , locate right next China Gate entrance Chinatown . within easy walk distance Union Square plenty cafe restaurant close . room stylishly decorate even though room one floor face street , pretty quiet . nice toiletry bathrobe supply . continental breakfast provide excellent selection fruit , pastry , bread & amp ; cheese cereal . front desk staff helpful . on - line booking work fine , reminder e - mail send we day stay reassuring . hotel provide comfortable start three week road trip around California . would hesitate recommend stay . 
 Oct 12 2007 	 Orchard Garden wonderful hotel 	 wife visit San Francisco week . Based Trip Advisor 's user recommendation choose Orchard Garden Hotel great experience ! staff helpful , room , big one , lot option usually find hotel e.g . plasma TV Ipod docking amplifier . room super clean prepaid breakfast include . definitely recommend hotel . 
 Oct 11 2007 	 hotel follow suit 	 stay 2 night business trip . location great . check - in quick , staff courteous attentive . free ( european ) breakfast good , heavy - coffee , fruit , hardboile egg , ham , various kind bread , love pastry . the room , although small side , immaculately clean , nicely furnished , relax bed , flatscreen tv . bathroom actually good size , cramp , clean . be weird though , hairdryer portable one . normal one see hooked wall bathroom . the water pressure shower weak side ( opinion ) .check - out uneventful . would recommend hotel anyone , especially since 's LEED - certify hotel . way go ! 
 Oct 10 2007 	 Excellent Location - Beautiful Hotel 	 beautiful hotel , ideal location shopping business district , especially town business . love fact next door China Town , love visit store eat . close major shopping area trolley car . room bit small expect , especially base picture show site . one person , ideal , husband come along , would feel bit cramp . like fact frig prestocke point could put drink leave food . item frig moved , automatically get charge whether consume . would prefer everything take completely leave usable frig . need make note move item dot 20 second automatically charge room good , even knock . luckily tell maintenance guy accident good . otherwise , clean , comfortable bed , nice bath tv channel option . need add hot tub use balcony roof end day , walk . thank ! 
 Oct 10 2007 	 Great Botique Hotel 	 nice stay Orchard Garden Hotel , locate near Union Square great access shop nearby . staff helpful friendly . room nice clean . interior room much view room long . price pay expensive thought , $ 800 2 night . ' m sure something go city regular rate room . also walk - thru door next room sound proffe good . would probably stay check well rate . 
 Oct 8 2007 	 comfortable stay wonderful staff 	 call Orchard week visit last ditch effort get room due positive review see Trip Advisor ( book somewhere else ) . lucky find open room although front desk could lower price ( hotel book full capacity ) include breakfast stay help . everyone great . although official concierge desk like big hotel person go way help we find look . person give we personal service always 110 % .Our room clean comfortable . brother big environmentalist already recommend recommend everyone go San Francisco . honestly think bad thing say Orchard Garden . enjoy stay ! 
 Oct 6 2007 	 good hotel 	 find Orchard Garden excellent boutique hotel San Francisco . reason not get 5.0 rating ambience , find little sterile . it leed - certify hotel , mean follow environmentally - friendly practice energy management overall business practice . important stay . disappointed quality experience . the rooftop garden nice although wish bar . bring enjoy . ' m surprised people not . location excellent , northeast Union Square make even walkable North Beach waterfront well Chinatown ( next door ) .The room clean , excellent comfortable bed . not eat restaurant can not comment . breakfast include rate good spectacular . modern decor light color wood think little sterile looking . 's complaint . would certainly recommend , however . 
 Oct 6 2007 	 Flawless hotel ... 	 highly recommend place . can not fault way . huge room pack facility large bed wonderful bathroom . complaint weak strength wi fi signal room weak use . otherwise fault hotel location excellent 
 Sep 30 2007 	 wonderful Hotel San Fran 	 travel solo wonderful experience Orchard Garden . other state , property new , clean , calm serene atmosphere . roof garden wonderful clear day overall emphasis environment throughout hotel inspire . location perfect - walk Union Square , Ferry Market key location - trolley / cable car Muni close hotel transportation option plentiful . hotel rate include complementary breakfast excellent breakfast morning across street nice french cafe - less money would pay OGH.As far concern , enough property like anymore heart great urban area . OGH gem ! try go SF ! PS - request car service SFO last morning . driver time rate exactly quote day . 
 Sep 25 2007 	 relaxed vibe 	 really great hotel lot charm . clean modern efficient . love fact 's LEED certify . staff courteous although surprised one help get bag room . contintental breakfast also right point . get great rate room town conference ' m sure would pay post rate $ 339 night . room little small - perfect one person 2 people would make much tight . overall great experience . 
 Sep 24 2007 	 Excellent hotel 	 wonderful 3 night stay Orchard Garden Hotel . 's great boutique hotel , clean reasonably price . service friendly helpful . location could not well - close Union Square , Chinatown , restaurant . would definitely stay hotel next time be San Francisco ! 
 Sep 23 2007 	 Excellent hotel great value money 	 arrive Orchard Garden Hotel heaven 13 hour flight Sydney . check - in ease room within 10 minute arrive . room clean , spacious comfortable . must say good thing room bed , amazing ( good sleep age ) . stay hotel 3 night find location central , within walk distance Union Square close cable car . I would highly recommend hotel . 
 Sep 23 2007 	 Perfect Experience 	 Orchard Garden Hotel low - key , understate quietly luxurious hotel . be almost zen - like quality place . walk room immediately feel completely relaxed . staff could friendlier helpful . highly recommend . 
 Sep 22 2007 	 great comfort location 	 impressed three night stay . high standard combine unfussy quietly competent service front desk . Orchard Garden excellent location shop , restaurant explore city . complementary breakfast good quality experience US hotel , bed appear magical ability cure two harden insomniac . 
 Sep 19 2007 	 wish not leave Orchard Garden Hotel ! 	 daughter visit Orchard Garden Hotel 8 night thorougly enjoy experience . double , double room view lovely good size , bathroom . location superb shopping walk around . friendliness helpfullness staff great plus , enjoyed sample house cocktail ! room service excellent meal restaurant . altogether , stay Orchard Garden Hotel delight . 
