go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Jun 20 2005 	 great hotel great price 	 hotel great price perfect need ! pool nice size , never get crowd sufficient amount towel , chair close bar ! walk strip little far taxi almost always available pricey not want take walkthe room large clean . fridge perfect bring bottle water snack . the casino great place learn game venture large casino drink special sweet ! would definitely stay . 
 Jun 19 2005 	 Comfy quiet 	 get back stay Tuscany . large double bedroom first floor block c , right next main hotel area far road . like hotel could get room without go lobby casino everytime . fact , casino side lobby could easily avoid altogether gambling . make use fridge kitchen area go local 7/11 buying supply . walk strip 10 min find hard go . use monorail lot get strip . go back Ballys via Race Sports Book monorail entrance around corner . room large comfy clean . problem whatsoever . construction work go next door ( be construction go Vegas ) bother this . we use restaurant pool comment those . this hotel ideal want nice comfy large room , fridge . not mind short walk Strip want peace away action bling bling slot machine near enough want . 
 Jun 14 2005 	 nice stay fall soon 	 huge room full kitchen -- range , microwave half - refrigerator -- oven . be upkeep . 's property make several three - story building nice landscaping . be three year old several thing fix room not . mention loose shower head backspash separate wall , front desk not really interested . 's strip , morning evening , 's bad walk -- two long block . heat summer day , will want take cab -- be expensive . casino boring smoke - fill , since not go Vegas gamble , not big problem we . ant kitchen -- one two every morning -- since third floor , assume ant build . get room $ 50 night Travelocity definitely good deal whole trip . oh , mention room gigantic ? one caveat -- construction go next door . not let put build construction side . start work early 3:45 , morning around 5:00 . 
 Jun 13 2005 	 roomy comfortable close Strip .. 	 stay 4 night day Tuscany 1st week May 2005 . 's location great Strip 6/10 mile away . price room much affordable major hotel Strip . room big , comfortable , a / c , big tv , fridge big bathroom . food affordable service great . use pool time use next time . my complaint use pc 's business center . bit confusing expensive use short time . hotel make user friendly affordable would use . love use internet would like see well system . try figure printer use confusing . think pc printer letter identify - & gt ; , B , C , ... etc . overall , would stay Tuscany . ground beautiful ... sort like botanical garden look ! ! ! nice ! ! service front entrance exceptional ... always someone help fast . be also nice casino blend next eat area . like lot . recommend hotel Las Vegas visitor . 
 Jun 12 2005 	 Luxury Reasonable Price 	 recent stay Tuscany one comfortable relax many visit Las Vegas . first time stay off - strip , well - know facility , little nervous first . upon arrival hotel , greet friendly staff member , point forward , everything fall place . room gorgeous . surprisingly large beautifully furnished . everything look new clean ; first people ever stay room . kitchenette huge plus , especially come keep drink cold hot summer day . the hotel short block strip . someone use walk much , could far comfort , we , perfect hotel close enough strip enjoy excitment Las Vegas far enough away escape omnipresent & quot ; ding - de - ding & quot ; slot machine . could walk directly unit ( secure door ) without walk 10 - 15 minute typical casino get guest elevator . a little secret enter back Bally 's , comfort air - conditioning , walk Bally 's Paris ( connect ) get Aladdin strip . moreover , catch monorail , conveniently locate back Bally 's , quickly take part strip . ( monorail run every 5 minute . ) happy experience Tuscany . rule stay different hotel every visit Las Vegas , simply sake new experience . case Tuscany , however , willing let rule slide book room . tuscany provide luxury comfort reasonable price . be look pleasant trip Las Vegas without getting catch hustle'n bustle strip , tuscany good choice . 
 Jun 12 2005 	 shabby 	 encounter rude people , casino active obnoxiously loud crowded ; quiet enough friendly table guy explain game rule we ( be newbie ) . eat gourmet restaurant one night FABULOUS . staff deal helpful friendly , pool even waitress take order drink . mix people poolside ( kid occasion ) , nice relaxing , good place base camp time strip ( though walk strip will ready take cab back rest time ) 
 Jun 7 2005 	 Waste Money 	 restaurant bad food ever eat . four member party order steak . steak burn crisp . waiter dump food leave part unknown . guess afraid would say something horrible food . stop long enough drop bill . waste time money place . 
 Jun 3 2005 	 excellent sized room 	 Tuscany suite well positone stroll ' strip ' . room really large clean - fridge kitchenette . enjoy pool surrounding , relax . 
 May 31 2005 	 Great Place Sleep - not expect frill 	 stay Tuscany May 20 - 23 , 2005 . location pretty good off - the - strip hotel . block half Las Vegas Blvd . Flamingo . pretty much right behind Bally 's . ground keep pretty nicely . casino , would avoid bar quick drink go . casino frequent local , exciting . pool area awesome - nice , clean pool , poolside bar service . 3 guy gambling trip , pool welcome distraction . plenty drink , girl bikinis , many kid . letdown enough lounge chair . must get pool early want get chair all . the room large suite . one include two double bed , table chair , couch , club chair , end table , tv , dresser . spacious clean . bathroom nice separate room toilet shower , tub , sink assessable other . everything good condition working order . hallway building room slightly unpleasant odor . sort like strong orange chemical smell . clean staff speak English well . stay strip hotel ( Paris , NYNY , MGM ) find hotel relax spacious ... remember , away action . want thick thing , would not recommend hotel . also would recommend car . although block half Strip , HIKE ! ! want walk several time per day . , want roomy place relax gambling club , car , place . look excitement non - stop action , stay Strip . 
 may 30 2005 	 perfect we ! ! ! 	 come back 3 night stay Tuscany . fifth time Vegas , stay downtown Bally 's . far Tuscany favorite place stay . find like two vacation one . pool area , absolutely idea block strip . one breakfast buffet , award win , acceptable , espescially $ 6 . find staff fine , room huge clean ! ! ! block strip , although bit wait time taxi , still much easy get one large casino right strip . ground well landscape care ... attractive ! ! ! go back , definitely recommend friend . look value , can not imagine well deal .. oh yeah , new Vegas , keep gambling downtown ! ! ! 
 May 20 2005 	 love Tuscany ! ! ! 	 wife stay twice last year -- first birthday , wedding day . love . new Vegas , Tuscany perfect off - the - strip hotel . quiet , secluded , nice pool , comfortable room friendly staff . surround european traveler , give add dimension Mediterranean theme . first night , eat Marilyn 's cafe ( casino downstairs , open 24 hour ) , even though service absolutely terrible -- wait half hour greet -- still charming , collection rangy Vegas & quot ; type & quot ; nearby table definitely worth see . price , tuscany great . be high - roll Vince Vaughn wannabe , stay Bellagio . be look something inexpensive , quiet clean , go Tuscany . 
 may 17 2005 	 solid around 	 back Tuscany -- May 12th - 16th . I stay $ 89 / night special rate arrange seminar attend . would ' ve prefer stay strip , rate weekend could not pass . hotel 10 - 15 minute walk strip . time take 8 minute ( ' m quick walker ) get back Bally 's enter near Sports Book walk Bally 's strip want . basically different 3 level building locate property , be build . as room ... great imho . nothing super fancy , nice , clean , large . say bathroom over - size well separate shower tub separate door toilet well . single 30 year old , family hotel would especially appreciate . room one big area -- full couch chair opposite side room bed ( ) . tv dresser along wall b / t windows b / t bed living area . small kitchen area right door be face tv walk room ... live area directly past kitchen table bathroom bed right . nice small fridge water pick nearby convenience store . bed fairly comfortable . 27 & quot ; tv network , CNN , ESPN , WGN , maybe TNT . interactive channel ( auto checkout , movie , internet ) not work day there . the casino small relatively speak not gamble . supper Tuscany Gardens ( specialize italian ) adequate , great . receive $ 10 entree coupon upon check - in . price reasonable . also twice eat Cantina , mexican restaurant casino area . adequate , great . bean come complimentary chip salsa especially good reason . breakfast buffet Marylin 's Cafe last morning ok well ( egg not good ) , cheap $ 5.95 . want little bit , work ok since hurry . something menu may better . mention place nearby eat like Lawry 's , etc . coffee shop / juice bar well near lobby / gift shop area . there pretty large complimentary workout room area lap pool another jacuzzi locate . nautilus machine , free weight least 4 treadmill / elliptical machine . main pool area attractive well ... although not swim , sit drink phone . in Review : know be look , Tuscany Suites might right alley . would nice break hubbub Strip . not mind walking not plan Strip every day might good choice ( especially consider price ) . walk could get old . also family would room spread feel cramp room . would think hotel would draw old crowd majority time ... like senior citizen old , 35 crowd sure . be big time gambling poker , not place either . would good family stop Vegas business traveler would think . come solely party , would stay strip . situation really work perfect . positive : -- price ( even special rate 's typically bit less 3 - 4 star strip ) -- room size , cleanliness -- relax ( away ) mood -- pool area -- complimentary exercise room -- separate lap pool 2nd jacuzzi -- relatively cheap drink bar ( $ 2.25 domestic bottle ) negative : -- food ( ok ) -- Walk Strip -- Cabs not plentifuli not know will stay b / c generally not go Vegas anything big party , go business whatnot would not hesitate stay . 
 may 16 2005 	 far rude 	 mother stay Tuscany May 8 - 14 conference . bit dissappointe arrive . although Strip look close , bit walk - 15 minute . get Bally 's Flamingo 's far anywhere else . first guy take bag arrive taxi not offer help rude ask take . front desk cold not seem enthuse - may reduce rate reason treat we poorly . try get bag bring room ( room separate building walk outside get ) , call bell desk 3 time one answer . finally call front desk receive bag 45 minute check . eat cafe first evening , although waiter nice , food anything . guess 's expect 24 hour cafe . Maid service good , little pushy get room clean . staff speak English make much difficult communicate need . also , pretty sure someone enter room first day clean . come back morning clean leave light . return evening light sink partially fill water . cost $ 10 take Taxi strip ( Mirage , Mandalay Bay , Wynn ) . shuttle service offer call taxi . player club ok . take buck cash anything ( least $ 150 ) . free souveni deck use playing card casino . slot loose ! one see win . slot airport well . overall ok . least room big clean . although refrigerator stove , microwave pot / pan / utensil cook . try heating leftover metal container stove start smell like would set fire alarm eat cold . checkout charge $ 10 extra Friday night hotel sell - try dispute front desk say could not help call sale department - work get straighten conference people 's help . conference move Flamingo next time - really look forward since strip . car want cheap rate clean hotel good family work . want mostly strip not car would suggest pay little stay right strip - will save money taxi cost . walk strip daylight fine , night , much . add though , polite helpful oriental man make vacation little enjoyable . good staff person Tuscany . 
 May 13 2005 	 Clean Quiet 2 block away Strip ( near Bellagio / Caesar 's ) 	 2 suite Tuscany Suites , May 4 - 7 , 2005 . hotel recommend co - worker read review website : hotel . 95 % comfortable booking , anxious check time room quality ( quiet , clean etc ) .check - in 3 pm arrive 230pm . check - in fast , 2 ppl front 3 girl reception counter . get 3rd floor ( top floor ) rear unit , face away street . not adjoining suite , get right next . room clean huge . bathroom literally oversized .. full bathtub shower + toilet diff . room w/ door . total 4 adult .. 2 room , nice space . I get 2 suite thru expedia , website indicate room sell date . request 2 double room get request . worried would not fufill request , ! kitchnette mini fridge , table w/ 2 chair , microwave , sink plenty cabinet space coffee maker w/ free coffee pouch . tv nice cuz could turn accord room , could watch tv bed sofa chair / table have . the suite break shower door , call housekeeping tell wait repairman show . way wait 10 min , leave . turn fix get home . room , one lamp bulb 's need change , not call since enough light . the AC bit noisy , would not turn sleep , low about . the hotel locate .5 mile strip , like location strip we . end teh strip close bellagion , caesar 's , bally , wynn hotel . huge block , flat walk , trek , depend kind shape in / heat factor . walk Wynn hotel take top 25 min . good walk get excercise in.across hotel Lawry 's , japanese restaurant , Hamada Tokyo , street PF Changs .. good restaurant near . could not find starbuck near , later hear one nearby , kind hidden . oh well , still survive . would definitely stay , since property look like 3 - 5 yrs old . not see bug . parking nice cuz park walk right bldg entrance , put hotel card key enter . annoying visit casino strip , get ' thru ' , would take leaset 15 - 30 min . get old fast . check 12 , check 11:30am . 3 - 4 ppl ahead we , 5 min wait . fast we since pre - pay room . overall , checkin - out really fast . the casino / restaurant next bldg hotel . nice foot traffic thru hotel . eat hotel ( thank god ) try go eat , think chinese dinner advertisement ( think buffet ) $ 5.95 poorly write . instead $ 5.95 1 chinese entree . staff not care explain question sign . guess pay get . left go PF Changs . negative experience would report casino restaurant ( marilyn 's ) . 
 Apr 29 2005 	 Adequate facility 	 stay Tuscany April 17 - 19,2005 . Suite ok , however , people stay room noisy . could hear walk around room . double bed room soft uncomfortable . hotel employee courteous . overall impression adequate . would consider stay next time ask room third floor king size bed . 
 Apr 26 2005 	 Acceptable 	 husband spend last night Grand Canyon vacation Tuscany . book room online directly hotel find room face electrical substation . overlook lush ground advertise online . disappointment . ceiling crack loose tile bathroom . room large clean . Dinner Tuscany Gardens tasty service par nice restaurant . breakfast buffet Marilyn ' Café horrible . never powder egg guess . hash brown drown grease . fresh fruit tasteless . overall find Tuscany acceptable place spend night convenient airport would return future . 
 Apr 25 2005 	 would not recommend . 	 husband stay hotel 1 night April , 2005 . would say overall experience hotel little average . outside , build look clean ground seem well keep . room big average hotel room see . bathroom big average also separate shower bath tub . room ' luxurious feeling though even though request non - smoking room room non - smoking sign , room well floor funny smell reason . another thing ' give we room type ( 1 King Bed ) request . get 1 PM lady front desk tell we ' room 1 king bed ready we check ask we come back 3 pm . say ' get non - smoking 1 king size bed come back . come back around 6 pm check get room , room 2 double bed . call front desk right away say ' room 1 king size bed leave . guess could complaint hotel staff ' want go hassle one night stay . say uncomfortable sleep night . reservation mix , smelly room , so - so accommodation , ' think ' recommend anyone stay hotel….unless get 30 buck night deal something . 
 Apr 23 2005 	 typical Vegas Hotel 	 Tuscany typical Vegas Hotel . instead huge tower walk mile parking lot , casino elevator 17th floor -- rather Tuscany spread many small building sprawl ground level parking lot ( huge cement multi - level like strip ) . room clean , large , little kitchenette sparsely decorate . certainly decent , elegant . expect marbel , granite glitter . sheet towel little well Motel 6 quality . price vary wildly depend occupancy . pay little $ 35.00 much $ 135.00 . room rate Vegas vary due occupancy convention town -- sometimes great deal . hotel 2 long ugly block east main tourist attraction strip . strong could walk avoid traffic jam , would feel physically mentally comfortable cheap cab ride . casino , bar restaurant ok glamourous big place strip . business traveler like place . go direct clean affordable room avoid grind casino keep return . hand hear female traveler state feel safe confine tower casino walk outside away crowd security . overall bad place , great either . want walk everything , eat drink excess stagger back hotel spend couple extra buck strip . 
 Apr 4 2005 	 great place kick back 	 stay three night enjoy thoroughly : large , well - keep room 3 - story unit ; attractive ground pool ; good quality gym lap pool . casino large enough full variety game overwhelming . enough people lively overcrowded . Strip two block away -- easy walking distance . on - site comedy club good quality . not come want marble , glitz , room service ; like tile , large room , relaxation , be great place . 
 Apr 3 2005 	 Fun Vegas 	 come back 4 night/3 day vacation Las Vegas stay Tuscany Suites . sound , large suite . able obtain King bed suite tub shower room clean maintain . strip least 1/4 mile Bally 's head Flamingo Rd . long walk end day walk strip . block Vegas normal length city block do not deceive appear short distance . fourth day take taxi back forth tired walk everywhere . monorail accessible Balley 's Trolley . bus come strip stop Bally 's either walk end day bag want head home via transit etc . eat cafe breakfast strip many awesome choice dinner spot . breakfast buffet small work . dinner would recommend P.F . chang walk distance Tuscany Battisto ( Hole Wall ) italian food . wonderful venue reasonable . staff friendly accomodation good . coffee could better poor quality coffee shop everywhere strip necessary make room ... cafe coffee . microwave minifridge however mention review utensil therefore must bring disposable need . join Players club receive free gift ( large souvenir mug ) booklet useful coupon . join till day last could use coupon , use free drink ! ! ! ! go would stay walk however would also well know transit system maximize free trolley 's ride strip . monorail pass worth money save leg walk home end hectic day . average rating size room travel another couple space nice visit other room without feel cramp . option tub / shower also nice spacious bathroom . time room price right walk worth . 
 Apr 1 2005 	 Great Value 	 stay one night ( 3/20 ) . pay $ 79 night ( Sunday ) book hotel 's website . beautiful ground facility . free parking . room large sofa chair , small kitchen table , kitchenette , nice size bathroom . nice casino . short walk strip convenient . complaint rather long wait check 2:00pm - 20 minute wait line . definitely recommend budget minded - great value . 
 Mar 31 2005 	 Best Value Vegas 	 stay Tuscany 3/19/05 3/20/05 . could not believe close place Strip , Hard Rock bunch restaurant . right next couple convenience store shop well . check - in check - out take less 1 minute ( compare 20 min . Strip ) . room huge , clean nicely appoint ( except double bed ) . would bargain king size next time . fridge room come handy . hotel ground beautiful -- pool area . staff friendly helpful . casino nice change pace busy downtown Strip scene . 's lot natural light casino 's smoky . crap dealer great teacher ! be stay next trip . 
 Mar 28 2005 	 great hotel ! ! 	 stay Tuscany Suites Casino weekend 3/25/05.the hotel ground beautiful plant , tree , flower throughout walkway . room huge meticulously clean ! 3 block walk Bally 's . definitley stay ! ! ! 
 Mar 24 2005 	 Superb 	 10 minute walk strip situate close Bally 's , Bellagio , Paris hotel . the room superb base , large , clean quiet . good value bar grill cantina ! 
 Mar 21 2005 	 never stay ... 	 reserve 2 double bed , arrive available get king pull bed . 3 night stay , needless say pull bed get pretty uncomfortable . , however bad . arrive tired 11:30 pm . get room , bed pull . call bring sheet bedspread & quot ; blanket & quot ; . bring pillow later . start make bed , sheet stain dirty . daughter sleep bedspread night . morning , request clean sheet blanket . bed make return , , blanket . go follow morning request blanket promptly deliver , will not bother book . service extremely poor , food good ( eat one breakfast decide eat elsewhere ) , overall , good value price . recommend look around . much well deal . Vegas LOT room ... 
 Mar 16 2005 	 good value money . 	 book Tuscany busy NASCAR weekend strip hotel expensive . book hotel $ 149 / night . room huge cable tv kitchenette ( dish though . ) 2 double bed , non smoking room . bathroom big roomy . Breakfast Marilyns Cafe Casino . Buffet $ 5.99 6 - 11am good selection food . check - in ok - the staff definitely overly friendly . see post less accomodating staff . bell man kind give attitude ask cab would come . hotel locate behind Bally 's , 15 minute walk strip . would stay . price room size incredible value . 
 Mar 9 2005 	 great Holiday - would stay 	 stay Tuscany 3 - 5 November 2004 . room huge bathroom . room hotel nice clean . hotel 15 minute walk strip . casino separate room make feel less crowded put people wander suitcase ! cafe good value particuarly good breakfast . clean tidy service courteous fast , negative cafe could access casino apply majority eat place Vegas casino . 
 Mar 8 2005 	 love Tuscany ! 	 place great . spacious room . great service . overrall great experience . also close strip . 
 Feb 11 2005 	 do not eat ! 	 whilst room claim 600 sq ft whoever calculation would not like measure house anything . furthermore & quot ; kitchen & quot ; afford utensil cooking facility . therefore able & quot ; self cater & quot ; . first morning go view buffet breakfast surprised consider food offer . locally far superior buffet reasonable price . staff generally invisible ! good experience hotel nearby location 24/7 store ...... look we ! ! 
 Feb 5 2005 	 nice ! 	 boyfriend visit Vegas often stumble upon Tuscany way back home one trip decide look . book next trip pleasantly surprised . room big , almost like apartment ! refrigerator , microwave stove handy leftover keep liquid cold ( usually travel cool nice worry ice ) . be low maintenance traveler , could not tell hotel staff - besides , get park near unit , be really need use valet . 's short walk strip . get great winter special deal website , be usually much pricy rest year . would definitely stay , discount ( hotel worthy pay much money , especially be spend much time room ) . 
 Dec 30 2004 	 away hustle bustle ... 	 husband stay Tuscany Sep 18 - 21 , 2004 . find property well maintain attractive . , mean , luxurious resort adequate relaxing . room clean see insect . property locate couple long block strip , wear comfortable walking shoe . convenient Bally 's Flamingo . like large room , however kid , aware suite open area . utensil room eat cooking , fridge microwave . not mind walk , like quiet retreat hustle bustle strip may place . 
 Dec 26 2004 	 Great experience ! 	 husband & amp ; stay Nov. 6 - 8th , 2004 . pleasantly surprised read negative review . room first floor build C. clean , spacious , comfortable , quiet . find location perfect need . short walk strip convienient show & amp ; restaurant want visit . surprised delighted quiet night . far casino restaurant Tuscany , bother big facility close ? negative reservation could find arrive , quickly resolve courteous staff . also key card work exterior door near parking area , big deal walk around door . could rare heavy rainfall visit . we certainly get money 's worth definitely stay . people hard please guess . great experience ! 
 Dec 23 2004 	 Great Deal Price ! 	 get back Dec. 21 , spend three day hotel get great deal one popular internet travel company . price happy . large room , double bed little light weight clean . bathroom large imaculate . love casino another building , bring child great walk smoke fill room go room leave hotel . parking right outside building kid great time pool . 's quiet place like solace strip , restaurant especially Cantina great . , look decent place roomy , good parking , casino hardly ever crowd , near everything safe great place budget . would come . 
 Dec 19 2004 	 bad bad 	 come back hotel December 17th , 2004 . stay hotel 5 day , 4 need plumber unclog toilet . resort use casino go bathroom . people work clueless . look like big deal , 's problem . one speak word english communicate almost impossible . hotel pretty , doubt . room spacious . ' m tolerant go Vegas three time year decide try somewhere new . let sum , would rather sleep street ever stay ! ! ! ! 
 Dec 7 2004 	 worth every penny 	 return form 3 night stay hotel 3/4 mile strip make close everything . room large extremely clean , entire premise . staff helpful , casino small make friendliness game attendant . open weekend NFR , not sure property , th security staff keep everyone quiet check , say large hotel visit weekend . would recommend place friend heartbeat . 
 Nov 26 2004 	 Great 	 return stay , probably well stay . one small point 1 member Waiting Staff could polite , otherwise problem , clean , good size room , good small Casino , Staff helpfull . 
 Nov 16 2004 	 Pleasant surprise ! 	 return trip Vegas , stay Tuscany November 10 – 14 , 2004 . problem either staff room . room BIG , kitchenette , sofa , dining area , etc . many channel cable , though . room third floor building mostly quiet , except occasional noisy guest hallway . appeared clean every day , include fresh towel ' ask they . we spend time pool jacuzzi , never crowded , food Tuscany Gardens restaurant good , service hotel restaurant GOOD.Antonio concierge helpful booking Dam tour we , point restaurant free show . even call we camcorder , leave office.15 minute Strip busy , well - light Flamingo Road – walk night never worry safety . overall , great stay . ' stay , however , next time ' Vegas ' probably stay another hotel stay someplace different . 
 Nov 8 2004 	 Miserable Night 	 family rent 2 room Tuscany . check staff helpful ... seem rush hurry we way . get room ( late night ) find ant . try call font desk could get hold . go back front desk ask could get hold .... not reply . tell ant problem say would get someone spray . time want go bed , ask another room . finally give we another room another building . would recommend stay hotel . front desk non - existant unprofessional . 
 Nov 6 2004 	 Big room ! 	 find room acessible , quiet , , , large . less would pay strip , room couch , kitchenette , etc ... food hotel awful , service so - so . hotel generally boring , quiet ! hotel weird smell get use . oh guy call cab awesome . 
 Oct 7 2004 	 Tuscany - ok money 	 stay Sept 26 - 30 , 2004 Tuscany last - minute , good deal package could find go .. WORRIED two July post roach ... roach , weird thing verify post : -the room never vaccuume , arrive leave . know becuase bit thing ( hair elastic , fluff , crumbs ) remain ( roach crumb would go ! ) -yes , duplicate print hang right beside other - bad SERVICE ! ! rely bell boy hold cab , arrive go . two taxi driver tell we driver like go due poor hotel service , unlike large hotel , taxi stand . note taxi legally allow pull tourist go hotel somewhere along way wherever go . cab closet end strip cost $ 8 - 10 - hotel staff quite apathetic , mirror post . really lack service large hotel.-the phone system sucks - find nearly impossible use canadian calling card surpass hotel system . well use lobby payphone quick call -movie $ 13.95 US find upon check ! ! wow $ $ good stuff / other : -for people like feel apart chaos place . 10 + min walk Bally 's , 15 strip , least.-the pool area verrry mellow quiet casino ( nice staff , fancy experience ) -cheap eat : load teh salad bar get sandwich eat pool - get 's magazine .. go Tropicana comedy club 2 1 ( 25.00 total ) - blast ! -the room huge , yet area boring not want stay around . hotel restraunt sketchy 7 - 11 nearby.-great micro fridge bring leftover Bellagio buffet ha . 
 Sep 29 2004 	 Little Italy desert 	 return great 2 week Tuscany Hotel . read review little apprehensive whether make right decision ... . tuscany breath fresh air 100+degree desert . be look friendly , quiet ( face like large hotel ) , large clean room , low rise building beautiful palm tree set swim pool actually sit around without bombard scream teen also provide plenty shade sun become much ? tuscany ideal location . the Tuscany 5 minute walk strip , ( 1 1/2 block Americans ) , well light main road give chance experience bright light good night sleep end busy day . this 3rd visit Las Vegas stay Bally 's Monte Carlo although hotel excellent Tuscany definately edge we . away biz ... meet people world hotel ambiance peaceful friendly people take time talk . service reception friendly bell porter could helpful ... maid service second none towel bed change daily .... 24 hour security hotel obvious guard ( woman & amp ; man ) friendly anyone ( young elderly ) like nice walk evening without go strip Tuscany 's 2 1/2 acre make lovely night stroll give plenty photo opportunity . 
 Aug 21 2004 	 over - nighter 	 book hotel alittle apprihensive becaue reveiw read site , someone know say great place think would give try anyway . book hotel room directly Tuscany ask non - smoking room , fold couch . arrive non - smoking room . tell front desk desk pre - pay non - smoking room . say call morning make sure first come first serve . tell tell book . time bed opend couch bed non room . casino nice service good . orde drink never see server . maybe order drink dollar machine Betty Boop nickle michine .. not know . next time stay Vegas stay well hotel well service . 
 Aug 21 2004 	 Tuscany suite -- good value money 	 stay two group August 2004 please Tuscany . stay various hotel Las Vegas year think certainly good price range . hotel perhaps half mile strip Flamingo sit small ground , make pleasant change high rise block . room large one party couple child room , lot extra space setee & amp ; armchair good . room also refrigerator & amp ; microwave & amp ; cooker ( utensil notice though ) . pool area grass good sized consider number guest , pool clean nice area keep clean . stay Excalibur year back pool area invariably litter , overcrowd quite dirty - nice change . also check quickly never see people hold reception , bit novelty Vegas wait hour check . get pay yes think might odd niggling problem like wardrobe door fall fix quickly overall value money .... 
 Aug 10 2004 	 deplorable customer service Tuscany 	 stay hotel trip last month friend celebrate 40th bday . hotel beautiful , suite , not far walk Strip . customer service every aspect hotel deplorable . start front desk , continue pool area ignore cocktail server , extend hotel casino main bar bartender not know mean good customer service . room service also lack . bottle champagne suppose suite arrived - show 4 hour later . I would definitely recommend stay place save buck like . next time go Vegas , ' m stay place Strip reputable share belief little customer service go long way . 
 Aug 10 2004 	 good value large room 	 stay tuscany time . large room , 600 sq . ft suite , price reg . room strip . front desk staff helpful , along restaurant staff . eat cafe time , good price average food . can not really expect great food $ 1 - 2 special . small quiet casino , great gettin away noisy , smoke - fill strip . maid service okay , though take fulfilll request . though walk strip , bad driving , since 's location allow use less travel road get around traffic . definitely stay future . 
 Aug 7 2004 	 expect ! ! ! ! 	 stay Tuscany form July 30 , 2004 - August 7 , 2004 . check go well although need crib one available follow night . hotel strip within walk distance walk would want take late night . want walk strip hotel would recommendation . room big separate sleeping area . problem toilet paper holder rip wall , stain floor expect fairly new hotel . staff helpful enough , although sister problem casino security guard rude child casino . never vegas understand way get anywhere without walk casino . pool area crow end sit grass decide swim afternnon early evening . great Vegas experience going come back would DEFINATELY stay strip . 
 Jul 20 2004 	 Tuscany Suites 	 Tuscany Suites spaceous well clean neat . good part not spend money room . extra money show food . second time stay , go back Labor Day weekend ! short walk main street . big saving wallet ! wife not spend time Vegas lay around Hotel room , spend money BIG hotel room .. 
 Jul 5 2004 	 ok 	 stay Tuscany 2 night June 04 . walk strip , hike , not pass store restaurant way . book room Travelworm tell suite . huge room 2 bed couch . one tv . want suite kid could sleep adult stay awake . kitchen area , microwave ( none available ) although 2 burner , pot pan use . ask discount coupon , fun book , etc . desk tell book Travelworm , entitle discount . ask concierge restaurant menus restaurant close stay , tell read magazine room . bed fully make second day . pool area nice , though . stay , never know Vegas , quiet . great rate , ( 43.00 / night w/o taxis ) would rather pay well Vegas experience . 
 Jul 4 2004 	 infest cockroach 	 absolutely terrible experience hotel would recommend even enemy . place full cockroach . find week . complain , give new room , also full insect , nowhere run . ask compensation , refuse manager , allegedly prepay vacation ( get gift certificate small amount coffee serve horrendous food . ) complain next day another manager , tell sarcastic manner would gladly help find another place happy Tuscany , would pay . say want room free bug , say guarantee all . by way , problem , though bad . first day arrival , could open room door ( break lock , smt . similar ) , transfer another room . second room work safe , spend time wait repairman come fix it . well , experience hotel real nightmare , really nothing nice say it . lili 
 Jul 4 2004 	 Infested room unprofessional management 	 Booked Tuscany hotel Expedia read review suggest decent place . location good . although be 500 m Strip , really feel hot weather , however . place look nice enough pool area plain picturesque . the place infest bug , however . know expect occasional meeting local wildlife go occur , however can not handle cockroach , spider silverfish , would suggest place . bump 4 large ( 8 cm long ) cockroach within 36hr signing room . will also bump outside late night cross path walk building hallway building . complain , management unfriendly eventually agree move another room . room large spider nest cele directly bed . know cockroach harmless ( though disgusting ) ' m sure spider south , stick first room . well devil know devil don't . the staff friendly not power actually anything . management simply insult . 
 Jun 27 2004 	 Excellent choice 	 first time visit Las Vegas not sure stay . pick Tuscany good decision make . excellent place . room large clean . whole property well keep . return would definitely stay Tuscany . 
