great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Jun 25 2009 	 cough engine 	 stay two night Encore three night Mirage . previously stay Hotel Bellagio . four Mirage obviously target " masse " bear mind " factory " work surprisingly smoothly . long request – however small . machine start cough . here " highlight " : - day arrival 12:30 pm check fast . make kind request room face pool area . " certainly sir " friendly response girl check - in . long walk casino floor elevator . mean long extremely crowded casino floor . two six elevator serve low floor order . long walk elevator room . room surprisingly nice except " issue " come back later . open curtain reality strike right face . room face casino roof howl air - conditioning equipment right front window . go reception ask anyway possible change room – even money . response automatic " ' sorry fully book " . later prove lie . ask anything could . direct talk " manager " . eventually difficult job planet find another room . room would become available 3 pm . ask could possibly get pool face room . " certainly sir " friendly response . come back 4.30 pm give room 22nd floor . , face casino roof , highway importantly railway track . bother continue struggle.- night somewhere midnight 4 , every nightA long train rattle whistle . second one third … noise highway railway clearly hear even 22nd floor . barely imagine would like low floors.- poolThe pool nice two waterfall . ' however shallow far small hotel size . busy day ' need arrive early find spot . say early mean 8 ( summer open 8 am ) . 8.40 already full difficult find deck chair reserve . People get pool 8 reserve chair leave . observe hour " reserve " chair towel remove . entrance clearly say reservation . highly advertised bare pool lounge : music play loud , nearly empty maybe high cost . adolescent peep tom . - parking garage second night @ 9pmI arrive back hotel . find free parking place surprisingly easy . open car door get car see someone approach shout steal parking space . see even car . turn around person try kick – miss inch hit side car . go quickly back car . car receive second third kick . drive quickly away call 911 since guy start follow - first running friend ' car park somewhere away elevator . Police arrive . ' thing . end story.- finally word roomwhen remodel room could get rid odd headboard . shout 70 ' positive way . bed excellent – even well Encore stay two night trip Vegas . bathroom small . tv toilet like Encore ( anyone need tv ) . however could change fitting renovation . wall appear paper thin hear everything corridor floor you . you possibly watch tv choice channel limit bit odd . news channel , weather channel many advertisement channel feature Mirage MGM Mirage property . - finallyAs City Center rise hight else Las Vegas Strip seem dwarfed . massive Bellagio sign look miniscule City Center background . eiffel tower Paris Bellagio appear " normal " sized . mention lion front MGM – merely kitten . 
 Jun 24 2009 	 Tropical Closer trip island . 	 stay 6/10 - 6/13 , 2009 daughter 's first time stay Mirage . like tropical feel hotel . see Terry Fator show love . Terry talente , great comedian , awesome singer . 40 yr old daughter not want go show , afterward say , & quot ; glad go . funny . & quot ; draw back go straight casino get guest elevator . always hotel map get lose . 
 Jun 24 2009 	 Love Mirage 	 husband get marry Las Vegas back October decide stay Mirage -- really glad . Mirage not really ' theme ' hotel nice , def . upscale affordable hotel . feel like hotel great want something nice can not afford expensive one like Bellagio , Wynn , Venetian . everything nice clean , upscale , along nice lobby giant aquarium behind check . zoo dolphin habitat go see baby dolphin -- cute ! room average size remodel clean . everything look new fresh modern twist . also location wonderful -- strip access good , walk 1/2 block get street right across Venetian , next Ceasars Treasure Island . want eat cheap Mcdonalds , Panda Express Chipote across street . 
 Jun 24 2009 	 wonderful Birthday celebration Vegas 	 husband & amp ; travel Las Vegas 3 couple celebrate birthday . our flight land 9 ; 00 afraid would able check room . case , get room include 1 couple upgrade suite . we also wait list cabana friend upgrade give priority able rent one day . shade offer plenty sun want tan . water mister , ceiling fan , flat screen tv ( guy could watch golf ) , fridge stock water , soda , cheese platter , fruit platter & amp ; assorted otther goody . wait staff wonderful well . able order drink & amp ; food & amp ; bring right we . the cabana rental well worth $ $ group . pool really big & amp ; thousand chair pack ! chance we get 8 chair together really slim . music playing & amp ; alot go , probably real good place child : ) room nice well . clean & amp ; nicely update . nice closet room safe & amp ; iron / board . flat screen tv , iPod dock plenty room unpack choose . room decorate well friend suite . ( must gotten suite renovation yet ) . great view pool & amp ; part strip . we eat California Pizza Kitchen , BLT Burger & amp ; Japonais .... good . we pleasantly surprise casino smoky past . people play table game , slot ! dinner Delmonico ( Venetian ) one night & amp ; disappointed saw & quot ; & quot ; Bellagio . acrobatic & amp ; water illusion fantastic alittle & quot ; & quot ; we . have great time Coyote Ugly ( NewYork NewYork ) , good music & amp ; great energy . the guy golf Royal Links & amp ; great time . 
 Jun 24 2009 	 Magical Mirage . 	 arrival inform upgrade another room . wow room bottle champer inconveniance .... inconvenience I . anyway although huge hotel busy one great time . we gamble little drank little used buffet California pizza food place . centrally locate easy get around would hesitation use hotel recommend other . pool also second none . 
 Jun 24 2009 	 comfortable large not ? 	 daughter find Mirage nice comfortable Memorial Day weekend could not upgrade we check . not take we long check , quite hike desk elevator room . change room first nite leak next floor bathroom fine not suggest upgrade either . overall though good stay quiet time room . like close everything strip , good place stay , right thick thing . 
 Jun 23 2009 	 pretty nice place problem 	 spend 3 night Mirage Vegas . check breeze . ready however walk thru smoke infest casino . glad see check room key let elevator . room extremely nice clean bed comfortable , oh GOD door slam hour night huge huge problem seem could put sort device door stop this . and going make casino smoking feel sorry people work People bring baby think .. love Bette Midler ! ! ! ! ! ! ! ! 
 Jun 22 2009 	 Better Hope nothing break Room 	 check - in nice quick . room ok . go use bathroom room hot water faucet would shut . call housekeeping tell would send someone right . left room several hour come back - hot water still run . call front desk tell would send someone right . wait left dinner , come back couple hour later - hot water still run . time approximately 8:00 p.m. tired long day . call front desk complain say would send someone . tell send anyone night long day want relax , already call twice go close bathroom door . guess ? tell send anyone comes knock door 9:30 p.m. fix faucet . water run approximately 8 hour . good note , pool really nice . 
 Jun 22 2009 	 Perfect stay first time Vegas 	 husband travel Las Vegas get marry May 2009 . read number review trip advisor concern stay Mirage need worried fabulous ! arrived greet lovely man take bag we say call room luggage would deliver . little apprehensive leave luggage wedding dress one case joke , assure worry . enter hotel awe beauty lobby finally arrive . check smooth long would expect room get sort family friend we . husband stay one suite amazing . fabulous . call luggage bring within 10 min , problem . also ask extra hanger bring promptly . everything room good working order complaint . housekeeping excellent never see honest think . room clean every day even day do not maybe leave room till lunchtime . restaurant sample lovely try . buffet little expensive weekend alot food good selection I m sure eat enough get money worth , big appetite definately worth . majority staff encounter friendly enjoy gambling casino croupier laugh . drink could slow time little annoying notice seem like day . do not win big think that s fair say casino really . pool lovely , although waterfall be not work stay 12 day really nice area sunbathe soak sun . order room service wedding day little pricey deliver time food excellent . order night ensure get want . complaint stay Mirage elevator . 3 work majority stay wait sometimes get room honest do not ruin holiday minor hassle coming go much anyway . go see beatle Love show would highly recommend . amazing theatre set even do not buy expensive seat still get good view good ! really amazing though , definate must see ! wee tram TI great use alot restaurant good . volcano must see really impressive ... heat come intense add moment ! ! would highly recommend Mirage location strip perfect really lovely hotel . despite hotel visit still feel Mirage something really great place stay . 
 Jun 21 2009 	 Fabulous Stay Mirage 	 stay MGM Signature last year worry Mirage would good need worry think Mirage well ! room 25th floor fantastic view strip Mirage pool . room spacious , modern clean . Room clean daily issue . impressed variety restuarant hotel eat several . must try pizza 's California Pizza Kitchen . BLT burger also good . price food drink average comparision strip hotel . check process smooth staff friendly . location hotel ideal definately good part strip . hesitate book hotel return next year , well worth visit . 
 Jun 20 2009 	 great stay Mirage 	 great time 4 night stay . check fast easy . never wait elevator room clean , comfortable quiet . light bulb burn closet , let housekeeping staff know promptly replace . the hotel staff friendly helpful . dealer floor supervisor fun make feel welcome ( spend gaming time ) , great service late night meal Carnegie deli . pool area nice , despite hot busy , plenty lounge chair available . not check Bare ( adult pool area ) , dolphin area restaurant hotel , can not comment , overall find hotel fun , full activity , plenty see . would difinitely stay Mirage next trip . conveniently locate totally meet need . 
 Jun 18 2009 	 Beautiful garden lovely breakfast ... '' 	 first experience & quot ; Strip & quot ; hotel please . first impression good garden around hotel ( volcano ) beautiful extensive . location good , 's free tram Treasure Island 's short walk Las Vegas monorail system . check fast friendly . fact staff encounter two day fine - polite efficient . room good value consider ; hotel undertaking improvement , room yet improve , ok . two large bed , large modern tv satisfactory bathroom . problem cleanliness . deal include $ 50 credit Cravings buffet pleased service selection food . fact like much call week later , even though stay different hotel . mark Mirage & quot ; Good & quot ; although & quot ; Good & quot ; accurate , Tripadvisor offer option : & quot ; Average & quot ; & quot ; good & quot ; . mirage value money ( weekday ) even be stay hotel , gardens buffet well worth visit . 
 Jun 18 2009 	 Mirage - good - bye great hotel 	 Arrival - wife come back Las Vegas trip 06/12 - 06/15 stay Penthouse Suite Mirage hotel . wife always stay Mirage hotel since vip status hotel always receive excellent service . wish true trip . book Penthouse Suite month advance request volcano view . arrive hotel , noticed people check hotel good sign . year ' ve Mirage , never see lobby empty Mirage . go Guest Check - in window gentleman check we give we room back hotel overlook highway . politely ask front hotel act like could care less say Penthouse Suites available front . suggest check back day two . ? say never mind take Penthouse Suite e-50 . elevator - still work elevator work . room - Penthouse Suites nice old worn . light bulb burn entertainment center miss complimentary robe slipper . know sound petty neglect happen Steve Wynn own hotel . would also like mention entire weekend floor see 1 couple floor . entire e floor silent day night feel like entire floor . kind amazing since check - in clerk tell we Penthouse Suites front take . would expect hear see people e floor . Hmmmm ! crave Buffet - think name imply crave buffet somewhere else . wife never buffet bad year eat Las Vegas . selection food limit food terrible . also wrong signage station idea look . good item like Gelato ice cream dessert . yummy ! nerve charge $ 25.00 per person awful food . never ! Slot Machines - turn Las Vegas penny nickel arcade ? could believe penny nickel slot machine floor . slot machine play ( .01 , .05 , .25 , $ 1.00 ) tight . casino try keep gambler away ? play penny machine 300 credit play dollar machine receive well payout ? Show ( Terry Fator ) - admit Terry Fator awesome put excellent show . little hesitant pay high ticket price guy puppet live 7 piece band stage part show . sit row GG seat 5 & amp ; 6 7th row center stage . excellent seat ! opinion , Terry Fator worth ticket price ventriloquist , comedian , impressionist put great show . check - out - check Mirage hotel lady ask stay hotel . inform issue definitely agree Craving Buffet say original buffet excellent hear lot complaint new buffet agree . issue , act like could care less . conclusion - wife decide last time stay Mirage . Mirage use excellent service always well please guest employee morale low neglect show hotel . future stay either Wynn / Encore , Venetian , Palazzo hotel . 
 Jun 18 2009 	 Great Time Las Vegas Mirage 	 love city Enormous hotel Mirage . full service pack service incluide . although rare style deco , room ok stay day . we really didn´t use room all . the casino great , show every night , cocktail love restaurant around . we stay one week . nevertheless run money .... : ( ( 
 Jun 16 2009 	 one good Casinos strip 	 stay couple friend penthouse . room comfy full amenity . would service superb keep win make overall trip little well : ) 
 Jun 15 2009 	 Fear Mirage 	 stay Mirage Monday June 8th Thursday June 11th , 2009 . monitor Tripadvisor week prior visit little concerned staying reviewer unkind , say least . however , find hotel nice . arrive 11 am walk right check counter . one else check . could get room right opt wait room high floor view Strip . tell room might set 3 pm check back lunch 12:30pm ready . location great . room ( except suite ) remodel . bathroom small small average hotel room . $ 5 daily tip housekeeping staff insure plenty clean towel , toiletry , prompt daily cleaning . hotel date ( 20 year old ) clean . pool cold however usually around 100 degree Vegas cold good . waterfall work . ' sour ' smell pool other note sour smell , salt . mirage pool saltwater base . far ' debrie ' pool worth note pool area tropical . lot palm tree , flower drop little yellow flower pool deck . would count flower debrie . staff friendly helpful . drink expensive pool large . consider $ 18 $ 22 32 oz alcoholic drink ( keep glass ) bad deal . really need one . get pool early ( 10 am ) want good seat . anytime day seat available may easy find . the Stack restaurant good . ask prix fixe menu . $ 29 per person great deal food excellent . BLT Burger also good . Combo include burger , fry , milkshake $ 19 portion right . would recommend Mirage would stay . 
 Jun 15 2009 	 could ask 	 check 2 pm wait . room view pool good partial view strip . Room update nice . comfortable bed ever . every staff member encounter go beyond always smile . little something everyone oustande pool area , Secret Garden attraction , spa / salon / shopping Volcano view later evening , free tram T / I Pirate show close anything else strip . buffet good area spotless . good place 1st time visit Vegas . 
 Jun 15 2009 	 Fantastic 	 wife stay one bedroom suite June 7 - 10 must say throughly enjoy everything stay . room terrific great view entire pool area include dolphin pool . plenty place eat , drink relax . love lobby casino area , always lively fun . pool area one good ' ve experience , fee though tropical enviroment . plenty seat , may difficult find one 11 am . 
 Jun 15 2009 	 wonderful stay Marage 	 first time visit Las Vegas read review TripAdvisor reserve room Mirage 5 - 8 June celebrate anniversay . problem check room , locate 24th floor Tower , nice . near end hall little hallway noise . everything good working order bed comfortable . bathroom size decent small reviewer make . view overlook pool south Vegas strip . perhaps good asset property location ... middle strip close everything . we eat Carnegie Deli can not offer review / advice property restaurant . staff Houskeeping friendly courteous . ask receive extra towel pillow almost immediately make call . the pool nice extremely busy never find lounge . since not get 2:00 Sunday afternoon could not blame motel . overall happy stay Mirage would stay return . 
 Jun 15 2009 	 Fantastic Room 	 check 6th June . drama . 40 people front we spread 6 staff front line 10 minute . offer $ 20 sandwich get upgrade Tower Deluxe room . mention wedding check recieve complimentary bottle champagne room hour check in . great view pool strip . bathroom large enough 2 we spread gear counter . the bed comfortable ever sleep . room clean . housekeep good every day . despite other say room vaccuume everyday not home large amount dust . we right end hallway decent walk elevator pretty nice people constantly walk past door . hear noise hallway room close elevator might annoying . all staff come across pleasant helpful . think $ 80 per night room great value . location great . we not think much Casino really not casino people not gamble lot . the pool great . never line get lounge find search bit find 2 shade go . Sunday really busy pool weekday also busy much early morning . someone mention foul stench near pool experience 5 minute one afternoon . sure nothing nwith pool much garbage smell probably due change wind direction . all great stay Mirage would confidently recommend other 
 Jun 14 2009 	 Great Trip 	 stay 7 night start May 28th . stay several poropertie Vegas find Mirage great ! real complaint small bathroom ! ! ! room beautiful , great view volcano strip . pool incredible trouble find place sit . BLT canigie deli absolutley great food ! would recomend anyone stay ! 
 Jun 13 2009 	 good enough 	 stay Mirage Sunday 07jun09 - Thursday 11jun09 . 3 woman room never felt cramp . check fast couple people line . ' little disorient arrive walk luggage casino . next time visit prepare . casino hard enough navigate without luggage . arrive 2300 though 's prime casino time . room 2nd last room one hallway . take like 3 solid minute walk get . take photo start hall one girl stand door ' see picture lol ' worry calorie much walk . room clean fair size . bathroom ' find small , door close toilet . mini fridge charge anything take even ' look . sensor . hotel pretty outside . much foliage ' kind tropical setting concrete jungle ( pls excuse cliché ' true : ) not already unpacked would ask switch close room . maid come early put sign not want wake 0900 . knock door not answer , come . see sleep say sorry leave . good job everyday . at night show card get elevator section nice security . we eat Mirage buffet lunch – great salad bar attendant make mix salad – good , asian part ' good – north american fast food , sushi section ' try , bad mexican , bad italian , middle eastern section , Fresh Prime Rib fixing , picnic salad , crack crab leg shrimp , plus dessert Gelato Bar . also dinner mostly . , great salad ! always something choose ' good . bad part pita middle Eastern section moldy . inform staff member kitchen pick piece rather take whole basket away . lunch $ 20pp dinner $ 30 pp without tipBLT Burger . good . portion huge neither we finish anything . would recommend spend extra $ 3.00 splitting . get burger blue cheese sautéed onion lattice fries lunch box milkshake ( vanilla ice - cream , peanut butter grape jelly – little sweet , good ! ) . friend get burger cheese bacon , onion ring Nut Job milkshake ( taste like Ferrero Rocher ) . drink ¼ milkshake , burger without bun 3 onion ring 3 fry . full . could split satisfied . combo $ 21 pp plus $ 1.50 add topping . milkshake take little come take make , food fast . bill $ 46 2 without tip . Chipotle 's , Chinese McDonald 's right across street O'Shea 's across street Burger King , pizza place Subway cheap eat . the Mirage Casino : spend night Mirage . drink service pretty good . couple time stay wait . mostly awesome . casino also really easy navigate 1 night lot fun visit . Revolution Lounge pretty cool looking ' go drink 10 foot away drink free gamble . stupidly also ' learn till last night club doorway Revolution lounge . think lounge . learn early would gone . also ' go Jet RumBar . would like visit couple night club girl ' show interest . go stay pool day gamble night . Mirage Pool : girl kid excited relax pool without hear " mom " every minute . first time either spend night away child . go pool every morning hour . would wake 0800 sit till 1300 . go first day 2 hour ' go back . love pool ' never Vegas want spend much time could explore . next time ' Vegas spend time pool night walk around . none we like pool . ' large pretty cram ! chair touching side . ' fit anything 10 - 15 chair row . place move chair would aisle would interrupt everyone else . mention another post prison would offer room chair . show room key everyday always fresh towel friendly . cocktail waitress make round often . two girl order Miami Vice ' one day . waitress say come 5 shot keepsake glass $ 18 . Vegas cocktail price pool . one say super yummy . ' go Bare ' review . pool area people shape , size age . not lot child there . the Mirage game buffet call " Native Spirit " . tower bonus make loon animal noise . pretty fun money last night last day . $ 80 time . likely previously lose ! mostly play penny slot full line sometimes multiply . add $ 1.80 pull . overall glad stay Mirage . like size property , room , bed , casino , BLT Burger location . not care pool find staff friendly . , not rude , welcoming . would stay good price go somewhere else could . would like try Planet Hollywood like Vibe . would good hotel people 21 - 40 without kid . I problem room key working . would take 6 - 12 time work . get card replace still . girl try card problem card fine . not give 3 try go way front desk ; would try 15 time first . 
 Jun 12 2009 	 Mirage fantastic ! ! 	 would agree review site- stay Mirage close perfect ! person trouble checkin due computer glitch not lie . happen , luckily already check relax bare pool enjoy drink . Robert , pool boy , top every need attentive . cocktail waitress could hustle little fast , not end world . pool great . much family friendly catch drift- huge ! ! location hotel strip perfect . room beautifully decorate great view 22nd floor . staff come contact helpful friendly . can not say enough great stay . recommend ! 
 Jun 11 2009 	 Excellent hotel still remember pleasant experience ! : ) 	 great hotel . room clean , bed fantastic . love view window , night 's sleep amazing . definitely recommend ! : ) 
 Jun 11 2009 	 total disaster 	 arrive Mirage 1,30pm Monday 8th June tell computer system , could check , take cell phone nember say would call we system come .. go lunch . poolside restaurant server tell we could order pay cash ... computer problem . hour later go back lobby find full people , luggage ... tell system still . 10 hotel Mirage group , would & quot ; soon & quot ; ...... 3.30pm return , find situation even bad . hundred people line . one tell anyone go ask customer , line , gather check people manually .. check take 20 minute phone cc company , fill paperwork , send someone make key & quot ; back & quot ; . get line . one half hour later , 5.00pm behind one couple desk .... thing get MUCH bad . , information management , gather system come , enter every handwritten transaction deal next customer . must 500 people lobby although see one person pass tiny bottle water , manager keep people inform . hour later , finally make counter , key within 5 minute . apology . offer compensation . nothing nobody . thoroughly disgusting . ask explanation tell would & quot ; call management & quot ; never , ever appalling experience , even remote part world . I never go hotel , one MGM group hotel . 
 Jun 11 2009 	 Disappointed ! 	 1st visit Vegas impress Mirage . upon check - in clerk say upgrade room . think downgrade room date old , view strip nice ... ' ve well room Comfort Suite ! ! never stay hotel ' recommend anyone … 
 Jun 10 2009 	 second choice 	 eight night stay Las Vegas stay 4 different Hotels strip , would give Mirage second choice four . mandalay Bay would number one , Paris number 3 Excalibur number four . room seem bit small ' ve stay strip , maybe layout ? well appoint modern style , comfortable clean . request extra pillow housekeep quick respond . BRIGHT orange neck roll bed , though purely decorative literally fall apart ... want thing look nice make sure , need replace repair . complaint consider enjoyable stay . buffet totally different matter separate review . 
 Jun 9 2009 	 Mirage good bye old friend 	 ' ve stay Mirage ever since first open 20 yr ago always love . last stay Sept 2007 . know room refurbish since last new furnishing fine . however , walk door room , could think early Holiday Inn . one spend time room , one welcome all . there nothing wrong room clean . feel overall Mirage slowly slip past couple year . use . maybe many property strip nicer , not know . , know almost feel like dungeon cheap hotel staying time . be sad , always love Mirage . think would call nice average hotel , good value money sort place . 
 Jun 7 2009 	 great place show age . 	 stay October 2008 ( sorry late ) . room : check - in take quite awhile , seem always take long time matter hotel go LV . room not ready give room credit $ 25.00 tell come back hour . go Carnegie Deli charge room . stay penthouse suite four night . room beautiful , really irk Mirage not offer coffee maker room , even penthouse suite . sister surprise little coffee maker one day mde life lot easy . tv stuck & quot ; & quot ; position . tv house cabinet end bed sight . turn , tv come cabinet . would not go cabinet . big deal , be pay much room want thing work . also , old tube TV . penthouse ! 's flat screen ? ? housekeep nice friendly . food : Buffet great . food fresh good variety . carnegie Deli good , huge portion , server friendly . feel like number . BLT Buger AWESOME ! delicious burger ! casino : 's casino like other . it nice place stay , private access floor defintely need update . would stay ... renovate . 
 Jun 7 2009 	 happy stay Mirage 	 receive incredible rate $ 65 & amp ; $ 84 per night use smartervegas.com website , get 35Volcano rate . far cheap rate find , speak guest pretty floor find pay . we arrive four hour check - in , immediately give room pool view . room spacious update , really like bed linen , ' m picky . like fact not walk feel like half mile get strip room , quick walk accross casino get strip pool elevator , unlike MGM Caesar 's . pool beautiful uncrowded Wednesday , Friday nearly impossible find chair 10:00 , much less two together . pool staff good remove towel chair clearly unoccupied & quot ; reserved & quot ; other . simply ask pool staff member help find chair , gracious . I check bare pool promoter give free & quot ; lady admission & quot ; pass hang casino . cool set - up , small , crowded great music lot good look people enjoy cabana , dance drinking . couple people enjoy european bathing . could reserve lounger $ 50 minimum bar tab , not hard $ 15 drink ( good ) . staff bare friendly fun , think would great atmosphere bachelorette party . the Mirage location Strip great , not far walk Fashion Show lot inexpensive place eat . thing would say , rowdy neighbor party HALLWAY 2:30 , call front desk ask move room , take 20 minute security respond . overall , would definitely stay . 
 Jun 7 2009 	 Fantastic Hotel could not ask ! 	 stay Mirage 8 night start 5th May 2009 , us 20 be not stay hotel . hotel absolutely huge amazing swimming pool , get little busy weekend , not bother we . great see everyone pool drink beer relax . pool huge lagoon style pool lot sun bed , usual people start line pool open get good bed , suppose happen place . thing pool dissapointe fact waterfall break , apart love around pool . one tip though .... take drink expensive ( we anyway ) , 7.5 dollar bottle bud . the room amazing , 32 inch tv funky decor bed huge ! ! ! pool view nice , not really spend much time . read reviews bathroom small not think small ! ! staff friendly easy find way around hotel , downside hotel price drink food . find thing alot cheap depend budget , eat hotel mainly . the craving buffett well worth money , think 18 dollar per head breakfast could eat drink much like everything could imagine ... well worth visit .. two ! ! hotel probably smack bang middle strip get around easy . duce bus stop right outside take strip , include Fremont street 24 hour 7 dollar .... must foot get bit sore ... Tip make sure right change driver do not carry ! ! ! overall would advise anyone go Vegas stay , stay Excalibur although nice hotel soooo much well . fantastic time love hotel . 
 Jun 6 2009 	 light sleeper excellent remodel great hotel 	 Mirage undergo modest evolution late , wonderful location , beautiful atrium , fantastic pool remain . room undergo terrific remodeling job . like hotel remodel , ' ve ditch themed room favor basic modern motif . however , actually like retro - modern redesign room , boast plush mattress , flat screen tv , dark wood accent color like pink orange . bad news . bathroom , remodel nice granite counter tile accent around mirror , still tiny . fine solo traveler , ideal couple family . 's deal breaker , light sleeper . hear everything room . every door close , every word utter hallway , maid knock door say & quot ; Room keep , & quot ; hall vacuum . 's light sleeper 's bad nightmare . say , Mirage still great choice , due ideal mid - strip location , excellent pool , probably nice room money four star strip . 
 Jun 3 2009 	 Average .... 	 stay three night husband attend convention hotel . overall like location – right middle strip walk distance shopping , restaurant , casino . walk lobby casino get room elevator bit hike , especially haul baggage . nonsmoker think casino smoky uncomfortable breathe . room - room 5th floor adequate – bed comfortable , large flat screen tv , good work space . bathroom quite small noticed rust form tub fixture . view really – rooftop glass atrium maybe ' get conference rate . say , adequate , dazzle stretch imagination . pool – nice sprawl pool mixture sun shade . thousand time well TI pool pass tram , ' hold candle pool Mandalay Bay . mirage pool freeze cold 90 plus degree outside week . hardly anyone go pool cold lot room swim want give try . lounge chair comfortable place close together like sardine . share large pina colada poolside tasty . restaurant - champagne brunch Mirage Sunday pretty good – wide selection food mostly lukewarm , entree flavor service good . breakfast buffet Paris hotel one morning disappointed . would say Mirage buffet good Paris … maybe even bit well ! breakfast another morning Cravings restaurant average , service fast . Revolution Lounge – husband big Beatles fan stop drink . pricey - $ 15 glass wine $ 8 beer . ' anything décor make think ' beatle , ' except video clip tv screen ' hear say . lounge promote sort interactive experience however ' see anything unique . back portion lounge open every time check ... still curious ' interactive experience . ' misc – experience Mirage elevator really good – plentiful quick . much well stay Mandalay Bay May . wireless internet another story . $ 15 per day PER COMPUTER mean husband would pay twice access laptop . ridiculous . ' charge extra fee water usage second person room ' sure hotel feel justify extortion second laptop connection . boot , connection unreliable three day visit . call front desk tell use Ethernet cable hold captive use laptop room . another call front desk manage get wireless charge remove one day stay . overall hotel average . book proximity conference , however free choose would try something else . 
 Jun 2 2009 	 definitely stay Mirage 	 enjoy 3 night . got high floor room w / view volcano request . nice room , clean . pool wonderful . wish Starbucks alot close guest elevator - location inconvenient overnight guest , inroom coffee . guest elevator wander trek casino checking - fun luggage kid . overall though , stay Mirage . staff encounter freindly welcome . 
