decent 	 hotel old large room . get kitchen suite , family great addition ( eat inside ) . need space want low cost hotel , great option . 
 Dec 24 2006 	 stay 9 day -- want stay long 	 need either two hotel room 1 bedroom suite . EastGate 's price June 2006 $ 239 / night . price not see subsequent visit NYC -- first hotel check . have kitchen dining room table enable we eat breakfast room every day -- save cost hassle get everyone ready time . the bed comfortable . room quiet . shower hot . ( sum need ! 
 Dec 12 2006 	 simply wonderful 	 Post - Thanksgiving 2006 , 3 day . reserve queen studio suite ( plenty room need ) amazed find upgrade describe home : two bedroom , two bath suite fully - equip kitchen , full dining area large living room . take full advantage exciting city earth Holiday time -- tree light Rockefeller Center , ice skating , shopping , ; , come & quot ; home & quot ; Affinia Eastgate Tower Suites Hotel . always pleasantly greet doorman front desk staff , parking attendant courteous efficient ( parking rate quite reasonable NYC ) . delighted cleanliness property suite , nearly miraculous housekeeping staff virtually invisible . every detail address even ask . time leave , able print boarding pass computer lobby nominal charge . view nice , elevator quick , location superb ! stay : simply wonderful . 
 Dec 1 2006 	 Perfect budget 	 Hotels NYC notoriously expensive something decent . Eastgate however well price , reasonably well place , facility good traveller budget . we stay total five night ( party 6 ) , honest can not really fault place . staff courteous helpful , room clean facility need . gripe would sofa bed be not really comfortable ! go back NYC , stop , that s probably need know . 
 Nov 21 2006 	 1st visit New York hotel will not last ! ! ! ! ! 	 2nd Nov 2006I stay queen bed suite great room everything need , throughly spoil . excellent value room wonderful service get . I recommend Il Sorgno part hotel . the staff friendly enough you . Kay Lovell , London . UK 
 Nov 7 2006 	 spacious Clean Convenient 	 Eastgate Tower perfect anyone want lot space New York amenity home . stay Junior Suite 4 night , enough room eat , work sleep . different room W , could hardly walk around bed ! bathroom quite small , rest room make lack space . wireless internet $ 9.95 / day reasonable . 's luxury hotel mean , definitely feel like apartment building , stay night long , particularly family , perfect stay . 
 Oct 31 2006 	 outstanding cheap hotel 	 wife stay hotel march 06this 3rd time city find great hotelok bad point 1 one lift working bit q use , allway walk stair go staff would let we use service lift lobby busy.2 first room give clean , bit mix give upgrade room.even two bad point staff helpful feel like home end week .rooms large stay newyork clean daily kithen great make snack / coffee location good will not doo shop short walk away grandcentral staion gate way city planing go back newyork next christmas going stay 
 Oct 30 2006 	 not worry thing 	 friend three daughter ( 14,16,20 ) stay room 22 g ( 2 bedroom suite ) eastgate half term ( 21st 28th October ) .When arrive drop various party via Shuttle bus Newark airport . seem stay glossy - front establishment see Eastgate thought & quot ; ordinary , nice - ish , passable glossy & quot ; . however minute see suite change mind . VASTLY exceed oue expectation ! snore , take small bedroom ( big ! ) girl happy share huge lounge sofabe . friend daughter take big bedroom . load space - and include cupboard hang space . 2 little bathroom hairdryer ( bath shower ) . little kitchen much use , everything need . available space fantastic . enjoy together & quot ; confine & quot ; . location great . sadly 20 year old 's phone go unexplicably miss bedside ( use alarm clock ) . verdict remain open one . staff helpful could circumstance . view front back window excellent . Trend Cafe great Deli opposite Frontier Diner corner . cleanliness first class -I mop flood bathroom white towel use register one speck dirt ! pristine mopping ! everyone nice would recommend hotel . ny hotel half good- snooty beyond belief face not fit , along crummy accommodation . much well . 
 Oct 27 2006 	 great hotel great location 	 husband , 4 family member return short break New York . we stay Eastgate Tower want say good hotel turn ! moment warmly welcome arrival transport back JFK comfortable people carrier ( arrange hotel ) , feel well look after . the room large , comfortable , extremely clean location could better - within easy walk distance Grand Central Station , Empire State , Times Square etc . with hotel price rise , feel hotel offer real value money would certainly recommend future visitor New York . we shall certainly use hotel subsequent visit . 
 oct 4 2006 	 Basic Hotel good location 	 stay 1 night . hotel clean neat . look like former apartment building convert hotel . room large -- kitchen . everything work fine -- toilet , fridge , shower , A / c , etc . lack nicety nearby Affinia property -- pillow menu , fancy toiletry , fresh fruit juice lobby . small , lobby -- get crowd quickly 3 4 people baggage . large , clean NY hotel room . good location near lot restaurant store . 
 Sep 18 2006 	 price size right ! 	 one NYC 's elegant hotel , room spacious , stafffriendly helpful , location terrific , price reasonable . return 3 - night stay two bedroom suite . second time last year rent 2 - bedroom suite Eastgate Tower . living room huge , bedroom bathroom , basic adequate kitchen , complete dish , silverware , dishwasher , stove , microwave , toaster , full - sized refrigerator . wi - fi access room $ 9.95 day -- work well . I NYC business , share two bedroom suite work colleague , cheap two room get space . shop breakfast food great grocery store block away , eat couple lunch terrific american diner corner . the furniture bit shabby , bed could comfortable though tolerable . everything clean , hotel staff friendly service - orient . hotel will not work require elegance touch luxury , want space , clean bathroom , kitchen safe neighborhood short walk Grand Central , good economical choice . 
 Sep 7 2006 	 great ! ! 	 three girlfriend stay labor day weekend . pick hotel would accomodate we comfortably . start good part : room spacious staff ( well one concierge particular ) helpful . bad : although spacious , room dirty majorly outdate . carpet grungy , fridge smell rubbish , television white dot float accross screen , dresser would not open plastic coating peel dirty . view poor people 's apartment building next door ( poor we feel like constatly stare ) . location alright - not great . hotel restaurant close indefinetly . not want walk hall late night fear would around next corner . gym ill - equip outdated . not give we pillow sheet pullout couch ask bedding bring bring two top sheet pillow . call ask bring extra pillow bring one . 
 Aug 31 2006 	 surpass expection 	 love hotel ! idea expect , rely review write site . pleasantly surprise exceed expectation . three we stay 2 - queen bed suite plenty room . location great ( near Grand Central Station ) staff helpful friendly , go way make sure comfortable everything need . can not imagine stay anywhere else NYC . 
 Aug 8 2006 	 good stay yet ........ 	 9th trip New York City , good stay yet . totally fabulously impressed hotel . helpful & amp ; friendly staff , spacious , clean , comfortable suite . definitely stay hotel ! ! Grand Central Station 5 block away beautiful walk along way . restarant area numerous wonderful variety cuisine . thumb hotel , way ! 
 Aug 4 2006 	 great location teen 	 return week stay Eastgate 13 - year - old daughter . location perfect like sleep soundly night , not mind one two block walk bus . daughter go non - stop day night ( late ) , always feel safe return late . summer record highs city , lobby room always cool comfortable . staff , , really helpful direction , information help we get NJ airport safely last morning . 
 Jun 21 2006 	 great location space 	 return week New York , stay Eastgate Tower Suite hotel . stay NY , expect small cramp accomodation . however , pleasantly surprised find room ( queen sized ) large spaceous . locate 24th floor afford nice view surround skyscraper . location perfect visit main tourist attraction Manhattan foot , e.g . Central Park , UN building , 5th Avenue , Empire State building , Grand Central Station etc . hotel staff pleasant friendly room clean well feature , also price reasonable area . downside hotel decor slightly date , block subway station . however , give great location low price , would not hesitate recommend anyone . 
 Jun 15 2006 	 really dislike Eastgate Hotel 	 return Eastgate Hotel NYC hotel horrible . location okay clieanliness poor decore seem 1960'sand completely tacky . lobby nice soon go past go downhill . one lift work cause caos new guest arrive luggage etc .. use stairway four day there . we spend € 650.00 3 night accomodation one standard room kitchentte . remind hostel hotel . go reception complain first night want different type room would cost another $ 140 per night difference room bedroom seperate kitchen . however change room next day standard room different floor clean . hotel look completely different picture website really disappointed . really do not think hotel good value money unfortunitely room available hotel try first night arrive would change hotel try get money back afterwards . price well hotel next trip would pay much ! 
 Jun 4 2006 	 mixed feeling ...... 	 stay 3 night last week . arrival , disappointed feel really resemble photograph see website room nothing like floor plan . reception area / lounge small corridor feel dingy . request room high floor , presumably , studio appartment low give floor 5 . disappointed room small expect tatty place e.g . cupboard handle missing say , room clean bed comfortable , really 's be important . reception staff also nice , like bellboy , Louis , unhelpful whenever ask anything transportation use phone . location wise fairly good . able walk block Grand Central Station take subway downtown , also able walk Macy 's etc easily . not feel studio suite offer great value money essentially standard hotel room sink , microwave , oven & amp ; fridge along one wall . floor plan give impression would separate kitchen area also arm chair . suite may well not know would stay . 
 May 24 2006 	 great place 	 stay 9 night happy place . use lot time ahead trip try fint decent one bedroom apartment . finally decide one - not regret it . I agree review bit date , spacious ! ! ! would absoulutly stay ! loaction great , walk distance everything . and foreigner New Yourk city big apartment make possible feel like live week : ) big bedroom , two bathroom ! . 
 may 15 2006 	 Holiday inn type room great location relatively great price . 	 stay 2 day wife brief New York vacation . room fine , basically kind old need updating - need new carpet , etc . like stay average holiday inn . get junior suite dollar regular room , roomy , especially New York . price great 200 per night hotel area well 300 400 + neighborhood . place great want excellent midtown location not plan spend much time room not care fancy hotel fancy room , want save cash . want nice luxurious hotel experience , not stay , plan pay - lot . give 3 star , plain basic place reason , not deserve . however , want New York trip decent , though great , hotel room great location great price , highly recommend hotel . 
 May 14 2006 	 great hotel 	 please Eastgate Tower . go school NYC , appreciate nice size room - think large apartment NYC . choose basic suite queen bed , table two , fully function kitchen nice bath . cover bed little worn , room clean . 2nd floor hear street noise , enough bother we . stick head fitness room look pretty nice well . staff come leave warm welcoming . arrive late decide grab bite eat hotel 's resaurant next lobby . excellent dinner staff also great . attentive accomodate we diner . great stay would definately return . 
 may 9 2006 	 Excellent Location explore New York 	 stay Eastgate Tower 26 30 April 2006 , great . two couple go , one big two bedroom / two bathroom suit . clean , well equip quiet . 8th floor , likely get traffic noise , thing hear local fire engine go duty occasionally . kitchen area , complete dishwasher , real bonus . staff friendly helpful , would certainly go Eastgate . first time New York wonder review Eastgate go mile away everything . wer not . none we first flush youth , walk almost everywhere safely day night . Grand Central ; Empire State ; Times Square ; United Nations ; Central Park , Macys easily reach foot . get tour bus ( well worth ) downtown break journey & quot ; & quot ; Brooklyn Bridge , etc . 90 minute wait ferry land Statue Liberty / Ellis Island , go free Staten Island Ferry pass close - much well option , view downtown way back stunning . one thing British use home easily accessible loo . read none New York , look place name . eat not problem , Townhouse Diner 2nd Ave 38th Street highly recommend . the flight to / from Gatwick / Newark good , Supershuttle airport free tour New York . four we take taxi back Newark cost go train Penn Central . we splendid short break ; people New York friendly would certainly go - Eastgate . 
 May 5 2006 	 little worn large room 	 stay two night . hotel little worn , furniture room bit outdate bed also new room ( 1 bedroom suite ) large , two bathroom ( one definitely need help ) , full kitchen . room clean service helpful . location bad , easily within walking distance Grand Central plus . 
 May 1 2006 	 grea place stay . back 	 love everything hotel . new york standards great bargain.i think hotel use apartment building . nice size rooms.doorman nice , front desk clerk nice . stay murray hill east last month disappoint service.east gate tower great 
 Apr 25 2006 	 great location ; great room 	 book hotel last minute another hotel have book use hotels.com look like go business ( long story ) . want suite since three teenager want mid - town walking distance Times Square , Grand Central , etc . little gem work beautifully we ! room huge clean bright wondderful . since two day one night not need kithcen imagine would useful long stay . wait several hour check able leave bag bell captain went explored . 20th ( ? ) floor kid love view ! two huge bedroom ( one double / double two twin ) , two bathroom , huge living room dining area , sleeper sofa , tv desk , good sized kitchen . great value . great location . 
 Apr 24 2006 	 good value 2 1/2 star hotel 	 March 2006 3 night stay eastgate overall pretty good 2 1/2 star . family 8 stay 2 bedroom suite . first , stay clean hotel room , especially travel young kid . although room little outdated , clean clean day . room attendant even dish . happy hotel . plenty space . kid able run around like home . living room dining room one room . even bring we rollaway bed free charge . staff friendly . elevator little small ... problem serve 's purpose . shortly check room , lady front desk phone make sure happy room . kitchen little small functional . airconditioner work fine . hotel main road noise bad . although , sure ask room face fire station light sleeper . hotel walk distance many attraction . give idea distance ... kid age 5 1 ... 5 year old walk everywhere we . although hotel Ritz Carlton compare , eastgate clean great value . would stay . 
 Apr 13 2006 	 good value hotel first time visitor New York City 	 stay summer 2005 . Read stack review hotel similar price range seem suitable . yes room little date , comfortable consider terribly high noise level bearable unless wish sleep 9 am traffic horn considerable . small kitchenette quite satisfactory need breakfast / lunch . consider quite centrally locate reception staff helpful , particularly book helicopter flight . would recommend also return stay . 
 Apr 6 2006 	 Fantastic 	 horrible experience booking room WooGo Lincoln Apartments , immediately book room Eastgate Towers . moment arrive experience WONDERFUL ! ! ! manager George Drepaul absolute pleasure staff upgrade EXTREMELY spacious 2 bedroom , 2 Bathroom unit . feel right home hotel would recommend anyone visit city . location great . staff great . room , say suite , FANTASTIC spacious ever experience New York . full kitchen , extremely large bedroom full living room / dining room area . would not stay anywhere else wonderful experience . italian restaurant downstairs good well . Eastgate Towers new favorite place stay New York can not wait go back . 
 Apr 3 2006 	 Great Place 	 stay week March 20th please stay . room look little date , much distract worth money involve . staff helpful feel safe surround area . 
 Mar 22 2006 	 well locate Great Value 	 stay 4 night March 2006 . hotel room somewhat date luxurious reflect price pay offer great value money . we twin room ( two double ) small kitchen area single bathroom . room far large hotel stay NY ( despite pay other ) .Hotel well situate easy walk Grand Central Empire State Building . also good bus link 3rd Ave busy weekday mean walk quick short journey . neighbourhood quiet mean despite 2 floor could sleep without traffic noise disturbance experience stay busy part city . good selection restaurant within easy walk distance ( Akane Japanese across hotel simple well price good quality ) . also great deli / bagel cafe along road jct 3rd Ave 38th Street . I would recommend hotel anyone want close main sight NYC whilst peaceful return good night rest . 
 Mar 15 2006 	 Wonderful Hotel New York 	 stay hotel cold spell February 2006 . room ( Junior Deluxe suite ) always clean every day , extremely comfortable . the staff exceedingly friendly helpful , location perfect visitor require peaceful area return whilst still within walking distance main area interest . return hotel next New York , would recommend establishment visitor . 
 Mar 7 2006 	 Great Family Value - close enough almost everything ! 	 be family 5 ( 2 adult , 3 teenager ) recently stay Eastgate Towers Murray Hill . great choice we ! thank Tripadvisor great tip ! request high floor 1 bedroom suite view Empire State Building ( possible ) . book travel directly [ -- -- -- -- ] ( find book engine friendly family 5 compare travel website add surcharge 5th person ) . much surprise , check ... grant wish ! view Empire State kinda obstruct , complaint ! first , happy lot window view ! last time NYC daughter , stay cramp bedroom window look brick wall ! staff helpful ... courteous . fly via Newark decide adventurous take Newark Airtran connection Penn Station take cab . family 5 , train ride cab ride hotel cost we $ 78 . way La Guardia return trip ask hotel concierge reserve cab us ... since 5 we , concierge say would need van . course , taxi - minivan one could get around . , pleasant surprise , shiny , black Lincoln Navigator wait we promptly front hotel day departure . btw , ride family 5 reasonable compare train / cab adventure ( albeit La Guardia close Newark ) ... & quot ; limo & quot ; ride cost $ 50 + toll + tip . overall , stay Eastgate Towers great experience . price , beat fact able stay together one suite , & quot ; family style & quot ; . 2 queen bed , sofa bed , well - equip kitchen ( microwave , stove , dishwasher , toaster , coffee maker ) , dining room , 2 tv ! nice room spread relax , late night snack feel munchie ! , plus view ! neighborhood safe ... accessible major tourist spot . one catch bus downtown 5th avenue subway Grand Central Station ... leisurely walk . Ming 's , Chicken Place 3rd Ave decent eat . care much Frontier Diner also deliver hotel . 's also McDonald 's 39th 2nd fastfood craving . highly recommend .... centrally locate Embassy Suites . definitely stay next time be NYC . check Eastgate 's sister hotel own [ -- -- -- -- -- ] ! 
 Feb 27 2006 	 one good place stay ! 	 great hotel . 1 bed suite week . price reasonable service good . LOT SPACE . location great take less 10 min walk Times Square even less Grand Central . also get cab right outside hotel . staff courteous . obviously waldorf not pay , not expect . please see room pic attach . ( outdated bring review . ) 
 Feb 25 2006 	 good value suite digge kitchen 	 stay one bedroom suite 2 friend ample space . could stay lounge suite rather dump bag . quite convenience store nearby buy drink put fridge brekkie item . 2 T.V 'S suite one lounge massive . lift 1 customer lift work allow use maintenance lift . smoking room spray oust soon maintain freshness . good value money . far attraction shop . head blizzard condition make Macy 's etc ... 
 Feb 15 2006 	 bad price - consider 's New York ! 	 stay Eastgate Tower friend January 14th . initially book one - bedroom , upgrade two - bedroom suite extremely spacious ! agree outdate , bad give price . nice kitchen two bathroom ! space luxury New York , definitely please free upgrade nice bonus ! 
 Jan 11 2006 	 disappointment 	 disapionte eastgate tower , suite stay spacious outdated , lobby nice , small , also fitness center minimal offering needless say small , would recommend hotel unless tight budget need stay 
 Jan 9 2006 	 great clean informal hotel great price 	 stay Eastgate Towers Jan 2006 weekend . cost comparable budget hotel city , room spacious suite , include kitchenette . posh hotel mean , clean , affordable ( unusual New York ) overprice rip = off . also internet terminal lobby reasonable cost use . hotel easily accessible subway bus taxicab , close many different restaurant , include one provide room service . overall satisfy experience , surprise place ! 
 Dec 31 2005 	 Excellent Hotel Excellent Location 	 return spend 4 night Eastgate Tower Hotel would thoroughly recommend anyone visit New York want central hotel without pay huge price . yes , be basic hotel yes , lift leave lot desire ( one work 23rd floor mean long wait time ) , however , 's location ( 5/10 minute easy walk Grand Central Station 10/15 minute Empire State Building ) friendliness staff make hotel would certainly recommend stay again . our room large kitchen area wonderful view plenty bar restaurant near vicinity . 
 dec 23 2005 	 Fine hotel 	 return four - day stay . 's true hotel bit date be perfectly fine . large room handy kitchen ... plenty space family four . 's good location 's 10 - minute walk Grand Central Station ( near subway stop ) . Times Square bit far away . would definetly stay . 
 Dec 12 2005 	 Excellent value 	 use live New York 10 year ago 20 love . dread visit NY ' ve stay many awful hotel ! Eastgate Towers fix . room exactly like old studio apartment - clean , spacious functional . neighbourhood relatively central , subway block away , useful shop restaurant 3rd avenue . kitchen everything need . staff helpful courteous . if want know like live ny , place stay ! 
 Dec 5 2005 	 good value - keep check rate 	 book hotel 6 people - child . $ 324 one bedroom 2 Queens pull couch also order rollaway . huge room - upgrade one 1 1/2 bathroom . great staff , good location , 6 block walk subway ( lot , kid bit hassle ) .Rooms date , clean . Staff helpful try hard . lobby nice small . elevator work service elevator add . overall - good , great location , keep check rate , book directly hotel site low rate . 3rd avenue good grocery store , chinese takeout , small shop . overall would recommend family , large group people budget ... 
 Dec 5 2005 	 comfortable base tour New York 	 stay Eastgate Tower hotel October downpour New York . find hotel comfortable , huge suite include living area , large bed , decent bathroom usable kitchen . compare similar price hotel New York , earn average rating . the location good mid - town attraction , also good bus subway link SoHo , Greenwich Village , etc . despite torrential rain , enjoy stay still manage fantastic time ! ! 
 Nov 26 2005 	 Port Storm 	 bad weather drive we New York night early pre - booked hotel , Kimberly , sell , Manhattan room $ 400 ! feel lucky find Eastgate Tower last - minute availability . $ 229 , clean , roomy studio queen bed , kitchen , table chair , small tv , small , sparkle white - tile bathroom . accommodation neither luxurious threadbare . everything fine hot water pressure cleanliness . Murray Hill neighborhood pleasant . independent leisure business traveler look coddle staff canopy bed , Eastgate Tower good choice . 
 Nov 21 2005 	 Lots Space ... great affordable neighborhood 	 return overnight stay husband New York City Nov 19 . Availability New York City time year tight rate generally high . Reserved Eastgate Tower Suite Hotel E. 39th Street $ 279 . originally go stay week early son ill . speak Front Desk Manager agree waive no - show fee rebooke ( will not ) . find property easy find locate great residential neighborhood Murray Hill . lot lot inexpensive restaurant , bar , delis , true coffee shop get hamburger $ 3.95 , grocery store , etc . find staff pleasant professional , lobby small aadequate room huge need updating . not mind 1980 's furniture artwork love luxury alot space NYC , might place . two bed ( might even queen size ) , 1 1/5 bathroom , lot closet , large living room , full - size dining room table , 2 tv full kitchette . Perfect family want eat meal group friend shopping spree need plenty space . near city attraction short cab ride midtown shopping times square ... quieter ! 
 Nov 11 2005 	 suite rather 2 room : perfect family ! 	 stay week end October two teenage daughter . usually would booked 2 room , economic proposition NY . realize late suite answer . ideally would like 2 - bedroom suite , , economical three we . , book one Bedroom Suite Superior - bedroom 2 queen bed plus sofa bed living room . choose hotel partly good review TripAdvisor also Eastgate make clear online exactly would booking ( unlike hotel seem delight obtuse ) . not disappoint : room huge ; bed bedroom clean ; kitchenette great breakfast ; view Empire State Building window ( request time booking ) . book directly hotel online , make clear exactly have pay confirmed booking . nasty surprise check either . I find staff efficient rather overly - friendly , helpful approach . elevator little slow , not major issue . fridge noisy night , enough complain time . internet access lobby useful : $ 1 bill per 5 minute access pretty good . nearest subway ( Grand Central ) little away would like - novelty walk 3 block soon wear - spoil thing . get impression hotel gear business traveller rather holidaymaker , certainly make feel unwelcome . Grand central good location tourist subway circuit - rarely direct route anywhere , invariably change Times Square . however , make good use 7 - day Unlimited Ride MetroCard ! also buy 7 - day New York Pass , expensive avoid constantly pay visit ( note : make sure book advance entry Statue Liberty monument ) .shop close : D'Agastino 50 yard Third Ave , get breakfast food . try italian restaurant attach hotel one evening ( reasonable food price ) vegetarian - friendly Josie 's Third Ave 37th & amp ; 38th Street . shame NY ban sale alcohol under-21s , manage ! walk hotel UN , Empire State / Macys / Madison Square Garden fine untiring . on checking , provide storage suitcase time taxi airport catch evening flight , standard fix price . little late get back time would say taxi wait , bag load . service ! rounded week nicely . would stay ? betcha . 
 Sep 26 2005 	 Comfortable Hotel 	 spend two half week Eastgate Towers NYC find comfortable hotel . junior suite extremely large , clean well - appoint : two easy chair , large couch ( fold ) , desk dining table . . . comfortable king bed . . . kitchen . feel though come home little bit hotel room hard day 's work . even tv bit large common hotel room television . housekeeping efficient , staff friendly helpful . amazingly enough NYC , room absolutely quiet . . .in two week , hear sound room street . luxury hotel , lobby small utilitarian , two elevator . travel New York business least year : think comfort economy can not beat hotel . think junior suite would particularly good family . .given size , fold - out couch kitchen . great value . will back . 
 Sep 13 2005 	 Great Hotel 	 nice hotel , nice area . close Chrysler Building , Grand Central Terminal , UN building . even walk Times Square well take cab back $ 10 . bad thing hotel small lobby slow elevator . time problem though check ton people wait one elevator ( elevator break time , work next day ) . good advice wait later check , like 5 . check baggage bell hop go walk around wait later check busy . rest two half day stay encounter elevator problem . walk Soho Empire State building , lot walk ! good room stay ( stay 3 hotel 7 day , get feel different part city ) . room huge , kitchen want cook prepare breakfast . comfortable bed nice view 21st floor ( could see top empire state building spike ball drop new year 's eve ) . would recommend hotel anyone staff nice room great . 
 Aug 31 2005 	 Great Reliable Service / Space 	 stay 2 year 's ago , week . terrific place -- great service ( Claudia ) , nice space . yes , furniture little tackey , room space wonderful , quiet , everything clean . love kitchen . location great , easy walk bus , grand central , train . not disappointed ! Restaurant , Il Sogno , wonderful . great patio , serivce considerate gracious . price fair , food excellent . arrive 2 additional adult 2 youngster ( 5 2 ) . service thoughtful gracious , even kid . waiter offer make special plate kid , not least bit hoitey toitey ruckus . tip well , deserve ! 
 Jul 27 2005 	 spacious convenient friendly 	 stay Eastgate Tower Suites two colleague weeklong business trip recently favorably impress hotel . book three junior suite , short room ask whether two we would like double two - bedroom suite . see large one co - worker gladly accept ( could easily decline -- pressure desk clerk ) . two big bedroom , living room , dining area , full kitchen come handy breakfast store drink . staff friendly throughout stay helpful thing like direction store luggage check . location nice ... short walk many good restaurant , shop , grocery store ( stocking fridge ) movie theater . business Long Island please hotel locate couple block Queens / Midtown tunnel . room clean well every day hotel quiet ... especially since upper floor ( suite ) bedroom share wall guest room . hotel fitness room contain basic , room equip wireless highspeed internet access . , quite pleased hotel would gladly stay . 
 Jul 18 2005 	 HUGE Rooms - Great Value 	 family plan trip Destin Florida - change plan Hurricane Dennis decide join . book last minute trip NYC Expedia . stay 6 day Eastgate Towers - two bedroom suite 8th Floor . 5 us - two queen one room - two twin room 2 pull sleeper living room . boy sleep room 2 - teenage daughter sleep living room ( not interested sharing room we ) . room unbelieveably large - especially New York - kitchen give we ability save money eat one two meal day & quot ; home & quot ; . location convenient - easy walk Times Square - Empire State Building - Grand Central etc . space helpful night long day - could seperate relax world without disturb other . the room clean - well equip - frill ( bad ) . would definitely recommend large group / family long stay . 
 Jun 27 2005 	 good Value Clean Room 	 & quot ; room & quot ; actually 1 bedroom apartment , small full kitchen ( stove , fridge , microwave , etc . ) , bathroom , bedroom ( 2 Q bed ) , living room ( tv , desk foldout couch / bed ) , dining area ( seat 6 ) . roomy , quiet , clean . staff friendly ( although need much , need room ) . family 5 ( two adult , kid age 10 , 12 , 14 ) place perfect trip NYC . nice place wind & quot ; go - go - go & quot ; NYC . within walk distance 42nd ( lot public transportation ) , UN , could see Empire State building window . hotel area seem safe ( surround look like residential tower ) even though block 42nd , area quiet . make we feel & quot ; living & quot ; NYC stay hotel . return NYC , stay . 
 Jun 13 2005 	 Excellent Hotel Staff 	 wonderful location Murray Hill area . minute Grand Central Station , UN , Empire State Chrysler Buildings many wonderful restaurant shop . first time NYC , celebrate 10 year anniversary , impressed service spacious room . staff helpful go beyond help we feel home . perhaps importantly , feel safe hotel neighborhood . also pleasantly surprised restaurant- gourmet quality reasonable price . definitely back ! 
 May 24 2005 	 NYC 	 book hotel online little unsure go get . however arrive late night pretty pleased saw . staff nice make we comfortable possible , willing please . hotel ever slightly run , clean . room fairly large . two queen size bed one room , tv room ample seat next room . kitchen turn handy . bathroom , true , little small , big deal . location good . would recomend hotel highly look space good service good price New York City . 
 may 10 2005 	 Roomy comfortable well situate 	 book single double bed receive free upgrade friendly staff much big double suite arrival , without ask . could not believe big sitting room mean Julia bathroom ( two we ) , great morning . Decor date bad way ( early Miami Vice ) , care clean spacious ? location suit perfectly , 10 minute walk 42nd street Grand Central ( near subway stop ) quiet enough walk around evening without getting mob . plenty friendly diner , bar restaurant 5 minute away 3rd Lexington Aves . be veggie find Fagiolini Lexington reasonably price tasy local pasta . 
 May 8 2005 	 Cheapest could FindWhich be not cheap Nice stay great Location ! 	 hotel : Eastgate TowerLocation : New YorkTime Stay : April 30 - May 1 2005I spend hour search internet & quot ; decent & quot ; place stay New York i.e . somewhere bed shower ( sharing ) . find minimum price well £ 100 unfortunately 1st may start expensive pricing season , also Saturday . mind , hotel cheap lot ( & quot ; ok & quot ; TripAdvisor review ) £ 135 . crazy think could stayed 3 night place trip price 's New York ! anyway , arrive rather early plan 12 - room not suppose ready later , think 4 pm . arrive phone check someone say 1:30pm , though ready 12:30 great ! room nicely lay . corridor bathroom come , another doorway bit kitchen area ( oven , microwave , fridge , cutlery ) . come bedroom area big spacious - table chair make nice place friend . local subway station Grand Central Station couple block away . reception bell people helpful polite . offer arrange taxi need however walk Grand Central Station cheaper far . 
 mar 30 2005 	 Excellent Value Large room 	 stay Eastgate Towers ( Affinity Group Hotel ) Easter Weekend . 7 we originally two room . get say sell suite one bedroom , give we two bedroom suite $ 300 night . huge ! ! can not even imagine apartment size would rent Murray Hill . ton closet space two bathroom , full kitchen . plain , clean comforatable , plenty room . hotel staff polite helpful . eastgate bit walk subway ( 5 - 7 minute walk ) , size , value , excellent service worth extrea minute subway . definately stay large group . 
 Oct 5 2004 	 Clean Pretty Great Staff ! 	 stay hotel February 2004 good friend visit California . could not believe nice money . service good , room clean big NYC hotel . go visit NYC next month people must catch secret book . search hotel can not seem find one review good one . continue search hope pick one good Eastgate Towers . Great Hotel ! 
 Oct 5 2004 	 luxury bad ! 	 spend 5 day eastgate . the downfall , elevator be not work first day , use service elevator , average furnishing , sofa bedvery uncomfortable , bathroom small , good thing , one bedroom suite , large NYC , probably size apartment . staff freindly helpful , easy grab cab right outside short walk block 2nd 3rd Ave . Dunkin Donuts , Mcdonalds Frontier diner close breakfast , store drug store right street . we walk one night Times Square , you re bad walk short cab ride . overall , price , pretty good deal . we family 5 comfortable except tiny bathroom . a good place stay day anyway , pretty quiet neigborhood come back night . we 10th floor , much street noise , sleep fine . 
 Sep 13 2004 	 average hotel 	 boyfriend spend 5 night Eastgate studio suite . suite include small kitchen sink , microwave , stove , pot , pan , dish . bedroom area large NY room ' ve stay still small expect . although room clean , furniture carpeting quite worn . , wear expect . not fool internet photo ! ! room nothing spectacular . we stay third floor face south absolutely problem street noise . location ok really depend plan be . be plan use subway get around , be good 15 - 20 minute walk near station , Grand Central . be plan go see major attraction , be mostly quite distance Eastgate . frankly see advantage stay Murray Hill area be tourist . want visit UN stare Chrysler building , 's place . hotel staff friendly attentive . restaurant staff ( one waiter particular ) rude arrogant would therefore recommend eat even stop drink . we pay $ 111.00 / night + room tax Skyauction reasonably satisfied . however , would pay $ 180.00 / night + hotel normally charge . in nutshell , get good room rate , be nothing wrong Eastgate . 's average hotel average room . price stay Times Square anywhere theatre district , near subway station . 
 Aug 9 2004 	 great find 	 take kid city week long vacation August . hotel look like convert studio apartment suspect many unit still use . hotel much offer visitor look pamper want good & quot ; home base & quot ; vacation . concierge , doorman , real lobby , slow elevator . . huge room price NYC standard kitchenette allow we eat one meal day save lot money . staff friendly helpful . impressed quietness room . think due fact use apartment would important tenant hotel people stay day . whatever reason , pleasantly surprised . Murray Hill great neighborhood also . go Frontier diner half block away nice , cheap breakfast ( $ 20 tip three we ) . many , many restaurant , bagel shop , grocery store 3rd Avenue south hotel . 
