great 	 2 day return another 7 . location could not convenient 's 5 minute walk Gloucester Street tube station Picadilly , Circle , District line . good , reasonable restaurant nearby grocery store Gloucester Cromwell . staff nice helpful . breakfast great . call continental , include egg , bacon sausage , baked bean , toast , sweet roll , cheese , meat , juice , etc . thing miss fresh fruit . stay two different room , quite nice . really like refrigerator . two non - smoking floor request ahead . not try wifi computer internet access lobby , 1 GBP 20 minute . guess like crisp sheet firm bed find everything comfortable clean . 
 Mar 19 2005 	 4th Floor Clean Met Expectations 	 book hotel part hotel / airline package . staff polite . room clean , somewhat small ( come US hotel experience ) . real complaint lack care give maintain room ( construction maintenance , cleaning ) . door bathroom shamble , trim work questionable frame notice ( rate , fire exit info , etc . ) far level wonder installer his / her eye open . will not bother people . apparently not bother proprietor . nitpick aside , would willing stay . might bring tool box . 
 Mar 17 2005 	 Absolute nightmare - cramp dirty noisy 	 without doubt bad place ever stay life , can not believe even star rating . the lobby pleasant enough thought & quot ; hey be go nice & quot ; get room basement grubby window could not even see . single , expect cosy oh could not even walk round bed . room small single bed ( dirty tear sheet ) stick wall tv extend arm ceiling ( hey save space need room ) big desk make could not actually walk bed desk , squeeze gap . room 8 ft x 5 ft max . bathroom well ...... tiny ...... be like go live not mind much . I not get sleep night , dungeon room locate next boiler something make horrendous noise entire night , Night Porter not care assistant manager next morning basically say lie would & quot ; goodwill gesture & quot ; offer 20 % next booking . that be sort goodwill extend bad enemy . would never ever stay recommend anyone . be like bail hostel ! avoid cost , spend extra £ 20 stay somewhere nice . 
 Mar 15 2005 	 bad 	 spend one night awful place , move street much nice place ( price ) . chance go London , pick well hotel one . 
 Mar 8 2005 	 horrible 	 stay 2002 . room small , hardly room move around carry suitcase . bathroom small well . hotel seem compose 2 - 3 different building rabbit warren one get lose . smell . staff mediocre good . problem safe . someone come quickly , could resolve problem . consider worthwhile complain room alone 3 nigth . price acceptable guess get pay . 
 Mar 4 2005 	 3 star ? dont think ! 	 travel NYC , Canada , Hong Kong China , bad hotel ever stay ! travel London week business , request single room . go room basement , small basement window look stairwell main street ! room small could barely fit bag room . immediately went request another room . bad enough alone , small crappy window thing keep safe stairwell main street ! way , see picture , large long building , end building area build actually condemn ! ! ! right , end build fall literally ground ! ! Anyways receive " upgrade " room 3rd floor . room still tiny , least basement . even though smoke free room stank smoke . first night , sleep uncomfortable ancient mattress , notice dripping sound bathroom . water leak ceiling ! ! ! tell staff problem morning , come back evening notice one do anything towel soak ! tell , come back room hour later , problem fix , lovely repairman leave lovely surprise toilet ! right crap toilet ! place disgusting ! noise another issue . hotel equip cheap window , hear everything go street . hard time sleep . it noisy , smelly , plain AWFUL ! stay ! Holiday Inn Marriot right next door , please pay extra $ go . 
 Feb 26 2005 	 see online 	 discover site search review italian hotel , decide write review Park International . must agree single room tiny , expect see website . hotel make big deal 's Kensington address , convenient , live upscale reputation Kensington area . room clean , public area decent well . also feel , other mention , treat little less nicely pre - pay expedia . front desk staff seem mainly russian soemthe , cold , smile would cracked face . , be not bad consider location , will not spend great deal time room . 
 Feb 8 2005 	 great value 	 boyfriend stay 2 night end January think excellent value money . book online 2 night King Leisure room ( # 510 ) cost 105 pound . room exciting clean , comfortable good amenity , safe mini - fridge . location excellent - couple minute walk Gloucester Road tube station , plenty shop etc area . natural History Museum 5 minute walk away Harrods 15 . one nightbuse pass right hotel - . 96 97 think - use night get back Leicester Square / Piccadilly Circus area 1.20 pound ! breakfast one morning basic fine plentiful . one small thing whatever clean agent use room smell strong hey , scented candle put pay ! ' ve London 3 time good hotel far would certainly stay . 
 Feb 2 2005 	 good rate good room 	 room rate affordable yet hotel nice one . book website get room 40 bp ( $ 80 / night ) 6 night include continental buffet breakfast ( cereal , toast , pastry , cheese , ham , sausage , can fruit , hot chocolate , tea , coffee , juice , hot milk ( coffee / tea ) , weekend salmon scramble egg ; free newspaper pleasant breakfast room . not book via website will end pay . room clean , sunny good size 2 twin bedsl bath room also clean good size . hotel manage American , Dan Jensen . find location extremely good ; far anything town close Gloucester Road Tube Stop , 3 different line ( Blue Line take Heathrow airport , Green Line Yellow Line -- look tube map will understand mean ) . one block street waitrose grocery store full range food item , salad , pate , olive , antipastos , like we will enjoy buy bottle wine meal room occasionally , room small refrigerator . british Postoffice locate near also CyberCafe across street . wireless computer , book ' wireless ' connection room turn computer sign $ 48/7 day unlimited . also drug store block away fron hotel . arrive early get pay 10 pound early check . hospitality industry arrive one hour check time room ready give , maybe hotel , least know since work hotel time ago . pay everything . need concierge help ; guy not much least week ; front desk help not know direction . show hospitality . bad thing someone help direction tip city visit . manager agree we tell we concierge available . bottom line : real steal London . local not know hotel ... estimate cheap equivalent hotel London would 65bp $ 130 / night . want quiet room , ask something street . room 408 , wasquiet . 
 Feb 1 2005 	 small noisy room 	 stay Park International 29th Jan 2005 . first impression good . reception clean staff polite . able check hour early without charge . Thought get great hotel . start go hill . after read comment forum decide superior King large well location hotel . judge size room would hate see standard king like ! location look main crossroad junction traffic light . get later . the first mistake make ask hotel book taxi Albert Hall rain . smart man nice mercede turn take we charge we ten pound pleasure . walk back less mile ! lesson - BOOK cabs HOTELS ! establish junction outside hotel busy . bus car continualy go 3 be toot horn etc .... stop start around 6.30 sunday morning . underground also hear . usually problem double glaze window be not case . window block sound . finally resort try sleep pillow head block traffic noise , even do not work . would definately recommend get room without street side view , take ear plug ! will not even bother mention continental breakfast nothing really say it . overall hotel not bad . good location explore london reasonably price . would stay need , know know would slightly choosy room location take ear plug . 
 Jan 21 2005 	 Excellent value 	 base read expect much surprise excellent room big , quiet sunny . pay 44 pound use website great value breakfast include . . travel London business usually stay business class hotel , Sheraton Park Tower , Sheraton Park Lane , Sheraton Skyline . experience 4 - 5 star place price 150pounds / night . . arrive Jan 13 Boston get hotel around 8 am . would not check unless pay 10pounds early check . feeeling would happen since states website charge early entrance fee . fill paper work ( take photocopy passport make credit card imprint ) go Mariiott Kensington block friend mine stay . pay around 120 pound room nice room small room would eventually get Park International . go back Park International check around 3 pm . ask quiet room ( room back ) give . 5th floor surprise see room . room big ( London ) , big Mariott Kensigntons ( small Sheraton property ) , clean , fridge two bed ( even tho travel alone ) . bathroom clean room window look quiet street whcih get great light morning . breakfast next day , good , nothing fancy fruit , pastire , cereal milk juice . also provide free paper USA today local paper . total bill $ 98 night include VAT Tax . hotel great value surprise . staff nice nothing wrong hotel . fancy business class hotel pleasure not feel like shell lot money . 
 Jan 13 2005 	 DARK International 	 stay December , 2004 . nightmare . room small , even room suitcase . small person walk sideways bed desk get & quot ; closet & quot ; . staff rude unpleasant . trip surprise birthday present husband . sadly , Park International low point celebration ! 
 Jan 13 2005 	 not waste money 	 bad hotel ever see travel . wife Europe several time typically stay locally own 3 - star establishment not expect Ritz . room tattere , bed break stain comforter , bathroom gross . ask another room full would not refund deposit . nevertheless , opt walk street Holiday Inn pay another room rather stay dump . 
 Jan 2 2005 	 avoid avoid place ! 	 family stay 12/30/2004 1 night . unpleasant say least . get lobby , one help we despite 6 bag 4 we ( , wife 2 kid , 7 & amp ; 8 ) . book quadruple room . 2 double bed stuff extremely small room . may ok small kid , child old . tell big room nothing could . stay 2 hotel London yes , room size small , 2 room much big & amp ; service much well . room small , enough room put bag even walk bathroom without someone sit bed . bathroom size airplane 's . morning , wife get violently sick hotel staff indifferent . not pound , wife need coke tell walk 2 block money exchange could get one . call tell may stay another night sick would come bathroom , say impossible , leave immediately . leave ( still help ) , charge 20 pound credit card stay 45 minute past check - out ( 11am- think 12noon ) . bad thing hotel , review already long . never stay recommend anyone stay , far well place stay ( read review Ibis ) , stay away ! 
 Dec 29 2004 	 Lovely Hotel 	 ' ve return spend 5 wonderful night hotel . sure , room small compare US standard , adequate . room entrance store luggage , plenty room walk around bed . bathroom small . breakfast wonderful . supply assorted croissant muffin , several cereal , toast , fruit , cheese , meat , tea coffee . reserve site include , . staff wonderful . greet friendly hellos everytime enter front door . location great . short walk tube . even manage 30 minute walk Picadilly Circus Christmas Day . this second stay London . LAst New Years , stay Holiday Inn - Docklands Excel . big modern , would pick hotel Holiday Inn anyday . 
 Dec 15 2004 	 great hotel great price 	 stay hotel early December . come London travel around Europe . past experience London hotel , expect bad . great surprise room give 4th floor spacious well keep . staff efficient polite breakfast good . excellent location , especially direct tube line Heathrow airport major London attraction . price , really could not ask . highly recommend . 
 Dec 3 2004 	 's perfectly adequate place be budget 	 would stay hotel . price right ( London standard , anyway ) , location great , staff helpful room adequate . frill . ' ve stay many London hotel one bad . annoying , though , charge pound bag storage check , phone charge room ridiculous price charge newspaper outside restaurant breakfast serve . also want ten pound per hour check & quot ; check & quot ; time . hotel simply allow check early room already clean available . kind & quot ; nickle dim & quot ; not create much goodwill . 
 Nov 29 2004 	 not even think stay ..... 	 hotel depress lack upkeep , & quot ; nickel dime - ing & quot ; place ever stay . extra charge exist everything flexibility whatsoever even charge precipitate hotel problem . hotel choice London 's reason stay place dogmatic care policy guest . addition , room plain depressing : hole blanket , rip mattress , rip wallpaper , small . 
 Nov 20 2004 	 Shoebox Sized room Closets .. closet ? nice Front Desk People . 	 Old London Townhomes string together create & quot ; hotel & quot ; . first let say know room size small US , top . stay advertise triple . three bed thing remotely resemble anything & quot ; triple & quot ; . bed old could feel spring mattress . last day , Rude pushy maid enter room early , checkout 11:00 , barge room 9:00 . would not take hint . the closet tiny , barely enough space one person clothing , let alone three . the bathroom tiny . clearly owner place renovate remodel intent getting say .. wring every buck building . basically put room single , three bed . room 300 sq . ft . , lot . book place via internet , say : check space commit . overpriced . say , front desk staff , concierge pleasant , professional , accomodatiing . way negative reflect good people . english breakfast good . regard coffee , 's starbuck two block away across Gloucester Street Tube Entrance , another one ( close ) Sainsbury 's Grocery Store street . 
 Nov 2 2004 	 Park International Hotel -- worth cost 	 Park International Hotel , London , Crowell Rd . borough Kensington Chelsea . decent 3 - star , , less ; however , 's location people work front desk , couple low cost make true value money . it be 1.5 block Gloucester Rd . tube stop 3 line run , 3 block V & amp ; , natural history , Science Museums . block another direction bring Kensington High Street Kensington Park Palace . within 2 block numerous restaurant , 2 large 1 small supermarket , 2 internet cafe , post office , laundromat , one ATM machine . room neat clean , though nothing special . add helpful , friendly front desk personnel concierge ' ve get recipe success . will definitely return next trip London 
 Oct 10 2004 	 great experience ( teen kid ) would gain 	 ( two parent , two kid age 14 & amp ; 11 ) stay hotel late July two night . find hotel tourist help desk Stansted airport . relatively painless get stanste , wonderfully easy get Heathrow way back . our first impact positive person help we take time show we several room , get pick one fourth floor . get rollaway 11 - yr - old , yes , get bit tight , London expect amazingly low price ? room clean , staff extremely helpful friendly . breakfast not exceptional include price talk London . Thai across street one night love . aside Gloucester St. station nearby , walk 10min museum , Kensington Garden also South Kensington . I stay place London ( Europe US ) definitely one good experience money . definitely go back London . guess base review will ask put basement ... 
 Oct 10 2004 	 nice enough AWESOME location 	 family stay August ' 04 . book Expedia , not get kind room would like . ( kind low level room ) tell Expedia , get get . hotel full , could not move we . staff nice . room clean , ( quiet ) rest hotel . good part location ! S. Kensington great & quot ; residential & quot ; neighborhood , obviously upscale side . Gloucster Road tube station 1 1/2 block away , walk distance Kensington Palace . , nice . maybe call great staff book room would well idea , though ! 
 Oct 2 2004 	 Excellent Value / price ratio 	 stay Sept 29th - Oct 1stIf travel short - time tourist , alone ( mean do not impress anyone ) budget mind must choice . clean room ( single level 5 ) approx 40 - 45 pound top per night . will save lot use tube ( LHR 7 8 station away transfer line require ) .walking distance Harrods , Hyde Park , Chelsea use tub ( Gloucester Road ) , place London . ask non - basement room book use website receive breakfast 
 Oct 1 2004 	 actually 2 - star hotel American Standards 	 Room tiny , especially triple ( 2 double bed ) . everything cram every available space - mini fridge close desk chair would accidently open fridge even time pull chair . one could pass someone seat chair . bathroom even small well ventilate smell stink foot . low water pressure , even though second floor . nasty thing mildew bathroom ceiling . hostess breakfast buffet rude act like not speak English . 
 Sep 27 2004 	 Excellent Place stay 	 hotel wonderful place stay . location well , especially option take tube straight Heathrow -- -save lot money hotel / airport transfer . King leisure room large ( british standard ) , bed comfortable , airconditionne much appreciated heatwave early September . good price definitely find hotel website -- also book site guarantee we breakfast -- quite good . location fantastic tour London . Gloucester Road Tube station 3 different line could not easy . also easy get around hotel bus . area Kensington lovely walk around evening -- lovely short walk Kensington High Street Palace . 
 Sep 18 2004 	 great location good room immentitie 	 friend spend 9 day hotel July 2004 please get . complaint , staff not knowledgable surround area also , problem book Travelocity tell breakfast include tell hotel , not one offer call travelocity try fix matter . aside , hotel excellent location ! restaurant , pharmacy grocery store around 's couple block tube station . plus , great tube station ! ' ve London 3 time total one good lift ( come great handy lot luggage ) be get three line come not transfer much PLUS 's line go directly Heathrow save money airport hotel transfer . room , average sized London wonderful central air conditioning need friend asthmatic despite popular belief , London get humid summer . also love fact every room refrigerator really come handy . would much recommend hotel anyone expect return London least 2 time , definately book list ! 
 Sep 12 2004 	 good location rest CRAP ! 	 location nice , easy access subway dining , room AC . however .... book via Expedia mention breakfast include price , room ( single ) BASEMENT ! grant , small window , room small , room travel bag ! stow bathroom want move around , get dress etc . bed utter crap , red mark om back spring wake morning . ( ! ) ah , yes , room vibrate everytime nearby subway pass underneath . the bathroom towel arrive , take 2 hrs get , advertise safe room break . make sure hang & quot ; disturb & quot ; sign door go slep , clean lock 06:30 one morning ! ! ! ! ! ! go somewhere else , least want one bed room , risk ending & quot ; toomb & quot ; sleep ! 
 Aug 31 2004 	 comfortable Superb location 	 stay Park International 4 night July 2003 find exceptional value money . arrive several hour check - in time , staff accomodate we brief wait . room comfortable clean great extra , even fridge ! Sainsbury 's road tonne quality restaurant nearby , plenty meal option . late - night internet cafe across road reasonably price convenient ! close shopping , tube station , museum much ! 
 Aug 20 2004 	 Park International London 	 wife visit London early May ( ' 04 ) stay Park International . nice small hotel great part town . close tube ( 3 block ) . far ( 8 - 10 block ) many museum . staff helpful friendly even though hotel busy arrive . several nice pub restaurant near tube find place eat difficult . book ride Gatwick hotel thinking would ride bus way airport . find bus take we Victoria station give train ticket . meet airport , would much hard do save pound . 
 Aug 18 2004 	 find something else 	 stay Park Int ' l early August , 2004 . location great that s care , place ok . get room setup promise clerk indifferent uncaring , need rollaway bed horrible . double bed uncomfortable . room noisy street noise may well move bed onto sidewalk . hotel clean nice care can not get decent night sleep . skip continental breakfast , cardboard . check , another couple check fight clerk could not get room setup promise , kid could not next parent room - clerk could care less . do not expect help travel sightseeing plan act like bother . location great that s place . 
 Aug 13 2004 	 Great Value 	 stay room 211 . quad room face street . room clean staff friendly . staff always willing help . the location good . block Gloucester Road station . ( zone 1 2 mention another posting . ) neighborhood quiet safe . we start plan next year trip stay . 
 Aug 12 2004 	 Hotel website beat Expedia 	 stay Park first two weekend July ( 3 - 5 , 8 - 11 ) . although room exciting , clean surprisingly quiet . location close Gloucester tube big plus . easy take tube right Heathrow . one weekend book Expedia breakfast , overprice buy anyway . room acceptable though cramp , AC drip noticeably . second weekend book hotel website . repeat customer return London upgrade large room bath . cost hotel less Expedia . thing consider would stay Park . want location , safety , get . 
 Aug 12 2004 	 not like . find another place 	 not like place . room basement . get room challenge . hall small narrow . room ok , could clean . 's 3 block away Tube station , Zone 2 . staff not friendly . computer problem get . wait take care problem . not mind . staff look stress . will not stay . 
 Aug 11 2004 	 's bad ! 	 stay Park International July 2 night , business trip . stayed & quot ; single & quot ; room tiny . quite amazing could fit bed , minifridge , desk , chair , tv small space ! upside , hotel room clean , staff friendly , breakfast quite fulfil . also nice scenic neighborhood , Kensington . stay 1 - 2 night , need place stay , okay . however , not know get 3 - star hotel rating . basically equivalent American Econolodge , Motel 6 , be nothing wrong . call 3 - star hotel may raise booker ' expectation much . 
 Aug 9 2004 	 convenient location 	 stay July 4 - 8 , 2004 . stay several tiny room ( book triple ) several city , pleasantly surprised find relatively spacious , clean room . finely furnish Hilton Olympia , much large half price . great access tube system , grocery restaurant . book hotel website - get good price , breakfast include hassel checkin . 
 Aug 5 2004 	 Location location location - decent hotel 	 husband stay four night think quite nice . location fantastic , right next tube station within easy walk distance Natural History Museum , Victoria Albert , Hyde Park , Kensington Park , Harrods , two grocery , lot good restaurant pub . hotel certainly not attraction , staff competent leave pretty much alone . room fairly small fridge large tv big bathroom great shower ( lot hot water ) . complimentary breakfast we ( book Travelocity ) , hotpot room grocery 2 block away trouble get good cheap breakfast . room face alley quiet . would definitely stay , especially could get another great deal price . 
 Jul 18 2004 	 nice 	 husband really enjoy hotel . come 3 - star hotel Paris . room much large one Paris seem nice . room bathroom keep clean . AC great big tv get great reception alot channel . the location great . block Gloucester Rd . station hook 3 different Underground line make easy we travel London . also many different restaurant around hotel include grocery store . book Expedia receive free breakfast . metro stop little mall get breakfast cheaper go little coffee shop ( ) Garfunkel 's . could also pick something grocery store . we trouble 3 - prong outlet purchase european converter . since first time London , not know common . go across street buy another little plug changer travel store 5 pound . go desk ask one . if someone hotel read , buy converter let people use . also , try soundproof room little well outside room . I would return hotel visit London . location fabulous really enjoy stay . 
 Jul 17 2004 	 small great location 	 stay 08 july-15 July 2004 , room small learn move around . dresser clothe storage leave thing luggage refridgerator closet . freezer compartment . room clean . bathroom sparkle . day room clean look great returned end day . outside noise minimal . stay first floor . staff friendly helpful . always eager willing answer question point we right direction day adventure . hotel clean morning person even clean front step . yes , old portion hotel see nice . location hotel fantastic . 2 block tube , bus stop across street 2 grocery store 2 minute walk . everything need within reach . we enjoy book trip thru Expedia . downside complimentary breakfast include book room directly . oh well ! ! plan return next year plan stay . 
 Jul 16 2004 	 never unless homeless ! 	 stay two room . first one double room could move around basement . sunlight . second one second floor single room . room tiny store one piece luggage closet . otherwise not able reach door without jump ! exaguration ! staff helpful bit & quot ; & quot ; friendly ! kettles room rusty not stomach tea / coffee . breakfast decent though ! never ask call cab ; 's double regular price . find street . 
 Jul 15 2004 	 beware ! ! ! ! ! ! ! ! ! ! ! 	 beware ! ! ! ! ! small .. ... shoebox sized room , book thru Expedia get hose . many staff unfriendly , three star hotel .... maybe 2 . promise thing follow . decent room 5th 6th floor . also , standard adaptor three prong work . decent location . 5 ' 10 & quot ; uncomforatble trouble shower . try Ryders street . 
 Jul 6 2004 	 unfriendly 	 place hor - riblay ! stay July 2- July 5 . begin ? first , get hotel little noon tell could check 2 pm . fair enough . paper work first , come back go room , would behind we . return hotel , unfriendly blondish woman front desk ( English ) could find paperwork anywhere keep we wait 5 minute without apologize . when get room disappoint . tub disgusting broken tile . linoleum bathroom floor also warp . plus , shower cold water . take uncomfortably hot shower 3 night . good thing room A / c big tv ( snowy reception way ) . ask extra blanket hour wait , call front desk finally get . thing happen friend mine stayed ask iron . make wait 1.5 hour . room tiny well A / c drip non - stop . also would let check - in 15 minute early ask hold bag we check could eat breakfast , charge we 1 pound bag . never life pay hotel stow bag ! would go back hotel . Believe , stay 5 star well 3 star hotel place worth stay , even get somewhat reasonable price . room 3 star level , staff incompetent unfriendly . 3 thumb ! ! ! ! 
 Jun 27 2004 	 customer always wrong Park International 	 stay three friend hotel May 31st June 2nd , 2004 . staff terrible . smile greeting bode ominous portent come . despite plea , could check we early ( around 9 ) . stow luggage we . tell check prescribe check - in time ( 2 pm ) . two room reserve Expedia.com . apparently , book Expedia , get bad treatment . guy front desk admit could give we preference since book Expedia.com . request two room , one queen size bed another two single bed . well bad , since desire accomodate we . also , request room close . bad ! room cost , however , one room twice size . puzzle . tell small room & quot ; Standard Double & quot ; . wow . tiny two people . vacation , want fuss right ? space not issue , attitude definitely ! unfriendly staff & quot ; not care & quot ; attitude . book Expedia ? would recomme hotel . want cheap hotel , go Hotel Regent Palace , friendly staff also magnificent location . 
 Jun 12 2004 	 Great Location Good Room 	 stay week June 3 - 10 , 2004 , choose hotel base review website . nice room -- kingsize bed , 5th floor backside quiet . room extremely clean ask non - smoking room get . book directly hotel breakfast include rate would recommend . take e - mail confimation regard rate , etc . , case . location great -- 2 block Gloucester tube stop restaurant , pub etc . surround block . front desk staff nice . would stay . ( however , would hesitant use & quot ; Hotel Link & quot ; get airport time ! run late leave day later . ) 
 may 22 2004 	 Shall Return 	 stay Park International five night May June 2002 . staff washelpful friendly . observe deal politely & quot ; ugly Americans & quot ; make unreasonable demand impress handle situation . room small , clean , quiet safe exactly need travel alone . extra amenity add extra touch stay . breakfast variety good food , buffet style paper plate . neighborhood interesting safe . Gloucester Road tube station short walk away . would definitely stay . 
 May 17 2004 	 Word Caution ... 	 return five night stay Park International . hotel comparable old Hampton Inn . book Deluxe King Room Orbitz , advertised & quot ; recently remodel . & quot ; room give first floor face Cromwell Road . extremely noisy , cramp little worn around edge . go back front desk confirm give & quot ; Deluxe & quot ; room . assure we , ask something less noisy . move Room 310 much nice , could remodel anytime within last five year . word caution ' ve book pre - pay reservation , make sure bring confirmation . front desk staff insist reservation pre - pay Orbitz book hotel 's website . conversation staff member checked check . instance , manager stand within earshot conversation , get involve ask speak manager . time , manager take one look paperwork concede reservation indeed pre - pay . fact prove reservation pre - pay twice course one stay little shady . would stay reason . 
 may 14 2004 	 Nice hotel great location 	 stay April 3rd -8th April 11th - 14th . first night arrive , put small , cramp room look like basement . could barely get luggage . although quiet , ask , dark . ask move , decide upgrade . person front desk assure we basement room well room , not convinced . lady desk step give we room 310 . one nice , soft hotel bed ' ve ever stay . bed right next door hear lot noise , away street , traffic noise nice . last part trip April 11th - 14th . room 310 book get room 410 . room quiet bit space London standard . room refrigerator . room 410 bed hard rock , away door , quiet . street well . put blanket underneath bed hard , be compliant . location hotel could not well . be across street Sainsbury 's grocery , laundromat , well cyber cafe . be also 3 block Glouchester Square stop . Perfect trip downtown twice day . couple nice inexpensive restaurant nearby well . would stay . everything clean ! 
 Apr 23 2004 	 Personality plus Park International 	 wonderful hotel . stay 10th wedding anniversary price impress . hotel nice personality . decor atmosphere hotel give we true London welcome staff receptive friendly . enjoy great location shop activity lot . could believe price . expect anything real special since book one less expensive hotel knew check real bargain . thank much management staff make stay memorable enjoyable . definitely stay . 
 Apr 22 2004 	 lovely hotel superb location 	 highly recommend Park International Hotel anyone . minute walk lobby know great choice . interior design beautiful staff professional accomodate . room spotless comfortable . breakfast morning hotel . ? delicious convenient . look hotel centrally locate , clean lovely atmosphere - search . Park Hotel deserve excellent rating . 
 Apr 22 2004 	 recommend - consistently good 	 ' ve stay Park International Hotel least ten time past four year always please room service . staff always go way friendly helpful . breakfast consistently good ; room clean well appoint . together important thing , great location South Kensington next Gloucester Rd . tube reasonable price mean will keep stay , also highly recommend everyone go London . 
 Apr 21 2004 	 great value service 	 Unbelievable location service match . originally plan stay 3 night enjoy hotel amenity much speak management agree stay remain two night holiday Park International hotel . convenience tube station local shopping fare make great value quality make outstanding . definitely stay return trip London fall . not change thing . thank . 
 Apr 18 2004 	 Rat Room 	 room cramp , clean . can not believe stay hotel review . request always meet astonish , & quot ; one ever ask before . & quot ; Toilet paper ? one evening problem internet connection could not get back main page help number . call front desk see . meet extreme defensiveness . & quot ; one ever complain internet before . & quot ; - & quot ; want telephone number start - up screen . & quot ; - & quot ; again . & quot ; - & quot ; can not . be want telephone number . & quot ; them- & quot ; one ever problem . & quot ; ... oh well . next request adapter . luck . ask bus trip sightseeing question - idea . finally nickname front desk - Service Group give up . until .... rat room . screamed rat run . call front desk . surprise - & quot ; one ever rat room . & quot ; finally rat run door . front desk person finally arrive 25 minute later , say rate come back husband could take care . thank god last night . not sleep could not wait leave . that be . overcharge we telephone call . room one rate , desk clerk help another sheet paper . said & quot ; see right here . & quot ; give up . DON & quot ; stay unless want STUDY RATS . 
 Apr 14 2004 	 great location wonderful staff fantastic choice ! ! ! 	 stay four night April 3rd 7th travel Paris . Park International Hotel safe wonderful location , easily accessible anywherein London via Tube ( Glousester Rd . Station ) . room pretty big relatively speak immaculate ! staff fantastic ... first evening think something wrong tv remote ( turn not know use Britain remote ! ) one staff room almost immediately fix . staff also knowledgeable direction popular area landmark London . breakfast adequate great way start day tourist . would definitely stay ! ! ! 
 Apr 14 2004 	 wonderful staff ! 	 first time London . hotel come package . although restaurant , two across street . room clean comfortable . the staff fantastic , make fact restaurant right there . I actually miss left . would definately reccommend hotel friend . 
 Apr 9 2004 	 Park International Great 	 base good review read site wife book Park International nine night March 30 April 8 . least disappointed . get hotel Heathrow snap use Picadilly tube line get Gloucester Road . excellent location make easy tour London public transportation . staff super , breakfast adequate room clean comfortable . would stay qualm recommend Park International . 
 Mar 27 2004 	 Loved ! 	 back vacation London Mom . nervous booking sight unseen . worry ! hotel excellent . staff pleasant . hotel clean . mom diabetic breakfast meet standard ( dry cereal , dry fruit , pastry , deli meat , cheese , bread , can ( tin ) fruit juice . look customize omelet stay hotel walk street one many eatery . the neighborhood excellent . 3 line 2 block tube station . stay . meet need . 
 Mar 24 2004 	 highly recommend 	 return week London happy stay Park International . hotel great location - 2 minute walk tube ! single leisure room . small clean comfortable ... plenty room . problem shower - hot water plenty pressure . breakfast good serve paper plate one reviewer claim . hotel staff helpful many way ... direction , call cab return airport , etc . London expensive city stay Park Int ' l moderatly price hotel well worth . highly recommend stay hotel . return London stay . hope help ! 
 Mar 22 2004 	 Super Location 	 take advantage super low roundtrip fare British Airways spend week London 4th 12th March . place wonderful neighborhood , bus line , super close tube station , post office , internet cafe , restaurant , large grocery store small drug store . room small clean bed comfortable . yes , shower hot plenty pressure ( flow restrictor place ! ) . breakfast simple fill front desk staff helpful . refrigerator not work first check literally minute call report maintenance man door another mini - fridge . not think could find well value wonderful neighborhood . tower holiday one block away , price much , much high . would recommend hotel would stay . 
 Feb 21 2004 	 Honeymooned London stay ! happy ! 	 look place kick back , relax , get wait , . hotel perfect traveler need nice , clean place sleep shower spending time hotel . upscale neighborhood . courteous staff . fresh continental breakfast ... yes , serve paper plate ( mention one review ) . big problem plenty hotel charge double serve nice flatware china . wall thin , true many Euro hotel . internet caf ? across street . Gloucester Road tube 2 block away get everywhere . ... hotel traveler need baby , totally adequate recommend . 
 Feb 20 2004 	 tremendous reservation ... 	 thing save Park Int ' l decrepitude whomever care enough keep place run . person clearly work behind front desk . find one helpful individual 3 - day stay Valentine 's weekend . rest range uninterested downright unpleasant . fyrthermore , appear renovation take place . however , finish room . simply push bed front wall hide dangle electrical wire unpainte drywall . luckily , housekeeping staff ball . place clean enough . breakfast worth whatever charge . go one local cafe ... least neighborhood fantastic . I would stay , especially since many well hotel area , esp . price . 
 Feb 6 2004 	 great value hotel - excellent location 	 Park Hotel good value money . fantastic location ( 2 minute Gloucester Road tube ) . room not huge clean . bed comfortable , shower fabulously powerful plenty wardrobe / luggage space . mildly negative point staff bit disintereste breakfast ( pay ) steep side . would definitely go back . 
 Feb 4 2004 	 money ! 	 Park International website , locate minute central LONDON Kensington , Cromwell , upper class feel safe neighborhood . not use hotel internet much , right across street Internet cafe ' 30 & quot ; $ 1 GBP ... less student . the hotel one block tube minute away anywhere want go ! tube good transportation experience , well Paris Metro NY Subway , fast easy use , camera , feel safe . get pass cover day ... cheap way , get zone . the room rather small . refurbish . Breakfast include nice . staff especially , Shawnhen , David Sasha helpful . BOOK LINE REDUCED rate ! store luggage , travel country . Amazingly will not need much wear .. go Rick Steve 's site see packe . fun ! Sherry 
 Jan 31 2004 	 large room 70 's atmosphere 	 stay last week night . check - in not pleasant experience , gentleman behind front rude . treat maybe hole wall , make want cancel reservation together . room spacious , least london term , seem old , floor creak . bath seem rennovated , sink crack place , make want use without turn light . , 70 's like atmosphere . room stay face cromwell road , make quiet . give price room location hotel , guess 's worth money . room much use makeover . 
 Jan 29 2004 	 Park International -- Excellent Location 	 location excellent -- block tube station safe part town . would stay location alone . single room tiny , clean well keep . upgrade double thought well worth extra money . bed far comfortable actually room open suitcase still place stand . staff quite helpful . main detraction : super thin wall . awoken sneeze , snore . light sleeper . would stay -- earplug , case . 
