money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 Apr 7 2008 	 great family 	 husband , 12 year old 8 year old follow DC trip three night stay NYC . nervous bed bug epidemic NY ( not know talk , check internet , need informed . ) husband check ahead we check everything well . room clean overall , although show age little way find acceptable . picky mention notice hallway tell vacuum not make edge ( guess would need attachment ) little dirty , horribly . also true around door jam lead bedroom bathroom -- little dusty . otherwise clean . comfy bed . slept great . ny free breakfast ( buffet around $ 24 believe , sure , not buy ) park $ 35 day access car unless want pay , expect . one nice security feature walk past man podium first go elevator street , ask see key become familiar . elevator stop lobby third floor need walk past front desk next bank elevator proceed room . great location . 2 short block subway , could see & amp ; store window ( kid love ) , close walk 3 story toy r ' we , Hershey Store , etc . expensive , think worth . friendly staff . great cookie check ! 
 Mar 30 2008 	 great location ; overall underwhelming 	 Hotel great location . dead middle Times Square . easy walk theatre plenty restaruant . tour area , convenient subway stop plenty taxis . have problem reservation . initially three we go king suite sofa sleeper Times Square view . another daughter decide go check twice make sure ok tell . week trip call make triple sure tell would permit 4 room . speak manager , able get reservation double sofa sleeper . make sense require double bed instead king . kid sleep sofa anyway ; small bed deal . aggravate . service ok , nothing . room clean well quiet comfortable . utilitarian pretty expensive $ 500 + night taxis . we want Times Square satisfied . come , stay elsewhere though . 
 Mar 25 2008 	 Great Location ! service 	 top notch location - you beat . room overlook Times Square , heart action block noise peace quiet . service anything special . really push certain ticket ask help . helpful thing . worth money could use customer service lesson . 
 Mar 20 2008 	 Beware concierge 	 concierge real concierge . sell product ticket really high price . go across street buy Broadway ticket 1/2 price go tot box office . 
 Mar 18 2008 	 Nice room 	 big room , nice linen , clean , great location , affordable . Michael front desk great ! time check time check feel like value guest . two Thumbs ! negative mean .... typical problem hotel , drainage tub . take care immediately ! 
 Mar 10 2008 	 well locate great family 	 stay weekend 4 year old friend , separate room work great . move room since first one view wall ( guess use point not get view ! ) . move , 16th floor great view . bed comfortable , room clean bathroom renovate . well locate NYC activity . staff hit miss good service . 
 Mar 10 2008 	 great family group lot room 	 Directly Times Square , front door adjoin front door legally blonde . right middle action , crowd pace sidewalk may bit intense , particularly anybody stroller walk aid . definitely worth upgrading package include complimentary breakfast buffet . buffet include fresh fruit , hot oatmeal , hot breakfast meat , omelette egg make order , pancake waffle order , cold meat cheese selection , smoke salmon , juice , breakfast pastry . something everyone , open 11:30 morning . suite two double bed plus living room pull couch . Decor pleasant , kitchenette helpful . extra sink large mirror kitchenette area double extra vanity . three woman stuff fit nicely , crowded , comfortable . the fitness center construction , temporary quarter crowd servicable . business center three computer servicable printer , work well convenient . no complaint , great stay , return travel family . romantic holiday , go several block away Times Square calm relaxing experience . 
 Mar 7 2008 	 nice place 	 stay suite two 6 month old three adult . room small , comfortable . bathroom huge ! location convenient restaurant shop . baby love Hard Rock Cafe ! would stay . 
 Mar 4 2008 	 Falling Standards 	 stay Feb year , stay several time think last time . use hotel choice NYC standard keep fall . possibly bad bit truly awful room service meal valentine night lack real desire sort problem . size room large side well place NYC money . sort Doubletree . 
 Mar 1 2008 	 fantastic place stay 	 husband , together 4 year old son stay Doubletree Guest Suites 16th Feb 2008 four night celebrate husband 's 40th birthday . never New York , want heart Times Square Doubletree certainly . suite 9th floor great view Times Square could not hear noise night . son sleep double pull sofa bed lounge adequate . bed huge comfortable . staff hotel friendly need coffee room , housekeeping deliver almost immediately . fresh coffee machine come handy quite cold , although Monday not need coat ! doubletree within walk distance Central Park , Empire State Building , Macy 's Greyline Sightseeing Tour Bus stop opposite . plenty place eat drink people say eat drinking Times Square expensive . find reasonable around corner Bar / Restaurant call ' Lanagans ' local use make feel welcome , especially 4 year old food great . book ticket Empire State , Statue Liberty , Helicopter ride Manhatten , Federal Reserve Bank , Hop on - hop bus tour Broadway Show on - line travel glad everything plan trip everything go plan . go wrong stay Doubletree would definately stay . 
 Feb 29 2008 	 Excellent 	 Excellent Hotel great location Times Square within walk distance main attraction shop . perfect 1st time visit New York . suite clean comfortable - rellay nice lounge area long day shopping sight seeing . breakfast hotel load deli diner choose .... particularly like Evergreen around corner . the subway stop right next door hotel perfect want venture little far . all would recommend hotel would definitley stay visit New York . 
 Feb 29 2008 	 great Stay ! 	 stay doubletree Valentine 's Day weekend love . room clean , big NY standard . live NY , think might fun & quot ; tourist thing . & quot ; , reasonably price great view Times Square Hudson River ( mention , 31st floor ) .I would reccomend hotel highly ! 
 Feb 26 2008 	 Great Hotel Wonderful City 	 sister take dream vacation New York City decide stay smack dab middle Times Square . Doubletree Guest Suites right center everything . get one bedroom suite pull sofa ( okay , sofa not comfortable ) fantastic view Times Square . arrive 7:30 check - in not 3:00 pm , room ready ! intention hold bag check - in send we right room . the employee concierge desk FRIENDLY accomodate . talk we show interest New York enjoy stay . help we reservation dinner , last minute Broadway ticket , direction sightseeing , etc . think noise street would bother night , actually quiet . not use hotel facility , restaurant , gym cafe look great . doorman kind , although say require show room key entering , not seem enforce rule much . the room clean provide exactly need , place crash day sightseeing explore . 
 Jan 31 2008 	 Nice Time Square Suite 	 great location great choice want 2 - room suite . travel teenage son perfect we . use bedroom take pull sofa living room . bathroom hallway disturb use toilet night . Time Square view really cool . side sofa bed really hard open . houskeeper show we , problem . also , upholstery & amp ; carpet start show wear & amp ; tear . hotel consistently sell ' m sure room take beating ! front desk & amp ; coffee bar clerk friendly door guy always check key . another side , be pretty hard get taxi , corner awkward spot , couple time taxi driver ask want go , say availble ! learn get taxi first , tell go ! one point , also stay Hotel Qt Hilton Times Square . property well couple single person . Hotel Qt perfect 30 party atmospere . Hilton nice couple . would stay visit NYC child . 
 Jan 22 2008 	 Great Hotel Great Location 	 never NYC , price hotel general may give cardiac failure . hotel exception . $ 350 room ? ! ? hotel Times Square , want go Theater , anyplace else city , hotel well locate . subway stop hotel take anywhere . hotel clean quiet , large NYC hotel room . staff helpful . real complaint . 
 Jan 21 2008 	 Awesome ! way Times Square . 	 stay surround long weekend see play go shop . amazing ! great service BEAUTIFUL view Times Square . go Square view , worth tenfold . comfy bed , great amenity ... walk right action Broadway everything else NY offer . staff courteous room service delicious . enjoy ! ! ! even decide add night staff great enough keep we room , even though already book . thank , Doubletree ! 
 Jan 18 2008 	 Accommodation 	 go New York 15 year old daughter first time October 2007 . originally allocate king suite arrival . lovely view , sofa bed unusable spring could feel thin mattress . complain reception reallocate room double bed ( pay ) - view . apparently room type guarantee book directly hotel . sofa bed well first one far short comfort bed . result daughter sleep room . find extremely inconvenient make accommodation poor value money - around £ 300 ( $ 600 ) per night expect able fully use room bedroom could save lot prepare settle suite sleep one room . check - out report daughter 's mp3 player miss . follow email complaint get home - even bother reply . good location could do well money . safe awkward use bottom cupboard - not tempt leave valuable ! P.S . still great holiday . 
 Jan 14 2008 	 convenient room location staff unfriendly 	 travel New York City one two time month family nice two room 4 we . hotel convenient many attraction New York City restaurant site . however , breakfast buffet good , edible . people front desk friendly border downright nasty sometimes . one woman front desk downright rude . contact double tree nothing , husband stay elsewhere possible . except staff breakfast , rest fine . however , pay $ 400 + night would like something well fine . 
 Jan 14 2008 	 great location 	 stay Jan 9th- Jan13th 2008 . suprise trip daughter 's 21st birthday . ask room good view get 13th floor corner room ..... good one , view times square , tiny room , sofa bed armchair , scruffy , bedside table one side king ( ? ? ) bed . ask change next day staff accomodate , pay bit , get much big room 30th floor , much comfortable three we . superb location , fall bed get coffee doughnut breakfast large selection place . right near broadway show , subway next door , staff helpful friendly , room clean everyday bed make , fresh towel . quiet room consider right hub thing , great blackout curtain . we love ! ! check 12 noon i d not leave airport ' till 3 pm , store luggage we could lunch last minute shopping . grab bag 2.45 , downstair doorman grab cab , could not easy ! 
 Jan 12 2008 	 wonderful Christmas Holiday 	 stay 22nd December 2007 5th January 2008 . check 9 pm really easy ! give corner suite overlook Times Square 22nd floor . must say , wish high . day , could hear street noise traffic . night quieter , hear siren horn . view great ! flash sign window bug we little , night curtain block light sleep easy ! room big NY hotel . 2 room - sit room couch , desk , chair tv . also sink , microwave , mini bar , fridge coffee maker . coffee maker take - away cup ( like starbuck ) make morning coffee go ! stay great , housekeep wonderful helpful front desk concierge great . however book show ticket ! use broadwaybox.com get 1/2 price ticket Chicago Hairspray . 3rd row Chicago 2nd row Mez , Hairspray - Awesome seat half price ! concierge want charge $ 152 per ticket get $ 62.new Years Eve easy thought . TGI Fridays door leave 1 am . take around 1 hour get back room . staff great well run ! Christmas New York magical ! even though not snow wonderful experience Doubletree great ! 
 Jan 11 2008 	 Excellent service Doubletree 	 Mr Flippitti stay Dec 10 - 16 , 2007 . suite 39th floor excellent view . daughter fly DC join we halfway stay . sleep pull - out sofa find comfortable . extra pillow sofabe call front desk get extra blanket . deliver within 20 minute . two - room suite also small fridge , coffeemaker supply ( styrofoam cups - yuck ! ) , microwave safe . bedroom live rm big flat screen tv enough drawer space store clothe long stay . bathroom also large upgrade Neutrogena amenity big fluffy towel housekeeping always replenish . breakfast include rate nice not like go forage breakfast every morning . Breakfast include make - to - order egg omelet line often pretty long . also lot fresh fruit , pancake , cereal bread . service excellent restaurant staff always friendly . also order room - service breakfast one morning . deliver within 30 minute , warm omelet order perfect ! concierge desk helpful , especially restaurant recommendation direction help we find way around subway system . housekeeping clean room every day , usually knock door 9am . always outstanding job replenish coffee supply make sofa bed . also get turndown service ( even mint ) . use bellman downstair help we get cab twice time , deliver . hotel entrance corner holiday , be incredibly busy congested catch cab front lengthy process . late night dinner hotel restaurant pour rain cold , foot hurt sightseeing not want go deal crowd . dinner menu limit food pretty mediocre would eat last resort . 
 Jan 3 2008 	 great location . 	 can not beat location . room large enough four person include convenience bar , also fridge , microwave , coffee maker security safe . concierge service helpful . business center three computer , find three occupy one morning . no complaint . 
 Jan 1 2008 	 Great Location Worth ? 	 doubt Christmas good time New York , especially warm weather Texas couple . want stay Times Square central location , light plain interest ( first time ) . know price would high - $ 650 per night , high floor , Times Square view , also expect value dollar spend . good thing : excellent concierge service , especially direction . central location - everything easily walk distance , include great irish pub around corner . Metro right next door . hotel clean , suite ( problem - , friend ) . bad thing : leave hotel day mid morning day return - late afternoon - room make . daily call make remind hotel forget - even late afternoon return . offer room elevator bank ( know well ) accept offer , even promise make excellent suite . - hallway room , room bedroom room second room - great view , room move around . one would think elevator noise would overpower - - not even hear , thus reason stay room ( foolish we ) . yes , ask view high floor - 's worth , accept suite behind elevator bank . need leave room make mind . price high lounge , expect . bring computer - $ .50 minute bit much business center . need eat hotel - worth price effort way many great eatery close - by . also , forget door man front - busy get cab ( not know , 's thing ) . like security result peace mind . would stay ? really , stay Times Square really reason . plenty great hotel Manhatten 's easy get around , pay price stay Times Square ? got , though , want suite ( two room ) Doubletree okay , albeit value . perhaps W across street well feel take care customer - certainly ask doubletree front desk clean room day - sometimes twice day - hard walking , sightseeing shopping idea great service / value price pay . 
 Dec 31 2007 	 Excellent Hotel Times Square 	 stay 7 night Conference Suite 38th floor ( Diamond Upgrade standard king bed ) middle Christmas season . bed comfortable sofa pull - out bed easily fit 2 people . view Times Square amazing ! hhonor free breakfast buffet well Hilton hotel ' ve . staff excellent ! include turn service . can not beat location , walk distance Broadway show right next subway entrance . Loved NYC Christmastime & amp ; Doubletree Guest Suites Times Square get 2 thumb way ! 
 Dec 28 2007 	 Doubletree Guest Suites Times Square FABULOUS 	 stay Doubletree Guests suite last week wonderful time . center everything . even kid site easy walk . room immaculate comfortable , extremely large New York standard . room 32nd floor amazing view actually leave curtain main bedroom open night enjoy light sight Times Square . breakfast buffet good , hotle staff extremly helpful . would recommend anyone stay Manhattan , definately plan make # 1 choice next trip City . 
 Dec 21 2007 	 Spectacular Location 	 big room New York standard . close everything ( bit hectic get due traffic Times Sq . ) . Breakfast include since ' m Gold Hilton Honors Member . pretty standard stuff , nice since free . room clean comfortable . two room suite definitely help spread little especially fight crowd get front door . great first time visitor NYC since everything people want see within walking distance . 
 Dec 7 2007 	 Big rooms- slightly tired room 	 great hotel family want right heart action . single traveller nice hotel area . first room give look like well use , second room although small corner room much well decoration . Annoys pay internet access- stay Hilton Garden Express Chelsea . small room great neighboorhood charge internet . laundry cost hotel also exhorbitant even NY standard 
 Dec 5 2007 	 DOUBLETREE guest SUITES - GREAT service SMILE 	 Doubletree could hope . make 11th hour decision travel NYC Thanksgiving , child ( age 18 15 ) , help forum , select Doubletree home away home . book less 48 hour arrival rate less $ 400 per night . check breeze even though arrive 3 pm . room ( 2907 ) amazing view Times Square . appeal aspect hotel location , location , location . king bed exceptionally comfortable large enough 3 we ( accidently fall asleep watch movie ) . friendliness staff pleasant surprise . doorman always greet we name concierge staff pull unbelievable feat procure affordable orchestra level ticket ( less 4 hour curtain ) one Broadway show production time . I unequivocally recommend hotel traveler love & quot ; midst all . & quot ; 
 Dec 3 2007 	 great time Double Tree Times Square 	 husband , two son , aged 10 14 stay 3 night . suite 37th floor fantastic view times square . room great spacious , large bathroom imaculate lovely lounge area pull sofa bed old son sleep . plenty extra bedlinen pillow available room . problem check - in , polite friendly staff , great warm chocolate chip cookie arrival . the hotel fantastic location never actually dine hotel restaurant . many diner , restaurant fast food place nearby spoilt choice . go open top bus tour . buy ticket right outside front hotel . great way see sight point place would never find ourselves . we great time Double Tree Guest Suites Times Square , feel expensive would definatly return stay come back New York . 
 Dec 2 2007 	 poor value poor response complaint 	 stay 6 night September 2007 two sister . arrive late day long flight London . specify want two bed plus sofa bed ; however , sofa bed break . call reception desk , not solution offer . not even bed sofa bed room , uncomfortable first night unable unpack . next morning , allocate different room move . nice lady reception offer we complimentary breakfast entire stay make bad start . think fair , accept . breakfast expensive plan eat hotel otherwise . ( way , taxis , cost stay 4,102 usd ) . , annoyed find departure credit card bill breakfast three first two day stay - another 135.77 usd . probably would not spend whole week ! one reception leave 4 a.m. , try ever since get refund . 's promise , still show . every mail send seem sit around least 2 week get another hopeless response . decide stop waste time share experience instead . would not use hotel , even though be good location . feel expensive standard service receive , ' ve disappoint lacklustre response complaint . 
 Nov 28 2007 	 mostly good 	 family stay Doubletree Time Square 3 night day ago . 2nd stay property . first stay 2005 . must say first stay well one . although would still recommend hotel , thing would want other aware . ask Time Square View get one . give corner room , sound great , room much small typical 2 room suite . would recommend stay away corner unit travel child hope extra room . view though pretty good . room stay not exactly clean room . light . ' m sure need light bulb . outlet work . hair dryer work either . thing minor inconvenience , could easily correct . main negative lack space room . room would fine 2 people , travel 2 child tight quarter . also , lose 2nd vanity corner room . overall though , can not beat value . 
 Nov 21 2007 	 Excellent 4 Star Suite Hotel Center Times Square 	 wife stay Doubletree Guest Suites Times Square , NYC two nite Nov. 18th & amp ; 19th . pick hotel able get AARP rate $ 254.00 compare $ 299 high rate comparable nearby hotel Marriott Marquis Renaissance . king size bed bedroom sleeper sofa room suite . bed comfortable warm ( ? ) comforter duvet cover plenty pillow soft sheet . another reviewer write , get see website . bathroom single sink set long counter , plenty room cosmetic , etc . large mirror . . tub - shower shower curtain out - curve shower rod . toliet separate room . plenty hot water water pressure . everything clean housekeeping service perfect . & quot ; kitchen & quot ; consist small refrigerator microwave & quot ; bar type & quot ; sink coffeemaker dispense individual paper cup . problem leak refrigerator & quot ; smelly & quot ; shower curtain . plenty hot water shower . 27th floor hear noise outside . airconditioning - heat work well reasonably quiet . room view Times Square billboard understand room . come Sunday 1:30 pm suite ready , course always case . people desk courteous quick . use concierge room service . three elevator run quickly wait . convential tv bedroom room . use internet service room go business center $ 5 minimum internet service , plus $ 1 printed page . buffet breadfast Center State restaurant ok , make order omelet pancake , danish , fresh fruit , etc . New York hotel price $ 20 , good value unless room rate include high level Hilton Honors get free . 24 hour McDonalds next door hotel , perfect breakfast take back room . another downpoint like many hotel New York vending machine shop , newstand street get New York Times sodas reasonable price . course & quot ; convenience center & quot ; room charge $ 3.50 soda . big plus wonderful location near Broadway theatre even rain cold , easily walk theatre . like New York Deli - walk Stage Deli 53rd 7th Ave - hotel 48th st . & amp ; broadway . & quot ; regular sandwich & quot ; dessert portion feed two people think well corn beef pastrami anywhere . sure weather go nice , get low rate hotel Marriott Courtyards far Times Square . comfort , cleanliness , especially location , place stay go go Broadway show . usually get ticket discount internet go Playbill internet site join Playbill club free get discount ticket many show . also TKTS booth across street hotel . 
 Nov 21 2007 	 Great New York Hotel 	 get back New York , hotel excellent find ! yes , be pricey ( & quot ; decent & quot ; hotel NY not ? ? ) first , location right Times Square . subway next hotel entrance , get around breeze . guest enter building must show room key , mean provide high level security . main entrance , take elevator third floor lobby register . delay checking , reception agent friendly helpful . even give we extra home - bake chocolate chip cookie , standard feature Doubletree . YUM ! suite 35th floor . & quot ; upgrade & quot ; suite due Hilton Honors point . mean complimentary internet access plus upgrade toiletry ( Neutregena ) refrigerator microwave oven . living room sleeper sofa bedroom king bed . excellent soundproofing ... want open window , open ... nice option want & quot ; fresh & quot ; air ( know , know , 's New York air ... be still OUTSIDE air instead recycle indoor stuff breathe winter long ) nice selection satellite channel ( 40 ) , plus free HBO.Overall , terrific hotel New York visit , plan return soon ! 
 Nov 19 2007 	 nice room locate RIGHT TOP Times Square 	 stay 3 night property business November . definitely good option area . detail ... good : -- room nice , large - suites fact , least 34th floor - live room , large bathroom , nice bedroom -- bed comfortable , variety kind pillow -- live space nice office chair modular desk work -- staff friendly attentive -- location , title right TOP Times Square . right . walk door there . bad : -- take 2 elevator trip room , due security set - 1 enter hotel lobby area , seperate one room -- aware many room , face ts , hard make dark night . usual trick , still , neon sneak . ready . hotel true black - out shade anything like that . -- avoid restaurant , mediocre well overprice ( like food area ) .overall good choice . tend pricey , even standard neighborhood - get pay . need really dark sleep , may want look elsewhere . otherwise , especially price right , excellent choice . 
 Nov 16 2007 	 Saved location 	 Family stay Doubletree Guest Suites Times Square 1 week November 2007.the hotel situate slam middle Times Square , location perfect . the price pay exorbitant ( 500 US $ per room per day ! ! ! ) , New York marathon weekend everything else fully book . upon enter hotel , show security guard key . do obvious reason entrance right Times Square anyone could march . enter elevator take toy directly check floor . check take different set elevator take floor . check - in smooth fast staff formally polite . room spacious room hotel 2 - room suite . understand New York big plus . 36th floor also great view . however cleanliness room leave lot desire . crumbs desk surface , hair bathtub , lot old dust corner . smoke detector dirty , whole , room ( well entire hotel ) show sign inadequate cleaning . Diamond Honors member give floor free WiFi internet , well complimentary breakfast , perk end . breakfast awful . breakfast room small wait line 10 - 15 ' seat . whole area stink fried oil , table dirty , staff bore impolite , food cold oily . positive thing could order egg pancake prepared spot . eat breakfast twice , terrible . the concierge service also bad . firstly try sell we show ticket 220 US $ saying sell , walk next door theater get 110 US $ . anytime ask information , pressingly try sell we everything , even Metro ticket ! last day ask concierge book taxi take us airport reply could book private taxi 180 US $ ( oppose normal 50 - 60 $ normal taxi ! ! ! ) .On whole would recommend hotel , even though location top . 
 Nov 14 2007 	 Supurb location great view ! 	 location great view draw Times Square hotel . corner room ( room number end & quot ; 03 & quot ; -- e.g . 2503 25th floor , etc . ) stunning view directly Times Square east north . treat ! hotel 's entrance 7th Avenue 47th Street , right middle Times Square , could not possibly well location scene thing . warn -- crowd severe area , traffic . definitely leave car home . public transit close surprisingly easy use , not really need car anyway . at $ 500 . night , can not say hotel great value , fair New York late fall decent hotel anywhere midtown similarly expensive . fortunately , work pay . lobby hotel third floor , fun happen place like hotel . also , bar restaurant 5th floor utterly dead uninteresting briefly check . Times Square , shortage bar , restaurant , entertainment nearby ! try Blue Fin across 7th Avenue , one overprice drink get watch theater goer stream thousand . one good people - watch spot ' ve ever find ! also love & quot ; Swing 46 & quot ; , bar / restaurant / swing dance club live band nearly every night 46th street 8th 9th avenue . staff Doubletree friendly , distant . not get & quot ; warmth & quot ; , competence . the room clean well maintain . two - room suite layout , small refrigerator coffee maker outer room , microwave cooking implement . bedroom charming , view would seriously romantic wife able come trip . Bottom Line : get competitive rate , stay view location . will not disappoint . 
 Nov 6 2007 	 Great Family Visit NYC 	 recently stay Doubletree Guest Suites Times Square MEA weekend . school close Minnesota everyone kid flee someplace else . doubletree great place bring kid . first , room suit quite large , especially New York standard . ' m Hilton Hhonors Gold member , breakfast hotel free ( otherwise , would $ 100 / day ) . location great sightseeing well . hotel heart Times Square , 5 minute walk Rockefeller Center , three block subway , etc . close everything good transportation option . I would recommend hotel tourist NYC without kid . 
 Nov 5 2007 	 really depend important . 	 noisy location , pricey , view , good sized room . overpriced . 
 Oct 18 2007 	 Perfect couple travel teen ! 	 read review go , skeptical , encounter negative read review . stinky shower curtain , defrost fridge . double elevator situation odd , never pose problem . wife take fifteen year old niece trip look room like Doubletree offer . we Hilton Diamond member upgrade conference suite . king one room , living area sleeper sofa . conference / dining area table 6 . try try could get sleeper sofa unfold . call help , say conference suite sofas not unfold , bring roll - away twin bed , far comfy sofa bed would . Times Square view great black curtain work perfectly . wife prefer stay downtown , seldom spend much time Times Square visit city , figure since take teenager , ? perfect . enjoy bright light hustle bustle ( country ) .breakfast include we ( Diamond Honor guess ) great . price nearly $ 25 buck , pay , go somewhere else . get free also , might well take advantage . 
 Oct 18 2007 	 great love hustle bustle 	 stay ; , husband 6 year old daughter . couple quick point : ( 1 ) want centrally locate , heart Times Square action , near subway , bus , etc . great pick . step subdue entrance energy city right away not stay not want middle action ( 2 ) room / suite wonderful . daughter sleep sofa bed tv bedroom . room access bathroom . room quiet clean nice toiletry . ( 3 ) hotel nothing fancy ; grand lobby low key bar restaurant ( not eat ) . ( 4 ) staff helpful . conciege able give we good input front desk staff nice ( even give we extra cookie misplace one give check - in ) . fellow outside get we taxi anytime need one . all , wonderful experience . use Hilton Honors point not know go rate stack midtown hotel want area want extra space suite , highly recommend Doubletree Suites . 
 Oct 13 2007 	 Best Hilton NYC 	 year stay Manhattan Hilton facility . one top . functional suite . invite friend drink go . comfortable . right size . super location night life dine . quiet considering 's location . friendly competent staff . safe environment . return future . 
 Oct 11 2007 	 Great Location 	 location right 47th Broadway . convenient train stop . walk distance many theater . get room end 01 nice view . however , 01 room little bit small well worth view Times Square . near MTV studio , toy r Us , ESPN Zone . 
 Oct 9 2007 	 Fantastic Location Briliant Accomodation 	 back trip New York . stay Doubletree Guest Suites . room great size New York standard , clean fantastic view Times Square . location could not well tour ( right across street ) shopping 5th Ave Madison Ave . would highly recommend DoubleTree 
 Sep 28 2007 	 great location slow elevator 	 stay Doubletree 3 night teenage child . bedroom 2 double bed LR sofa bed . modern , clean location can not beat want right middle Times Square . subway station corner . room great darkening curtain . upper floor could see people walk Times Square window , cool . ( be country folk ) problem Columbia University Law graduate massive interview throughout hotel & quot ; blue suit & quot ; squeeze every elevator day . check SLOW ... wait line hour check ... least hand bottled water everyone line ! 
 Sep 14 2007 	 great hotel 	 fantastic hotel , great location super view times square 28th floor . super size suite sofa bed big okay kid . no free wireless room pay ! gym good hotel staff helpful . like idea everyone show room card enter hotel feel safe . straight door onto Times Square room sound could heard great peaceful night . super fast lift . as another review state find fridge defrost arrive shower curtain smelley ! minor thing . we would stay again . great place breakfast round corner call & quot ; Evergreens & quot ; go every day . also use underground train get around 2 dollar trip . 
 Sep 11 2007 	 great hotel great location 	 Loved hotel . excellent location , comfortable room , lot space , perfect business travel . restaurant so - so , many alternative within walking distance , not problem . service great - bit slow time , still good . would highly recommend & amp ; would stay . 
 Sep 10 2007 	 Clean Hotel - view - lack convience 	 expensive hotel $ 350 worth . expense add well . hotel parking building in / out . tell parking rent car . valet parking $ 45 / per day $ 35/ per day self parking . tip bellman bring bag bring third floor lobby would check . another bellman would take bag room another tip . forget bring cart bag room , bellman tell would take hotel policy -and unprofitable . Buffet breakfast three $ 48 plus tip . business lounge rip $ 10 5 minute ( bring laptop ) . tell NY bed bug problem - hotel clean comfortable . overall hotel lack hospitality feel like nickle dim death . suggestion wait low rate stay Waldorf price . 
 Sep 7 2007 	 Great City .. okay hotel 	 already NYC , husband think would fun bring 3 girl NYC family vacation . husband go year ago stay Marriott Marquis next time go . try save money book Double Tree Suites time . call suite tiny five we although tell would comfortable . thought could put 9 12 year old daughter pull couch sleep ... uncomfortable ! end pull matress pull couch put floor sleep . tell would get suite view Time Sqaure ... view ? ...... look office building window 5 day ! disappointing since view Marquis fabulous ... kid really miss ! speak window , look like not clean long time ! room whole okay , clean small expect . staff okay prompt ask extra thing pillow . 
 Sep 6 2007 	 Great HotelGreat location 	 look great hotel middle everything , look far . this excellent location . restaurant , theater , etc walk distance . I find staff friendly helpful . room clean everyday warm chocolate chip cookie get arrival nice surprise . 
 Sep 2 2007 	 great location . minor disappointment . 	 location great . upon arrival notify front desk refridgerator defrost water bottom armoir door hinge break . item never attend six night stay . toilet slow flush . shower curtain smelly . Conceirge give we direction 5 6 block wrong direction almost miss day trip . later notify conceirge correct location unconcerned write address . will not use . ask strange street glad help . tip housekeeping every day disappoint shower , toilet floor clean every day fact , maybe clean stay . shower curtain replace however . maybe standard NY city something accustom place even bungalow beach Mexico clean every day . we HiltonHonors Gold Members offer complimentary buffet breakfast day stay adequate start day . egg chef great . 
 Aug 30 2007 	 Great Hotel price 	 like many other , book group use hotel war . [ -- ] do email rate email use generic . need ten room still want good rate . doubletree awesome location do not think lucky enough get go back price get . fairness , hear place asianinbound.com [ -- ] review hotel & quot ; tour friendly & quot ; hotel tour friendly hotel real tourist want linger downtown hustle bustle . hotel well run front desk agent housekeeping almost always say hello time . ( great sign ) . Loved max . 
 Aug 28 2007 	 exceed Expectations ! 	 book Hilton Doubletree Times Square expect high level service room accomodation , boy wrong ! arrival reception desk pleasantly greet informed room ready due we Hilton Honours Gold member immediately offer free full house breakfest duration stay ! also delighted room locate top floor ( 43rd ) . set laptop suite also give free wireless internet access due gold membership hilton ! view room great , overlook time square room well present coffee machine , microwave , minibar safe . stay W Hotel time square also supurb stay Doubletree Suites definately return another Doubletree establishment . issue queue breakfast morning holiday season understandable . overall would recommend family want stay new york . 
 Aug 27 2007 	 double fun Doubletree 	 look like go bad review . twin sister first time New York . our room spacious , bed heavely , room slight damp odor . come back see . air - conditioner leaded room . clean mess . go come back . still odor . always speak ! call desk change room ... room horrible view air condtioner unit . complain , pay hotel price mess . upgrade us conference suite ! nothing add . utterly amazing wrap around view Times Square huge suite . it major plus simple thing , getting freshly make warm chocolate chip cookie check - in , time request , treat . the thing doorman / security see go , still insist see hotel card go ... not even & quot ; W & quot ; . 
 Aug 27 2007 	 Better Hotel room family 	 family two adult one child stay 4 night August 2007 . big plus hotel location , right corner 47th Broadway . area always busy people traffic suite can not hear noise . location allow enjoy evening delight Broadway theater district without need use taxi 's walking block night . entry hotel , lobby actually third floor overwhelming clean . want contemporary boutique hotel wow factor lobby not place . check - in staff efficient bag deliver promptly room . another major point two room , one room sofa bed ok kid , small kitchen area sink , microwave fridge . also mini bar tv unit . not need , try use mini bar expensive . take 10 min walk corner 8th Ave 48th grocery store stock drink snack fill empty fridge . also safe room . short suite well equipped , clean welcoming . the bathroom clean bright accessible room bedroom fully work tv numerous channel . you could probably get well hotel room price area two party definately well option . I book Times Square view room would describe partial view well . hotel serve breakfast restaurant either buffet style full continental convenience three four morning . hotel also bar 's would describe destination bar . once inside room find quiet , night noise people coming going always feel safe . the hotel arrange theatre ticket beware , quote we $ 145- $ 165 per ticket Mary Poppins New Amsterdam theatre . quick trip box office 42nd street manage obtain half price . try option first use hotel . in summary , good quality hotel tourist come New York want heart action . 
