great 	 stay hotel 3 night friend . incredible . staff amazing , room beautiful , breakfast lovely get special offer quite reasonable cost wise . like everywhere else San Francisco , climb uphill bit get , really good location centre city . 
 Sep 14 2008 	 Ticks box 	 book double twin room well advance phone day confirm . however , arrival give two double really inappropriate people involve . end roll - away bed night . staff bit dismissive whole episode not really want know . next day , twin make available great deal negotiation , people involve get free breakfast . , great little hotel . centrally locate . short stroll Union Square 5 minute tram taxi Fishermans Wharf . bar friendly good happy hour offer drink snack . room comfortable well appoint . personally , would stay Fishermans Wharf region SFO return . great choice restaurant generally go evening . 
 Sep 12 2008 	 Loved Orchard Hotel 	 everything perfect stay Orchard Hotel . upon arrival , greet doorman , Bob . come car take baggage walk front desk . Bob extremely friendly front desk greet Grace . extremely friendly , tell detail hotel give code free high speed internet access . also offer selection movie could borrow take room play dvd player . room spacious charming . decide grab late night bite eat . go front desk Grace recommend wonderful restaurant right hill call Scala 's . retreat comfy bed remote control hand snack mini bar turn night . next morning , get wake call promptly 5:45am actual live person start get ready day . bathroom spacious separate tub shower . eo product wonderful . check store luggage . later afternoon Bob greet , call car , get luggage storage help place bag car , go way home . 
 Sep 5 2008 	 wonderful experience 	 first impression favorable hotel honor less expensive rate find Travelocity Expedia . get well ! room large wonderfully appoint - love bathroom roomy lot counter space ! breakfast reasonable presentation equal place ever - nicely do . come back hotel middle afternoon bar person serve we drink even though not technically open . lady front desk assist print boarding pass ... really , everything everyone great . room fronted street hear noises night , bed soft problem fall back sleep . location great - Union Square - , walker 's perfect . I highly recommend hotel . 
 Sep 3 2008 	 Orchard ok Depending need 	 go San Francisco single traveler / tourist day , goal find hotel clean , comfortable , affordable . get look . quirk make decide have never stay though . acoustic pretty poor , could easily hear pipe sink run room adjacent mine , toilet make wheezing , cricket - like noise almost constantly . carpet look bit date , obvious old hotel recently renovate . website promote wifi , problem get access get short ethernet cord desk , defeat purposed wireless leave stuck desk . old fashioned style , clean , spacious room nice staff . want completely satisfied , pay extra money stay 4 star hotel , need quick comfort , stay . right next major stop cable car , four block away BART station . place eat close , Chinatown Union Square less 15 minute away . 
 Aug 31 2008 	 wonderful hotel heart SF 	 hotel deserve review get . room clean comfortable , staff friendly helpful . doorman pass twice day ( ) real highlight . friendly , helpful welcoming ; always put smile face . the room large bright . bathroom huge clean . robe nice touch standard room although wireless little spotty ethernet port , issue . they dvd lend lot tv channel 's easy find something watch long day . also fruit night desire healthy snack ! hotel right next cable car stop time get , be two block california line be never busy powel line . 
 Aug 30 2008 	 job ! 	 stay 5 night - perfect location tour city , comfortable bed could ever imagine , immaculately clean , helpful staff ... book - will not find well price ! 
 Aug 26 2008 	 great stay Orchard 	 spend 6 day Orchard -- not want leave ! perfect location , spectacular service , wonderful room -- extremely comfortable bed ! else could want ? request honor bar item remove , could bring drink , etc . great location , next Powell Bush -- close lot restaurant shop . room 10th floor overlook Bush not hear street noise . hotel employee come contact professional helpful . ask great restaurant ! clean , well - keep well appoint . dvd library also great addition . reason hotel rate highly . truly deserve . will not disappoint ! 
 Aug 25 2008 	 Fantastic Boutique Hotel ! 	 room : queen - sized room face hotel across alley . lack view not huge concern ; could still hear trolley go spare traffic noise . bed fabulous , fresh linen duvet . room fairly good - sized , table , armoire , etc . bath product Aveda -- yum ! Extras : enjoy good continental breakfast EVER restaurant downstairs . fresh coffee , cold cut , fruit , toast / bagel , name . relax start busy SF day . reservation : make reservation hotel website , sometimes offer special Expedia miss . price hotel fairly reasonable , give central location quality hotel . location : right Powell Street , Union Square . use live neighborhood love proximity shopping , great restaurant , downtown atmosphere . low Nob Hill / upper Union Square location mean will feel safe walk street . note parking run around $ 30 / night , either hotel valet lot street . 
 Aug 25 2008 	 Perfect stay ! ! ! 	 stay Orchard 3 day King suite find room clean , lot amenity , nice decore , large bathroom . staff friendly helpfull . great location hotel pricey . 
 Aug 25 2008 	 totally overrate 	 myriad little thing make stay hotel forgettable irritating . stay along people we independently similar problem hotel staff . start , room not ready well time say would available . room fine , air conditioning fail sometime around 1 leave room stuffy 5ish . although internet , desk not set business travel , laptop - accessible outlet . also , room card key repeatedly fail , force we trek back front desk ask new key . front desk seem perpetually unsurprise unconcerned ; never receive apology inconvenience . also , ask front desk arrange car service we second night stay . take information time promptly forget actually call make arrangement . finally , lose friend 's rental car valet . give ticket , promptly return wrong car . take half hour find right car . 
 Aug 21 2008 	 great Room Great Location 	 book room Expedia reading review Trip Advisor expect find boutique ( i.e . small ) hotel room . pleasantly surprise see size room quite large . location hotel also great , block Union Square . the one negative regard hotel ( hotel anywhere San Francisco ) parking situation . believe valet parking $ 45 / night , find parking offsite $ 20 / night . public transportation quite good , park car , never take leave . I would definitley stay Orchard . 
 Aug 18 2008 	 central location ; helpful staff ; comfortable 	 wife ( late 50 ) stay Orchard Hotel 4 night late June 2008.location : convenientThe hotel , intersection Bush St Powell St , minute walk ( steep hill ) Union Square . cable car stop right outside often full . food : goodWe eat breakfast hotel would recommend . next door busy , small restaurant , Roxanne 's , serve good breakfast . room : comfortablethe room comfortable , spacious enough , quiet typical many stay 3 week holiday US south - west . safe room ( free charge ) .parking : not carparking charge hotel appear expensive . get pre - booked mini - bus ( Lorries ) airport hotel : satisfactory . use excellent public transport not hire car ( need one ) leave San Francisco . staff : helpfulWe problem mobile phone staff member give we helpful , friendly valuable advice overcome difficulty . overallif return San Francisco Orchard top list hotel check . definitely recommend . 
 Aug 18 2008 	 Orchard -- Return Civility 	 Orchard offer we comfortable , friendly enjoyable stay recent two day trip San Franscisco . room comfortable , continental breakfast extensive . good staff make every effort anticipate support need comfortable stay . Bellman / Concierge especially helpful knowlegable steer we great restaurant go & quot ; beyond call duty & quot ; help we problem solve unrelated logistical issue . 
 Aug 12 2008 	 Orchard Hotel - Excellent location 	 Comfortable well present room , friendly efficient staff good city centre location . excellent choice day San Francisco shop , sight restaurant doorstep far climb ! 
 Aug 11 2008 	 Great Place Moldy bathroom 	 hotel great place stay excellent location next Powell Bush st . cable car stop . easy walk everything . only flaw bathroom heavy mold . 
 Aug 9 2008 	 terrific room 	 travel SF frequently pass hotel without notice many time . TripAdvisor review good decide try last week . ' m glad do . thhe room spacious , clean comfortable . king bed comfortable . bathroom big bright . breakfast buffet good , too . this hotel locate Nob Hill convenient walk Financial District , Union Square China Town . Powell St. cable car go right . 
 Aug 8 2008 	 nice friendly 	 come back San Francisco must say love Orchard Hotel lot . 3 party enjoy King suite , sooooo nice : 2 wonderful well furnish room + large bathroom bathtub shower . service also good friendly , everything good say hotel confirm ! feel stay home away home ... pity holiday , would like come back Orchard . 
 Aug 4 2008 	 Ticks Boxes ! 	 stay Orchard Hotel part holiday west coast . hotel situate bush st , 2 block Union Square find plenty shop suit taste . chinatown locate 2 min away downtown end street . you catch cable car corner hotel take steep hill . car doorman ( Cornell ) park return car need useful parking SF nightmare ! hotel clean comfertable . bathroom well average size room well keep offer view Bush St downtown request . maid service efficient bed turn every evening lovely touch return busy day sightseeing ! breakfast hotel buffet la carte , consist usual thing ( cereal , bread , cake coffee etc ) service quite slow rush might well head one many cafe coffee shop around hotel . the staff hotel simply can not enough ! make conversation andassist question may . ypou also change traveler check main desk handy bank close . Orchard Hotel brilliant hotel tick box , may cheap certainly get pay . highly recomend hotel hassle free , enjoyable stay San Francisco . 
 Jul 31 2008 	 Hidden Treasure 	 like majority San Francisco Hotels , Orchard room small side , tiny , small . though large bathroom well light , Aveda Products ! impressed hotel 's friendly , welcome staff , modern room location . orchard walk distance Union Square , Financial District & amp ; chinatown . price reasonable ( $ 149 Friday , one night , include parking continental breakfast . ) one nice amenity hotel dvd player room . nice able come back , evening , enjoy movie . nice selection movie borrow additional charge . also , continental breakfast yummy nice selection . high cost hotel San Francicso , excellent , modern hotel low budget price . 
 Jul 29 2008 	 Loved Orchard Hotel 	 staff exceptionally friendly helpful . room nice bed comfortable . extra - large shower nice surprise . wireless internet access easy use consistent . take advantage complimentary dvd movie last night , nice way wind end day . package include breakfast , great - lot fresh fruit available . complaint would definitely stay . 
 Jul 27 2008 	 excellent choice boutique hotel 	 do research choose Orchard first stop visit California celebration 25th wedding anninversary . perfect beginning trip . well locate Union Square close Chinatown staff friendly accommodating . room tastefully decorate service twice day - bed turn night nice touch . as unexpected bonus able check email / internet via laptop Reception - useful keeping contact home Ireland ! ! unfortunately never avail opportunity eat hotel many excellent restaurant area course world famous ' Sears ' around corner breakfast . one thing always stay memory , indeed reflect hospitality Orchard , , upon meeting maid every morning always take time say hello wish we nice day . small gesture , little thing like make Orchard little special . if ever go back SF certainly No.1 choice ! 
 Jul 25 2008 	 Nice hotel need update cleaning standard 	 Chose hotel due rating . stayed room 1010 locate back . quiet hotel other guest point . minibar ! quiet aircon could adjust easily . small hotel many guest 4 night stay . locate nice area couple minute walk pizza restaurant convenience store . cable car stop 50 meter entrance ! go downhill Powell Street end Union Square shop . go downhill Bush street pass entrance Chinatown within minute . chinafood ? check great Eastern restaurant , great food ! hotel need update , bit boring compare twin sister , Orchard Garden . really dissapointe not - so - clean bathroom . hair doorframe wall , ceiling quite discusting . take hot shower always small particle fat skin stick vapour . fat deposit ceiling create spot . informed front desk problem problem remain leave hotel . light side mirror also full dust . think solve due lack cleaning standard . person responsible cleaning bathroom obviously understand nature problem could choose appropriate solution . point ; complaint cleanliness bathroom , responsible manager take immediate action take look detail . dirty bathroom no - no business . othervise , would recommend hotel . Tom & amp ; Synne 
 Jul 23 2008 	 Loved Orchard 	 book another hotel city , find Orchard thiswebsite immediately cancel reservation book one -- -THANK goodness ! ! ! everything wehope . 's beautiful new hotel -- clean comfortable , great location . room 8th floor , face street quiet . continental breakfast goodand adequate start day staff werevery friendly helpful . great bargain city . 
 Jul 23 2008 	 comfortable 	 hotel basic cover well . room new , clean , spacious , quiet comfortable . six different kind pillow ensure pickiest sleeper ( ) perfect one . bathroom vanity lot space toiletry not always find city hotel . eat breakfast hotel ( food salty coffee amazing ) Sears Diner ( good breaki San Fran ) around corner many great restaurant . on - site exercise room small uninspiring - use off - site one fee . staff friendly sweet actually kind ! 4 day start 3 4 different staff member wish happy day . orchard steep uphill block Union Square - something keep mind mobility issue . I stay Fairmont , four season Westin St Francis ( among other ) fine want grand / posh experience . , however , San Francisco San Francisco hotel , Orchard perfect . stay Orchard every time . 
 Jul 23 2008 	 Lovely - .... 	 great hotel , lovely room bed well think I ve ever sleep in . only problem staff . 4 we stay mid 20 seem treat unwanted . horrible time try check ( come different time , one we wait 10 hour aloud room ) , seem ignore treat pretty badly , guest always greet warmly . this do not bother we much pay money everyone else treat differently . but apart lovely hotel 
 Jul 19 2008 	 Excellent Hotel ! 	 stay fourteen year - old granddaughter five night early July . king suite ideal we since space . entire hotel staff attentive include desk people heating & quot ; Hot Pocket & quot ; granddaughter morning employee lounge . ( would suggest microwave room least one public space . ) hotel clean pin , quiet ( 9th floor ) , well locate fully meet expectation . would definitely stay . 
 Jul 17 2008 	 would stay 	 choose Orchard Hotel 3 night stay San Francisco base Trip Advisor review not disappointed . hotel great base visit city couple block back Union Square direction Fisherman 's Warf . well maintain helpful staff good sized bed & amp ; bathroom . we would definitely recommend hotel city break San Francisco stay . 
 Jul 14 2008 	 San Francisco 's gem .... 	 one San Francisco 's small botique hotel . staff friendly courteous . room spacious comfortable . large bathroom , quality amenity . tell 's someone keep close eye make sure guest well - treat . third stay hotel definitely will not last . 
 Jul 14 2008 	 deserve high rating 	 6 we stop overnight way Napa . we not expect use much hotel facililtie , can not comment . however , opportunity view three room nicely appoint , clean . furnish contemporary , tv / dvd brand name ( Sony ) excellent picture quality ( though LCD ) . stay long , would make use dvd movie available front desk . bathroom large bright . hotel central , 's lot see within surround block . concern noise garbage truck write previously forum , ask quiet room . hear nothing ! neither friend stay hall , face front side street . staff friendly , conceirge call transportation we swiftly . valet parking , take 15 - 20 min car deliver . breakfast restaurant type setting , selection somewhat limited . offer convenience quality . price make top choice next visit , represent great value central newly furnish hotel . 
 Jul 14 2008 	 Excellent Hotel Excellent Price 	 well agree positive review hotel . stay seven night height tourist season disappoint . from moment check impressed , exact room ask , high floor , connect door street view , be exactly get . the staff super friendly always ask we need assistance , room clean big , bathroom . bartender / waiter bar friendly , polite always service ... happy hour $ 3 lemon - drop martinis great hit long day walk . we get great deal Expedia say stay far expensive hotel far less service small room ... even come turn bed late afternoon . their lobby may bit small care not stay hotel lobby , stay hotel room 's hotel shine . also , extremely well locate , quick walk Union Square , cable care stop right beside hotel ( btw not hear cable car noise room ) cable car take right Fisherman 's Wharf , China Town , Little Italy . I would definitely recommend hotel anyone ; good search internet great deal different time year . 
 Jul 14 2008 	 Awesome Orchard Hotel budget possible ! 	 travel budget , somehow manage go & quot ; slow time & quot ; get room $ 149 night . purchase grocery outside San Fran ( come Sonora ) bring hotel . get key refrigerator empty hotel 's pricey content put box hotel provide could put food fridge instead . way able eat breakfast lunch without pay restaurant price ! end 3 - day stay put everything hotel stock back refrigerator lock return key . work great , hotel staff help we keep budget without feel cheap ! park car garage 3 block hotel , able save bit use valet parking hotel . save we $ 12 day , add ! people work Orchard extremely helpful friendly . doorman exceptionally nice willing help whatever way could . front desk staff great , . try tip maids doormen service seem appreciative , like expect . king size bed SOOOOOOO comfortable . comforter top 100 % egyptian cotton sheet wonderful long day walk around S.F . also enjoy watch movie use free dvd front desk dvd player room . the Azur brand lotion , body wash , shampoo conditioner make we feel pampered smell good . request maid leave extra left tip , delight extra ! large bathroom allow we spread add luxurious atmosphere . the location excellent . close China town , cable car line , Union Square , etc . Golden Gate bridge short drive away , too . one caution : knee serious problem incredibly steep street , even excellent walk shoe . take public transportation whenever possible , save leg see sight ! downside view . request high floor , grant . & quot ; view & quot ; top another building , building beyond . location quiet , however . we love Orchard Hotel appreciate everything staff make stay wonderful ! thank ! 
 Jul 13 2008 	 Glad stay Orchard ! ! 	 husband stay Orchard Hotel San Francisco 20th wedding anniversary , terrific . staff welcome , helpful ask question . room spacious , clean . probably comfortable bed ever sleep ! love need mess car , hotel right cable car line , could buy multi - day Muni pass reasonably , ride cable car bus entire time . close lot shopping , cable car ride away many attraction . breakfast 2 place close would recommend -- Roxanne 's Lori 's Diner . also great pizza Uncle Vito 's right corner close hotel , reasonably price ! ! good ! ! pricey , dinner Scoma 's water one night terrific ! ! highlight trip , tour Napa Valley Wine Country Tour Shuttle -- well worth money spend special day ! ! glad stay Orchard , would stay heart beat ! ! 
 Jul 12 2008 	 beautiful room great location 	 room beautiful , bed comfortable , staff friendly always helpful . location ideal . chinatown gate block away , cable car go right , several good restaurant nearby . 
 Jul 8 2008 	 orchard great value excellent hotel ! 	 stay boutique hotel several time . travel teenager / young adult get separate connect room . hotel good value money . clean , contemporary , easy get fabulous location . park car never drive . walk take cab . husband travel business stop go expensive chain hotel stay Orchard Inn instead . give try ! 
 Jul 7 2008 	 Honeymoon Orchard 	 wife stay Orchard hotel honeymoon . stay one hotel 's King suite . upon arrival greet doorman unload car take bag inside . front desk check we go necessity . doorman get room number tell we would someone bring bag room we . get elevator floor see two thing one never want see next room ; elevator ice machine . easy go people decide give night see noise level would counterproductive honeymoon . pleased say never hear elevator , ice machine . huge relief , operate ice machine thought trigger avalanche . encounter hotel staff always pleasant friendly . hotel clean , new wife love fact receive chocolate every night . would happy recommend Orchard hotel anyone look hotel heart San Francisco within walk distant many landmark , restaurant entertainment center . 
 Jul 7 2008 	 Kudos Orchard ! 	 Orchard lovely , affordable oasis near enough heart Union Square rush . cable car right corner bus block away make hotel 's location convenient . room attractive clean keep way throughout stay . bed exceptionally comfortable . personnel deal friendly knowledgeable city environ make good recommendation transportation place eat . nice touch free dvd borrow play room long day sightseeing . would return hotel recommend other real value heart city . 
 Jul 7 2008 	 Hop skip jump 	 able book room last minute nice . live 60 mile away sometimes prefer hop without plan . staff great , room nice . plan unable try restaurant . location great cable car access Union Square . return sure . Orchard Garden Hotel nice also restaurant superb . 
 Jul 5 2008 	 Green convenient comfy boutique 	 nicely appoint - little spa like streamlined decor , Aveda product , wall fountain lobby . decide turn , make quiet respite hustle bustle outside . friend share room w/2 double . bed comfy , find spacious enough two girl large suitcase . especially love walk distance China Town , Union Square , Convention Center , North Beach . one night , end eat late night meal restaurant downstairs ( root ) tired go . excellent service , pleased also find food fresh well - prepared . 
 Jun 30 2008 	 good location chaos Union Square 	 upgrade suite without question king room available . speak kind attentive service find throughout stay . 
 Jun 30 2008 	 EXCELLENT hotel 	 boyfriend friend stay Orchard Hotel end May . find tripadvisor review say great location union square important we . moment arrive , greet friendly smile welcome ... hotel immaculate , room beautiful include breakfast . walk chinatown first day union square . cable car right take anywhere need go ... would highly recommend hotel would definitely stay ' m san francisco . 
 Jun 25 2008 	 worth money 	 recently stay nearly week business trip . view sixth floor window leave much desire ( top neighboring building ) , room pleasantly large comfortable . the bed quite comfortable wealth pillow provide . bathroom roomy well lit . even though Bush Street run right front Powell St. run one build away , room pleasantly quiet little street noise seem reach room . cable car 's bell back - up beeper use garbage truck among exception . the staff quite friendly concern meet quickly completely . there safe coffee maker room , along DVD player surround sound system . could check - out dvd number available front desk . wireless internet access reasonably snappy , though service provider 's access control mechanism clunky . addition , service provider ( Wi - Fi Guys ) would periodically inject ad web surfing , annoying . the room could bit dark night , lamp generally place need . mysterious reason , one lamp hooked switch also control light directly entrance door . mean leave light not need want light turn elsewhere room . there recycle bin obviously available sort recyclable material ( newspaper , bottle , can , etc ) . give San Francisco 's well publicize attempt encourage recycling , lack recycling bin disappointing . 
 Jun 25 2008 	 great overall - good location good value 	 stay Orchard Hotel 3 night . able book use promotional & quot ; 3 2 & quot ; city package , give we 3 night price two include basic hotel breakfast every morning . the hotel everything boutique hotel . small , quieter , individual attention staff , friendly eager help . tend like book small independent hotel rather large chain disappoint Orchard . the room attractive , comfortable , clean well keep hallway & amp ; elevator . meal eat hotel breakfast good . public transportation run close usually use cab walk wherever want go . cab hard hail NYC attentive , cab - hail doorman real plus . shopping area plentiful easy reach foot . able find anything want buy - low end H & amp ; , Ross , Old Navy way designer shop . interesting kind mingle together area . my negative comment ( know really picky ) condition house phone . filthy chose use one . not remark staff . certain phone would spotless next time try use one . 's kind staff hotel . advice - book hotel enjoy ! 
 Jun 24 2008 	 Fabulous stay Orchard Hotel 	 husband stay Orchard Hotel 5 night late June please . room , King 8th floor , spotless . bed among comfortable ' ve encounter . bathroom clean spacious plenty towel counter space . wireless service strong work perfectly room . the staff could friendly helpful . the location perfect -- right Union Square , near cable car , incredible shopping , restaurant . and .. price reasonable , $ 149 per night . although price include breakfast , wonderful restaurant choice within mere yard hotel . we highly recommend hotel surely stay future visit San Francisco ! 
 Jun 23 2008 	 yes another Great Hotel title 	 come airport Lorrie ' Shuttle drop next Orchard Hotel Bush street 10 yard Powell Street cable car , book 4 night get room street side floor 5 . nice big room , huge bed , massive tv dvd player ( free movie available reception ) free wifi . need get code reception accessWe problem noise overnight etc . good selection toiletry , everything nice clean . use facility bar restaurant . chinatown gate hotel door right hill . Union Square couple block hill . it good hotel maybe pay facility ' really need use basically use room , certainly good enough need . 
 Jun 22 2008 	 good location enjoy stay Orchard 	 wife recently spend three night Orchard Hotel . choose hotel proximity Union Square . room decent size , nicely furnish clean . hotel 's staff courtesy friendly . price hotel 's restaurant bar high side number restaurant area , problem . one negative noise room next door ; room connect door - think - allow voice sound hear room . provide couple annoying moment , not lose sleep feel need complain . overall , pleased stay Orchard Hotel would stay . 
 Jun 20 2008 	 Loved Orchard ! 	 hotel great ! beautiful room large bathroom / walk shower . great bed pillow . free wireless internet dvd player room . view not place . love shop close great food place . 
 Jun 19 2008 	 Great Place ! 	 Location , staff , room , cleanliness , price ... 's missing ? room great . staff helpfull friendly - leave we chocolate wine anniversary . location work perfectly . walk huge hill couple block ( part San Francisco experience ) , hill way China Town North Beach ( Little Italy ) Fisherman 's Warf . road Trolley back drop we 1/2 block Hotel . walk 2 block dinner night . several great place eat area . 
 Jun 18 2008 	 Great Value ! 	 first time San Francisco husband ( part honeymoon ) . first , location hotel PERFECT ! block away Union Square Chinatown , great restaurant choice , far everything else . really feel like middle everything . hotel clean comfortable staff friendly . complaint not vend area go bar spend $ 3 Coke . would definately stay certainly beat price hotel city . 
 Jun 16 2008 	 great Stay ! 	 love hotel ! first time San Francisco , hotel central everything . busy time San Francisco tourist thing , really not spend much time hotel . however , staff great , chambermaid make sure leave we extra shampoo & amp ; conditioner . not get chance try breakfast , since always go- however sure would not disapoint ! A+ 
 Jun 13 2008 	 great hotel great price . 	 read review already get picture . fantastic hotel . will run point : great location , 2 block famous gate Chinatown right middle action . 's good dining nearby well . the room clean , modern , bed comfortable , # 1 concern . staff helpful book we dinner reservation every night different place around town . big plus one push 4 5 star : price easily good value money San Francisco . maybe good luck , Orchard price hotel not even half good . wife travel frequently business be pay almost 2 time rate orchard bad room far bad location . San Fran expensive , way go orcahrd deliver great hotel decent price . stay Orchard , will not disappoint . 
 Jun 12 2008 	 great value 	 friend stay 7 night Orchard & quot ; girl & quot ; vacation get away . spend month Trip advisor trying choose perfect hotel . criterion cleanliness , spacious room spacious bathroom . ( two woman share bathroom worry ) even choose Orchard , still worried choice wonder spend extra money Omni . friend agree , make perfect choice choose Orchard . hotel excellent value . location well , step trolley car stop . room comfortable , spacious clean . ( real clean freak ) find bed comfortable good quality linen . room several type pillow choose . extra pillow closet . eat dinner restaurant one night . flat iron steak excellent friend pork impress . also cheese platter one evening good good value . the staff friendly helpful throughout hotel . restaurant staff friendly give good service dining area well bar . maid well . room spotless morning bed turn night , warm friendly . doorman/ consierge take care booking tour we . we choose include breakfast room eat morning Roxanne 's next door . plenty place eat nearby . if want clean , comfortable hotel great location good staff , look . ask street side room book . 
 Jun 10 2008 	 great spot stay San Fran 	 highly recommend hotel anyone visit San Fran . location great - central everything . room clean , staff helpful friendly price right . 
 Jun 10 2008 	 good value money 	 nice hotel boutique flair good location ( least tourism , ) . cable car stop almost right front within walk distance Union Sq Chinatown . surprisingly large room nice bathroom . friendly staff nice touch ( dvd player room free DVD rental ) , would find chain hotel . downside breakfast ( continental b / fast include inb rate ) sub standard kind hotel , charge much . 
 Jun 10 2008 	 great little hotel ... 	 stay Orchard late April . read good review hotel disappoint . location excellent , close Union Square everything around . small lobby attach restaurant ( not get try ) get room face front hotel ( see low quality cell - phone pic ) room actually large expect , consider 's pretty old building . hotel slight hill may may issue depend much ' ve dinner . cab plentiful anyway doorman go way ( corner block case ) hail one . kudo staff general . the bathroom , window , climate control , sound insulation update good new hotel . even though low floor , not hear lot street noise night . free high - speed internet access also include well minibar , tv surround sound combo DVD / CD / mp3 player complimentary movie front desk . I would recommend hotel anyone visit SF first time due location . 
 Jun 10 2008 	 Perfect Stay 	 Orchard jewel . tasteful , attentive staff , lovely room great central location . near Chinatown , cable car , Union Square .We conference big hotel change event end . it relief find peaceful setting . good local neighborhood recommend Uncle Vito ; corner neighborhood pizza . staff helpful friendly .They come excellent suggestion . the one reservation traveler health , breathe mobility concerns hills killers . their companion hotel Orchard Garden 3 block away , flat area also central . loved stay ! 
 Jun 10 2008 	 good dreal location 	 pleasant stay Orchard . staff friendly helpful , particularly doorman . room quite comfortable . would recommend hotel anyone want stay Union Square area reasonable price . 
 Jun 8 2008 	 lovely room great location 	 Orchard Hotel great place stay San Francisco . lovely room , high quality furniture , good size bathroom big shower . rate excellent central city hotel ( around corner Union Square ) get free wi - fi real bonus . breakfast available selection nearby diner couple minute walk hotel . would definitely recommend Orchard be look great quality central location affordable rate . 
 Jun 7 2008 	 Good Place suggestion 	 quiet , comfortable place stay notoriously expensive noisy city . good rate hotel 's website ( prepay $ 159 per night bed breakfast , plus additional $ 19.22 per night taxis ) , would stay flash . hotel soundproof location perfect , step away Bush / Powell intersection easy jaunt downtown . California street Cable Car line two block Nob Hill ; Market Street five short block south . not car , hotel offer in - and - out valet parking $ 38 per night , pretty good rate consider heart City . Dinner hotel 's restaurant , Daffodil 's , so - so however ; husband 's flatiron steak superb , pork tenderloin entree dry tasteless , overcooked . waitress say chef prefer serve pork rare , probably never hear trichinosis idea easy cook pork tenderloin non - pink , tender perfection . whatever , suggest select something else seem relatively limited , somewhat precocious menu . aware tiny , easily overlook coupon far end reception desk knock $ 20 dinner bill . restaurant not seem busy three night residence ; perhaps management put one $ 20 coupon room key check - in . european - style breakfast buffet adequate include juice , cold cut , cheese , tomato , hard - boil egg , assorted cereal ( yogurt available ) , variety fruit , delicious croissant muffin , bread bagel toasting , tea , coffee , . hot breakfast available extra charge . we San Francisco Chronicle outside door every morning , USA Today Wall Street Journal also complimentary front desk . the room free wireless , bathroom large well appoint good linen . Shower / tub clean excellent water pressure . little noise transfer adjacent room . in - room coffee memorable . elevator prompt swift . the bed cloud - like , almost much . uncomfortably hot first night alternate hot duvet cold sheet cover , request regular blanket rather fluffy duvet -- problem solve . huge pillow deep fluffy , nice 's want like miserable prefer something small firm . selection pillow amid six bed would much appreciate . the decor tailor extremely nice furnishing , staff highly professional pleasant . , Orchard prove ideal all - too - short stay SF . 
 Jun 7 2008 	 good review true 	 choose Orchard Hotel 3 night stay base excellent review Tripadvisor . disappoint . room clean spacious good bathroom . feel price pay ( book directly hotel ) represent good value especially since simple continental breakfast include . staff helpful courteous . we ceratinly recommend boutique style hotel . 
 Jun 6 2008 	 great find - thank Trip Advisor 	 think post cover good point book 4 room May 16 - 18 pleased selection . great location , clean , comfortable bed , everything work . Valet service desk personnel pretty efficient also . 
 Jun 4 2008 	 Great Place Great Space 	 hotel convenient location , close Union Square , Chinatown , Fisherman 's Wharf , Embarcadero , many famous locale . staff , especially bellman / concierge , Cornell , fabulous . helpful find great restaurant place interest . hotel beautiful elegant , quite bargain . will definitely stay next time ' m San Francisco . 
 May 31 2008 	 Fantastic Hotel ! 	 Orchard Hotel San Francisco one good hotel stay . stay absolutely wonderful start finish . room beautifully furnish , clean good size . bed particular comfortable ! staff professional , friendly helpful . customer service premium standard . good location within city close major attraction transport network . would definately recommend hotel friend family . go enjoy Orchard Hotel ! 
 May 30 2008 	 Reviews lie -- Great Place 	 love hotel . stay SF @ Westin , Mark Hopkins , maybe other . far good hotel experience ' ve ever -- anywhere . quiet , peaceful , great location . stay high floor hear neither traffic noise . order service kind hotel . room everything , include surround sound . check one dvd free service , never watch . hotel right Union Square , right next Sears Fine Food , provide GREAT breakfast ! ! ! love hotel . nice bedding , firm mattress , great , clean room , huge room overall .. quiet . nice staff . BEAUTIFUL hotel blow away Mark Hopkins . staff approachable love place . dining place cable car stop right next hotel . walgreen , food , Hertz , service within walking distance . true find , hotel amazing . 
 may 29 2008 	 love usual ... go back June . 	 husband live Marin County , 25 minute away Orchard Hotel San Francisco , love go weekend . several time year always stay Orchard Hotel Bush Powell Streets . last weekend ( May 24 25th ) celebrate birthday ... usual hospitality A+ . also love decor location -- block China Town . would highly recommend hotel towner local like . 
