quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 Aug 19 2005 	 really Liked Landmark 	 stay Landmark 3 night July 2005 enjoy much . suite incredibly spacious . room clean welll appoint . concierge helpful . rate .. well sure not cheap , however everything London seem rather expensive I . for two night stay suite big suite ' ve ever . two queen , couch , coffee table , chair , end table still huge open space . room doorbell find somewhat amusing . afternoon last night receive note management inform we would loud event night would result loud noise 1 am , would like change room would happily assist we . move executive suite - little small , still large , two tv balcony overlook center enclose courtyard / restaurant . we eat meal hotel , room service snack . room service menu lengthy enough satisfy people . those crack dawn find complimentary coffee pastry near conceirge desk . health club pool decent , area around pool could use good scrub . spa / jacuzzi popular could hold 6 adult easily . I not find hotel large one recent reviewer . find large impersonal . out back door cab stand , Marylebone station ( also stand ) several food option Marks & amp ; Spencer ( grocery ) good selection sort grocery . take note - local pub ( several within block ) great taste traditional English Pub fare atmosphere however allow child . final note - sure charge correctly room . take email confirmation . correction charge make quickly little discussion . 
 Aug 16 2005 	 Five Star - huge hotel poor location ! 	 stay Landmark August due reduce summer rate ( 5 night price 4 ) . previous review accurate standard five star throughout . however ... place huge . like hotel Las Vegas proportion not mind walk one block get elevator ( exaggeration ! ) , may enjoy Landmark . find large impersonal . issue location . really edge city despite close proximity Regents Park delightful Marylebone High Street , little way . positive side , would agree room ( stay deluxe ) large find London . overall , worth deal , regular rate high location . 
 Aug 9 2005 	 absolutely perfect 	 read current review decide add two cent ! husband love stay Landmark . room overlook atrium . linen , bath , decor , etc . perfect . location right across street tube . will stay ! 
 Aug 9 2005 	 First Class 	 stay Landmark family event host . large number town guest everyone impressed . the room stunning . much large hotel room ever London . amenity five star hotel : luxury soap lotion , separate toilet , bath shower , two sink , comfortable bed beautiful furnishing . thing miss low price room hair conditioner slipper . available expensive room significantly impact quality stay . the Landmark fine condition historic hotel ever visit since recently completely overhauled . still maintain romance great railway hotel without old beat feeling get place like Ritz Savoy paint chip wall can not afford close properly update building . winter garden use hotel courtyard cover tastefully design glass dome . hotel London welcome small lobby low ceiling dreary morining . Landmark , walk one two beautiful doorway , emerge sun fill room eight storrie high palm tree ( fake beautiful nonetheless ) charming lounge restaurant piano music afternoon . function room stunning , compatible individual character . the service Landmark outstanding . people reception could understand request . time fear would test patience remain friendly professional time . concierge successful fulfilling request reservation information city . impressively , event staff provide level service experince hotel event venue sort . Lead Lucy White , event exceed expectation many time over . tripadvisor right many aspect hotel . first , one fine hotel London despite location reasonably central amidst many tourist attraction ( like wax museum Regent 's Park ) . hotel change unreasonable amount money extra like telephone call breakfast little restraint planning , avoid . pay go mobile phone available front desk reasonable charge small free breakfast availble gym ( thank tripadvisor tip ! ) .The Landmark brand name like Claridges Dorchester many status come name important . would like first rate luxury hotel London , equal . londoner visit hotel stun discover gem ! stay amidst London bombing could feel safe , home happy Landmark . stay often . 
 Aug 1 2005 	 Beautiful appoint hotel 	 date : 29th July 2005reviewer : LoweThe hotel well situate walk distance lot london attraction . room well furnish expect 5 star feel charge food drink expensive ! full breakfast £ 24 get expensive family four . I also little disappointed upon check notice number charge telephone , room service , paper etc request . also ask pay twice parking vehicle , £ 35 per day sneeze at . overall staff pleasant would recommend hotel anyone want push boat nice weekend break . 
 Jul 31 2005 	 Perfection 	 thoroughly enjoy Landmark . exceptional service , extremely comfortable room ( i.e. , bed ) , convenient location across Marleybone Station ( Marks & amp ; Spencer food store ) make sure - fire choice anyone look good comfort , quality , service . 
 Jul 11 2005 	 Loved Landmark 	 return 7 night stay Landmark , quite impressed pleased aspect hotel 's service accommodation . & quot ; bargain & quot ; hotel term pricing , great property immaculately maintain - , ' m sure , large guest room London metropolitan area ! concierge assist we day - long tour windsor , Stonehenge Bath local company ( British Tours - incredible not mind spend little extra personally guide tour ) , also helpful provide ticket venue know long line ( i.e . Madame Tussaud 's , London Dungeon , etc . ) . & quot ; not - so - glowing & quot ; comment would service hotel 's Sunday Brunch less attentive - food set hotel 's Winter Garden atrium area make one glitch . want comfortable place call & quot ; home & quot ; visit London , Landmark fit bill nicely - would definitely stay ! 
 Jul 11 2005 	 not accept anything less 	 Cheers Landmark London ! beautiful hotel . Hollywood could create lavish setting . the room big european standard . deluxe room huge bathroom walkin - in shower well large tub . loved double sink marble . the king size bed nice . large closet foyer . twice - daily maid srvice . tall ceiling ( 3rd floor ... 4th America ) beautiful drapery . room 's air conditioning great day upper 80 's . staff could nicer ! good part ? marylebone station across street . can not imagine nice London easily accessible . station also mark Spencer ( grocery ) , liquor / convenience sotre , several coffee / food shop , florist , barber , 5 6 atm not charge fee . way , purchase drink tube station keep room 's fridge ... much economical . pamper youself place . ! 
 Jul 8 2005 	 Landmark Hotel : love stay 	 stunned event yesterday London , want preface post say family thoroughly enjoy time June 26 - July 1 , can not wait return , especially 2012 Olympics , certainly well ! London vibrant , beautiful , elegant indeed , civilized city . evident much citizen love , know persevere . thrilled huge room Landmark overlook gorgeous atrium . little noisy first night due music band dj . two comfortable queen size bed excellent pillow . large bathroom , huge bath towel . call housekeeping day request two set towel leave two cleaning staff - always promptly bring . nice loo door close . separate shower bath hand hold shower - sparkle clean . large closet , large armoire house minibar , tv several deep drawer storage . elegant seat area deep sofa coffee table . Foyer / entry area hall table - feel like walk apartment day . light next bed ( button right , include disturb button doorbell ) , mean could read kid sleep . eat hotel , comment . pay comfortable , elegant room , $ 40 ( 20 GBP ) breakfast per person silly . ditto minibar price . $ 20 p / p probably would eaten couple morning ; dismal exchange rate probably help decide one ! be expense account , , be travel child , many less expensive choice . husband discover health club free juice , fruit small muffin / croissant morning ; free coffee ( serve china styrofoam ) urn near concierge available breakfast serve . previously mention , Marylebone train station directly behind hotel . three people , bagel cream cheese , fruit smoothie coffee 9 - 10 GBP . Marks Spencer Simply food fantastic resource sandwich , yogurt , fruit , snack , drink incl . well price bottle wine . lot heat eat thing , , microwave , could not . eager try London 's great new restaurant , anyway . staff helpful , esp . concierge one manager , Daniela . concierge ( woman whose name escape ) phone theater , get great seat show price well expect pay . , well do ! 
 Jul 7 2005 	 Best Hotel London 	 previously stay hotel , illusion good hotel london . the room beautiful , bed comortable , bathroom huge exquisit . if , try get room overlook atrium - beautiful . the food amazing try afternoon tea although good value previously , one refill plate could much want . breakfast gorgeous include room rate get great deal breakfast 2 set back £ 50 , lunch afternoon tea . it expensive , well worth it . try book beforehand , book directly hotel package deluxe room , bottle champagne breakfast £ 250 ( one night ) . take away price champagne breakfast room £ 150 really good hotel - simply turn ask deluxe room would set back £ 400 . health club nice , well worth visit free use hotel guest . during afternoon pianist play atrium romantic beautiful . I love Landmark ! 
 Jul 3 2005 	 Great Upscale Hotel Families 	 tradeoff hotel location - locate chic location like Mount Street , make great family . first , hotel - room large , well - appoint , large marble bath - though trouble outset , hotel everything correct room ultimately leave we satisfied . hotel also nice pool capable gymnasium several restaurant choice also great kid . location English urban environment - up - and - come area many ethnic group lot main dining option . hotel attach low volume train station way cover walk accross two - lane street . bagel coffee shop trainstation well Marks Spencer Food store make convenient breakfast snack . Madame Toussaud 's right street subway access easy . access London snap . concierge outstanding , easily satisfy need make excellent recommendation . 
 Jun 27 2005 	 great staff make great hotel 	 stay landmark three occassion , stay four day . FULLY recommend hotel . happyon occassion . yes big hotel , yes predominantly business style destination - within monolithic victorian building yett ...... yes service much well trendy call ' Boutique Hotels ' . use executive room outside view - great bathroom ! nice still turndown service ( refresh ice bucket ! ) , boot shine etc . - guest complimentary run health centre great pool - great way wake relax meet dinner engagement . high speed internet acess room - little pricey UKstg 14.95 24hrs . constructive criticism might suggest review breakfast - costly choice bit narrow . get taxi hotel easy - permanant rank side entrance . find one good concierge be come across . Nigel deserve congratulation commendation . help reservation problem solve reason alone book . well do ! 
 Jun 23 2005 	 nice room bad service 	 beautiful building , large comfortable room bathroom ( executive room Atrium view ) . give two star . the service ruin experience . reception ( awful welcome , bring bag half hour ) waiting staff ( remind Soviet Union ) , service almost always poor distant . as reviewer note , food price high . one example : 25 pound english breakfast ( include week - end rate ) pre - sliced industrial bread , limited buffet , omelet taste like rubber , etc . think : price breakfast Dorchester . the spa look nice picture , nothing special dressing + shower + sauna area dirty , acceptable hotel category . overall , big disappointment . 
 May 24 2005 	 finally place decent plumbing ! ! 	 husband London business chance stay Landmark FREEEEEEEEE ! ! must say lovely hotel . room huge bathroom also spacious . probably place London decent water pressure . average hotel not will end take shower underneath trickle water . Landmark case . use shower like stand waterfall . complaint would overbear staff . constantly ring door bell ( yes door bell ) practically every minute day . bad stand underneath torrent water shower . hear door bell ( course provide & quot ; disturb & quot ; sign ) real shock walk bathroom towel confront employee check . fun place . good part sit lounge ( basically huge indoor garden ) drink beer quite rowdy . love manager come snidely look nose we , ask guest . immediately produce key card start laugh . cuz 's posh hotel mean pretend posh . ' m sure be think oh , person typical annoying American . case friend , husband happen british , guess make ok . 
 Apr 13 2005 	 exceed already high expectation ! 	 stay 30 March 4 April 2005 disappointed . 7 - month - old 3 - year - old we stay spacious family room fourth floor face atrium . room quiet . large double - sink bathroom nearly soundproof , great take one kid necessary . location superb . number good restaurant nearby smorgasbord eatery Tube station next hotel . breakfast shop next hotel great ( cheap ) . eat main hotel restaurant , eat & quot ; Cellars , & quot ; bar / restaurant low floor . food okay , bar restaurtant -- great kid . great little garden / park playground hotel Marylebone High Street ( lot restaurant shop ) . hotel service great . staff bring extra bed , highchair , crib , humidifier . air conditioning effective ; water pressure excellent . four bed fit easily one wall , leave lot room . hotel spa real bonus . daughter eat free light breakfast ( pastry , juice , coffee ) morning go & quot ; swim & quot ; large jacuzzi -- relax . , hotel exceed expectation , high read previous review . ' ve slightly luxurious hotel , travel kid hotel top - notch . highly recommend ! 
 Apr 5 2005 	 Grand hotel 	 return visitor , know Landmark would disappoint . room spacious beautifully decorate . find staff friendly - even provide shirt collar stiffener ! eat continental breakfast day include plan . aware eat meal hotel go pricey . Marylebone center London , tube Baker Street accessible . evening dinner , check Marlebone High Street range restaurant . 
 Apr 3 2005 	 huge room ... clean ... not make call 	 return stay Landmark . ( 2 adult 2 kid ) stay & quot ; family room & quot ; large bathroom seperate & quot ; toilet room & quot ; key . hotel beautuful think great location . right Bakerloo line convenient everything literally need go outside ( get wet ! ! ) ride tube . deal Expedia include breakfast never eat hotel ... REALLY expensive far could see .... lot business lunch go . however , & amp ; across street purchase goody breakfast day . complaint ... 1 ) kid ... 13 year old twin could swim pool without adult .... 2 ) concierge know nothing ..... 3 ) phone bill several short local call $ 80 ! ! ! ( highway robbery ! ! ) however , beautiful hotel ... clean , friendly staff great comfy bed . would stay . 
 Mar 21 2005 	 wow factor 	 stay New Year & amp ; really wonderful time . staff efficient & amp ; treat guest like royalty . pool lovely & amp ; food really fantastic ! location really good , hotel right next tube ... convenient . would recommend hotel & amp ; definately stay ! 
 Mar 21 2005 	 Fabulous hotel shame extra charge 	 return weekend fabulous London Landmark Hotel indeed wonderful setting . hotel room remain spacious public area , decorate high standard , atmosphere take back must like ` olden day ` . pay £ 369 Atrium suite arrival upgrade Marylebone Suite huge . downside stay extra charge instance pay sort price room bit take aback tell ask iron ironing board would charge £ 10 , room service charge seem high £ 3 per person per tray . , food service excellent ! 
 Feb 28 2005 	 value - price little way 	 face , we would prefer stay Mayfair , pay much high price much small room will get Landmark . plenty special Orbitz site , probably location Marylebone Road little way . not matter , hotel right next train station stop Underground , will anywhere city blink eye . also enjoy walk Regents Park , next door , would never visit . room quite gracious , service good , walk block get English breakfast 4 gbp , 25 GBP restaurant . room overlook street , central courtyard . quite quiet , view good , overall worthwhile experience . 
 Feb 17 2005 	 shaky start - soon redeem 	 book three night deluxe room Landmark duly arrive 6 - 30 pm tell room ready would wait . explain trainee receptionist check time several hour ago meeting get senior receptionist summon within second , accompaniement profuse apology , upgrade suite duration stay . Rooms Landmark large - suites large sumptuously equip overlook central atrium / lobby . hotel grand scale may suit everybody due 's lack intimacy easily accessible location next tube station mini Marks Spencer food shop opposite not fancy expensive room serice really nice picnic yard away . breakfast space limit often wait table - ok relaxing break - frustrating timetable . leisure facility good without fantastic . abide memory fall asleep sound string quartet drift room lobby bar 
 Feb 16 2005 	 great Stay Landmark 	 stay Landmark January 2005 . convenient hotel next wonderful Tube station . British Airways Holidays terrific price hotel include great breakfast . room large , upgrade 10 pound per night extra arrival . indoor pool nice . , staff treat we like Royalty . beware , use phone ; 2 minute call cost much 15 pound . also , price restaurant crazy . 
 Feb 1 2005 	 Excellent even flaw 	 stay 6 night Landmark January 2005 . ' ve stay number occasion , think one good hotel London . room unusually large keep clean . complaint : light bulb w / c burn . not notify anyone , maid notice two day ( clean dark ? ) . charge phone high , well . still , Landmark rate excellent . 
 Jan 29 2005 	 great room 's . 	 one choose hotel . 1 priority spacious room comfortable bed , something understimate . , Landmark clear managerial problem : service staff professionality erratic , sometimes good- time bad , reception desk stand high unfriendliness & quot ; wimpiness & quot ; . consider personnel high turn - over , one may argue ' ve instruct , uninstructed , : basically , minimum . locationwise , find practicle , link tube , other may find bit beat path . minibar , telephone bar expensive already outrageously expensive level London . 
 Jan 28 2005 	 beautiful victorian railway hotel 	 one beautiful hotel ' ve visit . leave luggage rear doorman - opposite Marylebone station , leave car valet park , check , take one three rapid lift lovely room , find bag beat us - good start ! ! lovely good - sized room , firm yet comfortable bed , choice pillow , huge bathroom shower separate w.c . public room delight , refurbish turn century grandeur . stay part conference , breakfast mediocre , include would say worthwhile , myriad small cafe Marylebone station second hotel . 's also & amp ; food outlet excellent selection wine snack , need raid minibar either . perfectly site , outside congestion charge area ( miss sign cost 50 pound last time visit London ) virtually atop Bakerloo tube line , mean Oxford Regent Street minute away . perfect place stay London , enjoy ambiance , room pool , give restaurant miss , snack station dine City . 
 Jan 20 2005 	 Paradise Found 	 stay Landmark Sunday Monday night ( 16th 17th respectively ) . service high calibre . spend 11 hour Saturday night en route Cape Town London thecrampe economy class South African Airways plane , sucha relief arrive Landmark 10 a.m. Sunday morning todiscover luxurious room already service wasawaite immediate occupation . one power shower later two hour sleep successfully banish aeronautical cobwebs mind . stay fifty different London hotel past twenty year room Landmark far large ever occupy . Superb . bed comfortableand curtain effective blot light outside eventhe harden insomniac would sleep there . face choice pay airline company extra £ 1,000 - £ 1,500 sterling business class seat fly economy class spending day Landmark recover anoversea trip , traveller time his / her hand alwayschoose latter two option . I one reservation Landmark . fact charge £ 4.50 minuscule bottle mineral water mini - bar . could understand 400 % mark charge £ 2 . £ 4.50 constitute evidence rapaciousness part deserve strong criticism . not time hotel start behavingreasonably towards customer charge fair price drink mini - bar ? reader review could alert tripadvisor website hotel London charge reasonable price drink mini - bar , would interested hear . suspect hotel probably exist . meantime , consumer vote foot buy mineral water less £ 1 sterling retail outlet Baker Street underground station carry back room Landmark hotel . having complain price mineral water , still rate theLandmark good hotel ever stay London . 's something special place deserve high praise . Paradise Found , Milton might say . if walk around area vicinity Landmark , make surethat miss Marylebone High Street . 's narrow windingstreet connect Marylebone Road Oxford Street . 's fullof elegant delicatessen , restaurant curio shop . wellworth leisurely twenty minute stroll ( , want explorethe shop great depth ) . 
 Jan 17 2005 	 Bad Security Service . beware Lobby . 	 unfortunately , wife 's purse steal front desk checking . Landmark staff could care less . first , claim wife purse make security review videotape . tape make look though thief case lobby . obvious theft occur , hotel basically take position incident entirely problem . genuine concern offer assist notify credit card company , etc . inquire bellstaff , told & quot ; sorry - they lunch & quot ; room fine location service less ideal . several guest complain stay service issue . stay somewhere else . 
 Jan 11 2005 	 Excellent London standard 	 husband stay one night January 2005 . typically british therefore pessimistic not expect Landmark London exceptional truly . many London hotel cramp , expensive , dirty service leave lot desire case Landmark London . we pay GBP 198 include full english breakfast . husband full English whilst opt continental breakfast . contrary previous comment website Continental breakfast ' coffee roll ' , variety cereal , fruit , pastry , juice , jam toast . ok , ' ve hotel outside UK selection think need compare UK hotel fair . our room standard Deluxe pleasant plenty room . overlook huge internal courtyard atrium roof - pretty . bathroom small - ish luxurious , clean well - stock toiletry White Company . we use health club swimming pool find well - equip pleasing . I agree hotel absolutely central London , however be well within walking distance main shop ( walk Oxford Street quite happily ) Marylebone lovely upmarket area really quirky shop . know New York , 's London equivalent Greenwich Village . all , wonderful stay would recommend hotel . forget Claridges , Ritz Savoy , old , small need renovating . 
 Dec 30 2004 	 great hotel not touch phone eat breakfast 	 stay Christmas week 2004 . room large , quiet , nicely equip , comfortable . get good rate ( 130 pound night ) . location around hotel interesting walk around , right across street tube ( underground ) station several coffee shop , grocery store , bagel shop , etc . convenient . hotel great health club pool , charge extra for . the problem hotel extra . charge GBP 0.75 per minute phone call within London . be right , one US dollar per minute local call . think basically theft . charge GBP20 ( US $ 40 ) contentintal breakfast ( coffee roll ) . charge GBP15 per day internet access . outrageous price really take enjoyment stay Landmark . avoid charge , go across street station use pay phone buy breakfast . internet cafe block away ( towards Paddington ) station wifi . hotel not seem really try hard please guest . holiday week , hour health club pool reduce . fair enough . not even bother post revise schedule door health club , send announcment room . go early , door lock staff clue . registration checkin area near ' main ' entrance . entrance use arrive train , subway , bus taxi . bring back door . hotel sign direct guest check - in area . really not bother , seem , one first reaction hotel complete disorientation ( unless arrive door man , get personal help ) .Overall , great hotel discount rate pay . need leave hotel make local phone call eat breakfast reduce enthusiasm hotel considerably . 
 Dec 11 2004 	 beautiful hotel beautiful people beautiful city 	 fantastic hotel . stay occasion , include last week . room gracefully decorate , spacious . service fantastic , quite frankly can not utter bad word ! even try .... even sausage ! 
 Dec 5 2004 	 Landmark Top Notch 	 recently stay Landmark five night Thanksgiving husband 10 year old son . start taxi driver let we , staff attentive . take bag go directly Registration . room ready even though check early . room quite large two full - size bed , sofa , chair , desk , large marble bath separate shower . cleanliness room could not well . bed bright white towel . entire staff polite amenable . hotel great location , directly across street Underground Station house coffee bar , soup bar , food store , among other . would definitely recommend hotel would definitely stay . 
 Nov 6 2004 	 great hotel great service 	 great hotel big room bathroom however make superior London hotel service . Gerry restaurant good , concierge team one friendly efficient ever encounter travel . this hotel well keep secret keep way ! ! ! ! ! 
 Oct 30 2004 	 seriously overpriced overrated 	 reviewer obviosly get rock head ! stay 4 year ago fabulous . wonderful restaurant time room fab . however returning recently find altogether unpleasant experience . staff generally rude snobby , verya impersonal approach guest . wintergarden overprice . eat 6 ish pack full business type hold power meeting rather loudly . pack like sardine food send back cold . addition film Xfactor visit public area full hysterical wannabee ... mind relax time . overall , apart lovely inner couryard impressive , hotel lack kind charisma charm . want stay lovely , personal hotel close go Dorset Square hotel . much refined tasteful rip . 
 Oct 23 2004 	 Splendid Hotel 	 complete second stay wonderful hotel , book British Airways . service exceptional . staff remember we stay 2003 , make we feel like regular ( wish ! ) . mention linger sinus infection desk clerk show we room , immediately send hotel nurse consultation . full English Breakfast spectacular seven - storey atrium include rate , thank heaven , cost 24.00GBP . love carb , particularly enjoy fresh bake good fruit buffet . as reviewer mention , guest room spacious wonderful marble bathroom contain double sink , large separate shower , wc private enclose area , easily allow two people ready enjoy day . the drawback might location . luckily , Marylebone tube station stand step away hotel , ready whisk hot spot . lovely restaurant shop Marylebone High Street , 15 - 20 minute walk Landmark . Pizza Express Marylebone Road less five minute away , however . 
 Oct 19 2004 	 worth every penny 	 visit London end August , 2004 stay London Landmark 9 night . hotel magnificent . large room , great decor , incredible dining area , even pool ! location perfect , across street Marleybone Station Tube 2 min . walk Baker Street Tube . imagine stay anywhere else London . go . relax . enjoy . 
 Sep 30 2004 	 Wonderfull London Wonderfull Landmark 	 wife stay Landmark last week end . experience simply outstanding . anything wrong old marvelous piece London History . room excellent roomy perfect bathroom great service . definitely far well thah high hope . we return Landmark next time . afford i d definitely HOTEL ! 
 Aug 17 2004 	 glorious stay thoughtful attention detail truly 5 - star 	 glorious stay old - world , luxury hotel ! thoughtful , considerate , eminently helpful staff impeccable room make hotel absolutely wonderful week England several , nice hotel . nothing short ' superb ' would describe . high tea also good trip . can not recommend enough family friend ! 
 Aug 11 2004 	 pleasant 	 6 year old daughter return trip London August 4 August 10 , 2004 . initially book hotel Radisson Edwardian Mayfair , read poor review , decide change Landmark London Hotel . Landmark London Hotel 5 second walk underground train station . take Heathtrow Express airport Paddingtong Station ; take Bakerloo Line towards Elephant Castle exit Marelyborne Station . upon exit Marelyborne Station , cross street head right . hotel less block away . initially deluxe room , upgrade superior room 10 pound per night . staff friendly , room nice : well proportioned ; marble bathroom ; effective air conditioner ; decent size . take hair conditioner hair dryer . take unbrella everywhere . weather unpredictable . hot couple day . clarify ambiguity , mean , short tank top hot . & quot ; evening get bit cool , need raincoat , indeed pack base review . we go heathrow least two hous prior departure flight return LAX , find time insufficient . airport chaotic . announcement Heathrow Express state flight go Los Angeles Termial . arrive terminal , however , realize wrong terminal . Virgin Atlantic depart Los Angeles terminal 3 . would say get airport three ( 3 ) hour prior flight safe . I not realize second third day , Baker Street , immediate next stop Marelyborn Station , excellent place & quot ; hang & quot ; . cellar , pub locate basement Landmark Hotel pleasant reasonable . 
 Aug 6 2004 	 Fantastic Hotel ! 	 stay hotel 4 time , dissapointe . last time visit ( July 2004 ) check tell problem room book ( Landamrk suite ) essential maintaince need carry room . however , assistant manager apolgetic deal problem extremely well . daughter offer upgrade Atrium Suite , however , room ly one bed another would bring . show room decide take due camper bed bring . therefore assistant manager show we another room could deluxe room ( one know expect ( lovely ) ) . however , room HUGE much big previous deluxe room past visit ( also large ) , take room straight away . show apoligie assistant manager offer we bottle champagne ( would normally cost £ 40 ) , however , neither we drink decline . offer we chocolate bowl fruit happily accepted- feel would give we anything ask ! move , although other complain location hotel find handy . fashionable district Maryblone reach tube station dierctly across road even cover walkway ! cheap food buy snack ' Marks Spencers food go ' station not want splash hotel , however , would strongly suggest coffee atrium least ! find transport link extremely useful easy access whole London , also usually taxis wait outside station not hail one . overall truly excellent hotel ! 
 Aug 2 2004 	 Fabulous hotel ! ! ! ! 	 choose Landmark base upon review website . spend 5 night Landmark ! 15.5 yr old son accompany . atrium center hotel restaurant live music - pianist . least 2 wedding / reception short visit . food Sunday brunch spectacular ! especially dessert ! nearby restaurant - ASK - fantastic & amp ; cheap - italian ! ! quiet hotel - away crowd & amp ; traffic . Taxis available minimal charge tourist site . luxurious bedding ! son want duvet . definitely return hotel next visit London ! 
 Jul 27 2004 	 Loved hotel ! 	 hotel expensive , yet great deal . book Virgin Atlantic , air & amp ; hotel 1 week $ 1200 . exclusive hotel . beautiful room , large . gorgeous atrium , breakfast ( include ) . week stay , Eminem floor . service exceptional , room service expensive , food so - so . would definitely stay , find package . 
 Jul 14 2004 	 Magnificent ! 	 return 5 day London 16 year old daughter . Chose Landmark primarily base review site . disappoint ! choose family suite want space relax evening . room huge , even american standard . decor lovely add touch nightly turndown service appreciate . really like button switch wall bed allow control light disturb sign ! staff helpful always friendly . high Tea one afternoon atrium restaurant . tiny dessert delicious . location right center London , definitely plus . 2nd floor still quiet night . hotel close center town deal much traffic plenty noise . miss anything stay area . London 's transportation system well design get anywhere need go short time . subway clean well equip handle thousand traveller visit city . subway station locate back hotel also block street Madame Tussauds convenient . buy week pass subway use system go everywhere . build voltage converter room great . must good hairdryer though , bring . 's true say european hotel hairdryer . be like hose old vacuum cleaner . take morning dry hair ! conceierge great get us ticket Madame Tussauds , make dinner reservation , give direction , taxi ready we 5:30am day leave go home . stay beautiful hotel many state several different country . hotel rate top dissappointe . one little note . book Expedia reserved shuttle service Heathrow airport . take 3 hour get hotel one last stop . instead reccommend use high speed train Heathrow Paddington Station either take taxi subway Marlyebone Station . hotel across path marlyebone . Taxi airport 5:30 ( 35 minute drivewith traffic ) cost $ 100.also use Expedia book day tour Paris London . Tour company receive notification Expedia . hotel receive notification Expedia . airline information . not get upset hotel not reservation , get upset Expedia ! carry paper Expedia well call ahead whatever book make sure everything will not disappoint ! one mother / daughter front us line go Paris book Expedia not call tour company ahead time . get go tour company receive information Expedia ! imagine disappointment ! be go London , take lot layer clothing umbrella ! hotel umbrella use person go need one . yes , rain every day ! wonderful time ! 
 Jul 8 2004 	 AWESOME hotel 	 husband travel London 6/14 - 6/21/04 . hotel awesome 5 * hotel . service impecable . room large , bathroom . bathroom marble . concern electricity . one plug room 110 able plug item without use converter . we choose hotel base information receive review site . continental breakfast include package . breakfast wonderful . possible upgrade & quot ; full english Breakfast 3 pound per person . good also . hotel across street Marleybone tube station . one good & quot ; Chippies & quot ; city locate two block away hotel . Baker Street couple block away . good & quot ; Beatles & quot ; memorabilia store Baker Street Beatles fan . Original Tour Bus stand block away . awesome bus tour city get barring want visit . rate pay allow 24 hour travel bus . get point time . price pay also include Thames river cruise . also receive headset learn city bus . the hotel also serve & quot ; High Tea & quot ; . Winter Garden Restaurant tea serve . awesome ambience , well classic live music . if travel London , would definitely stay . 
 Jul 5 2004 	 good 5 * far 	 return three night stay hotel say say five 5 * hotel stay far London , one far good value . marylebone tube sight hotel give easy access everywhere capitol . the junior suite stay spacious , clean quiet rate £ 255.00 ( $ 460 ) inclusive taxis service charge bargain London price . the downside would say lack intimate atmosphere say connaught , drink Connaught without stay . overall superb . 
 Jun 26 2004 	 Beautiful Hotel 	 husband visit London first time 6/19/04 - 6/22/04 stay Landmark London Hotel . find review Tripadvisor helpful make decision stay hotel . amazed size hotel . find check - in counter adverture . pass sit room , tea room , indoor atrium , hallway full marble table art . room large nice bed ( feather nice sheet ) new upscale furniture . bathroom also large set marble . location hotel far sight right across street underground TUBE . purchase one day pass TUBE go anywhere city quickly easily . eat hotel 's pub basement execellent meal reasonable price . indoor pool clean jacuzzi luke warm . service also top notch . overall , delight ! would definitely stay . 
 Jun 8 2004 	 beyond wonderful ! 	 Landmark phenominal hotel . feel like royalty minute get . deluxe room huge staff quite friendly . we feel little underdressed hotel . vacation casual feel little uncomfortable short . particularly true get catch receive line wedding one ballroom . swear London glitterati . quite embarrased . 
 Jun 3 2004 	 love Landmark London 	 stay Landmark May 15 - 20 , 2004 . reserve studio suite standard room . absolutely beautiful comfortable . never treat well entire staff . Monday night , advise George Bush , Sr . would visit next day reception . imagine lot security . staff everything possible keep disruption minimum . pretty exciting actually . weather perfect week . last night , awoke 1:00 thought rain outside -- instead inside suite -- something flow room . 1:30 move another room . wish overflow occur first night , suite move we SIGHT ! ! great stay , great hotel . 
 May 31 2004 	 great hotel great price 	 base great review , go Landmark love . book three room , terrific . room large London , beautifully furnish , wonderfully quiet . common area spectacular breakfast could well . honor request king bed room near one another ( although want high ceiling , avoid sixth floor ) . baholidays.com advertise special $ 270 / night & quot ; superior & quot ; room ( modest step standard & quot ; executive & quot ; room ) include full english breakfast two taxis -- price much low travel site convince mistake . although email site get rate , offer without hesitation subsequent problem reservation . great hotel great price ! 
