Great 	 Hilton away great business hotel , Thanksgiving weekend , perfect hotel location go mutliple play . NYC many time , convenience time fabulous . hotel perfectly locate middle everything well well run , good service . lovely high level room . one small , encounter rude breakfast waiter big hurry get shift 11 , odd exception . 
 Jul 13 2005 	 definitely stay . love ! 	 first time NY . read mixed review Hilton Times Square know ask room high next gym read noisy . the check - in smooth , room lovely . even request change room ( adjoining ) agree , like initial room give we change back . the room clean , modern spacious . lovely view 42nd Street . we stay 4 day service impeccable . staff ( reception , concierge doorman ) friendly , kind helpful . security staff helpful . we travel small child staff accomodate efficient . we definitely stay Hilton Times Square next time go NYC.Thank Hilton Staff ! fantastic ! 
 Jun 30 2005 	 Location plus 	 Times Square good place stay Hotel rate base , part . full pay price pay , stay business , average . excess $ 300 amenity , especially gold Hilton member . door man ok seem take long get transportation . need get meeting , time essence . 
 Jun 28 2005 	 bad well choice nearby 	 bad hotel . par Hilton Hilton Garden Inns . not think 's worth price , regardless location . bit disappoint room upgrade available , particularly since ' m eligible . bar nice . go high floor possible , view good feature . money , try Westin across street , well yet , try Waldorf Astoria , research cheap . 
 Jun 28 2005 	 Great Hotel ! 	 husband return NYC . stay Hilton Times Square June 17 - 20 . great location say . room pricey side 's expect due location . live near San Francisco use pay $ $ . coffee maker robe nice touch bed extremely comfortable . walk distance everything , subway station step . arrive Friday able enjoy happy hour Times Square Brewery - step hotel . pint 1/2 two beer less 10 buck . yes , construction request room ( advance ) face 42nd street side . cab drop construction side 's doorman , security guard luggage guy . super nice ! helpful explain everything locate . 's weird take elevator 22nd Floor - 's lobby front desk locate . crowd . also nice bar ' ve read - expensive . not eat drink hotel - sooo many nice eating place bar around city . really location , bed , hot shower ( plus hilton point ) . night see show , go bar - see riff raff hang around street 's expect tourist area like big city - watch purse wallet . feel safe realize lobby another floor - 's everyone screen security guard doorman , press & quot ; & quot ; button go lobby . will find really hotel guest - people mill around like hotel . plus , be another security guard elevator . , nice conmfortable hotel close many attraction . oh , ask tkts place ( walk distance Hilton Times Square ) discount ticket day broadway show . see show 50 % rake rate . stand line Friday arrive ( window open 3 p.m. ) line start 1 p.m. ! ! husband not want wait long line glad get 2 ticket 100 buck versus hundred - . take cash hit ATM go . 
 Jun 6 2005 	 get quiet side Hilton 	 return Hilton Broadway weekend .. ( 4 musical 3 day ! ) first time stay Hilton Times Square . go within next month warn construction 41st street . noise deafen start early . put room right . call change room tell nothing available except handicapped room . really surprise we 2:30 afternoon Thursday grab room difference like night day . even though room face 42nd street , would hard press hear anything view great . peace quiet . the room clean good size , bed ok . handicap room large closet small sink bathroom weekend big deal . the elevator great , fast yes everyone right , hotel middle everything . voucher breakfast call restaurant continuation bar area noisy . food ( breakfast buffet ) ok . much well little cafe ( reasonable ) within 2 block area hotel . also room service one night ... 2 bad hamburger fry 1 coke … . $ 60.00 . big room service stick Marriott Marquis . staff friendly .... Franklin , concierge wonderful help anything need . seem quite business people stay see child stay . oh yes , also small workout room seem sufficient . love Broadway love New York go often . Hilton disappoint we . 
 Jun 5 2005 	 Location Location Location 	 ' m give three - star rating base exclusively hotel - location . factor location , raise four - star rating . the room nice - & quot ; adjoining door & quot ; ' m big fan - could hear people talk laugh loudly next room . fortunately , not last night . room clean bed comfortable . think common area ( hall , elevator ) little unkept - long room nice , consider less important . ice available floor , however ice container room . not bother call one - buy bottled water nearby shop . room ( 29th floor ) nice view 42nd Street , good air conditioning , nice size . it little tricky finding entrance hotel 42nd Street - 's narrow entry - low - key - entrance take two elevator go lobby 21st Floor building . front desk staff nice welcoming . Hilton Honors member , also & quot ; welcome letter & quot ; upon arrival . the value average NYC standard - ' ve pay little less well room - , room not heart Theatre District Times Square . 
 May 18 2005 	 Location Location ! 	 first time traveller New York well location . stay Midtown mean everything easily within reach , subway station minute away , cinemas , numerous restaurant , broadway show within walking distance . hotel suit business lesiure traveller . room fantastic size clean comfortable . bathroom great although previous visit little date . service top notch view great . cost stay hotel expensive ( New York ) however benefit stay great location , keep go back . require fridge please email ring ahead request one , send day send 4 confirmation email various department ensure request fufille . service . try food hotel really many good restaurant close would pay hotel inflate price eat beyond . need breakfast place across road ( Pax Food ) 's great breakfast salad , sandwich & amp ; pizza lunch . highly recommend 
 May 10 2005 	 FANTASTIC HOTEL 	 Hilton Times Square fantastic . stay April 1 year old son . staff helpful friendly could enough we . ten minute arrive room , cot ( crib ) deliver , completely make . room spacious king size bed housekeeepe second none . would hesitate recommend excellent hotel . location unbelievable subway station close . 
 May 7 2005 	 excellent choice New York 	 risk repeat many other already say , excellent stay . room large , clean comfortable bathroom spotless . staff could not helpful especially concierge meet negative reaction whatsoever ask check early 12.30pm . two teenager party , location superb feel safe even night , partner moon right opposite BB King 's club . would , already , recommend without hesitation . 
 May 4 2005 	 great location . . . 	 stay Hilton Times Square April 25 - 28 , 2005 . arrive 11:30 graciously let we check early . however , reservation request high floor view away elevator . give we floor 23 ( low floor ) put we next fitness room . fitness room hour 5AM-10PM . 5am morning awoken BANG BANG BANG -- exercise equipment use . not notice first morning since set alarm get early catch Ferry Ellis Island , next morning wake we 5am . call front desk complain girl say would talk manager move we get back we . one ever get back we . pay top dollar ( not get Priceline hotel 's website ) feel cheat . otherwise , hotel great location -- can not beat . hotel employee , exception one front desk employee , extremely helpful polite . would recommend hotel , suggest put room 2308 next fitness room , request move immediately unless be early riser . 
 Apr 28 2005 	 New Year 's Eve Hilton 	 son spend five night Hilton Times Square . terrific location , especially close Times Square New Year 's Eve . view Empire State Building fantastic . room quiet comfortable . would definitely stay again . everything staff service excellent . also end get bronchitis concierge immediately find doctor . appreciate able know go medical help , especially large city like New York . 
 Apr 21 2005 	 clean comfortable 	 clean comfortable . quite trip plan , business center life saver . since pleasure trip , not bring laptop . pc business center Logmein , able get everything do . room immaculate food great . highly recommend hotel . 
 Apr 20 2005 	 Great Hotel 	 find Hilton Times Square perfect hotel first visit New York . bedroom large quiet . bed comfortable bathroom clean . staff friendly , helpful keen pass time day . location great within easy walk distance many New York 's attraction . would hesitate stay return New York . 
 Apr 20 2005 	 Times Square Hilton - Bang ! 	 Times Square Hilton excellent base explore shop New York City . 's location realistically could well , right heart Times Square district end block subway station take anywhere Manhattan . the staff hotel ( particularly security staff ) possibly friendly hotel staff ever encounter special praise give Umar ( security ) , Raymond ( security ) , Henri ( doorman ) Ernest ( reception ) particular really help make we feel welcome value , nice . around hotel plethora chain tourist trap restaurant ( sell decent enough food price ) , venture west towards eight ninth avenue find excellent , great value restaurant diner . if plan go New York City must consider hotel . 
 Apr 15 2005 	 fantastic time Hilton Times Square ! 	 stay Hilton Times Square March 25 - 29th 2005 . location wise , beat . right 42nd street , 100 metre Times Square . Port Authority Bus Terminal rear , Buses leave Outlets - Jersey Gardens Woodbury Common . subway stop within 50 metre door . staff helpful courteous . king size room great size , well keep well equipped . Stayed 42nd Floor fantastic view Empire State Building Hudson River . girlfriend already book next year shopping trip say ! would stay anywhere else NYC . 
 Apr 11 2005 	 Excellent Location 	 come back amazing trip NYC . stay full week Hilton really enjoy every minute . hotel 5 star luxury still high standard , room spacious location perfect . breakfast also worth include package . view hotel amazing - try request high room check . would definitely reccommend hotel every type traveller . staff always helpful charge late check . would definitely stay hotel next time NYC . 
 Apr 8 2005 	 great time Hilton Times Square 	 return fab trip N.Y. 6/4/05 . stayed teenage son great hotel . after tiring journey find tour operator mess booking book upgrade room . Receptionist Hilton go way find available upgrade room request . room 39th floor great view Empire State Building . comfortable bed good sized room , hard get morningstaff welcome friendly especially Raymond security . entrance 42nd Street easy see , lobby large expect , many member staff around especially evening . next hotel cinema , restaurant Madame Tussauds . hotel locate near Broadway second away Times Square . at end trip find difficult leave ! ! would certainly recommend hotel anyone think stay ny . 
 Apr 7 2005 	 spacious great view 	 stay ' reward ' , earn Hilton Honors American Express , find room spacious , particularly New York . view amazing , city Hudson River . lobby bright sophisticated , take elevator get 34th floor . location can not beat theater , close subway Port Authority . nice stay New York ' ve . 
 Apr 7 2005 	 fabulous stay Hilton Times Square 	 read negative review hotel , must admit little skeptical . however , stay Hilton Times Square March 25 - 27 nothing short fantastic ! arrive hour two check - in time , put we room right away , 32nd floor . window overlook Times Square , sweeping view Hudson River right , gorgeous view Empire State Building night . could even see Statue Liberty straight ahead ! room immaculate much room , even room hotel South ! bed comfortable bathroom towel big soft . hotel staff downstair bottom floor always nice matter time get night . even bartender bar lobby friendly . ' ve New York three time past three year good stay ' ve . will definitely stay return ! 
 Apr 7 2005 	 Fantastic Hotel 	 return holiday ny , stay Hilton Times Square 31/3 5/4 . can not praise enough , everything perfect . room 40th floor overlook Hudson 42nd St , quiet . big room two double bed plenty space we , hotel be . late check late flight , baggage look we go eat taxi wait we request take we JFK . staff really polite helpful . also great position travel area , load restaurant within walking distance . 
 Apr 6 2005 	 great hotel 	 stay 28th March 2nd April 05 . fantastic time , not want leave . staff friendly helpful . room large two queen sized bed . room 40th floor view Times Square Hudson River ( could not well ) .my issue price room service , expensive . appleberry restaurant directly hotel , need room service anyway . stay hotel , cross street sandwich PAX deli , faboulous ! ! ! great time , may see definatly go back * * * * * * * * * 
 Mar 29 2005 	 Fantastic Stay ! 	 mother stay Hilton 9 night 15 - 24 March 05 fantastic stay . mention lady front desk first time New York get we lovely room 37th floor overlook 42nd street , view Hudson . read alot review spend alot time decide hotel book definately glad choose Hilton spend bit believe help make trip ny fantastic memorable . prepare small room ( NY hotel review ) pleasantly surprise find room spacious , lot room move around . every staff member encounter friendly appreciated turn service . location ideal we explore city . could fault hotel one bit definately return stay Hilton Times Square future . positive review spot make book hotel first place . people say spend much money hotel room be even , spend 10 hour day room ( sleep , shower , rest etc ) I m glad nice room come back great view love seeing . 
 Mar 24 2005 	 Big East Tournament - Great Place ! 	 recently attend Big East Basketball tournament second weekend March . decide book suite extremely reasonable government rate . could not happy accommodation ( king bed plus pullout queen sofa ) , treatment receive moment check vehicle , location right middle Times Square , proximity Garden . three we already agree would not stay anywhere else next year . bravo ! ! 
 Mar 21 2005 	 Great Weekend ! 	 absolutely fantastic . stay Hilton 17/03 - 20/03 . receive early check - in extend check , 41st floor room outstanding view 42nd Hudson . room large , clean , tidy comfortable . concierge excellent , staff . would definately stay ! ! 
 Mar 16 2005 	 Loved Times Square Hilton 	 Nice surprise . 42nd Street . time square foot . enter street take elevator 20 floor modern minimalistic lobby . friendly , pushy staff . great furnish unique local art room . great view city . 
 Mar 15 2005 	 Excellent . especially w/ Priceline rate 	 people complain place need stay Plaza something . it be clean . room large . 's central theatre district . we relatively low floor still enjoy view new Westin ( funky light ) river . I pay $ 110 Priceline . guess pay $ 250 something , would underwhelme . I would definitely come , even somewhat high price . 
 Mar 15 2005 	 Perfect need 	 bring fifteen year old daughter two friend New York overnight stay . hotel work well term location amenity . parking lot right across street hotel 41st Street , self parking easy option addition valet . staff courteous efficient doorman front desk security . check - in fast . despite Priceline customer accomodate request adjoining room , give we access one room early ( 11 am ) could store thing , freshen , get day . New York standard room large . facility clean well maintain -- nice bathroom marble sink ceramic tile floor tub . high floor , view obnoxious , zero street noise . fantastic subway access , course proximity show . would definitely stay . 
 Mar 15 2005 	 great view ! 	 stay Hilton Times Square mother New York City portion vacation . ( spend day NYC go California finish remainder trip . ) stay 3/4 3/6.check - in start bit rough . make reservation request early check call day verify tell would problem . show hotel rudely inform could check early . nicely explain promise early check business meeting get ready female desk clerk refuse help we . end take lady room lobby help patient bellman ( Caesar ) find clothe makeup need get ready meeting . without help bellman Caesar not know would do ! anyway , finally able check room 37th floor . amazing view city look downtown . view make we forget trouble check in . the room nice , slightly large room normally Sofitel ( hotel usually stay . ) bed pretty comfortable hotel quiet . exception desk clerk encounter staff friendly . there need vanity space bathroom mirror room bathroom . need one & quot ; main room & quot ; .All nice stay hotel nice . ' m sure will stay . 
 Mar 11 2005 	 Great Hotel 	 return weekend away march 4 - 7th . room 37th floor great view Empire State building river . room good size bed comfortable . location excellent minute heart Time Square . would recommend hotel anyone would hesitate stay . 
 Mar 2 2005 	 great stay 	 stay girlfriend 5 night 23rd 28th Feb 05 fantastic time . decide Hotel read review website & amp ; not disappointed . staff friendly & amp ; room spacious bed one comfortable ' ve ever sleep ! can not comment ' m afraid breakfast dinner eat every day / night . hotel great location mean could walk lot sight shop . downside ( albeit small ) room low floor not great view window . say not room long enough stay really mind go helicopter ride city kind make ! 
 Mar 2 2005 	 Awesome capital ' ' 	 recently stay Hilton Times Square Feb 24th-26th unbelievably wonderful experience . actually delay flight not get 4:00 , staff extremely accomodating , patiently await arrival , extremely spacious room ( ny standard ) warm cozy arrive . service top - notch bed extremely comfortable . location view 42 Streeet / Times Square incomparable . stay 37th floor enough peace quiet room even though hotel 's location happen district . Hilton Times Square definitely worthy 4 star rating strongly recommend hotel anyone look enjoy NYC experience convenience New York doorstep . absolute steal score hotel Priceline fortunate . anyone report complaint hotel truly odd experience deviation norm . would stay hotel , , . awesome ! ! ! 
 Mar 1 2005 	 Nice Hotel Complaints 	 quite pleased , especially since obtain discount rate Priceline . nice sized room , well - appoint . bathrobe room . decent work - out facility . professional staff . fantastic location leisure traveler ( fine business traveler ) . would stay pay publish rate . 
 Feb 28 2005 	 can not fault 	 stay Hilton Times Square Feb 19th 22nd think great . staff excellent , room . 41st floor great view 42nd Street beyond . although be close Times Square , not feel unsafe time due security presence . must mention one doorman prepare lend we money pocket transport airport fall . 's sort staff employ would definitely go back . 
 Feb 23 2005 	 Location 	 take 13 year old daughter New York first time Dec 6 - 10 , 04 . exellent stay , room top floor overlook Times Square 42nd street . room large think consider everybody tell NY room small . Maids come every day , extra comfy bed , fluffy bath robe towel nicely decorate room . around corner hustle bustle . much see . empire statue liberty must , prebooked ticket net , much easy , go early avoid crowd . rockette christmas show good WTC . overall , unbelievable , keep pinch . deffinately go back Hilton Times Square , really fussy , go wrong ! 
 Feb 19 2005 	 Great Location 	 stay six night impressed . good view room Empire State leave river right . large , clean room big twin bed . everything require room short break : Neutrogena product , decent hair dryer , iron ironing board , cd player etc . breakfast pricey we care many place eat outside hotel . good thing location though . 
 Feb 17 2005 	 Nice hotel manic location 	 stay June 04 use part Hilton reward point pay rest . impression hotel overall good - polite staff , large clean room , nice touch like leave little chocolate pillow evening ! hotel bar small good selection wine . can not comment restaurant not eat . qualm another review mention , build work site opposite hotel , mean despite high , awoken sound drilling - ideal . also , personally , find location despite central easy reach place , manic ! soon leave hotel , fight crowd people get anywhere ! next time would definitely choose different location . 
 Feb 14 2005 	 one Best 	 wow Hilton Times Square , love fact lobby 24th floor . room great excellent view ( except fact must demolish something right next ) . tell though , night , view city breath take . wish would high 31st floor though ... oh well , can not everything . staff corteous helpful , security tight ... not mind inconvinience . 
 Feb 11 2005 	 Nice noisy . 	 stay room 37th floor . view nice - look across Empire State Building one side river . room spacious - lot big hotel ' ve stay NY . also nice bright , huge window . problem find level noise - huge gap connect door room , mean could hear people next door . also , noise corridor quite bad . bad thing though noise flush toilet - constantly , could hear toilet flush nearby room - fifth day become annoying . another source noise new Plaza Hotel building window , mean digger work 7 morning . like lie - in , would ask room side hotel . Pinnacle Bar , next Reception , provide nice environment light meal , although take quite long time get serve - one day take hour bring we portion fry . quality food though good . security hotel make feel safe - need show hotel key go elevator Reception . overall , nice hotel level noise think would prevent we return . 
 Jan 26 2005 	 Disappointing 	 entrance lobby hotel dull / tired need update . low water pressure shower . nice size room . the lobby 's bar ( bar hotel ) inviting ; bartender bit rough . close Times Square - ? NYC much close Times Square . compare general level Hilton chain - particular hotel disappointment . felt like 2 - 3 star hotel . got hotel via PriceLine ( $ 100 per night ) least cost reasonable . last note - view Hilton New York ( 1335 Avenue Americas , NYC ) much well . 
 Jan 13 2005 	 Fantastic 	 wife parent stay Hilton 7 night new year fantastic time . hotel really nice . last time come NYC stay Milford Plaza 100 time well . room large bed view fantastic . if look bit Luxury stay ! ! ! ! can not wait go back .. 
 Jan 12 2005 	 great central location 	 partner ( early 20 's ) spend 6 night Hilton Times Square realy enjoy stay . we book room opodo.com choose bounceback vacation package get great rate consider check 31/12 . package include breakfast two morning food downside hotel . the breakfast buffet style great choice food everyday . eat restaurant breakfast comment meal . the location hotel excellent , could ask well . central Times Square subway second away everything want close hand . room 43rd floor overlook 42nd street view superb . the room spacious , lovely large comfortable bed . maid come every day leave room spotless fresh towel bedding . we do not realy use amenity hotel swimming pool bit disapointe state one book . the staff polite friendly helpfull especialy checking - out . deffinately use hotel next visit NYC . 
 Jan 11 2005 	 really good overall 	 two room TS Hilton period 21st 27th December 04 . happy everything . even smoke room not & quot ; smell & quot ; bad . ( one smoking room one non - smoking room ) . room high - up floor good view also ( towards Hudson River ) . front desk clerk check - in helpful welcoming fix request smoking room without problem . ( might call Alexander - ' m sure - thought remember name check - in nice we ! ) .because leave generous tip room ( non - smoking one ) every morning every night , get good room servicing night get bed turn replacement bottled water towel etc . important able shower bathe without regard towel would hold - unfortunately probably without regard & quot ; environment & quot ; . well service hotel Australia ( two towel per room ! ) . however , room ( smoking ) not leave tip night - time turn - down not get special treatment - although room pretty daunting clothe thing pile ! security street entrance good thing . not eat hotel generally except one meal - Christmas night dinner - thought might Christmas orient thought might splash least get Christmassy - style meal - not - ordinary menu . there bit noise come next door neighbour - mainly think inter - connecting door - might cause problem really noise neighbour . also , plan go Broadway show like , make plan early - far could see hope get ticket unless book advance . 
 Jan 9 2005 	 room view 	 first visit NYC . read reviews Hilton , Times Square decide stay 5 night 31.12.04 . request room view . never forget open door us glisten city light . 37th floor , Empire State build one side Hudson river . room spacious , tastefully decorate comfortable bed sleep . fault security inside outside hotel . staff extremely conscientious ensure stay hotel allow . would definitely recommend stay New York certainly live name . 
 Jan 8 2005 	 Nice Place 	 stay Hilton Times Square New Year 's Eve . great location big room New York standard . like fact show proof stay time try walk hotel . complaint hotel not gift shop place inside get OJ muffin magazine . 
 Jan 6 2005 	 Nice Hotel NY 	 not anything spectacular location unbeatable . hotel locate block New Amsterdam Theatre make perfect place stay be see Lion King . hotel average would stay . not recieve special treatment read board . stay 2 night right Christmas 04 . look deal . pay 165 night go website directly pay advance trip . consider season , please hotel 165 night . 
 Jan 5 2005 	 Fabulous Stay great view 	 stay 5 night 25 - 30 December - hotel could fault . ask room high floor - 42nd floor view 42nd Street . room extremely spacious decorate high standard fluffy bathrobe toiletry provide along coffee make facility . problem lift - speedy efficient . staff could fault - concierge reception staff pleasant helpful doorman . keen restaurant bar area open plan good people watch - definitely return ! 
 Dec 23 2004 	 great hotel ... part . 	 stay Dec.17 - 20 . bit rough start , end nice place stay . book two double bed room 43rd floor end King size bed 29th fight young man front desk phone get room change . say nothing available fault fuming ... soon leave room hall monitor immediately ask wrong call front desk get room change second time get front desk new key wait even well room ... Rachel whoever hall monitor woman perfect , young man phone horrible need lesson deal customer spend thousand dollar hotel . bad thing room could hear chorus toilet flush floor . slide key card also stop work door one night need exchange new pair . the good thing security staff friendly ( except one ! ) , front lobby beautiful room great size ny room . place clean one reason choose hotel . view amazing well ... could not ask , view look south Empire State Building , Madison Square Gardens Hudson River . location great , half block Times Square nice kind escape right beside subway entrance well . might try somewhere else return , always great option . 
 Dec 23 2004 	 great location service 	 stay kid December 19 - 20 . room big New York standard . southern view great look Empire State Building . lobby small , comfortable . big difference big name hotel , offer much presence . great breakfast buffet restaurant smoke salmon bagel . concierge give we pass Mars 2112 , fantastic be 12 , worthless adult . stay quite NYC hotel absolutely love one ! ! 
 Dec 23 2004 	 return stay ( Dec. 18 21 ) 	 get back stay Hilton Times Square . love New York hotel fab location . step McDonald 's , Champs , Applebee 's ( awful ) , Subway . like Hilton Times Square resevation three month get check , 12 p.m. , even though request early check get room 5 o'clock two hour past check time . leave family roam around New York til . store luggage we though make helpful . hotel staff incrediably helpful room nice . Hilton think & quot ; Times Square & quot ; around corner ( literally ) . overall would probably stay . 
 Dec 11 2004 	 treat we like royalty 	 kid ( 17 13 ) stay location Dec. 4 & gt ; 6 . fantastic . clean , great location , great staff etc etc . make we feel special welcome . we room book HOJO Park Plaza $ 50 less night , however hotel rate poorly site worry . $ 70 night go 2 * almost 5 * . great breakfast include too . so close attraction mid town . would stay flash . expensive yes , worth ! 
 Nov 29 2004 	 fine time room improvement 	 return fabulous wknd NYC . Hilton Times Square nice ........ spectacular . staff helpful . room clean comfortable . view 27th nothing brag ask high floor tell nothing available . disappoint entry . like location like & quot ; hall & quot ; atmosphere enter street . always people front door ..... allow easy access . inside staff usually visible secure . lobby small really invite . room nice ..... big equipped comfort necessary pleasant stay . ' m sure return ...... 
 Nov 29 2004 	 wonderful New York 	 wonderful hotel , nice view , close Times Square ... almost everything perfect . mjust bit embarrasement enter hall , take elevator lobbyalway show everything guard .. nice view 36th floor room overlook skyscraper Times Square 
 Nov 28 2004 	 Hotel Great - Room Service Terrible 	 return Thanksgiving stay Hilton . room wonderful . use Hilton Points part stay could well . great service , great view -- terrific location - good experience . part stay book room include vip ticket moma . problem one could find ticket . 30 minute run around call Hotel Manager 's office Assistant locate ticket immediately deliver room . excellent service 5 star assistant ! ! ! would give hotel 5 least 4 base overall experience - however , order american Breakfast Room Service one morning . unbelieveably bad . mean awful . can not believe hotel could serve something bad . breakfast potato taste like cabbage -- mean bad . so stay hotel , get vip moma ticket work fabulous -- breakfast around corner diner ! ! 
 Nov 27 2004 	 Fabulous hotel ... complaint ! 	 stay November 12 - 14 could well . early arrival ( 9:30 ) helpful . give cell let we know room ready store luggage we able get room . 11 call indeed room ready we . get back hotel , know us name ( representative wonderful ) give we key go . room huge especially NYC standard . Immaculate , complaint . daughter 's 17th birthday mention desk clerk upon early arrival hope get good room . leave go sightseeing , shopping , etc , return room see birthday cake set . think husband do , card front desk . call beyond ! cake delicious wonderful personal touch already impressive stay . next morning daughter go thank desk clerk thoughtfulness , course call we name ask nice birthday . staff pleasant , room clean , bed extremely comfortable . definitely choose hotel . highly recommend . wait time anything . whether business pleasure , ideal . view great . 
 Nov 26 2004 	 ' good ' though ' great ' 	 stay Hilton Times Square 16th Nov 2004 19th Nov 2004 . book King Deluxe room almost six month prior visit read review website probably develop overly high expectation . good point : - staff friendly daily room clean service excellent . concierge excellent.- Bed one comfortable stay in.- Location excellent , right heart manhattan.- hotel security good , safe hotel . bad point : - shower poor water pressure high class hotel , bad pressure hotel 3 star . although maybe room , do not know.- do not smoke , partner . take smoking room . opening room door nearly knock flat embed stench room , like walk giant ash tray everytime enter room , get use half hour time . although expect smell smoking room resemble element stale smoke , worst experience . stay smoking room Luxor Las Vegas 100 % well . - even number room look downtown , odd number room look 42nd St , Uptown . try get room high floor , reception 21st floor , room odd numbered room 26th floor . floor room ( 42nd st side hotel ) giant fan air - con system . stay high get far well view also away air - con fan . summary see good review 's write hotel , think combination high expectation previous reviewer get room low floor bad stench smoke put dampener . although take smoking room personal choice need sort ventilation . price pay , $ 1100 three night , do not think worth room have . I would stay sure , price pay would insist room least 35th floor , preferably non - smoking ! ! 
 Nov 24 2004 	 Fab ! 	 Fab hotel . everything great . minute arrive staff great instantly make we feel welcome . room clean modern view room 42nd floor , could see Empire State Building brilliant . originally go stay hotel overlook Central Park I m glad choose hotel instead location beat . feel central everything buzz day night Times Square . also extremely near Port Authority get bus Woodbury Common ( must shopaholic ) definitely come back New York without doubt stay . 
 Nov 16 2004 	 Heart Times Square ...... Brillient 	 Loved Hilton . staff really nice helpful . hotel room really big bed ....... Heaven , walk around Big Apple ! ! ! ! deff stay visit New York ! plus feel really really safe handsome mount police right outside entrance ! ! ! ! ! ! ! 
 Nov 9 2004 	 Loved hotel 	 stay September first trip NYC see Yanks play Sox . location perfect right Times Square . although expensive hotel stay , think good price New York middle Times Square . next time go New York stay Hilton . room nice view great . love ! 
 Nov 9 2004 	 new clean curteous luxurious . 	 hotel beat expectation . room big , bright , luxurious , great view , importantly , extremely new clean . Orbitz hotel not even rate four star place , get bit worried -- be actually nice five star place ' ve stay . not want leave . great deal ! 
 Nov 1 2004 	 Terrific Hotel / Fabulous Location ! 	 return one night stay Hilton Times Square . choose hotel base upon positive review list TripAdvisor . review 100 % accurate . room clean , large breathtaking view . room look 42nd Street , directly Madame Tussaud 's Wax Museum . heart theatre district within walk distance midtown 's tourist attraction . staff kind , courteous extremely helpful . arrive exceptionally early ( approximately 11:00 ) immediately give room . especially like lobby street level . feel safe secure entire time . Hilton Times Square great place stay New York City . reserve without hesitation ! 
 Oct 31 2004 	 reasonbly price great Location First Timers 	 hotel great find last minute . trip NYC book less 3 week fall , not many recommendable option less $ 250 - 300 @ night . ' ve NYC interested Square , would recommend stay somewhere else , first time , can not go wrong place ! negative real negative , rather nit - picky annoyance . first , take elevator 20 floor entrance , reach lobby , take another set elevator room . ( elevator fast 's much wait , get street realize forgot something , get to go back elevator , lobby , another elevator , vice versa . next , anytime come hotel 's guard ask see room key . ' m sure make sure guest use hotel facility , though not appear many non - guest attempt get elevator . I use iron ironing board first night housekeeping never put away , think kinda strange . also , housekeeping come bit early ... 9 - ish . 's fine be them , be till 4 5 night like , be kinda early , remember put dnd sign . like say , not really negative , may helpful know folk . review hit positive , will echo . hotel immaculately clean . staff knowledgable , friendly helpful . especially guard Sarito . umpteen place eat , drink , shop , gawk , etc within step hotel . subway station either corner - ACE west , BDNQ east . possible , ask even numbered room . poor view - odd room view Hudson , New Jersey , Reuters Building Theatre District . even room view Hudson well , also Empire State Building South Manhattan . the thing think price hot buffet breakfast - $ 18 . not voucher , 's reason pay , unless love buffet . many place eat City . 
 Oct 27 2004 	 great stay 	 stay Hilton six night October , primarily result read many positive review tripadvisor . disappoint ; hotel 's location perfect second visit New York show opera book . our twin room large compare previous stay NYC , plenty room move . well furnish great view downtown ; could even see Statue Liberty distance gap building . housekeeping service consistently good , room service good ( overprice always ) , especially chicken noodle soup . the staff informative helpful , fact feel unimpressive feature property buffet breakfast , receive free voucher breakfast two morning stay . depsite breakfast variety time egg invariably cold , small selection item , appeal we . we certainly stay would recommend . well worth extra dollar compare Sofitel , stay last trip . 
 Oct 3 2004 	 minor hitch overall good 	 Mu husband stop one night Hotel way back Scotland wonderful holiday States . room , view , service etc . could ask except reception staff ask want smoke non - smoking room . specifically state order want smoking room . problem give smoking room next morning , breakfast , ask voucher give arrive . instead relax morning would round stay perfectly , husband leave table go back room get documentation show entitle breakfast part package . occasion reception staff 's oversight reduce stay 5 * plus 4 * . correct , would say Hotel , although expensive , worth every dollar . review state food overprice . find well worth money . 
 Sep 27 2004 	 Superb Hotel 	 stay Hilton two night December 2003 , stay Mariott Marquis first three night trip . the Hilton absolutely perfect . 's glamarous Marriott Marquis , locate less minute away Times Square , every bit neat luxurious Mariott . the room large extremely comfortable , view simply magnificent . hotel aura real luxury , price , undoubtedly one good hotel deal . special mention must make bed room . king size bed comfortable trouble re - adjust bed home . ever return New York , Hilton would definately choice luxurious yet readily affordable accomodation . 
 Sep 26 2004 	 Great Location Price 	 come NY 4 - 28 5 - 1 girlfriend college . girfriend book room 30 student go , great experience work management hilton . hard work , reward suite top floor well champagne ice gift basket enter room . pay $ 159 night . room nice clean , staff hotel friendly . location great . be one block away Times Square . ESPN Zone great place watch sporting event 2 block away . would definetly stay . 
 Sep 11 2004 	 Refreshing abundance Quality 	 wife & amp ; recently stay Times Square - Sept 3rd - 7th 2004 . Hilton fantastic hotel tuck neatly away 42nd street . great location NYC night - life , broadway show , central tourist attraction , course wife 's shopping adventure . front office staff service impeccable room tremendous view NYC skyline . often willing recommend somewhere , debate stay ... Hilton Times Square sure bet . 
