3 	 husband stay 3 night . location good . lobby probably 20 sqm . staff polite welcoming . the room : really really small . bathroom : really really small . bed : really really small soft 's 2 prepare cudle night long will sink midle . view . so , try another hotel . amount money shoreham cost will find hotel , also well locate ( well ) bed actually sleep . it take white wall funny lamp modern luxury hotel . would recommend . 
 Mar 15 2004 	 Great Business Hotel - bit small extended stay 	 get back two night Shoreham use Priceline - price , hotel great . check - in easy offer comp champagne water . room small - high - design . exactly show website . good feature hotel business club type lounge 24 hour coffee / expresso / tea comp daily paper plus conference / work area . staff always helpful friendly . would great choice business trip travel alone - bed / linen comfortable . however , be travel two people - room get small fast . solve hang downstair lounge computer work ... want lot space spread - out room ( lot luggage ) not place .... would not hesitate return discount price - unless hotel room hard find - rack rate probably find roomy accommodation important ... business , 24 hour room service , nice bar hotel - wide wifi access make great choice 5th Avenue ... 
 Dec 17 2003 	 never Reserve Room 	 go New York weekend Thanksgiving . make reservation week Shoreham . however , cancel week reservation get great price priceline . receive credit card statement notice Shoreham charge despite fact call twice cancel reservation . call confirm cancelation state cancelation . ' m contest charge credit card company . bad feel hotel begining . ' m sorry even hear hotel . not make reservation ! ! ! ! ! 
 Nov 17 2003 	 happy repeat customer 	 ' ve stay Shoreham eight nine time , 1999 expansion . love place ... visit New York would not without stay Shoreham . 
 Sep 2 2003 	 Love Rooms Service 	 soon walk , bellman insist take bag . hotel speedy check process & amp ; staff delight see we . make feel want Shoreham . room like website beautiful . small bar lobby perfect & amp ; guest wine & amp ; dine . truly recommend hotel , stay 4 weekend row . Shoreham must something good . 
 Jul 24 2003 	 Nightmare 
 Jul 20 2003 	 stink ! ! ! ! ! 
 Jul 1 2003 	 's aging badly ! 
 Jun 6 2003 	 Decent 
 May 22 2003 	 shoreham great deal ! ! 
 May 1 2003 	 Dig Shoreham ! 
 Mar 25 2003 	 Excellent every way 
 Jan 16 2003 	 ok 
 Jan 10 2003 	 Shoreham Hotel New York definitely return ! 
 Dec 31 2002 	 Shoreham Hotel - Scrooge live ! 
 Nov 7 2009 	 Hotel céntrico cómodo 
 Sep 17 2009 	 Situación servicio muy bueno 
 Sep 15 2009 	 hotel perfecto 
 Aug 27 2009 	 Un 10 ! ! ! 
 Aug 27 2009 	 Mejor imposible 
 Aug 27 2009 	 Sofisticação Luxo e Conforto . 
 Aug 21 2009 	 Buen Hotel En Nueva York 
 Aug 15 2009 	 rien à dire super hôtel ! 
 Jul 8 2009 	 Un hotel céntrico encantador 
 Jun 29 2009 	 Estupendo 
 Jun 15 2009 	 Séjour agréable 
 Jun 8 2009 	 Peor que una pension el trato pesimo 
 Jun 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jun 4 2009 	 Hotel en pleno Midtown cama ubicacion excelente 
 May 22 2009 	 Excelente ubicación estupenda relación calidad - precio 
 May 17 2009 	 nos gusto mucho 
 Mar 3 2009 	 un hotel diferente al resto que visite 
 Dec 26 2008 	 Céntrico limpio moderno super recomendable . 
 Dec 3 2008 	 Comodidad absoluta 
 Oct 15 2008 	 Muy buena experiencia en el Shoreham 
 Sep 18 2008 	 Design 
 Aug 21 2008 	 Tan malo que estoy escribiendo mi primer critica 
 Oct 5 2007 	 Excelente situación confortable 
 Jul 29 2007 	 toll hotel 
