Great 	 family & amp ; stay past week . room good size 2 double bed ; 2 side chair ; desk ; walk closet ; kitchenette bathroom ! room clean front desk staff helpful / friendly ! location superb ( 2 block Central Park ) several local eatery within 1 block ! negative street noise throughout night ( window close must thin ) . price though - great find NYC ! ! 
 great family Holiday 	 Excellent hotel . close popular attraction . 
 Room Size vs. Price Location well 	 go NYC always prefer stay Salisbury Hotel people earth hospitable . room quite large NYC price reasonable especially consider location . also love breakfast . always stay December see rockette Christmas decoration . leave tomorrow NYC . 
 Jul 15 2008 	 spacious clean affordable family 5 ! 	 family 5 book month advance suite . impressed size room , cleanliness , professional & amp ; friendly staff . suite size apartment ! ! ! believe find good deal family 5 ! hotel location ideal -- near 5th Ave shop , Rockefeller Ctr & amp ; NBC studio , Central Park ! love hotel , $ 4pp breakfast family 5 fantastic ! definitely recommend hotel , especially family ! 
 Jul 14 2008 	 Wonderful Hotel 	 return 6 night stay Salisbury . hotel nice , room size quite large ny standard . king suite 6th floor . room flat screen tv sofa live comfortable 2 teen boy . continental breakfast available $ 4 variety pastry , bagel , cereal , juice milk coffee- bargain breakfast NY.In addition great location- subway station end block , 's drugstore , small grocery block . overall great hotel family 2 teen great price . 
 Jul 8 2008 	 Perfect Hotel 	 stay hotel last year impress quality service hotel . the room spacious well equip . the desk staff helpful , especially Dieter ( assume name ) always give great advice easy follow direction . I impress close hotel close subway . continental breakfast fantastic , lot choose . 
 Jun 30 2008 	 Excellent hotel 	 stay Salisbury week wife 3 kid May . room huge great fridge room . load space everyone chill . breakfast great value money . hotel central , 15 min walk Times Square around corner Central Park . would strongly recommend hotel . 
 Jun 29 2008 	 everything say -- Great Value Location Location Location ! ! 	 return June 22nd - June 28th 2008 stay Salisbury Hotel . base hotel selection review Trip Advisor say disappointed . Salisbury rank 33rd 344 hotel New York City , put top 10 % term popularity . pay 1600 dollar five night stay two room suite . price include taxis , considerable . make reservation six month advance hotel sell three month advance . Salisbury 57th Street ( 123 w. 57th street ) , 6th 7th Avenues . subway stop avenue , four different subway line . able start trip anywhere walk corner , never make transfer another subway line bus . since Broadway next avenue 7th Avenue , easily accessible . 7th Avenue Broadway kind merge around 45th street , part , excitement start either street soon set foot 57th . theater district , 5th avenue shopping , Rockefeller Center Central Park easily walkable . take subway 42nd street walk back 7th Broadway Salisbury . stay room 708 , face 57th street . 57th busy street sidewalk nice watch action resting room . automobile horn truck noise make majority noise . wonder truck loud finally figure sound echo building stop light around , truck always seem low gear pass . figure would true matter stay New York City . chalk street noise part New York experience problem . room ( 708 ) good airconditioner far enough elevator lift . hallway 7th floor always warm -- 85 degree . not know , since temperature outside never hit 85 . bedroom , room two full - size bed firm matresse . room two chair large chest drawer . also three closet -- ' m kid . one closet enough shelve we unpack suitcase stow . really great . closet hanger . bathroom small functional . water pressure temperature never problem . large supply towel face - cloth available . sit room queen - size fold - out couch / bed , six chair . want cot , least three place would fit easily way . be big room . also small dining room table , another chest drawer , two end table coffee table . also desk sit . furniture still plenty room move around . microwave / fridge / counter sink area , sink really bar sink , towel soap near . one LCD wall - mount television room work fine . put wall free space chest drawer , plenty space gear . closet sitting room key safe . 4 dollar breakfast available third floor morning start 7:00 a.m . worthwhile . meat egg available hard - boil , ton fresh bagel , muffin , doughnut . coffee juice available . eat five day never wait open table . breakfast seem pretty popular . other mention elevator slow . basically true , not slow ' ve ever . would get bit slow tour group arrive afternoon depart morning mountain luggage . 's true hotel . staff nice efficient not problem . able check 11:00 a.m . hear guest mention room 15th 16th floor warm another complain slowness wireless internet access , neither problem apply we . pharmacy / convenience store ( Duane Reade ) within 200 foot hotel Angelo 's coal - fire pizza restaurant two door not mood travel well - know New York eatery . Angelo 's make good pizza , try famous New York pizzeria . good one close hotel . closing , find Salisbury hotel everything traveler say term value location . location fantastic convenient anything want . hotel , get room check early , problem still room move . book suite , think will find 708 suit need . 
 Jun 20 2008 	 Perfect family 	 one - night stay trip , would love hotel centerpiece long trip . room huge NYC standard . room closet space home ! separate living room area pullout sofa perfect kid - parent get privacy . kitchenette area great also . get Chinese delievere toour room never leave - cotnact restaurant directly , front desk pay , add room bill deliver . perfect . breaksfast downstairs , Starbucks right across street take advantage . can not beat location Midtown . 
 Jun 19 2008 	 Best Bargain NYC 	 hotel great location , walk distance Central Park Times Square , theater district . 's little shabby need update 's clean room spacious . room refrigerator . absolutely quiet relaxing atmospere . the staff cordial professional . get us cab need help arrange airport transportation . think rate reasonable Manhatten location . also offer nice continental breakfast $ 4 . will definitely stay ! 
 Jun 18 2008 	 wonderful NYC Experience 	 Location superior ... close subway , walk Central Park , Rockefeller Center , Times Square , Broadway district , etc . room suite large , clean , comfortable ... problem outlet not work . Continental Breakfast $ 4 start day great way . every staff member friendly accomodating . definitely return . 
 Jun 17 2008 	 Outstanding Hotel Value 	 Salisbury great find NYC . clean comfortable room . nice firm bed surprisingly quiet . worried front room noise never bother I . one bedroom room suite nice . bathroom small closet , ( four ) huge . could make bedroom couple . would recommend Salisbury anyone travel NYC . many subway location nearby easy walk theater . 
 Jun 13 2008 	 real find . 	 book week hotel trepidation , surely review site could not true ? fantastic location , amazing price , large ( huge NYC standard ! ) bedroom equally large , separate living room , brand new fixture fitting include two flat screen t.vs . breakfast available $ 4 charge per adult , hi - chair provide son , crib . arrive 9 am night flight experience bad New York traffic airport . understandably , suite not ready , 12 . Central Park ( playground ! ) , pharmacy , grocery store subway station block away , walk distance Time Square plenty ( child - friendly ! ) restaurant vicinity . would recommend hotel wholeheartedly , family , anyone travel New York want high quality , good value hotel . refreshing change big chain , great hotel ... can not wait go back ! 
 Jun 10 2008 	 Fantastic 	 use hotel location honeymoon . could not ask nice hotel location try . 's situate 2 block Central Park 57th Street literally 5 - 10 minute walk away hustle bustle Time Square . also subway station end block easy access Lower Manhattan . easy cheap way get around - $ 7.50 unlimited travel day ! hotel serve pleasant helpful staff attend every need ask , room immaculate - every day breakfast provide $ 4 ample New York explorer . thing must New York : LibertyRockefeller BuildingEmpire State Toys r Us - Time Square - jaw dropping ! ! ! BroadwayMacy 's shopping not forget ask discount card get 11 % ! Ground Zero Financial districtStaten Island Ferry - free great view Liberty Manhattan . Central Park Sunday - New Yorkers . overall fantastic hotel fantastic city . enjoy ! 
 Jun 4 2008 	 two Minutes everything CLEAN 	 would definately stay reccomend place . great location tourist attractions- 2 min be walk Times Square Theatre District , less 5 minute walk Central Park , 5th Ave .... want place basically sleep clean comfortable ... wonderful place . even upgrade we king suit whatever reason .... nice ! Angelo 's Pizza next door good well ! 
 Jun 3 2008 	 great family 	 family ( mom , dad & amp ; 2 kid ) stay week end May . know book hotel not & quot ; high - end & quot ; hotel , location good figure worth try . ' m glad . stay 2 - room suite ( 2 double bed & amp ; pull - out Queen sofa ) back side hotel . room large small kitchen area entrance complete ( small sink , microwave & amp ; small refrigerator ) . old hotel ungrade recently , clean , staff kind efficient terrific place stay we . breakfast 3rd floor ( $ 4.00 / person hotel guest ) include bagel , bread ( toaster available ) , doughnut , muffin , cold cereal ( Cornflakes & amp ; Raisin Bran ) , cold hard boil egg , juice , coffee . seat ( busy may wait line table open ) get serve , easy go back item . thing serve paper / plastic annoy people fine we . the lobby small , need impressive lobby , one function well one . find desk staff , bellmen other helpful friendly . there wireless internet available reasonable fee room ( find signal strong & amp ; problem ) . also 2 computer lobby internet access free - hook printer lobby often busy place . I already recommend hotel friend would absolutely stay ! ! 
 Jun 3 2008 	 Great Location 	 stay May 27th - June 2nd . perfect location , clean , tidy , great maid service , breakfast $ 4 head enough . staff informative helpful require . good meal week pizza Angelos next door . beauty . room 10th floor , double double . bathroom fine , shower work perfectly week . air con room great , noisy show unit run quietly . sleep window open one evening , do not bother like next M25 . take aircon unit anytime . as Manhattan feel safe central Bristol . do not bad language witness violence week . would certainly return Manhattan definately hotel . 
 Jun 3 2008 	 great location serve purpose good family 	 choose hotel due location , 2 block south central park . ' suite ' - ie bedroom two big double bed , sit room sofa bed , plasma tv kitchenette . arrangement allow baby sleep peace still awake watch tv etc room . kitchenette fridge , sink microwave . crockery - buy plastic plate etc nearby supermarket . negative pointsoverall hotel bit date matter . word 's glitzy New York experience , functional , clean place stay . bathroom small date . air - conditioning unit noisy could problem need summer . plus point room spacious , good family plenty space toddler run around . Room keep clean , numerous closet clothe . lovely big , comfortable bed . hotel offer toast / bagel type breakfast four dollar restaurant facility . local restaurant room service . supermarket 5 min away buy milk , cereal etc . overall pretty good value expensive city lot attraction walk distance . would probably stay plus point . 
 Jun 3 2008 	 great location price 	 hotel great gem , perfect location cheap heart city , party 12 agree hotel perfect need .All staff helpful although room little date clean price care ! ! .also great breakfast buffet . 
 Jun 2 2008 	 great stay New York 	 stay Salisbury Hotel end May 2008 4 night . book Virgin entire trip fabulous ! book suite family 4 , room good size back hotel quiet , however view . two double bed sofa bed plenty room . bathroom small size powerful shower . spend lot time room use kitchen area . lift bit slow nothing worry . breakfast consist pastry , bagel , donut , toast , cereal fruit , could visit buffet many time want good value 4 $ .hotel staff helpful , assist pre - booked excursion arrange car back airport we . location excellent , round block Central Park subway station far walk Times Square . this first visit New York hotel meet need . return ( & amp ; hopefully ! ) would hesitation stay Salisbury . 
 May 29 2008 	 Location great 	 Location location location . breakfast average . great staff . 
 May 28 2008 	 Superb ! 	 decision try Salisbury base primarily comparatively reasonable price ideal location ( across Carnegie Hall russian Tea Room , 2 block Central Park , short block Times Square / theatre ) . upon check , noticed reservation print - out specify two bed , instead king bed would reserve . point front desk agent present Frequent Stay card ( sign book reservation ) , immediately check available upgrade give we lovely , quiet , king suite two flat screen tv 's three closet . frankly , large NY apartment ! read review , prepare lengthy elevator wait time , couple exception , usually come almost immediately . be relatively small , be probably helpful high floor catch be fill way . top perfect stay , inform check - out have already stay enough night earn enough point get one night free . hotel mean grand , accommodation lovely , location ideal , stay could well . 
 May 27 2008 	 another excellent experience 	 another excellent experience Salisbury - upgrade Suite ( perhaps join Club ) . anyway , good value Hotel.com $ 251++ . $ 4 breakfast , mostly carb , work fine . Desk Bell Staff helpful pleasant . great location walk place Times Square Central Park high - end shopping 5th Ave . subway also close . downside crosstown traffic hurry ( sometimes Carnegie Hall traffic across street blocks street bus ) 
 may 27 2008 	 Soooo never go back ! 	 let us see ... start . hotel pretty non - descript , wear date . lobby area impressive standard front desk simply ridiculous . small two people behind . two rude obnoxious people behind actually . service rubbish ! think nice person hotel one maid be encounter ! lift also old wear two building . room . er , well , big , two double bed , small kitchenette ( even worth ) bathroom nice . shower unreliable good , go scald hot freeze cold shower . plus hotel breakfast come room . buffet service plentiful tasty , although hot food offer toast . however , be save grace 's location . West 57th & amp ; Fifth , close Fifth Avenue , literally road Tiffany 's , scant block Central Park . get around easy enough , wave hand taxi come , really cheap get anywhere quickly ( hopefully one piece ! ) , stay Sailsbury . expect hell alot hotel would definately subject anyone else ! 
 may 24 2008 	 ideal location 	 last visit New York 2005 stay Pennsylvania opposite Penn Station Madison Square Gardens . time think would stay little close Central Park West 57th 7th , excellent choice . 1920 's hotel exude luxury clean staff friendly . room 16th floor rear building much quieter front right 57th . view ventilator shafts back building 58th , care busy day city ! bed 6 ' square comfortable . bathroom big huge walk shower . water pressure not good 7th floor , tell , not problem 16th . 10,000 wooden water tank locate roof building manhatten serve high floor . Maid service good regular supply Gilchrist Soames bathroom accessory . maid use forget leave teabag tis not problem Housekeepig wouldattend require bring anything may require . yes , disposable cup room tea coffee disposable cutlery crockery provide $ 4 continental breakfast really matter ? want china check hotel 3 * pay lot facility . would bonus bar restaurant within hotel step outside choice literally 1000 's bar restaurant . sum , want luxury , check somewhere else want clean comfortable affordable price , one . would stay ever visit . 
 May 22 2008 	 wonderful Hotel 	 wonderful experience visit NYC . hotel close many point interest . staff friendly helpful . room clean spacious huge closet accomodate dress hang clothe . loved extra blanket pillow closet . plenty fluffy towel fresh linen . iron board iron real plus . free use safe every room - great med extra money . would stay ... absolutely ! ! ! ! . thank staff ! 
 May 20 2008 	 Fantastic Trip ! 	 stay Salisbury 12 19 May 2008 . book Thomas Cook choose Salisbury due excellent location . read review site regard noise , shower lift bit dubious . check hotel , ask room back provide problem . room spacious bed great size need day sight seeing . time wait lift usually around breakfast time certainly excessive wait . regard shower , problem temperature lovely size bathroom . breakfast great value $ 4 , cereal , donut , bagel , toast , fruit salad much tea , coffee , fruit juice . serve paper plate problem affect taste food drink . fact , quite nice waiter keep come collect item table could eat leisure go whenever please . location hotel great , Times Square block road . would recommend go bus tour . go Citysights Tour ( people bright yellow jacket ! ) find enjoyable , interesting convenient . use bus two day board Time Sq , leave bus Empire State , board visit Ground Zero board come home . never wait 3 minute bus . would recommend Uptown Downtown Tour . would warn people though walk Times Square , representative tour company try stop sell tour . learn quickly say ' we already do ' ( book tour ) leave alone . work commission try hard stop . go Bloomingdales , would recommend eat 42 carrot 7th floor . food absolutely delicious frozen yogurt legendry ! ! Red Eye Dinner , way Times Square lovely also perfect evening meal . Al , enjoyable holiday would certainly recommend hotel everyone . 
 May 20 2008 	 China ? 	 think Salisbury good value money . book Virgin choose Salisbury read trip advisor comment . most accurate , plus minus comment . on plus side thought room spacious plenty cupboard space clothe etc . nice kitchenette fridge , micro coffee machine . plenty hot water time . think shower bath easy good use . clean towel every day . the staff helpful without interfere . ie need anything . ample breakfast ( comment ) extremely good location everything . minus . bit noisy , 57th avenue side . 5 night problem , shut curtain reduce sound . make bad fault hotel , road surface outside many hole make noise bad . no kettle tea taste like coffee put tea bag coffee machine , take small kettle visit.and two cardboard cup rinse want another drink later . come back breakfast . although plenty one care much eat , big minus fact everything throw away . would like cup tea china cup food china plate instead everything cardboard plastic , leave we throe bin one burger place .. tea paper cup first thing morning turn . would rather pay bit decent crockery . notice one else find problemWe would stay , despite one small problem .. 
 May 19 2008 	 Great Location 	 New York always tough place find reasonably price hotel good neighborhood decent amenity . Salisbury work group . book two room Expedia . check around 6 pm , not two room floor . , offer we two bedroom suite price . wonderful great surprise . location really good safe . breakfast $ 4 , consist bagel , donut , hard boil egg cereal - not expect anything else . staff helpful - provide we direction , umbrella , store luggage call we car take we airport . , good stay . 
 May 14 2008 	 great location price 	 everything read review accurate . hotel old , room somewhat date lift slow . none problem concern we . ask & quot ; quiet room & quot ; check give room back hotel . noise level minimal . bed hard , cause we problem exhausted end day sleep great . room large room stay NYC clean well take care . small kitchen area ( double place get ready morning ) , walk closet safe small bathroom . time wait elevator come breakfast room ( decent fantastic ) couple minute . location fantastic ! short walk Central Park , 5th Avenue , Times Square subway station corner . plan lot walk , hotel conveniently locate close many attraction . one tip Statue Liberty buy ticket online able skip 3/4 long security line . last year wait hour get ferry , year online ticket take less 15 minute . subway inexpensive easy use . overall , great trip back Salisbury Hotel . 
 Apr 30 2008 	 great stay 	 come New York quick flight & quot ; pond & quot ; greet wonderful sunny day great hotel . read review new expect pleasantly surprised size ot room ( ) , although bit stick past look furniture huge flat screen lounge , yes extra lounge , bedroom bring up - to - date . situated west 57th 's easy get sight subway bus , e.g . use metro card 25 $ 7days , Central Park couple minute away . hotel supply breakfast buffet ( 4 $ ) , spectacular 's plenty . fly book BA 's complimentary , worth check . also kitchenette microwave , fridge amd coffee maschine - kettle . some tip . take time try understand subway system 's worth . 's also clean safe , even travel night . book shuttle bus online leave cost around 30 $ pp return drop pick hotel . hotel provide thing need . post office far get stamp desk . plan go Ellis island/ Statue Liberty get Battery Park early ( ticket office open 8.30 ) even ticket 's minimum 2 hour wait good day . combine ticket many main attraction save dollar . want check email / go line free go Apple centre Grand Army Plaza/5th Avenue look computer google search box . hope trip good . 
 Apr 29 2008 	 do not belive hype 	 return week Salisbury , honestly say do not know fuss . take time research hotel NY narrow salisbury Hilton , around corner . eventually go salisbury purely recommendation website - salisbury bad review hilton couple , plump salisbury , even though exactly price location.well could not disapointe minute check regret decison wish have go Hilton . hotel old , drab frankly unwelcome . think ' the shine ' you ll tee - always expect lift start gush blood danny come cycling corridor . decor old need redecoration - diarroea colour bathroom spell relax hotel break we ... positive : room big centre New Yorknice kitchenette areroom clean well maintain ( apart old q - tip sit corner room week ) good locationnegative : old decorunwelcome front desk staffshower scold happen show time someone another room flush toilet free internet accessbad televisionTERRIBLE bed - warn , bed ROCK hard . husband back problem agony sleep rock hard bed week . massage end stay pressure point cause . bed need hard beyond us.rooms hot noisy hav room face front . - also due old style air conditioning . I appreciate get good bargain hotel , honestly fathom people rave hotel much - think could hilton price ... go round check hilton could cry nice . salisbury do not compare - seat area , bar , restuarant .. really could well . kind ruin stay.we never make hotel choice base website review . 
 Apr 27 2008 	 love great hotel 	 stay 6 night 17 floor love .like review recommend hotel high great location central park times sq .subway 3 min away .breakfast great value $ 4 nice room .we breakfast deli door one morning .but go back hotel rest week be not nice .would love come back new york stay salisbury . 
 Apr 27 2008 	 great family hotel 	 great hotel travel family . agree previous compliments.were upgrade suite lousy sofa bed . 
 Apr 26 2008 	 Loved ! 	 Salisbury initially second choice ' m glad could not get first ! arrival reception pretty inoccuous ; hotel date room extremely spacious & amp ; comfortable . surprised kitchen area microwave fridge , bonus travel 2 son , could stock snack drink supermarket along street spend time room , must admit not often . back hotel room quiet although air - con would cover noise ! continental breakfast available $ 4 ; food plentiful would keep go age . location fantastic ; block Central Park , couple block 5th Avenue ( great apple shop surf internet free ! ) subway station , hardly use Salisbury conveniently place walk everywhere . good restaurant close . make sure be hungry order large pizza Angelo 's next door hotel huge ! would highly recommend Salisbury anyone . negative point think reception staff indifferent plumbing bit noisy turn tap slowly be problem 's go ruin holiday ! 
 Apr 17 2008 	 great watch shower 	 nice large room . appreciated refrigerator microwave . nice flat screen television . issue shower alternate freeze hot water . hotel management acknowledge ongoing problem due age hotel . service , location price great . 
 Apr 15 2008 	 great location good value 	 return Salisbury 5 night stay family ( inc.two child 11 13 ) . great location , minute walk Central Park , subway , bus stop . 6th 7th Ave . suite 12th floor face 57th - good people watch . noise really problem , get rather warm though . Air con efficient noisy . Suite clean , look like new furniture two new plasma tvs- spoil choice tv channel . two king size bed plus huge sofa bed . 4 walk closet , fridge , microwave , coffee maker , plenty towel replenish daily . book Virgin Holidays not know give well room . room decorate rather old style hey , New York . lift really problem other state , minute wait most . we find doorman housekeeping staff helpful polite reception desk staff , quite good . general manner need bit work however book us car return trip airport reasonable arrive plenty time . $ 10 yellow cab would cost comfortable driver pleasant . Breakfast include we good - buffet style- cereal , bagel , muffin , pastry , toast , occasional fruit , fruit juice , tea , coffee . overall good experience . would stay again- definately ! would recommend yes ! 
 Apr 15 2008 	 Fantastic Value 	 Salisbury Hotel beautifully locate 57th St. near Carnegie Hall , russian Tea Room , Central Park , Museum Modern Art , many subway line . request room back avoid noise quiet , large , clean , flat screen tv , walk closet iron / board etc . housekeeping staff friendly , work 20 year . breakfast accord husband live rave visitor , $ 4 not problem . not know Expedia etc offer room $ 207 ( normally $ 299 ) pay place everything break look like welfare hotel past , pleased . hope get rate future . able pop hotel rest , change , grab snack run . stay 3 night . loved . 
 Apr 14 2008 	 Locationb Location Location .... can not beat .. Biggest room around 	 family 2 adult 2 teenager stay 5 night April . we one month stay accross US , part smack middlei want large enough room us privacy , without take second mortgage , safe enviroment cental locationI book hotel base review , inmpresse happy it\First : location : beat location . 2 block central park , 5tgh Avenue shopping , either Rockefellear Plaza Times Square Theatre districtIt 57th St 6th 7th Avenues , subway corner avenue , 1 minute walk either way ! ! ! take we everywhere want go within 5 - 15 minute ! ! ! room : huge , big ever stay NYC ! We d suite , two huge room , kitchen bathroom sit area . lot big expect two queen bedroom pull queen sofa living roomprice : NYC probably consider moderate hotel , price excellent . true value moneyyes , modern date , pleasantly surprised , expect dreary . good clean usable right central NYCI would definatly return hear recommend family friendsWe excellent service concieerge bellhop sure commentsWe also book car airport hotel , problemsIf stay , go Angelos next door , great italian , eat 3 night ! starbuck right accross road coffee fix ! 
 Apr 11 2008 	 great little hotel great location ! 	 spend week hotel sister daughter . great hotel , reasonably price , good location . 57th street 's close Central Park , Time Square , Theatre district lot shopping 5th avenue ! able walk pretty much everywhere . great continental breakfast $ 4 person per day . fuel away go day . room large comfortable kitchenette store extra NY Cheesecake can not quite finish Carnegie deli ! elevator bite slow crowd , heh , be vacation , relax enjoy people culture around ! highly recommend hotel stay future . 
 Apr 10 2008 	 Hotel Room big average NYC Apt 	 be expect anything luxurious Salisbury perfect . recently stay Salisbury friend winter break . room clean , amentie promise Hotels.com . room upgrade upon arrival suite . living area separate actual bedroom offer space know . multiple closet dresser storage , tv , dining area , large bathroom . clean traditional decor . will not find fluff chain hotel Salisbury definately worth stay . 
 Apr 9 2008 	 great family value 	 return first visit NYC . Stayed Salisbury superb location , short walk Central Park , 15 minute Times Square short taxi venue . although old hotel still need hotel family look . large room , large clean bed , warm / cool require , excellent value breakfast buffet 4 dollar head eat , great kid . definately visit recommend friend . do not need ' boutique ' hotel day evening sight . need clean , warm safe hotel it . if picky , could friut menu breakfast , do not eat partrie / donut ' bell boy ' like tip time.see do not disappoint ..................... 
 Apr 7 2008 	 average accommodation 	 incredible review TA hotel main reason decide go another hotel . say time TA review disappoint . return hotel . it old need attention . cheery , invite appearance . one suite furnishing atrocious . wood furniture fall apart seam chair sofa rip torn stuffing come . will not even mention horribly mismatch furniture - give we headache look . Mini - blind break bent . room remind we early - attic furnishing college . disrepair lend feeling & quot ; dirty & quot ; room , although fairly clean . we 1 bedroom suite 2 double . bed like concrete ( love , hubby ) brand new . tv awful . old tube style receive 8 station , poor reception . possible actually watch anything tv . could make bit news programming 's it . the bathroom look though floor recently renovate . water temperature control touchy anyone around room use water capacity real treat ! mention another review great fluctuation temp truly scream - worthy . electric appliance user disappoint accessible outlet use . unplug lamps tv use laptop , blow dryer , pda , game . use outlet also move heavy furniture first . room temperature difficult regulate radiator heat would turn . use window air conditioner entire time try keep heat near unbearable . entire hotel hot , especially hallway . use A / C also good keep street noise bay . room face 57th street not really mind fun watch traffic - word warning like quieter - 57th st main artery fire / rescue vehicle come nearby fire station boy make run day night incredibly loud ! tall building add amplification street noise . regular street noise tolerable , be siren garbage truck unreal . turn A / c fan well . something notice hotel quickly Americans treat differently foreigner . travel friend US feel hotel accommodation - treat differently husband . will not say much except offer & quot ; limo & quot ; transportation morning departure - $ 40 price quote . we ride go $ 20.here part stay really irk we : morning departure pour rain . usual - doorman , bell staff ( see doorman week long stay ) . night ask front desk cab 5:00 , say would happy help . not happen . check us guy desk ask need cab say yes inquire night thank . say , & quot ; step curb put arm like one stop & quot ; . uhhh ... ok .... thank . head curb stand pour rain . get soak . cab go opposite direction . Limo park front . finally limo driver stand inside talk buddy front desk come 10 minute offer we ride $ 20 limo . thank goodness right moment cab pull u - turn street pick we . enjoy big tip . unfortunately really leave hotel bad taste mouth . speak taste - continental breakfast hotel may cheap convenient right next door Green Arbor get amazing hot breakfast include beverage $ 3.99 . hotel option bagel , coffee , juice , milk . impressed , not really expect much anyway . the truly good thing say hotel amazing location . incredibly easy get anything everything right front door . almost everything walkable except WTC site . be bit far quick 5 minute subway ride away . I remain neutral whether would ever stay . price cheap could find need make reservation . go know not get Trump Tower . I would stay would never want . way hotel room look matter we little sake quiet relaxation . tv working must . inquire problem hotel could tell concern would address . foreign friend however every need meet . problem , ask style , different response hotel staff . interesting say least . also - book directly hotel pay advance stay . bill breakfast voucher say Expedia . surprised see happen another reviewer . not happy time ' ve intentionally use Expedia experience get bad accommodation hotel offer , treatment match . think 's happen well . all thing consider , New York City . money can not get customer service hotel amenity rest country . 
 Apr 7 2008 	 excellent value heart NYC ! 	 travel NYC every spring stay several different hotel variety midtown Manhattan location . however , ' ve find Salisbury , always first choice ! hotel gem . location excellent - across Carnegie Hall , two block Central Park 5th Avenue shopping , ten - minute walk either Lincoln Center Times Square . ( not miss Steinway Gallery next door ... sale office , house exceptional antique piece lot history ! ) explore afield easy via subway , station two line ( Q / N / r / W B / D / F / V ) opposite end block . room large , comfortable bed , kitchenette convenient beverage snack , plentiful closet space , modern bathroom . flat panel tv nice touch . three we last trip , lot room . public area spacious , time spend limited , right ? staff courteous efficient , exception one doorman also suggest fabulous pizza place two door , overly friendly . exceptionally price continental breakfast lack variety make convenience quantity . minor drawbacks:1 ) elevator speed . 17th floor repeatedly wait several minute get car lobby . not come surprise , since hotel seem favor international traveler , not mind wait , usually able chat delightful people.2 ) limit electrical outlet , particularly ground plug , least room . end use laptop kitchenette counter , use outlet mean microwave . ( either bathroom ! ) electrical outlet critical stay , sure ask front desk room assign need . seek luxury hotel , probably place . furnishing old , would scrape several layer find original color paint surface . plan use kitchen / kitchenette beverages simple snack , know basic utensil provide . tv station limit pay - per - view movie not option . Salisbury clean well - locate , excellent price , we fine . want enjoy city ! overall , Salisbury offer exceptional value pleasant , comfortable lodging . definitely guest . 
 Apr 6 2008 	 huge Room great location 	 book flight New York , spend two evening go Trip Adviser trying find hotel . eventually find Salisbury , great review , go ahead book . Booked Kayak give good price . hotel well situate W57th Street , close highlight quiet enough night able get good night sleep . talk sleep - bed comfortable ever sleep . basic room , let face , provide comfy bed pleasnat room , need big suite . towel change daily everything keep clean . room back nice quiet , think even front room ok well . continental breakfast leave speechless - cherry almond danish , bagel , croissant , muffin ! ! not cook breakfast everything else make . staff friendly . walk closet , handy clothe shopping ! hair dryer powerful home . great big flat screen tv decent range channel . ( can not walk around day night ! gripe lack tea / coffee make facility room . apparently room obviously unlucky one - say receptionist probably would sort . last day Super Shuttle Bus 35 min . late take us airport . receptionist , see husband nearly panic attack , immediately contact find whereabouts . great hotel , location , one block away fro Central Park 10 min . walk Times Square ( 5 min Tifanny ! ) . would definitely go back Salisbury . 
 Apr 5 2008 	 great location Great Value 	 8 we travel 3 adult 3 teenager 1 12 year old 7 year oldbooked 2 suite great location , clean , spacious staff friendly professional . plenty space chill party ...... would stay again . we even make Baseball game ! ! DC NorthYorkshire UK 
 Apr 1 2008 	 nice place stay ! ! awesome location ! ! ! 	 stay 5 night , impressed ! great location , near everything near pricey NY amenity . hotel little outdate , tell old place , add charm . bed hard like that s okay . room huge NY standard ! ! ! love space . mean know not room much nice space need . the staff willing help anything may need . CLEAN ! ! ! 
 Apr 1 2008 	 always pleasure ... ! 	 hotel seem get popular year . New York fill brim shopper world , walk Fifth Avenue reveal business boom . book flight'/hotel package Expedia , delighted upgrade suite ( stay alot year ) usual neat clean comfortable . room old type NYC room alot space high ceiling . furnishing may dated , bed comfortable , bath lot nice supply . hotel offer alot service , breakfast buffet third floor adequate charge small service fee $ 4.00 . lot place eat nearby , convenient art . taste Old Style New York , long may flourish . 
 Apr 1 2008 	 Fab Hotel 	 hotel great . room huge book twin room upgrade we suite arrive lovely . hotel lovely clean staff could helpful . location ideal subway station close bus stop . Central Park 5 minute away Time Sq 10 min walk . would definately recommend hotel anyone go New York . 
 Mar 31 2008 	 great value location ! ! 	 spend four day Salisbury W57th Street New York . have two three person suit 7th floor . very spacious , firm comfortable bed , good maid service ; decor bathroom look bit tired clean functional . Kitchenette great tea coffee making . hotel locate close Carnegie Hall , Central Park main line shopping 5th Avenue . Time Square 15 minute walk . excellent pizza 's two door Angelo 's definitely try burger joint Parker Meridien Hotel directly opposite Salisbury . expect queue worth wait . also try breakfast Carnegie Deli hungry portion big . if booking Salisbury try book room back building quieter . we 7th floor noise 57th Street night disrupt sleep couple party . staff Salisbury friendly helpful . long queue Statue Liberty ferry due security screening bag pre boarding go early pre book . Natural History Museum definitely worth visit go shop Macey 's call customer visitor centre photo ID collect discount card worth 11 % purchase . 
 Mar 31 2008 	 Perfect location 	 book follow review read disapointe . NY tourism perfect location , central . book suite big price . breakfast miss little variety , bagel great ! staff / service uneven , find right guy helpful ( even get we cheap limousine service airport ask cab ) . 
