nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Apr 25 2007 	 Lovin Millenium Hilton ! 	 back 4 day trip New York City . start finish ball . Flew Edinburgh Friday morning arrive lunchtime Friday , drop case go shop . hotel lovely , stay suite 54th floor . room huge , clean , load towel replace daily nice clean . never try restaurant hotel reception staff concierge helpful . starbuck right around corner breakfast daily fill we day almost . be quite walk shop worth walk either back see can not see taxi . Century 21 shop right next door hotel cheap chip ! Estee Lauder , Chanel , Origins - sell . clothe shoe also good bargain . we go Woodbury Common outlet Sunday - jump taxi taxi driver wait we shop mean not carry bag we drop shopped ! would definately recommend Hilton - although downtown prime location Path Station get train airport mean trawl traffic busy time . we will definately go back ! ! ! ! 
 Apr 24 2007 	 Shame front desk staff ! 	 obviously hotel problem front desk staff , family stay one night 21 April really disappoint front desk staff treat we guy try check . forget little problem must say hotel still one good stay US . room really clean comfortable like corner room great view . like ' possible open small window hear sound New York offer . stay last year also really great stay . take train Newark airport WTC instead use really expensive crazy driving taxi car save 50 $ one way , service personnel ticketing machine airport help get right ticket . 
 Apr 21 2007 	 outstanding experience ! 	 stay Millenium Hilton 3 night ( pay Hilton Honors Rewards plan ) . get huge corner room 49th floor , well equip large tv ( flat screen ) & amp ; offer level confort expectation . say stunning view Brooklyn / Manhanttan Bridges grind Zero . breakfast include reward ( would pay extra 20 usd cost ) . Starbucks Coffee corner street/ opposite Century 21 . outstanding service , staff always pay lot attention request ... like location well . much less crowded Middtown/ Times Square . convenient well wish easy access SOHO , West / East Village . aware Line E sometimes operate WTC subway station weekend due reconstruction work . however , lot alternative remain available . thumb Millenium Hilton Hotel would recommend everyone ! 
 Apr 9 2007 	 great hotel 	 husband stay Millenium Hilton 3 night . think great place . staff friendly . room clean new . bed exceptionally comfortable . 38th floor view directly World Trade Center site . quite sobering , also give we opportunity appreciate magnitiude look ground level . other say , definitely quieter part city . look lot action around , part town stay . however , several close subway stop find almost part town could reach within 15 minute subway ride . definitely would recommend Millenium Hotel anyone look top - notch accomodation NYC . 
 Apr 9 2007 	 Good Business Hotel 	 stay last week business . room everything one would expect plus large flat screen television . Room overlook Ground Zero .... think . interested exercise close Battery Park exercise path near west side highway . get 4 5 mile jog without feel stressed dodge traffic . Lower Manhattan still & quot ; right & quot ; certainly lack evening option midtown . must stay area hotel work . 
 Apr 8 2007 	 great room 	 husband want stay new part town - search travelocity see hotel cheap one times square . seem good rating tripadvisor , decide book . w trouble find hotel - map not show closed street . arrive little noon . notice hotel crazy busy - find someone valet leave car , not come we . walk hotel , seem disorganized , busy . suprise busy hotel Easter weekend . font desk would let we check early , check luggage go way . got back later evening , check problem . room outstanding ! comfy bed , love Crabtree bath product ! clean comfortable . we walk Chinatown , close - much fun ! ate & quot ; Oriental Garden & quot ; , wonderful ! would definetly recommend friend family want stay low manhattan . 
 Apr 6 2007 	 turn wife away hotels.com reservation 	 hotel front desk turn wife away although valid pay hotels.com reservation . never problem hotels.com . nice work , Hilton . : ( 
 Apr 5 2007 	 great hotel great area . 	 stay hotel Mar 31 - April 4th 2007 . hotel excellent quality . lobby gorgeous room even nicer . bathroom roomy come equip Crabtree Evelyn toiletry . room stay 2 bed , party 4 people . bed bite small 2 people sleep , add roll - away bed give we space . request 2 rollaways success , say fire hazard . understandable . extra bed 25 dollar nite , charge due mother Hilton employee ( another Hilton ) . room internet access 5 dollar day . find unreasonable , , internet help we get direction go day . view ground zero window 29th floor . first evening eat hotel restaurant , Church & amp ; Dey . food good , expensive . would eat , like say - food good . area hotel quiet one - financial district . nice return quiet area long day crowd . 
 Apr 2 2007 	 oasis ny 	 stay hotel long weekend sightseeing New York . firstly , downtown , near Wall Street overlook Ground Zero . away buzz midtown like . subway stop directly outside hotel main entrance take 10 min get Times Square . it skyscraper room upper floor fantastic view . room would expect Hilton , clean , fairly spacious modern massive flatscreen , watch much tv . not eat hotel one night order room service prompt expensive . eat breakfast panini deli round corner , try pancake ! would definitely stay busy day uptown nice come back quietish area . 
 Mar 26 2007 	 Millenium Hilton - great room ! great view ! Grumpy Front desk people 	 ' ve fly New York business every week . ' m trying hit several different hotel different area need . time several meeting Financial District book hotel . know view would great maybe little strange since World Trade Center long front . see , hotel locate right behind World Trade Center use . fly Buenos Aires 's long 10 + hour flight . even fly business Class JFK comfort long flight like go right room . arrive early around 6:30 . encounter grumpy middle aged man not even offer & quot ; good morning & quot ; . give name reservation number also show Hilton HHonors Gold vip card . spend LOT money Hilton hotel around world not seem matter guy . not even look it . I inquire check early say & quot ; be impossible & quot ; . not say anything like & quot ; ' m sorry Mr. X room occupy & quot ; . explanation . simply say check - in 2 pm . 6:30 exhausted since not sleep long flight . go wait lounge chair comfortable lounge area really not nice . check bag decide go breakfast shopping . I stay 1 pm . block away usually area not know well . call hotel ask direction say & quot ; know ' m block away ... help & quot ; . guy answer phone say could not help transfer ' m assume concierge desk one answer phone . furious . ask police officer kindly point right direction . get hotel 's 2 pm . see still one concierge desk . 's rude guest call get direction simply transfer empty desk . would take 10 second explain hotel be . so get front desk give key . go get check bag big bag plus bag shopping ( LOT shopping ) . bellboy ( say middle aged man ) hand suitcase not even offer help take room . extremely unprofessional . so 3 thing even get room happy . someone definitely need customer service seminar employee . way treat customer frequent many hotel around world . get room bad mood go away see view . put 49th floor amazing view ! 's strange see big hole World Trade Center . snap photo not know allow post Trip Advisor since 's hotel view . room size extremely big New York City hotel . guess u $ 350+/night range get mostly small hotel room NYC spacous King size bed . room 42'inch Plasma / LCD tv great touch . thing property rent people really appreciate thing . bathroom good size well . nothing luxurious least spacious . the bed extremely comfortable great pillow well . stay night use room service time quick . would say food deliver less 30 minute time . food quality ok well . price menu not seem expensive remember add like $ 4 service fee + 15 % tip also fairly common day . I ' m get ready check - out . must get grumpy check - in guy . call let know not use anything mini - bar least 4 thing bill . nice guy answer ( say name Robert ) friendly explain refrigerator motion sensor detect take something . move thing around put water put back . think interesting never hear make sure check bill check - out . I ask Robert could late check - out say & quot ; sure , problem . time want check - out . tell need extra hour . 2 pm would fine say problem . good customer service friendly . sound young much friendly grumpy old guy check - in . all , would highly recommend hotel . get rid grumpy ole guy check - in train staff little friendly would say 's highly recommend . Mike 
 Mar 25 2007 	 great hotel 	 wife love Millenium Hilton . beautiful , modern hotel good rate . junior suite 46th floor window face west toward Ground Zero Hudson River north Empire State Building midtown . sad stare construction Ground Zero surround building damage , therapeutic way . be also eerie work fitness center be stare site also . hotel great . modern , clean , comfortable . two thermostat room , one bedroom one lounge area . housekeeping staff helpful friendly . breakfast restaurant also good reasonable . not eat meal though . aside WTC site not lot tourist immediate area , subway stop right across street 's easy hop go Times Square wherever want go . would definitely stay . 
 Mar 22 2007 	 nice 	 stay one night impress immediately upon enter establishment . staff friendly although arrive hour early check - in time , able go straight room 24th floor . view absolutely breathtakingly beautiful yet sad ( WTC ) time . bed comfy bathroom spacious immaculate . would definitely stay . 
 Mar 20 2007 	 Excellent hotel helpful staff 	 use tripadvisor review help choose hotel stay New York pleased choice . the hotel comfortable , everything need great stay . room modern comfy bed , good coffee maker marble bathroom . decor modern pleasant . we enjoy couple early morning swim pool . full child ( Saturday afternoon ) pool bit less enjoyable , be really quite small . once would work navigate subway find hotel 's location excellent . easy get several subway line , include express take we Bloomingdales minute . we eat couple time hotel . breakfast much well cheap nearby Stage door deli . enjoyable dinner hotel restaurant , comparatively expensive . hotel staff helpful concierge recommend great restaurant one night help direction query , front desk helped check line return flight . I would happily return hotel . 
 Mar 20 2007 	 good negative point 	 stay two night 48th floor , overlook WTC site . fantastic view room generous size , include small lounge area second tv , sofa desk . 42 & quot ; plasma certainly large screen ' ve see hotel room inroom WiFi , ethernet cable connection pay . detect dozen WiFi network can not connect ! bathroom not small either although fitting look little date . bed wide comfortable , good pillow . be also free safe always one main item look for . the breakfast buffet good standard la carte . dinner slightly disappointing although may due choice dish . cost not high either . negative : air - con system make lot noise , even switch . may one - off probably stay work , shall update review next time . lack WiFi , even could pay , annoying , consider typical guest likely business traveller , judge occupant breakfast . final gripe aim many hotel ; leave card indicate commitment protect environment , ask reuse towel save water etc . however , even not leave towel bathtub , still change everything every day ! smack hypocrisy use 8 lightbulbs bathroom , although detect energy save bulb elsewhere room . surround area bit shabby take taxi metro shopping dining need . overall , 's good hotel could improve couple area 's well suited business traveller . tourist well elsewhere . 
 Mar 17 2007 	 reliable comfortable classy 	 3rd stay hotel 2 year . every room great view great tv ( not watch much tv ) ! low Manhattan location liability . great subway service taxi 's midtown beyond . hotel , easily walk Chinatown ( love NY Noodle Town , Bowery Bayard ) . stroll along Hudson Battery Park wonderful safe . ny great city disappoint ! save money , park Gateway Hilton Newark take PATH NYC $ 1.50 right across street Milennium .. 
 Mar 16 2007 	 Nice Quiet 	 Booked hotel priceline one night move Affinia Manhattan ..... can not say enough good thing .... comfortable bed , nice thick linen , quiet location .... nice view ground zero room .... find alittle difficult get around compare affinia manhattan please ..... recently renovate due attack WTC show ........ nice ! 
 Mar 13 2007 	 Great Location 	 3rd trip NY 1st stay Millenium Hilton . go congress Westchester March , 2 3 wife join whole week city . wow , fun hotel one reason be still miss week Big Apple . warm check welcome life ! room , Housekeeping , Room Service , Front Desk , Staff general , be fabulous ! Liquis Assets Bar also great drink dinner . , , location seem huge secret place . subway line ( express line ) nearby take midtown uptown minute ( line 4 & amp ; 5 express train ) . anyway , Financial Distric close great spot like South Seaport , Soho , Lower East Side even East Greenwich Village . place go trendy restaurant bar , nightlife fun . prefer traditional touristic spot Midtown fancy Upper East side ... well , take 4 5 subway line ! 's 4 storey shop round corner buy almost everything wear . Battery Park 's also close museum , bar shop must stay downtown . Breakfast be expensive though , many place nearby . my wife surely back hotel next time come ny . definately ! Anna Andre , Lisbon , Portugal 
 Mar 10 2007 	 Awesome Stay ! 	 hotel , directly across Ground Zero financial district , surpass expectation level . staff obviously well train always go beyond request ( except mistake subway direction ) . hotel looks recently remodel ( great contemporary color ) , room large ' ve ever stay NYC , bed comfortable , bathroom nice , etc . would highly recommend Hilton Millenium price range $ 300 . 
 Mar 6 2007 	 almost perfect ! 	 come back stay Millenium Hilton everything almost perfect . book stay Hotwire . book room one parent . get room 149 $ 153 $ respectively . beat price Millenium Hilton . arrive car really well receive valet parking agent . doorman help we immediately luggage . I anxious see staff would act we stay book hotwire low price . nothing 230 $ book website . person front desk professional courteous give we attitude fact book . arrive noon get room immediately . the room spotless ! locate 31st 33rd floor view Ground zero . even mother afraid height enjoy view ! room always make bath product replenish immediately . the glitch find turn service , chocolate pillow bottle water , parent get . toilet make dripping noise sometimes , close door hear it . I would recommand hotel everyone subway bus , walk also , get anywhere short period time . Book Hotwire save lot money ! 
 Mar 3 2007 	 much Attitude Bad Customer Service 	 stay hotel regularly business . attitude employee seem get worse bad time . would think stay posh boutique hotel SOHO . hotel nice room great , beware hotel staff ! 
 Feb 27 2007 	 Great Hotel 	 second time hotel . last time stay April 2006 . Hilton locate right across WTC site renovate 9/11 , update fixture flat screen tv . reopen main entrance last year lobby seem much put together since last time there . the room good size NYC standard view tremendous ( ' interesting see construction WTC site ) . locate next Fulton subway station within three block get subway anywhere NYC . wife take advantage downtown location explore small museum Lower Manhattan great three day . there plenty pub bar Financial District Reade Chambers street , much work crowd . I ' pretty self sufficient ' really contact anyone work , need , everything smooth . I recommend people business Financial District people look stay different part ny.i booked room Priceline . 
 Feb 23 2007 	 New Years Stay Millenium 	 love Millenium Hilton . be right across street Ground Zero humble Americans need humble every right ? anyways , hotel room nice comfortable . service lacking . ' m sure New Yorker way life always hurry make rush , check , check , phone , etc . would not say rude hurry New York . get tired wait ball drop New Years go back hotel watch tv firework outside window . great . elevator REALLY fast . warn ! 
 Feb 22 2007 	 Loved Millenium 	 stay property four night February . employee could not helpful ( exception restaurant staff ) . upon arrival , front desk friendly , courteous informative . husband 's diamond member , upgrade Junior Suite , complementary breakfast voucher . room wonderful - actually two room , plasma tv , luxurious king bed soft , quality linen housekeeping staff could not efficient . room view Ground Zero - not bother we . quite sober also uplift see way New Yorkers seem able handle anything be give . respect admiration truly go people city - truly great city earth ! consierge could not helpful - question present answer , least try . elevator prompt - rarely wait , go . yes , lobby small lounge could bit large , thing wrong - please . location hotel fine - subway station 100 foot entrance . subway quite safe great way get around , be subway - shy , taxi 's abundant around hotel . however , find difficult get one - weather quite cold seem occupy ! subway , problem . downtown , agree previous review wholeheartedly - quiet away craziness Times Square - could not pay stay ! complaint towards hotel miserable , bored , unhappy , unpleasant wait staff restaurant . breakfast ...... pay food .... something like $ 29 / person breakfast buffet cold ice come directly kitchen ! egg stone cold , bacon , sausage , potato , etc . advice - go somewhere else - anywhere else - breakfast . never give lunch dinner chance - many great restaurant city . plan another trip April already reservation return . great hotel great city highly recommend ! 
 Feb 20 2007 	 Perfect ! 	 second time hotel begin February two night . we love first time book go back new York not even think twice another hotel . upon arrival give room 42nd floor overlook ground zero fantastic view river skyline new york . room comfortable , small compare alot new york hotel , large comfortable bed lot bathroom toiletry . check 12 unfortunately husband ill letting conceirge know , kindly say could stay hotel cost well enough leave much appreciate . overall fantastic hotel , great view accomodate staff ! 
 Feb 20 2007 	 never stay 	 room large nice , view remarkable nearly enough make awful service receive 2/15 - 2/17/07 . upon arrival doorman come curb assist luggage - normally would not big deal wind guste snow ground , irk time . my room large , clean well - appoint . well attempt open mini - bar , stuck . call downstairs inform & quot ; problem particular room would send someone right up . & quot ; Maintenance arrive within 10 min 's annoying tell problem advance management know it . on second evening trouble establish internet connection ; , call downstairs inform & quot ; particular room not internet connectivity & quot ; offer move another room . point speak manager deny anyone prior knowledge lack internet connection particular room - whatever - go ahead move room . check Saturday morning 6:30am ask desk clerk whether would able hail cab hour well call one . tell doorman ( nowhere see moment ) could hail cab . 's 6:30am SATURDAY , one else lobby , yet desk clerk seem feel be beneath station accommodate request help get cab . I never stay - service attention detail minimal good , staff barely apologetic lack attention cause disruption guest . 
 Feb 12 2007 	 Nice ! 	 get deal Priceline Saturday evening getaway . hotel redone 2003 damage 9/11 . room 31st floor directly overlook WTC site . bother , ask another side . hotel directly across street close subway , convenient . be also next Century 21 , interested shopping . the room comfortable , great lighting option soft sheet great bed . also in - room safe closet , not use not bring laptop , be something look since usually computer hate check front desk haul . drawback room ( 3103 ) seem noise room elevator . take figure come . neighbor quiet , return room , could hear pretty clearly . 's soundproof room ever . wish little quieter , esp . be pay close regular rate . but room clean nice , would definitely stay get decent rate ! 
 Feb 10 2007 	 spacious ( downtown NY ) room view 	 New York one city consistently book hotel Hotwire , similar service , simply get value dollar city hotel price exorbitant . yet disappoint . the staff wonderfully friendly , room clean attractively furnish . fact , unusually spacious location . huge flat - screen tv , nice amenity , sweeping sobering view Ground Zero . friend visit comment would find difficult look view every day . , however , move see thankful able see entire vista tower stand , high ground . the downside , tourist , downtown location like seem remote time . would definitely return hotel , especially conduct business downtown . 
 Feb 4 2007 	 can not lose one 	 ' m add chorus accolade . ' ve stay Times Square will not stay downtown . the Millenium Hilton like oasis busy day night town . close SOHO fairly short subway ride midtown . subway station could convenient . first , be little strange neighbor World Trade Center site ... fill view window . certainly would not let fact discourage anyone stay . room huge NYC standard love enormous plasma screen tv no - attitude friendly service . way , get Priceline consider great rate . 
 Feb 2 2007 	 decline still ok NYC . 	 stay Millenium Hilton NYC five time 2003 2006 still appreciate hotel even use well couple year ago . first like modern original architecture hotel ; location financial district walking distance seaport convenient ; room well - decorate , modern big enough ; service front desk good concierge helpfull . last stay noticed room - price go quite bit value - for - money good anymore use . plus anoye work lobby main entrance close . lobby indeed small huge hotel seem bit outdate - renovation would welcome . finally disapointe breakfast use good waiter simply not care wait bar 15 minute table ready ( even plenty empty uncleaned table ) ... Millenium Hilton still ok need stay financial district find good even well elsewere NYC . 
 Jan 31 2007 	 Loved ! 	 love Millenium Hilton . rate great hotel beautiful clean . great rate weekend getaway . locate financial district cabride away main attraction . location great not hear busy NYC street siren . staff great . beware roomservice breakfast pricey . would def stay . 
 Jan 23 2007 	 Great Stay 	 great time NEW yORK . Hilton excellent . clean well appoint room . stay 38th floor corner room king bed . great bed , great view . would definately stay . 
 Jan 15 2007 	 Minted 	 quick simply total dream day 1 . apsolutely love place . girlfriend stay 30th dec 4th jan do not 1 negative comment make . room spotless decor classy price . bed fantastic : ) overall recommend hotel . slight drawback financial district location . grab c train Uptown minute . 
 Jan 15 2007 	 good location despite downtown easy get anywhere . 	 stay 2nd January till 7th . lobby bar shop , cafe / restaurant 3rd floor . two enterance , one Church st one Dey st . corner room window side - good view uptown Greenwich Village / Soho Empire State Building ( gr8 light night ) one side City Hall Brooklyn Bridge . plasma screen tv usual cable channel build internet browser ( fee ) . tall ( 53 level ) narrow building . hence 15 room level ( seem ) . despite previous review never hear construction noise ( away ground zero face apartment building little way away ) . however 49th level . room furnishing good condition , bathroom relatively large room . king size bed , desk seat area space furniture put ... problem size . room service cost reasonable definately cheap hotel .. infact cost wise sometimes cheap eat restaurant / cafe . local area office numbe rof eatery within walk distance shop / drug store / border . path station subway ( World Trade Centre Chambers st ) across rd City Hall subway station short walk away cover destination ( Soho , Greenwich Village , Chelsea , Uptown ) . walk distance Battery Park ferry Ellis Island Statute Liberty South Sea seaport . happy location price ... rather stay hotel around Times Square centre thing look tacky , convention like , well nosiy .. even chain one . two downside buffet breakfast .. prob one bad come across variety hotel class . tea / coffee facility room .. unheard class anywhere else world . upside staff excellent . 
 Jan 14 2007 	 Great View 	 nice stay . stay ! 
 Jan 12 2007 	 Style Space Hospitality 	 wife book Millenium weekend getaway Xmas . choose base good review one reasonable accomodation give smack middle holiday . could not happy choice . positive * room quite spacious particularly NYC stay room could touch 4 wall . * beautiful view overlook WT Center site across river . * Plasma tv great , bathroom clean , bed quite comfortable . * front desk staff professional efficient need . get get . * concierge attentive everyone - offer we advice get play seeing , site interested suggestion eat . excellent . also hold luggage checkout day could extra sight seeing . negative * bit & quot ; riff raff & quot ; hang around outside hotel sell junk 's city expect - never felt threaten . * parking outragous . spend 85 buck 2 day include tip . * hotel far downtown go without NJ might drawback . however , train Path right outside hotel fairly easy navigate - ask someone need help . first time attendant walk we whole ticket process , tell we go etc . problem . ( train not nice easy use Wash DC Metro fine . recommend day pass like 7 buck 2 ride basically make money ) fantastic trip would hesitate suggest hotel anyone . 
 Jan 11 2007 	 Perfect ! great view room service . 	 stay three night visit NYC King corner suite . hotel locate front Ground Zero construction site Freedom Tower , Lower Manhattan . the king corner suite spacious , generous enough give sense luxury NYC . comfortable king bed face plasma tv , nice bathroom , small lounge sofa - bed , workdesk , coffee table second tv . favorite feature large floor ceiling window . suite breathtaking view midtown esb , woolworth building , Hudson River New Jersey , Ground Zero . service professional pleasant , feel welcome property . buffet breakfast little limit reasonably price NYC . second third day order midwestern ( steak ) breakfast instead . room service average , price reasonable . location hotel not prove much inconvenience we . could walk pay respect Ground Zero , tour Lower Manhattan get Statue Liberty ferry . access via subway attraction midtown fast ( take express train ) easy ( least four different subway line stop within walk distance hotel ) . Taxis not expensive either . construction Freedom tower start stay , also condo building construction north side hotel construction noise day may bother some . this hotel play key role great stay NYC . second stay . can not recommend hotel enough . 
 Jan 10 2007 	 Great City 	 stay Millenium Hilton 29th December 8th January . firstly , connection everthing excellent , take subway airport , take 45 min sure long cab take around $ 45 , subway 2 . subway also excellent getting uptown ' e ' dropping right next Macys 34th time square 42nd right rockerfeller 53rd 2 buck , make couple trip day save alot money 15 - 20 buck cab . the hotel excellent never wait long check request hilton website booking get high floor room 49th floor . room look ground zero new jersey , view excellent , find noise problem unless open window , though air conditioning unit noisy night . pool sauna nice though buisness suite internet hire expensive , try find internet cafe . complaint hotel location find bit hassle , though subway right outside , shop 5th avenue around time squre bit trek come back hotel change clothe drop bag etc , also hard find pub resteraunt within walk distance . overall though would definatly recommend hotel . 
 Jan 8 2007 	 great Stay Millenium Hilton 	 stay Hilton Millenium great ! room clean fortunately able stay one large room floor . quiet weekend morning noise Ground Zero never problem . staff always polite . convenient subway . would stay heartbeat . oh , search hotel hard time find one not review state bed bug . Millenium Hilton one few - no bed bug room ! 
 Jan 8 2007 	 Loved love love ! 	 boyfriend stay Millenium Hilton Thursday ( Jan 4th ) Sunday ( Jan 8th ) absolutely love ! ! ask book hotel see review , really not feel like stay Midtown . arrive NYC DC three whole hour check time convinced boyfriend ask front desk could check early let we ... grateful . book King room city view ( 50th floor ) view AMAZING ( especially night ) . hotel room immaculately clean spacious . quiet hotel ever stay , even Saturday night quiet . maybe something 50th floor . say think could hear people take shower , sound like water run house . time annoying , guess kind got use . clean service excellent , room nice first day check whenever come back . eat restaurant 3rd floor . actually get eat lunch , mediocre . expect little . mediocre lunch , hotel amazing . check speedy ( less 5 minute ) , easy get cab , canal street walking distance , 2 subway stop within close walk proximity . really could go hotel , will not , lol . DEFINITELY stay . : ) 
 Jan 5 2007 	 Fantastic Hotel city view ...... 	 book hotel 7 night ( 27th Dec 3rd Jan ) read review trip advisor ...... room King Bed room 33rd Floor City view ( inc . WTC site ) yes get bit noisy daytime , NYC noisy time . AirCon fan noisy , liveable ( other say ) 42 & quot ; Plasma tv work fine . room always spotlessly clean service faultless . it bite ' downtown ' NYC 's attraction , cab ride average $ 15 ( inc . tip ) , pay $ 25 Times square hotel rush hour . ' ve pay $ 250 night .... live ..... mostly ' breakfast ' Starbucks , round corner . have room service breakfast last morning ok . ( $ 40 ) not use hotel phone ring UK , £ 7.50 2 - 3 min ... ! ! ! ! overall impressed enough go back soon ........ Times Square NewYearsEve one - off experience .......... easily get cab back hotel 1 am newyearsday cost ......... $ 12+tip .......... NYC ........ : ) 
 Dec 17 2006 	 Loved Hilton 	 stay Hilton 2 night December . check give room 44th Floor view WTC site river . the room clean spacious staff helpful friendly . although hotel business / financial district would hestitate stay , everything accessible via Metro . the slight concern lack restuarant area - be prepare travel - problem . we definitely back . 
 Dec 17 2006 	 Way Downtown Great Nonetheless ! 	 wonderful hotel comfortable bed wide screen tv . be right opposite Ground Zero lose folk may want find somewhere else stay . right near Chambers Street subway stop . around great experience pay $ 218 hotwire ! ! one caveat - mini - bar rig sensor even LIFT item look , will record take item . 
 Dec 16 2006 	 Worst Staff Town 	 hotel nice employee , include manager , rude unhelpful . stay 2 bedroom suite wonderful view , stay riddled constant disappointment cause ineffective way hotel run . concierge tell we obtain ticket we never make call behalf - call venue directly find never call almost lose seat depend follow . non - smoking suite fill smoke room ( non - smoking floor ) . place noisy check ridiculously difficult . visit NY several time year never stay millenium - stay away care service ! 
 Dec 15 2006 	 Noise 	 spend five day Millenium Hilton serve 's purpose well serve many subway line , not think would stay . staff / service adequate ( great ) , wall surprisingly thin ( could hear neighbour phone conversation / tv ) construction begin WTC site , get pretty noisy quite early . plan stay , definately ask room high possible . find WTC construction quite loud time even though stay 53rd floor . 
 Dec 1 2006 	 Pleased Hotel Stay 	 stay hotel four night mid - November . business meeting / pleasure trip . two night Friday Saturday . locate 49th floor . give location , room service high mark . require maintenance first day replace faulty showerhead . do promptly . would definitely stay . external positive include convenient subway station get Soho even Times Square less 25 minute . well - know electronics store couple block away well discount retailer across street . plenty cheap eat Church Street Broadway . City Hall nearby . unique location WTC site across street , riverview great get certain feel different midtown . overall pleasant experience . 
 Dec 1 2006 	 amazing hotel ! 	 originally book 3 * hotel W43rd St , read bad review , second thought . look Hilton website , find room Millenium £ 5 per night extra ! ! pay another £ 5 per night get garaunteed 35th floor ( come & quot ; city view & quot ; room selection ) . hotel absolutely amazing - despite & quot ; town & quot ; $ 5 taxi 10min underground ride Times Square . easy walk distance Brooklyn Bridge , Wall Street , ferry Statue Liberty , China Town , Little Italy Grenwich Village . the hotel gorgeous - really feel like stay somewhere cut rest ! room look Ground Zero , stand right next window look . view straight window fantastic , sun set right Trade Plazza building opposite . truely amazing sight ! room not big , enough space . bathroom really nice ( Crabtree & amp ; Evelyn toiletry nice touch ! ) Ground Zero site move , actually worth visit . memorial display put together tastefully actually move tear . never worried stay hotel , actually feel help regeneration area stay hotel . poeple comment building noise , honest airconditione block - never wake we put way . New York truely amazing city - Millenium Hilton fantastic base explore . go back New York , would definately stay ! 
 Nov 23 2006 	 Honneymooners beware ! ! ! 	 wife leave Millennium Hotel NYC brief Honeymoon must say dissatisfied service receive & quot ; exclusive 4 - Star & quot ; hotel . upon arrival make arrangement gentleman front desk car pick wife Wedding Night Dinner Cruise . upon check - in bellhop failed make arrangement we promise . Time location supply Arturo assure would car wait we dock . arrive car . fact walk approx . 6 block cold rain hail cab back hotel , exactly want avoid arrange car hotel . arrive back room find heat . exhaust want go sleep want make issue want change room time . believe mistake high expectation prestigious company . mistake never make , long stay Hilton affiliated hotel . ' m afraid disappointing service experience 4 - Star rate Millennium Hilton norm wonder exclusive facility Hilton Umbrella . overall give " sorry " send way without recourse . end day ' rather stay Marriott . 
 Nov 20 2006 	 Efficient price compete stylish room 	 choose Millenium Hilton weekend NYC rate , include two breakfast one night champagne , $ 150 cheap celestial rate Times Square / Midtown property without breakfast . we worry far downtown would make transportation difficult , subway station across street , problem time ; Saturday night cab scarce hotel one doorman , leave long taxi line hoof one block catch - big deal . we appreciate TripAdvisor guest photo site , across street WTC site - hotel damage 9/11 attack close 18 month . ( beautifully restore - issue ) . bellman tell we harrowing story day attack subsequent 9 hour walk home Bronx . location , , become positive - staff happy see grateful business , walk step door see move WTC display explore St. Paul 's chapel , 18thc church miraculously survive collapse tower . the room well appoint brand , huge , flat - screen tv glass wood furniture . room little small side two woman spend three day shopping , , hotel room would hold bag ? outstanding bed . our room overlook WTC site , side hotel overlook Brooklyn Bridge . overall pleasant experience . 
 Nov 12 2006 	 Pleasant stay blip .. 	 pay $ 400 ( include taxis ) night five - stay hotel like one , expectation run high . generally , stay place pleasant . room well space well maintain , plasma tv plus . blip : - breakfast ok , though standard ( food ) drop since last stay two year ago . service inconsistent - staff greet guest smile quick direction ; other appear nonchalant look away make greeting ( saying & quot ; pleasant day ahead & quot ; stone expression look away count service ) . advice : not go motion not mean say.- lose spectacle holder day check ( apparently fall behind one cupboard , accord friend stay ) . call housekeeping could not locate . go front desk hour later check . see front desk person call housekeeping , laugh shake head talk , phone said & quot ; sorry , could not locate & quot ; . Felt insult matter like treat lightly . friend advice small item like mine always & quot ; dispensable & quot ; hotel like - never get back . not accept reason felt rob . otherwise , hotel pleasant stay nice view Hudson River skyline . 
