affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Aug 20 2005 	 Spotty Service Pricey Hotel 	 recently stay Hotel Allegro conference . decor beautiful , room bit small , acceptable . like Aveda freebie wine reception . ask maid service stay , towel coffee send door sometime next day maid round . young man front desk walk briskly away , even note request . see maid next morning room cleaning . call guest service request room service indicate account / room . next day get phone message maid ( due disturb sign keep door ) ask want room clean . never get towel coffee deliver , beg maid hallway give . front desk say item . ? perhaps would look like service . add , cold cold room temperature control work , toilet would properly flush , one elevator sound drill day long ( add ambience ) ; boom construction evening theatre next door affect many floor wing hotel . say would move , wonder could not plan well put begin . would say 's apparent lack care hotel . front desk concierge staff always look & quot ; busy & quot ; phone like customer really bother - perhaps appease vip ? seem like understaffed under - concern customer . 
 Aug 11 2005 	 good fit heart Theatre District 	 friend stay Allegro Aug 3rd Aug 6th , 2005 . deco hotel retro . concierge lobby , will love red , blue b & amp ; w stripe couch . service great - concierge helpful identifying place dine , allow leave luggage front desk check ( give convenience making last minute ' tour ' neighbourhood leave city ) , front desk accommodate we ( problem double / double room move we premium double room extra cost ) .The comment regard thin wall true , though . two room stay ( 9th 6th floor ) , could hear everything be go room ( we adjacent we ) - toilet flush , people talk sound tv , etc . , need sleep , not expect much . bed comfy noise help . room , ' good ' view adjacent building ( unless architecture , would say go ! ) .The hotel situate core theatre district , excellent visit city purpose watch show like Wicked Lion King . Magnificent Mile 10 - 15 minute walk hotel Sears Tower Chicago Harbour . could take transit be head north Wrigley Field south Cellular Field problem . Clark / Lake Stn also close . could take transit get O'Hare Airport . the main problem stay location fact walk block find decent place dine . actually not find anything place close 5 pm . majority place not even serve dinner . resto hotel lobby serve lunch change lounge evening ( i.e . dinner ) .Overall , hotel safe , clean ' homey ' . ice dispenser pop machine every floor , convenient . ' jazz ' room i.e . housekeeping , every day , . would recommend hotel musicale enthusiast . advise , though need research place eat daily opt stay Allegro . 
 Jul 20 2005 	 Wicked Good Time 	 stay Hotel Allegro recently visit Chicago see musical , " wicked . " trendy boutique hotel recommend several friend , mile ordinary step everything . allegro locate theater area near one El station – block half traverse make property . friendly bellman escort we , ascend staircase second level check ( discover nearby elevator later ) . lobby remind we contemporary mod 60 motif red velvet couch , oversized midnight blue chair modern light fixture . dark wood cover wall pair large , checkerboard carpet brown cream . front desk staff welcome , explain business center , fitness area truly think would use surround area . lobby also serve locale free unlimited wine flow wine hour , evening 5 - 6 p.m . concierge also locate floor . visit Hotel Allegro mark one time use hotel hair product . aveda product available small bathroom deep bathtub marble countertop . hotel update old building , room large accord today ' standard . enough space , room carefully decorate chocolate salmon accent gold light green . armoire , expansive mini bar stock small refrigerator dry good area contain anything Red Bull snack even hangover remedy . cd player available well . closet house iron ironing board , mean closet large , even small munchkinlander . Encore Liquid Lounge groovy feel upbeat tempos . appreciate Wicked - theme martini Lollypop Kid , make even well night theater . People walk ( literally – race weekend ) stop drink theater , way dinner nightcap . bartender extremely attentive , even busy night . food may also purchase . 312 Chicago adjacent , on - site restaurant serve breakfast , lunch dinner . allegro ' amenity stretch leopard print robe deliver request complimentary yoga basket use watch yoga station television . see plenty pet stay . allegro ' pet friendly policy actually good one - weight limit furry creature even book Happy Tails hotel package . complaint even hotel ' fault . gaggle teenager stay floor bat mitzvah sleep much night , mean privilege enjoy noise . wall definitely thin , although room sixth floor overlook El street noise . convenient location prove middle everything , even parade . Chicago Memorial Day weekend , parade gearing leave hotel able enjoy move nearby shop State Street Michigan Avenue . walk area , Michigan Avenue might merit cab ride home , depend amount shopping complete . also nearby new Millennium Park , Grant Park , Art Institute , ton dining . would definitely go back . perfect complement weekend culture Chicago . 
 Jul 17 2005 	 Arty fun 	 Allegro downtown Chicago great stay/ part Kimpton Group boutique hotel Allegro offer classy stay beautiful room moterate price/ offer complimentary decent wine gratis late afternoon hotel allow access everything loop offer remarkable city . would recommend parking outside downtown area take ' EL ' loop leave 2 minute hotel/ otherwise look hefty parking fee car do not need part city . room small beautifully do great color , comfortable bed case great view . go kimpton group website sign special alert great rate certain day / kimpton great job property & quot ; class act & quot ; 
 Jul 17 2005 	 great couple get away 	 boyfriend spend weekend Hotel Allegro Chicago . great location , 10 minute walk Millenium Park , heart theater district . staff helpful , even 2 morning crave chicago style pizza . able provide we menu place deliver night . room spacious , great bed . wine reception highlight get night wonderful start . car always wait we curb request . would highly recommend hotel romantic weekend get away . 
 Jun 30 2005 	 Location . locatioon . location . 	 unfortunately , far concern , Allegro not . be several block west Michigan Avenue , several block south Wacker . what great service , huge room , big bathroom . think bit pricey location . $ 300 night taxis breakfast . we stay three Kimpton hotel year . quite nice . 
 Jun 24 2005 	 Loved Suite 	 stay Allegro three night love . King Suite spacious -- bedroom live / dining area . warn tiny closet small room pleasantly surprise find 2 large , well - appoint decorate area disposal . cd player , bathrobe , quality amenity , prompt service , ultra comfortable bed bed make great stay . we get participate wine reception eat bar / restaurant one night . bit disappoint bar restaurant allow smoke pretty limited menu . location terrific . walk anywhere downtown take CTA , block away . hope stay ! SS , Atlanta 
 Jun 20 2005 	 great ` ` Theatre '' Hotel 	 Overall really like hotel ( free wine taste lobby evening ) . first room small change like large one . clean , staff helpful , although slightly date corridor room , reception / lobby cool - dark panel , nice real fire . theatre theatre & quot ; feel & quot ; prevail throughout . plenty floor 3 lift wait sometimes , ask room back avoid street noise . problem room could not switch aircon , neither could staff , bit noisy night . the location great , park lakefront minute walk away . easily walk Magnificent Mile shopping need 20 minute . even walk Navy Pier get boat catch IMAX film . feel safe walk around even night quiet edge business area keep eye open . if want save money get airport tube stop one block away $ 1.75 - quicker van taxi too . the bar street level always busy , serve great cocktail hotel lack good restaurant . however find many area Hard Rock Cafe Rainforest Cafe ( tourist ! ) .if get good deal hotel can not go wrong . enjoy Chicago ! Michael , London 
 Jun 13 2005 	 cute fun ... great girl weekend ! 	 tell everyone Hotel Allegro Chicago . quintessential boutique hotel . college roommate travel Chicago girl ' weekend see band U2 . late 20 - something would consider high standard cleanliness . find imperfect hotel- add charm fun feel- versus nausea disdain . lobby ' swanky ' room decorate posh / Euro vibe- go wrong WARM , FUZZY , ZEBRA PRINTED ROBES slipper deliver within second request- free charge . due timing issue shopping- unable partake evening wine service piano entertainment foyer - share cab concert couple think great . room small , adorably decorate bathroom Euro small- complete AVADA product . locate block Michigan Ave … literally see Fields front door hotel . purse handbags- adorable shop call " bag " one block away- ' find prada- hundred cute quality bag . love Hotel Allegro look forward stay . OMNI HOTEL- clean fun vibe- great 20 something ' , young couple , lady weekend ! must also note , valet sweetest man always consider we priority hail cab give advice . Valet parking $ 40 , charge room privilege … valet even go car retrieve something forgotten- ready ? Refused tip … say thought rush arrival … go , stay , enjoy ! 
 Jun 12 2005 	 Overpriced get 	 coworker attend conference opt stay Hotel Allegro great review , decent price proximity conference also theatre enjoy go evening . will not make mistake again . the bellhop greet shuttle van door literally grab bag we bark we front desk . girl front desk , Margo , wonderful helpful . get room we shock tiny room . book room two double bed bed literally butt wall either side enough space small table . single luggage stand could not fit clothing miniscule closet ( pack 3 outfits - bulky coat ) . drawer space . bathroom even tinier . walk bathroom literally stand one side shut door . ' ve spacious Motel 6 's lot less money . pillow bed absolutely wonderful everything else leave lot desire . we problem thermostat room . quite warm unable locate direction operate electronic thermostat . phone front desk receive instruction thermostat never work . spend one night toss turn dripping sweat contact front desk staff next morning . receive promise engineering would & quot ; look & quot ; . leave conference upon return 4:30 find room still unbearably warm . contact front desk promise engineer would check . return evening theatre imagine frustration anger discover still not fix . call front desk time tell engineering check room 68 degree cool enough . thermostat wall read almost 74 positive even cool . tell engineering would turn 65 & quot ; us & quot ; still fail cool room . 4th final call offer noisy box fan gratefully accept numerous large convention town room find ( plus not thrilled prospect move midnight ) .Overall , hotel clean suppose , art - deco style , tastefully decorate . employ wonderful front - desk clerk name Margo ; happen stay would recommend deal much possible . restaurant , 312 Chicago , wonderful food , personality staff leave quite bit desire . 
 Jun 8 2005 	 Great Location much 	 situate next Cadillac Theatre smack middle & quot ; Loop & quot ; snazzy boutique hotel perfect fit week - end trip Chicago - 1 block Daley Center , 2 block Marshall Fields middle theatre district oh much . ( family three daughter seven ) recently . allegro feature special kid 's goody even fabulous pet stay special ( check website special include stay little $ 99 . ) plus helpful staff over - the - top decoration memorable stay daughter still talk . bit travel ( New Zealand , London 3 time summer head Paris Strasbourgh later year Egypt daughter in - tow easily impressed always look child friendly location . Allegro Chicago fit bill category : great location , kid friendly , solid service reasonable price . 
 May 7 2005 	 lovely stay 	 nice room . lovely wine cheese service evening . good location . good restaurant . would definitely recommend . 
 Apr 27 2005 	 love 	 recently stay hotel friend family find good value . location excellant staff friendly accommodate . restaurant wonderful complimentary wine session happen every evening . one commnet would make room quite small little storage space , however aside room clean comfortable bed . overall brilliant hotel definately stay . 
 Apr 26 2005 	 go service food ! 	 second stay business Chicago Allegro . fly nine hour late get stuck terrible snow storm . restaurant service hotel shut room service front desk practically bundled room pat back tender love care saying & quot ; open , will make sure dinner ! & quot ; 10:30 night stop serve 11:00 p.m . thrilled want cry . ( long day ) stay one week July business know Allegro surround area fairly well . doorman always smile porter fabulous . front desk staff friendly ( even we cranky bad traveling ! ) room even Aveda product bath item provide ! way go ! room small would say european style hotel . get linen , would even go small . close luxury get , believe . concierge level many 4 star nothing Kimpton hotel . need space , upgrade King Suite . price 's well worth . far price go , 's reasonable upscale linen , extra care staff great food . bar fairly nice want catch game Chicago . miss wine bar nearly every evening get late glass one night . long day work wonderful . I business near theatre district would make great romantic weekend retreat ! oh check deli across street . size breakfast believe ! 
 Apr 12 2005 	 Hotel Allegro - great location friendly staff 	 can not find well location theatre district -- right next door Cadillac Palace within couple block Goodman , Ford Center , Chicago Theatre . like boutique hotel area , build bit old , view nonexistent -- unless like look dingy brick facade building across street . however , place style , colorful decoration , pink wall ( room , least ) , Aveda product bathroom . price also reasonable sister hotel , Burnham , close theatre seem show age Allegro -- check room hotel opt Allegro . Allegro 's front desk people friendly , although annoyed could not take reservation even stand credit card poise swiping . send hall house phone call reservation service . Weird . accommodate request -- quiet room , top floor , early check - in could change go theatre . even upgrade we arrive . yes , room bathroom small bit run age , character . elevator bit shakey -- not stay top floor fear elevator -- otherwise charming place stay amazingly convenient everything : theatre , restaurant , museum , shopping , lakefront . finally , concierge great -- guy really seem like job enjoy help people . refer us restaurant attach hotel , 312 Chicago , breakfast , great goat cheese artichoke frittata . would stay . 
 Apr 11 2005 	 okay stay 	 great location heart Chicago 's Loop . safe area , dining , theater , etc . lobby quite nice check - in quick , though staff seem distracted . Hotel Allegro cram lot charm style small room . bold bit obnoxious color scheme , patterns- calm hotel experience . however , room adequate furnish refreshingly unique manner . Thomas Kinkade knock - off . bathroom relatively clean nicely appoint Aveda product . bed comforable . negative . could seem control heating system room . put hold several minute , tell front desk electrician would notify . could ask question , hung . one come repair problem one follow phone call . temperature continue drop night . room need bit attention detail . inside toilet stain , tissue box holder break , mirror appear old smear , decorative pillow bed need wash replace . wall thin . will hope quiet neighbor . get room Hotwire think 80 dollar per night , get good deal . ' m sure would seek Hotel Allegro next time , fine value consider location . 
 Mar 28 2005 	 Good Stay 	 , nice hotel . first positive : - location : Loop , be near State Street / Marshall Field 's , central business financial district , etc.- hotel 's restaurant : two- 312 Chicago Encore . 312 Chicago serve great & quot ; italian - inspired American Cuisine & quot ; Encore nice lunch.- Overall Decor- Clean- nice / engage staff- Pet - friendly- free evening wine great touch ... couple negative : - book non - smoking room tell room meeting requirement ( double - double ) locate smoking floor.- small bathroom 
 Mar 20 2005 	 Booked find site . 	 spend week start jan 2005 . meet freind whante great hotel good location . Booked find site , spend flight uk chicago thinking have book dump . need not worry . I can not comment thin wall tiny room , upgrade king premier room , witch side room empty suite , do not hear peep room side corridor , tough see people go . surpise room little seem small first walk , big enougth two , bag junk pick along way . there 2 problem stay . ask rise petal bed , third night bed get , lucky though meet eslewhere , sort real quick , concerige ( nice helpfull time ask stuff ) call say sorry next day ( know toe corpate line belive actually sorry . ) send we bottle chapagne free . second far serious , never try Tootise roll hotel bowel front desk , addicted , even dare daylight raid grab many could ( liberated sevral kilo ) be not enough run week ago . wine hour great evryone frendly , even get free ticket give we see musical ajoining therare , give frind mine do not use , pass on . I leave stuff hotel safty deposit box , withch sort time send , call arrive home . I would stay , without hesitate . 
 Mar 14 2005 	 Decorated Closet ! ! 	 hotel like decorate closet space ! boyfriend attempt celebrate anniversary past weekend Hotel allegro . reservation two day leave one night dump ! high price space offer . must admit , read review prior make reservation . read small room internet picture make room appear romantic decide give try . , look intimate environment . Big Mistake ! ! wall thin reserve make love make noise . hear conversation go room next we . actual closet space small hung coat , door could stay shut , make even less room . we lovely view brick wall . ask upgrade , tell not well room available . soon turn irritated lack oxygen flow room , check early next day . aware hotels downtown space issue hotel allegro well overprice space . good thing hotel complimentary wine hour . would reccommend place stay anyone unless pay $ 60 less ! 
 Mar 9 2005 	 disappointing first visit Kimpton Hotel . 	 stay two night . register unfriendly desk attendant . cold . room , small closet even hold clothe pack two day . room stylishly decorate lack nice small touch extra pillow closet . attract hotel bar ground level - however go drink , door bar lock . call inquire sign say open really not tell short staffed , ' sorry ' . ? ? run ? hotel country 's third large city amenity open whim ? first last visit Kimpton hotel . 
 Feb 26 2005 	 outstanding staff 	 wife stay Allegro two day February , good stay ' ve ever Chicago , possibly good stay ' ve anywhere . tend try different hotel . past visit Chicago , ' ve stay Wyndham , Omni , Sutton Place , Fairmont , Hotel 71 , Swissotel , Radisson -- none even remotely compare service get Allegro . soon arrive , greet two people immediately take care car luggage . friendly , seem genuinely happy . talk one guy minute we laugh . lobby beautifully decorate welcoming . desk clerk get we check quickly helpful answer question hotel . get room start settle typical half hour wait get luggage , within two minute bellman already . call towel second day , arrive almost immediately . experience leave -- unbelievably fast service . call bellman knock door minute . wife look shock -- staff member personally assign we . get downstair , car already -- five minute call . well , everybody amazingly efficient , genuinely nice . include staff restaurant , lounge , evening wine reception . Vegas ever experience level uniformly outstanding helpful friendly service . everyone work extremely proud part amazing team service professional . make last visit Chicago good visit yet . wife say much appreciated . 
 Feb 24 2005 	 right ! 	 staff pleasant room lovely . definately stay Kimpton hotel future . little beat path nice , still near Loop want hit tourist stuff . excellent value money ! 
 Feb 19 2005 	 interesting experience 	 stay hotel fourth July holiday . not know fireworks downtown would hold July 3rd , arrive hotel late tired two child . call several time make sure room would hold ( since arrive 11 pm ) find check fairly good chaos downtown event . the room smalish . room 17th floor two double bed . bathroom nice aveda product bed comfortable . decor funky fun bowl tootsie roll lobby hit kid . find staff helpful ( sister leave contact solution car walk wild valet garage retreive little complaint ) . el muffled , could still hear approach train . corner overlook el say , hit kid . adult vegge kid sit window sill , fascinated train . say 's detraction ? arrive , air room hot . system appear fritz worker call immediately fix . crisp , room enough satisfy need family . be close enough walk everywhere ( mag mile , museum shopping ) el close trip . all , nice experience . clean comfy . nephew throw 5 minute check time , hotel tell we take time ask need help clean . town love charge late fee , nice bonus . 
 Feb 15 2005 	 February Weekend 	 wife stay 3 night February 4th . fairly quiet room 17th floor . complaint mention plumbing noise . hear water run toilet flush quite loudly . last year stay Burnham . nice hotel good location . get well rate Allegro time around . next time boil room rate . similar rate would stay Burnham . another great time Chicago . 
 Feb 2 2005 	 enjoy stay Allegro 	 lovely hotel ! stay Hotel Allegro November 2004 . room little small much not really important . Decor fun little touch well think . excellent spot , near shopping theatre essential . adjoining hotel provide lovely breakfast . would definately stay ! 
 Jan 14 2005 	 small old room fun place ! 	 closet room extremely small . not bother travel husband two we together would felt cramp . room old loooking , cookie cutter Marriott room . say , staff friendly helpful special request . evere wine reception great idea , lobby funky , good location . 
 Dec 13 2004 	 Cool Hotel 	 Fiancee stay Allegro last December 3 night ( 2003 ) impressed . upgrade room junior suite could not happy accommodation . large room front hotel spacious lounge area seperate bathroom en suite . location fine able walk everywhere want go . manage get look room near although decorate funky style range large quite small would find dissapointe . would suggest book check try luck upgrade room stay 2 night ask large room . the free wine evening nice touch . 
 Dec 8 2004 	 Neat hotel 	 stay one night business . impressed hip decor hotel . evening wine taste nice touch check . room nice , although clear wall thin could hear person room flush toilet . I would definitely recommend business . free wi - fi access nice touch . 
 Dec 3 2004 	 nice decor 	 price good deal . hotel decor nice contemporary . lobby nice wine hour every day 5 6 pm . financial district way away magnificent mile . room somewhat small , comfortable nice . bathroom must agree tiny . bathtub subpar sink / counter space . much time spend bathroom . stay two day move W Lakeshore ( cheap company pay W ) . w lot nice , also expensive . I would stay Hotel Allegro , picky cleanliness niceness . 
 Dec 1 2004 	 great stay ! 	 wife stay Hotel Allegro 2 day thanksgiving thoroughly enjoy visit . hotel decor funky different . room small not Chicago sit hotel room . lobby fun place hang , especially free daily happy hour . free internet right front desk great planning dinner trip museum . staff helpful . 
 Nov 29 2004 	 Teeny Tiny room 	 first time stay Allegro , give corner room , spacious , literally could turn around bathroom . past summer , give horrible tiny room . grout shower mold grow . never , ever ! 
 Nov 7 2004 	 really great 	 come back quick trip Chicago husband . city prefer stay Sutton Place , however wine taste event go within walking distance Hotel Allegro since like try boutique hotel think would give try . the lobby nice modern . good location theater district within walk distance MI Ave . room , however quite small . king size bed good ( bed little hard though ) . bathroom extremely small . give towel thin plush . big issue wall paper thin . early Saturday morning could hear entire conversation party next we try sleep late night ( sleep mean 8 ) . also try sleep clean lady try come room twice time 9 . be pretty safe say will never stay . 
 Oct 28 2004 	 good value weekend rate worth check . 	 stay weekend rate getaway . room decent unique decor . Bed & amp ; bathroom fine , need ? good tv wireless internet . hotel date Depression era ( stay 1980 REALLY funky Bismarck ) remodel modernize . issue elevator ... fast small , busy time get swamp . tip : go behind normal elevator take service elevator . be much large , fast , pop behind bell desk . wine happy hour evening blast wine steward lot fun . lobby decor funky fun , might find little strange . overall staff quite friendly helpful even though hotel busy . location convenient plenty ( typically expensive ) parking garage nearby . we get decent nightly rate $ 110 include rapacious Chicago hotel taxis & amp ; fee . ( 16 % ) true bargain hotel get rare Chicago one decent value downtown , especially good weekender rate . 
 Oct 24 2004 	 great staff Attention 	 spend long weekend Allegro staff go way helpful . find hotel room 18th floor clean white fluffy towel comfy duvet cover nice change usual hotel spread . location great could walk great restaurant site . take taxi tired walking . free wine lobby 5 pm welcome treat end day dinner . agree wall thin talking hear next room cleaniness great staff make place return . 
 Oct 18 2004 	 Awesome Allegro 	 spend long weekend Chicago Hotel Allegro . moment arrival last minute departure find staff warm , friendly , professional , always go beyond call duty . our room tastefully decorate duvet cozy . bathtub drain need attention leaky toilet electrical plug lamp work .... otherwise winner ! will return ! 
 Oct 13 2004 	 Hotel Allegro Chicago 	 hear come Chicago stay Allegro Hotel think Yipee ! last time stay great time time . the conceriege helpful direction . check quick . no view ' okay quiet . room cool- art deco style . Cool Disturb Jazz room tag door . fantastic work room . machine 's flat screen . I forget sweatshirt . call housekeeping Julia take ball run . 10 minute later show door followup call make sure get it . lovely lobby . overall FANTASTIC ! ! ! leave car home take loop station close Chicago offer . 
 Oct 5 2004 	 Long Style Short Everything Else 	 Hotel Allegro positive go . first , get lot point style - unique decor , fun activity like wine hour , gourmet coffee room , theatre district location architecture . but hotel , basic sub - par price . room tiny . run - of - house one bed room queen bed , king . bathroom cramp understocked . most important - report review , concur wall thin . fact hear regular conversation lot sound room next door many occasion . one would think would bothered re - insulate wall rehabbe building , apparently do . alone assure will not stay . 
 Sep 15 2004 	 Thin Walls 	 Cool hotel ... hear neighbor . twice . think first time fluke hear neighbor go . Yuck . could hear entire conversation , people loud . ask change room management accommodate . not think would ever stay . one good think hotel . pet friendly ... Hotel Monaco much nicer . 
 Sep 14 2004 	 Hotel Allegro great place stay 	 Hurricane Frances scare we away original vacation plan Florida decide visit Chicago instead . make reservation Hotel Allegro day arrive . stay Kimpton Hotels previously , first stay Hotel Allegro . Hotel Allegro disappoint we . funky , spacious room 18th floor . like Kimpton Hotels , front desk service wonderful concierge . problem noise . location perfect public transportation within 3 block . highly recommend Hotel Allegro . 
 Sep 14 2004 	 Loved Allegro 	 group 10 travel Chicago recently spend 3 night Allegro . love friendly service check helpful concierge . room small fine . location perfect . walk magnificent mile ... Sears Tower take boat tour Chicago river . would definitely go back Allegro ... also wine hour every night . enjoyable trip . 
 Sep 14 2004 	 Loved ! 	 let other know stay Hotel Allegro Loop section Chicago great . room fun , hotel staff excellent ! ! ! read mixed review stay great ! ! everyone give hotel try . Kimpton Properties . 
 Sep 7 2004 	 Visit Wine 	 stay 9 day service outstanding ! . upgrade suite price without even ask . wine 5 - 6 pm hour great way meet people atmosphere right . recommend hotel look value buck ... extremely picky stay RITZ . 
 Sep 1 2004 	 Ssssh ! person next door might listen ! 	 stay several hotel time business traveler . first time feel like actually share hotel room next door neighbor . wall hotel thin clearly hear conversation go room next door . tell secret hotel . 
 Aug 30 2004 	 cute little hotel 	 husband decide go Chicago 2nd anniversary , never year back stay Palmer House Hilton ... think overprice old got . research numerous hotel area . want reasonably price , cute , quaint , hotel different atmosphere decor . get . horrified read review book spend soo long review spot book . get hotel greet wonderfully even step cab bellman ... promptly take luggage ... probably want tip , tip . lobby cute , average boring decor hotel . room small , need ... bed shower , right ? go day day would get home enjoy 5 clock free wine hour retire room ... find plenty space clothe hang itme although closet small . bathroom small ... counter room toiletry . clear little decor counter sink put thing . room hot ... like cold night 68 - 72 degree preference set 65 scorching . enjoy hotel . many place Chicago would not stay not like go spot twice . look huge nice luxury room not stay ... not mind quaint romantic small sized room 's bit old stylish decor place stay . nice time allegro .... fun ! 
 Aug 23 2004 	 great place stay 	 stay Allegro several day August 2004 would defintely stay . large room huge bathroom , although property convert theater room may vary size layout . lobby comfortable big sofas chaise lounge , nice place enjoy simple ( 2 choice , munchie ) pleasant wine reception . night , much go immediate vicinity , theater traffic , be short cab ride Michigan Avenue shopping River North restaurant . 
 Aug 23 2004 	 not believe hype ! 	 frequent traveler Chicago , generally stay Sutton Court , thought would try different boutique hotel . never stay hotel . first room bring -- standard room -- glorify closet , leave absolutely claustrophobic ! actually small hotel room ' ve U.S ! complain front desk , moved & quot ; premium & quot ; room -- still quite small , manageably . bathroom tiny , without vanity , make difficult put toiletry room . location leave much desire , room look directly onto El ( elevated subway - background noise ) , street pretty desert Sunday evening . say free wi - fi great . find chain hotel close Michigan Avene , would highly recommend take . want nice room great location , check Sutton Place hotel instead . 
 Aug 18 2004 	 Great Surprise 	 wow , wife go chicago weekend 1 year anniversary . great time hotel allegro staff awesome . love place , tell old , refinish . first night stay small room , nice cozy ( small ) . ask john front desk next night could upgrade we anniversary . take care we move saturday walk huge awesome suite 12th floor , place posh . 2 flat screen tv 's , jacuzzi two , california king pillowtop ( first night ) window around . would highky recomme place . find expedia.com 96 night . also recomme bar downstairs ( encore ) killer shake martini 's . also recommend great italian restaurant call Pene Caldo , nice anniversary dinner . Allego awesome spot right theatre district ( $ 5 cab ride anywhere downtown ) . preconceive notion , nice surprise . 
 Aug 16 2004 	 Nice Lobby nice room 	 stay 3 night anniversary . go thier website impress . arrive , lobby nice staff friendly . convienent location able walk everywhere . room another story . carpet soak water air conditioner . 1 outlet entire room connect lamp . bathroom 1 outlet well , toilet bunch crack . not care room . worth $ $ 
 Aug 16 2004 	 Good Service 	 spend 3 night Hotel Allegro 6th 8th August . book room thru Expedia . however , check , reservation find . staff friendly arrange new room time . top , even let check room right way ( 7 ) . doorman T.J. helpful . the room allegro small sister hotel Monaco ( room Monaco cost 50 % high Allegro much big ) . addition , traveller also mention , wall thin Allegro . , bring CD really must . general , Allegro good value money . 
 Aug 13 2004 	 great value fun hotel 	 spend four night August 2004 Hotel Allegro . choose hotel central location theatre district Chicago ( close two El station , 5 - 10 minute walk excellent Millennium Park ) low price - c. $ 100 per night incl . tax . room quite small ( large one available , check late ) perfectly pleasant , fun touch bright pink wall cd player . also pleasantly quiet , despite locate opposite elevator ice machine room . hotel offer free wireless internet area , include guestroom , complimentary wine hour 5 - 6 pm spacious lobby , feature velvet couch , candle open fire . hotel also lively bar good italian restaurant . staff encounter extremely friendly helpful . , happy stay Allegro , would recommend anyone . 
 Aug 12 2004 	 good 	 read many mixed review website reluctant keep reservation , glad . yes , room tiny not view , heart city not spend lot time room way . one plus room bed super comfortable . location great ! short walk blue line go o'hare . save us lot money rent car parking ! walk new Millennium Park couple minute . also , great Chicago pizza hot dog block away . finally , Encore lounge hotel roomy good drink . 
 Aug 3 2004 	 okay special 	 expectation may high arrive , review make sound like really wonderful place superior service . think average place , average service overprice decor . sure , cute stylish , day would gladly trade fancy lobby english muffin glass OJ morning . nobody like ugly bed wallpaper average Best Western , nobody like pay $ 2 grocery - store croissant either . the room clean comfortable , plenty large enough couple enjoy long weekend . not know get size room everyone else seem think tiny , fine we . view terrible , go to - 's city , side building face building . my main complaint neighborhood . be come week see show theater district , might good option . otherwise , expect absolutely nothing open weekend - restaurant , bar , shop . even bar connect hotel open visit , really want $ 8 martini anyway . want shop enjoy variety restaurant , recommend River North neighborhood . see plenty hotel around area wish stay instead . also terribly impressed service . realize LOOKS 4 - star , not pay 4 - star room rate probably not complain . , nearly miss train try retrieve luggage storage ( since check prior time leave ) bellman go lunch nobody handle customer absence . check , not tell anything , i.e . concierge , gift shop , fitness room , etc . turn fitness room close remodeling , nobody mention . get enough exercise hoof across town get affordable food drink , anybody interested work on - property might issue . it not mean terrible place , mind . need cozy place rest head off - broadway show , Hotel Allegro might place . 
 Aug 2 2004 	 terrible night Allegro . 	 review sound cool , room HOT ! tell we nearly 2 hour work get room cooler ( feel 80 room , swelter heat ) . never get cool ! , ice machine keep wife awake untiil least 3:00am . & quot ; Premier & quot ; room ( & quot ; supposed & quot ; 440.s.f . could not 350s.f . include ! ! 8x10 , separate door , un air - condition closet ! ! ! add $ 34.00 valet parking value go way . sorry , maybe look elsewhere next time Chicago , . 
 Jul 29 2004 	 Cute Place ! 	 love hotel ! great location , feel safe ! Bell Staff great ( Tony ) , Front Desk could learn bit extra friendly though . room small , cute ! love furnishing Aveda ammenitie ! even though room small find cozy ! wine hour cool concierge owe big time get free ticket see OPRAH ! ! ! thank much ! warn say hotel watch long distance charge phone use computer connect Internet . phone bill control negotiate front desk help ! great hotel , cute room , great location ! bar restaurant great well ! ! 
