worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 May 31 2006 	 Excellent Staff Location 	 wife stay Hotel Nikko May 19 May 21 . check 11:00 a.m. greet friendly clerk name Juan . tell we room ready upgrade . room good - sized San Francisco standard , clean nice view . moreover , excellent stereo make time room even well . hotel 's Union Square location superb . also starbuck adjacent hotel . highly recommend Nikko . 
 May 30 2006 	 dirty ! 	 big pet peeve travel cleaningliness . soon walk bathroom , hair toilet , floor even bed sheet ! debris carpet . housekeeping spend 2 minute room ! good thing hotel bed . comfortable . channel guide TV would nice . free highspeed internet would nice . company spend much money . worth ! future stay SF think would stay best western Tuscan Inn . fellow company traveler stay seem get well package deal ! clean room , excellent breakfast , perfect location .... stay ! 
 May 28 2006 	 nice hotel 	 nice hotel ! modern clean . Atrium pool whirlpool wonderful view city skyline . nice decor staff , friendly helpful . convenient everything San Francisco . stay one week . 
 May 23 2006 	 bad Hotel experience Years ! 	 typically spend 7 day month 2 - 3 different hotel around world business purpose . Hotel Nikko San Francisco far one overall bad experience ' ve 3 year . call day arrival ask would possible early check tell would problem . next day arrive 11:00 thwey say room available could give access & quot ; spa & quot ; time could shower freshen meeting . ask could upgrade room open , rudely tell luck . give key went & quot ; spa & quot ; find shoddy hotel workout room defunct key would not let men locker room . go back front desk , wait line 20 minute whole time woman speak see , get re - issue key , return . finally , floor look though have not clean week . green grime rust water handle spout , typical something one might see County Fair bathroom . 2.5 hour later , call cell phone front desk staff say room available . return hotel go room . & quot ; Welcome Hell & quot ; scrawl front door . carpet look though use store dirt bed sloppily make though walk someone take nap . see could almot span arm wall wall , room , , uncomfortable . decor belong Brady Bunch , matress probably era . bathroom , toilet run constantly woman 's hair plaster side tub . know conference town hotel immediate area sell . otherwise would second . say however , bellstaff friendly accomodate . would recommend hotel anybody , unless course be look disgust repulse . 
 May 20 2006 	 great deal great hotel 	 book vacation travelocity get really great deal hotel nikko . not quite sure expect pleasantly surprised . beautiful lobby , beautiful room . staff pleasant friendly . receive king size bed request room bit small , bathroom large closet armoire good store thing . ninth floor decent view powell street Macy 's , part thing quiet . rarely hear people minimal street noise , never bother we sleep . starbucks downstairs lobby . would definitely stay , especially good deal . Location Union Square definitely way go - 3 - 5 minute walk powell street square , 2 block market street muni station . 
 may 15 2006 	 well 	 boyfriend stay hotel year back . room feel small cramp . time however , room quite bit large , bathroom large tub separate shower stall . like toiletry provide . believe high quality due fact try purchase Gilchrist Soames website do research product . staff friendly efficient except replace handtowel shampoo bathroom . call housekeeping immediately bring room . hotel quiet , room little worn . location hotel great . 
 May 7 2006 	 Perfect Hotel Weekend City 	 recommend hotel excellent mid - range , full - service hotel . ask high floor give nice room 17th floor wonderful view city . room simple , yet adequate furnishing , clean quiet . service courteous prompt . although room floor occupy , never see hear guest floor entire three night stay . we enjoy complimentary fitness center fifth floor , complete glass - roof swimming pool jacuzzi area . locker room also sauna soak tub . location ideal . couple block Market Street streetcar , Union Square cable car . the reason hotel not get & quot ; excellent & quot ; rating not perfect , yet still nice hotel . tthe room slightly tired looking . example , carpet little threadbare place , towel high quality , t.v . little small modern four star hotel room , toiletry item high quality . really complaint , however , explanation not give fine hotel high rating possible . hotel good value , enjoyed definitely stay . 
 May 2 2006 	 Perfect location ! amazing stay ! 	 stay Nikko April 28 - 30 . hotel perfect location . everything within block walk distance , easy find not worry getting lose . expect pretty hotel picture not disappoint , extremely nice . ' ve see previous review traveller say feel hotel not & quot ; home - y & quot ; staff not cordial . not expect hotel feel like home actually relieve see staff not bug face time . need help question staff happy help we , excellent service , let we enjoy stay without bothered . one thing ... maid service not turn bed ask extra towel , one bathroom . the room not olympic sized , 's perfect size two people . ample room luggage never felt cramp . 18th floor , unfortunately view hotel across street . not go San Fran gaze hotel window anyway : ) concierge lady extremely helpful cute little lady gift shop sooo nice . we love stay hotel definitely return . would not stay anywhere else San Francisco due Nikko 's location good price amazing hotel . 
 Apr 22 2006 	 Fabulous 	 husband stay Hotel Nikko , SF Easter weekend . arrive schedule check - in time flight delay . arrive , front desk staff inform we Deluxe room available we . put we Executive Suite 19th floor night . view city amazing . call front desk next morning find would move , inform we welcome stay suite remainder stay ( 2 night ) . hotel extremely clean staff friendly helpful . Jackie Conceirge Desk excellent . know city well able answer question point we right direction every time . would highly recommend hotel anyone visit San Fransico . hotel bit old , decor simple elegant location fantastic . five star Hotel Nikko . 
 Feb 3 2006 	 Ideal Location Great Value 	 find Nikko on - line specifically search hotel close Union Square indoor swimming pool son practice . photo Nikko look nice , location price right , book . pleased service . bellhop , doorman front desk friendly accommodating . room decent size big - city hotel bathroom oversized wife love . location ideal . short walk Union Square convenient everything else trolley bus line two block away . son LOVED enclose rooftop pool not crowded , fact two night one . eat restaurant twice find food service good . waitress chef especially accommodate son order something not menu . problem ever encounter long queue catch cab front hotel . find well hail one around corner wait bellhop try whistle one . love Nikko stay next time visit San Francisco . 
 Jan 20 2006 	 nice hotel need makeover 	 opportunity get away San Francisco day . stay hotel past enjoy immensely , look forward return visit . with rainy January predict , look specifically downtown hotel indoor pool . match could find hotel , Courtyard Marriott , Palace . three , one conveniently locate Union Square . since last visit , hotel still nice , need upgrading . noticed area room could benefit fresh coat paint . mattress bit soft . personally prefer firm mattress . pillow top bit soft taste . entertainment center could use replacement , space large television . be since ' ve stay hotel caliber 19 & quot ; television . because book place specifically pool , kid great time . pool seem issue temperature , though . first night , pool need warming . day fine . hot tub range lukewarm hot . fine tune spa temperature would great . sauna working condition , big bath locker room think mean large japanese - style communal bath non - functional . room locker room call kamaburo think suppose warm moist sauna , either not work , be mean something else . look like room rocks plank slab lay room not particularly warm . if , would probably select one hotel . Courtyard rate high , inconvenient location . Palace relatively conveniently locate , also expensive . hope Hotel Nikko get much needed upgrade could clearly good choice little work . 
 Jan 3 2006 	 Boring Choice 	 hotel zero charm ambiance . location good want near Union Square 's . get room $ 100 hotwire tiny . will need pay least another $ 20 night get room big enough move around . forget pay $ 45 park hotel ; right across street public parking $ 28 day . 
 Jan 2 2006 	 expensive ` ` Deal '' 	 book hotel Hotwire think good deal . ha ! upgrade room little large one queen bed cram inside pay valet parking double cost stay . nothing complimentary Hotel Nikko beyond shampoo towel . hope adjoining room dice . lucky next door kid . the concierge staff helpful bellhop staff stand especially friendly . the one big perk place offer really nice indoor pool hot tub . maybe will stay will know expect add expense . 
 Jan 1 2006 	 ruin new year 's night 	 friend rent room , tell register key holder allow bring guest hotel , long together . party hotel room , go watch firework Embarcadero midnight . return , security guard tell we could bring one guest per register key holder . 5 unregistered guest we . throroughly unwilling work we , even allow we go grab thing leave room ! time , less , guest stream , one check key . bring , security personnel rude , tell we do not ' like rule , not stay . not already pay room , would happily leave . continue question policy change , instead talk we come agreement , call cop we . , teacher , arrest argue security ? ludicrous ! think realize , cop arrive , security say issue resolve , fact , nothing resolve . far bad experience ' ve hotel . ask secrity guard would file complaint , told & quot ; complain whoever want . & quot ; never return . 
 Dec 15 2005 	 underrate sure . 	 search hotel San Francisco December shock many expensive hotel indoor pool ? ! indoor pool Nikko great glass enclose allow view city . never mention ? room small , expect amenity : real room european roast coffee , plenty linen etc . staff almost understate , certainly obsequious never rude unhelpful . hotel literally surround great restaurant every price level ; course , Starbucks . finally , wireless access gorgeous 2 story lobby free internet access room . quiet hotel matter lot traveler . hotel room probably carpet change plumbing unenthusiastic acceptable . room service lightning fast completely ridiculous price . easy improvement would robe room . deficiency would feel different pay $ 160 . hotel meet need make sure get good price ! 
 Nov 19 2005 	 least Starbucks ... 	 boyfriend stay Hotel Nikko week , begin November . overall , experience incredibly ... average ( little average ) . room , although incredible view , definitely show wear bathroom ... well , little dodgy . 's free internet access , find pretty unusual since 's business - friendly hotel ( pay 9.99 day room ) . upside , location hotel convenient Starbucks downstairs . , would not recommend hotel friend , return . 
 Nov 8 2005 	 well ... 	 great location , be . hotel room nice , begin show age . thermostat room work uncomfortably warm ( could not sleep ) 4 night . Thermostat set 64 deg room 74 deg wake . report problem front desk day 2 . return room find thermostat set 60 deg , room still warm . never address problem , tell we ' sorry ' check . well choice around Union Sq anyway , reason go back Nikko . 
 Oct 19 2005 	 Nikko 	 husband meet friend SanFran , fly London . book Nikko part vacation package excite stay 4 star hotel . location good , locate right Union Square . although initial appearance hotel seem nice , upon close inspection seem considerably worn around edge . carpet filthyand everything cheesy sort dingyness . upon check - in , front desk ooze kind insincere niceness make skin crawl . ask upgrade ( state would pay difference ) order allow friend stay we , alternatively another room . coldly quote we $ 300 additional room , would offer upgrade ( except charge $ 250 ) , would supply roll away cot order include room , state room small . kid . , without doubt small hotel room ever see . barely enough room turn around . room regularly book close $ 300 ! thank GOD get part package . far view , stay 22nd floor another hi - rise hotel stare . say gentleman help we luggage help arrange transportation genuinely nice helpful . 
 Oct 17 2005 	 enjoyable stay 	 husband stay Hotel Nikko San Fran Oct. 13 - 16 . San Fran extended weekend sight - see R & amp ; R. little hesitant , however , read negative review forum . greet courteously check - in .... room ready go . way , lobby absolutely stunning , beautiful mixture cool marble , fountain , funky fabric lamp . room 21st floor , Nikko Floor . worth upgrade . room spotless , view great , big bathroom glass - sided shower full tub . mind , be huge room , comfortable stay . Daily buffet breakfast also come room . bed king - size , comfortable , super - soft linen . housekeeping phenomenal . keep we fully stock great little citrus shampoo tea - infuse soap ( great ! ) , Wolfgang Puck coffee . nice touch turn - down service well . hotel completely quiet . idea anyone next we . slept great every night . room also fully stock mini - fridge : beer , pop , candy , chip , name . back breakfast buffet .... excellent service every morning . People friendly . fresh fruit , egg , breakfast meat , many thing mention . fantastic . time stay encounter type rudeness staff . not happen . fact , opposite . pool jacuzzi also great . never crowd , feel like whole place . location hotel could not well . walk everywhere . bring good shoe , however ! great restaurant step away . yes , beggar street people right outside hotel , find metropolitan area size . 's offensive , probably will not city visit . back restaurant , be great little Thai place street call & quot ; King Thai Noodle & quot ; . cheap , great food . , great trip San Francisco . ever come back , definitely stay Nikko . could well . 
 Oct 6 2005 	 Excellent Choice ! 	 stay 3 night Room 2310 ( 2 double bed - large room ) , go Napa Valley couple day return room 24th floor ( king bed little small room ) . floor part & quot ; imperial Club & quot ; executive level well worth $ 260 / night deal find - include free breakfast reception room 23rd floor , wine 5 - 6 pm , cookie soft drink leave around 11 pm - room also 3 computer available free use well shelf book use . recently remodel impressive large flat screen tv even small flat screen tv bathroom mirror - many channel though . bathroom huge walk - in shower separate tub shower handle . another unique feature room doorbell - inside unit part thermostat control button & quot ; disturb & quot ; & quot ; please clean room & quot ; . another featture have never see not know work soon take something ' fridge charge bill - ' fridge stock lot great stuff - include disposable camera ! - sure want remove ! ! thing would expect price : robe , nice towel , plenty lighting ( oh dimmer almost light ) , even wine glass ! great hotel japanese everything write japanese english alot staff speak Japanese .. impressed ! speak impressive drink bar / restaurant top Hilton next door great view ! ! 
 Oct 4 2005 	 Impressed 	 due schedule trip Nappa need stay 3 different San Fancisco hotel week half . nikko final stop 2 day , highlight hotel trip . disapointe . arrive find , exageration , sheet bed dirty . call room service change sheet meet friendly response hour return call housekeeping inform we never recieve request . call front desk tell contact housekeeping manager . call tell dinner would call back . another 45 minute call , explain need sheet happy put ouselve . sheet arrive 30 minute later , although housekeeping manager come personally appologize seem Nikko 's reputation . small room , stain tub , crack door bathroom . stay cheap nice hotel early week . will not return Nikko next trip . 
 Oct 4 2005 	 showing wear 	 stay conference Moscone Center . hotel great location 12 minute walk distance Moscone Center 2 block Union Square . park $ 45 / day . staff friendly . front desk clerk advise put nice room 12th floor . clean small expect small NYC . king bed firm wife think could feel every spring . slope side near television indicate age . linen old wear include sheet bedspread . pillow thin . towel like white gym towel . fax machine make noise odd hour use . cool system seem operate matter thermostat . room quiet hear thump two next door time 5 day stay . concierge excellent , make good restaurant recommendation . would stay would first choice . 
 Sep 26 2005 	 fall hard time 	 wife hear good thing Hotel Nikko excited stay . upon arrival , find , suite book single room . addition crib ask , roll - away bed take remain floor space small room . could not get entry hall . calling desk tell room reserve . point ask roll - away remove , figure would room little anyway . two hour later , hotel staff arrive remove bed . room disappointing , nice view downtown ruin dirty window . additionally , veneer peel entertainment unit front , make look run . throughout stay , window never get clean ( daily request ) . bathroom towel thin Motel 6 . room service slow . issue bring management 's attention , show tremendous indifference . hotel rate $ 250- $ 350 night range unacceptable . positive breakfast serve Anzu , well do attentive friendly staff . there many nice hotel San Francisco . go Hotel Nikko , long one . 
 Sep 25 2005 	 Nikko = ick - o 	 stay Hotel Nikko weekend Sept. 24 & amp ; 25 . first impression good - nice lobby & amp ; lounge area , clean look , nice waterfall , chic modern . check pretty simple , optimistically head room - 8th floor , bit low have like . to begin , room small .... smallest ' ve ever stay . small , call front desk make sure indeed get ' deluxe ' room . anything could easily call ' closet ' room . whole room , include bathroom , maybe 300 sq . ft , be probably generous . must like thing small . 's huge armoir foot bed , tv cabinet door close . big enough fit least 32 & quot ; tv , ' m think ' cool , good size tv ' . open door find 19 & quot ; tv , dwarf massive cabinet sit ! bed thoroughly mediocre . king size bed , bite stiff side . pillow small , fluffy , sheet white , well , plain . really rough , really soft . kind Motel 6 - ish . the big complaint room grubby . stain carpet , chip paint door door frame , peel wallpaper corner bathroom . make mistake use white tile grout bathroom floor , grout middle room dirty grey color . be go use white grout , be go clean ! bottom tub - look like lot people use since clean . shower like greenhouse mister shower , thank low water pressure shower head . overall , high expectation , give rate 4 - star . way . way , even close . mediocre 3 - star good . not completely negative , location good , near Union Square , lot good restaurant within couple block ( mean short walk cold weather , homeless people dodge ) .The one thing book room Travelocity , hotel directly , get great room rate . can not help wonder would ' ve well room high floor would book directly . , will never know , will not go back Hotel Nikko , regardless book . 
 Sep 21 2005 	 terrible . period . 	 reasonable tolerant person , stay Hotel Nikko miserable . room ready 2 pm day checkin , wait 2 hour room ready . get room , bathroom odor could quite place . aid clearly uncleaned bathroom table surface . room . town conference , need phone internet connection , simple requirement hotel price range . cordless phone work . speakerphone , resort , similarly useless , party end could barely hear speak . internet connection , also , work . ex - it consultant , every conceivable basic troubleshooting step first step . none work . call front desk , advise use ( broken ) phone call outsource company ( Utah , joke ) fix clearly local problem . 30 minute hold , tell would call back , tech busy . I call front desk , tell leave dinner , permission enter room need fix issue , absolutely need upload work ASAP . 6 hour later , return room find problem exactly , voicemail ( indicate tech support company Utah return call ) . call . 15 minute hold . tech 6 reset equipment , problem still solve . naturally , call front desk complain , see 11 pm . instead fix problem , manager say & quot ; wait tomorrow morning 7 business center open & quot ; . see work need upload 6 hour ago first bring issue attention , quite unacceptable . manager refuse move another room , refuse anything fix problem , say person hotel complaining issue , proceed hang . not know model customer service Hotel Nikko build , ' m pretty sure never stay . ' ve warn . 
 Sep 7 2005 	 Awesome hotel chic vibe ! 	 stay $ 85 priceline bid love ! location : AWESOME ! like 2 block Union Square Market Street . feel well stay block Union Square less noise tourist . lobby : chic subtle japanese touch . lose white marbe brass accent cool fountain run stair . plenty plush seat hotel modern art galley lobby . checkin : desk staff pleastant , overly friendly . mention Priceline recieve 2 room 2 double bed , non smoking ( request ) elevator : Quick ! never wait 1 minute elevator ever 3 night stay unheard big city hotel . room : room average nice inviting . ' m pretty sure give Priceliners room need servicing . nice , clean ( red candy embed carpet dusty air duct bathroom ) . call housekeeping thing finally take care satisfaction . bed comfortable bed ' ve ever sleep ( try Hilton SF amazing bed ! ) decent good quality linen . desk fax machine telephone , coffee maker , mini bar , cable tv include . view hotel next door , wall wall windows give excellent sunlight . oh , keep mind hotel use digital disturb sign . panel outside room light active inside room . bathroom : AMAZING HUGE ! bathroom easily 1/3 size sleeping area room . seperate glass shower bath , plus wide marble vanity great . everything seem bit date clean . towel big plush , plenty . toilitrie would expect hotel caliber , average . pool : awesome pool hotel SF , almost never happen ! pool small clean . avoid hot tub always thing swimming bacteria know . tanning booth order dismay . sure check poolside balcony great view . Fitness Center : small plenty equipement towel . free we , not think charge people anymore even though say guest book . locker rooms nice sauna ( steam room ) pretty clean . TIP ! ! ! ! hotel would like pay $ 10 + per day internet ; however , bring laptop ( wireless card ) pick free signal neighboring hotel like Kimpton propertie Hilton . additionally , walk Apple store 2 block away . lounge upstairs people chill use laptop . oh , Starbucks site mad busy morning . avoid go elsewhere . would reccomend place , hope enjoy stay happy travel ! 
 Aug 31 2005 	 ideal first time visit San Francisco 	 stay Hotel Nikko mid - August arrive morning flight 12:30 . Taxi airport cost $ 36 . & quot ; room ready early occupation ? & quot ; & quot ; Naturally ! & quot ; . room 17th floor elevator efficient . room super clean , view look cloud . hotel right next turn around two cable car line 200 yard Union Square . apart ten beggar around place , appear safe neighbourhood easy walking distance many bar restaurant shop . staff great , little reserve compare every Californian meet . town car back airport cost $ 40 , driver chatty employee hotel . check check - easy . 
 Aug 6 2005 	 go 	 stay 2 night . awesome . location great , convenient go shopping access transportation . service fine , staff friendly . room awesome . get 2 - double - bed room . spacious , clean bright ! stay Hyatt Regency ( Embarcadero ) ( also 2 - double - bed room ) 5 night move Nikko , maybe be great impression first enter room Nikko . bathroom tidy bright spacious ( especially compare Hyatt ) really important . thing would complain tv bit small . 's great price awesome . would like stay . 
 Jul 23 2005 	 Average Hotel Wonderful City 	 upon arrival 3:00 p.m. , five - day stay , tell room would availble 8:30 p.m. , delay flight . registration staff insist way provide room , despite fact aware arrival three month pre - pay Expedia deal . give complimentary pass breakfast vip lounge compensation . anzu restaurant quite good , swim pool / fitness area first - rate , Union Square area ideal . staff generally friendly ; however , forgot make room one day . front desk staff seem puzzled issue . room plain , fancy toiletry , surprise , still make 18 - inch television monitor ( oversized stand really emphasize smallness television ) . bad hotel , city like San Francisco , many well choice . 
 Jul 23 2005 	 BAD service around 	 honeymoon past week . think Hotel Nikko would perfect we , sleek modern Japanesque setting . totally disappointed . room filthy , hot water . hotel management help . decide call four season amazing . $ 100 difference per night . well worth ..... 
 Jul 20 2005 	 Ups Downs San Francisco 	 stay Hotel Nikko San Francisco wife July 17 - 19 . choose Nikko specifically marry Hotel Nikko Japan celebrate anniversary . stay start somewhat unpleasantly front desk staff arrival unfriendly . approach front desk check , man behind counter look we angrily say , & quot ; uh uh uh & quot ; motion could come close counter middle something else . remind past encounter customs government official request stay behind yellow line . wife whisper , & quot ; can not even go near front desk ? & quot ; finally , allow check . person check we behave somewhat arrogantly condescendingly . start explain request room upgrade use Japan Airlines mile , snap , & quot ; know sir , quiet work finding room . realize sir one - thirty afternoon check - in time three o'clock , lucky find room all . & quot ; Needless say , initial impression positive . take elevator room 20th floor . upgrade Petite Queen Deluxe room dollar per night use mile upgrade Junior Suite . room spectacular arrive bottle champagne card management wish we happy anniversary ! facility average . room clean good condition although fixture , furniture , appliance , etc . probably update 10 - 15 year . fitness center pool also nice complaint . , late equipment , everything clean working order . hour room tour city , mood change Hotel Nikko 's stock move book . room include breakfast , unfortunately Mr . friendly front desk fail alert us breakfast coupon folder room key coupon , make mistake order room service breakfast -- thinking include . well , would include order & quot ; continental breakfast & quot ; , since check box & quot ; japanese breakfast & quot ; pay additional $ 80 ! breakfast tasty , cost fabulous dinner enjoy night ! anyhow , find breakfast coupon later day figure go restaurant anzu breakfast order continental breakfast room service . explain plight front desk say could not help ... s.o.l . fork money breakfast . say , & quot ; well okay , partly mistake could deduct cost continental breakfast outrageously price japanese breakfast ? & quot ; answer : ! see Hotel Nikkos stock book appreciate rate internet IPO late ' 90 , also witness crash like one get audit cooking book . leave enjoy city , ride cable car , shopping , eat seafood fisherman 's wharf gradually forget breakfast mishap . return Nikko absolutely fabulous dinner anzu . aged beef serve japanese style wife sushi . pleased dinner service ANZU . opinion Nikko move come slide back moment later concierge , sip champagne friend ( stop hotel razz work rest friend celebrate something ) . ask concierge know good place get drink japanese karaoke box area say could not make recommendation . imagine concierge busy friend mention tavern area open phone book make call karaoke ... couple drink pub across street enjoy rest evening . check next day fortunate get japanese staff . live Japan ' m well aware many drawback , outstanding customer service one . take care everything efficiently , accept air mile without incident , even discount room service breakfast . trip end pleasant note give Hotel Nikko San Francisco above - average rating without hesitancy . perhaps misguided expectation Hotel Nikko San Francisco would able provide we amazing customer service receive Hotel Nikko Japan . fact , service Nikko bad normal standard . good location facility clean staff highly professional . recommend stay Hotel Nikko , would avoid short patience . 
 Jul 4 2005 	 Great Hotel ! 	 stay Nikko Floor . room fantastic . clean . comfortable . nice view . exceed expectation across board . Word caution - thermostat IR sensor shut climate control no - one room . happen place bag block thermostat 's view room ... 
 Jun 29 2005 	 enjoy stay much 	 travel extensively stay type place -- dumpy luxurious world . refuse pay $ 300 night two room . stay Hotel Nikko delightful . two double deluxe room family four 15th floor . manage get room close together special request . room spacious clean . picky bed find bed comfortable . hotel long brand new room lovely wallpaper beautiful marble bathroom . price pay , could do well downtown San Francisco . like well Fishermen 's Wharf Hyatt stay two year ago . ( Seattle , require coffee pot room bug Hyatt -- coffee pot room Nikko little coffee maker . receive newspaper everyday -- love . ) street people Seattle use affect enjoyment city walk everywhere . location perfect . I also picky noise . could stand night spend fancy Fairmont Olympic downtown Seattle traffic noise . Hotel Nikko quiet . my complaint window really dirty outside lovely view city like look mud . need get window cleaner . 
 Jun 28 2005 	 Nikko work great ! 	 partner stay Hotel Nikko past weekend gay pride weekend . hotel centrally locate , one block union square , next public transportation . ask receive room view nob hill , consierge helpful , room clean . problem limit late night room service menu ... offer three four item . arrive , chip stale salad not fresh . next day upon check front desk person appologetic take half meal price . warning parking cost 44.00 per day , privledge . great stay overall . 
 Jun 22 2005 	 alright ! 	 lot bum ... watch , aggressive , one even follow husband Starbucks ! bed uncomfortable ! stay 4 night , one good night rest ! nice hotel though , good staff , clean ! close Union Square ... think would stay Fisherman 's Wharf side though ... many homeless people hang around hotel side San Fran ! 
 Jun 22 2005 	 could not happier~ ! 	 past review , little afraid book Petite Queen room pay little extra King Suite room could not satisfied . boyfriend love spacious room service front counter well parking area polite helpful . especially impressed interior designing hotel bathroom HUGE clean . also love close hotel everything . definitely hope go back Nikko hotel soon ! 
 Jun 19 2005 	 could not get well location ! 	 stay week great location near major attraction City . never walk block great food ( lori 's breakfast must ! ) , cable car ( Powell / Mason get Chinatown Fishermans Wharf ) good shop ( Union Square ... Macy 's ) .room small clean tidy , would definitely recommend want somewhere central . 
 Jun 15 2005 	 great location neat space 	 book Hotel Nikko Expedia get great deal . although room small , perfect one . bed comfortable , water pressure strong , room neat clean good night 's sleep . love decor public area Japanese feel hotel . public transportation easy Powell Street MUNI stop 5 minute away . would definitely stay ! 
 Jun 14 2005 	 definitely four Star ! 	 Hotel Nikko fabulous location picture web lobby public area quite nice , beware standard room ! zen experience mean . carpet stain , furniture chip , bed linen atrocious counter bathroom fill soap ring evidence one many traveler . ( also , cd player advertise ) . complain state room fact hair bed pull back linen , refuse move different class room without additional charge $ 40 . send head housekeeping room , finally agree front desk place one Nikko floor ( top two floor hotel ) . room spacious quiet furnishing color scheme quite nice . bathroom 3 separate room : toilet room , bathtub shower room , door open double sink area . money , stay Nikko floor . expect luxury comfort , however , stay somewhere else . SF way many nice hotel area pay kind money . 
 Jun 7 2005 	 Hotel use 	 use go San Francisco regularly , often stay Nikko always enjoy . first stay three year either become discriminate hotel begin severe decline . plan stay two night San Francisco go Seattle come back another two night . positive side , hotel perfectly locate staff friendly . however , hotel management seem cut corner . robe . evening turndown service . USA Today . ( guest get San Francisco newspaper , not . ) room not small , seem small oddly shape . tv set small could read channel number bed . one thing remember love Nikko bathroom stall shower tub . encounter time nothing love . wall cover rather wear somewhat grimy pink tile . wall covering peel . shower door seem flimsy age long exactly clear . go downstairs breakfast buffet probably highlight stay . be free , be expensive . ( restaurant wonderful . ) day return around 3:00 find housekeeper room . late ? think combine morning cleaning evening turndown service , . want nap , wait . tell travel agent poor experience , tell general manager often staff shield ( ) guest complaint . decide call ( take persistence telephone operator ) . learn , assistant suggest speak manager duty . unfortunately , transfer wrong person . reach person charge sale seem resent bother guest hotel . ask assistant transfer . time , disconnected . decide come hotel , treasure memorie thing inevitably change rarely well . get flight Seattle open airline magazine first thing see charming ad Hotel Nikko . not always case ? ad well product . 
 may 27 2005 	 great hotel wonderful location 	 stay week hotel absolutely love . high expectation , true many Tripadvisor 's review , great place stay . room rather small , well keep , clean , amenity would expect 4 - star hotel . hotel walk distance Union Square centrally locate near major site . highly recommend . 
 May 20 2005 	 Choice San Francisco Location 	 Stayed Nikko Hotel , San Francisco part incentive trip . hotel great central location heart city 's shopping district . will find great restaurant , Union Square , Fisherman 's Wharf , Golden Gate rest City 's beautiful site short walk , cable car ride , heart - stop , side rest grip , thank goodness seatbelt taxi ride away ( taxi driver fear - be prepared ) .granted hotel front maze one - way street , San Francisco - 's part charm . , fee valet parking little high side , San Francisco ( charming ) fortunate enough able upgrade king suite . not sure expect : Contemporary - Japanese ? ? ? ? room interesting mix contemporary furniture ( clean line , muted color ) obvious asian flare . upgrade suite & quot ; good thing & quot ; corner suite enough room party two . room floor ceiling window great view hotel across street - Hilton . bathroom spacious & quot ; fixin & quot ; bathroom ( complimentary shampoo / condition , lotion , mouthwash , etc ) free robe . bed surprisingly comfortable . the staff professional unintrusive . cleaning staff keep room clean welcoming ( chocolate pillow turndown ) .All , nice place call home weekend . always , could find comparable hotel well price little research . nikko worth try . 
 May 18 2005 	 not stay queen petite 	 queen petite actually full tiny . come NYC ' ve share small sleeping quarter ridiculous suppose 4 star hotel . bed full size push corner like college dorm room . bed old springy linen rough trouble sleep . water pressure bathroom non - existent view window . mini - bar , room safe , dresser night table . on upside locate great location near transit option lobby public area quite pleasing . also starbuck lobby Enterprise Car rental premise . overall would not stay would stay Argent . 
 May 12 2005 	 okay 	 stay one Saturday night . drive hotel ground hit- & amp ; -miss surround one - way street ( miss turn - off ' ve got go way around ) . nice central location tho . attendant extremely friendly difficult understand . lobby beautiful . husband room king bed 10th floor . room cramp . basic decor . much extra . bathroom bright light perfect make - up application . however , vanity , shower stall tub old stain . toilet moment sometimes flush . forget water pressure shower . hear everyone 's footstep we . long not move pretty quiet . probably stay . 
 may 9 2005 	 Hated Nikko 	 ' ve get to admit location hotel good . close train station , shopping area etc ... room terrible . book package Hilton choose buy Nikko since review good . make huge mistake get Hilton across street . buy air+hotel package expedia & quot ; Petite Queen & quot ; room . check ask upgrade . representative nice offer we upgrade tell we check & quot ; Petite room & quot ; upgrade . went check room originally buy . room petite . hallway door actual bed tiny . bed horrible . sit bed could literally feel spring bed . decide go upgrade . Upgrade & quot ; Petite & quot ; & quot ; Deluxe & quot ; & quot ; Club room come continental breakfast & quot ; . decide check club room . one thing notice three room 19 inch tv despite size room . club room spacy bed feel . bathroom ok usual stall shower bathtub . alot coffee shop around block decide get club room . decide go delux room . ' ve get to say bed room despite upgrade . could feel spring sit bed . point , disappointed quality bed hotel . marble sink area wear make look like counter top clean . finally check delux room . room alot spaci & quot ; Petite & quot ; room . quality bed . sleep bed first night , could get good night sleep . toss turn night long . next day tell bed service representative say will housekeeping put mattress pad bed . still not like , will upgrade we . club room well bed . come back room next night full size mattress pad king size bed . point really not care another upgrade move stuff another room quality bed . also , stall shower door make mess bathroom floor . really suggest be picky bed like good night sleep nice day : & quot ; not stay NIKKO & quot ; . worth money . ' ve learn lesson try new hotel sticking & quot ; Hilton , Westin , Sheraton hotel & quot ; . alot nice hotel block . would suggest stay away Nikko want good night sleep . 
