know 	 well , hotel real pleasant surprise ... make reservation caution ... seek great value watch budget two day NYC Holiday experience . usually stay Omni Bershire Michaelangelo , rate still steep recession . park hotel 's official lot instruct ( self park ) one block hotel . hotel 's entrance say .... artsey unique little signage . lobby small adorable decor steep music . staff accomodate help we get early , matinee ticket Wicked . room turn entire one bedroom NY City apartment spectacular view 6th Avenue 57th Street . & quot ; suite & quot ; hugh high ceiling crown molding , closet large NYC hotel room fully appoint kitchen . suite clean immediately feel home . know performer Carnegie Hall love hotel . oh yes ... Carnegie Deli deliver suite . the hotel entire bank washer dryer guest get ... soda machine cost 85 cent ! ! ! ! property well locate one wonder folk across street live multi million dollar condo not sell move Buckingham . explore area city direction find former Coliseum Columbus Circle treasure . check huge sculpture & quot ; Somebody & quot ; lobby , can not stop laugh . 's fun watch reaction shopper first gaze upon formidable male sculpture . back hotel ... Director Front Office , Sandra Arias GEM ... simply leave hotel unsatisfied let know need help . 's live like NYC millionaire recession budget get ... can not miss stay . 
 Great Location not mind sleep Noise 	 love NYC . many time . keep simple . close $ 300 / night , would expect able sleep . oh ! ! sleep pullout couch son , wife daughter bedroom . turn , put we 4th floor , face 6th ave . take word , busy avenue . window latch quite right , regardless , need double pane window . beyond loud 24/7 . room sauna , heat shut open window increase noise level . bed spring basically cushion / padding . Marvin , lovely gentleman helped bag bright spot . location great long 17th floor face nothing resemble activity . sad turn way first time take family together NYC . 
 Aug 18 2004 	 GREAT LOCATION value-2 PROBLEM AREAS 	 regular business traveller ... Buckingham offer GREAT location great value ! bathroom small functional in - room safe hotel safe accessible business center hour ( 9 - 5 ) practical alternative . issue could remedied would # 1 choice business travel NYC . 
 Aug 2 2004 	 great value great location - dissapointe dirty room 	 travel sister Mother December 2003 . book hotel website look stunning rate great . on arrival room look dull need good lick paint clean . also , kitchen area date , like 1970 's kitchen ! really great location hotel could sooo much well give bit care attention . enjoy stay though spend much time room . - get bite bed bug ! however , must praise hotel way handle situation . marvellous offer another stay go back . exactly look - hope change cleaning staff ! 
 Jul 19 2004 	 great location value 	 22 year old son stay Buckingham Hotel July 11 - 17 , 2004 . enjoy spacious 1 bedroom apartment stay . apartment clean daily always plenty clean towel leave we . kitchen bathroom small , work fine . live area bedroom spacious New York standard . 5 star resort . like stay friend 's apartment . room nicely furnish bed comfortable . problem noise , room face inside away street . location excellent . subway station right around corner one block depend line need . 24 hour drugstore right across street prove handy drink snack . security good . lounge 2nd floor upscale offer free high speed internet access . definitely stay . need 24 hour room service luxury , place stay . want large room great location good rate , place . staff excellent , provide early access room arrive 6:00 a.m. straight red eye flight store luggage last day prior leave . 
 Jul 5 2004 	 Gem hotel 	 love Buckingham 6 night stay late June . 2 teenager tow find spacious room one bedroom suite full kitchen perfect fit . not like eat meal able fix breakfast snack suite . Suite clean , quiet , well - appoint secure . housekeep super - even fix slowly drain bathroom sink without ask . front desk staff helpful give we reliable recommendation everything dine transportation airport . terrific location two block Central Park away madness Times Square ( within walking distance ) . one tiny negative - bathroom quite small manage fine . would stay heartbeat . 
 May 17 2004 	 good money 	 really well - appoint good - size suite . four we ( adult ) stay three night never feel like 's foot . great location ( 57th 6th , right next subway well ) make excellent choice base sightseeing . nice touch artwork lobby , cd player massive tv room . but ... get mention noise . Aircon sound like air battle know 's middle NYC , could hear conversation happen Brooklyn even window shut . take earplug want good night 's sleep . 
 May 5 2004 	 not fool 	 terrible experience . hotel lur promise sophisticated elegance great location . lobby deliver - sleek , comfortable , refined . get room , problem begin . noise traffic outside terrible . room poorly clean , find - horror - half - use shampoo shower . advertise in - room internet , charge $ 9.95 day use . hide fact property partially hotel . . . also residential building . tell : odor people cook dinner waft room hallway . would expect sophisticated elegance Manhattan . be look . . . keep look . 
 Jan 4 2004 	 Valuable 	 Long Review , sorry , please read detailed account - good , way ..... great place money - skinny : one bed - room suite pull - out sofa , living room , desk , cd - player / radio A / C ( stay middle summer ) plenty room partner sister stay . stay 2 night 3 people first night brother wife stay we second night . later would train Long Island wedding . 3rd time NYC , prior stay include Hudson / Ian Schrager Marriot World Trade Center . even though occupancy keep get large , accomodate we extra bedding supply towel . staff courteous professional . note stay night - , generally extend stay operation - hotel deal come every fill emtpy room . gather stay maintain operation , guest come go respective work day , concierge , per se , head manager duty , courteous . be generally , bring grocery take - out room cook / re - heat small kitchenette . room service , looking look , place you . although take advantage brief stay small work room business center available . please check website confirm service offer . but .... look comfortable space - mean SPACE , independent exploration ( least armed guide book / recommendation friend ) , great value - dollar square footage layout . get deal hotel discount website rent per month - Buckingham Hotel show available indicate stay period , recommend take advantage it . finally , insight NYC : note NYC feel safety find right neighborhood : example , mod posh hotel & quot ; Le Parker Meridien & quot ; across street Buckingham , hip chic , hence - assumably safe ? use crazy people ( find everywhere major city ) , garbage sidewalk ( NYC alley system - garbage pick front door ) , congest street sidewalk traffic ( not surprise someone eat corner garbage ) shock feel dangerous . research - feel good part town , ( believe fine - one bother we ) , find place comfortable / Times Square area tourist - still find aforementioned . NYC NYC make unique - stay city hard press avoid - take , be visit - city 's zeitgeist anyway . cleanliness : report stains carpet mildew , may true , experience . wood parquet floor living room area bedroom , carpet suite . experience , contend may case , room good condition . noise : not know everyone hail be Chicago , use street noise , train noise , etc . ( preclude summer construction - stand town / city ) also note attitude shop / eat explore city prior wedding Long Island , perfect agenda . also south Central Park . ( ps . Hot Dog stand abound - recommend Sabrett 's - ask mustard onion sauce - note : onion hot sauce / onion / vinegar concoction , nice combo - surprise first time since sauce red typical Chicago dog ketchup - taboo ! ) enjoy stay - hope everyone experience , base other review , . recommend experience - note : stay , would go back . great staff spacious accomodation - note space new construction , tell space renovate , much like many Chicago apartment ( layer paint , etc . ) - clean pleasant none least . 
 Dec 18 2003 	 Great Deal 	 stay 12 - 10 - 04 12/14 - 04 . staff friendly accomodate . hotel spacious New York clean . great location well ..... plenty research web book stay tell well worth ....... would highly recommend anyone ..... 
 Dec 10 2003 	 Buckingham Hotel quaint charming 	 pro : Location ( walk distance Radio City Music Hall , Rockfeller Center , Central Park , 5th Avenue shop , etc . ) . daily cost suite plus , large one bedroom suite bargain . type room , suit kitchenette , great . the Cons : traffic noise . 12th floor could still hear traffic noise quite clearly . cleanliness room top notch , , adequate . heat cool system work well . telephone somewhat quirky . summary : small hotel midtown Manhattan quaint charming opinion despite negative positive far weigh problem . 
 Nov 17 2003 	 nice hotel ! 
 Nov 8 2003 	 acceptable price location 
 Nov 6 2003 	 great NYC Marathon hotel ! ! 
 Oct 31 2003 	 think twice Buckingham 
 Oct 30 2003 	 refine elegant oasis city 
 Oct 25 2003 	 Bargain Heart Big Apple ! 
 Oct 13 2003 	 good location good hotel 
 Oct 11 2003 	 great location get pay 
 Jun 23 2003 	 Hidden Gem ! 
 Jan 24 2003 	 comfortable hotel pleasant room .. 
 Sep 30 2009 	 Recomendable 
 May 10 2009 	 Super recomendable 
 Sep 20 2008 	 Perfecta ubicación espacioso economico 
