strip 	 ' ve palm business many time , first time stay . previously stay across street Rio Gold Coast . guess travel department get good rate , put trip . the bed comfortable , hd tv room , bathroom nice . complaint amenity . hotel locate strip , plenty , even want walk hotel across street travel strip . several trendy club ( include Playboy club ) . club scene , pay $ 20 Ketel one outrageous , hey , Vegas ! fantastic view club , locate top hotel , be worth it . the restaurant ok ... like Mexican one , cafe slow service , food be ok . good value buffet . 's small strip hotel buffet 's 's enough selection tasty food satisfy anyone . there be also food court frozen yogurt stand ( similar Pinkberry NYC ; serve however much want , put whatever topping want , pay per ounce . ) be also movie theatre hotel , enough table show , catch flick . think palm cater young crowd strip hotel to . I not stay previously room rate high comparable hotel , travel department would pay difference . however , get palm good rate , definitely worth . Vegas hotel vie business , good buy . palm worth pay premium , creme de la creme like Wynn Bellagio , right price , be great deal . 
 Jul 15 2005 	 Poor Service 	 ' ve stay Plams time , last . overall , enjoy hotel & amp ; atmosphere . room , casino & amp ; pool nice , service suck . order two drink time never cocktail waitress around , dealer rude . my last stay charge various item mini bar not drink , check bill check out . I also charge night not stay , everytime call correct problem get run around . next time will stay Hard Rock , atmosphere , well service . 
 Jul 14 2005 	 room bland hotel trendy 	 room palm bland average well . want try palm 5 - star rating vegas.com , expect something along line venetian mandalay bay . upgrade one junior suite still disappointed ! can not even imagine bland regular room . price get super expensive weekend , find night two $ 100 , guess worth . not expect anything great regular hotel room .... room , palm nice ... nice casino , cheap restaurant , long line nightclub bar night .... 
 Jul 5 2005 	 first horel trip 	 Stayed Palms June year , first two hotel trip , Orleans , five day trip visit family Salt lake throw Vegas . back palm , good hotel room , mostly good staff , little snooty , point problem . bed room possibly good hotel bed ever sleep , bathroom great whole thing clean . however casino little atmosphere , disappointing , pool loud expect reading report trip , food various eat stop average , Vegas . hotel / Casino lot go could lot well . 
 Jun 15 2005 	 enjoy stay 	 stay strip hotel . hotel young crowd ( young heart ) . would recommend hotel first trip Vegas since location far strip . come Vegas party want clean / comfortable room , pretty good restaurant , place . 
 Jun 14 2005 	 one dealer spoil 	 wife Thailand visit Las Vegas yearly last 10 year time stay different hotel . hear lot good thing hotel therefore decide pay visit - pitty one dealer spoil . initiate conversation perhaps look like obvious foreigner Asia often ask dealer - ' where ? ' - well sit empty black jack table Palms - wife try initiate conversation dealer way ask question ask we every day dealer - ' excuse ? ' - surprise response - ' why ? make difference ? ' - leave immediately would never return feel embarrase may offend way . 
 Jun 12 2005 	 # one 	 plam loosest slot , know one play , staff casino floor freindly . try poker room early mourning , sit slot machine betwen 2:00 3:00 a.m. poker room catch free show towner leave casino night drink . 
 Jun 12 2005 	 do not take kid Palms ! 	 get do stay palm . take 15 12 year old bore stiff ! definitely young adult place . see one child age bracket whole 4 night . pool unappealing , due size . arcade . upside place . bed awesome ! never get bad meal . little Buddha say . hotel connect top movie theater staff seem keep eye 2 boy whole time . pool party night little loud , kid enjoy see celebrity . would return next time wife , kid involve , shoot Strip , Luxor , Monte Carlo , Mandelay Bay . 
 Jun 9 2005 	 great time palm 	 worried reading review pleasantly surprised stay . late 30 's stay palm try something different usual & quot ; Strip & quot ; visit time . easy jaunt across street check Rio couple hour , spend rest time Palms . stay Monday Thursday blast . staff freindly willing help time . cocktail waitress everywhere never without drink want one . slot loose dealer freindly , helpful around great . line club tactfully route always access elevator . pool clean pool staff attentive , cheerful helpful . room clean bed extremely comfortable . not miss beat stay definitely back . 
 Jun 1 2005 	 Palms = overrated 	 excited stay Palms . short , receive 1 drink dixie cup gambling . fight break casino floor 7 minute . room equivalent Holiday Inn cost $ 350 . wall thin charge neighbor rent . not even care check early .... RATED . terrible service like last long . 
 may 31 2005 	 stay somewhere Else ! ! ! 	 place joke compare hotel visit Rio , Paris Caesar 's . class whatsover - bunch year long spring breaker 's residence . place noisy , cocktail waitress casino hardly ever show general public want get back room night town , push way thru huge crowd drunk obnoxious twenty - something wait get club . one elevator guest room totally block control idiot . God help palm emergency . hundred innocent people would trapped lack concern . Fire Dept . shut . employee give impression can not stand job not say much either . not waste money . go someplace nice ! ! ! ! 
 may 9 2005 	 stay somewhere else 	 tough one . would ever recommend palm overnight stay , recommend visit casino , steakhouse club , particularly Ghost Bar . stay ? experience : first , room ready prescribe check - in time . take cell number say would call & quot ; room rate class & quot ; ready . take bad sign never call indeed , & quot ; rate class & quot ; ( $ 400 per night ) get room beautiful view air conditioning unit roof , three bright spot light right outside window front seat construction Palms condo . request King bed get two double . call ask King room available , not get runaround excuse definitely apology , flat & quot ; no . & quot ; certainly not go Vegas catch sleep , palm go great length ensure not sleep late . start first morning think someone bang pipe right outside window . indeed , , construction site . alllllllll morning long . I awaken Saturday morning 7 maid vacuuming right outside door . not vaccum particularly loud ... walkie - talkie turn full volume could hear vaccum 's motor . I ' m sure exactly spend money build Palms , certainly not wall guest room . hear every cough ( convinced guy emphysema ) , conversation phone ring room next mine . particular noisy spell ( 5:00 morning ) travel companion note neighbor must go sleep . able inform asleep fact leave room ... hear confirm phone car picking . bad shower ... sound like water cannon shoot tin wall . afternoon , call housekeeping order get room clean - up . second time call , informed housekeeping work room 4:30 ( maybe 5 ) ... say , without really say , need patient . would understand need patience except fact call 5:30.i go palm fully knowledge attract young crowd hotel reputation bit snobbish classic french model . therefore , loud , drunk meathead yell obsenitie hall 3:00 morning not really bother . actually find staff responsive pleasant ... un - french like . $ 400 night expect bit hotel ... , LOT . advice : Vist Palms , stay somewhere else . P.S . business , entertain lot client famous steakhouse America . however , none -- one -- even come close dining experience & quot ; N9NE . & quot ; fantastic service exceed food . go Vegas want great , memorable meal , must go N9NE . 
 May 2 2005 	 Loved Playing Palms 	 stumble PALMS quite accident last year hit Starbucks right next door . stop play , play play . slot not see elsewhere , least not time . love 50x poker machine ( right near entrance movie theater ) sign player card . since offer stay PALMS free finally take offer last week . we stay 2 night PALMS ( night ORLEANS ) . get late opted book room first night - know oh go playing , bother . nice enough give we room early . bed comfortable , like like firm pillow , will not find one room , soft - be hard sleep even two . I bite surprised day go check hear loud BANG window early morning - scare crap ! thankfully drape close window washer sure would gotten eyeful not . mentioned front desk , not seem concern - say not know be come ? ? ? ? tell would nice would know tell people get scared wit ! food buffet typical , though middle eastern food lunch , unusual Vegas . like Middle Eastern 's bad , would highly suggest short jaunt BASHA corner Maryland Flamingo - find little hole - in - the - wall year back go least twice - food FABULOUS warm , freshly make baklava ( finger ) die for . we also order late night mexican rest - awful go uneaten maid take away morning . late contact rest . evening , tell front desk upon check - out - say nothing could , speak rest . mgr - well , nothing could unless want eat - declined . would rather gift certificate back - $ 30it not crowd casino , esp . day - though ' ve weekend evening get crowd young crowd . like PALMS well not smell cigaratte smoke prevalent - unless get someone sit close proximity , happen . all , like PALMS would definitely stay want put we free . player card point accumulate use food , room , etc . not pay anything use point still $ 200 worth point leave player card next time . 
 Apr 4 2005 	 bed alone worth stay ! 	 quite fit hip twenty - something demographic , realy enjoy stay palm : pro's:1 . amazing bedding . love pillow comforter . 's nothing like sink comfy bed long day , good bed ' ve stay far vegas.2 . 's small casino like . mega - resort overwhelming easy get lose . like small feel.3 . despite small feel , everything need : restaurant standard coffee shop buffet , fast food groumet . 's movie theatre onsite . spa nice.4 . not kid , seem drop day - care area leave kid five hour max . not know cost , great idea . kid , would major plus ! 5 . great bathroom . vanity great apply make - up.6 . room amazing view strip ! 7 . despite report contrary , good game stick video poker look game say 100 % return . casino , slot cost money . people lose Vegas . odd video poker slot game general well find strip . beware table game though . 6:5 blackjack joke . Cons1 . other note , wall thin . heavy sleeper , big deal , hear neighbor morning , could hear everything say even though seem talk loudly.2 . young hip , feel place . time . overweight female place feel intimidate . 3 . line night club make hard get back room night ; little hard navigate.4 . be 6:5 blackjack ? 5 . poker room allow smoking , Vegas poker room non - smoking 
 Mar 30 2005 	 hammering 8am ? ? 	 never stay . approximately 5 o'clock morning ( expect Vegas , right ? ) boyfriend rudely awaken 8AM sound hammering come upstairs room . call front desk inquire earth might ungodly hour , tell instal carpet floor we . & quot ; 8am , ? & quot ; ask . happy , say least . especially since face 7 hour drive back home San Luis Obispo go fun less 3 hour sleep . go front desk check politely ask room compe previous night since consider quite disturbance . girl & quot ; help & quot ; real witch , say least . wait chat employee click away computer . receive credit card bill , find room charge remove . take several phone call finally get refund everyone deal rude . besides , find hotel decor boring . nothing special . also , boyfriend playing poker late one night one side door open cleaning reason . January , ~freezing~ gust wind come bother everyone sit table . politely ask could please close ( afterall , spend hundred dollar table ! ) finally one pit boss shut , without roll eye first . professional ! 
 Mar 27 2005 	 young stupid 	 go Las Vegas almost 20 year , noisy obnoxious place ' ve ever experience . Spring Break Crowd . steakhouse first class , food outlet avoid . never feel safe many drunken kid hang around club . 
 Mar 26 2005 	 nice place stay 	 stay Palms one night stay three night Harrah 's Strip welcome relief . first thing notice quite casino . not noise slot machine compare casino Strip . since stay one night , upgrade room junior suite , corner room two large window wonderful view strip . bed , comfortable compare hard bed Harrah 's . eat Little Buddha , delicious . go Ghostbar , group 5 girl , get free . nice ( trendy ) bar great view Strip , would not pay $ 20 cover charge get . drink $ 12.50 martini $ 8 mix drink . hotel lot quieter think would . wish action go around pool , guess season . 
 Mar 15 2005 	 Best Casino Resort Las Vegas ! 	 wow ! one word sum ! wife ( mid twenty ) pleasure stay palm one week vacation Las Vegas . stay first part week palm second part week Golden Nugget ( review come ) . Grand Suite 37th floor . first , check - in quick efficient . room ready we around noon . go 37th floor floor beauty suite . 1000 sq ft luxury . bed linen well . towel bathrobe soooo soft . jacuzzi tub huge two bathroom come handy wife get ready . , room FABULOUS ! ! ! ! ! great time casino well . sure explain casino hip / cool feel . open airy excellent music play throughout casino . cocktail service great ( remember tip well ) . able get vip list Ghost Bar . shock size line especially week night . get list queue long great wait line . first impression Ghost Bar smaller imagine . music good though drink strong reasonable ( line Boston New York price ) . love huge outside balcony . make sure stand glass window look . little freaky especially couple drink . for food , eat buffet breakfast lunch well meal 24hour coffee shop . food wonderful , make order omelet buffet great . I would encourage everyone stay palm . stay least take time check casino maybe Ghost Bar . cool place not feel like strip mega resort even though feature one . intimate cool feeling make feel home . 
 Mar 3 2005 	 Nickel Dimed 	 get ready charge everything - even use hotel facility gym . service spotty , bouncer manage crowd line club right mean rude - unavoidable station get elevator room . 
 Feb 17 2005 	 -hype 	 not believe hype Las Vegas & quot ; Resort & quot ; . wife stay 5 day January terribly disappointed . hotel cater young -money- has- -value -crowd . high roller celeb treat feel honored allow property . & quot ; famous & quot ; Ghost Bar joke opinion . $ 20 get $ 8 bottle beer .... Secret Service wannbe act security personel arrogant rude . Rain Nightclub ... Secret Service wannbe rude arrogant overprice make Manhattan nightclub seem inexpensive . view Ghost Bar nice , like everything associate hotel .. WAY HYPED . frankly , wife well view hotel room strip . 9N Steakhouse world class . bit pricey service quality food make restaurant wonderful dining experience . staff 9N give hotel staff & quot ; security guard & quot ; lesson hospitality service . restaurant hotel good service well average . dealer blackjack table cordial interact well player . fun table . can not report & quot ; famous & quot ; Skin Lounge pool area close season , visit spa fitness center . .. pay get frankly ' ve well equip YMCA 's JCC 's . bunch over - hype fluff way around place . normally charge $ 299 Deluxe Room one king size bed . stay Holiday Inns $ 80 well appoint room . wife upper income bracket go Vegas expect loose table spend like drunken sailor expect appreciate make feel good dump money place . folk , strongly suggest not waste money Palms . Mandalay Bay , Ceasars hotels strip give well time money . another hotel open Vegas cater type crowd palm host Bingo convention . romantic get - a - way real class stay Lake Las Vegas newly open Ritz . even Hyatt nice , couple click Ritz term overrall class service . 
 Feb 2 2005 	 2 baby boomer love 	 although seem Palms reputation party spot twenty something crowd , husband ( 52 ) ( 45 ) enjoy stay week Christmas much . among lined Ghost bar 10 11 p.m. , enjoy cafe morning reasonably price breakfast day . encounter friendly helpful staff throughout 4 night stay . room clean quiet comfortable bed . movie theater site good alternative slot need break gambling . shuttle service mall Ceasar 's good start , would liked run frequently couple stop . another nice thing notice : pesky time share - type solicitation & quot ; free ticket & quot ; listen presentation . 
 Jan 14 2005 	 Hard Rock well 	 ' huge fan Hard Rock Hotel , decide give palm try one all - girl trip Vegas last year reputation . place positive negative . positive — the room simply gorgeous . understate elegance . main reason give place average rating . bed unbelievably comfy , bathroom beautiful spacious great toiletry . also , since Palms small property , intimate feel . easy walk pool , casino , restaurant , etc . ghostbar blast , sure check , cover charge little ridiculous ask I . negative — the pool stink . small unfriendly vibe . ' use Hard Rock , hang pool drink hand make friend wind meeting later night ! pool scene ' fun . 24 - hour café ' great either . head food court instead , ' well slice pizza . overall , clientele staff Hard Rock fun down - to - earth , hot ! ' visit Palms club restaurant ( really want try N9NE ! ) , likely stay . 
 Jan 7 2005 	 enjoyable 	 stay New Year period bump Maroon 5 ! make awesome stay book ! 
 Dec 24 2004 	 21st Birthday Loved ! 	 come back Vegas stay palm one night Paris two night . check palm great ... check fast . casino kinda lonely 1 pm around 8 pm ... place full ! take we like hour half get Rain totally worth go . staff really friendly nice . would go weekend . 
 Dec 15 2004 	 nice Us Prefer Off - Strip 	 Stayed Palms part Thanksgiving weekend meet expectation . everyone encounter work friendly helpful . however , club scene . drive Southern California easy find , parking easy , check quick efficient . like little way strip , want strip , would hotel . room bathroom clean . true , bed linen well encounter hotel , period . food court nice , nice breakfast coffee shop ( crunchy french toast awesome ! ) enjoy mexican restuarant . 24th floor face North view terrific . oh yeah , believe , not gamble , use casino , idea compare other . would definitely go back . 
 Dec 13 2004 	 Snotty Club Attitude not guest Hotel 	 go palm couple reason . firstly hotel casino gear toward 21 - 35 crowd . 24 people travel . hotel say hot chick .... .... best & quot ; scene & quot ; age group . the Palms home Ghost Bar Rain two bar / club suppose pretty cool fun ( w/ lot hot chick ) .... want go club figure have cool & quot ; home base & quot ; hotel could kinda .... one roof . we arrive around 10 11 Friday night . ask host could get list either club learn list close would try tommorrow .... could put name Saturday night ..... , answer , would wait till tommorrow ..... play little Friday night Saturday day ask admission deny comp ( ok cause really not play much ) tell could not get list ( avoid line ... free ) ask could buy table bottle service ... also unavailable .... information come , way , chain people give we similar response ..... & quot ; can not help , need talk .... ... & quot ; Furthemore , try get spa appointment full .... ok ... ask put name case cancelation say strict cancellation policy nothing would available . later walk spa ask write name number call cancelation . like pull tooth .... staff generally snotty helpful .... one smile say hello , one help bag ask stay ok ... confront snotty , self - important , -- -- - attitude expect bouncer club ... certainly staff hotel guest . 
 Dec 12 2004 	 palm nearly perfect ! 	 palm nearly perfect ! lively casino , every restaurant entertainment option imagine , good bed linen ever experience ! review site seem little one - side Palms deserve nothing 5 - star rating . extremely impressed every aspect . check - in great overall staff friendly Vegas . definately return loyasl please customer life ! good joint Vegas ! 
 Nov 18 2004 	 palm meet expectation 	 stay mid - week mid - November 2004 . check go easily quickly . room nice ; call upper - level Westin caliber . bathroom spacious cool light start dim , get bright ( good middle night trip ) .design hotel great , gaudy apparently reviewer look . spa good , good facility ( steam room , sauna , shower dump water thing , jacuzzi , usual gym equipment ) . unfortunately , chilly enjoy pool , looked nicely do . go Ghostbar . nice place , end , nice bar , cover charge little silly . be like huge club light show band anything ( , 's type place would expect cover ) . also eat Little Buddha phenomenal interior , pretty dang good food ( although menu quite adventurous hope ) . stay palm , eat elsewhere , least drink , even poke head Little Buddha . give four star , keep mind : trendy hotel Las Vegas strip . ' Ritz , expect . 
 Nov 12 2004 	 overall good hotel 	 stay Las Vegas hotel . overall enjoy stay . room average nice . bed / pillow well Vegas hotel . casino average . steak house french restaurant Alize ( locate roof Palms ) good , though bit expensive . nice spa , great massage price . nightclub rain ghost bar fun 21 35 crowd . location hotel minus . pool average well , cool young crowd . 
 Oct 28 2004 	 Loved Palms 	 reading review people : palm little concern already make reservation . ' m sure people stay , definately Palms ! love . customer service fantastic . room pretty basic , high thread count sheet comforter make . everything clean . everyone friendly . great stay Palms ! 
 Oct 27 2004 	 definitely 	 definitely agree 's worth hype . believe hotel think way highly not level service cater guest not celebritie . room paper thin wall hear conversation other 3 am , always pleasant . lobby area small , nice not overwhelm large hotel . salon great , especially woman pedicure . would say overall would not return hotel . 
 Oct 20 2004 	 Disagree .... 	 stay September 2004 really like hotel , do not know everyone dismissive . ok , reception area / casino be not impressive say Aladdin Bellagio , look casino , get need , ie . machine , table , etc ! room fantastic , eighth floor , view amazing . away strip mean could get full scenic view bedroom . bathroom immense , & quot ; movie star & quot ; type mirror ( bulb around ) cover large part wall . bed comfortable room always feel clean , even though sheet be not change every day , always make bed back night . pool area lovely chill relax . music be not overly loud , pool never over - crowd always somewhere sit / lie area large . waiter service bit expensive , nothing stop walk bar get drink save cost . hotel position strip , free bus run hotel four time day drop four location strip also local bus stop right outside hotel , run every 10 min cost $ 1.25 . fantastic time stay Palms would recommend anyone stay ... do not expect wild party house , nice hotel stay . 
 Oct 13 2004 	 Palms Hotel -Britney love ? 	 Wife spend two week Monte Carlo Hotel Strip decide visit Palms Hotel Britney always seem stay see really match ' millionaire ' image . well view . 's location well Strip mean passer - by interior decor seem dull uninteresting . cafe decor seat resemble airport plain wall , hardwood floor utility - style furniture . glimpse pool area Britney often see desporte unimpressed size unexciting location . inside hotel dark seem buzz compare hotel Strip lack atmosphere . definitely would recommend either individual family though seem provide apparently swinge night club . sorry Britney can not see would choose hotel . 
 Aug 30 2004 	 way much hype ! 	 expect much hotel . much hype . go club Rain Thursday night . wait 40 minute line . everyone around free pass admission . ask one Rain worker obtain one future , shrugged shoulder . act like cool . music great . long line drink . plus . fight break crush two guy . unhappy want leave ASAP . would recommend go . well place Vegas ! 
 Aug 17 2004 	 tight slot BIG disappointment 	 disappointment ! specifically go palm supposedly loose slot . nothing could truth ............. machine eat $ time zero . get play machine try many . think place bite shabby not understand hype . far nice hotel Vegas . certainly will not back ! 
 Aug 2 2004 	 would return 	 stay palm mediocre good . twenty think would great time , not live hype . sheet bed several hole tell front desk , not offer change . room bore compare room Strip . also , nine Steakhouse over - rate service could much betteroverall would return , alot well place stay Vegas . * * one positive - casino pretty cool 
 Aug 1 2004 	 check please ! 	 Vegas lot time think would try Palms . give military rate , still overpriced , view . room okay , like casino . dead place never offer drink five hour . also , eat one bar / restaurant place stunk like puke . food overprice , atmosphere lousy . matter fact , everything overprice . check one night . would never stay . prefer Golden Nugget value quality . 
 Jul 29 2004 	 food poisoning 	 order room service . house salad get food POISONING . not get compensate all . no worth $ $ hike . 
 Jul 26 2004 	 not live Hype 	 eat Little Buddha ... service horrible sushi good . not look conversation tablemate ... ' m young even could not stand loud music drown possibility conversation ! waiter keep dance ... less dancing , service please ! shock line Ghost Bar . wrap around entire casino floor . waitor say people wait line would wait 7 hour never get ... sad . slot suppose good , bad every large trendy casino . want good slot , walk across street catch tram Orleans ... 60 buck 5 cent slot machine ! be practically impossible . fun ! ! 
 Jul 6 2004 	 TI way well 	 not stay palm , make long track see hype . not worth . plain , narrow , boring hotel even main Las Vegas strip . really benefit lot free advertising get MTV 's Real World . actually much well time Treasure Island aka TI . hang new club call Tangerine inch away Carmen Electra , well Mikael Pfiefer ( spelling ? ) , Gervis Survivor , other . whole scheme lot well palm , even atmosphere hip without try hard like palm . also enjoy Caesars new club drink good , little overprice ( 8 buck one drink ? ) . 
 Jun 20 2004 	 Sad Sad example modern hype 	 horrible boring hotel sullen , unhelpful staff ever . hotel offer staff answer guest 's Thank 's & quot ; uh - Huh 's & quot ; . poor teenybopper service aggravate gross , stomach churn food hotel call food . casino empty exciting least ( weekend early June mind , exactly season ) . seriously recommend stay another one establish hotel like Venetian Bellagio . cost around infinitely superior hotel . palm , nothing far away Strip . stay Palms scene bad idea ... unless idea scene gross . save expense .. get treat well nightlife spot Palms hotel guest ( get free entry 8 pm ! go 8 pm ? ? ) . stay away palm ! maloof brother sure work cut . 
 Jun 10 2004 	 Loved Orleans 	 stay Orleans twice hope stay . People nice , room clean food good . 
 Jun 6 2004 	 Best Hotel ever 	 well ... recently stay hotel end May 2004 ... 15 , say wonderful place stay ... could honestly live ... great .. 
 May 25 2004 	 pretty nice 	 plam Nov 2003 . hotel nice , WONDERFUL bed pillow . would stay linen ! spa nice well . food fairly good lot choice food court mexican sushi salad . ghost bar not seem imprssive group . steak House excellent , although spendy . casino pretty small 's well go one bar get & quot ; free & quot ; drink wait cocktail waitress . cab strip pretty spendy 's long walk . , be fun place . 
 May 4 2004 	 perfect first trip Vegas 	 husband celebrate 3rd anniversary Vegas April 25 - 28 stay Palms ( first time Vegas we ) . absolutely loved ! check in / out fast staff curtious helpful . breakfast buffet good , especially long night partying . ghost Bar amazing even though line get , wait 10 minute . bed truly live reputation , literally melt soft sheet pillow every night . thing could made hotel perfect strip , least little close . 
 Apr 21 2004 	 Disappointing - good Vegas 	 stay late July , 2003.First , good : upgrade junior suite ( without ask ) upon check - in . bed linen luxurious - nice hotel room ' ve see . bathroom large standard shower / bath combo . furniture room nice suite big , however tell 2 standard hotel room make 1 suite connect door . sit room nice cd player . think would gotten use suite go friend entertain sitting room . boyfriend , not much reason hang room . the bad : hotel NOISY . wall must paper thin . could hear people room night . pool lounge sound check loud could hear clearly outer wall / window . lobby / casino / bar full 20 - something club kid . expect still annoying . try go Club Rain 12:00 1:00 closing ! security elevator say could not go . weekend ! place 's suppose coolest place Vegas know 's nightlife , pretty disappointed thing close early . ghost bar long closed point . service diner slow inattentive . however , get free spa pass check - in spa really posh . overall , experience mix . not awful first choice Vegas . great bed hard enjoy thin wall let much noise . 
 Apr 19 2004 	 great time ! 	 Stayed Palms April 3rd 6th 2004 . will give pro con . first pro . PROS : 1 ) hardly kid old folk . 2 ) room clean bed comfortable . 3 ) pool small , view always nice . 4 ) N9NE Steak House- good meal ' ve ever had- try filet . Little Budha also good . 5 ) good party atmoshere Vegas . everybody go . 6 ) Star watching - I see 18 celebrity party weekend . con : 1 ) casino small . 2 ) line club ridiculously long . get early . 3 ) little strip . 
 Apr 12 2004 	 great hotel Vegas 	 reserve bedroom Expedia . worried potential problem could occur ckeck - in . everything go quickly , congratulate staff great check - in ! ! ! get exact room promise Expedia 's website , 18th floor beautiful view Strip . bedroom clean , bed fluffy ( 400 threadcount bedsheet ) , nice marble washroom . pay 100us Sunday night stay . hip hotel , cool beautiful people hang . try mexican restaurant delicious . also go skin pool morning , water temperature perfect ! ! ! would definitively recommend hotel anyone wish fun Vegas . downside hotel Strip , prepare walk 15 minute get action ! ! ! 
 Apr 11 2004 	 great small property 	 Palms hotel absolutely favortie Vegas hotel . love small easy navigate . get lose big casino drive crazy . room beautiful elegant staff wonderful . thing can not figure pool close early March . weather plenty warm enough . ghost really cool expensive could not get 9 eat look awesome . breakfast buffet crappy , $ 5.99 cheap alot hotel caliber . pay 109.00 per night mid week Trip Reservations think great deal . not Strip drive cab , feel plenty without leave . Garduno 's Mexican crappy , , use good mexican food . the gift shop really cool compare alot place . neat stuff . definitely hip crowd -- Hard Rock type love not much action . 
 Apr 6 2004 	 Rain Desert UNREAL ! 	 stay Palms , party . CLUB RAIN good night club Vegas . let tell good party scene around since Cancun college . let helpful advice show early plan wait line long time get . hook VIP walk 150 - 200 people wait vip general public line get nice . like anywhere else Vegas Money talk also help get fast vip suite upstairs , couple hot female flert bouncer . whole scene hot , hot woman every ! dance floor unreal water cannal around dance floor , huge smoke mechine comedown celle even fireball shoot across dance room . not surprised see famous people . night go Donte Hall Kansas City Cheifs also UFC CHAMP , Sirius form Realworld even Tyrice 2 fast 2 FERIOUS , POLO model guest DJ . good Vegas party ever . 
 Apr 3 2004 	 Sweet Spot Heart 	 see Paris HIlton Farted ! love dump . do not cash room do not seem mind crash floor table puke . sweet . eat table scrap fall floor guy hotel kick belly . hotel security take care even give soup . highly recommend place do not money room vegas . 
 Apr 3 2004 	 Tight slot 	 stay curious reputation & quot ; loosest slot & quot ; Vegas . well , & quot ; loosest slot & quot ; myth ! . drop $ 300 dollar slot win absolutely nothing , wander around observe people play dollar slot result pretty much .... nothing ! play slot .... ever ! 
 Mar 13 2004 	 not waste money 	 palm easily bad hotel ' ve ever stay travel . pro Palms pool , Ghostbar housekeeping staff . every thing else absolutely awful . customer service exist hotel service restaurant worst ever experience . layout hotel lobby ridiculous entire place far full overall . MTV hype wear , good luck Palms , bad hotel Vegas . do not stay . 
 Mar 4 2004 	 Palms place ! 	 palm first class way ! first do not look like much room awesome nightlife world . even meet movie director ! 
 Feb 25 2004 	 shady business practice 	 make reservation 3 night stay Palms . forgot cancel reservation Palms charge credit card entire 3 night stay . cancellation fee mind .... checked stay ( taxis , fee , etc . ) . apparently legal long document somewhere . say & quot ; Buyer Beware & quot ; . also .... twentysomethe really hotel ... place market cater MTV generation greatly . 
 Feb 24 2004 	 Alize bomb 	 Dinner Alize ( gourmet restaurant top floor Palms hotel ) suppose ultimate end valentine weekend trip Vegas . food delicious . however , good thing . table mere inch apart mean get listen everyone else conversation constantly bump waiter try serve dinner . one point , leave table , waitress wispere something bus boy roll eye indicate less thrilled serve we . guess request decaf coffee much bear . event make feel totaly place uncomfortable . pay $ 100.00 per person dinner not care good food also expect service ambiance . alize not expect either . 
 Feb 16 2004 	 great young 20 - 30 crowd 	 great place stay . season ( early Feb ) , still full activity . save $ , pack 5 room , wheel cot $ 25 night . good part stay , oppose go , get vip access . be much , counts- get front line vip line service ghost Bar Rain , long fill . note really early , like 9:00 pm Ghost Bar 11:30 pm Rain Fri / Sat , beat wait line see show later . rest place , room nice , $ 6 buffet good weekday , though weekend $ 12 & quot ; champagne brunch & quot ; bit rip . also , casino small , not impact big place strip . all - in - all , without doubt great decision- staff friendly , even bouncer / security . come NYC , litte bit rude holy - than - thou , great able ask question get helpful answer doorman . friend say not want stay strip , slap them head , be go end go night anyway , great come club , hit table , head upstairs bed , rather deal horde fight cab outside . 
 Feb 12 2004 	 Good 21- 30 year old ... 	 request non - smoking room save we one .. check 11 pm . complain give we juniour suite ... smoke slightly nicer . bed amazing : awsome pillow , soft bed typical stain bedspread ... instead comforter sheet style cover obviously change time ... steak house really good expensive ... filet $ 40 ... 1 1/2 lb australian lobster tail ... $ 145 ! make sure make reservation otherwise eat bar like ... even Tuesday ! Gohstbar okay ( Tuesday ) line steady ... small top ... go rain weekend ... overall , great place want party travel far ... casino small lot idiot play ... perfer mandalay Bay ...... 
 Feb 3 2004 	 management company 	 review management company . coercec timeshare talk palm . suppose 1.5 hour . 2.5 hour later leave unhappy . toget 3 ticket magic show ( 62.50 report value ) 3 cost ( 10 15 dollar ) . give we 3 want 48 dollar three claiming cost . go theater find balcony seat cost 25 dollar . buy extra ticket mean pay allthe ticket ... lie outright . seat balcony upgradable 45 dollar . manage ... beware 
 Jan 5 2004 	 Palms truley awesome 	 can not beleive half previous negative review read prior stay palm . six friend ( 26 - 28 year old ) stay palm Decmeber 25th December 30th . I ve Vegas five time trip trip definately one good yet ( largely due Palms ) . start check fast staff friendly . room decent great view strip . room price quite reasonably . although do not good table , dealer okay waitesse great . rarely wait drink playing table . first night , someone front desk bell captain ? ? hook we Palms Limo take we late evening destination . free charge ( mind give nice tip driver ) . Little Budha restaurant fantastic food . Ghostbar really cool awesome view Strip . one girl bartender Ghostbar extremely attractive really nice well . bouncer Ghostbar also really friendly . Club Rain intense . outstanding lighting , effect sound system . Bartender Rain even buy one buddy round thank buddy tip decent throughout night ( average tip ) . palm head back Vegas summer stay party Skin Pool lounge open . check nine steak house well next time . young ( twenty- thirty ) young heart , place stay . new hotel Vegas get lose utter size amount people . palm small make thing personal . well do George Maloof create awesome place Vegas . return sure ! ! ! ! ! ! 
