give 	 spend Saturday night hotel , must say big mistake . a West end show , romantic dinner night great area London spoil hotel . although staff pleasant helpful , room tired / antiquated bathroom / pathetic toiletry / dirty windows / tatty net curtain / filthy window runner / mini bar ( 4 star London hotel ? ? ) breakfast awful ( hotel try charge , prepaid B & amp ; b term / bad stain carpet / basic bed pillow - miserable room . I sure Health Safety regulation , ever fire corridor outside room stay , occupant would perish window could open all- secure mean obvious screws window frame . 's hotel like give London bad name - room two star well - stay expect 4 star ! 
 Sep 26 2005 	 outrageous service 	 book thru Priceline never know need addinal room 3 year & amp ; 10 year old kid LONDON ! . book nowhere ask number kid etc , check make wait 2 hrs see one manager & amp ; go saga try family vacation london . finally agree let we check two addional room ( two family kid ) 600 pond addional ( perfect example make good situation . split us 3 year old would sleep adjacent noisy room , tune 1000 pound waste 2 family 3 night . staff unfriendly & amp ; would nothing help ease checkin . no room addional roll bed crib plan stay even one baby month old BOOK 2 ROOMS & amp ; Sleep seperately $ @ ^ % ! & amp ; ^ @ ^ 
 Sep 26 2005 	 bad price 	 room bit small , ok . give price London , get great deal . room 11th floor , low floor & quot ; tube & quot ; noise . convienent two tube station . continental breakfast ok , nothing write home . sign upgrade ( probably get we well floor ) . internet access run 20 dollar per day 6 hour ( think ) include free along access & quot ; club & quot ; room breakfast ( nice ) drink ( worth trip ) . 
 Sep 25 2005 	 pretty good choice 	 stay Copthorne Tara 9/18 - 9/23 find good choice . hotel attractive inside price pay - room fine . problem room musty smell , open window every day leave air . thankfully get critter room . hotel need address . , room nice clean . read comment bug , pretty good inspection find none . eat hotel comment . love location well . ride around London zone 1 2 , like location well . shortcut tube use time day night feel safe - ask concierge direction - really easy . overall - good experience ! ! 
 Sep 13 2005 	 Stains mold manager great ... 	 arrive ( 12noon ) raining ask wait room finish ( 3 pm ) . instinctively ask railway track nearby find next . complain manager ( Sarah ) promptly move we high floor side . when arrive room sheet poorly dress bed , skirt sheet long . fun start ... quilt cover dry blood stain - request House keeping change , come back another piece dirty linen . third cover notice large blood stain duvet together appear urine mark . bathroom also mold corner could health hazard . House keep cordial apologetic snap Sarah move we Millennium Mayfair great . what make bad Priceline advertise 4 start hotel . 
 Sep 10 2005 	 Filthiest room ever probably health hazard 	 Thick dirt & amp ; dust heating / conditioning unit ; room edge uncleaned obviously age ; likewise surface - recipe bed bug & amp ; goodness know else . many uncleaned mark carpet . window fall apart screw shut ( think 's true room ) . bathroom dirty ; peel paint ; fake marble panel peel gap collect yellow gunge ; limescale everywhere fitting ; showerhead disintegrate ; scald hot water . cleaner use bathroom towel clean bathroom floor . apparently standard room look like accord management . reception area area look quite good though bench seat bar collapse sit . breakfast staff seem terrify someone , probably unsmile lady seat . often long q 's ( line ) wait seat . we travel extensively many year - filthy place misfortune stay . earth could give condition star ? probably need shut period sanitize / sort room . well worn , tatty furniture & amp ; carpet . total embarrassment anyone British - hope visitor think brit find squalor acceptable . 
 Aug 31 2005 	 reliable comfortable expensive 	 ' ve stay several time ( usually expense although ' ve pay stay ) 's comfortable , well - appoint well - run , although somewhat ' soulless ' hotel . room large , furniture decor bland moderately luxurious ( well - appoint bathroom ) , staff polite courteous , everything seem work . discreet , efficient characterless - somewhere use comfortable base London trip rather somewhere arouse strong feeling . much live 4 * billing . 
 Aug 31 2005 	 bed bug damp dirt thing stay ! 	 stay 2 night could not wait check ! great time london Hotel pitt . old date outside , real eyesore . room back hotel overlook train track not really bother much . room stank mould damp bathroom even worse , shower curtain clearly not wash age really sour smell it . I think fact could not open window something natural air room ( hate room seal window ) . however , 's defense aircon quite powerful hate aircon get sore throat cold result ! also find bed bug second night move room midnight , Manager apologetic move we upgrade room not much different standard room , different colour scheme well view . get room Priceline good deal future would rather pay stay somewhere decent , feel really dirty itchy whilst stay clothe smell damp get back home , nice ! 
 Aug 25 2005 	 good choice 	 husband quick layover London one night way back NY France stay nice hotel suggestion co - worker . hotel clean , comfy , fine bathroom nice lobby . location good , close tube around good hotel . would highly recommend . one thing want bring guarantee non - smoking smoking room . want non - smoking room go check , tell ( even though reservation ) room available smoking . pitch fit can not stand smoke stale smell leave behind , choice full night . pleasant surprise , room not smell like smoke , fine . one side note good restaurant . need place eat late night concierge tell we everything close ( 11 pm ) . go look anyway find great lebanese restaurant right across tube station . excellent stay open 2 am . 
 Aug 19 2005 	 great location 	 good thing hotel go location . super close tube station within walk distance lot shop , restaurant pub . first impression outside great ; kind date - look quaint sort way ! inside nice modern - look . book Priceline get great deal rate , check - in get bit run - around tell could guarantee non - smoking room ( & quot ; especially reservation book internet offer & quot ; ? ? ? ) suggest upgrade standard room expensive one . refuse , miraculously come n / s standard double originally specify . beware try coerce upgrade due issue availability . we satisfy room . although extremely plush , appear recently renovate new carpeting furniture overly worn . room clean decent size handy amenity coffee / tea service , fridge , blow dryer ironing board . room face train track , surprisingly loud , problem there . we eat one dinner hotel , ok nothing great . also stop hotel bar ; ditto plus overprice compare local pub . we would stay ( especially could get great pricing ! ) - sum , clean & amp ; decent place great location . 
 Aug 17 2005 	 Good Location - Fair price 	 Hotel good location site transport . bedroom ample size need re - decoration - although clean . communal area ( e.g . lobby , hall etc ) well condition - time get bedroom abit disappointing . bar staff abit off - hand charge we drink ( husband noticed repeat order ) .continental breakfast overprice good . go Muffin Man tea shop round corner lovely cook breakfast - price 3 breakfast one continental hotel . would stay price , location cleanliness fine - nothing special 
 Aug 16 2005 	 room bog standard 	 price suppose ok - expect bit . room bog standard , breakfast bad except juice fruit , shower excellent bathroom tiny - would go fit price . 
 Aug 5 2005 	 4 Stars location 2 star room 3 star Overall 	 stay 7 night July 23 - 30 2005rate : $ 100+tax . location : Perfect , Mark Spencer , Somerfield , Restaurants , shop , even Macdonald 's , walk 150 m Kensington high street . transport : kensington High street Tube street , however , circle line available stay incident . could also take Tube to / fro airport , convenient inexpensive GBP4 ( Adult ) way airport . mini cab GBP35 , Taxi probably GBP60 airport . room : resonable , 12 - 13sqm + toilet , quiet , could upgrade 11 - 12th floor pay GBP25 - 35 / night , B / F include , well room . furniture room heavily worn , make room look like day Inn ( highway / express version ) Copthrone . non smoking room , apparently non - smoking room . empty small fridge shopping , handy . overall satisfied room . internet : sorry , laugh ... internet connection room , go lobby get connect . GBP8 / hr , GBP10/3hrs , GBP22/24 hrs , hour continuous , unless could sit lobby whole night , sure do . tel connection GBP2.5 per call ( 0800 number ) vicinity : Near Kesington Palace , Hyde Park , complain . service : good , friendly , helpful . food : eat meal hotel , lot choice High Street . 
 Aug 1 2005 	 Pleased 	 stay Copthorne Tara June 19 - June 26 . little worried past review , find excellent deal Londontown . quite pleased . email hotel ahead time specify non - smoking room early check . arrive 1:00 room already available . check - in desk busy , however notice times swamp . lot tour group stay . problem noise outside guest . room face street , tube . can not beat location . Muffin Man great , highly recommend ! find staff hotel accomodate friendly . & quot ; problem & quot ; , know advance , sink . hot water cold water come separate end sink . make warm water little difficult ! ok though shower nice , great pressure . overall pleased would highly recommend anyone visit London . cheer ! 
 Jul 25 2005 	 thin wall ... 	 good part hotel location . perfectly locate - tube station one block away . the room fine , seem bit old side . pay $ 105 priceline 4 night . big complaint thin wall . could hear conversation word word neighbor . , one night barely sleep fight couple next door . call front desk not seem anything . the concierge ( ) great 24 hour . Jimmy help tremendously ! sure would stay thin wall . 
 Jul 23 2005 	 Good Location 	 stay 5 night July . room nice spacious , reasonably clean air - condition . close tube station nice quiet area . the complaint would noise hear adjoining room , easliy hear people talk even snore ! 
 Jul 20 2005 	 Great Location Nice Hotel 	 reading lot review site , sceptical hotel use 5 star posh resort hotel . boyfriend stay Tara July 2 - 6 . get around 135 $ night Priceline . let tell , first impression be not always right . outside , hotel look outdated , enter , see marble floor lot chandeleer . room clean european standard normal size . arrive @ 1 pm tell room ready @ 3 , . hotel update inside . nice elevator , hall , business center , gift shop . another hotel right next door offer use facility 10 pound person . find gym , large pool , jacuzzi , wet dry sauna . day walk around site seing , nothing feel well jacuzzi ! Kensington area great , lot store restaurant , touristy Picadili Mayfair . tube 2 block away great breakfast place call Muffin Man block , stop every morning prior full day site seing . overall , please Tara hotel . great location cleanliness . one thing bother bit sink bathroom leak bit night separate faucet Hot Cold water bathroom sink . , great ! 
 Jul 5 2005 	 Good Location 	 stay Copthorne Tara six night please location , cleanliness amenity . although check - in bit rough ( lot guest check clerk seem new ) , staff accomodate overall try make stay pleasant . book Priceline , feel like get great deal ! 
 Jun 28 2005 	 Copthorne Tara .... Kensington Area 	 Good bang buck , good area London . stay 2 night , June 10 & amp ; 11 . book thru Londontown [ - ] continental breakfast . worry noise ' tube station ' near rear building , never bother we whatsoever . room large clean . location close tube Big Bus tour stop , lot small rstaurant amd pub within walk distance . for London , complaint whatsoever . take walk ( turn right ) along Kensington Rd . take local park site afternoon without head downtown Westminister . at subway station Marks & amp ; spenser store , grab wine , beer , munchie etc . etc . dano 
 Jun 28 2005 	 complaint .... 	 room Copthorne Tara 4 night London . even though face underground , noise issue . room neat though spectacular , location near underground station real plus . breakfast good , agree say make sure covered room rate . pricey . if go back London , would stay Copthorne . 
 Jun 23 2005 	 good hotel great location 	 stay hotel June 4 - 8 , 2005 . be definitely 4 - star property certainly acceptable long get special room rate via internet elsewhere . make sure room rate include breakfast , meal expensive . breakfast extensive all - you - can - eat buffet cereal , juice , fruit , bread , cheese proverbial ham . hotel short walk High Street Kensington Tube station many shop restaurant locate area . laundromat locate block hotel Cromwell Road take advantage well . would definitely stay . 
 Jun 19 2005 	 Hated Place . four star ? way 	 wife stay Copthorne Tara three night London . first , arrive London , quite pleased hotel location . Kensington High Street , shop pretty nice . importantly , adjacent subway station , make get around London lot easy . also rate four star hotel . think four star hotel , think place like four Seasons , perhaps Ritz - Carlton , Intercontinental , etc . well , guess Copthorne 's owner vastly different idea mine . first , exterior lobby hotel UGLY . remind 1970 's , ie . , decor never update original construction . stay hotel ugly outside nice inside count , room . mean case Copthorne . check - in process take . clerk none friendly . attitude customer guest get way . ok , could deal . enter room , surprise . look like inside Motel 6 dorm room . nothing Motel 6 's , know get price stay Motel 6 . not expect hotel bill & quot ; four star & quot ; . example -- cheap modular furniture ( like dorm ) . lumpy uncomfortable bed . could accept grudingly except service really tick we . dripping bathtub spigot . keep dripping dripping . get pretty annoying night . call front desk , say would send maintenance guy . 11PM wife make trans - atlantic trip . really tired . ask another room . way . maintenance man first . came want basically take damned fixture apart . night ! ! ! wife exhausted tell come back next day . next day wife go sightseeing come back , see result work , dirt etc . take shower lo behold , drip come back . call clerk . could not anything . decide give . tick start look another hotel London since go stay one night , decide worth trouble move luggage . 
 Jun 12 2005 	 Good Hotel Great Location 	 stay Copthorne Tara May 22 May 31 , 2005 . book Priceline little afraid review . however , hotel good choice , especially budget . clean whole staff ( include consierge ) friendly family . since book Priceline , go double occupancy , e - mail hotel make arrangement . go smoothly provide we family room ( two connect room ) 10 pound supplement per night . hotel locate nice area . extremely close ( 3 minute walk alleyway 4 minute street ) High Street Kensington tube station , extremely convenient . Kensington Gardens / Palace also extremely close . bathroom good except two separate hot cold water sink since connect room mix faucet okay . shower strong could regulate slightly . water temperature great . also , first floor train track side could hardly hear train . make noise try listen time hear . never hear anything wall last night rowdy young bunch stay next door ( could probably say place ) . would recommend eat hotel breakfast ( Brasserie ) unless complemetary stay . price offer . cafe Internet slightly overprice people work extremely nice food pretty good . outside hotel , would recommend Pret Manger like organic salad sandwich . Thai Terrace good restaurant expensive . eat Muffin Man time not bad . overall , hotel great location allow we great vacation . 
 Jun 9 2005 	 good location average hotel would stay 	 enjoy hotel . pretty clean , room fairly large Europe . safe room . concierge helpful learn ask anything . rest staff friendly though . tube station block away , boot ( sandwich , drink , bandaid , etc . ) next tube station . block grocery store buy can drink refrigerator room . big Bus Tour stop 2.5 block away . get good price ( $ 80 US ) , love location , like room , would stay . 
 Jun 7 2005 	 Friendly Hotel fantastic location 	 travel London often business find hotel website , stay Copthorne hotel . location need - High Street Kensington quiet night high street plenty shop , bar cafe lot variety . 2 minute underground station high street take bus straight Oxford Street Piccadilly ( great get theatre district ) . warm day lovely close Kensington Gardens Hyde Park fresh air get away crowd . at hotel find service excellent helpful booking ticket theatre . book connoisseur bedroom top floor breathtaking view London include access Club Lounge . breakfast morning freshly bake prepared drink evening also . the broadband access bedroom also handy work . overall would not hesitate stay . 
 Jun 1 2005 	 Great Location overate hotel 	 stay three day May 25 - 28 , 2005 . location great , close Kensington High Street shop nearby park museum . lot shop inexpensive food option nearby , buy breakfast Marks Spenser day . hotel staff helpful confimring room request prior arrival , email . request non - smoking room face west high floor . perhaps difficult fulfilling request , open check 10 wait almost 5 hour assign room . complain numerous time tell check not guarantee 3 pm . never wait long check early Europe . however satisfy room request . the room however , old outdate two black metal chair look 30 year old , unpleasant . bathroom ugly shower almost impossible regulate water 's temperature . bed double duvet cover , bed old uneven linen pillow low quality . turn service offerd . order ice room service one night since ice machine charge 2.20 pound ( $ 4 ) ! go bar get two glass ice need . tv channel . hotel bar two restaurant internet cafe , ammenitie . gym pool . overall , disappointing alhtough staff try well helpful . 4 star hotel , probably even three star hotel . 
 may 25 2005 	 would stay ..... 	 ....... price right . pay £ 70 night price London think pretty good . huge place room mile lift pleasant view across Royal Albert Hall . check - in well experience lately book online agency although , book double allocate twin could change smoking room , not bad . Kensington lovely place stay work City day room nice quiet contrast businessy hotel Euston . if suggest anything hotel would on - site leisure centre though must size hotel ( 835 room believe ) .I would recommend Copthorne price right . get price booking & quot ; top secret & quot ; deal find hotel ' ve pay . trick find sort distance certain spot compare description , crudely anonymised . 
 May 23 2005 	 Great Location 	 recently stay 3 night 14 year old daughter , first trip London . location terrific promise prior review , couple minute walk Kensington High Street station . area upscale quite safe walk back late evening . we arrive early afternoon pleased find could room right away ( 1.30pm ) . room good size 2 twin bed , hairdryer , iron , coffee / tea service , fridge FANTASTIC bonus daughter bite fussy food . take advantage nearby Marks Spencers food hall cafe several meal snack . bathroom clean , lot hot water good , strong shower head ! room face Tube track not notice noise , night come back exhausted sleep like log anyway . staff pleasant helpful . would definitely recommend hotel friend , would stay . 
 may 4 2005 	 perfect ! 	 really one great hotel ' ve ever see lately . perfect spot , great lobby large , clean beautiful decorate room . food variety limit , not matter . nice ... price good , worth money pay . love . strongly reccomend , especially book good price via internet . promise . will not believe eye ... 
 May 2 2005 	 Honeymooner 's Delight 	 new husband stay Copthorne Tara Hotel Kensington April 6 April 13 , 2005 . feel confident book hotel read review homework hotel other . thoroughly enjoy stay highly recommend hotel anyone visit London . consierege extremely helpful friendly arrange tour give wonderful tip sight see . upgrade connesiour , receive wonderful complementary contintental breakfast morning drink snack evening beautiful designate area . serve toast beverage friendly server also nice buffet choose . relax time , also option view large screen television well newspaper free internet access . home away home we . last day sad one honeymoon remember thank Copthorne Tara make memorable we . 
 Apr 29 2005 	 great 	 reasonable hotel certainly nothing special fact boyfriend quite disappointed . advertise four star hotel see nothing would put three star , indeed ' ve stay nice two star . room quite small , bed tiny , furnishing sort thing would find travelodge bathroom crack tile not clean place . get bargain , move complain , ask price room £ 225 certainly worth pay even half . be stay town business need somewhere lie head fine , otherwise would suggest spend little bit , go little afield find something impressive . 
 Apr 27 2005 	 fine -- impersonal dump . 	 stay Copthorne Tara three night mid - week April 2005 . book hotel Priceline $ 88 night able get double bed non - smoking room without problem . good thing hotel location -- three short block High Street Kensington tube stop . also close shopping , dining ( like indian , try Utsav High Street ) cash machine . hotel fine -- lobby nice , concierge knowledgeable help we figure get discount theater ticket . room okay -- large clean , look like mistreat bit prior guest -- black mark wall , scratch furniture , etc . etc . also , pillow flattest hard ever experience -- sleep bit uncomfortable . room face front parking lot , not problem noise tube . 
 Apr 24 2005 	 unbeatable value price 	 husband travel throughout Europe mid - sized budget find Copthorne excellent deal consider expensive nature Kensington area . truly amazing find great price large room perfect location . certainly return ( help Priceline ) again . we book Copthorne via Priceline bid $ 80 / night 4 star hotel ( taxis total around $ 100 / night ) . appear many other tripadvisor book similar bid ... fact parent recently bid late April exact bid also offer room there . the location excellent . & quot ; secret & quot ; route tube station take 3 - 5 minute walk hotel ( hint : walk leave towards pharmacy exiting tube gate ; follow alley exit leave ) . 10 minute walk Kensington Gardens . & quot ; Muffin Man & quot ; restaurant little block away provide reasonably price breakfast . also try Thai restaurant intersection find price reasonable , food good US standard , decor charming . however , buy breakfast bakery Marks Spencer nearby . the lobby clean update . fact hotel use several airline flight attendant reassure . try offer we room two twin bed , despite call reserve double bed . however , give we desire room minimal resistance . would recommend call bidding priceline request non - smoking , double bed , etc obtain new confirmation number . we 2nd floor face track . hear train ( sound like distant thunder ) , rarely room . noise excessive mean keep we awake . actually calm , like distant storm summer . traffic noises whatsoever ( oppose hotel London ) . pretty park across track room look . room 's decor simple outdate , sufficient clean . size room certainly generous London standard double bed , two chair , table , desk ( compare 3 star hotel US ) . mattress great , still great deal money . nice - sized tv cable , fridge , portable coffee pot teacup , hair dryer . in - room safe , keep luggage lock problem . believe safe front desk need . bathroom clean old well - run shower . yes , two knob sink shower . however , anyone complain travel enough Europe . invite embrace quaint charm ! not travel first place ? ! eat restaurant , many place city cheap food similar quality . summary , excellent deal money use priceline . complain service decor need try hotel London price ( $ 100 / night tax ) ; thrill stay Copthorne . romantic elegant , would still fine single couple budget want clean room London getaway . certainly attempt stay via Priceline next trip . 
 Apr 23 2005 	 comfortable hotel great value 	 stay Copthorne Tara week find quite comfortable . room large London hotel stay , plenty space luggage we . room clean attractive . hotel look little grungy outside , pleased soon see shiny lobby . location excellent . hotel 5 - minute walk Kensington Tara tube stop , along lot shop , cafe , restaurant . Hyde Park close , well , able take nice long walk morning . feel safe walking around area night . we take advantage theater ticket service lobby . man business hour , save we trip Leicester Square , get we 1/2 price ticket Fame . 's also pay internet kiosk lobby . complaint overwhelming heat room . room massive air conditioning / heater unit , not cool we . not hold hotel much , not complain late night , point not want maintenance come . suspect typical problem Copthorne . the bathroom large hotel ' ve stay . look little worn around edge , still clean comfortable . hotel breakfast expensive , eat Cafe Nero street . I would happily stay Copthorne next time . 
 Apr 19 2005 	 Copthorne Tara practical solution stay London . 	 return 5 night London Copthorne Tara Hotel . hotel large room , large american standard , perfectly comfortable . room clean hotel well keep . ask room front hotel ; rear get alot noise underground station nearby . hotel conveniently locate two block Kensington High Street underground station . crew several airline stay hotel . also many tour group . people man concierge desk helpful ; other . hotel restaurant ok convenient late weather inclement , service indifferent . arrive early , let hotel know early arrival . arrive early informed room would available 3 . check back several time always tell , without clerk even check , unavailable . indifference also seem carry maintenance . heat work : instead try fix , hotel provide electric heater 5 day visit . incident annoying , would still stay Copthorne Tara . hard find well locate comfortable hotel London . long one expect 4 star & quot ; luxury & quot ; charm , hotel good choice stay London day two . look good discount provide internet web site . 
 Apr 15 2005 	 good hotel nice location 	 stay Copthorne past week , generally pleased stay . mean luxurious hotel , serve purpose well fine place return end long day . room seventh floor , overlook road lead hotel . sensitive noise Tube , sure request front side hotel never hear train . staff pleasant helpful , first day check - out . eat breakfast hotel plenty cheap option nearby include Caffe Nero coffee , fresh fruit , muffin . plus Marks & amp ; Spencer terrific selection food , may also pick sandwich Pret Manger Boots Tube stop . quick dinner , stop Wagamama Kensington High Street , near Next Top Shop . Copthorne 's location great , within easy walk distance Kensington Palace , wonderful V & amp ; , Harrod 's . musty smell hotel 's hallway saggy bed , gripe High Street Kensington Tube stop District / Circle line , change line nearly time ride Tube order reach destination . huge hassle , would stay copthorne location reasonable rate . 
 Apr 10 2005 	 like malaysian / singaporean cuisine ! 	 stay Copthorne Tara twice . stay business . find occasssion , hotel efficient room comfortable . work late order room service dinner , find service friendly swift . particularly like idea hotel clearly place Malaysian Airlines staff staywhen break journey . Malaysian / Singapore menu list room service great . would use central hotel London like other say , breakfast good . 
 Apr 2 2005 	 worry 	 book hotel Priceline ( great price ! ) aside 10th floor room look railroad track , little complain . room large , clean , modern ( although end 2 twin bed instead double ) doorman extremely helpful car parking situation . time check , car park full allow we park small lot front hotel night ... free ! clientele appear mix pilot / flight attendant , student , business traveler . eat , restaurant menu appear fairly overpriced . breakfast price look outrageous ( try Muffin Man instead 1 block away ) . overall , satisfy experience . 
 Mar 23 2005 	 great hotel great location 	 reading review post somewhat worried staying hotel . hotel close near tube station ( High Street Kensington ) , roughly 4 block . also along High Street Kensington nearby Kensington Church Street numerous bus stop . fridge room great way save bit money food . Safeway 5 - 10 minute walk away Marks & amp ; Spencer 2 minute . ( & amp ; food store basement department store ) enjoy sandwich shop Pret Manger next tube station reasonably price sandwich / drink / snack / etc , although find London . numerous shop restaurant along High Street Kensington , find hotel within easy walk distance Kensington Palace mother . able take tube bus get around quite easily centeral London . we two twin bed room , comfortable . bed duvet type cover top , top sheet use , not end bother one bit . sink bathroom hot cold faucet , mix water basin . room get touch warm one point we , adjust fan cold would go , comfortable mother cold , depend personal preference . electric kettle tea / coffee / cream room . coin operate computer near lobby internet use , think around 1 pound 5 - 7 minute . also little cafe nice tv area . staff friendly helpful . when go back London would consider stay hotel depend much spend . not 5 star hotel , price enough . traveler look spend fair price nice hotel great location , great place stay . anyone travel London , drop e - mail question . have happy offer suggestion give detail hotel surround area . cheer ! 
 Mar 14 2005 	 Copthorne Four Star 	 use Priceline book hotel . rate 4 star ... far 4 star . check give we facility request wait change room . room unclean make special request clean towel bedding . bathroom never get properly clean ( ' m clean freak ) . staff spotty service . helpful other downright rude . although location excellant , stay . 
 Mar 12 2005 	 Great Place ! 	 first think GOT STEAL hotel $ 120 usd night * * check - in Past 9pm rate * * * look review guess ! however hotel still EXCELLENT price get ! staff friendly ! bend over - backwards ! stay late June , one night Feb. ! June spend night high floor overlook park ( train track directly ) . although window seal - shut think dual - pane could still hear train : ( though sleep pretty good ... second stay past Feb . put second floor other - side building = train = complete silence . give real - example nice Concierge / Copthorne check - in : excellent in - room breakfast menu choose . suppose 2/3am . wake around 5 am call downstairs starve ask could still put it - outside around 8 am . man nice polite state could put within next 10 minute would happy run take kitchen . = love Copthorne Tara ! ( note 1 Copthorne ) . check - in & amp ; check - out lady ( ) nice good laugh . arrive early day / need time kill night downstairs - little shop / cafe / chill - out room . little area watch tv Plasma screen ( news ) , connect internet cheap , buy drink little glass - counter . probably waste 3hours jetlagged . Great Deal . clean room like Hampton Inn America . nothing special , price : great , great , great ! tube station fairly nearby . tube station exit ( main ) take leave , walk 2 minute , take another left hotel ! 
 Mar 12 2005 	 Great Hotel 	 stay one night early Feb , read review site little worried might find get , not need worry . from moment arrive doorman look car not charge want little tip , alone save small fortune , lobby reception smart clean , check quickly friendly . room one eleventh floor open door amazed view , sleep curtain open not want lose it . the bed spacious , clean comfy , sleep like log . breakfast excellent , wide selection cold hot , buffet style english get nice hot breakfast . the location perfect every sort trip London , stay everytime go London . 
 Mar 10 2005 	 Loved ! 	 stay weekend March 2005 , weekend deal Superbreaks . Lobby / Reception Area , beautiful , staff helpful . room bit run , hey , long stay room be London . very quiet room , breakfast good , Bar Area comfy price reasonable hotel . it well locate 5 minute walk onto Kensington High Street . here be tip anyone need light lunch take , 's Boots Chemist top Road , next Tube Station . ' Meal deal ' Sandwiches , Fruit , drink , etc . approximately £ 2.50 , time back Wakefield , surprised find price London . ideal sightseeing visit pay bomb lunch . we will go back 
 Mar 4 2005 	 perfectly fine 	 feel compel right review praise Copthorne . worl London every week Priceline almost inevitably place Copthorne - usally £ 45 ( although £ 40 ) be fine . niggle minor - except one occaison a / c warm fix ( two request ) . lighting system would challenge Edison ' m every week ' ve got hang it . try pint Brittania Allen Street -two street away 
 Mar 3 2005 	 not know complain ! 	 book room Priceline $ 85 usd per night ( 46 GPB ) - steal nearly hotel London day ... read review Tripadvisor get little worried . hotel wonderful . located one block High Street Kensington tube ( exit station , turn left , turn leave first street , hotel end first block ) , could not ask convienent location ! lobby nice . check - in quick friendly staff . room one large hotel room ' ve ever Europe ( complete 58th trip Europe 8 year ) . comfortable bed , mini fridge room ( stock mini - bar , small empty fridge use - unheard universally - great idea ) , clean bathroom , hot water instant turn spigot , fantastic water pressure ( not take shower -- get sandblast morning ! ) . lobby level concierge , Currency Exchange , Gift Shop , fancy Coffee / Pastry Cafe ( take - out order ) , Restaurant , Cafe Express ( take - away order - various type coffee , tea , sandwich , fruit , etc ) . honestly not understand complaint hotel ! ! guess people go unhappy matter stay . oh - way - european hotel supply wash cloth . european view personal item uderwear / pantie , expect bring . find something complain , could come 2 thing : ( 1 ) although refurbish room ( new carpet , bedspread , etc ) bathroom fixture replace , chrome wear underlying brass area , ( 2 ) could faintly hear train tube stop background ( really loud ) ; since ' m heavy sleeper not even notice ; be sensitive sound , may want get room elsewhere . travel 100k+ mile per year , travel world , LOVED place . HIGHLY RECOMMENDED . 
 Feb 26 2005 	 Thumbs 	 return 7 night stay Copthorne Tara , get great room $ 75 night ( plus taxis ) . ask quiet room 2 singlebed upper floor . get three . bed comfortable , water pressure wonderful . since fan / circulation bath room , leave door crack open not steamy . Kensington High Street Tube short walk two grocery store near . small fridge room , feel lucky . use telephone room possible . call outrageous use phone booth ( plenty ) . say thank great time London , Copthorne Tara , will back . 
 Feb 23 2005 	 enjoy stay ! 	 return 7 - night stay Copthorne Tara . get hotel $ 82 / night Priceline complaint hotel all . it not look like much outside , inside much nice . public area nice . restaurant ( not eat , though ) , gift shop , concierge , doorman brochure room spa service nearby Kensington Close Hotel . also 2 pc 's lobby use connect internet ( £ 1 11 minute . ) also wi - fi available laptop , be cheap - think £ 8 / hour . we e - mail week arrival request twin , non - smoking room upper floor room 9th floor ( non - smoking floor ) - face tube track , not hear train . view nice - could see Royal Albert Hall , London Eye ... room ( standard twin ) look like recently refurbish - clean , nicely furnish comfortable . bed white duvet pillow reasonably comfortable hotel pillow . bed comfortable . mini - fridge , hair dryer , iron / ironing board , tea kettle room . the hotel close High Street Kensington tube station # 9 # 10 bus also convenient . also lot nice shop restaurant along Kensington High Street . Kensington Rooftop Gardens Kensington Palace nearby . there also shortcut tube station - 's walkway Boots Pret Manger tube station lead back Copthorne Tara Kensington close hotel . save step . : ) would definitely stay . not complaint hotel . 
 Feb 21 2005 	 steal $ 85 . 	 return 4 day copthorne . pay $ 85 per night priceline . close 4 star hotel . outside appearance like 1970 high rise holiday inn . inside lobby hallway nice . think recently donover . hotel tourist bus place . always 3 4 large bus outside . always hoard young japanese people lobby . room nice size clean . holiday innish 70 . bathroon 2 faucet sink shower . although shower plenty pressure , difficult regulate faucet . people lobby courteous helpfull . do not like location , almost zone 2 tube . 10 minute walk high st kensington tube . get west end , take tube one stop change line . bus , # 9 take 45 minute west end . do not go restaurant bar . price major consideration , good place . 
 Feb 11 2005 	 ` ` dump '' 	 say , location everything , 's hotel go . book three room priceline pay $ 70 per room , think get good deal , see room , mine good three . feel rip . aside old tatty furniture , place musty smell , worst clean . idea place get four star rating , would give two 
