love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Oct 18 2005 	 Emperor 's New Clothes 	 Soho Grand example Emperor 's New Clothes ? People tell great place stay . well - trendy ; nearly $ 500 night certainly exclusive . earth people stay ? staff snooty ; room small wife keep fall ; proper wardrobe little storage space anywhere else ; decor dingy depressing complain size room . not seem interested solution - could pay another $ 60 big one . choose alternative strategy - have book 4 night check 1 . 
 Oct 17 2005 	 Perfect Seduction Weekend 	 recently stay overnight Soho Grand New York Seduction Special . welcome glass champagne , early check - in room ( upgrade corner room without ask ) , complimentary cocktail dinner , excellent full breakfast room follow morning , late ( 4 pm ) check - out next day . $ 414 one lively quarter New York City ! ! ! ! ! ! ! ! ! can not wait . neither Maltese Pup never warmer welcome hotel ! ! ! ! ! ! ! ! ! 
 Oct 16 2005 	 great ambiance - Rooms could use help 	 recently spend 2 night love staff ambiance hotel . atmosphere bar cool can not beat location hotel . coffee machine floor godsend . downfall room . cover bed couple moth eat hole overall room live price rest hotel . would stay time ask room well sheet ! 
 Oct 10 2005 	 fabulous weekend Soho Grand Hotel NYC 	 husband & amp ; truly enjoy recent trip NYC . stay Soho Grand Hotel foundation entire getaway . every aspect experience impressive . room , location , hotel lounge , service & amp ; every employee encounter , phenomenal . Soho Grand Hotel offer wonderful environent adult weekend getaway . hightly recommend couple ! 
 oct 9 2005 	 Loved Soho Grand 	 return stay Soho Grand Hotel NYC locate posh Soho district NYC . registration staff person wonderful staff interact . bed comfortable ( important ) nice , fresh modern decor fabulous view city window . internet connection great believe include . room not huge ( fine NY standard ) inexpensive , location PERFECT ! , right heart ton excellent restaurant , cafe , high end store within easy walk distance step away . hotel also convenient easy public transport want get uptown moma flash . ' m pretty picky meet expectation . would definitely stay next time visit New York -L. Saul , San Francisco 
 Oct 2 2005 	 first choice hotel travel NY . 	 travel ny least 6 - 8 time year SOHO GRAND become first choice hotel . staff great . love location , easy get around , even go uptown ! room spacious , cool bar , great food restaurant . highly recommend hotel ! ! ! 
 Sep 20 2005 	 feel like rock star Soho Grand 	 feel like rock star stay Soho Grand .... anyway . be nice stay place really & quot ; get & quot ; regard service . walk front door Soho goodness sake . cool ? bar open late pretty cool want end night drink talk awesome NYC ! stay ! ! ! 
 Sep 20 2005 	 one star hotel ? 	 place near four star hotel . provide nothing unless thing matter ' hip ' image . hip replace service , quality decent room . hip give big fat stain carpet ... ' cool ' mean bathroom break fan air conditiioner rattle ping night long interrupting attempt sleep brick bed . thrill soho grand hip end evening ride elevator room front desk four ( 4 ! ) different time wait line room key never work twice . hip part come order meal broadway show restaurant .... never come . beg bread alas not even show feast oh hip apple free lobby . ( get pay apple ) ' m sure wait staff busy look mirror worry food , ... maybe preoccupy cheap vanilla product give sparingly away room . want decent place , . want place help ' hip ' ' cool ' , waste money . you exactly design place accomodate . much hip worth ? 
 Sep 18 2005 	 Soho Grand Hotel - never ! ! ! 	 shock room . $ 556.00 , get dirty room dirty bathroom . joke . realize old building money expect fall apart . save trouble find another hotel move . needless say , learn lesson stay Soho Grand . 
 Sep 13 2005 	 ' m regular Soho Grand 	 stay Soho Grand month ' m City business . 's place ' ve stay since discover 7 year ago . like understate elegance , helpful staff , great ( room service ) food 's cool , without try hard . work art business , location important . 's close Chelsea , Village , walk distance Little Italy Chinatown adventurous dining . great beauty salon next door ( Prive ) ! room small intimate dynamite view . however , hope none choose book Grand since be get difficult get room ! 
 Sep 9 2005 	 expect - brilliant pet gimmick ! ! 	 stay husband honeymoon 3 night . dissapointe hotel however husband love it . the bathroom feel hospital basic , freebie product fabulous ! good ' ve see . the location walk away great treat , shop restaurant . subway round corner , location great get Times Square etc ... staff ' okay ' . rude , not pleasant . helpful answered question go . as say husand love hotel , expect luxury 4 star hotel feel hospial ward I . the good thing hotel pet fish give look throughout stay ! 
 Sep 8 2005 	 Soho Grand OhSo Grand ! 	 start finish , great experience . hotel embodiment & quot ; cool & quot ; total & quot ; warmth & quot ; ! couple late 40 be bring 15 - year - old daughter we , great . staff helpful totally accomodate every way . really feel like someplace special . room , recently renovate corner king , immaculate comfortable . plasma TV please daughter immensely view great . especially love coffee machine every floor -- press button cup whatever strength prefer , include hot chocolate . we spend time outdoor restaurant enjoy excellent burger salad . relax atmosphere . the location Soho Grand fantastic . true neighborhood feel , 's fun stroll street look shop stop bite . husband like jog , take advantage proximity river area beautiful run Statue Liberty loom distance . hotel also bike provide free charge take daughter bike ride bike path along river . a short cab ride Central Park also see show visit MOMA . stay Central Park many time , look forward get home Soho stroll street ice cream . Soho Grand choice stay New York future . 
 Sep 6 2005 	 SoHo Grand Grand Indeed ! 	 room small anticipate , comfort , luxury , view make spade . doormen front desk staff ( especially Karina , one fantastic people ' ve ever meet ) disarmingly friendly helpful -- warm unpretentious . admit bit disappointment concierge , feel bit cold comparison member staff ironically less helpful . however , not think aspect negative effect stay .... positive outweigh one negative longshot . definitely stay SoHo Grand ! 
 Aug 31 2005 	 Soho Grand grand indeed ! 	 wedding night . greet we warmly , give we complimentary champagne check fruit cheese basket settle room . room beautiful comfortable . could not happy ! 
 Aug 31 2005 	 good back . 	 admit stray try new ' Young Pretenders ' ny like Gansvoort ( pretty , service lacking ) , Maritime ( room way small ) , good go back Soho Grand stay year . room may look slightly tired around edge , welcome service second none . real good back . 
 Aug 24 2005 	 Classy hotel nice stay impressive hotel 	 see lobby hotel , want stay hotel long . book special weekend package get good deal . service nice , people kind helpful . athmosphere stylish hotel calm . soothe effect . room nice although extravagant lobby . hope art deco room . bathroom classic design nice . shower good important . course , view . delux grand room , superb view midtown , empire state , Chrysler , time Square ... water container SOHO . great experience hope . 
 Aug 23 2005 	 Location Location Location 	 Soho Grand one downtown 's first truly hip hotel . take hint architectural history Soho , hotel design certain neo 19th century industrial chic . however , certainly groundbreake time , hotel begin pass new comfortable establishment . room seem plain , drab , small , lobby bar dark somewhat pedestrian . yet , location well ! heart Soho scene directly West Broadway . hotel well price , would wonderful . however , price charge , simply worth . 
 Aug 22 2005 	 luv go back SGH 	 go New York last week . would like explore soho area time . choose SGH . first , kind bit worry negative review hotel . anyway , trust choose hotel . arrive . share : front door , valet parking , front desk excellent efficient . service excellent luv dining menu . , next time go new york , would stay hotel . 
 Aug 22 2005 	 Soho Grand 	 Nice hotel interesting area ... wife go anniversary great time . package ( think call & quot ; Romance City & quot ; something like ) hotel include decorate room flower chocolate , drink bar , breakfast champagne ... course view great room ( spend time ) . lot fun thing around area hotel , plus give list go help . , great experience recommend . 
 Aug 22 2005 	 wonderful place 	 wonderful time Soho Grand . room clean , well appoint , great view . business center could check email . Soho Grand probably good room service hotel ' ve . like Greenwich Village Soho , can not beat location . be pricey , be worth . 
 Aug 11 2005 	 stay somewhere else ! 	 hotel stink . stay ( business ) least year past 7 year . time Soho Grand go trendy hot spot shabby , dirty , overprice obnoxious . service deplorable ( call front desk enquire whereabouts luggage 1/2 hour checking . ask look like , still take another 1/2 hour bring begrudgingly room ) . furniture threadbare stain , hair sink , air conditioner loud , corn flake cost $ 13 bowl . not expect friendly service New York hotel least professional would nice . hope hotel go business soon new well hotel open . 
 Aug 10 2005 	 amazing ! wait return .... 	 travel around business extremely picky , hotel right ! helpful doorman take bag door straight room ( grand guest , pre - register ) concierge help club restaurant . renovate room clean design beautifully . incredible stay around ... home NY ! 
 Aug 9 2005 	 new favorite home away home 	 stay Soho Grand first time last week excellent . front desk lady hotel food , service quality outstanding . make hotel new home away home New York visit come ! ! 
 Aug 8 2005 	 Grand ... except price pay 	 recently NY couple day stay Soho Grand one night ( oppose plan 5 night ) . actually enchant arrival : amazing deco lobby , jazz laugh bar sip champagne checking ... wonderful ! less smiley see small $ 300 - a night room yet room size never sell point Grand . mini bar fill chocolate nuts world chic chicest Fiji water ... enchantment really vanish first night : constant noise central air con ventilator , $ 100 pay breakfast ( consist miserable egg toast good pancake ) , bathroom tiny could close door one person ? know check soon possible day , check Sofitel Hotel midtown ( really great one btw ) make great use tube ( cheap ) cab go downtown . 
 Aug 2 2005 	 4 star ? ? ? ? kid 	 let start state stayed many hotel Manhattan year , get small room issue , Manhattan . list complaints:1 ) dirty bathrooms2 ) Bad Air Conditioning3 ) lose fax , twice4 ) forgetting tell we package delivery basket friend check out.5 ) uncomfortable bed6 ) Bedside light work7 ) take 3 phone call hour get iron8 ) tv small not work right9 ) room lovely view outdoor bar hop 3 , turn loud air conditioner drown noise10 ) appreciate drunk high school kid go penthouse party top floor hotel joint ear -- hotel , club11 ) cost $ 300 nightin honesty , try look cool past - its - prime Manhattan party atmosphere try - to - be - hip tourist high school kid , place you . the Soho Grand outdate , sorely need makeover botique 3 - star Manhattan hotel somehow 4 star rating . feel like pay $ 150 night taste cd room , . save money stay somewhere else Manhattan 
 Aug 1 2005 	 Excellent -- ' m really * really * picky ! 	 far good hotel ' ve stay . BEST part room * individual AC unit * -- individual thermostat ! could totally control temp inside room . , 98 degree outside ton humidity -- come handy . 's rare luxury hotel find something simple Air Control . usually large hotel central air system 's set 72 something . be impossible get cool ( like cool temp sleep ) . Soho Grand great regard . room cold wonderful ! one bad thing book King bed think king - sized bed . not . 's European - King . euro - king MUCH small american king . would say halfway Queen King . anyone 5'10 & quot ; tall will not fit bed . AC great , would ' ve miserable . could keep cool , able survive NON - King , King bed . another great thing coffee machine / device hall . good . especially room directly across one . 629 -- think $ 309 night . overall great room ! be within walking distance Soho , never bother eat hotel , ' m sure food service good . try & quot ; Mexican Tier & quot ; snack think taste GROSS . 's get eat hotel 's world - class cuisine right front door . 's italian place diagonally hotel AMAZING . , Barolo street awesome . also within walk distance VESUVIO bakery killer Neopolitan Egg sandwich breakfast / brunch GREAT.We stay week really love . town film festival . would stay heartbeat . good price style location city ! oh , another bad thing -- ask free goldfish place room never get one . apparently get one ask . not let forget ! would ' ve fun ! 
 Jul 22 2005 	 ' Trendy ' ' wonderful ' . 	 husband go NYC celebrate 11th anniversary . decide Soho would fun spot Greenwich Village Tribeca within walking distance . read lot negativity website Soho Grand , think pay one upscale room , would still pleasant experience . I request north - face room could see Empire State Building , high possible . get east - face room ( nothing view - wise ) 14th floor ( 16th penthouse suite ) . make reservation , person reservation try hard sell weekend package , say , & quot ; might well not cost anything extra . get 2 free drink coupon , champagne upon arrival , 2 free breakfast coupon , early check - in late check - out . & quot ; not understand big sell ... practically beg get thing . certain time give champagne , arrive late . give we room key upon check - in , drink coupon breakfast coupon arrival envelope . arrive late early check - in would check late catch flight , could not benefit either . when enter room , absolutely wreak stale cigarette smoke . late get , decide stay room move we morning . call front desk first thing morning complain , say would call right back . evening call back tell we not non - smoking room room level want , have happy move we floor least expensive ( SMALL ! ) room . ( read ultra - small room , reserve large room -- quite suitable size 2 people . keep room size , hindsight , move . smoke smell give dull headache every morning clothe wreak cigarette smoke . ) stay 3 night , 11 pm 2nd night , still receive anything come & quot ; package & quot ; buy . call front desk vent fact room stink badly still receive freebie , plus not get turn - down service night . front desk manager say , & quot ; oh , not turn - down service unless request it . & quot ; could not believe ear . price pay , not include turn - down service ? complain receive thing package , say , & quot ; yes , see . valid complaint . ' m sorry room stink , turn whole floor non - smoking floor not give time air . be first person complain . & quot ; okay , point , ' m furious 's offering solution ask directly , & quot ; go problem ? & quot ; everything & quot ; package & quot ; deliver room 15 minute later . offer spray room something disguise smell , decline offer fear have smell floral mixed stale smoke . the thing hotel go location . 3 - night stay , never see employee look like 35 year old . odd we . doorman , front desk employee , waiter , waitress , young -- early 20 's mid-30 's . feel like employee year experience know treat guest . little aloof . ( , not chalk & quot ; NYC attitude , & quot ; chalk poor training . ) front desk lounge . comfortable place sit drink , keep loud synthesized music go non - stop afternoon night . guess 45 year old , ' m old appreciate can , synthesize music . seem like desperate attempt & quot ; hip . & quot ; ' m interested know client base , can not see young & quot ; hip & quot ; 20 - ish people hang bar actually spend $ 500 / night room . apparently , hotel try appeal age group . during weekend , husband pop hotel check future reference . pay Soho Grand , could get room Peninsula Hotel , probably will stay next time . hotel class . 
 Jul 13 2005 	 SoHI Grand 	 's beatiful building . design decoration great . be grand . 's barely soho.i business . service well average . could accomodate need time . like bar lot . also small gym usually myself . so be problem ? 's good value . think interesting part SOHO decent walk away . room small . soooo small . iron . bathroom , clean , date . , however , love bath product . can not beat Bliss . steal bar extra - expensive soap . 's small consolation price will pay live small child 's room . bed comfortable . room could use light , sun spill average guest . the internet access also little expensive . cost extra ( pretty normal ) speed leave something desire . it be room . place invite friend back , rather small bedroom little big window great soap . pay wait staff , location ( supposedly ) , & quot ; Grand & quot ; brand name , end , be well chain will cost even slightly claustrophobic little piece sanity . 
 Jul 8 2005 	 worth money 	 really nice experience prior stay ( concierge book us ticket send nice mail ) truly disappoint actual stay . tiny room , unfriendly unhelpful front desk . ask two bed room get room one small bed . ask change room two bed front desk staff first say fully book feel inclined say , not room two bed anyway hang phone without wait answer . stay combination small room kind staff attitude available much low price Manhatten . 
 Jul 7 2005 	 never stay ... shame 	 start . stay hotel 3 time , 3rd time lucky . one bad hotel experience , travel extensively . value here . to start room size mini match box , dimly light desk big enough even small laptop . not seem clean . bathroom tiny , stay somewhere 2 week , size matter . closet space hang clothe . the staff seem forget guest . much attitude leave shake head . ' m still astounded day . thing deliver room keep getting send wrong room ( happen several occasion ) . bill incorrect . over weekend , noise unbearable , appear teenager hood something run corridor night ( exaggeration ) . staff nothing complain 3 , 4 , 5 am etc . luckily not hear music bar ( good music way ... although night ) , high floor . room small , sligh sound corridor hear . the location hotel fantastic Soho ... hey ... take taxi / car . worth stay dump fill attitude . definitely lose & quot ; & quot ; factor somehow claim . 
 Jul 1 2005 	 nice foyer shame room 	 want believe hotel love Soho area New York end , feel little short change . entrance foyer great - modern , cut edge . room jaw droppingly small , clothe storage behind bead curtain tiny service chaotic . room leave open day cleaner . mega - trendy staff want look - wise hip part Manhattan completely flakey . ask something not expect receive . breakfast ludicrously expensive Tex - mex cake tray consist Doritos sauce thirty dollar daylight robbery - take epoch arrive . frankly , pay bit stay Mercer . ' m sorry hope high . really , really disappointed . 
 Jun 23 2005 	 perfect getaway 	 look great getaway city Soho Grand place . room spacious appealing , staff simply marvelous . time step door sheek lobby treat like member exclusive club . hotel offer every service imaginable ready willing make every detail stay perfect . offer service age even welcome pamper pet ! locate fantastic neighborhood full restaurant , Galleries shopping could literally spend week 5 block radius . 
 Jun 13 2005 	 nice amazing 	 great location , nice hotel . worth $ 380 night ? probably . room small , bed ( supposedly queen definitely inch short ) small . fun location , great lounge people - watch . clean . like , small expensive get . next time try another hotel location- maybe 60 Thompson . 
 Jun 8 2005 	 gorgeous flaw 	 love love love hotel - mostly . decor fabulous - every hotel hip - hotel - vibe - thing , SoHo Grand individual way . room small , always New York , function well . thing would say , oh still blanket bed ? day age ! 's 2005 1955 , even grandparent duvet day . be incredible trendy hotel . issue SoHo Grand not enough capacity check - in bar busy period . overall , unless be tourist , SoHo far well place midtown uptown . ' ve also stay 60 Thompson , would say SoHo Grand beat . 
 may 27 2005 	 Great Property Staff 	 ' ve stay number hotel different part Manhattan , say Soho Grand one favorite . first , need disclose book hotel online service two week visit ( May 13 - 16 ) , get Grand King room consider great deal . would never stay Soho Grand , bit skeptical read recent review , intrigue want stay SoHo . check - in : arrive 10:00 a.m. greet friendly bellman take luggage direct we second floor lobby , meet smile , enthusiastic front desk staff - nothing like expect read previous review . ready & quot ; attitude . & quot ; even joke around little ! since check - in time not 3:00 p.m. , happy keep luggage , upon return later afternoon , formal check - in quick friendly , offer glass champagne - nice touch . get room , luggage arrive within 20 minute . the hotel : clean modern , describe , & quot ; industrial chic . & quot ; be elegant , really cool , suppose , & quot ; trendy , & quot ; people stay look pretty earth , although not see lot typical tourist family , big plus book . not hotel family want typical New York thing . the room : many reviewer comment size room , room small room ' ve stay New York ( ' ve stay much small ) . plenty room move comfortably two people . true , drawer put clothe , travel never really unpack anyway - live suitcase , not problem . space hang clothe , good . return late night neighborhood Saturday night , bar area cranking , not bother noise ( 5th floor ) .The bathroom : great water pressure . Shower drain fine . plenty towel . clean . restaurant / bar : not use either , can not comment . location : other mention , location excellent . within easy walk distance Chinatown , Village , great shop , restaurant , bar SoHo . shout great people Toad Hall around corner Grand St. ! check - out : 12:00 check - out time inconvenient we , ask could check hour later , say problem . check - out easy ; tv room . overall : love Soho Grand . hotel without quirk , relatively minor not want mention ( reviewer cover ) . staff come contact friendly helpful . ' dote , ' like . ' m sure would pay regular rate stay , give similar deal get time , would take heartbeat . 
 may 21 2005 	 not stay 	 new trip advisor stay Soh Grand awful feel let other know . book superior room put 3rd floor room certainly large . would hate see basic one . breakfast serve room bad idea room small even bad caanot get order right bring wrong food wrong time take forever correct mistake . 's great diner round trhe corner breakfast . would not bother offer . at weekend bar loud impossible get sleep room low part buide music turn . bar seem bound hotel guest beyond early evening turf table allocate someone else . do not expect able borrow cd dvd even though claim whatever ask loan someone ese apparently . the bill stay entirely wrong correct line line . when complain tell room would upgrade next stay . they must mad think would ever stay 
 May 16 2005 	 Location Important 	 must , must SoHo , require real value money spend , SoHo Grand hotel . although , truly case , perhaps Mercer would attractive alternative . certainly elegant one . attitude one thing . ridiculous incompetence , another . for $ 559 receive : - & quot ; king & quot ; size bed . please note bed conform standard & quot ; king & quot ; size measurement , smidgen large queen , call & quot ; king & quot ; . - cigarette strew balcony window.- bathroon window one terribly bright light mirror.- show faint water pressure . rinse soap , dubious task.- non - drain shower- guest relation representative put hold never come back . on flip side , think room service much well average . 
 May 3 2005 	 beautiful people 	 room great - clean spacious NYC . staff guest SoHo ... trendy , hip , bit preen . close major subway line , shopping , restaurant , etc . complaint checkout process nightmare . two line movement 20 minute . unacceptable spendy hotel Big Apple . 
 Apr 28 2005 	 nice room - poor service 	 get good deal , room clean nice . hotel super location Soho . not use room service eat bar . service terrible ! 
 Apr 22 2005 	 show age still overprice 	 SoHo Grand long seem grand even merely good . around $ 400 night , get room modest size , minimal term amenity , otherwise oddly musty general atmosphere ( faint layer dust package chocolate set mini bar -- , free , part mini bar offering purchase ) . service , can not really comment , since neither require receive service ordinary . say , however , first hotel ' ve stayed never see hotel staff open lobby door guest . unless be tourist absolutely need step away commercial district SoHo ( , way , become really downmarket icky place ) , go elsewhere . even , may want venture beyond immediate neighborhood , weekend become mob scene , horde people NJ flooding sidewalk 's barely room walk on . I would recommend try hotel newly renovate open Upper West Side , much close real ny like . price half would pay everything thing civilized . 
 Apr 11 2005 	 terrific roomy ! 	 stay many hotel New York : mostly Schragers . small ( though well appoint ) really snooty . we stay SoHo Grand corner room - romantic package - get check noon , check next day 4 pm . room spotless , room service prompt delicious . mention great bar . they nice , think another city ! one good stay ever ! 
 Apr 7 2005 	 Room Small go Hall Change Mind 	 okay , 's old joke & quot ; small cockroach hunchbacke & quot ; case place 's accurate reporting . staff courteous neighborhood ultra cool , tiny , minscule room become acceptable groovy hotel go public ? keep light room dim guess be suppose notice confine cell small one . plus be cheap ! expensive cramp , 's style stay Soho Grand - the name big room - the reason provide goldfish make feel well surrounding . & quot ; look poor fish tiny bowl 77 square foot ! & quot ; 
 Mar 30 2005 	 not - so Grand ... 	 positive : - goldfish room . cool ? - Conceirge give we great recommendation dinner besitos.- staff nice ( although friendly ) - Oscar helpful front desknegative : - lack technological knowledge staff ... - Waitstaff ( except one guy ) clueless horrible . barely give time day.- General attitude poor least un - caring ( ' m fashion hipst ) - time deal conceirge ( except ) poor - either one available , efficient.- automatic 20 % gratutity add breakfast bill - would not problem staff even worth close that . overall , ok experience . would rather see spend time training / hire employee sense customer service ( regardless Soho location ) . not care - want treat like guest inconvenience . 
 Mar 16 2005 	 enjoy grand - great location ! 	 fiancee stay SOHO grand 9 - 13 March 2005 really enjoy stay . read mixed review site prior booking , make decision stay anyway - disappointed . 's one hotel either love hate : real industrial chic feel - 's eveyone . room ( superior queen ) nice fab toiletry , problem hotel staff , pretty friendly . ( want staff tripping help , maybe try Waldorf ! ) . place young young heart conservative traditional type want every whim tend . 's full trendy people ( albeit sometimes little pretentious noisy ) , blast . even fish company stay . see Ben Stiller ( be tiny ! & quot ; ) spend little time reason ( maybe fact have like black blind room ) , consider stay somewhere cheap . Soho great - downtown Manhattan good , endless boutique , coffee bar , delis , restaurant etc choose . need least week get ! 's also spit distance hip neighbourhood like tribeca , Greenwich Village . thumb SOHO grand . would definitely return ! 
 Mar 16 2005 	 Location - Location - Location 	 spend five day New York - business pleasure - love stay Soho Grand . location perfect - downtown within walking distance . service excellent - especially Concierge , manage everything ( dinner - reschedule , car - renting ... ) within minute . set beautiful modern ( posh - stylish - not want get Helmut Lang - Suit breakfast ) oh , breakfast good , ny - pricy - absolutely want go try charming & quot ; Le pain quotidien & quot ; breakfast , two minute - walk away Grand Street ( Mercer ) ... always : be location , be middle ! 
 Mar 14 2005 	 Classic Modern beauty 	 lovely stay Soho Grand , people live New York already ( fabulous Brooklyn ) , picky ! attentive staff , incredible aesthetic style entire space , quite unique , great complimentary apple ( ! ) NY Times , million - dollar view high floor , great neighborhood far insane confine Times Square . piece true , downtown NYC . favor breakfast lounge , eat croissant drink Lattes sink comfortable couch . complimentary docking station ipod ! ! totally awesome . 
 Mar 13 2005 	 Service need overhaul ! 	 boyfriend stay Soho Grand one night . service HORRIBLE . check room ready , decide go lunch one restaurant area . arrive back hotel , room finally ready . check bag bell hop , say would send immediately . take two half hour bag arrive . speak manager Osacar say would get right . three phone call bag finally arrive . room service average . drink lobby bar waitress extreamly rude . service hotel really need improvement . room little small liking . would not stay Soho Grand future . choose another hotel . 
 Mar 12 2005 	 not stay . 	 positive : option gold fish room [ like Kimpton Hotels ie Hotel Monacos ] ; good view 15th floor ; fun barnegative : unpack drawer luggage rack ! , small room , bad service , phone desk , modem hook properly - one know anything computer system ; poor temperature controlin general : NYC often small hotel room , ridiculous - can not unpack [ carryon 2 night ] , forgot contact solution none know convenience store would carry [ hello , NYC ? ] ; would stay either business pleasure . seem attempt Attitude Edge staff- however whole experience fall short . disappoint particularly see website portray ' grand ' . would say grand disappointment . 
 Feb 26 2005 	 favor ... stay somewhere else 	 Service nonexistent room small . staff unable simple task like bring pillow provide item offer menu . coffee outside guest room good worth lack hospitality . 
 Feb 23 2005 	 Location Location Location ! 	 family stay Soho Grand Hotel President 's Day Weekend . want Soho , step art gallery , great boutique shopping stay safe accommodate hotel 's chic cool ? stay Soho Grand . kid love goldfish love complimentary glass champagne check - in . 's everyone start holiday weekend ! 
 Feb 23 2005 	 Grand location so - so everything else 	 live New York , use small room , expect , even really posh place . SoHo Grand posh , not expect . expect bathrobe , work shower , tub drain , towel large napkin , staff would not enter room unannounced disturb sign door ( completely nude , robe ! ) , television might tad large toaster . bar full & quot ; geek - chic - er & quot ; ( thought ) staff great . drink New York price , complete rip - off . good reason stay location . be right edge tribeca SoHo , walk distance good food City , good shopping City us HATE Madison Avenue , close enough village take long walk . view mix , Canal Street , long line car enter exit Holland Tunnel , also low Manhattan skyline , love . the bed huge comfortable . take whole room , fine . not take chocolate mini - bar . vosge Chocolatier two block away . 's good chocolate earth , worth mini - bar price . Kudos SoHo Grand stocking , though . staff rude , everyone edge match decor . not expect sweet , southern hospitality . would not fit hotel 's image . young come NYC shop , eat , drink , hang friend , anything sleep , good hotel . 
 Feb 8 2005 	 underwhelme overprice 	 nice touch glass champagne upon arrival warm welcome end . staff helpful . concierge unavailable time call . one ever open door arrive . room small magazine read want check local attraction need map phone number . unimpressed . stay Mandarin form . price actually comparable . 
 Feb 7 2005 	 great time Soho Grand 	 husband fabulous time . everything Sex City package true staff could nice . would come back . location great especially want tour , shop hang - out Soho beyond . 
 Feb 3 2005 	 enjoy Chic Soho Grand 	 Stay & quot ; chic & quot ; Soho Grand pamper young efficient staff ; concierge recommend , book confirm special evening group friend . sunny quiet room complete package fabulously locate Soho niche . . . enjoy cozy & quot ; Cupping Room & quot ; nearby breakfast ! 
 Jan 6 2005 	 elegant modern 	 Hotel nice modern style , helpful staff good location good cocktail bar . room small , expect New York ? ? ? 
 Jan 4 2005 	 great location nothing special .. 	 somebody say , arrive rigth attitude maybe will love .. SoHo Grand amazing hotel , not go high aspectative will not satisfied choice . location definetely great , heart SoHo will love spending day shop eat around neighborhood , think well hotel NYC . ' m great fan W Hotels time want something different stay SoHo Grand 4 night New Year 's Eve period . staff quite friendly helpful . friend write ton email stay hotel information NYE party nobody answer question party . arrive hotel ask ( another time ! ) possible reserve table party say sell . guest hotel would appreciate reserve seat somebody staff answering email .. , possible suggest italian restaurant guest ? eat italian everyday not want eat italian food NYC .. ! corner room 16th tiny ( usual NYC ) , trendy , modern hip like W one , be ok like & quot ; SoHo style & quot ; . view amazing . bathroom anonymous quite nice , though bath product could well . think tribeca Grand would well choice , also 60 Thompson Mercer , depends be search .. like SoHo Grand , expect .. 
 Dec 28 2004 	 arrive right attitude will love . 	 first negative : room tiny , dresser little closet space . , business , enough room clothe ( bear mind everything bring fit carry - on ! ) service painfully slow ... take day get box have FedExed deliver room , breakfast take hour arrive ( promise within 15 20 minute ) . arrive , put smoking room despite request non - smoking . find lobby upon check - in confusing ; concierge would expect reception desk -- actually one floor high . yet , somehow , completely charm SoHo Grand . complain smoking room , move 6th floor view , 16th view Manhattan skyline ( include Empire State Building , light red green Christmas ) . room clean , bed comfortable , shower hot plenty water pressure ( essential ! ) hotel hip , , Midtown ( especially crush holiday season ) huge plus . actually find staff friendly -- especially concierge . take lot time explain dinner option send two fantastic restaurant . minor annoyance outweigh positive aspect stay SoHo Grand . think problem could easily fix , well , extremely well . 
 Dec 20 2004 	 satisfy 	 hotel beautiful , room great . view amazing ! staff young , hip good looking ... nice par costumer service skill ... reason hotel not get excellent rating restaurant . please take advice -- ton restaurant NYC - try one . restaurant Hotel over - price food not par size bill . 
 Nov 18 2004 	 disappointing 	 return 4 night stay Grand terribly disappoint . price , expect room nice . room shabby - drape hideous look water stain , door closet not work properly ( finally remove completely ) , bed terrible ( extra pillow / blanket cheap / scratchy ) . bathroom fine nothing special . agree person comment weird mix bath product . room overlook loading zone / garbage bin add experience . travel small dog , dog bed , huge stain ( note hotel - replace thing stain ! ) . positive thing hotel location hotel Soho , would even stay Union Square W would stay ( least bed comfortable W ) . bar Grand great , not attempt get coffee morning . take we 15 minute get coffee ( rainy day everyone stay ) could not get bill . 's really shame let property go . could much well . 
 Nov 13 2004 	 tiny room unfriendly reception staff 	 american friend mine recently tell 10 % Americans passport . read reviews Soho Grand , figure lack international comparison must reason glow review ... & quot ; friendly fun staff & quot ; ? ! ? err , stay hotel ? travel internationally least month - business pleasure . , write review , reference point stay type hotel , big small , expensive inexpensive . I really , really want love Soho Grand . hope find hotel could stay every time come NYC ... something would become comfortable familiar . but , moment check , disappointed . many reviewer comment unpleasant reception staff . would agree describe pretentious , unfriendly , cold . great first last impression . the room TINY , even NYC standard . room also dark airconditione noisy . location good , want shop eat around Soho . but , , never ... 
 Oct 26 2004 	 Grand Experience 	 great hotel excellent location . near upscale boutique shop Canal St . website photo justice lobby lounge . room huge closet small , right weekend visit . stylish , clean comfortable comfy bed well stock mini bar . bath clean terrific shower -- great water pressure . staff friendly fun . dinner lounge , real treat . Joe Manager friendly fellow attentive guest . hour bar place , enjoy age . one complaint - would definately return , fact look forward ! 
